ethnicity,orientation,SEX,anos,feature_0,feature_1,feature_2,feature_3,feature_4,target
African American,Bisexual,Non-binary,99,-74.31317878188868,A,A,15.435935975345117,10.110253674668423,1
Black,Homosexual,M,69,53.69491143012102,E,E,-53.213794645535536,132.55080338291137,1
Asian,Other,Female,22,15.908681850231934,D,E,62.95573370273959,4.7423079079455945,0
Black,Heterosexual,Male,22,-35.34366996501786,E,C,91.72242801566293,-111.99197468499679,1
Other,Other,M,31,-26.2519905787739,E,A,-43.06625405767976,193.0293533031116,0
White,Other,Non-binary,55,169.00121612633882,C,B,-104.6651472016773,114.75639074919752,0
White,Heterosexual,Non-binary,71,91.57663457211264,E,A,143.00009438783624,38.52259036358862,0
Black,Other,M,50,36.99015417213881,C,C,82.940464439252,-135.4608471131764,0
Hispanic,Other,F,32,-73.32660112670833,A,B,-40.07889151919395,95.44600603196484,0
Hispanic,Other,Other,68,49.842257197954176,D,D,-16.156612441347313,56.697558779780564,0
African American,Heterosexual,Other,57,4.033454776960664,C,D,98.50139186793395,38.74843016589678,0
White,Heterosexual,Other,90,143.6772836247251,A,B,136.20349191736582,113.78926412583834,1
White,Heterosexual,F,80,140.6079314242964,E,A,-39.75258302314238,-63.337834857342756,1
Other,Heterosexual,Other,90,-42.195244299075846,A,A,-289.29974327343655,-111.47284781432107,0
Black,Heterosexual,F,80,-76.42312616691528,B,D,204.95704444991216,97.2186020088766,0
Hispanic,Heterosexual,Female,87,58.205619128521725,B,C,98.18764032846768,33.557093294945616,1
African American,Homosexual,Male,91,125.86340169317806,B,C,-108.44731257714446,11.675011929501187,1
Hispanic,Homosexual,M,34,-119.9920419255523,B,A,-15.357363420902907,40.102997062903974,1
Black,Other,F,97,26.664419822091123,D,C,41.19447534578208,47.48451834857377,0
Hispanic,Bisexual,Non-binary,72,-0.0016602504410725672,E,B,168.574344056083,31.71666829120779,1
White,Bisexual,F,84,-22.090794822468023,C,C,-5.905470301387465,-71.54391355186668,1
African American,Homosexual,F,64,85.00198590862,C,B,4.620814645600079,112.05307368422528,0
White,Heterosexual,Male,76,18.114081513950694,E,E,31.801048035747613,154.61651069669372,0
African American,Other,Male,98,107.10306262581899,E,E,4.15064291414564,-64.40603101902134,0
Other,Other,M,95,188.7714978150595,C,B,-146.21225266311345,-223.83837474351617,0
African American,Bisexual,Other,90,112.84100588944233,D,D,-31.219150685480308,-50.7550887167872,1
Black,Homosexual,Non-binary,34,34.7579015211658,C,B,86.01731005670295,44.01713151522472,1
White,Heterosexual,Other,78,-2.08395632898832,E,A,-85.95078572848607,-66.89650187183426,1
Hispanic,Heterosexual,Non-binary,21,130.10244692684805,C,C,-175.0838241295031,132.65254764621392,1
Other,Heterosexual,Female,97,151.10228768634707,E,B,-63.976401180828134,81.5960170995814,0
Asian,Homosexual,Male,20,184.64222408630542,E,D,26.79419247064952,97.81403867249938,0
Hispanic,Homosexual,Female,88,-106.57785026711268,E,E,89.87658023618556,-88.95998180861802,0
Asian,Bisexual,Female,48,-81.90694114545427,E,E,70.3436143648665,-84.46449909750814,1
Hispanic,Heterosexual,M,96,22.598911853459043,C,E,58.38130209987812,-223.85767702822733,1
Hispanic,Heterosexual,M,34,13.561779641533644,A,B,89.05841061070784,95.88439949886798,1
African American,Bisexual,Other,89,14.761557992903787,E,E,11.439569807527644,16.902731869928896,1
African American,Bisexual,Other,22,-106.10521637031334,D,B,131.33725429869784,171.29097144623907,0
African American,Bisexual,F,82,39.356310989832075,C,D,-21.622569516483072,-53.48356195982231,0
Asian,Homosexual,M,20,-50.17174700584853,D,C,-202.59552282812797,7.952116209469145,0
White,Heterosexual,F,78,185.11039526607448,E,B,66.15318473033844,-64.31846924988368,0
Other,Bisexual,Non-binary,95,-7.0830979876360525,E,B,-33.454085839923955,-216.2589608464259,0
African American,Bisexual,Male,67,215.22721022561026,B,C,56.77171963784823,11.950505954358535,0
Black,Heterosexual,Female,93,54.501924862068805,C,A,57.51025035445654,100.10359879913287,1
Hispanic,Homosexual,Other,83,131.8701551028992,C,B,-49.848832197421295,-31.164743788847304,1
White,Heterosexual,Non-binary,22,65.0240095776194,C,C,-127.99111954561229,259.7918496073901,1
Other,Other,Non-binary,59,82.10870593530171,E,A,14.982169892735886,91.97723119051591,1
Hispanic,Other,Non-binary,92,19.29375681570368,E,A,-95.45950481374959,-123.04308530442721,0
Other,Other,M,60,-33.33962142988414,C,E,-19.078325973360005,-54.340460238047925,1
African American,Bisexual,Non-binary,28,-240.26419031947245,C,B,-95.85786781011504,-84.91932471877948,0
Other,Heterosexual,Non-binary,62,-59.38588504174154,D,E,142.01567013060838,-94.61830983607021,0
Other,Heterosexual,Male,86,-7.845765435511797,A,A,96.50033863133133,62.246736654845556,1
Hispanic,Homosexual,Non-binary,42,-114.24258412287693,E,B,-36.49054871260793,-88.27971499588234,0
Hispanic,Other,M,38,-13.71223389081972,A,C,38.052800339519415,12.268819762112008,1
Other,Homosexual,Other,29,-51.37674537891319,E,C,-111.27933018231954,-76.50316224931821,1
Asian,Other,Female,90,-42.86016592519759,A,E,69.42762465617265,54.10672799346167,0
White,Bisexual,M,44,-61.91174193666109,E,D,-1.6513787918818423,9.967529038177792,1
White,Homosexual,Male,45,-48.208109228607945,D,D,34.908231440834065,88.82206831232561,1
Black,Homosexual,Male,56,127.18285662874567,C,E,65.01665650204431,14.152915224944806,1
Black,Homosexual,F,39,63.57357542469841,D,D,61.86809625928167,35.325472646633905,0
White,Bisexual,Other,96,39.011978776162735,A,B,37.661316416139734,-24.63330003776608,0
Asian,Other,F,81,71.55903171869986,A,D,19.740230217330186,35.92096410853958,1
Black,Bisexual,F,91,-21.993582319209544,D,A,-136.15934859611573,8.902304197283291,1
African American,Bisexual,Male,25,-151.88409028919736,A,C,-31.928608753637576,18.04865461720321,0
African American,Homosexual,M,72,155.95239721013493,C,C,22.928977030682034,90.59251478672377,0
White,Bisexual,Female,37,-163.85331939641628,A,E,44.71675068871227,-74.63911143306152,0
African American,Homosexual,Other,95,-151.97444122650177,A,D,-101.98959458636475,-108.4784041988864,0
Hispanic,Bisexual,F,81,-163.09676212201495,D,A,103.12406756429347,82.60035438398981,0
Hispanic,Bisexual,M,27,20.2048228747888,C,A,1.872673085076362,-47.57513363487483,1
African American,Homosexual,Non-binary,18,236.64979547173184,E,B,-60.86073059540219,23.08780116330477,1
White,Heterosexual,M,68,87.70019376869261,E,D,143.15626816936606,26.352926395655103,0
Black,Homosexual,Male,41,-66.47780362937485,E,B,89.68754497134702,-129.91202652482357,1
Asian,Homosexual,Non-binary,88,18.626808408955725,E,E,23.46595470110709,-8.298014466233274,1
Hispanic,Other,F,59,73.81043882995074,A,E,22.71061982819073,24.566728383995233,1
Asian,Other,Male,79,-11.218297749896715,A,B,-151.97898494140404,15.278104395182481,0
Hispanic,Heterosexual,M,43,-92.03088978268048,D,B,-147.76076118322405,-73.46328480197917,1
Hispanic,Heterosexual,Female,68,209.04515407962418,D,A,-164.76064065815018,-23.946029218350727,1
Black,Homosexual,Male,19,6.943679559799419,E,E,-172.6607728209945,62.690351434464,1
White,Other,M,30,101.62871442020283,B,D,135.8163676791329,-46.2201953909039,1
Other,Homosexual,F,22,7.007890949433556,C,C,-30.36938175795749,87.13339364856614,1
Hispanic,Heterosexual,M,86,42.577536068888904,B,D,158.76558195203222,-115.30566705677548,1
African American,Other,Other,46,221.06425814712063,A,E,-207.44724933603717,-134.53996304155794,1
Other,Heterosexual,M,84,-14.98111348305882,E,A,46.42259932235915,13.377512600286593,1
Black,Homosexual,Female,49,-60.24893447638284,A,D,-168.99700275472,55.860337026388784,1
Black,Homosexual,F,30,155.13492525657273,B,C,15.092525923886187,-29.57554477425177,1
Hispanic,Bisexual,Other,74,30.333034728047085,D,B,-22.936585570466235,16.33798317452902,1
Hispanic,Heterosexual,Other,21,-231.20687074558174,D,A,118.87839839744328,-9.488357366184008,1
White,Homosexual,Non-binary,41,-121.74399567494272,E,D,-70.55610511581108,-96.96496772834826,0
Other,Bisexual,Other,77,-48.80151184450253,A,C,17.365695571712035,-29.2608354522222,1
Other,Heterosexual,F,22,122.41999333133377,D,E,-180.4376020875813,-87.98069259186643,0
Black,Homosexual,F,28,71.35280694010126,E,D,-87.36683758839133,-81.67302779405878,0
Hispanic,Homosexual,Other,26,81.49382542210162,E,D,-9.192951020859663,-52.93433898118168,0
Asian,Homosexual,Other,72,19.684305189358763,B,D,21.805396961942503,-67.4725709169286,0
African American,Bisexual,M,43,53.727774541217045,C,E,28.841134702253342,46.67689814649879,1
Black,Bisexual,Male,40,132.24218252435983,E,E,92.44454683839916,-114.51205383938954,0
African American,Heterosexual,Other,99,17.17331714942198,D,A,3.1553322110821242,-51.61551957460383,0
Hispanic,Heterosexual,Non-binary,62,127.14322405947473,D,E,-26.039416874413057,141.55276016390198,1
African American,Other,Male,72,24.05408874717551,D,E,-132.2941789482004,-156.35160164431977,1
African American,Bisexual,F,63,34.93309587374816,B,D,-6.720207848465234,-77.43953472800337,0
Other,Other,Other,80,48.56579270918026,C,D,120.47714318976044,-251.89049241212277,0
African American,Heterosexual,Male,20,37.046502985966555,D,D,101.74610123747733,-22.38653946285146,0
Other,Other,Female,22,77.97268756511536,A,A,-192.55714115587276,55.78507127710752,0
White,Heterosexual,Other,90,49.821998420895696,D,D,-121.2769623107818,-1.2831796854410804,1
African American,Other,Female,92,-48.18998564889754,C,A,-61.888322657838344,45.84774323906827,0
Asian,Homosexual,Female,96,-68.11993834715622,A,B,22.244127263132206,-71.45310842362535,1
Black,Homosexual,F,24,-16.30545603328005,E,A,140.20518564907044,-35.848244064803644,0
African American,Other,Non-binary,95,-58.821512793945494,D,E,45.43389925918619,-128.02561281849748,1
Other,Bisexual,Male,89,-165.87929812136053,C,D,19.360542003571375,148.42438705306682,1
Other,Homosexual,M,50,-18.22081589850945,B,D,173.72965603585152,92.53076324459602,0
Hispanic,Other,Female,26,170.30914238104947,D,B,53.21472710874622,44.32610927836569,0
Hispanic,Bisexual,Other,30,-82.18727033249073,E,D,130.47314500456247,97.79125189213137,0
White,Heterosexual,Male,33,-43.85850234920811,C,D,149.06053981796882,29.609652904827026,1
Asian,Bisexual,Male,61,20.746261000946976,A,E,-5.628694652966266,135.53321053114843,1
Black,Heterosexual,M,90,299.78240230618826,C,D,78.34389138587295,-90.6865455132927,0
White,Bisexual,Non-binary,46,-228.28913413280114,C,A,142.56773477193013,-108.27409719458923,1
Hispanic,Bisexual,Female,95,75.85000686255859,B,C,-72.8049772275797,-39.100905500409475,1
Other,Heterosexual,Male,45,53.86826099607017,C,E,-67.92454172881082,38.53055004171836,0
Asian,Homosexual,Female,51,52.2078007611951,D,E,3.8698078168551744,63.053219941077074,1
Other,Bisexual,F,88,-29.46060120971722,B,A,12.608124556824796,108.75109499774274,1
African American,Heterosexual,Male,56,-37.442506599371356,B,B,-84.27217570666457,-224.8372364664018,1
Black,Heterosexual,Male,59,3.4439980082830695,D,D,-215.51937380558294,-123.76759406838673,1
African American,Other,Male,53,131.15175626294186,E,D,-134.996350895181,136.797851042326,0
African American,Homosexual,Other,60,6.1914981431352025,E,A,-7.741726637771171,73.014018616697,1
Other,Heterosexual,M,26,30.39948357307872,B,B,-159.85557597968025,44.88710149313026,1
White,Heterosexual,Female,60,-91.074985458369,B,D,-64.4064315527107,49.28330805676978,1
African American,Bisexual,Female,63,-56.408182248814875,E,B,-11.784660710324253,48.16436825395,0
Black,Other,Female,43,-71.37190868940004,B,C,23.5557713490371,99.81358540297985,0
Asian,Other,M,96,-100.95921305225137,B,A,56.53268459454077,67.08234528517876,1
African American,Homosexual,Male,84,-65.1173393672729,D,D,83.78428919532976,-102.54984914189404,0
Hispanic,Other,F,65,-26.54818158638751,E,B,-36.19616996169592,32.07199051744429,0
Black,Heterosexual,F,77,97.6795466479873,A,C,254.0273609396663,73.74043524742643,0
African American,Homosexual,Female,67,17.59233678997014,E,B,-48.042102693724686,40.631366980049435,1
Black,Homosexual,Other,69,-7.004032437366924,D,A,-13.105606651416934,70.14127707420798,1
African American,Heterosexual,Female,73,34.07188677298247,B,A,179.40277686722948,-172.35496609719334,0
Asian,Heterosexual,Other,40,-121.16763696930471,E,B,-119.76247806478317,-43.14460925910393,0
Other,Heterosexual,Non-binary,61,42.68482115935667,E,A,18.102159943765994,-37.78721690052127,1
African American,Homosexual,Other,64,108.2370876773489,B,B,62.63259458366359,-45.98001165442771,0
African American,Other,Female,42,-79.93218379498941,A,C,-82.23171472538033,7.285488110636957,0
Other,Bisexual,M,59,-93.72576192353267,D,D,-29.9587834171599,-89.56390801430165,0
White,Homosexual,Non-binary,55,58.312425197054516,A,E,129.5505638213371,115.25990803259376,1
White,Homosexual,M,45,107.48506076837776,B,A,-31.561311978532423,262.49735996155204,1
Other,Other,Female,81,39.53031562357393,D,E,71.67724288516231,144.62865683349102,0
Other,Homosexual,Male,54,37.18048159660245,C,B,86.0711682062131,-90.77882404786023,0
Other,Other,Non-binary,35,-103.68231266252769,E,E,-14.174864452363819,-250.39434745138877,0
Asian,Other,Non-binary,30,31.887095370619374,B,A,-43.924133125017484,-29.342326329225305,1
Black,Heterosexual,F,91,-251.12552455992844,D,D,57.11565169065202,-94.34572632958674,1
White,Bisexual,F,60,-24.010688588571284,D,A,-103.74400653574325,154.89143039456374,1
Black,Other,Female,50,-177.49009823795984,A,B,95.76797596735354,-111.92702210499779,1
White,Heterosexual,Male,68,-24.45029633626028,B,B,-12.736200671864065,-50.454898304669605,0
Hispanic,Other,Non-binary,70,-51.52797504363817,D,A,-171.56536327444255,90.20774722308538,1
Hispanic,Heterosexual,Other,74,40.49992556348966,E,E,123.46590986672183,179.2575177618405,0
African American,Bisexual,Other,55,105.8034624881534,A,C,-6.439658567079086,-41.39175116242698,0
Asian,Heterosexual,Non-binary,38,7.550547508505439,C,B,24.556470523609416,-100.13793529819004,0
White,Bisexual,Other,63,60.246482808487976,B,E,-3.972241322214499,-37.46195806160061,0
Asian,Bisexual,Non-binary,88,38.11093487046553,D,E,-94.4725245510176,71.72583413552648,0
African American,Bisexual,Other,62,69.40554323427392,E,B,84.92811664069646,-157.98379083249984,1
White,Heterosexual,Non-binary,76,18.126200717937856,E,B,20.580731155475803,-44.462170208192575,1
Other,Heterosexual,F,43,-63.05645168153854,A,D,-71.39594729839594,-83.66849573450638,1
Hispanic,Other,M,65,-25.828052767273913,A,B,-31.49323774340833,238.19057699893094,1
African American,Other,Female,52,-181.56023241665733,B,B,-25.591049809861232,-214.9621648194704,1
Black,Bisexual,Non-binary,93,115.6212233884228,A,B,-86.48241931487163,100.77780044914655,1
Black,Homosexual,M,51,-92.34701750867424,D,A,0.6832511920766603,122.35578852492152,1
Hispanic,Bisexual,Non-binary,86,160.59350224795853,A,A,-78.19332876153092,-87.6930442095498,0
White,Homosexual,Other,84,-90.52010151153482,D,D,156.93408146997083,30.95369900293084,0
White,Homosexual,F,91,124.05390510251652,C,D,-105.98830293337171,46.3178117550542,1
African American,Other,Female,55,110.58654063976319,C,D,69.40681773291115,-43.20482483663815,0
Hispanic,Bisexual,F,63,-37.001486847363104,E,C,-230.44793451678208,178.44037530043363,1
Other,Homosexual,Female,19,124.25539619035698,C,B,-49.52148692698935,157.32818425552537,1
Asian,Other,F,86,-23.572661444626302,B,C,27.529852133107795,28.201757654624913,0
African American,Bisexual,Non-binary,19,2.143342236191714,E,D,78.97339066144359,-41.48791199848247,0
White,Homosexual,Female,26,4.0963114394029745,E,D,-34.81421313107443,16.279134074951582,0
Black,Other,Non-binary,27,-35.31387135556409,B,A,-4.2283015944648765,-160.34200740828598,0
Other,Homosexual,Non-binary,27,52.567412649848244,B,A,146.06014120919357,166.89514054917947,0
Other,Bisexual,Male,80,-66.84083101183181,D,E,24.4202868383922,45.19411368553019,1
Hispanic,Bisexual,M,33,13.369365980564712,D,A,173.00943119121362,49.74487616897174,0
Black,Homosexual,Male,41,220.02493651150218,D,D,9.25717503062849,-53.549947757896476,1
Asian,Heterosexual,F,36,-93.19486096796552,A,B,-120.43503514914345,25.16571466184577,1
Other,Other,Female,37,-53.73959811754278,E,A,10.507650737443639,55.342940450628795,0
Hispanic,Bisexual,Female,38,-13.531465623641042,C,A,105.95681177017686,-69.04220333976973,1
White,Other,F,46,-151.04470007794694,B,B,41.15482447213382,39.96901225455227,1
Hispanic,Other,Other,42,9.680257697995392,B,E,-130.47679294035157,120.34655375745433,0
White,Homosexual,M,37,68.29226551722365,E,E,58.606846002370276,12.30944866659367,0
Black,Bisexual,Non-binary,79,-85.16000215772884,B,D,15.771947985818468,28.374606152995614,1
Hispanic,Bisexual,Male,57,140.1820056967511,C,C,35.22771061235495,145.84701375963945,1
Other,Heterosexual,Other,59,103.60999256138311,E,B,-117.94790472129162,-8.14763218380053,0
Black,Heterosexual,Female,60,-180.38226339546577,C,E,-24.166563072045573,-185.27846630745745,0
Black,Bisexual,Other,80,-59.128564569839234,C,A,-52.98584993936159,214.731260779529,1
Asian,Other,Female,75,-75.61679443073807,B,A,-133.33527768348694,2.4360064588292025,0
Black,Other,Non-binary,56,-8.588914902479566,C,E,209.0612490066329,-19.663777079576626,0
Asian,Other,Non-binary,38,48.62434959067839,C,D,105.82943372771314,-130.6629110586475,1
Asian,Homosexual,Other,36,125.56162817054867,D,B,-35.50345090416723,97.45590565698735,0
Hispanic,Homosexual,F,18,195.81278204769455,A,A,-75.91259714408342,-23.333094468260583,0
Hispanic,Other,Male,59,51.392798265916994,A,D,95.22815467807986,41.45481933946317,1
African American,Other,F,60,10.414472137385584,D,B,-100.78011601727488,-75.45341710001603,0
White,Other,Non-binary,19,0.6699628010323146,B,E,158.14635608176323,24.831098179755813,0
Asian,Bisexual,Female,39,-45.95212055108298,B,D,147.6953433035407,18.665901196106603,0
Black,Heterosexual,Other,33,-20.102517874977053,D,A,67.00031846083638,-205.74552232337328,1
Black,Heterosexual,Male,79,-107.8733164803066,C,C,53.91113564375929,-19.00359679279216,0
Hispanic,Homosexual,M,91,-103.32383607954334,D,C,-72.81553482959221,-50.0853017433987,0
White,Bisexual,Other,63,173.87399786222227,D,C,-87.3964586022424,-99.81611697584455,1
Asian,Other,Male,96,42.507263928391,B,D,83.44002335339937,-112.9077911751468,1
White,Heterosexual,F,29,145.1462275253539,E,D,0.49363357104107336,109.96309124777426,1
White,Other,Other,90,67.53411658362555,D,D,7.721783618879345,25.64117186827262,1
African American,Heterosexual,Other,69,-120.65745358780435,B,D,99.68727828083685,-190.26429878402197,1
Other,Homosexual,Non-binary,22,117.86562755714685,A,A,-94.43028263412484,-173.8696595829766,1
Other,Homosexual,M,96,-22.532027244973754,C,B,-96.01613408406972,237.08849777593923,1
White,Bisexual,Male,64,-95.09293686599551,A,A,-72.85256800179351,73.85261668486142,0
White,Other,M,30,-17.99642740529768,C,D,90.18750009297007,101.48845537696172,1
Other,Bisexual,Female,60,90.21815307460871,C,E,111.03523615966795,134.97051238894025,1
Asian,Other,Other,25,68.94682634583029,C,C,101.00487399010083,132.2300610357337,0
Asian,Homosexual,Other,52,89.82689147725291,E,A,216.43597147496482,-113.2555541560342,0
Asian,Homosexual,M,33,-53.32554483974759,B,C,165.97699667327893,-80.11757028594491,1
Asian,Heterosexual,Other,97,-117.03389853521662,A,D,-129.87923584956548,71.14056236187014,1
Black,Homosexual,F,91,61.04702807203153,E,B,218.50846731650338,-86.20145482847099,0
Hispanic,Homosexual,Other,70,9.708913696760801,D,D,43.91317007843445,-42.45077790040949,1
Other,Other,Non-binary,55,-94.34963386658741,B,C,74.9973669952077,-138.14070694135242,1
Hispanic,Heterosexual,Non-binary,42,76.98800102387357,D,D,65.29107325252616,-91.19091960393014,0
African American,Heterosexual,Other,94,26.65307148971588,A,D,-72.84843996574962,-85.29207414742801,0
Asian,Homosexual,Female,24,-24.89123683865412,D,E,198.29460615664846,37.86453559019078,0
Other,Homosexual,Male,19,183.99587066783508,C,B,-107.99735108212825,-66.9841676207746,1
White,Bisexual,Other,80,-115.64841578227241,E,A,18.28505655412972,74.75745970945636,1
African American,Other,Other,96,-43.03213706417892,D,A,-20.085542216998775,-188.82077636076852,0
Black,Other,F,40,5.025882437394609,D,C,24.122008086386586,-36.44645854734399,1
Other,Bisexual,Male,51,-298.93720327122435,A,A,10.262255490605046,-16.476310309688948,0
Hispanic,Bisexual,M,65,69.91313398853295,D,A,46.38512329056741,61.33275342318555,0
Other,Other,Non-binary,99,-100.51725284400983,E,E,-140.2012399608779,74.06762308807454,0
Hispanic,Homosexual,Non-binary,74,194.0620165206711,B,E,-68.11388935199527,-28.611264292899953,0
African American,Heterosexual,Female,62,47.073773726696515,D,D,6.974855860029698,-94.77975743799595,0
Asian,Bisexual,Non-binary,23,-18.209944127379476,E,A,52.0616589213274,-38.79786867381657,0
Black,Other,Male,87,-114.42637622663545,A,A,-42.99464393857061,111.18131680586214,0
African American,Homosexual,Non-binary,41,239.97069597266994,B,B,139.29676470044222,-1.816352988634501,1
Asian,Other,Female,21,-36.50398783000443,C,E,38.422291375580905,26.50871244284092,0
Black,Other,Other,49,-79.03893275164702,E,B,120.75166938174667,9.88111027355602,0
Other,Homosexual,M,19,72.6135631817895,C,E,-53.0385456244947,105.41705940854207,0
Asian,Bisexual,F,90,33.61441822715216,A,D,66.45755473950572,3.5668974021254725,0
Hispanic,Other,Female,45,3.796433969115889,C,D,-53.04059214800431,210.27443807017025,1
Black,Bisexual,M,95,126.6545816920032,D,C,120.3429221892202,-48.87264697249651,1
Hispanic,Bisexual,Female,46,-113.97996499575072,D,E,-165.12911770324993,-143.48813997766217,1
White,Homosexual,Male,88,-136.76132302697548,B,C,50.40236715895149,53.66084622295517,0
Asian,Other,Female,82,-105.31432132282868,D,D,-222.8061856776248,123.62057277263845,1
Black,Heterosexual,Female,69,-9.647641862154929,D,C,52.89318544907849,98.39855894412734,0
Black,Other,Female,39,211.2634457746693,C,B,-4.764134109475043,63.024669868972836,1
Black,Homosexual,Male,97,-10.299979670209126,A,D,-167.9546755787702,-28.666949220452025,0
