Veteran,married,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
No,Married,56,D,-102.75006410709035,E,43.71404915389514,11.735564115528401,127.51946749888974,B,153.3308909242895,60.73714958289469,C,139.7381347194444,5.902213215964569,142.227605044713,9.49359635659692,E,48.906317218200705,2.6720666750649698,21.68382326980466,1
Veteran,Divorced,39,A,-218.37506479688616,B,-25.226363306550365,70.00280628113266,-92.96115720542139,B,-126.23080668833413,103.5531815557883,D,13.94539194043348,28.67214944917417,101.05095354407166,-63.78531774896935,E,33.045579924058885,148.3645817303539,-209.96756367628092,1
Veteran,Single,35,D,-114.26537832075878,D,34.4613567087429,20.857435653979522,148.1289619781479,E,-67.36927019077825,21.880157934117335,E,123.94748738086507,25.31573713231295,-139.38935866487364,-39.20506082713873,B,205.80664832281056,-27.35546834020183,-286.5864056973104,0
No,Married,57,A,-27.52644892974418,C,-41.14747755767772,51.116144411367415,-144.33673198937194,E,41.83059855209432,-77.92736595827286,A,112.42164080609231,-22.606780634375994,35.795834390465394,31.097621262587467,C,108.91498653415161,28.714220026722558,9.923363199006364,0
Veteran,Married,37,A,-40.681584925354876,A,-119.20995834505182,76.86175327814149,92.63477115446673,C,267.7867374956782,-52.52557969518289,D,-14.567388700308156,128.33126960703532,203.59482892504892,-117.2687344555911,E,143.15441569161004,116.18049475171806,48.974614608431985,1
Non-Veteran,Widowed,75,A,-181.29795982188196,D,-27.990141354302907,-188.44360114358693,-18.894005644400696,E,91.48996728186773,35.331857033877775,D,6.9982984082156126,185.01820445427677,-171.66849026808913,55.24079304628832,E,0.9232065694710723,-155.39844230821964,-82.58545007191933,1
Yes,Single,24,E,-12.761027552686391,D,39.407789647265815,103.5282380601889,-156.6706581503543,D,-12.432924724036267,188.14718772589111,C,-56.017242278744206,128.26351070055046,-48.590545755502674,-108.91792391304807,A,-204.48396534510155,-34.85972446360778,-102.632972714837,0
Non-Veteran,Divorced,43,D,-6.7881715894497665,B,4.436103439881125,-8.8426477063312,-11.035452892086202,C,37.845243848014114,18.93819495850007,A,-71.06106334482286,-62.02447980115602,131.28115713181126,-57.99598518647561,A,-63.611709061118404,-21.624041048462782,-90.97231826689504,0
Non-Veteran,Widowed,82,D,57.30379821805279,B,54.07135178321034,-173.65902257808207,-96.50297388102442,B,134.91718791261883,43.49316494603693,A,-145.36540704171023,-74.95496658892293,30.296349220400714,-37.2449682999223,B,-188.88135421981812,-57.159607073203325,73.53751166282764,0
Yes,Divorced,47,B,-257.62406504989485,D,139.53656795664483,48.14306606050278,28.02746097015935,E,-3.8513183463864937,-49.33866004732519,D,-120.76991710344033,-28.442333577031963,34.54118017741507,-137.4356835514133,A,-30.230777833757145,-212.88931127610712,27.910068756106988,0
Veteran,Married,89,C,3.703280909893822,A,-6.269770217733699,71.19138326147214,156.08494572574327,E,-61.26947252188389,-86.1254594634816,B,-150.15756633103274,-64.94451772233063,-153.8990527766951,-73.748924557386,C,156.99818499850002,38.65681809605573,-168.1991531866053,0
No,Divorced,32,C,112.26890541945671,D,-39.39637889454816,-0.5435668321994648,-116.9125905254595,B,-90.75516300947535,21.458734066455456,B,-57.399698287688885,85.38779216518803,115.46844126779536,19.242523621112582,C,-27.345740995360266,186.98470672359196,36.57731103737249,1
No,Divorced,80,C,-11.927844129946005,C,-103.57309768331848,16.059686559684742,-28.004307766821857,B,37.560389418808604,-41.74402810302983,E,-59.99471067490361,17.2329901152564,143.04988009560435,82.42433602111345,E,16.499615489388667,52.31592416500672,-117.41938784215826,1
Yes,Single,84,B,200.47284344294843,A,-26.901476401395286,88.98850235046373,59.00037538825795,D,-36.03171973009067,23.591271781770004,B,-27.518789668300876,-193.6662602239114,22.595809727482557,22.925394946796164,A,83.7679283869514,51.56125643218239,-44.389971207306985,1
Veteran,Married,30,D,-56.3667096486169,B,49.982277604420496,118.15512012382729,29.20470213519452,B,-76.7029540312583,53.90215326200545,D,62.607228915788426,50.7759261712516,55.21124982944357,16.8853995547722,C,45.59632546813193,55.077454456997664,-68.65276952893933,1
Non-Veteran,Married,80,B,-218.37678190627253,E,88.09963099319906,5.380417002254458,80.65874298748481,D,65.67196809560585,36.74945201632217,D,255.9860177067265,37.28041419092414,47.24326494311282,-107.7775720849296,C,-50.10987292201781,73.58585572876305,3.3743038841853292,1
Non-Veteran,Widowed,41,C,143.71012635657488,D,1.544785689668644,-10.678052740259716,-68.27709955414086,D,-93.78040532211365,110.97183214715139,C,-22.78874125702974,22.780914254322756,54.53030220315799,156.3560532379134,D,-137.01985061357786,-41.016026392993005,43.32840651359991,1
Yes,Married,50,A,43.14977787556103,E,39.50815953085578,5.836288514816138,87.54029417020209,B,-159.39883974316317,26.20281635121866,D,-174.32167510356356,77.82879452330283,309.1705147815335,87.44042329435123,B,77.46227075173454,-148.45131419942038,12.613934915897618,0
No,Divorced,69,B,-162.9052767008035,E,-104.57731417532932,106.03395748758955,45.27921128481569,D,-113.20944196666262,52.661150283511816,B,98.35031179928241,-140.4903291004256,91.9479905554941,-126.65097976588244,D,288.3657415690783,19.54969276893748,26.44570379017514,1
No,Married,33,B,-134.0274120460202,A,177.924198250921,182.93009015471767,-154.85563685816183,D,47.62878945105087,105.72692403188458,D,15.036732138734374,87.6579846222391,-85.88643015147258,7.682624173262297,A,94.33094825478354,30.31626709984238,197.29266578144754,0
Yes,Married,32,C,-66.84821337804357,E,71.16083481893422,68.10545903015249,-83.4735359897265,A,-38.637252002319016,-47.488468927907476,B,-155.2578215342813,-63.24863620750466,-49.030996465255285,39.78520066048303,B,-117.16857630460254,-226.54244645151547,171.5647238798912,0
Yes,Divorced,20,E,124.47301652278442,E,30.56535428016626,-69.0350228348284,87.3650292791479,B,-65.59543615111023,52.060794959916535,A,-16.850674902526546,-83.02327072207729,58.520045347639126,74.24844727294384,A,-190.10385831943154,-40.9319463665494,128.72850043021782,1
Veteran,Single,52,B,95.02290898859043,A,-200.0607317967814,191.3708305971214,24.43803923946019,D,-24.955926277857444,-80.0084440777042,C,-125.68366899860213,-46.25919103074194,-7.881023447111513,335.52075195656164,E,67.40341012789756,15.085838989845978,49.33295174396562,1
No,Widowed,53,D,61.70266205208078,A,-115.2788970251994,25.087825788141537,44.49165416780772,E,-64.47225176187746,31.54029652243019,A,29.289371642005406,-75.61720519694097,228.8009631884729,3.6269325410200546,D,37.581781943123495,-76.211671141965,53.038142192446166,0
Veteran,Single,51,E,-44.798708992119344,B,9.830877344165959,-32.010965693402206,213.3678418806481,B,-104.62290219347865,42.56193441848722,E,150.88970287082836,84.51965545011586,-77.21695972728693,36.455642354478066,D,190.99240334505134,-34.496845518370236,-87.97863396626391,0
Yes,Widowed,43,A,-20.66460838304097,C,15.659939208492046,-85.44663062483609,44.50711919031491,C,-53.609832494369044,-32.42188045195983,C,-47.59381585133021,-60.894748426376786,-85.25383545357789,101.93813518290762,C,-35.68437324291741,-23.657482189986005,-72.339505706985,1
Veteran,Married,28,C,56.55600452158339,B,-135.4358426792176,-191.9738275640464,175.7354345565623,C,-51.132834863645904,44.99264959954845,D,-27.085110720182833,128.27760849783715,-99.17894667166259,47.25782620931637,E,-53.27494581817048,-126.8922606533561,245.02569503153038,1
Yes,Divorced,20,E,61.64763699141969,B,-101.62355012470118,-155.40261552617483,-29.94561885377654,A,-6.542286375095539,-108.6420421243331,C,70.72586500142958,-13.7222273539623,74.74628101418676,-84.18054425432935,E,69.76965745741819,-90.77347060772813,-70.09478658978698,0
Veteran,Widowed,90,C,36.89605034902158,A,-22.18158218709362,44.105215900132734,47.29607032402443,B,134.04113920987066,-121.75691926062262,B,73.8869365094097,48.138139412021914,-52.83952086824964,1.9143392317830947,D,11.690747908707136,-115.46300576611704,-97.33937987327528,1
Veteran,Single,67,B,231.64514369543147,E,112.98695748796081,139.85548671526405,272.58340805039046,D,117.60457887152774,71.5612093664185,D,-106.18098306655985,42.72689775730493,-85.64003432049897,27.3818383506575,A,89.84087198891905,124.35015258357964,110.15843509477446,1
Yes,Divorced,42,B,-38.75140549798298,E,120.13243425215767,49.08914565843427,23.472876081235885,E,-68.60692147452725,-118.25656085292655,B,164.12881975226722,58.09156947076577,163.9452331116126,-40.999060018930194,B,155.91720012081387,42.87144440456846,48.41783630166159,1
Veteran,Single,21,C,-12.441822361526963,E,-57.922074339165995,113.09630115899718,-61.87716611797423,C,196.24319513763524,-39.20933047481999,A,21.047961180122147,159.83095785789897,-72.63031897087464,-73.05286851164789,E,99.57963743479536,6.450373312026489,-145.3560324877133,1
No,Widowed,82,A,1.7863711899477905,C,178.17800068607738,22.36621685684599,-86.7354151566294,C,-81.44242862062903,106.37118181528724,C,28.544384062761345,-60.33612162076165,30.393138996451484,-46.996483741373254,E,-31.602149672527542,36.394028808524645,14.090054765211299,0
Veteran,Widowed,50,B,5.625498597350766,D,66.86265894188087,-58.813827028661194,-96.63873600721713,A,-160.08371970753322,80.16248615645483,C,-4.324049706460426,295.39536707837664,-76.2719432137415,4.44961369610719,E,-55.02094180674182,-142.36258625733456,-64.05364903783489,0
Veteran,Divorced,66,A,326.7360217159394,A,66.91008655018523,61.365158702525946,-112.53835469577267,A,22.833764597237106,-71.1509127289426,C,-167.64932502264932,-32.802278377563994,-92.62977904720489,-36.34942452040305,D,34.30096358712556,63.18445663509221,17.698455091803595,0
Yes,Widowed,22,C,167.82385560544844,A,-142.99854749789495,8.105416403376726,-21.275022681872148,D,76.07925062340104,53.869929249510285,D,-123.64208006053701,-130.63491356170022,52.80830791313746,7.72084995382645,B,135.26992609048116,-7.925070496794802,-3.9320953228591837,1
No,Divorced,73,E,81.33681434061248,D,-74.33131490473865,210.58465022571932,-125.72537769641417,A,17.2422595018593,-198.01069054638432,D,-35.89760384759962,156.63348643469124,-89.98469689199534,184.69517683548526,D,-48.46142048925714,-108.26559997903833,-1.00544933716241,1
No,Married,79,E,-70.12265995267185,A,-6.954759211390717,-121.2306851419573,-48.84662256833591,D,-180.9683892364266,-117.42894073767809,C,-46.45986187688235,-175.49830673398216,126.13626790728046,60.22401336646857,D,96.81802924234961,-94.5492772456208,32.38990027404603,0
No,Single,42,A,11.18680951684238,E,189.17384714106217,-97.28072643249884,-62.371926429863,C,-173.73215805133066,-52.536340058644036,E,-150.35588929415943,23.12458046945498,-72.4657141556912,10.222171403098281,B,-170.96511298517476,1.9205448965962644,2.8965274732678425,0
Yes,Divorced,84,A,288.5125216844934,D,-79.04922255501232,26.09215402204339,195.97674198915593,E,-28.909801619387533,-65.95073206176549,C,2.8424479317017255,-4.83627191451465,-114.77364449355174,-138.2787501047415,C,106.03952636106338,-70.56553551190486,104.45047190032327,1
Yes,Divorced,34,D,33.00578516227108,A,106.71151786322777,-101.54933520299684,-96.03243147002266,A,172.3768077365699,37.366212347267634,D,-106.71588596168317,-66.96026869871888,-58.962965170549566,6.991862527086737,C,107.1920925092053,48.67353485836952,-166.2984834798518,1
Yes,Widowed,51,B,-24.54536095273309,E,-51.60663797233398,-69.84339075221796,53.17622434364186,B,-14.863533921139242,-90.46001948391333,A,-222.6018884356939,2.9942400127456867,26.565825772772676,55.54562111970937,E,-1.140842150236114,-255.41732140989973,105.19399669245415,1
Veteran,Single,68,D,-15.688771671621188,C,-42.79521896817257,89.7509628131334,42.14662863426482,D,48.08684382109497,-19.997376920499665,A,68.78907769981173,-146.48623016292112,-123.51487169187511,-137.27572830607326,A,-103.33428979266938,-123.76569056504094,104.10685316190411,1
Non-Veteran,Divorced,34,C,154.2510932063456,A,71.18673054355278,-67.16010476867993,117.32422771135118,C,-73.02257931087867,84.61598802515296,E,89.12801325501707,-129.32091450077013,44.70121325428387,176.14491175345205,C,-154.03769178498226,-194.46761198499888,-23.463799120312586,1
Non-Veteran,Widowed,43,D,-122.9313481363014,C,259.12172492398247,137.15430305839246,-35.050853300800505,A,-85.8943660839628,-80.12950904392848,E,-159.39153495417966,-41.77390085362261,69.10052671888558,23.295065323586616,D,129.02970613103076,57.83888982683369,-60.69935006532944,0
Veteran,Married,21,E,-134.05735777988903,D,7.261091225869654,124.07323974074167,84.79197811145104,D,34.852276721272446,57.319974971104294,B,-158.21889513556567,20.685036141885835,14.112230151603294,-94.92206459893258,E,57.8593842127569,116.73372052306567,-42.80278964013796,1
Veteran,Widowed,61,A,179.90679813267033,C,108.5266611219323,148.607362790528,20.991888572611686,E,5.768833940704222,141.60981724031302,B,-26.487984716880526,86.07914927184102,6.690271517719245,31.26703835748406,E,80.08626143896824,-110.58763418647217,-140.67005285628343,0
Yes,Single,38,C,-44.90357104266894,B,-109.98342489937392,-20.267729330477746,-61.0934671151842,E,-77.85452982953733,-94.95631763210007,C,16.356531718790105,159.06437956626914,-24.831003722774266,-35.21742034978456,D,120.7034005311913,116.3260515453014,-65.98671706279255,0
Yes,Divorced,68,D,34.82594440299518,B,15.954522368472283,48.62462503789084,91.73057592729977,A,66.47250732376469,-98.35752844069776,E,154.330821260533,6.989713634837533,-20.141182864255242,-16.77444130442636,E,-57.893841240598846,36.73502789085206,-224.16863683758245,1
Non-Veteran,Married,51,E,-37.30122194317552,D,-45.90037293048194,107.39377012622111,155.299241210673,A,-23.90997386557655,26.49234092359513,C,88.33755730504713,131.97522823710457,25.687250029682517,-56.06751850401298,A,139.54557985092447,64.9238510885023,131.27592730272386,0
No,Divorced,39,C,-10.517852150990839,A,-215.90868723039662,-84.04758981667484,-114.69597878106738,E,-115.2146137020576,112.01694093838763,B,92.90050001303231,-9.040761737078663,33.47840077572698,-94.6271331850938,B,50.91210521656231,-85.68026291436718,50.0328020900572,0
Non-Veteran,Divorced,78,B,-68.2680794800458,C,136.6701615159165,27.0191658126271,-22.46458453165904,D,71.87401864308778,-48.83282871962313,B,-36.0928185018773,-104.35311893272261,46.08157620731603,64.40610005798783,E,-62.270630039759325,-51.034409766571365,49.799917264476164,0
No,Married,73,C,6.499008948236459,C,223.7435112348849,-87.01666543159922,195.42089378899314,C,2.343276497758853,94.94154374467956,C,-42.52560972337201,-124.56972641297217,14.980085770392773,85.73025181751184,E,-16.896946048500602,9.447090742068093,-63.57796813344863,0
Veteran,Divorced,24,B,101.64104075640432,D,20.877019665499326,-68.83709880630862,119.90744690609421,B,130.23802699016264,124.13885621925391,D,-204.4951626365651,35.165161578650746,-103.98272147680177,114.81139482188185,D,80.60878402064077,-3.9555820691929235,63.45356345385412,0
No,Divorced,62,E,-109.22913543013692,A,-43.47783112396762,5.768436039351169,-44.72052422249296,C,-143.20462560605023,33.00176641718223,A,-12.262685832608886,73.8807660100826,-53.41434401351102,-48.153235964925436,D,-70.67766522132065,-115.1325863630866,183.11163629928663,0
Yes,Widowed,29,E,-9.280371231445873,D,-51.41453134020089,-15.642135377703609,28.04907443986527,A,126.08022610076814,75.99537772711815,D,-103.66046284553445,-5.927851682580331,50.51726012657055,-79.12014988329987,B,105.71200483741599,-226.16751157324467,231.4162730838188,0
No,Single,67,E,29.47104330082011,E,-92.27032720335748,94.14285452722298,-81.84108267644615,E,-72.9236893270465,16.847027795514215,E,66.47406470965001,50.30490307641928,-23.74121579717669,38.86544685202164,C,-116.52493287370196,122.2839867738904,-12.797852931180751,1
No,Married,84,E,77.77889034369689,A,-137.42466781333448,25.757457379052067,42.415583223479985,D,-67.17811447477712,3.4842410603159615,B,-174.04927320992238,-16.378849139043353,86.04606905750597,-35.463108481724134,D,34.54869910642335,74.76806577390309,78.96392550993508,1
Veteran,Widowed,67,D,130.67606199796452,C,-57.808170165060815,-141.47078548342176,23.15132814185204,B,-109.88111236272917,-17.81719799179056,E,-12.496642227762457,-105.95459923790855,-2.673919431847741,-41.55526242231034,A,196.9882358188803,6.713831391120017,-211.0000577612983,0
No,Divorced,19,A,54.674458381286186,B,-152.28245315968732,16.15265736387154,192.50747389894792,B,46.60099787634777,-65.78149031483792,B,57.355885460664446,-91.95311860518747,95.61462601374674,237.576716595169,A,71.30578610949826,-16.91302938470973,124.87040881802763,0
No,Married,57,A,-21.909713727343878,C,53.253236041260465,-50.93561377967538,-178.3075934095337,E,67.1897983057943,31.777799870163033,C,-45.344796614329695,112.52718208819576,35.846178884401326,-172.18936466556997,E,50.53601157778882,-77.38871162705068,12.094141253356556,0
Non-Veteran,Widowed,69,A,243.9492672770223,A,-148.87752834298144,137.41897398891084,-91.05180371704502,C,45.09158612739826,229.51690145963445,B,243.38292760008807,-17.283251332468428,47.20494495810442,124.92618056642888,A,-58.601982631421556,30.983250441533745,-5.1171086988077,0
Non-Veteran,Widowed,56,D,38.52328286905774,C,30.60667696401091,-118.03805163929917,-108.55772043485278,C,-110.28856518256498,197.2675086421003,D,28.510720148788444,-165.3316972781163,-17.517889225239067,-42.320931941398015,C,-43.64028271416897,190.54350573731725,176.7459340511563,0
No,Divorced,23,B,-140.8548733028809,A,57.324719252943055,62.89772578294009,-69.49474980021859,D,-74.62607552948512,20.011091609118846,A,157.56655979549666,85.58147080871244,50.04345148798263,47.361313845719586,C,-96.49928148689222,-155.257846001214,26.71400382861743,0
Non-Veteran,Widowed,81,E,-5.270944841811102,E,104.78396290770348,-75.97216357407132,110.90695147757694,A,-123.8280858408296,-106.18782701387876,C,161.9184310200118,20.61482204679774,-19.416826394902767,18.037671167384133,D,36.18998431177231,28.61039107731072,4.52574797177643,1
Veteran,Married,46,C,-114.41405237260153,B,-56.51186208956377,204.94353371427954,9.400466550718635,D,51.2631711390952,75.18783220933078,B,14.745931788596877,-4.558045677141773,8.3449280021226,54.72241961409846,B,83.09072263878375,98.69694514012211,-1.5822023819602116,0
