marital_status,Disability,RACE,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Married,No,Other,US,A,C,-1.557260547173553,C,-37.261039961301485,-2.453438325919532,3.929683748381611,159.34335980884777,-14.18102980750889,C,D,1
Widowed,Yes,Black,Brazil,E,A,170.11040745191528,B,-175.17868208812365,71.28008200855223,-89.69032821121927,-5.348583843209062,-154.57551627071783,B,C,1
Widowed,Yes,Other,UK,B,C,-158.7667626862627,B,72.53939255555835,44.881394277121565,-29.86208616524509,8.328992000065485,-161.36858853973536,D,E,1
Single,Physical,Asian,India,D,E,193.83050618245076,D,-229.08780498650873,-2.166172987876478,68.20856487811936,-89.37547975031497,-192.36315912154086,A,D,1
Married,Mental,Asian,India,B,A,71.45456618232097,D,-33.14410411531496,15.194065845048502,-13.029217285004085,132.49019618706842,19.991924809683383,B,D,1
Widowed,None,Asian,Germany,E,E,50.79845746146272,C,90.09815257999132,-28.37136287397731,-93.6226307604889,-39.37746404196063,-70.01151215037746,B,E,1
Single,Both,White,Mexico,A,E,173.3114812763251,C,28.300468113245735,-63.78580213815586,16.41182845059914,-235.43552051890072,-48.306968661223415,A,C,1
Married,Both,Black,Brazil,A,A,-371.72266899704806,C,-122.56903484326531,26.39775352585902,34.654224444477,-115.98882063917155,-164.93853918132066,B,C,1
Divorced,Physical,White,Brazil,A,E,-136.92019212872646,E,-15.948399662233156,-140.99753604503312,-123.42311601418655,69.84808042661473,-33.98134071270721,C,C,1
Married,Physical,Black,Mexico,C,B,92.38471654838659,C,27.658021150112962,-94.00254668557758,287.52198169578,162.07166662032836,-188.32454211058624,D,C,1
Married,No,Black,China,E,E,-184.35050933371699,E,-34.594172920626676,-218.2444534913709,78.49179523090883,-6.504406541158189,-53.7914138865746,B,E,0
Widowed,Physical,Hispanic,Germany,D,B,70.58991396653103,C,79.07690941316064,-41.14973563405811,-15.835852334716897,-43.84572560564028,194.14693798335063,E,B,0
Divorced,Physical,Black,UK,A,A,11.360702580786864,A,-34.89831598380061,120.96818071462998,62.80015369547422,-48.99766903442373,102.46051555970455,D,E,0
Single,Mental,White,UK,E,E,-91.6559930976771,D,-0.6043056934180118,-128.96234138520168,-48.48368662408324,138.79959113417104,-167.7023371994889,B,D,1
Divorced,Physical,Hispanic,US,E,B,156.8221224445771,E,-128.0254572592385,-298.48719928328853,246.8972452033291,120.2395826605291,125.34909929767191,B,D,0
Divorced,Both,Other,India,B,D,41.53069831015255,A,-153.72934517177708,-117.22057661394491,132.33575075166695,-29.836550699613923,-78.07097949673943,E,B,0
Divorced,Yes,Hispanic,UK,A,B,-18.74126222416405,D,158.8145585176722,-109.34246626843667,-4.963326077290779,6.967643222877923,-15.238149620789592,C,C,1
Widowed,Both,Hispanic,Mexico,C,E,133.49236662805802,D,-80.63376419041717,156.88521824473614,31.146877821317364,-78.27938562406199,57.477842922785705,D,C,0
Widowed,Mental,African American,Mexico,D,C,83.13302574322474,A,-79.58763364086796,167.6715745544651,52.742114477380206,9.977817826363658,-107.60871278953839,A,D,1
Married,No,Hispanic,China,D,A,-82.12437862798508,D,164.54631063300053,36.41595729897496,-62.87574050806492,-53.17428983953163,25.91913934413823,C,D,0
Single,Physical,Other,China,A,E,119.65260117878978,A,21.841818036356056,281.2534236551682,97.0054975761069,7.993852033362145,-91.7979198412835,A,E,1
Single,Physical,Other,China,A,B,55.29592284589994,B,-57.381445985415155,-52.26448559566895,90.15439034464382,18.738296567573464,-115.11309900767999,D,C,0
Married,No,Other,Mexico,A,B,21.23003952300117,A,-15.397754028699131,53.5885226122675,11.609705248201015,-126.08808979704229,-34.04331130599712,D,B,0
Divorced,No,Hispanic,UK,C,B,-20.73511916668345,D,-120.02802995543298,-66.35148026077779,32.67895782763976,133.85540331757616,-75.68315110422412,D,B,0
Single,Both,White,Germany,A,A,116.32813834352243,C,-47.35595734696588,-118.20370458148233,86.92502069683879,-36.79172876264366,-8.601654622192775,C,D,1
Married,Both,Hispanic,Other,C,D,-145.4955580554417,E,43.77795747953051,-130.42312577096237,147.88229496388746,-104.89107552866723,25.21438569782255,E,C,1
Single,Physical,Other,US,B,B,6.118076507429124,E,23.718399659442326,-60.905899320373024,-30.532513967915275,-187.69255633834615,-36.297428646700624,B,E,0
Widowed,None,Asian,India,E,A,16.406444096159778,A,-24.963724784141437,-7.060411848286371,11.503321006393556,142.20391284688773,-245.50392088332708,A,A,0
Married,No,Other,China,A,E,-18.427808330802417,D,-0.6775220741628323,76.35735383792466,-130.46533710327296,155.87163520956398,-35.45101136922887,E,B,1
Married,Yes,African American,Brazil,E,C,-30.15969102102311,A,-52.53224300578814,-120.7108660943584,103.92843753711611,28.905788415599527,-40.75029387632681,B,B,0
Widowed,Physical,African American,Brazil,B,A,-2.649335764297482,E,-68.78316180722453,-33.24125083774809,188.88733046603906,127.3705643567018,97.68418829347851,B,B,0
Divorced,Yes,Asian,China,B,E,229.28505352734004,B,19.56041191306406,-192.5297289982065,17.38352866327822,56.91416340917856,168.2389954036062,B,D,1
Married,No,Asian,UK,E,E,-67.02378387087094,D,18.925125415795545,114.22568654399666,190.3003643086463,100.58334855154752,41.094071819711736,A,D,1
Widowed,None,Black,Mexico,B,A,30.377048634262728,E,-53.28079079875264,57.470737568363774,-21.275859636474014,15.838806104466258,-96.50409952854493,E,D,0
Married,Physical,Asian,India,B,B,-105.5942594420458,A,132.56485944743062,25.135771906986488,30.615585464986605,-6.208884766432561,19.689215204578577,D,B,0
Married,Yes,Other,US,A,E,-48.9613705490332,D,-46.87366215238458,-232.90716869683757,65.54506107132318,81.0114319929206,22.70966898756059,C,E,0
Widowed,Mental,Black,Germany,B,B,22.081453329890756,B,140.81418272910403,-31.75551108018682,-124.96283558024139,46.08921683617814,58.540006567305845,C,D,1
Married,None,Hispanic,China,B,C,94.98920876281751,E,-71.74531569119978,51.56096358001613,108.0808084869796,-76.34784256115378,-164.08587667363423,E,D,0
Single,None,Other,Mexico,C,D,27.291315978755016,D,165.2466264140188,77.30494485802288,29.414572188266785,165.54084844622417,-103.17831816449106,D,A,0
Single,No,African American,China,E,B,70.82370109920437,E,-45.58151133607702,13.967492698349664,156.12648565181303,-43.09504418934766,-3.5471229896185514,C,C,1
Single,Yes,Black,Germany,E,C,19.297601446854245,B,-89.27368075758605,41.485029972764984,138.55205393603137,-25.47070608984125,89.13066124591678,A,B,0
Single,No,African American,Germany,C,A,185.06184075760524,D,-39.690287720643056,38.984071469523165,264.513324136479,-149.85344033584423,-33.0523179759884,A,C,0
Divorced,Yes,Hispanic,China,D,B,-0.46908508701156754,C,-84.089540802183,158.63867341741593,-11.34958093420209,-44.16292928034235,10.964949303416839,E,D,1
Single,Mental,African American,India,C,C,-99.97469554323256,A,22.331954159658427,-42.768998965684816,1.3004003488697453,-8.694004820941457,3.3476397926613535,E,A,1
Widowed,No,Asian,China,B,C,-84.03969530130978,D,22.835555480546358,126.99636377217207,-141.06138469924386,-136.0033183000991,8.846638830196417,D,D,0
Widowed,Physical,Asian,India,E,E,-117.29108367396081,B,68.20002714351298,116.8857023920906,-103.35733119248425,-17.348031903557796,-79.20516063440817,B,E,1
Single,None,African American,Other,C,C,-48.16444469797342,A,-34.5359120480353,-40.35188970965498,126.14144427944036,-19.267489811867485,-4.131194615341667,D,A,1
Divorced,Mental,Asian,Other,A,A,88.64780173339373,A,128.90940374995168,-28.659541997174355,70.02378966070529,-54.83132602590798,-229.68616371814286,A,C,1
Single,No,White,Mexico,D,A,-4.784716064742748,E,56.32865543421317,16.1045844844786,86.35497155688759,103.80288109426536,-26.94614123867913,E,B,0
Single,Physical,White,China,C,E,-48.509259997278384,B,75.38795636171983,30.921974261391423,69.80178053583491,53.89237599863937,-1.2167975093635601,E,D,0
Widowed,Both,Other,Mexico,A,C,69.27860850364247,B,187.80681073686225,96.84024769809795,-0.25408266568379045,-9.030310883122441,-31.501983174553438,B,A,1
Married,None,White,India,B,A,-18.372339560337988,E,160.22090490935412,22.14753539266288,-79.32134279648254,266.7791120477275,197.81006445159113,B,C,1
Single,Both,White,China,D,C,47.27802333143498,C,25.457020383173283,14.025254071122214,-127.31237335028354,61.56742135337441,49.9727267190543,B,A,0
Married,Physical,Other,UK,B,A,218.58282445467023,E,-20.213954227504267,-78.33022626560428,-213.91758912926687,-159.1979882246146,19.12929880371108,E,A,0
Divorced,None,White,India,A,E,-67.279031854883,D,45.68300264833677,107.9538428431768,-218.74413694471681,-139.46065909881102,35.95950536212549,E,A,0
Single,Yes,Other,US,D,C,-5.419974086462999,C,93.6196287768721,-48.23336441107396,-90.59646171904754,-68.16513043175361,-153.738377815668,D,A,0
Single,None,Black,UK,E,E,51.07102270820628,E,169.92860925951365,-18.77704789205946,-87.47925906700907,31.147720553903657,-86.15912927080952,A,C,1
Single,Mental,Other,UK,C,C,-40.595994142215915,E,73.08785988933451,14.615633060222013,173.79315143601644,-61.42543198878311,50.82637240379035,D,C,0
Divorced,Yes,Black,US,E,D,127.13441628074813,E,-156.5433253203444,98.06240498275953,55.30334663175049,-45.000932767683736,-74.00136901852005,D,D,1
Married,Physical,Other,India,B,E,141.35707333601675,C,-7.088312929259666,23.13842044636185,90.67307682713641,33.1743143217096,63.62048430557176,C,A,1
Divorced,Yes,Hispanic,China,C,D,-33.64897307239194,C,-63.223301025556225,-129.02301605225097,47.886548047627315,-22.344901068953543,167.36325715844495,A,D,1
Widowed,Both,Asian,Brazil,D,A,-169.10065956710326,B,-41.32533357817444,46.669236066573916,20.239554993080553,-158.2675752854212,90.60339760098212,B,A,1
Married,None,Black,Mexico,D,B,52.607216333907346,B,55.37139282095682,123.23640375161067,16.86226354249779,-6.395516766259702,32.725203914944316,B,E,0
Divorced,Yes,Black,Other,A,C,-139.26569205626026,B,-33.88691916690584,-136.5635366436001,-0.38267571060883115,-68.5381674713268,-85.72753030462069,A,D,1
Single,Both,Black,Mexico,B,A,-179.64759454151883,C,-176.81895403071076,42.882313408855175,128.50943888809812,-165.3190992437036,-52.58876436058413,A,D,1
Single,Yes,Asian,Other,D,C,14.170648731098842,A,101.94788309158145,-75.1482326248357,-38.26219184597976,-20.185166953657138,-73.66897048327371,C,C,1
Single,Mental,White,Other,C,D,49.61807576274372,A,-30.891073646491364,36.26756685413902,-94.35460712871789,56.69866629608615,219.2679839977591,D,D,0
Divorced,Yes,Other,Germany,E,C,20.709654737369547,A,-49.03748902681715,28.327384650988886,-118.29065655279163,82.38219071946571,-145.58467149397413,C,A,1
Widowed,Physical,Hispanic,Brazil,C,D,96.82069897224838,C,93.62721913101623,79.16966628406662,38.50476232032422,88.40717713099069,49.21007184318151,C,E,0
Divorced,Physical,Black,China,A,D,30.538913194374494,C,-34.50385892889907,-164.34195110127604,-51.71153507286432,-42.375627747216164,199.74423331894369,E,D,1
Married,None,African American,US,D,D,-38.21196542874253,E,-79.87415678912983,-72.87609297248595,145.31342543009285,-150.59187122130115,85.64238690248631,D,D,1
Single,Mental,Black,US,C,C,28.053257957793853,A,6.2942747853781205,121.49047647070546,26.17772126046386,-12.407694842449153,112.71808960813283,B,A,0
Married,Mental,Asian,Other,C,A,21.53127333920775,D,-35.23007243395794,-106.63660612593067,-119.32975217766517,206.04279946253988,84.62113719450889,D,E,0
Single,Mental,Asian,US,E,E,72.27569239641205,C,-174.99980605381083,97.09315147409413,16.128636837965455,-10.057960639332201,-73.68135000423173,B,C,0
Widowed,Both,Asian,UK,A,A,150.06554147327992,B,-161.88344239740513,-180.91630529995845,-23.05628351865418,-27.07220209885567,-192.707489258651,A,B,0
Widowed,Yes,Hispanic,UK,D,B,62.277715172098524,E,44.56739045115692,-51.56745186503085,131.61895636294722,-180.19665475812104,-6.997434426893648,E,D,1
Single,Physical,White,Brazil,D,A,-50.229960207405725,E,51.97398351580692,39.44885052631446,-48.16084025144128,-222.99937957045205,-3.865821118697352,A,B,1
Divorced,No,Black,US,A,E,-69.1586910444485,C,92.49715114088843,32.419340251281135,79.09089667757524,20.511196353660814,110.58023278873428,D,D,1
Divorced,None,Hispanic,UK,C,B,30.132314282545202,C,-11.990789846931415,125.88628201131922,-11.296594046735837,-36.33627875584139,8.354406817891245,A,C,1
Single,No,African American,India,E,D,72.66945217790985,D,57.933211754949966,160.5848679495649,5.424215159727256,67.30052057155014,-57.662056054653156,C,A,1
Divorced,None,Other,China,B,D,12.132289191715389,A,16.466049957374864,-51.60388618366048,90.34696431842389,0.26102971381533563,14.077012500253169,D,A,1
Single,Both,Other,Germany,E,D,-28.820433387474946,D,-115.30009390193494,-69.368021568381,-18.456941682910614,75.14699116775815,-126.33277245958257,D,B,1
Divorced,Mental,Black,Mexico,D,B,30.832609738518197,A,-46.8732339037709,-77.22154922228282,89.71958011111055,-14.487977410026575,8.49194321814664,C,C,1
Married,None,Other,US,D,B,-136.57616786079504,C,-4.199932941822043,262.5621894075703,-97.01203191773531,-39.272468544049424,-82.63952243365561,C,A,0
Widowed,Yes,Other,Other,D,D,54.12861293224262,B,-32.17065504885234,-91.11809096292987,58.970064236635324,-97.10124351377345,-113.89349155000737,D,B,1
Divorced,Physical,White,China,E,A,-142.09592215478852,A,-13.90564936361883,41.915812790719926,7.466502174578762,16.77512846409328,-82.61975189745299,D,A,1
Single,No,Black,Mexico,A,B,42.041505321281,E,-25.36280990491717,-143.74872991248478,93.69562677128633,84.345792901479,-145.68886862871676,D,D,1
Divorced,Both,Black,India,C,C,-50.97840173451459,B,-17.89959932978316,150.04298310086867,30.773628583941083,-131.58869523943795,-9.44063061242075,A,B,0
Divorced,No,Hispanic,US,A,E,177.54270013221597,D,58.27371684214578,63.2417788291489,23.405452909169906,52.137555742909235,61.00654242715454,B,B,0
Widowed,None,Hispanic,China,B,E,80.6096251337736,A,17.761123794117058,115.33708223165281,-121.62063905353561,56.94042395990334,42.27208478676939,E,D,0
Divorced,Mental,White,UK,C,D,33.80467383774044,C,78.25317516598261,-26.011532605425053,-165.413990337097,-7.758962073640661,58.64640635580778,D,C,1
Divorced,Yes,Hispanic,US,D,A,-138.1235677840179,A,-188.98898745460266,47.00727943754554,34.622436800744424,-113.28610447317742,53.39524721354104,E,A,1
Widowed,Both,African American,Other,A,B,62.27579103740186,B,6.145818020845261,-42.17869032041043,-13.760877769365834,101.48266103941299,-77.8900114894268,C,C,1
Single,Mental,Hispanic,Germany,E,D,7.196490582122787,E,-106.85253499458642,-126.93110533578793,-129.22758750287306,-75.78220738574497,-91.94312326894743,D,B,0
Single,Both,Hispanic,China,C,D,72.11826531207645,D,-285.51442086217264,13.802871301375314,56.97715935346276,62.54291652417477,-134.91895444760408,E,C,1
Divorced,No,White,Other,A,E,-82.71940152315895,D,-42.3045494104146,-34.857287461703415,134.57686199053194,-13.751530349717022,-43.60833614770293,D,D,1
Single,Yes,African American,Brazil,E,E,132.9412425661374,C,23.896899917069142,-43.04594934435554,-30.75275694191804,-29.995802485457464,72.03179264335708,B,A,1
Married,Both,White,Mexico,E,C,45.72317712380875,A,-177.93302278644882,-6.533622302074971,-112.26531665137065,7.7742213348809335,-139.64209990635518,A,D,1
Widowed,No,Other,Germany,C,C,-42.71377820470522,E,-117.19489792816911,34.562104205563706,9.697291527754038,-12.143365839397495,124.90917258084507,D,D,1
Single,Both,Hispanic,US,A,A,97.75300399060671,B,-38.79130265455394,76.76211084544192,-56.89862811890101,6.927877467194271,108.99331235050882,D,E,0
Single,Yes,Other,Brazil,E,A,-78.41096349304968,D,63.97622482841416,79.63213948848113,115.24335277634911,-95.9372885119209,-95.84614452183693,B,D,1
Single,Both,Asian,Germany,A,A,-44.387850334594475,D,105.4431761517255,171.30179120089392,59.465328382661184,26.285523428032754,186.97436298210374,E,B,0
Widowed,None,African American,US,E,A,-184.20482360246285,C,-52.3040011722253,52.84434251416784,-41.31183379320484,-69.56169997102799,68.14512122364499,C,A,0
Widowed,Yes,Asian,UK,C,B,-12.71501351623477,A,15.976108280028397,-67.98332368447143,104.18064560784602,27.414859320319458,203.4081824344332,B,B,1
Divorced,Yes,Other,Germany,A,C,-74.66026725651763,D,28.315524099694084,203.17997681423816,-51.335684741047416,62.91660135796725,21.7947435742739,D,A,1
Married,Both,Hispanic,US,E,B,99.54577287674537,E,17.98701131440165,105.26871888401863,-31.902911207282443,127.65603925510425,49.195492350985674,C,C,1
Widowed,No,Other,India,B,D,22.73554023817064,D,42.59002327149121,116.18777977705723,-103.37903247085825,-44.982537472931064,141.3148982774446,E,D,1
Divorced,Physical,Other,Germany,D,E,-37.88665506240373,D,-143.83878103597536,-6.995851524805557,-157.86209456291942,126.33942410245353,-194.8149368060284,A,D,0
Divorced,Mental,African American,Mexico,A,B,-46.66404598578758,C,-64.91666100100109,-91.81666525109151,-56.58724753808394,97.62643198665596,-57.84263264672206,C,B,0
Single,None,African American,Mexico,D,E,-37.99588393829038,C,-81.22609600255531,-134.25567374491908,-142.55819852538482,-111.77608420929428,-68.32004098361007,E,C,0
Divorced,Mental,Other,Other,A,E,-65.69183159470624,B,-33.07353003373884,5.131688826636931,43.81833083439593,89.10941297742471,112.28761486698828,C,A,1
Divorced,No,Black,UK,B,D,-248.70616057654195,E,24.467944992006004,-172.9750665931792,-8.6575388960532,3.332545451151475,-73.53070248370464,A,B,0
Married,Both,White,China,E,E,-12.284186138232126,A,98.33453776186055,89.51847468212407,-147.26572530805976,-89.47935563517534,-118.56642868357225,D,E,0
Single,No,African American,Other,B,E,7.9049580653066345,D,76.31770217018065,257.5700107641026,-102.18300017644113,36.85698650349371,65.04853504322307,C,D,0
Single,None,White,China,A,E,57.068256119946035,D,-65.74629713349177,-118.32311611789814,-94.2787463444975,-5.271021411732519,23.967667269955857,C,A,0
Widowed,Physical,Black,India,A,C,51.97557375527094,E,116.4050935672422,55.43191087104674,103.13997128460402,-19.504807156292202,-119.41129973533855,B,B,1
Divorced,None,Black,India,B,D,-227.15922906730302,C,37.544829162487126,-116.83647670490589,51.51346517050983,-6.615638606602508,31.865310737792328,B,C,0
Single,No,African American,UK,B,E,154.22246813760287,E,107.1387907386618,-136.96731306491588,-13.52183754470021,-179.41586908759334,-31.275814603947044,A,B,0
Married,Mental,White,Mexico,C,D,-128.93281273636853,D,62.86414167724559,198.58801480430765,112.45604577951407,-17.335607071710346,253.42856325844596,C,C,0
Widowed,Both,Hispanic,India,B,D,56.29742102444052,D,40.52044324162944,11.577576100358506,-4.022535298065543,53.30779843054218,8.506273372236665,A,D,1
Divorced,Mental,Asian,India,C,D,-50.70532507716915,E,-161.29444617367176,-16.681585875217277,55.98175280327078,10.729395423604398,-69.61965321816915,B,B,0
Widowed,None,Asian,Other,C,C,-183.39387621053436,B,40.63482807018104,79.08776215517652,45.407822866266436,34.007429783280294,81.86986501057302,E,A,0
Divorced,No,African American,US,A,B,-5.100098333820262,A,30.88714891155574,84.46218901840228,-73.65964827772635,112.41518215919943,-35.61417849892117,A,C,1
Married,Mental,White,Mexico,C,A,-40.01610995760766,E,-113.384348068697,140.9761042190321,-78.46400386215329,-52.65771115775454,-81.76702547515754,C,D,1
Single,Yes,White,US,B,E,-68.44600641080054,A,0.8003912085702841,193.73709835026744,173.12700984075778,-130.10111689384638,-13.240033184431338,A,D,1
Single,Physical,White,UK,D,B,-153.3235175842413,B,-58.45725313463053,38.4669768278693,-59.099789465465655,159.33630876364643,33.837998484028645,E,E,1
Single,None,White,Germany,D,C,-92.4798535279506,C,96.12201859236971,-67.80059029838259,-20.60110728877857,-260.737823707528,51.72546435089473,C,B,1
Widowed,Physical,African American,Germany,A,D,49.921225413236506,E,-21.702402599421713,172.4139607396557,102.13936482531338,-142.9016727252368,-15.822404775220752,C,B,0
Married,Physical,Black,Brazil,C,B,-120.03444635534188,C,-28.35945879041676,209.202076437939,97.89467990603275,165.43556451417618,126.43094879240553,B,C,0
Married,No,White,Germany,A,A,3.8924115213005948,E,19.09463001048307,-96.44332566137138,-71.1013272446502,-132.73639700370506,50.23517143324605,E,A,0
Single,Mental,Hispanic,Mexico,D,D,175.1536550366413,C,13.450849850917612,20.27425702656683,54.43257650844816,-51.84502896860842,178.2555722376255,C,D,0
Married,No,Asian,Mexico,C,E,74.20081989913055,D,-9.605539326706534,-63.74752116648872,-25.726673699223284,118.15672484048679,-12.96747437735069,D,C,1
Widowed,Mental,African American,Brazil,C,E,58.091876830131305,A,-70.35213417108062,-3.043276413135497,-22.71384844698598,278.4473509074219,-7.649939854276474,E,B,0
Married,No,African American,China,D,B,-41.480103415017155,E,-120.94711467658684,82.22080322050019,-67.4896654350527,62.2279358928997,26.63125085116272,D,E,1
Divorced,Mental,White,Germany,E,A,-181.76590044485468,C,-41.7841464286169,13.818587493959974,138.3969838851844,59.99825172319786,-92.43540808476764,B,A,0
Widowed,Mental,Hispanic,Brazil,B,E,-9.015775648503336,E,42.468099865714734,38.223158064856975,-49.895577446910984,7.951244679861615,100.04203107447943,B,B,1
Widowed,Mental,Hispanic,Brazil,B,E,-60.141415851519355,B,60.23059405327578,-23.831338305978438,182.09679111049817,-42.05209556114442,89.30507802521313,B,E,1
Single,No,White,Brazil,C,E,38.66240848131694,E,-32.21469409707888,-116.60532012302598,57.12374641668906,-20.3204962297367,-131.45638897703924,E,A,1
Widowed,Physical,Black,Mexico,B,B,5.089039288551576,B,215.43315510562988,0.1119157071284727,31.662034816208955,-94.09113270923558,10.840554858927488,D,B,1
Widowed,None,Asian,India,A,A,61.044639452564574,E,10.94520522897989,126.34395370920612,80.0306441263118,71.86814524351732,-23.484569081153147,D,C,0
Married,Mental,White,Brazil,E,E,93.87279324781649,A,-108.05898357898963,-32.730915368411836,199.94119554431407,35.347571640613204,80.43841923010856,A,D,1
Widowed,Both,Other,China,E,C,-71.12635517996468,C,-84.77902167549261,-43.80015687397174,-69.44168362179612,55.433611399869896,185.10361047731837,B,B,0
Single,None,Hispanic,Mexico,E,D,-11.402764339672784,E,145.23676868933015,89.81389038743279,46.577826612651194,-9.329564294687847,22.069739497811227,D,A,1
Widowed,None,Asian,Brazil,C,A,44.3609326414675,E,32.72226281299561,-114.31000846983885,-8.890696591323751,113.47996846237567,-55.83570545645706,E,A,0
