age_range,SEX,ethnicity,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
26-35,Female,Black,Physical,D,D,D,80.09721789452361,D,49.208109516626,-74.79109246440034,D,172.74958386583833,217.26952461600973,B,-32.368990528017974,D,1
26-35,Other,Hispanic,None,A,B,D,-0.06573543764550557,C,-13.976063375051186,-31.047628503625607,D,-58.99327180592315,-12.782850327768777,D,17.149015571090484,E,0
18-25,M,Other,Both,A,D,C,198.56429383408255,B,-93.04023255003445,66.72504136116262,C,132.63209778694477,-69.38627112771233,D,60.41243674049358,D,0
65+,F,African American,Mental,D,D,C,172.1653878934434,C,131.7250097239946,-8.928702460460848,A,-40.07428822133263,-293.0149798009526,E,67.33078373679514,B,0
65+,Other,African American,Physical,C,D,C,110.12185014376008,C,-62.638191317723035,100.40825097146178,A,-67.50826883529476,-145.4788247211863,A,-30.081956235236206,B,0
51-65,Female,African American,Yes,E,C,D,-84.7956997921754,D,-116.50648470080252,-103.95191859968531,A,-174.20825219354677,-99.02837899270402,E,117.85010452260045,A,1
18-25,Male,Hispanic,None,D,D,E,-24.70427658562238,A,-249.4977536075793,-228.9409519302549,D,-85.1258764132889,-7.04370095182764,E,11.991735010125371,B,1
36-50,Male,Hispanic,Both,E,C,E,13.925690023229965,E,73.72705772456321,-142.5186507852358,E,-218.214836942621,-219.27138157622798,B,-130.5402620369268,D,1
26-35,Non-binary,White,No,E,B,E,-64.1771263953985,D,95.13424885546863,-92.7123912178487,A,-9.855944743186216,-7.9446973782149986,C,2.8225360237154624,B,0
51-65,Non-binary,Other,None,D,C,E,-19.875739739432394,B,103.50927012874939,90.75085017218126,C,63.32953384089347,23.65975650999991,A,24.446051816709776,B,0
18-25,Male,Other,Physical,C,C,A,40.9935903957641,E,-62.06311294743965,-40.82853914086416,E,-69.44957020546198,-115.45927988433617,D,-140.6627422904223,A,1
65+,Other,Hispanic,Yes,E,A,C,-202.20039921265646,E,-17.44152598899321,-67.6709678615455,D,-146.55253654431573,-176.40178028250375,C,-82.97917256493707,C,0
51-65,Non-binary,Hispanic,Mental,C,C,B,-49.852274648109855,D,-27.58623594059406,-60.779083408727644,B,147.57620603010992,-112.66854283132707,A,-61.18370912314157,D,1
36-50,Male,White,None,D,B,E,41.258457614821516,E,-38.18964690071978,37.17546149628349,B,-74.07884132769891,84.66477866902844,D,21.286789955262233,A,0
18-25,M,Hispanic,Yes,A,C,A,63.34989645288797,E,155.40247480843382,-39.04763485147958,B,-27.684285591344064,60.8048243373667,B,-233.49945539929217,B,0
36-50,Other,White,Yes,B,C,B,40.36975956471932,D,34.76467731509661,-87.21544580030469,A,-156.87125237895592,136.47573559852015,C,246.57010787660823,D,1
36-50,F,African American,None,B,A,E,195.42642632624566,B,-119.17595789969508,92.98067997739736,A,-155.41939800152696,-16.634365161652713,A,-10.317568706073725,D,0
18-25,Non-binary,Asian,No,B,E,B,124.16251474342049,A,90.50050518587214,-69.80575247205249,B,-127.81543206851813,-26.583279406745447,B,-31.335793115740735,C,0
36-50,Other,White,Yes,C,A,A,38.18279619716791,B,5.788447429831034,72.1757974665506,A,40.45050673668256,132.91608199765403,D,66.67239947921658,A,1
65+,Non-binary,White,Yes,E,C,B,82.45477043489217,A,14.490682538361968,77.58119561989584,E,124.36928296437317,-64.10353184244923,D,-91.50481075977738,D,0
65+,F,Hispanic,None,B,D,B,-103.88807897690602,B,-44.31078820143423,-3.6516555547962044,D,-108.88295634769494,-80.59625395626186,A,-6.243799501507844,A,0
51-65,F,Asian,Mental,B,A,C,77.06001613236991,D,-61.968933605372186,-69.10568972490336,A,-65.38508778247626,-119.9912477115421,D,21.345964152845152,E,1
26-35,Male,Hispanic,None,C,A,A,22.808692423225686,B,-23.59713187031419,-30.454182738729145,B,98.83292504931853,-195.11540744925338,D,138.02500700803182,A,1
18-25,M,Hispanic,None,C,C,E,135.51299154463857,C,34.94381649365316,-120.32015487258813,E,-45.36419256415624,37.69045729990941,E,157.37207009198414,E,1
26-35,F,Asian,No,A,A,C,125.56027038404196,E,59.415997212751336,-110.86266677934462,D,-37.429046192990306,-110.5192310345145,C,110.62099425051939,C,0
36-50,F,Hispanic,Physical,C,A,B,-21.43164784641455,E,61.42953459412176,-138.3088421258958,D,2.864653961936664,-7.188592700937427,D,30.57068407826219,E,1
36-50,F,Black,None,A,C,B,107.39563728291037,C,6.4667217712634955,44.556229569481715,E,-63.079455844970255,-123.92627231669115,C,154.85078646689888,E,0
65+,Male,White,Both,B,E,A,-110.45564443521101,C,26.141235116783058,-89.09799803168771,A,-88.4249801256271,109.34166847336843,D,17.69553827301753,C,1
18-25,Non-binary,White,No,E,E,A,-42.743569055822,A,-97.71408277274496,64.58066464359224,D,-88.23418271510613,-150.50126045200437,D,-165.3476007179407,B,0
51-65,F,Hispanic,None,E,D,C,37.322595863501334,A,20.650412516064588,37.39800386479273,C,-146.84471127335303,51.519893773090445,B,97.30158286884712,D,0
51-65,Non-binary,White,Mental,E,B,E,-8.049928666718516,A,-55.14015220000184,-10.319398162159247,B,-80.17901420613866,138.74724659830505,D,18.60135921183509,E,1
36-50,Female,White,No,D,B,D,35.27360368006669,E,75.41469800780442,52.84888148840685,B,187.20042224242934,-4.5728282004737375,C,-29.99004519659816,A,0
18-25,Non-binary,African American,Yes,B,C,D,27.089792808448514,B,-167.13718438998995,-41.970191136698446,A,-8.524859015091646,61.868827355412236,B,171.76209340805565,C,1
51-65,Female,Black,None,D,A,D,-75.77132375878848,C,-97.23396777897193,56.870763022876645,D,71.65390738714947,56.891008683018576,B,-26.51374958136527,E,0
36-50,M,Other,Both,E,D,D,-49.667986829788205,A,-46.4663878178778,-10.543655754920335,C,-41.633465205632916,120.45852400104995,C,51.23509831589095,A,1
18-25,Non-binary,Other,None,A,C,C,-159.66752880122735,C,33.877987507316135,125.0754454625444,B,-34.28036573829607,-113.11070707173354,B,115.45663929705754,E,0
65+,Male,African American,Yes,B,A,C,-59.21311153098103,E,-283.7754814914205,-241.53421459996048,E,84.90796577866033,174.33117062202433,C,78.50450991227962,C,1
51-65,Female,Black,Physical,D,A,C,-117.36254120188615,E,221.28907599339317,-172.93455516188314,A,24.64438308920825,28.645621442667746,A,52.94709195691585,A,0
65+,F,Other,Physical,C,E,D,41.492622322710766,D,-28.482870643373083,272.68682849321203,E,243.02408418272634,-17.716882957016946,B,126.01101208707814,D,0
18-25,F,African American,Mental,D,D,A,-35.50482770198794,A,-5.995073507248304,-271.0797698105567,C,-12.096146526064514,-135.6775757429901,C,14.291822816052965,C,1
65+,Female,Hispanic,None,D,C,E,-45.98336427794547,E,-52.4726263632044,-143.82973136584917,C,55.8614037213928,-151.86560918935606,C,53.900055651799605,E,1
36-50,M,Other,Mental,D,D,A,73.31424577314898,D,18.25119824268909,-119.10975844086747,B,79.65991482431338,46.546304017132364,A,-139.90599989397597,E,0
36-50,Other,White,None,C,D,E,134.33389248928748,B,142.56620174530389,-159.3027510895324,A,-10.988891584914693,203.9608327495829,E,80.54475378832512,C,1
18-25,F,Black,Yes,B,C,D,26.37311927481808,A,-71.6187519974874,63.669897831606825,E,56.10330272511537,-96.13636856301517,C,-29.902276310612663,B,0
65+,M,Hispanic,Mental,D,E,A,-106.01639216782084,A,-125.27543495486685,-94.54290219740722,E,95.27632079094174,67.08120913099549,C,-26.266042787729482,E,0
26-35,M,Other,Both,A,B,C,77.1483309762616,C,-36.41668794161155,124.30075048966532,A,25.13035653207657,27.77966306078931,E,-159.29019671533743,D,1
51-65,Non-binary,Other,Yes,B,D,C,-37.12899753842019,D,187.03631100453237,-39.5294097445455,B,96.9027377993205,-111.55716614557998,C,-14.074547337244184,C,1
51-65,Non-binary,African American,Physical,D,D,D,-83.87002722334698,D,74.56967852852229,28.087620246159645,A,-1.128161718493312,103.63220455163548,A,-28.230891201040052,E,0
18-25,Male,Black,Physical,D,A,C,161.2804726483839,A,-21.71050269811249,157.79642019554746,A,69.80062562566987,256.7747677621863,E,-3.564193071003973,D,0
65+,Other,Asian,Mental,A,C,D,-56.647993891249314,E,-116.44209112210726,-153.8303486477887,B,-70.98814136287152,-140.5618921229541,D,188.33577252538356,C,0
26-35,Male,African American,Physical,C,B,C,80.76907923456862,B,57.93616296329503,99.55479792457919,A,46.25975759192428,35.31065859831655,A,-16.407168783919523,E,1
18-25,M,African American,Yes,A,B,D,-69.89504517249085,E,141.61695372712683,15.337472328558249,B,91.36554130238804,220.93452009226584,E,39.67290475926533,A,0
65+,Male,Hispanic,None,D,C,A,-136.00405822945012,D,-1.5421138157728898,193.0537965493556,E,-98.07439406266214,-133.6386386695816,E,94.26456202292623,E,1
36-50,Female,Other,Physical,B,E,A,35.51429367168765,E,22.566000219665725,-119.53233105516455,D,-80.66958397997769,-52.327663682459736,D,-94.82597659297095,E,1
51-65,Female,African American,Physical,C,E,A,-136.71201086973593,A,33.35186098934762,127.16472178627276,D,-82.4091214088497,-60.7431174289204,C,122.42031459500377,E,1
18-25,Other,African American,Mental,C,A,D,-137.12805942884592,B,21.08404810678397,-91.14352657875934,C,112.60624171251806,41.2990699276258,B,-12.503350944497505,C,0
36-50,F,Black,Physical,B,C,D,20.893835295094437,A,40.66681169793483,36.64088831715008,E,-42.71074274672491,-171.94396631403492,E,-17.154948699986335,E,1
36-50,F,Asian,Yes,A,C,D,-213.24188527365345,D,-129.02106281067913,-134.61004350108465,C,26.697049836782156,163.7513918385891,C,94.9743585008842,D,1
65+,F,Other,None,A,E,D,96.71599421079358,E,-24.9327790329683,-88.9989462600861,D,-19.264294117847754,-31.395991852108658,A,-352.67779710712273,E,1
51-65,Male,Asian,Physical,C,B,A,-0.959859437571249,C,-231.65321024926962,-130.54944666411222,C,44.58751005970807,-106.64821002776978,A,-18.546130286948213,B,0
51-65,Non-binary,Asian,Physical,E,E,C,29.650792137768565,E,-15.587154344347601,-67.96020124063674,C,35.49829775687804,-122.82980362376392,E,205.31547909169868,B,1
26-35,Other,Asian,None,D,C,E,33.4523016905022,C,37.34901586321702,113.30803781074819,D,-57.52207937598065,-42.28528186001864,B,65.64803967875768,B,0
65+,Non-binary,African American,No,A,D,E,168.4446874994066,E,33.4268285331177,-154.13233199026536,C,-53.64020037791628,103.4500582300669,A,-9.86146709537078,E,0
65+,M,Asian,Yes,E,C,E,-68.58792778340941,D,-71.66699063240142,134.11429459246128,D,-17.306469901578023,-37.93681471992769,C,278.6943630876257,C,0
65+,F,Black,Yes,D,D,E,-30.79602598513922,D,93.3106567799817,-80.3363576645204,E,-12.803698245196498,59.471153946458585,B,-56.74542191808579,C,1
65+,Female,African American,Both,B,D,D,-12.747984613858678,C,-27.43028485217967,-16.119837490757494,A,162.34518394390594,-121.84264622746164,D,-18.992452812319474,E,0
51-65,Other,White,Both,A,C,E,11.266245518613932,B,-26.66591453258718,-37.79585998064211,E,-11.203211156000812,25.76320898591221,A,32.422688023105714,A,0
18-25,Female,Asian,None,C,B,B,-216.4717096584301,A,43.226001478012584,-88.20428002358078,C,-160.3277498221038,237.8790764806622,D,129.05864898665286,C,0
36-50,Female,Other,Both,E,B,B,53.31623318969645,A,26.493289883337585,48.669577520618326,B,-28.570048008311037,-86.70308506803987,D,70.11360825556639,E,1
65+,Male,Other,No,A,D,C,74.68827972052873,E,-112.78639506160111,178.62394737501927,D,-83.29671616603397,107.97939121721663,B,-174.04882644784334,A,0
65+,Non-binary,African American,No,B,C,A,66.27574739698984,D,28.78590169302108,-114.15131590786199,C,36.251237879342476,-109.42502858568486,A,43.78277469049654,C,1
65+,Non-binary,Asian,Mental,E,D,A,-145.77072172847528,C,7.376764469615751,-9.38340682618346,B,-104.73482963555274,8.138714576152056,B,34.46688360426677,A,1
51-65,Other,African American,Physical,A,C,B,50.53644918820569,B,40.77232576496691,-27.03571089054296,B,133.20964526347228,-72.71444696720563,E,-45.26647955638924,D,1
51-65,Female,Hispanic,Physical,D,C,E,149.5965443400736,D,140.29578775453137,102.24810154138552,C,-84.21816509322115,-59.230477174687564,E,-42.019744463636385,A,1
51-65,Male,Asian,Physical,D,D,A,-123.13248988760859,B,89.9288947098279,46.40932496349767,D,-106.6536547731814,27.475250819633818,B,-24.22130570827606,B,1
26-35,Female,Hispanic,Yes,A,D,C,-49.93992598795966,C,-59.86031848624294,38.32163003738303,D,-232.9836856823233,103.41663008591662,A,12.442684897359621,D,0
36-50,F,Other,Yes,C,E,C,59.69172228296434,C,73.32060127852237,114.41644009419466,A,-59.40833026509957,43.83402817775679,B,63.903238176131914,B,1
36-50,M,Other,Mental,E,C,C,149.5972659073806,A,9.304834227320192,-27.675075301545615,B,-256.55280734552133,-87.92573944287034,C,-27.117429439062484,C,0
36-50,M,Other,Mental,E,E,B,12.70719563704895,A,51.14633544437485,-59.30278356205437,C,-79.91232416794476,126.88139419666138,C,77.73998506092028,A,1
36-50,Male,Black,Physical,E,D,D,-52.62065240853519,D,-66.14569992038535,-25.852881312789204,B,24.43698599088841,-63.25963277456127,C,-112.33930559052313,A,0
65+,Male,White,Mental,C,D,B,28.426078920407,B,85.20662769099333,-234.45164460851427,C,227.74248847406713,-87.84895053669564,C,-42.345002367095056,E,0
26-35,Non-binary,African American,Physical,A,E,B,-11.944688803772332,D,-90.46139543891748,-131.32508305556206,E,81.28479640004072,-94.70249920108184,B,53.62718141496734,A,1
51-65,Non-binary,African American,Both,B,B,B,15.194128796621504,A,-60.1452498361873,46.00316834341099,E,140.33477412895013,-68.48650414183251,D,-5.53351694614631,C,0
36-50,F,Other,Physical,B,A,D,-52.581540095097125,A,-120.45778625749197,-148.5147651818156,A,-118.3372651301784,26.20528947480806,C,95.91371488443737,B,1
36-50,F,White,Physical,A,B,A,-13.989643512481114,A,179.69578828361418,-69.02826375465362,B,-38.952462971794574,-68.58808838966873,A,-71.17258370391504,E,0
51-65,F,Hispanic,Yes,A,B,D,-80.43438710705571,B,45.45605336622961,62.183913895123354,D,-66.4900373313099,264.5671269798163,A,-153.4824845332047,B,1
36-50,Male,Hispanic,Mental,C,E,A,160.38808246633397,E,199.5153937424171,-26.590725058706017,C,-69.99301562994091,-140.2054190907832,B,114.70757703594326,B,0
65+,Other,African American,Physical,C,A,D,8.719398726772841,A,-145.77276428387339,27.587098265313752,D,-59.73139112986872,33.74078048392386,C,-81.03753526929187,D,0
36-50,Male,White,Mental,E,C,E,69.38686622580278,A,8.162411314631136,-120.34257137756386,A,191.7194886024268,-13.028384329157044,D,23.111771332082814,D,1
51-65,F,Asian,No,E,E,D,-64.86849055678927,A,-8.777068469327833,46.63354584923401,A,-66.02181752241721,-91.08494138551741,C,-136.51238460111145,C,1
18-25,Other,Asian,Physical,B,B,C,-111.37370352538592,E,-78.86578402747105,-12.84909780720978,A,24.893370436404023,127.15809934420301,B,168.7435332530776,B,1
18-25,Male,White,Physical,D,C,A,0.7258412288471847,E,-85.1755325041621,58.274386450097516,D,-10.077411555011793,13.779360088077283,E,-43.40971853278788,C,0
51-65,Male,Hispanic,None,B,C,B,-58.149094187131126,E,-108.17937097760151,-33.25516329272136,B,6.603242242431579,49.685974397429646,C,105.26337810653314,C,1
36-50,M,Other,Physical,A,D,E,-38.38539344967514,A,-84.57698713218629,189.2251898904457,D,-119.09618536853186,2.1954756641686854,B,72.34825322788906,D,1
36-50,Other,African American,Both,B,A,B,-76.04132644446386,A,-155.59677034918238,96.62228684480915,A,-109.70805989079335,-146.86898570624635,A,-41.47147139673334,D,1
36-50,Female,Other,None,D,E,D,-112.84759835349053,E,116.33625296738497,-78.76157807217987,C,267.60945770487467,17.62498589240866,A,126.00674322093948,A,1
65+,Other,White,Yes,A,B,A,23.85463342119198,A,-109.08225221870521,-44.50367466374266,C,-15.952088690108068,101.11188325566177,E,194.29927305622044,E,1
51-65,F,African American,None,E,B,C,163.4354488547387,A,-24.09796597040925,-77.07450353857028,A,-125.70519700282408,-131.68556987810513,D,-193.3510467059693,E,1
65+,M,Hispanic,No,C,B,D,-107.3809210124705,E,-106.70082652409573,191.8792704544918,E,-113.1898531072509,168.15890562392696,A,73.43058513413072,C,0
18-25,Male,Other,Both,D,D,A,60.335669152581936,C,88.70383781842105,58.615242911988034,E,14.340448557513142,93.52209126313218,C,92.77868237380092,B,0
51-65,Other,White,Mental,C,C,B,36.713156424396736,C,93.32801786519215,50.79645179512951,B,184.27922443759064,167.18628405231848,A,14.865194089331926,A,1
36-50,F,Hispanic,None,B,D,B,20.427906405938298,C,-82.72295479526609,-113.84429900042659,A,-128.28185871590898,-26.385079605291413,A,4.475246128828734,A,0
26-35,Female,Asian,Mental,B,E,B,122.07060942995807,A,-50.01226664986832,-93.32644221241941,D,-73.97107305393638,214.6970907880426,E,300.0787842920564,D,1
36-50,Other,African American,No,D,E,C,1.7228055758102778,D,-45.12484104449224,201.41058343379754,E,-33.49999875837416,-2.680239106506308,A,-10.82222534423727,D,1
26-35,Non-binary,Other,No,A,B,E,-236.38048095646664,A,0.10658824071832183,112.3533963434211,C,11.931059984240736,76.96244789419956,B,-6.7931881053149334,D,0
65+,F,Asian,No,B,C,C,-22.6913627774187,B,-144.04961481261475,-228.16172637169836,E,-57.17267060185739,-26.709664404535065,B,-45.30626656453842,E,0
36-50,F,African American,No,A,D,C,-163.16315066047426,D,70.29570045376157,102.25154136231535,D,21.188313488990058,99.7294385350667,B,-60.695955847606285,B,1
