nationality,Religion,age_range,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
China,None,51-65,60,60.0202486548791,-42.089968309245194,E,25.98738466033369,-13.320701635000937,B,E,101.59487337814556,A,0
India,Muslim,36-50,34,-107.3834604371363,-70.55948121779846,E,86.29465748564557,-84.8748030155605,E,B,-219.45541095534864,E,0
UK,Buddhist,51-65,56,99.85837779835252,-79.84679439797014,D,-172.54348931546173,-94.5350624872766,D,D,72.60943422129303,A,0
Mexico,Hindu,26-35,60,-58.15928502357539,-143.38145274133487,B,102.39726134207547,-0.29808910384046733,B,B,-96.07648135266936,C,0
UK,Hindu,51-65,65,-45.37955265251238,112.85355764877536,B,41.96313163096262,-137.73672915273812,E,E,-218.27956992243344,D,0
Brazil,Other,65+,23,4.892147140859687,138.7450608626499,E,59.218920571922176,71.6992400471193,E,D,52.40911435774647,A,0
Germany,Other,18-25,49,-152.25239465136153,-135.2354518683866,B,130.93827004782756,33.98982970455553,B,E,-185.0577027536832,A,1
China,Other,26-35,18,72.60921290180342,95.41032107741358,D,-56.26323670179816,-124.78879941419511,A,A,173.02971411000752,D,1
India,Jewish,51-65,24,63.87151830253406,-4.987650266686448,C,-80.90711079685306,-133.70276821264656,C,C,-160.2659362260472,C,0
Brazil,Muslim,36-50,73,231.05876163704843,16.379338268633937,E,-88.98483333035122,59.518582296783315,E,B,-138.79766530030082,A,0
Mexico,None,51-65,72,49.39648195042328,22.0594949683281,C,54.232372341414006,-128.87212813300476,D,B,-41.66479923500253,A,0
China,Hindu,51-65,76,-288.2281546743373,38.96603622004046,C,-117.26761603121736,102.13194844597437,B,C,-158.41081002574077,C,0
China,Buddhist,18-25,41,-85.2044367464734,-95.94265963636613,D,23.77529447645368,37.68534813477661,E,C,26.427459529458176,A,1
UK,Hindu,36-50,64,-163.30655607952588,94.53247776278154,A,-64.75602054275647,-86.82982628945038,C,C,127.3885112290078,D,0
Mexico,None,26-35,37,-26.969166540079613,181.0243862003401,D,44.470348686781534,32.09170623951791,C,C,-30.298168570222302,B,0
Mexico,Hindu,26-35,75,50.72785991603537,97.41337664069341,A,-161.52591006127562,38.9026479435517,E,C,18.39716207246116,E,1
Mexico,Muslim,26-35,29,88.84565625346104,-85.24726050447991,B,99.08482910391828,91.30991892579968,B,B,-440.2802887985017,D,1
Germany,Other,51-65,48,60.13332663341634,186.1779340629218,A,183.00754147451747,13.535390385691601,D,C,135.95170222478467,A,1
Germany,Christian,26-35,33,-19.130301695718444,-98.26344363735436,B,56.02873370387168,32.41516534145475,D,D,67.25444130834231,E,1
UK,Muslim,18-25,32,19.871202714786147,54.27309482189395,B,132.91679408712162,106.85465395881243,C,E,-72.9316472130271,D,1
UK,Jewish,65+,71,21.048585765681004,62.48790219606908,E,60.199398696181326,113.99503156353803,A,B,129.56404368256153,C,1
India,None,18-25,46,-26.24389520334373,11.203932211438485,A,49.33063435232733,-80.20416427311652,C,E,-80.93859709826252,C,0
India,Jewish,26-35,78,-124.29008038360917,-55.05728641770003,D,-4.5359242592501525,164.60527460965645,D,E,-44.91556690725563,B,1
Other,Hindu,26-35,65,43.71445354364718,-55.98755344205563,A,44.87981505805845,69.10738739024691,A,A,35.71750502536701,E,1
UK,Christian,51-65,21,-82.7518977333855,184.22531614755738,E,-76.04370835020623,-171.01267171299634,A,D,138.07516110241014,E,1
Brazil,Jewish,51-65,74,63.105001021494324,-94.00355840159243,D,-109.12754146187311,-28.719945460397188,B,B,63.70349261033251,E,1
Other,None,26-35,25,-9.045623499493662,-38.29248494232373,E,-51.1511433203775,0.9545267681614499,E,E,-88.4865688561012,D,1
Other,Jewish,36-50,43,108.93783007638964,-73.431417758947,B,-230.54398022206337,110.54791981462006,E,A,13.396266588786792,E,1
UK,Jewish,36-50,45,-38.79188104829364,-24.583748327883676,C,250.03056360938172,-45.15253711075686,B,B,-28.854571059324975,C,1
India,Buddhist,26-35,48,79.52104869697662,-12.044414604822304,D,136.56291855287893,-34.69124104422234,C,A,283.3309733451973,A,0
UK,Buddhist,18-25,19,-60.95007973330342,-48.29274974958213,D,-78.0886740094735,21.32142409508928,D,A,115.41965966322887,E,1
Other,Christian,36-50,79,26.14172420130379,-31.883997637582528,E,-180.31899701916637,-74.49421549818285,B,B,111.30877269724044,A,0
UK,Jewish,18-25,73,83.6543293503633,-56.45458572558915,B,40.579302288030405,-157.53874104046207,E,D,-38.2689082328894,D,0
Germany,Jewish,65+,28,-72.9483191045973,27.500917657614593,C,48.18150959956155,-7.900762133298467,D,A,-53.5731349758234,C,1
Germany,Hindu,36-50,50,-12.251047449930057,39.80901961696085,D,-45.658784771203806,109.79007102826546,E,B,111.44133998886656,E,0
Mexico,Christian,18-25,26,161.89752243703683,108.9182393877448,C,-89.46109724514602,-4.474532689668188,E,E,175.2694927689754,E,1
India,None,65+,46,-87.74924480011174,35.73855291641087,C,-116.75570993023128,-92.25490110124073,A,E,32.70483676492399,B,0
UK,Muslim,18-25,54,-140.25711660032215,-81.08251089616581,B,20.664820465995824,-41.69271074599229,B,C,86.2755347088997,C,0
Mexico,Christian,18-25,78,22.389432315212723,43.77776248934984,A,-3.2879129217470098,4.1972812667159,C,D,58.431945961238675,E,0
UK,Other,18-25,53,35.46353419473632,10.845462508876716,A,80.520510430889,-144.21746850715476,B,B,6.187071791969029,C,1
India,Hindu,18-25,20,11.599949753025042,-0.0585696310333609,C,32.93121102078316,-1.9710279704070979,D,D,-112.4547453685713,E,0
Other,None,26-35,24,-222.8881251107778,-10.834539822703894,A,-60.92519779093295,9.166069340629702,B,B,-18.428578869756198,D,0
Mexico,None,65+,60,0.9436157623666891,127.42833678179089,C,-143.9811149947316,136.63049712565623,D,E,-42.95936948176358,A,1
Germany,Buddhist,51-65,26,-58.99064925961169,27.89291934563564,D,91.31249647344913,2.6493468106992055,E,E,-155.1292735089988,D,0
Germany,Buddhist,18-25,62,-26.467722901445295,96.3144767578925,C,24.370075391558256,207.09722460568292,A,A,139.01613222257586,D,1
India,Jewish,26-35,74,0.9587652700653405,-32.12360995200167,E,-156.1566784348816,-121.59571236147721,D,D,9.097445720811612,A,1
Germany,Other,26-35,22,-56.28310401471247,99.92646763086887,E,83.02879912214584,23.730238149905933,C,A,90.37276469318142,C,0
China,Muslim,65+,27,107.40189489595153,130.22766603398938,B,-3.308391573102723,-216.13229551343167,C,B,-28.511401370744455,E,1
China,Christian,36-50,77,-66.95280024341606,-27.368186150559236,A,-3.85683838539706,92.92694909374,A,C,25.497842280534222,C,1
Brazil,Jewish,36-50,47,-105.95965308153987,-132.2601108153725,D,109.42176970825699,89.3959795358655,C,C,-165.4181847864723,D,1
Brazil,Jewish,18-25,36,-104.23225165493797,-29.72367516278468,E,-88.0880191575301,-47.34340298820645,E,B,-69.70150362923044,D,0
Brazil,Hindu,26-35,49,72.89594885061511,-59.562562382764064,C,52.84468324652103,-29.71044924037342,A,C,37.589240564015974,E,0
China,Jewish,36-50,19,-68.2755263167244,-185.78158691103675,B,-30.258391866456115,28.483191168181953,D,D,-248.74118361887204,C,1
Brazil,Jewish,51-65,48,21.468897864584633,107.2887206278969,C,-84.93850333372345,62.96155736634975,E,E,-101.6411804606798,E,0
Germany,Muslim,26-35,73,225.02077877336967,237.87362723403186,E,130.36575300373914,96.66695536181794,D,D,-7.10224143535636,A,0
US,None,51-65,74,-33.14129002938963,-137.61183794199155,D,124.35858263882744,-49.323920583720955,D,A,38.9249177971044,E,0
Mexico,Buddhist,26-35,79,-26.177426105024427,-9.923378522095256,E,93.86471743249551,121.82208482068737,D,B,-97.38790902167834,B,1
Germany,Jewish,18-25,31,-49.73237594146722,-23.48272519843853,A,158.97918479287318,-48.614809841599836,E,C,169.75235219713068,A,0
Brazil,Other,51-65,32,38.49444950534438,54.33869624177326,E,86.52420648186836,-64.76617677687904,D,A,-75.92360480242705,B,0
Germany,Buddhist,26-35,69,53.4519085397717,44.53320473820401,D,-98.50747826769293,119.67216607288339,B,A,103.9988138985065,E,1
Germany,Buddhist,18-25,79,-15.809442976413562,-82.257177688575,C,179.78723560114742,-126.00984110770246,A,D,137.86976657205275,E,0
Brazil,Other,18-25,54,75.76261789731207,139.75482945334565,A,-60.83739049799297,130.8753402411128,B,A,-86.09692674176284,B,0
UK,Hindu,51-65,69,64.01278963714613,103.99016936659744,E,122.23459058051927,-151.40347289057087,E,E,-266.06620274504877,D,1
India,Jewish,65+,18,-116.28350935967453,-56.07157617359313,C,77.66075387613172,109.75188947081347,D,C,144.1403456567215,B,1
US,None,36-50,45,42.1897972478188,60.90121471511151,E,-89.89526197301997,50.77961868262033,D,B,-62.69133741381222,A,0
India,Christian,36-50,53,-28.785393630229738,-42.192148349859025,B,-39.365918617739396,206.40692390753128,C,C,-129.47903899019008,A,0
India,Buddhist,36-50,23,-109.08509829323636,44.04020299786875,C,120.48249476432493,-54.20730860886761,C,E,19.263337308215096,E,1
UK,Jewish,36-50,33,4.387479672333636,-48.90730985975786,B,16.538726436168314,-44.44943336269961,E,C,5.396020684120533,E,1
Mexico,Hindu,18-25,78,2.4913877499935797,41.54827134646717,D,-205.57532231019695,8.88030115547757,D,C,-42.676190024160086,C,0
Mexico,Buddhist,36-50,40,-123.59905769724793,59.18102589486842,C,36.07961240171993,55.06672686727377,D,C,134.28715201643965,E,0
China,Buddhist,51-65,64,57.421375347568514,-22.624687895085916,D,-88.74064907724036,14.025270394488262,E,A,-41.775150337446284,A,1
Mexico,Muslim,18-25,36,-59.66584607470244,-155.9241112903478,E,57.09242115391633,-124.76626281506786,A,B,115.04921997344617,E,1
Germany,Christian,65+,24,76.32832686760251,45.94039853709347,C,-47.31876107087697,99.16495708356707,A,B,-120.34758472611063,B,0
US,Hindu,65+,78,-53.58141770898711,-26.613726516854374,A,-186.41253716517807,-155.42690539874576,B,B,-180.9780489571389,D,0
India,Christian,51-65,59,-96.11555216846934,43.622228922723586,A,-139.68629695983586,166.30257899014066,A,B,-76.49047445125359,E,1
Mexico,None,51-65,37,-15.703119568173069,-100.46527751172903,C,-0.22155032000502056,174.5439151443958,D,B,-77.02774361820637,C,0
US,Other,26-35,44,66.60763793804888,-20.116277949569316,D,-16.118332155328822,-23.208910221447283,B,C,-137.58808581810052,E,0
UK,Christian,65+,54,-104.14426128099605,-195.47922414726756,B,-11.00001705580461,-63.53895044104219,E,C,-2.723917629398459,E,0
Other,Other,51-65,71,177.64134381470396,-36.677616272443196,D,22.961665616602346,-135.77859954811967,E,A,44.8223054721112,D,1
Brazil,Other,36-50,34,34.51499532454888,43.13064981398841,E,-11.762352370875504,-77.95099881824574,E,D,-57.3482607028025,C,0
India,Muslim,51-65,63,-45.81314810839153,177.51157797861603,B,-134.50043489620572,66.04236685225888,D,E,73.42071882426482,D,1
China,None,18-25,20,-38.662848946518096,67.57385918637952,E,-74.01495809915043,66.20292103849934,C,A,-63.487304293416955,D,0
Germany,Muslim,26-35,63,-6.288435570112486,53.54731981536012,E,51.97967985180376,108.01685913799935,E,E,64.62092430885365,A,0
Other,Buddhist,18-25,31,-10.76516951142849,119.29618233741618,B,81.20809998254511,48.5914645228613,A,C,-143.54237125281455,B,1
China,Christian,18-25,46,33.977466021877056,35.20816078198411,E,-3.303346440215264,-50.616612153233106,B,D,0.602967982620776,D,0
US,None,18-25,66,-64.62577904104788,68.36537684672446,A,45.15180289297704,-179.37248401545736,C,C,67.5426216447072,D,1
UK,Buddhist,18-25,21,-199.43519632376726,-48.716118335015715,B,108.38085981155902,171.72153285044467,B,A,75.7533020145483,A,1
Other,Jewish,51-65,45,10.257673512703787,104.11152209167429,B,-14.905348484228483,131.28793582415676,B,D,208.38170956390937,D,1
Mexico,Hindu,51-65,63,47.36465912223009,-127.09788546556122,E,2.425202858224914,120.86972108997458,C,C,-158.61886510182399,C,0
Germany,Jewish,26-35,54,64.54660062625557,-66.33699657536586,C,196.06164984409995,-7.218457109128283,A,B,-24.095541884490373,B,0
India,Jewish,36-50,50,-15.982834923625475,9.635299586669618,B,-7.625976431396067,-30.35948095617481,B,A,29.557423170105608,A,1
Brazil,Buddhist,51-65,49,-68.26070518523788,-152.4098074902014,B,111.47788929710627,-81.68532060787082,E,C,14.189971799812282,E,1
UK,Muslim,18-25,40,-12.855243387990765,-134.90360865024084,E,20.177325173783892,-184.3158874368634,A,E,-166.15780905326966,D,0
Mexico,Muslim,65+,73,28.905517644390404,46.43853333538191,D,56.78940363609528,-14.053498145431018,E,A,67.79902696114041,D,1
Mexico,None,36-50,26,123.42112374067575,-48.8781474233401,E,-57.19639465352233,14.376561204326746,D,C,-106.57205640632772,E,1
Other,Christian,65+,61,45.07618866363129,-49.59490104154951,D,-81.21037449427531,67.99107021090876,E,D,154.88367830242225,A,0
Germany,Muslim,36-50,59,-43.875752293649334,-6.934893754637915,C,18.7727333674421,-11.184484452288086,B,D,22.787188725763492,D,0
Brazil,Muslim,65+,29,109.37203398134261,-30.8524214766998,C,-64.951476487412,-52.30943288723011,A,C,-97.57046395662461,C,1
Mexico,Jewish,65+,26,46.41802622334687,97.64576938196441,B,50.7663765832949,180.68553584658116,C,A,33.473180085424644,C,0
Other,Buddhist,51-65,46,122.64762084495348,88.52093490535702,E,80.82602199176058,23.347410492874033,D,A,-97.90494979094665,B,1
Germany,Buddhist,36-50,74,-170.13819807476804,-54.643993793645315,B,93.56005118227816,-81.82972079014678,E,B,275.49841761501585,D,1
India,Jewish,36-50,53,64.14499193376953,-37.2641292007569,B,-133.91938398986827,167.23051729864275,D,E,-124.64541161718583,A,1
China,Buddhist,51-65,72,41.93685220748691,104.6597660445572,E,-15.079273185243514,-198.47329091539038,E,D,-206.98899178954667,E,0
UK,Muslim,18-25,76,74.48042587497238,117.82450675104327,B,-141.76171313718478,220.04393439804676,C,A,-4.620758200189542,D,1
India,Muslim,18-25,24,-66.33206174054732,-39.79757816806259,B,62.79249222056402,-42.44188425083552,B,D,-24.79350290647646,D,1
China,None,65+,48,12.643911170372062,178.76732248379847,D,354.47033985740825,-97.82950294181205,C,B,29.449873911160935,A,1
UK,Jewish,51-65,61,148.35179543176594,49.82673889928621,E,-115.58011649777922,-32.7809983904078,B,E,55.53952399219698,C,1
Germany,Other,26-35,34,65.82536192504584,-168.34785662914015,E,113.75995189713757,-91.04003178973569,C,B,-49.48306893761071,B,0
UK,None,36-50,78,6.9558180935838045,-87.48996740474404,A,-80.38087894640849,3.8325135608487866,D,B,-192.00370919583747,E,0
Mexico,Jewish,36-50,79,-7.052092460141431,66.19817053608269,C,11.909372307147793,-217.7331050761214,C,D,39.769359141177276,E,1
US,None,65+,56,16.752043822751347,-112.29041116875776,A,165.85360484784573,-79.28899940459033,E,B,116.50029711619425,C,1
China,Muslim,65+,35,-15.005729718162558,62.44249172976416,D,56.01154965674557,-123.16895359731859,B,C,-35.265047702371795,C,1
China,Jewish,65+,48,14.275983599208125,76.26169880235904,E,201.78294562796145,-94.25564615529936,A,A,-108.42722310560238,A,1
Other,Hindu,26-35,46,-47.73783828713372,-94.5000372959805,C,-99.6528964290929,-120.56826756703862,E,C,125.17727185724044,A,0
Brazil,Muslim,65+,63,-44.87062399558832,139.46817686989147,B,-15.080864268271728,-60.06985714208967,E,E,18.86327469421444,C,0
Other,None,36-50,41,-136.97584585429448,6.9528299442214445,B,41.054021326368606,145.81651260301334,E,E,144.94671775923067,B,1
Brazil,Muslim,65+,53,110.98623456310084,71.41058220154434,E,65.23333351047627,32.18753507270966,C,C,-62.43151077068577,D,0
China,Christian,36-50,43,-174.72979205327798,-9.852542145863746,B,-181.93442356469762,-149.3775509406529,E,B,-29.265070740032584,D,1
Other,Jewish,26-35,77,58.90890052160652,50.87156437072164,A,-31.713599162218653,73.8230673491088,A,A,95.83238303736016,E,1
Other,None,36-50,63,-171.59290192827098,-71.26458330572882,D,-129.0079730219995,-164.87117864489008,B,E,-234.3777553581647,C,0
Other,Buddhist,18-25,52,-7.815347085332336,-62.51810567141054,C,-53.06149547398638,27.882427715557867,D,A,-5.422154542799848,D,1
US,None,65+,24,-104.52003185644276,40.53450709613287,C,-105.8199445545908,-52.83800399053168,E,C,26.2709238499365,E,0
India,Buddhist,36-50,58,150.77130979615592,-96.5347765388477,B,109.37738386124292,-26.810727747524467,D,B,-48.568237391713424,A,0
China,Other,65+,56,-105.292039029738,159.50341375352625,D,-29.628914532348567,81.13408490770364,B,C,-24.722867131244726,E,1
China,None,51-65,50,100.53397753707387,-43.150539441645726,D,-121.64335602343508,-18.664062881005748,A,C,-38.180357329133386,A,0
US,None,26-35,60,-158.35173493304143,-57.0719914516757,C,-136.51685321860745,-159.41931125431648,C,D,39.55111350483067,B,0
US,Jewish,65+,28,174.11455990571264,-216.33338476387613,B,-178.94929594160095,2.3452563981642753,D,C,-109.28548975790319,C,1
Brazil,Jewish,26-35,63,-115.65330970797851,85.124776395125,C,-16.812880216259973,-32.347711684378524,A,C,159.79226695579547,D,1
Brazil,Christian,18-25,44,-148.9669662910064,-274.7941873706458,C,-159.5803407761713,41.295618515541136,B,D,-11.05297653079003,C,1
Other,Hindu,36-50,48,-1.0832007845369938,77.54332473316252,A,67.27090311349471,-40.838560165946085,B,C,-71.24847629286948,C,1
UK,Other,26-35,70,31.153945383069683,-197.73724129999036,D,65.3652771163723,160.18963214177518,A,C,61.143467338425616,C,0
Brazil,Hindu,26-35,77,46.58070269945936,-57.001309383492725,E,-53.691506686348475,56.771076569357746,D,A,-0.9948684620718116,A,0
Mexico,Christian,18-25,39,152.63549793580373,-69.79172020692742,E,-67.80796372272428,210.3834338413334,A,B,-1.8406942943584574,E,1
US,Hindu,26-35,51,-126.6446207837801,-78.92289072695455,D,-90.66026143722347,-13.099407050038222,B,A,-2.276257377389069,B,0
China,Buddhist,18-25,68,-36.11928489928584,-256.72575974334615,A,-138.30487487317296,-31.044028428688105,E,A,13.094751176086255,C,1
China,Christian,26-35,69,5.988830618662495,108.91902509274219,E,-188.56299802808945,67.47542493784299,A,A,103.51631967121394,B,1
Germany,Buddhist,51-65,65,54.446602309346645,144.50964578437453,D,-159.28988672403446,83.14697644387671,C,B,77.18515848678513,A,1
Brazil,Muslim,18-25,69,86.5782901972149,20.21397356673962,E,100.86151864398134,-14.28568834809028,E,E,-227.22532455932978,D,0
Mexico,Other,18-25,63,153.31597054132985,118.27216654477172,E,188.49028029855052,-67.18789625653966,A,E,-151.3389196467497,A,0
Other,Buddhist,26-35,44,97.55130281536461,99.20832401680147,D,-23.58229444258484,78.8730299799171,C,A,271.4040954769632,E,1
Other,Other,18-25,65,32.98911040831918,161.4147992970706,A,-36.25468744823132,116.49870741158932,C,A,11.881343197446427,C,1
Brazil,Muslim,36-50,56,-24.182661659802207,-123.73060856527789,E,-46.75585957979258,-18.733480591972036,C,A,242.36512492924595,C,1
Brazil,Jewish,18-25,55,-10.256971922079865,72.70803168749673,C,31.398998508197124,-33.52126891761288,A,C,142.27426797802883,C,1
China,Buddhist,65+,27,21.668322662062568,-7.77258236292599,C,171.7457256410727,65.29906657613253,B,C,-60.40042153129195,B,1
Mexico,Muslim,65+,18,-24.526757533882343,56.117997963803255,B,51.76295923264818,-98.33780195858394,C,D,-134.30110937186,A,0
Germany,Hindu,18-25,39,-118.9434862283166,-206.4082163084886,E,73.53770232380042,16.971913099131598,A,A,35.58070925180162,C,1
Germany,Hindu,51-65,66,-63.61760714010042,-60.774366715856864,B,44.13198393719444,48.57024157491676,B,A,4.164646208726027,B,1
Brazil,None,51-65,44,82.38132150515197,93.70828309659434,B,-80.25591400582123,-33.817207101023186,C,B,-40.999078695453214,D,1
India,Buddhist,36-50,66,-217.47393153629488,148.20694445584002,B,23.29848569128716,-9.157472406078526,B,B,33.190129803000836,D,0
UK,None,65+,72,32.59389839811632,12.142414615082792,A,154.9711107129982,8.55196257913201,C,C,-3.4189824015509447,B,0
US,Buddhist,36-50,71,-106.50874155213212,142.04790444045267,E,-50.734665999690044,22.916624677155923,C,D,-283.8015910743742,D,1
Brazil,Christian,26-35,56,54.13317600694884,-4.716225672903879,A,-140.67193727224,-137.14544671010077,C,D,-141.8067743938315,D,1
India,Christian,18-25,18,140.08519451745244,-52.78621587755882,D,146.5105594683454,81.51260210081027,B,B,-13.317542787262205,E,1
Brazil,None,51-65,73,2.5153952810157305,-37.87633143922817,E,61.7391106903361,11.462716238062496,B,D,-70.46194654819361,C,0
India,Hindu,18-25,22,78.06470776718108,-93.91138962404304,E,-36.17794492963262,-8.586342735068197,C,B,-23.74266629602596,A,0
Mexico,Jewish,65+,52,109.51302268164527,-3.6999752545719273,E,-12.576480735006971,-32.523496246588685,D,B,74.24551488210295,A,1
Mexico,Muslim,18-25,38,-69.39955900789094,13.186541144773026,E,-10.090698401121074,25.178443908665532,D,E,15.395786563423092,E,1
Mexico,Other,51-65,75,-14.166286009159199,92.17636948832774,B,-51.9326024388186,-5.600994486688928,E,E,-44.89700152552401,E,1
UK,Christian,18-25,34,-48.439670126446565,-70.83352761557283,C,138.0082832880949,96.63291131547096,A,B,77.38993859582229,E,0
Germany,Other,51-65,58,47.81850571583461,-57.18578006055991,B,-105.22391732977161,24.325698388503696,B,E,126.24628054682454,D,0
India,Muslim,36-50,52,-20.51688443103928,72.94133530284978,C,-154.76209067628804,-100.18188422618819,D,E,56.95231861365262,D,0
Brazil,Buddhist,51-65,48,64.54907912871451,-17.102206123586118,D,-52.11769819043448,-19.46783602569525,D,C,67.62006200918856,C,0
India,Buddhist,65+,20,-21.349942926456063,154.50210192591268,A,45.06482648085199,20.670712025569163,B,A,165.39714774769197,E,1
Mexico,Other,65+,59,68.42014425476845,-109.82320496511694,A,-16.617777700467478,141.7565608317882,A,A,-22.43418744529334,A,1
US,Jewish,26-35,52,60.101006819536195,-221.42070538882797,D,83.60307884324436,-98.3805090914882,E,E,-157.53897734296226,D,1
Other,Other,18-25,24,-88.75617906269704,22.8117937284885,E,40.59422361555448,159.33413103091297,C,B,-58.83716088806349,B,0
India,Muslim,36-50,41,-178.9016573298055,54.994691190766495,D,-59.81523406680408,75.28883653270087,B,B,-63.845103836190155,D,0
Germany,Jewish,26-35,23,135.1340702529913,-54.148944988979075,D,-56.702692830014755,184.2709569965875,B,E,-41.47889051400141,C,0
US,Other,36-50,38,41.59137403642635,74.65216143480747,B,20.766835798486746,53.77355486910631,B,B,-84.20017293948798,E,0
China,None,18-25,32,-17.394018983749643,90.21324204697679,D,147.36558526913544,152.67348131365247,C,A,12.849839886867606,C,1
Other,None,36-50,24,125.16610690806382,-10.530711066596787,D,169.04862861203918,-12.454948308688051,C,C,-25.336142908701078,A,1
US,Buddhist,26-35,32,-16.95269396263561,35.31648566617054,B,61.341390414506236,122.11793160473101,D,C,75.3168313109771,C,1
China,Buddhist,51-65,41,-21.205969076839136,62.7253689528568,C,108.32712411722592,111.47351846575191,E,C,96.98218997662305,E,0
Germany,None,18-25,43,61.60283122399781,92.79831129577943,A,-18.240770969649905,-33.17857607112232,E,D,62.793628058541074,B,0
India,Hindu,36-50,68,-18.170265330303142,112.23297646760078,D,46.080005509630936,30.03303651142055,E,B,10.370930856658596,B,0
US,Jewish,65+,62,166.64418283700527,-20.9053021478927,B,37.83658844867803,165.22312609837823,C,B,25.629920397298317,D,1
Germany,Muslim,51-65,18,190.82377033478107,31.587352786802033,C,-104.27159282417982,53.726361810274945,E,C,-64.8622348515942,B,0
Brazil,Muslim,51-65,70,-115.45914117281113,41.13396442387124,D,-202.86651029734077,-4.4023192686485535,A,C,39.04157897274179,E,0
US,Jewish,65+,79,13.548175868890763,-53.41630374773884,D,-10.542006022983056,-35.327324072980595,D,E,59.915799177726406,E,1
Mexico,Christian,18-25,57,33.37414926693676,28.880668524416897,C,-39.854776206473296,-82.46934306700388,D,D,236.113358145178,C,0
Brazil,Christian,26-35,74,-133.57898137047442,-221.93429190551677,B,-165.7935394909484,-140.6815663492373,A,C,0.9017178264229191,E,1
Germany,Muslim,51-65,70,33.80088308628698,-16.552388790631614,C,157.67847262185515,-147.27980113126233,C,E,-39.99990023742435,A,0
China,Hindu,36-50,74,-44.61188221714224,26.09229514408917,C,-41.967592156230985,44.28702190011501,B,E,99.40471253919972,B,0
UK,Christian,65+,29,-150.64123177142395,-37.514586000336294,A,-48.552973551536006,12.634707741796758,B,B,245.48934524682178,E,1
US,Other,51-65,70,-194.8386769044359,10.979394250839821,B,151.36130332770705,-31.547481504644008,E,D,-50.8570503600406,A,0
China,Christian,26-35,21,61.01887421790775,-49.059054455382466,A,1.843906545193524,71.66680467801118,D,B,-111.07798668430287,C,0
China,Other,51-65,45,86.37518906739662,116.84736241886917,E,-109.51447337578135,-33.75011997996159,C,B,132.73781242383583,A,1
