Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
M,166.1307212447819,A,A,A,-60.09399947830697,1.6857127734020656,73.26743617775553,B,B,A,-129.53075427570667,8.48265837210253,-102.57241385068832,1
F,56.08535706907314,C,D,B,92.81911520803294,-18.479384222224226,-42.75002262397071,C,C,A,17.14882914698213,-44.52497402223728,61.39021076595693,1
Male,93.34990428601809,D,C,D,-69.39992278935073,112.14418483724839,106.95978419382001,C,E,B,-53.97817197957375,-47.56235136775979,-36.14254874011603,1
Female,-138.80917436208668,E,E,B,-140.26901017562074,-70.32848159250548,-281.8253539369158,E,C,C,-82.43156231333117,-65.75478445857678,39.22720566476382,1
F,56.29442687373262,B,A,C,-21.746340755419745,-124.09628064170859,-119.42994501116586,D,E,C,210.2568632456571,106.7265258254029,29.330770884716912,1
Other,79.47135321434862,E,E,B,-140.26540985185292,55.265248925277746,134.77558337627914,B,E,D,172.7733847093074,105.57023929111855,38.63739313595405,1
M,-146.62257635428747,E,E,A,83.49814856646606,88.71423331670644,143.43489390899566,C,E,E,48.6344581989953,105.91003859400227,-38.893435862111374,0
Other,22.467282214557386,B,A,A,8.569059008285748,-44.78783292056322,12.514019881955301,E,E,E,-86.7106303389363,-104.09079741127447,-215.76979886754955,1
Other,-15.31846382318279,E,C,B,-79.57373486255243,-254.98761326767655,85.96834931459874,D,C,C,29.52686852437199,-7.192276077004345,23.02208763517381,0
M,49.17097730869209,E,D,A,93.15432226902955,54.185142140756504,-125.8047827335381,A,D,D,15.888326954367052,202.5973846486357,-23.545120286861202,1
M,46.13264241932286,A,E,D,111.5285161683931,-106.90189693261698,-63.00862197999226,D,D,E,-72.67825448606358,-21.016190349876663,15.25930008500292,1
Female,110.03470968195985,E,D,C,-66.14612288895586,209.23064965606108,-74.18873991561172,E,A,D,81.9463575743984,20.399233783460126,-74.77458037813304,1
Female,-170.15625737539855,A,C,D,7.306787648252841,-21.075074956793493,2.291064152358347,C,E,B,-173.98355334339533,92.46753300108207,68.04383747732749,1
Other,148.5399648141327,D,C,A,69.03220344068157,4.267616063061375,-17.958188803688802,E,D,B,60.07030905135344,-35.658481981636726,-22.167954471101954,1
Non-binary,-81.59326571874405,C,E,D,-79.59435028345295,-54.56232744337805,133.58490396920595,B,C,B,-22.265678109557125,87.44044960492499,21.677921471883423,0
Male,86.5795547860557,E,D,D,-48.031667574931625,53.306818711212756,155.8054013204438,A,C,B,-16.671635739781266,-78.98061060387077,49.446530272678565,1
M,-9.143201055756474,C,B,D,86.57035331368384,-99.04862205808352,50.81952962299664,D,C,D,-90.61111767225984,42.23879739645885,44.742554397465675,0
Female,-57.70838755347336,A,D,A,-99.44715412457998,197.59791540735665,-164.6221529910917,D,E,D,10.95487496852576,92.61191852764962,95.93684057613177,0
Male,30.031514813089146,C,D,C,57.30524324111496,-58.766182585323435,249.71295015064774,C,D,B,77.68899909585836,190.50141690346143,3.988247981521601,1
Male,113.44073898020591,A,B,D,-79.95858537327521,-19.490906863488945,-39.086843248812876,C,E,D,49.54343091322902,62.541675203527284,-36.01757441433359,0
Other,91.3979422566936,A,E,C,-194.7448185399864,163.17349230653716,-39.58583034477737,A,D,B,-171.94511202925293,8.539809040300081,-23.66887500462333,1
Other,-56.447069458113894,B,B,E,-42.21972015475776,-280.34087577627656,23.939802101099968,A,D,E,193.7478768891321,38.77822606467419,-52.954454074781175,1
Other,3.517053817022043,D,B,A,-76.65580849628715,50.16888686699048,53.31483531487577,A,A,B,-70.7032450128317,-222.00164012009373,-43.89408912741261,1
Male,-12.741553132679506,E,A,A,-5.285384361934766,111.16350529686439,189.49034226782157,A,A,C,31.388898567906683,-40.8281419582793,-66.54545269437375,0
F,96.81003807450736,B,C,C,32.43864370632947,68.31243729673305,-139.59899118668895,B,E,B,-36.66001701269515,-95.19561229813431,-60.35694835377944,1
Non-binary,-45.498864227085875,D,E,D,-183.82064652147457,-51.211433557549945,-92.80625510597442,E,C,A,212.9498747042243,9.996579971032233,8.35317797352106,0
Other,46.145588715629685,E,D,E,-223.0358129546386,31.672882912055734,161.0621905445169,A,D,D,-59.41480904498246,-1.049113620998301,-45.24543024354688,1
Male,-87.23791222621338,D,D,E,118.56547211823315,19.168554106225695,4.481133511540915,B,C,D,-41.80353907308048,84.35962815349221,-19.341061453701617,1
Male,-164.17346329326986,E,C,A,66.20019798304575,-185.24886472277586,-40.15795068413392,D,C,E,-141.27148654761086,-6.699013060316019,-156.91690313201144,0
F,-5.226426251708262,C,A,D,81.30026266278712,-151.86967950512508,70.14102777322424,D,C,A,155.29204995388827,-231.8477111404211,-136.43436279282543,1
M,115.55214504156285,E,C,C,132.8047323547842,-29.421836880317382,-110.63255850528392,E,B,C,-110.73211025108903,-93.07010478071666,11.42004179630661,1
Non-binary,26.41811692209904,D,C,A,-165.80400691557077,113.7157885635848,174.80439956840607,D,D,D,18.11999704599427,57.74690071588069,-183.09120137065582,1
M,-92.83562451300081,D,B,A,11.292652076301895,52.28943973066582,6.676206044348727,B,E,D,91.0542260938026,37.87603789150661,25.076596994025955,1
F,53.04005643387995,A,C,B,134.44643872433522,-193.67820742953617,56.19713551664378,B,E,B,-137.63311786195624,-79.31102152983254,-212.01617244849947,0
Non-binary,-2.862323382113572,C,A,A,-7.790192982245029,19.162301976933573,87.79368108996162,B,B,D,-9.35573534085419,55.599009159369686,-138.0352930234701,0
Other,48.69711989211425,D,A,E,68.42234353834937,203.7576277798134,130.8629186095499,E,A,E,-5.298187059318367,-238.72165450289438,-25.09427834504081,0
M,-148.52955941695035,E,A,D,2.4643216891586865,68.48527099020126,-10.172450594177098,B,E,B,2.035690235412144,-40.89325707597914,85.8066491011166,1
M,66.86067065458276,C,D,A,85.12498261566364,-32.46177653016653,14.141442764158759,A,B,C,-55.1126160390792,216.95678286939025,64.07198642398481,1
Female,135.3434205771362,C,C,E,-47.71237480933239,65.41690326009056,-65.8557505895381,B,E,D,-112.56897282055245,-35.299981467596986,-94.28878623870499,0
Female,136.77466171423868,D,E,C,-42.156080373983876,-52.8327725077722,-150.11903093807558,B,C,A,-87.25066261493231,118.90776972871448,-132.72434540513927,1
Non-binary,-174.04291502242637,D,E,A,27.81038061275402,60.90614645895261,124.09647450580559,D,E,C,44.876295798689455,-35.70246785889692,31.632503714847726,0
Non-binary,-10.411329900714781,E,A,C,-37.92114755376206,88.50259886012721,149.3882582648979,B,B,B,14.130689749455975,-104.37677838991686,-113.39566291269418,1
F,-125.75481314538604,D,D,A,-22.397435050189234,41.48596540282176,37.43065079787153,E,C,C,-18.756362751210194,-3.3824748690269573,46.71712723322234,0
Other,151.32982699945293,E,A,C,-47.6422363726191,-40.0387620220515,34.18422641304445,A,B,C,41.77573302589524,105.11483011510288,34.441950659909295,0
F,-171.86041886380806,C,E,B,-152.79749643368768,92.29655716572005,-23.028979380790318,E,A,D,-171.15358896844782,14.413851533998518,47.168405600897735,0
Other,0.17958115367519772,D,A,C,26.033105729140864,99.88398110425916,170.250481830666,C,C,C,226.0393019170353,67.44942859239482,-31.232682270945727,0
Female,-71.28337047135153,A,D,C,55.45575349728612,-20.869472581843468,141.6661460120501,C,A,C,-79.12684856697648,-68.07535010703036,15.832675057112356,1
Non-binary,-14.09327130544803,A,A,E,-297.43257755780604,113.94850385686486,-86.23955311146145,C,A,E,64.29974297270222,165.925262306661,30.60869907960189,1
F,-6.401405973036346,C,D,B,-55.194185557423495,97.32336382598872,-132.64765202320982,B,E,D,-27.42322313979843,39.48103224755306,1.8396130927229568,0
F,2.875485818724516,C,B,E,-35.34989691370561,36.851293379480076,85.38573784235797,E,C,B,-45.65055092687537,60.84758792464814,-0.9413569447357711,0
Female,36.38631309062449,A,D,C,-16.643261108744895,201.99604404734407,-154.1055568731853,B,E,A,-1.0922781883251187,-53.14117201220561,-60.830865497471144,1
M,16.862257570344998,A,B,D,-20.296512915678765,46.0226730188931,-66.08877631416706,A,E,D,-131.46348382877136,248.5090002638382,-45.164766539505194,1
M,103.0679180035903,C,E,B,119.06615744052618,-180.60731988389628,-132.201797864619,B,E,B,52.03970466462023,-80.58632419916789,-46.45457227496811,0
Female,131.86567531587184,D,C,C,34.71056753035472,-163.6628632396109,58.62793491933238,D,A,C,-40.72393582092391,-72.70801962078896,21.13407779422275,0
Female,31.2355492275908,B,E,D,-88.21448115219398,-106.38547155662641,-38.590922121923924,D,D,D,-130.76446579866703,53.987816047431295,-144.33039670061254,1
M,122.92813215101796,D,E,A,-7.618796967168634,-16.563938286684422,250.56480501659797,E,B,A,100.93507927549923,94.4446118494014,-4.027264911225411,0
Other,-140.84116976953484,D,B,D,-114.97449958606967,-40.22084078342565,49.955837644595405,D,C,E,151.99744638434387,6.631876209695782,84.56401999632286,1
Male,321.3072498766003,A,E,C,13.061390268780846,-33.79433134843122,58.988099337456255,B,D,A,12.565890679262889,73.54331371163416,85.51105417847734,0
Other,45.51947652488814,D,D,C,-12.674138248554193,337.9852934859906,-7.231705520944446,D,D,A,-4.563508703428387,-156.5045313575856,-70.2178893908429,0
M,157.59452368284542,D,B,D,8.546316402829548,-5.790701355944842,34.49293199770635,E,B,A,-49.00051221279292,70.5672734988159,15.342153147108423,1
M,-16.06398489496018,D,C,E,117.57478232413332,101.82778053952535,-61.49574350403822,A,B,C,-1.5476441067257811,-84.34273885720287,140.7115799904954,1
F,39.793464874802346,A,A,B,139.15436985726222,-40.97015862008567,-103.78602203528011,C,B,C,55.25086936654373,55.61861953897959,-173.2865938992712,0
Other,99.59698652708629,A,C,E,-81.73084937526262,-9.267409770415554,-183.07204811601216,B,B,B,201.30242450038324,77.07019973027201,15.037109409896587,0
F,147.20240349002424,C,A,D,-3.982463499798065,29.27295393923663,96.8437218507522,B,C,E,106.2139432737129,-127.98688446762438,-22.455158184674314,1
Male,66.49140228548247,A,C,C,-113.79331773116029,64.83217787193969,1.631830170335805,C,B,A,-13.6954927983163,-67.74325113106858,-88.95798175338193,1
Other,-5.844234684617895,C,E,A,62.65688613105195,-12.849390666806709,-88.39516462547438,E,C,B,182.45807944421117,-30.735630313979478,-114.35004745729948,1
Non-binary,70.27439081684412,A,B,C,217.12277360932313,15.935876477052394,-8.99510283271424,D,B,E,-150.27505294405628,-62.34710361425777,-99.61919254789692,0
Female,-50.74084054988873,A,C,C,144.80058461935096,-33.180077350464956,-48.791466502852835,C,D,E,-7.26006434250367,106.34865060427265,39.38241059410475,0
M,124.41989840436479,D,A,D,27.08813291150468,82.90669774192452,-161.3010467213814,D,B,B,-15.14644862605008,70.7083985427654,63.21103287091368,0
M,43.533546654628466,E,E,E,174.59572007568877,-107.29841103943546,-49.0331376198777,D,A,B,109.20587526378067,2.3704768661463267,37.520781893526,1
M,-49.20073483711115,C,A,C,133.40188724202036,-151.061162715523,21.688124757597524,B,E,D,-27.769883526129103,-8.819393862688639,-201.51402721867515,0
F,-10.187012431306492,D,B,B,71.69119069247847,366.32871139496615,-77.10187923702927,C,A,C,-44.69549057351034,121.88063218152318,61.95650975289407,1
Male,-50.55920112182787,A,B,B,39.40216394462854,-160.99845563170052,-180.71849833967505,D,B,E,-15.672355720362551,21.847149574398735,61.1871333613816,0
Other,49.22648566463143,C,B,C,-53.94446598181219,23.378649943710286,97.69275790629561,A,A,B,41.59532477488038,-172.2513103212923,-113.06677860588228,0
Female,-38.93642246589962,D,A,C,-66.811891063232,24.095476342964307,4.762814740141915,C,C,C,-155.90786701137523,-152.2708967363337,25.186490408524215,0
Other,123.7770709659082,C,D,B,-55.42430416119958,-76.8726672279508,-51.57245319883613,C,B,E,-31.33401175460441,-38.26856117906668,72.48374945199045,1
Female,37.07883522847209,C,C,E,-90.00049601652628,14.619361129928759,-29.273290188755862,C,E,D,-87.54203831854291,1.480874426627514,-29.443868657835882,1
Female,-86.00534881564774,D,E,C,127.70353504221634,3.562449288001504,-23.493964065189786,C,D,B,-179.30089300967936,-27.80669415710631,-87.11014520235044,0
M,-12.106622481049454,E,D,E,65.06654324346825,51.44136712428813,75.42027375054839,A,B,B,-132.36170631070755,120.03452743991633,-183.11324827917417,0
M,40.93018054180316,B,C,E,242.51466263838384,66.88570268401605,187.8052626798368,D,C,D,-70.52441815419591,126.5276781200851,-21.519409855848767,1
Female,115.45805253609771,E,E,D,7.075220958642811,154.611105764233,-184.8667376736919,C,C,C,-6.533698677380771,28.48152097381495,129.16378786535952,0
M,-69.3023423894332,A,E,E,18.584155391332043,98.51368312190745,-79.52537758828426,E,A,E,7.222762449553787,255.3475718953738,-77.70647254190284,1
M,78.70780121847977,B,D,C,76.37338435161986,-43.26476098423194,-25.802128196854817,A,E,E,5.775645471546749,70.32929057744715,1.448265492564348,1
F,46.597535616956534,C,B,C,71.06273568446558,-0.2089146668462174,-28.942826192287228,B,E,E,-246.5706447860812,164.3449040888474,15.274538869346577,1
Other,-163.49037609764608,B,A,E,4.394153784831088,40.39279333510108,212.39200507483952,B,E,C,-35.46823952460974,-69.51533486523277,-3.632364300985911,1
Other,-134.97121239457675,E,A,B,-136.97010641261556,-113.75979732891449,210.91167357657116,D,A,B,-81.01383946161354,-94.37581554339253,-97.79568837149122,0
Non-binary,-46.55297637153925,B,D,E,189.3083967165032,68.60279932902613,119.10534731059133,B,C,D,10.965501740650389,173.53720109584748,79.55835156763705,1
F,-29.949816582928808,A,E,A,24.701680732732704,145.74532332762305,82.14194859569938,D,D,E,162.09602864108328,176.69609885129233,-7.531172423635176,0
Non-binary,-153.8329564742154,B,C,A,-20.14910365066348,50.033095695585104,212.07931750928432,B,A,B,53.3598660341107,30.077115298009716,49.502917144922634,1
M,147.80679790652982,C,A,A,167.96854234399163,45.597789134479505,12.598122700654802,B,A,C,-37.370054288193984,-138.58217031170201,-76.63791516432192,1
Female,234.17868066069235,C,D,D,74.47181915429715,78.33359194378517,60.50767629036899,D,B,E,174.85259482297474,263.12497767748107,46.32094825867284,0
Male,82.65006034739156,A,E,D,-95.81087785801861,-58.47747919366064,-66.5982028007517,E,C,A,108.81275074568157,-5.206701288414242,85.74428609133479,0
Non-binary,-75.31677610147372,E,A,D,-187.9929602362675,-16.505568563431023,-60.946713367867325,E,E,C,110.04903919522901,-77.7063774833417,-133.6629513908972,1
Male,163.96257074267697,B,C,D,-47.791340226648096,23.651498267864508,44.13319877783156,D,B,A,-7.237064865316532,89.44251582758342,48.86610322743346,0
Female,-67.41629604916251,B,D,C,-30.728186428979633,-62.4033408526161,-74.46741274425855,C,B,D,113.9108884824316,20.77725977215336,96.99277389774875,0
Male,-3.6551780411897945,E,B,E,77.20572802940643,-95.37471731603007,-104.05664919059816,D,B,D,-123.85136754234318,102.46368182600001,-134.21884186396403,0
Male,-10.225531902498181,E,C,B,-3.586053698890484,63.100379257968974,-11.44592510435568,C,C,A,-88.78318061109748,58.724500671270896,107.00509581449286,1
M,-10.35400917369363,A,A,A,-203.57298696547468,-53.419784544824246,53.98743732222143,C,E,C,-143.9606239785224,48.6999918240518,-98.32238406452556,0
F,163.73632423628683,D,A,A,52.63179014666905,-80.03915054135015,195.68116550129898,A,C,B,-143.34433495189572,-19.145484513340133,-108.04443076924235,0
Non-binary,-144.81433662502033,B,D,D,0.4438545488088256,115.37739381101377,-79.4531768787013,D,D,A,-169.6390442226405,74.6647432674705,2.422247934496883,1
Male,-48.80565869279454,E,C,D,27.693970321562762,-65.92332556848942,43.998136942546715,C,B,D,-153.85637826793516,-8.259600745129903,-53.69965280561626,1
Male,2.9319375151616938,E,C,D,-31.95801476912969,-49.31684868984515,170.30048729878467,D,B,C,34.124285057612916,219.1739469272787,131.12891667698733,1
M,-210.4613729832245,D,E,C,57.99734472532284,68.74523929114001,-93.12945968621734,E,C,E,74.55394180238771,-46.16473653238877,48.37784237527551,0
Male,164.31678739057915,E,C,A,100.2884064126307,-86.12036467710648,243.10251170859436,B,A,D,-30.486622560037123,252.9268287148531,-14.67662954889795,1
Female,-32.80652841869765,B,E,E,98.75882849735336,31.639837235045825,56.43726193976277,A,B,D,112.97795118553037,-62.50288383400838,218.77922487925196,0
F,25.349425153279785,E,B,D,-68.35150831243595,-20.397786325541105,217.27575500348223,B,A,E,105.46839339883437,-92.75373741276643,33.867074757523795,0
Other,236.03515118210345,E,D,C,-87.58936569527783,-34.46420728308342,29.057394387243345,E,E,E,-18.796804796389168,111.99796105958548,-89.25075931128859,1
Non-binary,-56.70877516183145,A,B,B,-76.13279664967591,142.43045197063017,29.746759970646853,B,E,D,-92.90980450756086,109.42149261511369,-20.335376307540713,0
M,-24.98080900500013,E,C,B,75.60454870411924,-106.95399039706508,-45.86684051197702,E,D,D,-189.67716121888537,95.73079707862966,25.639432979538373,1
M,-112.32051086819708,A,A,B,24.241794781902502,-30.073437153746212,-0.7412854357920358,B,B,B,29.00684255058908,8.898252875908431,27.748474697611865,1
Male,-107.32816586018967,C,C,D,-100.9776546993258,85.39165248898674,5.384433574497049,D,C,A,-46.609389997978326,34.45313925188949,-3.4103174597257007,0
Non-binary,21.379988146699606,A,D,A,-27.61104135256862,-20.58197494109972,126.12802777712136,E,A,D,-46.46709042447002,22.02591392929128,120.78463697098786,1
Non-binary,-146.67209843212896,D,C,D,-2.353782808398897,10.177206755049736,16.35668142757938,D,C,B,-60.416803899719795,-89.32256084323964,-17.097928880161373,1
Non-binary,-18.64404594801466,A,D,B,67.6642699452892,33.040340914016724,-150.73502115545529,E,B,C,25.13776001869076,25.77888847760386,-45.13071574667942,1
Other,-162.67163508617432,D,E,C,-85.8669757170743,170.7873794049639,-40.56057176689441,D,A,D,-109.32724811403483,30.992035151093074,-149.41762276907758,0
F,-109.79825450091086,A,B,A,-105.75847378337271,-98.52043429790109,-6.681263443256702,C,B,E,81.74816415928609,44.70022016749734,112.76816727737946,1
Other,-97.96184118496079,E,B,D,232.55024328063013,59.626818056661115,27.504419763292496,C,A,D,-111.35785833960664,-78.17617897110435,-89.95402593292785,0
Non-binary,-149.71432516805143,B,A,B,125.81371652893327,-134.88921034569017,149.94966148641097,D,B,C,63.764042462239686,-122.15749851269723,69.07496116978336,1
Male,43.34383277160361,C,D,D,189.197993077835,82.16013578405315,172.6878987427638,E,C,D,-1.6996300848588324,58.37678485515424,94.50056970218826,1
Female,-57.327208129539976,E,E,B,6.387124441570181,-20.629272446527363,-210.53728798467705,D,C,D,-93.65208833277214,-91.94574067643795,11.384533282198426,0
M,9.140351117038044,D,C,C,38.535053771525064,32.259295308497705,68.00551213798906,B,A,E,34.58304561390504,12.061448334132088,-6.476869797807458,1
Female,7.9996073658564635,E,A,B,-1.004128136727754,66.31744857067208,-50.260607636924284,B,D,A,-158.52181993339795,50.830845420535574,31.586220731784152,1
Female,-17.209754793156527,A,A,A,137.15648051145124,-79.32310982849123,2.332723549908229,B,A,A,-60.905841437523925,73.54265826280637,32.52614303335529,0
M,25.64321018468666,D,D,D,64.42710381734436,128.59917032922195,77.65351517979705,B,E,D,15.845193614512182,-10.129772805608832,97.5918116560287,0
Other,-69.73281490849082,E,D,B,-52.094987194642364,22.376469816228767,-9.119005444824733,B,B,A,-35.259805086459735,34.466677025484785,-8.484597836591702,0
