ethnic_group,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Hispanic,71,E,C,B,D,B,C,-5.746848814411852,A,-100.50409694131999,D,B,D,-110.47442840123321,D,29.48972274729146,1.0328734969659987,-89.30081302290264,61.91856474699221,0
Black,60,C,C,D,D,B,D,185.9871405961937,E,138.39928885641982,E,D,C,57.29198847078455,E,46.79292214778304,-144.10409634413608,116.56664311544371,37.95633175274263,0
African American,40,A,B,D,D,C,A,0.2789695930030097,C,-114.94254748387327,D,E,C,-39.00017596247067,A,113.6073901889225,72.05735479855508,-51.50229680738836,-215.4056706893738,1
White,79,E,D,B,A,A,B,115.42222485405165,D,62.25464603459169,B,A,E,-58.858825172468165,B,132.3219649056513,62.13127973800644,-67.01166489602737,-72.17836683373825,0
White,35,D,C,A,A,E,C,35.6937389028062,B,-5.023297287432263,C,C,C,-11.937640040659135,E,53.765805404702185,-50.05510509680487,119.33806050866494,124.90531360498464,1
Other,26,C,B,D,A,D,B,38.91537326181117,D,46.64220234616716,B,B,E,-1.7983839169913653,D,38.786353323538485,-102.61196742093,155.21021630585244,-67.48760909274134,0
Hispanic,20,D,B,A,A,B,B,-33.071588283947115,E,-12.568353910698885,B,D,C,-125.16936279922808,B,-199.83289547499047,-118.46587137057114,-87.59599638652044,-102.44519988021423,1
African American,58,A,B,C,D,A,B,-98.44421952544225,A,36.855281798230116,D,D,E,139.45245980582663,A,-272.54355138206375,50.3611944777396,-87.29398630914875,84.06919112150784,0
White,60,D,B,D,E,A,D,94.41517591304749,C,-53.11002112815213,A,A,C,72.80314120534041,D,-110.87649429004311,-103.8825769692018,25.445830445440954,-140.56779055402845,0
Other,20,C,D,B,C,B,B,-117.64590062793943,D,57.64349447552388,B,B,C,100.25107787904233,E,-99.71522262964272,-90.7082054621576,82.28643174133967,-129.95839816203696,1
Black,61,C,A,B,C,C,A,104.17824999675669,E,-155.76260133249426,B,C,C,42.20667522663726,C,-108.22145445806252,76.82826771888097,-185.92638418997433,-17.15817628589168,0
Asian,58,E,B,B,C,E,C,-106.54160193696025,B,54.187560408887904,E,D,D,-2.6612979946804294,E,66.52208352785661,-89.90000390862461,101.53667726370446,-5.857318191062725,0
African American,22,C,B,A,E,C,C,-100.9765209628649,C,130.1327799355688,E,A,B,98.91532008184572,E,57.913592570988015,-22.906838104879423,69.54139462787839,-27.33649719870633,0
Hispanic,61,A,D,D,C,D,E,-126.60457552944906,E,-19.455276749286647,D,B,E,-33.48723062248324,D,-37.380212420461156,54.72656060817178,163.64022971107303,-165.93096288258891,1
Black,63,E,B,D,A,E,B,-167.04703571912432,C,79.12195739313772,C,D,A,28.49817147689398,B,-40.17501248051674,-104.1266875362802,151.98413829850435,73.34314030818499,1
Hispanic,33,D,E,B,A,E,E,14.570257179772344,E,-43.8220820227464,A,C,D,1.9376374601145878,A,-122.54881688524584,-5.480210233982325,-50.69145744973845,-108.34231038756465,1
White,49,A,A,D,B,D,B,27.3994709518119,D,-176.83609685058246,A,B,B,-34.635686485317166,B,-18.6091565705305,-20.79649583491433,-124.16576794111039,-121.40281384846763,0
Other,34,C,E,A,C,A,A,42.75166184304817,D,48.62744362998613,C,D,E,-174.00368458224455,D,22.255664484120857,-22.690866552165467,-141.6437795285468,-11.25599341265746,1
Black,43,A,D,E,D,E,D,171.6133553174118,B,-116.65716936344961,C,D,C,20.929200448492175,B,-6.308750313298271,110.18903726992268,-147.13313175023168,116.67490191244644,0
Asian,61,B,A,B,E,D,D,46.18784184993185,D,32.94290282293053,E,B,E,-106.6611829995949,B,186.86425845722766,134.71542607203403,4.650592608627742,-19.443103491490692,1
Asian,67,E,D,B,E,E,D,-136.9518748136595,B,0.5654649525000557,B,B,D,76.14071797384828,C,46.685748067641505,9.170230450760494,124.3734903911502,5.324211749732159,1
Asian,64,E,D,C,A,B,C,227.82141286659967,E,-91.75054135458906,E,B,B,117.97410560422077,C,38.6195656693579,163.67081954334571,-66.6226375376389,26.236858838746524,1
Black,57,E,A,E,B,B,B,-87.00813007503554,E,-43.30041885663176,C,D,D,-64.90922312539665,D,-83.62999982995417,-153.9356184386793,102.11022257115484,13.96097410360907,1
Asian,53,B,A,A,A,A,C,-155.40328780199005,C,-106.58963662938436,E,C,A,-236.2327125745102,A,27.945150670371362,-93.59614943367696,180.9789430910181,39.05636520755307,1
White,42,D,C,C,D,C,D,1.2758290805601191,A,-166.42811121681214,B,E,E,21.619039203978925,D,18.276483623918704,-178.40177453390137,-54.275861863577646,166.27484417782378,1
Hispanic,70,B,E,E,C,E,C,55.98999326654028,A,39.203334021055305,C,D,B,149.52056183225855,A,-127.6201153331589,44.403292164963965,9.285765785192583,98.42608519065219,1
Hispanic,24,D,A,C,D,A,C,-92.04907697120771,B,-94.52540344889111,D,B,B,91.80359876343086,A,-33.90837025422666,-53.86787658366804,32.316997954375125,11.391058844029008,0
White,51,B,B,B,A,D,B,-76.79325346893057,C,154.38624687393045,D,B,A,118.14270755078363,E,-9.83439270267163,-132.57625025905025,27.542120494042006,-36.33985600553054,1
Other,65,C,B,D,D,E,E,-230.77909053622426,A,113.7977519560887,D,B,C,118.90704148066855,A,49.726271641587886,108.15679689475515,30.297061582437923,-133.35327341161985,0
Black,72,B,D,A,D,E,E,76.98214634149498,C,25.623425078611618,D,C,E,-52.961880905008606,C,-40.64252084666659,93.86214435125379,-45.21115071635592,47.57711160073062,0
Other,65,B,D,B,C,B,E,-56.086888148140716,E,130.28196281529762,D,E,E,32.10761332429531,B,-83.15347487054227,-25.434464357960508,97.25716597094329,63.138243037994734,0
Black,73,B,D,B,E,A,B,4.436478671918347,B,64.11249282451087,B,A,A,128.56516638474045,B,-96.50448293301211,-46.71744598446069,-266.27066017819516,279.08631888379125,1
African American,39,C,B,C,B,D,B,-50.153832154544,B,121.37885307115177,E,D,E,6.86997471875537,C,-153.9949936569906,23.74571815565988,60.86631117717221,-20.798351518493305,1
African American,37,D,E,A,D,D,C,-34.68724571283578,B,39.07204177468525,E,B,B,-75.71874690390948,D,-32.90646435658518,19.035975167522,49.14718214118402,-65.25429940360235,0
Hispanic,61,E,C,E,A,D,D,-4.961970990201854,E,130.4976991641873,A,A,A,105.51329146075707,A,77.49204309744108,184.11489731751573,-22.302187174564367,-112.70178833654239,0
Black,61,E,D,A,D,C,D,-147.33988168906805,C,208.34455420690836,A,E,E,76.96579605852048,B,-97.08422282625739,-21.099340114979782,97.2097505124758,-4.14962488144785,0
White,22,C,A,A,A,B,D,2.0007912648758284,A,15.210034223076738,C,E,C,-61.65887579348281,D,-28.651423086954587,-9.717005459453791,-69.04779176660348,-136.87279593351033,1
Hispanic,68,B,B,D,E,A,B,-66.57258934025616,B,53.290374637274375,C,D,A,-35.07637264749868,B,38.766196099131875,82.58708365552828,68.70627559350297,-64.76421303114249,0
White,76,B,E,E,B,B,C,123.19807110043364,A,-14.908235054820127,A,E,A,-8.973057606943529,D,-39.12495787793578,51.482247181548665,86.86194083416268,-33.42246066636971,1
Other,79,A,C,C,C,B,B,-25.742533036068476,D,25.85350494510501,D,C,A,93.57446787133671,C,-36.08521588359414,-19.584803470862887,37.71251042179411,3.201759698425335,1
Hispanic,60,D,D,C,E,D,A,111.58325440982296,B,62.07884033492086,D,D,C,2.3092532576896945,C,-113.01227653213314,-7.4046950759411745,-118.46697560799899,153.23362173373988,1
Asian,19,B,A,D,A,E,D,23.427257781449885,C,-207.8629533172454,A,C,B,-135.1942450611794,D,-16.501444716307546,3.64004067614004,-36.90368116524365,98.60427905786433,0
White,54,A,D,A,A,D,D,50.87173664293528,D,-8.145131253746058,B,C,D,115.39743072471995,B,-21.535573280027258,-81.02228711195455,3.1969223548106447,122.740182511798,1
Black,20,D,D,E,B,A,B,-73.84567560497017,D,32.423782570739135,C,C,E,-118.95065841390822,B,-62.07634135971,90.50634680190247,-43.779553755086354,79.80267797891145,1
Black,18,D,C,B,D,B,E,-34.05482018661295,E,-153.8635030218509,C,C,E,16.573826238173805,E,18.596172874592515,-7.653379078648224,204.54246098633794,148.37030947413655,0
Asian,60,E,B,D,C,B,B,2.8994075373438024,C,-33.64957401763184,E,B,D,-17.20169479130723,C,-94.14733744626801,126.40184765738731,57.758118609582795,83.70983451674584,1
Hispanic,53,B,D,A,B,B,C,191.4289362746195,C,75.35002154157253,E,E,C,64.42853106242585,A,-118.16449783498375,-112.80729932355263,-86.35131800123044,15.224680344702385,0
Black,43,C,C,A,B,C,D,135.78738598821744,C,9.889789650567694,E,E,C,-112.20223671960076,B,85.42921664640349,145.67169055784035,-24.807499316288062,-32.31202039489747,0
Other,42,E,E,D,E,B,B,88.03735581671206,A,-209.3661538568785,B,E,D,-60.33502773020095,D,57.65931984527183,-23.439305672946244,203.6736845649336,-41.952719798743765,1
White,73,E,B,C,C,D,A,3.554518411226399,A,77.47155223483804,B,E,A,77.88549554873512,E,8.96905368860242,-78.53298964775077,-12.63807224607813,-51.65823925413149,1
White,57,E,D,B,B,A,E,44.14655417774653,B,265.9618160808168,C,D,B,189.23905618000697,A,37.36983074830203,-144.81010055213335,137.100640623813,27.167332008381063,1
Black,67,E,E,C,B,C,C,-36.11484075209813,D,46.86773344753009,E,D,C,-151.49095002387892,A,38.49056882618906,-5.4434665865011285,-87.99095519040937,-51.66818422926197,0
Asian,23,C,D,B,C,C,A,39.731265015281394,D,2.637114002829327,B,E,D,106.46608993161537,B,148.79806609679096,40.59450334596018,49.37185937490365,124.76849110996456,1
White,27,A,E,A,A,C,E,19.546613865841163,B,-57.169293474587626,A,D,A,-63.168849278622616,E,66.37188178109605,-231.86411005236002,94.76151421196181,3.702546911424107,0
Asian,53,E,D,E,C,D,E,33.27863862849936,E,-110.78345328406188,D,E,E,5.113944521284141,D,-92.84655759222498,56.137027610760434,92.32216556837736,-238.71186594956947,1
Asian,59,E,E,B,C,D,C,-0.26486859291771636,E,143.20947591559508,B,D,A,-11.041311120421769,D,-66.50303811802516,46.142672364888355,-27.702907569384692,-1.1350931228715417,1
Black,57,E,C,E,D,C,E,-4.966443927085053,A,11.322011179708982,E,A,B,3.52793180955282,B,-40.90623308467827,-53.79714900476332,-8.376254608452262,116.3010426439318,0
Asian,76,D,A,C,D,C,D,-64.45437956422765,C,-143.3334861446657,B,D,E,63.665536122756706,B,-162.20921571475935,51.256885203806945,-2.7723704921266124,-66.68280779729882,1
White,28,D,D,E,D,A,A,-143.43316682707197,B,-83.91081765409058,A,E,A,-10.892971300886419,B,5.3270482356305635,-20.45820452532317,-34.95952734818542,-35.273485088464206,0
White,21,E,A,D,D,E,C,-62.65898533813915,D,28.437229122284585,A,C,D,-0.37309258946655943,E,20.645748669026144,43.44270805647444,-93.30414812266672,-239.6187752044709,0
Black,72,D,B,D,C,A,D,41.32723487061361,E,-130.1944115352325,A,A,E,-54.48998262977237,D,-120.89113391489302,107.41799169521403,71.64229820696575,17.80666801008931,0
Black,45,C,B,E,A,B,E,56.9325427709202,A,21.84130405101276,D,A,D,31.950586447175716,D,-21.559210178931068,71.92374771830036,-28.473485027908,67.06229812546621,0
Hispanic,68,E,D,C,E,B,A,54.2786269664672,D,3.6687495185982852,C,B,B,-56.47179820130965,B,46.873521965723555,99.38964389095199,24.16501969085868,-150.11824229144975,0
Black,48,E,A,C,D,A,E,-109.0063187746497,D,-54.525694755939305,B,E,C,-59.690097511493114,A,175.93841904950457,80.79242818219483,-49.37805158588028,-50.88515767325864,0
White,77,E,D,A,E,C,B,75.04197796059209,B,-42.965018581690316,E,A,A,84.14182068385814,B,-37.25859597236691,1.0320149560999574,4.863270490191591,-106.67954060086575,1
Asian,18,D,D,B,C,A,B,8.708323480109959,A,-14.021806185077645,C,A,D,-10.844788140558622,C,3.7617453281932347,196.5770346639359,-180.70611531747855,195.8020212294111,1
Other,40,E,E,E,A,C,E,64.18648735773928,A,-53.720001229425094,E,A,B,36.545494553158655,B,129.3790625869108,-80.84253926950444,54.30271635623335,30.052842161011352,0
Hispanic,73,D,B,D,E,D,D,63.702198399898215,B,-121.67074963981037,E,C,B,-34.83779880916083,A,-91.97441747682242,-143.05460456505358,68.21671300157186,171.569220109612,1
Black,18,C,B,B,D,B,E,149.31416125523586,A,94.54922270223769,B,A,C,61.52811980224301,A,-16.44924347732408,272.2591329790436,-92.24765808863923,-82.33218673389848,0
Asian,51,A,B,D,B,C,E,17.28021943494624,E,10.034534882063467,A,C,A,16.529958149614444,C,-31.426895436062253,35.5770617099923,38.13175679914595,138.26280101548113,1
Black,54,B,C,D,B,D,B,102.69096835465885,E,-122.89310621311435,D,A,E,-123.09162617765699,D,49.42810586985512,106.43359886140927,86.38642208451014,-5.955733791782142,0
African American,20,E,C,C,C,E,B,-126.44121264077842,A,-81.2560479500951,D,D,D,-26.71311013701945,B,-124.73030890873021,21.116307135924544,94.43940697607722,158.64332456779132,1
Asian,57,E,E,B,C,D,E,-100.9242533351781,D,-105.28693967819665,B,E,D,190.17586368235024,C,48.80156685245861,14.839853365838254,188.50333687116384,83.24371448661245,0
Hispanic,30,E,A,D,A,B,C,144.45841773534042,C,135.54040471003597,D,A,A,43.206855501785356,B,160.12141337448296,105.09660748962555,112.48912982856254,28.557007202283806,1
Black,47,B,C,C,E,C,E,26.347950576083782,D,111.79964144844676,A,C,B,-45.713939134845425,B,109.02656238101491,10.431649805831265,-158.12441176382163,-47.25564900693951,0
Hispanic,60,A,D,E,A,D,A,-83.10321647252091,A,-102.08622767155013,D,B,B,-168.4789470038829,D,-139.22364501552443,-0.05903262040359523,-84.98393647468588,1.1932593771254605,0
Black,27,A,C,D,C,C,C,176.15926116122486,A,-161.98332951493995,B,B,E,23.62545953749125,A,155.2418249203658,-76.29128343237997,248.67638624287522,145.16033772975797,1
African American,71,B,B,D,D,A,E,-29.010671752128353,E,-9.970439936572049,D,C,D,-106.19630083410445,D,-62.23505124550186,-6.167934424921602,-97.02114197103889,-125.38491541181895,0
Black,28,C,B,C,C,A,C,70.02457087990729,E,25.4069815865324,A,C,C,102.58226205679189,B,-38.19882070702985,321.9373846680618,-217.67816556098856,-156.59798156309216,1
Other,63,A,E,C,E,E,E,-114.04512489187084,E,44.98103688962518,C,B,E,-80.1735938686487,E,-139.12394506764107,-25.91137360980588,-24.66837684791989,-93.45388741883578,1
White,74,A,E,D,C,C,C,79.71645696487619,C,-99.16158670916535,A,C,B,-19.94236828693226,D,167.95812940365082,61.41027379421084,-62.8556485135493,-6.745752221361744,0
Asian,79,A,A,C,E,A,A,-87.98691971133339,D,37.12045752868819,C,C,B,-85.45168495349606,A,94.98467571016418,99.60105432740556,-176.07779297086503,94.71639370112858,1
Other,63,C,C,A,A,D,A,154.29364779104972,B,-148.69093713998151,A,B,A,66.66147647327918,C,94.58828785641884,-37.67763519818626,-13.849270721412926,23.669867952181505,1
Black,58,D,C,D,C,A,A,-97.57724463317268,B,-78.93917352676337,C,A,B,-34.795319763847864,A,-42.11848376678827,-18.466290233536526,142.78136123294482,29.160014841101003,0
White,27,E,C,B,A,B,D,40.78243247444299,C,26.53538466625458,E,A,D,-144.60584802499784,D,-48.032545733053034,92.24547769637333,-24.07071095071787,-141.6744138213847,1
Hispanic,48,E,E,A,A,C,C,132.9393240094962,D,-99.53702474021026,E,D,D,9.350618091727117,D,-60.17606789015222,27.615730326012468,4.211929404554673,83.54332676860135,0
Asian,55,A,B,B,A,B,A,-41.36283272641737,A,-40.08064860546002,E,C,B,-8.113644912138248,B,53.68866347415771,212.44038595815863,-30.353598198704912,-87.36307287460791,0
Asian,70,D,E,E,E,E,B,161.04208863498678,E,-16.89646611416265,A,B,D,227.87522600082707,E,11.231140720743898,-43.29775528827306,-36.055835119676374,-2.504809822388994,1
Asian,50,E,A,D,E,C,A,-40.60656120669956,D,10.832395607318109,D,D,A,112.52254380519577,E,189.99742610310108,-140.1684588545225,16.572106769518395,28.946294271718198,0
African American,74,A,D,A,C,E,D,20.26843776942656,E,182.5164040304784,A,E,B,-137.19464494966863,B,-20.57496041132842,81.70807351035421,99.43966716766833,-33.5449789701149,1
Asian,34,B,E,D,B,B,E,99.75722547005972,C,47.42338087340294,C,E,C,-60.62976825800753,B,-124.75174390983675,-88.25671817756854,49.6981460542373,-93.81123431367304,0
Hispanic,43,D,C,A,A,E,E,-6.177008140796407,A,-7.523989423562025,D,E,B,-2.849116507125562,B,-22.79123077011725,-191.49779167240828,95.10866291206008,72.02632090262003,1
Other,78,B,A,C,C,B,D,21.06860685603335,A,117.42626261297933,A,E,E,183.2400320986724,C,44.0912285627566,13.98161938856441,-146.88889137967774,-77.42474250458116,0
Asian,40,D,D,C,D,A,C,-177.2082786371556,C,50.41783762364872,B,A,A,31.97546057528815,B,-88.64969979997466,3.185770964680513,49.70019277925231,-57.35621383048045,0
Hispanic,58,E,E,C,D,B,A,70.4069223253602,C,149.07453168258007,C,C,A,13.905345532986937,E,-84.94602950545678,51.495214421771315,-70.16858185207002,106.75467210427234,0
Other,64,A,A,C,D,C,E,-86.7979572352029,E,-9.96076062721016,B,E,A,150.85700028543238,E,-54.35334955954825,41.98723858070678,-57.69627818459847,-82.61127067161905,1
White,32,B,C,B,E,D,A,159.554256285883,E,14.425757108404506,E,B,B,-260.9349198165213,C,-121.41897300365905,-196.6008515802037,-76.9147419610466,-61.6783657738864,0
Other,46,E,C,C,A,B,B,151.22649778243635,B,7.373130902650067,A,C,B,5.143801760898066,A,45.95364441759219,-76.61374432857347,-233.48750006542622,2.714956198638469,1
White,50,C,D,A,B,C,D,-133.98844889863574,D,-21.365252810115702,C,D,C,-156.00975725918022,D,-118.80866542005657,-109.06314067553271,31.158499576663377,-81.34525437184641,1
Hispanic,35,D,B,D,A,E,B,102.41846940083046,C,127.34476440768975,E,A,C,-91.69695725212338,B,42.51185540644326,27.493335603255748,-35.958806775292445,-10.95496906029172,0
Asian,46,B,B,D,B,A,E,26.46282762747309,A,-118.2472438013479,E,E,E,-80.00630370936149,B,145.36229616775384,46.90195883271679,-62.84695873337345,105.77702301069472,0
Asian,50,D,A,A,B,E,D,122.45523663618086,E,-44.322169052227814,B,D,E,-30.25061789904273,C,-27.396798670588296,41.0452374472832,10.676342185103607,-12.185178794693298,1
Other,20,A,C,B,D,A,A,-215.4652821104093,D,214.80653406156307,E,D,E,86.78777773112965,C,-103.40914832479568,-45.880840861953445,-225.6963000764665,-90.02104066978052,0
Asian,44,D,C,B,C,E,A,29.45709177748503,B,-106.22753423442748,E,B,E,-58.12636740888908,E,-73.20894016991564,-97.87913695996083,12.009195993865402,-13.151881854559939,1
Other,47,A,B,B,B,B,A,-93.99610293425634,B,216.46061186317107,B,E,A,-3.122910036441561,B,-25.687082742535306,141.27761899283848,-55.58138715821498,-57.99753393468598,1
African American,65,B,A,C,C,A,E,23.82420033459602,C,45.51305916639815,E,B,E,-90.0672477736149,C,117.12613608994029,9.349429197621197,98.88271603856458,-120.99673593673144,1
Hispanic,18,A,A,B,C,B,C,-15.973860769161414,A,26.903177696454144,A,C,E,32.781837956561354,A,3.1737292520893066,84.62960254811996,27.593102096263312,-55.62430953808375,1
Black,71,C,C,C,B,B,B,-359.45300148697527,C,67.88503317068312,D,A,C,43.68598356474446,C,44.902059151078305,-189.94962646182705,141.65763685500917,23.880693052082304,1
Hispanic,21,E,C,C,E,A,B,-33.97473200064243,E,-128.1472732395354,E,B,E,-1.5031388718175505,B,-28.452267910206945,16.655070033627347,88.47925917929246,85.7846617865673,0
White,73,B,C,A,C,A,A,-165.54471434515227,A,-70.85853051846469,E,A,C,-75.79965572486991,E,-103.32935258712116,-37.425598975918156,-5.616753028170152,12.31060412316473,1
Other,66,C,D,E,B,E,A,9.427320115251382,A,-96.28663516260427,A,A,A,46.89635929918699,A,-0.6903470588253507,117.06576622686893,181.5540544614365,-47.90667261821457,0
Black,27,E,B,D,C,C,D,218.6405758240275,C,-58.78267158589645,A,B,C,140.0517261478208,E,86.86683333540793,-178.61445740820037,93.70453657214371,-67.25389819119026,0
Asian,73,A,B,D,A,D,E,-46.983951253206094,B,268.1854789389321,A,E,A,165.67579508791565,C,-58.52711945824062,-7.960708323705103,10.597645886713252,-49.05955290923121,1
Asian,30,D,C,D,D,B,D,-11.588371161957383,D,-108.74764722775265,A,C,D,145.86264045407796,A,-16.64634055383166,-1.3931421353669469,126.01290617716731,-108.39539489611774,0
Hispanic,70,D,C,C,D,B,E,100.80701789049465,A,-143.2543741273158,C,D,A,-10.692634079794164,A,-44.492650336530424,117.36975548014968,34.47958694290788,261.4015408935054,0
Hispanic,20,E,B,C,E,A,E,16.84371030955587,E,19.90795246345155,D,A,C,58.85091323978162,E,20.763306063003764,-22.68608170946368,19.437914144804772,46.687026931613474,1
White,20,A,C,E,A,D,D,166.31967080420733,B,-57.30663343767215,E,C,E,-32.41095825381893,D,-188.01302939493434,-64.48603845185362,-110.8187357612242,61.05774138700919,1
Asian,75,C,B,D,D,B,C,161.2880749378073,B,31.63036087815218,C,E,E,-98.70557025643161,B,97.13846415730426,238.18121970376484,-31.145400845342092,142.2727331727356,1
Other,23,D,C,E,B,C,A,99.492822018408,C,160.1195165969806,C,C,C,6.004426424240404,D,-248.73650840940277,67.15930076018246,-109.3455748362297,-186.23725540352854,0
Black,63,A,B,E,D,B,E,73.08029326867343,B,-45.977927119939956,E,A,C,-1.4520207764430402,A,-64.43880058975454,85.48305360355805,-19.09123663623808,-39.31590065687739,0
Other,42,A,D,B,E,D,E,163.3154591626009,E,21.389115109612423,E,C,E,-116.09272611873851,E,19.889103166447207,-103.25613914809009,160.2668900666839,-78.31388357783989,1
Hispanic,79,E,C,B,D,A,D,-44.90096650490063,A,111.23428486223308,E,E,B,-118.14578721950481,A,28.294212828878774,-82.82513786008083,40.251412990100086,-59.968678004187026,1
Asian,32,C,D,E,B,A,D,162.30037223664965,C,-59.20065964379744,C,D,A,36.0713268393483,C,-70.42285272594364,-163.40290967224996,-81.39516382642338,138.1889752094166,0
White,19,E,C,C,C,D,A,-62.68445764029861,B,-61.34249032214569,C,C,D,-28.65315152823439,D,-2.3616922362869217,41.267762139825734,36.62874209821126,-3.9514437852554214,0
