sex,Religion,married,nation,feature_0,feature_1,feature_2,feature_3,feature_4,target
F,Other,Widowed,India,-77.08609673456155,E,74.49287093723922,-46.3275580297895,D,0
Other,None,Widowed,Brazil,7.715604267009614,D,12.69789981320697,45.4051269815639,A,0
Male,Muslim,Divorced,Germany,-17.552648309907486,B,-159.25490893533373,81.8241969358987,C,1
M,Muslim,Single,India,138.6127898862785,A,-119.98052944486153,17.602115071124903,E,1
Other,Hindu,Single,Brazil,-151.9471154617927,C,104.09275588654793,10.035813567404333,E,1
Other,Hindu,Single,US,-99.69909414157141,B,-66.03922563664216,-15.628560808785439,A,1
Other,Hindu,Divorced,Brazil,-19.371477326794796,B,-22.69967419303726,66.53340257362908,B,1
M,Hindu,Married,Other,-120.8562034772563,B,-96.77504277712569,-66.34823433465453,D,1
Non-binary,Hindu,Single,US,-106.60496435743873,D,45.81198859581293,28.110829164541464,C,1
M,Muslim,Divorced,Germany,23.468655726034257,D,278.7696677553462,-55.26971855701471,D,0
M,Jewish,Married,US,-11.800329601230265,C,51.5932042484852,71.6346368805191,E,1
Female,Other,Married,UK,34.09616845565021,D,-24.074440261940687,-59.47338380546903,A,0
Male,Buddhist,Married,Brazil,-45.80028778132914,B,77.74454855012452,-33.93930906122882,D,1
F,Jewish,Widowed,India,197.08973760284616,E,-120.39114633169655,-88.65098635511237,C,1
Female,Jewish,Divorced,US,-2.774417501742517,E,-54.56041133324814,-62.81545469828013,A,1
F,Other,Married,US,30.93812102462785,A,-44.2819971929099,18.183278817350693,E,1
M,Christian,Married,Germany,-13.231300729692624,E,-183.9181001319401,-82.77868990821325,A,0
F,Muslim,Single,India,-77.57664077455428,A,7.077337155278488,-45.172721188028596,A,0
Female,Hindu,Divorced,China,73.60531083524914,B,159.75978763973026,173.75073635328306,B,0
F,Muslim,Widowed,Germany,110.61592493690213,A,40.626463578255276,-74.42493247672081,E,0
Male,Christian,Divorced,Other,40.44588887947993,D,-59.541152595948375,14.389388794137181,E,1
Male,None,Married,Other,18.1595477268084,E,-63.521837230993704,-32.879120845277875,D,0
Female,Buddhist,Divorced,China,124.54661943640588,D,175.31644483357144,-232.72623282642164,E,1
Non-binary,Other,Widowed,US,-72.92998140910657,A,4.876952351093061,-59.87524524763377,D,0
Non-binary,Christian,Widowed,Brazil,-197.97471755498208,A,-72.69394038571694,66.23121864557969,D,1
M,Jewish,Single,Other,214.5170906279932,C,-125.92967710078567,3.743565628014799,C,1
Female,Christian,Single,Mexico,-97.27920272810887,C,-23.704239026870603,-135.18664592564838,E,0
M,Christian,Divorced,UK,-42.14865101775066,C,-28.644306349385396,-119.95433118598339,A,0
Female,None,Widowed,Other,135.79594634773454,A,16.44458125281903,100.96462395464438,A,0
Male,None,Divorced,Brazil,32.151885906619,A,115.4452288143954,-17.44973353378885,B,1
Female,Jewish,Married,Other,-281.0847653908755,E,14.56869101452255,-37.5515240319696,B,0
Female,None,Single,Other,80.17934520244192,D,9.83505074783398,18.88090822546314,E,0
Other,Other,Single,China,59.01009662485316,A,13.022492182656187,85.1966610593197,B,0
F,Hindu,Divorced,UK,67.3580639747478,D,83.1213738464305,-36.59871843377252,B,1
Female,Hindu,Divorced,Other,68.60889345764572,D,-12.344518949919182,-125.6663694826725,E,1
F,Buddhist,Divorced,Other,-113.43349831603776,D,-25.972283839454764,37.88768557324872,A,0
Female,Hindu,Single,India,79.7904291879625,B,-74.92492282508368,43.66596130380641,D,0
Female,Hindu,Single,US,-77.14780184498514,D,-98.5615122124092,159.19977847964302,B,0
Male,None,Single,India,87.15146154071856,E,107.57274169176992,79.28170327126759,B,0
M,None,Single,UK,-0.323157212942203,B,105.43544633365298,-5.208081951748148,C,0
Non-binary,None,Married,Mexico,165.02684809625276,C,161.4368520386804,-163.95033708468628,B,1
Female,None,Single,UK,-17.50827702840039,E,-47.18231787970827,-89.48055917437502,B,1
Female,Muslim,Married,UK,-23.092403598182468,C,132.6539695352647,-8.658237989830816,B,0
Non-binary,Buddhist,Divorced,UK,-47.17751504616483,D,92.56031772245362,82.06242790892135,B,1
Non-binary,Hindu,Widowed,UK,-29.754856180998374,E,-99.56289528960697,105.38306260204251,C,1
Non-binary,None,Married,Other,71.20285433020726,A,13.819510986965755,-100.93536254686046,B,1
Other,Buddhist,Divorced,Germany,34.066506132214094,E,-116.85451942420622,-40.13451664621808,C,0
Female,Other,Married,US,-193.75887042416565,D,-117.56971569115358,118.10606780162925,D,0
M,Other,Divorced,US,-82.84973214792305,A,-188.64675998947595,-96.08522583787156,A,1
M,Muslim,Married,Other,-24.909970483998343,E,-348.8888969838155,-21.020898371284712,D,0
M,Other,Divorced,Other,-164.32086485759248,D,30.97942996539941,-42.8684877847801,D,1
Non-binary,Other,Single,Other,156.99008922647403,B,57.09854179626088,-19.36604012393675,C,0
Female,Muslim,Widowed,US,-94.76163126589336,D,-13.33059042056621,43.426203772087966,D,0
M,Christian,Widowed,Brazil,99.73434200925956,B,-1.1654882149351575,-13.057094814045747,C,0
Non-binary,Hindu,Married,China,-166.83979443525078,D,93.93216457585012,-142.43006961856173,C,1
Non-binary,Christian,Divorced,Germany,61.99120363332808,E,-141.1975082946927,25.216313171463,E,0
F,Buddhist,Married,India,192.79557264304415,B,95.23583523469163,182.3126578404121,C,1
Non-binary,None,Widowed,China,-0.6997433150606917,B,-118.91026813437801,-109.33088452324222,E,1
Other,Hindu,Married,India,-107.974058543339,C,44.808958508682416,-87.70276425413347,A,1
Female,Hindu,Single,US,-45.531533538155365,E,-32.2170895073668,-130.56364088732482,E,0
Female,None,Widowed,Other,201.93568746841203,D,72.74722613633989,-116.04516381420986,A,1
Male,Other,Divorced,Mexico,164.78940448060098,A,48.63284128245276,62.533176010785795,C,1
F,Muslim,Divorced,Other,-32.62159093306734,A,17.283545440322197,-119.9592458822298,A,1
Other,Muslim,Divorced,India,38.0457834842737,A,-26.719108981889413,38.00741410931498,E,0
F,Muslim,Widowed,US,49.35827708997897,B,-40.39057229924341,-50.28835925908053,E,0
F,Jewish,Single,US,-84.38164207207338,A,-37.33904636954064,110.56210551820136,A,0
Non-binary,None,Divorced,Brazil,-58.587858413828464,C,100.54976198526242,-11.765268685521537,D,0
Other,Buddhist,Divorced,Other,-19.832817455510874,D,65.68086498669412,-48.938112093719276,C,1
Female,Other,Single,India,234.4702463272129,E,149.27957212360005,-21.384531131096942,E,1
Other,Other,Widowed,UK,-165.41394386665667,B,103.78580906616439,-25.449906088509355,D,0
F,Hindu,Widowed,US,-86.94047537392325,C,89.1747956668874,101.14561671257756,C,1
Other,Christian,Widowed,Brazil,-13.14415277961455,B,-159.34954641647087,-66.10727905521392,B,1
Female,Buddhist,Married,Brazil,40.64481964552189,C,63.749963933309125,-113.39901717053091,A,0
F,None,Divorced,India,142.65070457498555,D,4.262219875218946,-117.92568375663221,D,1
Other,Christian,Divorced,China,110.5033228221459,B,-87.99531681144067,15.169338550439559,D,0
F,None,Divorced,Mexico,-31.63291739395045,B,-21.344825032119108,-94.85372684951135,A,0
Female,Muslim,Single,India,231.50738220981683,D,-19.664818320988854,-96.97790126162164,A,1
Other,Muslim,Married,China,-17.071734636098878,C,-0.28417334613528766,43.346259650806005,E,1
Non-binary,Jewish,Single,UK,70.84679819031864,C,-38.91298418785141,68.4361669518185,A,1
Non-binary,Jewish,Divorced,China,273.82193208043026,C,-52.46048015507676,-112.58782927848976,D,1
Female,Hindu,Married,Germany,29.623419155257174,C,131.82518917974525,-6.01884853829027,D,0
Non-binary,Muslim,Single,US,113.77457326003886,C,97.50472105440693,59.17680162996445,C,1
Non-binary,Other,Widowed,Brazil,-174.33152601057463,A,126.24706790697874,-41.78557526738052,C,0
Male,Christian,Married,Brazil,63.43509725274698,B,78.36857232984627,-121.73945342874578,E,1
Non-binary,Buddhist,Single,Brazil,-130.2833598902387,E,1.6627259181995049,-150.63217342013564,C,0
Non-binary,Hindu,Divorced,Other,109.53414344007912,E,13.013589547969884,-71.36430310479801,B,1
Male,None,Widowed,US,-63.32021123484343,E,-15.02590889694955,85.82948190874433,E,0
F,Other,Divorced,Germany,99.77133778405084,A,-4.4694331491672825,-14.210099839303695,E,0
Other,Muslim,Married,Brazil,-158.42738816990575,D,121.20576105105184,94.7650542755149,E,0
Other,Hindu,Married,Germany,-16.349613036760037,B,15.670037521236921,63.12695208955263,B,0
F,Other,Widowed,Mexico,133.33459379737363,D,0.8184082924813353,-6.21749711186808,B,1
M,Other,Divorced,US,-9.118063739384112,D,-98.4986705001219,-6.719614878125658,A,1
Male,Hindu,Single,Germany,-33.16944355487361,A,-86.92322170867706,20.983345724369844,E,1
Female,Other,Married,Other,110.93470622294438,C,41.35017575380005,-122.83453755579674,C,0
F,Jewish,Divorced,China,72.34342882767316,A,-156.38068726764806,41.22573589520632,D,1
Male,Buddhist,Widowed,Germany,-24.5884770992726,D,-90.92786925199465,-157.08919379532932,E,1
Male,Other,Single,UK,-46.8888177346018,D,-6.423932293238456,-56.980092650912674,B,1
Other,Jewish,Divorced,Other,146.5185515165782,A,56.450632945315405,84.26550334610128,B,1
Non-binary,Hindu,Divorced,China,44.96200548517322,D,-30.35418685133095,-94.59928416291196,C,0
M,Hindu,Widowed,China,-306.26642668602153,D,191.51752684630998,192.9749307144107,A,1
Non-binary,Hindu,Widowed,Brazil,68.00486679231321,D,-101.82163092386736,266.8050031446355,B,1
Non-binary,Buddhist,Widowed,China,-84.24133306957472,C,30.502408422022796,-103.8828175827449,A,1
F,None,Divorced,Germany,96.9630471643495,C,-4.146853371055028,-61.18658808748189,B,1
F,Christian,Widowed,Mexico,305.90848177220283,A,164.0329281959334,-72.03193092122942,D,0
Other,Muslim,Divorced,India,32.226031740585064,A,-51.65159455519215,-149.81527213972424,A,0
Male,Other,Divorced,Mexico,97.84228270002644,A,45.45577397082209,-61.36131355099498,C,0
Non-binary,Christian,Single,Mexico,-1.2801536310771386,D,6.748005949194821,49.24876337299346,A,0
F,Hindu,Single,India,-11.562204992012164,A,-200.41378898163157,-3.6960966504940527,B,0
Male,Buddhist,Divorced,Other,31.503128075414466,B,-54.03326178595502,-2.1463298140892335,B,1
Other,Christian,Married,Brazil,69.74940997392756,A,124.31566951625305,-95.20499676312994,A,1
Female,Other,Divorced,Brazil,93.78584892214147,C,-137.352164399699,43.33416614713433,B,1
M,Hindu,Married,Other,22.335523078353415,D,196.68903401509996,48.41218960259421,E,0
F,Other,Single,Other,-229.16670927368426,C,-48.368259686954424,99.47173065670934,B,0
F,Christian,Widowed,Germany,29.33874426745737,C,-24.494642514538707,-5.689556742582718,E,1
F,Jewish,Widowed,Brazil,-131.30556237586285,A,88.70885216595083,104.72189251886361,C,0
Other,None,Widowed,India,39.342678345626624,E,-285.05172079286496,116.29461601274068,B,0
Non-binary,Other,Married,China,-31.044202587777026,D,115.02564583208093,11.71763793234638,B,1
M,Buddhist,Widowed,US,-140.6081855109343,A,101.95193806051437,72.35665931196804,B,1
Other,Other,Single,Brazil,85.95552783979974,E,86.24587557666904,-37.77811693286486,C,0
M,Hindu,Divorced,Other,70.65028777396027,E,144.57878188741753,10.027748891442325,A,1
M,Jewish,Married,US,-103.65324492879569,A,-106.95260510249061,-109.57359535072571,B,0
F,Hindu,Single,Other,-30.083953909989813,B,126.81063940691044,34.282240216997536,E,0
F,Christian,Widowed,China,13.285427862111323,A,69.47719312158576,100.41900960934964,B,0
Female,Christian,Divorced,US,92.03859546205233,E,17.259281153880995,51.64256165858511,A,1
Male,Hindu,Widowed,India,-48.33125746477446,A,0.9261263672398188,-80.24921597027644,C,0
Female,None,Widowed,US,125.07696249441733,B,-67.16776738983478,24.775109845656146,E,0
Female,Jewish,Single,Brazil,36.001792204509975,D,-0.9460362264874058,1.0141193867470877,E,1
F,Muslim,Divorced,Germany,-107.95527016557298,C,50.46557574168064,-36.961367945945284,B,0
Non-binary,Buddhist,Divorced,Mexico,-64.59215318802592,E,-235.72520888535107,-45.5807936269672,E,0
F,Hindu,Married,Brazil,9.817548373710832,D,-52.253460125856975,-130.46054532482538,B,0
Non-binary,Buddhist,Married,Brazil,14.943490908775184,B,36.41970959693099,-129.06310310727292,A,0
Female,Hindu,Widowed,Other,153.21576854970957,E,-2.376894330845814,-46.86810737322549,A,0
Female,Muslim,Single,Brazil,98.11261914640119,E,-48.368166976353024,-122.1290255943037,C,1
Non-binary,Christian,Divorced,Brazil,78.84469983915075,C,-34.01500073760284,-11.688915606631243,B,0
Male,Buddhist,Divorced,UK,-32.132702532318916,B,74.27855676043424,-152.7653588743539,E,1
F,Jewish,Divorced,UK,123.01261798976928,A,1.1108120317276404,31.71453040925029,E,0
M,Other,Divorced,Other,4.046169605512862,A,167.78227330605299,-115.96049807060884,D,1
Non-binary,Hindu,Single,US,179.30381046841498,B,-19.50859653937721,65.8573650910783,C,1
Female,None,Widowed,UK,56.02210157890656,A,-20.193937099050316,-45.05908036648356,D,1
Female,Christian,Widowed,China,-266.1925600647499,C,-50.23356116580795,89.61516485959827,B,1
Male,Christian,Single,UK,201.3656352522664,B,42.67516170223621,167.58658672242137,B,1
Female,Hindu,Widowed,Germany,-33.01068639478705,B,98.50905961452868,-143.8313636620491,E,0
Other,None,Divorced,Germany,82.85823705671966,E,-14.587422734587491,325.5546432173351,D,0
Female,Jewish,Single,Brazil,-93.05082420758465,C,118.8307029858234,97.99347253917028,B,1
Non-binary,None,Married,Germany,13.591097683012654,A,-8.649875128845808,110.6888721730379,E,0
Non-binary,Muslim,Single,Brazil,120.4682741320476,A,-107.4539349821893,-95.64672098030891,C,0
Other,Jewish,Married,Brazil,67.92976677226791,C,-76.8229645174481,92.71126740216907,B,1
Non-binary,Jewish,Single,India,-30.889189512698582,A,-45.06940277860533,-100.8876996374268,D,0
F,Muslim,Single,Brazil,-187.87433306972875,A,133.33876045509058,155.86899072205568,D,0
F,Other,Widowed,Other,-50.157234468991774,E,2.3607613054438583,-35.39047993691444,E,0
Male,Christian,Widowed,India,23.033772445864535,A,90.5819087001576,159.0932869351011,C,1
Male,Jewish,Widowed,UK,15.996883585338026,B,153.87851582576968,-115.09212509674471,D,1
Non-binary,Christian,Widowed,US,237.4955000184832,B,-101.98471538951854,80.61633968995096,D,0
M,Hindu,Widowed,Brazil,-55.30135386810152,A,160.10036125964012,-67.08389932011131,A,0
Male,Hindu,Divorced,Germany,116.44021179713636,C,-69.76796613962544,-14.743346171669106,A,0
Non-binary,None,Divorced,Germany,4.623727846820434,A,9.844494838735454,93.83456737905519,E,1
F,None,Divorced,China,22.15479712864227,D,15.115173712917827,23.636869489721608,C,1
Non-binary,Christian,Single,India,-15.666211231629923,E,-94.19992664783821,-28.074834003564675,D,1
M,Hindu,Single,Germany,-86.79495800648137,D,-82.36887862001703,-186.27394249000054,A,0
F,None,Divorced,UK,-35.00502204841071,C,-287.7644077598044,-23.88647243249917,E,0
Non-binary,Other,Married,US,18.657234034790143,D,-59.38644789719771,-78.00920548429514,B,0
F,Christian,Married,Mexico,10.457103006744314,E,174.6597689595391,-86.58215993201317,E,1
M,Other,Married,US,7.304608619363844,C,-125.43503832654832,-144.98123283365675,B,1
Male,Jewish,Married,Mexico,-29.472714836232665,D,-5.179416975080485,-95.60708729349578,C,0
Male,Jewish,Divorced,Brazil,226.2230314552337,B,22.461623613708504,-123.25141585417465,D,0
Other,Christian,Divorced,Mexico,64.38762099654971,E,95.08328237401099,73.46577731020383,D,1
Female,None,Married,Brazil,-105.53955663649415,A,-29.1068695894253,132.8570259070706,D,0
M,Hindu,Divorced,China,-125.63163004230873,C,-20.871109379442167,59.25651372749532,D,0
Female,Jewish,Married,UK,82.24286004354606,C,-49.837883250275745,137.38937198046258,B,1
Male,None,Single,Mexico,3.343191629610925,D,51.24193159080326,77.15231228369231,C,0
Male,Other,Widowed,Germany,-27.172808889549742,B,110.94050992684328,151.99379157299154,D,0
M,Hindu,Widowed,Germany,33.53176283472663,E,-12.342614842666928,-4.830631969613513,C,1
Non-binary,Muslim,Widowed,Germany,5.691149836245205,A,-155.16596041818153,-118.97961885845918,D,0
M,None,Widowed,India,156.38734116527445,D,-111.8895973648995,0.3279747315056095,A,1
Male,Buddhist,Single,China,14.478054259119869,E,29.39288126902756,-86.20785325397507,E,1
Female,Other,Married,UK,65.1718598621131,E,-16.260401649497513,107.62953828940371,D,0
F,Hindu,Married,Mexico,8.246543617498443,B,98.6219546477413,69.36843392148765,D,1
Male,Hindu,Divorced,UK,-55.10566109754177,C,-14.06764426147045,-190.5581175263522,E,0
Other,Jewish,Divorced,Mexico,-4.764147966542899,D,41.420640385469945,26.1581670321864,C,1
Other,Muslim,Married,Germany,42.33624621809249,B,-37.87071057210453,49.79559949992554,C,0
Male,Hindu,Widowed,US,-35.400134359121274,B,-62.715949336838015,-39.006691778481255,E,1
Non-binary,None,Divorced,US,20.04827805823171,B,-17.59024444528593,71.53125339373577,B,1
Non-binary,Buddhist,Single,Other,-120.37551687539782,D,59.45216198211421,-37.314756898448046,C,1
Male,Hindu,Married,Mexico,34.247788575537456,E,69.49198074356298,65.60784998441247,B,1
F,Jewish,Single,China,-2.4346413159753264,C,-91.98256833918309,88.78490773749544,D,0
F,Buddhist,Married,Germany,72.59935861680398,B,-132.48432191663198,-146.40477044372238,C,0
M,None,Single,China,-75.68542098626207,B,-68.79336983062177,-112.0140042258295,D,0
F,Buddhist,Divorced,US,-75.58624198707295,A,62.42689583531087,180.61362587616122,B,1
Non-binary,Other,Widowed,Other,162.71692295155958,D,191.38504030679638,86.62364859778184,A,1
Non-binary,Christian,Widowed,Brazil,33.72084633489386,E,3.78791869948958,97.58907528616587,C,1
Male,Other,Widowed,Other,-94.77384170899357,A,-42.78791439757877,55.37406849449371,C,0
Male,Jewish,Widowed,Brazil,119.44482834959274,D,-18.409179358693102,-210.00884612891767,C,0
F,Other,Single,Brazil,21.054249958083123,C,18.280212978726613,20.369423401981944,B,1
M,Other,Widowed,Brazil,-158.72152353207144,C,129.98537083464018,-55.007101474664445,E,0
M,Jewish,Divorced,China,71.13490570375161,E,15.785580248790412,-10.922780380644971,C,0
Non-binary,Muslim,Divorced,Germany,49.76723809783694,C,85.39453771770548,90.81287255675316,E,1
F,None,Divorced,Brazil,-190.57146041191243,C,44.42210600125672,210.0542476960603,A,1
F,None,Married,UK,-20.556849849937443,A,119.8327758393247,-267.4407674101903,A,1
Male,Hindu,Single,UK,21.75127813316203,D,-23.404074073056748,1.2879867521280748,A,0
Female,Jewish,Divorced,Other,58.77613716605804,B,151.68813064445285,-110.97962807932622,A,1
Female,Christian,Widowed,India,-160.35256704439257,E,34.93204062781872,-155.77688916521487,A,0
Male,Christian,Widowed,India,-1.3958854004355121,D,60.19552953567525,171.088589874319,C,1
Female,Other,Divorced,Mexico,18.666087179449445,D,32.224872359993654,61.87958265507473,D,1
Female,Hindu,Divorced,Germany,8.486507152531559,B,-25.699156727553262,-0.32618949638380096,A,1
Female,Buddhist,Single,UK,-88.52711782599019,A,-23.089574115805398,-79.9668954335777,A,0
Female,None,Single,US,9.550023391800154,D,-22.027496607763535,66.3114782025565,C,0
M,Hindu,Widowed,Other,-56.67592256157384,C,7.269195816200111,-62.45551400927181,C,0
Male,Hindu,Divorced,India,-1.894423873185593,C,-46.79174277914466,170.2094159553803,B,1
M,Jewish,Widowed,US,-81.10493932129843,D,3.673951439981185,146.33711189852755,E,1
Male,Buddhist,Widowed,Brazil,-73.00337985813275,B,0.36477201250626723,124.11676328085936,E,1
Other,Other,Single,China,-96.61840788789787,D,64.16799756934995,103.98400677263295,B,1
M,Muslim,Married,Brazil,109.17510941382776,B,6.703948862590177,135.4578548830974,D,0
Male,Other,Married,India,-147.93718647057003,A,-102.07258059887525,126.63343793089305,C,0
F,Jewish,Widowed,UK,-90.86621075648867,B,14.73164522517662,-113.82016411056408,C,1
M,Jewish,Widowed,Other,78.01367103329906,A,121.43889074477644,-62.114980001201744,D,1
Other,Hindu,Married,India,175.75784052082807,E,-35.268599578103746,-47.26030755334163,A,1
F,Buddhist,Married,US,37.882814061895665,E,215.02532797859942,-112.01389288430184,A,0
M,Muslim,Widowed,US,90.45565815815567,E,-124.2402837646752,-43.49419205615992,D,0
Non-binary,Muslim,Single,US,136.19106345320435,E,96.7617694094994,1.8052850183937947,D,1
Other,Other,Single,US,-77.91835120895671,A,68.8253144147129,-137.6313520047129,E,0
M,Christian,Widowed,India,58.426369517034324,A,216.91933556439423,72.44172462316637,C,0
M,Other,Single,US,67.35718959071005,D,-11.457050825933003,-118.87834645708828,A,0
Female,Buddhist,Married,India,-41.56861764289202,B,-1.2344760831611008,-4.443785504994613,A,1
Other,Jewish,Single,India,-57.95689897861636,A,122.62078243516315,-8.310817715954427,E,0
Female,Buddhist,Single,UK,4.801399911500962,B,69.10696109848428,98.71294798500267,D,0
M,Christian,Divorced,China,0.027606108191357025,D,105.44695569881574,-116.31337546313492,C,0
Other,Other,Married,China,-0.8999035803048249,B,8.266603369880745,144.26693870642572,E,1
F,None,Married,China,-51.90240959395207,A,113.57897100122656,-132.36820130183676,D,0
M,None,Married,China,-175.05465289742375,C,3.6982174728597466,176.7452990538506,A,0
Male,None,Single,UK,-63.639005106675796,C,-53.6520813426945,-47.129510680545266,D,0
Non-binary,Jewish,Single,India,-94.37595378666302,B,18.367312002158425,15.567292050688158,B,0
Non-binary,Buddhist,Divorced,Mexico,29.710257019157467,B,59.669681033623576,49.1449553302617,A,0
Male,Hindu,Widowed,Germany,-141.56377516679362,A,53.73535163368509,-24.005739186276674,B,0
Male,Christian,Widowed,Other,6.803681531203389,B,-52.24907783341216,-46.26579703889479,A,0
Non-binary,Muslim,Married,US,127.27685797437623,D,46.12231486169839,74.9332457881716,C,1
Non-binary,Other,Married,US,72.87485496370414,D,-155.39938599258863,-6.0300428490361995,C,1
M,Hindu,Divorced,India,-35.19746559604874,B,70.2016308316467,-20.639917822513578,C,0
M,Other,Single,Mexico,-21.985700101452665,B,-87.58685721880502,20.548517080679023,A,1
M,None,Divorced,US,38.34625668761129,A,-137.68955389527684,-35.75209130993052,D,1
F,Buddhist,Widowed,US,14.014144247274785,A,38.70038663310644,131.94550891205154,E,1
Female,Hindu,Married,India,-52.69192860944189,D,113.01244720018599,143.20718880888225,D,1
