AGE,religion,genero,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
36,Muslim,F,No,B,43.02289313448642,A,228.34644745102258,-0.04862040970052361,D,C,C,0
30,Hindu,F,Yes,B,-94.48159267054866,C,19.82477541032822,-310.8636263266856,C,C,C,0
79,Christian,Other,No,A,157.0173944795368,C,-97.81624847502577,-10.412924146224988,B,E,A,0
67,None,Male,Non-Veteran,A,42.26308261340003,B,-108.36222423966643,63.3485582086093,A,A,B,0
38,Muslim,Female,No,B,90.77284059893923,B,-105.56950535099232,-276.992290770584,A,E,C,1
31,Hindu,Male,Veteran,E,-33.51435766097482,A,-88.10447929238028,101.70514565428273,D,E,C,1
78,Other,F,Non-Veteran,B,38.19261806521321,A,135.84829662379767,-119.08821010474185,D,A,D,0
29,None,Male,Non-Veteran,E,-82.01494573758197,A,141.1568789910372,121.57981114387665,E,D,B,1
27,Hindu,Male,Veteran,E,-184.98185388504993,E,-30.744416993646656,125.41771518390712,B,E,E,1
46,Hindu,Non-binary,No,B,-98.61554420997918,C,46.43505683219769,8.870031365866836,A,A,D,1
50,None,Other,Non-Veteran,D,-68.11378659643873,A,50.63268118107979,-209.3881967795454,D,B,B,1
26,Christian,Non-binary,Veteran,A,-135.94020053078256,B,29.418019985069083,164.3981355204433,E,E,E,0
89,Hindu,M,Veteran,A,35.61059067045898,E,37.39508501892863,-105.57126352004789,B,B,E,1
82,Christian,Non-binary,Yes,D,-174.85114844845495,A,-76.53071218330402,97.3901252077217,A,B,C,1
23,Jewish,Female,Yes,A,49.73241377340009,C,172.1214973320814,74.61041410221198,D,C,C,1
40,Other,Non-binary,Veteran,B,-57.07509062547079,D,26.252266558682518,-76.17289849936648,A,C,C,0
39,Other,Female,Non-Veteran,E,6.627486616730853,B,-30.55244103798141,-5.189517073782776,D,C,B,1
20,Buddhist,Female,Non-Veteran,D,55.00556057821733,E,1.6771582754933698,242.87012016871364,C,E,A,1
50,Muslim,Male,Veteran,C,18.995423053356923,B,114.70010151731991,-150.74813490335802,D,B,C,1
49,Christian,M,Non-Veteran,E,-91.48553691269304,B,57.37315948787798,239.73926620193797,E,A,E,0
31,Muslim,F,Yes,D,62.459385909625894,D,204.3723938187814,-136.85592874333918,C,A,E,0
90,Hindu,F,No,B,-56.127985395876344,D,325.810705551722,32.13849247599075,C,E,D,0
70,Christian,F,Yes,E,88.96577857609599,D,-153.0885756010917,-5.23584074713935,A,E,B,1
92,Buddhist,Other,Veteran,A,-11.84708804984626,B,-142.33650076693746,146.6707543157294,A,D,A,0
38,Jewish,Non-binary,Non-Veteran,D,-67.72833946637112,C,18.891251525772425,-16.590187084796746,D,E,A,0
23,Buddhist,Non-binary,Veteran,B,130.15799046374923,B,57.0699737993108,-107.68358314350645,A,A,B,1
43,Other,Male,Veteran,E,8.56807840860581,D,-140.13930640680655,110.53691930254837,E,A,B,1
37,Jewish,Other,Yes,B,-114.40538374139682,D,19.318417822444935,206.16526105828913,C,D,C,1
51,None,Female,No,D,6.752604947309972,B,80.02050937026523,132.82077593562292,B,C,C,1
19,None,M,Non-Veteran,E,87.48984331018623,E,-62.938050929709874,125.3399527017069,E,B,E,1
85,Hindu,Male,Veteran,B,98.9216382014916,E,-25.183814137423372,54.424684966254475,D,D,D,0
59,Other,F,Non-Veteran,C,165.3473721143866,A,39.823932286567775,94.58092183590982,A,C,A,0
77,Other,F,Non-Veteran,E,-39.017240216900944,B,4.082916546878435,-7.388669745130424,A,A,C,0
81,Hindu,Male,Non-Veteran,D,93.13066435435556,B,164.08318314171143,-26.618340527414574,D,E,C,0
91,Jewish,Female,Non-Veteran,E,-11.411212731003713,C,-133.45817132198562,-149.48882740550377,C,C,D,0
35,Hindu,Non-binary,Yes,B,118.70559455607665,D,38.69839471138544,-83.14619499433074,D,E,E,1
94,Hindu,Other,Non-Veteran,C,-0.8003616528545399,C,-93.82942711011877,9.637561568267087,D,C,A,1
93,Christian,M,Non-Veteran,B,92.45610073881684,A,64.58635664439684,-100.54409823458552,E,A,A,1
97,None,Other,No,E,-42.39846436284944,D,121.41735628129493,-160.13317046265138,B,A,D,1
45,Other,F,Yes,D,-88.07812844932286,E,21.54317907075043,-156.49462994520727,B,E,D,0
77,Jewish,Female,Veteran,B,-90.43660926636464,C,103.00476523260265,-34.27277485075747,C,E,D,1
20,Hindu,Female,No,C,90.1235315499867,A,136.96420070650026,3.5421494261348574,D,E,E,1
92,Christian,Female,Non-Veteran,E,-3.151406793793204,D,-116.61046160474322,109.21449296157071,E,C,E,1
87,Christian,M,Non-Veteran,C,136.37770564227822,E,-70.9199292850543,213.01771501030103,B,B,D,1
73,Other,Female,No,C,-56.172281563598794,D,23.296325989775486,44.42766297104053,C,A,E,1
68,Jewish,Non-binary,Non-Veteran,D,-95.85349015337216,E,119.30564826525017,62.6338785376915,E,E,B,0
61,Buddhist,F,Veteran,C,83.34170283041989,B,27.626451386072947,217.50430137521604,B,B,A,0
19,Muslim,M,Yes,C,-89.85754184793628,A,171.11325623823396,-141.8992041860704,C,C,C,0
60,Hindu,Female,Non-Veteran,E,-19.425000526032306,C,43.761336676381674,-38.98737034363477,E,B,E,0
56,None,M,Yes,E,95.58734538390821,A,-106.73530918820815,-7.662090687632545,C,E,A,1
78,Muslim,Other,Veteran,B,-9.622354084707409,D,-108.38210270672523,-136.30939173143602,C,A,E,1
22,Jewish,F,Veteran,A,13.456490881822031,D,-25.284572752608476,85.39481468205685,A,D,B,0
41,None,Female,Yes,A,-105.3998091736727,E,-72.16374957700855,25.68436836694007,A,C,B,0
80,Buddhist,F,Veteran,E,156.33544277800257,C,-198.16592835780153,-47.14809891842695,A,A,E,0
98,Jewish,Other,Veteran,A,-116.15292596097714,B,69.93992933915575,126.42831654416524,A,E,A,1
56,Hindu,F,Non-Veteran,E,6.591089342875615,C,-182.41055495587267,70.5629165366732,A,A,C,1
21,Christian,M,Non-Veteran,B,-82.2330562100719,C,-88.26764124612305,-45.723339904993075,B,A,E,1
18,Jewish,F,Veteran,A,-88.01046617349647,D,27.299444058479878,-15.240854188851516,A,D,A,1
94,Other,Other,Veteran,A,-90.17726149893245,B,74.11615421852153,29.659162762288084,C,C,E,0
51,Hindu,Male,No,E,45.172052298893625,D,28.38252075833358,50.760757865336245,D,C,D,1
81,Christian,M,Veteran,A,60.83495002168169,B,-96.9485272143758,146.0594936110715,D,B,E,0
65,Hindu,F,Veteran,A,-10.016962928215,A,6.051637513456388,-75.55814887731789,D,A,B,1
98,Christian,M,Veteran,A,-67.77783909752154,C,26.69186862026392,-49.823003053992586,A,C,B,0
92,None,Other,Yes,B,33.667800011164005,B,165.6800045376717,68.27524286140718,A,A,B,0
53,Jewish,Non-binary,No,B,14.066057216871034,C,-76.09053232136763,-10.37889397301433,D,D,C,1
96,Muslim,Other,No,A,-98.40921091272772,D,110.82034074680114,107.47766011228438,D,D,B,1
54,Muslim,Non-binary,Veteran,B,31.357135605540115,C,-47.56585466071332,95.94313492738944,B,E,C,0
66,Christian,Other,Veteran,D,-37.386523686309935,A,0.36111580586244013,-9.992161205414222,D,A,D,1
43,Hindu,Female,Veteran,E,-79.93499038152856,D,-96.40407663244204,-89.91284125943322,A,D,E,1
36,Muslim,F,Veteran,C,221.8613622461532,C,-43.77106513579203,-112.9989570110971,E,A,B,0
55,Muslim,F,Non-Veteran,E,19.687991477157983,B,-231.88342036539876,92.42668900320919,A,C,D,1
56,Christian,Non-binary,Yes,C,-67.70806146393619,E,27.77857859536227,32.726571017014166,E,E,E,0
43,Buddhist,Male,Yes,B,-126.26931242924604,B,-59.64208733680405,-53.99222721060269,B,E,C,0
24,Other,Male,No,C,70.18485600602126,C,152.07487813623584,-157.68159626163077,B,A,B,1
85,Other,Male,No,C,-32.19584163270724,D,-100.52453690115684,161.85995835722014,C,A,A,0
81,Other,Non-binary,No,A,19.22608025932712,A,45.756827910421784,157.32200896922777,E,D,A,1
59,Hindu,Female,Veteran,A,151.84815698067183,E,28.92505442883504,47.7382628608399,B,E,E,0
80,Other,Female,Veteran,E,65.79249878732723,E,-288.43525359278397,-79.82603340639317,A,B,A,1
34,Christian,Female,No,E,180.79174127964131,B,7.224820357554929,-40.5168347296018,B,D,A,1
53,Hindu,Non-binary,Non-Veteran,B,143.8077989556804,C,-57.363030582008875,84.32049356930628,A,E,D,1
93,None,Non-binary,Yes,D,-48.166100756795444,C,-158.16472243350245,134.19440291046016,C,D,E,0
49,Hindu,Other,Non-Veteran,C,134.51795785006502,C,149.17098217637852,-98.46838663575527,D,A,B,0
28,Christian,Non-binary,Non-Veteran,D,84.66683786817904,B,-31.985398197447008,-225.82734892269113,A,C,D,0
26,Jewish,Non-binary,No,A,-45.98586934707887,A,35.13645031971602,182.97939578913855,D,D,D,1
32,Buddhist,Other,Yes,A,36.902234033429465,C,-94.94497493080306,1.600830209226638,A,A,D,1
23,Other,F,Veteran,A,-37.985562781311444,D,73.93380214739867,-197.14450505365227,E,A,A,0
23,None,F,Veteran,A,-32.60185125333055,C,80.59870398858247,160.22732379546926,E,C,D,1
73,Jewish,Non-binary,Yes,E,8.116402415460099,B,200.1437639431444,278.04272823304854,C,D,C,1
21,Hindu,M,Yes,E,40.637562925040065,B,137.69736333583796,-81.25682197887296,B,D,B,1
27,Other,Other,Non-Veteran,E,-108.09272906049081,C,-82.68986007653417,11.36323642289798,C,B,E,1
19,Hindu,M,Veteran,A,-68.8998570931461,C,-131.98456404959921,-168.64255136770697,C,D,D,1
52,Jewish,F,Veteran,C,-55.46492260144784,A,-87.33181942166478,61.78817679243293,C,C,C,0
78,None,Female,Veteran,E,-19.719921753324066,E,-0.8395639870753399,197.1650981505425,C,D,E,0
60,Jewish,Male,No,A,-172.9046252024809,A,-136.3853226803197,16.859786347173948,B,B,E,0
31,Christian,F,Non-Veteran,B,23.908439387981947,B,49.208141552816016,69.14881576681762,B,C,D,1
71,Christian,Other,No,B,134.63374414300483,B,-64.9112620889221,26.552974668834366,D,B,B,1
68,Christian,Female,Non-Veteran,C,88.89767005301098,E,-30.200040034462315,-70.9238075610657,E,C,A,1
43,None,F,Non-Veteran,C,70.75632576079593,D,-140.20509330389314,-99.26361673264756,A,A,E,1
22,Other,Other,Yes,A,-141.99234665355712,D,-65.53273326950946,30.231395941326138,A,C,D,1
92,Jewish,Male,Non-Veteran,E,14.945296806966407,A,-66.82918766979799,50.022616980958034,C,E,D,0
79,None,Other,Veteran,A,229.42231262042858,C,21.938098553279477,-20.75803210555786,D,D,E,1
89,Christian,Non-binary,Yes,E,-106.85022650499816,D,-108.86070399339846,74.66634281197798,B,C,D,0
72,Jewish,Female,No,E,-10.568363861405421,A,245.87943653676896,-39.497713186790726,B,C,A,1
28,Other,Non-binary,Non-Veteran,A,-5.326272315778585,B,-126.4904797102254,43.26454872448623,E,D,D,1
76,Hindu,Female,Yes,D,13.98840894403447,C,-126.23990808524732,69.04345558787878,D,C,D,1
86,None,F,Veteran,C,-17.717186607272904,E,11.894156210826074,57.695636762844494,C,C,A,1
93,None,Non-binary,Non-Veteran,D,94.38941853061958,E,-37.466480015917796,-18.34424581715122,B,D,A,1
61,Hindu,Non-binary,Yes,A,-8.013357473209188,E,26.77742217384398,16.040939875675544,C,D,D,1
20,Buddhist,M,Yes,A,53.93621615053107,B,62.136077456840624,-38.439842016892904,A,D,A,0
38,None,Male,Yes,B,125.46750647599714,A,60.698337776892664,-18.56957986126611,A,B,D,1
65,Jewish,Male,Yes,A,10.367542585173851,D,97.40104348679343,-91.77673311043404,A,E,B,1
52,Other,M,No,B,-16.542793079923506,D,-9.187702760624557,-86.59698511019724,E,A,B,1
26,Other,Other,Veteran,D,-79.86774175028387,C,-12.960324879895376,-63.482397705224116,A,C,B,0
26,None,Male,Veteran,D,1.9170471961125626,B,-33.36888293662086,-123.61818217410132,B,A,D,1
94,Buddhist,Female,Yes,E,54.98744322495912,E,-33.621604600122836,-94.24903052428338,D,C,C,1
73,Muslim,Other,Veteran,C,-126.66954504461789,B,-4.9404863836345285,-62.228519585627886,B,A,A,0
36,Christian,Male,Veteran,D,-48.28494354685084,C,-0.6396158648548875,-62.12441125612992,D,A,A,1
96,Hindu,M,Non-Veteran,B,-43.33267597341793,A,14.931781160020321,-119.13765191341501,D,D,E,1
84,Jewish,Male,No,C,-155.05090295538372,C,68.11787236643042,-109.70261473080325,E,B,C,1
23,Buddhist,Other,Veteran,C,3.7153040267465096,C,87.33749523355469,-39.89217993566299,A,C,D,0
87,None,Other,Veteran,C,-1.0880935817967694,E,-55.10060203412457,58.302220072864344,D,A,C,1
63,Christian,M,Yes,A,36.046952161051465,B,-100.13070899028085,117.15405724303531,A,B,C,1
26,Muslim,Other,Non-Veteran,D,-86.10656732031147,E,-108.01787551886284,-53.76782824168473,B,C,E,1
99,Muslim,F,Yes,B,190.6313168694956,C,65.91824744027042,27.034944551461955,D,D,D,1
36,Jewish,Non-binary,Non-Veteran,C,52.37263637641378,C,-136.46216987825105,27.64602074513335,E,C,A,1
94,Hindu,F,Yes,B,38.783517127387796,B,-168.88067745098866,-19.245734110512625,B,A,A,1
40,Hindu,M,Non-Veteran,E,-47.324468098992476,E,194.2068259350841,27.88520169120471,B,C,C,0
27,Other,Female,Veteran,E,49.87632143815745,E,85.18857665475421,-1.4669335067336124,E,A,C,0
51,Jewish,Male,Non-Veteran,A,-146.0167126829576,B,47.30460465198381,-136.25291959072356,B,B,A,1
86,Other,Female,No,B,14.580277886561834,E,-44.14688437077228,-64.2189325374067,E,E,E,1
73,Jewish,Female,No,E,160.10259421145136,D,188.7064699610273,144.93430662788128,A,E,D,1
98,None,M,Non-Veteran,A,353.4623803278637,C,67.76483309253022,83.48435913712692,C,B,E,0
30,Christian,Other,Yes,C,9.416678646894155,C,162.6086624813311,-3.672136636834461,A,A,C,0
98,Hindu,M,No,A,-78.80261922514535,A,-83.30722075228668,-43.888373780260586,E,C,E,0
28,Christian,Male,Yes,E,-25.23219772755802,B,-3.7409534296593083,15.482186989790176,C,E,A,1
26,Christian,M,Non-Veteran,A,-157.77251538484077,A,117.4018387969592,-91.9206458069991,A,B,C,0
45,Buddhist,M,Veteran,D,-39.30548896564463,E,105.77299632848185,-67.73594228702595,E,E,B,0
97,Muslim,Other,Non-Veteran,C,109.18234254922253,A,47.834134447283986,-27.801519079381237,B,E,D,0
57,Buddhist,Non-binary,Non-Veteran,E,-0.7758449742438053,A,36.26471135782639,-18.82864418921867,C,D,E,1
74,Muslim,Other,No,B,135.17383796920572,B,103.4726204492972,-64.96644318045158,D,C,D,1
49,None,Other,Non-Veteran,D,49.78093390859169,D,230.74823961803156,30.69383316239247,C,D,B,0
88,Christian,Male,Veteran,D,-5.526734586904457,A,61.68476524583377,175.84673052011368,C,A,D,1
40,Jewish,Other,Yes,E,-108.94097613379611,E,-137.81826578055006,-61.19773274210824,E,A,E,1
91,Jewish,Non-binary,No,A,-188.03019616898746,C,-61.05940180439823,25.07344198747129,A,E,D,1
25,Jewish,Non-binary,Non-Veteran,C,2.9335736939564794,C,-16.33565001934904,54.271621759784395,A,E,C,0
61,Jewish,Female,Non-Veteran,B,-58.59684264449794,C,123.41045007588056,165.08967994548388,A,D,D,1
43,Jewish,F,Veteran,C,146.16265148573697,B,64.5953246839956,119.58268130194692,D,D,D,0
34,Christian,Female,Non-Veteran,C,-116.74077005253505,A,110.88805752949547,3.002589289301913,C,C,B,1
54,Muslim,Non-binary,Veteran,E,-24.979481159674357,D,11.189575854639937,117.08202083114539,A,D,C,0
20,None,Female,Veteran,A,87.12648046761345,A,98.83445416766914,-211.90313473925391,E,E,C,0
44,Other,F,Yes,D,-298.0566314742716,E,-62.38400620778093,6.310132195463228,A,E,C,1
37,Buddhist,F,Non-Veteran,E,-164.57206319835308,D,-26.633891914220666,165.14390480452002,B,A,D,1
65,Jewish,Other,Veteran,D,-53.393095540146405,D,130.01119036074923,48.145104357914306,D,B,B,1
56,None,Male,No,D,1.647446846997664,C,-98.26509434966565,-29.887826481852937,A,C,C,1
88,Buddhist,M,Non-Veteran,A,13.922048438699818,A,49.826356388768936,115.10237510073587,B,B,B,0
72,Buddhist,Non-binary,Yes,C,14.288105940726417,B,-43.63014275768394,-4.813330603491091,D,B,D,0
72,None,Other,Veteran,A,-82.68247116658331,C,92.1457864506685,-103.46682420515778,C,B,B,0
37,Muslim,Non-binary,Yes,C,-97.9387465512556,E,-59.722685706872056,110.43508188749014,A,A,E,1
82,Muslim,Non-binary,Non-Veteran,A,71.87134281990855,B,3.4130534181333516,152.02023956706503,D,B,B,0
54,Hindu,Other,Non-Veteran,D,-95.19148754443151,E,-57.37779532361393,8.09952505132239,B,D,E,0
96,Jewish,Other,Yes,E,60.116380483330886,C,-3.9511611251864447,114.0619329260527,C,D,D,1
73,Christian,F,Veteran,B,-44.89615803373885,E,-150.32557507984697,-66.03946833619692,C,E,A,0
75,Other,M,Yes,E,15.264405289522964,B,6.519527664001615,-55.00839720953735,D,C,D,1
39,Christian,M,Non-Veteran,B,49.15568076951451,B,-70.1660449672115,86.24950472724073,E,E,D,1
74,Buddhist,M,Non-Veteran,A,-33.31682873864258,A,-56.389313455939906,128.49619122941382,E,D,A,0
78,Other,Female,Yes,E,-161.40862664287357,B,-85.17217773747345,-127.24006488482466,B,B,D,0
38,Muslim,M,Yes,A,9.80406650185053,B,103.47224078663069,71.61654467216016,A,B,B,0
67,Hindu,F,Yes,E,51.59211069713423,A,-89.34814883987708,122.5746182460324,B,B,A,1
52,None,Non-binary,Veteran,E,-22.832267872490462,E,87.35121681437093,-85.21020176195827,E,A,B,0
55,Other,M,Yes,C,-28.061096385934327,D,21.266332351184694,-74.28058368846241,A,B,E,0
53,Jewish,Female,Yes,D,-29.92027941173673,D,-94.53385151070103,-12.344734817025731,E,B,E,0
86,Other,F,No,C,167.56321634267167,B,51.53820309036343,55.529802905456194,C,A,A,1
78,Christian,Other,Yes,B,41.72673401555579,C,-25.901863306366852,-79.85622172358894,A,D,E,0
62,None,M,Non-Veteran,C,-22.47267973651514,C,-122.22024244650203,-35.879390343129124,C,E,A,1
99,Buddhist,Other,Yes,B,132.27639760460852,A,252.58470024736886,197.41388964664654,A,D,D,1
29,Buddhist,Male,Non-Veteran,E,-72.67336381272742,D,53.494501417561004,-172.378201248394,D,C,C,0
49,Other,M,Non-Veteran,E,33.09663721635116,D,-48.90760898265353,87.72281360316519,A,E,C,0
60,Jewish,Non-binary,No,D,44.260575547297485,B,29.01836091324456,96.89644752365466,A,B,D,0
40,Buddhist,Other,Veteran,B,-40.05370539984744,B,-3.902835895461322,-2.870184099440121,C,D,C,0
97,Christian,F,No,E,102.73062188614963,E,222.90755009459892,-7.985481885063603,D,D,E,0
90,Other,Female,Non-Veteran,C,-192.5018172601518,A,-96.25521274119203,-46.65995775584445,D,B,B,0
90,Buddhist,Female,Non-Veteran,D,-117.60593657382887,C,0.5735760417555782,-104.78927927864183,B,E,D,0
53,Christian,Non-binary,No,C,-1.1566301951994382,D,-9.123469426668992,39.617851571531155,A,E,D,0
95,Jewish,Male,No,E,76.87823937272358,C,-16.95140224262714,131.06215482944506,B,A,B,1
39,Buddhist,Non-binary,No,A,3.5510535828197,D,53.55398559531448,-87.45253235293231,A,E,C,0
88,Buddhist,Male,No,A,147.81592114269014,D,-47.68550635847118,219.1829392397784,E,B,E,0
52,Buddhist,M,Yes,B,42.9351171927745,D,-43.39501482101147,-58.97765160298357,B,C,C,0
99,Christian,M,Veteran,E,262.6541456977295,C,27.31597683041939,-32.68503747853324,C,E,B,1
30,Hindu,M,Non-Veteran,E,-99.51775298790196,A,-41.00617374707529,158.07530889642734,C,C,C,0
54,Jewish,Other,Veteran,C,-32.79433813418247,A,17.710413477086725,-26.045047361384377,A,B,C,0
43,Christian,Male,Yes,A,103.47289809004667,A,16.36832545461454,74.85477863514906,E,E,A,1
62,Muslim,Non-binary,Veteran,E,-39.927195891887386,D,164.98968505609943,-27.250096333552705,A,B,C,1
56,None,Non-binary,Veteran,C,74.25189675710422,C,-51.060814579432446,-29.193185597055166,C,E,C,1
25,Jewish,Male,Yes,C,-120.35588157511393,C,-7.165143469575565,110.62692819648544,A,E,A,0
77,Christian,Other,Non-Veteran,D,76.6184861924483,B,68.41917457090456,-33.29399203302765,C,C,A,0
82,Muslim,Other,No,E,41.95402732673186,E,28.42234305977364,107.85936360528163,B,D,C,1
57,None,Female,Yes,B,40.93574828845984,D,178.06111298896187,-99.63093729046186,A,E,C,0
23,Hindu,M,No,D,125.96171744082496,D,-6.210056468778862,83.31414891578966,E,B,E,1
57,None,Non-binary,Non-Veteran,C,-70.42456874909838,C,1.2789604310396947,45.733609142258885,A,C,C,0
70,Jewish,Non-binary,Yes,B,101.2825590774067,E,11.153011157712976,-43.98708100046607,B,C,C,1
69,Buddhist,M,Non-Veteran,D,47.86090376509324,A,-155.7599635873451,112.5003218498045,A,B,D,0
83,Christian,Non-binary,Veteran,D,-32.87089627184154,A,148.52965198044544,86.46611857460391,A,C,E,1
76,Other,Female,Veteran,E,79.61605900038283,B,152.44633862735247,67.0156384932917,B,A,B,0
73,None,M,Yes,A,30.03965614698718,C,60.76980236237448,-50.30319695933147,B,B,E,0
64,Christian,Other,Veteran,D,42.453012716763574,B,71.73039979938221,32.42475780300626,C,D,D,1
93,Jewish,Male,Veteran,D,152.95974317800338,B,79.08297180943643,-40.7326160794668,A,B,A,1
98,None,Female,Non-Veteran,B,5.436663343053063,A,153.30198414889,-46.33400415982798,D,C,D,0
76,Hindu,Other,Non-Veteran,B,-70.23900102152302,A,74.85260181103749,-13.659412745197436,C,E,E,0
42,Buddhist,Non-binary,No,E,-41.166707998823256,C,75.42666988690955,30.117602530281722,C,D,A,0
96,Jewish,F,Non-Veteran,E,114.11634846909881,B,-241.37824059133948,-102.78837727679704,B,C,D,0
68,Buddhist,Non-binary,Yes,D,-121.95922421659316,A,-132.84279221620645,-77.37786036690993,C,B,D,1
30,Buddhist,Male,No,E,-0.9174819331273834,B,13.958594628373516,2.9432856033110957,D,E,B,1
49,Other,Other,Veteran,C,-2.1678022733184648,C,-62.16960248913932,44.654535399893106,B,C,E,1
58,Jewish,Non-binary,Non-Veteran,E,208.90386403997624,B,-46.88999577799752,146.07843938388976,B,C,D,0
43,Muslim,Male,No,A,-132.28294739765835,D,-31.22032193409472,66.37067971220885,A,D,C,0
60,None,F,No,C,-152.25188454374316,D,-24.16089882716848,60.5263535245341,D,D,B,1
73,Christian,Non-binary,Veteran,C,18.180878462597928,E,-108.41015756002741,59.101752631664674,A,E,A,1
41,Christian,Male,Yes,B,105.78045460391061,C,-23.570050761175835,115.44250416084661,D,D,A,1
21,None,Male,Non-Veteran,B,33.9787317214466,A,35.88079268180462,118.16146090008151,E,B,D,1
92,Other,M,Non-Veteran,B,-33.777192134629374,E,10.337590435804577,-151.02198643289097,A,D,A,0
25,None,Non-binary,No,A,-33.5771481471558,E,-86.03075721761253,228.70708293101933,B,C,D,1
45,Muslim,M,Yes,A,94.53838541714192,E,34.08135521793021,54.63286199637169,C,C,D,0
71,Jewish,F,Non-Veteran,C,97.01678146801922,E,-42.23666256016772,73.64581845078763,C,C,D,0
43,Other,F,No,C,6.760952430990433,B,-5.323593813666962,-62.684753929178804,B,C,B,0
98,Muslim,F,No,B,-20.651434726780195,B,27.09448371259934,69.55286293624147,D,A,C,1
72,Jewish,M,Yes,A,20.93610381848085,C,24.17543105996866,-153.71909312514438,E,B,D,1
60,Other,F,Yes,A,-159.03567644898362,C,54.19432242268146,41.862062976718704,A,E,C,1
38,Other,Male,Non-Veteran,D,-145.82997226448742,E,-77.50034339181155,-75.22462582885467,B,A,A,0
67,Buddhist,Non-binary,Non-Veteran,A,84.48388327071058,B,19.328574083451713,111.17455750458136,A,D,C,0
71,Buddhist,Female,No,C,-63.369853961328396,A,153.71137408516248,-40.33128233401105,E,A,D,0
88,Jewish,Other,Non-Veteran,A,-40.63073181902478,E,104.52652439351837,1.3431181898088407,D,B,D,0
69,Muslim,Female,Yes,B,51.4660775828664,C,-63.23134435439243,3.6348074022380756,E,C,C,0
83,Jewish,Non-binary,Veteran,E,-37.92786602783797,E,-137.42924986447395,95.13611485766964,C,D,C,1
29,Muslim,M,Yes,E,62.80914824027458,A,87.25521817714363,81.43749405456886,C,D,D,1
52,Hindu,F,Non-Veteran,A,-67.82268781946141,B,61.332255606188625,-47.43634362428845,E,E,A,1
