Gender,married,faith,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
M,Widowed,Jewish,African American,B,E,B,57.99238351563223,55.85420014890401,C,132.6903963695277,E,-10.31836876570136,A,1
Non-binary,Divorced,Jewish,Hispanic,A,C,D,71.11652556808225,-1.4842024622585837,B,215.9821220619183,D,-77.23672875590833,C,1
Non-binary,Widowed,Jewish,Other,D,D,B,-172.15553038890727,68.86848937545139,C,-77.50191971057764,D,-36.166259349484825,D,0
F,Single,Christian,White,A,B,A,-49.31160632039751,-222.71570187111348,B,-96.68921932122514,A,-169.5315233676853,D,1
Non-binary,Single,Buddhist,Black,D,C,C,61.877687690310424,-13.073981996243056,D,14.159807347679509,C,98.45352803132435,B,0
Non-binary,Single,Buddhist,White,C,B,C,-44.70694164682366,105.23756431126601,A,2.7786919854986074,D,50.10572519517916,B,0
Non-binary,Widowed,Other,Asian,C,B,B,25.958630470799417,-117.13371966884225,E,-26.40752221371374,C,160.18260415800478,E,0
Non-binary,Divorced,Muslim,African American,E,C,B,144.65975396629386,-9.777459426156383,E,64.3197166036372,D,4.810058600599711,E,1
M,Single,Christian,African American,E,D,A,62.75873352950193,-25.486863237771708,E,47.543933423321306,C,-2.6329860110013756,E,0
Female,Divorced,Jewish,Hispanic,E,C,E,-48.87187263940639,63.415242660723116,A,52.22239932509498,B,97.39257113155908,D,1
Male,Widowed,Jewish,Other,E,D,A,55.31304341188681,78.15366371054779,E,-36.69839620358022,D,3.1933984296886395,B,1
F,Single,Other,Hispanic,B,D,B,150.93877129650824,68.01744358103048,A,-86.47546920299932,C,53.53986301548307,C,0
M,Divorced,Hindu,White,E,D,D,-16.21038808864442,-42.249312056485266,E,-57.818532180190985,E,-100.33911263604189,E,1
Non-binary,Married,Buddhist,Other,C,C,E,6.928763000792236,-25.350250236216482,D,-63.770469766337136,A,30.748047041488448,D,0
Non-binary,Divorced,Other,Asian,C,D,C,48.98989719494762,123.84689542575784,C,-136.10965527471396,D,43.93187336023029,E,1
M,Divorced,Buddhist,White,B,A,B,-118.27085917065922,21.35700668860629,C,-144.52522243461846,D,36.93016517248403,D,0
Other,Single,Hindu,Other,E,E,A,-37.80191289101353,-23.318326081650092,B,81.86611178705255,B,29.99477215269446,E,0
Male,Widowed,Muslim,African American,A,C,A,-9.432873392186353,114.27222218064756,D,-77.62652577983496,D,-134.38870329130464,A,0
Other,Widowed,Jewish,Black,C,B,A,183.37051472187912,149.33386958023192,D,151.62782668302296,D,6.498691151327509,D,1
Male,Widowed,Muslim,Other,E,E,B,-56.66274923033971,63.584079293280624,E,35.18101115161487,A,27.94905893719246,A,1
F,Single,Other,Hispanic,A,E,A,123.23526281641459,-102.96703048644966,D,20.926061662301073,D,-103.24945847446902,C,1
F,Married,Hindu,Asian,A,B,D,-116.08722181945072,41.945772961236,D,-94.99821569145178,C,6.738574857460641,B,0
M,Married,Hindu,White,C,C,A,-42.4455232251596,-63.34874583477949,E,63.06033708659016,C,-63.80801774795681,C,0
F,Divorced,Buddhist,Hispanic,E,B,D,10.159252396334914,122.33728877728515,C,-101.59299547979938,E,21.829513924068753,B,0
F,Widowed,Muslim,Asian,A,D,D,19.417868032597042,132.6183912902148,A,178.33089399916366,E,-112.53888481062704,C,1
Male,Married,Hindu,Hispanic,C,A,E,29.710098581403894,-58.91186224839354,D,-121.6083903129675,A,30.61856391461969,C,0
Female,Single,Jewish,Other,C,D,C,-87.6009338084885,63.88124275422684,A,7.1462481534432465,A,156.19708537211832,B,1
Male,Widowed,Jewish,African American,E,B,E,76.76230356793316,-71.87390600664976,B,290.3476098474897,A,18.20428503695064,A,0
Male,Single,Buddhist,African American,A,B,E,44.02558812435638,-48.44464062051741,E,163.8395602144126,D,-0.5642962872848358,D,0
Female,Divorced,Hindu,Asian,B,A,D,11.659993340868272,-23.964280792598377,C,0.36753099787037397,C,75.38814396359642,C,1
M,Married,Christian,Hispanic,A,C,E,-108.16322641811864,60.41146252268381,A,59.255713141047565,E,128.3192786127679,D,0
Female,Single,Other,White,C,C,C,-48.32960430995562,-101.84773676733667,B,-182.3754149374542,B,-106.0232015000002,E,1
Female,Single,Hindu,Black,E,A,C,-51.69952500291528,25.99228826728911,D,11.389215826149075,E,-102.12931650482409,D,0
M,Single,Buddhist,African American,C,C,E,-21.180807429152342,150.46852140086176,E,120.79829700676332,D,149.20972800167954,A,1
Female,Married,None,Hispanic,C,C,D,-143.2575184592108,19.576071852778686,A,-124.01155528968066,C,-89.52139405556406,B,1
Non-binary,Divorced,Hindu,Other,D,B,D,-15.67665526429689,-136.69863378824743,A,91.22873728777495,D,141.38666257416227,C,1
F,Married,Jewish,White,E,E,B,-69.93739211192865,-146.34808723755447,C,29.132948790042825,C,173.1391406053612,D,1
Other,Divorced,Other,Hispanic,E,D,E,-53.34104574088803,95.23722398240231,D,82.37633209659073,E,57.23710124169381,B,0
M,Divorced,Hindu,Asian,A,C,B,-55.446028278567724,-191.75740768226473,A,-61.37719800464273,D,142.50123317612514,C,0
Other,Divorced,Christian,Black,C,A,B,-66.28747595840164,-42.4176371929598,C,-92.26647111336742,A,-31.56186540052405,C,1
M,Married,Jewish,Hispanic,A,E,A,97.74237050307578,183.86987579838902,C,251.69582075970945,B,-80.3234208292047,E,0
M,Divorced,Buddhist,African American,A,A,D,54.64182220695798,-102.06257461996455,B,-12.757554365619022,A,-89.62346845721883,C,1
Non-binary,Married,Other,Asian,B,D,D,-7.046919138671089,64.70021941501307,A,27.738836640732945,A,-40.01266083719894,C,1
Non-binary,Widowed,Muslim,African American,C,A,C,35.58949390583139,-104.28166478698044,A,100.13443261652807,E,-49.98478799261811,A,0
Female,Divorced,Christian,White,D,D,A,120.49334168420881,60.842709336668996,B,2.848213473905005,E,100.43867468829839,D,0
Female,Divorced,Other,Other,E,A,B,-56.98288947462875,-47.648833172305835,A,-13.367873686534914,B,-95.15368278040218,C,1
Female,Widowed,Christian,Hispanic,D,C,D,-35.99480819523681,-71.02801365888564,D,107.648395246972,B,-13.805316824778405,B,0
Male,Single,Other,White,A,E,E,54.65415930343139,-9.468458330186785,C,-78.18336244674155,D,29.459288226690123,D,1
Male,Married,Christian,Asian,E,C,B,183.43434303078485,47.36854674900853,C,-3.016408348473852,A,18.45075318455172,E,1
Male,Married,Jewish,Hispanic,A,A,A,22.94326184958053,144.7642466894815,A,-82.6076219440401,E,-97.23317375809525,D,1
Female,Single,Jewish,White,B,B,A,-31.02232639033514,112.80468022531511,B,190.7587203656924,A,-47.3389065570031,D,0
M,Single,Muslim,Asian,A,A,B,170.85233975024053,103.47196530910574,D,148.09147609924872,D,-132.18947059458182,D,0
F,Divorced,Jewish,Asian,B,A,A,208.69870864198435,58.893385662676245,B,-35.78354785321547,E,-199.5015121420692,C,0
Male,Single,Muslim,African American,D,E,A,99.77658892573312,178.44990466545445,B,137.51861610550122,C,-30.433062490627528,B,1
F,Widowed,Muslim,Asian,E,C,E,100.59157092201268,-75.39042274271624,E,-13.890976108332456,B,115.55426005421133,C,0
F,Married,Other,African American,C,A,E,-53.36029811330392,-50.09721120416114,B,-106.05436135905417,A,-19.875375292342,D,0
Male,Divorced,Muslim,African American,C,C,E,-20.747887067654403,-181.80650090357096,D,106.8845351321691,A,4.307026968549287,A,0
Non-binary,Single,Muslim,White,E,C,B,17.71481749360672,140.26191088067924,C,101.07553333511807,B,-113.15189681797891,C,0
M,Divorced,Christian,Hispanic,B,C,B,-124.52726951228938,-20.693749383372644,D,-83.50680967995277,D,7.344835540944543,E,0
Male,Married,Other,Black,C,B,B,207.60743210438045,111.61243253317919,B,-84.81262295762203,E,-109.15795075721037,C,0
Female,Divorced,Muslim,Asian,D,B,D,11.550432409076091,-174.50237103580426,D,-0.03212455016966727,E,-71.53185980091754,C,1
Female,Divorced,Hindu,Other,B,E,A,103.76276082317688,24.528871917325667,C,143.715691107786,A,-142.60577045729076,D,1
F,Single,Muslim,Black,A,D,E,-35.50509993236827,-112.01194412792252,B,-183.21991525263584,B,126.73790720160054,E,1
M,Single,Buddhist,White,E,E,A,-232.62661364886966,131.54088443358458,C,79.27722629912813,C,-44.928737089583834,A,1
Male,Single,Jewish,Black,E,D,A,-0.25134340740384015,-107.33972364978213,B,35.68257304096301,C,13.240129022951278,E,1
Non-binary,Single,Hindu,Asian,C,B,C,10.721081371615558,-54.99180228548739,A,202.69299254225177,B,-91.99340717768031,E,0
Other,Married,Buddhist,Hispanic,B,E,C,-68.40430933188304,21.700881499786394,D,-30.034949059399686,C,-55.52316744757492,C,1
Female,Divorced,None,White,D,B,C,-316.1963557617377,66.02766515599878,D,-4.60106606830253,A,97.45184205232931,D,1
Male,Widowed,Jewish,African American,A,E,E,-59.85970255221341,-181.28363658715827,B,97.04834736835612,E,16.04142062599135,C,0
M,Divorced,Other,White,A,C,B,34.81189897973049,-92.42172176694608,C,-101.39292416188961,B,19.137049459515477,B,1
Other,Widowed,Jewish,Other,D,E,D,180.21274060176492,-41.037601515676364,D,161.528404725276,B,131.61150898467832,E,1
Other,Single,Jewish,Black,B,B,C,160.45561418352918,40.92783300760303,E,-48.19611554873027,D,-71.48978713640138,B,1
Non-binary,Married,Muslim,Other,B,E,C,39.65588858581454,21.27075610986203,E,-99.74818568797829,B,-154.34064723582506,E,1
Male,Single,None,Hispanic,C,E,A,-133.6417412143539,5.18134272957826,B,2.1681931715740914,B,35.779856657957396,C,0
Female,Widowed,Hindu,Black,A,C,B,38.995294428604026,-55.92012923832477,D,-189.68268337438593,D,226.23708697191046,A,0
Male,Single,Christian,Black,C,D,C,59.53567601830761,-37.3708228203296,E,65.39071370058522,E,-65.0711565435516,C,0
F,Single,Jewish,White,A,B,A,208.0175881444708,85.0851076491719,A,-32.64489319753702,B,129.960396126366,B,0
Non-binary,Single,Christian,Asian,A,B,D,49.301283287623974,48.61067018378208,C,-104.85870481615929,D,186.00380327908348,A,1
Female,Single,Other,Black,B,D,D,77.02284147042172,-98.63964977445622,C,-231.50434285617268,E,-42.97171463011236,A,0
M,Single,Christian,Asian,A,B,B,-30.985263555693642,-7.66495550948939,E,18.367308991651594,B,5.376821594944068,C,1
Other,Single,Christian,Hispanic,A,B,D,-37.22241685260611,-64.87404490735248,D,-42.7598866778764,B,-64.00071655523926,E,1
Non-binary,Single,Hindu,White,E,B,B,-67.87906650983443,41.28376130648246,B,-26.801648174743736,E,18.270373267798558,A,1
Non-binary,Married,Other,African American,A,B,B,-77.48458530800237,-1.057840093695319,E,-65.63907444232416,C,38.5574690456048,B,1
M,Single,None,Other,E,C,D,-102.57197592360008,-19.466533830599303,D,-2.495943065207568,E,99.10844716973672,C,0
Female,Widowed,Jewish,Hispanic,C,D,C,85.41244325628344,-42.717145870074916,C,175.6779816596287,B,74.35808789768632,E,1
M,Single,Hindu,Asian,E,A,A,81.03249369403429,53.376235523354374,C,-100.49775027717796,D,20.369455436975777,B,0
Other,Divorced,Buddhist,Black,B,E,E,114.91520633990166,-139.93177034142232,D,73.06885387780524,B,-161.74280441571295,B,1
Female,Divorced,Muslim,White,E,A,B,184.05722223993595,-183.9718158407329,E,-61.20849376151217,C,109.01817133829658,D,1
M,Single,None,Hispanic,D,C,B,-29.727727753159616,-42.480017609361035,B,-49.02226880311976,A,-9.668607209751062,A,0
Female,Divorced,Hindu,African American,D,C,D,-43.133186283120644,105.76342163627805,A,-74.6454306905816,B,-34.19494850281211,C,0
Non-binary,Divorced,Hindu,Other,A,C,B,10.157612789693292,120.2935921657819,D,-163.28773560696928,E,38.994386340880205,A,0
Male,Widowed,Jewish,Asian,E,A,B,-112.72146065513647,72.95884346533312,D,-56.011640263008545,E,-105.07194824904838,B,1
Female,Divorced,None,Hispanic,B,A,B,71.36600631518749,78.3075426757113,B,56.474173111164575,A,14.603068323840695,D,0
Female,Single,Other,Asian,E,B,E,-35.76988450473549,-49.67411017757427,D,-36.452110648956236,A,4.5080595561758505,D,0
Female,Married,Muslim,White,C,A,E,7.694455104110956,-98.07145818996527,C,-29.915219916773385,A,101.1352027111309,B,1
F,Widowed,None,Black,E,A,A,150.87518932151133,-74.81207420089439,A,14.47115704521868,A,142.0339967737037,B,1
F,Single,Buddhist,White,B,C,D,100.891512153119,60.972212551397206,A,39.90696550395337,B,33.600795915926035,E,1
Female,Single,None,Other,A,A,E,217.4328799664212,56.201678151731215,A,-44.29490881304688,C,6.490616180393959,C,0
Other,Widowed,Buddhist,White,B,C,C,-11.26071067897506,-0.0014530531427874075,D,-101.82844112080282,D,49.36311616933163,C,1
Other,Single,Hindu,Asian,A,D,C,-145.8136041622055,22.11237873338916,C,34.1737192715953,E,18.77347793650274,C,0
F,Single,Muslim,Asian,C,B,A,30.41312373767653,-50.89764350393151,E,-65.49571650163979,D,-91.69056364205122,E,0
F,Divorced,Christian,Hispanic,A,A,D,-164.5775131056121,-103.73644316426956,A,18.587721682476104,A,129.47571139620138,C,0
Male,Widowed,Christian,Asian,C,C,E,-32.45205700544503,-87.7401264201596,E,98.42086131317197,D,63.307294242364875,A,1
Male,Divorced,Buddhist,Black,E,D,E,-64.32619371544823,-192.0366077824337,E,-241.8959442559409,A,-118.8907639088675,A,0
M,Single,Other,Other,E,E,A,-96.56006951022083,-30.411652730196227,A,-15.931365715963494,B,132.0965775965182,D,1
Non-binary,Widowed,Jewish,Black,B,D,B,-19.045953567302746,-7.858936766654205,C,-72.56117117636465,C,158.11913041382684,D,0
Other,Divorced,Hindu,African American,D,B,A,40.493801853727156,-78.03049711482709,B,94.8267679805291,E,91.85827328642048,A,0
Male,Single,Christian,Asian,A,C,D,-11.045080035221162,-51.26498119632147,D,96.61482229317484,D,161.54760441485845,A,0
M,Single,None,African American,D,B,A,142.69509436077996,-108.63006125319312,A,10.132308865320237,E,-14.177670864527867,E,1
F,Divorced,Jewish,Other,D,A,E,134.51711650350165,14.080701257925593,B,155.05080566788428,B,-8.53668809407853,E,0
M,Single,Other,Other,B,D,E,-182.65137693529297,148.78429762565415,B,62.447129524174116,E,-4.687317540029104,B,1
Non-binary,Widowed,None,African American,A,B,A,27.359365394702685,253.6290568623973,A,74.25385770159032,D,27.43078718974534,D,1
Female,Married,Hindu,Hispanic,A,B,A,17.393263250765227,-94.98649760585702,B,-14.97540815565237,B,3.4656517651318297,D,1
Non-binary,Divorced,Hindu,African American,C,E,C,-1.552066861119214,44.35583642729651,E,93.05662649422456,B,19.938552328177632,A,1
F,Divorced,None,Black,E,B,C,36.02107859614777,-119.58102598775204,E,31.879856703214287,B,158.82680464645787,E,0
F,Married,Buddhist,African American,A,C,B,-96.79602730207444,78.72280557429282,D,104.16544592726152,A,116.60000795705822,C,1
Female,Divorced,Hindu,Black,B,D,D,-53.826887622655406,-27.541643555050392,C,8.160925435735857,A,-57.662984833076926,E,1
Non-binary,Single,None,Other,B,D,D,89.55751786250981,-119.7171643236514,B,60.417703876657455,B,115.08453558121803,D,1
Female,Single,Muslim,White,C,D,A,-4.357284994927711,97.71482718187083,A,-168.49625158051995,E,-123.64775844253275,D,1
M,Widowed,Hindu,Asian,E,B,D,24.692171758976507,-43.74100732748634,D,-118.1361983993089,D,7.609160299813388,D,1
Male,Widowed,Christian,Other,A,B,D,-160.0023639130034,-106.01589211062053,C,82.8670378852508,A,-5.5685082193430615,A,0
M,Single,Muslim,White,D,A,D,15.08652015274027,-28.451573736704823,A,-5.235749869389075,B,-172.37774295646585,D,0
Other,Divorced,Hindu,Black,B,D,A,-203.36145498100885,26.115452682139807,D,122.98071203393334,B,-82.23874222840315,C,0
Other,Married,None,Black,E,C,C,-37.438193020187036,10.432339083551279,B,191.54898877935963,C,17.36149986640514,C,1
Non-binary,Married,Christian,White,E,C,D,-70.63237420469416,145.07693118749998,D,156.9160370983844,D,-149.19485817366765,C,0
Female,Divorced,Jewish,Other,A,A,B,-85.6761639749309,166.86693664262157,E,44.50776780291389,C,-71.1491887825416,E,1
Other,Single,Jewish,Black,A,B,A,21.068306230349844,-53.624171068115366,B,137.36295937426638,B,-33.170957700166,C,1
F,Divorced,None,White,C,B,A,-64.8776660592478,217.2133427838413,B,-47.759051985009506,C,-92.51606371982399,B,1
Non-binary,Single,Hindu,African American,C,A,B,159.0484935649458,24.12673855981885,C,157.99817249525853,E,74.8845002071289,D,1
Non-binary,Single,Muslim,White,B,D,E,-75.3005631230434,239.12851593606922,B,-4.6231541255638815,A,33.07886133867038,C,0
Other,Widowed,Buddhist,African American,C,C,E,-52.68837136447734,-36.45834021113981,A,155.00108423376062,A,109.02029379391895,C,1
Female,Widowed,Muslim,African American,C,D,B,199.5183668952844,15.764844333659275,A,67.99836935948393,B,-16.01752625480302,C,1
M,Single,Buddhist,Hispanic,D,E,D,68.89717893468044,-24.644598249609963,C,-77.39661214524784,C,29.300890611558074,B,0
Female,Single,Christian,Asian,B,A,B,124.1600539120084,151.44080581937234,B,-96.75178397080708,A,10.771662323745893,B,0
Female,Widowed,Buddhist,Other,C,E,D,-17.754982941099488,82.89706976116913,D,64.95436826499518,D,77.29246615939786,D,1
Other,Married,Other,African American,D,B,B,182.60790832001283,56.10219423779475,D,248.49775969475652,A,-13.130240596523683,E,1
Other,Widowed,Christian,African American,B,C,B,82.82193509138101,-48.31387556279616,A,-94.09427202340484,A,247.60451649340877,A,1
Male,Divorced,Buddhist,Asian,B,C,A,10.762938352288977,43.693211332572,C,-22.063563210183084,B,-17.864287422467946,B,1
Non-binary,Married,None,Other,A,B,A,95.25392509449972,-46.644276448940914,E,-178.68891035545914,E,-86.99801239666776,E,0
Male,Single,Buddhist,White,B,C,E,-92.97467528487186,24.061911153142425,E,154.57080304690268,B,-100.05473968086827,D,1
Other,Widowed,Christian,Asian,D,C,A,57.84470242834105,-3.564702276702034,E,-22.773738848482967,E,18.56460282512568,A,1
Non-binary,Widowed,Hindu,Black,E,A,C,-54.18331806543761,-41.15639251272698,C,23.61117191429548,D,-145.07155827173412,E,0
Male,Widowed,Jewish,Hispanic,C,E,C,-73.17069525698183,-41.11957373325771,C,32.08697028464844,D,-27.54657720738041,C,1
F,Divorced,Hindu,Other,C,A,E,-159.44322423948904,-42.61061339212657,B,-30.58579196471784,B,-184.08193907365077,B,0
Non-binary,Single,Hindu,Asian,C,A,D,-20.852721279601997,52.74798567319012,C,-11.769250561701188,D,-185.171752273935,B,1
Female,Married,None,Hispanic,E,C,E,-66.74151385071032,53.37549692128013,B,-76.69384506003469,B,-44.20274486553896,A,1
Non-binary,Married,Jewish,Black,E,E,D,-72.61160087560496,3.1544350333549653,B,-140.03226859840862,E,23.967940682626537,E,0
Other,Married,None,African American,E,A,A,77.5530938268291,146.739780492721,E,-75.25847128785492,E,6.96136313577303,D,1
Male,Married,Christian,African American,E,C,B,-19.269952109272996,-3.571463065737304,A,-24.38428049335461,D,50.58643909383045,C,0
Non-binary,Single,Buddhist,Hispanic,C,C,C,84.75810655346226,147.29282340312747,A,2.241513073550295,A,-103.28842322220231,D,0
Male,Married,Jewish,Asian,C,D,E,-212.52630908114253,4.487549376973778,E,16.42992401362457,C,22.241163681379632,D,1
M,Single,Jewish,White,B,B,B,92.7868460958345,151.03225639379318,D,70.33170820064511,C,41.42294501579767,E,0
M,Divorced,Muslim,Black,D,B,C,168.35971912783572,33.7799946408068,B,6.198848950193872,B,207.1221467352232,C,0
Other,Single,Other,Hispanic,C,B,E,107.98468561285767,-101.28873034398416,B,79.56737996810723,B,-1.9325222836103333,B,0
Other,Divorced,None,Black,B,C,D,-66.19817638904225,-98.83182644158086,E,91.7326725517504,E,-222.4643871472905,E,1
M,Single,Christian,Asian,B,C,E,99.98436760217221,98.30779844092244,E,26.681068538508697,C,-55.68010175864466,D,1
Other,Married,Buddhist,Asian,C,A,C,-22.98811837481325,189.34858956313164,E,-44.392141371256315,E,-23.018721198087675,E,1
Non-binary,Divorced,Other,Hispanic,C,C,A,-163.945007874897,-47.557509461786836,C,198.20218862623275,B,-191.92840032184128,B,0
F,Married,Other,Asian,D,A,D,-380.50141334141824,77.37630361906317,D,107.87658605427114,A,-30.981469191773336,B,0
