ethnicity,genero,civil_status,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Black,F,Divorced,18-25,-107.95338695256156,76.1685491552218,-131.36301764357842,-60.105609439108996,-137.24032242289096,101.32120939907419,71.56787715240989,-297.46722353451787,0
African American,Non-binary,Widowed,18-25,27.976725989279004,166.08583918881212,17.19001520889162,56.83235093460248,102.52250186671196,62.43545478764963,16.804853027992948,-79.87208639835221,1
Black,Other,Widowed,26-35,57.454764176332304,123.76154869201157,12.916943592093133,48.8024320437853,92.92919656165188,-117.74842263777462,-13.002848287278185,-188.4383502645376,0
Black,Male,Divorced,26-35,-420.9737051220813,-144.8700037361597,-106.62350165771576,-27.758989150782938,37.84408854849299,-48.76419870875661,14.083902665203466,106.54337823150382,0
Black,M,Single,65+,2.342476473168725,36.60434353341118,-177.29586622246296,64.63705024833291,-55.51297377670178,75.97121543992867,57.22435455008529,-29.148765865149024,0
Other,Female,Widowed,36-50,130.32613574800934,-10.719049094366836,-100.4067211096153,-33.16100116824236,-32.34754307518935,-66.10469555582587,35.28788356575455,-87.86928927692766,0
African American,Non-binary,Widowed,65+,19.563366195261228,47.48594255050347,1.9810851769110798,255.42500514909244,-59.14489191074066,-13.600484567517665,237.75634793257842,89.2570513498849,0
African American,M,Married,18-25,-34.84086304337365,-95.25677106596319,-23.99409811021346,177.52514126086336,27.76189731459026,-56.291979955913085,-54.891341580576324,74.1956478559846,0
Black,M,Single,18-25,-146.2124660443996,46.794411102708736,33.927931148193956,9.362090488371818,99.3653825871999,18.672964178963973,-106.73145792006318,-56.16626576978362,1
White,Other,Widowed,26-35,7.446168068053565,0.2508108625407813,68.81984317060969,-13.034371944150958,-38.03064821984741,39.58918991825301,-80.61001868432437,-0.210455150759059,1
Other,Other,Divorced,26-35,-56.72133528640912,44.82065447507381,6.114362592596771,204.99557776627722,-33.94131710981318,-241.99035617377592,-191.65792692883218,0.02071145936223898,0
Hispanic,F,Divorced,18-25,-90.46997994369652,53.61753040390488,136.12679498683136,-84.87727640303788,1.8504798582615858,-147.62836670319302,72.64051911616052,21.881375479407758,1
Black,F,Single,51-65,37.560212323024786,2.912810688524916,67.98216349860586,-105.68200985745248,65.68609729283213,-149.09086535237986,-30.67414639225707,-245.0053555161593,1
Hispanic,Non-binary,Single,18-25,-68.95962760120345,190.30849504723997,70.75703471730257,126.7857969355354,-113.75048531196836,46.80694160196006,48.600535242700666,-36.223647013503154,1
White,M,Widowed,18-25,-102.39762644787345,-97.76587669741232,-38.32064902830965,91.59022394145705,-145.44441780731128,-15.19475096065489,-34.60515087894805,-126.09158605196859,1
Black,M,Married,26-35,102.16356010468652,-32.350377082892294,22.385336061851763,19.089366132326898,-103.61236054173668,-42.32416014086576,-37.64814900394687,91.16070318381834,0
African American,F,Divorced,26-35,15.399481934214442,-7.955038093697802,39.245984371887445,-9.59656454893379,-71.91199501446846,9.649415972507057,50.6769214568915,-85.87470082709274,1
White,F,Divorced,18-25,-50.177612977780896,-133.51550466265937,-68.31713624298061,29.988180492160776,-44.66090408782125,-102.75524989957634,71.32501011531389,46.9838374093165,1
Black,M,Divorced,36-50,-16.19030960007523,96.07707450298768,-54.32191952034287,38.33366008784081,67.79532535536444,-0.5497362610192084,-19.575701756062717,85.16097765447063,1
Asian,Other,Single,65+,-18.34531275232764,-115.00647102741277,98.39320388726648,217.2425530743413,-53.512467663439814,-39.257485428828495,-257.93764400632887,-123.0762499819982,0
Hispanic,Non-binary,Widowed,18-25,-2.9012492379538823,-27.187214674066656,-95.23883741580546,141.5741792021046,-31.547070289158086,7.019147573972847,-52.82467790499831,55.39200554510321,1
White,Other,Single,18-25,100.38280005711061,-25.190187410984606,-41.89103730807829,-78.38294431283433,61.124304189204416,-22.381388250040953,111.1610234510377,-79.78496915548575,1
White,Other,Divorced,51-65,-26.315222751185303,150.08139060941778,112.195832520657,29.238454670620744,1.8869183927324678,78.83790288034285,-90.08453480940086,-110.17484323674145,0
African American,F,Married,26-35,-169.08459142735796,28.116250042340056,62.39562767552186,95.45003559652444,94.99679958510391,-61.303198791764245,144.75653556727917,133.62957399375583,0
Hispanic,Other,Widowed,36-50,125.07246199966889,-65.70320169585102,-10.338548503962503,-70.33822903494894,151.9433377454395,65.3042870699378,55.76848976332872,-15.250929388612441,0
White,Female,Widowed,26-35,15.85263693854616,79.55049913998108,53.84245346424619,121.39499104714642,-356.4864359369813,15.603487444801,143.64350816583297,-37.72205138667003,0
Hispanic,Male,Single,36-50,100.40941849793586,38.80188015771043,-35.11790012041,79.0723104469372,-78.7189248776159,-135.35116783373812,-203.9458370674162,-85.9058257398944,0
White,F,Widowed,36-50,-81.63238921004663,30.908987233709983,-97.45565947319238,-81.60708044811989,-22.422732797286464,170.0969747753263,65.37267621795783,8.800174053347456,1
White,Other,Widowed,26-35,-18.731471299150478,-62.90052860225003,210.99275044774924,-67.15310595095929,-177.7729822905064,-61.97463416597914,10.80505133855664,-28.74386658595097,1
African American,M,Divorced,36-50,62.55022901399444,54.98620327917312,-57.942825417943,271.2903584637099,35.787766408257575,62.725516156763206,-179.64150053385634,13.092945106775163,0
Other,Male,Widowed,18-25,-58.23428033495376,93.94871887168921,183.30579147044176,83.83963840440352,11.195257362281044,-46.98565049508661,-151.64101520207575,15.938216776808705,1
Black,Female,Single,65+,106.04409628540267,75.23246847266834,-104.12903120499482,223.136339789717,-38.352128661427095,68.323049729259,120.09904953192586,-124.01506742181942,0
Hispanic,Male,Widowed,36-50,-18.305012884029644,65.45703370423473,-97.66991880907445,69.87406524937174,-53.251666111959736,125.63323634047411,227.5073846333574,-150.5966017770262,1
Black,Male,Single,51-65,-3.5783474533928508,23.04765872328995,94.16703038159164,106.57711865233459,-23.86528991234155,-91.70530559296223,-29.15774867762016,-97.00957897932138,0
Other,M,Married,51-65,-65.31404886581646,-29.9381470060199,10.52068889279137,-61.90312685927915,2.561537117720359,-60.55344877964923,147.5010000481726,110.6398371064864,1
Black,M,Widowed,65+,52.97081525668861,73.12500837183433,-67.29544693830316,-69.63915329763968,66.23802639435053,-161.7162260517539,-258.0174901869378,-18.65418210303249,0
White,Female,Married,51-65,-111.81943837994555,-10.799449203519929,-84.89370984471178,-64.65450306372004,48.57829434316629,12.958703761448175,21.811540403711284,-98.9396746992416,1
White,F,Married,26-35,104.71093681162415,-87.17795349930589,19.078624368892285,-64.84881841767616,4.903652315482342,-112.69314532493888,39.02877888252892,-50.289882014733124,0
Black,F,Widowed,51-65,17.996938311383165,41.23088254522695,51.51954182663581,-194.7992040282855,-13.096181147173233,-156.5289664474062,-127.94990961347182,15.737733166843629,0
Other,Non-binary,Single,36-50,56.36536632532948,-100.878227169739,-36.61121577837995,-160.15256478468643,-1.4253467712765955,49.67091133882739,-4.01925459255638,-59.133312557510656,1
White,F,Widowed,65+,18.59736494787006,-27.239428992396615,-109.75924463056872,74.59632387795233,-143.39269910197956,-31.391855061025243,78.12578942807113,-42.96472262236761,1
Black,Female,Married,36-50,-41.85370587331204,59.28950660074198,-22.06172229655446,-158.20523564945915,-115.77396194244685,-168.34272971987366,30.707514313546824,26.891392690778492,1
Hispanic,Other,Married,65+,-9.052188533965655,81.41524816103323,47.98913713817471,-58.31160069811451,-211.73930544805214,-50.660467475420056,75.94205985366045,73.16365333533297,1
African American,Male,Single,65+,-40.81983631387299,40.993881295037845,-143.90080783875004,15.337064502593286,-71.13103096595613,121.51513868458603,29.789369052842936,-52.05495964623449,0
Hispanic,M,Divorced,18-25,-146.64397439145128,-223.08089200789078,-29.050458977815474,22.39500853551875,190.0829274582081,50.87370166715215,41.56002015544303,64.47653223432191,1
Hispanic,F,Widowed,51-65,92.81082215836472,20.95525992369914,-57.820857339505025,-65.16016130920869,62.93633680953003,177.52250745037765,2.135825247936015,-92.32226068287397,1
Black,M,Divorced,51-65,-56.3665006524412,-116.11335518922378,-44.640444241620735,49.73342801886418,73.54057812235875,100.22936173449595,149.27597924559856,127.50123368234708,1
Hispanic,M,Divorced,51-65,26.92327925112579,88.23536785425424,-35.299991118734646,77.95763204997017,-64.62609129062518,28.59333020780539,115.6571903762697,28.47965165222236,0
White,M,Single,36-50,-132.42371540895968,52.63467971561947,81.5849146165363,-174.15176714926318,-14.25179574908463,-22.864112735952588,152.37706916460294,-69.69932699616857,0
Hispanic,Non-binary,Divorced,65+,-72.92820751369176,121.47452467880733,-70.09119441415588,21.714461657262714,9.207566275421952,-100.78001742059067,-207.80005400338078,-124.66447887582667,0
Other,Other,Divorced,65+,85.80084459265763,-99.81112482725227,98.36540171942549,118.22431659836184,128.35059168410362,-42.59412265401451,26.28862553329867,21.744693620736573,1
Black,Other,Widowed,65+,-141.69610130526146,3.021389063498488,49.82932504800648,-191.59529869130213,18.024396477059103,38.59559741644708,23.318370720625587,-100.89610496003338,0
African American,Female,Widowed,36-50,-139.03140139541634,-69.18567743019588,-73.50465769709625,53.67394078628946,90.84064335342899,-30.61270476387104,114.85396324570742,-104.2849158000975,1
Hispanic,Female,Married,26-35,-16.205931865995534,-208.42099052372242,28.582357116531078,94.34476308501301,126.80506994727452,-163.91655627077094,55.402932336482976,6.909484419859299,1
White,Female,Widowed,51-65,76.53501376806805,87.98475799600853,155.8006184447614,-45.25419988733928,-73.57635457985279,146.91374245705595,-156.15025973792686,71.92114067639424,1
Other,F,Married,51-65,81.46348386547419,-112.66313980552911,-85.14399878583231,-24.9438716280489,-52.110248789912326,-50.001264671875475,-76.74208413921971,-90.50550259779442,1
Hispanic,F,Married,51-65,64.13039365511146,-95.35153031764125,10.873104358598226,158.24120374378538,87.80817477615632,3.915732810334396,-42.355373385352124,-139.3320624102299,1
African American,Female,Single,26-35,21.73238909015222,104.87526982007087,-73.88650665620997,-27.948866672224348,-38.99499496540809,-69.32534072978876,10.794838520717304,18.174810745289527,1
African American,Other,Single,26-35,263.1729143821684,-40.666382683842045,-14.19608095070325,-264.04980341740674,-16.944734407036197,45.20869749126757,211.4112734678398,-174.588950681799,1
Hispanic,Female,Single,65+,-50.19336370376325,-88.50875032304008,98.31074789624284,-63.200989963328816,165.78845841003863,-64.64219501393214,-116.74564371682077,-22.73427587184987,1
Black,Female,Widowed,26-35,-5.757582829435128,-60.974615029878244,101.30193837725199,132.2175269984045,6.066022516794246,-115.10940085441686,115.64818209009842,85.75242995238554,1
African American,Non-binary,Married,26-35,-109.62513414669064,119.34131154448548,61.39240470229539,-66.71423597247173,80.0316486677102,-28.057687326487933,-10.268448307724883,24.726765718012334,1
Other,Non-binary,Widowed,51-65,-35.367296521831406,15.754591379460992,10.22459822181197,-43.1408674069914,-8.726912800228545,-30.81810645026356,49.48850176290723,-11.427516938947775,1
Hispanic,F,Widowed,36-50,-2.4181345702264068,110.2749248117247,-23.889642161942138,1.5754564648714287,73.37272261981666,101.82159660758738,277.1860706251396,-115.31649014355958,1
White,Female,Single,18-25,-82.16247893801398,84.62732368565366,141.6122556242081,16.04372703484777,-9.913491201199491,-29.67103218941324,-168.86094017106274,13.8717618443957,0
Hispanic,Female,Widowed,36-50,173.4452445967928,-105.17003011154995,-1.9379248304625558,-90.91664977313067,-30.202568663023026,78.39767228320082,-93.25783488248848,37.651299570060445,0
Hispanic,Non-binary,Widowed,26-35,75.41436020259084,-42.624804441995884,-17.58928022316567,32.90576868735783,-0.39253424658027525,-161.9018753592241,-98.26869857803607,-0.00046738253551385507,1
Other,Male,Divorced,65+,190.34981185318307,9.508179625509678,17.75358770163996,-113.47077421668617,48.85161741215414,17.43406450069188,-54.331971528324004,25.829462676605107,1
Other,F,Divorced,36-50,79.48303038733775,206.81182277916318,-91.30451214689796,37.49619073672391,154.3723188376811,35.49356885943383,-78.10809662907462,87.81413180917804,1
Black,Other,Married,26-35,201.74901296582507,-14.879908883095064,90.9814622136884,-4.354652522499223,50.27221161363473,-31.06765229936951,79.4338037120595,-77.38297809144916,1
Asian,Male,Widowed,65+,59.6406059092354,143.4345515323878,-135.6970237794112,-28.10985345379881,-45.67704707271619,-62.60038666350396,112.32807538526623,119.52083269573622,0
Hispanic,Female,Single,65+,-142.80012619979502,64.50350326628224,97.29750374871091,-118.05042476971667,-134.53176841711755,165.09009695578584,85.00440532786558,95.62234761183561,1
African American,F,Married,65+,59.09703675302305,-117.34689797839492,-60.902872946937606,142.72407922199463,156.68096827214245,-91.40039449828177,-94.94154764706786,70.25863177863505,1
White,Female,Divorced,36-50,-81.05958543860238,-65.98557896325438,-108.44815652027381,-119.8280695231499,32.54713716117976,28.55301238783929,12.061647884428837,-103.81359519333739,0
Asian,F,Divorced,18-25,-18.45946588877209,18.398995941958805,47.5367706923309,181.0965604249342,102.07356650177681,-17.198120058374077,-99.04405001176819,38.571450102144304,0
Other,M,Married,18-25,-92.39516728921504,-2.121301067293428,155.72668346611982,40.43986309778639,77.996731757001,1.8252652727504666,110.35107558365276,31.565040842455726,1
Hispanic,Female,Widowed,36-50,71.44580500407037,-124.2367261199739,94.27400113383753,141.43814800877377,-62.5510143220015,192.23756603641823,103.3083252568427,164.75419642852913,1
Other,Female,Divorced,65+,10.818083719384138,-39.66628087163879,88.42567558711534,-130.833118876358,203.76290661414208,-60.89745885848065,-146.99582574579472,-149.57773265916435,0
White,M,Married,36-50,-81.01398668673082,-14.063053995123198,-4.804945954320102,209.39010237307048,159.7849791949611,-40.76668634393673,-28.95496255927277,49.65174069845808,0
Other,Male,Single,26-35,-24.610953629825534,-104.33765754067909,66.12131393450481,-66.28621223179235,40.31062743591273,-40.3341790225182,16.968352911964928,-77.49434141932645,0
Asian,Female,Married,51-65,-67.42355988993734,172.9936852896098,58.03687552604509,-87.41390908647767,-30.541827569360226,46.51949327255198,-100.42029144480298,87.57191472316762,0
Black,Non-binary,Married,26-35,0.5684653753393214,157.23986754316283,-89.88645080557238,115.51034957969011,135.54911317374015,41.256593944166916,-90.8000232042913,-98.65737678834692,1
Asian,Other,Widowed,18-25,0.28722467006632313,-73.58511081050456,-78.1448215537685,61.950646484020744,-4.727613558020181,20.641618293809874,-5.026098087285531,32.69194004229407,0
African American,Female,Married,51-65,-135.44979128206734,41.446799553817314,-25.519002949719503,1.9421645207805927,-112.39319167286568,74.75622907502928,39.178563246993185,-42.65317992438668,1
Black,Non-binary,Widowed,36-50,-106.83022496942287,-51.7169972499203,7.3843044089587515,-76.67639516334147,-4.7703562914655695,1.1596892232319427,156.52334509664453,12.473722283469337,0
Other,Non-binary,Widowed,18-25,-94.44142541216551,29.870657806560207,92.72762162280301,-90.24778514308045,-0.9428899306218869,25.064595414013606,3.7259177380740054,-5.656827125392135,0
Asian,M,Divorced,51-65,-8.56919143486667,113.7612496530012,42.573163686293796,-55.02519978334337,-30.88154399512839,-26.135626575046732,-89.21341526715425,41.15702924933152,0
Hispanic,Male,Divorced,26-35,-125.19117843411219,-35.111720015001694,-15.768514868396325,-47.456843837427265,-18.079112274112482,-193.0832447298369,8.39439697447816,161.19094605967726,0
Other,Non-binary,Divorced,26-35,15.753543970141633,-24.102413463253313,20.529662489625704,-31.62954660072139,83.28725219753615,24.37966985861855,-154.5794705179814,121.00087606866619,1
White,Female,Single,26-35,-33.17361051534959,-198.2329647431445,-9.782765075652662,-111.6910042032163,47.89618578871851,214.4254971273233,87.0064341185006,-58.44117256207455,0
Other,Other,Divorced,51-65,-250.49782171340124,113.56474230443484,-38.70582489816148,-40.02106723442002,-73.90211876517746,193.95048470374502,25.623792434318176,121.22596728164972,0
Other,Male,Married,51-65,66.6809029889558,7.023606847574514,27.39589495996626,-40.244792154149785,54.449998299789414,-54.13912936115726,-29.319822928227868,-252.684037790898,1
Black,Other,Single,65+,-42.26738670703508,57.96636039811068,-32.303859891411015,-175.71938885073322,-67.43097310448282,-40.76293363822571,-106.06813306137148,77.9368692441572,0
African American,Male,Married,65+,-59.860736725466744,-180.4054382855021,46.233960321887885,-105.33493612103075,188.63557112682741,-71.40748667483045,33.93690036327572,-1.3756561962356864,1
Asian,Male,Single,65+,-36.11715612214208,-14.95715045613639,157.35277225986724,-35.86100240218785,83.66429103675071,-147.92115315885482,50.39806101153679,91.66772202387861,1
Hispanic,F,Divorced,65+,36.031214260579524,205.47950260209024,147.18911719857297,232.81667495111185,-1.3994026550552743,5.944354457891368,100.65949467799756,-32.80006401364123,0
Other,Female,Single,36-50,52.79637672833809,76.62724673313119,109.69039699762423,27.12411147520782,21.151437574632187,52.79652814523851,14.70415821131639,239.30259004750926,1
White,F,Married,51-65,-63.64406646516385,-119.85749039000328,-10.950205855332461,44.42406849434213,46.06120381022926,-140.67417158202366,-93.4307410637664,-99.11168199386225,1
Hispanic,Non-binary,Widowed,65+,-30.22209844283632,51.42279673403149,131.0149826874618,-66.58971096286332,214.8040382567217,116.55392756948947,-90.45189173760514,-1.470644904677527,1
Black,M,Widowed,65+,-150.43152056708243,-44.52552571808459,-144.79947879944643,-96.09150436054489,45.961990512467885,-104.35399565353052,14.187560266797433,63.879297216258344,1
White,F,Single,65+,-3.1856019659349464,-120.25059499809687,5.209231347231995,-82.94414706276551,131.19056874429532,-174.73804327652047,-60.48075343918728,-65.76525744068816,0
Black,F,Single,51-65,70.89654718303183,-143.36100078333436,157.06697174530856,-80.59592370473183,37.07061928219908,-96.42534817706803,-3.955093192831194,56.14532120411619,0
African American,Non-binary,Married,65+,75.68909820369474,57.65049511701954,-284.87942075977196,4.267034457355348,-108.17731449493535,-92.41067267053859,-91.22939339163138,-152.81981152418686,1
Black,F,Single,26-35,-20.532315180034274,-160.6505978019918,21.06348487452578,-59.75216940437065,-2.2639587249999202,-39.90232972687355,81.94200921496038,-195.90401742817477,0
Other,M,Married,36-50,93.27611845546994,98.30151250269863,20.537789235248162,60.10368639642664,-11.701029808532953,47.556931785787384,21.441208115640002,-102.48055431059538,0
Hispanic,Female,Single,26-35,-52.723427403508296,-55.11939729000373,32.32174786043858,-64.1848757076624,-17.48698555461016,-37.44520679619249,82.57996514882582,54.36772361893415,0
Other,Male,Divorced,36-50,-200.56079956129267,239.78018210143728,75.73821106426932,-129.1619523611888,-61.99463560744511,-11.28779876032618,-61.12368792963867,69.36921156670117,0
Black,Male,Married,18-25,70.01832834321743,-21.536945020506373,46.12727580163952,-37.39009370657439,56.20253948819911,-63.6719919940945,24.018417140374908,105.26987378722798,0
Other,Female,Single,26-35,22.909658682650928,-109.3737865725032,-43.91987299467442,149.08307468189432,-8.722808629570732,12.051710838607637,44.25707865727821,77.65862738931517,1
White,Non-binary,Single,65+,-70.23342020940973,-1.5314765650384778,-125.36383106720936,-84.79793398881984,-34.49754082391417,81.6881346631394,-21.676583477589617,-53.16440686190334,1
Black,Male,Single,26-35,36.39995277009953,3.0816897531115477,-67.53682354791094,-3.0703765392050353,-3.266083383673921,152.3154666338229,-42.88871159681224,-48.86712689406712,0
Black,F,Divorced,51-65,-313.65152876051354,86.42847123001395,176.7384952955894,-111.92475989490359,159.49673475604615,-121.85454291810555,40.158113405262384,-31.05162688871761,1
Hispanic,Male,Married,65+,-101.11241476122564,7.395585078794833,-135.71946379304168,80.61368028848807,118.49434214987961,39.38834742620265,60.689846036412916,14.889002963855438,0
Hispanic,F,Married,65+,194.27703237628776,-126.43669857518769,-141.82606273833886,65.17871950535813,-6.016835278944778,-61.67246089817249,159.79156382151962,-79.93673479773713,0
Asian,Male,Widowed,36-50,4.127679417910405,25.703177038087567,2.8802158056890956,63.629403359512125,-113.72590151433826,-139.37593152646198,-8.11289042731206,-49.566526188051306,0
African American,Female,Widowed,51-65,-142.73416594181487,-132.0157547272864,98.22593446451808,-99.90101541670107,-118.71415270860066,-95.98715611099789,-15.009451391763479,-29.593928119937974,0
Asian,Female,Single,18-25,114.37228748378104,-18.898367924892355,-48.277444853044344,47.8420477815567,-73.70277952024497,-172.987636179137,-37.72625958856528,90.79793782373967,1
Hispanic,M,Widowed,36-50,-14.586632374827364,-170.97531313263835,-52.824197173364176,25.805250816834807,10.825141366773197,124.24738579370558,29.43219955646162,-83.85958651995907,0
Hispanic,Other,Divorced,51-65,127.22932856962363,-13.107122676351352,-10.671147034971073,-125.07749450908562,16.973922561165708,54.05157804538027,-57.82308386791184,32.51926228969408,1
Hispanic,F,Single,65+,139.70898444682592,-84.46684809228279,-25.146814437485943,22.46784958569097,-11.581236284382442,-134.0757166948142,-73.67940812832556,8.07914176366314,1
African American,Non-binary,Married,65+,-20.170505465134607,51.58480787377334,41.32499384105045,25.600887334672983,-158.27517954265141,49.89949292986271,71.89620784830466,13.96607616261776,0
Other,Male,Married,26-35,-82.71028482684225,-197.18566418909205,148.57454506926976,-88.22805569921701,-27.051137951532926,180.32190318668975,-21.5940699040668,4.368205316027595,1
Other,Male,Married,65+,-20.23937608800564,134.80798392636493,-71.41681207943326,124.17358841121766,-117.25786107414964,98.56333480086418,-102.62563994983087,259.8571689396163,0
Black,Male,Married,26-35,-70.3994463616318,168.37750069564038,135.1549127608325,131.48392577712372,157.93297938284877,93.93760949603622,3.738666966175683,106.05836251947596,0
Black,Male,Divorced,51-65,-90.43399671238723,134.68586081249666,12.345846923443295,12.00402459713795,136.66883812909614,-192.64698528236653,-69.49379462093913,-24.619398913366993,0
White,M,Widowed,65+,11.262390271577987,120.95936630118749,5.762862389008163,-115.5544243123393,-47.96418509044537,-46.281750931125984,-113.8580536599229,76.25754879642882,0
Asian,Female,Single,36-50,-39.92724156291108,14.925357851434418,54.97921272980795,85.83533887281047,356.2856779771292,-108.58306486292291,-130.5209130942345,-106.39144035180732,1
Hispanic,Male,Single,65+,32.05499985206399,-34.79044011728127,-39.37362412157427,-40.62800651317781,134.0672939853875,173.87633856026147,-18.254668137843623,-194.9555664249472,1
African American,Other,Widowed,26-35,-0.8833383300560151,-17.631064765367835,-90.62503537766521,84.35748425665419,-246.18801879393178,-151.26202385213742,92.84272997351783,-75.42652404002024,1
African American,F,Single,51-65,18.04243046989158,91.3922283674756,-36.904485850578176,97.27460188596767,-48.86770967052704,-159.40600158998976,102.196274438905,-100.13900147485104,1
Asian,Other,Widowed,36-50,86.25770156478745,78.17152021472074,24.604871623831382,75.31638052462134,272.16950338464113,136.7931509729464,-75.08824974316255,-63.12085665794832,1
African American,Non-binary,Married,26-35,-16.68297692526031,-175.25308742775226,23.25898098072995,90.12115508081718,62.3932857103919,-109.96776907240215,36.903017571349835,14.063650155309224,0
Other,M,Divorced,36-50,-60.290281616573424,100.98526102312849,-195.13422716194836,83.9621020021869,-38.39739266682973,-165.79578969921366,-118.6733583222853,30.775532662635165,1
Hispanic,Non-binary,Married,36-50,-22.691216291917055,-89.856725276679,-70.09177930392443,140.49577647367667,11.689882018946426,10.079472301799283,196.73804067231293,74.71435765034794,0
Black,Other,Single,36-50,90.39371238976896,50.5701439352238,67.88050792324233,48.83911412328983,127.92491960681345,34.79001768396855,-29.021450507130563,77.19675758862458,0
Other,Male,Divorced,51-65,-163.64232691516213,-53.47794092097552,-35.6081114410081,-276.5385227904183,-88.70070821222413,117.32694953215797,205.13050364204918,215.75815300212008,1
Asian,Female,Divorced,36-50,-14.32575538488899,-132.76886209376045,168.85927208328133,-129.3364986305843,84.74693499267327,200.64450033339588,17.957943623788896,145.70589476025688,0
Black,Male,Divorced,26-35,40.425955395369414,-193.28687841328374,-230.8355706661596,41.5677584654388,31.925556366922734,12.472711663956474,166.95286471595153,116.82247067584845,1
Other,Female,Widowed,36-50,74.89484260377928,61.19727447951632,-96.06146766888443,-19.36424297783351,-53.540994000267226,36.07337311677393,112.68624303054473,-42.697592185971295,0
Other,Female,Widowed,65+,24.270436546540903,-62.91077650639899,-143.00182865012385,-88.29428123726665,-120.45956853522446,-4.616131946702345,302.40348044986496,105.39542277711962,0
White,Other,Married,18-25,-19.24060102540476,45.233516971936176,-122.76549422437395,288.07470300931595,-103.75109345102813,127.49451077617084,30.143934467857893,43.092217722410574,1
African American,Other,Divorced,18-25,-1.191818567591425,47.04821422731394,-203.72011328588928,-79.54655414747359,123.76420970159343,-200.79998782360443,-90.8468573907754,-18.227328795640133,1
Other,F,Single,18-25,0.45574156055562265,35.995923532171446,-57.13530837388681,227.08844761506498,31.72131719006633,154.1608130270416,51.58878606212161,-85.92445122742542,1
White,Male,Divorced,36-50,2.08342309250752,3.5914997396235715,27.055086218228052,138.44763906405063,137.585464805774,-19.05486866068362,256.336919636156,-95.69046625526522,0
Black,Male,Divorced,65+,34.144401379489345,-69.67574030069305,50.45306211501788,0.4949238646634973,81.87593059552044,131.04169454449658,-162.03617075204846,-52.17705406026835,1
Hispanic,Other,Widowed,51-65,-63.863314709875596,88.02138317522825,-57.52652975972242,-91.01803186952989,47.169533745678926,-33.33826660063263,-77.42034313042126,0.9349595676944269,0
White,F,Widowed,51-65,26.386509565689614,-36.55408894274459,60.049190738492086,-19.585343369801823,-32.01784292811157,-4.0496106186697896,33.580437855155154,91.12657573020716,0
