religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Jewish,92.56655581618539,C,275.9228393080642,88.30273046028928,47.26025146484753,-107.23436289499124,-138.9291739164463,67.05236375236123,B,1
Christian,13.585209004189485,C,-48.98555282690382,260.0998325385149,121.88816641250324,93.48248242738492,-68.39290879963927,185.05714165254207,B,0
Christian,-16.27481295050149,B,105.86137903976847,-63.90106212418676,22.31388882370256,-62.87875619451526,62.794049474823396,37.78032269191477,A,1
Muslim,-21.30003345959014,B,-45.029899001754615,-45.544500039497365,-30.13573512382386,-112.64850215380487,13.94881663675508,14.997178444950734,C,0
None,32.448615981923425,D,168.90610892170918,-91.50823778528998,-24.96919887450293,10.40061816954494,-79.45181714691229,157.0985686895217,A,0
None,50.27357361471536,A,-139.06227103943846,200.21928777436068,-5.367125947881376,98.00513142937855,-55.50212446964796,11.69959157990799,E,0
Other,29.13025827589399,E,-19.35159331018581,84.77943775898424,-13.153248626222586,113.3170101628624,-224.14848634463357,54.008527215790124,C,1
Muslim,44.118521028358046,B,-105.42724264326866,96.77742071367754,39.066413838422505,-114.37772492627849,-14.753018454487133,-114.18888137839242,C,1
None,21.724523301170233,E,100.68570125153273,-67.98879498607934,-53.274686854300555,49.525273472822605,-98.74132720948782,70.61040226495957,B,0
None,97.70629518633582,C,-42.04071860096343,73.40574480507476,-4.876168918968421,-5.790130668495166,31.54124494831803,-11.307876523327641,C,1
None,1.6350395862199114,E,-49.861743996428004,111.70827660829394,-106.89916039842298,-76.62926521276935,-58.26399618791732,-79.61196839969588,E,1
Christian,58.887610976228025,A,127.45423056463048,-38.61139105427306,-38.726598246220476,-34.24965635972887,6.181262294121342,167.5653724947601,A,0
Other,104.33565641799827,A,36.07132927742731,62.06451866921451,124.43328251750323,-91.34033440721603,38.12806096230088,-191.65006356051435,D,0
Hindu,-2.5031817941449703,A,130.6066998587788,-54.707754275403545,-43.83090380751727,81.60827340625892,-27.47986059409787,17.088762877111417,B,1
Jewish,120.04317955023221,E,-39.93552105743437,24.636237121093775,-11.264415694220986,33.468025546178524,-117.95606798514233,38.509551211739236,B,1
Hindu,-91.04644160030716,B,167.04128565113388,-27.839381263709218,-33.22505297356147,-77.75291712559968,132.97294430744765,86.36232143002468,C,1
None,42.539449680484246,A,71.02621003535657,-66.5613387369656,-37.33800552542244,139.1431452068565,91.63096069364751,-33.27392563378539,E,1
Buddhist,-2.5592749894025246,C,64.01193038144936,4.179151356251374,-48.59165341236882,-65.31618592371585,-68.31005271086966,124.51168690935785,A,1
Muslim,-148.35778293663745,A,-17.392451260137076,122.77955950327211,12.453936696403648,-82.87587209148715,-227.07222201755778,123.34111565606969,B,0
Other,196.41353750589874,A,-7.984415395147414,124.95683316363235,1.9192820473299472,-108.40702553821562,-151.24795650933137,138.06300672029639,B,1
Jewish,-61.75251338926766,D,-104.32543459405042,40.367436401302115,-128.86858969185803,53.23302219507685,-87.5840077037285,-65.27912014781523,D,1
Other,69.06098434735502,A,-75.40658224061943,26.63162910849657,-151.52812644037968,-78.42476146002329,-9.576407042285032,-136.85475634324206,D,0
Christian,-169.66204526537447,A,-12.715747760866982,-6.898012741616675,-172.8876693141222,-64.61744664970448,27.241494762326962,108.15411740736761,D,1
Christian,1.4101825025585404,E,85.93441204430667,11.98596702555785,-14.617745774635358,-54.94897407782021,-38.74939068405212,-51.58925365254247,A,0
Muslim,-45.45143891598114,D,-25.17341290934234,135.93429975569958,83.09625993065286,67.3311452423567,-65.39654659789133,-79.0672944076162,B,1
Christian,96.81712924202792,E,-50.44522900641471,-62.22961526880445,-69.59137412027859,75.37598485958432,-104.6849267419164,-103.33729764407849,B,0
Hindu,-133.69707210494653,E,53.481164579162574,-58.55719249310415,-4.608130566271793,-45.117147711358825,-122.31981715625027,-50.57902112620249,D,1
Buddhist,46.4472366345357,A,19.47236861157531,-30.17387025033002,-28.090952986986956,187.09863644281836,13.520516345466904,-24.697561721173493,C,1
Buddhist,158.25894482206115,A,17.29500367468927,67.29382407623717,25.84833716846463,66.35578650707494,40.31018330067408,177.53873304960226,C,0
Muslim,64.43405362164766,E,120.27514326639763,37.734408168698714,139.95711279422108,-152.02414079865468,-108.10240708090895,-7.941218483084131,B,0
None,-46.31785865681602,E,50.36600032427899,-26.340591600010715,-30.366422522229254,-83.37687939832054,92.75931309369267,155.6694444627875,E,1
None,253.00384172271188,C,-88.19652324789953,-122.07658131974408,-64.80814092110046,45.14858756785293,71.4029501684784,-48.28097501617451,B,0
Jewish,-202.77704706173952,B,111.13959639408083,158.88620907373473,243.64746010399872,33.96533161774435,183.93196787921934,-12.456598458072596,E,1
Jewish,-115.63107144741895,B,120.87337875299662,-80.68095308042261,194.6120250144545,-61.48666200124704,131.82043598470892,-74.49064610125134,E,0
Hindu,125.22657041649296,B,130.59752392838183,-239.38578098573817,-134.18658713528265,-31.24675526745117,-82.31714347367458,80.54402648816979,B,0
Christian,-3.244709894499455,B,-31.267562685003426,164.45296943540484,52.5938846357625,-39.9357582647757,-45.43482318887778,-11.60204851351754,C,1
Other,-25.632219513798017,B,86.24081575488177,80.5512254202446,1.1862832613171468,126.78001069152924,-279.88096027085294,9.14336449495435,D,1
Hindu,21.973641593271218,B,-355.8098588626362,94.0710695036631,160.22599636496508,-33.177945921159576,97.12003737625686,-20.376221604521973,A,0
Muslim,0.02780670732175439,C,129.8679447817074,88.22346375471213,-51.552036681142475,-175.9657388930449,-30.19343009061534,-148.27390056538707,D,1
Buddhist,-85.9856332473404,D,111.7319781174243,-27.187407388156803,81.90873542752655,49.007828939374484,39.59146783883726,68.33859819796034,A,1
Other,5.078139801769513,C,27.446902395691453,104.08239940151395,-51.93874359893894,100.30504765895527,-125.10443112049778,81.05482258536455,C,0
Muslim,43.01460513207757,D,-74.2709101917902,210.34480285439264,-92.58509980689722,-30.01080208538898,14.185220016467017,61.437970799885555,B,1
Christian,-79.89433103771869,B,45.43077519979786,-110.38883015289218,174.32107212089664,-229.14852218259804,-173.1852726495751,24.260138978842242,C,1
Other,116.07965782415481,C,115.90425190896376,28.927682964281022,-3.9471685854196554,-23.663681656725082,-117.80236634131155,108.35400563152263,E,1
Buddhist,-55.298710820697615,B,50.06324581843229,-9.381906546533713,20.429215017165,-182.3438365322262,-71.27728408697386,-42.90770964856838,C,0
Jewish,-171.53813262939863,A,-68.50505943930452,6.187279052805183,37.06504583788234,-226.03332496697658,131.9265524495321,-161.72567788104223,B,1
Buddhist,-31.412611553350327,B,43.57655042094265,-34.26676358751348,-68.17863172819769,-37.62490160155823,-86.12352066743063,181.94337634114373,C,1
Christian,72.1293116840701,E,185.59001164301048,-2.6944044035818346,70.6374770714946,-56.13587968226666,-34.210523663119126,161.64137150248698,A,1
Muslim,77.56444529320274,D,-146.56656186215494,-21.094505514582895,146.50786745730176,170.19180498490616,-27.705907457360425,-79.7898575618629,D,0
Jewish,-149.61805621017334,C,130.39717310724245,-87.07833836948964,-125.2936559346256,40.54957045352204,-23.803390970821614,-5.144518281678706,D,0
Other,48.488626215758295,E,111.1461059139373,-52.458396880449406,206.34686179039056,88.04256973460798,-175.4920436874685,-21.169562224627818,A,1
Buddhist,-57.395192920851144,B,-95.70524976892798,27.982555695306388,-87.80258041778639,-187.81736191295263,-86.12544875251365,-161.74729132344513,D,0
None,111.19382566225437,A,122.584228363386,-38.2564152407338,-51.85119002245663,35.88028389160402,-74.68824742000426,-59.99430470859316,E,0
Christian,-97.89218566207303,D,26.271455118823017,-54.92060922874968,74.65700778874633,63.45639621990002,-113.52610570041692,-25.96766085447853,C,1
None,96.00705921581763,D,149.36219633071426,74.36984932130355,-18.60846494745362,-283.7707191361273,80.76862223940572,143.20125378602555,C,0
Jewish,39.948462152359085,A,64.48734280014403,-63.03666126318899,-25.460976532927564,94.04741367479718,38.83823161709131,-50.9472675115225,C,1
Jewish,-59.27271103310719,D,109.16314321459745,305.7689108759537,-38.82165572590983,-10.142964537148442,-31.66536338187286,115.56031054687179,E,0
None,98.49057924775602,D,-19.837373157509443,-38.521836159247165,83.44444859638965,20.598588617290964,-22.75812214996132,-30.706752309078862,A,1
Buddhist,-55.33785482142392,E,-24.568560906777144,33.57937314276667,46.76586382995904,-304.44510579958535,-56.62748228090205,58.850611843803854,A,1
Hindu,28.177551923755594,C,-128.38978795781145,20.57512260217508,-34.87239893006871,-31.370609361417884,3.212786657873872,21.580994230201693,D,1
Jewish,-10.315270497126146,C,-202.63597560193517,62.84775096812814,-151.85935454005067,-12.97526710452129,155.98306187521146,2.1522460814483906,D,1
Jewish,-62.93832886007621,D,-116.30178652795209,19.97978786447991,-44.39515691204466,118.72582895085493,-4.044071570125431,57.90630285308664,B,1
Hindu,-78.17450422537253,B,-15.01508647604032,70.41029931233722,53.014782337774115,11.808708651417659,-47.17908072934292,-86.60426134050005,B,0
Buddhist,-91.50242056146305,E,-97.45385561604446,80.40355955612225,88.07658332516756,102.93047053392961,137.91409403876665,197.28031270959718,B,0
Jewish,-5.696215708488479,E,5.97265717146011,-122.89983752372089,-20.138468552080372,62.64723515065693,181.637768534244,9.924367579110498,B,1
Hindu,-96.10741673529134,A,-132.2952469993061,-12.932935698049011,2.428827350783743,-61.83527536558735,167.12385951081566,-137.86700903527776,D,1
Muslim,-68.26503005584759,B,-230.87210267037332,39.31885984133462,108.36527095664059,26.782138686299096,110.49371085180194,15.106832724568333,E,1
None,90.52363083869989,B,84.65001871475194,-78.92216731526617,-101.34264441331663,-7.776343732061452,236.1909323665045,-89.8297592296026,B,1
None,9.333182149051892,B,-338.7002653614051,-33.53407127065502,3.4081460752334545,-3.925097625416328,43.70438197707228,76.58117393446814,A,1
Buddhist,-130.7280513866597,E,-16.75216678271857,-11.753340304615604,35.53796552220232,127.95032674218281,-27.46142890375997,-96.88813178241068,C,0
None,-41.2567662434213,E,92.43804715007009,166.11980665145296,5.347427375055782,137.76602889448952,30.66315053058898,115.41092347600322,E,0
Muslim,-67.1225571825299,D,32.31313060351168,1.1493574022963555,9.822597752649193,30.31128754548832,-100.3492223525579,-59.42078809800496,D,1
Jewish,-106.92937093527493,B,102.28196455908665,18.893852559019685,20.958547202051527,84.66513414389307,-20.046135947996845,-277.8932509815889,D,1
Other,40.364034855758845,A,-91.55033679785963,-104.87020612619882,240.56915590840444,24.726702833916907,-21.842287947041957,85.77908635585418,C,0
Hindu,91.68621851859074,B,-65.44366717567065,-84.65008874717242,257.3958170100021,-112.53212926988564,-15.341308053965633,48.69068304573381,B,1
Buddhist,-49.32186848996213,C,165.17959480172843,-13.139133824081373,104.50911019281892,19.025336116467397,-16.030999657172117,-79.0695575209898,E,0
Christian,56.471358666150806,D,-1.4570808883157844,24.917727951239808,88.24262661468013,-138.51926033694158,37.35579970699714,-243.82714989418696,E,0
Jewish,55.47692943351604,C,179.13041354972677,47.283123422232556,25.985551882362067,-121.13799765323678,-47.67725059970244,72.56675799967577,C,1
Jewish,-70.57767711637133,A,131.94881869601892,92.54799985004071,99.38838683554276,129.00913997023636,202.8438873023071,-62.83564808096204,A,1
Other,-55.11718585056711,A,21.50046468980516,-136.62845727005703,91.35908226362169,-75.6941908706521,-18.78633129443118,-53.34181184394643,A,1
Buddhist,72.90459173727561,E,6.554964782620799,-210.2542579310634,153.86834592844394,82.51750548079956,-65.84385039738547,-232.08672624133962,A,0
Hindu,55.882755146054066,D,-65.68149863129372,3.854862750812118,116.52894542891255,119.12830519715834,-77.21978838477055,147.9262860022973,E,0
Muslim,-88.40897386127192,C,26.395673400963314,-231.85515543729363,146.7750529432502,-16.084045006298332,-70.31203618097875,24.77682954257438,C,1
Muslim,-45.960279070689715,B,-52.42538974808243,-21.626138523884684,-155.0918783096945,-65.37424478084127,-29.62595879883263,-47.76669381228002,C,1
Other,0.2841639254214308,B,3.409626669254817,-117.99270339393404,-28.112186033054883,171.10131781848096,16.175577336430106,-27.14140663257944,B,1
Jewish,27.53205048736513,C,-50.540626192951024,227.81964201282833,-25.76795333782273,-64.3587880627437,-140.70103161259024,41.73110012918587,E,0
Other,34.465171405251546,B,-57.81094438013105,182.17836676924242,75.1333975335639,-117.38734407924645,-129.87938677008484,-35.657260158175816,E,1
Buddhist,118.37367941525284,E,49.70611822048036,-24.265211350165174,-61.81371216077992,-77.13611858514153,65.21723915549336,-14.2680198303351,B,1
Jewish,3.8506683509235495,E,-15.03811812714999,-10.031920336403516,-40.84990439277523,119.60617249998305,100.39383410229021,54.37980155752469,C,1
None,71.24279710934256,A,92.15155215951654,81.95210843646502,124.93949922332175,-68.15889188969771,-85.2186372597491,-30.479425753950977,E,1
Other,-193.84374249858567,B,62.76361026881485,48.51551606693904,-151.9416730254172,4.214559845225178,-23.805339511923574,-65.55008344806203,B,0
Hindu,119.77020500703004,D,94.90917348214634,28.124675283554534,96.83634335455356,54.22605304079773,70.19137583687818,5.480696889340717,A,1
Jewish,-135.65592035773574,D,-0.0269030137073557,-52.79038733315655,-61.3343197578135,75.96881023363909,97.06221435121489,82.06256975390585,D,1
Muslim,43.81752220014129,B,33.63174863541181,-73.41105733668343,-93.52645615599215,179.35472493628214,-137.1147200188754,64.18423332518803,D,1
Christian,12.95078152494332,D,-30.800122071288378,135.1326996792321,-60.941703288215955,-108.17167946694491,61.28059012378229,17.089440311903125,B,0
Other,20.952714151697485,A,118.37457812780485,-159.63939412848947,204.2181146451635,-49.22794289728574,-164.0361228411564,47.308867383511846,E,1
Jewish,-55.26054772249801,B,116.69105128992616,-34.45509757584701,-32.68389201861452,-133.7586617772816,36.881242257114,-124.22998273571753,B,0
Muslim,47.25332722245188,A,169.50044298075338,-66.42008019855035,-1.0699729221494227,-72.29227127420762,29.981097225771226,18.35693502546585,B,1
None,-13.703563995593518,A,49.861251139670294,61.628297736769454,27.23227217710717,11.150996896737176,-40.2538034857784,-111.8039010521376,E,0
Jewish,79.3892298974105,A,-138.1342578926466,126.50371453512523,-134.76347176166357,47.51792478717689,-130.51501243400128,49.46048726586707,E,0
Buddhist,-163.13869616903204,D,89.3092292662325,-83.14779704433653,-98.21889225430917,6.516667092954459,4.627457620906341,-139.4363445276297,A,0
Buddhist,54.21421414467158,B,2.8562401345497164,170.1746040745071,-74.98022881852489,-69.3249896820587,34.39671901084187,70.29673055103791,E,0
Jewish,126.37083135059717,D,-10.68123309253192,-67.48282368810278,-30.48611115348497,-72.84058245345254,-150.32446534602812,24.319081594964377,B,1
Other,-37.8571066408814,B,1.5963063214898279,46.73063212150891,-116.97215868259538,38.29773165198085,2.1651884531659222,91.94086152541284,D,1
Other,37.12318835990843,E,73.39794566927016,46.64141115641931,-3.759171820149142,9.12485248658774,-94.49573638856798,10.9738592277037,D,1
Christian,16.64510558612357,D,-29.25710569413853,95.22536022252199,43.92025548576331,-9.797869635892063,131.56460743326377,-73.5339382628809,C,1
Christian,-22.652594297958757,E,-157.14444953904524,42.71950277205517,-40.19473067487006,182.31901000883016,-35.36714491319068,-58.01643590461487,D,0
Christian,-83.66167662503568,E,-190.70300112408205,108.80927177310586,-27.063698318903583,-53.271347480589704,-111.18654048037058,-41.30299155618635,C,1
Other,-104.24780183439285,C,-12.984674227681978,-136.69694165696603,98.81620348911447,115.26621135860768,152.41600540836734,72.53900578715617,B,0
None,-40.50917593715958,E,79.75244249530553,75.5152456104182,-138.233295018274,-23.975528160723815,-91.40527488260291,140.13590684406927,B,0
Christian,-32.82331742965068,B,-11.145475335702095,26.985355330425097,97.24441466592239,5.615197452133029,-82.50921979875129,-62.86898900788479,D,1
Other,52.4533459368807,B,99.71023849265835,38.12548983398211,-45.55031584816241,78.90054330010268,-35.306422667886594,170.379437907018,B,0
Hindu,-1.2431995143970187,B,-36.123697540329374,-43.32848874685114,-23.08216061852932,-220.35128873933974,119.8660815802677,-17.819616926594993,D,0
Buddhist,75.96992698079096,D,-44.16256566452862,82.3329090742487,10.30749948577417,-75.83620132273298,29.795790834584807,-95.84303338454592,E,0
Hindu,106.3233156882484,A,-5.585841871345382,-74.72371733919735,62.46560710699699,1.444064210131075,-281.6396534714949,-60.13963994305392,D,0
Muslim,88.22368513147379,C,-25.297088030977488,111.64916358838765,-28.519543763150445,-16.138366422638363,104.49608614828301,-52.254346501573266,A,0
Other,78.4071148847057,A,53.00948295707245,-8.851056735770452,1.0537105702608702,28.485261753408516,160.15319051768498,-68.29503222680566,B,0
Christian,77.32267869069688,D,-55.67654467953491,-55.016049397436504,-32.533356119602296,-82.48373392380644,32.56408093992314,16.101139637764213,C,0
Christian,-12.624358839321303,E,-55.284187340433654,61.95047786929459,-151.68961404641402,-32.58645266987125,-86.64001913701209,104.91535815207624,E,1
Other,-53.842590679737036,B,117.09853620868824,-175.42602572903155,114.45673316824936,-157.18923492570283,-88.65680870487888,24.020535614354607,A,1
Jewish,-20.74309223681714,D,-223.9118366754608,-61.866059429392685,-195.71371965738126,-40.58564838990779,14.321737310070073,-6.815564173303799,C,0
Muslim,91.182173355453,B,99.13890645256296,55.84698144661908,-62.48896183332901,-101.94490364521455,200.45038863188856,12.947792881181147,B,1
Other,81.41186177056338,B,139.494956767818,-21.669777847875444,-29.831790348623677,56.41302473908139,129.6102331249626,58.8768564673392,C,0
Jewish,-87.4809818087543,E,-114.77046583608563,24.869906519472668,164.53151667048925,-54.87956452380681,-47.886643658226674,-92.30779284804235,D,1
Hindu,-57.85449318116338,E,41.738222244104364,-46.482489607697836,40.62255365684511,-65.39578027102142,-94.93268340633924,-237.963409177193,C,0
Hindu,-105.20210909361658,D,88.15931795036667,-37.5491955037619,82.87954878838367,-165.930186373694,-35.080966093732286,55.4420953747504,D,0
Jewish,60.11291032941052,D,-7.095142577306368,-83.27929938781277,-138.43904615905097,195.02965502336974,85.84339841971936,-122.82774703111383,D,0
Other,62.37591803095454,E,-48.71948707601635,-95.64178812269752,-104.31873760912194,10.925343554216484,59.252796153731666,-69.46727863993411,E,1
Hindu,11.40472943393285,B,115.15380307340295,-77.52315096455409,-34.32949541352922,97.13235206442666,57.57357366716425,232.84621746648094,D,1
Christian,-94.33314823852508,E,41.327492172268414,-43.78370149909675,234.80647505236658,0.23551955596659777,-53.47529488812973,108.62279703360736,E,0
Hindu,154.6879376394278,A,-70.94263406510997,-44.1297242819685,-211.81522920179873,119.95952832619656,-69.4197636717057,37.235335583033304,D,0
Muslim,-8.5796173006058,A,65.58666812064205,-99.8383662769946,21.98287821564851,139.3605113620487,101.54221988175105,-78.85953168507095,A,0
Jewish,0.8187507738607716,B,-5.433317367730559,18.48801232799019,-148.92395520996627,-4.4332602215691255,0.47404858110253806,-89.36705233512392,D,0
None,132.2412798721425,D,36.00194358330077,8.03670636277439,-210.68694806418085,93.97010156644996,-16.876656593920618,40.4031527454282,C,0
Jewish,111.49730030300383,D,15.514632602963704,64.41934177692596,31.52906544720716,-195.7671960495324,-121.09341554571111,66.59404935766055,D,1
Buddhist,57.30518856302581,C,225.49624224192968,128.17721175768406,80.31218408376967,147.4318389821951,-157.65752172138448,-75.50918192138414,C,0
None,-94.53337427997057,B,49.96225870883453,-175.6306953088499,12.350502701709743,104.61426384502059,72.36126912318382,71.08091469621499,D,1
Buddhist,8.1984313285799,E,-98.34104768460018,120.9662796265834,12.06611582861602,40.72127933821235,-109.89311232181589,-119.33396198323936,C,0
Jewish,-38.148854725453624,A,-99.82776607979811,-54.66509512540285,4.243429789365104,-234.96285321622383,142.0893017436291,-39.23729969482744,C,0
Christian,76.11943735314503,B,141.2967633935502,-137.9978352757174,-25.525719277709204,72.30958203806921,4.4880911991712935,-19.846248920833816,B,1
Jewish,-91.88080355434248,C,-83.2786490346569,47.570377432116054,21.373421523994995,24.619540772740848,-78.09632349495737,131.09750865168536,C,1
Muslim,-257.11305099016505,D,-59.30002729423066,-35.043467975366795,70.77086983450316,-31.020848091069197,89.42686023114418,-139.65612925339022,B,1
Buddhist,252.49047555920913,B,-9.423979488869595,102.25028143524611,-74.03975245652377,-78.32255467628237,72.99103472266188,-115.80902748788522,A,0
Hindu,-147.98699072130148,E,64.38254878357242,196.6396266339403,-59.912026129603305,-18.10770695573439,-62.96744915544485,10.988391182438367,C,1
Jewish,-147.05082067553298,D,183.25493290672122,20.699243153490308,-9.332873079480601,187.97725194115694,-16.3926103637193,16.712103148035048,C,0
Muslim,-14.727373450858583,A,103.10176237072461,-121.80344949558585,74.55463003404084,-116.73424329523824,-144.0268963973005,-59.06693166494799,E,0
Other,-269.83350666999553,D,-150.55896489375903,-11.17822926772902,-33.66641925744487,67.07619871281378,-93.82837591584308,134.4329722698436,E,0
Buddhist,-159.4707402830431,C,27.127023831151725,-46.26200633063835,238.4177977703121,17.015751656811034,32.791301707516666,-72.52098629459566,A,0
Hindu,-119.45257480474267,A,77.22406805651136,-65.00091224617964,56.3414107095708,-70.57584702248073,59.827533866536164,-74.34290151037133,D,1
None,-109.92698540469799,C,-62.024615829325455,156.7601993757401,-81.19738356237875,-132.16399449967562,-146.24478796482595,-32.752158475916396,B,0
Other,-96.99620143560043,B,1.44112857928805,99.24237625957456,-26.10139056599941,6.401225506147788,59.02116321038539,73.51090195724404,B,1
Jewish,136.43340605915967,C,-56.13296811223867,40.068169723728985,59.4104818791001,82.56746188461578,-18.59266690282001,-8.615168356667505,A,0
Muslim,-87.05748607590003,A,-31.93747873102864,15.833039708519628,102.71666786737201,-37.603529666400874,-62.476455260513596,64.23716082554937,D,0
Buddhist,-12.22607180271013,B,12.746547101867042,26.65300400881018,30.244831515744753,3.5688265903881957,-5.194452052811281,-397.5012263357478,D,1
Muslim,143.83100553576202,D,24.02928004557048,31.690861201346426,-267.1838658150502,-90.03835107841542,-169.281665996439,-89.75013231272361,D,0
