age_range,SEX,military,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
36-50,M,No,Other,-62.855181430284,3.647757524000011,A,C,A,-55.85463523324553,1
51-65,Female,No,UK,-231.72145058700204,66.13726553015657,A,E,E,36.74128360342721,0
65+,Non-binary,Veteran,US,-16.758733024308828,-21.905890553267643,A,E,C,47.25277113394692,0
36-50,F,Yes,Mexico,-35.049314406240036,-84.3624289282025,C,E,C,68.87821358363617,0
26-35,F,No,Other,85.96167078407532,1.6573117270595659,C,D,D,14.019250478362554,0
36-50,F,Yes,UK,-149.07789788149057,21.31441489518066,B,A,E,-175.53397030949702,0
51-65,Other,Veteran,China,220.54699849799277,-5.950319950227065,B,A,D,83.16625786539849,1
51-65,Non-binary,No,US,36.30808160693563,1.6656751151687053,D,C,D,117.24814866789409,0
65+,Other,Veteran,US,-117.83631176793392,58.163622485042765,E,A,E,121.01377731819613,0
26-35,Other,No,UK,22.039413920177843,138.97891467277685,B,C,C,-7.102584702740222,0
51-65,M,Non-Veteran,US,-41.36311978016136,-52.55985607419361,E,D,C,-59.294598708829035,1
18-25,Other,Non-Veteran,US,-61.84129808254526,49.050177182048444,E,C,D,74.05132393188187,1
18-25,Non-binary,Yes,Other,-5.432376586212744,-65.92195857136961,E,C,C,-150.41884722489908,1
51-65,Male,No,Brazil,-92.23530206105202,-209.38805513472838,E,B,B,96.47417791468348,1
36-50,Non-binary,Yes,US,145.32269576669756,74.31019862660816,C,A,D,6.294281095083417,1
18-25,Other,Non-Veteran,US,67.75864662388545,133.48136150223831,A,C,D,-156.30632181800462,1
26-35,M,No,Other,34.50092318704305,7.698178564066288,C,D,E,166.93797613358495,1
51-65,F,Yes,Other,87.91053996836236,-11.950055668131519,B,E,A,43.69664442973657,0
26-35,Female,Non-Veteran,Mexico,116.90605019108844,-115.38381227987114,B,C,B,-33.08676195444904,0
18-25,Other,Yes,Other,-12.300087546578988,86.66467386516977,E,D,A,29.184662191813405,0
65+,F,No,Germany,14.87185170881569,130.36539237167338,B,D,A,-64.88888446013901,0
65+,F,No,Mexico,-60.44204817857892,136.2715164609429,D,A,D,148.86305291345982,1
51-65,Male,Yes,Brazil,17.40701934970166,91.62673656537686,C,A,A,-49.29993182018713,1
36-50,F,Non-Veteran,UK,118.53289990068096,-157.72091274642926,C,B,D,7.538312938577329,1
51-65,Male,Yes,Germany,-73.94890498140356,34.33203464943604,C,A,A,19.732074664594528,0
26-35,F,Yes,Germany,-87.6875031051858,-26.67152396673477,E,B,A,-66.11965426123827,1
18-25,M,Veteran,US,-110.10010607339524,65.50244729374917,D,D,D,-12.878869061213477,0
36-50,F,Non-Veteran,Other,-82.60959900373273,43.24108223457442,B,C,A,145.94167716539422,0
51-65,F,Non-Veteran,China,-56.575181452781074,31.149346614984058,D,C,E,50.60505549699573,1
18-25,Female,No,Germany,221.76894266039358,-63.14655152636749,E,D,E,50.065165128552124,0
65+,Non-binary,Non-Veteran,Mexico,1.2836157648569095,34.19973839092785,C,D,B,89.06205226823668,0
65+,Male,Non-Veteran,Brazil,-67.1408511481729,-41.53260577913365,B,E,D,-58.252344908481405,0
51-65,Non-binary,Non-Veteran,China,3.2207349003225936,38.14383954916288,E,B,D,125.29331382726569,0
65+,F,No,US,67.36991951842845,-163.06319694274285,E,B,E,52.90573087624736,1
26-35,F,Yes,Germany,37.75551288716174,117.28726768593674,C,B,A,-55.86151595809383,0
26-35,Non-binary,Yes,India,37.95145355400932,10.36137371474502,D,A,D,-243.65194492111004,0
26-35,Other,Non-Veteran,UK,-81.60903988995818,85.04390544318233,A,A,D,164.30632132315685,0
36-50,Female,No,Brazil,101.05979951697361,49.328568456389206,B,A,C,-115.16446777154748,0
51-65,Female,Yes,UK,-35.90305526568961,-64.53517330354714,C,D,A,54.00039524251152,1
51-65,M,Veteran,China,-96.00112210301712,-51.62386991700539,E,B,A,-14.480622668445623,0
36-50,Male,No,India,152.13722837725723,363.97636508435437,C,D,E,-32.72206353890682,0
26-35,Female,Yes,Germany,8.35870614821773,14.942327774295869,B,B,B,11.405095292271367,1
26-35,F,Non-Veteran,Brazil,87.11051398670358,185.07375503886058,E,A,A,20.115248324298594,1
51-65,Female,Veteran,Mexico,-110.04238981123278,63.62552539859438,E,D,A,50.3949264624598,1
65+,Other,Yes,Germany,81.97047139208958,93.01954304994828,B,D,B,-24.965631008395132,0
36-50,Other,Non-Veteran,China,-233.24339922130753,-77.5582508189912,E,A,D,38.806863204887605,1
18-25,Male,Yes,Brazil,-139.98125506066233,-27.971181788142335,E,A,A,-6.7001452717735095,1
36-50,M,Yes,India,50.42829800487632,-27.337832424571673,C,B,E,79.54189182843697,1
51-65,M,Yes,Mexico,26.75956399776332,-89.77787603334228,D,E,C,-9.630144950847939,0
65+,F,Non-Veteran,Germany,121.34174764575165,-130.14971917525298,C,D,B,114.7047981263283,1
18-25,F,Yes,Other,4.167231041666472,-20.382462011203515,C,A,D,-40.90555608043789,1
51-65,F,Non-Veteran,China,43.136167211828976,57.22326778353003,D,A,C,-261.99096395896856,1
51-65,F,No,Germany,-18.223761911239816,111.07526019451095,E,A,D,-35.14387383281723,1
51-65,M,Veteran,Germany,66.42618355975021,-190.48393695204393,E,C,D,-77.03025854409209,1
18-25,M,Non-Veteran,India,-9.029725744661398,132.0568406648435,A,B,E,70.12616983218392,0
65+,Non-binary,No,UK,78.87285034656456,-6.306413989968031,E,E,A,29.652809465704877,1
51-65,Male,Veteran,India,-125.51700977717577,52.175111501924356,D,D,E,87.77242916703301,1
65+,Male,Veteran,Mexico,-137.2814374155592,-39.83416387005828,C,B,B,17.082663325114563,1
26-35,M,Yes,Mexico,-2.1443663748182438,18.71800224266942,B,B,D,-125.64156759777394,0
18-25,M,Yes,China,68.84722188382624,50.66240204035681,B,B,C,-76.79751091403773,1
36-50,M,No,India,39.304771478213304,-202.39104762304171,A,B,B,16.236526887450896,1
51-65,M,Non-Veteran,Germany,-15.15808563798787,16.06728959955288,C,A,C,-8.669381270741427,0
51-65,Female,Veteran,Brazil,-17.838888678908575,-18.20994279170904,E,B,E,54.299099567783095,0
18-25,Male,Veteran,Brazil,111.72718311310379,-54.5163981506898,D,D,C,68.23688370018101,0
26-35,Female,Non-Veteran,US,-71.33967050527536,-110.6600094815501,A,B,A,25.180667578877465,1
36-50,F,Non-Veteran,China,-194.78864053121788,104.52594404062663,A,C,A,-82.25852018679154,1
65+,F,Veteran,Mexico,-47.01032017817822,-16.003959504411576,C,D,E,144.7332974387553,0
65+,Other,No,Germany,-146.48943869577465,-45.39247026444422,A,A,B,-56.33274895021421,0
36-50,Non-binary,Non-Veteran,Germany,119.41480793071926,-82.82402052460375,C,A,C,83.43168730238706,0
51-65,Female,No,China,-107.28444955367004,-15.957534701869472,E,A,C,-31.59081329119347,0
18-25,F,Non-Veteran,Other,25.176440957889106,7.862279467723809,D,C,E,168.15693927375548,0
36-50,Female,Non-Veteran,UK,-197.16997167566305,-10.34418112501232,C,D,A,104.98365849283825,0
26-35,Female,Non-Veteran,Brazil,123.2983104524566,-8.821517136286488,A,E,B,-121.48167542098385,0
26-35,Female,Yes,UK,25.48308427580035,73.2889178406455,D,C,B,-127.16693419242615,1
65+,M,No,Germany,66.80136982224074,29.947846253355753,D,D,D,29.172040424341944,0
26-35,Other,Yes,India,41.42351153383553,134.50787226747866,C,D,D,194.52448415971352,0
65+,Other,Yes,Mexico,102.04856693661107,23.99455294353863,E,B,C,-77.91908259452669,0
65+,Non-binary,Yes,Mexico,-31.256760804671874,-113.858227771532,B,C,B,141.91057031076224,0
26-35,Male,Non-Veteran,UK,24.448604293444472,58.70850443518704,B,A,C,-30.50166521062116,1
18-25,F,Yes,Germany,-91.15985984428734,-49.39034197087974,E,C,D,53.782862651825184,1
26-35,M,No,Brazil,190.57925402155288,118.1192283869539,A,D,B,-169.54208159003807,0
65+,M,Non-Veteran,UK,34.671298588031235,-339.6354834798032,E,A,A,-158.55420750351828,0
18-25,Other,No,US,-5.699603007662741,-4.1371917094350446,B,E,B,-3.623259083918108,1
18-25,M,Yes,Mexico,83.5914708883643,31.493887230399647,A,C,B,-12.953486948929447,0
18-25,Other,No,US,-196.22476113296972,104.18328782228043,E,E,A,-100.20166084366618,1
26-35,Other,Veteran,Mexico,135.15524642449566,-55.74534015849141,D,E,D,300.90629600376917,0
18-25,M,Yes,Other,-165.18564821294302,79.95063656420993,C,B,D,-2.0648251473677406,0
65+,Male,Non-Veteran,Mexico,101.9147105772691,96.43865325656745,C,B,E,-52.75123048132673,1
51-65,Other,Veteran,Brazil,138.10094522218418,1.9583953488170194,C,D,E,81.00259235756806,1
65+,Female,Veteran,UK,53.62911742219109,-220.5805494141185,A,B,B,-150.65446777249025,1
51-65,M,Non-Veteran,Other,0.880194140971919,-170.85575213209728,C,C,D,21.218001962688334,1
51-65,Female,Yes,Brazil,-24.563345054894324,15.534433547315707,B,E,D,160.1356344374422,1
26-35,Other,No,Germany,-178.89282218619437,44.178710121821815,B,D,D,-86.98609296314828,1
65+,Non-binary,Veteran,US,90.33527341489396,94.81739831875349,D,D,C,-46.2930057447623,0
26-35,F,No,UK,-149.14290438700925,96.08345076662901,E,E,C,-76.98394823596955,0
26-35,Non-binary,No,Other,69.67741285483893,229.9678199340557,D,C,C,-106.46827650934425,0
18-25,F,Veteran,India,-1.4191045468914547,-64.58137475300573,A,B,A,-180.28880723297212,1
65+,Other,Yes,Other,178.0279490977972,195.1942348474608,C,C,C,9.556220718296233,0
65+,Other,Veteran,India,99.7227194433581,145.5144893676298,E,E,E,56.13298730924452,1
65+,Male,Veteran,Mexico,30.388479209533863,124.22777455186322,B,B,B,213.49172891834226,0
51-65,Other,Non-Veteran,Germany,-63.81213861990611,43.571209735505676,D,D,B,7.030164113003584,1
18-25,M,No,UK,183.47561420230716,20.410359547082848,C,D,E,-238.9742478271716,0
26-35,Other,No,India,166.53641786603396,-104.54446919628224,B,E,C,100.03797921285245,0
26-35,Non-binary,Yes,Other,172.99482844865713,57.23002844898302,A,A,C,-5.638818914568582,1
65+,Other,Veteran,UK,-203.23332975336697,12.724480543672515,A,A,A,-67.69261412839883,1
18-25,Male,Yes,Brazil,109.87924103713252,-20.246137594255202,D,D,D,-55.16401962670755,0
18-25,M,Yes,Germany,142.25472933852558,-23.334962731771018,E,C,E,-172.6673242296333,1
26-35,F,Veteran,Germany,-82.11257452653071,20.439587024103368,E,D,C,67.70428680194797,1
65+,M,Yes,Mexico,32.34207043277,109.37998432132692,A,D,A,76.66105802605895,0
18-25,Female,Yes,Brazil,-45.636946080505766,37.681001056833615,D,B,C,-39.25006181924135,0
65+,Other,No,Other,195.16148409808753,238.40398031294487,A,D,E,-78.14420038861662,0
51-65,Male,Yes,Germany,9.33615217044861,124.64825218735615,A,A,C,209.93149737598964,1
36-50,Male,Non-Veteran,Germany,-39.69731164342764,-51.02489893888167,A,D,E,-45.036897337363584,0
18-25,F,Veteran,Germany,-105.85509457802115,32.62951433880079,A,C,A,-73.90022567097904,1
36-50,Male,No,China,-31.93394453646726,210.1373042778138,D,B,A,24.900445439619833,1
26-35,M,Non-Veteran,Mexico,-31.214915100983802,-112.3484404047632,A,D,B,63.775845039753285,0
18-25,Other,Non-Veteran,UK,-128.66322377447693,-119.96310204055425,C,E,D,49.318439683865684,0
51-65,Other,No,Germany,51.637264958213215,-183.26125689092157,E,E,C,-184.88089270700974,1
51-65,Non-binary,No,Mexico,5.457508549204724,-65.01092195833674,B,A,B,-30.312169473439504,0
18-25,Male,Non-Veteran,Germany,53.07313194507023,-101.62001946208,E,D,C,-13.147230766504867,0
26-35,Female,Veteran,Other,-76.49338045535724,25.38989213934314,B,A,E,0.6525645476001894,1
18-25,Male,No,US,159.45725057994161,136.80505972935904,E,B,E,-137.39471074048177,0
26-35,Female,Yes,China,-186.25123728868937,98.3667840313785,D,A,A,-68.99749381554757,1
18-25,Female,Yes,Mexico,-153.8216683985277,1.296460392763322,A,B,B,-68.86983800017268,0
36-50,Male,Veteran,India,-23.706906211199502,28.508930273860006,A,D,E,-101.018214328113,0
26-35,M,No,Germany,365.012919791309,100.76299546776512,E,A,E,-54.08199797031371,0
65+,Non-binary,No,India,-121.34955713528007,61.884146932020855,C,A,C,71.22563815205959,1
18-25,Male,No,Mexico,103.56691117810757,-97.6266753553968,D,D,E,-0.16421763863325167,0
36-50,Non-binary,Veteran,China,-4.913366902847388,-74.73517914480998,A,B,D,-42.88440881336471,0
26-35,Female,Non-Veteran,China,156.11280502435986,4.727910289798105,C,C,E,-127.55106238555788,0
65+,F,No,UK,26.128457164750518,45.95910594052384,A,A,D,-176.1911936169119,1
65+,Non-binary,Yes,US,-146.56582787190032,29.055976989917713,D,A,D,-42.70013333187416,0
18-25,Male,Veteran,India,-76.41354126361173,-93.99153202559351,D,B,C,151.06087428678424,0
26-35,Other,Non-Veteran,Germany,-112.3000829517809,35.865837949398184,D,B,E,-115.14437168178011,0
36-50,Other,Yes,Brazil,19.468523700401043,-101.06341654505728,D,A,B,39.825026415680384,1
65+,M,No,Mexico,101.57065882070779,103.6781025049127,D,E,C,-73.74002467515078,0
65+,Other,Veteran,China,-205.040684061045,62.56002571732721,C,C,B,-43.18626919420662,0
51-65,Male,Yes,Mexico,24.739189926559405,91.15105624127519,E,D,C,79.599769428691,1
51-65,M,No,Germany,85.43037834111344,109.53612105284469,C,D,C,47.69855911842181,1
18-25,Male,No,US,-161.59807716521965,-110.82146879923388,D,A,A,-53.64553521138021,1
36-50,Female,No,Other,92.26237998147722,-45.71850526494741,C,E,A,89.50145499378993,1
18-25,Other,Yes,India,91.24391889323337,-142.04792013508646,A,B,A,-95.49640374956681,1
51-65,Other,Non-Veteran,China,-230.33473403380702,-37.45442072179499,D,D,B,88.24974866196193,1
18-25,Other,Non-Veteran,China,63.31903039970893,124.25432990026675,A,D,A,-4.152749952074949,1
36-50,Female,Yes,China,94.40617665080055,-73.41899945721892,C,A,B,-63.06781280763032,0
65+,Male,Veteran,China,-86.50434867795506,-138.03397342622682,B,A,C,-11.616938035780263,1
18-25,Non-binary,No,Brazil,116.56119790639399,99.48421319229872,B,D,E,114.9540750046514,0
36-50,F,No,Other,0.8222050765432553,86.44562533207719,B,E,C,-23.146961475233525,1
36-50,Female,No,US,-119.32061686514399,-44.31188192962949,C,C,D,-33.37203962226083,0
36-50,M,Veteran,UK,-1.2168648566180005,80.38885839976737,D,A,A,-147.29954366907504,1
65+,Female,Yes,US,45.94668998257552,220.39097233927998,B,B,C,-8.294708456878897,0
51-65,Non-binary,Veteran,Other,61.70502466939131,7.57481837288116,B,A,B,-240.17394037305954,1
26-35,Female,Yes,Brazil,31.569519906742727,-174.33672367045054,D,D,C,-204.81877729175076,1
26-35,M,Non-Veteran,India,-28.239238900240743,-86.76646038482679,D,E,B,0.9360069223942992,1
18-25,F,Non-Veteran,Brazil,-33.96931204654894,39.67642761768363,E,B,E,75.56090405463685,1
18-25,F,Non-Veteran,US,-147.39865387449558,-155.2472371072146,B,C,D,100.80503023096337,0
26-35,Male,Yes,UK,63.84913377112858,-39.92626459877092,E,D,C,142.56348528849165,0
65+,Other,Non-Veteran,China,-31.297966141694584,-1.55569656395664,A,E,D,134.96698643097977,0
51-65,Non-binary,Veteran,Germany,-14.284110110177483,-299.4785694195868,A,C,B,-10.791112875480245,1
36-50,Non-binary,Veteran,Mexico,121.24490866989399,86.36546347494357,C,A,D,42.79229271821316,0
18-25,M,Veteran,Germany,-35.801980887853404,-26.024263070743803,E,D,B,-113.9016193749435,1
36-50,Non-binary,Non-Veteran,UK,-169.3835758853097,-10.618599694153257,A,D,D,16.288048295750162,1
26-35,F,Non-Veteran,Mexico,54.54434086128429,-44.73855316087615,C,B,D,-63.68415370330638,0
26-35,Male,Veteran,India,-45.54391139453414,58.62074525399682,C,D,E,-136.81087729118798,0
36-50,Male,Yes,Other,-49.599455720501645,-60.53890075132574,B,C,D,-10.623400049680672,0
26-35,Other,No,US,161.09431122947348,57.64123489500644,D,D,D,-104.81425479829834,1
51-65,Other,Veteran,Brazil,59.466737086971555,-228.4356128049148,C,A,C,148.25608796793327,1
36-50,M,Veteran,UK,-75.4650765611068,-23.275141498892406,D,E,E,70.22995125079578,1
18-25,Male,No,China,326.6318371703468,10.642578239038167,B,A,D,12.941813033441083,0
36-50,Male,Yes,Brazil,-64.04456814032392,-182.96814599006078,D,A,C,32.07656325839686,1
51-65,F,Yes,UK,-69.86496147790248,1.4312119339435034,A,B,E,-126.01376589560157,1
65+,F,Yes,Other,69.59112583621054,39.0317727191283,E,B,E,61.12276148620528,0
36-50,Female,Yes,Mexico,11.86244727746553,-98.76991471095248,C,D,D,-60.59364254229187,1
18-25,Female,Yes,UK,73.04519477540694,47.430148979036545,C,E,E,-122.26357389263845,0
18-25,Non-binary,No,India,36.90971730469741,-74.77699451501942,D,D,D,-51.817459281414614,1
36-50,Non-binary,Non-Veteran,India,-45.83330432906783,13.968829539779811,C,A,A,151.11544348201477,1
65+,M,Yes,UK,-129.39194015644725,-63.963264575306034,B,B,C,-101.80432048013488,0
36-50,Non-binary,Non-Veteran,UK,-101.39059983664352,83.5961350621609,C,E,D,18.20931727041674,0
26-35,M,No,UK,-52.52982451913601,350.99533963266396,B,D,D,216.94671085821446,0
26-35,Non-binary,Non-Veteran,India,64.76625466428179,-74.92211773486547,D,E,E,63.057706055259565,1
51-65,Non-binary,No,US,-113.90830042214269,-8.60470432844436,D,B,C,22.432550526737327,0
51-65,Other,No,India,49.72307855566174,63.50204137208063,D,B,E,155.25726017668774,0
26-35,Other,Non-Veteran,China,-14.522317837290426,-63.09013427545052,D,A,B,-193.9708249408482,1
26-35,Male,Veteran,China,5.486325597266649,-132.94870913812503,C,C,C,-1.41274397849459,0
18-25,Male,Yes,Other,-189.42239214590919,161.01708015776282,B,A,B,29.036055935681944,1
51-65,Male,No,US,199.97361823075636,-14.691624925913679,A,C,A,200.94390867051618,0
65+,Non-binary,No,UK,-41.04271305147689,-63.51350751854456,D,A,D,-60.03051649827918,1
65+,Male,Non-Veteran,Other,-23.61527704789845,55.72997177304099,A,B,E,-19.466772595498522,1
65+,M,No,US,63.390933010356996,86.24800919470069,B,B,D,-90.39811219442493,1
18-25,F,Veteran,India,-81.27132205969212,-58.87081412203905,A,B,C,202.61264733162218,0
26-35,Non-binary,Non-Veteran,China,-68.83912223074972,-57.55958167343279,A,A,C,170.23207175029728,1
18-25,Male,Veteran,India,-101.97148860915794,-89.85810557423487,C,A,D,-119.20389978445449,0
26-35,Male,No,India,69.88189805555595,-142.82884588703286,B,C,D,28.09954719385968,1
51-65,Non-binary,No,India,-23.06138018998744,-181.59003644882392,C,C,A,28.184008801453942,1
51-65,F,Veteran,Brazil,-178.37854508268825,-29.519371331612977,A,B,C,-142.72168601593478,1
18-25,Other,Veteran,Mexico,95.65377892893004,-31.039709828862584,B,C,A,88.49012696269071,0
36-50,Female,Yes,Mexico,-39.35864643039705,-129.9118926295431,A,D,D,49.45355029549597,0
36-50,F,Yes,Brazil,4.739911614327629,-181.59226278522812,D,D,C,-49.45812006728408,1
51-65,Other,Non-Veteran,Brazil,-34.58918536179571,64.85659660030326,B,C,C,78.47627892381568,1
36-50,Other,Non-Veteran,India,34.62601703071544,-64.38030352604216,D,C,D,11.110793969160747,1
51-65,Female,Non-Veteran,India,79.89772100632861,-113.87763597356857,C,E,C,22.375744712357676,1
51-65,Non-binary,No,India,-163.27960561385714,107.33960532642624,A,E,D,-49.87296486098415,1
65+,Non-binary,Non-Veteran,Germany,-156.5081685110386,165.69839078092758,D,A,B,-36.37968551896332,0
18-25,F,Yes,Germany,153.95116460492665,-39.460339840255116,E,E,B,20.089906331310058,1
51-65,F,Veteran,India,92.5236519626587,4.217563332507003,B,C,B,113.8377559522241,0
26-35,F,Non-Veteran,UK,12.236759107470299,230.0174870393827,E,A,E,-125.49879917515163,0
36-50,F,Veteran,Germany,-261.4234648073994,-78.09887758127282,E,C,C,68.72307801732407,1
18-25,Male,Veteran,China,-148.8196014447806,101.55852665061683,A,A,B,95.65300686324638,0
51-65,F,Veteran,China,15.895006769715032,103.20330582391868,A,D,A,165.95383430719127,1
26-35,Other,Yes,US,-15.757584823743045,6.230077020226735,B,E,B,-52.136999967691914,1
18-25,Non-binary,Yes,Mexico,-3.0544265769522085,58.348637420133834,D,E,E,36.90561964662118,1
36-50,Non-binary,Veteran,China,-160.14241802632117,-89.06229176570302,B,B,E,74.66947706089789,0
65+,Other,Veteran,Other,-12.996164559013746,86.94715129663146,C,C,E,-112.22914695843342,1
36-50,M,Veteran,India,16.072224539815792,-58.09665616818085,B,E,D,-54.30045266578559,0
18-25,Female,Veteran,UK,98.83211862091706,-3.2227057190700714,A,A,A,155.47705446746457,1
51-65,Other,Yes,US,17.60680905411983,45.67587596295092,E,E,B,-30.41809030209983,1
65+,Female,Yes,Other,-36.42274260580202,-63.70089962902766,A,C,D,26.14157468504929,0
36-50,Non-binary,Yes,Other,57.06949039133509,9.433499764446132,A,E,C,142.0536620947673,0
18-25,Female,No,China,-61.936716381782055,-177.30888145614014,D,A,B,108.29379462600014,1
36-50,M,No,UK,64.01740853923785,-85.54310227881572,B,C,B,-12.18269598101951,0
36-50,Non-binary,Yes,Mexico,-129.9131879648982,-269.51596873309205,D,A,E,183.52735941163482,1
26-35,M,No,China,-40.70688440239562,56.74345226028403,C,A,E,-49.10108705486934,1
36-50,Non-binary,Yes,Other,-32.84915866423753,12.960055911548105,C,B,B,-147.5640386989393,0
51-65,Non-binary,Non-Veteran,UK,59.175564094166276,-168.59599122082597,E,A,A,10.098620477430044,0
36-50,Female,Non-Veteran,India,15.750424903586968,171.50213123825725,B,E,A,62.753246884758084,0
51-65,Non-binary,No,Brazil,-30.15583595768933,-74.13271027455146,D,E,E,96.36639195964037,1
26-35,F,Veteran,India,-85.02902440343281,101.58061710774464,A,C,A,61.16726312589028,0
51-65,F,No,Mexico,-112.34436998181103,34.42030423505832,E,A,D,-33.995766850153224,0
18-25,Male,Veteran,Mexico,110.71149481297296,-200.11953185859147,E,C,E,-50.34191740940594,0
51-65,M,Veteran,Germany,69.6000813305169,14.972864095478345,E,E,B,198.02160157075767,0
26-35,Other,Non-Veteran,India,-143.7887966700685,-98.97417468268459,B,E,B,-149.2590943090599,0
65+,Male,Non-Veteran,Germany,-17.57096415330369,-148.43265159471008,A,A,C,-113.9514180964957,0
36-50,Non-binary,No,US,-87.8205421569282,-63.53392070109073,B,A,E,-64.47168475326286,0
18-25,Non-binary,No,Brazil,-157.70162742057514,0.8001849762511343,B,E,D,77.1934077104154,1
51-65,F,Veteran,China,88.67771232630733,130.0588612951199,A,C,B,5.65190530355926,0
26-35,Non-binary,Veteran,Mexico,243.71939219072848,28.69429324081712,A,C,C,25.90030746160203,1
36-50,Non-binary,Veteran,Germany,-27.72964714234094,235.6515287489762,E,C,C,145.61514272597674,0
26-35,Other,Yes,US,-26.924948878811588,177.02355031783264,C,B,E,43.76917763513074,1
26-35,Non-binary,Yes,India,154.62870727998737,10.668395444378282,A,E,D,-152.83897801342957,1
65+,Other,Yes,China,-227.695504111878,-15.68854351133192,D,B,A,-32.02078531762277,0
26-35,Male,Non-Veteran,UK,-12.548220305911242,115.40396127932895,C,C,B,24.29703125448993,0
36-50,M,Veteran,Mexico,-52.69371485619342,173.79715234741252,B,B,D,3.0121519597156072,1
18-25,M,Veteran,Other,52.26591581388745,21.205523992613948,E,E,B,-23.4685629248007,0
26-35,Female,No,India,4.806429100847232,-69.51634261646785,B,B,A,-6.347935832426292,0
51-65,Male,Non-Veteran,China,-211.73904464570188,-2.831293182891827,A,C,A,-99.24353778218496,1
18-25,Non-binary,Veteran,China,94.42406558845553,67.52213602100944,B,B,A,70.46113939295941,0
26-35,Male,No,China,9.497713831335682,-172.09033896155114,B,D,A,95.86909448249665,1
65+,Male,No,Other,-72.71386537389473,-13.369719560609376,C,C,B,-16.958759637170946,0
18-25,F,Veteran,Germany,112.23505640970957,64.81041654564785,A,D,D,-99.07816313101104,1
36-50,M,No,India,-100.8955806574133,41.50374290192465,B,C,D,-78.08510119088136,1
26-35,Non-binary,Veteran,China,195.70595962446885,82.97983453651896,B,A,E,165.3811525603521,0
65+,Other,Yes,Mexico,-95.91300653294769,-120.58310506369058,B,C,E,54.63376025065501,0
36-50,Female,No,Brazil,-25.639955063548747,37.515360658739624,D,D,E,18.331727928303177,0
