Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
China,Non-Veteran,A,E,D,116.69835410810789,131.16504949076344,E,C,A,-81.75924741761804,0
UK,No,E,B,D,52.60235942416494,4.871844678485832,C,D,E,-89.019025757703,0
UK,Non-Veteran,A,C,E,138.50139325311793,-180.11739712966377,E,D,B,133.10281572661225,0
China,Veteran,B,A,B,39.146040841275195,152.75881586219583,D,D,E,29.437184543777594,0
Germany,Veteran,D,C,D,82.17252474881568,-18.559527293254447,D,A,D,-27.088458098403144,1
Brazil,Non-Veteran,C,C,A,-188.67268397537117,61.27431838182061,D,B,E,-53.86897090127144,0
Mexico,No,B,C,B,12.886214769630072,-253.33385034731268,A,C,B,23.34014932448817,1
US,Yes,B,D,A,47.43163175599361,19.908023073678322,B,B,E,-1.343916674104062,0
China,Veteran,C,C,D,197.93827149680877,-148.4681583682643,C,C,E,213.3333137721182,0
US,No,D,C,B,148.6663902064719,36.178336545595506,D,B,B,103.82745073746868,0
China,No,A,D,A,45.55484176394437,59.438494795933515,A,C,D,-20.19994035033382,1
Germany,No,B,A,B,111.17939613824517,-270.3763781316666,E,D,A,-34.94634866870929,0
UK,Non-Veteran,D,A,B,65.6355219188658,22.176867220412873,D,C,C,-52.58879536016509,0
Mexico,Non-Veteran,A,A,D,-3.7848249325127687,27.74904086415313,D,C,C,-63.4965448615614,1
India,Yes,E,D,C,127.63568050712273,25.20948312298158,E,D,C,163.9313210110441,0
Brazil,No,C,A,A,47.32037697805689,-22.033563137642698,B,D,D,-2.7392123347836725,0
India,Non-Veteran,B,D,D,7.884107859000195,-48.97071253540818,D,C,B,150.2527180695005,1
India,Veteran,B,C,C,116.95796101561508,108.43149662194726,B,B,D,90.78638758949602,1
Mexico,No,B,A,C,-131.67347855914434,66.6226555206351,A,C,B,46.9472838152206,1
US,Non-Veteran,B,B,D,-217.7769654365323,-53.02911178764261,E,D,C,96.08581028389465,1
China,Non-Veteran,E,E,D,75.79913205205438,-121.69390946623831,C,C,A,-8.538512955354003,0
UK,Non-Veteran,C,E,B,-131.52850616082634,-41.05460082565268,E,C,C,-84.2933220125397,0
China,No,D,A,C,88.44183782212991,88.73481071770631,A,C,A,-169.83538406468816,0
Mexico,Veteran,B,B,D,-13.107620418240812,-101.57654348169149,A,A,E,42.56735731018391,1
Germany,Veteran,D,C,D,-121.1349290796827,114.87705238564263,B,A,D,-25.862913935153166,1
Mexico,Veteran,C,B,E,-64.61162616728275,43.138597174645646,E,A,C,174.1548562066726,0
UK,Yes,E,C,B,96.61196658870776,19.50584961925943,D,A,C,29.948389164487132,0
China,No,E,E,B,-57.535615758060345,166.29307637640304,E,B,C,-45.4697838453463,1
Brazil,No,C,C,A,-38.57300569475022,-135.8971730418523,D,A,A,49.58362947106628,1
Mexico,Non-Veteran,D,A,D,-2.6472898746044815,40.73470124565171,A,B,A,40.11690018937293,1
Other,Yes,A,A,A,-41.59030019523971,-126.0328892359265,C,A,E,-56.992563019227404,1
UK,Veteran,E,B,E,-32.00224890125033,-11.621821094073844,B,E,C,116.64579082868312,1
Germany,No,B,D,D,39.60190344927765,-107.02341819790713,B,B,A,101.71521633920871,1
Mexico,No,A,C,E,131.40478461972737,-56.93484182082369,B,D,D,-14.758796500864454,0
US,No,B,E,D,-48.82241823641776,122.99436912551268,D,C,D,228.22976622721663,1
UK,Non-Veteran,C,B,D,-210.89678196040157,132.46986788009693,D,A,E,-225.50193135266446,0
India,Yes,B,B,B,-195.84096009491506,61.337925289790405,C,D,C,26.451993893182824,1
Mexico,Non-Veteran,D,C,E,-5.593259584937877,103.59944601671106,A,E,C,129.22813641276576,0
Brazil,No,D,C,D,141.8858969538707,113.85728500811494,D,A,B,21.19129011181047,0
China,Non-Veteran,D,B,D,37.85508409563821,34.79296244740109,B,E,E,14.88817196249885,1
US,Yes,A,B,A,38.97581519498384,-23.48185669664666,E,A,B,-51.63728595118112,0
Other,No,D,A,E,-107.3648447686489,52.45214762176366,E,C,D,-156.64576934715072,1
Germany,Non-Veteran,B,E,A,144.6627411596408,74.48087195464839,C,C,D,179.51873238344908,0
Mexico,No,D,E,E,-132.21164183779925,-76.28952637597466,D,B,D,-82.91129890518569,1
Germany,Veteran,C,A,A,-56.67809240741168,-44.00056722507765,E,A,A,78.69808393019063,0
US,Non-Veteran,B,E,A,197.3401007385293,117.15419257735378,C,D,D,-31.838836440012212,0
India,No,E,A,D,-66.14535455920586,-42.94865137824721,E,D,C,-150.08917499265607,0
Other,Veteran,B,C,A,171.36183721148424,-28.32811328249429,D,C,A,-64.26375309501123,1
Germany,No,B,D,A,-107.67409623794195,192.38654362081903,E,E,E,13.925198661584579,1
China,Non-Veteran,B,B,B,7.602968262120763,-185.12736758241482,B,A,D,-76.63180396537057,1
US,Veteran,E,A,C,160.34360950706383,-74.75228063441416,B,D,B,49.89055856756223,0
Germany,Yes,A,D,D,-33.30363029800978,41.19095858361164,C,C,E,104.05318359949204,1
Other,Non-Veteran,D,A,C,101.7115048292052,-9.686162592320262,A,C,D,101.16237600998,0
Germany,Non-Veteran,A,B,A,-160.8009521531417,23.85111325579448,B,C,B,-81.55695329172342,1
Other,No,A,B,B,98.93117352202488,-62.030189253201094,C,B,C,-12.888626378639929,0
Other,No,A,B,C,-72.18400450384374,-115.75988361147881,C,E,A,70.71871502373568,0
Germany,Non-Veteran,E,E,D,126.33648749776172,112.50478624759963,D,D,C,-7.492824073521201,0
Other,No,E,D,C,-151.21703268002148,45.91486281110069,B,B,E,-90.1466125756741,0
US,No,C,C,C,147.6028000619143,-30.00107558528031,B,B,D,-26.55004906468236,0
Other,Yes,C,C,C,-39.02004520931685,90.83089088039401,A,C,E,48.58280004070073,0
Germany,Non-Veteran,E,B,B,14.40537977647548,81.3372292947957,C,D,D,-34.77883156460598,1
UK,Yes,B,E,C,-107.72122072188898,57.85198148364215,B,B,C,161.96605500758162,1
UK,Non-Veteran,D,C,B,-95.04809895815876,160.10201591929928,C,E,D,61.153339231695256,0
Germany,Yes,C,D,E,66.23836516686809,125.33926178963894,E,A,D,95.56599671677131,1
India,Veteran,E,E,C,0.19060417580990233,44.6789730836656,E,D,D,100.23063999039483,0
Other,Veteran,B,A,D,166.8235262068065,-59.289365305771334,D,A,D,114.14205074091603,1
India,Non-Veteran,E,C,E,0.9463869038837617,170.3468141165415,A,B,A,-66.33389222288065,0
India,Veteran,A,E,D,56.655150960151346,32.19258910540999,B,A,D,115.86173794369319,0
China,No,E,B,D,134.16260443534708,10.627609610018887,C,D,B,-95.62861023534144,1
Mexico,Yes,E,B,B,-27.119877944165697,-50.43170063398868,B,B,D,41.20147565111616,0
Mexico,Non-Veteran,B,C,E,26.96939874843416,-76.7559938408355,E,A,E,104.15953653341239,0
Brazil,Non-Veteran,B,E,E,-6.858384313019589,-129.3175081600267,C,B,A,2.464796655508047,1
India,Non-Veteran,C,C,C,6.990817471891514,6.520474626438859,C,E,B,-78.06722272168967,0
US,Veteran,C,C,C,-100.08443047689319,-82.58058871329145,D,E,A,30.58224658568318,0
Other,Veteran,B,A,A,-95.41488555469991,-57.38214134144235,B,B,A,-103.86029004174806,1
China,No,D,C,C,-43.54517035556415,-33.497248988552684,B,E,C,80.43782228484022,1
China,Yes,C,C,A,-50.25334383733324,-87.67363779284054,D,D,E,19.576984986280237,0
India,Non-Veteran,D,E,A,17.454633131931462,-72.75283767429703,B,E,A,-18.49965763471862,1
Mexico,Non-Veteran,E,B,E,109.15446050285486,-175.0545030387369,C,E,E,24.125228176316007,0
India,Veteran,E,B,C,-156.27601482832245,28.824990322853594,D,E,A,-3.8779447960183298,0
India,Veteran,D,A,A,146.08450548703712,26.155534024618387,C,E,D,-208.38305514064325,0
Brazil,Veteran,D,D,C,44.239810629260134,-19.351843495531313,B,A,B,7.280170254748684,0
Other,Veteran,A,B,D,-12.561924835519045,55.58661409169265,A,C,B,19.952444477854392,0
Other,Yes,D,D,A,-154.037901884654,106.34931226224131,D,C,B,-40.609861372747424,1
Germany,No,B,A,A,-72.68897960204016,76.4735272409859,D,A,B,167.6865304510059,1
Germany,Veteran,D,C,D,-156.16936402300058,-175.72358914075716,D,C,D,-29.746505392172946,0
Other,No,C,A,D,-130.64944911192967,68.84323835828522,B,C,A,141.46587507921944,0
Brazil,No,C,C,D,-79.36729283939064,-14.086091226566635,C,A,A,-116.44418403358539,0
India,Yes,E,A,D,66.65807003996831,-75.39531563985699,C,E,A,39.762374221311994,0
Germany,Yes,E,E,A,40.569829220159626,75.64206841425826,E,E,B,-47.03989425207933,0
UK,Veteran,B,C,A,52.755318854921626,-147.89535489965834,A,E,C,27.86414470809785,0
India,Non-Veteran,A,C,A,202.89336022927654,-94.94440001972082,A,E,D,-72.41417700855295,0
Brazil,Yes,D,D,E,84.88920170664777,-22.089368488266945,D,E,E,51.928799940215306,1
China,Non-Veteran,D,B,B,-93.25115177782509,-6.567138343954124,B,D,B,135.96060260635468,1
China,Veteran,B,E,B,3.2833651538210455,17.639556484033275,E,A,E,122.36679919579676,1
US,Veteran,E,D,E,-60.94316949456554,136.1924493375894,A,B,B,-48.80682963217984,1
US,No,E,D,E,114.78441972624984,7.212733596795888,E,D,C,-69.64669755968674,1
India,Yes,B,D,A,-126.45717771987958,6.806055520956053,C,C,D,-233.75005478112723,1
Germany,Yes,D,B,D,54.631939827860066,-86.60979491719183,B,E,B,-52.926339203896475,0
India,Non-Veteran,E,D,B,7.865783047669531,240.50115012073752,E,C,A,171.25689041326288,1
Other,No,D,C,D,55.72058526617214,-183.74406427478252,C,D,C,-107.395084058898,0
Other,Non-Veteran,A,D,E,19.69162645994346,-67.08416852875115,E,E,B,-71.50197257728973,0
India,Veteran,B,C,E,-112.31050679591526,75.57815113426358,B,D,B,-194.54711661545738,0
Other,Veteran,E,E,D,-76.08169586799967,-5.172291024910609,A,B,E,-98.15797755926936,0
US,Veteran,E,A,A,22.88091557230129,8.58008351480375,A,B,A,-10.903381714450301,1
Mexico,No,B,D,C,-44.3595630060513,129.42957847909804,E,E,E,84.87969476541772,1
UK,Non-Veteran,A,D,B,170.73887958893823,-76.51959383259694,D,D,D,102.43438233204148,0
Brazil,Yes,E,A,E,-96.08684822382656,34.504346331959994,C,E,D,50.20718353232041,1
Other,No,B,E,E,128.25131706123906,195.96417592451326,D,E,D,28.484513435115687,0
Other,Non-Veteran,D,E,C,148.0888724397543,-43.23286559522427,D,A,E,-77.12582898117965,1
UK,Non-Veteran,E,A,A,56.54207378222525,21.547758236819387,A,E,E,-75.74670094047998,1
China,Yes,E,D,B,10.95732099312779,60.2662496239077,D,C,A,-20.398059517356128,0
Mexico,No,C,D,D,49.72045854426908,-55.456282104582414,D,D,B,57.97203408551713,1
China,Yes,D,B,C,-188.10122967382785,67.17957951574817,D,A,B,144.42832899126685,1
Other,Non-Veteran,A,B,E,163.24516793309874,-83.29325945160899,A,A,C,60.66948149948514,0
Germany,Veteran,A,A,D,37.828966566427404,14.81958405470798,D,C,A,-65.2650954395971,1
US,Non-Veteran,C,E,B,-104.37649402286033,184.6304677106915,A,D,B,32.47268567420375,0
Brazil,No,C,B,C,135.1793729891985,-190.40957798211323,A,B,D,135.34918388119823,1
Brazil,Yes,E,C,C,66.02759899223528,66.49609689768499,A,D,D,123.15089899497767,0
Brazil,Yes,D,E,E,-100.73430211980165,14.365028243334205,A,C,B,1.564178900606792,1
Germany,Yes,A,A,A,-93.38053810264086,-78.21931785191427,D,E,B,-26.183841647335303,0
India,Yes,A,B,C,57.81450053317584,169.85624629442663,B,D,D,-263.6085954880342,1
Brazil,No,D,E,B,77.17730247088632,73.63584628303269,B,A,A,264.7416624819611,1
US,Yes,D,D,B,-141.3933963635295,-102.87406364259814,B,D,B,-85.19978222003702,0
Brazil,Veteran,B,E,A,-0.7325986871468646,68.77531173474573,C,A,A,12.10348069339416,0
UK,Non-Veteran,A,C,E,116.9712903037212,-229.52579069007518,A,D,C,-13.055374549653909,1
Mexico,Veteran,C,B,E,-147.65097074700765,127.71093321375126,B,B,D,109.51942865949825,0
US,No,A,B,D,-61.91009892907443,-155.3797659113933,B,B,A,39.5630978628983,0
Mexico,Non-Veteran,D,E,A,114.6084780693412,-176.02977851518895,E,A,E,119.37657323333634,1
India,Veteran,B,D,E,212.2964614714132,-10.775526180076424,C,D,D,45.23327843682768,0
Germany,No,C,E,A,116.46153518119185,-30.249186778520503,E,A,D,108.35652774972921,1
India,Non-Veteran,E,A,C,-203.98604695264265,-55.99035621113413,E,E,B,46.52134077678188,1
Germany,No,C,E,D,49.250713898212254,67.61595877485021,C,D,C,87.37231912077083,0
Mexico,No,D,D,A,-5.560213818985462,26.158272771921304,C,B,D,-19.191080114598414,1
Other,No,A,A,D,-7.336227816429417,-10.875076494671045,D,C,D,-29.45195122183782,0
Brazil,Veteran,A,B,C,-47.720886602926896,49.29762271830209,D,D,D,-38.08536233974944,0
Germany,Non-Veteran,A,B,D,-87.58039958607762,-162.4090215981421,E,A,A,30.64823849821159,0
Other,Yes,C,A,C,135.30602664096904,85.63715483324724,B,A,D,109.2744869326105,1
India,Non-Veteran,E,C,D,84.17662557934237,108.86831615679672,D,A,E,136.07659040760817,0
India,No,A,C,A,2.944302424259127,105.86652940492385,D,B,C,-159.1653964160121,1
Other,Non-Veteran,C,B,B,-0.5555020233360977,59.846437597950775,B,A,E,-42.70066534878049,1
US,Non-Veteran,E,E,C,25.59238144973392,-14.767887283706463,E,B,D,104.6605890312789,0
India,Veteran,E,D,C,104.86707781240622,72.85092690392231,E,A,D,-40.75170693927698,0
India,No,C,B,D,-171.97892517544992,3.361893615350852,D,E,B,-40.93116970575188,0
China,No,B,D,E,-4.1681763335951505,90.41604196093242,A,B,A,107.26397024996271,1
US,No,A,E,A,-39.71181445508832,174.2162356635241,C,B,B,-45.15740270567867,1
Other,Yes,B,C,E,-5.288097241280758,77.16441503898118,E,D,B,-69.11557004790026,1
China,Yes,E,E,E,-64.27336888223519,102.96700755903491,B,C,E,-90.9588309846583,0
Other,Non-Veteran,C,E,E,75.49262433411832,-80.55486511226019,D,C,E,-81.69564926305681,0
Brazil,Non-Veteran,C,C,D,-45.9645499367746,131.97270092477095,E,B,E,-87.64812716401038,1
India,Veteran,D,B,A,-22.880423805014544,-31.988208646417416,C,E,A,61.26032760682835,1
China,Yes,B,E,C,-68.70393260804605,-101.28545251005023,C,B,A,-80.97770941295775,0
Brazil,No,B,B,E,-70.64112425573872,134.3944417952823,D,D,A,-88.97891384238704,1
US,No,C,E,E,-34.6846061819465,-60.11725891499916,B,E,A,-0.5243233608912281,1
Mexico,Veteran,C,D,E,-41.81407157132949,-67.42073912810524,E,C,D,-55.94526196208462,0
Other,Yes,A,B,B,-105.09216214191264,112.47937419828939,A,B,B,-66.17380416033043,0
Mexico,Yes,C,C,C,-54.86171878668621,21.690258889377155,C,D,C,84.02652301203368,0
Mexico,Non-Veteran,D,D,E,-42.84219030667154,111.7654806486564,E,E,A,122.57387636310118,0
Germany,No,E,A,E,-108.21656222272016,-111.53709134665668,E,A,C,86.9313627723117,0
China,No,E,A,A,-40.2950271798887,-69.66307197868065,C,A,A,-127.37427451278411,1
China,Yes,D,B,E,78.83846613951823,120.47675449769298,A,B,E,57.78829223431199,1
US,Yes,B,E,E,-15.73615282164683,-35.89939557291366,E,B,D,-60.994623764613046,0
Other,Yes,D,A,B,108.1017893748114,-163.43503389754963,D,B,A,67.47358949633127,0
Mexico,Veteran,B,E,C,-154.14092429011376,-27.842655799219294,E,B,B,-107.01704045350071,0
India,Yes,E,D,D,-30.65716877585942,19.217991886689585,D,C,C,-85.492813931953,1
China,Veteran,A,C,B,-87.54636119670452,-148.77884573669803,E,E,B,-18.379990822497504,0
US,Yes,C,B,D,34.31139014856929,-72.29864114848222,B,B,A,98.42198129034753,1
Mexico,Yes,A,B,A,103.27031570381394,-16.924898313452083,B,A,B,-78.1636752280449,1
India,Yes,A,B,E,-85.5494262098823,-35.89975183280073,D,D,D,-10.975476856418267,1
Other,No,E,D,C,-6.678841853793857,-13.71256610929532,D,D,B,35.52089587687337,0
Mexico,Yes,E,B,C,6.598445595763823,15.19788050818303,A,D,D,-1.4496124365129044,0
Brazil,Veteran,B,E,A,-54.23842395229421,76.35503177611398,E,A,D,-11.305427606682485,0
UK,No,A,A,A,-24.20735503076039,-38.77104245824322,C,E,B,-6.57401993065191,1
Germany,Yes,B,E,A,-6.598814432960533,81.9621942019778,A,A,B,59.80997782724607,0
US,Non-Veteran,B,A,D,-163.8213466988515,-17.315759602412943,B,D,D,-57.15685658428801,1
US,No,E,C,C,-34.02760269239917,99.86608568104752,B,C,B,19.06312368347306,0
UK,Veteran,A,B,A,-47.57355661557081,-13.969668915610397,B,C,E,25.59391137122121,0
India,No,B,C,B,-62.14216045485409,-84.66900979245816,D,E,E,-84.50085901023886,1
Mexico,No,C,D,A,189.2663137977443,4.982622387241325,D,A,E,129.11186863371813,0
Germany,Veteran,A,C,A,-68.26940681296637,-85.96656730328927,E,E,D,133.39679009720643,0
Mexico,No,D,A,C,23.50266785031292,-133.3813081865709,C,C,B,175.1694551430625,1
US,Veteran,A,E,B,-62.330146591079185,111.73763670331746,B,B,B,-240.5562363660904,0
China,No,B,A,A,-3.862877471111385,27.092986408163505,D,B,B,-178.49230812172956,1
India,Veteran,A,E,A,93.49861474683267,-65.64537715402918,C,B,D,80.73018578252011,0
China,Yes,D,D,D,116.86835642753796,151.0479111287652,C,B,C,-0.4736422956029804,0
Germany,Yes,C,A,B,61.62806073916436,121.32519778260986,D,A,C,63.8606709594988,1
US,Non-Veteran,A,E,D,62.46226146749675,12.930250348328268,A,C,B,-112.34040825364112,0
China,Veteran,A,C,B,-34.514492327742815,115.84490411672634,A,C,E,83.33619050420802,0
India,Yes,B,B,E,77.20356165075205,-122.91637166099649,B,D,A,114.86753867681927,1
China,Veteran,C,B,A,102.08609339085308,-105.68417150445435,D,C,A,-99.5519536438073,0
Germany,Non-Veteran,D,C,C,1.7040368812373186,80.02833597609634,E,E,E,-12.81404356352337,0
UK,No,A,C,E,67.13174235861112,218.3630297252059,A,D,D,-36.75699820107229,0
Other,Yes,E,C,B,39.20785728661774,-67.46873932501508,E,D,A,246.16082320461788,1
India,Yes,D,E,C,-42.24886312617138,-101.98148130518918,A,A,A,-125.6249444096939,1
China,No,E,E,B,123.8707486673607,60.02453489988858,B,A,B,75.51332639597041,0
UK,Non-Veteran,A,A,A,7.039151824135921,34.393260657489066,D,E,B,-192.77466952643826,1
India,Veteran,B,D,A,-29.73727745869289,-72.2933972685999,E,C,E,147.6641924703595,1
Germany,No,B,C,C,20.763245041947336,69.00879389208905,A,A,A,31.872248923477535,0
Mexico,Non-Veteran,B,B,C,-163.54094946378112,29.56881931300647,E,B,B,-217.10008560219273,1
Other,No,D,B,B,-75.41323280567288,94.98525901277694,B,C,A,-65.25324064710598,0
US,Non-Veteran,D,A,E,22.525600439082123,24.00293323074963,D,E,C,-40.48737885918094,0
Germany,Veteran,B,D,B,-69.64676412545865,-62.65545883001704,D,B,A,20.46937950177839,1
Brazil,Veteran,C,C,B,39.82619943039114,59.92540363578283,E,C,A,54.00485269668606,0
Brazil,No,B,D,D,-31.069481713358854,62.42227786151242,A,A,A,-220.1640087525539,0
Brazil,Non-Veteran,A,C,C,-79.27091591011171,97.01415175239947,B,C,E,-37.00428905435149,0
UK,No,B,A,C,-5.2775244557968986,45.03718772614587,C,D,E,-0.4059045079370786,1
UK,Veteran,C,A,B,7.380011644320324,-25.41001437412776,D,A,A,42.38303804339484,0
UK,No,B,D,B,-85.42065010586177,170.87705762037032,A,E,E,56.4187116578866,1
China,Veteran,A,D,E,53.05191493433382,-136.83010664133593,B,E,B,-90.14930008589327,0
China,No,C,E,E,26.29774915525349,15.041766516016345,D,A,D,12.670294461095988,0
US,Non-Veteran,C,E,E,17.606209132065096,31.460903976214897,D,A,E,-15.533017336486795,0
Mexico,Veteran,B,D,C,1.7493470958662931,-27.76661694420674,A,B,A,-103.62326352800065,1
Mexico,Non-Veteran,D,E,D,-87.35558765499079,117.69992736316699,B,D,A,1.992350054914195,1
Brazil,No,D,E,A,11.837301971958665,-22.59308959247508,C,C,C,-23.731507699672473,0
US,Veteran,C,C,A,-6.8621518471293825,116.81194860119169,B,C,C,-52.786650069243116,1
UK,Non-Veteran,B,E,E,152.62335492379808,-31.41991754657734,C,E,A,30.763667388858433,0
China,Non-Veteran,B,D,B,-52.65356021972255,-154.08243758813603,D,B,E,-133.6383574879299,0
Other,No,A,A,E,-13.832329271769565,102.97428796065884,B,B,B,90.88841865631497,1
China,No,B,C,A,-8.801387254914035,103.4925522352489,E,A,E,-78.58373530551994,0
Brazil,Veteran,C,E,D,55.50831703881555,-48.124670353201225,A,D,B,-121.45374212084374,1
China,Veteran,D,B,E,96.39198035955062,-39.37202214957265,B,D,A,23.055859236075428,1
Other,Veteran,D,E,C,-263.62716118180407,-5.181705494964409,C,D,E,-63.85469940102079,0
US,Veteran,D,B,C,71.2523825636723,-13.067138719645,A,D,D,-69.17664873325242,1
Brazil,No,C,A,C,217.9721627596008,-51.598639840601294,E,E,C,-8.159745011274829,0
Brazil,Yes,E,E,A,-112.99658075818122,-53.197108070721775,A,E,D,84.90366657394492,0
Other,Yes,E,C,B,113.61128598456669,8.978773535573769,B,D,C,-104.3819783914184,1
UK,No,E,B,E,-101.87078791376103,122.80077198216586,E,B,E,-126.7666811858113,1
Mexico,Veteran,A,C,B,148.19755256998153,189.81208295784538,D,C,B,-5.172241759625528,0
US,Yes,C,A,A,-51.34232139015782,146.0072705623504,B,B,C,-37.19093065987643,0
China,Veteran,C,E,D,-51.665914436125796,96.18814007842681,C,C,A,-141.73689846754834,0
China,Veteran,E,B,B,37.646341193108896,45.55774057188933,A,D,D,-290.2103876608959,1
India,No,B,A,B,69.40526391469893,73.73453172389752,E,C,E,-12.849077267584086,0
China,Veteran,E,A,A,195.70140850636267,-96.15544599270795,A,A,C,-79.9062634675947,1
Mexico,Veteran,D,C,A,-26.563383185243307,30.856156611227135,D,B,E,21.364646698982494,1
India,No,E,B,D,167.85534437187354,-114.13296350373523,C,A,C,-84.94958644145699,1
UK,Yes,D,A,D,-56.68560398162402,170.61788721863846,B,E,D,-27.537391516480692,1
Brazil,Non-Veteran,E,C,B,-132.60970512005102,-46.3572943544257,B,C,D,-78.17760710307384,0
China,No,A,D,E,-164.47866188016548,-49.620411344642775,C,D,A,177.98288601419338,0
UK,Non-Veteran,C,C,D,259.86321641111334,24.19038653518901,A,B,B,128.44377326246433,1
Brazil,Veteran,B,E,B,-152.91247437858004,-16.59708681438914,C,C,C,176.90061064503016,0
Other,Veteran,A,C,C,56.49513689147201,61.569905522460054,D,D,C,41.870387809394025,1
India,Yes,E,A,E,-104.85259833689742,-144.9998052329084,A,B,A,-77.91299998353875,1
Brazil,Yes,E,E,E,21.864600404229865,-61.89163327138787,D,C,A,-139.77551322661844,0
UK,Veteran,E,E,D,-163.81528412543028,-157.5372069851617,B,C,C,38.2545455830978,0
Brazil,No,E,E,C,29.648449853365122,-140.86454191521966,E,B,A,32.53731977167293,0
Germany,No,A,D,D,19.09973489671471,-36.44858327670304,E,E,C,305.77976288729155,1
India,Yes,D,E,A,-4.364355744289928,-169.51215153963457,E,C,B,-216.93152453469958,0
Mexico,Yes,B,E,C,-178.54408733152155,145.8071667990791,C,C,B,55.47676520749232,0
Brazil,Non-Veteran,B,C,D,-78.93788261268887,21.20676069814963,A,E,B,47.149229811771235,0
Germany,Non-Veteran,D,E,C,-42.83960410958593,11.932700630187762,E,A,A,-60.69235445769279,0
US,No,C,A,A,-96.02686340368443,-84.09310269518171,E,D,C,74.04105662518992,0
China,Veteran,E,B,E,-89.05739301583296,115.21118178084843,E,C,E,38.35347325398237,0
Other,Veteran,E,E,B,-95.21989146134311,-120.1612087871816,E,A,C,182.09065935382594,1
US,Veteran,D,B,C,61.14369711772664,131.98588423795476,A,E,C,120.59165789394548,0
Mexico,Veteran,D,E,E,137.55677312569412,-92.45847910619564,D,C,D,56.33481708710466,0
Germany,Yes,A,E,D,-39.994145959074416,-262.6164616704251,D,A,B,-88.26453710854581,0
US,Veteran,D,D,A,-134.80360744541278,103.05293021930343,D,D,E,-152.30095515030715,0
UK,Veteran,D,C,D,120.90398252793241,-33.79320555212224,B,A,E,11.369235952831774,0
Mexico,No,C,E,A,-34.00505968363107,131.9992136738537,B,D,D,10.773704108734014,0
Other,Veteran,E,E,A,-113.77209555731554,-119.36924663331068,B,C,E,-57.65653420536464,1
India,Yes,B,C,B,-94.5197954109468,111.22666253723692,D,E,B,-35.94114669536086,0
Brazil,Non-Veteran,A,A,E,311.44998804090795,120.67822151266039,C,B,D,241.48083036864506,1
China,Yes,B,B,D,-73.02012593956529,-124.50127390662426,E,C,D,191.21192458612614,0
US,Non-Veteran,B,D,E,141.1964876184774,-77.28047333000957,E,C,A,27.817186779528235,0
China,No,E,E,C,79.28788844863368,19.46707319664687,E,B,E,95.67498752856251,0
China,No,B,E,B,77.67177984961612,-42.131247756015064,D,C,E,-56.95188773671362,1
