age_range,country,Race,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
65+,Mexico,Asian,28,C,86.39370894225837,E,E,B,211.32998828740548,30.721386187609333,D,-18.310059275521503,B,-15.179203018754578,0
65+,Germany,African American,91,E,37.74995300382004,A,B,E,184.84138899664623,228.98382883191948,B,117.72289064355354,D,144.25563082879495,0
18-25,Mexico,Hispanic,51,A,-46.49117817843789,B,D,A,158.95808207751978,-118.63407766219527,C,39.81581651526884,C,-68.34404982691407,0
36-50,Other,White,23,E,36.44646297296956,D,C,B,-30.576683400806225,73.08782466756469,B,9.044807956420874,C,13.946466145292499,1
51-65,India,Black,36,E,46.28109341502427,A,D,D,-231.84669123890473,83.18980968524718,A,-56.28653581701055,D,-17.391631859362274,1
18-25,US,Other,97,D,-1.252774645894555,A,A,D,0.17004329030182153,-29.643376380780843,C,31.385230312347073,C,223.11106755054576,1
18-25,Other,Other,42,C,-74.21376853797742,B,D,D,112.3616326175054,92.76990009234575,E,175.41162566106544,A,-152.04827184967527,0
65+,Other,African American,74,E,64.37201418476054,C,B,C,-37.39795925043435,14.368498040965157,B,11.288951232103935,A,-42.86969959863956,0
18-25,India,Black,78,D,46.457951362224755,C,A,D,69.47474993161268,52.046464902934844,B,54.9636892612036,A,-142.98134786147628,0
51-65,Other,Other,71,A,-74.63176245439023,A,A,C,-33.975036833555215,24.762796330913275,E,133.6684769117554,A,32.28112605303499,0
51-65,Mexico,White,85,D,33.6198168492099,C,B,C,113.39528709978022,-3.1029931483685025,C,37.22806793146595,C,-29.02391003259041,1
51-65,US,Black,89,E,30.961399187650045,E,E,A,-102.78936591570591,-48.87799308115064,B,-10.321875132062706,C,-79.63063752130702,1
36-50,UK,Asian,21,D,-34.66632144784993,E,D,E,-316.0136855785144,-67.93794441704915,A,86.93173798876661,B,-150.26087698190915,1
26-35,Germany,Other,99,B,-5.892874098592311,E,E,E,48.815497314481284,31.006706061636535,E,-68.09562969358663,E,11.005719018292092,0
65+,US,African American,53,D,-157.56161980251036,C,B,B,-133.98491400800123,-108.00951466493301,C,85.44915004060525,E,16.785445332619737,0
51-65,India,African American,28,E,30.929164106285235,A,D,C,70.50714226285723,-39.71298678395959,C,2.393955791251446,A,-51.07155440503418,1
51-65,US,Other,26,D,-39.35581988529698,D,E,B,56.38251235572071,-5.2511874545526,C,4.033131204072888,E,-175.21741317432256,1
18-25,Germany,Black,34,E,151.84693159821634,E,A,B,-8.992519223808246,17.765129409800245,A,62.93856587423272,C,77.81961064940286,1
36-50,India,Hispanic,21,A,33.89656569054315,D,B,E,-37.50485688779116,-25.860887547466305,E,45.05114095210004,D,93.34944745502007,0
65+,Other,Hispanic,62,E,-62.80948447380212,B,C,D,-90.36249275341804,53.82543760046675,A,69.30727220179973,B,-111.05362364871208,1
36-50,Mexico,Asian,50,E,55.22523338209503,B,D,E,36.408207403245235,-32.04550317810906,C,11.460855551109843,C,188.94370953434708,0
18-25,China,Hispanic,36,D,-119.619389985936,B,C,E,-28.219823130487455,83.5194139950909,B,55.01139180654765,D,23.542205529830543,0
26-35,UK,Other,81,E,126.39175533427247,B,D,B,-87.512165090312,18.870766937242497,A,-45.43664414611833,D,-33.7514007964675,0
18-25,China,Asian,61,B,-105.26490666808748,C,C,D,23.40993623723913,14.032169530015407,C,-51.67890586860422,A,-6.434052638024114,0
18-25,Other,Black,22,C,52.785792405483065,E,A,D,-3.713126751529952,222.42149222697,E,57.877639329314626,A,40.14633607443635,1
51-65,India,Black,52,D,1.5061834058484074,B,D,C,21.278735561706082,120.2853567349881,E,7.30652068832693,A,25.307431009953856,1
51-65,Brazil,Asian,22,E,-30.885907941149927,C,B,C,1.777386004592871,68.49473523490445,B,-97.97366842074086,D,48.49629216801828,1
65+,Mexico,Hispanic,88,E,138.34044972747174,D,D,E,70.57815340751749,96.22226302932589,C,11.19141868889987,E,-17.215806808052054,1
36-50,UK,Asian,93,B,34.396870280959455,A,B,B,-138.32528898819706,86.48371927683827,E,78.98692831229145,A,79.3403702441639,1
18-25,US,Hispanic,19,E,9.120122929088941,A,C,C,-91.93058339983976,-10.396059368348071,E,-19.920776275466224,C,65.79615398292836,0
65+,India,Black,27,E,194.47221461338654,C,C,A,-20.257890315199433,0.5294647659529971,C,-4.770014746065645,D,45.40184350707294,1
26-35,Brazil,Hispanic,80,B,-94.48873505125508,C,B,C,-60.70398546733927,37.48967448308056,E,-94.46237932369984,B,-22.042059366325095,1
65+,Germany,White,44,C,147.55117005056397,A,E,A,164.09076510293636,123.8200278302084,B,9.64708524695544,D,33.181180540404945,0
18-25,UK,Asian,21,A,17.995087840933703,B,C,B,-46.38291162576307,-151.50913548996564,E,23.211484591963266,A,-74.73603292006476,0
18-25,US,Other,39,E,-94.92053655911381,A,B,B,-31.79329789075457,-19.174389231142673,E,-71.73775106462557,A,57.06585281442792,0
51-65,Brazil,Other,59,E,76.97707478746334,D,A,A,-200.95091697477434,-180.8283029744402,C,-135.95921170430393,E,115.34522495361182,0
65+,UK,Other,51,D,-102.02746401261054,A,B,C,-27.88001945967326,5.570644143360533,B,-50.033563075215994,A,13.188728174789727,1
26-35,US,Hispanic,70,D,96.56159482506101,D,B,B,167.18912430800714,-207.60233027975684,A,105.46348527329434,A,50.70310031580362,0
26-35,Germany,Asian,90,A,81.4634983694991,C,B,D,50.110253369535144,-86.41928134209341,D,22.64220531188146,C,12.940041559525756,1
65+,Brazil,Asian,78,A,186.78703522450044,A,D,A,-10.666195540671582,-149.19176770900904,E,-139.61363549050563,E,2.8038843117719434,0
26-35,Mexico,Hispanic,32,A,-317.91210463119353,A,C,E,7.808632084040436,131.49996374415474,A,-102.74980775682039,A,112.954073267923,1
26-35,China,Black,57,C,80.07801217670642,C,C,B,-268.6420471696992,40.27732150210507,C,-42.04618404201611,B,-200.06943966891177,0
18-25,Germany,Black,20,D,40.667185722931336,D,C,C,-129.33624389711932,73.13071999675424,A,104.32104800346525,D,139.7078386996028,1
65+,China,White,24,A,78.62075289622781,B,D,A,-34.90233523012287,-101.05475656498548,E,-45.863614000200535,D,63.0339887999107,1
18-25,India,Other,67,A,84.60852329581432,A,E,E,-31.72136495565742,-10.433236609216024,E,158.1088146946854,B,-100.91388453230637,0
65+,India,Hispanic,51,A,-6.810259969983351,E,A,C,51.63087003661582,-10.882429369515108,D,0.9980386031569396,D,-13.309902930945078,0
36-50,India,White,30,B,48.0191883036739,E,D,E,83.15674747485221,183.6633288247734,A,-4.698382184861769,C,29.71392870894733,1
36-50,India,African American,54,E,54.61999103959545,B,A,B,86.23975488109879,5.427436027023049,A,46.513493956133715,D,-43.11975236808777,1
51-65,Other,Other,20,D,-115.89086536727307,D,D,E,148.6120998440405,-8.453966552081106,D,27.293369358491486,D,-54.48958434155272,0
18-25,Brazil,Asian,80,C,49.4760478263115,C,C,E,81.17327881793244,-49.00623647106879,E,37.31716884290994,D,186.3069606976433,0
26-35,Germany,Hispanic,96,A,-110.8448717413024,B,E,D,-224.55466439127946,19.460988979367063,E,-60.05514317416218,D,-39.086943381280996,0
51-65,Other,African American,59,B,13.344841900658167,A,D,E,-115.70972968494392,21.83993738227548,A,-218.13537832828152,A,-64.56219550756498,1
26-35,China,White,42,A,-56.65490807123208,B,B,E,57.8686708367988,-166.82237884525918,D,240.31625388855375,E,100.15720092245604,0
51-65,US,Hispanic,56,E,107.9688041938905,B,E,D,98.18306211663932,91.25714203696982,C,-125.59075288021909,B,146.92599044135727,0
26-35,Other,Asian,39,B,1.323650281066329,A,C,D,59.19515953575646,-146.04500510024965,C,-67.75790412796974,D,-133.30291917996925,1
26-35,UK,Other,84,B,-171.89527412528236,E,B,D,153.0815877171277,-33.11334224089171,D,116.15212497201605,B,81.30626862938577,1
51-65,Brazil,African American,18,C,68.61739327772874,D,A,C,-78.74742887628513,-114.98953340842402,E,90.22174610775349,A,-5.391473533324328,1
51-65,Germany,Black,27,A,77.10864622905832,D,A,B,-11.343275848689267,123.94958483186502,E,143.6492764210716,D,100.40198467413634,1
65+,UK,White,63,A,-1.45304383795903,B,A,A,-64.74859139050287,169.38260951503273,A,77.18583420039108,D,-87.56251999093152,0
65+,UK,Hispanic,88,D,156.452205752749,E,D,A,-79.46283131634718,-31.85437821556485,D,24.65108363315705,E,74.4729516252727,1
26-35,Brazil,African American,44,E,-126.20109773804104,E,E,E,-130.2999436753428,-153.668282430112,C,112.43241340181902,D,-36.492826537851876,0
18-25,Other,Asian,64,D,41.002806042407805,A,E,C,134.61040412468927,160.91826480065444,D,169.08749288125045,E,-161.3065393851863,1
18-25,Brazil,Asian,89,A,-160.3330673919006,D,E,E,-107.03849832526235,135.07456894149306,C,-71.51279704595322,B,-4.823028222327613,1
65+,US,Other,46,B,-50.891910529812534,B,C,B,-50.311562319079506,-121.7995681244941,C,-185.83994427569016,B,162.8318964203135,1
26-35,Other,African American,57,E,-53.11079715969239,E,D,D,-98.62794575366486,-64.57659919760667,E,-48.641527791447935,E,50.363518397526775,1
65+,Mexico,Black,78,E,-0.8914045410763047,D,D,B,-48.41083081110351,60.33002429173814,B,118.99003553629947,B,98.42434025236636,1
36-50,Mexico,Other,54,E,-8.039544271874126,D,D,B,-11.810522751380645,-206.47743922345407,D,32.46402545113982,C,-18.254393470190948,0
18-25,Mexico,Asian,88,A,56.611145398112114,C,E,B,-101.13615826547606,-180.4909120959372,C,102.15740052475131,D,8.552589881871073,1
26-35,US,Other,31,A,-0.784054871877949,D,B,B,25.762364669327226,-49.50942401765353,C,46.59597983665459,E,4.921730513534758,1
26-35,Germany,Other,33,A,14.838766260700867,E,A,E,6.343655154989435,-71.6117862706616,C,-35.710591903129746,B,-35.27035090890839,1
51-65,Germany,Asian,35,D,-75.27686265887495,C,A,B,199.00303224846007,130.3666860195255,A,-6.383459572761903,C,-127.42557918837221,0
65+,UK,Black,73,B,-116.20177994834988,E,A,A,-36.16904981670414,-156.78362847225412,C,132.070726704641,C,56.13488379596614,0
18-25,Other,Other,22,C,-24.373553427890844,D,C,D,4.020833161847761,192.50446487061706,E,-58.48556161953643,B,1.0402175288406474,0
26-35,China,African American,36,D,-88.9799014532679,C,E,A,28.03178178284523,39.22109898418531,E,-169.28464323520055,E,6.740721518569445,1
18-25,Germany,Other,90,E,104.11788967803999,B,A,E,102.4445559776999,109.20051246803988,E,-122.52771717428676,C,61.515208731777136,0
51-65,China,White,76,C,-206.5696266298499,A,C,D,-19.33703742959621,-59.24337221644069,E,-127.27446655023175,A,279.26938521747905,0
18-25,China,African American,98,D,-61.07302299442644,C,E,E,-85.04362770523586,-99.55173888222863,B,-68.74775772810148,D,-15.374479180566233,1
51-65,Germany,African American,32,C,-29.69779527562675,D,D,A,-18.240239970590252,112.27901891454957,A,-40.14372838521848,B,-189.46584849280202,1
51-65,India,Hispanic,36,C,54.94458348386597,E,E,E,-184.86323379311926,75.66619785661833,B,50.50387433644226,C,-140.2204462928739,0
51-65,Brazil,White,25,B,40.57556563932352,C,B,D,65.64411203206656,22.69505310633037,C,2.6918935474550687,B,-62.49443826476016,0
51-65,UK,Hispanic,78,E,-47.89270207317167,B,C,B,49.824072957448145,28.14679891484811,B,3.419866531952003,A,-89.55450944866455,0
51-65,Brazil,White,60,C,34.56802397622306,D,C,D,-41.27040157249125,84.9631972200673,A,-17.8602000562436,C,-65.06305666901154,0
51-65,China,Other,52,C,138.00230340754698,B,B,D,90.02542016283792,6.897929952667963,A,-49.03009170506897,E,190.2838348375449,1
36-50,UK,African American,70,E,184.21869752108918,D,B,D,-3.877362913940749,21.98506562603248,D,109.31921775858346,C,-158.35015742880114,1
65+,UK,White,20,C,91.29535150991944,E,C,D,-30.798731152116982,126.39617332034818,D,117.69089416964977,D,83.20191284861842,1
36-50,Germany,Other,95,A,89.25292601732296,A,E,C,-77.41064720655592,58.37900752244776,A,-135.35883224111237,D,-9.363521479181228,1
26-35,Other,African American,95,A,71.55343520662775,C,E,B,51.06183866873943,-218.7787741587337,A,-144.19594145731003,D,-2.0512078743191537,1
18-25,UK,White,72,A,-71.29628304180797,E,C,C,-69.32789340269731,-10.60143989169508,D,-63.91438415867966,A,-67.16470406419273,1
18-25,Germany,Other,76,E,124.78062852516736,B,A,A,72.20498885597436,-129.0340854713825,B,132.7172937361268,E,75.04123791816221,1
51-65,UK,White,33,C,-22.277184792411315,E,D,D,44.03031985300897,104.22290420775691,B,49.07610678704909,E,-298.24425470880055,0
51-65,Germany,African American,64,E,-132.82888216883478,B,A,B,-62.379256904391724,-54.92438909073222,D,-13.721639332845923,B,-143.05626186344304,0
65+,Germany,Asian,45,E,-126.20373873545847,E,B,B,13.734202664470544,67.49179987257543,D,25.739228469795883,B,55.47834214366918,1
51-65,China,Asian,78,D,113.22164016226404,C,A,D,86.12504320720471,-18.85775251193878,B,246.44823386563974,E,-10.16648453976171,0
51-65,Brazil,African American,94,E,-106.02406644628905,E,E,B,134.41986618739747,-10.151794698739142,A,-149.5132850657578,E,-214.48941485895006,0
36-50,China,African American,55,E,-156.21773537261225,B,E,B,90.17051878734314,3.718457207139794,E,33.573784124228666,A,77.60507364587914,1
51-65,India,Black,48,C,-7.18262739280003,D,E,D,100.81781443890674,-41.382762455552104,C,56.918527969759644,A,-30.453799716838816,0
65+,US,White,74,D,71.53788622579602,D,C,D,63.278805618995314,99.84891212867659,D,78.77890322676045,C,29.62828942738226,1
26-35,UK,African American,69,D,36.08316437349715,E,C,C,-176.84441187950267,-20.390516129036495,B,59.5953550228673,B,15.872634410954348,1
26-35,US,Asian,87,C,33.95376348341703,E,C,B,-277.9921314767586,66.92147714388315,C,-12.818530709695564,C,13.122692227488614,1
36-50,Mexico,White,85,E,-134.15263440239477,A,D,A,-33.83829379460994,-16.64975704025197,C,81.78191707703655,C,-49.69910754381259,1
65+,Germany,White,22,C,-12.555753999916977,D,B,B,31.07631020356844,64.3817483030737,E,26.70170980801118,B,-64.01034168088195,1
65+,India,African American,44,B,-182.30112835927,D,D,B,-76.88035244249353,14.5003740920332,E,14.46563233771833,E,-51.16054523195752,0
36-50,US,Other,73,E,-17.65706390470345,A,D,B,123.6295023473217,-120.13417071157649,B,-159.69929885221003,E,70.65792711050555,1
65+,UK,African American,49,C,-0.6904013861994457,C,D,E,-106.73505138663037,91.04071267664736,A,134.43169693564306,C,69.42505703155116,1
51-65,India,Asian,80,B,-55.17868810219798,E,E,E,20.325166133379728,-115.60023074727957,C,-27.15924115840072,A,4.453618210202696,0
36-50,China,African American,88,B,9.967414244646758,D,B,B,49.6728747858138,-100.61426127777304,E,-115.07890448495206,A,-22.89493241408022,1
65+,Germany,Other,31,E,129.7367022846366,E,E,B,-185.6780888429412,16.653875504646592,C,-137.67438355991376,B,-124.4322090378954,0
18-25,Brazil,African American,84,D,-155.94059121213135,B,B,B,56.2263476812807,-0.25456832501631005,B,-38.290940106438,E,26.91958739131576,0
36-50,Brazil,Asian,57,C,46.676886395305324,A,B,D,17.88141507687053,-180.11185125066157,A,53.5800855186913,D,101.26008088504508,0
51-65,China,Asian,26,D,72.69627003297222,E,C,A,-136.89248708024607,-31.232090482878572,C,-143.92192335606745,E,-124.91935499105857,0
51-65,UK,Hispanic,32,E,154.06751305446585,B,E,A,102.88560791293608,94.34815479561787,B,-28.819903210479637,E,182.62315218985924,0
26-35,Other,Black,99,C,41.30704022023909,E,B,E,75.54885327256264,-41.7424523010625,D,143.96826867480698,C,-22.918055990167236,1
51-65,US,Black,72,B,-187.79866858483075,C,D,A,-78.61350852611902,-139.9568503991429,A,3.105638474975345,A,99.53782692472424,0
51-65,UK,Other,69,C,20.720929048228346,C,E,C,-131.9885397491245,70.37611936259019,D,143.42891835388883,B,-2.854552240039876,0
36-50,Germany,White,50,A,-18.819789447298458,B,B,B,28.03645217280116,83.89695126966755,B,5.106882555343995,E,-24.63132191531331,1
36-50,China,African American,86,B,104.26394948004354,C,D,B,53.33934158182203,145.88690383961585,B,121.78626269337482,B,91.89277655175279,0
65+,China,Hispanic,94,C,88.6577103837784,B,B,C,-55.783914275907364,88.74617566986929,A,20.35307834398006,A,-57.6716629121676,0
51-65,US,Asian,94,A,154.9936349221077,B,A,A,-161.5396355274942,-130.01201789504722,E,176.22443324130614,D,-96.99270424518554,0
26-35,Germany,Black,91,D,10.837656631147459,E,D,C,-151.70730487546157,-123.44663352914263,C,18.441300572883616,A,81.57656356517833,1
51-65,China,African American,57,A,-71.02964618441061,A,A,C,-86.3405334444031,40.74518047484168,E,-116.3897009393648,D,42.5304126581801,1
65+,Germany,Asian,30,B,-77.70274933463367,C,A,C,35.4508586231452,118.24854062221888,E,-49.42538239467491,B,85.62345577306631,0
18-25,India,White,22,B,-98.00125146598442,D,B,A,87.02362336848152,-94.11162440839553,D,19.50886891552866,D,-47.13275774056955,1
51-65,Mexico,White,35,E,-64.2006709474943,A,C,A,150.21122206603658,167.96508322983928,A,-118.39669184933565,B,27.447099688017573,0
18-25,Germany,Hispanic,43,E,-21.74392155460752,B,E,B,-50.73351349488656,108.67366074549707,B,-34.00575659236632,A,-111.42009855664409,0
36-50,Mexico,Black,96,A,26.67902001421325,C,D,C,57.13252488103273,117.56176184618849,B,-113.55090430487674,B,120.06052539812715,0
51-65,UK,Asian,66,C,69.80723071759026,A,C,E,-63.043768513303064,124.20272232474399,A,-136.40767966565986,E,-20.92881347913382,1
51-65,UK,African American,95,E,-83.6391565371086,A,B,C,104.77105719874453,-315.2301934420183,A,55.81113067188491,C,-63.98347920966449,0
36-50,US,Black,65,C,99.36713894433227,A,A,D,21.59158014115318,-122.24969429029076,C,-88.65682407602596,C,64.13828175751829,0
51-65,Brazil,Hispanic,40,C,62.108186639911736,C,D,E,-159.03695749277352,-106.16369045375103,E,-42.34433125249385,C,-63.04900325384376,0
65+,China,White,93,E,-36.364765660868954,D,E,C,-42.433187623434435,-45.93791827788946,B,39.0350430973625,D,29.191602984080866,1
26-35,Germany,Black,85,C,113.35067947377775,B,B,B,66.34918203719067,65.77852373716354,D,60.24955540689084,E,125.9701160486291,1
36-50,Other,Other,66,D,-130.37098041394307,E,B,C,51.52486580336261,129.94675893892412,D,-83.18040900562644,B,-6.951928490028466,0
51-65,China,Black,56,D,93.82892422109515,B,E,D,-195.85119062097272,54.07869602864225,C,200.9942831256099,E,-101.33756325185956,0
26-35,India,Asian,83,D,79.1275599284296,C,B,E,-216.84260805631666,-121.88939930498815,E,50.25533849387009,A,-63.75248901790454,0
51-65,Other,Black,86,C,-138.50911345988834,A,B,E,-68.36691222449348,-34.783572845993575,E,-65.53563223089522,B,9.736224716688358,0
51-65,Brazil,White,81,A,11.962741392641679,B,A,C,92.98643492990351,-144.4078433720375,B,-101.99143282178393,D,34.848083173678845,1
18-25,Brazil,White,26,A,22.268923369633793,E,D,B,29.308088302255538,32.07278672336011,A,-56.110313454762675,A,-39.39842337341453,0
51-65,India,African American,77,A,94.67397324029122,C,B,C,-25.87557001767451,-73.53925260979885,C,-1.016184020469394,D,-144.36454311500273,0
36-50,US,Black,64,E,-66.80995655629307,A,A,E,-118.64229979103345,48.406747062890055,E,-19.939154140052516,C,-38.94502742313365,0
18-25,Mexico,African American,93,C,102.28379282468137,D,D,C,52.58368739763192,-21.46541423891311,D,-17.85688465474094,C,79.88213599987493,1
18-25,Other,Other,65,D,-16.57500719070512,D,E,B,-3.1537260298739036,-99.42389258449317,C,122.81354038216297,E,-49.33153902028998,1
