age_range,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
26-35,No,86.84589038188113,96.16408030966979,2.245239170679286,-158.508990958345,181.36662781015653,E,C,-87.05245987690363,28.55802707093014,A,-27.17749849845985,54.85357496006552,22.756011479279938,21.04081958056063,51.187242853879575,117.99821683436875,C,A,-59.90982950293308,0
36-50,Non-Veteran,-57.347339317367016,-47.69114321127184,-150.5247310254028,85.28522573288528,-30.40578043125367,A,C,18.223863436578807,-250.8911530323093,A,215.899335705679,40.63548333264891,-113.33699424252468,143.21844156012745,51.14545845813583,18.482556526830347,A,B,-16.468802716351462,1
36-50,No,110.18637739462281,-61.02543299659396,-23.539717206314872,68.31945361668204,146.51428232553187,B,E,-18.713625609426572,-66.10851485600384,E,-89.66567124341526,62.425096540231365,-33.39151144995745,20.871846622425092,-129.55049752130049,-2.5743580562397144,C,E,-140.595942611249,0
26-35,No,-85.19064248057792,-10.70732316381837,-11.573173803109173,-14.906439361171397,77.86030386488223,B,C,129.0425543280018,24.98107202944282,B,-149.18567111609877,-28.525164132430337,70.14169914306733,-266.59683429536165,-66.56619461659463,-12.735122570400446,C,A,51.19246573492426,1
26-35,Non-Veteran,34.33353219561668,-131.6896050206657,65.66319708950755,68.5055863265943,-14.51699347280256,B,D,-96.610768822932,-265.79925337038645,A,-34.16567665447322,20.32796213416648,-13.727735238072214,9.279328094617746,-28.328183099935917,-63.41329449471728,A,D,-89.13706369675464,0
65+,No,142.75792332149913,47.43816473366287,-89.6141575817073,93.90253185002462,-12.963012312086406,D,A,82.2430833987838,-45.31857348692125,C,73.06152842585918,41.11884701414079,-108.2209852703944,-4.392128636095796,21.010202151847622,-192.0514165897623,B,E,132.3646000719233,1
18-25,Non-Veteran,22.48143699266371,16.650817518315662,-76.90794665009545,150.38713522724956,-98.45100015051372,E,E,0.575037314127585,94.45951790968256,E,-81.20801386495882,102.1698652287949,-108.01542787358753,-147.57165824176747,-13.568376876186253,4.996990064550749,D,D,92.69007727289544,0
26-35,No,40.56423933579547,83.45349789837596,71.49211628579985,-103.28611951028812,169.0451491097485,A,A,-10.081242325657607,-155.3305321425074,B,-75.55409139935982,-81.75979276991552,15.975267752984784,187.49324824909422,-154.28875336398,-143.60101665193105,B,A,38.235050018378416,0
65+,Veteran,3.961353271801213,-2.084397786096078,23.293906571452553,-172.3100619335752,104.4128623535103,A,D,242.6246567677068,81.709967396205,B,38.97365137127909,154.16188637476122,-142.96039161722916,-267.0768817559076,-50.764889635322575,-12.276099634222192,C,E,-184.61325738052642,1
65+,No,-48.463071060891664,-4.534625452486157,67.27756808322114,66.39723819349665,-104.57440393883375,D,E,16.408698401212636,-38.9714040560849,B,140.49644517349185,-33.336515966985466,0.7077898691526535,-61.673052875832745,-48.84560019535829,-44.54161214123578,C,C,-66.65349700379579,1
18-25,Veteran,37.986796623128704,132.7992717907257,2.867573054201488,-36.49891425737455,-113.87372223044319,E,B,-0.5859590143266699,25.554867038560047,A,86.54817815275467,138.71086080764366,-81.47684198733994,-71.64606141034497,-80.99147923668599,238.72126423956422,D,C,145.87059307554142,0
18-25,Veteran,88.10548597599008,-25.46252204134756,13.0813144010919,38.16484801309924,106.35206077994927,A,A,-33.82396540112446,185.3412736061114,E,-37.36727802414623,-12.596179585140252,145.24224069175708,-181.76993060649878,-177.21947357275582,-65.90688892004192,A,E,-3.59655554920138,1
36-50,Yes,-28.83240793810204,58.40082352193876,-64.4823261009665,-123.4319179229277,272.03723250991436,A,B,-162.03245679392742,-157.2001203994873,C,-64.41302277753151,81.68152548815088,34.301412577909794,163.81993034709922,73.12465674845761,-33.77029043398086,A,C,23.321149365145303,1
18-25,Non-Veteran,221.848334569501,27.3053325835409,203.37222113246898,125.0598966752615,-2.531301783510672,A,E,-61.188417252381235,136.21355386287402,A,-176.0908577968953,48.31799354668404,69.31820847970648,-27.45689478438596,3.881198333364372,1.5992556964389264,E,E,99.27177369438861,1
36-50,Yes,-51.69575413794717,128.50480453036545,0.15347498347084315,37.2195466774402,-75.17576354898392,E,B,-6.58785067228793,191.2100872028308,B,68.47474608280369,-35.85774276877369,-53.181918931813414,62.71730297263536,16.752242757741815,48.64137872779089,E,C,137.75184314516994,1
51-65,Yes,-154.7989087930868,33.30092661890268,52.127968641218594,109.49995535923105,-89.75379842639157,B,E,-33.123424225086204,127.65902036810091,E,311.0894990713485,114.97557251680281,-14.736088647403262,-92.41276724814816,-216.2271328029885,-84.41883094143255,A,E,148.88923071478663,1
65+,No,38.182820259449045,-83.18249774108178,146.3503697259859,-95.2590810963845,11.346215242929098,E,B,45.7406859693814,43.482717034587395,A,-184.61551062779992,-53.22188738588211,146.91499990028422,-72.58509340011045,119.64800131567598,-32.99429291871023,D,C,90.84910108854925,0
51-65,No,-140.28843845803138,71.50385153704786,-122.25316448280184,2.2991448424295364,35.92460265398006,E,D,-163.40400505624154,-63.114075385439605,B,206.51699727412378,-13.294668321150798,-3.935216682936736,143.24577080567678,25.671005873697634,36.929543232004775,B,D,20.337542046369506,1
65+,Veteran,-146.05248229923353,75.72995902016378,49.559044925633714,113.4346138754127,10.51301430123292,E,E,-13.113210832044148,38.79517412216133,A,79.91551091404716,0.7084122969533747,118.36639534621041,35.10664947723639,-117.26403723147494,29.41169889191995,E,D,189.79122345591733,1
65+,Yes,5.227827213145632,74.5788872061179,36.582820621867704,40.7925820909098,22.609519448792923,A,B,57.190255637010004,193.18909154061868,A,106.19988351794507,96.67869776931686,-127.83283253519177,-45.207318535166884,-3.283028020017546,152.1331538960405,E,A,-125.25103571975318,0
36-50,Non-Veteran,-136.9459817740975,-78.67934874469088,66.55565856780574,92.43441423056855,95.79922899804274,C,A,-207.74173973935618,14.853809848290703,D,-100.53754590722556,-12.640013871896464,37.45621300281587,85.69427911415559,-54.60898965394328,20.069177479407564,D,C,32.96847980185546,1
65+,Veteran,-194.25411390014196,-145.83205362347675,-17.623286072284124,-153.63384145267187,23.826664506711865,B,C,91.17331347397236,-173.21169086604843,C,21.25126588704984,38.62140159967678,-0.09838708763756361,-134.13923175625462,-65.80066447442647,-7.0932867489716624,C,B,41.16874451611764,1
26-35,Veteran,-153.84741716022333,19.187379841302953,123.15977730904561,-38.26912162340565,48.85737593981381,A,B,-237.2349491388774,-96.45022183486925,A,129.58045055420808,23.624572432989932,30.97747625412103,10.773031305418185,145.65652557499232,-22.486528083534804,A,C,-51.274726147217855,0
65+,No,-58.46052192840266,-157.72124031213556,-81.94710249132673,137.40544924899706,-117.90395307306679,C,D,-101.24566036656239,40.331221434371436,E,16.288866935758925,-58.32081676875562,-136.2579597182483,-58.12424070358833,-86.93686199549342,138.0126465580902,B,D,6.258076178693625,1
65+,No,-80.76267073046716,231.40711118197422,-21.713394800191306,-161.26430072138288,26.768030272290588,A,D,31.265927576185547,163.95781759209478,E,27.925267324649855,67.12914587212109,71.42361448049529,-33.06366391831945,-64.60298260351881,15.105653236895789,D,B,-90.00703348981015,0
26-35,Non-Veteran,-143.80842117913804,-60.16557937539106,-46.99404106690062,-126.32283338985395,-176.378154011768,B,C,165.48605184464049,-6.182829981748622,C,-132.40757073620188,37.182354115229565,139.529033108129,-66.78329651580637,-111.04246421633917,-152.46295505191202,C,A,6.486157330566794,1
65+,No,-102.48933206995198,-273.7306182229075,178.42579028565163,98.56246116659148,-91.80305734286625,C,C,73.86005940687623,-180.75409500273722,A,32.45950053160488,106.52423537887992,82.2030907329653,-72.60209078673283,16.27647583448445,223.3179434652626,A,C,112.21879882364134,1
36-50,Non-Veteran,-16.85244346387207,-71.22105631699712,-72.86898043107249,21.165060900217618,98.5100799333003,A,C,-30.521531881774326,92.76935085825843,A,-165.7888406627631,65.88849401692609,-334.4836180006767,-177.16429317890234,115.2342954509599,81.14406079107428,C,E,-16.53108471253814,0
18-25,Non-Veteran,52.04718884585978,-250.83749008218058,7.262289133907925,-34.94103573202011,-0.16031266768641436,A,B,-5.76542536708356,48.49898044600086,E,-125.41679260762916,-36.073274898588465,-83.79222822774247,81.03211181265667,-44.55857381708896,105.53527433433342,D,D,-68.24772674224526,1
65+,Non-Veteran,82.99268893032831,-38.85102175413252,-15.684309321648241,39.810978630353254,-102.22093570234712,C,A,-78.19454130173935,-9.996533714894012,E,42.82650224254041,149.13656728396424,-12.601474002981039,-21.97973905050849,106.88347291077744,47.16133786390744,E,C,-162.65308864116147,1
51-65,Veteran,112.27477463006443,-91.9751899934379,115.72432368161802,45.77983115909618,-127.07300979830049,E,C,74.7399553417729,-46.39422719611142,D,97.12017959815266,-3.059058991641186,44.57185107845729,-59.1056639043231,108.44034235458133,11.532783728906821,A,A,-65.62546572982625,1
51-65,Veteran,42.702959931779084,-14.358498321914972,117.65620741562603,-31.629396984819135,147.83128100426245,A,B,-50.17869105553855,-48.22681004484327,A,-49.747556586202904,58.22072969453438,-35.19831321806344,45.89475035564075,245.9017794030105,-58.59296330334364,A,A,104.17079446014937,1
26-35,Veteran,-16.929815745427916,56.65506256251113,-78.18454654670488,-23.245527208694877,-91.39138833215407,B,D,26.84619912115332,-77.99227795312432,D,27.80653488758244,104.68470797396404,85.48044328419971,-136.69897535961098,58.063765162309856,11.216541247159299,B,C,112.86465299444386,0
18-25,Yes,26.691627784525267,13.31383211889241,-31.79516067875922,-28.706220838421466,78.8295178916446,B,A,59.07067142603848,78.88804533658774,A,21.47575814168375,15.398331805931381,86.64963115355057,5.823652192993686,-4.785812666676162,68.18551606631145,D,C,-71.75291002289022,0
18-25,Veteran,-211.55362003411193,117.19517454385529,-97.20270841415832,-49.469510325300284,-120.545949909338,E,E,-141.90602435454704,-106.09304053226471,D,-110.50452824809764,-128.7933286111857,-53.08073155053914,90.6759372801906,-204.40406210503593,65.22607162247944,B,A,41.35363336473639,0
51-65,Veteran,-155.33273393829472,-4.298485884224502,-117.33462812104167,31.611185844086926,-11.255038176455512,A,D,-270.0965739668108,34.16316108989971,E,108.30221695231805,-85.96704833009288,-35.85891579678122,12.508833879555109,110.38495742267503,-16.397230591376925,D,A,14.307667530450752,1
65+,Veteran,28.829796478005704,104.19475468250748,34.55517983874582,182.13244154007714,152.94674745908284,A,E,-193.07787108619675,115.92272392711945,D,47.52527934790954,23.15387567500277,-45.8068495136288,48.60779823669819,-75.2365101377158,29.069911286841087,A,B,141.51209540177948,1
51-65,No,151.9001341684336,-62.54087455066386,14.128949081356373,-97.81185569650891,-78.07312742062378,E,A,-85.2198774649197,-21.816910030898093,A,-59.09827429788801,-18.06717549082765,-112.19811933368784,-48.1598748398213,-229.34351660664518,36.31245207393117,D,E,-66.7538629599071,0
51-65,Yes,82.97374121339462,102.26190828907302,-19.237645085466056,-5.27805117182411,-45.439663292943266,C,D,9.877885937540379,88.46257268476741,A,-185.69071135785168,-55.069288030979976,3.594484744603739,-27.85320697483235,82.32131331078048,84.4136955344118,B,C,30.629781958613123,1
36-50,Veteran,163.21671031285817,47.94741918761667,-111.80751855196529,-152.9076297688271,-129.45040074685653,A,E,109.06584816612958,-45.39419861375275,A,12.569429822212431,-35.33573928371757,230.52399890467927,87.02046639770776,44.142761403663364,-121.1739478172257,A,C,-19.875742126199963,0
36-50,Veteran,-33.59647751820094,-141.0220403662351,-191.62629540443444,157.8753416821787,177.01713945636328,C,A,-25.979676865339236,-32.93086167247702,A,-52.55979910821211,107.7799342306317,-29.913917350434723,-93.39391522965845,-26.86439226908292,20.00996941771277,C,A,-31.325210819789888,0
26-35,Yes,-14.61926023417205,15.02028651695548,97.7402718238171,77.11677055641401,-13.980895337596886,A,E,-181.06454653313563,-15.229614344331715,E,-150.36408742643624,-46.421542577411444,-116.88037317154848,57.71075383131347,-100.73549144421877,2.3103007661518,C,E,-96.89555280095959,0
26-35,No,-84.07213560126596,84.66627714756284,68.00615587565349,-45.130284701367465,142.0858850051392,B,B,47.40924143285905,31.925269736972474,D,-99.00172342944039,-133.25945483348906,-55.30032114349962,-38.6679062243393,95.04911055404773,98.41612766326645,A,B,-176.9664247687614,1
18-25,Non-Veteran,125.23774884560086,55.84396056080128,120.22852056327736,2.312801466049549,87.47296667929038,B,D,-121.34742952920857,-75.65027882356695,E,-67.45868289712487,-168.93587424748608,-22.32112908656463,-7.033420168388993,69.96629597710296,76.93969024564086,E,D,-57.43860539051519,1
36-50,Yes,14.873303209936637,198.11932135066382,-40.557851565043876,49.178042539317154,-32.70395608308647,D,B,5.616617214137953,78.97025751652531,B,40.04903167946094,-117.34045949799423,-92.91777890231712,-40.978169769558576,67.26286781557657,-93.08086719417507,E,C,140.88326513407515,1
51-65,Yes,52.066333169340616,-39.424214193954164,28.88020730082551,-84.43700439619701,119.79159857531256,C,C,101.33337242736343,119.66688299175019,A,-149.39473562351137,33.932731087401336,56.49133036380567,-114.52009375883567,-26.37105500108545,173.7255243600599,B,E,29.51246835365674,1
51-65,Yes,94.87501440493416,-99.31652007687642,-305.73028762853573,32.84535599958543,31.491402592208818,B,D,196.89844126651647,111.08750070568635,E,43.30852045251347,24.512581685968506,28.197908319092708,-16.887717287686606,49.36506294313233,52.70643137936932,B,C,79.87782679651141,1
51-65,Veteran,174.35968797553335,-116.07334517514458,135.45971148866172,45.11126357221137,52.383168124495384,B,D,-55.86811766948397,-10.52953281616524,E,12.983919414638093,-42.975416173985806,80.98220446892645,254.4840439419473,-2.4204201711122146,17.975145339400964,D,A,-104.0453723131341,1
36-50,Veteran,55.14442994628247,-52.4626719952477,40.47754986438097,-12.176851724377471,185.62248161614866,A,B,3.6243915528516815,46.52044923437712,A,212.61412133672448,-78.57491913740625,-21.580746349332582,28.591900310581526,34.309543206363784,37.35309507140786,C,A,-88.78935955438465,1
65+,Yes,-26.99600925495091,-126.3038347099837,-33.41756569969358,-38.666623833641275,53.561906747131296,D,D,200.04875670913677,-32.04153957795444,D,-38.66377833785101,-28.880473103509818,-57.809374341197525,-13.8332642599723,50.47989835777058,58.13088030480057,C,A,153.82059749934612,1
51-65,No,-44.289098404909346,-185.11080909381525,72.44161750407305,-2.1641906658998336,-3.512261476058698,E,E,-108.65465826886842,17.4074020591545,C,-35.22672510651688,-11.20544052698717,182.92586400558557,14.655857884039381,45.29800678363714,42.15141938722722,E,D,-204.48720652290086,0
26-35,Veteran,-189.02306072922786,96.05843070015834,-39.524678049928475,105.9412278690495,14.157007669626134,D,D,130.03380249364307,17.451825422969325,E,-21.553359272392925,40.1422250278882,-14.063426796746983,45.89907054286579,199.60063362671866,-18.35474544330377,D,C,35.90665767773338,1
18-25,Yes,-106.13255772853253,14.508316604814079,-14.204518324021025,-65.9634799449904,-49.240276401467604,D,D,63.11484752970663,-134.51031364701467,A,145.14053735718895,77.35196143421189,82.1467348810271,180.16113832319533,-89.58383463633832,186.2035665252528,C,C,-75.85328298753804,0
18-25,Non-Veteran,-114.90289473384563,98.34058542052897,95.0727484762042,-3.365963551233231,78.8550476176325,E,E,-218.03654612906632,159.970836964419,E,83.72318467018292,-77.07480854553347,105.88240838143813,176.6051331446732,81.69459294883923,1.8815292482002435,D,B,55.569406730538226,1
51-65,Yes,37.23845440562288,77.9918512978062,139.00137384033445,-87.71386133333678,234.36665236092176,A,A,-37.952423669866356,54.35440876436131,B,-28.44874629019103,-72.91578926394895,180.0124745976137,104.62487858062855,-227.29297521421393,79.3503706901275,A,B,-5.7598087571271686,1
65+,Veteran,136.30680478843837,-170.29168368413494,-15.51607627262194,-50.5832952160997,-97.80514244844852,B,A,45.12795115049432,-10.69662766523501,D,-114.75013924701518,20.430263882655087,-126.09741169143413,100.28612066970561,29.756475986369395,-161.08070817891138,C,C,-37.47953960532338,0
26-35,Yes,163.60129916246837,-9.048542919526183,-40.88174273013207,-1.8511005398182911,40.17765785870587,E,C,-113.7131804002777,-88.28291522626559,A,52.34022232623975,87.56416934729789,49.908259935644324,-13.458161436172395,-28.66119451252282,48.19757880710077,D,D,20.1735874699236,0
26-35,Yes,164.96740555088118,-129.74864582484435,-0.955429232378681,-170.23636884197256,-57.054620296029356,D,A,-66.10958348151512,-21.71838098313634,B,-127.17551976417423,16.72255946962398,74.84143808292764,-44.90546852056339,-2.750756965438611,33.07543642717441,E,E,82.47603143092633,0
65+,Veteran,-44.69689066115516,-119.59130676180258,15.290474741013412,28.923400059471486,-183.66378574607867,C,C,-1.973436472541246,-128.85857970592005,E,54.515407167248455,-24.505141979458006,122.49395202552067,8.918054714748903,-9.546222200220344,95.00528747609691,B,E,-62.190393980650626,1
51-65,Non-Veteran,-0.7829779882284887,51.77398820674553,39.625723068759605,36.878240590269066,-123.05753960943832,A,D,104.151154776716,-75.55024930638444,E,86.66929245625458,67.83524238500289,36.35956925226623,-150.51322963792913,-39.18978547046836,58.242881438016816,D,D,-59.55012697034844,1
18-25,No,-145.31791492980275,91.09041552370432,-37.45135884100549,32.79428493567709,-9.147073633195713,A,C,10.706202100350277,-49.47459922766712,C,-31.809784955975328,-68.98025797341035,-78.85933017858345,-63.92651738968278,237.5483620765476,-12.357175726168872,D,C,-77.09101011787303,1
51-65,Yes,9.891903060446195,-146.2691230858215,-88.0811184531879,-97.8138279057812,102.78963779051908,D,C,-118.92081662173062,-56.56403413037504,D,-47.61957396204391,66.96658465042397,95.31873436896709,81.04338770063731,-31.12537341988896,-29.23037821853663,E,D,-5.976882633117685,0
36-50,Non-Veteran,31.686675068410768,8.41215623958204,24.472838221863896,-63.99118066117908,48.65286917535106,E,C,77.0846916130826,267.1024908091785,B,-113.55308751868793,82.08749020249131,153.79938962801094,-91.41681310550779,-149.2268336708323,-127.91790481767158,C,E,59.57794969900534,1
65+,Veteran,-114.8886129850182,296.0290583813171,-108.00510074050852,-27.92562444222722,-84.2776761094783,C,D,-19.354678132087948,-51.781410409016345,D,112.30579046309954,60.04035915915341,17.76028903572981,16.497561688486346,150.39043624649455,185.57793100750496,A,E,-84.87297686143107,0
36-50,Non-Veteran,-53.52150271110999,-106.10162311775562,99.13046435953629,127.47966036390233,42.04438605746796,B,B,188.97477722797467,-117.95646438901169,D,-92.49131567000052,146.2183807854944,37.77705544124633,50.3671330087118,40.99900831014195,-29.50971951910919,C,C,161.78144656219786,1
65+,Veteran,-89.80842749423176,-20.928809117229203,21.16494511043957,-24.414867532421127,-230.3562307814194,D,C,123.74486748264862,106.78186406885801,B,29.532545414947332,-79.87476452205554,99.54581550748877,54.43623829810043,30.204966688806284,-29.471127702660127,D,B,-4.587443352228466,0
65+,Yes,-161.6951404936783,101.0973221821754,-21.112273213852554,-146.12462364875864,188.23832295599914,B,A,-179.46240897576934,81.17158752998871,B,76.90337152945804,-68.03679217871684,36.47569308992506,90.93495311872718,-37.97184271459693,5.071434882659087,D,C,-48.04865503431948,1
36-50,Non-Veteran,-162.30504923073448,-135.69869872072692,17.114826619930927,62.95179404900085,-174.2317566351704,D,A,-47.11710551609911,-116.11331615610396,A,0.7363257619331467,32.446712488447616,-188.07357609793516,100.58415764795872,-141.40041545906504,118.97509978479148,E,B,98.1022961331557,0
65+,No,-67.44933835268975,19.270971006393147,-115.16722399915835,89.46542629589551,177.74263860150657,A,B,30.93938142505963,-115.92707125232866,A,-13.520963624205539,55.61254358081202,-81.57984410377018,2.8526102217194644,136.03851866542544,-33.331671830304565,D,B,33.92162180627151,1
18-25,Yes,52.266518394137066,23.845742158790888,222.71581026900816,-80.56680647389139,-99.5994301076266,D,D,-237.41304200092026,172.49509045186707,D,80.06225475716803,48.758923410003185,11.716392961631872,21.819419999216894,-139.36752451677248,65.95010698562118,E,B,-22.280850364065675,0
26-35,Yes,-109.42058433971584,-132.53263140944438,83.05928487119697,-101.27405102487195,58.422671132888404,A,D,36.7882508701422,-91.11344092645798,C,50.378057027331636,-144.94380165249112,-5.530924690399631,-56.332002217814924,124.18843480927234,166.34111478067024,C,B,39.56929936549574,0
65+,Veteran,-1.696611913064446,-61.44790394887997,117.97236115049976,-44.32740337864482,-95.12454944191693,D,A,3.4121061885184703,-280.96894252153606,A,47.193220115203204,112.09993222726477,-55.273109519621954,-79.68898855544916,-44.01355875778034,186.58825758328152,E,C,-18.891791862500426,1
51-65,Non-Veteran,-96.46348714060635,88.31370176619598,49.21391865019727,51.58620865765923,22.594944528919854,A,A,-114.74204775540446,30.976336929066896,E,58.33190364746369,-11.577448006677383,46.203222337305625,-14.925893624041706,109.23070712976313,86.59681600526753,D,D,34.079864939357094,0
36-50,Veteran,-53.81707344893181,-76.5935745327288,-35.23632537987053,-52.637443040349076,51.830979436955715,A,E,-123.90831219178612,-20.026628987729758,D,-80.00421672645341,24.134062232973964,-77.01752788640162,-168.01923874430142,-144.6627192019393,-141.09569483057697,E,E,23.613927157412444,1
36-50,Yes,84.16431035121418,63.188503376312276,172.67731212439847,24.680701120934582,-10.826905927234868,E,D,60.922875303739055,-42.79862364126097,C,69.81461171300889,63.027116364327405,8.86760977681974,127.43814233439433,-286.21393696071806,-104.42142940913122,E,E,51.32910159508316,0
26-35,Non-Veteran,78.30548385735091,113.47275248633606,-80.81832919197814,-8.863081137399218,-112.4633785201772,C,E,-76.61640578717574,-3.2303947029324527,E,18.061990514417204,-166.76753758963795,-215.10111569406192,-64.82414196119872,-45.512975167345004,-81.2887543884113,C,C,-43.0278351423579,0
51-65,No,31.52689378333976,-31.281280929102678,-35.55988960593102,136.3771720550686,-49.15777958577349,E,C,-53.54099714273728,-58.01143929335269,A,18.781918753310876,30.194128653674273,-171.5181274552157,-75.95812899873913,19.399471906537894,105.34801888381185,B,B,0.5068825237534711,1
26-35,Non-Veteran,-39.18686557052503,-62.684501618289524,-123.16839641786781,91.29266165419293,-100.7930603197452,A,D,193.51620873883078,65.27045819242468,C,99.85067876890706,-79.82224611872432,52.146156037005085,-168.6504633154546,116.79936738001891,124.87683744396921,A,D,-44.78824127519923,1
51-65,Non-Veteran,-25.06405502163792,63.1990528997058,-142.03227788169423,102.07689392311391,-126.16783819403597,C,E,-227.18057481040032,101.30478962413301,B,228.8460974542784,-96.85169660539634,124.28783598443319,-20.60774174879835,-79.18222680842544,52.727635347750834,C,A,-66.71145082391071,1
36-50,No,-139.69783910830705,-54.071079580005176,-28.52134002608305,27.23557304081135,13.615696906384766,A,A,-81.1846810627197,-13.470591651801625,D,-83.15581910463827,-72.19402755546554,-198.908109005532,-47.79135619651033,67.63824495219895,-66.86198571822023,E,D,133.54844373220016,0
65+,Yes,-3.3029523567615175,46.41445237928754,211.0124555834752,144.66605860095933,98.22579442388178,C,D,-42.05775225052651,5.262875208222157,C,-16.34174625889625,-117.3568153912135,-117.01295278748174,82.56182643984421,78.43965641911839,-2.169068134568055,D,E,68.89325597976546,0
36-50,Non-Veteran,12.666917912203232,44.131394440989375,148.109896233248,49.59633436784728,-49.603037272230154,C,D,91.67911352768063,-25.210963750403064,D,67.41981488140219,37.80152116399768,-38.93677280318987,-6.599402062627155,-91.53654275815092,-101.63049362181115,E,A,-182.54917247691128,0
18-25,No,66.87244183283475,-14.298637714533276,-6.755176514553549,-40.83027817574799,-162.2060859330204,C,A,214.21620286060238,218.19095622223145,A,-17.606985174306352,-29.497797128379272,-21.008439961938148,79.96879020066172,-68.49523732298194,136.2545843687097,A,E,-17.858060607637853,1
65+,Yes,-9.336016702195709,84.03181904987301,133.6344018053862,-38.28270950915151,69.2207262714448,C,E,90.70286212320221,22.4971019267376,B,-44.25790617281563,-6.526283600331152,23.788219154891493,-89.53017765980894,-201.31565741151033,269.39767786772546,E,D,-78.74179843329918,1
51-65,Veteran,-51.71126630413993,57.41577162831245,156.51094091698297,35.775457831548046,-190.51960671343204,D,E,-185.5803346534308,154.73321384492618,A,-131.10452209272327,-100.07137300626077,-9.148505118970713,-9.851882955211016,171.07439159352097,102.84385597998494,B,B,280.570446932301,0
36-50,Yes,53.0644882005224,196.37806854786297,146.12260797171913,-69.99764470172457,124.40844567630161,B,D,96.81477644689235,-32.70256269798906,C,-17.146666955400143,-118.45966396559864,-101.65149584832957,-51.75755497803466,-114.33374435982628,40.60140102261778,C,E,-65.1915562432605,0
51-65,No,7.81021821549185,88.91145987805467,93.29877609846515,9.481875279850335,1.21507243594179,D,A,-81.9335576945461,-130.54411882391693,B,40.769743556281306,-4.427498503810665,102.07557104906772,-8.213001329128284,-49.53879101662956,66.10587414670319,B,D,-243.49620794034564,0
18-25,No,-54.75842910399151,18.18588261839256,-56.51422274740977,-111.36577779487058,-36.11480764134999,E,A,2.5000722913324327,-107.23517349527954,A,-77.79178037863433,41.023198758377326,-43.30725586535852,85.97553379249639,-81.191694231369,102.3994557847706,C,B,-129.2326779768843,0
26-35,Yes,-84.64436454935806,-104.83097853336238,87.56188395929361,-44.76393299206878,137.06737180396357,E,E,-88.10572802047312,199.4849708581563,C,-96.09691813881537,27.74628451499189,60.071203263924225,-20.67670977820465,-58.055870776264804,80.92787299713586,E,B,13.851998863637638,0
