religious_affiliation,genero,nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Hindu,M,India,Single,36.032400792127625,40.65746293625156,9.711567261980424,-254.1905059013223,149.52108758757197,-53.399524360213235,67.95741029813954,C,B,D,E,0
Christian,F,US,Married,82.24608642021164,-47.09411644918958,133.61571405281987,0.6605125343333892,114.40663117009456,1.3048126417005221,73.75984720968518,C,B,E,C,0
Buddhist,Male,Other,Single,20.592993170570903,31.375635722638012,-40.203058458900216,10.805343287080623,120.65730070090804,95.59240163600472,-27.627343459264036,E,C,C,C,0
Jewish,Other,Other,Married,51.0838784155209,119.78484206013218,-67.5297881193295,140.331723152637,-88.43524526664103,18.720921093900095,-66.42787353881104,E,A,C,D,0
Buddhist,M,UK,Divorced,-13.460172961063165,109.26548623709058,41.170016561116434,-180.8591477017663,-54.17272757748328,-64.97487545006483,-32.62902505585987,A,E,C,D,0
Christian,Male,Brazil,Married,-102.53563582251297,35.13147951494709,-40.992435653716356,308.39971628062057,-15.839995965941384,-27.113442957043237,-51.14167943302063,E,A,B,A,0
Hindu,Other,Germany,Single,-109.04864935894037,-306.20533334699826,60.64493391008844,81.39284378805434,-84.01393472313825,149.94969357395243,210.64113377418045,E,A,C,A,0
Christian,F,Germany,Married,-46.92091061182316,182.92086357110503,12.75055215060337,-2.516994938770558,86.80275322094775,-12.963667609149281,55.20505983772209,C,D,B,E,0
None,Non-binary,Germany,Divorced,-91.54435688525126,-49.850138255447526,-16.407898980191863,8.012461812080307,80.49950854288316,77.5712249426718,3.78447080150899,A,B,C,B,0
Other,F,India,Widowed,66.5908669187121,119.64306199263662,-160.15822920366628,-96.27719697319793,91.24838356184694,61.22760358724878,61.34743434542903,C,E,C,C,0
Hindu,M,Brazil,Single,7.447562975257084,-117.54282810106477,36.681577593148056,182.12251790749855,109.15949626336223,30.15900416795188,196.9532749251388,E,E,D,D,1
Jewish,Other,India,Single,-171.3078600253265,54.707812265868824,-50.306100622159434,29.23512936874606,-245.61277172972999,33.7172974402861,-205.64484390409388,D,E,B,C,1
Jewish,F,China,Married,-16.163704536661612,18.92273751245139,41.31555087846523,234.56635489253813,58.9969611440241,-23.088309268664368,-133.01873532128474,E,D,D,A,0
Hindu,M,China,Divorced,-81.04396206840457,213.1512824644389,206.68745719035164,78.17119048940911,54.205249615104655,-2.3553245177027757,11.246213497691361,C,C,A,C,1
Christian,Other,Other,Single,-123.27022024453794,86.31190930541644,-28.60599560330558,-88.13747921959452,144.5517104345096,92.46628815970728,-133.56200954169057,A,E,B,C,0
Hindu,Male,Other,Divorced,-30.623416054791964,161.01625390026777,87.92730797881559,153.41175649053042,11.726967737715585,86.98825785339645,104.27696410120528,B,A,D,C,0
Hindu,Female,Germany,Widowed,47.86798285395866,102.12748914850651,-59.70598668817453,-61.46491823601474,-36.99883542668434,-39.87513596777272,35.46375182868589,B,A,B,A,0
Buddhist,Non-binary,Other,Married,-62.494454668191366,31.628955912146427,-86.10162976709046,-159.69693095342214,40.01856806909754,15.857706484203282,4.926887101032811,A,D,B,A,1
Buddhist,Male,Other,Single,-95.92690891807024,52.10008835140738,-65.01779668716533,102.1300077304091,-5.450631620352757,-166.82377754969295,57.513180585490296,B,C,A,B,0
Jewish,Non-binary,US,Widowed,-51.05849225984943,-186.3137125730768,-35.42019241700922,43.72389351082069,-37.832168974566514,-113.24787142860711,-94.96633753476102,B,E,E,E,0
Muslim,Male,US,Widowed,65.69200342686501,6.831291179881896,150.7981228728105,-23.923388540164478,131.7839194358976,-40.735873362290704,128.4771375566771,A,A,A,B,0
Buddhist,Non-binary,Mexico,Divorced,-115.96147246022636,-94.88794324208803,58.62099647724269,19.64931208387656,99.64061555685704,27.135185429658478,-127.18766935135662,A,B,E,D,1
Muslim,Other,Mexico,Married,168.99430968900558,23.084370701309155,-9.305249551430512,91.09630781394742,4.309874123462482,132.9034052895499,-129.26794039234568,E,E,B,A,1
Buddhist,Female,US,Married,-13.209867353506787,-100.15691921239957,131.04012195769138,-96.51393581770623,-10.799754647987763,0.22999961306122996,138.4627565016009,D,A,B,D,1
Muslim,F,Mexico,Widowed,122.83326723182438,-113.70326755109514,-74.40980494059765,131.35486587269588,-84.44142208219473,130.32292370850934,-187.1362943389456,B,A,B,E,0
Buddhist,Female,Germany,Widowed,-248.51192377702236,35.40897403278072,-98.89544474195888,-39.69968085375962,-56.48599346168771,-176.20711634317968,-141.60714943788116,C,C,E,A,0
Buddhist,M,Other,Widowed,87.31744614101578,-64.37883679131879,-147.4104524048701,43.92250238088849,-22.991554715486227,-76.64244520520663,-17.040322196732355,A,B,B,A,1
Christian,Non-binary,India,Divorced,134.55559772607268,-100.21587184908721,98.29029125212443,-105.16767021804125,-93.59117725102814,-14.732316990260893,111.87408137480774,D,B,A,D,1
None,Female,China,Married,-132.44670518750846,-35.74568185916143,74.98250717185432,54.36094388467734,232.34380955851134,41.88740937036053,87.46219956602448,A,E,E,D,0
Hindu,F,Brazil,Married,-62.37936997699672,63.04054300788141,-60.3442229453584,-91.19732479357671,-13.644992717587126,-8.191025657491984,-21.3485777179291,E,D,B,C,0
Muslim,Female,Other,Married,-17.631337477849097,-19.79120229635528,17.60720952822867,-78.1395787068219,-185.6689104389055,-57.22527516137836,15.414724217582307,B,B,E,B,0
Christian,Other,Brazil,Single,-33.790223968400994,-64.54898586341974,-29.303481430188054,182.54702269992885,-38.78644960502389,42.599299929359915,11.514392666023342,C,C,D,D,0
Jewish,F,Mexico,Single,98.94862347663147,85.37168641754698,-110.21565565660094,74.57574376857454,-25.342816094533564,-90.82959071539294,-15.501060999676373,B,B,A,E,0
Other,Non-binary,UK,Married,143.57992243809653,153.56673690648208,-13.952257026122759,42.32845120162742,-20.118928668034926,-45.72956696609942,149.43757550605906,C,C,D,B,1
Christian,F,Germany,Married,39.707454819782896,-28.839241402606547,67.1201790702991,142.86859530927373,183.31501097391717,17.708870432880293,-54.43364803797358,B,D,B,A,1
Other,Male,US,Widowed,74.64451852912524,-113.39594949265293,114.4960935869292,-156.3755107036946,-84.28562027901229,171.83674683485893,-61.07615893212321,D,D,A,D,0
Christian,F,UK,Married,-81.46675690906127,111.72229361746069,15.850713993851567,-85.08561669422919,22.675339664717796,-37.03008232110585,169.18490719494207,D,A,C,A,0
Muslim,F,Other,Divorced,-210.59716111200734,-54.32427629963623,60.90341863364199,51.894632838192635,-104.09202881715687,-15.50701097943738,7.034640016711538,B,B,E,B,0
Buddhist,Non-binary,Germany,Single,37.08630134490196,-70.47803453676951,79.20680835650822,-4.2285012268286115,-27.18327939609028,-194.9985881936323,-113.94686550507713,C,B,D,C,0
Muslim,Female,China,Widowed,-69.66033970547866,170.56846263804215,-93.23188780640989,118.98654646748999,-47.390405209206065,13.502750690245513,116.37511776018555,E,E,C,A,0
Muslim,M,Brazil,Widowed,13.059581428324405,100.05601468500464,190.21119881120416,66.88828864027882,-147.56475698396824,89.02451440859275,-55.32148631495106,A,E,E,D,1
Jewish,Other,Other,Single,-130.0754414140718,94.60201192994609,-24.72473967123083,103.50701748286643,217.49784256798375,-15.302796001432908,-100.1450661164209,D,E,E,D,0
Christian,M,India,Single,-35.02663164953455,-226.11899735074337,-141.6288439575213,228.92743912596535,-102.33282965445618,-21.32075252006952,-92.48520806067907,B,D,C,C,1
Jewish,Male,India,Married,-137.94365521526075,66.04835850675295,-11.013360813878597,-75.19307604150856,93.33410611131974,220.65156288872464,40.76266999583314,B,D,D,C,1
Muslim,Female,US,Single,-4.759749192844458,14.136419126843766,-30.10655721826638,-23.735280979513732,103.63364598489959,30.387792764443933,112.84969527345021,D,C,E,D,0
None,Non-binary,Other,Divorced,104.46965213236193,-241.19495190364654,0.5799240963079466,264.6880220593397,155.48344195708228,-87.00372940485889,41.71328688498236,E,D,A,E,0
Christian,M,China,Married,-109.16720199391277,-88.97951875031606,26.902082474990063,144.3141528546644,-171.8317843272671,151.6780954614289,180.75223262285525,B,C,D,A,0
None,F,India,Single,27.135969973776376,22.198401390910448,75.21557397206703,-182.58011361376523,-7.764477516071016,-65.53217799047287,-27.022227157743533,D,E,E,C,0
None,F,UK,Single,-97.77547037543653,87.43687596506751,13.641332933043484,-238.80392533252785,38.96850284295695,116.55268225829552,25.23023971324161,E,B,D,D,1
Jewish,F,US,Single,44.44514226714048,81.3649295977957,92.9642343836081,38.74450981813833,-123.53257319554038,-39.56883620804004,24.78972259871888,D,D,D,E,0
Hindu,Non-binary,Germany,Married,171.54007883127628,87.00888943722236,28.052781506763036,171.58474407554883,20.93387021740441,-57.425494939528654,-99.16820533553275,B,E,E,D,0
Jewish,Other,Brazil,Widowed,90.00505279965276,12.204103240682977,-10.099347133484757,-38.55766628107406,-112.22041669700855,-128.90414374487546,42.97410559356337,A,A,B,D,1
Hindu,F,US,Married,55.64331785887491,130.30400108838464,124.11333032978422,-152.3575129272919,-53.174417378299076,51.81066003678594,-27.609693531836214,A,B,A,C,0
Other,Other,Germany,Married,-11.788640979429179,-51.73064869282309,9.236162833131095,-60.749566035852965,-4.214636541144304,-160.45300020647565,-35.08629504212763,C,E,C,A,1
Other,Other,China,Married,176.33456427309102,-26.898044599125754,-32.183689473340465,95.54422844276618,-38.45232371571511,90.74665161933572,-1.7403026351490103,A,B,E,A,0
Hindu,Other,Mexico,Widowed,118.31908783597511,-154.55031118256645,25.459511261798028,39.648461113794426,27.060996989777742,-49.12370654301388,60.48229618696321,B,E,A,D,1
Christian,F,US,Divorced,-138.7856835908664,-49.62784346252827,-96.55090822145637,85.49185739855292,16.256917525673664,32.109567330308515,-110.02628668409294,D,B,E,D,1
Jewish,Female,Brazil,Divorced,-55.143254925400285,41.2608190307959,-61.114264368082374,-16.01520232010317,-52.773742630387744,173.8145758804994,-60.849600191928324,C,C,A,A,1
Christian,Male,Germany,Married,111.34522392982804,40.05054330535184,88.02460616820059,-17.128746875731828,-100.47823775649223,-99.11597932157986,172.72254105024476,D,E,C,D,0
Other,Non-binary,China,Married,-2.5042067175676186,-64.78241346367308,-71.73673507755616,68.82257861807167,18.00591124009954,130.3530186804885,209.28345579456317,E,A,A,D,0
Other,Other,China,Single,62.33087054252769,-51.36038884544926,108.30625800948783,93.22357066398486,172.47208315702497,43.1598376768854,-57.58591869616437,A,B,D,D,0
Other,Male,Mexico,Married,61.00980197186575,-20.876759949574744,-90.037604479506,27.81806518016564,-164.9782908985817,-56.274622361063855,85.31153796516334,C,A,B,C,0
Other,Other,Brazil,Single,-28.77629144653926,3.1202434390437777,-97.49310913266616,24.917772719132145,40.51958413534152,-96.88126706043425,-127.02689718328621,E,C,B,E,0
Buddhist,M,US,Divorced,-30.61492289283334,19.49121481631652,126.04166101733185,187.670405363326,24.884817994355764,27.856377529854303,-151.25119155003864,D,A,C,D,1
Hindu,Other,US,Single,34.485651349910654,76.89013668231178,38.92483504195848,-50.39597339967854,75.63907631077672,-97.87040148023507,-38.03567622933331,C,B,A,E,0
Christian,Female,Brazil,Divorced,-32.64857181376742,94.97241279226323,26.855840485038847,56.44723871624942,62.4623162850648,17.222952702935746,-44.3707524223061,E,E,A,C,1
Muslim,Male,Mexico,Single,29.183808506164066,-205.038333206917,57.38990946002714,-183.07631516467006,16.606819419970673,-15.83366039945081,-23.794009517009542,B,C,C,C,1
Hindu,Female,Other,Married,144.66478850966044,2.57287313789252,88.92711645921109,20.406599015254102,-82.05874874241495,103.0193858828514,54.452639703490846,B,C,A,A,1
Buddhist,Non-binary,China,Single,173.36441829465866,-74.81185289040187,38.832579399716856,1.6394890430763123,5.298448666051434,-22.524615301633904,-57.78957422783495,E,C,C,A,0
Jewish,M,Other,Married,-19.951684183383676,126.71323121007994,15.531331009983981,-119.67975315279232,65.51607379367029,-55.77941330358996,318.0603923406388,B,B,D,C,1
Other,Female,Mexico,Divorced,-31.885721524834963,-87.71066152698569,78.57782868243886,-39.06235485912142,-60.49702648154277,-131.15329194342428,-52.00461315442488,A,B,C,E,0
Jewish,F,China,Married,-124.40723450486895,29.76215372822335,97.03937112697093,215.11904505378587,4.599578191121222,124.99674237795635,-51.31738130116605,C,B,A,B,1
Muslim,M,Brazil,Married,29.943229097178513,29.372104806709764,-228.67508185502535,12.767714403702968,-110.14951359383554,-4.086906816744516,-32.93308906588334,D,E,D,B,0
None,F,Mexico,Single,-42.74924575249335,101.71089269960704,101.70210127959223,72.73799296103235,25.826833059133204,-150.51262255697938,-43.121319535283774,B,D,E,C,0
Buddhist,F,Mexico,Single,86.3577247531245,95.70731405071025,-93.71568982718836,-37.38783108668121,-38.97140180417198,-130.4430300754009,47.9974671818384,E,E,D,A,0
Christian,M,China,Divorced,-64.94815204475833,25.01442475393183,-108.71742058414198,54.114608786620245,45.88980480873303,-16.510556780791276,-26.69692138823045,E,E,D,A,1
Jewish,Female,Other,Widowed,43.37433949648099,-129.74814017117075,-65.95812009734539,-119.91508987473037,23.741526934906023,-67.81909368827915,204.7966305545086,E,A,D,D,0
Muslim,Other,China,Widowed,51.26442465060974,77.56709476343593,205.95888572752173,-17.812313055936553,-14.958378652083029,-82.89127144398925,152.80301274655366,B,C,B,A,1
Christian,Other,Other,Widowed,-103.58218643793467,-13.379294579503572,28.431704230443717,-167.24514987305054,38.11700606463438,-82.098745199674,-30.159433001289752,A,B,B,A,1
Jewish,F,China,Married,-43.85723388756405,160.98670768978073,-131.31211947193185,81.91617615404203,-20.130223831959995,-82.46940917704454,54.43201744468038,A,E,D,A,0
Buddhist,Non-binary,Germany,Widowed,92.01174841784174,-29.071168663155344,-5.6892380684682715,-59.99023504683806,-86.77076305553803,241.75307065224882,20.43335819106669,B,E,E,B,1
Other,M,Mexico,Single,18.8548882987012,30.115868081660572,-164.99519650170186,-116.06857767003346,85.8909749294303,6.507026229129669,-232.04452488111,D,A,A,E,1
Christian,Male,India,Widowed,13.608711892686525,41.70652998908745,121.09504332895362,18.046834749581482,-58.30699793725894,-62.15696664997709,-193.37805625400304,C,B,B,C,0
Christian,Male,Brazil,Widowed,-25.167624264350536,17.16765973587435,-15.697718815269551,69.12631869813967,-60.02651816766975,-11.94112612842241,-69.52022633594935,B,B,D,E,0
Buddhist,Male,US,Married,-58.2083942431607,139.93762607907783,-33.76368244205608,-94.7591786963504,-48.21008318664378,51.38653096394624,-104.78204788616405,D,A,B,E,0
None,Non-binary,US,Divorced,-138.69343822005976,27.88365900766093,58.0310239931817,-70.30458165568353,-195.91460215168647,-103.88205440513568,-7.874065209612604,D,A,E,D,0
Other,Male,Germany,Widowed,-15.660201697365403,-122.6638774901414,-92.1300404184476,63.907089677539375,49.29052764509977,58.7668877274626,-59.98203426426137,D,D,A,A,1
Muslim,Male,China,Single,62.437903882012,-63.22077653016498,-165.39849512480998,-26.024724834291664,220.78355960340824,127.99161306290894,-23.61229630911677,C,A,B,A,0
Jewish,Female,Brazil,Divorced,-136.9404900493562,-138.93319203189213,95.42249353163893,2.100280563772323,-246.54683210986406,-101.08578385261768,50.28499388128699,E,E,A,E,1
Jewish,M,Other,Married,-33.05810049139349,203.0809138952303,-1.829875026806719,47.53854749104574,42.947030559877234,86.23499154593512,-36.1407253153457,D,A,B,E,0
Christian,F,Mexico,Married,88.47460622881907,77.24702774507406,8.204609386508846,57.43816561403996,-81.77749106149747,-183.12547310851878,-35.0128196179218,E,B,D,B,1
Christian,Other,China,Single,165.50235179518455,40.54415161535851,59.38719898215842,-59.626291648377595,-60.81088069588457,-16.339423150146988,87.88398344655053,C,A,B,E,0
Buddhist,Female,UK,Married,-34.94439534253155,-35.00435466296191,-266.88272588843745,216.21034252316912,-25.05400528459888,36.41889113340259,115.94035836195383,B,D,D,A,1
Hindu,Non-binary,US,Widowed,-73.76896195367766,58.88789130230842,-75.37672406524058,-47.32913475620711,-2.0064884489576786,5.675586884449879,23.26270016183935,B,D,C,E,0
Buddhist,Non-binary,Brazil,Divorced,70.88377722118123,136.17872499318838,-257.44739797537864,56.61447136009454,-34.00322719333717,170.53615772105954,-279.7391108076199,E,E,B,E,0
Jewish,Non-binary,Germany,Divorced,157.67287782394644,-218.8829252776551,59.61520254242526,160.28873688232022,124.99209950569656,-32.22512173457876,-57.66114409345704,E,A,D,B,1
Hindu,Other,Brazil,Divorced,120.86731841986318,-5.008957122086855,-0.5546976334160004,112.9215032956627,122.06581292846776,-27.610980325295003,84.89578963779425,B,C,B,C,0
None,Non-binary,China,Single,5.086801212650212,13.085407295994465,-67.96177546119478,118.43918936611362,78.82452648170715,-9.481830888545002,-25.93173136374647,B,A,D,A,0
Jewish,F,Germany,Married,57.24005921519543,158.9915347327436,130.04287405750915,110.21659228489942,-99.35828290246495,-132.34618284111673,-105.38954363634278,C,E,D,A,1
Buddhist,M,US,Single,45.50522485099668,-220.97172601833196,-11.494688230375347,-87.75136431868104,35.854714393866,36.338553052080684,143.16586372843273,C,C,A,A,1
None,F,China,Married,40.73711037108217,105.78738057597576,22.738904296797845,-87.7171717224195,-54.22280236443121,-106.58525654303696,157.74358247384902,E,C,B,E,0
Jewish,Female,US,Single,-146.78895447408283,173.32215151648822,-190.93520392279058,119.47776466468605,101.18555067845274,-58.44108961356701,-26.065381852909336,A,C,A,B,1
Christian,M,India,Married,17.630999486343,-143.82149089443712,-124.60444576265954,-30.645025059528024,-67.1358360104525,37.797449906777395,-79.1309541139759,A,D,A,B,0
Buddhist,Non-binary,Brazil,Widowed,38.83284327374074,51.41475080437835,34.331702386971244,0.4098868828811118,-137.3952615469807,97.98211917759032,-19.807690400763338,C,B,A,D,0
Muslim,Male,UK,Single,-183.3991650446865,132.48371410416982,-106.6785311535736,-184.32800541525756,-55.47217970580053,-129.89568836749808,-136.7190982343567,D,A,B,D,1
Christian,Male,UK,Single,-169.10426729682808,56.41732884846876,-80.11727371523938,-21.838383020106562,182.07043840840655,-142.22075211696173,-190.39800874231955,C,C,D,A,0
Jewish,F,China,Divorced,-30.908574195575948,1.6289509799780246,79.92930787328274,-98.48929152169445,49.782149194466626,-2.872896261170365,52.85620392600789,E,B,C,D,0
Other,M,US,Divorced,149.5615244877381,-63.10204931058689,193.11047256366675,125.4770830166363,86.4714797181108,-118.05788876873915,86.53457959142426,D,C,E,C,0
Other,F,China,Divorced,55.71718413424528,-178.13600583333783,-162.55965044362267,83.47159689602756,-178.92010087881275,-157.2063165497904,235.69842429855532,A,B,A,B,0
Muslim,Non-binary,Germany,Widowed,-92.32623215188134,49.33944712487764,-25.53893607063436,40.47036069961464,75.319229167834,48.72987294018336,-177.82034510239484,B,C,A,B,0
Muslim,Male,Brazil,Single,-79.8677417925276,20.084666919282945,-56.850055712473136,-30.37366360855082,-165.35655693488073,-20.87138837331846,57.46315719697835,E,B,D,A,1
Christian,F,Germany,Single,-0.7771787369116665,82.62638931239566,33.54461845178598,70.83072053331132,-21.9308907284626,-28.568433291702068,-37.67328695737039,E,D,A,C,1
None,Non-binary,US,Divorced,47.70367680567556,-12.577215726095881,-15.311810891892488,45.87129849367339,79.38555001187663,-69.96913030368187,57.35396905724431,B,A,E,D,1
Muslim,F,India,Married,-4.844357803816419,183.7888108117028,58.33118261094194,-180.15454920406773,25.387183067687673,-310.13350789108875,-19.277009357374357,A,A,E,E,0
Muslim,Female,US,Single,-182.80551503279816,-30.55127345422538,-124.26925718543815,-11.12190890181609,-38.845841867108376,-29.935993939392823,-56.19477684896904,E,D,A,C,0
Muslim,F,US,Single,-110.38218299490914,31.51214271649771,-160.301374168176,-20.414494586692744,73.88848940137578,-116.81703018842506,-115.53282615944755,D,D,C,C,1
Jewish,Male,UK,Married,71.40897711672113,233.85991034596017,-96.48450633900384,13.845784932394794,-25.710447968886946,172.16833841952766,205.27386815823684,C,B,A,B,0
Jewish,Other,UK,Married,29.311387400582987,-57.767523759639815,22.499205368496376,-21.79318538027662,10.725485061331913,18.79874096012436,-17.28393984413296,E,D,C,D,0
Hindu,F,Mexico,Single,-123.85682372894793,-96.82167611949009,139.48593245929482,-170.0965348592571,-90.4012045166786,-20.28299600197406,118.77288830529453,D,B,C,D,1
None,Non-binary,India,Married,18.982292023293518,-22.34144140975758,163.9210152518092,154.858814099769,25.10068893080194,169.29185671804754,74.14506643639804,D,E,E,C,1
Hindu,Other,US,Divorced,42.87378768234841,-58.006122330429164,61.72850805916473,-65.31604619944818,52.24361414628961,-41.00301931897192,-66.7043197522332,D,D,C,C,0
None,Non-binary,UK,Widowed,76.27070014751128,-100.15488423901544,-109.86123716298661,-8.790085309356737,-133.0326961378007,-82.72242576788753,17.951103843108164,A,A,A,C,1
Muslim,Female,US,Widowed,27.059354347035665,-52.05635472468685,22.487251177348277,-194.9373218375234,-157.41266640096308,-35.69593582468346,71.41906415466005,E,C,B,D,0
None,Non-binary,Germany,Divorced,-192.13630143114628,128.36220345525402,-136.86326717576293,108.04146513949038,167.0732868542844,-57.63437610002873,-154.45128490706915,D,A,D,B,0
