handicap,faith,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
No,Hindu,Female,E,C,A,77.054899296223,B,D,C,6.005600810897305,D,B,D,69.77279382118492,-96.17268173071855,100.51268299938818,E,1
None,Other,Female,A,A,D,213.24874411661943,A,E,D,62.56724662803212,A,B,C,-116.22609916943793,-76.73880743882097,-15.577078809115266,B,1
Mental,Christian,Non-binary,A,C,B,-150.81380808425388,D,C,E,-36.17792137534819,E,E,C,-86.77516264946759,166.22528504217738,29.854883741774046,A,1
Yes,Jewish,Male,D,A,E,-78.08158220151167,A,D,E,-90.99986622027865,C,A,B,-158.39122947437124,25.727295112600544,21.060970051278392,D,0
No,Other,Non-binary,D,A,B,-87.23714311170953,E,D,E,18.878195503730257,D,C,D,-161.90034509363448,33.53599743159247,-207.78941077752737,B,0
Physical,Hindu,Male,A,C,E,29.256599487020885,A,D,A,55.1259072777748,B,D,E,-60.61147483820088,169.36614926607362,-66.43383476460775,A,1
Yes,Buddhist,Female,E,E,C,97.64551171860478,C,D,A,120.12468168963848,C,E,B,20.073518565432018,114.7678215879464,-4.790575402666929,C,1
Mental,Jewish,Non-binary,E,C,D,-95.76103574732578,B,C,A,-72.12535423512871,E,A,D,78.02286969407737,-2.6494964064230215,-59.2089722151417,D,1
No,Jewish,Non-binary,B,C,E,135.43365770878597,A,C,C,175.47570564530983,B,D,E,-114.96339149347693,-14.15398519426461,-109.94423014551096,D,1
Mental,Jewish,Male,A,A,D,7.208691879379615,D,C,D,99.0044334194809,B,C,B,119.96576929263686,12.845262722267,-94.79882516486006,A,0
Physical,Muslim,Male,C,C,B,-147.42280946879217,D,D,B,-55.5397008043904,A,B,B,-206.78258097163615,36.99286303079543,-168.78119542099805,A,0
Yes,None,Male,A,D,A,1.7931778997441874,D,D,C,89.01305779552618,C,A,C,125.48006601512878,-81.4762280149079,53.19569386088611,C,1
Both,Jewish,Other,A,B,D,29.47794252708109,A,B,C,-132.80114702720977,A,E,B,58.12314073252966,124.54245615450807,127.45281009978461,D,0
Yes,Buddhist,Male,E,C,A,-144.42888343897312,E,A,E,137.73989042470444,B,A,A,-69.96725793969013,-101.73506101987464,-37.401192468265656,C,1
Physical,Muslim,Non-binary,D,A,E,-167.46258881373691,B,A,D,-48.88725010991169,C,B,D,-164.76174458355922,-62.568175698576866,63.6028001805286,D,1
None,None,Other,C,D,E,-120.97078531491728,A,D,C,-97.43429460454983,C,E,C,258.20995811236764,-23.416947364003775,123.53328313247943,C,1
None,None,Other,C,B,A,-55.98887055673551,A,C,C,57.54684757031602,D,A,E,-31.03356255552376,-132.34894543428663,-37.32397730169907,C,0
Both,Buddhist,M,A,B,E,172.55585294169705,A,D,E,-21.49226714756009,C,E,C,-15.595375748967905,-95.287043421439,-94.96566141396254,B,0
None,Muslim,Male,B,D,E,-47.48902504450141,C,A,E,-27.28000734052167,D,B,E,-45.24273159433644,-39.36200768383407,-68.93348773454987,D,1
Both,Hindu,Male,C,A,C,97.82387762335017,C,B,D,-11.699393578487394,A,C,B,36.272891113177714,150.02832265068474,91.46248179680703,E,0
Physical,Christian,Male,D,D,C,-161.5933780553004,D,A,B,105.34293314036263,E,C,B,-171.3645983714381,-126.33152203869078,-50.00538733418295,B,0
Both,Christian,Female,B,B,B,-37.905926541872404,A,C,E,-11.052120341023466,E,C,E,-237.16940004069076,61.134098810073326,105.98270150938467,C,1
Yes,Jewish,Non-binary,B,C,E,-2.8587699795875268,D,A,C,89.73745647562818,D,B,A,-117.27586136008735,-55.884397391232724,-159.65354399199606,A,1
Physical,Christian,Other,B,A,C,-189.2122479231668,E,B,C,-5.090616478507191,A,E,C,-1.1286889468322217,17.251166666556756,107.72594448522423,B,1
Both,Christian,F,B,B,B,-86.49504711992465,A,A,E,167.51423999641435,E,D,E,77.57223461094385,-27.441565561815846,-11.0937115969227,D,0
None,Other,Female,E,D,E,-92.24702593853624,D,A,A,-167.06305864690177,D,A,B,8.114563273316028,55.686579830284764,124.72596688933604,C,0
Physical,None,Other,D,B,D,-22.48913718268074,C,D,A,-133.83473526542602,C,E,A,68.2005157408739,23.566479605123494,-72.91787337650447,A,0
Physical,Other,Female,C,B,D,136.84440552047909,D,B,D,-111.38350580163005,D,D,A,94.52588032582605,-37.20609906457277,-74.36734890007419,C,1
Mental,Buddhist,F,A,D,A,132.7898239559224,A,C,C,-43.90368048845877,D,B,A,22.551189618566635,212.25316452867133,83.59493577953985,C,1
Both,Buddhist,Non-binary,E,C,E,-255.56287591730594,B,A,C,-148.5464564899047,C,B,B,-99.24365044971015,56.23204284960253,145.82179498537212,E,1
Physical,Christian,M,C,D,B,9.528766783572639,A,E,E,-96.51512140929263,D,B,E,101.06920716229695,-8.309660990230668,-57.271449418983835,C,1
Mental,Christian,Non-binary,A,C,D,-49.47424466784707,A,D,D,57.65595209536259,C,E,B,111.22620510383064,-105.97949763264347,3.5319449844213424,E,0
Both,Jewish,Male,D,B,D,225.81808928572912,A,B,A,-41.824014577880085,A,B,D,-1.1232157964411733,-10.62993713074796,-68.20013563469712,B,0
No,Christian,Female,B,C,B,85.39413075467735,D,B,E,0.010714299133294976,B,B,E,-141.2628789670909,19.939879815768826,3.729293903942174,C,1
Physical,None,Male,E,A,E,-2.950838276541667,C,E,B,-10.116795323479726,E,B,D,-116.22093231898883,96.11780348269801,204.0645534993203,C,1
No,Muslim,Male,C,A,E,-7.860284899455691,C,A,A,-187.27021380307642,E,E,B,17.89878684621287,41.671663583578685,3.804368465895336,C,0
None,Jewish,Male,C,D,C,39.13812927711312,B,D,A,-73.71339808852977,A,C,E,-110.42959803739795,163.91447103198084,34.58783404218769,B,0
Physical,Buddhist,Other,E,C,D,-61.463688919934015,E,D,D,-143.30124946181814,D,D,D,-80.81307898314243,67.8416776074198,-73.87622528521341,A,1
Physical,Other,Male,A,D,B,38.57253419999084,A,D,D,203.18109498317858,C,E,D,-35.08982691286871,34.339734380809155,20.69285015393044,D,1
Both,Christian,F,D,A,B,179.97881105788167,A,E,B,153.4872231478944,E,C,D,-60.01637995945137,-38.0995056327525,-18.742096687782254,E,1
Both,Other,F,E,C,B,-48.57352079544022,C,E,E,151.96225290490813,D,E,E,-15.425517089503765,207.23091164791683,-34.70139781940201,C,1
Both,Jewish,Non-binary,D,C,C,-198.98036248987415,B,A,B,211.96396530333996,D,D,C,-58.35444704899507,79.15824026283738,97.65220356214311,B,1
Yes,Jewish,Male,A,D,C,13.572790433523648,B,B,A,121.97316315034496,C,A,C,-67.576967239899,-125.90417896366495,64.20446320522896,E,0
Both,Other,Non-binary,E,A,B,-162.23436836643427,D,E,E,1.039121955839429,D,B,E,-60.62355278965834,-9.690081312626326,27.35831084665873,C,1
Both,Hindu,Other,B,C,A,15.50602713606734,D,C,B,84.06440019224888,D,A,D,11.452377756797983,12.886239442868225,-2.1723253048222753,E,0
Physical,None,F,B,C,D,250.0949691607067,D,B,C,-55.59103642479546,C,A,C,26.67461107209742,51.47248643429621,-7.245418642983028,B,1
No,Muslim,F,A,A,B,230.99811865724473,C,C,C,-116.69703246158973,E,B,A,76.94363208378704,174.11025715672426,-65.33239593529515,A,0
Yes,Hindu,Female,D,D,A,89.1238255337198,C,A,B,63.534547045110266,B,D,A,52.4297056010711,-92.03415298722125,30.49223273910982,D,0
Mental,Other,M,C,D,D,-129.71949432627886,C,A,A,112.64098170237314,E,C,D,-46.92237393137003,46.080037234094654,-123.46557893380663,B,1
Yes,None,M,A,D,B,-129.3067303714866,E,B,E,87.34309197451196,B,D,C,19.134247460105865,-142.419934196008,37.72996909667801,B,0
No,None,F,E,C,D,15.4314757504041,C,A,E,24.817274928987057,D,B,E,185.48378970170666,-36.65016339531733,8.207059413317724,E,1
Physical,Christian,Female,C,D,D,5.426118188567754,A,B,B,124.2397045804019,B,B,E,-66.57713045220635,-17.13267820633837,-34.951234942359015,A,0
Mental,Christian,Female,D,B,C,-6.025247783915216,A,E,D,-6.893161170480726,E,E,C,1.7667937950006998,-139.6350437195126,66.24052538024274,B,0
None,Hindu,Male,B,D,C,-83.29484985709948,D,B,C,-138.73606642561515,A,B,A,-106.35082346256972,-59.12586083770618,-99.82589053932539,D,1
Yes,Christian,Male,C,A,B,-137.19323867087448,D,C,B,128.18430927657892,D,A,B,52.92369801921073,-98.17811475618295,155.9790675510341,B,1
Mental,Hindu,Male,D,A,E,-6.035706161375876,C,D,E,155.4486915502256,C,E,E,14.74313388759013,-67.52685160930197,-182.7643416493983,D,0
None,Muslim,Non-binary,C,B,E,-67.22713354951124,D,A,C,117.72066883521867,D,B,A,18.78428537673674,-89.19070733515696,-4.057213631677932,E,0
Physical,Muslim,Male,D,C,B,-2.3536010601393387,A,A,C,-154.66089148432377,C,D,B,-1.6578026502967937,23.25391148362586,-45.49837513902215,C,0
No,Christian,Male,B,A,B,81.5390805094751,C,C,A,163.98366934312577,E,D,D,-134.7884272990305,-96.16837959626294,91.86149389186691,A,1
None,Hindu,Other,E,B,C,154.62101832285586,E,E,D,3.288946012266708,D,B,E,-38.88787411360987,106.49821318747203,55.879784065685755,C,0
Both,Other,Other,E,D,B,-288.3451825994378,C,D,E,-193.35821068844433,B,E,D,-153.83490201793617,-155.7385383199825,-3.439374126932732,D,1
Physical,Christian,F,D,B,A,37.61274069912898,D,B,D,79.99419103951203,A,E,E,-63.00713223267289,-85.01335890604324,-42.36996090589453,E,1
No,Jewish,Female,D,B,B,42.395356059122065,E,D,D,-22.03727083674212,C,C,A,78.34863794329767,13.006241237905805,-33.09065689035736,B,0
Yes,Jewish,Other,B,B,E,89.39847789941983,E,A,D,-88.07642458887123,D,B,D,-30.743738743003696,-0.203428983768529,-142.74652936127083,D,0
Mental,Christian,Non-binary,A,D,E,-24.960724085790392,A,C,E,59.95705347547523,D,D,A,-8.718796471106756,-176.19831581541385,-165.665869366456,E,0
Mental,Jewish,F,B,C,B,-39.95948157426552,B,E,B,-53.41668456469294,D,A,B,5.024688301478239,-49.2249843461936,-37.222402825975095,A,0
Physical,None,M,A,E,D,-31.039079107724532,D,A,B,112.05074752325956,C,B,B,40.03878167768766,91.9644603351297,-43.98809068395077,B,1
Both,Muslim,Male,A,B,A,-118.19977978754919,B,E,D,3.086667559450638,A,A,A,43.82458342115871,108.60361393387893,92.31261827035613,E,0
Physical,Hindu,Female,D,A,B,-108.22545353765467,B,D,A,-45.950463467405015,C,B,C,-100.13040619118563,-77.81889670359303,11.14859546075921,B,1
Yes,Hindu,Non-binary,D,D,A,-136.40345633150653,E,D,A,-126.47235451135779,B,C,A,35.5530840941871,-12.25172546082196,74.03374278689702,E,0
Yes,Jewish,Other,C,D,E,-91.8894731775222,A,D,C,22.68007328855813,C,A,B,1.1025221997359513,-80.2243406208171,-146.32111074386424,B,1
Physical,Christian,Non-binary,C,E,A,-18.721244290778642,D,D,D,14.840925010660925,E,B,D,-64.61988696845117,21.545099040484192,-102.1353175965643,C,0
Physical,Other,Male,E,E,B,-181.18854978728552,A,B,A,62.12642807118649,E,C,B,7.999113360486221,296.20799233552964,26.020221600496207,D,0
None,Jewish,M,E,A,D,158.2814745851171,D,E,E,50.27773091523437,B,A,D,176.21733386451626,-0.5559839055284326,80.73857064562009,A,1
Yes,Hindu,F,D,D,D,241.93144917530117,C,B,D,10.615242262565811,A,E,D,72.41780839076249,121.96452841584168,-3.0574056740175743,A,0
Yes,Hindu,Male,A,C,D,120.42054409213345,B,E,C,93.08592349987637,E,C,C,20.68290352679193,6.334897721603591,-85.1565643180153,C,0
Mental,Other,Other,D,E,D,8.177053157148745,C,E,B,69.27431679711627,B,A,C,-46.90143747654762,1.643914766555289,36.35142363660805,A,1
Mental,Muslim,Non-binary,B,E,D,44.556788281001154,C,D,A,-88.89044569944272,C,A,C,-144.4236394052645,-135.22769971513605,48.86777575662409,E,0
Physical,None,Non-binary,E,D,D,-113.74508163729165,A,A,A,109.80928295517747,A,D,B,-172.4108325491975,30.10645294775668,-100.07883845507524,D,1
No,Hindu,M,C,B,C,80.01879190837661,E,A,C,-0.17161064013943486,D,E,C,36.40652403092215,20.47622480306531,25.46277653001812,D,0
Both,Other,Male,C,E,D,147.12287534583487,D,C,E,-19.205637149710405,C,A,D,-136.56717725224016,-83.2224248788376,78.5533923649917,A,0
Mental,Buddhist,Female,A,E,D,39.02712077435544,E,D,E,-191.77668304158553,B,E,C,14.058284269694143,46.479849508147716,-68.15042330439299,C,1
Physical,Other,M,A,C,B,91.29868665100341,E,D,E,-24.4316893444275,D,A,A,131.66083709359927,-5.6730095879866855,-252.07636590525416,C,1
No,Christian,Male,A,B,C,134.6484805577237,A,C,B,24.0110136890107,A,C,A,-81.32885414376265,44.64369621876407,-75.45396817171446,C,0
No,None,Male,B,D,A,104.11550658573618,E,D,D,-145.0342844983361,C,E,C,210.37749940394383,-14.372056954954218,104.47625596584633,B,0
No,None,Non-binary,B,C,B,-22.99123737971938,E,B,C,75.02788023964241,B,B,A,-77.33364348440455,40.992642233172376,-2.2223025203790496,A,1
Yes,Other,Female,C,D,A,19.979963251977896,D,A,D,8.974623762131335,D,B,D,-43.170263487560064,-237.79492816138278,-100.46049558978977,D,0
Yes,Hindu,Male,D,E,E,-91.32893771834017,B,A,D,10.700240418713797,C,D,C,36.749392738336226,47.38367695161412,-121.64712935934914,D,1
Physical,Jewish,M,E,D,B,-14.066594059586448,A,B,A,54.82290643661726,B,E,B,-58.80009769497935,62.594496115132024,35.34675725574902,A,1
No,None,F,C,B,A,77.06895717773192,E,B,C,76.63203319647624,E,A,C,9.64970399915988,112.3658542810078,-92.47710763062416,A,0
Both,Christian,Male,A,C,D,49.1633291039463,C,D,D,-160.85897136444248,E,A,E,66.44311228727987,-67.04117030007981,46.664047609575476,B,0
None,Other,Female,B,E,D,56.24548300939599,E,A,D,-77.98474616184386,A,E,C,-48.80942514450607,94.53965272943387,45.67221108188056,D,1
Yes,Other,Male,E,C,E,83.31398758429313,C,C,D,79.06229787694527,B,E,E,-32.53634517124231,54.04062392288529,145.01144115059515,B,1
No,Muslim,M,E,A,B,-105.62185449657618,C,D,B,88.50062691335911,D,B,E,-60.13699403626474,-36.97268726910878,35.740943627472994,A,1
Both,Jewish,F,B,B,B,74.41681965034104,B,C,D,72.15161588639813,C,B,D,9.97442260779349,-69.6550207348234,36.83563821359183,E,1
Both,Jewish,F,A,E,A,-3.053212986656113,A,D,C,-94.39406759542139,A,D,D,-20.174558480583684,2.8541870448954443,-42.21908864958424,D,0
Yes,Hindu,Non-binary,D,A,B,149.19883601945688,D,E,D,158.8282002592724,E,D,B,-88.01145140911457,29.645495659686038,165.76489386024076,D,1
No,Hindu,Other,B,A,C,-181.12075681066395,A,B,C,104.76199652440911,C,D,B,100.7406400473228,194.21314025715495,-87.74311535231523,C,0
Yes,Buddhist,F,A,E,E,-73.27369250665454,E,B,A,-77.83302163493465,C,A,A,38.29699959269785,-18.62818951189452,-65.65815082540699,C,0
Physical,None,Other,E,A,A,54.52907806723341,A,E,C,-21.733858270687392,A,C,A,93.92862176984342,-172.6170221102537,-25.440741564660797,C,1
Both,None,Non-binary,B,D,E,-227.09710086492998,B,A,B,-64.01911827450631,E,C,C,91.48136601498878,-67.72052106945,27.636923354851618,D,0
Mental,Other,Female,E,A,E,111.70579895970569,D,B,D,-27.967884375470643,E,E,D,-40.32360876865535,49.49259445745381,-131.06606349524864,D,0
No,Jewish,Female,E,A,A,149.1462686989942,A,E,A,9.805765297541239,E,A,E,80.64478368095502,50.03572546604804,82.95323517402741,C,1
Yes,Muslim,M,A,D,A,202.03562979935305,E,B,C,-79.75327499782965,D,D,B,-41.889784050030386,75.46359256858527,-79.21576928420028,A,1
Mental,Hindu,Non-binary,C,D,D,-135.83988252117106,E,D,D,29.131343245797176,D,A,C,-20.904833530552988,120.10118998543902,-196.5447666414237,D,1
Yes,Hindu,Other,B,C,B,-64.9994890177147,A,D,C,167.51805709549987,C,B,B,-6.887674811974971,131.4127335502798,108.65204939673296,D,1
Both,Muslim,F,C,D,C,160.57393916359973,C,C,B,151.61878478720493,B,C,C,-74.87468452817477,-77.05290650861258,-82.80899962934323,D,1
Both,None,F,E,D,D,-98.56783759013433,A,E,C,-43.29814636787221,B,C,A,-33.551756415240966,19.48979073577734,-4.988755879802155,C,0
Physical,Muslim,Non-binary,C,E,D,-141.98250115177032,D,E,E,57.23722011164075,B,E,C,-231.27298481139954,-116.51477367382137,-149.3246254733786,D,0
Physical,Jewish,Other,D,A,E,133.57885663656526,E,A,C,-203.26545134951513,B,C,C,39.76532894172419,7.9500250180121075,9.73983305726241,A,1
Both,Muslim,Non-binary,C,B,E,38.87658100409306,A,B,D,32.23564550951228,A,E,D,-198.56181398872332,65.42918901478198,-42.073380051439834,B,0
Both,Buddhist,Non-binary,C,E,B,160.17897062523926,B,A,B,-30.384818753778287,B,A,C,111.60178392709139,-98.9020394521723,-38.88663020502005,A,0
No,Jewish,F,E,A,A,73.87658749513935,E,B,B,-119.81759822335891,B,E,C,-138.50758061442122,30.588065062161323,-131.81312654549708,A,0
Physical,Hindu,Male,B,C,A,70.00215971472683,C,D,B,142.22509736758911,A,A,C,35.93306425912264,-14.276084918254353,-9.000772529086182,B,1
Yes,Other,Other,B,E,A,75.02175533550857,D,C,D,-14.316902933736294,D,B,E,3.5266435110748873,18.150208170276763,27.01013178619604,A,0
Both,Jewish,F,B,A,B,62.296861597454786,D,C,A,-10.920269836168272,C,C,B,-78.19887712751411,-114.63846620232925,-33.989998225086886,E,1
Yes,Buddhist,M,A,B,C,124.94411024681014,A,D,C,145.02615650964478,D,E,D,-94.39274411322648,16.5069216800362,6.788185172575909,E,1
Mental,Christian,M,D,E,B,-30.777424163326106,B,C,B,-126.03779711240254,D,B,C,-32.121983307165245,-91.39168113976366,8.516518359845952,C,1
Both,Other,F,D,B,E,-26.984269272398585,B,E,B,-101.25743322477095,C,D,C,-7.762705153537514,39.23762790450507,114.87668260651644,D,0
No,Other,Female,E,D,D,-3.020310901136873,B,A,B,-56.93205342297524,E,C,D,53.749149234752004,-104.03192341181189,-23.97600599382933,B,0
Both,Hindu,Other,D,E,D,-126.40253456757375,A,B,A,21.351366413480672,D,A,B,42.444798179025305,-45.5506965268295,46.898146807724714,D,1
Physical,Hindu,F,C,A,E,1.7996497493227288,C,E,C,42.34916592485597,A,B,A,76.84103335875257,20.770032446776263,27.34223373220324,B,0
Yes,Buddhist,Female,D,E,E,52.808027070985865,B,C,C,191.4700622680939,D,D,A,-80.2661792984234,-28.09691131207638,4.208584654999567,A,0
Mental,None,Non-binary,B,D,B,100.66084989712945,A,A,E,46.05541307510008,D,C,C,87.20646172872625,163.7676503115696,63.58947419170302,B,1
Yes,None,M,A,A,B,2.2876184939200357,D,B,E,47.187448332502264,C,C,D,-7.679444185718089,-82.18466455578289,-95.92783243616657,A,1
None,Buddhist,F,C,E,D,102.45948638195685,A,C,C,-52.97607210609745,C,E,C,66.28108331381429,130.2893595103269,-135.74504047143589,D,1
Both,Other,Female,D,D,E,145.14580329353254,D,D,A,198.39367132094645,B,C,C,-3.7668169433244683,-5.656917863665143,-65.46444866565608,E,0
None,Hindu,M,D,D,B,7.517838345215535,D,B,A,101.47037774784835,A,C,D,39.237572717976484,79.12497422378333,40.57500184789481,E,1
Yes,None,M,E,A,A,70.77720938660707,D,B,B,38.88999440097837,A,B,B,-47.13218467214124,-205.33660999708894,28.933008328226155,B,0
Physical,Hindu,M,E,B,D,240.7930806809985,A,D,C,90.88850626959581,B,C,C,-125.07781460616287,123.24644082146771,79.12418627824978,B,1
Both,Christian,F,B,B,B,109.41032226857716,C,E,B,75.13643189206736,A,B,B,-56.74869467432033,-13.085626939237633,277.24942206139565,B,1
None,None,M,A,B,A,133.31602974404623,A,C,B,-20.653573149596323,E,B,D,-172.49338463851737,141.95135569453348,-26.013853156657145,B,0
None,Christian,Non-binary,E,B,D,55.11435231122691,B,A,E,91.65404347150793,A,E,B,-168.9434100270705,227.20124023901985,-50.348188912883444,C,1
None,Muslim,M,C,D,B,-47.571557446668784,D,E,B,-165.97269367905386,B,C,D,7.047758969864781,-43.393641514718915,37.508381724121634,A,1
Physical,Muslim,Other,C,D,A,-50.287161375611355,A,A,A,-63.293572153881115,D,B,E,-23.592944322622376,84.83510659961921,111.76041527898639,E,1
Both,None,Female,A,A,E,-59.70526072840025,A,B,E,37.20023011772715,C,E,D,-50.337144436253986,-77.46628682924947,85.69375298322485,B,1
Mental,Other,Other,E,C,A,-112.68842240965544,A,C,B,-51.23254670209373,B,D,A,96.82813266444967,5.065549598278918,7.983397445252223,A,0
Physical,Hindu,M,E,B,E,-81.51768521599439,B,E,B,-52.89753451976538,A,D,D,99.39847789969878,159.10589744697396,-56.34390727308757,B,0
