race,disabled,nationality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Other,Yes,Brazil,Non-Veteran,-91.94005753158903,16.575045519364643,B,E,C,26.008008554747807,-108.27768080891131,D,141.72294982145883,E,C,169.52646593911132,-48.75331828270594,0
Asian,Mental,China,Veteran,14.363268421618544,-183.38950560482306,A,E,B,77.50235544930693,82.47158556436267,A,-98.56640512253566,E,E,87.49841153412888,32.801929029977885,1
Other,No,US,Veteran,259.3959941628786,4.521090261999876,B,E,E,48.98327983367762,197.77453923081862,A,290.3656099994494,E,C,-74.80076338954395,28.810392679463288,1
Other,No,Mexico,Yes,-143.7325728938213,181.2274460389551,D,C,E,62.70834006611518,52.57296681027962,E,22.268405323793754,D,E,102.65308659610359,-128.79974108169355,0
Other,No,Brazil,Veteran,-64.06429647731254,-11.83110987451709,A,A,D,-32.00018870481142,-25.353163066066358,E,-61.59311611705888,B,C,167.9558172901653,-61.93066403103704,0
Black,None,Germany,Yes,-76.0938220099775,-77.49739500150746,D,A,A,-26.4653192203468,69.9867480687708,E,-91.85342530893756,D,D,-93.53139780615251,-51.5996083972446,0
African American,None,China,Veteran,-230.40451396703497,53.48279690607044,A,B,A,2.6164452628021935,-17.455495843334756,B,131.9265809254653,B,E,-37.623706872142684,59.82344091585401,1
White,No,Mexico,Veteran,22.624194826987324,-84.38964691948327,E,B,C,21.5949866966292,-55.27952693131051,D,23.693299458002606,E,C,-44.6099497964883,36.290610888080536,0
Other,Both,US,Veteran,141.55413524011684,30.205974740002755,D,D,C,-147.69086712912988,-103.0103712441572,D,-60.59667821198937,B,C,13.568754272565242,23.646873257438244,0
Asian,Mental,Brazil,Yes,-147.33577906205613,161.43767934080927,A,D,D,54.1697212747172,-75.84559610309559,A,50.43849925632677,A,D,-77.24420138028522,-101.17730062908245,1
White,No,China,Yes,87.06628971293858,-24.55260531966558,C,D,C,-234.18192051365088,42.84716849873226,C,-30.5835932567773,D,C,-103.60291804580002,98.31659679403529,1
African American,No,India,Veteran,91.96549287654592,43.0884686016648,A,E,D,58.11986352768973,74.67647697149413,E,-24.28829881243786,A,A,37.37423806409231,12.310905429391717,1
African American,No,Mexico,Yes,62.12907608776979,2.716591147377949,E,B,A,-43.85318901050999,61.53015268583142,E,71.31861566175947,A,B,87.1747839368192,181.5109672044275,1
Other,Physical,Mexico,Non-Veteran,-52.1169514894821,-110.92268752541766,D,A,D,-111.04124544831457,14.286577432163524,B,-74.43357888674245,E,A,74.56862021145619,-62.46732674966861,1
Hispanic,Mental,Germany,Yes,105.56776669578787,-88.8047874369167,C,A,E,46.56684727984724,-143.85789326273414,E,-10.759004298925893,E,A,192.6867997506273,-111.6717724586536,0
Hispanic,Both,Mexico,Non-Veteran,50.36408179792393,42.97624829272973,A,C,A,-7.737091962611838,-24.92841082093465,D,168.96497145454413,D,E,174.32108676575774,-35.82549174482154,1
Black,Yes,Germany,Yes,-32.66254381778334,-56.29229363863671,A,D,E,120.6468622655093,30.740396849852914,A,-33.977730954398886,D,A,17.28517182632275,46.14868925383495,1
Black,Yes,China,Yes,102.9287991815902,-14.507056459876944,B,D,C,83.29914855607709,-63.505376171805295,B,-88.18220208893683,B,D,8.785354762506932,124.58244222840653,1
Hispanic,None,Germany,Yes,11.515050988703658,-45.10203069503375,E,C,E,-11.259626290814547,28.131740953313066,B,-230.5718785180363,E,C,130.49233685388407,-52.62548010283924,0
Asian,No,Brazil,No,34.54489817058145,166.69216915010784,D,D,D,-50.89410911248018,-179.86094818917044,E,-30.295858170076663,E,C,-73.91229330271075,-45.85688840838298,1
Black,Both,Brazil,Non-Veteran,-17.15425174960264,59.58984498147642,E,E,E,-124.4591217514346,16.383615848822767,B,-102.4303201201186,C,E,195.63906509101682,-100.77945557308855,1
Other,Both,China,Veteran,-12.264908246922156,19.54159064951897,D,E,E,-10.526641709293012,17.74831611679739,A,158.17729084403774,C,B,-35.396407327715835,-64.2800236846338,1
Asian,No,UK,Non-Veteran,98.5241017371797,-143.28232323186154,B,E,B,60.1186029908769,-8.083120805758423,D,-74.71144311522114,A,B,1.8086720137165737,51.3231584811283,1
White,Yes,India,Non-Veteran,-64.12892389898634,149.56044781361217,B,C,E,46.139088231479775,-4.138965183380879,D,-93.80831524941063,E,E,-214.4003985953441,26.6977203574493,1
White,Both,India,Non-Veteran,-30.00383930937914,-111.71014524822354,C,D,E,92.93007496946501,360.99959764057286,E,-66.90066000666768,E,A,79.52819082856382,-14.410191141830694,1
African American,Mental,Brazil,No,-66.04848769577926,50.56053559130028,C,D,D,-67.59002871058786,98.5688309271978,D,171.8735699921584,E,E,26.31796457504797,-205.9920372552025,1
Black,Mental,Brazil,Non-Veteran,110.0829322175874,-44.09002768414845,D,E,B,81.51157562111392,143.0945960491057,E,-84.9018045134162,C,D,-129.00383068496134,-107.68178343237376,0
White,Physical,Germany,Veteran,-69.41457697294346,-10.98621717846159,E,A,E,28.216610621006932,174.35438253720116,D,-53.50589853969785,E,B,-75.75037762486224,24.13649549446597,0
Other,Mental,Brazil,Non-Veteran,38.41966603385704,-18.088557609774046,C,E,D,19.35862621092114,-15.963347205307956,E,-19.784749169038104,C,A,0.038282955166518834,32.304064313701005,0
African American,None,Germany,Yes,110.05420645444306,134.87926411568912,C,B,E,117.5454704155516,136.91784503604302,C,-99.08614534616049,E,C,-39.60357060628951,-179.0517475416536,1
Asian,Mental,Other,No,232.74556617272805,43.00934354410561,B,E,A,84.55115789738264,165.68858727027077,A,144.69100460426824,A,D,-19.059765800352142,100.4277526540383,0
Black,Mental,Mexico,No,177.4221267440175,-103.248243355901,C,D,E,-42.943093707080834,-15.342508609358985,A,81.73241826131174,E,B,12.345286556022348,65.56616689314167,0
Hispanic,None,UK,Non-Veteran,-27.18851181818378,41.07496566075368,C,B,E,218.06746431277477,48.23073330583091,C,-37.88057338072092,D,C,47.57651600449114,165.9165461020485,1
White,Both,Other,Yes,203.6697815784011,-30.018320777212416,C,D,C,46.979624330575646,-10.219626137384811,B,76.6914385888531,E,E,169.4132935595211,46.45066436618364,0
White,Yes,Other,Veteran,35.183378738917334,-32.47206110039503,E,E,A,-51.11069362178362,-237.18862721224636,C,-8.087846090762831,A,D,-64.28513163923749,-16.71993870018625,1
Other,No,UK,Yes,-20.827358352156264,-60.802393205882446,B,A,C,-3.0964071625485485,-18.976702570434277,B,-228.34214557502222,C,C,-125.16648456714847,-66.08976714818687,0
Hispanic,Mental,US,Veteran,50.813083646532874,46.25359481196726,D,C,C,10.521650922099735,-84.40929145255483,A,-25.691660919227132,B,C,1.9296236808305234,-143.22981486779395,1
African American,Yes,UK,No,-66.27423486051198,190.06473817872944,E,B,E,21.801724189914093,-6.72236281067925,C,-212.05616884688888,E,C,66.51850045911148,-155.4765336951283,0
White,Both,US,Veteran,20.837138525825235,-49.015144816581355,B,D,C,-158.33791704285812,47.873961194683055,E,-65.59815656088941,B,E,-36.676245409867796,-5.16375254094874,0
Black,No,Brazil,Yes,-106.92104624692662,-8.163091739398713,C,C,C,-219.16225266545504,-18.214255075874565,A,22.269241193554922,C,E,94.96999047931263,26.24527197169749,1
Asian,Mental,Other,No,-51.15521708132009,-98.4694984815022,E,E,A,-35.013905178094305,59.534507340013896,B,-194.0834626650074,A,D,105.81986157828591,-42.702372919692806,0
Black,Physical,Germany,Veteran,29.704076367994297,85.03357737624069,D,D,E,146.9081783771537,-113.71772597034993,B,24.266626127681956,E,C,-94.80715744873561,3.892995285382316,0
White,Both,Other,Veteran,2.442383855514447,-137.4684034054499,B,E,E,53.61963573641118,-72.25928443903572,C,76.60411505710081,A,E,48.99166142577205,159.67831044771208,1
White,Mental,Mexico,Non-Veteran,-223.1438714462415,-195.6555057663436,E,C,B,112.90279917382526,159.22110789391536,E,31.729292663506946,D,E,103.09259339708832,-86.10932701827237,0
Asian,Both,Other,No,-86.64038344278126,81.18781870865031,B,B,C,129.37271505597175,7.997147011303847,C,0.24353312678188122,E,D,-16.660891364354796,50.31685041196058,0
White,Both,Germany,Veteran,-15.722969346506243,148.90318378547198,B,D,E,-68.77888934223338,-81.40188043213314,D,43.21570383669624,D,A,6.635289587641023,6.377929644233829,1
African American,Physical,India,Veteran,61.70005557961476,5.7044689040311685,E,D,A,54.686944935202284,-40.80288677431296,E,-11.60051556924033,B,D,-103.1555962160643,255.17820170616875,1
Black,Yes,Other,Veteran,71.04429534606139,-27.07920280824719,B,D,A,74.47705673101845,-86.35778218396439,B,-105.89033564446231,D,A,-178.02869277984803,-238.89304356740664,0
Other,Physical,UK,Non-Veteran,2.944477376915783,-91.30527216872741,D,C,A,19.628172791569572,-112.48634338559349,B,-19.22565367077784,D,C,-114.38211763729997,-68.85227866546846,1
Black,Mental,India,Yes,49.10463941457509,-75.83572971863222,E,D,C,84.18701566348815,-62.57409403264024,D,32.216359817140294,E,C,-0.14150867648692889,-144.97674094312347,0
Other,Physical,China,Yes,-73.76700043146577,11.785803163821045,B,A,B,70.7299816515548,232.653861960378,B,-85.71502548120822,A,D,90.77232891607925,61.72215153285007,0
Asian,None,Germany,Non-Veteran,-58.78109265231385,26.355426337315635,C,A,E,-11.347025696462874,-37.32387584601501,C,-52.007165118753015,E,A,-42.842469867180036,-59.81396359341383,1
White,Mental,Other,No,38.9406107229192,142.1265152286191,A,C,A,6.116768153725101,-5.804454143674149,B,-57.94188454457686,B,D,-34.66033984178041,-391.93299123871617,1
Hispanic,Physical,Germany,No,125.36808156811219,19.13391554101448,C,C,D,-35.86032026846398,69.98629792636083,A,118.6453908458161,C,D,-9.933668571365615,-153.31593496441255,0
Hispanic,None,Other,Veteran,24.245064887037195,7.107441810952718,A,B,B,-134.41449177291148,95.7535719965012,B,103.29513850325765,B,C,63.05117560161035,28.176555777605365,1
African American,None,Mexico,No,-23.909333634805616,14.13329575573089,C,D,C,139.99161371680998,114.44606979752778,D,-74.63567955039441,C,C,-5.499964100490581,-1.1908637212678572,1
Other,Both,Germany,Veteran,-37.424614069041446,-189.66121057951128,E,C,E,105.48394548049271,-1.9724389628991594,E,289.2110153252901,D,E,75.9855769561708,59.39558943952263,0
Hispanic,None,Brazil,Veteran,-84.91389348105155,101.13758928351338,C,D,E,124.45328714763637,63.88777931844758,B,77.09810663777284,E,C,-78.08698382376068,-70.96569514747235,0
Black,Yes,US,Non-Veteran,-5.273204420943511,83.3069397177256,D,D,C,33.94711869670973,52.68377470215886,C,-10.394055124154571,C,D,-80.96320623403085,-24.739224944425732,1
African American,Physical,India,Yes,-97.1833124594161,-8.320058820959458,B,C,E,8.884154622164377,-191.60477325463395,C,-113.19127394408252,B,C,109.38609139623567,-36.21344245032873,1
African American,No,China,Veteran,56.30513137577557,20.804994505227075,A,A,E,-239.92117737723802,-82.47410454323479,E,-114.3839077112071,E,D,-14.220409181034507,87.28612835708512,1
Other,No,Mexico,Veteran,-5.898099691493592,24.076220573486456,D,C,D,-82.18674989248196,-46.11169971350761,B,37.37436187846727,E,E,0.7115187807324681,-140.13036704037845,0
White,Physical,India,Non-Veteran,129.42094947397496,-46.93740482498189,B,E,D,14.70143924201022,17.413291361661795,A,24.250002346707735,B,B,-8.889853206642954,-7.1419829074521335,0
African American,Yes,Mexico,Non-Veteran,6.099984306047843,-189.95648744409172,D,C,A,160.63161400307956,-100.86519996922618,C,-114.67452523880122,B,C,-127.67776726754443,17.846483720591877,0
Other,None,Mexico,Yes,47.50877036884424,-98.48259457310367,D,B,B,52.57180795141405,-107.77530153361798,C,95.04796784748454,B,C,73.46760305727001,-60.920226699821846,1
Asian,None,Mexico,Veteran,203.11496539150338,27.155322286778937,D,D,C,23.5852099067337,-2.7977482731446357,E,74.89326606587956,D,D,-45.70647274517276,101.44660013397325,0
Other,Yes,Mexico,Veteran,-104.85928727797655,-18.69686540649531,C,B,D,-150.43166804219584,-129.0658939222856,B,-61.033473148484454,A,B,144.65632814453292,77.34173573914276,0
White,Both,Brazil,Yes,-48.03460760041276,-43.68606085965787,A,E,E,-58.58859429270762,50.45719683874644,A,144.2832512009174,C,E,-72.32526360801953,-43.2778774218153,0
African American,Mental,India,Veteran,-2.1395609573778738,-63.92139134663303,B,A,D,-39.033661711250964,78.55889023966363,D,-186.7672662105372,B,E,-139.1710490391534,-212.74845940267122,0
African American,No,Mexico,No,35.6713184537161,184.7978712994691,D,A,D,-13.049013805959692,-41.8811126714017,D,124.85935123842236,A,E,-207.85775083161596,113.47825199811486,1
Black,Physical,China,No,-40.287413900399514,80.8333976156796,A,E,A,-29.770106836305487,-27.88604386959831,C,-114.72670137507006,D,B,-126.77724025360027,-89.09102335339841,1
White,Physical,UK,Veteran,50.34302878043609,198.6221403318057,C,B,D,5.688048590781048,95.83476995475954,B,-5.116813758806106,A,A,-15.2546602902627,-46.76912239522018,1
Asian,Yes,UK,Yes,48.41837663435904,7.712878666495464,A,B,E,139.19727899203198,-60.37276337773852,D,20.399076174520435,D,B,97.41666773361555,22.46208625324079,0
Other,Mental,Germany,Non-Veteran,-2.80343896722942,119.8115526413302,A,C,E,116.14504683576136,-1.037537817381245,D,-143.50266891188792,A,D,143.41458445988837,-82.8298573224702,1
Hispanic,Both,Germany,Non-Veteran,4.111821383043783,58.032436837176945,A,D,E,116.7140160106908,14.445715692651001,C,-38.2490254373868,B,C,-47.0267800576537,-66.12935971092993,0
African American,None,Other,No,74.02859562687858,-81.18402504388402,B,A,C,-92.88556556802232,17.99354877673591,A,-34.19951966471992,A,B,96.8351149876803,-64.96542269969338,1
Asian,Mental,UK,Non-Veteran,13.00134483572714,-80.15130064666903,D,B,E,-141.41690168089852,-76.258999191438,E,-121.39284096631778,A,E,-58.014614989247605,-90.1107675799202,0
Black,None,China,Yes,-134.08997330291677,-38.24140940853629,A,E,A,-134.20218591787142,13.197103108251643,B,92.73696462347237,B,E,-38.97385722625535,128.28454790612952,1
Asian,Yes,Other,Non-Veteran,29.634490888935943,16.843126516080765,A,A,E,82.11196001156378,139.39865808246924,E,88.00068515022346,C,B,-37.46700860723912,-242.85962529544807,0
Other,Yes,China,No,13.433245560802035,122.91364688869429,E,E,C,-36.5320725507416,11.233943988589983,A,135.57582068258017,E,C,-54.254962591121966,32.778205023728454,0
Other,Yes,India,No,-59.43770676619512,-85.4198146615449,B,A,B,-154.93672158364228,115.46415188319459,B,-127.22750329068005,E,E,-12.568044849723575,61.16585936260213,0
Black,None,Mexico,No,30.189310400301018,167.24076375667954,C,B,C,0.2172704639739858,-283.4068065380601,C,-84.82377543686972,C,A,92.94891484193961,-32.61298329182291,0
Hispanic,Yes,Brazil,Yes,-17.763262560989762,60.323897324800036,A,D,E,16.10134564239996,-18.194483122079067,D,14.752226999596447,E,E,61.99968871575629,-133.33444898130833,0
Other,No,Germany,Veteran,153.10079290151774,-176.71878874133662,C,C,E,-4.969023190197007,-7.670675896818347,B,47.22699869269606,C,B,-26.20278495359877,5.914193464219183,1
African American,None,India,Yes,48.03442769255713,-115.87885774758915,A,B,C,77.12358551421512,137.19971365070924,C,126.30314403683522,E,A,-40.60424590711726,-66.81627916108786,1
Asian,Mental,India,No,-10.992089076914882,147.5072862043572,C,E,E,205.9041265268148,-66.74947347470346,C,-85.37086078063814,E,B,-267.9152246804332,-59.66235576097194,0
Hispanic,No,India,Non-Veteran,-154.16113394136917,-102.47607577043757,D,E,C,-17.684309939967253,-104.52348489641913,D,-66.8470916248793,B,E,76.54494615864327,-70.94237834763956,1
African American,Yes,UK,No,99.43206819868568,-44.091777361277096,A,A,A,-142.5626246102323,-39.92336516382619,C,-63.72211695048665,B,B,199.3375458315394,-75.50999935506914,1
African American,Physical,UK,Veteran,-14.027241596499232,-36.951379326982156,D,A,B,0.5210936635268562,-22.8912499118293,C,-121.53068523107218,C,B,26.47653948577478,58.77993270335894,0
Black,Both,Mexico,Yes,158.06476888131436,-62.12989035045755,C,B,B,148.5010008894094,94.23442470152582,E,-131.29163783222327,E,E,30.76813094099103,-59.58433834143242,1
Other,Physical,Other,Veteran,-6.24649911573489,43.51889846088646,B,C,D,-20.04508926779055,-18.219153197526026,A,-111.67689072798248,B,D,169.7700138835078,-52.92518802970654,0
Black,Physical,Germany,Yes,30.229610885855262,75.07258789874021,B,A,A,-110.37035319662829,190.80295679175256,C,5.986455912356273,B,C,-69.98733690548353,39.28346187012933,1
Other,No,US,Veteran,271.27893466447165,-43.24579901532937,C,B,D,21.09453739911236,-4.888121423931391,B,-164.37220554984563,A,B,66.44456652231685,84.1236809286427,0
Other,Both,US,Veteran,23.099800290499562,32.800213574554384,E,C,C,-3.24868088516412,-54.009404248574214,C,-60.202828063622874,D,D,110.94937625443642,-31.40115085012802,0
White,None,China,Non-Veteran,98.70833078603755,-43.88301962367522,D,A,D,-247.37585877586557,-42.4456481771877,A,-112.82199527542629,C,D,107.90294027377412,-15.58458076581417,0
White,Physical,Brazil,Veteran,187.11680816737058,-127.89316297349403,D,E,E,103.68757356801186,169.26363542903897,B,46.70695248688999,B,C,62.15759561162023,77.5354828770184,1
Other,Both,Brazil,Yes,-87.3808877114908,36.747367011155454,C,B,A,3.1185572098665504,-43.15340243644896,E,-53.339544265161706,B,C,116.7798171626784,227.09617002664203,0
Black,Mental,Germany,Yes,-107.55670366853684,64.07188945487312,E,D,E,138.21588518262342,87.04502887147999,A,-109.53586613094137,A,B,-100.1135498582966,-16.73712250438136,1
White,Both,UK,Yes,-44.9352426614144,66.08443736780775,D,C,B,-36.06597252296693,-58.956380568521595,C,43.23851888550498,A,B,101.72296242155603,61.32736078588471,1
African American,No,UK,Yes,-109.44735955568785,-9.237346805138907,E,E,A,-103.9929715320915,66.82925187959627,D,-99.81450269869767,B,B,107.36008286090382,-139.01417120855413,0
African American,Both,Brazil,No,60.63116899564833,-272.61378268856606,A,E,C,109.71311857879513,12.347448021001671,D,-54.65486331029167,A,A,-68.44490568666824,-15.41242597453044,1
White,None,India,Non-Veteran,-182.74933335481796,59.80507402213796,C,B,E,-11.038277706934187,77.03743012136476,E,4.4751235828490605,D,B,-150.93717593307173,41.02072461835813,0
African American,No,US,Veteran,95.5129275399066,215.83054565859797,E,A,E,-128.52095611544473,-1.519503159149654,A,-18.707120966626462,A,A,-26.268023906540673,26.42368088744325,1
Asian,Yes,China,Veteran,-171.76453870881755,-92.5950252338151,B,B,B,-80.29829416862444,115.37926501581887,B,50.204089785573004,B,E,-134.4114631687108,5.212220405105461,1
Black,Both,India,Non-Veteran,-51.15568030053835,19.151679454149836,C,A,D,-108.7030229121579,112.08831357082035,A,-55.19222583958361,E,A,56.24535029581933,-25.997674435938244,0
White,None,Brazil,Non-Veteran,-6.225837347373599,-83.19486936567976,B,C,C,44.18219982532991,-90.72953542001908,A,-22.802612867723532,A,C,20.719980770630965,53.40482746206442,1
Black,No,China,Yes,111.31573049535058,-202.78862933383942,A,A,A,132.04086010526893,-116.53172257586488,D,154.34507541270125,B,B,92.72733488198232,-60.14814947071141,1
Other,Physical,Germany,No,122.27996272697467,-91.91750593772737,A,D,A,-64.46444475686359,88.19250146864151,D,2.7996252970263478,C,B,8.221772252728295,-3.194568109861144,0
White,Physical,Mexico,Non-Veteran,106.52069596406753,36.23311338214762,C,E,B,48.06721919729633,81.98912034468762,A,-184.83493799340587,E,C,76.46155212200568,-66.44813593194128,1
Hispanic,No,Brazil,Non-Veteran,-71.75885328586108,-208.99635387739352,A,E,D,20.352995928788673,-44.55665487026096,C,131.35495061561784,C,E,-31.997942520803303,58.84630826377657,1
Black,Both,Brazil,Non-Veteran,-126.1320510847798,-92.04648224519659,C,E,B,48.67655620983274,103.20981131775343,D,-105.18024364011937,C,C,-1.3293504389275086,12.2984746663092,0
African American,Both,Other,Veteran,62.90830944255136,-161.8163367281364,C,E,A,-86.3284670143762,-70.29916236739733,E,90.21975665098702,E,A,-92.57640816247755,22.998356770110252,0
Other,Physical,UK,Veteran,258.0750897248497,29.02826129056711,B,B,C,111.58991581060825,-181.9504512705766,D,14.732167461935683,C,A,18.214863514096876,-96.12768651514621,0
White,No,Mexico,Yes,-35.80618911475396,-109.6946875339801,A,A,C,80.01961521271082,-10.12147955866336,C,-65.26438946505164,B,D,61.98691046876132,-180.35472359012343,0
Asian,Yes,Mexico,Veteran,-178.50549808578106,41.5397575592282,D,C,C,78.16038601856931,156.15344798523097,A,-287.93620667221944,B,A,191.13418657806687,89.11998864399155,1
White,Physical,India,Veteran,145.06547928861931,46.2281504455217,B,E,D,-150.69434499443798,24.590099818143784,D,-147.6561088020205,A,E,99.59471314006746,-225.77101880966063,0
Black,Both,UK,Veteran,1.002886124019152,66.1706978596865,A,A,E,-7.822444607913362,-87.93049153729169,E,36.445944858475634,B,C,38.14418256399764,-233.9318058789359,1
African American,Mental,Brazil,Veteran,56.91441896542445,-154.19286825841976,B,B,B,-114.49950652969545,-65.51191247907094,D,24.5460163129468,D,E,-33.008070101820074,-98.56122198477874,1
White,Both,Mexico,No,49.39492219502245,31.76741171616139,E,E,C,-66.46954066011881,63.4188965828833,E,9.138172406936372,B,E,-92.56757606976782,-28.370824707900116,0
Asian,Physical,China,No,105.01579557754191,-3.2779235163940683,E,E,B,95.14444932144683,215.78284723099853,E,-97.82010798541913,B,A,-113.16548378612896,87.55411005433193,1
Hispanic,No,India,Yes,32.920783212463206,21.903930663988273,B,B,A,-48.296033097621006,-109.0287685645682,E,10.428664982030693,E,C,-51.572574708998495,159.19714331547422,0
African American,Mental,India,No,12.592669892330594,31.87091706492953,E,E,A,-34.945296546869194,88.56853137917523,A,13.862591622003345,B,C,119.90417013176598,13.775501539179002,1
Black,Both,India,Non-Veteran,58.28549896741472,89.21914563122046,A,B,C,-13.728492336749113,-64.04551637943365,E,26.321145932453945,C,B,55.9289544779649,-77.06449846829678,1
Hispanic,None,Germany,No,-49.084749029999394,27.09054884048838,D,E,C,-67.08060253078408,-64.87070484193038,E,38.405075833519604,C,A,-140.42262129400945,-183.4170369167948,1
White,Mental,Other,Veteran,93.42847601815832,40.87433413214547,D,C,A,-36.836649244804256,-54.56622855821944,C,-41.342871115933264,D,D,-73.30408086467591,-31.88307975105828,0
White,Yes,US,No,-1.5184102363726102,24.532443865341378,D,C,E,58.83807400983652,99.6298309236496,B,-26.794525043883944,E,B,-61.907938877441474,146.80511797284973,0
White,Mental,UK,Non-Veteran,-95.33053426119594,80.83334923204202,B,A,C,1.672757895393613,96.72946956121677,D,160.44125184993172,E,E,90.03763639891582,61.35674035201073,1
Black,Both,Other,Non-Veteran,23.225792585548273,-20.528606015151347,A,E,D,-45.03420007584988,-62.13029473370219,D,-23.85834121726434,C,A,-68.77020269097231,23.68657338817705,0
Hispanic,No,India,Veteran,-119.95883743114386,26.75486044834161,D,A,C,191.3790026586013,-115.65446254638721,D,95.23202870740552,D,B,-25.490420742929025,169.5372734787865,1
Other,None,India,Yes,-21.237811535189035,10.470822751837979,D,E,C,44.000126213066906,-87.20246571056795,E,-107.77385161219432,E,D,-165.81865912745346,-41.47218000570018,0
White,Both,Other,Yes,-111.80147782212111,-9.026173556965073,D,A,C,18.651730329676656,-39.893098434731705,D,-2.200577307038031,B,C,27.305157956765854,-85.98810949210002,0
White,Both,Other,Veteran,212.8602127408367,-108.07672365042478,D,B,B,12.67595215474143,90.98579670273047,B,-90.99124234189829,A,E,6.08102778313717,100.86702549807092,1
White,Physical,India,Non-Veteran,-126.71405042779149,-77.523302165324,D,E,A,-7.545892938900914,28.578335665746213,D,-96.58774235929188,E,A,-226.48031355588287,162.30350352932902,1
