sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Non-binary,C,E,B,7.355106979319641,D,E,C,C,-211.76672137511642,-92.92133810691304,-195.8376957355227,D,-63.985412264357365,-27.464898591336564,A,-124.98686622016155,D,-83.54518305493168,-150.8003754715711,1
Female,E,A,E,18.083384375831816,B,B,C,B,-13.760960312649845,72.12219610455199,-44.20181132734189,D,68.34586103288032,-129.87850673019153,D,-147.14660383769683,B,-185.88869529904184,-3.3586548759394965,1
Male,E,C,C,-26.078234359380836,E,C,E,D,123.95807109399699,10.612442169705444,79.07235063449302,B,-70.24675147276466,-59.82865665468452,A,196.90437575938134,B,-207.26275223225423,107.40257742625579,0
M,C,B,E,53.21531496426077,B,C,E,B,-90.4832805597888,116.26349503894637,52.76698056925157,C,-48.70350778358145,-67.40176475918624,D,9.273444912406909,B,-34.87736370734197,186.0754308764277,1
F,D,C,B,-42.56532694165559,E,D,E,E,-15.697334855351741,10.744599162587894,13.18177255832977,B,111.53856986190054,-3.1587341331015026,E,-54.868882602336335,D,24.06955408988908,100.10300476009013,1
Non-binary,D,D,B,-9.534033974312445,C,B,E,A,42.56338535378289,-67.76514863497594,-40.8756696935339,C,-17.93164366160053,131.07978936841675,B,53.925709801487464,C,-61.22177384062552,-104.61774473323757,1
F,C,E,A,172.13784097601678,D,B,D,B,-33.48584086112969,-81.07219857724253,-98.05139393091201,D,150.69073730543636,208.74180565085604,E,235.23871834074646,A,-72.4117228500758,-95.97234760100274,1
Non-binary,B,C,E,-41.49247157501371,D,C,D,B,-125.85038178305481,-86.38710324379339,3.73071240551457,C,-100.32414789236476,56.364015973831926,A,-6.287971660437836,A,-24.427407385283473,191.8597037947564,0
F,A,C,C,-183.8497765205531,E,B,B,E,31.75432634261241,76.51659927991511,18.6231395536903,B,14.189222938230047,-59.19623138086128,C,8.544241950182203,E,-233.0331343595775,4.895772584300606,1
F,E,B,A,-84.02125516040229,D,B,E,A,160.88423342798552,-80.45243207958826,-48.43412863902893,A,-45.270014821541324,-2.881165582214546,D,-85.59241716275203,B,-204.06665207613463,145.93892115384392,1
F,A,C,A,-117.38704108179994,A,D,E,C,108.62904988589317,-46.712253204543124,226.18518306369796,B,112.58304520696217,30.497100608619004,C,51.49194264850109,D,169.94792067003684,17.355861866428178,1
Female,D,D,D,-123.52393989548524,C,B,A,D,57.65921944592224,-82.42256333664604,-158.1417041724849,D,-54.53992877245266,101.00851190527365,A,25.52624456014496,E,99.87719481854029,90.90543088716458,0
Male,B,D,C,54.1453553101262,D,B,E,C,83.50132361711022,25.098318524192614,70.25633764500374,E,125.74483055528344,-21.62012763154639,D,235.59486965122426,B,-137.37077080298056,-8.324699609592964,0
M,C,A,A,-26.52430820872479,C,D,A,B,-41.81194071707364,62.546669044291356,-118.55763185362065,A,59.99689580863996,-77.85655164808595,D,-6.027987021423317,A,-27.651587672066324,-140.2114008341822,0
Other,C,A,C,142.40455996832227,C,C,D,B,228.0636282399404,40.116028227071574,254.96091727292446,D,73.62603876477971,-4.06035015646168,C,-127.08182362212762,D,-114.1705895786092,-46.17457700096704,0
Non-binary,C,A,D,85.63970017489673,B,A,C,D,26.492807106336645,-32.178642777728584,60.51789253507539,B,-192.1832149701514,-43.88223181736855,C,16.538107958280175,B,-3.4810361451297935,83.17485705380719,0
M,C,C,C,-135.18542334834822,E,D,C,C,-76.22793827186395,52.190734560453436,133.59007782438798,A,-66.5320600577615,3.911513683418155,D,33.70727574338864,E,-187.05104717171932,55.47292793478855,0
Other,C,E,D,-34.940716123258454,C,C,A,D,23.699701407612526,13.333975659846756,-64.53032998847631,A,-60.14990459234756,-199.10530289502992,C,38.92498513629778,A,97.93423285959915,-175.77628896702814,1
M,B,E,E,89.50154926341357,B,C,B,C,-10.687772468843699,-1.8962771097751137,58.28029697970409,D,38.50159408010238,7.5521488120424936,E,-20.598657774900396,E,-4.530965381769268,-134.80647902258238,0
Female,B,B,E,11.155946614212514,D,C,D,A,-19.306700536061015,-165.63216336932547,-71.55369687078017,A,77.09764598721553,-37.18676464875735,C,-170.14901207569307,D,-139.2655196987803,-121.99818279449062,1
Non-binary,E,E,A,-72.9126962130077,A,C,B,A,-105.59559581857634,65.63306419690767,-58.28830533573004,E,83.77042269488366,-135.62529933446697,B,-77.9110109280745,A,156.75356295735565,-96.02437104815942,1
Other,E,E,C,-250.65630045769214,A,E,D,A,-136.57943908247427,12.091301806146495,29.801118656276802,D,-54.2848039125166,-81.92947192543095,A,44.36281458183792,C,-0.7173733884829093,-170.09376638151383,0
Other,D,B,D,155.74460856742803,A,C,A,D,-43.5083545451027,9.583091225642214,-56.319476156690065,A,36.335881745703325,-27.318318094977386,C,-144.07754166776564,B,76.2679363831042,80.84675763625889,0
M,C,A,B,-58.446772742313,C,B,A,A,7.045814261895909,-98.6108216993121,256.67277478574226,B,-27.08691413817358,98.06066966472594,D,141.7596704336423,A,14.34238248956294,-64.26919582815532,0
M,D,D,B,-26.596147753360906,B,B,C,B,-12.628250469724769,11.753574767257037,-132.82051265447708,E,46.60430184809679,-30.977495004208166,E,-111.28623173316763,D,35.12719554408054,30.679933445747064,1
M,C,C,C,145.4145976497022,E,A,A,A,114.71482316250503,-44.43107699116896,94.32800402557702,C,-40.97565580034015,52.8964858934789,E,-4.020739978036719,D,-51.46327178365161,-147.5234102193747,0
Other,A,A,C,119.23297156347314,C,A,D,D,-38.40258177401711,-280.38325385483375,36.02551292921379,B,43.10844417051704,11.231221573538628,E,80.62691991463366,C,42.639362690469525,-1.1725385946083078,0
M,D,A,B,-55.74292753194827,A,C,B,D,139.84000957935925,-3.0261983168855973,51.60622233858974,A,-78.41508051442489,64.23402246232118,A,-115.07788398234847,D,30.117032447364867,-192.78960626763757,0
Male,D,D,C,-152.26842157642167,A,C,D,A,-25.25827517220743,87.31315348999766,204.42408279579553,C,-95.2784535911487,-6.884344451846486,A,-121.09535104260193,A,-53.752297253581105,29.788422608938163,1
M,C,C,B,-44.1978007201475,C,D,E,D,67.98859293441559,76.55131745931962,-58.37766634773379,A,2.4226202823216423,118.51074151316685,E,6.328846208718621,A,-80.90451032194366,7.273622975271277,0
Non-binary,B,A,E,-67.85691839141789,C,B,B,E,60.104296765150956,68.38337125467002,-42.92139742909625,A,-207.84951022956886,52.59594170194383,D,-24.767577053218403,B,139.53910802131475,16.398556196122726,1
F,B,E,C,-68.60471635805509,C,A,B,C,107.82716725350528,-134.46517656484295,209.93188089352236,B,37.69918582524493,150.18035210148017,C,13.99806373059555,D,-62.67078275673421,-70.52817392844943,0
Other,E,C,B,-7.971684565524355,D,C,E,C,105.51491440214569,-3.5596105019195967,-50.89585078928736,A,25.168048798273233,93.73630974065554,E,55.971076798876894,E,55.34925624649043,44.60252328780526,1
Male,B,A,E,162.5315114374248,D,B,B,D,105.96407996912932,-44.69138219953409,41.085135334892655,A,117.46121457043625,-111.78333825514795,C,46.253354553919,B,-51.316271778059374,-123.18807612948976,1
Non-binary,B,C,D,0.8080805663250843,A,C,E,A,-246.62136797116872,31.74851400562584,-83.57460625876818,D,166.9054326115914,160.2269111470711,D,63.87761759458274,A,3.5137688228856803,-133.23742659300456,0
M,B,E,A,16.940111381231564,A,E,E,E,-14.796026629780282,-13.66375741968148,-234.6069199145059,D,-44.06726216502842,-43.63297428765137,B,257.23307939263157,D,132.25864261993777,-114.39183676348723,1
F,A,D,B,-113.74458104367477,E,E,B,A,-18.070702411383934,-163.85788636491688,-51.064698399555965,C,176.08835407890396,-96.11652679239307,C,-17.320521485596043,C,-44.98289970043358,28.580694814850442,0
Other,C,B,A,-254.0264238664425,D,E,E,E,159.47521933540798,-70.68899197863311,111.55739009532503,D,48.66268026134929,130.22130762473435,D,37.64158850420929,C,49.14953273656212,3.618266771027395,0
M,B,E,E,-145.87369091031812,D,A,D,B,-52.40375247317881,-48.429877048352765,22.707383850337642,E,-25.352303323720825,130.47492182868257,D,106.40070465688024,C,-12.846897323630053,196.79798376373944,1
M,D,C,E,6.595531327768682,B,B,C,E,31.368224088091313,78.87848124622599,50.90980415589872,E,100.36593257846249,-135.57069392937896,D,-149.7516253992719,D,-117.33103493660842,143.3523910106296,1
Other,C,D,B,-21.532942180274734,C,E,A,C,-29.255772610243763,-50.435892388557505,-58.8547637535489,D,-70.28872122029497,16.06221170522688,C,105.63724681605879,D,82.581786535238,173.1237304664891,1
Non-binary,B,E,D,-4.8141720069734335,E,B,A,E,-189.08189469098983,-239.35238237672084,-3.055464441239484,A,29.499592811880532,27.029115494196642,E,-45.81305110071042,D,-12.311612779401509,116.04166321078341,0
Non-binary,B,E,E,-122.2743275614002,C,C,A,A,-92.0325412428949,-61.23071903428612,-112.9784988962416,A,-141.6853842506321,-115.12711310323436,A,13.286144498723123,E,-70.10341051634505,-68.92817024132759,1
M,E,C,C,50.11887197243363,B,D,E,D,-42.37771229570096,-50.793152981222555,-49.3287046524458,D,-23.787873308574028,17.50643425522162,C,-169.1834547194872,E,89.56596190083948,17.064312535652963,0
Other,B,C,C,-130.78992623329597,B,D,E,D,10.631876242266076,151.19690581726212,-94.0699914307671,C,97.42580828112601,114.82579069279369,C,90.55142794580287,B,37.84888831744927,112.11192810572143,1
M,C,B,E,50.53211538297775,C,C,E,B,141.6880275773677,162.2885893249055,87.15008304259064,E,-71.69871287850792,57.32256661390353,D,-17.407523830907877,D,-55.56461399806154,9.329695569536261,1
F,B,D,C,-9.644648122129277,A,A,E,C,122.06203486881344,39.87284422397855,-155.55964401375994,D,53.73746657253034,84.58850806240899,E,115.3357272317171,E,-93.83906857162931,-7.368282887944065,0
M,E,E,B,-202.19033526091903,A,C,D,B,94.58066212128941,179.9865019442006,-54.30347134254888,B,-139.69697123070927,41.37619462616426,C,-208.37847003218343,D,-81.17530059545632,0.8772122135537525,1
F,C,D,B,60.844327008961876,B,C,E,E,-91.85715656287765,-1.4666663711403214,181.1501247793263,A,-83.55518855321381,-15.259993050882075,B,98.36750204336138,C,-15.664421556004465,23.758083000117082,0
Male,A,D,C,-100.80190730221813,C,E,D,C,-2.671674337349634,3.526292477458958,122.87220077788908,B,60.31387797615406,128.4399846936263,D,174.8699600408965,C,94.76471686257783,-12.208776159969856,0
Other,C,B,E,-46.05569653748403,C,A,A,D,-156.99110658858325,69.14569729438058,-72.58497797606283,B,48.560693324647424,-102.44928335690298,E,130.0817372634743,C,-9.004706310289338,84.7039377454602,0
F,C,D,A,9.762184558616736,A,D,C,E,-90.98390296770246,73.92588466752262,46.40872860625503,E,-25.522985220129236,-106.81291281198608,A,-138.29316425745077,B,-38.72873546759263,-124.51780384372138,1
Non-binary,E,C,C,-42.61872409790409,D,A,D,A,118.57053581542193,149.26546154134766,-71.93125120879922,B,-40.93583374884335,-5.513307261469863,D,2.3133470858779823,B,6.993423985450188,-44.329597850938555,0
M,E,B,B,-15.822820291534548,C,E,C,B,108.44669671378193,-4.709831908460845,-24.75273557371463,D,82.70609204660859,-158.81677459137194,C,8.525557515525966,D,-203.18447374628454,11.532611365356257,1
Other,D,D,C,27.582370835140463,E,C,B,B,-116.28969776738644,62.437291580393996,24.142867130002667,A,-113.67286743529228,-50.73971476423792,E,22.71767508712421,B,126.48111292718612,46.519243858328,0
M,A,D,A,-73.83514624717242,A,E,C,B,47.22602990866013,37.924052906277424,29.6210636207773,E,9.423447823696039,143.29014561395755,A,-160.07471300377262,A,-149.31432724299424,-139.14502173415516,0
Non-binary,C,A,C,133.21371674782557,B,C,C,B,72.78387401116716,-98.17501867468556,29.912550101877706,E,-84.30032450480503,198.2880838008665,E,14.860605780649832,D,16.72646024668829,-208.97459724682838,0
Non-binary,A,A,C,12.870021508295771,A,D,B,A,222.3262583307183,114.9178556607972,-82.31866049743519,B,109.8690372635328,0.9334996073981152,B,1.419973283576689,B,216.50953187870695,-311.86107491386207,1
M,C,C,E,65.28912122540841,B,D,D,B,20.85916585922859,196.65719244037695,229.36207365623878,B,98.03313981576088,168.93640353488897,D,-100.6172961349516,D,-153.99141665943856,48.3004237156899,1
Female,C,B,A,-54.42262587141672,B,E,E,B,35.274093496334245,21.899198057624815,61.40443138079803,C,38.84071741819034,59.51307223688852,E,-59.79653331458125,A,43.81255519239334,-39.192695327897106,0
Male,D,A,A,47.82917744574431,E,E,C,C,36.792464663538496,-42.402822558418286,-86.01093564193559,D,213.0155839043177,-154.1805845896881,B,-12.51384537341388,C,-0.40676912327034054,-8.407842037819472,0
Other,A,B,E,-150.34581487368519,B,B,E,B,72.85605513076246,-49.156724191037036,-178.72764336126482,E,48.202679546781226,-99.80560433505413,B,29.89040788633033,D,-155.56049675745388,-111.31418500463761,1
M,D,B,C,-73.10483444968254,E,E,B,D,57.47996265676877,29.07604403281387,1.6275202609440733,E,54.37429439149132,107.06086819221845,B,-71.94826774462422,C,18.499305316224852,40.857865277204645,0
Non-binary,C,A,A,165.78285260741904,B,E,B,C,20.52554234351951,-10.281846083931002,-6.472882354411816,C,-16.072348541464503,-143.33641398026546,D,84.55750307586219,D,-11.746227103245728,-89.88776166102924,0
Male,C,C,B,57.55153003671089,C,E,E,D,107.18123477595415,-37.56091205931959,207.07125381710813,A,16.192422795886642,4.691978964557625,C,-35.12153127550242,C,72.30348231745975,-15.258333334035937,1
Other,C,B,D,4.701159600174108,E,E,B,E,36.06475098530144,166.8307834637635,41.55971308832601,B,54.952914598809535,-60.31413691571904,D,68.4850363090604,A,-71.52624578471803,-0.5521983432728139,0
Female,D,D,B,-51.180504335481366,D,B,C,D,-9.89158225578232,-69.44450296851107,-91.63525295921333,A,68.54117499930827,57.11929645490008,D,162.73055630321232,E,92.21924265767767,-23.317613272827867,0
M,A,B,D,100.7039908782661,C,D,C,E,-107.28006589588695,-63.05433539860833,-143.1785649877044,C,59.31245454388547,-60.316523935393526,C,-6.483793669463374,B,39.302242315156185,82.64962228336609,0
Non-binary,C,B,D,134.26201269410052,B,C,C,A,147.72283784712326,72.13250948526438,-97.38379473202244,B,32.144905582007596,-129.45823748788084,D,10.671923653527934,A,47.0735638278356,-41.878395336530495,1
Other,E,A,E,-267.280108602903,E,A,E,A,64.6525276916299,62.66080303163809,117.31261992623104,B,162.5416495826229,25.906139086899806,B,91.15640629917718,A,65.30063773385942,15.052574795374818,0
Female,C,D,A,-172.45619505940158,C,C,D,C,129.0309302303859,135.13725936288105,-127.34726208579876,C,-39.47266597987036,252.35822552932586,D,-202.49610109750745,E,-136.37926638754473,-109.93961357865464,0
Male,D,B,E,-92.186745340886,A,A,B,C,-83.76118260835452,61.55828991390613,41.766498563116,E,-4.546013487601908,-7.1799416132661085,E,157.2456846039925,B,191.06420816088263,-186.07048938084833,0
Female,E,C,B,158.92214331458578,D,C,E,C,-99.69378515994526,4.61048161598945,33.25746480943341,E,-144.09585381916366,39.33899043169768,B,144.51431197816933,A,-40.396608495998244,-24.065735922971133,1
M,E,C,C,-56.01824346752567,B,B,C,E,55.84178081372711,-133.2594224881501,91.91262907961836,C,17.104174159820563,-177.14061503086336,A,104.08718838345233,C,78.79835576432544,115.00268057339818,0
M,A,C,C,-108.76112150934188,D,D,D,A,124.5176535068488,18.198900507684346,-61.70041905966181,E,163.293307490298,71.2306856122003,B,-24.679101800633696,D,-104.85387310612929,16.524303623340096,1
Other,E,C,B,-44.76600988085547,C,E,C,B,-47.30549872652454,-196.7449302290746,-151.01891438175224,E,-121.19847805644702,-92.9419540306345,C,-29.78472181623087,B,-72.80447926914024,-89.63462192475791,0
Non-binary,C,E,A,-151.04721308315092,C,D,C,E,52.00096253728764,157.73237643583045,-55.65065779803567,A,-62.83286774101393,-156.63881141279234,B,-75.17958954465908,E,64.83412370100515,-6.205479537617054,1
M,C,D,C,113.18377381036986,B,A,E,C,17.71693670886982,44.7832563876205,233.33193485693295,D,-39.404739217113985,-129.04264316443866,B,-87.03374573257008,D,0.6065480933974667,61.37138203454431,0
Other,E,B,A,80.9281033581428,E,D,E,A,-216.53063290488382,-226.1734816391114,152.61140514559085,D,66.0437548822247,-72.92723918873463,C,111.27595680614277,C,-58.32932097918289,-59.081436210191306,1
Male,A,B,B,-57.54311224047984,D,D,A,C,3.8418549459068725,70.76851256825819,106.31694037880617,A,136.35583438269876,9.606859630054142,A,10.912685322464796,A,-27.31757231167381,54.23305261538095,0
Non-binary,C,E,C,-193.58854982229863,B,E,C,E,74.56912314577531,126.4787872875964,102.30475431033379,C,-34.35499945097431,116.87240888676101,E,-51.240678604187515,C,84.34501623168194,43.679527024537904,1
Female,C,B,A,98.77110620342661,E,E,E,E,-123.505532438815,-160.2413193530484,39.04627782111345,E,-0.05688636065082234,64.95201415563521,D,-89.21067034742539,A,28.145832480622367,-61.12093324287081,1
Non-binary,E,A,A,-69.14301278891884,A,D,C,E,171.33752747071256,50.50951597910929,30.754875084189266,B,0.3123407297418702,-82.13154116965114,B,118.11713824173242,C,23.84503703307742,-4.85679846067758,1
Male,D,E,E,22.73656690706358,C,C,D,C,201.09662413667388,-77.68951482456622,44.04646817646684,E,100.97987362326018,-53.08799860914601,D,182.31417974921865,B,112.8316742648098,-147.53774300303945,0
Other,D,A,D,43.4771069357332,D,E,A,E,36.65987711245897,116.67069891683937,3.502172461622919,C,-25.461152575288033,-224.32904890199077,E,-20.099204517992096,C,-120.53977861671387,59.19399382531968,1
Male,B,E,A,-87.15917470945156,C,E,D,E,31.780649902488058,109.64756917662888,130.49525828126158,E,14.500309885059764,-48.50249689470223,D,54.86068166788522,A,-134.59009908024447,-129.39125969968526,1
F,E,B,D,60.644889579239404,C,A,E,C,-77.03378860264709,-21.21634758125736,133.94403225320337,C,-19.466962544008574,-44.19018727194674,A,32.44645107115097,D,-62.67717643005317,-0.0746145673927626,0
M,E,D,B,4.322722951398981,A,C,E,C,-130.12296684415625,52.165749996861564,-114.21508562318483,A,6.318427098492734,-154.24642781991608,B,10.579155974446579,D,22.656763334933995,110.74507334956478,1
Other,E,C,B,-46.29872733202746,C,C,A,D,-95.41384064381404,-177.31623598475866,21.68739120443774,D,-102.90616114035376,-17.824629166330062,B,-49.37552643816954,B,-25.853050303264357,45.73856640181487,1
F,D,E,E,38.84831128681322,E,C,C,D,-53.570484322332426,143.97509137799997,183.20285774396942,A,-90.64825273410536,-62.01258506543562,E,-74.40010884995336,C,156.7159205860567,106.68022270802683,1
Other,A,E,D,58.66208175130496,B,B,D,A,-4.070574554331679,25.892688950945054,-10.32631367476434,C,-143.9543089685848,68.63126345169889,C,-161.99817800385833,C,-16.292770076906773,81.05846248102358,0
F,A,C,D,-137.3397840417035,B,D,C,C,20.932744472459248,-54.57049121431847,-69.37676964298647,D,59.79758248253491,116.29120814280338,D,22.337589647938312,E,97.4143794492474,117.24344217578626,0
Male,C,E,C,-133.66870954660453,A,E,E,C,-13.1350136308733,-69.43526501340878,87.65641968487658,B,61.783059590217235,90.59229471199012,B,-46.69523129324674,D,124.46953853323303,246.60439024249325,1
Other,C,E,D,-16.138344010642296,C,D,B,B,142.2397902552424,53.73368044078648,61.78139818130385,E,13.02804042920338,-14.9800735103912,C,-8.53682652999891,D,-60.49026305596914,-24.464528594547694,0
M,C,E,A,-97.84422900767379,D,C,B,D,150.37905769146667,-58.9881358288997,246.31219686289043,E,-126.4185432497041,86.35248098375064,E,-205.8049410637353,E,77.33783864419313,295.32837606813166,0
Female,A,C,D,72.00809494316755,A,C,D,B,-51.315221572129644,44.63287528479794,-62.60614171075536,D,-52.3401798737259,11.724168273123551,C,-57.831592521567664,A,-82.9279830641015,-60.959509913772926,1
Female,C,B,E,-4.845920933389137,B,D,B,B,-38.976811241613696,18.74825437355453,-116.8187299843351,B,8.557948067083183,115.22712955057285,D,-115.9353639089643,B,62.140377724277954,-93.91918330599319,1
F,E,B,D,-161.99730522348327,A,B,A,E,28.081725027138553,90.26387428512744,-76.33419502248015,B,-67.52127468144045,27.036689047301994,C,29.43563739073849,A,-1.392763240184079,43.07537484149472,1
Male,E,D,C,18.836966191769836,C,D,D,B,-18.07376913602202,195.2130079695782,-113.42986572183985,B,50.14563508414217,-123.99545724744037,C,3.1027330721768878,C,-83.59257277258621,-98.39259485395607,0
Non-binary,A,A,C,17.302636413966084,D,A,A,D,-38.18076026529588,90.183247978606,-20.27709079266102,C,37.72974484561811,96.69864710477637,E,-56.64079195610449,D,84.65797846251492,-46.95576560123533,1
Other,E,E,E,165.4205776186625,B,A,D,C,79.09733975569647,-140.74813490047643,229.7319010142433,D,-10.319685189880511,-60.81600090002694,B,79.92546402395561,B,-34.621444460366305,-25.57913460819108,1
Other,C,B,C,121.37894431099667,C,D,E,B,-21.07541602478376,16.131976941429954,99.69623821144916,D,48.86050734628858,89.92665691898773,D,-11.200864801557215,C,-136.28390832437114,69.0688760646476,1
Non-binary,B,A,C,73.26652163684483,B,C,B,D,-73.10323703765587,0.13408263562567868,97.45678918868872,D,79.7244772099587,-8.689698369056478,E,-69.23355717886615,C,44.54890956201575,29.709270274349485,0
Non-binary,C,C,E,-45.707539104260896,C,A,B,A,120.72311071264281,89.1298322655539,-182.8135739338242,C,77.82731775638284,-25.76475980970865,E,159.44036384867726,A,-50.65722520904369,147.91706741685599,0
Other,C,D,C,71.311131090614,D,A,B,A,128.3747826295109,-87.5026167926981,52.94216574703492,D,139.93495733960188,-85.72122690574496,D,163.0694316746556,E,-94.5084238790615,45.098539540530695,0
M,E,B,A,48.82707721937704,B,A,B,D,190.22674487824816,142.25262246352085,-7.074772956886226,A,17.187940698473305,-27.776393464453957,A,33.54845241538705,A,-53.67445606518074,-145.56585997239168,1
Female,C,C,E,22.171547952426522,D,A,C,D,-199.1446715948356,-151.21162851992509,-12.124608321904127,A,-41.47971880984469,-65.35704991098376,D,182.5938045856642,B,-116.45358160029109,-66.98201952044984,0
M,C,A,C,-77.5781099087569,E,D,C,B,-101.64327404824165,79.21788303547082,121.25550550210463,B,-6.944267494569792,-89.39210107230028,C,69.37094309983407,A,-93.76375999028203,-40.397908162283045,1
M,C,E,A,-32.3755728809313,D,D,C,D,-33.897331364205606,69.64903687628671,-82.07594718773748,A,70.92580005161734,-19.27359373035738,E,59.4647915548564,A,38.387023071953436,-53.49611202484774,1
M,C,D,D,-125.63855539953099,A,C,D,D,94.24071357970647,117.83505079113088,12.823256399954936,E,-57.99505195553242,17.238209748440603,E,-6.995878419907088,A,106.89283804930747,-19.766237438509293,0
Female,E,B,A,178.06563634729957,D,E,C,A,-16.525143919394083,157.56164343545973,-70.68378729705664,D,-55.14195030385572,69.9997259905659,D,0.5738285079251673,E,-55.07858367049393,-2.4951428952299772,1
