nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Germany,20.52315573525267,10.995787848100761,D,E,-28.314091304383567,72.10817639001237,A,173.96544507177668,C,C,E,0
Mexico,-33.13219841439621,34.640489848401494,A,C,139.91723014855444,22.545437063104337,A,81.06023907283365,E,D,D,0
Germany,-93.90364159281185,81.03944534738866,A,D,40.73061778052373,-33.54093659422763,A,78.65655215655745,D,D,A,0
US,108.59053263762797,-76.20257359278708,D,A,99.09563795291274,24.97186516515,E,-39.86257243700206,C,C,D,0
Mexico,47.88239897978583,20.407403397669764,C,A,-17.80113513066591,-72.50707478148178,B,-18.54620121651501,C,C,A,1
Germany,3.728178254221665,-116.28649980706183,C,E,74.21064712238469,-7.639212723408254,D,-87.81972954914572,A,A,C,0
Other,65.63142120676582,-230.3202217009491,A,A,127.01838106383636,129.41113321188743,A,80.6708241302556,A,E,B,1
Mexico,-73.43775462929362,-16.25809337930184,E,C,56.71411865186378,-182.859933854289,A,52.24288099020602,E,A,B,0
China,-47.85875187953065,-54.91094252292148,A,D,78.07797363732874,91.0823792426854,A,93.24535017440799,C,D,E,1
US,64.0100017676732,132.33433055081548,A,D,45.37308697799099,11.915996618837214,B,-202.2936074010572,C,A,D,1
Mexico,114.11156625403068,70.54968101221648,C,D,30.960183771755013,-178.05856043688465,E,-39.606958419648876,C,D,E,0
India,19.421112919851723,-107.23513272047683,B,A,-230.30606346794377,-97.24282019851037,D,-209.75363316075345,C,E,B,0
Other,-185.93048502269778,180.8713629201649,A,A,37.91088600660862,215.91239815989366,D,-201.54944583252933,C,D,D,0
UK,-150.43942439132965,-95.03796672284517,B,C,-53.29546901959835,-84.67779052241688,B,48.38562001162956,C,D,D,1
Other,-53.10652913314041,151.31699376638102,A,A,36.454634139952574,6.45150602114567,B,-27.39690462234551,C,A,A,0
Brazil,124.29833482928154,14.127369246633723,A,A,98.36749211566338,-68.12596132929464,C,98.95387295393422,E,C,C,1
India,-96.7304789264525,166.21938400820494,D,C,9.251468876025799,7.449141744572624,A,-12.751524929794542,A,E,C,0
Other,76.92379826208703,172.88748254262137,E,B,-74.61671142753679,-166.02687651696243,D,-65.21378227884637,B,C,D,0
China,-83.90966025949706,-184.9827293879625,E,B,144.30117093366144,-146.57716746448952,D,43.11719078306911,E,B,E,1
Brazil,-99.41727435481555,51.903471407161646,A,C,-13.774653190955869,18.23907094368052,B,46.66165218266396,A,B,D,1
India,-30.47661506156975,61.590306171735996,B,D,49.8248034566537,-173.14836836795882,E,-22.034836660216378,A,C,D,0
Germany,-0.5186960560555283,28.132388672882385,A,E,-241.8428155534023,53.26259298015539,E,-127.61236343913305,A,A,E,1
China,56.24081423442851,142.9610353979657,C,C,4.013868710117769,18.92613979511281,C,19.817498211224866,B,E,E,0
India,84.04434036135206,28.41784050363112,A,B,-22.803303364183492,-27.72140024535868,E,105.29019892823808,E,B,C,0
UK,-16.584718288186313,-164.53387497461136,A,A,-33.13059553935752,-6.4804177553313345,D,-159.9799457425309,A,A,B,0
Germany,-19.504465749384725,65.9368760827717,E,B,-47.86750564133619,101.52196764618292,D,-30.242242297378784,B,D,B,1
Germany,-135.9603808930125,79.07615574822415,D,B,-135.38655427149192,55.73401759248322,C,-105.84363276256732,A,B,A,1
Mexico,-38.64905030997004,13.483767852172395,E,A,-14.646961725259674,225.73439247508577,B,168.65700965507554,B,C,E,0
US,163.40247369905214,-19.084206787649983,D,B,-158.70763572219644,4.389872830213362,B,-54.2669320068613,E,A,A,0
Brazil,29.833070541688073,92.88036168316542,E,B,164.07228245222618,-87.5965251972913,B,104.57981189995387,A,A,B,1
Other,-99.35711974179728,64.23467240851521,D,D,-180.4410303886813,37.72447651507086,C,98.92831991893068,C,B,E,1
Germany,3.6729356296560267,4.563317672335228,B,A,6.97949684852418,66.95944927350627,D,-25.662364092469158,C,C,E,1
UK,-215.65471855848344,64.29197185013732,E,D,-22.95470917379421,-70.01637318045863,E,-198.34387784589578,D,B,E,1
Germany,21.16243181855016,112.20321099723066,E,D,103.15719131428689,110.80598423964373,C,17.085381606393906,D,B,D,0
Other,62.41533494803403,-34.09208885904382,D,D,33.83873648108216,66.34196672514317,A,-9.635209971437861,B,D,E,0
Other,-13.189847269916896,-92.1949759325218,E,D,-68.16956257846299,-61.90075804096288,E,-137.05425592449922,B,A,E,0
UK,-53.936698720619894,-170.42843306964056,D,C,-21.044633253032178,64.14134109412049,E,54.65256578082731,A,E,C,0
China,-75.29712453500224,-69.22090905076591,A,A,15.796268868146992,-119.85433665581738,E,114.5923952639038,A,D,A,1
Other,195.75313546810222,-56.30255730848196,C,D,-137.00839122414413,-88.09936811417747,E,-94.82988848114611,E,D,B,1
Germany,-37.815383429459104,-97.86430729764204,B,A,33.06491832440064,-15.96186960807105,E,-134.7943147506921,A,B,A,1
China,-49.240648151023244,40.631099290056255,D,C,-5.965437685645067,-121.2467667818505,D,-94.91476872689897,D,E,C,1
Other,210.31750823978535,-59.5403558635236,B,E,-105.68104050855894,84.23984481795324,C,30.74724014852807,E,B,D,1
Other,107.5609808685181,-9.565331333094582,C,C,40.86230149957629,-33.23251099065187,E,-18.711411401124167,C,E,E,1
Germany,-146.33646797301415,-34.618125545047114,D,D,-45.47827019081318,-94.62726741851736,D,-133.72079831382098,C,D,E,0
Mexico,50.51590123982359,87.72584717272383,E,E,-61.152758343677505,-103.6158790298447,C,-143.82750277281806,C,D,E,0
China,-17.859357465467916,-95.68507497987612,C,B,46.403810874653054,-30.60222530018072,B,-0.050392541019382994,E,D,B,0
Mexico,159.7386150682866,-114.08991129952652,E,B,-8.356691095047523,203.7069861800498,C,-27.769364099435535,D,D,B,0
Mexico,29.029654572942487,201.99418946304283,D,E,-65.07108791616474,35.061506169009135,A,110.46812538771343,D,C,A,0
Other,29.96684646841195,-40.83235566451587,C,A,-23.6443906169798,-191.14788570818712,D,64.68403736959911,B,D,D,0
India,-120.5874185341691,70.167114119401,B,D,-171.59650828445942,30.840601700525934,A,-166.08772910127476,B,A,B,0
Germany,70.2988408934365,45.26485077692058,C,A,91.49511738390909,149.82685615988495,C,52.453402709046294,A,E,C,0
Brazil,110.27490631328558,-93.84446353689029,C,A,-4.160394518216191,-112.80592674797636,B,130.70874578579162,E,B,B,0
Mexico,-124.8978453269361,-23.41934736495608,A,D,129.44064915907285,-92.33207903739039,E,62.541245175920146,B,D,D,1
UK,-137.5346280578246,-141.10686938580486,A,A,99.43345751345412,34.08488004165437,D,66.06450968777419,B,A,C,1
Brazil,172.70293767451835,-92.85521272608747,E,D,-180.00141911368056,37.05060003068616,A,89.49463882195589,A,B,E,1
Germany,-4.97644547756884,26.546473760949578,E,B,87.50826207133517,200.60284449453815,E,30.04479396732913,B,D,D,0
Brazil,162.2241824479265,10.479955820087534,A,B,77.02540284435383,95.5936034122844,C,-61.22111188366303,A,B,D,1
Germany,15.632259932173264,21.53615975252133,A,C,-51.07646418081275,-26.096470544864804,C,43.01272581297223,C,C,C,1
Germany,-237.33534243582062,72.12074119247256,B,D,-165.0665718023802,-79.20118880090354,D,10.998797651985416,D,C,A,0
UK,29.027747309074375,40.98355347736272,C,D,-125.63255486343124,-47.76476193779668,A,-82.2821684689456,B,B,B,0
China,-41.6048407074458,5.667406631496811,C,B,119.82515974971338,71.6348972751838,E,-42.34568072037527,D,C,A,1
Mexico,69.88933880628848,27.115687419114305,A,E,36.22916680277993,-27.64545055600217,A,39.80361898905759,C,D,A,0
US,-80.72059853721373,89.17303496505247,A,C,36.65735505689017,109.60815082950566,D,28.45121160280586,D,A,A,0
Germany,188.69181074008316,0.7781831714731167,B,B,256.9921358157713,133.6533781311559,C,9.680430891332092,D,E,D,1
China,103.06537023110121,-123.24969277469879,C,A,114.44918409071529,-46.68244361065072,C,55.799171917249545,A,E,C,0
India,69.42241174844051,68.66580351973418,C,A,61.738204699439514,96.47814228459177,E,7.2347576765514665,B,A,A,1
Mexico,40.88967363229056,82.92037547481799,A,A,142.00588123212773,-159.94222141206862,E,-64.0458585873266,A,A,A,0
US,-68.79226962151425,132.7414714693546,B,E,-8.65621145613184,-79.84242929312006,B,16.683798037254984,D,E,E,0
UK,154.9015110598269,169.06065616916942,C,C,146.96510912090724,220.8922395793094,E,49.711202099606155,C,E,A,1
Germany,-13.610811608557446,-65.39671287383406,B,D,-47.803148558789246,9.801072119554435,C,62.88473294435802,A,C,B,1
Other,19.852043182144328,29.727411578514573,D,B,-161.18355820168216,-199.87129888143906,B,-22.85114452851442,D,B,D,0
Mexico,15.812609318770624,-35.37853538459922,C,A,-148.88730245538218,19.88920590440653,D,208.86764692819276,E,C,E,1
UK,139.03724003557596,-165.2577652936337,C,C,-60.84047787467387,-68.33851172903518,C,-54.08505473101165,D,E,C,1
Germany,9.598587426278527,79.86581174945337,C,E,63.82033654328833,-183.58561007264308,C,-77.70240761846917,C,B,D,0
UK,-128.25571039426202,-70.22253650048114,D,A,99.15095185273091,-57.50421094863691,A,51.16313318980973,A,C,A,0
Mexico,-20.14006904477369,246.79266012763992,A,E,-36.48737701010687,73.8804385717259,E,40.9320922344249,B,E,D,0
US,-105.63263423827125,-126.58781232343361,B,D,-10.83548615196178,84.83126133673889,A,-7.499775984649583,E,E,D,0
Brazil,116.37652467101434,98.92669963581223,B,C,-50.98862100929203,-169.29612542005012,C,42.81263360552596,C,B,D,1
US,-50.117766384152574,-8.098319842652726,D,B,93.87426128530043,-47.25392064693454,E,-2.2107255446233647,C,D,D,0
Germany,66.3868911549928,46.74733580592444,E,E,152.5634694735515,128.5299924257253,D,-44.81141268798334,E,A,A,1
India,-35.11103453204424,112.47047146362767,E,E,37.56085145866622,-17.385450769324525,A,-161.772146778325,C,E,D,1
Germany,123.93837043857165,-79.7594585094354,D,A,-184.51068932249964,123.57379570973504,A,177.62789165278267,E,A,B,0
Brazil,-36.816924902727266,-73.81053955053912,A,A,-178.35255874992632,-12.971394870921726,B,97.73024668464741,B,B,A,0
Brazil,-42.88574741702251,-81.02876638113455,B,E,-48.389564676363165,-83.9225410075131,D,88.60897186903885,E,C,B,0
Germany,85.69092239806193,-27.281436305681346,B,B,67.86996922467662,61.822739973425435,A,34.0111479188618,B,C,A,0
Brazil,-125.4400348454771,-58.533018698826886,B,A,-70.0857302005048,-13.728113901000757,A,56.36799115702429,E,C,E,0
Mexico,46.11460778857299,98.56385698602539,C,C,-12.55761168642129,-196.77189543248636,A,65.12437668881468,C,A,D,0
India,94.8964284525119,-56.89459984498112,C,C,-5.7147603452963205,30.72022855834511,A,59.5922413616758,A,B,D,0
US,206.1551728490285,-19.376192571525223,E,A,-14.648444050436288,21.8089557495814,C,-49.29393332149219,D,E,E,0
Other,-71.40007064378628,212.69509091007913,B,A,-6.6675988078013075,92.43908891637598,C,-113.63370869394127,E,B,C,1
US,11.204794132221032,-78.26358641609055,D,E,-58.64441789197251,9.55682638501425,E,27.77051292730223,B,D,E,1
Brazil,35.80925491476889,-124.16134917528623,E,A,-118.57284088510403,-128.58837297853944,E,163.38507004841404,E,C,C,0
UK,33.60337344531371,63.584975737336066,E,E,-34.38070023498499,-84.47948187675584,B,113.12765052398714,B,A,B,0
Brazil,227.90383034492422,-72.30682429594881,B,B,-45.64425766309156,-83.40040917386554,B,204.14105528866475,C,E,B,1
Germany,106.60509002071092,-156.73676589273686,E,B,-100.19606387638365,-12.101368064571078,D,48.64844724850757,A,B,B,0
UK,36.561846219534125,-61.909892737800455,B,C,-61.545756539850835,-158.75095659940732,A,-206.77314891684242,C,E,E,0
Brazil,34.311306637934116,62.05421848498953,C,A,-77.90284799982831,31.516025176339163,B,-5.689232226250956,D,D,E,0
India,48.69455971923263,-205.99535336759624,A,D,-133.0093282077838,-53.1136559341727,C,-182.6184827931785,D,D,B,0
India,5.189041169856696,-29.535584524317372,E,E,-10.173388371217586,-30.189736293899188,B,-40.16115931240417,B,C,E,1
China,133.19670271768817,-52.82970208702379,E,E,-41.83205279643417,-151.4771752226318,E,-20.379117019089602,D,A,D,0
China,89.42364551633014,-143.27097593936705,E,B,-49.733753787687846,-56.965459883270654,A,197.1151919082223,E,E,E,0
Brazil,40.40736572517573,-275.51454647976396,C,C,221.0643057289262,-156.50430394990067,D,-66.2492347588475,E,E,C,1
US,290.54466919265747,178.21050766494858,A,E,-16.870280370345622,-173.81376481827527,A,34.335387397921934,C,B,A,0
Germany,-26.53760371337993,13.03492903670008,D,A,28.215673897876414,132.74530429724024,D,-139.04966669840567,E,E,D,0
Mexico,-115.6536257624615,-51.73184087211933,C,B,-41.192517599190154,163.1818242196355,B,57.00404004252307,E,B,C,0
Mexico,-163.13166562210654,130.73649299529677,E,B,53.99339209626211,-43.1917067000228,D,153.45440521172392,E,E,B,0
US,-60.21218359578421,-27.720195988452463,C,A,0.2488997988177747,-73.78363703171998,C,-24.275083026300802,D,C,D,1
UK,-222.20735450662352,-93.7236299311918,D,A,222.51853242208068,15.61512526788238,E,-49.721686988916076,B,C,A,0
UK,-92.23121451412842,19.09379837401246,B,B,-92.16134748878228,5.183631893086169,E,42.534062654449016,E,E,A,1
Brazil,61.2911276182627,-121.0892170964534,B,B,-66.45464816944555,-13.165157143137197,E,-84.6709827934014,C,C,C,0
US,-16.718635912710692,-93.56829617414746,B,A,-108.14759349708271,-84.63566370511005,A,10.991260818765484,B,E,D,1
UK,53.46916824625247,-73.41952144681782,B,A,-48.52626377258728,50.046060948294446,A,112.5706788119435,C,D,A,0
Germany,81.91477457245409,39.228975192551886,D,A,-146.6442167825587,-60.398631033182696,B,61.2970635309264,B,C,D,1
UK,-7.1987539193569345,-63.58085235930264,E,A,-145.05064234935244,-95.39107773958293,C,-139.2734355224309,D,A,B,1
India,-94.46805771104863,-8.28203853292859,A,E,-111.04791971279396,145.60122159626195,C,108.9501832867501,C,B,D,0
Brazil,24.537066570696577,-127.91177268018356,B,C,-134.20435036968806,-33.53646228109244,C,34.13921427434056,D,E,D,1
UK,74.88663261550934,-21.664057715244528,D,E,73.59625953882617,-133.5251830495233,B,-33.79028625755427,E,A,D,1
India,-85.80134062636654,-51.279858987116256,B,B,-76.65863374900893,29.699746334053017,D,-67.49695901493656,D,C,C,0
Brazil,117.56930894628748,80.91861182039673,B,E,-2.7036425727512428,102.8938139925556,B,44.61099510237067,B,B,D,1
UK,134.42181960764853,-24.142046800558738,E,A,128.16071675465963,13.522723717164626,B,110.54634570050645,E,E,B,1
India,-57.574655321749745,-47.01363514417392,C,A,-71.49375882672454,117.80080053940449,E,123.1464566234138,B,D,B,1
Other,143.5204643267683,-71.05902210708244,E,E,-127.57052548255278,128.5814744780125,E,-61.73568507929846,D,A,D,1
India,-56.43297800147267,104.61187817465381,C,D,-4.672246402681782,56.674320866024885,D,-239.1416961741673,B,A,D,1
Germany,-84.74398378277812,101.59330783107521,D,B,-147.46375452835534,-37.618855767235544,D,-14.10537558895338,A,D,E,0
Germany,121.19867747353692,14.52546148169535,A,E,36.01215187927445,40.76223502230519,B,-141.12085072893834,E,D,E,1
China,-145.29635512356327,-5.71147587382781,D,C,-29.322481184786,241.74539726315146,D,8.085229143118301,E,D,A,0
Other,165.3483035553619,154.75270165388912,D,E,213.9467914901881,198.63089698480317,D,-175.1576185843452,D,D,A,1
Germany,-245.91647741903054,49.33271116682936,A,A,4.979784150065703,104.40972664185017,B,-123.92469836121106,C,E,D,0
Germany,65.21108767215146,-83.93370919924212,C,E,-70.9137327653077,51.649712993028665,C,106.4265609512189,A,B,A,1
UK,136.84456437874152,11.893111815193173,C,E,-82.40720475961558,-75.58148754915473,A,-74.54317259164652,C,D,B,1
China,-85.21143423684106,-83.04658170826286,B,A,-68.58747890832814,123.0336120970328,B,103.45046949985353,C,C,D,1
Brazil,45.11307168815332,15.490489409100391,D,C,13.118768662366524,-141.50304249079025,E,105.9789089613411,E,A,B,1
UK,74.52795731916217,-184.64650471966448,B,B,-199.1336674528053,-90.40273577379111,A,68.27812095009153,D,D,B,0
China,-93.35503891207496,-66.67196123826199,A,D,58.232662290746894,66.43343840153862,B,46.689531473874524,D,E,E,0
Mexico,48.780992759065704,53.5280954454281,A,E,149.67834808159648,-38.51018655266972,B,-213.31976574005722,B,C,E,1
Brazil,44.599399303173975,137.72698046477498,A,C,-105.72208735708872,-69.34370618738846,B,-26.94287787779236,D,A,C,1
US,-257.1915999608541,173.5557833804925,E,A,-151.19034839827214,125.30228536675862,E,11.804079870742106,B,E,E,1
UK,-18.025766788349557,-118.49276834412281,D,A,-6.603618840255201,-61.6159843153259,D,38.23389792947408,D,C,C,1
US,38.47374223785545,153.19356361653826,E,C,75.59678555956529,-31.37185216823331,C,27.830518340189975,D,A,E,1
US,-85.82098124260327,128.39801734730304,E,B,18.140753816035204,-18.00552746446721,D,-129.33674704648547,D,C,D,1
India,-100.06989610417116,-17.35395900607531,D,B,174.9768172399606,-48.45662427286647,D,-12.55773835871001,E,C,B,0
India,-33.96602145941236,1.4463961930358453,C,D,66.55655498216181,0.11684906230446329,D,60.511187145016855,C,D,D,0
Other,107.26574864072344,84.37922002850212,E,A,-2.2529097703396816,7.2035384556875,A,-85.30088099548789,B,A,C,1
Germany,112.3978155366027,-44.75390925246814,E,C,94.46612593657866,107.2311321101008,E,-172.73707330867302,A,C,D,1
Brazil,-123.99913068215129,-22.48503508083121,C,B,114.90501605344123,-58.448148935814196,D,-61.80293422307977,C,C,A,0
China,-190.1300084898782,107.45608407008822,E,D,141.3638764734468,88.36038043482331,B,40.46312023264175,D,C,B,0
US,63.676438331444984,-27.792743459609596,C,C,-12.471215609529061,39.83701999668672,C,-51.4418805109895,A,C,A,0
Brazil,167.03758939967548,-6.431999340796671,E,E,20.237783393858034,-243.37090116304654,C,85.85030113136824,A,B,A,0
India,4.798996335596787,47.046191910359966,B,D,92.9840758160311,102.12470969749529,A,-81.01639676984446,B,A,B,0
India,-12.451499493941046,8.913459246069152,C,C,232.25935934761162,-131.9003580731363,A,-30.800741023080374,D,B,C,0
India,49.108982537329254,-8.551160555201449,D,D,139.07802817157386,-1.1711398053887732,E,115.12953640470138,C,D,D,0
India,-45.06266616027002,-45.035271443288764,C,D,-65.24530809363115,64.05098651292445,A,-86.01602364912556,C,C,A,0
Other,-1.4802814272653693,56.55145179950092,D,C,120.09983944602946,79.76935673327431,E,104.601619340458,B,B,C,1
India,77.33647117076684,82.18861187402186,C,D,17.228996643104246,-62.38526094171498,D,38.135765259652345,E,C,E,1
India,23.344960434497743,53.855015648183226,C,A,108.10081360204396,-255.8863064452538,C,-49.22420266759413,D,B,B,1
Other,58.330645919960475,62.34933542959071,A,D,51.3492768628897,-32.2137530646669,C,-5.180260443310926,A,A,B,1
Other,-31.886846939678676,-62.78441533579014,A,A,109.77365915998733,88.3798848221069,C,76.05292787435735,D,E,D,0
Other,119.65097000783607,-12.691946236605064,A,E,69.9292995121184,111.5079301626656,B,-201.17427599144574,C,A,A,1
Other,-74.19469573150496,-125.84285444978637,A,A,-44.34310167335906,-49.412750567915694,C,-12.284521216316545,C,C,A,1
US,-43.128352297235836,39.71692953589813,C,C,134.7420229227791,-24.592558766251337,C,-118.50269891010632,C,D,A,1
Germany,-63.517581399231084,-57.07015974049472,A,E,152.075321602711,-47.859562989303164,D,228.46269474789457,A,D,E,0
US,154.9676290699961,0.37779950123689876,D,E,313.17597818321667,150.49037272936425,A,26.778555068387572,B,B,E,1
UK,-14.673581076613102,115.98911983331479,D,D,6.168823407133297,-42.034174037508954,B,71.42689042200631,A,C,B,1
India,-107.24965887065491,-56.25184704594811,E,C,-112.00353507158911,46.90415104821384,E,-290.2064615536448,D,B,C,0
Germany,104.15498578419029,-28.14085788446722,A,D,37.61468037802372,150.91021577766188,C,32.5081045403495,A,D,A,1
Mexico,212.52929500225784,70.11440049985795,D,C,70.75498250944818,-37.350403894760476,E,-141.4900664137011,D,E,D,1
Brazil,-87.3949229708345,42.17287974518245,E,D,-53.16867647419623,-156.5649064782969,C,-48.827411914968934,D,E,E,0
China,-120.2635575962659,11.022032467012652,E,E,-84.18706640882161,84.67257174210943,B,121.90008805671513,E,C,A,0
Other,17.46922871197257,-132.40709507626318,E,B,-109.01920720088805,34.383948252143846,A,223.25776459997812,D,B,A,1
Other,-60.838230355110476,153.6709013125539,B,E,-153.0972913178607,-56.553505261678204,D,-58.15770621487226,D,A,D,0
UK,53.1750441941404,-103.95209076567244,C,C,198.16026206131284,-17.174675478137384,A,9.820555041025711,B,B,A,0
US,-33.85547781413395,-60.077668904988904,D,A,1.6902083276771895,-72.41757823819907,D,3.334075938084692,C,A,A,0
US,-79.47182105817997,106.21293767430195,E,A,-69.2449394128136,98.00170430659537,A,136.2857078326667,A,B,A,0
Germany,16.746038703451614,-20.17065069972389,E,E,61.45089942232577,-19.74700825253363,D,70.1425978946973,A,D,A,0
Mexico,78.79578600447532,-131.2772081396424,A,D,147.08847641893553,56.04536176071547,E,61.907681462756955,A,C,D,1
US,6.909796953734301,-4.054657399816067,E,C,-43.359774898093065,155.51572697999504,B,-31.52991654246376,E,E,A,1
UK,-28.1715207427901,-66.29483864859198,C,D,43.354378892966146,-116.66209411308049,A,-95.94732128799932,C,B,D,1
Mexico,-24.85420975063125,46.740588064203656,A,D,16.56375581471428,-231.25116929865385,A,15.592218577628817,D,E,E,1
US,-108.47948021327143,107.68081149879838,A,B,49.85618439966055,-15.089826054505906,A,212.7639944766115,B,C,C,1
Mexico,-156.11672343648237,42.10887441709059,C,B,6.139145034559013,156.53285273677068,C,-28.079300906274263,D,D,C,0
India,-2.3074828754768415,57.449691643242986,B,D,90.16714013528745,-83.63419586322534,D,-79.00168048229396,A,E,B,0
UK,-115.43627082208899,-80.90967505710503,E,E,-107.6566446323153,95.21972427365377,B,-83.55680102795155,D,D,C,1
India,94.56532234049587,-11.541908500951202,C,E,-219.66708599198915,-107.77994654748912,C,-90.23528183112516,C,B,A,0
Mexico,57.992885132671965,126.22936754077219,D,C,54.21104758479167,50.20030938732081,C,-116.90568169439624,D,A,D,1
US,212.5031355126113,-141.26807598446803,C,C,23.730170119913797,11.476539626786098,B,116.08788314900475,D,C,C,0
Germany,-175.2152001280116,2.6551479110027025,A,D,18.79329343759387,-212.5713628878763,D,74.88287821912327,C,D,C,1
India,-4.734487307788752,-183.25049082623372,D,D,-52.155395603185916,-91.2483960787949,B,145.8544586809719,E,D,A,1
China,-67.42739447809247,35.91219149102929,C,E,-245.18683630909527,-81.53365776654874,E,132.56985089123776,E,B,C,0
Other,157.12905047997566,-91.23922996517071,D,A,5.307416082569406,101.5887431613701,B,-83.39184623294457,D,B,D,0
Germany,24.792598064056588,55.064332573643505,D,C,-92.10678917944523,-219.31805835648777,B,-78.71660064354397,C,A,D,0
Mexico,213.33397128063254,-49.12873744931169,C,E,38.58111235444663,8.209923753138366,B,-115.2291764377402,A,C,B,1
US,10.157086551227462,-53.092350012664916,B,E,-114.76825988188256,-86.42687493132401,E,-78.28504540630911,E,A,A,1
US,-67.27574126065251,39.28557200489065,E,D,47.257404354226104,76.95483468732606,C,-74.20024961645787,D,A,E,1
UK,165.65793797276612,-47.5473537174055,E,C,66.99373456135972,-20.082669518587487,D,-62.313938710839345,B,E,B,0
