gender,age,sexual_orientation,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
M,22,Heterosexual,Widowed,142.14739372423523,A,E,-7.680565125431871,A,A,71.11958859203976,77.38205193877928,0
Female,73,Other,Divorced,45.93314579144088,C,B,-29.34010666438885,B,A,-15.728799067069282,-96.53050963902257,1
Non-binary,91,Bisexual,Married,198.55137425019146,B,A,127.64017309967738,E,A,91.08022554467829,11.19225360456273,1
Non-binary,98,Bisexual,Married,-78.52723951576112,B,C,13.46982029235941,C,D,34.01124521167965,71.60449979515435,0
F,97,Homosexual,Widowed,-106.26751027130187,C,C,-115.27166351050325,A,A,36.9081878398258,67.13953864792414,0
Non-binary,39,Homosexual,Divorced,-151.79431471079866,B,A,11.278630759154034,C,A,20.79135108272874,65.68583631055884,1
Female,31,Other,Married,-37.521660994254916,A,D,-204.08360673227725,D,C,208.30797803819493,-18.42027677361671,0
Other,76,Other,Married,154.34803670672932,B,E,-103.05327466978981,E,A,-259.2495763027728,-18.38816113359902,1
F,79,Other,Widowed,16.964474901256686,E,C,-39.319277300824375,E,A,-23.84872949374224,-53.08401870787199,0
Other,28,Other,Widowed,123.95077223116495,D,E,-40.95530493910105,C,C,-53.15199219009711,-22.28723793628156,0
F,24,Bisexual,Widowed,35.226869059330326,D,D,-134.3635101963625,C,A,-26.918127967065086,27.125100356756555,0
Male,94,Homosexual,Married,196.07228599523282,C,C,101.53433814813582,C,B,-38.00096983144775,-157.61406873049356,1
M,28,Heterosexual,Widowed,31.29416248947693,C,B,-165.56830021505772,B,E,6.715670212110735,-123.02687853927543,1
F,56,Bisexual,Divorced,-56.62494431032105,B,E,-104.25034292485442,A,B,-102.50503828992403,80.64059996629824,1
Female,67,Heterosexual,Divorced,-5.252949710325358,B,D,77.3163005328519,C,A,-63.555404241579936,-86.70728712893805,1
Female,67,Heterosexual,Divorced,10.532660299393152,B,E,34.851142417145276,C,A,-150.34934778954639,-10.406001116374181,0
F,48,Other,Married,14.438535389957302,C,D,-64.45353128543874,C,B,-66.42871001171707,-103.68596858733537,0
M,70,Other,Divorced,-91.02145648280941,B,D,157.6850872351021,B,D,-135.09613604140876,4.271733184096073,1
Male,77,Heterosexual,Divorced,-110.85999703764043,E,C,-36.5831314304355,A,B,66.72322377637308,180.11137285283976,1
Female,53,Heterosexual,Married,25.684989431110704,B,D,-166.7826132036575,E,E,239.51653341471763,-106.23287991350185,0
Female,45,Other,Married,1.791844817080622,A,C,-57.679432085742675,E,A,-161.21824212931514,-137.742934649941,0
Other,46,Heterosexual,Single,-168.95491663792598,E,D,-379.88959983977605,A,C,58.58631043559791,51.22536323975141,0
Non-binary,53,Bisexual,Married,-167.9694338565571,A,D,94.84901725996554,D,E,-29.935890676646252,268.2843695533432,0
Non-binary,29,Homosexual,Single,49.06537392438586,C,D,-254.0671926740234,D,E,-78.68625084484643,-20.672658282193105,1
Female,91,Bisexual,Divorced,-24.430326963950343,C,A,-137.08844194748508,E,A,92.66511395966296,-19.865154415927,0
Male,43,Bisexual,Single,-121.56529390754858,C,D,136.04041314289933,C,C,123.53476502457279,0.918554069728944,0
Other,93,Homosexual,Divorced,-53.50456917655308,B,B,337.1307362543195,E,B,81.1072615380447,90.35560334533496,0
Female,93,Other,Widowed,39.999259773844365,A,C,-58.84905914846226,B,B,-7.111225526241058,205.4955330590753,1
Other,28,Other,Widowed,-152.89719675707872,C,A,-74.91131725484232,D,E,99.56257043473333,-140.61010472027112,0
Other,90,Bisexual,Single,31.248403153182363,E,A,-131.43015238391212,A,E,-51.307105640930175,82.06682207341272,0
Other,93,Heterosexual,Widowed,-58.86221756735046,A,C,115.68652970336335,C,B,-53.00326936699622,-28.359290858699627,0
Male,59,Bisexual,Single,14.985033939534642,C,A,-45.124248520574426,E,C,138.06490150158496,16.291504372900505,0
M,23,Bisexual,Widowed,101.49504159668767,A,C,-90.51292151974447,E,A,-150.32247015018396,5.837869452292508,1
M,79,Other,Divorced,-7.465822019255436,A,A,4.150034598220519,D,D,-37.595769744931964,-46.16067942418176,1
Male,29,Homosexual,Single,51.15603810857412,C,B,41.49412368553439,C,E,-139.8223850838161,103.78455379627351,1
Other,95,Heterosexual,Divorced,29.482402908856987,B,C,35.56501239559205,B,C,48.76698833101636,14.121995288151812,0
Male,93,Other,Married,137.3001324230745,A,D,-171.8090654876407,E,D,-88.15929641545294,91.73728295279169,1
F,99,Homosexual,Divorced,-153.57952233451465,C,A,78.82954445306048,E,A,55.3513025939661,-73.47017828252038,1
Male,75,Bisexual,Widowed,116.53023330323697,C,D,111.03276945728153,E,A,-102.54734574493587,151.31002387424766,0
Other,73,Bisexual,Married,81.1572047047197,C,C,75.46188748930844,D,D,69.00901795197902,-70.74104016441665,0
Female,84,Heterosexual,Married,-74.68204509615234,D,B,126.22886787278009,C,E,-157.7660875510703,-118.58751231843505,0
Other,80,Homosexual,Widowed,-70.65236620732168,B,D,-146.2275834114142,A,A,-47.425343133527385,0.15722820299555268,0
Non-binary,24,Homosexual,Divorced,95.5118898658785,A,D,8.144237874210544,D,E,103.32778641039899,142.0886734755688,0
Other,38,Bisexual,Single,-239.88042678054677,E,B,30.990837359151175,E,A,77.28915298933458,50.0854683600604,0
Other,58,Heterosexual,Married,128.2969655617008,A,A,37.331533495612746,B,C,182.35498750893836,-19.948154247137236,0
Other,30,Heterosexual,Divorced,31.645282465808535,C,B,40.3727248651302,C,D,39.55811683278193,34.21947356105719,1
Male,92,Heterosexual,Divorced,136.1847095338102,D,A,125.51643750386407,D,C,-168.6661954997638,-67.4138960161328,1
Female,87,Homosexual,Married,136.5197582791958,C,E,-210.13775419469053,C,A,-75.19433631305085,134.98821679476393,0
F,74,Bisexual,Married,-146.82225345671245,C,E,-96.50422990667875,A,D,-1.3495813487969517,-84.85737478894826,0
Non-binary,31,Heterosexual,Widowed,-25.796532068835056,E,C,-200.2336246760311,E,A,65.00773457674096,58.19139439318772,0
Non-binary,40,Bisexual,Married,141.96438091062896,E,A,-94.91842907546246,B,A,-36.88867428099819,-12.12177712598987,0
F,66,Other,Married,12.847825117447515,C,C,-79.12330334972089,C,C,-151.1485251435196,-63.444063336701184,0
Other,95,Other,Married,216.46150177546053,C,E,59.81096797053438,B,E,30.345374543185322,105.18736456230735,0
Male,76,Homosexual,Divorced,122.97055617065642,E,D,167.6532700899929,B,D,-87.14427019784718,-42.23807611974241,1
Female,86,Bisexual,Widowed,9.83583049337,E,A,-57.52200975450066,B,A,-171.44397300253894,-51.89141797112312,1
M,31,Other,Married,55.504791284639495,A,D,76.53370364419621,B,A,-52.332641124970245,-95.15132992542071,1
Other,61,Bisexual,Widowed,119.56987940048877,A,B,-28.979509871940156,A,B,12.283969845342888,-71.67624578888041,0
Female,49,Other,Widowed,-112.4906101920446,A,A,29.502737417034286,B,B,-16.628314074295,118.90438203799825,1
M,23,Heterosexual,Single,-58.785370250973635,D,C,-3.6889541265581722,B,E,15.347498928094911,130.57839055537158,0
Other,48,Other,Widowed,-6.026280981603107,D,A,164.564055313931,B,A,-35.86799095827331,139.14508489918563,1
Male,33,Heterosexual,Divorced,93.10688600358866,E,B,-63.65356223580062,E,E,45.16166026995121,-56.350817326046176,0
Non-binary,49,Homosexual,Single,-81.44981062493157,B,A,-11.723097499587961,A,C,-19.328073359047487,-95.79324698939735,1
Male,47,Homosexual,Divorced,-16.996942286281637,B,A,-80.83218304373486,B,A,100.90551179341732,-51.07201983604682,0
F,58,Heterosexual,Widowed,134.99578004931104,E,E,-157.49257966468127,C,D,68.11036037337487,-80.63643840846582,1
F,80,Heterosexual,Married,14.34024780443426,D,D,-13.66439191959472,C,D,136.2982730224332,5.5688086985698275,1
Female,28,Heterosexual,Divorced,-109.11839330355018,E,B,63.932442258612596,D,D,-24.862928519272266,2.6594024070055835,1
F,62,Heterosexual,Married,62.666140875983736,C,D,-27.032553956035837,D,E,-28.514528083229067,-97.46115391352129,0
Male,61,Other,Widowed,153.33876691224603,C,D,14.223625204212926,C,E,-45.91407128813705,-91.90894707217323,0
Other,80,Bisexual,Single,-137.936333453832,D,C,-95.94323673405214,B,D,-26.804447818744876,-140.4441951221467,0
Male,66,Heterosexual,Married,225.5597045819653,A,A,-65.92304746965034,D,C,115.35991198963399,56.36452858954105,1
Male,78,Bisexual,Widowed,-89.77122277283931,C,D,191.55757921574585,C,D,-81.06966132626626,-25.48613789595252,0
Male,84,Other,Married,89.85932953512686,B,C,-47.341696431062715,C,C,75.77552668154401,-131.95147846700237,0
Non-binary,54,Other,Single,114.9131737332807,A,E,57.90346599009111,D,D,-92.124946302482,-28.91171626773704,1
M,46,Homosexual,Married,-25.572707411313218,E,E,86.26485963558143,B,C,-94.84168633855916,-114.76163185543118,1
Female,48,Homosexual,Divorced,285.2435496952626,A,E,-217.87660718203648,E,E,177.38149504944175,228.94430889457328,1
Male,49,Homosexual,Divorced,-205.02293410721276,B,B,32.894941004321055,D,A,49.24385948062916,85.83315208201189,1
Other,98,Heterosexual,Single,116.67626995779639,D,A,7.676075337945516,B,B,41.20675993180785,-60.738644142374994,1
Other,38,Heterosexual,Divorced,-75.16346740446537,E,E,-72.85917321022642,E,A,85.19026816378327,46.722151144739996,1
Male,86,Bisexual,Single,96.4833360378772,C,A,51.72415445348734,A,D,-71.8930924741472,309.1042330536721,1
Male,41,Bisexual,Divorced,162.95473607293965,C,E,102.96767307812476,A,E,132.9097697239567,13.794971965302574,1
Non-binary,92,Heterosexual,Married,-5.61813875397284,D,A,-78.62212566245175,B,D,-65.92406675837934,-123.74253872589532,0
Non-binary,43,Other,Divorced,-1.8183362639798215,A,D,57.80718199306511,D,E,55.37164521579704,-235.2473300371158,0
Other,82,Homosexual,Married,19.034590785384356,D,A,8.626779090147634,C,B,-66.80152827696344,45.481470863768806,0
M,31,Bisexual,Widowed,18.7006945148821,A,E,-98.74049003790127,B,B,-5.6804595292993305,42.61336496222258,0
Non-binary,67,Bisexual,Divorced,-62.614592490538136,D,A,-87.1332413202542,C,E,-104.70250756214345,117.37160436756173,1
F,33,Bisexual,Single,50.21819916158616,A,E,77.9477548894376,E,D,-195.39075765838888,162.36193636077306,1
Male,56,Heterosexual,Widowed,-19.217756647621005,B,A,134.57071607755157,C,A,-115.99984859327873,143.1828289867179,1
Male,33,Homosexual,Widowed,38.77371091052432,D,C,-17.807309602562334,A,A,36.97125164104607,-73.35474114935475,1
Male,80,Homosexual,Widowed,-154.3289094835922,D,C,-16.75040712350111,E,C,55.62835807886471,-218.07034473503938,0
Other,95,Heterosexual,Single,-140.74539939794406,D,B,172.94783180388237,A,A,1.4658387175219838,5.922238982479457,1
F,74,Other,Widowed,182.37373515850715,D,D,167.6354548912493,D,B,-10.871028623010561,-152.67174751768138,1
F,92,Bisexual,Divorced,20.422692504344525,D,C,70.68411342423217,C,D,117.03229783350622,124.89252115235436,0
F,65,Bisexual,Divorced,-299.0917672746438,D,A,-38.73541814832524,E,B,0.16795443465298016,14.706108749823969,1
M,29,Homosexual,Single,70.88947419524636,D,A,2.370744073608505,B,C,-144.03354263872384,-106.86072208512452,0
Other,31,Bisexual,Single,85.31626051476819,E,B,-8.796898556937029,E,B,-30.73748386507652,-115.11386640446916,0
M,63,Heterosexual,Married,46.17027569839811,E,D,-45.82184137346375,C,B,-62.68690971932593,93.8268316621225,1
Female,46,Heterosexual,Single,164.1530028978364,A,C,-125.43135051389626,E,B,59.49310714561723,-20.25959037883583,1
Male,55,Other,Married,-114.6870948163144,C,E,97.71457864095561,C,C,-80.95696062693922,171.85797811995528,0
Non-binary,94,Heterosexual,Divorced,73.41000754740747,D,C,-1.5296863315679765,B,E,61.246759501351065,-18.08030881055287,1
Other,61,Heterosexual,Widowed,-89.84513128013259,C,C,49.975932303872035,A,E,154.50085385029283,63.58042948139232,0
Other,35,Heterosexual,Single,-30.805486873781334,A,C,43.456120262619855,B,D,77.13649556805039,-28.348814734264995,0
Male,62,Heterosexual,Single,-19.03904827563257,C,B,79.691082979777,D,C,-79.18647482393801,11.8219172042718,1
Non-binary,34,Homosexual,Widowed,-98.10531597656345,A,E,-266.82912344801053,E,B,179.8497293252428,201.10149190263908,1
Other,42,Bisexual,Married,-43.2920123143258,D,C,-4.663882792359169,C,C,-72.32559044576563,131.68267576352113,0
Male,25,Other,Married,38.83950665056544,E,A,-10.021544809805068,B,E,44.30510466687542,-23.424096933239987,0
Male,91,Bisexual,Single,51.95094308468997,B,C,27.441184790893303,D,A,-169.4580722954758,38.3834639762162,1
Other,52,Heterosexual,Married,-3.8296101868640053,E,E,7.01574249027135,C,B,11.50294540609476,-51.04410420680111,1
F,88,Other,Married,25.117651483694498,B,A,27.858008617723257,A,D,123.32907042734948,-134.92009980866843,1
Female,64,Bisexual,Divorced,18.162547268471236,C,E,2.1477474211120904,A,E,-84.57198155600875,20.20417474909564,1
Female,40,Other,Widowed,-23.755507177952474,A,B,-29.562674282199897,B,E,-51.94276865194454,-109.34545592968104,0
Non-binary,76,Homosexual,Divorced,-37.248981418666176,E,A,51.15449086276268,B,D,-196.52867014471988,31.311055062565085,0
Other,85,Homosexual,Married,-142.44769842795003,C,E,-38.18153039783183,D,E,72.16726915729878,-61.69378232492374,0
Non-binary,37,Heterosexual,Married,1.2404180478657347,E,C,-94.72426818263712,A,E,-6.366300564949719,-122.18050030214762,1
Male,57,Heterosexual,Divorced,23.084935270925772,C,A,-110.26572054961103,C,C,34.62321389399827,93.90069184239395,0
Male,78,Other,Divorced,-62.870280963783486,C,B,182.3571872129555,C,E,130.40837099620563,16.460603507544953,0
M,57,Heterosexual,Divorced,103.08820951963168,B,A,-202.98762443158012,D,C,30.062420672895275,-68.7822924391474,1
F,51,Other,Married,234.93209395616236,C,C,-39.564003563450854,E,E,157.06189411370224,-55.46295147603101,1
Male,72,Other,Divorced,122.76416356027124,B,A,102.71208078155374,B,A,-89.41367447603604,-222.94684851839767,0
Other,21,Heterosexual,Widowed,138.0711567582967,B,D,147.534154838657,D,A,-9.283969889074577,129.29697256950857,0
F,95,Heterosexual,Divorced,112.5937388509025,E,B,-64.90487678276125,D,A,47.77489873387387,209.64458834626797,0
Female,70,Homosexual,Widowed,62.14484137784232,D,A,-58.74194770262729,C,A,15.580429177176145,94.85117487707656,0
Other,33,Other,Single,-129.72478631822725,D,E,-124.57957590095148,A,C,101.24715905628786,-146.28160149495326,0
F,18,Bisexual,Married,229.3239548079656,E,B,12.889452407125107,D,D,26.28913783109367,-176.82124806131606,1
Other,87,Homosexual,Married,-56.9702212301809,D,D,-73.13910377036453,E,C,-61.82552213697912,-83.60449106876429,0
M,77,Heterosexual,Divorced,103.37621072270574,C,C,35.73893307537811,B,B,-6.1735887833459655,-46.78204083095757,1
Other,88,Homosexual,Widowed,23.035464353401256,B,E,-4.709318940680109,B,E,-100.23619967875115,52.852560985443084,0
M,92,Other,Single,11.2825137794967,D,A,182.7229224262,D,B,161.72844684050924,12.262539083230282,0
F,31,Other,Widowed,165.96710717901843,E,B,182.93623955800328,C,E,30.32713249657085,17.174279741786886,0
Male,30,Homosexual,Married,7.4185054220423226,B,D,-85.2342301467686,D,E,-96.54508848573649,-107.03171794938908,1
Other,55,Other,Widowed,-253.22658466271037,E,B,-128.38736760951662,A,A,-11.333920603987782,19.504246222612057,1
Other,69,Heterosexual,Single,-135.84061419431075,C,A,-7.674519699880335,C,E,-29.96062840856754,26.214564844083743,1
Male,23,Homosexual,Single,-61.07081882273327,C,A,-46.3869068630156,B,D,-104.5121354808937,110.84867257660179,0
Other,69,Heterosexual,Divorced,-76.40920488379706,B,D,113.1884893670528,C,C,10.01700962557821,52.521652195596225,1
Male,67,Other,Married,-1.850921302108976,E,A,-147.29632616452685,E,E,63.3084948392825,280.47562791316756,0
Other,69,Bisexual,Divorced,-62.68645629508455,B,D,-11.656595450339529,D,B,20.379066934942415,71.32962946347764,0
Other,35,Homosexual,Single,-9.826009763582073,B,A,189.16202586298473,B,C,-89.44294808085141,102.55788077787349,1
Male,75,Other,Married,168.90535075073763,A,C,-47.480188524700566,C,C,57.50177400774024,19.690002263507182,0
F,25,Homosexual,Married,-112.46680720074322,D,A,-82.08893360198391,A,E,-130.90351861720177,-44.150580122208275,0
Female,55,Bisexual,Married,100.25638359073308,D,A,-16.872461053788005,C,A,29.090492470077915,172.23421128289834,1
F,29,Homosexual,Widowed,-34.917700710526574,D,D,121.63246188217994,E,A,-104.18812521248768,56.033037984201215,0
Non-binary,56,Other,Married,-104.98731454453056,D,D,2.8464715036191346,D,A,-12.817239143181784,-13.029365750981706,0
Female,28,Bisexual,Divorced,119.17935536622963,D,E,0.520812198567959,C,D,6.923705288778137,36.61976841951676,1
Female,82,Bisexual,Single,100.69782823930622,C,C,-231.6837051841384,B,E,248.57424196738398,73.47316449515274,0
F,48,Other,Single,-101.93769762634402,B,D,182.80465598472017,E,A,8.945776945706337,129.18585279967004,0
M,77,Other,Divorced,36.93024958041523,C,C,-20.254255202544375,A,C,25.884526009007175,128.8394313988515,1
F,77,Bisexual,Married,-5.837408410914776,D,B,85.53862510132848,C,A,249.8641220073284,-18.2285606860618,1
Non-binary,69,Bisexual,Divorced,-1.286783147809491,C,B,-28.090582730641543,D,A,20.532325111236123,-54.098486953271994,0
Female,39,Bisexual,Divorced,-79.32642727802016,B,E,4.83422762836734,A,A,-3.1590354214099543,97.89667611602599,0
M,83,Heterosexual,Widowed,43.04110358801362,C,A,174.8443777048338,D,C,13.029873742759909,-128.15850070825098,1
Other,86,Homosexual,Single,5.976353850806154,D,C,141.86197646188782,D,A,-21.666545202796605,215.65029895344074,0
F,59,Homosexual,Married,220.6474866000533,E,D,-84.71978446646396,C,D,-48.82288646179907,-63.98335666617807,0
M,48,Homosexual,Widowed,38.21498036346871,A,D,97.37632577236009,C,B,-18.06423284007452,-42.71426545450679,1
Male,58,Heterosexual,Widowed,44.2291196258212,E,B,70.54879070831987,D,B,-94.45863971512016,-147.24139308800665,0
Male,60,Bisexual,Widowed,-75.25940451526021,A,D,59.94937900851981,B,D,1.952419553811577,-48.02598387874607,1
M,62,Other,Single,13.521560326423554,B,A,145.28965538166722,D,C,-7.66357791686095,-125.90243690590913,0
Non-binary,25,Homosexual,Widowed,45.43819679076108,D,C,-218.0304052204261,D,D,30.504860794920084,-0.2970466700416717,0
Non-binary,28,Homosexual,Single,-98.46106765285403,A,C,105.52503842556918,C,E,-121.45472883345143,239.13408116391236,0
Female,26,Other,Married,-22.02864873373,B,D,-37.16362833262033,A,E,36.48264811649472,-50.26979634045098,0
M,24,Other,Widowed,-155.3837829210468,E,D,-55.648784670442275,B,C,-41.13843444063191,-86.28184917700091,0
Other,55,Bisexual,Divorced,-105.10874749552693,E,C,-121.01394953165558,D,D,31.516009570247938,90.80255956613121,1
Male,63,Heterosexual,Single,52.52681168338293,E,A,108.48521256581417,E,A,-6.069109402567571,-133.83466596745387,1
F,52,Homosexual,Widowed,42.02787787824158,B,E,-25.129942365104775,A,E,-88.45261524231273,-65.0803136263587,0
M,80,Other,Married,137.45112384156207,C,B,-7.0060335718142825,D,B,15.006754917146434,-123.9567801532313,1
Female,91,Heterosexual,Divorced,-11.141927326480298,A,B,-22.826266701559756,A,A,82.19479354680979,-132.9213324314148,0
Other,61,Bisexual,Divorced,-50.53185997374965,E,B,-99.9248056704747,C,E,-131.78497854251214,122.1771260253161,1
Other,60,Heterosexual,Married,-144.72154570389299,A,A,4.9146752197942325,D,A,-1.0173067650607417,44.945652609728974,1
F,56,Bisexual,Single,152.27948720571987,D,D,66.2400489837762,B,C,27.926754607017635,3.2090355309014447,1
Other,64,Other,Single,-53.072710851333426,D,C,-90.04410147170587,A,E,91.23969127067028,32.83027659977635,0
Female,49,Heterosexual,Divorced,-142.40670171772027,C,A,-55.915588466053215,B,B,18.05382934622921,6.932925201098906,1
Female,90,Bisexual,Divorced,-67.90039965168127,E,D,-76.26989675524307,C,D,32.624235939478105,-6.91392006542865,0
Other,73,Homosexual,Single,-47.974450054436666,E,C,-32.363490405642594,C,A,-8.698983345731156,-4.2552051273200915,1
F,84,Bisexual,Single,99.93563723019805,A,B,149.35039414296102,A,C,185.77347532608778,-117.68877484771656,1
Male,92,Bisexual,Single,16.19621195894479,E,A,-37.42890526542152,A,B,2.647679871023136,64.6241513878723,1
Female,46,Homosexual,Widowed,-92.68768371966755,B,D,-30.94425686581746,A,E,-85.47388796766178,-111.53790754549276,0
Other,65,Other,Widowed,138.59314565256767,C,C,-50.11121070188729,E,D,-249.89065987509886,100.99695322553333,0
Non-binary,50,Bisexual,Divorced,90.7293259119154,D,C,38.71588267422146,E,B,71.52486520967263,-39.62121985119399,0
Other,51,Bisexual,Widowed,2.888718476313806,A,D,-105.57110523119341,E,B,99.98971369189378,103.50887371062174,0
Female,37,Bisexual,Divorced,-228.90346133120408,B,D,-124.0029726736257,B,D,65.41132362979945,109.92632711996852,1
F,56,Homosexual,Divorced,79.84815789435767,C,E,79.8538075020259,B,E,65.48281050053568,-119.03165461145264,0
F,22,Heterosexual,Divorced,68.86025149158839,D,C,63.58426462302488,C,D,-155.97746847211116,99.78284430280263,1
F,42,Homosexual,Divorced,-128.1502225534885,B,B,2.479645767027338,A,C,168.25780279279792,-44.593198619644994,0
Other,28,Homosexual,Widowed,-49.61305470889859,A,E,-20.75085326865344,D,A,-106.33674890445086,122.07316513600365,0
Non-binary,34,Heterosexual,Widowed,135.51448337682504,C,E,-151.0309145232243,D,E,91.9286672357621,11.692626280225364,0
F,68,Homosexual,Widowed,-13.96728979652529,E,D,118.62698268637169,E,D,-77.79445479976431,-52.529352541756104,0
Male,49,Other,Single,-156.81149496592636,A,D,-134.65524865907142,B,A,31.758491055261352,-93.19745236429952,1
Female,19,Homosexual,Married,24.79299389035136,E,A,14.565192992601553,A,A,-150.36006229906863,14.225626113743017,1
Male,43,Bisexual,Single,-121.14724292938936,A,B,-47.03220589199124,E,C,55.146285534870444,6.663706823519363,0
F,37,Homosexual,Single,-67.15516506460844,C,A,87.22719155579004,C,E,-10.412016512231885,49.219463834374395,1
M,80,Bisexual,Married,-74.82023951626573,E,C,-65.46433482499448,C,A,69.65043574258706,-122.57704113528447,1
Other,19,Bisexual,Married,77.38820730643337,C,B,54.415845378677986,A,C,31.770244343556676,26.125786339317948,0
Other,95,Heterosexual,Married,54.21976047072986,B,E,6.815195894670401,B,A,-9.84673846451823,-73.34359260661117,1
Other,45,Homosexual,Divorced,57.17438441001881,B,E,173.41665558900982,C,C,-101.44387960090012,62.04295904362769,1
Other,69,Other,Divorced,-44.63869115526,B,C,-28.61871291917665,E,E,-119.77416353780418,-10.478118383030285,1
Male,54,Homosexual,Widowed,138.16777747600622,C,A,14.108118365808068,D,B,28.97374658100278,-109.52328771594631,1
F,80,Heterosexual,Single,21.734568636020267,B,D,-55.44811839782528,D,C,-107.46727151019645,-1.8198794643355116,1
Male,22,Bisexual,Widowed,-210.4400195227194,D,A,-103.64332686715542,B,B,-177.60721005738483,-94.86674119572682,1
F,35,Bisexual,Widowed,114.96597257649077,C,E,65.37631833097515,A,E,-42.622214246916215,170.5733226009229,0
Male,28,Other,Single,60.7103845706594,C,B,112.63082076331206,D,E,81.93069593423624,12.86921864128534,1
Male,80,Other,Single,-130.11545367966,A,D,25.161769214198603,D,A,-61.18438696015941,97.26531129924523,0
Non-binary,94,Bisexual,Divorced,-30.278819286359,B,C,-73.92450390072581,C,A,-37.24078815459204,132.5179132507379,0
Female,61,Homosexual,Married,118.19375512436501,A,D,-53.44913505495579,C,A,122.09861974514642,-151.5290723693156,1
F,38,Bisexual,Widowed,-0.7544770327416339,D,D,-222.63922210457122,D,A,-40.45415841266512,30.76343217852659,0
F,46,Other,Single,-127.95379548487008,C,E,-16.22795392635852,D,C,-179.04458263564663,-99.33787685681573,1
Non-binary,61,Bisexual,Married,99.38050016132804,B,A,79.4414976154473,E,E,-51.522139361297604,40.91117692208237,1
F,96,Heterosexual,Widowed,70.3606685091687,E,B,145.14241186832442,D,B,30.24827048280813,-51.907567181120285,1
F,70,Other,Widowed,59.23221985502395,B,E,6.0589300753979245,A,B,-183.08847952175756,161.73625639582457,1
Other,43,Homosexual,Widowed,-15.161028806051677,E,D,101.83952980114157,C,B,131.02379616557977,143.46057081638764,1
F,44,Homosexual,Married,-39.86849650318901,E,B,136.97436616639595,D,E,104.98874682377436,29.638441698661484,1
Male,42,Bisexual,Single,15.573816887224384,D,E,-48.563406693924755,B,B,-21.115068136129032,61.139634960599395,1
Male,41,Other,Divorced,-66.23655405379075,A,B,23.723431674013398,B,E,-200.85247606061105,-88.64225699511374,0
Other,67,Heterosexual,Married,36.72388238554409,A,E,-60.30889863964886,B,E,93.55299432344528,115.02252220453333,1
F,64,Bisexual,Divorced,167.01134388536386,B,B,54.5035747726644,A,E,55.68564084091714,-25.84904182888541,1
Female,34,Homosexual,Single,49.210840805862055,E,A,276.86490499633237,D,E,-138.57435554763416,-51.36673902435403,1
Male,96,Other,Single,44.80796701235301,E,A,76.739603823223,B,A,-65.05498868928555,263.42144346465574,0
Male,88,Other,Married,82.12600790394391,E,B,-79.33750738546078,D,E,-100.01145757101663,-53.7452032903951,0
