orientation,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,-14.97893049234183,C,-129.32488038063454,D,-220.8467842719598,0
Heterosexual,-78.16521236866684,A,150.11899783377535,B,142.77069811315837,0
Homosexual,-106.3879625691304,C,241.61769064844182,E,-11.154516919624664,0
Other,-60.11186767013791,A,-160.53656211020478,C,-7.159612231027671,1
Heterosexual,-7.75229641773468,B,-50.426070954800565,D,113.55115785572782,0
Homosexual,-164.17005497757117,E,-159.35971354985924,B,-63.89891524504042,1
Bisexual,223.10773264430836,B,4.644820657592167,E,155.7858682150102,1
Bisexual,-58.8645452267286,B,-20.664978452552234,C,-50.01390618409223,0
Homosexual,67.01550774424052,A,27.61447030370105,B,13.516563582942373,1
Other,132.1143763550246,A,-123.58014197580782,E,-21.48172504176877,0
Bisexual,-58.122680793544056,C,-87.5134088849061,C,-96.11105427041777,1
Homosexual,173.64787477450875,D,112.92860383842387,E,63.51145771567794,1
Heterosexual,-105.86408344488257,E,34.99607032544823,C,-54.320632200284265,1
Homosexual,-20.5948755471582,A,23.239912257838583,B,154.37793337169725,1
Bisexual,19.794544075697665,E,-5.781437398370331,B,19.20528930459173,0
Other,-69.15663575748113,A,21.962495483584853,A,42.45830087950655,0
Bisexual,-31.255764377747532,A,-175.30457640863187,E,9.306292954946313,0
Heterosexual,-135.2879571633801,D,-89.74842488087243,A,-47.16934425263047,1
Homosexual,-36.88770021341165,E,47.27808692714082,E,85.56280020976132,0
Homosexual,-74.47101115675243,B,-76.22110404871276,D,147.1766995670763,0
Homosexual,54.05893701642709,C,86.07325885719148,B,-48.012572802304106,0
Heterosexual,-93.3959662101903,E,47.02539047035923,C,19.394491137371087,1
Homosexual,-28.126345701170624,D,61.470721481453374,E,-102.02621585794465,1
Bisexual,-50.812943111703454,A,-156.76701732531083,C,208.39229236887485,0
Heterosexual,-90.28876512919709,B,2.5989524798787347,C,-59.61319849591457,0
Heterosexual,106.04669181835892,D,79.84374560883394,E,-102.53423086078261,1
Bisexual,10.52214080461947,A,64.79398495596146,B,39.94505503761266,0
Homosexual,-75.33780910862895,E,35.479643714754246,A,-161.8133710090142,0
Other,68.08746589681157,A,-127.2655792056222,B,-155.04962584089404,0
Other,76.54951845366723,B,119.69771627808423,E,-26.028752956460583,1
Heterosexual,250.91300937411813,A,-90.5812469410178,D,110.40901516334765,1
Other,-93.6937045170999,D,136.52507578852868,A,-12.62060801648604,0
Other,86.89255792561475,A,-40.7819841057792,C,64.64729470930935,0
Homosexual,-43.08872656422199,D,55.47588717775004,C,40.92417397808479,0
Homosexual,28.208716878516494,A,-132.3227997261829,C,-126.84779065774951,1
Heterosexual,231.62641245507666,E,-46.78735016494703,D,88.8620676654842,1
Homosexual,303.705521091595,D,235.79350415878176,B,128.03370523146768,0
Homosexual,116.3529584096203,D,-110.72040546509368,E,100.87845071902359,1
Heterosexual,-189.80122329403818,C,-26.631033921073044,B,-152.23796412737263,1
Heterosexual,-91.07916103023335,B,63.153403333371614,D,-40.789925697510135,1
Heterosexual,-37.00306180346733,A,-31.025411917259905,C,53.17271702405449,1
Homosexual,-114.24361557209215,E,53.70652650848008,B,-77.74950164942159,0
Bisexual,-52.742698970572846,C,52.09054802909806,E,95.46323062509026,0
Bisexual,19.327337774596366,C,22.99720980379203,D,5.679850743011026,1
Heterosexual,51.036231435286425,D,30.680757429000593,C,-50.43208145454731,1
Other,131.8039976404174,E,159.50116006452072,A,-107.72083353616146,1
Heterosexual,23.643839565242192,D,27.9668092423639,B,101.54428371709056,1
Heterosexual,-115.65484068817635,A,86.95742138302835,B,-72.66915620962232,1
Other,-98.44785056392644,A,194.18920051603078,A,63.01419599034919,1
Bisexual,134.05104052602738,B,-15.688727616156598,E,-111.75623870719275,1
Homosexual,84.62179060559589,E,-38.141539495674536,A,2.5852823922419144,0
Homosexual,41.75023265887711,E,48.02041810972612,B,-50.29323742541949,1
Homosexual,7.835966889994249,A,81.23058966627639,D,-88.56393592673571,1
Bisexual,29.337103570472173,A,-167.2032383021153,B,-12.210400401656294,0
Heterosexual,-68.83115694484363,A,-96.48036702063345,D,-48.690349476885864,0
Heterosexual,34.301635679783196,D,134.92420645144674,E,-16.569512500993095,1
Other,22.079179680256157,C,-81.90691720437766,D,153.580688796596,1
Other,16.84626570120967,E,86.72236878356668,A,-29.75093491816745,0
Bisexual,64.21930936365212,A,70.9873078583805,D,54.27461589877816,0
Homosexual,26.1038730167162,B,21.128468454266006,B,-98.01030931111107,1
Homosexual,120.20711789159549,C,-29.310755808247958,A,2.6558248435580802,1
Homosexual,191.501733211477,A,-94.5426880485408,D,128.10306933174047,1
Bisexual,92.70514641206773,D,-67.15138000208555,E,-94.32129733427985,0
Homosexual,54.5502115047277,B,59.1775668705351,A,-110.15343858586411,1
Heterosexual,24.358933851599023,A,-28.46123195065111,A,156.72607218276238,0
Bisexual,-123.08039806783722,C,-95.26797930992659,D,62.53710790411067,0
Homosexual,-76.58844815042389,A,-67.17562952338149,D,-80.31875078581096,1
Bisexual,-40.51871300458331,D,-26.572630484439635,B,-43.015000029546506,1
Homosexual,-234.29140921417857,B,-66.42457513799967,C,13.672699692210644,1
Heterosexual,-136.03323161926187,A,138.33070242632823,B,-106.4197334910431,0
Homosexual,-79.83609505266939,D,-127.83603327558468,D,67.78428968692425,1
Other,93.51288402748588,D,-147.76470507917597,A,-262.03128230646803,1
Homosexual,4.247629481258819,E,-13.716705812446511,A,-161.8071463572169,1
Homosexual,-100.20232098368228,D,-46.109487338202456,B,50.02925044788283,0
Other,86.08239096031812,C,-82.49726798372944,E,160.23883142563517,0
Bisexual,64.01018040342026,C,-15.037028969983671,C,7.617106965168692,1
Bisexual,286.93322530608486,B,-91.19895431140709,D,6.985062680285332,1
Heterosexual,187.06804427377875,C,-155.7267732331626,C,-77.47238745751419,1
Heterosexual,9.844111350496846,C,-89.29558626236035,B,174.8992291505345,0
Other,-76.02992271184449,D,65.23806689327351,B,69.99174657307759,0
Bisexual,21.532605564919052,D,69.89924809626679,D,-64.80027204947774,1
Homosexual,31.877517451003694,B,-52.23619645193013,E,-57.73776095094296,0
Other,-83.85144351336778,E,-71.01946397447743,D,-111.51515888508999,0
Bisexual,-177.84729345343206,E,-26.392617425768307,D,-193.4650999074259,1
Other,14.342532077108308,E,-1.5102865641829266,D,-88.4856904624124,1
Homosexual,24.07819004994991,B,54.561750495725484,C,96.2787187962872,0
Heterosexual,-127.06762058356472,B,144.17545885438412,E,-14.574716250819856,0
Heterosexual,22.01808333975647,A,6.376846224507192,E,-86.21538696697372,1
Bisexual,-39.990043957744156,A,-187.77794985350414,D,83.94457570465626,1
Heterosexual,73.27887317462243,B,-19.045372228808,A,-198.36770329625276,0
Heterosexual,-24.796617794383256,E,19.33754708479142,B,-29.941465734681532,1
Other,-124.80457466778729,E,-204.57155235680796,B,79.78606545196946,1
Heterosexual,122.0478389197882,C,52.99976593019829,D,-78.63749541172415,0
Other,47.28238965947065,A,10.430470283316563,A,82.96489971564381,0
Other,-162.65832981374842,C,-102.34569420264124,E,-19.067254979930873,1
Homosexual,113.82864811910478,A,-132.88004150552396,A,114.67830185460686,0
Bisexual,69.07601444791847,A,136.5615537523351,D,-42.96508312344051,0
Heterosexual,26.090457942740837,B,19.400402729071935,E,133.31527092726753,1
Other,-85.81482546347866,D,54.46626986153112,B,-44.40717852202417,1
Bisexual,32.185737533188785,B,51.51141719828639,A,65.54532077392166,1
Bisexual,-49.784872008116444,D,124.86990961400946,E,-183.9420606261661,1
Homosexual,46.151770746197926,E,60.93502047164841,A,-24.307346374422696,1
Homosexual,136.96911770348342,A,80.89905346851566,E,-10.773291454221006,1
Bisexual,-192.4544277616841,B,-11.930356034462497,D,-11.548538060677565,0
Heterosexual,-57.12779427365947,C,-58.991440509890126,D,-84.08407065158408,1
Other,163.09917726709546,C,10.437947556989254,A,114.51962947388567,0
Other,-65.37539962251155,B,58.25625859303574,A,-50.83425786074168,1
Other,66.93426038556798,E,107.44031175726376,E,-19.839005562358615,0
Heterosexual,-82.31502413720862,C,61.95589186599527,A,52.3139386396849,0
Bisexual,-23.54992619692217,D,16.122541730679586,D,-44.62962041601299,0
Bisexual,-86.409458613627,D,153.06677602285365,B,-107.83954807169548,0
Heterosexual,219.71191091207652,B,39.436237224064286,A,54.098766643085646,1
Homosexual,-219.0962363066206,A,29.212619965720034,A,-99.04182135681644,0
Heterosexual,60.13521910961922,A,36.28480562803919,A,-84.62747817841685,0
Heterosexual,94.14003285300564,E,104.62037588271176,C,-8.576868657247875,1
Homosexual,31.268157130843754,D,-94.12107450863589,B,-169.28050730633126,1
Bisexual,66.54650301233038,B,-14.965667518057055,D,152.24883755745594,1
Other,200.7283875419338,C,59.0977221521741,D,-80.15719245261756,0
Heterosexual,97.80740179634245,B,75.08393143378414,C,201.19064534835047,1
Other,20.31512706053817,D,63.279799013473834,D,24.371727897286835,0
Other,145.2412089998008,D,-142.68012945047928,B,117.22859392852338,1
Heterosexual,90.7023086710559,D,69.42138169983274,D,-103.63765949467836,1
Heterosexual,-239.01861202248097,D,49.979921119511815,B,-137.2851842098378,0
Bisexual,18.5983677458836,E,-67.7669908318018,D,218.56099904334135,0
Homosexual,-178.09425584207688,D,69.85723572676312,D,27.04084582446623,0
Homosexual,-14.945800460060488,D,-62.75896472889539,A,206.07489595662685,0
Homosexual,-96.66428230382897,B,18.05837856795456,D,39.277696335962,0
Other,-127.03551304316956,B,-57.35893688589179,D,125.30934567815781,1
Heterosexual,-52.41853524797705,A,-42.98413503532221,D,-85.86114855571473,0
Homosexual,-194.75774288523377,B,-33.05752359795125,C,38.87634588465104,1
Homosexual,-121.91508335073007,A,-84.37951689428967,B,-184.6231221830665,1
Homosexual,94.16045893274104,A,-7.05169673327178,B,26.10773449391602,1
Heterosexual,-202.34202813685346,C,47.629471753911986,E,-290.7062019013725,1
Bisexual,-115.82356349726805,A,-72.44331062586022,C,-34.35221824120897,0
Homosexual,-49.06592911518491,C,6.937938431417404,B,144.86692403469237,1
Other,19.96651150186999,A,86.1521590757731,C,-94.5422407919847,0
Homosexual,-53.52476911590999,B,-30.68135359327171,E,-132.1812018442826,1
Other,50.8087527669004,A,-162.44975391324635,D,-18.560766508614037,0
Other,52.97531431071327,B,19.661304976947367,C,134.39119317785344,1
Heterosexual,-28.30510141035385,D,92.39665803210924,D,-93.21021071454763,0
Bisexual,-97.18678747795292,A,-21.42535401463298,E,32.05465641793758,1
Other,-101.28580569682812,B,-37.12535823415615,D,45.46721261682822,1
Other,88.26947115919718,C,-58.81477155748654,C,-82.61671227926121,0
Homosexual,30.506012566178082,B,-4.61665592671495,E,46.57682437281451,1
Heterosexual,-40.71773000997515,A,-214.02257584791295,C,-42.30457901743768,1
Bisexual,-42.52891385391098,A,37.903700104084756,D,61.14643800465402,0
Heterosexual,-4.0543292048452955,C,48.62374131461363,C,-17.8594087048957,0
Other,64.41878141532261,A,-184.64092929382323,D,-72.78381442847846,0
Heterosexual,89.51062058406536,C,-3.1818416558978053,E,-91.1744817182835,0
Other,138.84427828889216,A,48.19758410913444,A,-30.026391990026124,0
Bisexual,-116.17045997858159,A,-20.702647754882083,A,39.463816795043414,1
Heterosexual,124.28900148790558,A,-207.12873544834216,C,263.1531549044629,0
Other,-31.271800867871363,C,-73.28187424906154,C,12.468727575843133,1
Bisexual,136.26251352534112,B,-141.25211299745263,C,-64.01123344104799,1
Heterosexual,-221.1156861086463,B,-102.54902424706545,B,70.70370459700041,0
Other,103.95063350136049,C,-2.5999136995760304,B,-63.14269312408538,0
Heterosexual,58.84609923623444,A,103.64640126937795,D,-248.72808333020822,1
Bisexual,-131.5085717356407,C,38.36496898235017,B,-109.51345889138635,1
Bisexual,-30.951663991443823,D,-87.79515403329613,D,-145.25734000368007,1
Heterosexual,105.40293509930501,D,129.88263240587773,E,255.0890324855356,1
Heterosexual,12.738551944061413,E,-82.61725802402356,D,50.712121330946715,1
Other,10.196448934004012,D,78.51548558328582,C,-210.1170625331135,1
Heterosexual,47.504352239783266,D,100.84998996849362,B,100.98651539595409,0
Homosexual,-28.432288760811076,C,-56.50844870446783,A,63.06394078598833,1
Bisexual,114.7846273526039,E,-182.32847962951308,D,-40.79514975118425,1
Heterosexual,160.3250345001306,B,-74.7918200978369,C,-250.1210210632299,0
Bisexual,54.089234217953155,E,192.46706293487316,E,21.352090683408818,1
Homosexual,18.362580046599547,D,144.30901756311604,E,18.492931219997903,1
Homosexual,41.60950091091704,D,53.649747821924265,C,83.3375164404257,1
Homosexual,73.84176959154757,A,67.39808081528385,B,79.8419288203175,1
Bisexual,-61.52470583694498,A,-71.64027505189901,C,-68.35913966043677,1
Homosexual,-82.10840349783166,B,50.16036551813477,C,-3.860268039455097,0
Homosexual,37.25530936486409,A,-177.1264144594806,C,188.33310110193287,1
Homosexual,30.28501373896798,B,135.29054237209354,D,-7.26386242252944,0
Other,58.2463387693366,B,49.96715963335396,E,-146.27784394953886,0
Bisexual,-152.57741007347013,E,116.89920831724872,A,108.14370178717994,1
Homosexual,96.23632604080265,E,-161.28651559011632,D,45.51508887846899,0
Homosexual,-43.546456689863675,D,-39.99020513848376,E,-94.424765721018,0
Heterosexual,-150.08863740940694,B,-113.20465521177323,D,171.33765451044596,0
Homosexual,-190.8737324188117,C,-33.22942944899294,B,21.710808265008342,0
Bisexual,-59.14500143260676,E,40.51644348748488,C,-69.35686321199313,1
Heterosexual,174.97103519187448,E,-21.353464186785317,A,10.643969600405315,0
Heterosexual,74.51762845891903,E,35.82684259263262,A,-21.944973099424917,0
Bisexual,-194.36909180162334,B,-21.80060519632715,C,68.76465314116281,0
Heterosexual,-24.19830642521994,B,-70.13342103487777,B,-59.76912679166476,1
Heterosexual,-45.074159460004296,C,54.151093373432445,A,43.362789907822275,1
Homosexual,-255.07724795022745,D,59.51553568270283,C,-76.9215599293145,0
Bisexual,2.281667349142965,B,-61.57522519218928,D,-21.671064265024807,0
Homosexual,-142.24026552148962,B,-63.62380300768067,E,-140.19774241700443,0
Homosexual,30.86165910681467,D,-5.902133130783315,C,149.6475444577158,1
Bisexual,-118.55134567535114,B,124.69537244757944,D,-129.4239025452492,1
Heterosexual,-55.96960443568428,E,-183.64825629702358,A,-32.96834536277798,1
Heterosexual,-43.86084133105722,A,-25.963639846647048,B,39.36598176586159,1
Other,-1.7614232529998968,C,-115.80897248383435,A,8.06265331247533,0
Heterosexual,-92.43907667850105,E,-65.84928702483376,B,-36.7207518867224,1
Bisexual,8.84276544331566,B,-153.11501913524455,A,-24.122723839381656,1
Other,-45.756565437109,D,-32.46888297755237,C,81.82099360310424,0
Other,-79.67005233976103,A,-14.7328357682599,A,-191.70121962712074,0
Bisexual,113.92865993267871,A,-175.58876424580149,C,-100.70816360911452,1
Bisexual,16.700602540824548,D,-24.792629434109216,B,-197.30299741016125,0
Heterosexual,23.398248859612462,D,-37.92630122447302,C,-104.08943548918982,1
Bisexual,-141.0496649463635,E,89.9056144179063,B,51.364456694080076,1
Heterosexual,-12.904956436451979,D,70.44495082866153,D,-36.8945852288244,0
Bisexual,-88.95731799317947,B,-134.55402893558428,B,-29.20991519010033,1
Bisexual,4.16554181936972,C,185.04154081118728,E,-69.81492475773035,0
Other,52.955029255123854,C,-60.581294179713716,B,-32.76401896194301,1
Bisexual,97.85089723860364,D,-67.6014613415214,E,76.07098594294477,1
Homosexual,-32.51071550226307,C,79.80290620209816,A,16.76714885170775,1
Homosexual,-195.62483698916407,B,54.88787168171807,E,-34.27467562300981,1
Bisexual,144.22097179976936,D,88.80253644633103,E,88.1995389045976,0
Other,96.57333596955063,A,7.084035329415437,D,22.463791053129643,0
Bisexual,-232.90727074573937,B,51.3794742547946,D,51.0877352876778,0
Bisexual,-100.82077878786433,A,-63.97766766838012,D,5.653575562451302,0
Homosexual,2.250970071355035,C,29.501505032663346,E,8.718872675649166,0
Other,15.41820216516304,E,60.045981191851524,A,-76.2375950264066,1
Homosexual,-42.27358152681383,C,30.388420215662276,D,30.488617396501184,0
Bisexual,-31.042384733529722,A,-53.66751031045881,E,106.25628718740239,1
Homosexual,-95.59301094642854,B,-110.08080147830033,B,-96.33880119826674,1
Homosexual,-22.724365099095778,A,19.00237785443362,B,-25.48110369739844,0
Bisexual,29.42938962988319,C,-14.90450908252371,B,37.32071289713974,1
Bisexual,132.97843723204463,C,-15.994618455640033,E,-115.720036870825,1
Heterosexual,63.099870022748206,E,144.74096751856774,C,20.319875836322094,0
Homosexual,91.96562736286461,A,-127.09111911697684,A,59.20920368998207,1
Bisexual,163.93943119753013,E,-154.0638568710616,D,-9.607457324554977,0
Bisexual,83.6115096282676,E,-126.73970312856216,B,-42.46031370250346,1
Heterosexual,120.83770493929762,E,101.41143509852513,C,8.825564845456938,0
Homosexual,-201.72170810991315,C,-27.25767806142827,E,-64.89746019030083,1
Heterosexual,133.79626255699537,A,95.00120927896437,D,-188.94923662534782,1
Homosexual,-0.7876755204940352,D,-5.246778833777052,A,18.298531578441427,0
Other,-22.600196261609923,E,5.955769926873442,A,56.91409992577729,0
Other,-148.30058071405173,E,30.706827038761197,E,-25.316471042433825,1
Other,-42.83118532038286,D,-73.12898101315464,C,-95.95391425287526,1
Other,109.20658792684308,C,6.020933352860715,A,124.42937630595657,1
Bisexual,-4.508585539736716,E,81.52343655823707,E,-89.26216413310843,0
Other,-64.62442933398738,A,-42.24673160861881,A,176.29824174136203,1
Homosexual,0.6473590396252681,C,174.09851042216212,A,117.86885625225527,1
Bisexual,-139.45931152710625,B,-13.174278085228464,E,-30.155588022955413,0
Heterosexual,84.44940092607074,E,175.25400149725533,A,-42.822066161148705,1
Homosexual,60.029557864314775,C,-46.87160923528355,D,62.73826887662085,0
Homosexual,-156.02884800516895,E,-19.723047689429546,E,-165.32066279955978,0
Heterosexual,-135.57835489919526,C,142.9680124216637,B,61.8449851045571,1
Other,-150.31400293858843,E,-32.85326719654178,B,-32.9990784316056,0
Bisexual,-47.28113137145793,A,-66.7616814841334,D,71.08236745669502,1
Heterosexual,-74.60592309112175,A,86.75205525330789,B,8.43530094094271,0
Heterosexual,94.01737761306016,D,-123.93942981179494,C,-87.5153380437819,1
Heterosexual,-31.471011723210424,E,-59.09246015734657,D,287.1467174060147,1
Bisexual,56.44853585383389,C,-150.43109805768174,C,71.19991184464683,1
Homosexual,-104.012281784213,D,127.46243115413718,E,55.56335376893264,0
Homosexual,50.248647206365845,C,-71.35486392752364,D,-116.84643651461776,0
Other,128.64614154354567,E,136.9650387354234,A,-125.56027922534987,0
Other,-29.476333237335044,E,33.325529169841914,B,40.04408644875418,0
Bisexual,157.6970079065032,D,56.23665044765863,E,-3.090491447841312,1
Bisexual,-77.90238884553189,C,120.24224896557465,D,-89.12828093121986,1
Homosexual,62.448235833543606,D,12.54010342026793,A,-33.92993142568156,1
Bisexual,-73.3636823609103,C,-145.4798157801762,C,-70.01255682214284,1
Other,86.92829879316642,B,34.50042393927479,A,-108.33818069188898,1
Heterosexual,12.835121064557597,A,59.80974659927237,B,-223.38844325600365,0
Homosexual,67.72186557282302,A,-41.65311274379799,E,-78.45423689393041,1
Other,-87.95270772789357,D,122.31003013141645,A,12.305767784618988,0
Bisexual,-76.01416980279646,D,28.027301690842776,C,181.0052164172048,1
Other,-72.41937666776754,C,-31.927285776512505,E,138.1167831546762,0
Bisexual,-6.812348599368853,B,-71.70898759291245,B,-59.54191771871602,0
Bisexual,49.317231907305256,D,4.854310193355805,E,35.94994903768644,1
Other,29.461567165761572,C,-112.94576122604487,D,-76.43693751660156,0
Bisexual,-70.12809255431773,C,-85.87080619541574,E,-86.18589027272444,1
Heterosexual,205.81392430169737,A,-112.98473063962244,D,-73.94291858601112,0
Other,11.34360649663222,D,-48.58583948470699,E,-25.01137134300087,1
Other,-278.8815243991151,A,-93.17884067005875,E,-126.2719552037384,1
Other,-92.19033993985613,E,-60.38108709671658,C,-20.877524418868294,0
Bisexual,26.982671447842254,E,-54.02486281211838,D,69.54586191874075,0
Homosexual,-98.44134216492118,A,50.265343245066184,A,-53.49513127168971,1
Other,25.672530350429838,C,35.97035234283882,A,-110.48021888990844,0
Bisexual,-13.617296122191458,D,-108.25483688739364,A,35.380453139291454,1
Other,-75.14555893688537,B,31.949185202046458,E,-123.93937833407645,0
Other,113.69750810568303,E,34.273180797809786,C,-126.20058431835062,1
Homosexual,60.098897778934415,B,-29.337012141458484,B,-104.84887446296602,1
Bisexual,38.43629283612217,A,61.231746914039356,E,-45.894796110383346,1
Bisexual,108.9277566812495,A,151.65610541380838,D,86.31795432418562,1
Homosexual,6.584864713504778,B,6.9183577570732515,B,-83.93735732241777,1
Bisexual,43.97393020160445,E,36.04620805645552,E,43.08584248890469,1
Homosexual,40.00134594601645,D,-79.53724873079094,A,-130.411050887261,0
Bisexual,-13.518497837898968,C,-296.34628126370956,D,-63.69335511948834,0
Other,-67.05864613771186,B,10.256519806540126,A,-77.69554210678199,1
Other,50.05214954168612,C,-55.76063525098668,A,103.06768243431044,1
Bisexual,141.38298240270012,B,-42.6914513585931,D,39.96456941873604,1
Other,-90.13072779993398,E,61.38105011271754,C,30.317094477939428,1
Homosexual,5.902064812343596,D,163.4614514290213,E,-2.9057990799405955,1
Other,29.590137585888577,A,-46.00200161615619,A,245.54327315784423,0
Homosexual,62.81763206096217,A,-137.90012313059532,B,3.9538029543565507,0
Other,-8.594451490449455,A,44.01194532891359,E,15.074486994787787,0
Other,-112.04638302023785,C,-114.78566436727039,A,52.39866985231768,1
Other,-21.442000427100016,E,-43.759239657433575,E,-73.67113283561399,1
Other,-182.50836805313085,E,-23.346453944770477,E,-0.3700406328088524,1
Other,31.76439166470615,E,23.958612202116612,C,-59.166743534027354,1
Bisexual,133.30870307972816,C,3.2819655673144523,E,169.7949287454071,1
Other,-14.823970330763522,C,73.33240728993546,B,-241.29076860076532,0
Bisexual,-101.55904240315168,C,2.635122184216319,C,-83.9736195814708,1
Heterosexual,229.20713690583403,A,7.105730959924446,C,159.98852013104639,0
Homosexual,-19.58164263420517,A,37.6764225078299,A,27.232586642254052,1
Homosexual,-66.62909906837007,A,90.23201585949342,D,207.06372361906017,0
Other,266.6055991376245,B,135.41221149431965,B,131.78787035882672,0
Bisexual,24.862919318333365,B,-84.24187407858452,D,120.92126473823193,0
Heterosexual,87.37754440988735,C,122.62563852753996,A,-26.050332954858042,0
Heterosexual,47.38686271297349,A,-32.99599617660442,A,196.08075695780596,0
Other,-3.467223843125629,C,-191.4561439205894,D,-63.01126508134978,1
Bisexual,-175.0513619658226,C,274.5058342278417,D,-103.1826256734148,0
Homosexual,-40.2718005987667,C,-53.25422447539913,E,14.279120430097919,0
Other,-0.2648824302357997,A,-188.99328872543438,D,-195.96806342260146,1
Homosexual,-66.61994026954692,B,-171.03927927129055,D,-7.944379288120736,0
Homosexual,2.6116365880659838,B,252.3723060894152,E,-183.84556084307303,1
Bisexual,-111.05477005610025,E,-136.2070227134783,A,-149.9609487949175,0
Heterosexual,9.809447774143115,E,107.00734399238736,A,29.48196124706825,0
Heterosexual,90.13123615616027,A,-65.86306455655013,B,-35.498250606609396,1
Homosexual,48.78083629394561,C,11.343785866410414,A,-10.937179328577646,1
Other,7.103479281945938,B,212.387415615732,B,41.32078291240045,1
Homosexual,-161.24807055240146,D,-199.37439744573123,A,-136.81881538940755,0
Homosexual,16.23642322313133,B,-124.39615970265778,A,-109.14597577265145,1
Other,37.14161489213249,E,110.18345148158875,A,-54.481576730374435,0
