ethnicity,Gender,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Hispanic,F,Other,-21.84093780488552,E,-46.4107748758508,D,A,D,-113.24970995605432,E,0
Hispanic,Non-binary,Other,-42.91961256999875,E,-35.29151669308647,E,C,A,-126.1863833178761,A,1
Black,M,Hindu,61.8321734721354,B,80.22824275107186,D,D,D,-81.31191060076665,E,1
Hispanic,Female,Buddhist,-52.481913803777424,D,-68.8018257942973,A,E,A,-92.4670731271627,D,1
Other,F,Jewish,52.018746791882506,D,-127.10708232067806,A,D,D,-2.060721184796116,A,0
Hispanic,Female,Hindu,-103.62897195390693,B,-72.88877431267959,E,C,D,262.148455459417,A,1
Other,Non-binary,Christian,-108.52160547071219,C,0.44447529350815274,D,D,A,-45.06496874857303,E,1
Asian,M,Muslim,25.229008259238334,E,-63.654796852309694,B,D,B,3.9141085926474353,A,0
White,Male,Christian,-33.19393732072951,A,6.649988136270278,B,C,A,107.81805962769067,D,0
Other,Male,Hindu,-74.97806913873819,E,-74.27850890825809,B,B,D,-112.76938615837437,D,1
Asian,Other,Other,19.180060483417407,D,-51.19020965476704,D,A,E,67.96024061880918,A,1
Other,F,Buddhist,137.83640538011966,E,-0.2055939981826286,B,D,E,-65.97572515961278,E,1
White,Male,Christian,-65.15610865879914,B,67.85385631671835,B,A,C,-57.45787544208946,C,0
Asian,Female,Other,-115.82780080360871,A,-27.49408343813249,D,E,E,-95.62311390578253,D,0
Other,Other,Buddhist,151.85637373141992,D,-133.75342696658194,B,C,E,-20.88080559968952,C,1
Hispanic,Male,Christian,65.53743717897267,A,-5.529565114384098,D,B,C,-131.91318845108188,B,1
Other,Female,None,-90.47590566201893,D,142.31435186765736,D,B,B,160.38146095886518,C,0
Hispanic,F,Buddhist,79.71257658115005,E,-3.714441535522571,C,C,A,62.68701142858609,B,1
Asian,F,Hindu,-44.82893025511602,C,35.97574012766037,B,A,D,64.96549324053852,C,1
Black,Male,Christian,69.03962845347637,D,22.57874846412058,C,B,C,-30.650911547922107,D,1
White,M,Buddhist,-189.61299919141342,B,44.46386359207037,D,E,D,-45.20464658395002,B,1
African American,Female,Christian,79.64717952538378,A,-6.207607774870932,C,B,B,-135.6827082776876,B,1
Black,Other,Other,46.21332078066097,D,0.8258316041286761,D,A,C,-117.9189851820335,A,0
Hispanic,Non-binary,None,-101.34126860788737,E,-61.6692678897058,B,E,D,76.05375752627545,C,1
White,Non-binary,Buddhist,7.017413675984106,C,47.62762803483927,D,C,C,18.356586388930584,E,0
African American,Non-binary,Buddhist,-32.68256593436632,A,90.85997666862511,C,C,A,18.474965277163975,E,1
Hispanic,Non-binary,Muslim,24.528639477327268,E,-80.42649105846257,C,A,A,320.80445602025816,E,1
Asian,Other,Buddhist,-205.80305292401508,D,161.05259531902735,C,A,B,60.90377439377631,B,0
Other,Male,Hindu,27.100970499872496,E,60.48783763423731,B,B,A,-115.81372182962868,C,1
White,M,Muslim,-46.72580947870774,E,-138.11529093278986,A,B,A,55.880226033568015,C,1
Other,M,Jewish,118.69249377347467,A,106.28121119863813,A,B,C,-78.56288265577098,C,0
Other,M,Hindu,56.702984834132465,E,-44.06458266004745,C,E,A,87.7659764911149,D,1
African American,Male,Hindu,304.1334814428004,C,124.96476207423899,E,A,C,4.4813129421054505,B,0
Black,Female,None,85.27856752322555,C,116.09554965111344,C,B,E,-60.07779828834472,B,0
Hispanic,M,Muslim,-82.02808579579678,C,-116.8100093450423,E,E,D,-62.536904239371694,A,1
African American,F,Muslim,73.8294443267578,A,-19.020133366056974,A,B,E,78.20066381644065,C,1
Black,Female,Christian,174.12700904780434,B,29.821600763048796,A,A,D,-173.91330563212264,E,1
Hispanic,Male,Jewish,-35.927706290203986,D,19.252470653209727,C,C,D,-17.82641660461226,E,0
Asian,Male,Jewish,106.06330072712666,A,48.12532703332655,C,B,E,24.20577653174309,E,0
African American,Non-binary,Muslim,5.238319231891985,E,-6.520165896617977,C,A,E,-29.131532528191933,E,1
Asian,M,Other,58.299407304158194,C,114.2256513133786,E,B,C,-101.01875537498152,D,1
Other,F,Buddhist,-80.69357750316571,D,121.21723210041758,B,C,C,205.01857357066498,B,1
Other,Male,Jewish,25.54110635142875,C,103.35232214153432,D,A,A,152.4475764075158,D,1
Other,Non-binary,None,-5.83856531959223,D,174.51307165561394,A,B,E,-162.25317797221237,C,0
African American,Non-binary,Other,151.38506758242002,B,120.644699752942,A,E,A,-163.80118445042294,A,1
Asian,Other,Christian,-4.508771832836345,E,-167.6194718415361,E,E,B,-89.98311694965861,A,0
Black,Other,Christian,-47.606905522639465,A,-224.22223820013664,A,C,A,-47.82040746871204,C,1
Other,M,Buddhist,-131.73345805045196,A,-69.25992992604468,E,D,C,56.28589169849799,B,0
African American,Male,Muslim,-13.495762786903226,D,97.06114054604765,B,D,B,12.070966163291198,E,0
Hispanic,F,None,6.59746303021689,C,62.86345571957968,A,A,A,84.55512813299337,A,0
Hispanic,Female,None,21.45714670846557,A,-134.26737022633375,C,E,A,-185.62017694777643,B,1
African American,M,Muslim,15.654328156555666,C,-129.01916591062331,D,B,E,-126.32062455911553,C,0
African American,F,Other,30.658648626226466,D,-184.16000598535777,C,D,A,33.193843262780184,D,1
Asian,F,None,9.093092786512042,A,109.55219741678891,A,B,A,-172.24881855991302,C,0
Asian,Male,Other,177.91414654481693,C,-41.826143724143726,D,C,E,25.54761873943237,C,0
African American,Other,Other,-23.014217178545124,E,97.66720690258957,A,E,C,-16.762493658674902,B,0
African American,M,Christian,70.45425288453531,C,-119.75385930245992,E,B,D,94.42123073886842,C,0
White,Female,Hindu,-65.66906604284675,A,-172.35397569986438,C,A,A,57.16365823099774,A,0
White,Female,Other,-66.17091752497718,E,20.38645099717653,B,E,D,-98.18055592223142,B,0
Black,F,Muslim,-32.97111620406593,E,-80.9508020675744,C,B,B,-191.48963209705283,D,0
Other,M,None,49.16710440622939,E,-4.880196950058912,D,C,D,30.68861954572209,A,0
Asian,Male,None,198.88667983914019,B,-14.636343915435665,E,D,C,-57.90619303595118,D,1
Hispanic,Other,Jewish,-101.74509402266882,B,58.69565080363381,C,E,C,79.3357097680174,B,1
Asian,Female,Other,-78.73373117486865,E,69.78369574610241,D,D,D,-69.52939750738373,B,1
White,Male,Christian,28.976863894571398,A,-27.507599075063442,C,C,A,-149.3852136797911,E,0
Black,Other,Christian,-47.71222815318469,B,18.912472398726727,E,C,E,-45.637841622679346,C,0
Hispanic,M,Other,-52.527594941223676,E,260.54007117429444,B,D,D,-58.66817240563641,A,1
Other,Male,Buddhist,-170.15569578635836,C,194.37180500444043,A,E,E,-16.984298471366678,E,1
African American,Non-binary,Muslim,-115.35026835073417,B,-120.77452143135751,C,B,C,27.882930729754708,D,1
African American,F,Other,-3.6540786778418184,C,-88.89315238095405,B,E,B,-67.95400740236717,B,1
White,M,Buddhist,-87.26083802676222,A,1.537542534579903,B,C,A,-54.44811278402728,D,0
Asian,Other,Jewish,30.034475691345058,E,18.705306809388095,A,A,E,-116.34400077885878,D,0
African American,M,Christian,-227.55725697721104,E,-16.864124726357897,D,C,D,-67.63606097444209,C,0
White,Female,Other,57.49571184487679,D,-108.18221446583323,C,C,A,110.56169174686453,D,0
White,F,Jewish,-43.639137005864,A,35.90742953788395,D,A,E,77.74770480896869,D,0
African American,Non-binary,Other,-296.0925000146094,C,171.46184680914388,A,C,A,-179.9191993228572,E,1
White,Other,Other,-148.1864780112051,A,-113.59706561162592,A,A,B,-58.55349922501601,D,0
African American,Other,Muslim,-190.0705754526515,B,-10.457059385898512,B,B,A,-37.52453932425095,D,1
Hispanic,F,Muslim,242.1476343424264,E,50.15772202515404,E,E,C,7.501975381765467,E,1
Other,F,Other,-98.74923890346574,D,-7.571466907529538,D,A,D,108.80069249680395,B,0
Asian,Other,Buddhist,112.9230697445055,E,-96.37730108122004,A,A,B,-16.9318072601325,B,1
White,F,Hindu,-131.3663550251494,B,-146.59813067562354,C,C,C,41.75382591193145,A,0
Other,Female,Muslim,-212.7750869190679,E,-38.413726911260675,D,C,E,41.08048630722628,E,0
Black,F,Other,93.67359951789936,C,-11.054200920339722,E,B,E,-65.16399005806483,D,0
African American,Female,None,-51.998768037916335,D,61.31535614152062,A,B,A,58.303284697012515,A,0
White,F,Christian,267.9226810531671,E,-172.94956795600115,D,E,D,95.86380613595215,D,1
Black,F,Hindu,-126.60333964220037,C,-33.41674866908851,C,B,E,-84.71469668678411,E,0
White,Female,Muslim,2.8812505479070842,B,32.20916327786505,A,E,D,80.09688951841653,A,0
Other,Female,Buddhist,93.20134277505548,C,-39.44935586299792,A,E,C,-186.72063093049323,A,0
White,F,None,-131.68862604348968,A,37.85089552088973,A,E,E,101.3436790950432,B,1
African American,Male,Christian,-98.44574742378745,A,108.15575916986539,A,D,E,11.301004275131616,D,0
Asian,Non-binary,Christian,-18.37993655279458,B,154.15845811769387,C,E,E,137.67278621343834,B,1
Black,Female,Buddhist,-3.534935387452956,B,181.36615804874515,C,A,D,-69.3032186757943,E,0
White,F,Muslim,-17.33758577323135,D,-30.90059055168824,B,E,B,-120.01269146239099,D,0
Hispanic,M,Hindu,-179.5065760770779,B,-73.39340799493074,C,A,B,88.43839372155682,C,1
African American,Female,None,81.75700657831626,A,117.26618451776163,C,E,A,34.94681842279449,A,1
Black,Non-binary,Christian,-11.96815077613196,A,-154.05354841869476,B,E,C,141.62591270082413,B,1
African American,Non-binary,None,67.3020844946578,B,-70.52013985074274,D,B,E,87.26140684945155,B,1
Black,Other,None,-97.59645694304612,E,88.43121866462937,D,E,D,26.965555892507158,C,1
African American,F,Other,-18.933687652588393,B,58.40045008649369,B,D,E,-120.10221529418696,E,0
Other,F,Muslim,16.26846722872714,A,-62.11469144933118,C,C,D,-27.61439934977744,D,0
Black,M,Christian,181.75984482504194,C,65.98514832001896,E,D,D,-12.44466702633995,D,0
Other,Female,Muslim,108.63653291773232,A,-32.18793565716665,E,A,D,177.53341132380288,A,0
White,Male,Hindu,64.26759533930333,B,-5.7538244094290185,B,B,C,72.05864186508515,B,1
White,F,Other,-40.193279278476766,B,-94.92089864957468,E,C,C,-173.82403894709788,D,1
Black,Male,Jewish,97.6966484551497,B,240.20216753905933,D,D,D,54.5476345000699,D,0
Black,Non-binary,None,-99.50228098031634,A,85.02754189786536,B,E,D,-3.5112277381595938,E,0
Black,Male,Muslim,-28.03511630232638,B,62.508028896587085,D,E,C,-196.6126922085734,A,0
Asian,Male,Other,-65.16116197842786,C,-72.9190343093866,B,A,A,54.65305573705954,D,1
Asian,Female,None,-138.60418016258623,A,-92.52266872672618,C,C,A,81.02474176950861,B,0
Black,M,Hindu,-55.318758070231375,A,32.042758515234304,B,C,B,-129.3539780326233,A,1
Asian,Non-binary,Buddhist,33.85697325774253,E,158.1680247241168,A,E,E,21.63483722505952,A,1
Asian,Other,Hindu,8.537516547392114,E,110.18706115992114,B,D,A,-1.0747478757683948,A,0
Other,Non-binary,None,-140.44909383952324,C,-48.769039655758334,C,D,A,-157.658529464549,E,1
Other,Male,Hindu,-127.4670696611027,E,125.9690672713194,C,E,B,-29.244244968268024,D,0
White,Non-binary,None,28.19841862296159,B,-68.33811043122752,A,C,E,-47.660998335771424,B,1
White,Other,None,141.63220132942482,C,97.71923792953807,E,E,D,-113.92960255175366,C,1
White,F,Buddhist,16.671692403663393,E,51.627966245608384,B,A,D,-123.5556166812312,C,1
Asian,Male,None,14.668013924492532,D,-48.13513552227863,A,E,D,35.46338557769543,E,0
White,Male,Other,53.5463715052969,D,-13.78475826428912,C,D,A,-2.1177887038146253,E,0
African American,M,Muslim,-51.31707787375955,C,50.7984432637741,D,E,A,186.39493399494802,C,0
Other,M,None,23.96765696850385,A,-56.01984677380357,C,E,D,-254.30033298725573,A,0
Hispanic,Male,Buddhist,-102.00745581070694,C,-63.45863320992967,D,A,A,-36.40158928903167,D,0
Other,F,Hindu,-36.37977860086407,D,40.29175333574342,C,C,D,-274.7625193869453,A,1
Black,Female,Hindu,4.698340341771148,A,47.85777013091518,A,C,B,-91.53688204443212,E,1
Asian,Non-binary,Other,-12.613969717070074,A,-26.037859919845772,E,C,B,-102.24085407475701,A,0
Hispanic,Male,Buddhist,-51.32914267348249,C,-118.5384854614799,E,A,C,41.42125716925694,A,0
Asian,Female,Hindu,-92.373166774779,D,-197.71350575526608,C,E,A,-61.57633550991142,D,1
Asian,F,Jewish,146.2368548114807,C,-6.566228697989315,E,A,B,185.02896118151693,C,0
Other,Non-binary,Other,35.850540375854806,C,-109.44660912896667,A,E,C,18.92063081616805,A,0
Other,F,Christian,36.177818134137816,A,88.33977221151969,D,C,D,-131.21346172501399,E,1
African American,Male,Other,194.07203241795315,D,79.65939455406297,D,C,E,-52.9675005379031,C,1
White,Male,Jewish,127.9605332243452,B,78.10141658042093,B,D,E,104.98090770597688,E,1
White,M,Christian,45.21745638870591,C,-106.7271346203191,D,C,B,126.92014725181737,B,1
Other,F,Muslim,71.4991881081024,E,65.73539411054551,A,A,E,-140.70001558537305,D,0
Asian,Male,Christian,2.27001590721967,B,-22.038617851515177,A,D,E,36.42037960738804,B,0
White,Female,Hindu,-31.984062243175487,B,80.46159746622817,D,A,D,53.15201728018445,E,1
Black,Other,Muslim,-128.4345507688559,E,-98.54569961901178,D,D,E,70.16459305664573,E,0
Asian,Male,Muslim,177.14761206822178,C,6.274742745253005,C,C,C,9.081251734858188,E,1
Hispanic,Other,Buddhist,70.26006050033232,C,2.3673076611827972,E,A,B,-82.80235118034551,D,0
Other,Female,Hindu,5.9652705661818315,D,-13.045525762444981,A,C,C,192.35571143417295,E,0
Black,Non-binary,Muslim,121.36957996834457,D,29.914690349584035,C,C,A,155.43445274896385,D,0
Black,Non-binary,Hindu,7.132372601427905,D,38.697233213768676,A,C,E,-32.360345068846605,D,1
Other,Non-binary,Hindu,-100.49984639103742,D,52.78934653419235,D,C,C,129.75759755549143,E,1
African American,F,Christian,-12.371444413328142,C,-0.16360119839853074,B,B,B,-61.848639898662036,A,0
African American,Other,Muslim,-157.06179698368524,B,-0.39186296287188305,B,D,C,-50.01208541646805,D,0
African American,F,Jewish,-241.1341258448278,B,0.46589024831159354,C,B,E,54.70610333146107,C,1
Black,Female,Jewish,-75.33544597725582,B,-50.41804865203516,D,E,A,54.35456921226376,C,1
Other,Male,Other,159.87560523411912,B,-69.2609142206516,E,D,E,47.467950013928416,B,0
Black,Other,Christian,154.99875963952547,C,-186.78944400906485,C,E,B,21.055279140954454,C,0
Other,Non-binary,None,72.20479774304903,C,-204.0123608924797,E,C,D,6.901898374810458,E,0
Hispanic,Other,Other,13.995013003550728,B,59.841404061188506,C,C,B,2.4345183628353366,A,0
African American,M,Other,2.9696046078461182,E,9.16776957760219,E,E,A,86.62762460243559,C,1
Black,Male,Jewish,-102.11146868607514,B,0.7134730436423091,E,D,C,223.0113201222461,E,1
Asian,Other,Other,-130.29374371579863,E,-116.06241459839988,E,C,C,53.03946616749852,D,1
Asian,Male,Buddhist,222.2606344220682,B,-109.01428855259489,E,B,C,205.626764874665,E,1
White,M,Christian,-104.13300151140872,D,72.82048282546123,E,B,D,53.99719755689425,B,1
Other,Female,Muslim,-102.41405063109733,E,20.15133579704043,D,E,B,-140.6605721591967,C,1
Other,M,Christian,-32.067858547694335,C,165.19096711999234,D,D,E,118.7660395404039,B,1
African American,M,Hindu,134.3423985038797,C,107.32284095138671,A,D,C,-57.669048855668194,A,0
Hispanic,Female,Muslim,-74.61761012130404,E,-75.72950067139773,A,D,A,-176.03165781198854,C,0
Black,F,Muslim,-138.9991443475021,D,11.79429522975978,D,E,D,17.36682816820809,A,0
African American,M,Buddhist,-137.95006655817133,A,158.18692596740672,D,B,D,-36.471956650002156,A,0
Asian,Non-binary,Buddhist,48.10733080959338,A,-9.998102633996208,D,C,D,61.09658394617077,C,0
African American,Female,None,91.96381501706227,C,-59.8004034170261,C,A,A,-84.57533318108287,E,0
Hispanic,Male,Christian,-68.66736908382414,A,29.600759513520792,E,C,E,40.75908606765903,D,1
Black,Other,None,50.815411273307085,C,116.49646155003201,A,B,E,76.49677710809796,C,1
Asian,Male,Other,55.88985748068662,C,-8.6749539965644,E,B,B,13.19026687752379,D,0
African American,Male,None,7.321035571327387,A,-182.731674877319,A,E,E,36.53727486716114,C,0
Other,Male,Other,-20.367432691212542,B,20.14132671298512,C,C,B,-35.94675902928678,C,0
Asian,M,Other,-229.76292266445034,E,79.19897175537375,C,C,A,-24.975036276840136,B,0
Hispanic,Non-binary,Christian,-89.64245945019572,E,84.89833402044917,A,C,D,-100.10616765588738,D,0
Asian,M,None,46.89201821821316,C,6.142659224780773,C,A,D,71.47462432868983,D,0
Hispanic,Other,Christian,-32.44655195243477,E,-19.499903975634783,A,E,E,-130.1356749609446,B,1
Black,Male,Muslim,238.1192434892518,C,-102.29810440432851,A,D,C,28.007155144228733,C,1
Hispanic,Male,Jewish,1.6388922551572298,E,-119.79397146247138,C,C,A,-76.11489298486396,E,1
Black,Female,None,16.504577661695887,C,-136.82416117801014,E,B,C,195.81831714825634,A,0
Hispanic,Female,Jewish,-99.19128527260361,A,-138.9485097459625,B,D,E,1.8528683680187186,E,1
White,Non-binary,Christian,99.66185044721993,C,123.95166117599645,A,D,A,-151.60375177009945,C,0
Asian,Other,Hindu,138.26467016604894,B,140.647919112435,B,D,C,-105.37373331355515,A,1
Hispanic,Other,Muslim,187.10855517730786,A,99.99875883104161,E,D,B,-0.8552504029945105,B,0
Black,Non-binary,Buddhist,-157.7831670112581,E,242.8466704377584,A,B,A,-20.8163256699234,A,1
African American,F,Hindu,-39.001594484448816,A,-166.13556100516018,D,B,D,-94.41398207446065,B,1
Other,Male,Christian,-51.64706760552878,C,-52.973905520558894,D,E,A,-127.62860103202654,C,0
White,F,Muslim,52.861117850548546,A,-20.307760066576083,D,E,B,103.61623542823403,A,1
African American,Other,Buddhist,30.759297355935857,B,204.01990005240825,A,E,B,23.777774704552684,B,1
Hispanic,Male,Other,-168.42905910490663,B,32.62258939267095,B,D,C,50.94917746421549,D,0
African American,Non-binary,None,-7.750656965147261,B,-135.44339605319024,C,C,A,46.70655085353439,A,0
African American,F,Buddhist,-187.83389094642177,D,-14.968806297839771,B,D,A,-60.15796195764484,D,1
African American,Female,Other,99.60078576614409,C,46.57058749766319,E,B,A,25.97019604952428,C,1
Black,M,Christian,-95.67641804348679,B,40.76638337222344,A,E,E,9.88286753377584,B,0
Other,Other,None,-20.30301585655489,E,-111.4382744838516,C,D,C,21.52216069093033,E,0
Black,F,Other,-116.04462509409706,E,-191.5936402600761,C,D,B,-177.79726129404884,C,0
Black,M,None,18.676110665733038,A,-63.81720993806067,C,E,E,-65.31214597093307,B,1
Asian,Male,Jewish,146.37203134412496,C,-120.41034755252169,A,A,E,-287.48800919324435,E,0
Other,Male,Hindu,43.83832983059598,B,-110.82637225342549,D,C,A,-41.677761161146066,D,1
Hispanic,F,None,-2.118371852004781,C,73.54615250609139,B,E,E,-18.355790002133848,C,0
Black,F,Muslim,72.00791584243015,B,-16.22051033210271,C,D,D,-131.62058727890349,D,0
Hispanic,Other,Buddhist,-96.8353021699312,B,207.92980258957283,B,D,A,77.27433048745237,C,0
Other,Other,Other,-111.16428509351093,A,84.93027962074858,E,B,A,136.40983288772063,C,0
Black,M,Buddhist,-27.53155653050852,D,185.7406331421737,D,D,E,21.47327061982528,E,0
Hispanic,F,None,0.023326096477163504,B,29.481924065504327,D,E,D,61.296722951829274,A,1
White,M,Buddhist,20.706242572392235,A,-104.55854035115372,C,B,B,107.34244697245725,A,0
Hispanic,M,Muslim,55.071454884366446,A,340.6553028993729,D,C,D,52.96381478493941,E,1
Black,Female,Buddhist,-165.53034127962684,B,-50.40618935246381,A,D,B,-12.06757421995978,A,1
White,Other,Other,-114.09735851925984,D,-28.625564609742465,D,A,D,-74.2156237124736,D,0
White,Male,Muslim,88.94491529784332,E,-47.04477056608491,C,B,E,91.18910291256789,A,0
Hispanic,F,Hindu,-220.6758932711889,A,22.999490795780407,C,D,B,34.96724018014943,C,1
Asian,Male,Muslim,29.707697614383687,A,78.74136411782331,A,E,A,3.6910081549143237,A,1
African American,Non-binary,Other,105.15499360107108,A,13.693057672865494,A,E,C,-7.983114760324088,A,0
Hispanic,M,Muslim,137.4820828013108,D,100.72336241584507,C,B,D,70.67978886377345,B,0
Hispanic,Other,None,69.65600437126444,C,-134.19937569325106,D,D,B,-67.2664472559286,B,1
African American,Non-binary,Other,-140.74224881335107,B,265.7091980894996,E,C,D,-40.63058114671776,D,1
African American,Other,Christian,41.331548788932444,B,-32.113379014911814,E,A,D,-33.820372588275085,C,0
Other,Other,Muslim,151.2579436255824,D,-99.41115232167623,E,E,A,92.43505759718238,A,1
African American,Female,None,-86.70470407028148,B,-41.784208936225056,B,D,B,92.59952109392881,B,0
White,M,Hindu,-51.34721859149817,E,-45.81283595255464,D,E,B,138.31332836997987,E,0
African American,Female,None,97.0712254150151,B,-193.6561062053885,E,C,B,20.445838877343174,C,0
African American,Male,Jewish,-33.84751471677273,C,217.4124887655636,E,D,C,157.46134636095596,C,0
Hispanic,F,Jewish,-129.94407464888923,E,23.8441655654402,B,B,C,-51.233641926824234,B,0
Other,Male,Muslim,-66.02955623733607,C,98.10806627753333,D,D,C,17.483227474437278,E,1
Asian,Non-binary,Other,244.8152542312895,E,-20.820185160493747,D,C,C,-235.29738270121032,E,1
Hispanic,Other,Other,170.52030106160498,C,-64.98137119903824,E,B,E,100.59836748336156,B,1
White,F,Christian,95.63269110082022,B,160.12516952962514,D,A,B,-1.562231317371327,A,0
Hispanic,Non-binary,Jewish,24.566821147897013,D,71.33656245803996,D,C,B,47.99419470704962,B,0
Other,F,Jewish,-32.460605008717316,C,-47.77026844531881,D,D,D,-66.88952270398838,D,0
Hispanic,Male,None,207.69142918998895,A,-157.4515596659596,D,B,A,-160.8181632112629,D,1
Hispanic,Other,Christian,-75.04376716688488,A,-67.73332524947708,A,A,D,204.72803397372576,A,0
