sexual_orientation,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Heterosexual,Divorced,B,D,E,20.307403967287875,177.28249511815073,-109.1388486255821,1.556744417048917,B,226.69173249397386,31.674409002180713,A,E,D,A,1
Homosexual,Widowed,B,E,E,-33.26589676359056,-91.91808159458479,-39.53838430935151,7.055967578529537,C,-102.70052192188956,79.43207692714978,D,C,E,C,0
Heterosexual,Single,D,C,A,19.841790564124377,65.79291092082002,-25.375831673007422,91.72673300241956,A,-21.67091241948186,16.520434401514738,D,C,D,C,1
Heterosexual,Divorced,D,A,D,-79.1273312288252,-130.92247730644527,-41.70495800531457,-182.96088288857095,E,-110.36920330851592,118.28742608518654,D,C,B,C,1
Heterosexual,Married,D,E,D,-245.33211258808532,139.67810559771027,-57.55735634374625,-111.29642353453575,B,42.30651700378657,60.577554422541446,D,D,E,E,0
Homosexual,Single,A,D,D,24.187246595980277,26.536829252688086,-45.28341539950548,58.67270358295298,E,20.48336690970928,-83.95478988818309,A,E,B,A,1
Bisexual,Married,D,A,C,-11.938726505659487,156.43046791447796,-69.31144592177961,-103.82288047128176,D,-19.86894834119606,135.23264451255233,A,A,A,C,0
Heterosexual,Single,A,B,B,25.313251136068395,-83.58395771790597,60.15996864244233,50.321057928130365,B,181.2509557550691,52.17714821273037,B,D,B,E,1
Bisexual,Divorced,A,C,E,-199.29828655048908,154.32540312591252,-132.30916062026407,-40.335053580016904,E,100.64235937416599,101.50994199486554,C,D,B,E,0
Other,Single,A,B,A,62.400445459914586,113.6695837219966,21.444016563003814,63.899930104388616,B,274.9079772156058,21.273467719020836,E,C,E,B,1
Homosexual,Widowed,A,B,C,-62.885917502991454,45.74734478212206,-87.56068053845584,-98.99222438965288,C,-233.99318244582156,45.60766542323912,D,D,B,E,0
Homosexual,Divorced,C,D,C,-22.184451561048128,105.25034043004136,-61.21086806567766,79.96872331037339,A,36.94385480227781,-132.21556707167443,C,E,C,D,0
Bisexual,Single,C,C,E,-153.05856906284353,133.93914703034002,-56.73267137024492,44.4302987091137,B,-93.79832458847682,118.37224496599777,D,B,A,A,0
Bisexual,Married,A,E,D,-86.37445739031553,42.396565124249605,-142.319032125285,-31.491656264974733,C,-20.33388164843708,-59.13620501718619,E,D,B,E,1
Other,Single,D,A,E,-149.3990497144199,-187.36714736447777,22.869420800735,-48.20044395965464,D,79.26888722056172,-77.91981012499167,A,A,A,C,1
Bisexual,Divorced,A,C,D,-102.05288197432871,-136.60749689569488,44.55067556220331,8.655567972596458,E,10.273624798747518,-12.559409213000011,D,A,E,C,1
Other,Divorced,B,D,E,-12.828825510660383,65.42346679866333,202.43277651627253,67.46376014068541,E,-84.38739452880824,101.96774832832018,E,B,E,A,1
Bisexual,Divorced,C,B,E,61.14675211001703,90.541409006259,43.230095058643144,43.562647081806226,B,-96.00760010536762,-66.0909078931116,C,B,B,D,0
Bisexual,Married,E,B,D,-72.60861377285899,-162.90708447966242,33.542932719577514,27.194273310206142,C,73.62211113607903,-5.862281291025404,C,E,E,C,1
Heterosexual,Married,A,B,A,307.53774311265806,72.80979733281616,-82.45060306836656,138.38074751946866,A,-104.7230266298667,6.850748519556357,E,B,D,B,1
Bisexual,Single,E,B,C,19.24457113452412,-64.41902615951605,-33.61111558531157,-56.65366551995995,C,4.8214352664158024,-191.32976044465855,B,C,D,B,0
Bisexual,Married,E,A,B,55.02275316432037,29.307702047543515,11.575427981248467,-65.17458839592658,A,-2.5057682344215455,-205.82534149924166,C,B,B,A,1
Bisexual,Divorced,E,E,D,229.00613468398294,-37.88511328186349,12.428648922781187,24.63511659308289,C,-20.391252279798017,58.96197430113165,A,D,C,B,1
Homosexual,Widowed,A,A,E,64.0319700341706,55.61594925534696,64.450539544699,-204.30514336923898,E,-20.050039853680666,101.31619300925281,B,C,D,B,1
Bisexual,Widowed,A,B,E,-62.41556674667975,119.33294436284272,-21.84692364887359,215.7988289319054,B,-30.343249237599768,98.44057233898809,A,A,D,D,1
Bisexual,Divorced,E,A,B,-110.60024003815543,36.42399056131556,16.091836111546503,-61.549577470451936,A,-35.49997664401982,123.50233677379362,C,B,A,B,1
Heterosexual,Widowed,B,D,A,150.56840974650953,62.51047678559909,-67.77329904354428,90.30417287379214,E,-193.87263286915348,-31.494447354610735,B,E,B,E,1
Other,Divorced,C,E,A,-16.128266796328035,139.38479377698175,-246.65301443445733,-113.80435538712777,C,-7.526995017356302,-1.0598109821918413,A,C,D,E,1
Bisexual,Single,B,A,D,15.153138727585658,20.83461050158929,-194.5896849567376,12.06043191604734,E,-7.248509721670221,50.85274875252852,D,C,E,A,0
Heterosexual,Married,C,E,A,57.60815826759732,-6.3156154744471875,141.11848495501428,-109.18108395554806,A,-35.865272759395864,-30.086866510135675,D,A,C,C,0
Heterosexual,Divorced,E,D,E,155.65094818642055,28.220938765557936,34.48993678242401,-111.30333746193631,D,-2.6729208910673963,18.40504514180605,A,E,C,E,0
Bisexual,Married,E,A,E,198.96675467423168,108.12033582971132,-144.608387853018,9.658528913264112,D,-261.9785227070347,193.1755809642101,E,D,E,A,0
Bisexual,Divorced,E,D,A,47.65983251684672,-0.007235049347138035,10.748896016832033,98.04549498852093,A,149.73870363478227,71.02290902748769,D,B,B,B,1
Homosexual,Married,B,C,C,-100.6737925570784,133.92204677156636,-44.84795287600487,20.088263684921127,D,-15.309927358614845,50.46766760030924,D,B,B,C,0
Homosexual,Divorced,D,A,C,-66.35635954111268,-26.520311029176813,-68.65243388747294,147.21416799874598,C,19.672724237693327,76.25492887965783,C,C,A,C,0
Bisexual,Widowed,B,E,B,18.00203866428435,-114.56016538475508,34.43435849164915,-87.86892921211856,D,-92.56275505228317,5.748367632411186,C,C,E,C,1
Other,Widowed,E,B,D,-98.1461312393515,-18.256127664327547,-3.7800427085860995,76.10311646483599,E,34.95106890134902,-96.52582118606506,B,D,A,D,0
Other,Single,A,B,D,237.43326333890687,-9.416986898759818,34.19967768890084,223.50418966792313,A,37.0815189649965,106.29207906187344,D,D,C,D,0
Heterosexual,Single,A,B,A,122.14482487819095,-133.5272357332107,-31.176988343908825,130.5324317018425,C,-11.458496285285506,-120.6220943338785,B,A,D,B,1
Heterosexual,Widowed,E,B,C,6.231125587413745,-115.40132166919763,55.75409378716428,-75.73675451618857,D,-24.972526975323394,106.96920088632449,A,D,B,B,1
Homosexual,Widowed,A,E,C,-3.833706516945904,-15.565492205186631,-0.7172473356786776,-84.39586267773352,D,20.634661703610856,-128.72928381343792,A,A,E,B,0
Other,Widowed,E,A,D,12.58417031609299,62.60831339330797,-99.35860643712402,-69.13818988676911,C,-135.88918976819957,-21.947753641894924,E,E,B,D,1
Bisexual,Married,C,C,A,-205.27809970029475,169.39886656036208,61.03711982596486,14.109371636464113,C,255.56231551002293,61.62046795833776,E,C,B,E,1
Bisexual,Widowed,B,C,C,57.58117109499415,-81.58180405928736,35.63742691286757,22.949954040084076,D,233.26971504248792,146.9315404222063,C,D,A,E,1
Heterosexual,Single,E,A,D,-175.87091977514126,109.96097241718982,43.727478347828,-169.7874696095802,D,-52.51805005661453,72.17980940914997,B,A,E,A,0
Bisexual,Single,E,B,B,-114.77018958727345,4.357500112431283,77.90770557128309,17.156738607325188,D,61.14567176174588,66.91351663826308,C,C,E,D,1
Bisexual,Widowed,D,D,C,9.476946152027125,-91.17590904803671,109.05312003159817,-248.07112436983155,E,31.038721217897326,109.55818432595181,E,E,D,C,0
Other,Divorced,C,A,D,-84.72709653765634,143.0094494347109,-81.28526862582068,133.7101261043451,C,108.34893135809607,125.2876377273487,A,E,E,C,1
Bisexual,Single,B,E,C,-43.87140430400293,-27.75712042155748,46.86758612466147,-121.50691823613049,E,70.26648511459557,78.58302323282258,C,B,A,E,1
Homosexual,Single,A,C,B,-125.84114845789061,9.803776186890163,-89.61748078940411,109.86393914335781,C,-110.10314701820849,7.523349438139548,C,A,E,D,0
Homosexual,Single,C,E,A,25.8244961637564,-55.16341063358309,-43.87006719597671,-152.14360990118442,A,-72.99040433130578,46.221036026982034,E,D,A,D,0
Homosexual,Widowed,E,B,A,-33.61516101038578,-11.368358323117473,-2.4892150209198287,-15.049361402037743,E,-30.068595864038482,17.162124661807315,D,C,D,D,0
Bisexual,Widowed,C,B,E,8.43326467722511,109.38080832215378,-43.89255260514942,69.52755756864626,A,-79.32012834626815,-53.368820215517765,D,B,A,D,1
Other,Divorced,C,D,C,-75.07059849944937,21.35230594626829,-226.75934097447515,230.4284474281281,D,88.8841829184314,-103.55935529828457,D,C,C,E,1
Bisexual,Single,A,C,D,108.63442092648982,-26.437501371694033,67.75971762649593,32.301498226205744,C,58.58791337328881,-7.4268885030491925,C,A,C,E,0
Homosexual,Divorced,E,B,A,93.6779874999366,128.46370684179453,-70.34760309803329,-123.83406306175343,A,29.914555302981622,2.4765759357194983,C,A,C,B,1
Homosexual,Married,A,B,E,59.75675310957242,-3.9144372887481635,28.985687062580983,54.156287953296086,D,65.6896639413652,29.08330067002031,E,A,A,B,1
Bisexual,Married,E,E,E,7.644035116564181,-135.26541402876856,21.955771253788157,-30.080694898612354,A,75.7131568471294,-175.22344775818445,A,B,A,C,1
Bisexual,Single,A,E,C,39.92727638913542,249.33213093218808,-140.9179265673417,32.92016290970907,B,23.577870040381278,-26.917348908295224,E,B,D,C,0
Other,Single,C,E,B,92.90125427110017,-142.2700409404492,42.69074781608953,-57.16855059894491,C,92.57245378109596,-20.816178552325244,E,E,A,E,1
Other,Widowed,C,D,C,11.548702954134917,109.95552451896846,-97.82182463169822,-99.14006990682745,B,-88.2738437478822,97.27588099780107,C,B,B,B,1
Other,Widowed,C,E,D,267.228582467957,32.14995080411317,32.015509622547256,-25.256961881882923,E,53.11370249120956,13.265164488484107,C,C,A,C,1
Heterosexual,Single,D,A,D,15.42306409359744,-104.50624071242403,8.036912627627029,-159.3679110092474,A,224.68087618223208,57.390540189897386,D,A,D,A,1
Heterosexual,Widowed,D,E,E,163.62863906280836,128.4911773614691,-55.95368309267344,-28.8415555611935,B,46.07477666373913,-4.8337880861476705,E,E,B,B,0
Other,Widowed,B,E,A,-45.20005752820845,-48.42587550169462,-35.21151419072062,-134.9502494826681,D,-11.05137979139115,-24.76492074550419,C,D,B,A,0
Homosexual,Married,B,B,B,9.583173580043642,138.66771915071777,21.587796722226766,16.84654780096278,D,64.34878558825122,36.39585524008446,A,B,B,C,0
Bisexual,Divorced,D,C,A,-55.10646664805729,-109.93552817730703,92.45842336964704,82.01046398265304,A,-144.11916596278965,142.00082227670484,B,C,E,D,1
Other,Married,D,D,B,-4.540424654346372,-38.577092040811536,-34.37045193187706,14.088702504109015,D,64.26440316394718,17.49294286790364,E,B,A,B,1
Other,Widowed,B,C,D,-32.187472700287486,-41.465521896006,-26.25590813165848,60.94090477446331,C,-93.72856757800831,-55.28760957148881,C,A,E,E,1
Heterosexual,Married,C,D,B,38.41986396846373,5.846304282648112,-22.833560673935917,78.25986506659393,C,-180.768542187952,63.33388093759746,E,A,C,D,0
Bisexual,Widowed,D,A,D,-66.60947756436985,-121.4300752890046,-232.2643066630333,80.26695294842355,E,61.96240248446634,-93.00941218116418,E,D,E,E,0
Other,Single,D,A,D,18.9380748150486,-133.62671687212102,200.3347584317535,14.862102456002965,E,20.622941857699352,22.796032138123035,E,B,A,E,1
Other,Married,A,D,E,1.6164649199850363,-90.52793789646341,87.81989771539556,-28.74799780029061,B,-126.97518223253003,-81.04342676057539,C,E,B,A,1
Other,Widowed,E,B,E,45.674061567644145,-172.18534280127415,-11.332620124240687,35.5521170500365,D,72.65236060336083,9.491428865501536,A,D,E,A,1
Homosexual,Married,E,C,A,-9.328304584567855,-37.67981830668329,100.84660026288262,126.8666592650235,C,-23.605967517980694,-100.36421502034207,B,E,E,C,1
Homosexual,Married,D,A,E,37.45042638510831,-79.53876782079081,-90.426823556389,-28.73506193409559,A,49.016142003975645,-37.657855720498354,D,C,A,A,1
Bisexual,Widowed,A,A,A,-89.52999788817597,-224.77144919829044,-65.18583028939314,132.06868044510267,D,57.13666280148957,91.47176801276227,A,A,D,C,0
Other,Married,A,A,A,144.90544671678487,197.70285231117137,-10.73146576289266,-4.144817436943442,C,-6.973848721359791,127.54135048614887,D,A,C,E,0
Bisexual,Single,D,C,E,-63.28295760990559,106.2104488149169,53.64751261863655,130.21680265119443,E,-57.13514774742949,54.12599901417422,E,C,B,C,1
Heterosexual,Divorced,E,B,A,-2.6788386718876076,141.32096002993896,-12.326387252224485,-40.75885635122845,D,89.05719064794945,-94.89515916486339,A,A,D,D,1
Other,Divorced,C,D,D,-55.276703289439354,-32.644210018341994,-101.15874415692534,-40.278138740445996,D,-0.06973591985988052,-108.58325536775884,D,E,C,B,0
Other,Married,A,B,C,-137.38724838185752,-71.96108642664198,175.2240442412215,-68.38719261803516,D,166.15574902048684,-68.93940234920322,D,B,D,B,0
Homosexual,Married,E,B,C,-199.476557446323,40.42385397522102,-66.15768761106915,111.39474991521341,A,-142.03204328312722,-11.324539819376463,A,A,E,D,1
Homosexual,Married,D,E,C,93.02999594041177,-23.69425914935321,-73.55882984241705,149.97734475576684,A,49.635268216812776,56.9118952515302,C,C,C,E,0
Homosexual,Divorced,C,C,C,-19.15646725640543,-82.02173808004258,-45.17443524477372,-6.578326935108529,E,-165.99382373638227,148.93683245228198,A,D,D,C,0
Bisexual,Married,C,D,B,137.35227696430164,-58.360860608542495,0.8207852451461368,-85.68239183215397,E,28.75093369230773,-3.824134441189474,E,C,D,B,0
Homosexual,Married,E,C,D,-107.02474182131057,151.20143172144284,-148.19165682250787,-6.494585403304981,D,48.34274196758543,-25.871268580316276,C,B,E,C,0
Bisexual,Married,E,D,A,-149.64339520866596,84.74191389083887,-115.12284389308543,0.7643791268329738,D,-102.9252381135341,-19.93119933863196,B,A,B,A,0
Other,Widowed,A,B,E,107.23784263241838,-46.90844790348886,81.55447457722383,151.16840797342525,C,-35.30019461483886,18.044226397362348,E,B,D,E,1
Homosexual,Widowed,B,A,B,28.204612494628854,-7.620196348184415,-60.498630477110524,-38.340943926575896,C,-36.887881361773225,-114.2767077615565,A,E,E,D,1
Heterosexual,Widowed,C,A,B,-205.63012270837407,11.892015092935141,-123.76889483109541,-132.6720696212104,C,-149.61474029247975,-229.03213720431904,A,B,E,A,0
Homosexual,Divorced,C,B,E,87.30905123322292,84.80687827094661,-106.67128720618105,-103.0707763485119,B,0.13132871694380163,194.63107338490445,D,E,E,D,0
Homosexual,Divorced,C,E,C,-22.84413442483719,56.53064696714597,-0.16506149431832534,22.158248378341536,A,-32.11774006123031,54.211428609473124,A,D,B,C,0
Heterosexual,Single,A,D,C,-36.63924012942597,14.890180440482146,-110.79993211284483,56.630126864531995,D,-201.23242911409505,-201.02937934150123,E,A,C,D,1
Heterosexual,Widowed,C,D,A,80.37020071646577,-82.3551154334712,152.2887780120679,-172.5970723385464,B,7.865114413005402,165.5209160626688,D,B,D,E,1
Homosexual,Married,B,B,B,-114.32799066111647,59.82864447157517,56.10469725739282,33.811844557274526,C,32.49829531657482,81.76495279562481,C,C,C,A,1
Heterosexual,Married,D,D,A,-45.10502309848468,235.65241313505146,-130.8618693306042,39.64283393808529,A,83.43184365948613,22.79420135036861,C,D,B,A,1
Bisexual,Widowed,A,B,E,162.90628096991819,-78.9754974407334,37.523648046899496,77.31354080682105,E,88.56220932738563,114.65649992195506,B,B,D,D,0
Bisexual,Single,A,A,B,114.75264960744056,20.353271205975602,-71.17260317381802,149.49303609446144,B,30.136328166666075,-28.315207776847934,A,A,E,C,0
Homosexual,Widowed,A,E,E,17.760887559472344,-149.78674895242395,-37.23760926677771,18.685690309803757,B,-16.083344910767917,-102.44977306989296,C,E,A,C,1
Other,Widowed,B,A,B,42.986799270818295,-22.752722315169255,89.19041769815865,-70.26760574730304,E,-38.730099724061425,-75.5629094419068,C,B,B,B,1
Other,Single,E,B,E,-102.03060271575256,-96.49457453622003,-85.49030696515312,13.239377459910775,B,35.466747309290476,-175.82640709929905,C,E,B,E,0
Other,Divorced,C,A,C,41.67779222537564,-48.722883351961414,203.78284985733316,192.8204074646543,C,138.70167036027783,-92.40864232424882,A,E,A,B,0
Heterosexual,Widowed,C,A,D,-31.785529494262494,139.17459105573332,46.71113988233391,167.09965849777367,D,122.54716969745161,178.1693095876473,A,B,B,D,1
Heterosexual,Single,A,C,C,-109.04881954438133,39.64502816936334,-13.882828873560038,-100.86281952569868,B,33.013605477720695,-145.1834309043059,D,C,E,C,0
Other,Divorced,E,C,C,-7.220547395617778,-26.070972128361714,126.12910298768472,-136.4987611051381,C,109.91484063854824,13.787738527076629,B,B,D,E,1
Other,Divorced,E,A,A,14.200766966570717,-4.1637573329409525,-94.02075555747903,20.139587664095682,D,-10.645206944310042,11.818921281409468,E,B,D,A,1
Other,Married,A,A,B,120.25017576346515,77.79524595854494,50.454219260313785,133.2175181328354,A,217.86956197423092,51.96754224300035,A,C,C,E,0
Other,Divorced,D,A,B,-37.964132316450545,-23.42581862520769,-117.06121052883891,-12.521532548443512,C,158.2550659369763,-102.16492572373055,D,C,E,D,1
Bisexual,Divorced,E,A,C,116.72752940023807,-41.36300578092088,24.661984930032663,-44.1335042024455,A,26.917921987574093,34.48423778898773,B,C,A,A,1
Homosexual,Married,C,E,B,3.470557260659757,-100.67743685149313,17.513333883822117,-84.3098240750386,C,-108.38965826037604,-31.869577689479474,D,C,B,A,1
Other,Widowed,E,E,A,182.1936714575659,-13.700644599126147,-126.81710282711205,-53.468384422140694,D,-19.058806992567444,-192.97267749225077,A,B,E,E,0
Other,Single,A,C,E,142.14978050918262,-63.94915069975241,15.06347170325974,-203.56932389286504,A,136.44458078909938,23.758959473631116,B,B,B,A,1
Bisexual,Single,A,B,D,-40.77457822445519,114.58937478250436,-62.90218136551825,55.85922477479015,A,218.9174076751113,127.94120051799575,A,A,D,B,1
Other,Married,D,D,B,-12.870357992124292,134.6825696274561,93.60458975265105,24.021204897805816,D,203.87951330052593,11.060604113202482,D,C,D,D,1
Heterosexual,Married,A,B,B,10.24818654747508,-15.346780234603433,83.6025184576077,21.115032148297466,E,28.080204214762112,106.36461496226603,C,B,C,D,0
Bisexual,Widowed,C,A,E,-19.582800717270263,-0.7711088737720817,-30.306682763798925,64.35353654458062,B,-59.509200694076206,-211.41298732476014,B,E,A,E,1
Homosexual,Widowed,A,D,C,-80.54314300609514,-69.65081697165957,110.41326311847033,109.93971550846294,A,-23.680116494195005,-180.28761147511798,C,B,A,E,1
Homosexual,Widowed,B,E,A,50.43023742499104,55.13111970692302,-48.90842268090888,2.6730313839746644,A,-27.089644742637898,-100.00490238268196,C,B,A,E,0
Heterosexual,Widowed,A,A,D,141.74393440494845,-83.35929577346586,-64.82677907880523,49.145838389574095,A,-45.40627322983207,-29.237541083772715,E,C,A,E,0
Heterosexual,Single,E,B,D,25.853528034966537,40.8953240254604,35.989774648263456,29.956385255278168,A,131.24349504906553,203.9107852780476,A,E,B,E,1
Heterosexual,Single,D,D,A,101.969430038296,-90.88534117969334,58.983614293135865,29.360036168321873,B,-4.345277603609037,-11.098188148356611,B,C,A,D,0
Heterosexual,Divorced,D,C,C,-36.02686557342038,-8.176357616404333,-45.23031096875971,109.00800205079977,C,66.87607960689132,-19.241499479308594,D,A,B,A,0
Other,Single,B,E,A,-31.37410618578691,44.78397678523776,-147.57514097709225,-56.620370379852744,C,107.74812731791495,21.10157059845181,E,E,C,D,0
Bisexual,Divorced,A,E,E,-104.42202231067856,186.12260456212576,171.77569243678025,-78.72954491636901,E,79.55641230714824,-52.597769013983466,C,A,A,E,1
Heterosexual,Married,C,E,E,-73.57523289952879,45.13049976034779,-3.1726080483806123,-143.03649573674446,A,162.9581227915957,105.22550310077057,A,D,C,B,1
Homosexual,Single,E,E,A,4.574014733457971,-10.331813970473869,-38.99605298051865,-35.56615620084627,B,-71.93681821877178,11.472826191803588,D,C,E,B,0
Heterosexual,Widowed,B,B,D,-25.976117304703955,130.4697105725713,-99.58007147191097,7.086533180983541,D,13.47273867598371,41.608003714243615,D,A,E,D,0
Other,Married,C,D,C,-67.64743058192667,52.52630794644166,-47.707313687015386,-73.49372274962917,E,-25.99326696362667,-15.381320702015547,C,D,B,C,0
Homosexual,Widowed,B,A,A,92.38117588720063,12.78148134249155,-75.0585609431654,55.12777432760589,A,-11.117640500397615,129.0308893650325,D,A,A,E,0
Heterosexual,Married,A,D,C,227.38914240015492,-170.45941794492416,52.86847307751462,-5.3823553684955945,B,-112.96910694300438,-186.46010199972181,B,A,B,A,0
Bisexual,Single,B,C,A,69.34179516822873,-138.48221335579166,102.24378017880882,26.53317760585739,B,41.63081077581147,162.23445245484606,A,B,E,A,1
Bisexual,Married,C,A,E,19.713490188396037,-90.35299614936186,-126.64251540661063,120.01944967046573,B,-73.33325898805036,165.79119465202163,A,D,D,A,0
Other,Single,E,B,E,50.64737003690002,-162.64440931776332,-90.31513119806309,-112.35202917109623,A,-17.84361929675104,-30.320278640175413,A,D,B,C,0
Other,Married,B,D,B,48.13627752832865,137.17401656937574,-141.6127601787138,-40.0652579551044,C,-96.50233803189391,109.21245602427048,B,E,C,C,1
Homosexual,Divorced,D,A,D,-10.273576647563278,80.0770844490166,-64.37073616298136,191.63218140198785,A,-70.8783140396198,34.69337060394281,C,B,C,D,0
Heterosexual,Divorced,A,C,D,116.35524187869302,47.75997795927893,-5.908538817951714,-42.61003903226267,D,62.617547652279235,-67.97137695402742,D,A,A,E,1
Bisexual,Married,D,A,C,21.27983849850933,6.656521898998427,-6.5365269677241,71.6173824763972,B,-108.94665972380375,16.623872755885653,A,B,E,B,0
Homosexual,Divorced,E,B,E,-1.0658692453850795,-62.9781719254993,62.192670996072394,183.96857335908868,D,86.44450386683616,-38.29071848196561,B,C,D,B,0
Bisexual,Married,A,B,E,92.52401681630643,-116.00805236469446,-141.84290651245908,36.33639974277955,E,42.69219371400187,58.271674587797825,E,C,B,A,1
Heterosexual,Single,A,C,E,-214.0723160629518,0.4364596078481223,6.259010008309119,99.2802356828276,B,53.920015611441904,-31.144129734247745,D,B,D,B,0
Other,Single,C,E,A,43.638466963963126,374.6534313458796,-218.44966740996134,-18.35897236513074,D,-227.73747098641417,-103.61864037363814,C,B,A,B,1
Homosexual,Married,C,B,B,44.24966025170763,120.73819270827045,129.1707709947168,-84.1577451210598,A,32.23495766644627,-91.27839307283115,E,A,A,B,1
Heterosexual,Divorced,E,C,A,-64.88096217984113,-15.734506422442273,148.66924516484272,-7.897063274238135,B,-127.32920519518945,163.7206138711004,E,C,A,C,0
Homosexual,Single,A,E,A,40.98209628664789,-112.99408115269276,82.59072056375352,-109.85403476271811,E,-241.40495543676278,0.5334515684579392,B,E,E,C,0
Bisexual,Divorced,C,E,B,-72.49761486115331,9.368478529890647,-52.203175133535304,84.88389129469766,D,39.10042427659508,-207.8890305646166,D,B,D,D,1
Bisexual,Divorced,C,A,C,74.91998026475396,12.166595821949734,10.137374653204656,-68.51763595926555,B,-20.987232687193984,142.98970160698724,A,A,A,E,0
Other,Single,A,E,D,-30.85174726643268,-56.16601480394443,85.38662597051847,150.38386475594285,C,63.96202042732553,-88.18184665805913,B,C,E,B,1
Other,Married,D,C,A,-38.93545909566459,-76.46569784158082,-33.55622759548492,84.31357330532182,E,169.01770785284137,186.05355595023315,B,E,B,E,1
Bisexual,Married,C,B,A,-7.185598143441835,72.0494057625446,115.27032771280365,-101.45006755344977,E,78.55253056983395,152.2115741234102,C,D,A,A,1
Heterosexual,Widowed,A,D,A,17.97818253124533,112.07182726929258,-55.3019678314161,29.14919843188969,C,-70.65344413171066,21.296837765837946,E,E,E,C,0
Heterosexual,Widowed,D,A,B,202.28733378846107,41.318478407784895,129.78682656669392,-11.912060067274439,C,93.39052471433315,10.491494247782807,A,B,C,C,1
Homosexual,Married,E,C,A,7.2086571859255875,-170.61933946847833,-142.3423570109285,225.55807405666633,D,-37.37249037860717,-108.53205573799511,A,D,E,D,1
Heterosexual,Divorced,A,C,C,-144.17955458170985,20.887505634046857,-173.4391092525677,25.69374927680932,E,62.86866400441876,85.84328626892237,E,A,A,D,0
Homosexual,Married,A,D,D,217.7802877398043,179.10351781509794,-294.51732400077793,355.90646476221355,C,83.57189507395873,-46.397847915361,E,A,C,C,0
