Veteran,AgeGroup,Race,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Veteran,18-25,Hispanic,None,B,-129.72263009502777,B,A,-117.29240998104038,0
Non-Veteran,51-65,White,Other,B,-63.95345025767908,E,A,37.22725453032974,0
Non-Veteran,51-65,Other,Hindu,E,-33.881845547561376,D,E,-45.13717497317639,0
Veteran,18-25,Other,None,A,136.4007573885112,B,E,103.1278178726922,0
Yes,36-50,White,Jewish,E,-76.5056002180706,A,C,122.24217428950016,0
Yes,26-35,Asian,Buddhist,D,-70.34744548792233,B,D,86.44608876694537,0
Non-Veteran,65+,Hispanic,Hindu,E,51.51482410619973,C,A,68.11112887582891,1
Yes,26-35,African American,Muslim,D,10.342594675474942,C,B,170.27007633416525,1
Yes,26-35,African American,Jewish,B,-121.29765897153277,D,D,107.13028907814997,0
Non-Veteran,18-25,Black,Other,C,-9.634060403064213,E,E,7.729968592130721,0
Yes,65+,Other,Christian,D,-19.53413412749768,D,E,86.91905987597693,0
Veteran,65+,Black,Other,E,-118.82670108321301,A,D,-29.938443059227854,0
No,26-35,Asian,Buddhist,E,-57.849015277054086,C,E,27.270991119703304,1
No,65+,Other,Hindu,C,-30.049850758707375,D,E,133.63581517567513,0
Yes,36-50,White,Christian,A,25.270579165161923,D,D,91.12594210003068,0
Non-Veteran,51-65,Other,Buddhist,E,-109.27490635079336,B,C,11.610099214273738,0
Veteran,26-35,Other,Jewish,B,174.89273154180185,A,D,-47.14623728907603,0
No,51-65,Black,Hindu,C,91.54676063437927,A,E,-70.00245263235433,1
Non-Veteran,36-50,Other,Buddhist,B,-24.226848793353703,D,B,-35.36661394451082,1
Yes,26-35,Black,None,D,33.29673875339202,A,D,250.43039755290323,0
Yes,51-65,Hispanic,Other,B,-41.46385330106024,C,A,21.510251038688903,0
Non-Veteran,26-35,Asian,Buddhist,D,113.45804789863958,E,E,73.97555647390094,1
Non-Veteran,65+,Other,Jewish,B,-51.843752272115964,E,B,112.97539819441577,0
Yes,26-35,Hispanic,Other,A,-122.20360358003697,E,B,-212.27927277540238,0
Yes,65+,African American,Christian,C,-22.328957573973423,D,C,70.99601604325922,0
No,18-25,Asian,Buddhist,E,-75.87091554615954,E,B,-234.31372291313295,1
Non-Veteran,51-65,White,Muslim,A,-82.18148971714774,A,B,31.493583304138102,0
No,36-50,Other,Hindu,D,-10.686242927936783,E,E,-85.09251828437002,1
Veteran,26-35,Black,None,D,-13.670763796529975,B,E,14.989243369584804,1
Non-Veteran,26-35,African American,Muslim,D,-21.54290837823077,A,B,-133.71245413893814,1
Yes,18-25,White,Hindu,E,63.30650174364379,B,B,-104.55014336719515,0
Non-Veteran,51-65,Other,Muslim,D,-15.722171462302704,D,C,-145.2451645404372,1
Yes,51-65,African American,Hindu,B,134.35815294312295,E,E,-2.4642526738646677,1
Non-Veteran,51-65,Other,Other,E,-46.425986101348585,B,B,61.47315125946597,0
Yes,51-65,Asian,Christian,E,-24.8559314796572,E,A,-120.8076327631852,1
Veteran,36-50,Asian,Jewish,B,-102.25713686644443,A,A,47.24486598273865,1
No,26-35,Other,Hindu,B,-30.671198941632817,B,C,61.1020786548367,0
Veteran,18-25,White,Muslim,A,-1.0470031395170691,B,A,-83.78892356727738,0
No,18-25,Black,Hindu,A,-7.867613691902131,B,E,-299.03014648669125,0
Non-Veteran,65+,Asian,Other,A,-164.46890817347926,B,D,50.688011543293776,0
Veteran,26-35,Black,None,C,-21.572332870354728,E,D,98.95596145732239,1
Non-Veteran,65+,Black,Muslim,E,-24.102241760166635,E,A,25.98483068464888,1
No,36-50,Black,Hindu,A,71.17528514316399,A,E,-29.539787748620327,0
Yes,26-35,Black,Christian,A,-14.39606510879948,A,B,3.230337137242398,0
No,26-35,African American,Hindu,C,13.714139197905872,A,B,-32.82743169188729,1
Yes,36-50,African American,Other,C,115.73752205553993,E,B,66.98501080815828,1
Non-Veteran,36-50,Black,Buddhist,B,-114.86664134402469,E,A,216.1136063778473,0
Veteran,26-35,Black,Jewish,C,-55.453507788943924,C,E,24.803816488561385,1
Veteran,26-35,Asian,Hindu,B,79.06023074986722,C,E,-19.254081116807168,1
Veteran,18-25,Asian,None,C,158.4029868838045,B,C,162.94393439757638,1
Yes,18-25,Black,Hindu,D,-76.04387478503499,E,D,56.267936011436134,0
Veteran,26-35,African American,Christian,B,-146.08085208915625,E,C,45.858350712606914,1
No,26-35,Black,Christian,D,124.57607591366322,A,A,0.866042356125649,1
Non-Veteran,26-35,African American,Other,E,85.58166914917733,E,B,94.26921634688293,0
No,65+,African American,Buddhist,A,-1.5283865134616579,D,C,-72.01893034815684,0
Non-Veteran,26-35,Other,Other,C,18.090646156422526,C,B,-160.0275850697527,0
Veteran,18-25,White,Hindu,E,185.91043864345193,E,D,-9.687845594709497,1
Veteran,26-35,Asian,Jewish,B,-70.18347420755768,E,D,104.69643542075096,1
Non-Veteran,51-65,Other,None,C,-47.46803816112886,C,B,-159.35440914817386,1
Yes,65+,African American,Jewish,A,-74.79922512295565,C,C,22.045015399844768,0
Yes,36-50,Hispanic,None,D,-76.06298999278289,E,C,-155.65356674863463,1
No,18-25,Other,Muslim,A,107.70926254540949,D,D,-48.3071897913129,0
Yes,18-25,Asian,None,C,7.678652171822701,D,E,77.02184517448767,0
Non-Veteran,26-35,Other,Jewish,D,62.65282726332354,B,A,50.34746646046079,1
Veteran,51-65,Hispanic,Buddhist,A,7.827112705604873,B,A,-1.7986561722031824,0
Veteran,65+,Other,Jewish,A,-136.43696733463523,D,C,-15.813238793806939,1
Non-Veteran,26-35,Hispanic,Muslim,C,107.16772156212129,C,E,-216.8126887607563,0
Veteran,36-50,Other,Other,D,-71.15680211693004,B,E,102.80677702192318,1
Non-Veteran,51-65,African American,Buddhist,C,-174.23463263911015,A,C,39.01051631044859,1
Yes,26-35,African American,None,B,-8.570377032664062,E,E,80.02504213498376,0
Non-Veteran,65+,Black,None,C,25.744684974261084,A,D,74.92909136027554,0
Veteran,51-65,Other,Buddhist,A,-33.722000297509055,A,C,94.96209702191896,0
Non-Veteran,26-35,Black,Jewish,C,-71.9894764830014,C,B,-207.16964529484295,1
Yes,51-65,Asian,Buddhist,B,-14.123241573521442,A,E,-5.481509411878501,1
Veteran,51-65,Black,Jewish,B,134.7293255522727,C,A,160.10521897027786,1
Veteran,36-50,Asian,Christian,C,57.667712487621344,C,A,-98.38182182318504,1
Yes,26-35,Asian,Hindu,B,118.15681242778673,C,D,-160.59854607910714,1
Veteran,65+,African American,Jewish,D,-1.1631410175373158,C,D,-22.00729500744061,0
Yes,18-25,Black,Buddhist,B,-66.53184132144212,C,E,24.21464439875906,1
Non-Veteran,36-50,Asian,None,C,-13.9406102298063,E,E,85.42183016322282,1
Non-Veteran,26-35,Hispanic,Christian,A,-332.61477513239686,E,A,21.736713497104954,1
No,65+,Hispanic,None,B,21.469249481734597,C,C,21.795645166971383,0
Yes,36-50,Asian,Hindu,D,22.089656467857807,B,A,54.74657357058069,1
No,18-25,African American,Buddhist,C,-195.16100733255755,D,A,-41.87548141400714,0
No,26-35,Hispanic,None,B,51.08530770615127,D,A,141.72551647596313,1
Veteran,18-25,Hispanic,Jewish,A,-50.178227271645724,A,C,15.526508019945116,1
Veteran,18-25,Other,Buddhist,C,-23.606629918239392,D,C,-166.67836592829232,0
Veteran,36-50,Other,Muslim,D,-84.04521581488001,A,D,-30.12976337594869,1
Yes,51-65,Black,Christian,C,-27.548377515042926,B,B,246.13277292197506,1
Non-Veteran,26-35,Hispanic,Christian,B,102.60280467424663,D,E,-25.710033371986484,0
No,65+,Other,Other,C,-0.9607128517851474,D,B,-6.789439639884014,1
Non-Veteran,36-50,Hispanic,None,A,-161.09210998594725,A,B,-97.45285914043919,0
Non-Veteran,36-50,White,Muslim,B,-73.09213486516263,C,A,184.48247632023288,0
Veteran,18-25,Other,Other,A,34.766088511142854,B,A,-9.003943556319921,0
Non-Veteran,65+,White,Christian,C,-109.48726899747021,A,E,-122.68501713775635,1
Non-Veteran,18-25,Asian,None,C,64.39881080915934,C,E,-53.64109583508747,1
Non-Veteran,65+,Asian,Jewish,C,-87.64126369217713,E,C,-79.05987260672744,0
No,51-65,Asian,Hindu,B,19.605022549024635,E,B,52.99032695044102,1
Non-Veteran,51-65,White,Christian,B,80.66439490475872,E,B,-55.73778658406084,1
No,51-65,Black,Jewish,E,25.931816561931022,D,A,-129.18558171120523,1
Yes,18-25,Hispanic,Jewish,B,198.71749441010664,A,A,-46.99740262372372,0
No,65+,Black,Christian,E,-15.277108485746194,B,A,4.167163681098069,0
No,65+,Black,Christian,A,16.83362696950762,C,D,109.20547821657007,0
Non-Veteran,26-35,African American,Christian,E,91.06216625496943,B,D,19.287624584764433,0
Non-Veteran,26-35,White,Muslim,C,61.324228140025504,B,E,159.4467118036832,1
Non-Veteran,65+,Black,None,A,1.9749418142285617,A,D,-73.04702345333476,1
Yes,51-65,Other,Jewish,E,-17.989997309417912,D,A,60.93668850921223,1
Veteran,26-35,Hispanic,Hindu,D,-24.415351563304057,A,D,0.5151712898867175,0
Yes,36-50,White,Buddhist,C,75.2222700984074,A,D,161.81681242786428,1
Non-Veteran,65+,Other,Christian,D,-9.207382386828906,A,D,9.055879474227334,0
Veteran,18-25,White,Jewish,B,-163.5298162557819,B,E,-44.84150589240797,1
Yes,36-50,African American,Hindu,E,83.46590886178458,A,A,40.069182435811065,0
Yes,51-65,Hispanic,Buddhist,E,70.22638190759204,B,D,-93.15373275365151,1
No,26-35,Hispanic,Other,D,-55.68599065062732,B,A,101.68291135737606,0
Veteran,36-50,Black,Hindu,A,51.26851417685367,A,C,133.87156926679822,1
Veteran,51-65,White,Buddhist,D,4.8034197097974145,C,D,-125.90531948490893,0
Yes,51-65,Hispanic,Muslim,C,38.15841194526397,C,C,-25.692528803423308,0
No,26-35,Hispanic,Hindu,D,62.14929645777465,D,D,-75.07256545728752,1
Veteran,18-25,Hispanic,Other,A,-153.28614054676945,C,E,49.078603433471294,1
Veteran,36-50,Asian,Hindu,E,-25.524454636015488,B,E,-102.54051731549492,1
No,65+,Asian,Christian,E,58.49941119961092,A,E,139.8317053785836,1
Non-Veteran,26-35,African American,None,D,5.548475037452121,E,C,-122.87344694893262,1
Non-Veteran,26-35,Other,Buddhist,B,212.39778596243983,C,D,-79.00724645058322,0
No,51-65,Other,Buddhist,B,41.28164061160931,E,A,64.68603373225386,0
Yes,26-35,Other,Buddhist,A,-46.15217988228356,E,A,113.42620476664102,0
Veteran,51-65,Hispanic,Buddhist,B,56.092978887008414,E,A,-48.169053106244604,0
Yes,51-65,African American,Muslim,D,143.06894192470827,D,B,7.657141926155936,0
Non-Veteran,65+,White,Buddhist,B,109.92715230660745,A,D,25.47087116622772,0
Yes,36-50,African American,None,B,127.14232032244293,D,B,-103.65631388498554,1
Veteran,65+,Hispanic,Hindu,D,10.246338197373182,E,A,-9.979428038897629,0
Non-Veteran,65+,Black,Muslim,B,-106.13654671211468,E,D,84.13110015589272,0
No,26-35,White,Muslim,B,-19.631750784792327,B,D,-211.9955360749361,1
Yes,65+,Other,Muslim,D,45.58774185124321,A,C,133.6662227510178,1
Veteran,18-25,Hispanic,None,B,-151.1718364658739,A,E,-128.4594109101068,0
No,65+,Black,Buddhist,D,-12.609091815021875,C,A,192.92801461972954,1
Non-Veteran,51-65,Black,None,E,42.412920715814856,C,D,-72.20923814249412,0
Veteran,26-35,Other,Jewish,C,13.149117771855598,D,C,19.757680664947653,1
Yes,51-65,Asian,Muslim,A,-167.79586613926344,D,D,234.93016250234064,0
Veteran,18-25,Hispanic,Jewish,C,-18.679229733001087,A,D,49.393276696312185,1
No,26-35,White,Jewish,B,-89.98376424910745,E,B,-16.62967181805056,1
Non-Veteran,26-35,African American,None,E,-105.69867954650843,B,D,57.07585645821509,1
Yes,36-50,Other,Christian,D,-104.94225856608135,B,C,16.454734369904966,0
Non-Veteran,65+,African American,Christian,B,-56.140571654381034,D,D,-19.3314616910931,0
Veteran,65+,Asian,Buddhist,E,-39.52590379461996,A,D,-113.35407434085565,0
Yes,26-35,African American,Hindu,D,72.66996967852933,A,A,-15.81787538622112,0
No,36-50,Black,Jewish,A,-137.69396872271827,A,D,84.03451281660313,1
Veteran,65+,Hispanic,Muslim,A,-94.89467677352643,E,B,90.01244179437217,0
Veteran,36-50,Other,Christian,A,69.38643637603394,B,C,-47.33054776425269,1
Non-Veteran,18-25,Black,Other,A,-86.2143922509296,C,A,94.0479793351727,0
Non-Veteran,26-35,African American,Other,D,58.10893560251474,B,A,56.46007256246316,1
Veteran,65+,White,Buddhist,B,-51.699054883202535,B,E,-6.328250068137373,1
Yes,18-25,White,None,B,42.567513552892606,B,C,-151.81110660040173,1
Non-Veteran,18-25,Other,None,D,10.16254369713097,E,E,-19.879736123238267,0
Non-Veteran,65+,White,Other,E,100.09173142984284,D,D,167.43338608563093,1
Yes,36-50,Asian,Buddhist,C,-114.03060856803874,D,C,-34.817168502149556,0
No,26-35,Hispanic,Buddhist,B,-19.195897742048874,A,D,82.89487972483376,1
Yes,51-65,Other,Christian,C,-142.31725066626953,D,E,167.3201600259054,1
No,51-65,Other,Hindu,A,-108.30433888990368,B,A,43.816092962821145,0
Yes,65+,Hispanic,Christian,E,53.93339729297224,E,C,63.22075298683233,0
Non-Veteran,51-65,Other,Muslim,C,-111.03249718482043,D,B,26.449731656707982,1
Veteran,18-25,African American,Jewish,D,-2.9039492961311213,D,D,-16.219292448456795,0
Non-Veteran,18-25,African American,Hindu,B,183.57021096013483,C,E,-24.10381914181184,1
Non-Veteran,65+,Black,Hindu,A,-90.40609605611569,A,B,40.598112405957906,1
No,65+,White,None,E,56.777633884369706,A,B,-39.235616309840715,1
Veteran,51-65,Black,None,B,66.31421986100237,C,E,-21.81446079824764,1
Veteran,65+,Other,Jewish,A,99.72141105372162,C,D,69.28051431871846,0
No,51-65,Asian,Hindu,A,-77.60093439992079,C,B,-29.96255417664128,0
Yes,26-35,Asian,None,D,-7.84614495023012,A,D,38.125521197336475,0
Non-Veteran,51-65,Black,Christian,E,-63.537972363175165,C,B,58.067351982341265,1
No,26-35,Asian,Buddhist,E,-94.80637985024991,D,E,39.5451008998386,1
Veteran,18-25,White,Christian,E,47.2615210149566,C,B,-48.053027221637244,0
Non-Veteran,36-50,African American,Christian,E,214.76754039479692,C,A,-4.80317631063047,1
No,18-25,Hispanic,Christian,C,-90.83496624968099,A,B,43.177669560487125,1
Veteran,26-35,African American,Christian,A,-192.55796355233502,A,D,48.62508094251909,1
Non-Veteran,18-25,White,None,A,-57.407838469937886,C,B,188.64877861570125,0
Veteran,26-35,White,Christian,D,34.530971142161945,D,B,-113.68653997302832,1
Yes,65+,Asian,Muslim,B,-8.551233633409735,E,A,-89.81962005297079,0
Veteran,26-35,African American,Christian,A,-46.609994310377445,C,A,179.49747799770938,0
Veteran,26-35,Hispanic,Jewish,B,53.12446364924486,E,E,76.9644736689714,1
Veteran,36-50,Hispanic,Jewish,C,-102.8764845496094,C,E,91.99662235502635,1
Non-Veteran,36-50,Other,Muslim,E,-120.4468136144749,D,A,54.29134259765785,1
Veteran,51-65,Black,Buddhist,E,-55.126303163596106,D,B,10.719911707132741,0
Yes,18-25,White,Buddhist,E,15.039614830022213,C,C,100.59507571253602,1
Veteran,18-25,Other,None,C,95.98626749689797,A,B,52.35194934558093,0
Veteran,36-50,Black,None,D,40.48271753787266,C,B,-1.2982013293289545,0
Veteran,18-25,Asian,Christian,E,80.20126440104896,C,C,-91.04354598373942,1
No,36-50,Black,Other,B,-181.11178175518143,C,E,8.359536942960714,1
Yes,65+,Asian,Christian,C,122.42484856768652,C,E,7.15751933319313,0
No,26-35,Hispanic,Buddhist,B,5.604722540665746,C,E,26.474935475701034,1
No,18-25,Black,Jewish,B,28.014993437655605,D,E,10.441340640953376,0
Non-Veteran,51-65,Asian,Buddhist,A,-57.075091309514846,E,A,-83.15950169974941,0
Veteran,18-25,African American,Christian,B,-237.74549244769622,B,B,100.40276786344387,1
No,36-50,Black,Christian,D,-41.99824588300869,C,B,92.63344591654736,1
Veteran,26-35,Hispanic,None,B,-93.16947040254082,E,E,-0.9971780599592016,1
Yes,36-50,Hispanic,Other,E,-80.14507957158987,D,D,25.0666331322079,1
Veteran,51-65,White,None,C,113.44356126979342,B,E,-72.51419560727096,0
Veteran,26-35,African American,Buddhist,B,141.2997624089696,C,A,152.28611340666635,0
Yes,26-35,Other,None,E,-72.15836651363244,C,A,-48.42654473535441,0
Veteran,65+,Hispanic,Hindu,D,-91.96686897205419,B,B,-96.71463681911226,0
Non-Veteran,65+,Black,Muslim,E,-95.0657220225451,C,A,219.13685391227054,0
Non-Veteran,51-65,Black,None,B,-187.24159916377752,E,A,18.730062905960747,0
No,65+,African American,Hindu,B,-30.7799047447757,A,D,-25.2870039268294,0
Veteran,36-50,African American,Buddhist,B,181.7198007390155,D,A,77.07204747399832,0
Yes,26-35,White,Muslim,A,-37.79215560034787,E,D,11.168163380194166,0
Non-Veteran,26-35,White,Jewish,E,-10.66441637580398,C,B,100.32512758445036,1
Non-Veteran,18-25,Other,None,E,9.566938853970619,A,D,109.31199120597842,1
No,36-50,African American,Other,D,-135.38164456068645,E,A,-264.09560139903675,1
Yes,18-25,Hispanic,Other,D,77.53112611353218,E,E,-118.17696713552634,1
Non-Veteran,36-50,Black,Buddhist,A,138.237140217211,E,D,37.09954077458464,0
No,65+,African American,Other,A,-112.20309279195932,D,D,-69.25493406525655,1
Yes,26-35,Hispanic,Other,D,105.46254823905899,D,E,141.13096954991778,1
Veteran,65+,African American,None,A,0.39732154285926635,A,C,60.002775556329155,0
Yes,51-65,Black,Hindu,D,-91.61978792065514,C,D,53.42530184905823,0
Yes,36-50,Asian,Buddhist,C,36.41684721124867,A,B,80.67382977776121,0
No,51-65,Hispanic,Christian,C,-61.07428616711484,C,D,-47.63009381209607,1
No,36-50,White,Other,A,51.153311956992084,E,E,-52.250001387425314,1
Yes,51-65,White,Christian,D,48.74774310379453,C,D,-17.30237268839626,1
Yes,36-50,African American,Muslim,C,-38.31441134273802,E,C,79.26227990968219,1
Yes,65+,African American,Jewish,D,179.2515523203177,B,B,45.074019503533414,1
Veteran,36-50,White,Jewish,D,89.24789105199251,B,C,83.9011361003273,0
Non-Veteran,51-65,Asian,Hindu,E,-109.68852115737873,A,B,15.800525906409327,0
Veteran,51-65,Asian,Buddhist,D,123.31368209163614,B,A,32.104524211568204,1
No,36-50,African American,Other,D,-83.83610536056057,E,E,-38.13341489149876,0
No,36-50,Hispanic,Hindu,D,-85.62582118513504,B,B,129.74867512285243,1
Yes,51-65,Hispanic,Hindu,E,-16.342852454447836,C,A,-42.42322675222075,0
No,36-50,Other,Muslim,A,-10.000171435476519,D,B,49.64951343684356,0
Yes,36-50,Hispanic,Other,B,-220.88825766882496,D,D,-143.57198274177648,1
Veteran,18-25,Other,Hindu,E,-86.06055132047615,B,D,65.05849720137246,0
Yes,36-50,African American,Hindu,A,-74.48954038386292,B,C,-215.2488177261691,0
Veteran,65+,African American,Hindu,C,-91.97432728965482,E,D,-56.39189499575375,0
No,18-25,Black,Other,C,-91.21639442063926,E,A,93.25095028509801,0
Veteran,18-25,Black,Christian,E,-84.12407539563009,D,D,-77.61534261657911,1
Yes,51-65,Other,Muslim,A,-10.662729627746714,D,A,58.8143762645675,1
Yes,26-35,White,None,C,-56.931858166346906,C,D,36.74457838662739,0
Veteran,18-25,White,Muslim,C,161.24371374429987,B,A,-24.91737110659118,1
Non-Veteran,18-25,Asian,Muslim,A,55.754981488360855,B,A,134.83828541658283,1
Yes,18-25,Black,Muslim,A,35.45855712470855,D,B,-8.793213256332177,1
Veteran,36-50,Black,Hindu,A,8.24891781463733,D,D,18.52684237382287,1
Non-Veteran,18-25,Other,Jewish,A,31.13724023187877,D,C,36.143722717516894,0
Non-Veteran,51-65,African American,Jewish,E,27.141541095856603,B,A,-97.91468255078387,1
Veteran,26-35,Black,Buddhist,B,20.923750568768476,E,C,-51.039087466530276,0
Veteran,18-25,Black,Other,C,10.31405522879545,B,D,103.2520877375407,0
Non-Veteran,26-35,Other,None,A,69.07709491235033,B,B,-47.83993260668046,0
Yes,51-65,Black,None,B,-132.280378756997,E,D,61.248729594842054,0
Veteran,26-35,Asian,Jewish,B,17.046584169657784,C,A,-95.00115657448926,0
Non-Veteran,51-65,White,Hindu,A,46.55256643720909,E,B,72.36534722047055,0
No,65+,White,None,C,-196.6899183888835,D,B,-75.00750140549854,1
No,65+,African American,Muslim,B,-84.53857167963508,C,A,-83.44552541504086,0
Non-Veteran,51-65,White,Muslim,C,-2.9755669786511394,A,A,69.60235993787389,1
Veteran,18-25,Other,Other,A,-0.7836341640484085,C,B,-109.13801678792005,1
Yes,65+,Hispanic,Muslim,E,-203.9368345378168,D,C,210.2203793447021,1
Yes,36-50,Asian,Hindu,C,22.72701910156792,C,A,98.56742979463775,0
Veteran,36-50,Other,Muslim,C,-32.07725582558311,E,D,16.566921123694993,0
No,18-25,Black,Hindu,B,-95.76556175474067,D,D,-90.28158278226326,0
No,51-65,Hispanic,Jewish,E,-144.83793591113897,C,A,10.834610384630928,0
Non-Veteran,18-25,Black,Jewish,C,-71.32889826354963,B,D,-15.961289455996042,1
Veteran,36-50,Asian,Hindu,B,126.15100433653224,E,B,-22.97908920389643,0
No,18-25,Asian,Buddhist,C,-110.43542300789417,E,A,-38.370390567223126,1
Yes,65+,Asian,Hindu,A,-70.59407800182156,E,E,-1.6798882217641835,1
Veteran,26-35,Black,Other,E,28.661986425063006,B,C,-138.0115391407805,1
Non-Veteran,65+,Asian,Christian,E,16.9733054597589,D,D,110.71671452759966,0
Yes,18-25,Asian,Buddhist,D,-59.883721853092055,B,C,8.835981152093835,1
Non-Veteran,65+,Hispanic,Hindu,E,33.412732977719386,C,B,207.71809267582597,1
No,36-50,Black,Buddhist,B,104.82190618703895,A,D,-137.6850290678429,1
Yes,51-65,Asian,None,A,-63.46660471084371,D,E,-109.38353535580154,0
Non-Veteran,36-50,White,Buddhist,E,-151.42305964728553,E,E,-42.67554870751906,0
Veteran,51-65,Hispanic,Jewish,B,114.74469648194938,E,A,-109.65177423359825,1
Veteran,51-65,Hispanic,None,C,-106.96729138654099,E,C,15.661171162298457,0
Yes,65+,African American,Other,C,-38.47071830357196,C,C,2.2273911040173697,1
Non-Veteran,65+,African American,Other,E,21.221681623371385,C,D,55.771040203837885,1
No,51-65,Other,Jewish,B,180.71288964396507,B,A,101.50971465308164,1
No,51-65,Other,None,A,28.123364150904578,E,D,-199.15370482178338,1
Yes,36-50,Hispanic,Jewish,A,145.32025808721733,D,E,183.67823734171657,1
Yes,26-35,Other,Jewish,C,-118.83791695198633,B,B,-11.068503701905874,0
Veteran,26-35,White,Hindu,A,18.551317830135787,E,A,22.369354493091382,0
Veteran,26-35,Asian,Hindu,C,-46.7574859480021,C,B,-24.673711584076088,1
No,36-50,White,Buddhist,D,-70.04711701479364,D,C,-148.91332293124663,0
Veteran,26-35,Asian,None,D,-54.150585839983975,D,B,-18.43996464705037,0
Non-Veteran,18-25,Hispanic,None,D,-55.55480706270024,B,B,-27.544653322093765,1
Non-Veteran,51-65,White,Other,C,-122.48973617865309,D,A,160.93624803921665,0
No,26-35,Asian,Christian,C,174.34291403174814,D,C,98.26325199394545,0
Non-Veteran,65+,African American,Buddhist,C,156.29708414978396,C,A,-69.31926675838005,0
Yes,36-50,Asian,Jewish,D,-252.57322408728996,C,A,53.55136859479836,1
Veteran,26-35,Black,Hindu,E,-30.83848110484987,D,A,28.2106450773156,1
Yes,51-65,Black,Hindu,B,-51.584188118177984,E,A,-13.474988979399324,1
Non-Veteran,51-65,White,Other,B,0.3253686134891751,B,E,-34.318595328507016,1
No,18-25,Hispanic,Jewish,D,55.28577536349122,C,B,79.40673001142756,0
