veteran,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
No,Non-binary,-110.81661898664726,-61.53063760280156,44.23893922121765,B,C,0
Yes,F,274.7922809091787,6.476145439202837,-94.52290741147544,B,D,0
Non-Veteran,Non-binary,121.44153143967615,-106.0190738951978,-46.92136722477602,A,C,1
Veteran,F,125.5474728632139,-134.82716907221607,148.71109364988368,E,B,1
Non-Veteran,Non-binary,33.86986118582938,-247.66219732464418,-175.00301090637075,A,A,1
Yes,Other,60.124368733052656,106.19911099429223,91.27039371844742,A,D,1
Non-Veteran,Female,75.39147415268778,-21.90367879732707,20.270449363105314,E,D,0
No,F,-23.543845713842522,-260.77858673541317,282.4873152988028,A,B,0
Veteran,Non-binary,-37.252194148536624,102.3496013354314,77.40256909867811,A,A,1
Non-Veteran,Other,-90.15087155148053,-59.19843120893319,139.17461280230174,C,E,0
Yes,M,-199.78357832421904,-111.63877935889015,51.86340217154609,C,A,0
No,M,54.90931230834273,-21.58409116232295,86.65171057160713,B,C,1
Non-Veteran,M,46.192366356533235,117.52643590426912,66.27625798295972,E,B,1
No,Other,-56.070828865050935,-86.78396696077263,-61.46811548789153,C,C,0
Veteran,Other,-121.54997756158662,-196.1283111801736,34.82416230135589,A,E,1
Non-Veteran,Non-binary,17.81618374444148,-100.21735334483795,-32.45780276791477,A,E,0
No,F,-111.43609963486763,-56.11999782774924,-51.85155182402267,C,C,0
Veteran,Male,-18.425248189217918,-71.19818967623009,321.31705994835613,D,E,1
Non-Veteran,M,-121.80765628983288,-71.8715349694316,68.47684440865467,A,E,1
No,F,-222.71747646865018,117.16990292154162,43.28695203195264,A,A,0
No,F,20.88002789977102,-44.98371791480661,-51.527935358723596,A,C,0
No,Female,6.0663257837461115,113.23549082583,22.248514271150547,A,B,1
Veteran,M,58.1369522197413,134.1240215685507,-125.2757018922103,E,C,1
Veteran,M,79.84772475869069,111.80921211206719,111.40630361246755,C,C,1
No,Male,69.51804804589038,-123.56085193483375,-139.57217746165625,C,B,1
Non-Veteran,Other,-34.74989322189868,74.87081877476426,-118.44495264644091,A,E,0
Veteran,Female,101.30743641159623,101.36271425689647,-96.19511886932035,A,B,0
No,Female,44.00877849317842,29.10530704790303,29.768621394231264,A,C,0
Veteran,Non-binary,92.69553914895596,-48.60924249701604,-108.12424929195123,C,D,0
Yes,Female,-32.12901897852446,82.02157549435539,-76.68465019853522,B,B,1
Veteran,Other,112.71222698547338,45.67078698488698,127.28174943386526,C,D,1
Yes,Other,44.18326994180759,22.909882036612274,-43.806928507250205,D,D,0
Yes,Female,-44.912785384279694,-128.31018695189465,103.81901564771844,B,D,0
Yes,M,3.4849597427414123,29.656534203072304,70.2863845894919,D,E,0
Non-Veteran,Male,-83.50141141763189,70.89198557674537,1.7445740285297586,E,A,0
Yes,M,141.49466309441183,-93.25906463823775,-17.496554069001625,D,C,0
Yes,Male,23.048546424915035,-1.5845096365896514,17.937589246700757,B,B,1
No,M,33.0911807593975,96.98866105632425,-51.90481652611232,A,D,0
Non-Veteran,Other,41.26044791802061,-40.59704772926495,-65.88482741661473,B,E,0
Non-Veteran,Male,-78.90273904128627,-176.93832985192765,131.27620175337222,C,D,1
No,Male,-34.18496556243196,-30.1100671229414,-94.04589576779334,A,D,0
Veteran,F,98.14631602388073,-80.18911692300777,-18.671526498190474,A,B,0
Yes,F,-59.134387570301506,-39.71414917890636,-114.0899515583904,D,D,0
No,M,2.42480884656317,-0.7360660270752021,159.65805134296224,C,E,0
Non-Veteran,M,-31.601457001577828,-73.41887169499482,136.30226330198764,D,E,1
Non-Veteran,Male,55.38019698875907,132.84678972085567,24.22846034535515,E,B,0
Non-Veteran,Other,70.06283955161126,133.35406295373332,30.630578780899576,A,C,1
Yes,Male,3.3760769532190475,-12.919327237901806,-53.23641287082235,C,A,1
Non-Veteran,M,-8.78498629257482,-121.77704383880035,51.82351351286509,B,E,0
No,Non-binary,-129.91752081662048,41.13899986813016,34.771258050632284,E,B,0
No,Female,-10.529816369146257,137.7973968263802,117.97358392940997,D,B,0
Veteran,Male,-55.571380530606476,-40.570505742875305,-23.507308319363258,C,E,1
Veteran,Non-binary,75.03875626195745,-47.52333145914948,44.34912943767101,C,A,0
Veteran,F,10.836193494564458,-146.26285196778318,-34.520608261191505,E,C,0
Non-Veteran,F,-82.32177362481363,-160.43009977014057,113.37921059730331,A,A,0
Yes,Other,-52.47475082084219,89.83798717552384,-73.38482201613306,A,C,0
Yes,Other,203.86091793848675,60.60558895040522,63.172985968983106,B,E,0
No,Non-binary,-45.37720527007593,75.20242192989089,-57.91618053671339,A,D,0
No,Other,148.81225504027506,147.88743589238658,-13.702123410128781,E,B,0
Veteran,Male,30.907598757569808,31.968424965542713,-50.855066558308295,E,A,0
Yes,Non-binary,143.36080938504978,-25.49427877605347,35.702616475690434,B,A,1
Yes,F,9.287759837978964,-72.13752586014638,-85.29303014043033,E,C,0
Veteran,Non-binary,79.63730649353928,-48.97286170865831,-154.05309542626787,C,B,1
Yes,Non-binary,-183.99586681187802,167.31491568439648,-27.77777405172924,B,C,0
Veteran,Other,13.8493534505728,201.64736157501343,49.94486459759418,D,E,0
Non-Veteran,Male,77.87729535351662,153.51710870664692,151.48501425495127,C,E,1
Non-Veteran,Other,6.604692355530832,77.25045224732038,63.91204128856944,D,E,1
Yes,M,15.345582460325206,43.07707524879215,143.70927450003217,E,E,0
Veteran,Male,186.3910162328636,163.30651811518206,-32.26726425545386,B,B,0
No,F,123.79008795110383,61.767141179023085,101.05352719969656,E,A,1
Yes,Non-binary,196.07730445092096,243.8875457500917,-64.80141733754975,C,E,0
Veteran,Other,41.857693779847644,38.04815871483148,-0.14655139645193227,E,E,1
Veteran,Male,28.31239543518773,-4.1602644700130895,-13.59489943192157,A,A,1
No,Male,169.81743154188905,41.216420451548586,105.37483323030747,A,A,1
Yes,Male,-65.30424856668029,34.86892695602984,-127.68033521557427,D,D,1
Non-Veteran,F,-70.4798145328971,-64.18348115593774,153.22599969770602,C,D,1
Yes,Female,-79.50368547905855,95.04177563510838,-11.59321888298445,B,B,1
No,Female,-96.51568212262976,60.600188679987866,4.991809470928746,B,E,1
Veteran,F,94.2799051619578,52.457122108650154,-122.91093039592083,A,C,0
No,Other,69.95148142280986,63.334472707965574,-100.41316428256657,B,C,0
Non-Veteran,Other,-79.7491536300228,-10.312779368166767,-35.59173812544494,A,B,1
Yes,Male,3.932428764300088,86.69017319711742,100.71312810457154,E,E,0
No,Non-binary,-29.330124181319732,16.383611759752448,-43.29364730612738,A,C,0
Yes,M,-75.89224200532877,-38.69297938714203,122.658923870737,A,C,0
Non-Veteran,Male,58.77675612427035,119.67035813157484,-182.28713718420448,A,B,0
Yes,Non-binary,-7.799396209567297,9.822339139137043,-25.565866684129702,B,B,1
No,M,93.70342992845397,42.350977360373015,-8.131250088302096,D,E,0
No,F,58.03773367254061,-32.59503956392495,-92.7277165546989,B,B,0
Yes,M,9.556853721596491,-8.135092911642214,-160.70315250151006,D,D,1
No,Female,-58.933580399581395,-65.74187848810517,33.54472669040067,B,B,1
Yes,Other,30.860041598269117,18.822221186566278,197.48244545498076,D,A,0
No,F,94.21949371753226,-28.97474283780998,65.36831437776647,E,D,1
Yes,Female,-108.90460414563552,-166.47228839244013,-36.20484655728744,E,B,1
Veteran,Other,-0.24082836219236897,-14.838766307271777,-255.6618839943509,C,A,1
Yes,F,-20.63916664269125,73.58980136626211,48.18130336878548,B,D,1
Veteran,Male,-366.9771455582214,45.33460409741964,-156.75389489962652,B,C,1
Yes,Male,122.6848149311179,-92.94315809959618,-4.981758503728094,D,A,1
No,F,76.05667633654049,-63.47853243630852,83.98765286259707,B,D,0
No,F,22.52598340120098,182.8941631196081,-170.26449437698955,D,B,0
Yes,M,-87.14896098626421,2.6289145843643444,120.25403383462165,A,B,0
Non-Veteran,M,63.03410689076037,183.54053529463286,-214.53124966013087,D,E,0
Veteran,M,-37.5984021548904,242.7267120524586,122.51482342993785,B,A,0
Yes,F,-9.475130911978741,-224.76757224109488,85.72227435445026,B,D,0
Veteran,Non-binary,9.209271760070292,-11.270974921355476,-18.383820077652143,C,D,0
Non-Veteran,Female,-71.75990179300778,8.167455608478141,-29.026988148483866,B,D,0
Non-Veteran,Non-binary,-86.34741632052013,83.70962770853974,126.26784017504143,D,C,1
No,Other,-228.60379447370667,-40.39027972559574,34.83641898831176,A,B,1
Non-Veteran,F,5.365282892032563,-61.0024671357978,129.0354856686978,A,D,1
Veteran,Female,-155.04726701160686,-119.16430524349641,-50.107565848772076,D,B,0
Non-Veteran,M,60.90950471040457,-61.78672251671177,-54.53677030578255,C,E,1
Yes,M,-207.50060679339975,-109.75311059156584,-23.397138400535134,B,A,1
No,Non-binary,206.56699651991582,-136.49323243085527,195.78802340226216,E,B,0
Yes,Other,134.2858509099523,31.8531203592298,149.61370268761738,A,B,0
Non-Veteran,M,-50.15994120140399,69.6100001885732,-11.916747215762895,D,D,1
Yes,M,5.043881766077886,-11.667747910596562,-122.62335820033657,A,A,1
Non-Veteran,Female,-28.804684719793798,26.547238268668256,86.59018640525652,D,D,1
Non-Veteran,M,14.794805223163937,168.59675783990275,-300.30282336932356,A,D,0
Non-Veteran,Non-binary,-148.96883755350413,72.64500052981356,15.193102833010014,B,A,1
Yes,F,-4.122446667192472,13.572834810041199,74.41139441386498,E,E,0
Veteran,Non-binary,112.05038875958458,-4.786023583056683,172.04531721568128,E,D,0
Veteran,F,-61.383064649454674,123.56689339535278,29.07862650965144,D,E,0
Yes,M,19.655122485132033,36.742218575925406,100.80762676780685,B,B,1
Non-Veteran,F,-31.06707537935187,101.86818161791457,-100.43432095212918,D,D,0
No,Female,58.17853404817126,110.42829160216945,111.62163298628096,B,C,1
Veteran,Non-binary,15.794076626429042,82.49416768945864,-13.193216540522384,B,C,1
Yes,Other,-188.92708827102828,-101.42359393256817,91.77660958521045,D,D,0
No,M,134.6384027660985,-16.770419949208545,170.17391248263905,A,B,1
Yes,F,106.08863237487374,73.79562338149478,68.25355095394163,D,B,1
Non-Veteran,Female,-128.3526073239201,149.85739310444688,230.02523453120324,B,B,1
Veteran,Other,64.76472398041857,-28.762893070612776,53.1604783817725,C,D,1
No,F,-42.96318997460661,242.66387462470988,12.26143975863268,B,A,0
No,Non-binary,52.41304693930433,-108.49805438867442,-7.625530980551587,C,E,1
No,Male,-34.91270891894963,23.57111636222376,-311.4410567983752,D,E,0
Veteran,Non-binary,-54.448320353419156,33.62224025515138,-58.47605196964619,B,A,0
Non-Veteran,Non-binary,-118.59428587351879,-58.66427687716753,-99.60677175200033,D,A,1
Non-Veteran,F,-215.49366660359368,-85.03695481015204,113.95247852295907,A,B,1
Veteran,Female,71.81391012162359,21.042877532732987,-118.64754981621739,C,D,0
No,Male,88.87133918482543,89.36379319274076,-35.35519799000982,C,A,1
Veteran,Male,21.99514281193558,25.684516485791985,-55.204292130869625,C,D,0
Non-Veteran,Male,-3.8661089269526547,51.59638028114305,-3.363659038264232,C,E,0
No,Non-binary,3.6829019984890716,-1.792284686815124,-36.07004721904575,D,B,0
Yes,M,-145.04598471392512,-96.00971385055807,-108.2105801650633,A,C,0
No,Non-binary,-192.6691527654664,59.831299876337084,9.889932374640791,C,A,0
Yes,Other,-247.73531453792282,-23.46402523854943,140.4157431676809,C,A,1
Veteran,M,43.18070649988721,-29.56572903975144,143.77853959487905,B,B,1
Non-Veteran,Female,-147.36891208669647,125.65609288095874,178.14395880560022,E,A,0
No,Other,1.4079351980851444,104.85777450887612,44.683845907624104,A,C,0
Yes,M,-42.17867842368518,43.455621768340805,-47.36731862332266,D,C,1
Veteran,Other,-131.66593721660234,-69.5222636137719,-51.34283859805646,B,D,1
Veteran,Non-binary,-101.31900556978677,20.17225692411172,-103.66115619911528,A,C,0
Yes,M,-57.280255815585825,-183.69959400713464,-61.11079883762406,B,E,1
Veteran,Other,74.25585201919795,2.391895760787835,86.4070337468749,C,B,1
Non-Veteran,Non-binary,-52.30729256782452,42.289736049503105,77.23768182239243,A,C,1
Yes,Other,82.83241376656768,-102.32881173227489,-70.6321455758661,E,B,1
Veteran,F,-0.23775905895383667,39.419059422728814,80.75092669016752,C,A,0
Veteran,Male,-57.52054446838184,-18.590358388690678,-138.11349240600902,A,C,1
No,Female,27.783466437808652,-5.889413167597169,-198.8653256654922,E,A,0
Yes,M,3.2369676857597036,-14.78479996499256,3.492321957372884,A,C,1
No,Female,56.94078350764795,-35.2989313240091,141.54415272949396,E,E,0
Yes,Male,-31.719967840526476,17.28802489194853,23.54324100695905,A,E,0
Veteran,Female,-89.88039650508381,31.91970308667545,-106.12973605992973,C,C,0
No,M,166.54020258161611,-128.86917301894542,31.557364048292865,E,D,1
Non-Veteran,Male,24.368033101226725,47.2088152202483,-111.96222742960353,E,D,0
Veteran,F,60.19745804000212,126.06606090917676,79.86683778916705,C,B,0
Non-Veteran,Female,60.885513560511605,-189.26385018240023,128.8519398752171,A,D,0
Non-Veteran,Female,-108.71280269650691,18.686061586145115,-184.09780717454777,B,B,0
No,Male,40.89981126375433,-2.5616115415086194,41.97747896559277,A,C,1
Veteran,F,27.47730263075342,162.34935364734295,23.605607633324222,E,C,0
No,Male,123.16949292636694,-135.85080692259967,-196.77657224523298,C,A,0
No,Non-binary,37.02384955128279,-81.49870439148266,-2.7300684279282894,A,A,0
Yes,Male,155.39231204314456,27.493302098102507,-109.6194756944267,D,C,1
No,F,23.609497659195043,6.503024230465199,-132.29301489997175,B,D,1
No,M,3.319296366704543,190.08285326244848,3.8565937496939546,C,E,0
Non-Veteran,Female,-1.7909385862517304,70.35818989339869,-47.708868223976985,E,C,1
Veteran,F,188.73110412442088,95.20655728164175,-91.38462375309892,B,C,0
Non-Veteran,Non-binary,16.56775192659899,-29.431853247482863,-71.55254398802397,E,D,1
Yes,Female,47.81925567132417,48.9953477078442,-22.938511284385115,D,A,0
No,Other,70.4597385241794,-165.69813054245466,-121.99126203325844,A,B,0
Veteran,Female,73.78778374816302,48.92093036014214,138.12255490859903,B,C,1
No,Male,83.31151366116988,-151.72627755861078,49.319672889886505,C,B,1
No,Other,98.41433056802977,-28.85681477608617,-13.298217295360523,B,C,0
No,Male,-2.1316087156685017,-38.93888548302536,39.01381269722173,D,C,1
Yes,Male,-33.49477879099806,115.60853921519178,44.85483966519638,C,D,1
No,M,-49.488527398078446,-7.894456389231305,9.957073956075314,C,D,0
Non-Veteran,Female,-121.78781346375203,-172.2979894746514,85.69254843695056,D,A,1
Veteran,Female,11.277079389422779,189.43175578997054,210.76820138894968,E,C,0
No,M,-134.59334092373567,163.35110124178354,-31.898483164566045,E,B,0
Yes,M,144.84346555033218,-28.351405244918997,-108.72525204795369,B,E,0
No,Male,-49.27069383841986,-174.83812383695076,37.06747017950641,B,A,1
Veteran,F,7.5674401251706005,-242.96018873394343,74.72174009549822,D,A,1
Veteran,F,45.36098303122711,32.00988537435061,123.71245306727128,A,D,0
No,F,23.13155623099202,74.2729102587242,162.6812041053224,B,D,0
No,Female,-76.32890491613007,-50.63353781518121,-190.98202828593276,C,A,0
Non-Veteran,F,-170.85751241569395,128.01436030811297,-6.553944865312267,E,B,1
Yes,Male,-0.7824144976899252,95.78747117376824,-64.56381378471211,B,B,0
Yes,Other,-12.387028396394419,-106.51584584592891,-142.634775687771,D,A,1
No,Male,-94.41824600451116,-112.2927661594578,-68.15359121704961,E,B,1
Veteran,F,109.4175794868506,-84.87570975851271,-37.33169569308589,E,B,1
No,M,204.06645907191572,-103.37855112073062,19.035196578398896,E,D,0
No,F,211.57764467669793,-0.03088929375743128,88.49725068884483,B,E,0
Veteran,Non-binary,-103.65044093335305,-145.51388381269302,121.83256337988581,B,B,0
Non-Veteran,Other,-44.932139495722254,-42.23325555648853,184.86622620833887,D,B,1
Veteran,Male,24.792708746891524,-48.11159597541164,48.97346207798468,B,A,0
Non-Veteran,F,90.56055111164392,169.3719717161979,-18.78185876497101,C,E,0
Non-Veteran,M,52.771878901417324,-78.61887897135946,-49.564988372247285,D,C,0
No,F,-47.938875886576554,-98.34819343548507,-31.891323200892902,E,A,1
Yes,Male,-119.4320730069165,-111.8485260580436,-5.584925616200645,E,E,0
No,Female,-4.755292631951255,12.161865928843687,-124.99144440781026,A,C,0
Yes,F,29.93482081320676,96.63798708330606,-207.856878657004,E,D,0
Non-Veteran,M,-60.469852560290335,5.806935988831732,59.33714993600072,D,B,1
Veteran,Non-binary,132.38469693543144,19.102978403336756,74.87912322480067,E,C,0
No,Male,41.67121972202054,-144.55088160134702,138.68647072789045,E,D,1
No,Non-binary,-63.39917022723834,-85.71870034426321,-92.68735297651573,C,B,1
Yes,Non-binary,90.15621981026132,-58.3535224183194,122.63100328038918,D,E,1
No,Other,104.2141794794586,-264.7252268450896,22.048845072989934,C,B,0
Non-Veteran,Other,43.46889487246289,27.785743209124043,-144.34632473104475,D,E,0
Non-Veteran,Non-binary,155.238618023698,-136.3273317411646,-60.59481518313373,C,B,1
Yes,Female,-80.84907335290148,15.467933919184992,33.56877397815855,D,A,0
No,F,60.818771683078964,-222.25354478456225,-162.5929305710778,E,B,1
Non-Veteran,Other,48.30593779203164,-27.04833765886665,103.0639560916073,E,A,0
Non-Veteran,Male,72.68521019805063,-69.13520282584801,-280.47744060821447,E,C,0
Non-Veteran,Female,-171.9232200658997,122.212872417296,-144.34023177168513,C,A,0
No,Female,-12.943570458788217,119.95934575424845,245.17399398971543,A,E,1
Yes,Female,14.5384368622142,-40.44061294950538,71.76610901248883,C,E,1
Non-Veteran,Male,-191.6463555134214,64.1228085924172,69.4251120244075,D,A,1
Yes,F,-23.147318856683608,-24.183079879074025,-26.942630394719032,D,D,0
Veteran,Other,93.46907834097983,-196.06114328286432,2.2068510502322907,D,D,0
No,Non-binary,88.33531501745638,-15.826140222747487,-8.09446673848043,E,E,0
Non-Veteran,Other,16.137355407626295,-4.5140422664306765,-79.24326046369507,E,B,1
No,Female,136.38558635519541,-142.37555177479874,-38.85081076720471,D,A,1
Yes,Male,-147.10740702249004,-76.00131568846746,19.145084928506222,B,B,1
Veteran,Female,-24.98982498802156,149.42701540173374,47.65631562875313,C,B,0
Veteran,M,-73.17299208723614,31.658543320573852,-87.73248822735701,D,A,1
Non-Veteran,Male,9.828416041370216,-130.5584946079536,-75.58079110836154,D,D,1
Yes,Female,-7.913307700630866,-6.2759409112919595,183.79439925246703,C,C,1
Non-Veteran,Other,-54.8982175539178,193.2404642549236,-228.52398818132954,C,B,0
Yes,Female,-88.56514798861195,138.33971338014518,70.03575845404097,E,D,0
Non-Veteran,F,159.60736639964662,-32.24642335714954,4.727805044944912,C,C,0
Veteran,Female,146.6872948539694,12.384359181184044,76.35918774979613,D,E,1
Non-Veteran,M,59.717340200653666,85.31129179827916,47.6343516735463,D,B,1
Non-Veteran,Female,97.05764076039642,20.55032836610563,-18.661784580009844,D,A,0
Non-Veteran,Female,12.43458444007249,-41.75450093526008,165.81523396973475,E,D,1
No,Non-binary,-14.006382431101045,77.63620427455203,-150.80146851950943,E,C,0
Yes,Non-binary,140.4905976110839,-210.67012252582438,117.93703193062284,A,D,1
Non-Veteran,Other,43.92107170543306,43.60543083805828,17.79009183360195,D,A,1
Yes,Other,-51.310811496012256,-69.00453909567968,98.51745937521976,A,B,1
No,M,-186.23538483512118,-138.74392089705373,25.855728722244102,E,C,0
Non-Veteran,F,176.61273756107784,-13.72086530721669,12.172386192326366,D,E,1
Veteran,Male,-220.93135303320048,26.85191714810574,-191.38739049517764,D,D,1
Non-Veteran,F,-85.77853171070021,-38.11974359193936,-217.68743241282334,B,A,0
Yes,Non-binary,63.30712042869913,-6.500428113114618,-218.51416185046867,B,D,0
Non-Veteran,F,-242.99305434956898,171.2852821281846,45.04772753656952,E,C,1
Yes,M,13.478330424860552,54.80374824624681,-57.25449105690066,E,C,1
Yes,F,84.29211942814672,-236.24892516793133,151.54163758370206,C,A,1
Non-Veteran,Female,95.4070834171242,-32.68200584828384,24.486602252806723,C,A,1
Veteran,Other,-112.3282062760449,33.962689690659865,-15.614033739584812,B,C,1
Non-Veteran,Female,-10.341693035907843,62.5254140949197,46.85911204071689,D,E,0
Veteran,Non-binary,100.55841221592996,-104.81812697110871,-46.847506807377734,A,A,1
Yes,Non-binary,39.734604808451316,79.61326435511803,121.09397737092395,D,E,0
Non-Veteran,Other,13.61985046175606,-77.81668958484337,-90.2884769742451,B,A,0
No,Female,128.54623079639777,2.9040844197775266,53.342887138098696,A,E,1
Veteran,M,147.46066183250602,-16.370388133510602,-252.9165155611597,D,C,0
Veteran,Other,-113.90755988229206,0.4691499251236671,-66.70676105404092,A,C,1
Non-Veteran,M,-13.383060640632284,-19.862893550354805,78.28951722857391,E,B,1
Non-Veteran,Other,-57.407921449588336,98.69097770551645,-23.300775202829698,E,C,1
Veteran,F,39.24991872403622,-96.44233374385767,25.110686531325538,B,E,0
Yes,Female,-137.22372388937188,-291.42876870857236,19.34533192231341,D,A,0
Non-Veteran,M,267.36685540709016,225.40177635772102,119.35466408694822,E,D,0
No,M,-64.50440893047735,32.76866589719598,50.24941214938398,C,C,0
No,Female,39.71200976056605,-106.94661516538288,126.30238534899212,A,A,1
Non-Veteran,Male,71.61370866531398,153.8170298988453,182.7295961150933,E,B,1
Veteran,Other,36.32135238136798,-42.11993097236687,-0.40560032169653776,C,A,0
No,Non-binary,176.37995680332773,20.91206020741481,33.94873930035948,C,B,1
Non-Veteran,Male,-79.56021077363754,-36.5031554402967,-121.00241420052839,B,A,1
Veteran,F,19.456263851384133,81.5893697057112,-63.0373506395338,D,B,0
