genero,AGE,sexuality,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Non-binary,61,Homosexual,Physical,39.75854002992607,A,B,13.269648452813701,-19.101939650603832,B,116.88007594833397,A,B,-119.8552613674838,A,1
M,32,Other,Mental,-96.60956459665209,A,B,8.080653906090939,-42.96729953006741,C,-26.889695863195445,D,E,116.7873238009962,E,1
Male,30,Homosexual,Yes,-78.51321788271468,A,E,118.26071386704729,-50.31216737140589,A,9.393541287808395,B,C,78.21677631182158,C,0
M,97,Homosexual,Both,-35.737566234222356,A,D,-119.97865669897946,1.8447261945887619,A,3.9603175883338686,A,B,33.7638646958585,C,0
Male,79,Bisexual,None,47.74646973419368,C,A,6.033846145797811,108.64832746137793,A,-80.14818656682115,A,C,176.59238813142315,A,1
Male,81,Homosexual,Physical,-24.097867819583687,D,E,-3.389775909443843,93.26247176761193,B,-90.98785742387854,D,C,14.96530961568349,A,1
Female,55,Homosexual,No,87.7481569735407,D,A,-11.215483013036254,-21.581793823907176,D,49.87993694916061,A,C,183.06375740975042,C,1
Non-binary,52,Heterosexual,Yes,-39.78947424137293,B,E,170.37856467030787,9.569377863498724,A,55.122631093889055,D,A,-111.19278473771013,A,0
M,59,Bisexual,No,68.29837483617351,A,B,21.599911016297487,43.237225752648776,C,65.80951980443201,C,E,51.943818907782116,B,0
F,97,Bisexual,Mental,-147.1783537110477,A,A,66.96244643949538,108.31850348667349,C,-206.15816661069374,B,D,-17.870998852891702,D,0
Female,98,Homosexual,Physical,108.24794042368309,B,D,-169.87068922456248,-27.544804484161933,E,-21.23630698853038,E,E,-53.03971059195302,A,0
Other,49,Other,Yes,-5.786664792595226,C,D,71.72705818705121,60.890009733853844,A,35.25358605613626,E,D,-38.827040964076794,D,0
Male,59,Homosexual,No,35.60163613369597,D,E,-6.950512856489048,158.67520690622507,D,251.32507875819462,A,A,-23.973297160535875,A,0
M,43,Homosexual,Physical,43.93063793858386,C,C,-139.66748877366487,-65.44159002071164,A,14.036578340211515,B,C,-6.3878602675130045,A,1
F,38,Bisexual,Mental,112.59007249497175,A,A,36.99310768172876,-66.70098191441355,C,10.698234993027008,A,B,20.376829896128758,D,1
M,91,Heterosexual,Mental,-30.82154863815216,C,A,-150.17793098559426,144.3783953829754,D,118.64608066566937,D,C,113.03750882065582,A,0
Male,87,Heterosexual,Physical,-147.86781643342314,D,C,-79.07545379787993,-41.364131271368585,C,3.9656566734844882,C,D,75.1400674417167,E,1
Other,23,Other,No,-110.91527165612209,B,D,-125.10557894654953,11.914010760321096,E,-257.0477417422049,C,E,22.679299952268337,C,0
Male,40,Bisexual,None,-0.5189680120106833,E,C,-43.57331265346179,-123.74598361536971,D,94.73184077553198,D,D,-136.38765495469562,C,0
Non-binary,31,Homosexual,Physical,48.954948802958185,B,E,-90.11180780831674,-48.41019981105985,E,222.97975388694456,A,C,-97.86541547921473,C,0
Male,28,Other,Yes,-11.060001534081767,A,C,196.99402947543192,-175.14630641180452,A,7.96769446005167,B,A,106.61619494868614,E,0
Non-binary,82,Heterosexual,Yes,88.12688462767014,D,A,-132.68921688075525,63.27600461202205,C,124.68407770062453,C,B,153.59050320937357,B,0
Male,83,Bisexual,No,-108.99691377651433,D,C,50.94945134088379,-3.2962520770736825,D,3.0732708502701587,A,B,3.859909400072761,A,1
M,48,Other,None,58.22051337793025,A,E,-105.8257972893945,-87.14000382300495,A,47.39410164732868,C,E,8.260437491166183,D,0
F,39,Homosexual,Both,-43.677310893917436,C,A,-137.56736497926934,-29.225005822712273,C,148.42486259520064,B,C,162.76460409785813,A,1
Non-binary,89,Heterosexual,None,11.275443333441444,E,C,-83.77160930232128,50.41778646125553,B,25.20201463199233,E,E,31.04320920439169,C,0
M,26,Homosexual,Both,-114.86927698843373,C,E,-7.214530760915388,-160.92689809074417,D,-8.306774838854846,E,A,209.68976862355197,A,1
Female,57,Heterosexual,Both,-11.54783600616377,B,D,-46.54718927076819,-2.266970833020315,B,-194.42416462171073,D,C,45.133532596995764,D,1
F,97,Other,Physical,148.15948323509124,E,E,-41.6097614415117,62.85177428728069,B,-19.811017116844575,A,D,-56.26902099072263,E,1
M,91,Heterosexual,No,71.2833773316867,D,E,40.56193125041695,-10.722211633503456,C,17.48081724985093,C,E,-42.35780966605242,C,1
M,90,Heterosexual,Both,57.185786527645966,A,E,-212.70006952389542,91.57304594086668,E,9.10250421353725,D,D,16.063228697455337,B,0
Non-binary,61,Heterosexual,Physical,77.00239883249583,B,E,120.38185044426012,83.604314381804,E,11.571722145854412,A,C,-38.575262026813576,B,1
Other,23,Other,Both,-55.50600736990855,B,A,-115.18286904291834,56.94700581528439,E,-46.664478266399435,E,D,-86.65761814207899,A,0
Female,52,Heterosexual,Physical,185.04718373114736,A,B,107.77178490729737,-127.80595110071076,B,21.436204539700963,D,C,14.757745276015077,E,0
Other,83,Homosexual,None,41.33767458361899,B,B,128.2833366362598,-123.68490268761059,B,38.33544240942777,C,D,57.45442711496804,C,0
F,30,Homosexual,None,167.5418416245653,A,C,74.82267501804454,20.730881061611385,C,90.6106824611224,B,D,-94.25237347754454,D,0
F,43,Homosexual,None,-46.526047814534785,C,E,-19.339216590048917,-64.42312800838353,C,-72.33349228037541,A,C,142.3944029170615,D,0
M,57,Other,None,20.143213618281095,C,B,-49.06729529652339,29.58335831053432,C,54.003884741063224,B,C,-1.6607016417671796,B,1
Other,50,Homosexual,Both,-59.17197590289307,B,B,106.45613856728026,-110.36690043286804,D,-26.02413200201037,E,A,-30.46990959210023,D,1
F,24,Homosexual,Yes,137.9574051671368,D,D,53.196176775451086,-15.44510439406142,C,148.21344281478883,A,A,126.8937701229196,D,0
F,29,Bisexual,Mental,139.59937779957383,C,D,157.97139152078907,-18.177247945182998,D,-13.223219607621454,C,A,23.53828279400488,A,1
Non-binary,88,Heterosexual,Physical,74.51621438133557,B,D,73.8241968424912,68.88385416835978,B,-16.109385546828143,B,B,117.65903335347929,B,1
F,29,Heterosexual,No,5.4277668265628884,A,B,-104.81759479507775,108.30458495312054,E,101.28260107957976,E,B,176.2268308454071,D,1
Non-binary,34,Heterosexual,None,28.938598685472094,C,E,-58.984313626994876,-121.03300653281326,A,-5.2538984221367535,D,D,-52.30661971145347,A,0
F,74,Homosexual,No,-26.506913209957837,E,C,-91.74021466673999,80.26548725258613,A,55.8000175407679,A,B,93.01109790534697,C,1
Non-binary,66,Other,Both,138.06940946077543,C,A,-21.61643457797008,-61.049045327094895,A,-105.99200530159554,A,A,-147.7080187902229,C,1
Male,90,Heterosexual,Physical,-18.999429389981255,B,E,156.11981426320733,161.02999524771653,D,143.41749267433968,B,A,-143.92150204068736,A,1
Male,26,Bisexual,No,-111.2627782066767,B,A,148.25792798524662,-99.79536872706916,A,-163.13852399836395,C,A,86.01315362482728,D,1
F,58,Homosexual,No,-50.44893639746662,C,E,-94.90265173126163,93.07844765599175,B,145.7200236481803,A,B,-10.326387155522607,E,0
F,50,Bisexual,Mental,-23.012770625959046,A,E,-47.943155441200055,45.46859049019754,E,-91.96493993876574,D,E,265.6426098768544,A,0
Other,62,Homosexual,Both,-10.780105272919835,E,D,117.41059568977903,171.31194754439284,B,3.0131207964233986,A,E,-53.78391119277759,A,0
Non-binary,21,Homosexual,Both,157.10739970405172,B,A,66.92744386022966,7.538951884090289,E,-30.72165349022909,C,B,-101.55533333832574,E,1
Other,90,Bisexual,Yes,23.854258799308905,B,A,-95.47536092715525,37.56326209126667,D,106.63637890410162,E,C,19.694794642911585,B,1
Non-binary,63,Bisexual,Mental,250.39854086984604,C,B,-181.32492331839094,104.9131417134576,C,23.75812468319192,A,A,-5.457086970797059,D,1
Male,84,Homosexual,Physical,66.1757019976291,A,B,-136.32058886457935,63.162371661635866,C,55.00388906549838,E,E,-49.96275294863203,B,0
M,69,Bisexual,No,-76.89296155786182,D,E,83.27542040771453,21.196292466137738,D,-129.22982333790813,C,B,89.76254881862714,E,0
Female,63,Other,Physical,32.11943990381594,D,D,-121.51700369118517,119.86248420968846,B,36.725409159264494,A,C,-180.56131079192025,C,1
Non-binary,96,Homosexual,Both,31.054845046952078,A,B,2.850333899972727,163.08725564402963,B,-61.18999308211428,B,B,57.136966377041176,A,0
M,32,Heterosexual,Both,-70.83860790528372,B,B,-159.68692709979513,-40.164499842277905,E,-4.913484748282036,A,D,-130.07644139960522,C,1
Male,19,Heterosexual,Yes,47.76731156159899,C,A,-52.69650091080867,-124.43819747856224,D,40.683375819323125,A,A,141.78511569764663,A,1
Female,73,Bisexual,None,-147.29769988507118,C,B,-76.21643231344156,-76.14252021618412,B,-190.08666080182275,B,C,-139.73273297685543,C,1
F,36,Bisexual,Yes,108.44993500392444,A,C,-76.013725340406,102.83745650667792,C,-95.74975475344371,D,D,-201.75485988073737,A,0
Other,56,Heterosexual,Both,-148.20748614804756,C,D,31.881513636285824,-179.56029348892116,B,215.0463173028923,C,B,-48.725795675167014,E,0
Non-binary,92,Other,Both,-29.697800717168143,E,E,87.98583597742301,-77.75218648566951,A,26.631346456301213,C,A,90.22077337281014,D,0
Female,53,Homosexual,None,-112.7890361921021,B,B,46.16978432255942,-99.15082144231656,B,-34.79979895283544,E,D,89.35482327015951,B,1
F,27,Heterosexual,Both,-14.546146834352204,C,D,-25.848279559560165,-192.70107104308715,A,33.11168109604532,E,E,-166.1712611419336,B,1
Female,32,Homosexual,None,-136.28515008789896,E,E,-111.85170442465389,213.0951988748496,A,22.27087964660808,D,A,159.5367463514593,E,0
F,53,Bisexual,Physical,-134.67106900884494,D,C,89.81798174306243,142.55804516302007,D,-2.4103970760720483,C,E,-73.93643217051964,A,0
F,40,Bisexual,None,1.8816140070070635,A,C,52.490782228909225,95.02189494574992,C,55.859611356189056,C,D,140.7232110399011,C,1
Non-binary,33,Other,Mental,-61.843350821688446,C,D,167.57784454903415,136.83314091752433,D,50.92903185386469,B,E,117.61617922324277,C,1
M,49,Bisexual,No,-150.2390354901045,D,B,-131.92991113755392,-10.948165630876366,C,-76.5965731053047,C,C,-8.808551723310881,E,0
Female,32,Homosexual,Yes,-155.37336826337716,A,C,-23.623217872169285,-4.266433904587796,B,8.911151368359556,B,A,96.55822328561547,A,1
F,24,Other,No,-78.75197715741147,A,A,152.2312869280682,-114.13178810909645,A,123.1779753234342,E,E,-24.622310813055545,D,0
F,89,Heterosexual,Yes,-245.1504260012891,B,E,-52.77340087114732,-35.006635818226286,E,-137.00555631504668,C,D,-55.57360438467202,D,0
Male,24,Bisexual,None,-119.22320733783818,C,E,-107.98712725521031,5.862130931974649,D,-64.93905676269503,E,E,-44.28996495401829,D,0
Male,47,Bisexual,No,-141.66404407445253,E,C,-159.52932378592052,80.3055296749499,A,-71.19155422891015,D,C,-79.57852796202896,D,0
Other,92,Bisexual,Physical,71.61679474591567,A,C,-4.8607449649185215,-85.42776692038277,A,-89.6640746993926,B,C,-115.21405828700372,A,0
Non-binary,34,Heterosexual,Physical,126.41362374090119,E,D,2.8230452787450253,97.90262920789976,C,-3.9246208524407384,B,A,-121.19243949493665,A,1
Female,88,Heterosexual,Yes,38.85546214086739,C,C,108.85488224870619,99.1150358295888,D,84.41829349579959,C,E,35.55486013472265,C,0
Female,36,Other,No,-59.71780463939241,C,B,79.22579485301284,-130.50668908212978,A,-48.41416976147912,B,C,75.28272300936246,D,1
F,47,Heterosexual,Mental,33.54114018286568,E,D,26.267093162407484,104.49482139291683,E,48.183228067759806,E,A,-26.14871953115093,A,1
M,57,Heterosexual,Mental,-77.6210171366528,E,D,-79.27340647672727,9.706216518100948,D,85.41145440107097,D,A,17.847462936859344,D,1
Other,39,Other,Both,108.27163783122782,D,D,-22.56509172111302,4.403735061274057,B,73.85370471249949,E,B,19.696869249319484,E,0
Other,31,Heterosexual,Physical,142.68562137398732,D,D,-237.03500611552917,-142.80612740260452,E,-87.84900103595176,D,E,285.2774855478605,E,0
M,89,Heterosexual,None,140.67065913487033,C,A,38.417039897202436,66.09548852222441,D,-4.099430972433585,C,A,54.529047154612954,C,0
Other,49,Heterosexual,Both,-84.10274944556694,B,C,-76.8642651512139,142.47555138577462,A,-122.53192279694463,D,A,177.18177010449335,C,0
M,21,Bisexual,None,-3.4571140324978087,A,C,-42.79496196976445,-109.36478642203701,D,-106.76576527526689,B,E,121.45617847006882,B,1
M,66,Bisexual,Mental,-105.70810311875157,D,D,-209.41031955419894,-117.71864005272121,E,3.8443334039869943,B,A,19.942552048820662,E,1
M,29,Bisexual,Physical,-113.92354710268732,D,E,-67.36745122732998,-67.02227094727765,C,99.96416212673742,E,E,-159.0299009675108,C,0
Male,74,Heterosexual,Yes,156.92023974330803,C,D,66.52038375441711,-41.62978713387543,C,-32.226744627544065,B,A,-128.12756973330747,C,1
Non-binary,56,Homosexual,Yes,-40.37717363356146,E,D,-151.17907614690844,-22.23279175799139,A,-79.45846615584742,A,C,56.228905161188656,D,1
Non-binary,76,Bisexual,Yes,34.89262520576978,E,A,139.17491722549215,-86.58010009479563,E,-200.97938640834104,C,A,-157.78120354652245,C,1
Other,64,Bisexual,Both,27.192640244301803,A,C,239.68117452450693,23.15487749936991,B,-75.41007065655569,B,B,12.719572844299803,C,1
F,31,Other,Mental,143.8933247229721,B,D,-10.681219730146529,67.06922280264757,B,33.70302135966368,C,E,-33.575557086396245,D,1
Non-binary,27,Other,Both,95.21357770625184,D,C,90.27660332157159,-39.78496569297255,C,-22.816907543301323,B,B,-92.70706891855683,E,1
Non-binary,64,Other,Mental,-73.76022080919756,D,A,-91.40794072420354,-237.57654453487595,A,-43.407093071887914,E,B,0.3881197655586955,B,0
M,28,Heterosexual,No,-24.516695766095133,C,B,30.20318240664085,17.22156423577349,B,92.37658063772352,E,B,25.184202792534837,C,0
Female,22,Bisexual,Mental,-5.22422510415926,A,D,-59.8679856804332,-9.351163212452672,D,-67.79844448375304,E,E,147.5189499839227,D,0
M,24,Heterosexual,Mental,90.48831822457082,A,E,183.39707542765274,-72.49478398155597,A,225.33496478092104,E,E,167.42493948983733,A,1
F,32,Heterosexual,No,14.769007232537781,E,C,92.82947647665138,86.89652566329674,D,-5.515509069411643,D,B,-103.86380843049557,D,1
Non-binary,34,Heterosexual,Both,-32.289963186693676,E,A,-137.45118924860512,-10.720941515122655,D,22.45168985687342,A,E,6.088098304802578,A,1
Female,23,Homosexual,Mental,-75.18404038228343,C,D,-6.819912570979016,102.0666636250331,C,-147.52711886405802,E,A,109.68419351611345,C,0
F,55,Homosexual,Yes,-94.43040732924129,E,D,129.67131909313235,-54.966443610074286,D,108.70967141685345,D,C,263.4927814406281,B,1
F,32,Homosexual,Physical,-120.50652521409168,C,E,-86.47992881591242,-16.666229717684175,D,-100.85678857659511,A,A,18.277492573145018,A,0
M,29,Other,Mental,56.16641426569593,A,B,-38.78915998415191,-128.34181987933687,E,-49.14655403814754,C,D,-27.88859272307329,B,0
M,92,Bisexual,Physical,1.4742863421090537,D,D,164.66381426855088,90.03631560204505,A,-56.34746334354188,D,D,-149.90754070695354,A,1
Female,83,Homosexual,No,-33.43779149138834,B,C,16.831881298442784,65.0117998281569,C,109.25168657741374,E,B,-136.2179006308782,C,0
Non-binary,70,Other,Physical,-35.25810675789931,A,A,115.13773625953793,41.23981130752332,B,-28.791206654074635,B,C,5.3281762467942935,E,1
M,75,Bisexual,Yes,25.131283148862554,B,B,-167.63164925680957,11.141042607311507,C,-238.57506625018647,A,E,-17.794725385391875,C,1
M,77,Bisexual,Physical,63.353758093325474,E,E,61.15111957028364,77.78009417492616,A,2.384677567412502,D,C,-72.40458500320746,B,1
Non-binary,34,Other,Physical,-68.24308658611827,B,D,-18.838691715495674,-108.00902964268622,C,-183.30819839362977,D,A,20.939804040331055,A,0
M,39,Heterosexual,None,-191.63026187848305,C,E,47.50060476995696,192.13862410643193,A,161.34320599741363,D,C,-56.33975871559532,D,1
Male,61,Homosexual,Physical,128.30726942014647,E,E,34.556463728229204,66.63712988493793,B,-62.95225649699173,E,C,-138.9900828604037,A,1
Other,44,Heterosexual,Both,-122.02782860963953,A,B,-114.88566801628102,-83.87420196666697,A,1.5692220838919382,C,C,-138.11704232416847,A,1
F,66,Heterosexual,None,-63.508013949996425,D,C,-71.17616842871914,108.59167960912015,B,-69.41041891579583,D,E,131.51037619737102,D,1
Other,51,Other,Physical,6.801586489488217,E,A,97.28814716862578,-68.88918591713848,C,13.952774792195061,E,C,-84.17058816168054,E,0
Male,98,Homosexual,None,9.935354724797445,C,C,-84.11042191242652,90.95836891649782,B,-81.92868827839476,D,E,92.51090500159668,E,0
M,33,Bisexual,None,106.266421714342,D,C,307.63619458764646,-98.552397817103,B,-66.31047027917333,D,C,86.80556155557154,E,0
M,18,Other,Mental,-108.54257723438097,A,B,116.62188210974148,36.02038944795869,E,63.24768299151772,D,D,264.34990325023733,A,1
Male,89,Heterosexual,Physical,72.534458164269,D,C,70.27861611198907,66.0881071597722,B,22.52949515807654,B,C,-10.12614260021795,B,1
Male,80,Heterosexual,Mental,-36.43102408069899,C,B,43.02768649191718,18.475852889135616,C,-15.58728027937477,B,E,19.86033425650389,A,1
Male,24,Other,No,-116.37552727731524,C,A,82.98440654195082,28.882236220133645,E,-84.67346991031684,E,B,-31.646395961659174,B,1
Female,52,Other,Both,-83.27762281336507,B,A,-51.81019617382868,98.71631065696737,B,-28.851999260002774,D,D,104.95732068586989,A,0
M,31,Bisexual,Mental,195.89327762916272,A,D,-149.08825161293024,30.777827791496044,C,102.47303061104927,C,D,163.50550582273385,A,1
Other,18,Homosexual,Physical,-37.08700571141226,D,A,-87.06017152454855,51.409202889481676,A,70.39606468326302,D,E,-20.94413848360352,E,1
F,93,Heterosexual,None,-3.0446424049141423,D,E,89.72700480727028,309.8658198669693,C,7.3808354893186685,B,B,-51.43539974841694,C,1
Male,66,Heterosexual,Mental,28.396551459563025,E,C,-12.291492604691797,-1.1088346180150148,A,15.0709229828012,C,D,-87.16913794914645,B,0
M,42,Homosexual,Yes,-144.8926301467115,A,A,-42.24900686562226,-202.24496605345385,D,-20.501792842250023,B,D,125.29086219615486,E,1
Female,54,Other,Physical,100.30426607414269,A,C,37.91675294889016,109.86464999164909,E,124.02304026074007,E,E,-32.60893810205204,B,1
F,20,Homosexual,Both,174.34417384354782,D,A,-90.65791434158793,-88.10208823459848,A,25.307056991627853,A,A,-66.50288615679962,A,1
M,66,Other,None,-2.942542493391065,D,C,-9.585866442232659,-22.556841817558233,C,120.64662588183761,A,E,-159.7623009354659,E,1
F,62,Heterosexual,None,142.11628154876087,C,C,30.1754848480077,20.601321462223186,E,-95.98069890527931,E,D,58.91070723674589,E,0
M,97,Bisexual,None,-112.91667741316826,A,C,-137.4977336601791,129.81890351779845,E,118.71718483771643,B,C,-92.58257979022858,B,1
F,21,Bisexual,Yes,-119.80565463905688,E,E,215.32943046441252,-17.821977223046026,D,-173.4227859394535,C,D,59.79055805670428,A,1
Non-binary,83,Bisexual,Both,-111.93128016077529,B,A,-76.11237259256501,-91.44324324804401,A,221.69748600340057,E,D,12.451330954040642,B,1
Female,95,Heterosexual,Mental,-52.69409111795302,A,B,27.427823987651163,-1.1138127936248619,E,100.80489868151923,C,A,-77.91294199708734,B,1
Male,65,Other,Mental,125.75938793477532,E,A,19.551116783625595,213.3961631012185,C,-44.52591007585353,D,A,-93.40940610152505,E,0
F,79,Other,Physical,-207.78379052935568,E,C,-92.52420843562706,96.3594527102564,B,-177.7346160775392,D,E,-85.5014965541727,C,1
M,48,Bisexual,Mental,86.80658364361709,B,B,26.632404287040583,181.25384617343965,E,-57.23308110091695,D,A,-50.9968076904717,A,1
Male,29,Bisexual,Mental,22.68194251556618,C,C,2.345872141523441,-101.78459446528207,D,-137.83055283353664,B,E,26.01583627077302,E,0
M,95,Other,Both,-31.267157282137585,D,C,74.14716125589167,50.09805120099865,C,-7.686263498704133,C,B,-113.5165446287218,E,1
Other,89,Heterosexual,Mental,-83.57816858423391,E,A,-32.98017617048033,10.36663329037947,E,-43.24492990066597,C,D,-81.76360198877646,B,1
Female,38,Homosexual,None,-208.49809964223098,E,E,-11.984461214885334,90.21838233009875,A,-41.96247053194767,B,D,-28.69866452650155,D,1
