disabled,country,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Physical,Other,Heterosexual,E,E,E,141.44533036941033,101.78755035300439,B,D,C,E,C,-135.45230271277165,-42.18540029277509,-33.63589120993639,C,1
Yes,India,Heterosexual,C,E,C,-69.67193766696793,2.542630587999359,C,B,A,E,A,-102.40836209842763,-134.6947146809523,-181.7508695255959,B,0
Physical,India,Other,C,C,A,57.417030252680924,-52.44228620571272,B,A,B,E,A,-47.58907904422238,-26.610436357950007,48.27528759430264,D,0
Yes,Brazil,Other,D,E,C,-31.0341862327978,115.12950346323841,E,D,E,D,A,-125.2471521935583,-12.605705237184425,-177.52995523057203,D,1
Both,US,Bisexual,E,D,B,84.30105384323173,-69.521489100773,C,B,D,D,C,-23.053468332930933,-68.63680872079176,28.187164493084964,D,0
Yes,Mexico,Heterosexual,E,B,A,-89.46349827285387,88.08176913997141,C,D,A,C,D,-130.41450708880782,67.66706235533078,125.928797603877,D,0
None,US,Other,A,C,B,109.40868656085311,-95.25848729854697,C,D,B,A,B,-100.08901281159257,-156.86125309711315,-57.59114588036919,B,0
Both,Brazil,Other,D,C,D,26.230009448281162,37.662143630957324,C,B,C,B,D,218.08943895753697,11.770263982555932,153.2770115788218,B,0
Physical,UK,Heterosexual,A,D,C,62.26047095913554,86.01916391436679,D,B,C,E,D,-189.52922432071796,88.00072247391476,124.17656683588388,D,1
None,UK,Bisexual,D,D,A,-37.02182680843439,-170.5299769736619,D,D,A,C,D,2.9731941992886877,241.92720002026542,62.24464774546582,D,1
Physical,Other,Heterosexual,D,E,D,-67.1847832485685,50.062931685956535,D,E,B,C,B,-87.60130207492574,-61.42554048189296,-129.57721472344528,C,0
Both,Germany,Heterosexual,B,D,D,-53.57458285215537,-121.80807746671123,A,B,B,E,E,17.63684661339291,153.07520007617626,-42.87626109998885,C,1
Yes,India,Bisexual,E,C,B,77.01417359176008,-109.6724614329865,A,B,D,C,A,-13.824131429767824,-48.29600153902345,-197.7355687646767,E,1
No,Other,Other,B,B,E,104.8936844287955,233.4244557960542,C,B,E,D,D,15.599892819468156,-37.56331889343689,62.181873814259006,B,1
No,India,Heterosexual,B,C,B,99.51941292867052,3.6034723053307642,B,D,B,B,C,22.211432020962864,11.310933417334052,54.45756113667727,C,1
No,US,Homosexual,E,A,D,-56.843968994624646,1.45024374431097,D,E,A,E,C,107.4824564314618,123.15533136979423,88.67514422039278,B,0
Physical,India,Homosexual,D,D,E,-15.566048725992893,68.92481551177367,A,A,C,B,C,-89.01606889738191,5.644185494310902,-51.54632465563489,D,0
Both,China,Other,C,A,D,-26.1034376577106,150.73578057369755,B,E,D,A,D,-118.56497041514196,-142.29578417495586,-46.79777625128638,C,1
Yes,Germany,Bisexual,C,A,C,13.160465910035393,-66.27921543215744,A,A,E,A,D,96.4747066468249,68.40540541353748,-63.38729496774257,E,0
None,China,Heterosexual,E,A,D,-10.030960120220056,59.67290092729284,B,C,A,B,A,-90.75383388145968,12.121575597050654,-60.64120057311173,E,1
No,UK,Bisexual,E,D,A,58.58721455135301,57.11769159196378,C,B,D,C,C,-14.247541231328299,-131.35663496836983,54.09220927087328,D,0
Mental,China,Heterosexual,B,D,D,-70.47640986865834,133.97881394624193,E,A,A,A,B,-21.290377523360867,85.87619937682355,-30.409004611562253,D,1
Both,Brazil,Heterosexual,A,E,B,-89.5669644709156,60.68044280750941,C,C,D,A,D,125.81041526218493,1.0730298502993725,66.62610452704295,D,0
No,Brazil,Homosexual,A,A,C,-24.639246335176626,-12.567531409609039,E,B,A,E,E,114.38079297476362,-96.66092522676269,-65.70778569760779,D,1
Mental,Brazil,Homosexual,B,C,E,88.604439978671,20.760065410791604,E,C,D,E,A,155.49613203574734,45.428897515871974,155.84222680553532,A,0
No,US,Bisexual,A,B,E,133.47057463151393,-12.11907509031351,C,D,E,A,D,10.102171022624344,-85.26386990845216,-53.49733256522584,A,1
Mental,Mexico,Heterosexual,E,B,B,15.54541229537002,79.80240577732607,E,E,E,A,C,-11.366104642492546,101.67270858008537,259.58918586208546,A,0
Physical,Other,Other,C,E,C,-161.61984553663936,118.69183385473359,A,C,D,C,B,-143.763515775083,-139.85181753402537,-52.04654233984962,A,0
Physical,Brazil,Other,D,B,B,125.83336842668929,75.19946093974532,C,D,B,D,D,-18.879624573272434,-82.27508950799275,-4.2905009078280365,E,1
No,Brazil,Heterosexual,C,C,D,-144.06545604789173,124.34656269181825,A,B,D,D,E,38.29275113959371,-4.277698534534402,-66.18072521816671,D,1
Yes,UK,Other,B,B,B,148.22656386158417,11.542245243531774,B,B,E,A,E,15.640832898657889,84.37976667456294,251.0587091286556,B,0
Mental,Other,Heterosexual,C,D,A,-156.84327130344164,99.67236711896942,D,A,C,A,D,62.44960947456673,115.61045082762698,71.88288471596958,E,0
None,Other,Other,C,E,C,208.86797704323482,68.22091075720861,B,B,E,B,B,-157.93152364252694,-71.05459201401658,-49.64781759610435,C,1
Yes,China,Other,A,E,D,-19.251961919361616,-74.98393097248521,C,A,E,B,B,-56.307672781567774,-21.530882478201548,-170.67791620764007,C,1
Mental,Mexico,Other,A,A,C,-108.3026865558849,8.619739852108465,B,E,D,A,A,95.52478356188624,88.14401719907661,58.03550319239663,E,0
Both,Brazil,Bisexual,B,D,E,-3.4738958479833606,161.707605157703,E,C,D,B,C,-36.906298467393285,18.755918858960666,-112.39765524033194,D,0
Yes,Germany,Bisexual,B,C,C,-10.315463759888981,56.48685461590508,E,B,B,E,D,-95.67217907712137,242.8399557719517,35.5771487978011,C,1
Mental,China,Other,E,B,D,-38.9889538393298,6.7715232846948155,A,A,C,A,B,-24.868454712852714,-168.057848980612,100.0340077079787,D,1
Both,India,Bisexual,D,A,D,-132.36329593190786,81.87126405919216,B,D,A,A,E,95.00069155183944,-108.90818963691234,-99.70160022584317,D,1
Mental,Brazil,Heterosexual,E,B,B,67.82047439669576,-199.59463792710628,B,C,A,C,E,-75.22869878238113,-187.86721973492863,27.390565590359827,D,1
Yes,US,Homosexual,B,A,A,102.94701964981603,15.042905378510332,B,B,D,A,E,-71.51427362441667,78.27053126003499,-18.135642420188454,B,0
Both,Germany,Heterosexual,A,D,D,133.1593693663623,-15.778117962855266,B,A,C,D,D,-191.71767658493332,24.886600659830265,65.91709685615564,C,1
Yes,India,Homosexual,B,D,A,-14.024717461888054,-115.84376121227629,C,A,B,E,B,-87.61694647198085,-49.02944238371989,-44.8671064833972,B,0
Yes,Mexico,Bisexual,E,E,B,-94.65187379632502,6.273014311628351,B,D,D,C,C,-67.92491824282948,-4.267117056728846,-18.57687298970214,D,1
None,UK,Bisexual,E,A,E,184.73933363217705,6.8759087685174105,D,B,D,C,B,12.219030518734403,49.587123223144495,63.5816524380319,E,0
Yes,Germany,Other,C,D,A,-196.78906117990152,-27.099595424430312,A,B,C,A,C,-139.2675078676153,-1.2233375972687375,98.9015388860445,B,0
None,China,Homosexual,A,D,D,-150.7596517923481,102.40482302555274,B,B,E,B,B,-38.37575366927993,76.68237932417806,-67.82845629864394,B,1
None,India,Heterosexual,D,D,E,-204.90829810894945,159.16759848865988,E,B,C,D,D,-54.21565434182338,7.436428120644084,101.54991962560418,D,1
None,UK,Heterosexual,E,C,C,88.69602950876104,41.14450131813212,A,B,A,B,C,160.30439622053285,-46.244713932571926,47.01686685678048,D,0
Both,Mexico,Heterosexual,A,B,B,-34.60934822181131,53.759855633637976,D,B,D,E,A,17.09873096599374,-133.76600002240158,-24.01456285536039,C,1
Both,Germany,Bisexual,D,C,C,372.91465076259374,88.91921711901247,E,C,B,C,D,67.6743568907259,-46.95896549026272,-18.80240285211371,C,0
Both,India,Bisexual,E,E,A,-39.5522215295067,7.536487470342294,D,D,B,A,E,72.86833753370475,46.49657031823753,-50.39440478673826,D,1
Both,India,Bisexual,C,B,D,-210.5952820998117,-104.69801657410218,A,B,D,A,D,119.0305314629559,12.003574492981182,46.85668817777995,D,1
None,US,Homosexual,E,D,E,-133.51620444842288,-26.657399448783764,C,C,C,E,B,49.88780736121691,139.11107502215648,-143.3154135898344,A,0
None,Other,Heterosexual,A,A,D,-85.01345679291236,-40.49680798077083,E,A,A,A,D,187.92773122138382,33.83858862381556,-75.06707334175323,C,1
Mental,UK,Other,D,E,B,21.505924925405708,113.12494715406007,D,D,C,E,E,161.44450363702586,81.82184793478515,-197.13965042732295,A,0
None,China,Homosexual,C,E,B,-35.688634017257975,-170.20495112659907,A,C,A,A,A,-66.76496607172298,-104.16274687870926,-135.01280068816294,B,0
Physical,UK,Other,A,C,D,-2.8870339398797844,98.75728180420626,E,C,D,D,A,-3.5988844532576434,98.08089503915184,116.7883722928033,B,0
No,Mexico,Bisexual,A,C,B,145.72695536074497,-38.24031498623827,E,B,C,C,E,-30.886407562637064,-159.13447831085267,67.46592614962027,B,0
Mental,Germany,Other,C,B,B,124.59257651697702,118.9547005240702,A,E,E,B,A,220.38303920962426,-7.429499401359162,-127.96916263747585,E,1
Mental,China,Other,C,A,D,59.74529190989997,-21.31772303008965,D,E,D,D,D,-208.58756836857714,-55.16851261477731,-38.75158126033741,C,1
Yes,Other,Homosexual,D,B,C,-94.05131370491641,224.37533610841336,E,A,A,C,D,95.69057959061695,-47.72179376678279,-27.148426636941664,E,0
Physical,US,Other,A,B,C,48.194909740089486,-22.671648407246412,C,E,E,A,C,81.98323881948659,65.51097950811557,-53.117170803927785,D,0
Both,India,Bisexual,A,D,C,102.79119447241666,-43.504029269619124,B,E,E,C,E,13.525744202660034,-76.10777317497268,-88.00007370427991,B,0
Mental,UK,Heterosexual,D,D,C,-47.922141821539086,37.590315284211265,C,A,D,A,A,14.21860056285412,39.09449126818333,53.03442164377579,C,0
Both,Mexico,Other,D,E,A,-140.1268080904988,5.9313929003946955,C,A,B,A,E,-28.78533855748055,61.71642151485302,144.93055775155526,B,1
Yes,India,Other,B,D,D,-32.44283985496058,-39.22679975397389,A,C,B,B,B,-179.65378931797542,39.899132304087885,-118.28435396884412,A,1
Yes,Mexico,Other,C,C,C,70.24028811987705,-23.1324360235426,C,B,E,C,E,-17.435499497971612,243.48562991166028,16.318197546505058,A,1
Physical,US,Bisexual,C,B,E,41.45571558943055,61.73775776988051,A,D,E,E,D,128.7371967693639,88.58204241390455,-47.86227456665297,A,1
Mental,Mexico,Heterosexual,E,C,C,-79.66427191185512,14.417613977112726,D,A,E,E,A,-57.5416521311325,4.7729000084088264,-171.4618698889434,D,0
Mental,Germany,Homosexual,C,D,D,49.57463373684294,91.0406253798779,D,D,C,C,E,114.68498519128205,18.713615976467185,105.37183047916892,B,0
None,Other,Bisexual,B,E,B,-133.90883876605056,-80.32580519363573,B,B,A,B,A,24.6375290943362,143.34917869268915,-38.806618588390776,E,1
Mental,UK,Other,A,E,B,-34.89095766894574,92.2568675818986,B,C,C,C,E,-61.10224218575722,-54.24700792529852,52.01829269824169,A,1
Yes,India,Other,D,A,B,-123.51506525498456,-60.93161128954551,E,A,B,E,E,-91.73961332508537,-8.284096575376186,-37.09810645365005,B,1
Yes,UK,Homosexual,C,B,C,132.09824491761458,1.455643117886159,B,E,C,D,D,-75.74127135073518,-25.382041776542884,4.504348710128161,B,0
Mental,Mexico,Other,B,D,B,37.8607835070504,-140.8322494706573,E,E,C,B,C,47.58758036434478,-29.251084161201828,43.57705087944005,D,1
Mental,UK,Bisexual,A,E,A,-149.43790940639826,-44.92957920187449,E,C,C,B,A,177.464881452281,75.86767457669404,80.2864449413088,D,0
No,Germany,Bisexual,A,E,A,6.617264073931318,-42.4984860858998,C,B,E,A,B,-82.07982147987106,4.731639916575116,81.88508798794372,B,1
None,Germany,Homosexual,C,B,E,60.94295714527328,-37.49606893151153,C,D,E,A,D,65.68252666577168,-206.27098420998874,-125.50972935094002,C,1
Yes,China,Bisexual,B,D,B,11.466220591469801,-32.95849379583091,D,D,B,A,B,48.76753188885349,-178.64165339227043,93.19112460955435,A,1
Mental,India,Bisexual,A,C,B,54.06502166650381,83.10517207132402,D,E,D,B,A,102.40376622000942,-88.18903310521348,-213.40260079733176,B,1
No,Other,Heterosexual,C,D,B,134.6279082509004,-102.79390616020578,B,D,D,B,D,-52.37333551361368,154.31196671868196,-39.99090552268561,C,0
Both,US,Other,E,A,D,212.3829509953894,40.80950282109041,D,D,A,C,D,36.64823677328209,-46.46005784826864,89.64022657585383,D,1
Yes,India,Other,C,C,D,55.72077811633085,-50.42987415642908,B,E,E,C,C,52.880589117895546,35.49993383898777,-82.60452950735746,B,1
Mental,India,Other,A,B,B,43.8648780637502,-33.25082554380899,E,D,B,D,C,-17.838235244958327,132.61822643113405,-141.36498902220262,B,1
None,Germany,Homosexual,D,A,E,65.36110761239922,63.54832098502865,C,A,E,C,E,-18.96475972632,-22.686540023668403,-70.38175827375038,D,1
Both,China,Bisexual,A,B,D,82.6497930956203,55.06676221216221,A,B,A,B,E,53.62809910997737,-24.05388198113232,-8.217722557456957,D,1
None,Germany,Bisexual,B,B,A,-60.58607923621713,-7.661707719325812,D,C,E,B,E,-33.79549421337622,100.34099832667358,84.16612371164832,C,1
No,Germany,Bisexual,A,B,D,-45.1823034084776,-134.90061901662932,B,A,E,D,D,-114.21149049109312,-128.09404539334264,-146.33222156085625,B,1
No,China,Homosexual,C,A,B,-77.29307132270196,190.7370005655485,C,D,A,A,B,78.89193623465118,99.13491440141887,-73.25672007943572,B,0
Mental,Germany,Heterosexual,D,E,D,73.00089165849657,-178.4133596603209,C,E,D,C,B,-172.41700866147437,42.34899677207633,-32.453268434879114,E,0
Physical,Mexico,Homosexual,E,D,A,-43.53752209007746,-73.51922636486951,C,E,C,B,E,-87.59954676465212,-30.534666226514457,160.20187858659062,D,1
Both,Germany,Heterosexual,C,E,D,67.71296353242758,-41.361621479638075,D,A,D,A,D,-150.13966274816352,114.88931310173275,-56.38509243887378,B,0
Physical,India,Heterosexual,E,D,A,-48.49486301686375,185.84033622827837,E,C,C,D,C,154.44097079560103,-43.61073313569049,-54.861373008558076,C,0
Physical,China,Homosexual,E,B,A,59.11984340137004,-20.265506302276847,E,E,D,C,E,-48.96564238693321,83.89509485060714,45.026165866098935,C,1
No,US,Bisexual,D,B,A,138.7767330698942,-22.747462835247838,A,B,C,D,D,60.77535972030361,119.6057760702343,-142.350834223815,E,0
Both,India,Homosexual,C,E,B,-116.8554260847605,31.881440024526057,B,B,A,C,B,-142.0422549666397,72.29340758113102,-46.786495986349145,D,1
No,Brazil,Heterosexual,D,D,C,251.31061029831181,108.52227779201246,A,D,A,A,C,36.73738219167591,-49.8600442775426,208.2346601939265,E,1
Yes,India,Heterosexual,A,D,D,-81.41313855443583,-17.667006392209007,A,C,C,E,B,9.156801820635142,0.47926546643954426,46.42550370194348,D,1
Mental,Other,Other,A,E,A,20.311730633007958,64.71890777977794,A,C,D,E,D,-65.27590034056293,72.15091709900918,157.0672701399854,E,1
None,Brazil,Heterosexual,C,C,B,-32.60073015200946,127.50236856302519,E,B,A,A,D,173.53238877014493,-130.0440341306992,-5.4311812110181,B,0
Physical,UK,Bisexual,C,A,C,-187.04078969943018,-152.68947418104472,D,A,B,E,A,14.840378195998897,-43.1148531879596,-68.46808811294926,E,0
Physical,UK,Homosexual,E,B,D,7.86057076495237,-63.58568161210639,D,E,E,C,B,61.85990836548091,4.809331243088036,-198.84131610064472,B,1
Physical,Brazil,Other,A,C,A,-197.1232844138469,-40.516260877056254,A,D,D,D,A,-7.0556024359650635,-0.506440865603973,-102.10834698512255,B,1
Mental,India,Homosexual,B,B,B,-143.63457547958583,-98.87532724028155,D,E,A,E,A,-1.0668734563822213,7.105987301261574,102.68260281291666,D,0
Physical,India,Bisexual,B,D,B,182.38273801450512,99.49880597019015,C,A,C,B,B,76.9098106915004,-52.51861288896308,40.07632349633984,B,0
Mental,China,Bisexual,A,D,B,-94.6660411787081,-59.45543154970907,A,C,B,A,B,-1.8105197961562136,63.19947130047695,59.27495167286576,E,0
None,China,Heterosexual,A,A,D,-45.038051369391596,-30.428842834679905,A,E,C,E,E,241.40486694557083,-42.61540479255751,88.12213833882122,D,1
No,Brazil,Heterosexual,D,A,A,-169.3606401013617,-213.32302477580464,B,E,E,A,E,-123.26875206963362,-26.0446690283401,-50.9138930950694,B,0
Physical,Brazil,Heterosexual,C,C,B,19.195685545618428,33.208727163251794,C,C,E,E,A,69.3130557179982,83.6447871977017,142.74921885770806,C,1
Mental,Brazil,Bisexual,A,E,C,-17.762513182496793,-47.464786696585705,B,C,D,B,D,-153.39969680694765,-21.78200058442115,84.84766583237126,C,1
None,China,Other,B,D,D,-68.11839739395381,-8.857028498890259,B,C,C,C,B,121.57887609404467,-7.6435847903675915,-105.21435427827564,E,0
Mental,India,Other,E,A,A,-159.578024912414,85.3473449187382,D,B,A,B,B,-106.27950187426505,102.86394666577921,151.5020575511393,E,0
None,US,Bisexual,A,B,E,-101.69881939968096,-139.2306580324886,D,B,A,E,E,166.77094143097278,-169.68228110038538,-7.108260506288833,C,1
Yes,UK,Other,A,E,C,-128.54618389609803,134.64249913985037,C,B,B,D,B,-129.51549310454047,58.24277115534746,-4.448485045440385,C,0
Yes,US,Other,B,C,B,-134.55199584157552,30.016643142164124,B,C,B,D,E,-2.8377743735103613,-35.16610470113683,1.7748532868112608,D,0
Both,Mexico,Other,C,E,C,-31.148845286813696,74.80783968753833,C,D,D,A,A,-137.13809810690015,-28.165959147574533,115.16144021331331,B,0
Yes,Other,Homosexual,A,B,B,-35.052474756024495,163.18548763952757,E,A,B,D,E,52.65379376750907,26.154090491898348,-4.632261764672472,B,0
Mental,Brazil,Homosexual,E,E,D,31.788358145007084,25.73156522546945,E,A,A,D,B,198.5136821408008,83.38378029773486,125.20098571419011,E,0
None,India,Heterosexual,E,C,A,-98.93833467976488,-25.960191496146823,B,D,C,C,C,65.50912818295484,-191.7100586603033,-109.00987466835377,C,0
Both,Other,Other,D,D,D,121.85310332469088,40.92846745713829,E,E,E,B,E,-204.31354323118654,-246.75306430377412,-87.91355314885877,D,1
Physical,China,Homosexual,D,C,A,15.876317576281773,-100.66938318870294,D,C,E,D,D,-54.44439138006925,201.66764810958026,12.911523256263937,B,1
Both,India,Homosexual,E,D,D,-61.614888119537625,100.67989795869894,E,E,E,B,E,119.15545429280175,-55.52179347754292,-44.82482882400674,A,1
Yes,China,Bisexual,A,C,C,65.52025720234676,-31.126454098606725,A,A,D,C,A,-168.53733937115777,-7.312497106979039,-211.66282442216215,A,1
Yes,US,Bisexual,E,E,A,-5.316630221885432,-180.97193204226755,B,E,C,E,D,92.87311838662414,-56.905739823917976,27.4417698834797,E,1
Physical,Other,Heterosexual,B,B,B,118.90922523486734,-78.61086068492871,D,A,A,C,C,-40.75678586294257,28.406301097985992,139.47845270407933,D,1
Mental,Other,Bisexual,D,A,A,94.36559741108894,-43.379655935517036,D,D,E,B,A,45.649138473223246,163.91721543254857,12.928969908500099,C,1
Yes,China,Other,E,C,E,-91.29657977400967,-38.920897912455615,A,B,A,D,D,169.62728893136025,107.76845671855335,-87.74814040735166,B,1
None,US,Heterosexual,D,C,E,-40.39356942769232,35.67000210609907,B,A,D,E,A,78.93182624369885,-40.66690461190915,152.12485716487575,A,0
Yes,Germany,Heterosexual,E,A,C,220.0208642905181,81.87943690223165,A,E,B,D,A,22.01290701801454,64.08806512882126,60.001261877135114,C,0
No,China,Bisexual,C,B,E,192.22413137271917,182.1398327371473,A,C,B,A,E,-232.208909295597,109.56857848606545,91.97754725696261,C,0
No,India,Other,D,B,D,-118.94045039877845,141.13631183857504,D,A,D,E,C,-76.65423888942608,215.5460948842599,-2.9558427737143758,C,1
Yes,China,Heterosexual,B,C,E,-12.732472255236274,-9.81375411880303,B,A,C,E,A,22.76255556877027,6.888128994063771,120.38674465172548,A,0
None,Other,Bisexual,E,E,A,64.52495411509489,52.57341009043176,D,B,D,C,B,-262.7210562212814,-70.83128938149504,113.94311657460166,A,0
Both,India,Heterosexual,D,D,B,58.74993459835432,-67.52947256640104,C,A,C,A,B,-30.99056666210231,-9.600154024277572,-47.32128435227313,D,1
None,China,Other,C,C,E,-55.10930835911652,1.0551470678932746,E,B,C,B,B,-35.85279233602392,-71.95890130142257,94.83948548309289,C,0
Yes,Mexico,Heterosexual,C,B,D,-100.04325234342085,-211.85319277455815,A,C,B,C,C,58.99150954524347,47.13420997021226,46.68265976201729,D,1
Both,Other,Homosexual,D,C,A,-226.39815177784013,66.46626660682324,C,D,D,E,D,-114.46511700009705,-241.16553987885774,-27.420539957877637,C,1
None,US,Bisexual,E,D,D,8.29550517701315,-20.196856170917805,C,D,D,C,E,-87.46047606366261,11.19176687235131,184.61015315552277,B,1
Both,China,Heterosexual,E,C,E,10.278222200137762,106.4966137643601,E,A,D,C,D,-101.35239169923605,96.76100001116242,-38.0900471666329,E,0
Both,India,Bisexual,A,B,B,-74.29904101454696,-107.84884150456631,C,D,B,D,C,-82.0912734894343,66.43067890628274,25.052243978713673,C,0
Both,UK,Homosexual,D,B,B,43.88809555681527,282.7843976008588,D,D,D,C,E,-60.21228157610097,51.687367891621705,-99.91365035426423,A,0
No,Mexico,Heterosexual,E,B,A,-133.24941353871435,4.997688068320854,A,A,E,B,C,-219.75582962120077,-7.887879940178231,178.01007924187752,D,0
Yes,Mexico,Bisexual,A,C,D,-35.54519119158594,30.6106105853373,C,A,D,D,E,106.33358520258831,-18.01483327077264,131.26891885659603,C,1
No,US,Homosexual,C,B,B,-187.5508385514464,-59.964684272023824,D,E,C,E,D,20.977219989707212,81.82966040243434,-33.86062578139076,B,1
Physical,Mexico,Heterosexual,C,D,A,-50.68377503790762,-67.6896017393562,B,B,D,A,C,127.05361574278933,312.9426209241626,-88.85580597538689,A,1
Both,Brazil,Homosexual,C,B,C,101.27431831583505,103.83596098896142,A,C,E,E,A,146.70807210786865,76.37664215904543,-17.63196141735278,B,0
No,Brazil,Bisexual,B,E,C,-33.542931480459934,-91.44170272016,C,A,A,D,C,20.988099718844534,-127.04103825610744,-91.59090415207844,C,0
No,Other,Heterosexual,D,B,A,-69.75334787395593,-70.45058202914907,D,B,D,B,D,-108.99359819180658,50.61176187640638,-254.96140942244918,B,1
Yes,Brazil,Bisexual,A,E,A,-26.019938103243707,156.24881358002636,C,E,D,B,C,-77.99420998014439,69.9132221066619,-3.384456086912877,E,1
Both,India,Bisexual,E,E,D,-14.597635411017151,62.05423403961755,B,C,C,C,A,0.12159504371063858,19.941619222023217,18.297980495951066,C,1
None,Brazil,Homosexual,E,D,A,-98.25384661713966,-126.36294571531633,A,E,D,B,B,0.8889809374905222,29.053177774447907,40.01392659596009,D,1
Yes,India,Other,A,D,C,89.51555523764365,41.01541430877324,C,E,E,A,C,-71.73718260955418,58.20208276588269,-83.78006185517296,B,1
Yes,Mexico,Bisexual,D,B,B,12.950305137530698,-131.62045008368523,B,B,E,B,B,14.047951203699155,87.22127109507757,92.28561353880578,B,1
Both,US,Other,D,E,E,73.0068281332367,-42.83576506514464,A,A,E,C,B,-204.98641285544167,20.746633638788335,-126.61415229198288,C,1
No,China,Heterosexual,E,E,B,-63.714079930045486,35.52385774498136,C,D,A,B,C,19.546683115627975,82.51794921699597,121.42763127530505,E,1
None,China,Homosexual,C,E,E,72.5572728072141,-23.947690941670917,A,A,C,B,D,152.0325133556311,141.65431655054726,-87.2890675003543,E,0
Physical,Other,Heterosexual,D,E,B,55.8382189833556,-117.42619648994457,C,B,D,B,A,8.165916503208493,-167.8456508614849,-3.1604130096131144,E,0
Both,Brazil,Homosexual,A,E,B,4.498869011242641,-83.04561365871709,A,D,C,A,D,59.39054989371624,88.00813180205176,-63.602235622888195,E,1
Physical,UK,Other,C,C,D,-102.86338958768002,-21.27627591623472,B,B,C,D,B,34.65018634070162,55.68296770653487,-93.89711495257393,D,1
Yes,Other,Heterosexual,D,D,C,71.94891472246789,65.04238961684409,D,E,E,C,C,105.65520184834385,13.85273113594849,2.7132217398603564,B,1
Yes,US,Bisexual,B,B,B,76.8500359116982,71.08684291949633,C,C,A,B,E,-76.41065239349622,41.039191502943936,-6.91580321168672,D,0
Physical,UK,Other,A,B,A,-26.255208837755934,-111.50503793251498,A,C,E,B,A,-193.96000916471291,-104.65336522032209,0.14927355944393061,C,0
Mental,Other,Heterosexual,C,A,E,34.99896851147185,-54.66859303277892,C,A,B,D,E,-43.613567625700874,121.86362314108412,138.25208380107262,E,1
Yes,Germany,Bisexual,D,A,D,26.808716921467035,29.342526153602854,E,D,A,C,C,-97.68564784789613,85.07189896747619,133.39376739773428,D,1
No,Other,Heterosexual,C,D,E,-14.875532036184659,-75.00916818826946,A,E,C,D,D,55.573656919461946,-167.16919951599652,149.31902510247284,A,0
Mental,China,Homosexual,B,E,B,135.83341078685237,-48.75226164728851,D,D,E,B,B,91.07461606639706,-6.160153286730079,32.68540515518123,E,1
Mental,US,Heterosexual,D,E,B,-25.275171584786367,74.7610590939114,E,D,E,A,C,-74.77406318757231,114.51790742742199,21.764770528930185,C,1
Both,Mexico,Bisexual,B,E,B,25.234465114638038,50.29546544598925,A,A,C,C,C,143.2587668873855,-220.8923848128361,20.320992510244,A,1
Mental,Brazil,Other,B,A,D,-201.05159400888573,-93.6567864735378,D,E,D,B,D,178.21194341024258,134.58661041058065,45.49967479686207,B,1
Both,India,Heterosexual,E,D,D,-36.336499792695825,-74.40997275574894,A,B,C,C,C,-90.44103497783468,-122.65663064949852,-117.43997082041393,E,0
None,Germany,Bisexual,C,B,A,-63.51707376425949,174.51986053147616,D,E,E,E,A,40.68452109870631,-123.52010561340168,116.81232874721282,C,0
None,Mexico,Homosexual,B,E,E,262.0600634081062,83.76408889930003,D,C,B,D,C,-99.5910483304161,-34.413703517340714,-40.05835396168443,C,0
