age_group,orientation,genero,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
26-35,Other,Female,Non-Veteran,D,C,B,A,-27.0774540973498,-94.95129050034862,A,-3.071579680901534,90.11355334643788,-74.01155297616685,0
36-50,Heterosexual,M,No,C,E,A,E,-24.643599923953428,94.75074977829311,A,62.77777234880572,91.09724295980543,-42.529591796601316,0
18-25,Bisexual,Other,Yes,B,B,B,B,69.05630291135141,-65.40151395321885,B,-211.76699490718826,-86.76988049419005,201.87045740697317,1
51-65,Homosexual,Other,Yes,B,A,B,C,104.02516727685318,47.849663928182515,D,38.38120637736825,-171.6354710251368,-100.88619432807147,0
36-50,Other,M,No,A,D,A,A,20.811709519066966,21.045912440193167,D,69.62642155437341,-60.6027707163202,-80.36343609774373,0
18-25,Bisexual,Non-binary,No,B,D,C,D,-40.19901890395706,107.6128802668008,A,140.03082716092723,23.93486492196377,60.54490073892035,1
36-50,Heterosexual,Male,Veteran,B,B,A,B,13.00159473464308,72.62825324346971,C,6.951765951499699,136.90694952851595,-50.15836064667625,0
51-65,Homosexual,Female,Veteran,D,E,C,B,-174.11253150097104,-157.2366673201387,E,-113.6192237055586,-28.94626989962082,32.51333438489263,0
51-65,Heterosexual,Other,Non-Veteran,E,E,D,E,-147.50470375926488,-61.694420211615586,C,185.42136971938626,82.33469461060949,49.083146745420194,1
18-25,Other,F,Non-Veteran,A,A,E,A,100.5224126357763,-30.419762111377267,E,38.01925521421425,-83.86340825762187,-38.05527247267871,1
65+,Bisexual,Other,No,B,C,E,E,-88.20657119867475,218.0294283082815,A,87.24040474456154,-125.77481132996986,-198.88362773135947,0
18-25,Other,F,Veteran,E,B,B,B,82.57377579188642,-159.1957100099998,D,-90.34506303444438,13.273736723496487,9.570731291415209,0
36-50,Heterosexual,Female,Yes,D,A,A,C,17.403896091047255,-39.503616599804204,E,146.99820961978867,-157.74117374118893,-18.270344946993884,0
18-25,Bisexual,Male,Veteran,A,B,C,E,94.91139231547959,18.776526136386774,A,-49.232219795011346,-41.08390993405238,7.456032278639231,0
18-25,Homosexual,M,Non-Veteran,A,D,E,E,-20.055341596606464,-22.442977091963947,C,-37.71405951179337,-126.83593433485301,-168.47328935976884,1
36-50,Homosexual,M,No,C,D,B,D,79.25375691866675,-15.270147163076123,B,-99.38239349937675,-137.93334749560262,138.5124915035644,0
65+,Homosexual,Male,Non-Veteran,A,C,A,A,1.655311095362167,62.81366507986751,B,-47.631702514330044,7.58909623050972,-69.29119520474684,0
26-35,Homosexual,Non-binary,Yes,D,A,A,D,107.01580291055235,29.03457556783689,D,-82.12521499281684,-150.87960893578332,62.636888994595466,0
36-50,Homosexual,Female,Yes,A,A,E,A,121.35108863069294,181.3414861320249,D,-10.749080019547797,-35.219954988987176,-103.37162278718755,0
51-65,Bisexual,F,Veteran,B,C,D,C,-27.12336247245727,188.83615078865574,D,-143.17333172204778,119.88012992881183,15.162778870879404,1
51-65,Heterosexual,Female,Veteran,A,E,D,C,46.45800657654897,85.75198253049811,B,100.28535648703365,3.0399102985631945,-154.43808947422016,1
51-65,Homosexual,Female,No,A,A,C,D,-47.609204587445646,35.064969367559435,E,-45.602985834706224,-39.76349926833374,87.16180634398656,1
51-65,Other,M,Non-Veteran,A,A,D,E,12.089243109311546,58.660095444373795,D,66.73681410032444,143.00614106740937,-126.32518337301654,0
51-65,Homosexual,Female,No,D,D,E,C,-99.77204049920604,24.121190801128886,A,-73.05117832652331,29.630214944183557,59.2685030530658,1
65+,Homosexual,Other,Non-Veteran,C,D,B,D,-151.809785513728,162.98577024785945,D,-94.15397107894657,38.06409672876611,105.48183998047406,1
65+,Homosexual,Other,No,C,E,B,A,48.76879990753221,-118.95177910379773,A,-124.36258324534397,49.63929083371533,-89.45782249622208,0
36-50,Bisexual,Male,No,C,D,B,A,150.76574714133716,85.99904069839772,D,-83.58801679211729,-25.96911209972393,76.07912114441008,1
65+,Bisexual,Female,Veteran,E,A,B,C,-144.20276749859678,133.96960529193976,A,51.375598130930754,49.27830100361111,26.955143606668443,1
51-65,Homosexual,F,Non-Veteran,E,D,A,B,-55.69882803221423,87.44646291688528,A,-58.206624398831565,73.55176941351179,-29.26929407495143,1
65+,Bisexual,M,Non-Veteran,E,D,D,A,-139.14795907994198,-12.248953248985359,B,50.72825294285048,3.611327524671025,68.84113976361674,1
51-65,Homosexual,F,Veteran,E,B,B,E,-136.61913723741122,48.615884787704154,B,52.16454820786812,-118.80516087504161,13.220852123128518,0
26-35,Bisexual,Female,No,B,E,C,A,85.87474690642745,-205.93886609461816,A,207.36229481107813,64.43000393601291,-75.38548260120903,0
51-65,Bisexual,F,No,A,E,C,C,-92.40018852685917,11.847360272693285,A,-177.42781764525918,74.65362187255651,-142.57286017941786,0
51-65,Heterosexual,F,No,B,A,E,E,-92.10435112507427,-75.12208009308478,B,1.7855852760661484,-70.85836948428745,130.99850419101224,0
51-65,Homosexual,Female,Yes,C,B,B,C,55.91497832501713,92.0634730775605,E,-86.20265119737472,72.2896655834769,14.509392150902684,1
26-35,Homosexual,Non-binary,Non-Veteran,C,C,B,D,101.98116479842541,-267.4953243562136,D,-113.85144118429211,-36.5694504052789,-82.43105347759997,1
26-35,Bisexual,Other,Non-Veteran,C,E,C,B,289.92172183177786,25.055033179595014,E,-142.75362963458699,115.94649776154246,-239.06905431208764,0
51-65,Homosexual,Non-binary,Veteran,D,A,E,E,-25.3372307416699,-9.853088073790978,A,-153.5516778425262,47.45242520115981,67.17160359628713,1
26-35,Heterosexual,Other,Non-Veteran,C,A,A,B,-21.309372672746846,10.424164788634464,A,-7.9009000400624005,57.40458116671404,12.495710249641217,0
51-65,Heterosexual,Other,No,D,B,D,E,123.12072344302368,20.76905649267297,A,62.72066106063788,78.16871781859865,-52.92980341326986,0
26-35,Other,Female,Non-Veteran,A,A,E,C,69.9967111068298,123.53856575723721,B,18.7317638141945,-162.15597374142007,-32.03958925958759,1
26-35,Homosexual,Female,Yes,D,E,D,B,-37.39632571733619,-142.78808186177028,E,43.97321275490188,154.63709606188948,-103.23693681053724,0
26-35,Homosexual,M,Non-Veteran,E,B,C,A,-57.44349768743241,77.51622176989669,A,155.70173662982793,135.24529647706274,40.737102548662655,0
18-25,Homosexual,F,No,E,A,A,C,-107.7952241949267,23.333199302526396,D,-38.60387679433124,132.37954306391123,97.31162873680978,0
26-35,Heterosexual,Other,Veteran,B,C,A,D,-109.47761337719926,118.33173936481627,A,140.5921951785111,-14.350898027210878,95.3616292100707,0
36-50,Homosexual,M,Veteran,A,E,B,D,-65.93911427948134,177.82591180948737,C,-85.16047882527573,27.690878242459792,55.99900692760394,0
18-25,Other,Female,Non-Veteran,B,C,D,E,168.08410798983547,6.225059327884817,D,-12.392142221015904,135.1867932562706,-153.0795841159684,1
65+,Bisexual,Male,Yes,D,C,C,D,12.23292782715208,7.079355154674351,D,65.82017412207823,67.7954773447338,70.90811017913586,0
36-50,Homosexual,Female,Veteran,C,E,E,B,113.02386110531873,-88.1682182762966,B,-25.376442618690483,-38.912632435931414,-51.757862969423385,1
36-50,Homosexual,F,No,D,D,E,C,43.635590238554016,-294.2989254121274,B,87.13095826406662,-86.00608761452273,146.12321400755587,1
51-65,Bisexual,Female,Veteran,E,E,A,D,204.13797292574492,136.27015506837742,D,43.78430954192264,111.67721915345857,106.41164679574324,0
36-50,Homosexual,Other,Non-Veteran,D,C,B,D,-8.177946833226269,-53.95868906926117,D,-55.56396921272363,-69.78233277224362,19.61266164578938,1
51-65,Other,M,No,C,D,D,C,-106.04032809549433,186.71441516887316,C,-28.692619453443278,47.45758174827628,0.0009131646739401392,0
51-65,Other,Other,Non-Veteran,C,C,B,B,-257.8078190604375,30.31700472001708,E,80.31867627335527,-194.90930499120174,49.94570192079855,1
26-35,Other,Female,No,D,C,E,A,145.4820051570144,-124.31211413415836,B,-0.35061559481190313,88.01213060413279,-71.74241824303623,1
18-25,Bisexual,Non-binary,Non-Veteran,D,C,E,C,71.59162944513862,44.72426931123968,C,-159.73219871738425,129.48608497314996,54.46407984393035,0
18-25,Homosexual,Non-binary,Yes,B,A,C,B,13.817570219868713,-39.24351178430477,D,76.46651566968924,66.6525816788022,115.31892485259414,1
51-65,Other,M,Veteran,C,B,E,A,-21.830754874315357,-78.92079504426862,B,-227.75658952981246,35.89978408553755,204.9920391382801,1
26-35,Homosexual,Male,No,C,D,D,C,30.924897790773947,-62.455001735445414,A,75.81926239382048,56.86616943330699,79.16934762858052,0
18-25,Bisexual,Other,Veteran,D,E,D,D,-103.1099018331554,42.5837355876691,E,59.246167891877214,192.23608382921887,-99.89688461014768,1
65+,Heterosexual,Non-binary,No,D,D,E,A,-51.05731776815033,-174.52451757071438,D,35.23202118301532,52.258807144460626,-18.5104321724426,0
26-35,Heterosexual,F,Non-Veteran,B,A,A,C,-180.2459871674352,104.20295350310602,C,-91.82874493364095,-104.6152594765942,-179.43489760261969,0
36-50,Bisexual,Non-binary,Non-Veteran,C,B,B,B,-62.07980689755498,-200.0875551637575,E,-58.71692704307046,-83.05580876292993,117.75731374507264,0
51-65,Heterosexual,Non-binary,Non-Veteran,D,D,D,B,24.70387117158631,90.03927692458817,D,63.08500729685939,88.65177945193552,233.32061279554566,1
26-35,Homosexual,F,Veteran,D,A,B,D,-40.60535600479606,-111.15986733873396,E,-1.423821207652792,-107.74234757611802,96.28092307987343,0
65+,Heterosexual,F,Veteran,E,B,C,B,55.261315932669945,99.76354863241242,D,-35.78080217537481,38.12892628576311,-54.76456638793837,1
18-25,Bisexual,F,Yes,D,A,C,D,-8.109248026563197,0.3944080189213242,A,-5.733349072822872,128.630328897661,-184.78222011309964,0
65+,Heterosexual,F,Yes,B,D,E,A,66.07704369287605,110.16639291695809,C,39.62016855664237,136.83157458556855,75.83597293882535,0
36-50,Heterosexual,Male,Veteran,C,E,B,A,19.780278401352835,-66.21627822820122,A,107.86493295878492,57.6388676821599,-124.2648281406636,0
65+,Bisexual,Female,Yes,C,E,C,E,26.090450204111153,-214.8627617421831,A,44.54530333379563,2.86237053575702,-76.66685588775655,1
51-65,Homosexual,Female,Veteran,E,A,D,E,115.82400153827538,72.27870299868539,A,-145.13637226108182,-12.88795204468457,96.68493883332779,0
65+,Homosexual,F,Yes,A,C,E,D,-28.288038544236656,114.95152119138383,B,106.68923879301686,-107.61869722326432,-32.72295958375673,0
18-25,Bisexual,M,No,A,D,C,E,13.008773943219559,35.546403029944315,E,83.97954112782747,122.46118351925521,130.95369387439573,1
18-25,Homosexual,Non-binary,Non-Veteran,D,A,A,D,-13.161213738846001,-143.84582473484554,A,90.6618867313582,-54.62379068087498,14.457382182323814,1
26-35,Bisexual,F,Veteran,B,D,A,D,180.3260509509871,59.625992592009126,E,11.459869152816479,-110.76117396855763,97.85964033948356,1
26-35,Homosexual,Female,Non-Veteran,D,D,E,C,2.4338622467958837,2.959735025148851,A,-4.888940311207667,50.98637968691895,-32.631529933372065,1
18-25,Bisexual,Female,Yes,A,A,C,E,-55.365276824522645,53.58686111783674,A,237.16173511286715,-69.89434789171197,-19.588670975182044,0
18-25,Heterosexual,Female,No,B,B,A,D,-29.033537215943856,-143.80687565366193,E,24.996551420003392,43.36469898376023,49.68079747689871,0
65+,Bisexual,F,No,C,E,D,A,-30.46947724238571,136.1329874555962,D,-2.3815695206924534,16.7084273379121,-19.561771182007558,0
36-50,Heterosexual,Non-binary,Yes,A,D,D,C,120.73796766607363,-230.4499125216899,E,228.7845975671642,30.459499107343095,45.74454428751549,1
65+,Heterosexual,Non-binary,Veteran,B,E,A,A,-20.111782355068282,86.20483093545148,A,143.256264369669,-56.714329349370715,-7.32554730979142,0
18-25,Heterosexual,Other,Non-Veteran,C,C,D,C,-9.462661747305214,42.46708825658609,C,0.7939024808691244,30.96545731750173,50.48527625662486,1
36-50,Bisexual,M,No,C,D,B,B,-31.4361771166552,113.93989615605892,E,-106.77693029103796,231.57343886536233,-250.2078898014347,0
18-25,Heterosexual,M,Veteran,B,D,E,B,-182.9455651808639,-56.0600934619938,B,153.96169564964157,113.10395809866853,-116.93978742381633,0
65+,Homosexual,F,Veteran,C,D,C,E,188.50462250345487,-45.253201648351215,A,-4.694665695231976,114.52790164615638,-134.18260927736026,0
36-50,Homosexual,Female,Non-Veteran,A,C,D,C,-17.09765301944509,57.060986447160886,C,-124.85286390810764,-2.5699286954341436,-225.13975416819724,1
36-50,Bisexual,F,No,A,E,E,B,-143.53917183971916,83.46940471673571,E,-55.88652024521908,146.7187745304002,-1.8832177503870173,0
51-65,Homosexual,M,Yes,C,A,A,D,116.05613335862527,-91.89055609491574,E,-54.296449762996424,75.34722071235117,46.50507878302849,0
51-65,Other,Female,Yes,C,E,B,E,-43.32707137901032,18.731268236014596,C,-213.44306676961665,25.90260968971665,137.38314886695161,0
26-35,Bisexual,Male,No,D,E,E,B,10.739960036452603,132.43909004238103,D,44.36234886055486,-69.23127215783107,-78.71276639254309,0
18-25,Other,Non-binary,No,C,C,A,E,-113.67547599705064,-22.419916612079135,B,117.81780538501177,30.329397729174534,90.00514740116772,1
36-50,Homosexual,Female,No,B,B,D,B,119.26472632593182,36.19669841893449,E,-35.353553004458625,-154.14489584135518,211.5641410672837,0
18-25,Other,M,Non-Veteran,D,D,C,B,-93.36170338318833,-71.73692710854678,D,-219.6374552586329,74.63485516260242,4.992312128230465,0
36-50,Homosexual,Male,Veteran,D,E,D,A,12.388860993859886,-21.051149178398443,D,61.64261287581283,-17.796861657129188,145.22689054550622,0
18-25,Heterosexual,Other,Yes,D,C,C,B,36.814869744399644,-30.039090162763376,D,-166.8191550829357,-51.487639392832996,71.82839828306193,1
51-65,Heterosexual,M,Yes,D,B,B,D,104.40365445443777,35.61911970306633,B,65.88529353837598,33.31645823668816,3.218167694299523,0
26-35,Bisexual,Male,No,B,D,D,B,41.904204769021774,-44.71414107467921,E,-119.97191410574253,160.71915627760325,155.6145999114905,0
18-25,Homosexual,Non-binary,Yes,D,B,B,D,226.33819513096287,-66.54285490346304,B,97.11261052126284,-99.09322092270752,-60.47971122297595,0
51-65,Heterosexual,Non-binary,Non-Veteran,E,B,A,D,-22.205011505102725,-110.69627720811982,C,96.67094433732942,-22.83485110761876,-3.8901776962481636,1
36-50,Bisexual,F,Yes,D,D,B,A,98.72980201348696,88.83404490615762,C,145.62671483918803,36.52493815563837,96.23729072213624,0
51-65,Heterosexual,F,Veteran,E,D,A,A,61.24456211781714,136.32641748212464,B,-135.43546366478674,54.04419347762421,-6.819119441061478,1
36-50,Other,Non-binary,Non-Veteran,D,E,E,B,55.53541458826956,57.60974392017708,A,-8.179431156857687,-44.596991307925066,216.8202772397843,0
51-65,Heterosexual,Male,Non-Veteran,E,E,A,A,185.114740268656,-24.61587900904318,B,70.19826618614437,89.0159657212205,73.09355883887308,0
51-65,Other,Other,No,E,E,E,E,-137.3248268713596,-161.39944636054514,E,83.80351767305683,38.23578211748584,9.974652980716538,1
65+,Homosexual,Female,Yes,E,D,B,C,31.72249347696215,139.79874363999096,C,-161.7477466422178,-11.427350877103228,118.21378946143426,0
51-65,Bisexual,Non-binary,No,E,D,B,D,140.01580332395466,-124.82804505924383,E,-7.0953673254248955,-25.362859430634543,58.037658480119816,1
51-65,Homosexual,F,Veteran,B,A,D,E,78.42291067531121,144.39152284582212,B,88.66013988603989,18.873227924320464,-6.684008271182447,1
18-25,Bisexual,F,Non-Veteran,E,E,B,B,86.99372535939347,12.048967568111998,A,-66.74186044038511,33.89488384366789,-121.104954902542,0
36-50,Bisexual,Other,No,E,E,C,C,-74.42453559947667,-48.54249184050267,E,9.19924998503527,-33.75527287808587,-31.991539606517293,0
51-65,Bisexual,Female,Non-Veteran,E,C,C,B,22.892649280240597,93.2437449140027,C,54.89575068857889,37.15871739129394,-31.42371461701065,1
18-25,Other,M,Yes,B,B,C,E,-108.4139510162513,126.791973532753,A,-233.50460247187564,37.099932176206735,46.431998373583426,1
18-25,Homosexual,F,Non-Veteran,A,C,D,C,127.76946369242049,34.857358356904875,C,105.96161454422138,58.965273594318745,-56.908646116998085,0
65+,Heterosexual,Other,Non-Veteran,A,C,D,A,-26.621801792005158,124.06624723775646,C,-32.70860639162369,56.99763201318516,-195.61501574949403,1
65+,Homosexual,M,Non-Veteran,C,C,A,B,113.71029242266468,-144.77833899227159,E,195.671255775306,-62.415561552520145,40.170560017653216,0
51-65,Heterosexual,M,No,E,B,D,A,-20.72332743717124,-130.3063822156272,B,22.928316943761917,-94.45692097004721,-119.72296634708319,0
51-65,Bisexual,F,Yes,E,A,C,C,-148.17326941312774,-34.01451283618235,B,-69.30350004475213,-86.05051964265463,147.341806378687,1
65+,Other,F,Non-Veteran,C,C,C,A,-32.58741291819471,83.87876197155192,D,-253.0604729169496,59.50163343120825,-96.65013143642634,0
18-25,Other,Male,Non-Veteran,E,B,C,E,-19.128770763327037,-6.044026811400308,E,-17.60009126892256,151.6532001508899,-50.85498067592804,0
65+,Homosexual,M,Yes,B,C,C,B,190.7680396702847,-99.58396689201106,D,75.38473176004779,-123.35162715618976,-50.90418133629754,0
26-35,Homosexual,M,No,D,E,E,A,-117.53875085004483,-2.0370288925494227,D,-101.32042057064245,6.240808081045051,-42.017580250879035,0
26-35,Homosexual,Non-binary,Yes,C,A,C,D,112.9886109453772,-14.506930130484323,C,97.87435208367866,-67.88859086829227,64.84324723552689,0
36-50,Heterosexual,Non-binary,No,E,E,C,B,-94.50651967657349,-98.09820618792396,D,37.32118319533085,-7.8233732531703115,-4.032836565080246,0
26-35,Bisexual,Male,Yes,A,D,C,E,39.80089059928537,121.4582987811977,B,-11.73070792718637,43.49539907416332,55.24165575772307,1
65+,Bisexual,M,No,E,D,A,D,97.93557978893662,43.66398104787342,B,-114.59859684710254,55.665247967870755,24.69570211382144,1
51-65,Other,Other,Non-Veteran,B,E,A,A,175.73200180029727,18.983555083662118,D,-91.2829583570963,53.000466227675346,-81.54550178901737,0
26-35,Heterosexual,F,Veteran,D,B,E,D,-6.302434328794308,8.698861945457791,E,-57.45230412909553,15.001868844413366,-218.710697532277,1
51-65,Other,Female,No,A,E,B,B,69.66742810985811,-6.667499510275758,A,-47.668712744234696,87.08436114348356,138.77938486544053,0
26-35,Homosexual,F,Veteran,A,B,D,A,-51.22260849247443,39.474872146525556,C,-29.249723369412024,137.47848327369329,-63.59482671581663,1
