age_group,birth_year,sex,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
36-50,56,Non-binary,Black,35.60933628519704,C,B,B,A,B,82.82143813402251,62.19679364857122,E,-8.83373129576022,-44.90620008820862,0
51-65,99,Female,African American,-109.99936154588723,B,D,D,C,E,-48.50170196981049,97.4511383486287,E,32.77501159677103,-31.025091492677888,0
65+,25,Female,African American,-34.24184805598675,C,B,C,A,D,75.25388756447636,-53.534300390105784,A,1.2308133097687497,85.47041515490218,1
18-25,26,M,Other,34.00863825869333,C,B,B,C,D,-0.020938668237438823,-37.483925076736455,A,168.51652349833623,-27.45055082637975,0
36-50,67,F,White,-32.85253313961229,A,D,B,A,B,103.21439042513092,50.824337925692944,C,161.31655012374003,-50.74423373269641,1
65+,70,F,White,73.4922602171974,D,C,D,A,A,128.86891192757787,-59.279794322367216,A,-125.9470125484688,180.96858599801917,0
36-50,38,Female,White,-58.24443730005764,B,D,E,A,D,-16.545031258598556,-11.091025787282776,C,-140.97766955254428,33.61189767005132,0
26-35,50,F,White,14.38240996147828,D,D,C,B,E,35.00153409717353,17.345020579009326,D,30.75680213905743,4.869263681885469,1
26-35,50,Female,Hispanic,63.36346405065127,D,E,D,B,D,-35.29533281695208,77.4187995290198,E,129.32163805728612,76.42055063705008,0
65+,71,M,Hispanic,128.55508551842212,A,D,B,A,A,-2.941990677260302,8.13653730603481,D,220.99518778718465,-18.658118010788044,1
65+,55,M,Other,-24.124981002964667,D,D,B,E,B,-152.52240039173708,-137.73755385451298,A,50.90089590629619,-63.459813200747874,1
36-50,32,M,Other,-24.980174828838138,E,B,C,A,D,60.77479379131747,-29.991714317494417,E,-11.048925050488473,-87.73951563219934,0
18-25,63,Female,African American,78.37618981410893,C,C,A,A,B,27.196867384104173,160.69297345179473,C,74.8738491323489,113.77223651550199,0
36-50,69,Non-binary,Other,-14.393527481746213,B,C,C,B,A,-88.70872948551097,-11.828707521475314,E,6.762915983960406,64.9790943735405,0
51-65,73,M,African American,135.035812213598,B,E,A,B,A,12.093569052162193,-153.53666992726602,C,-81.58260578865303,-27.901041143905726,1
26-35,89,Other,White,-26.058306490721563,E,B,D,B,A,51.109737097054634,100.42008459705715,D,56.98046200756972,-63.85895774058004,1
18-25,37,F,White,171.93012516529208,C,B,B,B,A,3.743282319381749,184.63718284986268,B,1.3756637562020695,68.78351814239953,0
26-35,82,Female,Other,-25.29486877464184,E,C,D,D,E,-76.93944279940894,80.6867521299402,D,-264.63731093080736,-27.768631537152366,0
51-65,58,Female,White,142.25870307412532,D,E,C,B,A,112.70128394305041,9.421635552690766,C,-98.75272280988635,-180.031600222485,1
51-65,66,Other,Asian,-55.54734560298772,A,A,B,A,C,58.34019792557804,-44.74811625379401,E,101.86412742039333,38.117311627911405,1
65+,40,Male,Asian,57.26024469693357,E,E,B,D,E,-114.4829697617749,-39.69751003828759,E,0.21404795045993483,-80.89250660164234,0
65+,50,Male,White,-40.24671546320203,A,A,C,A,D,-64.92417819716584,-13.094850619064246,B,-11.510662670378826,-174.91920019141202,1
65+,74,Female,Hispanic,-36.83965690215849,E,C,A,A,D,140.58626188594832,-44.24440445068083,B,41.933743868553236,35.12668326137668,0
65+,18,F,Black,34.65089855898926,C,D,E,D,D,4.079655956968945,-33.220567983183024,C,46.881148063757294,-40.25224271390607,1
65+,38,Male,White,93.61599857594342,A,C,B,A,A,-219.73003812170734,-29.73166325591874,B,69.20814709943431,-124.57480826967573,1
36-50,50,Non-binary,African American,87.68805190969844,B,C,E,B,C,101.22545953645205,67.65477959127453,E,66.7880219466935,141.3475006855256,1
36-50,81,Female,White,23.06013838335516,B,A,B,B,C,69.9798504515946,-89.6513731588028,D,110.40634745461576,9.465658564773328,1
51-65,62,F,Asian,-12.21938530846606,C,B,B,D,A,-171.1717917412279,124.21567037708078,D,-27.654936788882704,62.66524093446889,1
36-50,54,Female,White,83.25083048599757,A,A,B,B,A,-110.4402784627551,52.62818156963692,C,61.456116722165454,90.14930479877104,1
36-50,78,M,Hispanic,-35.860752192013244,C,A,B,E,C,-50.38287183961938,29.034775055776187,D,56.397242464221556,68.67089955828631,0
51-65,94,F,White,-86.28415830554603,C,E,C,E,E,91.63547801528932,93.22376026974486,E,16.974719810713452,-122.02654294181797,1
26-35,92,Other,Hispanic,72.78629609197851,E,C,A,E,A,-81.67819133508266,-59.41894372930426,B,107.81850017338763,-30.49588594415127,0
36-50,98,M,Asian,9.823976669137807,B,B,B,A,A,79.38296782146404,-75.18590135145985,C,-233.09203979462322,79.96774055522523,0
65+,78,M,Other,42.30340151848972,B,D,B,B,A,-26.31803946566506,90.22538673829037,E,-28.34971678916778,3.9334402213664625,0
51-65,54,M,Other,46.516798482541496,A,C,E,B,E,-140.88930948493487,13.556817648754398,C,-66.17590206484711,-57.37740078383899,0
36-50,57,Other,Asian,49.43345951938125,D,C,D,C,D,59.28104645514152,-18.94431121567253,E,-76.0628494652122,-128.15588248533004,0
51-65,63,Non-binary,African American,5.582136450518545,A,B,D,A,D,49.065502587171686,9.385653757222565,C,65.22861634066035,-24.22564612893862,0
36-50,95,Male,Hispanic,-276.46523775515146,B,C,A,D,A,22.97102528145432,-114.86775936893297,C,105.59447422141189,41.50169137312367,0
51-65,98,F,Other,207.12532709821318,B,B,D,A,C,16.704145973157985,-95.22442435347001,E,-107.20810393572424,-88.11891385289742,0
51-65,41,Non-binary,Hispanic,42.94288301634054,E,C,C,D,C,129.90681059516217,-15.25106420054598,C,-229.0021206724612,56.52336390288808,1
51-65,31,Other,Hispanic,-154.51171356217463,E,D,D,C,A,23.891612644124884,123.77579745331147,B,158.93210537761064,104.29180135818778,0
36-50,84,Non-binary,Asian,-7.27323439494844,D,B,D,C,D,47.95472450902313,27.895408384335646,C,26.197778184853572,112.77725435508397,0
65+,56,Other,African American,-13.8105336068333,C,E,E,E,B,-37.294562882961905,42.43758394698441,C,149.42562282962828,-93.51241497738975,0
51-65,41,M,White,108.54646097491245,E,E,D,A,C,-81.02085238623063,-47.594779103379956,D,169.657825830653,-28.87462269019615,0
51-65,38,Other,Hispanic,-100.1879467613942,E,D,A,C,A,-149.65949695796198,-108.06964560144966,D,78.46331737758523,72.57965465447843,1
26-35,63,Male,Black,-45.764055062747836,D,D,D,B,A,32.04910926294454,228.28735535402015,E,171.2272322518497,60.999205849219564,0
26-35,71,Male,Black,-82.40812890641564,E,A,E,B,C,-37.87609649293432,-113.07585512099638,D,149.32748037615065,141.62075040174406,1
18-25,40,Other,Other,113.03282569619029,B,D,C,D,D,-92.4673395389991,83.1369875321906,B,43.84152315047565,-78.96491691045472,0
18-25,89,Female,White,104.60722658611559,C,E,E,B,C,-259.57613717786836,-177.29328954556132,A,91.98985998686754,-35.668561865348494,0
36-50,86,Other,Black,9.540365080002436,D,C,D,E,E,-129.58215281394186,-115.57647760287286,E,-61.81271617674321,128.93117503419404,1
65+,18,Female,Hispanic,-43.83574692423385,B,B,A,A,E,-41.00553614461834,-100.87837020452433,A,58.93252797832565,48.51419969772684,0
51-65,44,M,Hispanic,-144.86100753794457,C,A,C,A,A,-88.92110754519155,86.3744046600762,A,-54.85122530059873,112.30007610487687,0
51-65,73,Female,White,84.78155083494437,E,E,D,E,E,-59.311702023016174,2.0363650145123353,D,51.172266769705985,-110.2876701410593,0
65+,52,Non-binary,Hispanic,63.81081695464825,D,A,D,C,D,-55.44937758293281,-34.03748561121861,D,40.13538566171925,-266.8708378952245,0
65+,24,Male,White,-13.400504320599563,A,D,D,D,B,-41.12269317788581,25.6283983801322,C,104.80887665256469,165.23900317701725,1
65+,54,Male,Black,16.52707144554741,D,B,E,A,D,129.43688025010843,-0.00249953035269082,A,-50.340642755874896,11.150097661380782,1
65+,26,F,White,-123.0113210789789,E,B,D,D,C,181.67638261915218,114.55452121839032,C,-109.81163366308526,34.68640678389573,1
26-35,95,M,Other,40.08135306167551,D,E,E,A,B,-57.04900552535639,-2.5906955171101598,D,-95.08494149152847,-1.181033533687196,0
26-35,90,M,White,-10.909423292608107,E,B,E,B,B,-43.144718565273756,61.648745003007946,B,101.52290099250216,149.93238641943455,1
51-65,61,M,Asian,-92.91478810431977,A,D,C,A,D,-33.90669491591793,37.813532071136954,A,152.28352166854023,-100.68656818135655,0
65+,47,Female,White,1.809404577276454,C,A,B,A,B,-50.851043584428105,32.597800244458305,A,-27.586968795008644,205.66013774039521,0
51-65,60,Female,Black,-127.04049673479112,C,E,D,C,D,-37.672719476497036,1.3773592005454816,B,-54.33527463707598,-149.58351485807532,0
36-50,54,Female,Black,229.06559055916534,D,D,E,B,C,131.31208572375346,-55.83384034990001,B,-104.01844159180284,-164.23294100362554,1
18-25,60,Male,Black,129.8175902576716,E,B,E,A,C,-97.20965161851092,-93.44988493637085,C,-110.51971221546282,39.97610428785484,1
18-25,59,Male,Black,130.23068179594904,D,E,B,E,C,51.87530764839791,74.98275731553801,A,45.137033594287836,-40.87941864037392,1
65+,33,Non-binary,Other,-240.78200580267773,B,D,B,C,B,-36.5571538146458,-29.102672036545478,E,-6.944552557061999,163.86719017441214,1
65+,72,Other,Black,144.97727774633557,C,E,E,C,B,-67.27829996226423,25.14688960109732,D,12.811525120775913,214.72658511563844,0
51-65,24,Male,Asian,-125.35831721864639,D,D,A,E,B,-131.75906081982276,45.44902505836666,B,238.09835542799775,-83.28445436473994,1
26-35,32,Non-binary,Black,-23.15248974600585,D,A,A,C,B,-80.81204705613055,156.6037027312838,A,36.46266961626914,108.51721892927631,1
18-25,22,Male,Other,33.0249157153614,B,A,D,D,D,70.66277435196734,117.84451416274571,C,100.98373493964826,-104.82776932800365,0
51-65,42,Other,White,50.46639360496605,B,C,D,D,E,-51.5655753446705,-59.84600361268353,D,-24.940025134499823,-29.89870947902933,1
18-25,47,F,Asian,156.12850519085416,D,B,C,E,E,-84.70612522817255,-1.5696754002933282,B,-38.059113446868636,-45.82939375926274,1
36-50,32,Female,Other,-56.425091522095414,E,A,D,A,E,45.524499721472836,-37.09194610886748,D,-92.36040474079934,102.07684109908593,0
65+,84,Male,Other,172.2403558825541,E,A,A,D,E,-7.885046549931013,48.83090526634954,A,-55.6821407457681,-4.7604648628281385,0
65+,41,Other,Black,-38.95315751689581,D,E,C,C,B,-181.31479247223638,-99.16126230808142,C,165.12537619638877,-83.33422172051486,0
65+,69,Female,Black,-65.02129086041937,C,C,E,A,D,-108.4544613302387,-45.570808312050424,D,-52.801224591778706,-13.380064289275525,0
18-25,66,F,Asian,-84.84886469233498,C,B,C,E,A,-150.29561452867335,-48.36611481537687,A,49.83557804903335,123.05526664635731,0
65+,38,Non-binary,Asian,-27.202070406258542,D,E,D,D,B,9.294689592456407,-107.39596669405054,A,196.14641194362014,56.9469673021847,1
51-65,95,Non-binary,Asian,-26.178025365643514,D,C,C,C,D,-9.913141595787748,4.787114227969815,B,-89.30954810833009,78.78179297006581,0
36-50,68,Male,African American,-50.83486786753505,E,D,D,D,C,-59.03211316107355,56.21647956508291,C,154.46687766691886,-78.26694170975806,0
26-35,56,Female,Asian,-248.7398599423433,C,A,D,E,B,-17.099182520277488,86.8878685480863,A,15.843398349387414,-65.89481749432491,1
18-25,94,Non-binary,Black,12.345323709682967,D,A,C,D,B,41.97296521615605,26.896856912356938,B,-26.758287074890113,41.61663971407407,1
18-25,95,M,African American,-143.30957867416762,A,E,C,A,E,71.59307750719941,-12.925013059212716,D,-86.82394333565988,-129.2346990106488,1
26-35,68,M,Black,39.83324578988188,C,E,C,B,D,50.88384506686078,2.69942925703365,D,-45.79331739806461,-83.37612685867455,0
26-35,28,Other,Asian,18.672401927331883,D,C,C,B,D,16.190169090701495,-3.90496526132797,C,5.742260618816286,-109.73420625612252,1
36-50,88,Female,Black,-38.835956040362724,A,D,A,D,D,147.2720870789599,-106.42442231793459,C,-33.079156449206295,-30.842778620222155,1
65+,41,F,Asian,-124.96599197130107,C,B,C,B,E,5.464341372347568,-165.0974159805445,D,-157.9468848529848,107.06060112653249,1
18-25,79,M,White,79.79777714390217,E,C,D,A,C,111.41301436188155,14.270869020392801,C,-62.76009054294388,-94.78565088397121,1
51-65,55,Female,Hispanic,-76.57593039971064,C,E,C,E,C,-29.42386384047035,-222.77800736700192,B,220.1550849506773,-20.942181027170186,0
26-35,88,M,Other,79.43459326180114,E,B,A,D,E,-176.48582555929886,65.20907157460287,E,-106.02862479826074,10.372926974078158,1
18-25,59,Male,Other,-86.6010578705978,C,B,B,E,D,77.63867915990552,-22.04702288806086,E,-37.58303159245094,-25.923644966943776,0
18-25,60,Female,Asian,129.39571171104484,B,E,C,C,A,-6.423160117438734,-5.07973506378188,C,-52.518064689396894,-44.529448635782074,1
51-65,78,Female,Black,-32.326023104153194,D,B,A,D,A,-0.5206093887627504,-46.7652610834725,A,87.80213464147695,162.81527460965333,0
51-65,81,Non-binary,White,-118.06597899486675,E,A,C,A,B,-35.70160656192802,138.2937869289417,C,64.28482259679198,-188.37044235944464,0
26-35,84,M,African American,-28.174617076062503,B,A,A,A,E,25.4508379638363,-117.24584494600683,B,-71.43027634710924,118.21570960562326,1
51-65,31,Other,Asian,136.64434520314873,E,E,D,E,D,125.07726149096317,-103.61545490548636,E,91.04143814518785,139.88564466623455,1
