military,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
No,Other,E,-212.2968513185054,C,B,-129.47902830289738,218.4864278876021,A,B,67.80128342892218,-24.356961193431427,1
No,Homosexual,D,-243.1522470019804,D,A,-73.05324872403368,31.157306361389196,D,D,-51.58594229545218,141.0143341102183,1
Non-Veteran,Bisexual,B,-153.41562378591215,C,D,-41.423063855712506,-142.0980770725356,C,D,62.14364285286555,-191.1979709883213,1
Yes,Other,C,102.56708254031372,D,A,37.47816371332752,53.38319777780666,A,B,87.51089749779214,-19.216414231755724,1
No,Other,B,-107.761987077494,E,E,-15.565220103964775,-1.57268752693292,A,D,-41.78971508201039,49.05076665330969,1
Non-Veteran,Heterosexual,C,-9.349688685379594,B,A,-190.8428128146914,-199.2442403963932,D,A,-144.4014924172573,30.47802912007416,0
No,Other,B,-1.8425209514219598,D,B,15.801982042409449,39.887945982234726,B,C,-85.68710470475489,116.6125265808658,1
Veteran,Bisexual,A,114.99323283063028,E,A,-8.098369406987839,-115.38558565237602,A,E,-86.2918921412229,125.37912540835319,1
No,Homosexual,C,-136.6077148887123,C,A,-14.886489093056696,-181.619021591606,D,A,13.599107583254517,-24.247455707935334,1
Non-Veteran,Heterosexual,E,66.74934770574916,D,C,48.73413893223916,-16.849548178653848,C,A,57.3778660994444,116.38569736496372,1
Veteran,Homosexual,C,95.70816126632114,D,B,-68.58994632903803,-126.44227716418249,E,C,82.81184912987659,-32.419421613056734,1
Non-Veteran,Bisexual,E,55.143378819694156,A,D,21.23458715910224,-176.50324553343003,D,A,49.121734233376344,-11.490935373047325,1
Veteran,Bisexual,C,101.00498350027078,A,C,118.9710228382711,-76.7150231826028,D,D,10.916150859690235,107.37293678323914,0
Yes,Heterosexual,B,25.689291594601155,E,A,107.55329819433639,74.32832598159017,E,A,-133.2478594754445,221.93537554670667,1
Yes,Bisexual,B,-20.92496077869711,C,A,21.948552469449393,18.233082990561908,C,B,135.55598069092989,-99.34469593821072,1
No,Heterosexual,C,84.4370192587968,A,C,102.99425518740138,45.88619691486475,A,B,149.10644499810655,-118.00088256957153,0
Yes,Homosexual,E,87.9649531557671,D,A,-136.3474628011797,102.33389107372346,C,A,46.859778200475674,-41.91413402843781,1
Veteran,Other,D,149.92158318663968,E,A,-80.50857611513466,26.678987114214525,D,E,-88.01069216273824,-69.34458314259628,1
Yes,Homosexual,C,137.36701913846736,C,C,64.85101366300671,74.7481197322403,D,D,15.57370081325973,68.5466770667445,1
Yes,Other,D,-82.74513123971926,B,D,195.0893809551449,-65.54202752592386,B,E,128.37193303268114,-54.4620711059196,1
Non-Veteran,Other,B,-142.45225779566866,B,C,-69.94297085168729,5.573965971383574,D,E,155.33143501032805,-158.34217550371918,0
Yes,Homosexual,C,23.180849182495823,C,B,-168.82748720581046,45.6386659830586,C,C,-129.46246327119832,92.2398081357361,0
Veteran,Homosexual,A,163.28158871354475,E,E,-15.919832737366269,-42.20568658028125,B,C,-43.88042817124222,79.7982216845917,0
Veteran,Homosexual,A,-181.23270904721772,E,C,120.05505420560421,35.90443643266723,E,E,98.0478099001902,31.15063556143657,1
Non-Veteran,Homosexual,C,-48.22650946546266,E,D,34.08787940025744,129.21603008625732,E,E,49.782239244112745,19.100458179710248,1
Non-Veteran,Bisexual,E,143.2076110904092,B,B,-131.48696441415996,-192.52586793283896,E,B,-8.129530132263046,-7.23227983501619,0
Non-Veteran,Homosexual,E,48.53552945564984,C,A,-18.86604377250129,167.7208013330961,D,D,8.913550209053673,87.21572716535273,0
Veteran,Homosexual,D,-165.46023832309837,B,B,124.47477686232402,-218.18163633581258,C,D,113.68563370046002,28.386624739027756,0
Non-Veteran,Heterosexual,C,-134.4997733056459,E,B,16.441185143581436,111.11163604485994,D,C,71.7575330074625,176.44896344069267,0
Veteran,Bisexual,A,17.737233313539786,C,C,21.1265117756455,39.541369039445826,D,A,45.709835735107866,-65.5930375940399,0
Veteran,Other,D,-12.429399879305253,D,A,-25.45365083029674,-15.094076624703767,D,E,204.914141396974,158.93446488171227,0
Yes,Heterosexual,C,1.5226867391952912,A,E,48.57254155147078,81.65499415034326,A,E,61.87946291019808,2.9158176721002222,0
Veteran,Homosexual,C,168.42782164086523,D,E,171.47463696449387,-85.29778847201275,A,D,117.62655588794996,84.80063657286695,0
Non-Veteran,Heterosexual,E,122.44733400447272,C,A,139.98474414399107,62.111770843146886,D,D,-122.64421058526345,45.84079411445633,0
No,Heterosexual,B,-50.42183745753922,B,B,-86.54332212184886,5.577475956500808,C,B,-272.0025096362404,-46.75576309111067,0
Yes,Bisexual,A,109.798106590142,A,D,112.0247850486762,44.6388072786339,A,C,-101.71162052548391,-156.28830946511988,0
Non-Veteran,Homosexual,C,-88.69060352547122,C,B,-151.88888646810008,-261.92505425064945,D,B,-133.47416026003236,-4.137521573525654,0
Veteran,Other,A,43.90502924721048,A,C,132.79460697289437,-75.73690728279443,C,C,-90.47210428195605,-27.495668522564653,0
No,Bisexual,C,-76.22620096188837,B,A,83.27134556217221,-2.5565638494932683,B,E,-133.08027604099865,-22.778575989524626,1
Yes,Bisexual,B,34.212251123689654,D,A,63.920678868958724,-117.02168485847328,D,C,178.4309917199038,-25.777527848490138,1
Non-Veteran,Homosexual,C,-46.30814216292689,D,E,152.61214818073648,-7.662305589834011,C,C,176.81480538602386,168.13724625287676,0
No,Bisexual,D,-154.9186646424043,B,C,-41.24044536555992,-40.54253383101865,B,B,-1.7669432687022837,-108.9715249229665,0
Veteran,Heterosexual,A,105.03421138499509,B,E,18.51844709352031,141.60298435536947,C,C,24.627674713112267,30.275290869399836,0
Non-Veteran,Homosexual,E,-84.54696231527858,B,B,-97.33431878992836,104.61062049503882,C,A,-147.40254673931238,-152.98321852433676,1
Non-Veteran,Bisexual,E,46.57693356165151,C,D,38.735338244041415,-33.454617502170265,D,A,-28.33341591893859,-296.8102404107822,1
Non-Veteran,Homosexual,D,-11.27569918721765,C,E,-109.5332515990475,-117.91572150831769,D,B,-170.32595562888707,-66.95103295408087,1
Non-Veteran,Homosexual,B,227.63492091867033,E,B,74.77860044303152,175.69144788709588,B,E,56.27257641806146,188.84775517208777,0
No,Homosexual,C,-21.632698922293127,C,B,44.180198222770734,24.200669217884915,E,B,-33.68379529249018,149.3444481533934,1
No,Heterosexual,B,191.0252358390918,D,A,-5.208975181987244,-51.719432029978165,D,D,80.92980989497059,25.96989176284123,0
No,Homosexual,B,169.32887496879837,D,A,-104.46774110011326,25.86795394415942,E,B,-80.51469952928791,18.481989190994565,0
Yes,Homosexual,A,-25.296465083478004,A,C,-60.305546451338934,-10.739087013427445,D,A,-76.04558177277333,72.87280508174912,0
No,Bisexual,A,30.771394521983353,B,B,9.479356787387148,5.616394600967214,D,E,-41.64035130494171,-55.988499275805324,1
Yes,Heterosexual,C,102.94516390528237,B,C,-13.18675201578049,-101.32326869129899,D,D,-125.85236351008098,167.83122225923242,1
Yes,Homosexual,C,-84.10884304814671,A,E,-78.20565151556515,-122.88688320400674,A,B,2.8075391805769656,-97.22052620738056,0
No,Heterosexual,A,-214.94194283272293,D,C,2.5950577359457805,40.12608033088157,D,C,136.21306751169493,-1.363033527262641,1
No,Other,A,-26.92259199358691,E,C,-139.03737042637633,-48.124292900289944,C,A,87.73597203608801,-75.76024961886182,1
Non-Veteran,Homosexual,D,-56.10807308402721,E,E,36.56204781253516,11.828451425316374,B,E,34.071414792729904,64.5856149767117,0
Non-Veteran,Bisexual,B,75.6713206513855,C,D,32.10868892448915,-62.120391261597376,D,C,-141.3677584702404,-93.36802378019817,1
Non-Veteran,Other,D,218.12069669553136,E,A,-143.1925019135722,6.893027425142704,C,C,-31.450962712465763,-71.40996180906599,1
Yes,Other,B,245.1058653087258,B,B,282.63387033236495,-63.95898711198744,B,A,56.26701452284016,16.236337156465854,1
Yes,Homosexual,C,-117.58387782885067,A,D,78.62908404116989,-98.53186230612101,D,E,-27.405428937864578,29.731896179495788,0
Veteran,Homosexual,B,71.45736732768631,E,A,-2.68875902838626,-29.955311223927893,B,B,74.78304802308281,7.362473287711892,0
Non-Veteran,Other,D,108.93438181620805,E,A,-197.46549163347348,-13.252874048152,E,E,20.313250045483002,-35.033372561797044,0
Veteran,Bisexual,D,62.31114309231227,C,C,-122.10395831258616,-26.96267821735161,A,C,-26.97691432760535,184.5100772579623,0
Yes,Heterosexual,B,-56.4447277153514,D,B,-146.5068010092759,105.15557557563888,A,D,105.95862375293106,48.39296974034635,1
No,Heterosexual,B,-37.01375140612889,D,D,146.6945105770617,-143.63121849336457,C,C,-53.90033000284694,8.669083514750746,1
No,Homosexual,B,44.269326731225014,E,D,77.2230909575725,-64.73415683769252,D,E,91.86938014678088,22.93976410117721,1
Veteran,Heterosexual,A,-96.76546430011831,C,B,153.31894636770232,194.2143537618493,E,A,-81.9769623299762,100.79755297898862,1
Non-Veteran,Heterosexual,D,-70.73596541221654,C,B,104.86057158391633,102.06378534612061,B,B,73.06287817513096,152.92662476055295,0
No,Bisexual,C,-65.18124348072625,D,A,16.284223939238224,-80.41668270514131,E,E,-31.575037407497458,-45.86471742137501,0
Yes,Homosexual,A,-22.831103945365726,E,E,47.12994019578268,64.43080282227275,A,A,145.03111705274605,88.50764205784513,0
No,Other,B,56.5318445133469,C,D,-126.68947652661906,69.68446440624496,A,B,-166.9190739694412,-149.3720816919982,1
Veteran,Bisexual,E,-11.615748389340961,A,E,189.3678751322357,-132.7667416195612,D,D,18.783464990437928,-67.79118050925574,0
Veteran,Heterosexual,E,101.31275091835039,C,D,84.69031750137023,-195.9397254463685,B,D,126.7098026391399,79.11335197884543,0
Yes,Bisexual,A,-122.6190022845144,A,C,-197.4712192912352,-15.464900139671661,A,C,13.939388862838136,-28.834911975091504,1
No,Homosexual,B,11.068755489744001,A,D,-111.38218375290994,10.630903696538931,B,C,-61.08340833840899,-98.01665648750085,0
Non-Veteran,Other,C,-101.14005014449742,D,A,-79.38927480592378,4.200568222199916,C,C,130.3217724776017,-32.167482623019936,1
Yes,Bisexual,D,15.51806137185491,E,B,-73.30555387914266,64.39548985184967,E,A,-5.4625031596603,-30.573156141955764,0
No,Other,A,204.7235974777992,D,B,-130.93695676106805,82.5373238402438,C,C,-102.26546821264304,112.57266404987018,0
Veteran,Other,C,126.88790806436505,B,A,111.03693042294044,21.386682866466796,D,E,-261.3610459191245,154.16942987849046,0
Non-Veteran,Homosexual,D,-65.0823445712779,C,A,-141.89985299828015,12.751640725828818,D,E,85.33100662321537,-21.603848706981566,0
Yes,Heterosexual,E,194.96853963348576,D,D,152.101605520161,-235.90794334103245,A,A,97.70549827913312,18.73930905919084,1
Veteran,Other,D,-65.8049929598568,E,C,-226.9920464160085,115.84434486393445,B,A,88.5773233678721,187.7973182050249,0
No,Homosexual,C,95.22475212044664,D,C,41.45570593270212,154.31484587968842,A,C,37.6830296546472,232.67669285608528,1
No,Bisexual,B,152.14739211398847,C,D,39.33633734293423,48.73667750985186,E,E,48.317072883227276,-137.6254608546586,1
Veteran,Bisexual,C,-42.92936392122929,B,B,-77.01015779778523,76.76433856364675,C,E,-103.60108657373013,30.642586897074693,1
Non-Veteran,Heterosexual,C,145.0560237589096,D,C,28.246630614597894,124.80795155061637,E,A,91.5185473686656,-107.32152069551226,1
Veteran,Bisexual,B,-75.86181074097216,A,D,-2.9268596026358678,78.42968297820427,C,C,79.35907045192057,-40.97151248914363,1
No,Other,D,159.1627483995842,D,E,-116.73803245314258,74.43303645781413,B,C,39.86963486954465,-168.52488510325958,1
Non-Veteran,Other,D,-107.53745862998952,B,A,-14.736518085383196,-316.434531571288,A,A,-74.52323665826232,-77.08655632346763,0
Yes,Other,E,-5.275945277736637,D,A,-6.90453003742322,112.38799943182556,E,E,-100.64171651883447,-228.1677218805223,1
Yes,Homosexual,E,14.87909999201848,E,E,-7.5417563731936035,-202.14984921821463,B,D,114.94911387771138,-198.00747985602848,0
Non-Veteran,Homosexual,D,-139.50373191627406,B,A,-228.99309338033623,47.56204212536093,C,D,-121.89285432883277,135.71720135185453,0
No,Homosexual,D,99.38186441799621,C,B,-90.92989976390895,108.66989332863426,B,C,179.77318988166877,-85.50811365307516,1
No,Heterosexual,B,-172.46974444194714,A,B,43.487718999107386,-47.14525878399456,D,B,-121.4386100157496,-10.102749528816675,0
No,Heterosexual,E,-135.01895286190157,C,E,-8.611120417535915,101.50449616487927,A,B,77.0583452518285,-181.56050505708495,1
Yes,Heterosexual,A,-33.707196859005094,E,C,-49.77925777241307,-82.03517093649278,E,C,-117.15186321736408,-44.299387630912605,0
No,Other,E,-25.714993625400197,D,C,4.825606195257337,-94.35562542890054,D,C,17.8002401773477,48.558815295919494,1
Veteran,Other,B,-17.844880026557135,E,A,-101.12682368119795,-139.04721296655123,B,B,82.35141643313744,38.18576570195312,1
Veteran,Heterosexual,B,11.663626182041188,C,D,-15.658150203887148,-46.30507740508184,C,E,-34.125785291887,-50.67586054257283,1
No,Bisexual,B,-22.71015689417309,A,C,72.60374127413729,285.00844097084257,A,A,61.46937580631773,60.74046211037859,0
Non-Veteran,Homosexual,E,48.1709147930868,C,E,14.00648224578144,159.2497539117179,A,D,-18.997885157233405,101.0460762953703,0
Non-Veteran,Homosexual,C,-182.63056207823973,C,A,64.1671668708029,-69.47081092819172,B,E,164.86870763222743,60.27360651913886,1
Non-Veteran,Bisexual,A,102.02225156978044,E,C,66.48313618113059,-29.474436219705208,B,A,-262.6660951597461,-132.98342130679103,1
Non-Veteran,Homosexual,A,-106.94012989896602,A,A,-17.91070577887383,-84.61340672430462,C,D,74.46610385996043,-2.993842042036739,0
No,Bisexual,A,79.88846265587243,D,E,-79.38828044291937,-145.48492470062996,E,B,90.93351335354888,-35.699564473696896,0
Non-Veteran,Bisexual,D,-87.93713879128502,D,E,111.99883941089493,27.204602774555358,A,A,-87.66679515950527,25.946250213565712,0
Veteran,Other,A,-138.11031339700185,E,A,-79.67299262989798,-97.93874743403141,A,D,33.74717049654645,-116.59381257249646,0
No,Homosexual,B,94.49420168201341,D,E,28.418103307271387,113.21483504049968,D,A,73.67031378842948,-15.291595539318713,0
Yes,Bisexual,C,25.199892058786272,B,C,17.28320402702795,97.46834563461668,B,C,-189.92126258704042,8.95214053286066,1
Yes,Other,D,23.115287445576666,E,B,-37.47138803729694,24.67703211621251,C,B,-12.59056844814015,-60.24613119848614,1
Veteran,Other,D,-151.29320726320938,C,E,131.52296682236297,-54.10698251085855,B,A,57.40855917437943,-104.56724770392162,0
No,Heterosexual,C,-27.257125157653345,B,A,-54.4188582094675,-51.46140300575489,B,B,-8.36812808862568,148.20835116352458,0
Yes,Other,E,50.89656953945864,C,A,54.61066509353707,40.66184526614965,A,B,72.98007271047699,105.38617469937212,0
Yes,Bisexual,E,71.41924122163769,A,E,21.276921261199753,-20.77841061374881,A,D,-87.10903203758798,-62.59164008629832,0
Veteran,Homosexual,B,-25.287427720207823,B,C,91.70434482378674,84.05125033940234,E,C,103.02774543640379,-83.3456561794008,0
Non-Veteran,Homosexual,A,198.75393746777442,C,D,25.16976762815421,-143.79435452196284,C,E,24.166928220394137,107.27826265868217,1
Non-Veteran,Homosexual,A,27.87114391548367,B,E,41.44351209814412,-59.227911446871005,D,D,95.31353347892767,45.61466709905516,1
Non-Veteran,Heterosexual,D,-161.48901944318987,B,E,-20.51852148394344,97.91719540793396,E,D,-106.35284810828556,-60.95143875079771,1
Yes,Homosexual,A,-148.50333618223155,D,A,-46.407309355811655,-98.91530846891476,B,C,-173.42771197467155,190.1626617502346,0
Yes,Bisexual,B,-39.97586665209309,E,B,16.446336946737,125.7977105341278,D,A,27.43889898101189,22.14362180751776,0
Non-Veteran,Other,A,-81.74831473409185,C,B,124.53875124730214,42.92810303518228,A,B,109.28053186930195,-31.04439402531752,0
No,Heterosexual,A,102.10692421213923,C,B,175.4921542495651,183.84450838378373,C,B,168.98412820052675,14.154834135223485,0
No,Bisexual,D,116.69371002093574,E,E,-87.62492103786997,-247.93159905212337,A,D,63.5444564753509,100.94516977401425,0
No,Bisexual,D,89.2665423159853,E,B,116.36764450896997,-102.99636975662625,A,A,-48.22290620211114,-81.19397497427916,1
Yes,Other,D,-46.16398437594531,A,C,-114.28554573828367,-92.89626656445309,C,B,-42.16826620820445,-8.633512546360073,0
Veteran,Other,C,10.421952149151911,A,B,-22.237362954970198,-97.6466315932114,E,C,-245.9322477835022,19.542541353695526,1
No,Bisexual,A,-86.25142459237016,B,E,148.24010332817207,116.89345448675272,E,D,100.41409189731989,-21.679544105880876,0
No,Heterosexual,A,178.18225888464275,B,B,39.23199202093662,-74.341729133807,A,D,-63.526795048425,58.1066507085223,1
Non-Veteran,Bisexual,A,113.73688241599638,D,E,-7.540382732708747,-83.48410284409225,E,E,20.825382483022036,81.01212259195873,1
No,Bisexual,D,73.14768837335734,B,D,-134.41261162343602,58.46978649944769,A,D,77.25837252382331,167.30382671175053,0
No,Heterosexual,E,32.93091992871255,B,E,76.2508521636849,142.23521978661475,E,C,-159.02020869461745,-76.66107551875363,1
Veteran,Bisexual,B,-41.58577191519674,E,A,1.595020186260157,54.18052596137654,E,D,-85.38970376925421,40.13886944702196,1
No,Homosexual,D,-209.4464151957218,E,C,-12.598303678835542,-55.01198210951258,A,C,-124.4527705646557,-55.8588322807602,1
Yes,Other,D,1.3724004395788847,C,B,25.877487347565403,-62.517099946787546,B,B,-37.55929342229539,-20.23086096252658,0
No,Other,E,1.4861676618615103,D,A,-97.42396963039592,-17.194444428014602,B,A,22.461426137011753,-95.56754466363778,1
No,Other,B,-1.54902560109941,B,C,-54.76818550768693,20.966523324087255,B,C,-81.7748488103973,-96.65784824069739,0
Non-Veteran,Homosexual,C,-47.38111867101325,A,A,-59.62007574154213,-26.434705749391263,C,A,20.005816309588905,154.00844939934078,1
Yes,Bisexual,D,-104.39293047331917,C,E,-91.97192110130098,197.10887204568158,D,D,-54.29087775819414,-109.54686095513833,1
Non-Veteran,Bisexual,A,36.62156408245598,C,D,39.49327678395909,-10.701281276201252,C,E,32.94979305411942,17.013745841180892,0
Non-Veteran,Other,A,86.51124832360073,A,D,-37.89710171222475,26.480035100787312,B,D,120.22014738528044,-29.989312567630975,1
Veteran,Homosexual,D,-52.811875555226216,B,E,37.63378725908775,-30.714992295464267,B,D,-44.05577100988633,62.06148489966048,1
No,Homosexual,D,130.09845425901588,C,D,-103.92856881868249,46.4573787237118,B,D,188.00307223339618,15.361056889013394,0
Veteran,Homosexual,D,-103.64698289283506,C,D,-43.75069542197403,-38.67486808842195,D,D,-7.709858403285528,98.86725687172363,1
No,Homosexual,A,133.0823711268567,C,E,-59.7363115316268,175.4562187377409,C,A,-28.53393256449854,-222.9648148263174,1
Non-Veteran,Other,C,-58.725972828535724,E,B,-117.51539297159393,88.28719568849026,E,E,198.33631795551278,-51.306968495527336,0
Non-Veteran,Heterosexual,C,-8.534340940130813,D,E,-7.895786341297109,-43.153463117147176,E,C,-232.54338089946592,163.15384823466584,0
Veteran,Heterosexual,A,-32.539996792372236,B,A,119.66127574542946,138.35646531066652,B,A,-194.49751819581013,-38.72228129086796,0
No,Homosexual,C,56.70975674180598,D,C,-147.2536250288274,20.84911799116567,C,A,-109.20637928047805,24.461253361035997,1
No,Bisexual,E,-54.58635489724807,C,E,43.306453736679416,-155.63072948894072,D,A,-58.37487099408728,-66.74179364510641,0
Non-Veteran,Other,B,-125.2181816347719,B,A,-162.1444042925696,37.29812056953771,C,B,-19.853381961861906,-8.659735703203166,0
Yes,Heterosexual,C,-138.98405720338786,B,E,-148.3471539063854,-107.35312774381912,C,A,-177.08051762107684,-30.555945689560954,0
Non-Veteran,Other,E,16.588471283113364,A,D,101.16128834915472,176.5227966815524,E,B,18.449844323916043,-204.25020784860072,0
Yes,Homosexual,B,33.011728134972536,B,A,-146.87786318058858,137.65584106735943,D,C,66.05225469978566,-139.18499291207132,0
Veteran,Heterosexual,A,47.776131456848276,C,B,-148.85024457195377,-160.93906759011801,B,B,-70.03277088966799,-120.73197421222086,0
No,Other,A,3.5136016722724657,E,A,37.99800050680306,95.38440702513626,B,A,79.17128863466468,147.99053407905538,1
Non-Veteran,Homosexual,D,7.7320054622896155,C,E,127.30139409704171,-90.66240987410663,D,A,-29.420124148451215,165.87069141181433,1
Non-Veteran,Heterosexual,B,-68.97974696205888,A,C,-128.65972502390787,-120.4598760879262,B,E,25.925914862906417,69.51371828222155,0
Veteran,Heterosexual,B,-16.194694296560723,C,A,-82.33314729999964,123.54193642434612,D,D,52.0582421833748,-97.15326056482655,0
Veteran,Heterosexual,B,-125.71655376381537,C,B,81.3657121171349,-40.58432343816973,D,E,130.13520484063218,43.44009338837447,0
Yes,Heterosexual,B,-152.2320965119481,E,A,-68.6722078703932,-67.94721329361624,B,C,-92.79624345254177,117.92376918489896,0
No,Heterosexual,A,-11.023693716458242,D,E,-12.02961094377613,-83.55508947970736,A,C,8.314185686749678,-29.267039293981316,0
Veteran,Other,B,69.49393146465981,C,E,-199.1208010210826,-97.57766143949495,A,C,123.4764510257126,9.077146850470342,1
Non-Veteran,Homosexual,D,43.59767820606036,A,D,-77.97546867466542,-193.24815121589438,D,D,-64.42968642561007,-10.062888223009466,1
Veteran,Other,C,36.358252430830944,C,E,40.04310688847639,-67.35719664960462,D,C,1.8676559251879294,-169.82833284654367,1
No,Homosexual,A,-36.507813815280905,C,D,1.842003177975994,74.01189952228152,B,D,85.67046928050296,19.114531088053994,1
Yes,Bisexual,D,117.35202338526301,B,D,69.71809015565393,19.225594926072308,A,B,29.271557947404826,-107.08503506347155,0
Yes,Heterosexual,D,-50.60900054169905,A,A,-37.63769389463732,116.06387416532749,E,A,-2.0868146372359333,-101.05782700299608,0
Veteran,Other,E,-28.221026086049218,C,E,178.59343209486408,-165.63288863386475,A,A,-126.99855027864868,7.101925349964223,0
Veteran,Other,D,19.318279732861736,A,A,-126.55016800714336,-96.66972094431144,C,A,61.12993320835529,-33.53736991377682,1
Non-Veteran,Other,D,105.84096658356093,D,B,66.9187929479382,151.10735235138623,C,E,115.00378809483442,110.34474795320533,0
No,Heterosexual,B,70.57819616955382,A,E,-99.11184185187693,-166.41982634599484,B,C,40.697680846854446,-37.14020149248748,0
Veteran,Homosexual,D,24.809419326399194,A,D,-132.88291331403542,112.94087420064689,B,D,-140.68769740806405,-68.94088228012616,1
Veteran,Other,C,2.4374283031920445,C,E,-74.78748841168475,133.8536040682929,C,A,80.45376778445689,-57.52421147373018,0
Veteran,Heterosexual,C,-200.04304993529806,B,C,10.409739414817434,1.772755551555243,B,E,43.17916103212863,61.91048199205035,0
Non-Veteran,Heterosexual,E,-35.896530214741794,D,A,15.867797656793526,56.44402906927696,D,B,-168.73042085531287,66.31880238650587,1
Veteran,Heterosexual,E,38.33890791148541,B,E,-138.96787498626105,-71.65224879181527,B,D,-163.1305523621252,52.800250532707715,0
Non-Veteran,Bisexual,A,-130.47786647113284,D,E,47.39719799640654,-84.77263562993697,C,B,-33.08471446243326,51.90511201649009,0
Yes,Other,D,-39.23286896801143,C,D,1.1090110416412817,-104.05465828118221,E,E,6.30706489931743,-241.64031349682637,1
Veteran,Other,A,-97.63227115884895,E,D,-54.26096944788172,180.96865602693487,A,E,-48.62361697520125,-37.99416888297865,1
Yes,Heterosexual,E,92.61420720941882,A,D,-88.87746469830068,7.101487159110231,B,C,147.120386249128,-51.10128866639907,0
No,Bisexual,C,-64.10694500473026,D,C,-47.55154341210663,-58.870026409700884,C,C,57.46095634520043,35.894508366184695,1
No,Homosexual,E,-150.93180845955632,E,B,67.89168487435184,43.6943954478826,C,C,-95.89907894761504,11.987641368786488,0
Non-Veteran,Homosexual,B,185.8936150084537,B,B,51.47490753235754,-161.92830062877644,E,D,35.27248768371092,-191.02880147201725,0
Veteran,Other,E,45.57409017318752,B,D,-5.254564059123696,39.6976909912261,A,A,-78.68530814729391,-39.47510077710134,0
No,Heterosexual,C,-26.180708854194034,D,C,141.6631603191977,-87.96936536265055,E,A,155.59447680568852,134.9432541459522,0
Yes,Homosexual,C,50.549504867311555,C,C,108.63332793886802,-59.2023263451513,D,D,10.577474451678759,24.008068654784253,1
Veteran,Other,E,26.597016891948083,D,D,-81.89859599665147,-5.0919142081198725,E,B,-193.5583395652531,-13.24860932457425,0
Yes,Heterosexual,E,-47.00540505692255,C,D,-61.00692235153728,197.4103317454898,D,A,-21.32572943207158,-66.83846743573656,1
Veteran,Homosexual,D,104.68214078209732,B,E,-166.68440380586168,191.40728256868726,A,A,31.302026640082314,89.51145399882977,0
Yes,Heterosexual,D,-51.038917268615,A,A,-33.8630453000168,-168.75802724269386,B,A,12.228934500075972,187.19921580618012,1
No,Heterosexual,A,-12.998109472661865,E,A,83.37566884714398,-12.91628435982187,D,A,-11.414904267858944,-77.80972123888114,1
Veteran,Homosexual,E,88.1033935003541,D,B,-79.06193692839582,-23.98885338623099,D,E,80.13778624123502,6.213274634340945,1
