disabled,sexual_orientation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Physical,Bisexual,Divorced,A,-38.02030835214359,C,91.7330881777471,C,A,29.243661261532633,40.726351920582424,D,89.41397719079578,B,C,D,A,-116.58165390592394,-41.765058382995484,C,1
Yes,Other,Widowed,C,4.3862590789379405,E,10.501495308734569,A,E,201.5854976501419,-103.74571134228765,B,-102.61782052337603,A,B,E,E,93.37889230305687,-77.48403123672685,B,0
Physical,Homosexual,Divorced,B,-75.29730878935254,C,-66.10179551274517,A,E,-102.13501191658028,-144.55049236808756,C,-107.97523828637729,A,E,E,D,-72.98879032529359,31.924878405808133,A,0
Yes,Homosexual,Married,E,-8.225347060169955,A,87.70837934422897,C,E,-72.79520801528245,-64.72616113828204,B,94.846367793474,C,B,A,A,-153.34132633422686,-117.42736067375586,D,1
Mental,Bisexual,Divorced,C,74.11563884737879,E,59.67073706207013,D,B,-109.17214630627934,-53.4917717719717,A,66.31888453591478,D,C,D,A,-55.25136509049094,48.145490836693796,B,1
None,Bisexual,Divorced,C,-104.39072707908923,C,21.539714103654962,B,C,31.864903297971132,123.35743612426695,C,-20.8169714526695,C,B,C,D,-123.651741682117,17.18503130696615,A,0
No,Homosexual,Married,E,73.07813807878836,E,-119.05966524800608,D,B,-130.08804893230817,61.575471305931785,A,-267.9656871327078,B,A,B,C,-158.73716006348386,-104.12326487886416,A,1
Yes,Homosexual,Divorced,C,39.940112094155886,D,144.7060730896967,E,B,-66.7457612804256,29.59214466688597,D,-130.05259866341132,D,A,A,B,-60.83800435927925,13.05678441509031,C,1
Yes,Bisexual,Married,D,-192.43563884699114,E,169.67187534519914,D,A,-33.288269938642536,60.67985683144175,E,27.93120319413805,B,B,B,C,-95.27965651675707,131.60371821898616,A,0
None,Homosexual,Married,E,-124.29803858013504,E,-129.90620063413547,E,D,108.83583613184742,-220.1515946649493,C,-29.439152234282883,E,C,B,A,-81.4142290864577,52.45913850938848,B,0
Mental,Bisexual,Widowed,A,-72.47249516626788,A,-25.082672083966674,E,A,74.57533950673016,-81.7302039570043,C,-6.50979985700169,A,D,E,D,-35.01592766803827,36.04905068720864,B,0
Yes,Other,Divorced,E,0.5037957466070865,C,229.04491615202107,C,B,-241.34889270942637,-46.10481694632276,B,-29.916239061156404,B,C,B,E,-133.38255093805213,32.883451497569986,E,1
Physical,Heterosexual,Widowed,E,28.691464808944772,A,93.09366638850527,A,E,197.5143663850923,-55.937403101945684,C,138.53800453412103,A,E,D,C,27.825658258952235,116.24554253028339,A,1
Mental,Heterosexual,Widowed,D,-118.26356060695092,E,125.24585497194332,B,D,-48.22324735097627,-31.3884794565001,D,-53.09984117007871,D,D,D,A,28.96441899841953,87.5249281205471,A,0
None,Heterosexual,Widowed,A,-6.168217116976661,E,36.86761231781371,D,D,-94.97903151905251,-87.15908575422328,D,-94.51132809449885,C,B,A,B,-21.943372376001413,-63.667954916433025,C,0
Physical,Other,Married,A,-62.15505977323965,C,73.83270414321905,D,E,124.04599451886178,92.49603377831268,A,-87.7410889457756,A,D,C,C,-34.990227220891065,-36.041661266469774,D,0
Mental,Heterosexual,Widowed,C,3.658691996779649,B,-96.40477312003179,E,A,-251.79203785635252,-143.4019276425926,E,-83.79935555207517,D,C,B,B,-12.555287618698152,-90.26523232599871,A,0
No,Homosexual,Married,B,10.64212554087418,C,47.741354088606606,B,E,-66.2877785210585,77.85876271534312,A,-235.77266794151552,B,C,E,D,-151.10263492055208,57.5939626381032,D,1
No,Heterosexual,Married,D,17.948553587552833,B,22.326579094236653,C,D,195.49271172346215,-9.22091816370782,C,-89.11793825896804,D,B,D,D,-97.65564712419327,-58.11263103187466,D,0
No,Bisexual,Divorced,A,52.36038147045241,B,-234.24845780444693,A,C,178.77940238530664,-36.05042736303053,D,83.60542591266828,C,E,A,C,-95.25423678387713,10.896820504242516,A,1
Physical,Homosexual,Single,E,-25.63708688257836,D,-53.02063771394371,D,A,90.118036933914,-15.808624806343433,E,-129.7913570960581,A,D,B,C,-46.38285873955637,141.78529247467335,A,0
Mental,Heterosexual,Married,D,-109.51033127519463,A,12.694794945933257,B,C,-114.17547498969746,-86.90819636794086,C,107.30947230755845,A,E,E,C,89.41108534163574,119.01823354751473,B,0
None,Bisexual,Divorced,D,133.7108050908445,E,22.08087095962869,D,B,96.52216098415954,23.10580015520966,D,-12.291996968235944,E,D,A,A,123.046809013965,-81.04928941300055,C,0
No,Homosexual,Divorced,A,44.202328775234896,D,-76.05993276574914,B,E,-114.86403295703502,47.51687949002286,D,6.633964120124563,B,E,C,D,48.887134879779296,-32.183806930961744,B,1
None,Bisexual,Single,E,-75.2148322046777,E,-96.72055706403313,A,E,-18.015797918535043,186.54423962759142,A,17.543571864918437,A,A,E,C,-66.84358224876229,-69.82288530339822,A,0
Both,Homosexual,Married,B,-157.08301446622144,E,-5.559997215438124,B,D,34.7269206813735,-138.57147261603987,B,255.67840206840282,C,D,C,C,-5.048903915498462,81.74173770794243,D,1
No,Homosexual,Widowed,A,128.7082553339044,B,156.0906124785737,C,D,270.3145615652895,85.12414121149703,C,-28.14888276160244,D,C,A,E,-47.062826281144424,7.74778695476509,D,1
No,Heterosexual,Divorced,C,5.833816223682084,E,4.842927772493963,A,A,49.19582069709511,-98.0914818584881,C,-32.26511576423186,E,A,C,E,115.9423039030376,199.12939568478734,E,0
Mental,Bisexual,Divorced,E,-327.09424262073156,B,-47.70322541529524,E,C,38.27665228810874,173.02574528384878,C,-87.30794990487087,A,B,B,E,40.340167124675276,-98.59537334995785,D,1
Mental,Other,Single,C,-151.73455936067228,E,-146.32118682663295,B,A,-5.4384986098647605,-79.51563071831396,C,-61.0881545724027,A,D,B,B,150.96751978593431,-48.10723952044381,D,1
No,Homosexual,Married,D,-77.56522863596848,A,187.78004932499064,D,A,17.917208321508205,70.72820171498864,E,-107.92821509736088,D,D,B,C,-36.73562587753539,87.82321734761607,E,0
Yes,Homosexual,Single,B,92.87898979606585,A,-39.729016125828934,C,D,-97.27443362219498,-67.21004766758125,B,82.63334965126901,A,E,A,D,46.475055610195945,-94.65626974883092,D,1
Both,Other,Married,C,32.839645806131344,A,-88.18015885000594,E,E,-145.18784878386762,137.22087486943963,C,-29.268311771153048,E,B,C,B,-77.87422212656102,2.593369920353798,B,0
Both,Other,Widowed,B,80.0969691812191,E,-119.11380050631395,A,E,-117.27259399779908,-41.58829715799837,B,-24.540459368493693,C,A,C,D,-1.3221872935806829,-113.51536782405293,B,1
Physical,Homosexual,Divorced,E,80.25620625172641,E,64.94942812296455,A,B,-16.10249606485315,49.094842910259715,E,-118.84168692325616,A,E,E,D,-56.1249000257966,125.59625354708261,E,0
No,Homosexual,Single,B,202.45698283163534,B,33.378299402219966,B,C,-34.02404688674962,22.838705605524943,B,-58.504218356702275,B,A,D,E,14.995800104234917,75.60338929619263,A,1
Both,Bisexual,Divorced,E,111.71390149428902,E,73.19872521987786,B,E,86.44790889049996,61.09589388534011,E,-88.05811771893485,E,D,A,E,6.3624900927880255,43.75436746154098,B,0
Physical,Bisexual,Married,A,117.72901627915888,B,106.33850577009878,A,C,-14.13029301827144,-50.86991930229563,B,32.48173612000622,C,E,C,A,92.29328642631674,51.95119684241563,B,1
None,Homosexual,Widowed,D,375.997037203741,E,-60.501702861400716,C,B,-42.820175404013604,191.74417611191183,D,63.55592842580108,B,A,D,D,-25.319387623170215,35.28171997370585,C,0
None,Bisexual,Widowed,A,-78.77775272352645,A,-18.828403595756622,D,E,-99.65754186264417,-117.88914927298082,C,97.72952844102258,B,D,A,E,115.31416007249442,-123.80483172846728,D,0
None,Homosexual,Single,D,65.45270990018676,A,-16.283259955473806,E,D,66.10379161547095,67.7903729728696,E,110.09339637568789,D,C,A,A,38.1313481675114,77.36030002963878,A,0
No,Heterosexual,Widowed,B,166.91988397996326,B,41.891808590573916,E,C,-30.291798395731707,60.76896282929265,E,-74.24325250994978,B,E,A,B,-28.293710429377178,-44.926474771026356,D,1
Mental,Bisexual,Widowed,B,95.33138685656019,B,-27.521225870674876,A,B,-54.19221192663808,-36.91185607286651,E,-132.4034615789988,A,B,D,A,38.93294101110887,-134.84615527587053,C,1
No,Bisexual,Married,C,-112.36089734181598,B,97.76496238818135,A,C,-53.737808323309736,-190.39765846275023,E,103.04040634778515,C,E,A,D,-137.995156891435,-0.943250601609074,B,0
None,Heterosexual,Single,C,42.86446382700917,C,115.34676214982198,C,B,-29.010793557784385,165.33707249875624,D,8.747729189951697,B,D,A,C,158.90775904192787,29.97839487773947,D,0
Yes,Heterosexual,Married,A,56.481319915052374,A,-130.63744140789484,A,E,-97.10184366101535,211.43160553731505,B,17.47231033119409,E,A,B,B,49.54093325491508,-122.15173850181064,A,0
No,Bisexual,Widowed,A,-173.0754173740004,E,2.3123125611272064,B,C,-96.10466913471984,132.0085658405079,A,14.810011358379075,D,A,D,A,42.52079156378464,-137.3613690710523,E,1
Physical,Homosexual,Married,A,73.50660499105548,E,15.116697271584828,C,D,41.3229301062327,-116.21434371274431,D,61.01573360213717,D,A,C,B,99.610857174181,-83.33033883682276,D,0
Mental,Bisexual,Divorced,C,56.58682663631009,B,-95.11035081408669,D,E,-57.275000053002636,62.487114529401545,D,-96.43096462876078,A,C,C,D,-32.61637095501011,-27.1782357782961,A,0
Yes,Homosexual,Widowed,B,107.55626796200626,E,-160.09964795100132,A,B,-37.444445055918216,-82.09096803631769,C,-15.48760211698811,A,E,C,A,-192.4938220013486,-53.834125796280276,C,1
Both,Heterosexual,Married,C,-112.32752569380384,D,-53.48484808969965,B,D,-16.758727042756156,-159.85585562916356,C,-82.01962539631863,A,C,A,E,287.16005139919474,4.039410657537312,E,1
No,Bisexual,Single,C,-185.47387075188726,C,-166.0768720885873,D,C,10.883229762517063,72.20295239485218,B,44.93082100832581,E,A,E,E,-88.28855650090426,-152.80628470777154,D,1
None,Heterosexual,Divorced,A,13.431549763252775,D,11.115555232634648,C,C,85.38432808591298,-6.632696646440301,C,12.151891111855669,B,A,D,A,171.14725093766603,5.475265161144162,C,1
Both,Other,Married,E,-98.86977272613903,B,198.66617481570339,D,B,78.40604931703992,204.52384307203505,E,-9.619631415431712,C,E,B,D,-55.98541413503247,39.54300263908028,E,0
Physical,Heterosexual,Married,A,-70.9249692574956,C,-158.5431359319198,A,D,-18.525553347943564,-55.390193744321614,B,91.77909499557518,B,D,C,E,37.085937387593056,0.402615764014067,D,1
None,Heterosexual,Divorced,B,-21.15231271622246,E,98.89083766532093,B,D,22.188343534316303,35.811417727207505,C,38.29491592068006,D,D,B,B,-40.80009709452865,179.41464920114757,A,0
None,Heterosexual,Divorced,D,-48.68843597523133,D,141.1286366545675,D,C,140.0935662045589,77.71084795515306,D,-80.65794205838135,B,C,D,B,99.57449080118683,11.309144315367787,C,1
Mental,Other,Married,B,-28.99107805342469,B,118.83725954158422,D,B,35.38318646495066,131.31431187405627,A,25.909485013428995,A,C,C,E,89.92412118840218,28.00983265783641,A,0
Both,Homosexual,Divorced,C,-52.922640249736254,B,-36.021412285729,E,B,222.45517188469628,-55.304522542005316,D,6.415751446032142,A,D,E,C,-117.08453663388599,199.7021426369553,D,0
Both,Heterosexual,Widowed,D,-403.91027407229086,B,176.06580220709105,E,C,-22.75432852941458,12.439176252347135,E,-83.14165946535347,A,B,C,A,-87.71442383077746,-22.094663067765648,B,0
Yes,Homosexual,Single,C,-70.9564645541736,B,47.670506284301425,A,A,-19.851005775349957,163.32629227891695,D,-92.90695509225611,C,C,C,A,-61.87165629727001,44.49950133911432,B,0
Both,Bisexual,Married,C,-73.87315242542395,B,15.205671414555761,B,C,-40.5599691744539,105.75572347652802,E,11.542774505843829,D,B,A,E,-46.54031925842412,-94.20919573704678,E,0
None,Other,Married,B,75.56946360962532,D,11.880155510654193,B,C,102.96441281370525,123.83748712637805,D,70.99481075051739,B,C,C,A,108.79275456987276,-24.58140399468208,C,1
None,Heterosexual,Single,C,-32.39783593134709,A,-91.19212356245062,A,E,-2.885518067973052,116.03430837742768,C,-46.17905377517401,E,B,B,B,36.030071044879,-105.96608175364895,B,1
No,Bisexual,Married,E,-114.97899097497361,E,-206.26927484092334,D,D,-68.53223415554804,-3.1267372720093256,A,-20.160557608408816,B,C,E,D,-34.84017017685828,-168.7355707959429,A,1
None,Bisexual,Single,B,-88.58327787763245,A,-34.245756982442806,A,C,-122.8386494529542,139.41369071744717,A,40.0631455474569,E,E,C,D,112.35016024345195,129.7170703253537,D,1
Mental,Heterosexual,Widowed,A,-130.0539916664255,C,-76.55847125055676,B,C,45.27401346830552,13.411722278163396,B,-112.95804907453896,C,C,B,A,11.951053567692492,193.73564100139797,A,0
Physical,Heterosexual,Single,E,-48.70876669962193,E,-96.34869932347051,C,B,56.368245699722465,7.739439250626809,D,93.97322265507843,D,E,A,E,-114.51507309725105,108.5220582217074,C,0
No,Heterosexual,Single,C,-24.376175180996338,B,80.32615158330158,B,C,-174.9723658644216,11.86956599232009,D,-65.29186587625601,A,B,A,C,163.70343687750517,73.69364005408508,A,0
Yes,Homosexual,Married,C,118.87951767693781,E,-114.22088549500586,B,C,-112.35082962099665,-35.95860675893502,D,-25.562981674422396,D,D,B,A,33.357578071101194,45.05346137570746,C,1
None,Homosexual,Single,B,-6.0314396236401775,B,134.20963323968803,D,C,71.64333141386649,-90.04672334879608,C,-59.83435295360358,A,B,E,D,-96.54059516640785,-55.19820312754914,E,0
Physical,Other,Single,E,-68.27074210724871,E,-17.65971129972151,E,C,-182.87120210489502,-122.79438790164446,C,259.73713295196706,E,A,D,E,-23.444389375695224,52.95571499435937,E,1
None,Homosexual,Widowed,B,-26.614299333152292,E,79.19590915990088,B,C,-254.18650169064517,31.179975983982285,D,179.34329350172177,B,A,B,D,-4.5595021580341015,50.191080797390406,E,1
Yes,Other,Divorced,D,22.578949669329873,A,-197.89853310439713,B,C,18.83518652217603,-5.513626884987106,D,-84.1560496786866,D,E,A,C,106.37379532054416,6.069965629558523,A,0
Yes,Other,Married,C,-11.182411898586054,A,47.25002280707018,A,D,136.0636348254231,-56.070609851394295,B,-202.41709678053545,E,A,A,C,229.67686914615925,16.64963054640833,D,0
None,Heterosexual,Single,C,-139.8312764552881,C,104.30329628738978,A,C,95.44249133393153,-83.61352731557507,E,204.63604552986664,C,E,B,C,110.82457801886785,76.68557446664714,D,0
Mental,Bisexual,Divorced,B,-237.74679057191923,E,-88.61469644793529,D,E,-116.25173102639216,-111.77630915659915,B,22.92392029658241,B,C,C,C,-81.07835945671292,136.48226618126193,D,1
None,Heterosexual,Single,A,15.785256317502917,C,126.69853764932213,A,A,5.617524179382418,-56.59095132645705,B,31.124832655720112,C,C,C,B,90.07393067233656,-20.345928516218766,A,1
None,Bisexual,Married,B,-92.67149897403199,C,-115.89393171989002,C,E,-225.54407256139086,-158.02678301842664,B,-84.83858275337795,D,E,B,D,-48.029072910959805,-50.02263212545309,B,1
Both,Bisexual,Divorced,E,-68.41982215778691,B,55.81537828587607,D,E,-173.4558005922391,18.396365185350575,D,-80.05465071220809,C,D,A,E,120.77310137181267,-58.29595894298385,C,1
Physical,Other,Widowed,D,-116.59211688902235,E,131.72481753844488,C,B,25.35465080530443,0.9577746770900283,B,41.94366930350903,D,D,E,C,59.07250574802752,115.99319541460171,D,0
Physical,Homosexual,Married,B,-106.45837711173363,A,-70.37146943123696,A,E,130.94888495568563,67.24121815238266,A,14.547980373200128,E,C,C,D,-96.65928703589424,-32.72681574660081,B,1
Physical,Other,Married,D,29.002416723448967,A,161.07808091262342,C,E,-57.00918960737733,-181.5071060239978,A,-68.77498083859804,E,B,C,C,-160.7239051908428,-213.23161402195709,B,1
No,Bisexual,Married,A,61.64458598561191,E,44.99105969391221,A,C,120.33857914056563,14.155650242147397,B,124.27325966276268,B,E,E,A,32.91304279384621,189.46321363036483,E,1
No,Bisexual,Single,D,-3.7533043193909674,D,6.242221782866461,C,C,-189.23101288947205,-107.0289606373894,C,-87.28458080397773,D,D,E,C,49.92065435471913,132.24953342883617,D,1
None,Other,Widowed,D,-36.101442032256266,D,71.74046579730276,D,D,-29.452112265570335,17.753885433740596,B,100.9651990513593,A,C,B,C,216.76778719410584,78.25031740501545,A,1
Both,Bisexual,Married,C,-76.06837121991423,C,158.8266450545513,C,E,9.399990510976634,-119.52464463783814,A,-23.761559878652427,E,D,D,B,-175.59020878430937,-82.92607467451035,C,1
None,Other,Married,A,-176.9619067992356,E,178.2912707339249,C,D,-81.41060739146836,90.86709021072011,D,-11.92265182302479,D,C,D,A,-19.256937518500852,-69.47996629427561,C,0
No,Homosexual,Single,A,59.99266638656975,C,99.56203034418229,E,C,66.79911318073536,-69.19448934167023,C,-114.18044748251783,B,E,E,A,53.87338688594002,-168.37391433574533,A,1
Both,Homosexual,Single,A,-212.41340430572012,C,51.638613293918645,E,D,-160.22215962779396,-93.79610816330619,D,-2.668247494145024,B,D,A,E,93.74571748110733,117.33306518864359,E,1
Physical,Homosexual,Divorced,B,111.00782647094225,E,-14.7505253382746,B,B,96.75668595296042,196.64413660531554,E,-125.03368237268802,B,E,A,C,63.57620353339384,-6.696700781849815,D,1
Both,Bisexual,Married,D,59.16907607766135,B,20.899688413132754,C,E,214.45658964190656,23.484515539744955,D,-46.215919641144055,D,E,B,E,48.364147024994566,-51.596396389254636,C,0
None,Heterosexual,Married,C,32.16579148277828,B,36.68379706042484,B,E,136.1005887886324,318.9844681618655,E,49.11555768207062,A,C,D,E,-42.754262547261156,-55.48070671707994,C,1
No,Heterosexual,Married,E,-84.25489079199286,B,-266.4115982920438,B,B,-59.0249692221314,-5.91489411095383,A,50.48906143407281,E,B,D,D,-50.851437919292366,-142.77307517702062,A,1
Physical,Heterosexual,Married,D,3.736048770850998,E,43.193956509246576,C,A,-58.46987425329393,-158.23735655086173,B,-62.55805938674533,B,A,C,C,-15.93800690055607,40.853685712170666,B,0
Both,Bisexual,Divorced,E,1.3009313672150171,D,-80.86721051507818,B,A,104.26748889093473,-54.80815860082541,C,147.13087501979268,B,D,E,E,-93.71184029806876,-17.157957471038543,B,1
None,Heterosexual,Single,A,13.316328110677844,E,-190.41609031295513,C,A,-14.286847770660307,-51.24711231230336,D,137.65307228134103,A,B,D,E,-78.96689701645562,-23.786583691140105,E,1
Yes,Bisexual,Married,A,-17.962655518674996,A,-61.406415501333726,E,C,113.38655406330531,46.59375821936941,A,47.005823675786964,A,B,A,A,173.63539805911537,19.966737918125077,C,1
Physical,Homosexual,Widowed,A,103.3030583190464,E,95.34946939894581,D,A,-98.18009657392078,3.0644041663219745,E,-104.06234235519965,C,C,D,A,18.160329613945215,70.57304991558911,D,1
None,Other,Widowed,C,-46.24663088099397,B,198.56227380596238,C,D,-0.5799465724772753,-112.86286080911611,A,-23.11705307927468,E,E,E,D,-38.293607834425366,140.42322501514414,A,0
Yes,Bisexual,Married,C,-56.21684048021013,B,273.12621148635026,E,D,119.7810208303508,39.3433148566411,A,140.37861027804485,E,B,C,A,-106.61336021529628,-37.39883646489075,C,0
None,Bisexual,Single,C,69.39542183675276,A,-10.116143787590627,C,C,-64.18481178022486,143.89711997672094,E,52.42114735293028,E,D,C,B,120.41797856712732,-32.18788554318629,B,1
No,Heterosexual,Divorced,E,-122.2130496834089,D,-2.023041432752154,C,C,-72.5972082185781,182.34585304107586,C,-10.649779797903966,D,C,E,A,45.329883993598386,59.2975472542803,B,1
Mental,Bisexual,Divorced,D,-10.507533829583505,E,-7.998586260046962,A,D,-6.489511327305884,80.52754547617333,B,26.6869756563291,D,D,C,E,-79.73813293148065,-100.11324373753003,D,1
No,Heterosexual,Single,E,29.590011486432605,B,206.62539905965156,D,A,206.60438324478338,70.29811892748555,E,113.19567297240087,C,A,A,A,-12.421218007427266,-199.78918620646706,C,1
Yes,Bisexual,Divorced,B,-135.23387799770887,D,-141.65141674769734,C,A,-176.24096114058668,148.6234431224103,E,12.171018014533027,E,B,B,D,33.88753945335281,19.605913466937096,D,1
None,Bisexual,Married,C,22.490422206406606,E,-137.22696451671544,A,B,-1.0186135112897143,49.517966675258855,C,10.011258505371018,E,A,E,A,21.423012168152393,37.3626334088512,C,1
Physical,Heterosexual,Widowed,D,209.3140922577967,A,12.607590826692949,C,B,27.05945044305325,114.55200975402855,D,76.5271002331441,A,B,D,A,-149.57466452469916,-36.199420175896954,E,1
Physical,Bisexual,Divorced,E,126.58014070121557,B,85.1029133666519,C,C,48.89911334006049,-86.52999577371533,E,-86.53588018566052,B,B,D,C,247.65199328050542,-89.71729173171013,C,0
No,Bisexual,Married,C,-146.7471240324619,B,-315.55037128729697,A,B,-157.00271249960468,3.4504405586241016,B,-67.72826562899068,C,B,C,B,80.13681434007448,-94.24522569438099,A,0
Both,Heterosexual,Widowed,B,-62.35978559712768,A,50.08909237321701,A,B,203.05387038134091,209.6998748458581,E,26.260846089404726,B,A,D,B,140.81025062918116,173.64712895960605,C,0
None,Heterosexual,Married,B,21.000698452940227,E,-31.96506966848688,E,E,106.73511845424564,158.46394660380977,E,175.78358415224181,C,B,A,B,-90.78979262556545,55.198836413658235,D,1
Yes,Bisexual,Divorced,B,-74.89147705201634,D,-29.898309665497045,B,B,-165.30190862047158,70.9225915104798,C,19.788175678898167,E,B,D,B,-121.28547399031,71.64808358046744,D,0
None,Other,Married,B,121.30585363200265,A,-109.5657029482995,A,A,82.6966459868371,-39.83410263413648,A,-10.351980278821035,D,D,A,E,-11.003985336439086,36.75057825423413,D,1
Mental,Other,Single,A,27.691248254214873,A,-28.34541077941719,A,A,9.636609648400748,70.00021437229091,B,85.20745125766045,D,A,B,C,-68.65446807878973,-61.344521461203314,B,1
Both,Homosexual,Single,A,68.64614121515842,B,-74.50735166539476,C,C,56.816483212331484,84.45593911209168,E,21.69958041884751,B,C,E,C,-111.68314888097497,248.2233575091025,A,0
None,Homosexual,Widowed,C,141.97626854652128,A,126.68276381856667,E,A,177.10994851790272,9.341348801927484,B,57.41829685594047,C,E,E,C,16.491502075954934,183.65678109556103,C,1
Physical,Heterosexual,Widowed,C,3.2271193142834,D,-112.3468860675479,D,E,-6.578405599354277,350.2342865265493,E,48.988346977640695,C,A,D,C,-57.753992133467435,98.91099985037152,C,0
