Veteran,Nationality,orientation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Non-Veteran,China,Other,26-35,E,C,-37.74610730291475,E,E,-125.40997944947361,0
No,Mexico,Homosexual,51-65,C,E,-144.51219709943018,C,E,-31.419361725222807,0
Non-Veteran,UK,Homosexual,51-65,B,A,-222.97492010153636,A,D,-70.71574580879584,1
No,UK,Heterosexual,51-65,D,E,35.440584053035415,E,E,29.924556952268887,1
Yes,India,Heterosexual,26-35,B,D,-69.49350080719003,E,D,-73.33969718192984,1
Non-Veteran,Other,Bisexual,36-50,B,E,159.46683391039548,D,D,291.5154225833405,0
Yes,Other,Bisexual,36-50,E,B,112.45787911640161,B,A,168.53876469200512,0
Veteran,US,Heterosexual,26-35,E,D,-17.995740119772798,D,E,-39.54062311543066,0
Veteran,US,Bisexual,36-50,D,D,146.89263320593005,C,B,-23.097622667140485,0
No,Mexico,Other,65+,C,B,35.3400496634187,A,D,73.66101554984552,1
Veteran,Mexico,Heterosexual,18-25,B,B,-108.56337856336842,D,E,-10.95845038716857,0
Yes,Brazil,Heterosexual,18-25,B,A,-6.067279155598257,C,C,79.07022494846146,0
Veteran,Germany,Heterosexual,18-25,D,A,57.796272704664,C,C,-115.0968999018325,0
Yes,US,Other,51-65,A,B,69.02985658010891,D,D,-97.11497353289192,0
No,China,Other,36-50,B,A,-43.584087906212794,E,D,-242.61296288446275,1
Yes,Other,Heterosexual,65+,D,B,-47.28110824249249,B,C,-1.2619690300637354,0
No,China,Homosexual,26-35,C,C,-10.050575843302436,D,E,78.23186114061775,0
Non-Veteran,Germany,Bisexual,36-50,B,D,-0.6103973455726047,A,E,-73.06827446128388,1
Yes,China,Heterosexual,51-65,A,E,-9.506419409235292,E,A,69.2482936144611,0
No,China,Homosexual,18-25,D,B,-115.19765611361493,E,A,-83.69283408742719,1
Non-Veteran,Brazil,Homosexual,36-50,D,D,-7.78599251595517,E,D,52.19197677356476,0
No,Germany,Bisexual,65+,A,E,10.952307926151313,C,D,14.36620413219628,0
Non-Veteran,UK,Heterosexual,65+,D,E,-77.03794700860054,C,C,150.83535129378362,0
No,UK,Heterosexual,65+,A,C,-8.002810625338006,E,C,236.04833131721114,1
Yes,Germany,Heterosexual,26-35,A,B,71.41700574094315,C,B,-30.542756504023234,0
Non-Veteran,Other,Homosexual,18-25,A,D,-26.241394714936796,B,E,156.87650936379958,1
No,Other,Bisexual,65+,C,B,-339.51748690713544,B,C,110.11279992988183,1
Non-Veteran,US,Heterosexual,51-65,B,C,50.296870734063184,C,B,-23.53752559405201,0
No,India,Other,18-25,A,E,-40.955693972742495,C,B,-129.2598001832426,0
Veteran,UK,Heterosexual,51-65,A,D,39.32528315513083,C,C,56.36805017662312,1
Non-Veteran,India,Bisexual,51-65,A,E,62.98016872863482,A,B,216.4017093157529,0
No,China,Other,18-25,C,D,31.76283428642071,E,B,29.74383493638875,0
Yes,Other,Heterosexual,18-25,A,C,132.9628380568874,A,C,-83.0784850230099,1
Veteran,Mexico,Bisexual,26-35,E,A,15.840607454231554,C,C,-31.024242488129605,1
Non-Veteran,Germany,Other,36-50,E,E,-180.25501132759405,A,D,54.972237805099574,0
Yes,UK,Other,36-50,E,B,22.390857330964103,B,C,-195.81157356241425,1
Non-Veteran,Other,Homosexual,26-35,D,C,188.71026071144465,A,B,-204.17598046705794,1
Non-Veteran,Other,Other,51-65,C,E,-56.78019168441028,A,A,-110.86275752715665,1
Non-Veteran,India,Other,26-35,C,D,-94.08198589733583,D,E,34.07122069288537,1
Non-Veteran,Mexico,Bisexual,65+,E,E,73.38937527170997,D,A,50.236161861444906,1
No,UK,Other,36-50,C,A,26.194481522276757,A,E,-51.20147497025348,0
Yes,US,Heterosexual,65+,C,B,121.59446586564717,D,A,48.21730850865686,0
No,India,Homosexual,18-25,E,B,52.882225509088634,A,C,-53.09781267784258,0
No,UK,Heterosexual,26-35,E,A,2.2254758315784695,E,D,109.73963926187547,1
Yes,UK,Bisexual,36-50,B,C,-92.62884260055974,E,B,-13.039266950263805,0
Yes,Mexico,Heterosexual,18-25,C,C,-107.4661235857051,B,D,41.33220735606342,0
Veteran,UK,Homosexual,18-25,A,E,96.69109659289973,D,C,-21.67907025163251,0
Veteran,UK,Heterosexual,26-35,C,E,143.6845024110405,C,B,-50.40578576169956,1
No,Mexico,Bisexual,36-50,E,B,99.51155509330239,D,D,149.9558994149214,0
No,Brazil,Heterosexual,65+,C,D,-14.980651670076286,E,D,66.09341855370948,1
No,Germany,Bisexual,65+,D,C,115.80106417668455,D,D,62.710096954346874,1
Yes,Brazil,Bisexual,26-35,A,B,-55.55708090731966,D,C,-122.91230091745004,0
Veteran,Other,Homosexual,36-50,C,E,-79.02306331315647,A,C,-1.9553250074796895,0
Yes,US,Heterosexual,26-35,D,A,42.90223832400527,A,B,-22.250351419790217,1
Veteran,China,Heterosexual,36-50,B,A,-4.365322446806378,E,A,74.60546410588758,1
Non-Veteran,Mexico,Heterosexual,18-25,E,D,-44.975518123497515,D,D,-51.42452248657277,0
No,Germany,Heterosexual,26-35,E,A,-50.316041381186864,A,C,53.86440029476173,1
No,US,Heterosexual,65+,D,D,-164.7117740111919,B,B,-106.82540798903565,1
No,Brazil,Heterosexual,18-25,B,E,34.645938148927144,D,B,57.49783087832539,1
Yes,China,Other,65+,B,A,-31.053331705686894,A,A,-22.24586036640834,1
No,Brazil,Bisexual,65+,A,C,-190.4598997326231,B,D,-7.428376821159071,0
Veteran,India,Heterosexual,18-25,D,D,-43.53561021429794,D,B,68.68280040985317,0
Veteran,UK,Bisexual,36-50,C,B,-109.56055834793817,A,C,50.25451275094137,0
No,UK,Bisexual,65+,D,E,32.40946860442824,E,D,-73.4214857503824,1
Non-Veteran,US,Heterosexual,26-35,C,D,1.0647193423109556,A,A,-106.93782959609553,1
No,Mexico,Homosexual,36-50,A,A,61.67612871030328,E,A,68.98384019341273,0
No,Germany,Other,36-50,B,A,-68.71981336576548,D,E,82.93849540702907,0
Veteran,India,Homosexual,36-50,C,B,-83.59157298916637,A,C,125.14145428070553,0
Non-Veteran,UK,Other,51-65,A,E,35.01151200477513,D,E,-74.9516809789171,0
No,Other,Bisexual,18-25,E,B,-283.19550230627186,E,E,-72.0702460882246,0
Yes,US,Other,26-35,A,E,-87.71755126464458,C,D,-12.14617951959767,1
No,Germany,Heterosexual,51-65,A,A,-164.53730250870595,D,E,6.024378234588209,1
No,UK,Other,51-65,C,B,-44.79467048630765,D,C,-165.69052531963277,0
Veteran,India,Bisexual,36-50,D,A,-40.37286670063552,B,D,-126.51806301537889,1
Yes,Mexico,Bisexual,36-50,D,B,137.1807007210014,D,A,-268.0352873909753,0
Veteran,Brazil,Homosexual,65+,C,D,29.43088979118722,D,A,149.8686005572445,1
Non-Veteran,US,Homosexual,65+,E,B,99.49781213150615,A,D,-124.60379282745262,0
Yes,India,Bisexual,26-35,C,E,-51.16340816983562,A,B,63.417924449817406,1
Non-Veteran,India,Bisexual,18-25,C,C,41.743745354916165,B,D,75.58332054723591,0
Yes,Mexico,Heterosexual,65+,C,A,52.87015536718261,C,D,171.57846309132023,1
Yes,Brazil,Homosexual,18-25,E,D,-138.66854798818324,E,A,-43.87853658924952,1
Veteran,UK,Other,36-50,A,E,17.58861291838531,E,B,50.271016483009134,0
Non-Veteran,China,Other,18-25,A,E,-203.41421000547513,C,B,43.15043657081697,1
Yes,India,Homosexual,65+,C,D,53.416899377106866,E,C,-43.29638383983676,0
No,Mexico,Bisexual,51-65,D,A,147.98940094661947,E,E,50.33739123786491,1
Veteran,Germany,Bisexual,65+,A,B,131.6632457744969,A,E,16.78114482029283,0
Veteran,Other,Bisexual,65+,B,E,125.48594634783801,A,A,181.55843650439704,1
Yes,India,Other,18-25,D,C,-2.428857696534502,D,A,178.5711088806464,0
No,Other,Bisexual,26-35,B,A,9.400592323047519,B,C,-60.350156470216454,1
Non-Veteran,Mexico,Other,26-35,B,B,11.881952953117096,C,E,-83.59682224936769,1
Non-Veteran,Brazil,Other,36-50,D,D,-114.39062004654448,D,D,-56.66391082484604,1
No,Germany,Homosexual,26-35,A,C,69.76180190889862,A,C,-68.19055945917685,1
Non-Veteran,China,Other,65+,A,D,233.93163718520017,C,D,-26.342681701842125,1
Non-Veteran,India,Heterosexual,51-65,C,D,-4.7675174889012295,C,C,-48.26290041424707,0
No,US,Homosexual,26-35,A,E,-135.65312637562258,D,D,-11.574758489867595,0
Veteran,Other,Heterosexual,51-65,E,A,93.87529565126867,B,C,6.270258459686337,0
Yes,UK,Other,18-25,D,B,-28.627734148764304,B,E,-61.05300171948779,0
Veteran,China,Heterosexual,51-65,D,D,-24.755002037079507,C,A,-75.17344541000992,0
Yes,China,Other,65+,B,E,15.66825402326963,C,A,-196.3980818992419,0
Yes,Germany,Bisexual,26-35,C,E,24.47529711065048,C,C,73.22993511140106,0
Veteran,UK,Bisexual,51-65,E,D,-7.668389477952155,C,B,-51.962482927250576,1
Non-Veteran,India,Homosexual,18-25,A,D,-42.50484974792368,E,D,-36.824988881537735,1
No,India,Homosexual,65+,A,B,221.1442589860107,C,B,15.436060534246563,1
Veteran,Mexico,Heterosexual,18-25,B,B,195.69908200016505,E,E,130.74826899898008,1
Veteran,India,Homosexual,18-25,E,E,-52.70592991221572,B,E,-230.20343992543496,0
Yes,India,Other,36-50,D,D,73.29233127166636,B,B,102.65969721733725,1
Non-Veteran,Brazil,Other,65+,B,B,-33.31711997151224,B,D,-201.8738404817616,1
Veteran,UK,Heterosexual,26-35,C,A,2.9482993247968805,A,E,41.12235508878212,0
Non-Veteran,India,Other,26-35,E,E,-31.846016002794002,E,C,-176.7465421616893,1
Yes,Other,Bisexual,51-65,B,C,2.191950650325034,A,C,99.85944197430962,1
Non-Veteran,UK,Bisexual,36-50,B,E,80.76022250264808,B,B,233.0698302501034,0
No,UK,Bisexual,65+,D,B,17.24831273356518,A,A,17.5143866522204,0
Veteran,Other,Heterosexual,65+,B,C,-59.48993080406313,D,C,257.43388459388603,1
Yes,Brazil,Bisexual,36-50,B,C,21.78860388037307,B,E,205.86075475223046,1
No,UK,Other,18-25,D,D,115.30324220728028,E,B,-24.69258183112635,1
No,US,Heterosexual,65+,C,A,-21.06646428828047,C,A,-71.84071839153596,0
No,US,Heterosexual,51-65,C,E,122.42335684499946,A,A,40.49503133427571,1
Yes,US,Other,18-25,C,A,26.981789852282517,D,D,-41.489421505876244,1
Non-Veteran,US,Bisexual,36-50,E,E,-52.9216904273361,D,C,-28.762874432779334,1
Yes,Germany,Other,51-65,C,D,33.24653037585219,E,B,91.00288498199147,1
Veteran,China,Bisexual,65+,B,C,-78.45888993091029,B,B,38.947460085496225,0
Yes,Mexico,Heterosexual,36-50,C,E,-40.99789652348866,C,B,-69.88226689503666,0
Veteran,US,Other,26-35,A,E,102.91012008030198,D,E,-162.60956324716722,1
Yes,Germany,Homosexual,51-65,E,E,-197.47640380679806,A,B,-1.2014133002790603,0
Yes,Germany,Other,51-65,A,E,16.45776454982363,D,B,-23.311528554140505,0
Veteran,China,Homosexual,18-25,E,D,-31.0135359093217,B,C,-7.81237162432087,0
Non-Veteran,Germany,Bisexual,18-25,C,B,-15.093622149606475,D,B,-55.987985324163525,0
Veteran,Mexico,Bisexual,18-25,C,D,-135.0759320719648,E,D,-116.6512775579684,0
No,China,Homosexual,18-25,A,A,-134.6805640495625,B,A,-85.3647275219534,0
Veteran,Brazil,Heterosexual,65+,E,B,-234.94437828135685,E,D,-81.24163498568971,0
Veteran,US,Bisexual,51-65,C,C,-37.56567440669517,A,E,90.10214209842194,1
Veteran,Mexico,Heterosexual,36-50,C,B,-130.50520219659526,E,B,79.93664774046046,1
No,Mexico,Bisexual,65+,A,B,-41.662528374343275,A,A,-36.02457632838137,0
Non-Veteran,Brazil,Bisexual,36-50,E,A,-181.54453261193078,C,B,-137.36303846293018,1
Veteran,Germany,Other,51-65,C,B,-45.935013769194576,C,C,-107.09628198295698,1
Veteran,Brazil,Bisexual,18-25,D,C,124.12200143973698,D,B,45.522381207202166,0
Veteran,India,Homosexual,36-50,C,E,-31.242560897163514,B,E,-169.05000342532023,1
Non-Veteran,Brazil,Bisexual,36-50,D,A,-75.12109809750743,B,E,2.9054313561968947,0
No,Other,Bisexual,65+,D,B,-210.72356494331152,D,C,-10.556063653287346,1
Non-Veteran,Mexico,Other,26-35,C,A,76.22081967987337,B,B,-13.061362271278526,1
Non-Veteran,US,Bisexual,26-35,D,B,10.779527493108308,D,A,-260.743372847449,1
No,India,Homosexual,18-25,A,A,47.7342514368561,D,E,20.03893915857763,0
Yes,Brazil,Other,26-35,B,E,-76.9063309590023,A,E,10.64369756482497,0
Veteran,Other,Other,26-35,D,B,-28.273985658408773,A,E,166.59629711323973,1
No,China,Homosexual,65+,D,C,145.72014206494293,A,A,-63.83418510774074,0
Non-Veteran,Mexico,Heterosexual,26-35,B,E,-128.30183684813403,B,C,104.78040372801716,1
Yes,Other,Bisexual,18-25,D,A,-64.29377431430969,C,A,-24.286364522236205,1
Yes,Other,Other,36-50,A,D,110.49821385877725,A,B,176.93314214268264,0
Veteran,China,Bisexual,26-35,D,B,287.6133183530199,B,A,47.068634484617405,1
Yes,China,Heterosexual,36-50,A,C,106.20397336227249,D,B,68.3284178281014,0
Yes,India,Other,18-25,A,E,141.82585092462762,D,D,-117.53375931374657,0
No,UK,Other,36-50,B,E,-99.83864081653175,B,A,-110.9780376689159,1
Non-Veteran,UK,Bisexual,51-65,C,A,-47.52465313004027,D,A,36.883904623805904,1
Veteran,Mexico,Homosexual,18-25,C,E,26.34449766550781,E,A,-12.312423736631766,1
Veteran,India,Other,65+,E,D,-85.54353268943645,C,A,-80.49472602745375,0
Non-Veteran,India,Bisexual,65+,A,E,-75.08790824095519,D,A,-37.32917662852992,1
Veteran,India,Homosexual,65+,B,C,141.520752421605,C,A,25.177055236792317,1
Veteran,Germany,Bisexual,65+,B,A,116.8842328525192,A,B,102.01650353039236,0
Yes,UK,Heterosexual,18-25,B,A,-50.25744583351087,D,C,6.085831239954683,1
No,China,Bisexual,51-65,B,B,187.8849320068758,E,A,-35.0562443618666,0
Veteran,India,Homosexual,51-65,C,C,71.69150493401077,A,D,-97.6605074539161,0
Yes,UK,Heterosexual,65+,A,C,55.958467282576954,B,A,61.67308890827615,1
Non-Veteran,Brazil,Heterosexual,18-25,A,E,-17.298232588487995,D,D,99.75997718552416,0
Veteran,Mexico,Heterosexual,26-35,D,C,-45.762108813879095,D,A,99.82505089308464,0
Veteran,US,Other,18-25,D,E,-17.521867803580268,A,C,-79.40255881078062,0
Non-Veteran,India,Heterosexual,36-50,C,D,-35.33083952250357,C,E,-164.2205050605596,1
No,Brazil,Bisexual,36-50,A,C,96.28563646930797,D,A,-90.43693616798313,0
Yes,UK,Bisexual,65+,E,C,21.466305613395846,D,D,37.23212022118007,1
Veteran,Germany,Heterosexual,36-50,D,A,-119.27170427452391,E,B,-196.74253320768952,0
Veteran,Mexico,Homosexual,18-25,D,E,120.84611592996445,E,E,31.627947470999317,1
Non-Veteran,UK,Bisexual,65+,A,D,81.31754667441639,E,B,225.87434246407884,1
Non-Veteran,UK,Homosexual,51-65,E,B,-90.8249916836505,B,E,-37.57580604927659,1
No,US,Bisexual,18-25,D,C,-71.15023409365304,E,B,7.909876017492724,1
Veteran,China,Homosexual,36-50,B,D,58.2487754425962,C,D,-83.29571695390041,0
Veteran,Mexico,Bisexual,65+,D,E,62.153752817016624,D,C,-173.64917948790296,0
No,UK,Bisexual,36-50,B,E,-118.44043847843939,B,B,62.885789645625735,1
Veteran,Mexico,Bisexual,26-35,E,A,24.363226220699268,E,D,-48.09080636506305,0
Non-Veteran,India,Homosexual,51-65,D,B,14.785955747176097,E,E,-66.78834144069057,1
Veteran,Germany,Homosexual,18-25,C,A,-139.7390661725851,A,E,20.871262665929553,1
No,Germany,Bisexual,51-65,C,C,-103.08171921452308,B,D,52.536763026188304,1
Non-Veteran,Brazil,Other,51-65,D,C,236.1624092216761,C,A,2.3813555310805863,0
Yes,UK,Other,65+,D,B,-65.09816007756609,A,D,48.954934305532646,1
Veteran,UK,Other,65+,C,E,107.72663541501586,D,A,-20.696221953864953,0
Yes,US,Bisexual,18-25,E,A,-90.48934288088984,E,E,50.53538670757233,0
No,India,Other,51-65,B,A,32.46949407253316,A,E,59.548371327469816,1
No,US,Bisexual,51-65,A,D,10.688656038197273,A,D,-78.64961631938206,0
No,Brazil,Homosexual,36-50,B,E,-78.88413289764743,C,B,-1.1096733419365619,0
No,Mexico,Bisexual,51-65,E,E,92.47612264582953,D,C,-148.43786670380965,1
No,Germany,Homosexual,36-50,C,C,209.95903948530494,A,C,-53.076843392260685,0
Non-Veteran,US,Homosexual,51-65,E,A,-121.27821007601476,E,E,-27.73478991049067,0
No,China,Bisexual,26-35,C,D,116.45725648826803,D,B,54.031779116652515,0
Yes,Mexico,Heterosexual,26-35,E,E,-65.62130521888521,D,B,-56.27889641705595,1
Veteran,Germany,Homosexual,36-50,B,E,231.15152961651094,E,C,-86.24786097500964,0
Veteran,Brazil,Bisexual,65+,E,C,-70.02968902073718,E,D,-51.755345846615306,0
Yes,Brazil,Homosexual,51-65,D,C,18.45746030725015,C,E,6.6659810885697794,1
No,Germany,Bisexual,26-35,B,C,-78.35823501439442,E,B,-38.83817911867528,0
Non-Veteran,UK,Bisexual,26-35,E,A,39.85449547074003,A,D,-41.63403261912465,0
No,China,Heterosexual,18-25,A,A,129.43227316907783,E,B,-2.7044247970357795,0
Veteran,Germany,Heterosexual,51-65,C,D,64.97460290502892,D,C,24.80988069890103,1
No,Other,Heterosexual,26-35,A,D,-45.257814052440125,B,B,-165.9431404058255,0
Non-Veteran,Germany,Heterosexual,51-65,C,E,-23.9121032414003,C,B,-181.9713366695035,0
Yes,US,Other,18-25,D,B,100.68493704884915,D,E,-31.315010021627472,0
Veteran,Brazil,Other,18-25,D,B,-130.12613497441976,E,D,35.78791280240636,0
Non-Veteran,India,Bisexual,36-50,C,A,-88.0932731861433,D,E,182.93516196762172,0
Non-Veteran,US,Heterosexual,26-35,B,D,-45.06713659688037,C,B,123.44006666234148,0
No,China,Heterosexual,51-65,B,B,-114.67789178391605,A,E,-51.87866467941673,0
No,US,Bisexual,36-50,C,D,-43.20680686086136,E,A,62.90878616391113,0
Yes,Other,Heterosexual,36-50,B,D,241.64525510246756,A,D,-89.50869337187271,0
No,India,Bisexual,65+,D,A,119.18075303066689,B,D,-36.3744135335926,1
No,UK,Heterosexual,18-25,C,E,1.4190720184726628,A,E,-55.39304312560112,0
Non-Veteran,Germany,Other,51-65,E,A,-89.25378225857673,E,A,-146.30911536489404,0
Non-Veteran,Brazil,Bisexual,36-50,E,A,-142.73737968801944,C,A,148.94678166288955,0
Yes,India,Heterosexual,26-35,D,C,123.95302487353086,C,C,55.97778120269192,0
Veteran,Other,Other,36-50,A,D,-127.3933171942186,B,E,102.97924756063628,1
Veteran,India,Heterosexual,51-65,C,B,12.523235992058531,D,E,-80.8837621907538,1
Non-Veteran,Mexico,Bisexual,36-50,B,B,67.67168791715177,A,C,38.642206234171624,1
Yes,China,Homosexual,65+,E,E,15.782113650093283,E,D,45.89509171586552,0
Yes,UK,Bisexual,26-35,A,C,-144.722039518361,B,C,111.98514917298921,1
No,UK,Homosexual,36-50,C,A,53.66320568708702,B,C,37.61748111616432,1
No,UK,Homosexual,65+,D,B,-129.52953185644262,B,A,5.606602922234237,0
Yes,Mexico,Other,51-65,D,A,-112.21601948475575,B,C,-46.10984679462767,0
Yes,India,Heterosexual,18-25,B,B,-29.335525633616083,B,A,-38.60010434958809,0
Veteran,Other,Other,65+,B,D,137.10024275500146,D,E,169.93190086246736,1
Yes,UK,Other,26-35,A,E,7.775508157255322,D,A,-2.82437357514129,0
No,Mexico,Homosexual,26-35,D,E,93.62749807774424,E,E,148.208603992686,1
Yes,Brazil,Bisexual,51-65,E,E,-46.454750389393475,B,B,62.0335095337935,0
No,Brazil,Heterosexual,65+,E,C,8.83428755340652,D,B,-107.3850714274435,0
Veteran,US,Other,51-65,A,B,-125.99264067129138,A,D,45.045387471723494,0
Veteran,Other,Other,36-50,B,D,85.71056490324142,B,B,46.80055780565808,1
Non-Veteran,UK,Bisexual,26-35,B,B,8.947099670323887,E,E,-26.771819888010658,0
Yes,Mexico,Bisexual,65+,D,A,-29.362022150496813,B,C,95.20227326314422,0
Veteran,China,Bisexual,36-50,D,B,103.6617138597784,B,D,-126.73769075756587,1
Veteran,Brazil,Heterosexual,51-65,B,A,60.58063741872749,C,D,82.31320803533625,0
Non-Veteran,US,Bisexual,51-65,E,D,-23.288312066553118,E,E,-2.2182852201080627,1
No,US,Bisexual,36-50,A,D,53.07150876496798,C,C,-63.056623997579145,1
Non-Veteran,Germany,Bisexual,65+,C,C,-136.813970202095,C,B,33.111937696439306,0
Veteran,India,Bisexual,65+,E,A,75.25742371814003,A,B,-24.42527901047738,0
Yes,UK,Homosexual,36-50,D,E,-55.032500467185365,B,A,101.33434129058357,1
Yes,Mexico,Homosexual,18-25,A,D,-144.10461192103577,C,B,55.521545220517844,0
Veteran,China,Homosexual,26-35,D,B,-175.87110426358137,A,A,-127.79596129502329,0
Veteran,Mexico,Bisexual,65+,A,A,-121.47524689114813,D,C,69.58479979026183,1
No,India,Other,65+,A,B,-66.63798231609404,E,B,-140.74658626348656,0
No,US,Heterosexual,51-65,E,D,190.01178524283569,D,C,-210.74217359002373,1
Non-Veteran,India,Heterosexual,26-35,B,C,88.58625711804675,C,E,152.70846374226556,0
No,UK,Homosexual,65+,B,E,-26.498343554813246,D,E,-55.24785243275405,1
No,Germany,Bisexual,36-50,B,E,-1.8836308803820356,B,D,-7.877362342049205,1
Yes,Germany,Homosexual,18-25,C,B,-102.54989442056876,C,D,-67.3541766946866,0
Non-Veteran,Brazil,Heterosexual,36-50,A,B,104.69390726443628,D,A,-169.53833615904296,0
Non-Veteran,Other,Bisexual,18-25,C,C,-17.402004523127545,E,E,-105.4573553386233,0
No,Germany,Heterosexual,65+,C,E,78.71935547531332,E,A,-38.56019220419217,0
No,Mexico,Bisexual,36-50,B,C,109.24129434186773,A,D,-20.62410599245173,0
No,Mexico,Other,36-50,D,A,-114.59563474346996,D,E,-57.88748055104045,0
No,India,Heterosexual,26-35,B,A,198.5114919344388,D,C,-37.61083738217243,0
No,Mexico,Other,26-35,A,D,-67.68281396074023,B,A,-290.89962896359145,1
Non-Veteran,Mexico,Heterosexual,65+,A,E,182.603574200289,B,C,180.71531124345742,0
No,US,Bisexual,26-35,D,B,-43.837797492660016,A,B,-146.6137100930656,0
Non-Veteran,China,Homosexual,65+,A,D,-184.5129891892866,C,E,-61.327476470938706,0
Veteran,UK,Homosexual,36-50,D,D,-60.59250920261965,E,C,61.13044989194528,0
Yes,Other,Homosexual,18-25,C,A,-84.91465631857126,E,D,-96.50477781380718,1
No,India,Other,36-50,B,D,-87.57813823262718,E,A,89.36429438963751,0
Veteran,Brazil,Heterosexual,36-50,A,E,37.151482275821515,D,B,43.276877259486916,1
Non-Veteran,India,Bisexual,51-65,E,D,-66.44519685356397,B,D,-158.61399078468204,1
Yes,Mexico,Heterosexual,51-65,D,E,57.62109636922831,D,B,32.02189645095525,0
No,UK,Homosexual,26-35,A,E,-68.76499616828235,A,B,-18.92820009050429,0
No,Germany,Bisexual,36-50,C,B,105.61164374428664,B,B,7.308285041127983,1
Yes,Germany,Other,65+,B,E,-126.21993850979582,A,B,-57.229055690135425,0
No,US,Homosexual,18-25,B,A,-119.05377445748373,A,A,-44.88874156953411,0
Veteran,Germany,Heterosexual,26-35,E,C,-95.98519505164596,D,D,-6.543094301207655,0
No,Germany,Heterosexual,65+,C,D,-198.27229651612322,B,B,-10.372344688898712,1
Veteran,China,Other,18-25,A,B,130.68724805955202,C,B,28.499320066299315,1
Non-Veteran,Brazil,Bisexual,18-25,C,B,93.8279525380763,C,A,114.0016268049482,1
Non-Veteran,Germany,Other,51-65,A,D,-42.28080893551373,A,D,164.10903016990787,1
Non-Veteran,Germany,Homosexual,26-35,D,E,-139.74364283150945,A,A,127.18469014025284,1
Veteran,Brazil,Other,51-65,C,A,-30.3923691382046,E,A,-33.49941734498635,0
Yes,China,Bisexual,51-65,B,C,1.8017954828483542,D,C,-7.564619425773096,1
Yes,Other,Heterosexual,65+,D,D,-103.92312708664177,C,D,-30.297750515067296,0
Veteran,Brazil,Heterosexual,65+,E,C,-106.97201586194156,E,C,98.16877020722382,0
Veteran,Mexico,Homosexual,36-50,D,E,127.10546528359346,B,D,-209.24383254513646,1
Veteran,Brazil,Other,18-25,A,C,-90.51115766758815,C,E,42.19097109184131,0
Yes,Other,Heterosexual,18-25,D,B,180.62187928242147,D,E,-109.07098960534131,0
No,Other,Bisexual,65+,D,E,190.58857380967714,D,D,-24.369974831861583,0
No,Mexico,Other,36-50,C,C,102.96335001399804,A,A,-64.50456392782098,0
Veteran,UK,Homosexual,65+,B,E,-108.51325190939431,E,B,72.56213652159869,1
No,Mexico,Homosexual,51-65,C,E,117.19884688891791,D,E,-24.420752580000794,1
No,UK,Other,18-25,D,A,-25.085845772577052,E,B,16.64310389924977,0
Veteran,Mexico,Bisexual,51-65,E,E,-82.8420765256617,C,B,-81.63337814064256,0
Veteran,US,Bisexual,51-65,A,C,50.94751668679459,A,D,-153.60769443399602,1
Veteran,China,Other,51-65,C,A,-101.79514779948336,A,E,-56.76891499092713,1
Yes,China,Heterosexual,18-25,B,A,39.87717771222449,B,D,-70.60259201529952,0
Non-Veteran,US,Heterosexual,18-25,C,E,-227.97023643825779,B,D,112.21129168857777,0
Veteran,Other,Bisexual,51-65,E,D,62.55991643036197,D,C,203.5690959402169,0
