faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Muslim,E,159.9838736596157,E,81.50466964823491,69.91552269012085,B,1
Hindu,B,29.198645734354873,E,64.13360631886876,117.33318575524049,A,0
Other,A,42.75672951590824,C,56.167132199924474,27.923149613013408,D,1
Christian,B,85.5837955114001,D,75.58533738988687,12.742258911922757,A,0
Other,D,37.6809929414093,B,-8.825023324009965,-71.74353176208254,A,0
Jewish,E,-85.96087201513866,E,92.18667779487478,178.5711198384368,B,0
Jewish,C,-24.100137373395636,A,121.52722876621063,-16.316681223671225,C,0
Jewish,E,-51.503157816206894,D,187.32064725207306,-115.48453589851968,A,0
Buddhist,B,70.2365622331341,B,69.21914556842667,-69.29230153300391,D,0
Muslim,D,-95.52402883724162,A,-73.50034351147734,-22.97106350543264,B,1
Hindu,E,17.809545670333897,B,-171.862205572432,-8.059905605337587,E,0
Christian,A,95.35710393624792,A,172.43136531200724,70.18154382899526,A,1
Muslim,D,76.65089871310205,B,-184.61852245858964,371.06500780561873,B,0
Hindu,D,93.42317222103873,C,-28.40540410123309,177.32657506806842,D,1
Jewish,E,27.45125454664081,C,-34.53736983407641,122.61965766184876,E,0
Muslim,E,-34.57112600851218,A,121.74138597598487,-60.48277751933539,D,1
Other,E,108.81951245572556,D,-64.37991442716898,88.2392237663616,C,1
None,B,-51.10928597133131,C,8.507267609446497,12.231372364353824,D,1
Other,D,-72.7995951637206,E,-55.47779249445263,161.2023755893667,B,0
Christian,D,272.64358925032496,B,-54.38377378961914,59.133061285054744,E,1
Jewish,B,138.52626234319683,B,-75.14229977857619,112.1310760110664,C,1
Christian,B,79.21422486470094,A,83.12225409875361,-137.73852415038942,C,0
None,A,-26.543257191674584,E,108.01756603364923,-127.01903351872441,D,1
Christian,A,127.34450248927081,D,65.07599016457102,34.60259392469946,A,0
None,D,-60.82721581877822,E,-87.01469648375635,-8.26816329774712,C,0
Buddhist,A,-67.04598052075677,E,10.532973149434406,-14.232291726940115,D,0
Jewish,C,32.535520025618,B,-168.14783345366035,75.1301039522796,E,0
Jewish,E,-67.22830311592817,E,-184.4321411620357,24.22214904486194,B,1
Christian,B,84.04460870522303,C,74.57059942472749,102.35149278906135,B,1
Other,D,-50.37627881733538,E,-245.38705318011353,-65.50246644880633,D,1
Hindu,D,80.88024147055329,C,90.78022638141849,20.346670366122815,A,1
Christian,D,0.6777846516386463,A,48.91097461439768,165.89183824244594,B,0
Jewish,B,66.3855580079743,B,25.742829837687125,-147.69093474015432,B,0
Buddhist,D,62.60226090600144,C,3.2851555645918755,-0.7071363621577731,D,1
Christian,B,-28.506567612127448,A,52.82877447685932,18.92095582685857,B,1
Jewish,D,-58.997869158119656,B,-95.84460280046916,-110.39081961737843,E,1
Muslim,C,-32.798457229992515,D,41.68336755820863,-166.78497596122332,E,0
Buddhist,C,38.72514605791326,B,-24.061662662485833,-34.87075017673022,B,1
Jewish,B,34.158807710858675,A,-69.98671120039057,14.16720819108343,A,0
Buddhist,D,114.05195009101834,A,-58.129527824759386,-64.0876300233808,A,1
Buddhist,D,-157.29338387848037,D,71.87098786883709,28.278925389614546,D,1
Hindu,A,-60.40143236274231,E,153.94771740081234,-4.6510948870197355,D,0
Buddhist,B,-192.08133957969574,B,39.052983100289765,-22.748683491159703,A,0
Christian,A,-44.81305163948793,B,-12.23447430409118,226.2885974449445,D,0
None,B,23.715558393158524,C,-114.62309862305786,211.66500693483408,C,0
None,D,-6.487447897616021,C,-53.3840941300151,-13.103135930631362,C,0
None,A,-2.5216354851831726,C,-44.59892266741698,129.1978386185194,D,0
Muslim,C,-36.15223797719385,C,-42.72686366739988,104.5628205672237,D,0
Hindu,B,-13.871419021935516,C,-123.14551312982114,-149.89104113843393,B,0
Jewish,B,215.53239530161582,C,48.728706458149304,64.76259903767297,A,0
Hindu,D,53.922580589498914,A,36.2987750377593,186.16499577209484,C,1
Buddhist,C,10.281901880824359,E,23.372766156199937,50.137016764283516,E,1
Jewish,C,-150.95471290180566,A,2.2333288498392694,13.944275470099088,A,1
Hindu,D,-26.35267992682146,E,54.29742467309859,-155.5738120401858,D,0
Jewish,C,-12.393812264444803,A,115.20175619113633,-169.50142299269356,A,1
Muslim,A,-57.3602146454497,A,20.230782204145196,0.13293750505597005,D,0
Jewish,D,-126.24483083852567,E,61.79152238891278,-101.60676969823173,A,1
Other,D,-7.7533142413486855,D,93.67123728968436,67.81745574801315,A,0
Buddhist,B,13.110792353517176,C,1.1601130564182296,130.677050448447,E,0
Buddhist,D,21.61220871293936,E,-69.81829291803227,123.3631467360309,D,0
Christian,D,-39.43688173217114,D,-120.06295979377006,-59.417836581883385,A,1
None,B,-10.137123742274,A,-114.20134361726244,117.94631491629792,E,1
None,E,-15.104708983364883,E,15.392133651672356,0.8994917467953856,E,0
Jewish,C,-16.72862063733166,A,152.8851788219584,37.10388609140744,D,1
Buddhist,B,0.9657973315087403,D,120.4973279146774,136.6757004120568,E,0
Christian,D,107.04880278452949,C,-69.69709749132345,-147.82487325700146,C,0
Jewish,E,-40.110818160993425,B,122.95383766463246,-41.97758232788518,B,1
Christian,B,-134.7067588393321,E,-36.99266504571212,-6.150810269983656,A,1
Hindu,D,23.221037265221394,C,-11.616797010175715,59.55387728784264,E,1
Jewish,C,-56.7635724594741,E,-21.498898861129476,23.892335645963286,B,0
None,A,-110.77404167130365,D,28.633749289350362,48.25837659672578,E,1
Hindu,B,-8.814937086134073,A,-143.8390798284648,118.99735405861445,A,0
Other,D,52.337522039913445,A,196.75101470455883,68.41765310984607,A,0
Muslim,E,11.545289282325255,C,-7.58435813419631,-33.23567996893909,A,1
Hindu,E,-92.54854275335785,C,192.6603989228831,51.252080958016634,A,1
Other,D,24.15960004749142,B,-2.2441976508973687,78.8140305393274,E,0
Christian,B,124.2869437581384,C,-214.84260529671963,109.79384774138146,B,0
Jewish,E,2.3158084272154724,B,-87.44832336949385,17.967419880166357,C,1
None,C,3.1286825699175362,D,182.18564536484072,-122.23730986128535,D,0
Muslim,E,41.6521366174173,E,70.72276977257245,154.54597355439304,A,1
Other,B,-43.567414850069234,B,103.15908025900522,56.87367263006963,D,1
Buddhist,C,34.371808127987975,B,38.95762341098884,-114.47123695273116,C,0
Other,C,257.38264545923505,C,152.74924970674454,-119.0438484928473,B,0
Buddhist,D,-196.21608469961325,E,4.4361120115693415,68.7464420118395,C,1
Muslim,C,85.74477815012789,A,112.56742767348359,-62.35598520045493,A,0
None,B,22.200815077578127,D,121.16157260442826,72.53383560922904,C,1
Christian,D,75.15547800433703,C,65.33200290495772,107.30180899752379,B,1
Hindu,E,179.7958361108101,B,-45.229197274638175,42.14792730243714,A,0
Other,D,50.9975750412627,E,-129.65820633276704,59.96658394667741,C,1
None,C,7.190835433916745,D,-9.182374741081983,-74.40748670117928,C,0
Buddhist,E,-74.49623861619756,A,28.01628352778555,84.02257706739886,B,1
Jewish,A,-58.529437596109865,A,109.21897375999923,-91.82880322207032,E,0
Hindu,D,-5.1456134792849575,C,99.03691127351838,-16.205232079508804,A,1
Jewish,C,29.463837133070893,A,164.694816588598,49.44852384109259,D,0
Muslim,E,-17.35478303189192,C,44.63349454439252,86.12625085553903,E,0
Jewish,D,-25.495044539428918,C,12.754563542081135,-91.16447608958461,B,1
Christian,E,-278.0364827506725,E,-101.14573151837867,199.19968270140197,D,1
Other,D,209.32835370060755,E,-108.2092705818271,-43.586811404894775,A,0
Hindu,B,-77.62163376804888,B,9.008135556050311,6.266067072700632,C,1
None,B,-109.88347975509187,C,69.36518066273145,50.17545220794189,A,1
Muslim,A,258.712790401304,D,79.70360131935911,-140.459382698801,C,1
Hindu,B,-88.6855797694351,E,117.98987700279491,5.228042051592277,B,0
Jewish,C,99.68451919028143,B,-12.266769655949018,54.330695023205266,B,0
None,D,137.238804051492,A,-80.62053905445931,-117.70578397084847,D,0
Buddhist,D,119.6955879352861,B,213.85655998375194,-63.660199258511184,D,1
None,D,97.65839274494449,B,55.81012026234556,-13.581074700190287,C,1
Buddhist,E,-20.372974829022613,D,76.82389390075488,-209.50474879659927,A,0
Jewish,C,27.59274213957929,E,-66.82000923486913,71.94314798202167,D,0
Jewish,B,-149.00452755083163,A,-94.87272910286931,-81.35615244845931,A,0
Christian,B,-55.80185760163283,E,272.3957206180232,130.9303189828205,D,0
Other,E,-30.76370717200651,A,-0.4528512947623976,-142.6400791921546,C,0
Muslim,B,12.543521999168902,A,23.477486592221275,-27.41009751162457,E,1
Jewish,B,31.95514002550351,B,-27.253183771323652,-58.71045361305253,E,0
Jewish,D,11.787839481892592,B,40.42638539746787,-87.06711447649951,B,0
Other,D,79.09525082142171,C,-89.14586798558902,-101.58059827633438,A,1
Hindu,A,32.26290683213662,C,67.69844232075658,128.74478135866386,B,1
Christian,A,69.8039756598297,A,68.74740910881431,192.8277500218791,E,1
None,B,-82.96674747626437,E,91.3057801041387,12.67085577839399,E,0
Buddhist,C,31.21595056935903,B,5.581021237048766,7.913779060003631,D,0
Jewish,E,-25.772487582757293,A,-82.0991688873259,-79.6440211920871,E,0
Jewish,C,35.22869343747219,A,-22.68150193628395,-15.1005349019495,C,1
Buddhist,B,0.06601407852693032,B,63.001918978772444,-182.19570628037602,E,1
Jewish,A,-78.25234143667575,C,39.71945069504015,-80.69974783175472,C,1
Christian,D,-77.46003857228551,C,50.39651001128047,-19.417941773029458,D,1
Christian,B,-109.18856079331687,A,-116.27368887780914,-123.45385536882387,E,0
Jewish,D,158.7925023901789,A,-84.41351215472758,189.681855570879,E,1
Other,C,69.10830374034062,C,84.75618431281804,-13.9038553421031,B,1
Buddhist,B,-147.46728273455957,A,34.333266383189034,-92.62254884122338,A,1
Buddhist,C,16.25383592845991,A,-0.12476853555244609,-32.125164299338714,E,0
Christian,B,140.2554747113844,A,-31.275431748088316,-0.10976862058139879,D,0
Jewish,B,-112.6693060536938,A,-137.93443811908097,169.38884791906787,C,1
Christian,E,153.46900489538356,E,135.232051843163,141.28279838990585,A,0
Hindu,A,-113.66648732035071,B,18.342151845785533,21.10451975096698,C,1
Muslim,A,26.607720786477362,A,-43.87780821156123,-13.498818497413165,D,0
Jewish,A,-44.87875281930901,E,-73.50894187205806,-3.7066753399241876,A,1
Jewish,B,-83.10403605754904,D,87.91138559669817,18.99164609512111,D,1
Christian,D,26.760625321528142,D,46.00957604836968,-158.7537800090543,C,1
Hindu,D,-46.258742641892994,B,13.244454394837724,-37.02787335705618,D,0
Muslim,B,7.4387410451015175,C,95.75522436957446,-109.11860492601923,C,0
Christian,B,-95.63660943137528,B,-17.11650217065327,75.77469580139662,D,0
Hindu,B,244.20116914297955,D,242.19428890873834,-321.4947075170612,B,1
Jewish,E,-74.56592786073062,B,70.40536636123201,44.353516798062486,C,1
Other,A,37.49712076343128,A,78.45225097529237,118.08946030989182,A,0
Other,C,45.36619283746833,B,-118.55303889060444,185.22555667891544,C,0
Buddhist,B,131.55594633623022,C,15.997178097479381,54.61067745510398,E,1
Muslim,E,104.09478796990686,E,18.468270242764255,-195.66650631364294,C,0
None,C,-168.21100606467775,E,-42.630785237021925,-70.05348381856619,C,1
Hindu,C,26.20269943750645,C,-78.75927809705267,35.28163655948893,A,1
Jewish,D,2.693727796548242,A,-21.158595994405097,5.62880439041788,E,1
Buddhist,E,43.55952287612384,E,99.00638760747155,10.336940127847685,E,1
Jewish,E,22.45547942581765,B,-6.270579405663221,-85.41464498675751,A,1
Hindu,E,-136.47832198106687,B,96.97782269829787,147.970807007311,B,1
Hindu,B,-37.63470036782181,C,-136.17080521079637,-183.02992779598094,A,0
None,E,-237.15762490494575,C,-47.144518052040695,125.5203336358099,D,1
None,D,69.06983386421697,D,190.1110494968809,85.9464851781662,C,1
Muslim,D,123.38583147421896,A,-106.41959810470627,-75.24601257767793,D,1
Hindu,B,106.73919677110364,B,-148.77789697863767,-71.14883559858495,C,0
None,C,-47.50308160613253,B,76.46223179177856,108.78701511647624,B,1
None,A,98.52723748913657,C,115.44678270622772,39.84855641244613,A,1
Buddhist,D,43.69696450034646,D,-18.447380383138672,39.113600326575856,D,0
Jewish,A,-5.458303169186615,B,60.60878609064792,-132.44081491960245,E,1
None,B,105.84022706237022,A,31.321818984935216,107.49025954447384,E,0
Hindu,D,104.90501937570531,E,-37.96993508050255,59.910942216590065,A,0
Muslim,A,84.04379738622038,D,6.581671179117804,-65.24721055326914,D,1
Buddhist,A,96.24648900202712,B,-120.47594669460315,0.5338928351195489,C,0
Other,E,-119.1499386546723,D,-90.422719948208,1.8377011426999519,D,1
Jewish,D,-144.4363154080839,E,2.9606524429349355,6.011696156950868,D,1
Buddhist,E,63.78765206541007,C,24.303156107093272,-77.94049068599794,C,0
Jewish,E,-30.609870844527315,A,-127.61663977086192,-38.279916934897685,C,1
Christian,B,66.2637583959932,B,-158.46306445014514,72.76624170116332,B,1
Buddhist,D,-49.2909893451409,A,-4.950979853227526,-29.49985660152455,D,0
None,C,-74.00936401598777,D,-61.17927992454473,99.35923631617833,E,0
Muslim,B,52.02592014765429,C,119.77309463708114,40.83635011452289,D,1
Muslim,B,-15.641288329497998,C,-177.37108579189234,-138.09418429578864,A,1
None,E,-121.52520151887285,B,78.03890363295392,35.06608435150523,E,0
Other,B,-122.0179522172046,D,-22.89776648929743,-56.94266409865403,B,1
Muslim,C,64.51549090721905,C,-124.13534394764156,207.18784444132817,C,0
Other,D,-36.721973578892246,A,29.797475567315796,81.42949897024936,C,0
Muslim,A,-3.724118128768504,B,-262.67111223946216,148.7493833170333,E,0
None,D,31.885009246458786,C,1.5947754231839146,-47.17456126919342,A,1
Christian,E,226.0405611372513,D,-38.54236413776976,32.70098599976318,B,0
None,A,-28.569228165158435,C,-66.98110300937213,71.67220031111201,C,0
Buddhist,C,43.681712109147384,D,-110.78699471951425,95.03991257015502,B,0
Jewish,B,-18.80849490262705,C,91.94374864586334,49.353141489987046,D,0
Jewish,A,47.05499003255469,B,-15.3792788107326,68.77994815225678,D,1
Jewish,D,-44.322869219758985,C,125.39652217026203,-67.73118131272979,C,0
None,B,-184.1353685826997,A,118.11000271990395,-23.981410034800792,A,0
Christian,C,-80.24080398477705,C,-53.089446258755366,68.98862467684701,A,1
Buddhist,A,-54.6102823987916,A,-49.51754831871979,53.150411786118056,A,0
Buddhist,E,18.89653878744566,D,-132.62008123489193,2.506334195977605,C,0
Christian,D,110.48678649387011,B,13.980677483970661,-37.57992471119137,E,1
Buddhist,E,-108.84893042310652,A,-72.27031750123368,19.665874456503147,D,0
Christian,B,-41.21247319505492,D,-150.54995088548606,-37.16451976280785,E,1
None,B,153.23186197542034,C,-44.39649892530879,-165.66008440934684,B,0
None,A,21.991680069189414,D,153.75725193105072,52.626835886522,B,1
Christian,A,141.99932986351075,B,-21.138917004385096,80.4857969231328,D,0
None,E,-74.25573106079462,C,-173.4800524051088,95.42162403924564,C,0
Other,C,12.71257292797176,D,-46.465290282468125,-61.22228135738674,B,0
None,E,91.06616253694129,D,15.839309159896182,-44.152811627867784,D,1
None,C,-38.92220873502467,C,-19.080817792393166,-117.56903452736631,A,0
None,B,-46.299497012769976,E,5.953980673058722,57.86478359314353,E,0
Hindu,B,16.90534773660362,B,0.4049497186177185,-146.41735128261126,A,0
Jewish,A,-51.47850799271366,B,38.214738266238015,-5.031837112418886,C,0
Christian,B,-197.1192207846441,C,64.70463685179591,-22.83879632401622,B,0
Other,E,-99.15818354069656,C,133.22867170789823,61.57509337152591,C,0
None,C,-23.48020579762343,B,178.5314734945598,-86.55528331937326,D,0
Other,E,-88.78901443864842,A,9.418409348372213,226.52004069804107,A,0
Jewish,D,77.32004499412098,E,57.29887906811124,112.19546927448137,A,0
Christian,C,-66.90094716049943,D,-67.5401808040982,-177.84202991737007,E,1
Buddhist,A,-46.24682418995971,A,40.35620424065399,39.20959552701412,A,1
Christian,D,24.289479994678775,B,-112.55053912885973,32.149339330142425,C,1
None,E,-37.56446765763971,B,89.49591497138097,143.29731800328472,C,1
Muslim,B,-100.40815673571393,B,-6.169627511415047,-37.98667215610496,D,1
Jewish,E,-75.38008424381351,C,63.73724623025867,33.84124002993535,A,1
Jewish,C,-25.818216064514026,A,-7.6103058503735275,27.06836515981617,B,0
Muslim,A,-2.941098563379066,A,51.54228711560659,-28.73648435334402,C,1
Hindu,C,-47.14120909460742,E,-173.17412129623878,-70.87409057981648,E,1
Buddhist,A,-71.83541619905348,E,-62.2147639802848,55.55324127304344,A,0
None,A,-73.58354066452857,C,-129.18371317439667,-6.47143372533399,B,1
Muslim,A,175.79361267430812,E,109.74884147801365,108.6949858932274,D,1
Buddhist,E,111.08371937229637,C,-59.940039703826486,34.339489823536425,D,0
Jewish,C,2.9839412082718884,E,36.05996807732594,-138.05880504366036,A,0
Christian,D,-41.28680132332305,C,27.518177235876284,9.832700525471033,C,1
None,B,-53.8827476521388,C,-106.05329428643644,22.32586399004133,A,0
Buddhist,B,-41.2090307980104,B,24.671837606350238,64.67478584119874,E,1
Jewish,D,9.773544442235691,B,-95.50130963023857,-83.23271571240008,C,0
Other,A,136.80007569883918,D,224.92724803493175,-117.87810449180773,C,0
Buddhist,D,28.300979678497235,C,-47.246070673263006,25.363166738493675,C,1
Buddhist,C,-79.99032292299655,A,62.73011297994683,-75.46542921029506,E,0
None,D,57.945115181934646,C,-137.1870992533053,104.7457741672349,C,1
Muslim,B,-37.898779148005126,C,232.6000493441948,-54.35892985813289,C,0
Buddhist,C,-22.755706808758507,A,78.32547860357796,-54.463435454530874,D,1
Christian,E,262.40298329638506,E,-2.7306355639480753,-97.67687241779804,B,0
Jewish,D,58.14787636124157,B,26.193667842653163,-26.397287230278987,C,0
Hindu,C,-59.01500982033204,E,350.8362436624418,-157.73021500911452,A,0
None,E,-25.376956635822097,B,-16.062177668285724,28.896257151491874,E,0
Muslim,A,-79.0499625643551,C,-72.58069561854344,-35.5829803848248,E,1
Other,C,-156.87729715498057,B,-53.83097414428295,58.47110574368305,E,0
Jewish,A,84.98916963767084,D,147.31440781924,152.24458393392925,D,0
Other,D,-117.87056248830916,A,-55.35001302047433,65.79743605432715,C,0
None,E,-73.44537001308147,B,-195.64371025266308,-110.03673075810758,E,1
Other,A,32.91895905489139,B,-97.46928398339918,9.144486123380592,D,1
Buddhist,E,133.0688079528946,E,-108.23834001984196,73.82721979213564,A,1
Jewish,C,70.6582488824647,D,90.84289712718521,-138.25849546789294,D,1
Hindu,D,19.22474899935672,C,-38.13982589077656,119.63194161284886,D,1
Other,E,37.10202987270737,E,-161.01232734810495,89.98441622466754,E,1
Jewish,A,-85.18465876163201,E,239.22540231670223,-135.69507997375675,E,0
None,D,47.34670717122708,B,-86.86021824848942,-54.2152941521274,D,1
None,A,188.6291668433064,E,-35.740084242386224,17.44659849343801,B,0
Christian,A,66.18659988519096,A,-73.02280839935791,-86.43864185362351,B,0
Buddhist,C,-34.05018640271174,B,164.1759835331606,-78.61736950671022,B,0
Other,D,158.66651697211572,C,-88.3328837449436,15.321724524727227,C,1
Muslim,B,21.745854392214184,D,-27.83711850720224,39.95097005584818,C,0
Other,B,-134.20454201823497,C,48.37738114140751,-49.30644636766638,B,0
Hindu,D,-42.19780419979315,D,18.34884981939215,-10.4926032166706,A,1
Buddhist,E,77.4267099315282,D,-125.35381333673017,95.6741226473283,A,1
None,C,-110.27588394115536,E,-102.85157363533477,-22.260839475133633,D,1
Buddhist,B,22.212731292870533,D,-155.89500208591534,101.29765015626893,E,0
Other,B,-58.25075632141239,B,-57.45769378715383,35.01601085030514,E,1
Muslim,E,62.60682615690774,E,19.10819463176792,-26.471889834141933,B,1
Jewish,E,58.52456569309117,B,-124.34119158213251,-10.317264895011283,E,1
None,A,-80.62766736895507,D,21.10754757892902,-96.6481666511518,A,1
None,A,-158.7814402067707,D,-49.79275788624646,-106.81661338256028,A,1
Jewish,E,-85.9722912457446,A,8.499643355415577,102.95807799699428,B,1
Jewish,D,75.39432029385146,E,99.44701648922002,53.513499125340566,E,1
Other,C,90.98207943794499,C,-65.5183739753257,68.03167227040633,B,1
Other,C,52.1960189924542,C,-71.38306052799118,-76.15884317177068,D,1
Hindu,A,31.806134546761015,E,136.33580264408562,-212.01493081970395,D,0
Other,C,-47.67251431377669,B,-6.378188727087908,4.027677238556679,D,0
Other,E,140.91572124421324,D,59.04535484646644,14.031805473386216,E,0
Christian,D,-43.29610815415616,E,-168.63077387629622,137.53010082052367,B,0
None,A,263.17980850966285,A,4.957792275447346,29.135786837832207,A,0
None,A,46.556900327476605,E,140.5845792652572,-264.56541742149847,C,0
Other,B,50.969242193991974,C,179.2655368892739,-340.3063542895159,C,1
Buddhist,B,32.55808067404976,B,-54.58733423954642,74.56754772110853,D,0
Muslim,D,54.08477043146088,E,-17.65740213319517,89.1045347439367,E,1
Other,A,-2.975958700766543,B,-10.11903785712823,-12.224696140401395,D,1
Other,B,80.83258358418958,C,-72.31099952476022,-132.15268735555068,E,0
Hindu,D,12.725744769488964,B,-89.77843962527378,-23.260623898629618,C,0
None,D,-111.77473265220479,A,67.4415815652754,82.16976193879724,A,0
Muslim,C,-192.90906478092054,C,121.76673676948649,67.47358652937832,E,1
Hindu,D,28.718559394879335,D,42.3851487466401,-25.66449176706748,C,0
Muslim,A,-170.00727863741227,D,-26.41742908587744,-47.70239088107684,A,0
Muslim,E,-46.861932607925226,B,195.81413678081546,99.51654372437594,A,0
Jewish,C,47.639571453098405,E,53.684970908890804,-113.64246818847657,D,1
Hindu,A,-123.75560354652086,C,16.131186169290405,156.7270293063294,D,0
None,B,-156.5443086183894,A,-24.931817661542606,-44.90777374210631,A,0
Other,B,-17.629359113043385,E,179.5169841165997,-51.54289577419365,A,0
Hindu,B,-151.38035162377057,E,-57.154735722424356,149.79748220486175,A,0
Muslim,B,157.5663026710247,A,20.467248608693456,-31.41440486159894,D,1
Hindu,E,126.28218785347602,C,128.102133979497,110.18047801583207,A,1
Christian,D,7.059781093001261,D,-247.2870010768243,12.433460404473815,A,1
Hindu,B,137.7155064069048,D,-11.170479873632718,-9.606098418848106,A,0
Muslim,C,112.51167681476237,D,17.369997846866138,-74.24765171156929,E,1
Buddhist,E,-220.33388932441653,C,-90.46570510901478,-10.00613694678157,C,1
Jewish,C,115.53569114479818,C,-53.889455796887056,57.14545365159761,C,0
Other,A,-29.299489561729235,C,82.94819232302825,-135.90747231911132,B,1
Muslim,C,94.1809674970991,C,-51.29097642408951,-75.1403386657968,A,0
Buddhist,D,132.90576732840432,B,-197.01343114706424,-31.41687108703546,E,1
Buddhist,D,86.57375116945697,A,-120.05133756772027,-84.15379223604847,C,1
None,C,56.2834729593424,B,69.60957739519436,146.53197939480393,B,1
None,D,48.39378497824722,B,-104.59981395026212,79.60115901615653,E,1
Christian,B,74.72280154129069,D,-0.5761083816711926,-8.220047709726408,C,1
Buddhist,A,11.240695017952783,E,121.13392477411477,-27.318473748288813,B,0
Christian,C,-223.36470587422056,D,153.65266539592645,72.77166870157143,C,1
Muslim,E,29.59708120789267,E,-121.05116926594273,-75.15231886619361,C,1
Hindu,B,-140.6117953381556,A,-1.1311225308664872,-67.1141066045123,C,0
None,B,5.347633823609436,C,199.9712454657781,-25.11222516469874,B,0
Christian,B,-84.20508558987568,D,78.5946701813343,33.54974649009746,A,1
Other,E,-40.68989169498064,E,-21.67435855986296,-55.67306405544855,C,0
Muslim,E,-130.8451551136538,C,-151.3528870425733,-91.510402117204,C,0
Other,E,114.78412095447379,C,-202.84993527492517,-12.261272360925338,D,1
None,E,-200.0404347648741,E,-108.13478273114198,116.24332385811233,B,0
None,E,-12.510585843235717,B,162.4740900671391,44.68797525174172,B,0
Jewish,E,-176.16943623177542,B,-157.02241125762404,-23.999486606270473,A,1
Hindu,C,-232.2198190070488,E,83.85537282922164,104.2562261538077,C,0
None,E,-21.69346864470102,B,-160.5105171853592,87.67926852366995,E,0
Buddhist,C,43.12961976023315,E,-21.01935803464547,-48.674627707138576,D,0
Muslim,C,129.87335799771625,C,37.50344298731358,-50.357768365232715,A,0
Buddhist,E,42.27888606602124,C,92.0685217872351,-95.2949598880786,C,0
