religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Buddhist,E,C,E,E,A,A,A,63.787233571520076,4.97404895009457,B,-73.02123596243163,31.027472131146332,A,1
Buddhist,C,B,C,A,B,A,B,-139.2153976704108,15.78475797216847,B,-107.79112037550651,173.6786115155429,B,0
Hindu,A,D,C,E,A,B,C,-115.94802258524015,12.540462325863707,E,-77.32153500918977,-143.8496041479538,E,1
Muslim,D,C,C,E,E,B,D,27.517180652055806,147.52574924144355,A,-93.61985409549804,28.036973869237393,D,0
Hindu,D,C,E,B,A,E,E,60.27550546442083,-252.253192649529,D,-147.74204856199836,-251.92485467101307,B,0
None,D,D,C,B,C,B,B,106.25551584795869,-11.773537991754402,D,-83.3670281882137,-66.17330184805485,B,0
Hindu,A,C,E,A,D,D,A,-76.03005052259226,83.59280106944904,A,45.53873237189624,6.7066854960995,A,0
Buddhist,E,E,B,E,D,B,C,-32.55355700785717,-45.58512138178176,A,-87.72628076297374,-189.14093015866283,B,0
Other,D,C,D,C,C,B,A,-26.32118645885648,93.89556260896802,A,-8.757820651163588,77.19438614751797,B,0
Buddhist,E,A,B,D,D,E,D,-48.95021498425063,20.637541868820538,B,-6.580958369357409,282.98197087613767,B,1
Jewish,E,E,B,B,B,D,C,5.139821368639834,-48.768960427611866,B,53.67202716984956,47.98619015737925,D,0
Buddhist,E,B,D,A,C,E,A,-241.96110737221824,-42.952831043731685,B,43.135372372851,64.24464531269565,A,0
Muslim,E,B,C,A,B,A,B,-77.35110273099527,-99.42076420977511,D,-47.58885846445344,13.101815799630273,A,1
None,A,E,D,E,B,C,E,-84.33668935378024,8.050734339022258,E,-181.91247645670015,40.46575547621005,D,1
Hindu,A,D,E,C,B,B,C,-38.445397828956146,-48.75090155425411,A,72.88826149781563,-68.66555034313546,D,0
Christian,D,C,E,B,B,C,D,-21.499025311295426,-76.22060502000191,A,39.25603243514187,51.216366107463884,A,0
None,D,B,E,B,C,B,E,29.746224118455046,-120.37626921299898,D,-21.212017601060186,-89.11260440298871,D,0
Jewish,C,E,C,C,B,C,A,-39.57510501154922,-45.15036813500903,E,-336.38655396994193,3.316502051219652,C,0
Hindu,D,B,E,C,C,A,C,50.06759710339536,-37.38096416597055,E,21.630306471725536,21.003143861425755,B,1
Muslim,B,E,B,E,E,C,B,106.50885267282568,-28.693834565560785,D,67.02336083962955,-52.711380951550346,C,1
Buddhist,A,B,C,B,B,B,A,-58.556224457470364,21.4452473740391,A,-233.0999986251523,38.6771496336248,D,1
Christian,B,A,A,A,C,B,B,-172.80600071291218,57.47075028191676,D,48.209150592349886,7.874884808897331,E,1
Jewish,A,C,A,D,A,A,E,49.88269236814207,-107.60414703292591,B,-48.99696660490377,-38.65374317707278,C,0
None,E,A,E,C,B,B,C,-2.9684975961288274,-68.9219898934758,E,102.66597316807815,-92.02278324823652,A,1
Other,B,B,D,C,A,C,B,32.01224812830682,-185.8100500993339,B,-29.95178073233109,-113.89267131573177,B,1
Buddhist,A,A,D,D,D,B,B,246.86397338850333,70.81460823838079,D,183.8675878321778,109.17013182816939,E,1
Hindu,A,D,C,B,B,C,C,42.22057092382975,6.507137203730308,D,-106.65507869227086,136.5516988822415,D,0
Christian,E,D,D,E,E,D,D,-78.70010089051263,16.74708321929515,E,-19.664329868383707,120.69592243058425,D,1
Christian,B,D,C,A,C,A,B,53.633796781633066,66.12684501974786,E,106.21796253429554,66.68086211925215,B,1
None,A,B,B,A,C,C,E,74.48674925201044,-49.16801387242679,E,152.50825736989836,-87.99810951579502,B,1
Jewish,E,D,A,E,E,E,E,-5.417541429251588,42.316760408252904,D,-165.62634583264054,-87.71607387799804,C,0
Other,B,D,E,B,C,C,D,2.0797962118721465,88.42443589726214,A,-171.54272550482713,-76.6631455082517,A,0
Hindu,E,C,C,A,A,D,A,-77.73594418631272,71.69131722367456,D,-8.484435038087636,-4.779443051324981,A,1
Jewish,B,D,D,C,B,E,C,-70.4327734089112,-53.32736661844074,B,-84.21005366275804,-7.535169369769849,E,1
Jewish,E,A,E,E,A,B,C,-78.1496849952442,204.33735433347007,A,4.839082663426513,-142.982257824122,B,0
Muslim,B,C,B,D,B,D,D,167.43878653958575,-22.037497186050388,A,2.5798917685368887,-152.6633728038141,A,1
Other,B,B,C,E,B,A,D,-65.0361767949678,144.89899926296502,D,-29.222826472252052,-61.644750854067595,B,0
Buddhist,A,E,C,E,C,D,C,-93.46356114688183,84.42131854052516,B,41.2670909713844,-89.64914615101915,C,1
None,E,E,E,D,D,C,A,-142.00305782201366,-49.16669259831734,C,18.544355671798716,-71.25361911674992,E,1
Other,D,A,A,B,A,C,B,-13.743042619010943,1.0452179769898111,A,-91.7394841078824,167.75157324645315,C,0
Jewish,A,A,E,E,A,A,A,-53.721331956907505,-66.12478610115625,C,17.19890687245821,-47.79801702782811,E,0
Hindu,C,C,E,C,D,C,B,-102.66952503634128,32.63044071995556,B,-63.85412516533921,243.78808972538906,B,0
None,E,B,C,A,E,D,B,73.81168977553313,133.41534041028473,A,-41.51341857507484,56.28584485684092,E,0
Christian,C,B,C,E,B,B,C,-184.246314474282,-42.75510501275873,B,57.15947226553669,-18.460569585595803,C,1
Other,C,B,D,A,A,B,A,162.14774916656708,-144.99309264292737,B,-179.76892019757182,-53.133230363976146,E,0
Buddhist,E,A,E,D,D,D,B,22.249961682144317,34.251909126443344,A,117.81265091518058,13.82035547811776,E,0
Muslim,E,A,C,D,C,E,B,83.19524365157378,16.360475819169217,B,30.829322366673416,48.06424206531906,E,1
Buddhist,E,E,C,E,D,A,A,-59.27587413635289,-38.5231502919688,D,0.8442518993184924,178.1294828730568,A,0
Hindu,D,D,E,B,E,A,D,-144.77113447078952,-111.16334082771431,E,-44.646910748647265,90.53444803149378,C,1
Buddhist,C,B,C,B,D,A,D,54.58726209438053,-7.0457659061718765,E,115.2941019656836,1.2545482193382167,E,0
None,E,C,C,E,B,E,D,-80.63487209496269,-148.75041071693545,A,-172.47390070786457,-46.91704506301867,D,1
Jewish,B,E,E,D,C,A,C,-25.445587310941086,8.775523979647962,A,80.79609255250291,-101.07523114843546,B,0
Hindu,C,D,B,B,E,D,D,163.81915068045816,-19.378773100291923,A,-4.777754167052071,-68.50038597121679,E,1
Hindu,A,D,B,D,C,D,D,-128.1643396228517,-12.610418069610297,A,13.46963689424229,-12.14020088096067,A,1
Christian,A,B,A,E,E,B,E,-7.789510734620383,164.84555323521792,A,127.67880457793854,34.16109231798386,C,0
Other,C,A,B,A,B,E,A,-134.0155745621634,-102.88841914523006,E,118.41768441248404,56.26789793439602,B,1
Jewish,B,E,E,B,C,D,E,81.92981446863327,-59.6781236559207,C,61.292370206534216,172.88823901910212,B,0
Other,B,D,A,D,D,E,B,-109.61495523171865,-142.20206498983484,C,-29.981679102476615,-190.35647012864263,E,1
Other,E,C,D,A,C,D,B,-11.797922760680015,28.233457539485272,B,-4.658124604272802,55.80788484434627,A,1
Jewish,D,A,B,E,A,B,E,-26.75711984305218,-220.7835518764029,D,10.141844595955076,128.750744022845,D,1
Hindu,E,D,C,C,B,B,C,31.47188680089601,-71.75229331119657,D,-131.8324683200932,74.42760311282119,C,1
Other,C,D,B,E,B,B,C,24.398977874837833,-229.75508557695915,A,39.337305393847,50.51090682348332,C,1
Buddhist,C,A,E,C,E,E,C,10.54371525978363,50.334166506824864,B,91.2443338111365,-64.04821095063792,D,1
Christian,E,D,A,D,A,E,B,-56.54072982613387,-101.36448687211934,C,82.18198745132267,312.9205573537622,B,1
Christian,A,B,D,A,B,D,C,-41.8048707063764,10.316491953865025,E,-182.66295918651235,139.45370639752187,A,0
None,A,D,B,C,E,D,C,91.86366709071663,8.589384499423879,C,221.28480272381114,-112.95622735723934,A,1
Buddhist,B,B,B,A,A,D,B,-8.33844035689942,112.57636228660952,A,-81.70792710826032,-43.98206459731449,C,1
None,A,E,B,D,C,E,E,-206.29504067732177,-5.86944661259643,E,191.7253175581878,29.774196641608697,A,0
Jewish,C,A,B,E,A,A,A,-14.396694216599892,184.65995361415034,A,103.24679288371912,54.08454199664342,D,0
Buddhist,B,B,D,A,C,C,E,61.57887914485015,-52.39877642385107,D,-65.86320141671735,-177.47501711970958,E,0
Christian,E,B,A,E,E,A,C,118.20106050893237,-126.97427740587702,D,7.5534019359305145,-87.66276246357715,D,1
Other,C,B,B,E,A,C,D,76.53388245628776,-82.19434815976263,B,-66.16589510490081,18.882950940148298,A,1
None,B,E,D,D,B,C,A,32.983278696031995,71.42457353597106,A,-131.42521240091014,24.450691034965228,E,0
Other,A,E,A,E,E,E,D,141.93286698709036,29.162073203865468,E,45.73085515345588,-10.58122074850476,C,0
Buddhist,A,D,C,A,E,C,E,-49.59218076564416,-64.6249033274111,D,80.74601229686171,-47.789685792964676,D,1
Jewish,A,C,E,E,C,C,A,100.20538819521494,-64.21529867769641,D,-107.40872606446963,81.50313655296873,D,0
Other,D,A,D,A,C,A,B,-10.756381930755689,40.64588135725105,B,103.78372280467987,103.5587044891459,C,0
Muslim,D,B,E,E,B,D,C,27.617849836477692,-103.2666289757958,B,239.4797112952408,-1.8359189790664425,C,0
Christian,E,A,D,E,C,C,D,-168.6516119916728,139.29078117413948,A,-100.17532760639227,77.867600194516,B,0
None,C,D,A,B,C,C,D,67.45152391884393,71.02376583045724,B,-32.69840528339332,-113.83768674142331,C,1
Other,E,E,D,C,B,C,E,56.90211931549061,-17.37779991731706,A,2.108861882093658,7.312475901861067,D,1
Muslim,D,B,E,E,E,A,A,-169.34904013589016,142.31513251100066,E,4.06911426133776,29.307039148194875,A,1
Other,A,A,B,B,A,E,A,-135.473376400064,-150.39533839265573,B,268.2929153175863,13.798464171976995,E,0
None,A,C,B,B,E,E,B,-21.711078787170294,-111.51181984120906,D,-12.052766613220125,137.18447955352758,A,1
Muslim,A,D,B,E,A,A,D,-49.99730519175543,-6.754791766050093,E,109.84258296886122,72.24225116044677,A,1
None,C,D,B,D,E,B,E,-61.14852334360309,-1.9472327777878082,B,-106.05683884743104,27.367095679530596,B,1
Hindu,E,D,A,C,B,C,E,-54.094778437345084,34.94362473006484,D,-19.510112749695153,-99.74705647690179,B,1
Jewish,C,C,E,D,E,C,C,1.915412387198716,70.38251752906031,D,68.85948386114879,-146.5387334479455,A,1
Muslim,C,E,D,B,E,C,C,12.447675787826835,-140.7098790095947,D,53.93594277671987,-38.19779886211578,A,0
Other,C,B,B,C,A,E,C,-169.3160472342118,-12.02121481180534,D,117.14140748595163,-207.44924156072898,E,1
Buddhist,B,E,E,A,D,A,B,150.492637439103,-54.43627363293029,D,-36.282993536193274,12.113630730814833,E,0
Other,E,B,C,A,C,A,A,189.20260686793867,-23.07979368990651,A,-85.25620749846426,59.24460616739429,E,0
None,A,D,C,E,A,A,D,134.29449790203557,116.70558403598979,E,-32.81029101676271,64.04591974981943,D,0
Christian,E,B,D,D,D,A,E,-123.6200359123934,-71.85569300767592,C,235.6333591005764,105.3934258674934,A,1
None,B,C,A,B,A,B,C,-54.17161182509149,-125.28725489914817,C,23.10481026437783,-26.807941620587737,E,1
Other,D,A,D,D,B,B,C,-72.29310036124014,93.65249337020933,D,8.013446408283183,41.62457527941437,B,0
Buddhist,E,E,E,C,A,D,E,-58.1050514607987,46.07814786673201,D,-102.50976295053584,-62.34650506519635,D,0
Christian,C,C,C,B,C,C,D,-71.48672010432313,80.8149693282228,B,8.811416344702636,-85.56142374893855,A,1
Other,B,C,D,D,B,E,D,-31.77761868830445,104.42676724909863,C,77.07009285904087,-48.57972778203521,E,0
Buddhist,E,D,A,E,A,A,E,-58.076729463646984,93.83644147231503,A,52.6566859329786,-222.65698505022476,E,1
Muslim,B,B,A,A,C,C,A,18.82779477713701,-4.127138988229761,E,-37.79611919228251,-51.8531611427393,D,0
Buddhist,B,D,E,C,C,A,E,-152.89028047492494,-61.94089969442403,D,-179.00101753942795,-139.61598307823587,C,1
Muslim,C,A,C,A,B,B,E,-30.103628779323994,-24.755199138230076,D,-205.50676235614688,-136.84183054562527,D,0
Christian,B,A,D,B,A,C,E,7.032949004390201,106.60645133787021,B,72.88565474484899,39.40817174995814,C,0
None,C,B,B,A,E,C,A,34.92440258540954,60.10461099083862,E,143.07986216475913,-69.2148569520875,D,0
Hindu,E,D,A,C,D,E,E,-189.47368082899487,-50.56532068253038,E,-12.330213739834987,-7.009208343286113,D,0
None,B,E,B,A,C,E,A,95.20207109752633,30.461616598455976,D,19.876098665860116,76.73492926918645,C,0
Christian,A,A,D,E,D,D,B,-33.64664234546507,44.76561279528324,E,-62.894216780487255,105.29668723841247,C,1
Other,C,E,B,A,A,B,C,17.37928631236923,22.54831076426478,C,-7.400632032473808,-119.23409484721755,E,0
Hindu,A,D,B,B,C,E,C,-94.91172721330913,-192.47811541338007,E,18.75109670844923,140.45826987670156,E,1
Other,D,B,D,C,D,B,C,-115.05714250989654,-59.022825766479095,D,1.0380772318783675,-200.06191595419054,E,1
Jewish,B,B,C,D,D,A,B,117.47569663104393,-45.92258467425587,A,-134.34147176984945,118.21190888009967,C,0
None,E,C,B,E,C,C,E,16.141999527759225,58.047742180289404,B,-18.447394058114668,-20.487911295163048,C,1
Other,D,B,C,D,A,C,E,186.69836540599513,123.02090573749953,B,-234.19843693045718,21.245721179365614,A,0
Jewish,E,E,C,A,A,E,C,21.165646815712496,96.72086246798985,B,-27.304980710433114,4.061320089018026,A,0
Jewish,A,B,A,C,B,D,D,131.18989039052357,26.503717437608366,C,-56.35872821787078,-81.72733366394526,C,0
Christian,C,A,C,C,D,A,D,-68.10951419663989,75.69923518674808,A,74.49754052184745,47.73285214454403,C,0
None,C,A,D,B,E,C,D,43.208357353276405,32.234292649392486,C,-39.18259374198145,68.39115292529905,A,1
Jewish,C,B,C,A,C,D,E,101.68555221363427,-44.86282971783838,B,-69.14825592252981,25.515669162901027,C,0
Buddhist,E,D,E,B,E,E,D,-93.89418322305809,72.21274945985016,A,90.72711828351284,41.66337403940605,C,0
Buddhist,B,B,A,E,A,E,A,-12.227331828304825,-128.65081477259918,A,110.88885504363759,-63.78576553927429,D,0
Buddhist,B,B,C,A,C,B,C,-138.14204432615836,-21.0522224264772,C,38.25206889056446,172.62976036043773,B,0
Christian,C,E,B,D,B,B,C,22.61616163681759,-43.10295482892496,B,-76.41098844907273,-11.285461856560092,B,0
Buddhist,E,C,B,B,E,A,B,-24.454763133744795,105.33178364820695,C,164.0097464303976,-102.15940875805738,A,1
Buddhist,B,B,C,D,A,B,C,0.7920075136151308,53.66788480079517,A,138.1175855398886,10.90954900266861,C,0
Buddhist,E,A,A,D,C,B,E,44.72103261899628,38.51696075673334,B,-91.60317620789432,68.77344418079103,A,1
None,C,B,D,E,C,E,B,-87.66861507527643,-229.3431370618534,D,-81.08099167662338,-53.05644456326664,E,0
Muslim,B,B,D,D,C,D,B,254.5871422439887,140.31443449827188,A,30.76913635154182,-0.20263292579643916,B,1
None,D,D,E,A,B,D,A,-73.33050723097939,-272.8007579440677,E,121.53450387455923,166.7063278203069,A,0
None,B,C,A,E,E,D,A,-124.50540137021655,-17.29803862606386,B,-133.84839378694457,14.720991009421791,B,1
Buddhist,B,A,C,D,C,C,B,27.984827312227612,-32.4308985480945,C,17.76168368695287,21.70704741520053,B,1
Muslim,B,B,A,D,A,A,E,38.49035677397158,56.59316789041105,E,55.60435392263729,6.064300074487786,C,1
Muslim,D,D,B,A,A,D,B,90.75352162649038,61.72267108251539,B,-73.49811542570443,89.8264239879663,A,0
None,E,E,C,A,D,C,A,66.34424967817316,-10.769783397692951,B,-47.685939293107424,-5.766353467202726,D,0
Hindu,B,D,C,C,C,B,C,-5.8629703638165696,81.23765390171208,A,7.071450330853031,13.872603050909005,D,1
Jewish,D,C,C,A,B,E,C,56.21174383161471,15.500704317177224,E,157.48952317192234,122.47728219632789,E,0
Buddhist,C,C,C,C,C,E,B,62.21080171092418,-187.30065763368162,B,76.09501232875087,-58.18149181274316,B,0
Christian,C,A,C,E,A,C,B,50.21974198126641,-54.04423096246992,D,-128.18716689337302,-74.9049734307561,A,1
None,A,B,C,C,C,C,C,132.71684234200728,109.6468151384989,A,-73.19204902390007,-259.02103388245934,A,1
Other,C,C,C,B,E,E,B,2.38410349348252,-7.767520323099674,C,-83.75317113533788,-91.18493026668277,D,1
None,B,E,A,D,A,A,E,-41.34985162773525,18.987043567277066,D,-154.18098056727715,72.0369301970886,A,0
Jewish,A,D,C,E,D,E,C,-86.67628438176035,-47.663703237341295,D,81.37262954296075,-26.184314909664057,D,0
None,A,E,E,D,E,B,B,57.128289168928546,134.10659823199887,A,-138.45273973090568,-30.601738541864176,E,1
Christian,E,E,A,A,B,D,E,46.58913800294107,-33.78769654570392,E,-4.031270188301135,-17.240472185583386,A,0
Jewish,A,D,C,C,E,E,A,161.1694960619037,-40.17611133540902,C,26.268625020839448,-37.176707603349776,A,1
Muslim,B,E,E,A,C,A,C,-135.51168453567988,-10.562501475054765,B,88.53193399410684,54.191719717904604,A,0
Muslim,A,D,C,D,E,B,B,-17.832710469518805,-38.518467519718925,C,-19.81074018914224,-128.8507012707337,A,1
Jewish,A,E,A,A,B,A,D,-198.03152027361358,-61.84342187069023,E,-103.80460908768742,-11.131286928943176,B,1
Muslim,B,E,E,E,B,C,A,14.002194497766396,48.531793691942546,D,58.688414786467405,59.40554937383966,C,0
Jewish,B,C,A,B,B,E,C,-162.17357345825724,44.13573285511107,A,-46.49489599101805,15.353691889568912,B,0
Jewish,B,B,D,B,C,C,E,-81.57058111282417,138.86861854788052,D,-45.0504901750289,202.69276622669304,A,0
Hindu,E,A,A,D,D,D,E,39.917382016570166,-10.553295048706655,D,66.3944910123673,-74.81070959585121,A,0
Buddhist,E,E,B,E,D,A,C,1.7056814509371927,67.3239379667541,C,70.68133082049833,-65.27217504336436,B,1
Other,B,A,A,B,E,C,C,-185.35097656163134,49.922673244217044,E,-8.557933711215902,10.05888789372115,B,1
Muslim,A,E,A,C,C,C,A,-94.64102541641995,-65.58871969741536,C,-322.80778738341445,-14.135561637936014,C,1
Buddhist,D,E,B,E,B,B,C,33.110829361210435,-93.44855158893043,D,176.7193491677798,147.5157565434839,A,1
Christian,B,E,C,A,C,A,B,113.06713300762195,201.8720006588244,C,-252.1870971145121,132.5391371301948,E,0
Christian,D,B,A,D,A,D,D,-140.01608507985594,97.27828125313823,E,-118.14856862628056,-98.63742480618774,E,1
Muslim,D,D,B,B,A,C,C,-26.939248411827,162.00272353089696,D,-203.51331809845092,50.97597839468079,B,1
Buddhist,D,E,A,B,E,D,D,23.43580804201153,-152.7980102009225,A,-108.26604478624327,-174.69789588328416,B,1
Jewish,C,B,B,A,B,E,C,124.19964781526784,16.813597048742533,B,-6.509819550026203,-18.775557638876876,A,1
Jewish,B,C,B,B,D,D,D,-38.859676951840605,222.31193359306434,A,67.53945091925118,-200.00960351486827,A,1
Buddhist,A,A,E,A,A,A,B,-99.44687539550081,-201.84609173957267,E,172.53307038116702,-117.10702631318681,B,0
Christian,A,E,E,A,B,D,B,-153.38223076925297,54.275623698374865,E,-3.211679777617321,88.78663628904366,A,1
Buddhist,C,C,C,A,B,E,B,-22.153043697535573,-47.846355213400734,E,-38.143196995277364,-57.01283702401404,E,1
Buddhist,E,E,B,E,D,D,E,-11.455921037020628,49.29069259440394,A,19.458710083188738,50.63631558793051,A,0
Christian,A,E,B,A,A,B,C,-64.92809497057893,130.76866798702738,A,-14.674805243633227,43.32160466585591,B,0
Buddhist,B,A,B,A,C,C,A,-97.4624231937104,145.28091569810587,A,-133.86847416220405,-81.29153452902706,B,0
None,E,E,C,C,D,A,B,198.82274703734416,-64.70890272487213,D,-195.70705400657477,-108.17534202657373,E,0
Jewish,B,E,D,D,A,B,C,-40.54492781151852,-44.07795153791907,E,102.86341873361091,205.40975216878684,A,0
Jewish,A,B,E,A,C,A,D,104.96063726590779,110.82905926847715,E,-39.81918696129351,86.5620011727727,A,1
Muslim,E,C,A,C,A,D,A,11.726811981265811,-12.64440248696927,C,-31.76951584475582,57.888406954093405,E,0
Jewish,C,E,E,A,C,E,D,-60.02446635678418,-162.21763519432662,C,-36.887199339025145,26.813649467379253,C,1
None,E,C,D,B,B,A,D,-1.5946343935756895,-74.41855179284721,A,14.284941403341325,34.688805162344536,C,1
Jewish,D,C,D,B,B,B,C,-112.81625745094146,-55.549257974646274,E,120.74891896564289,-64.43970415932846,E,1
Buddhist,E,B,C,A,C,C,E,94.6551047313207,44.67045188832319,B,-139.6011588343538,-106.63803111874644,A,1
Jewish,B,C,E,B,D,D,B,-32.32774482775033,-86.899188921551,B,12.626916367344707,13.644102300158725,A,0
None,A,D,A,A,B,E,C,-84.89843561755772,7.791849451861893,D,-165.3132171686328,125.38463108611299,E,1
Other,E,A,D,A,B,A,C,-95.48371643625686,68.51037470736964,A,-51.3711155691781,103.96160757905584,A,0
Hindu,B,E,D,B,A,D,E,85.90067498835306,105.67806907545227,B,-84.86484168403197,20.94513133672673,B,1
Jewish,E,B,E,D,D,E,B,25.228223001325855,-16.651024056543083,E,-165.79787703048385,118.83299747299925,B,0
Jewish,C,B,C,D,A,D,D,209.6550047995893,185.4270103311877,E,-17.336006616900985,-31.54971484344037,A,0
Hindu,C,C,C,B,B,A,D,-47.752464947974225,80.5006540897779,B,10.464357559135282,-182.95078168164486,B,0
Buddhist,E,C,E,D,B,D,A,-69.4504138988159,-9.923206375685362,A,-174.76328807317933,-86.09508416328487,B,1
Muslim,E,B,C,B,C,E,B,184.86379201944695,-66.69324981429305,D,27.896072675836187,-55.73632767562565,C,0
Christian,E,D,D,A,C,C,B,-94.84344531106159,131.21955111848052,D,35.85993847014764,-6.769886026182912,E,0
None,A,A,A,C,E,C,B,245.15296284320297,34.81323962708397,B,56.170430481213565,-111.29367061222331,B,0
Hindu,C,A,E,A,E,E,A,-91.81160991545124,-4.966573456637864,C,-120.77568537590693,61.53126269529528,D,0
Hindu,C,D,B,A,C,D,C,31.922332825256017,22.071165291678692,D,-72.78875370815604,-45.975764461264255,A,0
Other,A,C,D,B,A,B,E,10.902528652343632,52.53262346852304,B,96.35889888719146,6.061653395807353,E,1
None,A,B,E,D,E,D,D,-87.22605476838629,-94.39574022129162,B,27.29522489528968,203.4355171994365,A,1
Buddhist,D,D,C,E,C,A,E,-158.40938508940712,-98.71233340713603,D,1.8248115980075788,17.189036106616452,B,0
Jewish,C,B,B,D,B,A,B,-33.52987668308702,-145.65490308586163,C,21.478760575865568,-88.0293027746444,B,1
Christian,E,D,D,D,C,C,A,123.43369980095251,-178.8789408353229,E,-44.49858438701528,36.18148771350332,E,0
Other,A,D,D,E,C,A,E,-85.57005082960384,23.492260159807472,A,24.504365722700143,20.594265351662578,A,0
Muslim,C,C,C,A,C,E,E,103.18235194873418,-186.61898178609766,D,5.428860493514722,134.28360891018218,A,0
Hindu,D,C,B,E,D,D,B,-68.51355268525523,-41.77980132205898,D,152.41849864778123,89.84912228847492,D,1
Muslim,A,B,A,D,C,C,D,46.95148385493985,126.81032191445969,B,31.52429288989172,91.22897672186174,C,0
Hindu,E,A,D,B,E,E,A,-111.83449504483151,-161.72259488561923,E,81.18434798196452,-91.85508368892047,D,0
Hindu,D,E,E,D,B,E,D,60.84901243722254,-138.28258337800256,E,17.919448071012965,-33.33960894543128,D,1
Buddhist,A,E,C,E,B,D,E,19.58920577722824,-1.4162690835275278,E,38.56675809721963,-30.252024309087933,D,0
Other,D,E,D,B,A,D,E,137.5073911618384,279.5353804245968,A,-40.99419091106666,-189.9751653913228,C,1
Christian,D,B,C,D,C,B,C,23.48550576039715,-184.86738798478163,D,47.55051349581927,120.3687078300265,D,1
