veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
No,130.66690142735084,16.42797873660054,-65.38972801833894,-0.4662990582646355,C,D,C,B,67.20777555034356,E,104.30311840624653,E,1
Yes,72.48690326762546,-103.64170915026101,3.2616330141236096,-80.0418356937371,D,A,A,E,-161.3114690146928,C,-61.22063472942712,E,0
No,11.60093572860134,100.38536279576566,-2.8435461104620634,-34.609676337032134,D,B,A,D,44.70353554378319,D,105.54839322541707,B,1
Veteran,25.729817759199285,287.9054393944078,253.69642268906696,-8.006864629179745,D,B,B,C,25.5812406841707,E,75.92003780051392,B,1
Veteran,-94.79367354935648,110.55960535406865,131.51448327273482,-148.9143725815546,E,C,A,E,215.80394155377846,B,63.135062514519745,D,1
Non-Veteran,-126.58701047364845,45.86602153818271,-104.76707405167292,104.30533518457123,E,C,D,D,-105.17683530383772,D,-169.70440062258453,E,0
Yes,12.796397131109213,7.933576255228888,-85.9944569971192,-17.83094120674827,B,A,C,B,30.2558580222562,D,98.0800319307805,C,0
Non-Veteran,-85.49919899041225,76.56774650664224,114.39593746996428,-62.051797945120015,C,E,B,C,68.59029230922155,C,178.91842590468113,D,1
Yes,189.08607568228075,58.55156831730962,67.05733776187476,-10.951423180267623,D,A,C,B,-15.917654527078584,E,-126.2706101412247,D,0
Yes,137.36659552662303,93.13592829691024,15.202604623876137,79.15712640467214,A,E,B,A,66.93785060592765,D,45.482395277177815,B,1
Non-Veteran,-140.8233259269532,-70.64751583776176,106.56207033407847,6.926510808559037,B,A,C,D,90.0137756394501,E,94.79782751895829,D,0
Non-Veteran,72.91473003055646,86.62474643014197,-35.792320221126985,74.79912193482632,B,E,D,D,-106.98183348975125,D,43.49296462656146,E,1
Non-Veteran,10.06814375499653,116.56005129479945,82.38766655099677,-46.28335590535085,D,D,E,C,-83.93445033593363,D,-74.58709651404246,D,0
Yes,115.5507962263433,-179.027092734139,-4.786171877433683,-49.54032181145544,A,A,B,C,32.439621695008576,B,-106.62760884322147,C,1
Veteran,181.09833035415554,-110.45436738225223,31.347300764103608,-9.253460736559079,D,E,D,D,-19.983763443224895,B,33.60982381750244,D,0
Non-Veteran,-15.7178417853786,72.50455944992257,33.90930502391011,69.33118948357185,B,C,B,C,-155.55620024919642,A,-81.74768930449258,A,0
Veteran,-179.27486486419505,-65.98050015835909,-69.41934826784271,-106.69741864478435,A,D,E,C,41.39249311430758,D,-38.65567836307449,C,0
Veteran,-2.434748526216111,14.042053322724653,0.6773709993134561,39.384924080969306,A,B,D,C,-217.92873672266762,E,-110.83596823742197,D,0
Veteran,51.722742665801306,119.20155932977335,83.49822490001557,34.2943596557318,A,A,B,D,91.25141948047694,E,-1.1957027716603383,D,0
Veteran,30.203773689472964,31.142729910168466,-0.10624390868136516,72.71829704305505,C,B,D,C,96.30253026995067,D,11.114169848555168,C,0
Non-Veteran,62.24234201982103,-65.52263520808673,22.140768277362877,-146.58027606150074,C,C,E,A,13.889710143467024,C,113.99672665462322,C,1
Veteran,-134.51643081872885,38.01896656655903,-20.745999540871924,48.26401809784498,E,A,E,B,55.08464533001289,C,56.59448789428508,A,0
Yes,-20.16147584718509,-52.533253077358175,17.39498224190279,-82.65823777045036,E,E,E,C,-44.183698963673024,C,52.893062899736755,D,1
Yes,-116.2574685427982,-60.704372995045205,-61.44976850311398,-12.973686341103516,C,B,B,A,46.97080702884355,A,-80.8902908775461,A,0
Veteran,-82.39725386337562,-43.707500343857426,-114.43123690494097,-132.34768347793096,E,C,E,E,-130.65690730700507,C,95.30475375558157,D,0
Yes,-73.82599575086182,2.3942685206274588,-25.60646519892312,34.560511906324116,C,C,A,C,-65.00210149135144,B,-152.0342048271783,E,0
Non-Veteran,103.1028362978428,18.5886909323428,89.07117812982052,-126.31910722665742,B,E,E,C,50.65571163591991,C,91.45062764019592,B,0
No,154.15440398234165,-2.7709119368049393,172.62490619076218,-25.40438081175351,C,D,D,E,-111.63346072117568,D,65.72532970057273,B,1
Non-Veteran,86.51772448545145,-172.4136840819129,46.818370576814296,-57.92688571204591,E,A,E,C,28.064865802544293,C,-108.95297507213068,C,0
No,-133.69845526471457,-4.468226851033922,36.253017552722376,66.18254265775072,B,B,E,E,-82.87185140514183,D,-112.67174577249452,C,1
Yes,-15.90298766990744,-135.12368572634534,2.459406580436058,-12.429523140135817,B,A,C,A,-36.74318270100334,A,65.30264718799744,D,1
Non-Veteran,133.33067237675542,146.30899649025432,44.265823970791594,14.19072705292993,B,D,D,D,129.6718544522235,E,32.883282232570735,D,1
Non-Veteran,-34.903237381678245,-88.67906360580291,-151.893435068307,-31.664035135624413,B,E,A,D,-21.017047637879003,A,126.75790596363858,C,1
Yes,-15.466871221781487,-38.22519656888572,43.274336559095495,-68.81887927747118,C,B,C,C,20.700822501619527,B,20.761964165618153,C,0
Veteran,181.25948854838748,24.17245644263463,46.52986265540621,138.3879518515418,D,B,D,B,-233.65755565427168,E,-55.88918395256256,C,1
Veteran,29.689627600655683,-153.6093416295199,125.27838291310265,-79.2836853977916,D,B,D,E,51.40885982025918,B,13.303816327611775,D,1
No,-153.7438639123116,-27.519132844311358,60.13661588071185,235.05060521324413,A,B,C,A,-60.839108347869356,C,-37.54357063238906,A,1
Non-Veteran,-31.725121954511458,19.360127235825807,68.795006170194,-49.49494234579644,D,D,D,C,-205.50611046451,C,-122.15643747571978,C,0
Non-Veteran,16.775155277712017,-79.12944460020573,-112.39013915063848,-108.02244601412627,E,C,E,E,27.3193371339363,D,114.73760317453494,A,1
No,56.507665418211495,84.17816064448537,44.069489352529864,92.29025435619704,A,B,A,D,-22.996959301079464,D,85.05690644810963,D,1
No,28.852063600124456,19.587727720841176,-60.39908931403182,106.29387784766482,A,E,C,E,85.83505806319414,B,20.094641951150408,D,1
No,83.9564108972101,38.04127273857011,-131.56063164643652,125.36618111128372,C,E,A,A,3.3160489150144272,D,-100.68632829011565,A,0
Non-Veteran,155.02088073818928,-20.62062400876036,-10.530837007869993,-110.67379516206788,C,A,D,C,-1.7407476330017546,C,-13.324125394222094,A,1
Non-Veteran,14.141954044998,-91.3083958382224,59.933663527520686,10.309597890544861,A,C,B,C,-89.8946045581885,C,11.635491987898886,A,1
Yes,-24.30798392208874,0.17215909378281574,189.06425824253213,120.60101460737924,A,C,D,E,33.69371643230743,B,90.55942565509328,C,1
No,58.88443660075981,25.803370401791337,2.520724140038377,-40.532232536348566,B,C,A,E,-4.927563381925712,D,96.74618009524968,B,0
No,-34.60139360592734,87.83959565670526,60.48274921046109,55.86032197387727,C,E,C,A,-107.56021583175168,C,-217.7954698943446,A,1
Yes,102.45591239665022,5.47723831451268,-48.10773065975815,-207.18912373302675,C,D,C,A,172.26273988543733,D,-101.77683465882541,A,0
Yes,19.240492669549702,-41.40768158107125,-44.99274205685372,-2.7461541669496072,D,C,B,D,87.97835096214189,D,118.20059857239309,D,0
Yes,48.06584743481265,98.36116831774287,-209.46372603547437,-25.087487880606684,A,C,A,B,-90.49317386767932,B,-126.43417454990747,A,1
Veteran,128.6605709286063,-128.63445222889632,40.96847813352112,-24.966778716673925,A,C,E,B,31.374731146752914,E,-42.63550908968219,B,1
Non-Veteran,-98.03295363076181,139.19954028203415,20.949914504533822,-9.53401680924243,C,C,E,C,-128.76817979383804,B,112.22497368875426,C,0
No,-29.906175208669662,-1.9707359953523573,-90.16388746957963,-76.86609695220106,B,C,A,A,-144.2409512666734,A,-139.16475377415776,D,0
Yes,20.729531738919245,213.78839703380515,50.67308488332035,-75.22330476110972,E,D,A,D,-10.570403224980998,B,-144.39445117726123,B,0
Non-Veteran,-103.9348341724681,-141.77457868549737,-20.556606727548722,30.91487752192367,C,E,A,D,-168.8682302388062,C,-4.441947853100698,E,0
Veteran,-61.952538891618445,66.70757718945258,-67.27393115609405,5.238420005124568,B,C,C,D,58.134329087578266,A,81.41346674895557,C,0
Yes,-28.283512356206476,-52.29973936796151,-42.59587669149651,-152.2296601191002,B,C,C,D,-109.8273618405452,D,-96.48404266898314,A,0
Non-Veteran,-129.61620742748877,27.54728474065885,129.86278954073362,-38.99523742741391,E,B,A,B,40.77608674310983,D,-25.620663061226622,B,1
Veteran,43.34243901935573,-30.88729462685924,32.79381757799994,17.88355381875659,D,D,B,A,-27.003036974255156,C,38.83290909008302,D,0
Non-Veteran,27.979026126949602,-8.186048410214273,99.26196595489607,42.3976826930447,B,A,B,A,52.550875350133694,C,-165.0328547595161,A,1
No,12.927155983557437,42.88742650634365,-41.22437354703434,3.0602321219673585,A,C,E,C,57.98346845897214,D,107.8868615874215,D,1
No,65.62709857243804,-117.33047030275881,-157.6936215678287,-1.801985720866579,D,A,B,C,16.375584332361587,B,-41.70039979463262,D,0
No,-95.68633990458389,53.86459078366115,14.945136524529227,12.36854069923993,B,D,C,D,70.26549214882597,B,193.213397599376,D,1
Yes,-21.67892200000561,77.00059834462522,55.297129330189975,81.04693071504573,E,A,B,D,84.46024706217798,C,-151.8930735858133,A,0
Non-Veteran,92.45259476546451,-1.6825142098113866,104.84093474122125,-173.6202857811818,E,A,E,A,43.4439251342757,E,140.45156576789336,A,0
Veteran,-1.227962488269842,-123.27904051350896,-99.52390046276928,-76.21981567116404,C,D,B,E,-17.68377317621435,A,-158.00519052779677,C,0
No,31.575778185161624,-71.43658905939124,-40.17396984025236,-92.63158026446513,B,C,A,B,-52.44022958498894,C,123.21777492936565,D,0
Non-Veteran,21.63601986526375,5.966795131045463,-9.578915264924309,-19.924340690522765,B,A,E,B,-149.75998389794225,D,167.78347497281445,E,0
Non-Veteran,13.177917127127921,-75.72511566618607,145.86059094984995,-67.75856470506618,D,B,C,E,112.14624883131346,A,14.542585061905417,A,0
Yes,228.65068328010773,-203.34434443441825,-199.31655597784385,-75.21230308433786,D,D,C,E,60.455480719741104,C,-55.83230910508989,D,1
Yes,-128.75234517103533,-75.65486685177859,17.346312495656868,-12.702812557606935,C,E,C,A,51.29051008362736,B,-24.105600577333025,E,1
Non-Veteran,47.821359716534026,-107.38366401358468,169.91846301093724,-97.10999365154983,D,D,A,A,-92.43901357578163,D,30.025915510604364,B,0
Veteran,34.48546804812983,98.85373610670757,-118.83707990646056,-71.20799996734492,C,D,D,A,-42.264352333150214,B,-14.860792334574482,E,1
Yes,144.2431934051866,-78.34239415052157,-27.143366601502546,197.82306638569176,C,D,E,B,25.126098289138415,C,67.50017107921533,A,0
Yes,95.60426394465846,111.85938501185393,-88.33138405564547,92.74313439794962,B,B,E,A,-145.6847197164826,C,-51.89663034718406,D,1
No,49.980653536267006,-189.13356670382774,-8.674036074563118,-8.073021155143358,A,E,B,E,-101.29437109877327,B,-186.65643793489292,A,0
Yes,-26.57250177038498,-346.8834690704933,84.97394466530345,-207.5988377534018,C,B,B,B,-225.99173400766824,D,-99.01801979498906,D,0
No,-30.956332355061523,38.02536082944902,9.080975280969295,146.3038898757189,B,A,E,E,64.15103692300266,E,-30.18684676394842,D,1
No,23.06960496931321,73.9912552259434,26.520181827461663,-34.64827270885375,B,D,D,D,28.213438889085594,B,54.47744383975529,B,0
Veteran,152.72245015509992,107.02323944108767,-125.52214733550015,133.7232059405614,A,A,B,C,-62.87841334710001,B,-58.458102620435696,B,1
Veteran,83.98166818198827,210.97216780313875,-12.0834619124167,-7.324876117406479,A,A,A,B,-209.07112715011334,C,20.01619910155628,C,1
Yes,29.84279986795244,24.575111395396206,-63.44699083826782,0.20717410450260312,B,C,C,D,65.4662391582966,D,-78.37477629335119,D,0
Yes,-23.576284575226534,-174.72712938408128,-78.64083637450047,-29.13385865834049,E,D,C,C,-87.44229033628872,C,56.994148214500306,E,0
No,35.43364564908617,182.31264272901308,-26.067118923923033,-78.39369316172422,C,C,C,E,-1.977175155166679,B,67.26439651953693,E,0
Veteran,60.86730027060465,38.049259594381354,-84.6600746787209,166.5540713299569,D,E,E,C,-88.53767011575799,C,86.0999303329361,C,0
Yes,-251.3594303833331,-213.81126370836284,-108.1339626142896,126.4623625268372,C,E,D,B,-32.50427323261706,D,-149.93837069216863,C,1
Yes,108.42196671023032,65.3213978328352,-143.50289088251282,13.492036754573153,C,D,B,A,-131.15688549129237,E,123.30385571304545,C,0
No,-45.86994621269751,40.12013932502277,20.18243909627823,108.66106840810386,E,C,E,E,-258.7565379655478,C,93.6751838671056,E,0
Yes,61.16336596573072,-15.78562488735325,-34.42413919973333,-19.708917083738783,A,D,C,E,146.54238657072764,A,-173.79668972753566,C,1
No,-52.25160496346237,90.3367184459595,-162.8984764908841,-6.981890769871011,E,C,A,E,66.19263733141047,C,154.65145488879998,B,0
Yes,73.26707857224943,-17.811388487528497,82.76314745764871,69.97313464288244,E,D,A,D,245.36764044292286,A,-6.504330209606845,D,0
No,58.694922006845715,149.9633002109121,89.23364563780397,-11.531458014697463,D,B,B,E,-142.86101908228736,A,-80.93758816389995,C,1
No,-43.633556949032354,-170.35628820497283,-69.15017196628425,-59.301248964563605,A,D,B,E,-138.5332361809329,A,-129.58258607459445,B,0
Yes,-69.41379777428932,86.38260204467244,45.11117258731727,-201.0651125905726,D,A,D,A,88.1082719820309,E,-10.669283659474209,D,0
Veteran,123.02066350057024,-37.058469372156225,66.13473253368826,9.247116337717722,B,C,E,C,-55.99481376994775,A,-16.173809961769873,A,1
Veteran,-144.02142007046342,-39.62564159931951,95.94331652087565,78.74009361481671,A,D,B,D,144.02161228628907,A,-167.03927553184857,D,1
Non-Veteran,-88.32587991002467,-28.434713089509195,-108.31821143452896,19.852772199028326,D,B,B,A,79.33180387310114,B,-76.69241160345749,D,0
Veteran,-41.42693474069391,-80.67041397411742,-39.83612694398929,59.17334685560479,D,A,B,E,154.56437620777393,E,222.06608441331483,D,1
Yes,11.209916325839977,101.42332047434573,-142.63063425823688,-134.27816540712539,A,B,A,C,10.016727820703139,D,75.33248099566934,B,1
Yes,-130.26765435436482,-53.338583076703436,-48.28647546176062,-136.57293182735248,D,C,D,D,-217.27604251146974,D,-113.30971768895228,D,0
Non-Veteran,23.366053232409733,7.937120155418896,43.52951580803056,-126.23064760125126,B,E,E,A,38.82664307555632,B,-197.85994622951907,B,0
Yes,-48.896824456829876,-69.93117882047132,-61.03166233445918,143.25243444588162,D,D,B,C,51.74760775202617,C,-177.63837787381453,E,1
Yes,118.98408801430598,182.09278797444475,-149.95579615286775,93.65884372371114,E,B,B,E,-0.43556409305581295,B,57.164258864907445,A,1
Veteran,128.63665690758398,-106.55632963595139,31.734514498857063,38.34467341068414,D,D,A,A,84.03401417524918,E,-43.57460194520676,D,1
No,-107.40510037373552,-135.50133904834146,-5.747934001878935,-116.66573060397553,C,B,D,B,16.366714896084943,A,-70.82161523796155,C,1
Veteran,-77.97595386080187,147.5417281801638,-87.73435992040126,178.94918789079355,E,B,D,E,194.03147369812936,B,-101.43959257705345,E,1
No,205.88056364992542,114.96201212377912,116.43147034118742,16.319915212644982,E,C,C,B,44.45512332459468,E,14.815061649486974,D,1
Veteran,5.755251581709511,23.847342504581167,-81.86147042645742,-112.2798951290833,A,C,D,C,-94.6807161060208,D,-165.9520709161321,C,1
Veteran,-138.7957806130536,0.25458197656225945,-206.11175049965968,182.05351122872244,C,E,A,E,21.318890359364147,E,-117.00214854184247,B,0
Yes,-6.197660555620152,90.31429888087736,65.13890931879249,9.051966253808825,A,B,B,D,-151.77454026923718,D,158.0500775825804,C,0
Yes,-208.997630276314,-16.50332774825966,232.7293804149236,-45.97579572611931,E,A,E,B,22.412403127747744,C,-196.24086523698088,C,1
No,67.11005890034298,-68.81276204306324,140.47854318292562,40.89715584781636,C,B,E,E,173.1809164723761,D,-22.45631574896249,B,1
Veteran,-122.32615510033362,-38.86675570276121,109.50721005647146,83.85911802643538,B,B,A,A,6.920794833552393,D,-48.68766131370961,D,1
Veteran,73.52887066740864,59.05610625190295,29.61139952100656,-73.77984198051118,A,B,D,E,-46.15847875619374,B,82.99561699242543,A,1
No,42.47271228208339,-142.60717014411034,-166.58286517384732,187.2112345502964,C,B,E,A,-34.74629861811261,D,-66.10469345926691,C,0
Veteran,32.06709466799772,-3.110383781053638,-21.68173371181031,73.00494758755211,C,E,B,C,160.28088559275932,C,66.7727302695361,C,1
Non-Veteran,66.43498149042432,74.55861393877976,166.57943792774776,-21.61610471272172,D,A,C,A,-178.40987053625344,D,-52.927845317455166,B,1
Yes,-80.95516341816449,-42.35390888637225,-102.04908132199944,63.33590185487571,B,C,E,E,16.35673238959346,C,-160.17800731811965,D,0
No,-58.683288822872306,13.03076299292409,73.08857196835186,-45.73227755645014,B,E,D,A,-8.20954766217609,E,247.01255181856303,D,0
Non-Veteran,-68.5510307643916,47.52854868084925,-85.64929657360494,-95.39125544387025,C,E,D,B,59.544653718061284,D,64.52038869925696,A,0
No,-7.842602727052212,94.79074233363269,23.456375240723204,51.094005913631804,D,D,C,E,83.23440417579174,C,16.90101453162953,A,0
No,4.396433365263313,52.974280903061675,-40.408946654562655,102.21747378017724,A,A,A,C,-125.50582797081857,A,-28.718157381228117,A,1
No,32.13040408031467,-12.750847897622798,24.352677095752842,64.63516121503497,D,C,B,D,5.623057769453475,E,-57.93907587278927,C,1
Non-Veteran,23.087702756853567,-40.41737909004442,69.13488879447861,135.53695832827566,B,E,E,E,-85.92182473348649,A,5.187303699999517,E,0
Non-Veteran,-53.67827148558983,-111.85957210298344,-128.65747994091538,90.6108073877567,C,A,D,A,-86.02068905257582,C,34.44086383238501,B,0
Veteran,-76.36333723392188,-87.39876319414935,-67.61565349886294,12.608449940843755,A,D,E,A,-127.19160721624819,C,3.079871045413395,E,1
Yes,-19.774572671181996,18.652288018474277,85.20854792353919,-92.37424498947058,C,D,C,B,91.1956219928452,C,35.854041130580185,D,0
Veteran,-66.6861574525175,247.50720916139994,-34.48285307660502,-72.23107156881184,C,A,B,B,-7.318205671222245,B,58.11887129623175,A,1
No,44.314865434636744,59.64815182105184,104.38108853185994,-70.2248108728998,E,A,E,E,-120.3919637424328,B,58.77048092318871,A,1
No,-24.736405069322057,-20.249126567018415,-50.904576449720174,-85.92485808419569,A,C,A,B,-193.7710214416144,C,-125.53542416489165,A,0
Veteran,67.38195795539366,54.657651008106015,-245.39773813731352,64.79084380597727,A,E,C,A,118.34517879438766,B,-47.13429087249907,A,0
Veteran,59.13507001874439,107.52411031049307,-68.49517199207489,9.001956263906072,C,D,E,B,-21.45591125265933,D,13.429406880528335,C,0
Non-Veteran,-69.19738657934612,85.74322695065771,-4.665360286616251,28.154129154846085,C,B,D,D,121.87756737798922,B,37.96779257111577,C,0
Non-Veteran,-30.37584770404636,19.171223636746777,69.15655830165508,19.915416031511594,D,B,E,B,145.4662129793819,D,-23.05924394026203,C,0
No,112.86374732361541,-6.5208258271748285,65.75319933817286,26.140502621716934,B,C,B,B,71.31121832810797,A,24.115428311903784,B,1
Non-Veteran,-35.42893741194166,-180.04448403836838,7.2541056008397735,95.21853698330031,C,D,E,A,-313.2874575408247,C,23.36865034953048,A,0
Non-Veteran,62.850257663876576,25.065566121533568,51.589944203784036,185.90055631176315,A,C,A,E,70.97992199363507,C,120.0661226679163,D,0
Yes,-40.364464276159325,72.99506763115401,-31.94424206218298,-33.91935436876765,B,D,A,B,33.9092878377925,B,-43.12913596687177,D,1
Yes,-36.50175583209671,-159.05698179306808,171.33663577311188,-109.15084691898534,E,C,E,D,-17.868638572492337,C,78.20685923176646,B,1
Yes,65.61762245430288,-88.45227679404745,-144.37037540262307,-8.431472502857188,E,E,C,E,-13.874248617511661,B,-69.27472517809078,D,0
No,-92.80620351238862,121.85014335660122,-43.3824024545348,-99.73711658456395,D,A,E,E,-192.64444765866565,C,-92.48546415050144,C,1
No,-74.58536633862516,-74.47208106569771,-154.8853139188019,-96.94147323675311,E,A,D,C,97.49621850619138,A,181.33225309306405,D,1
Veteran,-110.30786868836235,103.95717738809726,-22.794011890159187,15.670510431237181,A,E,D,B,59.05766606542606,E,-45.284969712973364,E,0
Veteran,-86.34118407917816,-46.484763868505055,-166.13388826705278,54.6040213248685,B,B,C,E,-89.5856697864668,D,19.805997394157647,C,1
Veteran,-38.98887070382073,53.4686517186031,-31.617330250638837,41.571681802797315,A,A,D,A,-7.934597482930489,A,134.68397736972042,A,0
Yes,37.300608355796214,-5.606950636114713,-51.55675541788452,65.74642007250745,A,D,A,D,-31.853797219781576,E,-56.66558622403181,D,0
No,70.0687542581457,154.79970969207895,-87.53262132090323,57.44235795221692,A,A,A,A,-62.00504185163265,C,29.84395532285217,E,1
No,-99.42182348326568,-69.68019919573548,-74.10801831810568,-52.543568838152844,B,C,C,D,-163.2235751982153,B,29.118811252982248,B,1
No,-77.73453968785297,-107.41830106440904,-10.062917320247102,-172.37577857092091,A,E,D,B,146.7474604491489,C,-175.75784966537537,C,0
Non-Veteran,-170.82011931174932,51.761403882924526,134.87997479022954,-221.24132177376134,C,D,A,A,51.007070564455645,B,-154.02709077303868,D,0
Yes,-57.684966724838446,-136.2488854701249,-27.993147890562103,11.88035055309535,E,D,E,D,-154.1509182024201,B,-13.238333018711753,D,0
Yes,-158.77314502749914,-11.655673878231848,104.66285030332241,-91.33179933741789,D,D,D,D,137.1961696217877,A,-35.145712656026525,E,0
Veteran,2.731715508692948,-170.1093467501392,209.20625084569426,-14.397988557200172,C,D,C,E,154.1612505292473,C,60.60706755565508,C,0
No,103.44911474950011,-59.3611919645603,-67.75199876150229,-73.65078655369516,C,D,B,C,57.97393490478131,E,65.60605230611449,A,1
Yes,71.76983072678243,-171.51574432855705,64.22621375231377,-43.77902540842929,B,D,E,A,193.72751001227232,E,-96.4267816275336,C,0
No,-34.31576754040398,159.13091348474717,141.95002060904665,97.42346358982608,D,A,B,D,-14.893938221923895,C,-97.45508866834497,E,0
Non-Veteran,-14.997799410797827,10.44227741830781,82.3975280326067,97.56875775626214,C,C,A,E,-24.031565491224512,E,-29.94511809784339,B,1
Veteran,-104.05789586490135,63.729948548211865,82.63879838606715,-77.48380095587387,C,C,D,A,108.20191749837973,C,251.99238966757497,E,1
Yes,6.015858923632971,65.38297386867602,-122.38307017041615,54.14869962244554,E,C,C,E,-207.38935678265906,E,-43.16930930326626,A,1
Veteran,-155.1909978269808,-32.34843422531025,-40.91126347579343,-38.48840912084258,C,C,E,D,-37.59781085422299,B,-13.420102595561076,E,0
Veteran,-65.56776679487673,7.15315774317127,71.27905870284886,-93.22641555313918,C,C,C,A,-24.852591931630137,E,25.574924225691316,C,0
Non-Veteran,-111.18999799004739,17.398809734559098,134.9176803350807,97.29368255791798,B,D,A,B,101.58483042839784,C,85.88216543839665,A,0
Yes,25.895311362852407,66.84688694546978,-113.94661067047369,-76.56112929742368,C,A,C,B,-119.85768166582847,B,113.16130970504481,C,0
Veteran,-164.24001725153136,-32.56623427662129,-56.88154366159838,58.10057823009116,E,A,A,C,-100.58744513331457,B,-137.67299781506082,E,1
Veteran,19.67071315503149,-39.83681603029917,-14.66841167758246,-78.87874582287238,A,D,D,C,-103.21378822535038,B,103.37704791267193,C,1
Veteran,-109.93792851933124,9.475394373510063,-76.31142283180151,87.79674810237557,B,A,B,B,-11.48616637708366,B,134.1012051632831,A,0
Non-Veteran,-57.612515013501294,-14.822900985603315,60.52295545781019,40.15895339374044,E,B,E,A,-119.91097421064943,E,18.48833475279784,B,1
Veteran,95.27346393302578,-57.94290797957995,23.64506182497307,-40.345245257904374,A,A,C,D,168.38515043594174,C,114.98577330144894,D,0
Yes,35.87442969246664,114.42957709866019,-145.12585057556348,15.263098130368888,B,A,E,B,-45.57410704227806,C,-127.16691996256372,D,0
Yes,134.84993156693133,23.020248238476228,-56.05621505917671,-62.75215078236952,A,A,D,D,7.118078640125275,A,27.10918822270377,C,1
Non-Veteran,1.8066903370246385,184.1282748398028,-45.91698030662737,-116.83047546903683,C,A,B,E,62.604372769610606,A,15.698846646040066,A,1
Yes,13.494052942407261,-70.64234745154148,-54.68249726491623,1.877930998967299,E,D,B,B,-192.66889468661745,B,-72.69748269517214,C,1
Non-Veteran,82.54541506533685,76.98129878773227,87.0831422006989,-29.81411839596574,E,B,B,B,-73.40535347547743,D,-73.56436340234036,B,0
Non-Veteran,-82.78130882698373,-163.19631561253314,-51.62778823161679,22.892084345221026,C,C,E,E,-152.99818017584352,A,-11.258342570456456,B,0
No,-28.391706479553836,-132.48571332933926,243.63040435311274,79.6571636729118,B,B,D,E,-9.812137706520893,D,-10.280639638684812,A,0
Veteran,10.896481776550733,-69.32709485490905,-4.7995841846271885,55.47638615484718,E,A,C,B,-94.91021637244793,A,-50.9477627179941,C,0
No,-153.43603588483677,6.45547524512249,73.640037873958,13.200183199675797,A,A,A,D,-79.82076027961071,D,43.44995281146925,B,1
No,-45.896241119025085,7.58769299135742,-133.15479799349475,-13.88610992167916,A,B,C,A,114.21789316938265,D,-91.76745442151861,A,1
Veteran,-27.56054048374211,193.10132328288952,-38.10441951573302,159.48360017865582,D,C,A,A,156.9023420417185,D,77.4372063726559,C,1
Yes,-63.78010926202368,-155.55399691582323,-18.252667893197525,-33.85071906526131,E,C,C,D,25.9053531918919,B,49.702909103696804,C,0
