sexuality,AGE,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,57,Black,38.210105316254825,-64.73600031490265,C,54.863045493032494,27.528638502099014,C,D,57.34735003610615,127.15873709681208,43.98528844623757,A,A,21.251455112157558,B,71.1240309247297,E,-55.13808608334252,60.77478250927491,58.22466820128363,1
Bisexual,52,African American,25.152880762808756,-134.02092974229402,E,-97.17222337181255,-165.68041858148456,D,A,-253.83106766905078,15.394410807090933,-241.62371612504435,A,E,185.64316260118338,E,187.74076278399278,E,64.12283894538554,-68.95594804351212,142.495245422986,1
Other,62,Other,-43.45121619173858,170.85615178913707,A,74.26192346676342,7.862372528605044,E,B,-27.395050669184474,-165.01495751579975,42.999568629109675,A,E,-99.1887896236358,B,3.8283316899999074,D,94.27860261857252,-37.61886042053486,54.13286307679406,1
Other,38,Hispanic,-31.309658700521897,-51.44256910894106,E,68.94922678775843,-106.3842746307323,D,E,-9.860027657602833,7.476131294184378,-79.57614261738215,B,E,-47.24746461120499,A,-93.94478923712225,D,-276.35499423698604,-158.1939968236069,80.199766138118,1
Homosexual,78,African American,-110.38153979378464,-65.19614397523262,C,-95.85495491995913,-131.97501126736483,E,A,115.79519724042333,127.65682413306398,-48.6506063609285,B,D,127.54708864194409,B,-4.959639957989428,B,-75.81273681987334,-72.90133570702939,-78.32902948782048,0
Other,29,Asian,-14.848032768518014,136.41026152029963,B,-32.81810864429452,20.290403706974764,C,A,185.22344928173106,54.54383833454427,40.327125565437356,C,A,117.90408896271086,D,106.03849646632835,E,-84.99125698711028,-9.18351082611646,48.67896728319977,0
Other,30,Hispanic,-190.08197748263012,26.63548926810427,A,-17.197610521667254,-127.0156899649338,C,B,-106.12965356001219,-200.42757486208225,61.404201448003114,A,D,-85.79632653789737,B,81.57836271262968,E,-93.16107241587116,47.66941275646307,-118.38870663109637,0
Heterosexual,32,African American,98.61115447746323,12.203783957342013,E,92.82527543387808,205.5285658595668,D,A,2.584258373645702,60.771148296887425,-81.40228231963339,E,D,122.31818704833589,B,-23.47252125854519,A,49.370185579960335,-59.583773709156986,-13.971999937702615,0
Heterosexual,61,Other,-80.09656126856974,-0.24672590211712808,C,-71.43672238273389,6.90562886231863,E,A,-228.66823267596206,-83.67023913064546,11.444802457223615,E,D,-46.95942262145299,C,-132.01132932893108,C,57.24386842299565,-179.61747419294875,-2.504001135407919,0
Bisexual,62,African American,-12.185715811608457,28.1605082023064,D,114.92214416448232,48.41317958441195,E,C,6.401473529974044,-115.58527862749146,86.06938224877013,A,C,21.472651986746573,B,-16.92694371855139,C,-15.141791181937197,-67.62287316342899,-76.03384006895989,0
Homosexual,29,White,-16.748343077639905,57.427468487642166,C,-162.4019870347041,-47.85688216265324,D,E,47.92407084326299,100.67393322321985,-85.51310677659262,A,D,-80.15729468237731,E,-123.25919327566366,D,-200.24447299510783,26.420631828103446,-4.947723614371915,0
Heterosexual,34,Black,-53.57627578841415,88.92797301980809,D,15.851408453317461,48.54957233611925,B,D,184.77345849152448,16.74694363225165,-96.65742174078258,C,C,-20.324763034438057,C,43.17870377543161,E,76.60370875977037,60.72229221077517,83.90110832578091,0
Homosexual,69,White,65.73764131899512,-12.198347328616983,B,180.83353157294417,-181.9260362396446,B,E,109.4393766676403,61.077130427393335,-16.598633283080478,E,A,-34.33283108994331,E,-61.004382414315636,C,16.752633458681185,-58.32593398514116,84.30786675026764,0
Heterosexual,52,Hispanic,49.50089027241995,31.20671491036302,D,-42.09771591946435,-111.94797546223198,D,B,-176.73071829313142,-98.36811428008359,52.961972362455626,A,A,-13.732241410061935,D,50.697785374684166,B,-86.34994827467017,137.02794021256796,-58.46138309197379,1
Bisexual,21,Hispanic,-43.87373213199302,-7.522153024087889,B,-178.61315666018692,91.90667820379153,A,C,-99.05342349331997,59.560731404695744,27.69815451813627,C,E,-31.798317598616787,E,-60.559577982141775,A,74.46807381133628,-58.38450516567365,177.45224843256676,1
Other,21,Hispanic,-186.1098784223229,108.52679518794044,E,-156.68715014150723,-56.92665891491948,E,E,263.2845481731783,54.04973529515061,103.09001237454727,D,D,-21.61014346139453,C,-56.41103396001748,C,-144.48800754288052,32.777411088331085,-101.9623051012478,1
Heterosexual,52,African American,-64.59942061165967,-21.749360161792595,E,39.08477194348163,-181.2624790481121,C,E,72.73854952687157,-23.95846525191731,55.71870928765441,D,C,-56.60678794637253,E,36.70679637926976,D,193.91918255776892,-52.175874963354914,-17.213392182900833,0
Bisexual,39,White,-148.3498015096468,-80.44841888615747,C,-68.66237883199254,-29.95202660032193,E,E,63.28567693383157,108.54976807190528,-23.234516639859002,D,E,91.05200420697209,B,79.1965189169342,D,51.21010708010159,10.726271998511958,-143.15017603060417,0
Bisexual,48,Hispanic,142.67850551102737,144.2413981339631,C,-12.841434040023483,20.44733203342487,E,D,80.45730328337113,-76.43410442379401,49.12593330291596,C,E,167.20015806116803,E,31.227339368671746,E,-63.67684480846783,-107.42381035855881,-58.00673676640997,0
Other,30,African American,7.212264000680098,12.114144371441386,B,-36.47506876563972,1.2246354331115117,C,E,54.79523740606744,257.02405292836914,75.08819575930134,C,D,51.52095285674243,C,4.742603859165325,C,127.60620165660409,-69.51458300171977,89.6557568044215,1
Heterosexual,29,Other,-119.21726888876324,-85.22347394271532,E,133.95763389594904,-14.231848941700287,C,E,81.39501052861638,158.23608792519124,27.52578588545745,B,B,102.41942533411476,B,-68.36199361713713,C,61.94052365478898,-99.28492108849171,-126.30326386770336,0
Bisexual,29,African American,-37.28890330736057,-53.18612478103068,A,-130.98736179773618,-12.735925938915308,E,D,-210.13149495066367,-83.07592903045091,17.625542439657256,E,E,104.36570654322612,A,44.3011371700943,A,141.36082594041136,52.32276367560774,70.20372227404546,1
Bisexual,21,African American,-36.08293366561163,213.5916806791811,D,9.114319170445409,32.23241276975941,C,D,-52.081338944943504,85.27384565106901,-91.80727240742682,C,B,-34.397595623064184,C,-38.34910716390388,E,294.2011116165147,-75.53085493623234,36.639391451026846,1
Heterosexual,20,African American,145.42920820063284,-97.1916137254961,A,-174.2462396459972,-42.93061100109624,C,B,-131.5649264297701,-73.34992223148888,109.11800093417907,C,C,-113.94159393653784,E,-94.95458114601796,A,23.158864440550033,144.175057777851,-68.26497456260029,1
Homosexual,32,Black,88.03891399301645,148.9935471415972,E,299.66865973460153,10.454821913076264,D,E,-2.0326553472625726,116.79493788473727,35.59601277611266,A,E,41.76125692433016,B,-91.0739568315876,E,46.45420338786503,-20.14068640884786,-17.121858463919864,1
Homosexual,31,Black,41.927729381239914,150.39986574109946,C,-87.93593701372549,-76.93926964119815,E,C,-108.74523584606457,56.612329261203996,133.06918961542962,D,B,72.17535923627024,B,45.625139066218544,B,51.10535978329299,-4.624082238882749,31.02009793646036,1
Other,52,Black,28.9278011836354,-140.1082282261469,B,21.47567875371992,-106.24072488709963,E,B,-24.456837908964495,177.20703407167838,2.1005694221896696,A,C,-3.2613332311324523,D,-33.51667135109693,C,89.0160852864102,179.4713675173301,85.6996118453974,0
Heterosexual,45,African American,47.400229078777606,-169.90288945309638,C,59.621787048454365,-9.418703279037766,D,A,-104.28334149871041,-135.48284522549716,-68.13754100639899,C,D,-44.59986931736605,C,8.0973408444101,B,198.61576614856622,-54.735017819824584,229.54908610973126,1
Bisexual,73,White,-121.74551655413168,35.05229148942651,E,-135.09178691622753,54.233819587804966,D,B,170.36992134220043,71.86120261797655,9.710697042427451,D,C,-95.3101921937553,C,218.8829978657675,B,-181.21218333269974,-64.6025501146941,133.93417187968154,0
Bisexual,18,Hispanic,4.251683734047735,-22.473777279543352,C,7.305002854533758,168.40534434267107,A,E,-111.8932250827622,-102.91079312125004,-51.849007252752244,E,B,-96.59277156912268,B,-4.226466723406084,A,-6.6440111326327695,103.82161487265031,71.59999834686025,1
Other,26,Other,35.0212959339127,-17.614342326897585,D,90.48875880681749,111.72438283600566,B,B,64.24494343385723,-8.811890118256423,230.78709670249603,C,D,26.41413790170178,A,53.32863464454427,D,-12.374498891409635,176.63883149809982,-5.2207993526001415,0
Other,59,Black,28.92791869583521,84.14630590123899,D,-11.750534161225552,-88.90189689927352,A,B,58.565280435973165,-94.44724561699425,73.30759939048231,B,C,13.591886523867553,D,89.56443838588217,E,-89.38466266352421,-160.13989489267718,90.07571176818297,0
Other,43,Other,-38.894620466152766,-8.806541708394262,B,5.676673061875014,49.5962262231865,E,D,140.9175150778067,-6.076814028599285,-34.17067475410422,A,C,-85.73709434071255,B,89.87740685959606,C,-59.519053604347604,88.47674448767204,-144.44416746574294,0
Bisexual,74,White,117.66917964640835,-58.67306111641185,A,69.0023861010732,104.74312376724725,D,D,-206.54079692187577,95.53315707326465,-69.38184508846209,B,D,-89.5124417372129,E,-25.944594907135343,C,93.18468684943788,-99.22155725197169,-66.45250640833676,1
Bisexual,59,Other,63.700662333510806,32.63752668589169,E,266.49241355411203,-98.4755768041486,D,C,-41.94798738592199,-1.7811971984546149,19.436778232384288,D,B,-79.27912364172569,D,85.80591046105556,D,-102.91499446764958,274.1083861364604,-10.984981667774855,1
Other,26,Asian,82.17594215180213,-101.8397157200182,D,-55.73925829277688,-34.31970786094621,B,D,-128.48052879249238,255.70313612926222,-0.5021113731552811,E,D,-34.04527353147485,A,-121.98901413318607,B,12.455229273338258,-72.38930043655235,82.9866479789913,0
Bisexual,67,Other,-195.4768853362743,183.69063085724258,D,119.29372046676868,-59.58469121445222,C,B,46.49572439487297,110.71898725478097,-103.13482994210912,D,E,173.49249609351227,A,-278.5992293418392,C,39.71323516478827,-166.57135476889914,13.817686516328486,0
Bisexual,51,Asian,98.31238004464215,-78.4511992937857,C,9.947694669768522,-41.39784773747416,B,A,8.512733329018072,-107.05808694159683,81.79565809796227,C,E,-31.082927637812897,E,9.515118170143152,D,-11.015096753107008,-175.44320535670118,144.30303897638476,0
Homosexual,31,White,104.89346967156743,55.692560489506626,A,55.454313384876606,36.22266167122789,E,E,-7.694755916585493,-142.65594273573444,-228.97740548136318,C,E,-92.0668659729217,C,221.2887907943405,E,-136.2116921679403,-11.546420323304464,-109.84943647307968,1
Bisexual,71,White,-109.74436902096359,51.826058920544625,C,49.86193144692809,73.0078035299369,A,C,-168.55706959800293,-145.49340524247413,-152.6565004674735,E,E,-63.49646273324839,C,44.488842072298254,B,-206.3840908396175,231.5383869352629,67.61815498806779,1
Other,57,African American,-20.28664490383868,13.45762840355404,A,-104.73342283832447,-309.9139063076038,E,A,-30.694032440511158,82.89513456168342,70.40511239750454,E,C,-165.25782852471602,E,74.48164073316806,C,64.12455380881387,-64.52505335853671,-46.78630437677696,0
Other,29,White,64.18071954863953,-41.34650696121726,E,30.219088832058716,116.41884763319949,A,E,35.55449369967761,-154.2764198929395,-64.16063862418778,C,A,-49.06751996857115,B,64.1520028009825,C,-67.36951679694191,-90.59974907524962,-59.89531472103559,0
Bisexual,58,Other,26.601328924042317,-152.75585414782745,C,99.6438954055931,-36.051513144057225,C,B,-51.53718536045635,29.543291422826474,-73.44760886235804,A,D,-79.09890034466662,E,-5.772440340336772,D,-65.38695892455351,-40.329399233288484,-15.182085444263135,1
Homosexual,58,Black,-88.76909527868013,-60.42838659178995,C,-172.7064618630389,-33.93624339113289,B,B,137.10760537671118,101.11652665362361,65.26748307535955,A,B,49.10110494848634,D,-82.09413515477765,B,-16.46614268810877,74.78447789797028,176.0338684532796,0
Other,23,Black,197.02499046336092,7.557687546416106,A,-91.70279609662605,-25.360114440292204,C,B,10.722484011397595,184.26203902729156,-110.49504504102752,A,C,30.829866523964384,C,-93.36377544108052,C,218.04806982517343,40.245270350240844,-91.8858598630069,0
Heterosexual,38,African American,120.4235930423041,-133.70911406665235,E,-110.07049316694508,57.711535261418014,B,D,61.23686120025924,-105.97033733674688,0.8183824635922268,C,A,-107.08029224005725,B,163.8415897668064,B,194.14022195023242,-109.16936329501512,-107.93457058199445,0
Bisexual,36,Other,17.296224076996623,-156.21938352227315,A,-78.29583280541601,-12.194919398788016,B,C,86.10633641962974,133.10550695358424,-28.044713940887945,D,D,10.4005866779038,D,74.12500015361216,E,55.56937808170394,110.88968860995763,6.060780318275289,1
Bisexual,67,Hispanic,-134.79244082090463,-189.03066450488072,D,-35.57105683221375,6.336679338212822,E,A,-63.01695499274579,-7.241019660735761,77.85382130982421,D,D,172.32403030359822,B,-7.8683833127240534,C,-87.29036924666542,-116.19641983943171,81.8811917977125,1
Heterosexual,60,Black,33.4179598586546,208.60943825969377,E,74.185309525239,20.91687107688845,C,A,-75.67443743803157,-34.970842357661056,78.08739783608846,D,E,-15.24485333601693,E,-215.59027796482758,B,-166.39689622001046,20.224122848917254,96.91283619195703,0
Homosexual,74,Black,154.17560148771386,20.47454926873501,E,42.5922553025765,42.55596377298112,A,D,19.590684676000837,56.25191241608521,-149.61695856960745,C,E,-179.78963315097013,A,-67.53509376503148,B,-71.31846391541062,52.37949874908791,146.2453841332305,1
Bisexual,33,Asian,-183.45076475272054,-25.87916732565963,E,-11.853587637736492,84.36990471028096,E,B,-32.89419210688418,-98.5071722339207,108.20396442201465,D,B,21.515200393707616,E,-88.14696944979144,D,116.26578506206495,-115.82920158892556,-49.58267185605129,1
Homosexual,24,White,-30.72086809239562,22.37624702563658,A,-94.3604639133519,218.51615685015574,A,B,-6.706547137174666,241.81967115684225,56.92254979135522,A,D,18.555396078580387,A,-63.21535523077042,B,-100.62624464661465,160.93496598516148,-85.44556932274718,0
Bisexual,63,Asian,3.0425883792001422,-184.00920076081627,B,-1.9881070277033737,111.06660965127074,C,E,-66.50477694368821,94.54960117561943,40.11355901033723,E,C,2.1544565834914935,E,96.58190586120666,D,-170.5602872149499,-25.1720137431165,-193.7130398372772,1
Other,66,Other,-51.884085909658886,-55.70874269896958,C,34.145342132631285,-20.611589236054748,D,E,-15.455840666836323,148.51862373745314,-44.214348440193554,A,C,-47.589752397734564,A,-82.5604291789456,A,45.68993906987947,106.28869036523608,83.77266007058876,1
Other,24,White,-219.3906139525042,129.78966095723717,D,16.23899138797846,143.64488607440782,A,E,25.572596348959998,-6.440463941425064,206.8598160818889,E,C,81.48072398407959,D,106.73452590641179,B,157.89389421612466,-66.46144452972655,79.03079089953793,1
Bisexual,46,Other,-15.049923026119613,35.184940961186165,A,-83.89715576232663,97.3100891559096,D,A,259.59961263510525,-25.389579149097933,52.113733859499014,A,E,-129.7918286774215,D,-72.65813998915533,A,-115.3801051075988,-96.36539708067127,118.45437995909766,1
Heterosexual,58,Asian,-64.53324254255234,-22.36110012103553,D,47.289402523221554,-19.842498623694464,A,A,0.8898018544100706,87.24666137930812,27.199689037648355,B,E,10.345878301491416,B,-34.03997120789571,A,-44.116106984516684,66.97620237160609,150.4648417004431,1
Heterosexual,31,Other,345.90193026801444,146.92272070899293,E,-146.21176837397024,69.56737193106451,A,A,65.24468950296473,36.47507899072524,6.2862845330842365,C,C,64.67887029932442,A,-20.62488905892452,D,-14.085364525608544,87.25433679356325,108.28898901569075,1
Other,27,Hispanic,-103.1555937093574,-17.752944872304926,E,86.32854483869224,45.33228910580242,E,C,187.61297953306348,-2.3423291814508116,-77.13433512791624,A,B,2.6062107497707867,A,91.6078213264709,B,-77.07001419165346,-149.41717769881072,11.365184012151504,0
Homosexual,70,Hispanic,-5.2928755694299765,56.02278905777749,E,211.60076549242933,79.4707306827142,D,E,-59.679971430857904,-133.26499582327966,15.944121153069691,D,D,-48.131526539021436,D,-281.96880890733365,E,-35.519443407219704,-176.48399340962385,54.21821209574765,1
Heterosexual,32,Black,103.26626491769255,-24.114186734510177,E,-103.01514881968099,43.47640880926157,D,A,43.77860644149738,124.97134558902363,-13.91086995182419,D,D,-19.64691971382982,C,261.8736439373203,C,-161.64247188180087,26.181053405109584,210.4079306385578,0
Other,36,White,80.9495551007543,93.47153100119039,A,-12.449366617532883,92.1483829082124,E,C,49.709843741681944,124.79778144942459,6.439690281757169,B,C,74.0157245570129,A,46.96777611716563,D,-25.066303293137658,162.54929190699764,-113.26199901869659,0
Homosexual,54,African American,32.82345285207203,121.40442684288043,E,-129.23641389541007,-61.10430588067689,B,B,-87.45445465699622,-103.48328748211077,196.39297502306215,E,B,77.2433389681855,D,-108.3150049685403,E,37.11769016427492,-15.07431340739387,4.525294362320542,1
Other,40,Black,-68.76281351474353,-115.68101951651226,D,-133.30463072890055,-127.92183813857123,E,A,225.7200963362974,-0.5132555933670522,47.90779194595133,E,C,113.40043975853034,E,-124.48596636836074,E,-14.17366454813778,116.33205709449842,-18.823910742201928,1
Heterosexual,28,White,20.30305488497467,120.86039092719838,B,-53.97029856427748,-17.799221783272152,A,B,1.3076927807338383,20.762115240883897,36.51589203187412,A,D,78.4104312680127,D,-10.677107404898823,A,-98.45496300371036,-136.51578886697487,17.70851521904834,1
Heterosexual,50,African American,-69.62169066999874,16.097441436351374,E,64.0747208416782,-94.25839664585335,C,C,67.682126066685,14.787892638669756,25.144055194676906,D,C,107.7362669163569,B,-97.14222425432078,B,21.361834969797368,4.129036448609109,44.77295928834774,1
Bisexual,68,Black,133.1240512558588,-33.15608200417822,B,-234.48981545947413,-148.00259206049634,D,A,4.39453014824675,-37.42717416340858,-44.56976479190399,D,D,-154.92895707193713,C,-3.1559701932606736,C,5.008237335873269,-26.546396222977343,101.69344255263353,0
Heterosexual,66,Asian,70.9566534219566,-73.01021730469644,C,67.70002695886525,65.40475108850168,B,C,175.5326710184144,-149.41865476845712,-100.6539751483283,C,B,72.40275689701303,B,290.48725626122865,B,5.803100454764237,-218.98757914574455,-30.471820727317283,0
Heterosexual,71,White,68.03669024743525,-45.93866021897259,A,-80.99454164673541,6.535655838256288,D,B,60.19977572784748,-4.054332900446196,71.84198312003197,E,A,61.669678816336756,E,22.96351779940133,B,172.82685710708353,-70.02417130539999,118.05801915001703,1
Heterosexual,58,Asian,126.84901865113645,-5.498459448614173,B,-44.5304803095286,-156.3742757314098,B,A,-16.804918418787576,-150.5581576136036,-129.63336828085392,A,B,-144.85665426073183,B,91.62456413983196,A,120.61468057096828,22.6976179732052,-149.86856515300633,0
Heterosexual,18,Hispanic,133.42825898007504,16.829348152558254,B,174.93695107116062,10.428163284212676,D,D,-118.54141986591382,-162.60195219876607,-28.19290632274661,E,A,150.41977618083507,B,-21.164086441638425,A,-55.55475227779216,-76.26656960466913,40.12067847067035,0
Heterosexual,19,White,151.84906741047493,-15.277480390480513,E,-64.77600317103739,-87.89615142500361,A,C,-84.72160839171164,49.87945749312965,-27.135435203203116,C,B,-69.64235229622389,B,71.90469844512408,C,-159.9123895618521,-54.67291724009154,-21.701941173899762,0
Bisexual,38,Black,-5.590152655421492,43.68652540729502,A,-132.1167618112177,-195.60471789522398,C,A,-29.582168775483165,-23.566681958563553,-115.00100404633659,B,E,-132.9591145549956,D,13.0414247441662,D,-28.545583239263266,31.633780356694015,170.3790449963235,1
Heterosexual,70,White,-29.720575617832086,-2.405139092468391,A,-36.77714789386178,86.24551548340374,E,C,93.27747927754956,24.72940161710668,-58.033868322021156,D,D,116.51139572830441,A,-15.360004354783216,E,16.479294396995517,69.90731424212997,-5.9891137030291475,0
Heterosexual,74,African American,-115.53175921148502,48.759096744741605,A,-8.831604050771592,106.59207197582829,C,D,70.26782867390037,-53.32469200412151,-0.5892012633714602,E,A,-43.61363329864887,D,-152.3408017147833,B,26.55003444619496,-97.59462850032709,-94.19023646351725,1
Heterosexual,43,Hispanic,-103.39348972461424,58.34575289215314,B,-75.00944117020376,86.19795571527465,E,D,4.13045151049781,55.44560436903014,61.03069834284054,D,D,6.251400699001238,E,7.586028127080749,D,-59.28689811210813,-87.65948271960514,-12.639011928061114,0
Bisexual,68,Asian,-58.70234951390083,-16.14762900113823,E,152.8784171810543,61.73758793636688,D,C,126.34435225725314,49.6757886062423,-51.39068259202643,B,E,42.69555558029584,C,101.51273489433999,B,-34.25273641330707,7.607820730585995,19.10085857095363,0
Other,50,Hispanic,-53.019037202468645,142.31889760923946,A,10.055961169475776,-93.44744046847109,D,A,18.389914011400517,-0.5598435605041593,46.42334272276592,E,B,12.661201794793758,E,50.1511891155362,B,15.815088476070157,3.860133540566401,-30.374012147218426,1
Homosexual,28,White,-102.7718862361939,56.506710901859115,D,-88.14539097151653,48.8060285884465,C,E,-186.72634120469178,10.676451373413606,94.78980071967682,B,B,192.90800724467928,A,27.16451670228914,C,-101.89742424206231,-64.75996827567394,82.88370887886781,1
Other,49,Other,43.62951746032356,2.5762722858167693,B,-15.432104806964889,139.9904646790778,A,E,-87.10825036428778,49.8101571294553,-107.56509994712222,E,D,20.38802912214655,E,-104.18923000672457,C,-120.3731387935297,3.684956767410439,15.057449185495955,1
Homosexual,72,Asian,32.51554204295283,104.15797175817063,B,-174.20402521492494,-19.20387132302677,A,A,8.12238016157434,-40.24292544151209,-64.06981375877375,C,D,-97.18826624204782,E,0.9317205662536817,B,-97.010128164995,68.37941689399177,127.83622256217923,1
Bisexual,48,Black,36.97206073675415,98.98855784764321,B,191.92030963273987,23.735034640133396,A,D,-6.098075574236987,165.74216505359126,114.70194468527093,A,D,50.281391811516855,E,-148.41881977975336,E,153.50979136084845,-36.32231052061908,103.16214185676141,0
Heterosexual,49,Hispanic,-115.50230842320859,183.21399558356418,D,-114.76209196610002,128.03716965299955,D,E,-30.67001993149898,97.4919374234935,17.370524412537335,A,B,4.898298734333749,D,76.57455972197606,D,-76.65200683163081,52.696066906602525,-115.64525999826623,1
Heterosexual,31,Hispanic,88.21653688478246,53.3019574704166,E,-65.98398028478664,129.8890727906046,E,A,-58.22910594964703,-64.45812611167801,-112.29254894712055,B,E,22.392426448181066,B,28.23899329011807,E,-127.50702848807893,-73.83890335230092,-18.064822160732238,0
Bisexual,27,White,56.773238385889044,-94.06489838444251,B,25.655381385338565,-30.931479217999875,B,E,7.3465903939929955,56.7741818662819,16.263909462538777,B,A,-55.0270698193672,C,-163.36637154499974,C,45.410192414844616,3.1699804036974215,39.24353610396571,0
Other,48,African American,-20.5330312579458,78.4979995815364,E,-207.5892657117227,87.41296571709736,D,B,-53.203131786444324,112.5435145141521,-70.30545564275721,C,D,-179.31919912260582,D,-73.47210933270354,A,97.72643170294653,-140.8860068018062,-11.20768290437263,0
Other,40,White,-16.82630038813591,54.85742604134853,E,115.21368397165948,-32.30511224179412,A,B,61.417188350140215,-41.74215311059401,-19.733778635252534,B,E,-73.47981226087064,D,-31.791851855281976,B,19.704360678939523,-8.320355596517633,-97.52631523006964,0
