disabled,marital_status,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,Divorced,F,B,-104.55396250357056,D,166.79221607596781,A,C,-29.724848743206916,-39.916001175403686,-63.97783806804587,E,1
No,Married,Other,E,18.323241887267162,D,30.648631035252976,D,A,-34.1193191973568,8.70933189694775,57.42987305852625,C,0
Physical,Widowed,F,D,-83.19964074487591,C,63.074037256009106,B,A,-88.16740353809855,-91.6309884509787,119.88273957506543,E,0
None,Widowed,M,D,37.73931595651423,D,190.1683273289152,A,C,29.403055007420704,52.96928748592818,-8.091600084859705,E,0
No,Divorced,F,E,-16.35587544439339,A,15.476701977039612,B,E,80.8756505761645,4.039727856751182,132.12160983295095,B,0
Physical,Widowed,Non-binary,A,156.77445204845736,A,105.91992373048751,E,E,-164.13265628759981,186.92449827518917,39.442427749203176,D,1
Yes,Single,Non-binary,E,216.69907124882727,D,-117.69132502591295,B,A,-3.705163007193899,-242.32488810943752,-170.99618203805994,D,1
Mental,Divorced,Other,E,-235.7371532935499,C,-53.18344626178006,E,E,-119.2191825011375,-84.233118632113,132.143227128835,A,0
Yes,Widowed,Non-binary,B,66.39124400443612,B,67.18468405339156,C,A,-55.59656969242478,-126.01163933301152,-23.167979339257204,C,0
Both,Widowed,Non-binary,D,-45.589463257834936,E,-130.72157546756065,D,A,275.91960586434755,228.12445363403134,17.896695541970168,C,0
Both,Married,Non-binary,A,-93.7403613384562,C,-1.751397761988321,D,E,40.954080614673494,118.71416390860514,27.342205687889876,B,0
None,Widowed,Female,E,124.32195356245394,E,157.8648172873496,D,E,111.59648123732428,-89.46110562992202,20.13301519802525,A,0
None,Single,Female,A,77.34322595061658,D,-26.380612939301923,B,B,-139.7397275512892,81.32731615480823,50.24432357380525,D,1
Mental,Widowed,Male,E,-81.47652287053097,E,80.16179060103161,A,B,-100.54851396048478,47.81956856450676,25.945362018340003,D,0
Mental,Married,Female,C,10.972714938186398,D,-54.544031054523245,C,E,-17.691985463017616,87.39066316632305,25.269675156415282,E,1
None,Married,Male,A,-62.32313489181608,E,25.324078807137347,A,D,37.144678664587786,49.275769585031824,59.88783351495689,E,1
Mental,Widowed,Male,C,-58.00050330528639,A,109.47349409964514,E,D,70.64637883146145,44.458116326744104,21.78093413644064,D,0
Yes,Single,Male,E,-21.040154000181293,A,185.20494319877025,D,A,116.6106278086477,82.24968570991628,0.34906655261218933,A,0
Physical,Divorced,F,C,150.24738972987265,D,7.818334094452847,B,D,30.903769421140577,145.21141086183843,-101.75713737470325,B,1
No,Widowed,M,E,0.6260674694721432,D,-92.45014546766218,C,B,-98.25627008681847,48.515503727786644,153.5748660062519,A,1
Mental,Married,Other,E,-89.99214201344199,B,-68.78698468073453,B,B,-83.0611568328349,-26.924169204890408,-75.89349507476724,E,0
None,Married,Male,D,185.45164469952337,B,130.96432315779867,D,E,-29.963801936367073,33.96880318103539,-148.5371826227165,E,0
Physical,Married,Other,E,99.64616598636375,A,-30.104427410978445,D,E,-3.5526162989074797,76.22172995860696,37.114287895495416,D,0
Both,Divorced,Non-binary,E,25.14755664211169,B,106.95298182496857,E,D,75.5558199928419,107.04468258441453,-96.51557599045482,C,0
None,Divorced,Non-binary,A,-0.6869250779891766,A,11.215878769971411,E,B,41.55349497600755,100.57851519717372,-81.39088074972197,B,1
None,Divorced,Female,C,20.42419356138916,E,157.59367823275238,D,B,-134.80991519783495,108.5960056960707,-154.66787905265952,C,0
Mental,Divorced,Male,B,-330.46472392963955,B,77.60485707823854,C,B,62.62526038100164,-20.987008724932505,31.668255074109002,C,0
Yes,Married,Female,D,-14.127787829341711,A,-20.747404467118937,D,D,-47.959936554921335,-183.94723032121442,-30.235254670045446,A,0
Yes,Widowed,Male,E,91.34952909262941,C,12.943663169469138,A,C,139.27759691835146,222.81618110743108,101.62508636558974,B,1
None,Divorced,Non-binary,D,158.62984084517612,E,24.46760588058584,A,B,26.66011877057441,107.8322810965749,-258.63443539332104,B,1
None,Divorced,Male,D,-43.175269173191445,E,-87.3551554851248,D,E,-16.416412934286264,9.083343456484307,80.09271261838983,A,1
Physical,Married,Other,D,92.47077485053157,E,142.54009217758087,E,C,62.34905562786955,2.8689039198210264,95.54592993380327,A,0
Mental,Divorced,M,D,8.29267066328881,E,-116.3633684590811,B,B,70.33906363759478,-198.14627441316765,-36.16503687790126,C,0
Physical,Divorced,F,A,-116.24509803765571,C,-116.46350887670903,A,B,81.64491875431332,-39.99103090284578,80.50702358111178,E,1
None,Widowed,Male,E,18.087891112251334,D,-47.269192365426576,E,D,63.73181849660212,34.11413889587474,11.947645375231438,D,0
No,Single,Female,B,15.489283977712937,C,90.38499075786817,D,A,-19.43110739397491,63.2383519428171,119.01329791206823,B,1
No,Married,Non-binary,A,94.93457334444842,D,-154.867919027383,C,B,-13.844083459776948,-86.28316420193781,-13.560185261174706,C,1
No,Married,F,A,34.623591351140966,B,6.574866714590939,A,C,8.852226012215054,-147.41252878892078,-18.57120044763569,E,0
Yes,Divorced,F,D,-39.79322504811801,A,131.24324490939114,E,B,-106.88006557873024,47.07575477197696,17.425415808760146,B,0
Physical,Widowed,F,A,-13.869018724176113,B,5.921649774626118,A,B,235.41644777091454,-80.15397609232151,39.160505925600624,D,0
Both,Widowed,Male,A,-52.54685617940039,D,-164.15733313775974,C,D,-185.51969648804302,-53.82417310197973,-96.1782894859635,D,1
Mental,Single,Female,A,1.1810633054515547,C,-61.517721320357545,D,C,-75.5696626342822,-21.711275871450407,63.552356977068705,E,1
Physical,Widowed,Male,D,68.91708202124131,B,-197.9562365532024,A,D,104.12598908661583,-13.161552589466538,-1.9708691168519339,E,0
No,Married,Female,D,107.14271819986428,C,-97.92536614252242,D,B,-10.191532275277467,52.37484995903501,-20.69071903322154,D,1
Yes,Divorced,Non-binary,D,31.05834861372474,A,-79.57081261434911,D,A,26.927393892681025,-28.258360043317943,35.520362719984824,A,1
No,Married,M,B,-38.568030728323585,B,6.430342092548816,A,D,-161.53628892690898,-54.5416863740125,52.99604953378139,C,0
None,Divorced,Male,A,78.48802795900276,D,-46.94651232569688,C,B,-68.91647653917241,-170.62497448059685,199.78158095978608,E,1
Physical,Married,Non-binary,B,-3.065272291231478,E,-212.9190315412684,A,A,16.198600750583857,-57.01261531312484,-6.46287553992551,A,1
No,Single,F,A,-19.44609971427234,D,89.59603479477713,E,D,32.68616172244041,-59.52437661735582,-59.250172466479036,C,1
None,Divorced,Other,C,111.0892587881501,B,-45.09258363506307,C,C,-121.66487503566712,-52.5136798759827,-35.954537083274666,D,0
No,Married,Female,B,-1.496132821238496,E,47.09949890111576,C,D,49.66596564071983,-182.60540181138168,64.86188770853218,E,1
Both,Married,M,B,-101.17239436182095,C,-139.70745212512404,A,D,-45.241303811639106,-30.624875165522297,50.22741335848296,D,1
Physical,Single,Female,C,184.8548800911772,B,59.64921540307119,E,A,-114.9371914026791,99.98306379148629,24.630918936886662,D,0
No,Married,M,E,-11.019026792261863,D,30.083069196644196,D,E,91.82066635307515,38.41925752936822,1.2420798891843083,E,0
Both,Married,Female,C,-68.48953331246481,B,-0.17544607923977823,C,C,-10.28680691596388,65.23611423980098,36.67165327450291,E,0
No,Widowed,M,A,64.62900630874783,E,-80.79602743702017,D,A,9.373314393309192,-217.295774116169,229.72618016843512,C,1
No,Single,F,C,-132.19796398306949,D,-4.9708350349262345,E,D,-75.79064723626455,30.393963443705307,12.632641128077918,B,1
Mental,Divorced,Female,D,-94.64555333073602,A,-70.16463595701367,B,D,-144.51444669220237,50.50657593564852,234.46106936802775,E,0
Mental,Married,M,D,154.23552510359127,C,-20.13880815820666,A,E,-158.84879898837812,-42.42842302049357,-112.68986919864912,C,0
Both,Divorced,F,D,75.80110266906212,D,73.18863593447269,C,B,-95.55809378052166,-86.30029225252461,33.99860419641224,A,1
Yes,Single,F,B,-27.869003511676517,E,31.78614137681024,E,A,-62.171016478278794,239.20887798680144,-159.221596590172,C,0
Both,Widowed,Female,E,-65.20348781563688,A,73.59861953812612,E,C,-36.43415879633683,-28.471234292273902,-41.37464571083066,A,1
None,Single,M,B,-52.139123116047095,A,55.029602189108374,A,D,-16.135466277966874,61.869518574485994,2.243038620228072,D,1
Physical,Divorced,F,D,31.60753884751188,B,61.5572509347478,D,B,-68.79205475853664,-9.653614293561299,84.83691071283128,E,1
None,Single,F,A,14.702747579441034,C,-120.30766526509989,A,A,60.07276746248028,95.18019504310365,-172.8902846317731,D,1
Mental,Single,M,A,49.652454154688996,A,-183.30583523094745,B,E,-135.19482194270722,125.84116761164105,6.300083221327032,C,1
Yes,Single,Non-binary,C,-242.22822965619542,C,-140.35095017958062,D,C,-82.61116977094692,-68.88605354080931,-16.658274338913177,E,0
None,Divorced,F,A,-15.655914371277756,A,79.41230301431762,A,A,12.538818585738888,75.89728171197913,-312.4743482306033,D,1
None,Single,Non-binary,D,131.5552337968978,C,-106.46261354837286,D,A,6.071739782625994,80.38797810568359,174.746951276859,D,0
Yes,Single,Male,D,102.61781894680604,B,-186.7433486293742,C,C,142.1350013428247,173.73056731816044,99.9800748624669,A,0
Physical,Widowed,M,C,-147.42802192177805,B,218.69469088537136,D,C,-146.6641564829869,-26.900535758860787,36.49523595025983,E,1
No,Married,F,E,-54.2279269428836,D,-154.76450916352596,D,E,-9.951483676085342,130.4810770356564,-53.97718303004647,E,1
Physical,Widowed,M,C,-14.766341285339793,B,-23.981573000973473,A,B,88.22723280760731,0.22135072308728226,115.79785030894666,A,1
Mental,Widowed,F,B,137.5658971113458,A,-14.2294881100069,B,C,162.84304117803651,6.460968210554276,83.99050122441525,C,1
No,Widowed,Female,B,88.48911042312204,E,48.79857039240786,C,D,55.54982549713111,93.24638281092874,72.6303731166108,C,1
Physical,Single,F,D,12.707659715023418,D,-29.40000288530148,E,C,-6.8626898214523795,-116.93403404404647,79.1388084406014,B,0
No,Married,Other,E,-253.1923313337283,E,-87.34183371024218,C,A,-82.33799499125891,32.58012747814327,40.59383113004399,D,0
Physical,Widowed,F,D,-35.08537524949271,A,-44.352819775868,C,D,-201.5877307334101,-10.558935729828724,-67.49923678368623,D,0
None,Widowed,F,B,32.30995193654061,A,-169.3150771940273,C,B,-18.099911390579422,15.851271086396416,-192.4657247164733,C,1
Mental,Divorced,Other,D,-302.1462909992823,B,117.93430269701571,C,C,34.0119559087643,-102.55597868746749,90.63681770522433,C,0
Yes,Widowed,Male,C,-49.84874930089185,B,206.29047899290362,B,B,-47.15113663662343,51.53892485901157,14.402165824397223,B,0
Yes,Divorced,F,D,97.66760144294356,C,-94.10970449001604,D,C,-2.305038228453552,5.086817789058151,-52.24901617094639,D,0
Mental,Widowed,Female,E,185.8612016510345,E,-114.69847711236658,B,E,82.8052134386492,-24.170550491304827,-111.54373249926115,A,1
Physical,Divorced,Other,C,35.591539001536425,A,157.5952338446364,B,A,60.319670203138976,-85.26737761550682,159.4127331515332,E,0
Both,Divorced,Female,E,-78.88744194790385,B,4.605292633440547,B,A,15.810103141152593,-61.93348168681061,102.11101113157528,A,0
None,Single,F,A,-49.57033535913075,C,31.658403671281942,A,D,-107.12032190594671,52.90676887400916,-73.56043883423723,C,0
No,Widowed,Male,B,38.57122211230939,E,95.32998566318011,A,A,53.8073939595558,182.3258538717113,-7.7390681643343076,A,0
Both,Single,F,E,9.013942896332312,C,-132.5234057933142,C,A,51.1554844019097,-62.99571621166762,-222.56209968520625,E,1
Yes,Married,Female,D,-9.48276571716132,E,-21.524089100655726,B,D,149.9710427046135,2.3830724585836682,-86.02282085607355,A,1
Yes,Divorced,Other,A,58.789299676128124,A,42.632480526806894,E,D,121.94449981297606,142.39509142945286,122.38497813693576,C,1
Physical,Widowed,Other,A,-128.3549746587906,E,47.935659410607634,E,A,-48.45878867762452,-98.66262949478974,-20.046635259446415,E,1
Both,Married,F,C,13.07110391353707,A,61.57834120522438,E,C,298.1301986856036,-8.271835999194769,-169.90910708395083,A,1
No,Married,F,C,58.15887784482432,B,57.27298281550566,E,C,46.31997938507128,-109.53381195279503,-10.355743424426281,C,1
Mental,Married,M,A,66.0078595471822,C,18.99232124303649,D,C,-149.16273728939635,24.45052452181553,-167.6705775537927,C,0
Mental,Married,Male,A,-8.263990544616878,D,6.032417771696184,E,A,-45.50461388146092,-88.29061884198273,83.22930682203162,C,0
Physical,Widowed,M,B,59.59371048618565,C,-169.30513380257815,A,B,93.68460795294376,-197.97853923415474,31.914604765627452,B,1
None,Married,Other,E,-5.107536708903969,A,15.616457815314536,C,B,13.292754436426199,137.22009317572207,-135.8642306174864,B,0
Mental,Widowed,M,E,132.04241013706394,A,-73.29183546538775,A,B,37.149773255735525,134.35659008340207,39.092379119042505,C,1
None,Single,Female,C,-21.092149957528054,A,-60.34180621288861,B,D,-100.83646478416146,20.506701205116286,-5.276342913454497,D,0
Both,Single,Other,B,94.60563826254477,C,27.1435708172787,B,A,151.27785177956295,-28.69702180775544,-27.785580289562844,B,1
Physical,Married,F,B,70.29008852048318,E,33.25638245597603,A,C,-53.76647386648169,-141.16855451488425,-3.044084044527025,C,1
Mental,Single,F,A,38.63879537053795,C,158.96244078229677,D,B,96.83308472875581,126.06944410109114,128.58459967583013,D,0
None,Married,F,D,-90.42665586888495,C,-73.32939825366321,A,E,166.21542555694361,12.10775233133983,81.95466649763877,E,0
Yes,Single,Other,E,-113.95980649417558,C,31.080032629766418,A,D,44.3779197096021,-13.795100744191636,191.42032299829114,C,0
Yes,Married,Other,B,-78.97686471196114,C,-177.42086925902132,B,B,70.05921210236737,-115.17551208907959,-38.32170888701955,C,1
Both,Married,Female,B,-106.99488270811706,E,-52.85064394933377,E,A,76.39885217259528,-68.91201036621875,19.223001939139202,E,1
None,Widowed,Male,D,-64.71510253112675,C,-20.896103067263482,E,D,-14.323418936838447,-13.684615142687061,83.9408423040148,A,0
Yes,Married,Female,D,84.62190128883344,E,50.35762487349466,C,D,-86.40915697087041,-81.96292018754457,105.59636574691305,D,0
Both,Single,F,E,166.64156179594494,A,-91.77889345149114,C,C,-80.27685892260644,58.31596363775774,146.02209788016174,E,1
None,Widowed,Other,B,-8.52644666515148,E,71.71380191358392,A,C,16.190948778820218,174.72741583659018,-74.00201360564162,C,0
Physical,Married,Non-binary,A,29.172979268539745,B,-29.581151255494703,D,C,-242.83018958768145,72.78948263659863,-41.1224832006412,A,0
Physical,Married,Non-binary,B,-84.01132581375916,B,178.71539731987082,D,A,30.950312045949662,-122.67273936921363,-120.84670806214388,C,1
None,Divorced,Female,C,11.44564663246493,B,34.320330405631275,D,B,9.265750095097312,191.43016981417617,-85.85666989187192,D,0
No,Divorced,F,D,-90.32887486172928,A,-72.36678311383008,A,C,-43.43502106656764,20.92193444074694,-328.14713048038357,B,1
Yes,Divorced,Female,B,-126.82667763786613,D,97.46184672044397,C,C,-27.523813728238082,20.62854518536027,70.32482763059762,D,1
No,Widowed,M,B,160.9251393341405,B,-9.360726178650085,A,C,-65.54832810829897,-86.93279420118782,-142.13182727168487,E,0
Yes,Single,Male,A,-100.14980930811332,C,1.4160995295615437,E,A,0.0639930611878718,-187.15012750852839,15.200798836697304,B,0
Physical,Married,Male,B,47.77796116813136,C,104.32650263827679,E,E,189.5252501782587,-115.34211685911299,9.224376091542057,A,0
None,Widowed,Other,C,-43.40465686572169,B,-44.73872709020771,A,A,52.418620182934205,-70.48024144491474,10.50455556809147,E,0
None,Widowed,Non-binary,E,59.480548730521676,B,-95.6095040271998,D,C,23.55243362725871,72.48636176456232,162.44232093670655,E,0
Physical,Single,M,E,-6.288035670527009,C,10.250908349707002,D,D,-81.87811365879602,25.92416580808546,145.8582949612815,B,1
Mental,Single,Male,A,94.98878714530602,B,-29.12185849022741,B,D,-220.3977155823567,-196.47300814650234,153.35719967570233,A,1
None,Single,Female,A,74.35103612518692,B,-74.36916401213873,C,B,64.87562657085026,-25.09163326643664,64.6847105920449,B,0
Mental,Divorced,Male,A,-44.65202273602403,A,63.201993267650906,E,D,76.92712688515262,-15.633512387395,-28.6792055658628,D,0
No,Single,F,C,23.967568975365754,E,41.85987003818551,C,E,-70.8806376452496,71.24645843059973,202.36615842227533,D,0
Mental,Single,Non-binary,C,147.05521918418353,B,125.54461628023985,B,E,153.15976719771908,111.81292397862066,104.64665177369913,E,0
Yes,Divorced,Non-binary,A,147.70447473650472,E,-50.26124187038611,C,D,127.67066233784166,-216.29120931849963,171.88352415085205,E,1
Physical,Married,Non-binary,E,-24.34369740213633,A,-77.4473855778642,D,B,-44.001017606567835,-48.68382994044212,61.94870598886543,B,0
Both,Married,Other,A,81.23965749400355,A,115.73055857664878,E,D,27.761388747840932,-20.9552509866159,-8.376104710321142,D,1
Both,Divorced,Non-binary,C,33.91416545385289,B,151.78588426021912,E,B,38.90679599593567,118.68145819602103,-208.26769754035178,E,1
No,Married,Other,C,-219.7021437252952,E,-119.52302644323942,B,D,116.42045612595989,-1.5561322615628204,111.79105529987284,E,1
None,Married,F,C,-121.06275745416524,C,143.66445951935472,C,D,144.31282532445533,-124.70886113321167,42.27095640689313,E,0
Mental,Divorced,Male,A,30.896286036666076,A,-68.41207673587228,B,B,-66.47715875357189,-83.33497357343906,-108.31043304505157,E,0
Both,Married,Other,B,-41.64089485800906,E,-21.369730011197973,E,C,-24.348137788615865,24.491341737010913,23.467919410186582,B,1
Mental,Widowed,M,C,-71.81565627145905,E,-67.02762836225057,B,A,4.27693307484278,65.48130481232067,39.16719958634461,C,1
Yes,Widowed,Other,C,-86.84041993632687,A,-85.71178473879533,B,E,-56.90648379995055,154.47658299836158,111.79620717356751,E,1
Both,Widowed,M,C,26.97280795985001,C,13.582234277958472,C,A,8.962474244162154,14.964913578418848,6.085127001265914,D,0
No,Married,F,D,52.32561337993249,D,40.174993946213064,C,A,102.22210531477667,-84.47204687765158,115.91518285768332,B,1
None,Widowed,Male,C,115.8367950858443,C,25.651161909018573,E,E,-23.75302700328927,-22.1701241198204,-116.55288205352745,A,1
Mental,Widowed,Female,E,-121.72021415443379,C,52.417588507684286,B,E,-143.42860835990828,-34.421128058151204,-71.37705238466476,D,1
Both,Widowed,F,A,-25.634348523295763,D,-115.73763055170639,D,D,121.46618645070744,-28.40470387063655,-75.33246253677653,E,1
Physical,Married,Male,C,-94.33648715358677,C,179.9830335941396,C,D,115.15637232543507,86.60274471661648,28.96785884321769,A,1
Yes,Divorced,Female,B,-44.41124085852161,C,-126.46306765560436,C,C,-115.07957639756413,-144.9427395488449,-32.67463837038249,E,0
Yes,Divorced,Female,D,103.3654847350093,D,20.83048035500232,E,C,-55.24386481777683,-54.634724152782134,-43.352460880656466,C,0
Mental,Single,Male,A,-13.137113911996149,A,-18.907707436974576,D,A,110.99842400398376,119.13254139666616,117.53396464777506,B,0
Both,Single,M,E,127.41766026845609,B,225.9049496747658,E,E,-34.39326233834589,116.21480338829477,46.10248615376214,E,1
Mental,Divorced,Male,D,-19.045128347055336,C,-146.48047352870674,B,A,166.57335259481837,-222.90578995712832,-148.90955868989883,C,1
Physical,Married,Other,B,35.08277104397272,C,106.62370889638339,A,A,4.336621622705283,100.18519574432621,86.73838836604655,C,1
No,Single,M,C,49.50335300322819,A,221.4060883086257,D,B,-108.26537065174703,-28.94225176237623,-30.306815687770815,A,0
None,Single,Female,B,-25.38693692062847,E,-25.976528289385374,E,B,-30.297398476858156,-99.39148471402603,-132.04350541117836,A,0
Mental,Married,F,C,138.49583028311088,D,106.87255719985338,C,A,-157.19179137199578,153.41819641451852,-117.80978050123832,C,0
None,Widowed,Female,C,-211.13199623356698,B,51.8240069095435,A,D,83.4790616150453,21.138519600619738,-29.674771478485034,E,1
No,Married,Non-binary,D,44.499723458416724,B,-71.03933110072406,B,C,17.06447081753617,108.49783403019597,14.797255548203953,D,1
Mental,Divorced,F,A,105.15196786061753,B,-38.518961767384056,A,C,-32.054936396006866,-124.61227756820664,67.7105145717202,E,1
No,Married,Female,B,-168.27267709842116,D,-34.35606545128099,E,A,-89.72906249325115,-7.701095106000848,-164.5626343796254,E,0
Both,Single,M,C,125.7184185613861,C,12.915233621269742,D,B,-82.1013276282895,-151.21666054846312,19.734605332127682,D,1
No,Widowed,Other,E,145.1127863842578,E,96.49754834748134,C,B,-38.737992927644065,161.1162321365425,141.0060906252323,C,0
Physical,Divorced,Female,C,-0.8549285684852864,D,-85.09793998672822,E,C,-11.608370004877235,2.7406846859319534,116.65454036887535,A,1
None,Single,F,D,-252.5308182696834,C,113.8044493045796,D,C,-168.17088053619247,21.009790248912335,-160.41246450564245,D,1
Physical,Divorced,M,C,127.95194557793327,C,-48.55535624358892,C,C,14.864892241048375,-27.21129297392258,42.910655173937364,B,1
Physical,Divorced,M,C,-8.620501425167923,C,-98.91940653572017,B,E,-57.403150496598535,-65.41953711477355,72.1289149980119,D,1
Mental,Divorced,Other,B,-42.62184949763751,A,98.23170803236174,A,D,76.79108795246947,89.51006438486584,13.76702546189407,B,1
Mental,Married,Other,B,-102.38552251884674,B,-75.50693716431329,E,E,329.6663951974482,-42.70542886048959,31.944181601276707,A,1
Yes,Widowed,M,A,33.902695036118516,E,-79.43233472398427,D,E,-76.8223627935866,92.92078929383133,-25.660604728495784,C,0
Both,Divorced,M,C,-34.74818889424757,C,-12.746512789457414,D,D,-43.25195678617534,101.92718096203026,175.96605881056595,C,0
None,Single,M,C,95.9545524785712,B,60.000844959622455,E,A,194.35259857992443,78.8206544107539,-139.162582855717,C,0
No,Married,Other,B,-99.82947960793416,C,-92.21877840022469,D,A,6.035432117868132,36.44296139991602,-10.009587722974306,B,0
Physical,Divorced,Male,A,23.5736876969034,A,-93.67265940562272,D,E,-51.70295458851493,-4.922941285056492,96.5815336491295,D,1
None,Married,F,E,-134.38757180789918,D,153.72393759976202,D,B,20.10536487807282,2.0945529464523527,86.59851486769787,D,0
No,Widowed,Non-binary,B,12.977461756104253,C,-44.19597450933572,E,E,-35.78285651510246,-50.33993941905871,66.08801918939884,A,0
Both,Divorced,Non-binary,C,120.3219638546344,E,14.697427847008896,B,A,-70.49688421456415,93.11040109928953,33.43873519354417,A,0
None,Divorced,Non-binary,C,-4.111622944260748,C,122.74933194744287,C,E,58.957377624753626,-2.6289244119509174,33.90667170556748,A,1
None,Divorced,M,B,-94.34616156773933,D,-123.3766808715715,C,C,268.78525862429393,-159.47654376337172,81.68011189887056,D,1
Yes,Widowed,F,B,-3.585154051724652,C,-24.20962460043305,E,E,-89.73988798566988,-2.531318475532741,55.612440578645675,A,1
Yes,Widowed,F,A,91.60544592955694,E,55.20406653081641,E,B,-103.55141981866207,16.702716998309885,-165.70404361175773,A,0
None,Widowed,Non-binary,A,-3.512550724725093,E,46.209547231342604,E,C,-46.27453951675866,90.30614255521999,48.919814783966935,E,1
Both,Divorced,Female,A,-47.58032722882094,A,-7.742144200500796,D,E,-81.16725095771801,-9.168331369119953,-52.54111348936625,A,0
Yes,Widowed,Other,C,-30.788813209879624,E,106.21444846768505,B,C,-100.99226142223084,58.448533401598766,-101.33157143492821,C,0
