veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
No,Christian,B,E,51.57797754770124,254.19746867134384,46.894451200134746,-82.0257761517044,E,6.836570017065548,D,-46.608994463890674,A,26.09968288678598,C,E,-177.84010160015407,E,A,1
Veteran,Hindu,C,B,-91.82625509534375,-355.57175640774335,-10.955088385690022,-17.96586496885001,C,-141.37077987563248,E,11.531700674277612,D,-54.60782336762935,C,A,44.67090727433114,C,E,1
No,Christian,E,A,34.15149146309024,98.75934190891465,-36.4981054671303,38.58311642988353,E,-53.675771445163434,D,165.673786383165,A,-16.894684944675824,B,C,68.43750909728898,C,A,1
Veteran,None,C,A,70.70043863568604,-21.10413257248262,-20.66135005527934,-154.39789013734026,B,20.264961993227367,B,-39.62275944038357,B,40.93558605194125,E,C,-99.13599022148476,D,C,1
Veteran,Jewish,C,E,-95.09168981981459,196.94884386534878,99.85495140782703,159.52515573727598,B,-1.4931446851340224,B,-19.41832853350286,E,46.68281848820779,E,C,68.61448711002527,A,B,0
Yes,Jewish,A,B,69.42069520661433,-68.33739873871261,25.36353169606031,0.564396759408144,B,-139.49042911911883,E,58.19759488448314,C,31.4083139319573,E,E,-3.126616856857202,E,C,1
No,Buddhist,D,C,-126.45585790730966,-86.10438253956997,37.790278853567635,31.57446519817234,D,-41.70253726501674,E,113.19720863681431,C,-12.775146538638735,C,D,56.391703399278306,C,C,0
No,Buddhist,A,E,85.55848024010953,44.837022820539794,-114.96992793459009,-128.8943769906214,B,-167.6828307985569,A,49.38748463765255,C,3.06507182637792,B,D,179.49101544947948,A,D,0
Yes,Muslim,C,A,-47.93001728944197,38.24120504222866,-7.604784916422323,-40.39354873794883,A,0.04510364631301522,A,-42.709549244759266,C,54.29274532505478,C,A,63.251028896617846,B,C,0
Yes,Christian,A,C,-112.99723301840392,-24.25925384393854,32.431495144867604,52.81210165757086,B,-67.74770400057683,A,79.92383129542084,E,195.5365547162465,D,D,56.76533659860317,B,B,0
No,Jewish,B,C,-42.039486379029526,-227.90344542783453,-19.328582015110218,-176.86961410313944,B,1.0501398637404904,D,4.71580607591864,E,76.99788041653703,D,D,132.2994652791644,A,D,1
Yes,Other,A,C,74.96118360599063,-14.121927095664578,28.227394221262355,49.86030242281481,A,70.64722557782818,B,-63.77136307782294,D,91.40467269251835,E,B,160.8439145797136,A,B,0
Veteran,Hindu,D,C,-37.473426992022596,-154.2684280723054,-4.7123963399589925,88.4259028850476,E,-107.00905519403483,B,-27.155378409424024,D,-70.52041817940454,E,A,-41.95887807287954,D,E,1
Veteran,Jewish,B,B,-77.02186994720404,-147.3108463315704,-20.108930370437996,64.51098470247058,E,-142.1116701420692,B,-15.075852635792101,B,80.81038812421313,D,B,11.225483396021106,B,C,1
Yes,Hindu,E,A,40.335588589405006,218.41034143435812,148.32670944652443,-66.82297745562273,A,-46.187218939474576,A,-11.2472402603606,D,-99.77593017476354,B,A,223.30702626518942,D,D,0
Yes,Hindu,E,B,-83.23013546205324,-18.557179101631718,-210.05040660125323,-15.779638801748808,E,89.95654176722029,D,-162.87596248495905,B,-46.944742998577254,A,E,54.064443707166845,D,D,1
Non-Veteran,Jewish,A,B,-15.229122718067392,-12.01456648466671,124.00200968438517,-72.10154218986261,E,-22.96392194178869,E,2.230263370932851,C,0.40968860101317506,A,C,-67.22054221054609,E,E,0
Yes,None,C,B,-10.854371058320234,78.74212463118101,88.34870277777627,127.89419453831535,C,-13.34331509625684,C,121.87154244017198,B,-179.0997981661071,C,A,-3.932127687049632,A,A,1
Yes,Hindu,A,D,-92.60723271794123,82.60018623864171,39.66378110167225,-6.925011199095161,C,95.60828735877148,E,10.922369280309587,E,-46.481464770735656,A,A,-20.44001454975749,D,B,0
No,Other,A,C,-14.837297857402284,-99.17108331636847,-126.88768656422144,-65.00325690417304,A,-121.51459560515497,D,-38.70247605240344,E,23.90397630070892,C,A,-99.84253027163146,A,A,0
Veteran,None,D,D,58.268299087436716,44.397651747203774,99.1737789973365,100.70719669444499,A,187.12837144479403,D,-136.85401392604,D,-45.61964766922447,D,A,-230.332261360965,A,E,1
No,Muslim,B,A,28.14238745960365,29.61613989079216,234.21540024114282,-160.54899588679217,D,-219.38072121965556,C,277.7365478041128,D,-123.14047315630134,D,A,-17.370817955466002,B,A,0
No,Muslim,D,C,32.361147616848335,-156.5886613119552,-38.599469740868265,-36.326280775513254,C,-82.87876537389555,A,-145.7644024491095,E,-37.30652119220909,C,E,59.49683804446799,D,D,1
Veteran,None,E,B,-10.317024716273304,97.1828608745833,-4.995374115600313,39.86150889261784,E,16.28079475285645,C,-45.99872041867791,E,-61.05974564930523,D,E,-13.915307932103909,D,D,1
Yes,Jewish,B,A,47.00716102905276,25.219361684832904,50.3984176799509,-117.99792617219107,B,-138.62566203640964,A,137.5232874487172,B,78.83824556185778,A,A,-45.918735590285124,E,E,0
Yes,Christian,C,E,-111.51105808247652,77.07102597590158,114.3271819174146,13.459105429869355,A,-3.6824958267915986,E,-36.16546947853082,B,-23.260043489691984,C,C,71.74302572551353,E,D,0
No,Christian,D,E,-12.770250248050926,-91.39929546733589,-135.32616370327838,-121.29591526375137,C,61.1728491979643,C,33.34853258496399,C,-35.948353382371565,C,A,-184.13866490805674,D,E,0
Non-Veteran,Jewish,A,D,-2.9596979712260305,-34.42235239889143,15.033563376461103,-263.01502340878676,B,-43.493418535163066,C,-76.78345445503766,D,46.85447425159785,B,C,195.0909838561224,E,E,1
No,None,E,C,9.204145952408036,32.30976240914418,133.24659444906578,88.67902461565606,E,23.79685694842026,D,-104.42937490285141,B,-26.73267255124535,B,B,-114.85971403159279,C,E,0
Non-Veteran,Other,A,B,216.8111635133271,-127.99449891711079,168.24103514457641,-4.0276088770633045,C,-82.90681005297257,B,271.890513381351,B,107.48835545099374,D,A,-25.23186728096768,C,A,0
Yes,Muslim,D,E,-113.24842623413014,-101.86110436796542,-24.574449285569465,-15.22573475606922,E,35.031619852770696,E,-148.81286407768147,B,-132.76172658627056,C,A,30.161207617883395,E,D,1
Yes,Buddhist,C,D,111.16227200854976,-171.96027775477683,-7.994594416810909,-119.46897376018661,E,-110.25754130414383,D,-38.76040218568375,D,130.6032452179625,E,D,-39.213075111563484,C,C,0
Non-Veteran,Christian,A,D,-39.821558625296376,-81.09281222483224,80.65746956133626,-45.31299504167274,A,-212.49522615798054,C,-70.89958329558074,D,57.35761771966173,D,E,205.14301660169076,A,B,0
Veteran,Hindu,E,D,37.94358631721623,-106.74037172364974,-38.73707347006807,190.15717727058103,C,26.286883733680128,B,-34.24657631619677,B,-1.7730411568509206,D,D,115.20880004406489,C,E,0
Veteran,Hindu,C,A,-57.379297239034344,29.770848627427238,-119.4529324016348,-121.42422052383712,A,120.51180223213723,B,158.39877331930265,E,148.30564029582703,A,C,234.90281664587758,B,B,1
Non-Veteran,Christian,E,B,8.356581498752364,18.240289385419295,68.84293979775859,-60.325768815363865,A,7.523393051462586,C,59.717405530461576,E,-155.59565295335995,C,A,55.652876328061204,E,E,1
Veteran,Hindu,E,C,-43.92108149797597,-181.87461401724929,31.30064313059801,33.73539152535872,B,8.181448312722168,D,-27.907151526311992,D,-71.86345872855173,E,C,12.444160924336192,E,B,0
Non-Veteran,Muslim,D,E,-43.65625770840817,35.23957937245786,40.870277132289466,73.8012216853279,C,40.81908082721987,C,33.43389180287211,B,-6.789182049200658,C,E,120.19985761588805,C,E,1
Yes,None,C,D,36.06953415581459,50.072059409636296,10.86250127066752,-74.08895048666926,D,10.254853734780596,D,3.48638466684797,B,62.1725830088596,E,C,-64.47554071429336,B,D,1
Non-Veteran,Muslim,E,C,-108.75235271030851,98.05848871169998,260.6204402428847,14.73773356815881,C,65.03643621740193,A,5.103678959077821,C,137.88955473462408,E,C,107.32430753922135,A,A,0
Veteran,Buddhist,B,B,31.274153755015675,-16.353331392914015,59.33423079696212,60.828551186403104,E,7.016186234170671,C,-83.94812902302536,C,-3.980115453745686,E,C,-56.50759153435325,C,D,1
Non-Veteran,Muslim,A,C,-68.7283187621791,113.2932080389702,-115.60274823485805,28.228386615341893,B,-73.6624802347076,D,-49.89581446031796,D,-75.35794859245249,B,A,-153.56279390642382,D,E,0
No,Muslim,B,B,36.583330686891784,148.32948467347572,118.02517023886938,-2.8156985566357386,B,-11.260735940731536,E,27.12631454148556,A,-21.23821220017895,E,E,-62.911670106625486,B,D,1
Veteran,None,A,A,147.87273691354665,-9.286917277092854,-92.92251251488544,52.3872302928653,C,-52.9837158946057,C,-66.59620487457848,B,-122.72398117289553,D,A,86.64024066495891,C,E,1
Veteran,Buddhist,B,C,-61.969227036073136,16.23569302573264,49.84850406252737,-38.086059429772675,C,-56.998366782026146,B,-101.22343057810943,B,63.46723914529125,E,C,-48.74637487466155,A,C,1
Veteran,Hindu,B,A,-153.12817424058366,-67.59376067642403,53.86356445860876,41.61655841219872,E,-94.49339757536336,A,141.39907467505802,C,22.96967766108205,A,E,117.00595659970637,C,E,0
Veteran,Buddhist,B,D,-43.754405660612726,-42.522958717298195,-19.463444465666555,56.51010513221726,C,52.84236998284789,E,-27.08660679104242,B,40.51301100055489,C,D,-63.81511355564906,D,E,1
No,Buddhist,E,A,18.48713330781415,-221.89540402774227,11.48043795148356,220.23291083882611,B,-125.3490714452149,E,67.43879647526394,A,-172.61299089679375,D,D,29.942109310430858,C,B,0
No,Other,A,A,94.49085590397743,-195.42933037109597,31.810066986688827,-112.48880679605024,E,48.25862384694947,C,-45.69025975187613,A,25.57829628704894,B,B,151.83398435590695,E,B,1
No,Jewish,B,B,-131.78272383629178,-70.59184300112678,-90.90278468284136,86.1755973825963,C,8.098330549973944,C,155.59264979338008,C,18.303095115844922,E,B,241.53029637878535,C,D,1
No,Muslim,B,E,-63.190918642437055,-178.13737889478588,117.63581540741419,-10.882397468660587,E,-58.394520179240004,A,-19.09085047067259,C,26.228676890452775,C,D,17.824385298935493,A,A,1
Non-Veteran,Christian,D,C,-9.177768303439708,132.9314660711861,242.69550877255125,-24.287787775756957,E,-239.36006030517342,E,-82.03887743374618,E,20.07400042451891,E,E,32.6311752883963,B,C,1
Veteran,Hindu,A,A,-54.41711527382962,5.598128604757898,119.11954345818454,96.14333208707903,D,117.27470919763296,D,-132.76294426752224,E,109.7562505965264,D,B,302.55204105989554,D,E,0
Veteran,Hindu,E,E,-52.442095301766365,-14.901957421099096,-7.7465030794929115,122.94492498140377,E,-95.95439332808068,C,161.0150319504879,E,49.63081470318387,B,E,-221.43656103680024,D,E,0
Veteran,Christian,A,B,-36.32110651720058,-96.94355704357575,-150.55502251403104,20.81730791141377,C,-301.79808859948196,D,92.28936125339524,C,155.67141424134445,D,E,33.541423899285796,A,E,1
Non-Veteran,Buddhist,C,E,-65.72472031518855,48.122181462238196,-109.6176306194469,-49.600620087306964,B,-192.29734871039696,C,-72.52273832892791,D,-0.8299956884880442,E,C,-12.175890113970869,C,E,0
Yes,Buddhist,E,B,271.8736141822353,-25.550029415323383,107.8167987001031,87.13225848358654,C,-33.94934477079019,C,99.23388982348308,E,-99.26134104245227,C,A,150.6178172144544,A,E,1
Non-Veteran,Other,C,D,-28.230469500814852,38.14493311187873,48.092755623976075,-143.4323768492914,A,153.39691187148327,A,1.3841300486085395,E,8.49133105608233,B,A,-190.93522251159524,C,C,0
Non-Veteran,Hindu,D,C,118.34754359876402,33.31039076163972,32.74436572606595,20.42696345752233,A,194.9543480722636,D,10.815990501310973,B,-3.1127094490791247,D,C,60.56491830739342,A,C,0
Veteran,Hindu,D,B,107.08873147613463,-115.66721890977666,7.9822944469329205,3.0127817298245287,D,-92.18610036619773,B,10.577957766317828,E,90.796947478044,A,B,-134.36284578130474,C,D,1
Non-Veteran,Buddhist,E,C,-77.66905449084479,14.983664600438248,-87.36293662384463,112.6826051416871,A,-1.6233732179232832,D,6.223396293084725,B,-106.19175395790252,D,B,-231.89273547569263,D,A,1
Non-Veteran,Hindu,E,C,134.11682041762253,-190.34245354707997,-20.81684742826176,-125.14809924679705,A,-45.87129770002947,B,-135.18928371012134,C,-35.568476063489754,E,A,-97.78245241557421,B,A,0
Non-Veteran,Jewish,E,D,-37.24007707062524,22.88062285092951,37.41259881780226,-82.045138625951,A,-47.49336139277786,C,68.54963917301212,A,-1.819199407064607,B,D,-92.84933546162242,D,E,1
Yes,Christian,E,E,-150.2499165834361,63.94587662234353,-9.872551771951567,0.6001305891200628,B,-69.4962553486957,B,-26.91693831565504,A,-1.4293565914349229,A,A,-102.97057034296375,D,A,1
No,Muslim,E,C,80.90299044035426,-178.29195918300204,27.632510170037257,-21.889856066618705,B,52.18894335900212,D,-170.74136777676165,A,23.355169687176787,A,A,-154.7288724289955,C,C,1
No,Other,A,A,-61.49345673649641,-91.45066207610797,108.39038773357991,-68.52933939313455,D,-108.54580776736265,A,33.11257062455674,B,-164.6806398037685,D,D,59.71271383181512,E,D,1
Veteran,Hindu,D,C,-70.36531599748635,235.86616656520417,-24.28683501435934,-26.820690674088826,E,185.33783979599554,C,-102.2910717467793,E,109.51354577946069,E,C,24.468787911585203,E,E,0
Veteran,Hindu,C,C,0.7594558996420274,-89.46752875792532,149.05662253177923,81.23821166244383,A,-48.39926716411767,E,109.063462502127,A,-67.23227497930135,A,A,57.93497344648696,B,C,1
No,Muslim,A,E,133.7920828001146,-32.44215452383836,-212.58524066754757,41.94079443717878,D,-122.41764699638273,C,-139.79673048009462,C,-19.236986299434562,C,D,99.16998962447757,B,E,1
Non-Veteran,Hindu,A,D,-98.99793878219383,2.3844915251999144,-204.74170901951996,203.25498862459108,E,132.09977888505168,D,178.14115042615848,E,-32.058830503363794,A,B,224.60846962213435,A,C,0
Non-Veteran,Christian,D,B,-19.927494062102653,155.35697983493444,38.560139713525764,-146.47835410559122,B,-43.409276863162496,C,208.36763228116496,D,161.69970437147043,E,C,-83.74654109358401,A,C,0
Yes,Jewish,C,E,10.167473332692184,-133.13705306874587,150.0972360481956,-204.80529199181646,E,-91.91520078187902,A,-87.98739393867966,B,-45.35096260531639,E,B,45.6667855079971,E,C,1
No,Other,B,B,-103.27212906669962,-88.9847318551728,-94.96184539525164,275.47760944262,E,23.88681526760622,D,107.59118226376496,D,169.1162304482915,B,B,4.156276569448154,D,B,0
