marital_status,birth_year,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Single,85,F,-6.098878792754248,-32.09707776471563,-70.63972596089175,38.0397891635399,175.97670861521271,46.350763676540254,-107.40409269532616,E,B,57.623990645388254,A,C,B,97.56466657129035,B,22.591735499167072,A,1
Widowed,29,Male,12.101416634387395,25.91508467527845,76.31426499928041,-100.26203387547254,-4.412960058136611,5.457686350159616,-43.36522357808958,A,E,13.882031731386881,D,B,A,133.55141720441804,D,80.31069721761561,A,1
Married,93,Female,133.43790688739585,130.40849878942146,-12.567589499126441,119.58587217805983,-151.30157099715888,-10.753719610081838,-125.97393175930102,C,C,37.26045062671371,E,D,B,-16.39545723400731,D,125.39602237833351,B,1
Widowed,90,Non-binary,-138.39759587269293,85.28554351613123,0.5544578005337853,160.82427875820426,19.16253171110324,108.82889266650437,-114.93467864025683,A,C,-64.68225244424943,A,A,E,91.3608333549627,A,80.5553301484939,D,1
Single,46,M,-109.32958459420985,-26.39356452359379,-102.79044991192308,17.54555109430941,55.760011872966366,-14.932866579532481,9.640671848030825,A,D,-125.52317307398462,E,C,B,19.87550517720334,A,-12.554407239413534,C,1
Single,32,Male,47.61077829282582,96.09820336160783,53.69712670339587,173.20081837496997,41.371392458838386,-75.25661399939519,50.39510469272799,D,A,-20.528102596846864,A,C,A,-69.61173925382785,D,79.4102436360824,B,0
Widowed,60,M,-35.93478653545761,-19.57770532338363,-177.28455298977175,-72.58433164661689,138.36380743539854,-139.724541371472,72.97678738806553,B,C,-11.540436206709215,D,A,E,48.39434273877129,E,73.52307145283704,C,1
Single,51,F,-68.06118642079993,-63.63687829145014,111.53339567450718,-15.457343498973941,-18.867924571354767,130.0834022921489,-243.34032626667695,D,D,6.830877391721403,D,D,D,26.47520314940637,A,-72.13843150973884,A,0
Married,42,Other,54.03441886825539,-121.42246906095713,-20.697803874601853,82.96352167238766,48.395950371813164,31.547899787239135,-192.81628218253476,B,A,-38.82556577791295,B,E,A,98.38275191657576,B,79.63298563897372,D,0
Married,51,Non-binary,22.610086973926443,8.925162183786231,-78.52162488670878,-59.26891319429733,-72.91195456054595,19.5528171315768,-35.91389199769893,C,C,-128.06669411908388,D,D,D,21.476461327937706,A,-105.55200108565927,E,0
Single,33,Male,-87.49053220693847,-93.0328254214541,-15.552782134736972,17.747492303752015,51.79354717618606,-92.59542888465073,-0.07190663111546898,B,D,-33.2343066548628,B,A,B,57.032130731394226,B,164.24309362310598,B,0
Divorced,63,Other,157.1192733990703,70.42669284622082,-3.458238005630464,-84.73176509870494,-17.879959822679567,-138.9723942393801,-28.57067573109345,D,B,0.21355928296652857,B,A,A,-59.201451301681615,E,154.36869931246423,A,1
Divorced,18,F,65.31520429636758,-103.46559130873925,152.34070783095945,21.376864023063607,76.10655144804885,63.17853278131618,-180.0772317616541,E,D,107.39717596276563,E,D,E,27.08630731196284,A,68.06411386207307,B,1
Single,33,M,-67.79400152581681,-78.93362580366187,24.4293655749451,-92.65292661009043,-48.01073744560627,-38.00302400534615,32.54269357770922,C,C,-68.89297610075367,D,B,D,43.64119489639733,B,173.627285887999,A,0
Widowed,86,Non-binary,42.35167269547006,-94.34282413566505,91.74937269128424,154.22831515483637,19.55713222671147,-60.273946841895,78.23903080569778,D,D,144.87543634776412,D,C,E,11.24590874064668,B,6.868165083056661,D,1
Divorced,44,Male,-119.19560987337255,-9.27343324670802,213.0542972879316,-149.75012656856126,85.94797957882479,-30.57593024772392,-99.20912269049647,C,E,13.756789808986616,E,E,D,-118.37967990297831,C,-106.14558090530772,D,0
Married,81,Female,-105.15738963218688,-32.51000647723138,11.247623880436365,-88.48936924128272,187.4611710069033,106.61866567715654,-19.26637945788343,B,E,-135.82436641518242,D,B,A,12.984377895504974,B,89.03343405125115,C,0
Married,84,M,12.035921096079411,79.32325991815325,-102.66529692422066,49.356885988927935,144.2419742597539,-3.0526580219605575,52.80403429968641,A,C,-79.02733248907903,D,E,A,-189.38906253744335,B,59.98890849761217,E,0
Widowed,85,Male,22.538552909234237,47.77966565689069,-68.72070244989762,-94.66883364855835,-44.348375150216185,104.95623428931735,-78.14236174653392,E,B,-95.52309096774209,D,D,B,-135.48272609683517,D,55.47784069058782,E,1
Married,67,Other,-95.91574427197173,-99.6582685900131,-92.45803248445645,23.68019236844778,-35.74476653229674,153.09506110429106,34.147258139208276,A,C,-135.1098023901123,E,C,E,-35.74012077723395,E,-195.7754606552098,E,1
Divorced,89,Other,0.8046391784771826,124.56421007777747,-74.91315287966698,-86.08882003518997,87.17130218173291,-110.35536931867705,115.2872965581925,D,B,-203.45934036339065,C,A,B,-7.862315770598462,B,-40.387257029571074,C,0
Married,54,Female,167.1962627541093,14.086842267504807,-89.49205838718561,-188.5914547831388,116.56265260954366,-144.88903041133224,-34.36312688315142,B,B,119.65529444869011,B,C,B,-59.84865789081856,C,-61.70716071020864,D,1
Single,36,Male,-80.03857014053129,-64.22446341117106,26.550621809288916,79.4408878258036,106.69056628040785,-36.407946429993125,50.69034182011873,E,D,14.16047284859167,D,E,B,-25.053444148928133,C,7.153612122913075,C,0
Divorced,59,M,-35.82168031145799,47.57579673759012,-139.99053008640254,62.48226773349093,-75.2543194978756,9.05210234154114,97.6095541482976,C,D,62.73736018580816,C,E,E,-146.36729296949355,D,-117.54911799643291,D,1
Divorced,38,Female,-28.910705885793643,-94.6769066934971,-6.255041079527196,101.69306972769601,-227.18228333532093,178.70597286096307,116.47430820631688,C,A,-34.021742774247,E,D,E,159.59430393221726,A,-48.42470947813215,B,0
Married,41,Other,-73.420299782009,-56.99064180309489,197.38052541003245,-9.511029562250025,-186.91229732907652,67.20154922048077,-83.76833753948524,A,E,30.45777031144865,E,C,C,29.517491575996896,C,-35.60050550717759,E,1
Married,49,M,4.627279539582904,-56.66675317619864,69.41111228629543,-81.37759348869305,-4.9358975137951235,115.47007105030957,-108.67874067990509,B,A,160.88531299139197,C,B,E,72.77403432633479,E,-76.94769818936868,C,0
Divorced,49,Female,84.90902033754007,-157.49319695775498,-42.67448904686638,94.19681498365419,-66.47462638270576,30.586108117783283,132.7914234402834,A,D,-86.75782146568307,E,D,A,153.01776610162236,A,32.788981579713955,A,1
Married,87,Non-binary,31.739425211164246,-43.737068489511934,-27.492040317571426,-42.3055059808827,68.45808250193166,113.5572692209216,198.14272314356515,E,E,72.9965951170808,D,E,D,134.99904998687384,B,72.18811969800042,B,0
Single,90,Non-binary,24.865286403295013,-77.99359660260905,35.830401927156394,-86.5728619023452,-83.23963565707277,40.310674747452886,-69.78372449558286,B,C,-99.02728320321896,C,B,C,-126.74771402009024,E,-3.327394767635519,C,0
Single,66,Male,-173.87767651878266,102.26357541212334,130.95032685469783,-96.63968527212332,43.762332730378176,44.19526105313527,84.47881265061308,A,D,49.73292897373212,B,A,A,28.440968826274926,C,-25.08496841042841,A,1
Married,71,M,-19.259863319805692,108.48349819854882,28.93616299485984,17.827845261340876,178.737916713959,-33.190299388515676,-58.90940191212718,B,A,38.39974995761615,D,A,A,-32.56951837907587,E,-101.5548675252448,D,1
Divorced,70,Male,-72.13246613297987,-161.77779182259323,-100.0043622896446,-144.56353388390568,-62.900231119234626,126.71070935863307,149.42600994393658,A,C,129.10357174999095,E,D,C,-92.80589650974984,A,173.33592577681605,B,0
Widowed,22,Female,-151.32068656951537,-15.987559300286744,-10.815688826454611,-47.515760619668804,-228.21054687391157,-56.36303886650459,-23.12352941647085,D,C,-140.2401412957316,A,D,D,21.965148467762845,A,-85.90126325363524,A,0
Single,86,Female,-132.6222425176063,-123.79822347273459,53.37230911513103,-169.03575119903346,-44.551530695327216,28.27284190756037,-16.557483795496136,D,B,170.11672348718676,B,B,E,1.2066279148496815,C,-26.287564402470675,B,1
Single,33,F,216.1223015782646,86.63589036831891,-45.23378388324295,112.02566109134062,25.25367356999999,37.649158596863145,28.55058397653833,C,B,-56.21866859648009,D,A,E,-5.025371402623611,C,-127.91416085950598,E,1
Married,98,Other,-71.85447331378806,-102.01067203411493,90.97632594647351,44.8655711985725,22.748482311429054,-3.416300055430159,-134.88426639409442,E,C,87.19824764769537,C,A,D,-1.0463654223841197,B,-73.74342446220011,E,0
Divorced,43,M,2.841059013646027,9.207147095591745,-57.368140447645274,-209.89308205018716,129.46151579905916,-56.28005619597345,41.285599315754794,D,C,49.71649231498718,E,D,C,170.93003902632285,E,43.388484293819076,A,0
Married,31,Female,-77.87713032498851,-63.190797986988365,153.50057208996807,86.47775012152331,-131.92977021356492,43.285053685449924,-68.426763927644,E,C,87.76708738721398,E,B,E,-156.90083638234523,A,-6.7756051580128585,B,0
Married,53,F,124.78588588332715,-64.13604726023807,-120.6020835189165,-18.31562975050035,-143.84743466185245,-19.283790659091217,-122.25588485744896,A,D,-98.90063212639544,D,C,D,-93.94168427555311,B,-68.60740027411991,C,0
Widowed,97,Male,-100.63937314163745,-25.86681498482479,-107.28334362125867,-85.46246731423483,26.449114203144724,79.61922293184467,39.61056379488429,D,B,42.600171837979275,D,A,A,22.04790472199872,A,-13.116169511372961,E,0
Married,28,M,-67.62206943305594,103.66460647594752,-202.9586772954988,-98.42772053880047,23.85225702237788,55.98193403042275,-49.3746385179433,D,B,80.59894975220158,A,B,B,37.58218300772502,B,-269.9597279358482,B,1
Divorced,87,M,-191.68129617752993,37.65407069755658,93.4862210213461,34.97811695818386,-20.142747181485273,23.776123415337338,-86.75535456503172,A,A,72.0837846857956,D,B,E,-109.81379704608104,A,179.87501692772025,B,1
Single,34,Male,77.03061199013422,-170.8931143124899,-128.87538813303516,-75.14995348387009,124.18416730537245,6.648889262024069,-32.57161508180536,D,A,119.00125665534217,A,A,A,-14.087840413062771,D,137.3337643530632,E,1
Single,94,Non-binary,63.396308781774515,77.188644222527,-25.20810171841964,55.24431710884382,12.08798295395516,-47.717721637869566,-81.20275108971599,E,A,-135.23219575659334,C,A,D,101.4370606528608,E,56.08904936014655,A,0
Widowed,96,Female,61.774154590290294,-51.033510419205605,0.1655054939880656,-177.50412759509015,52.34579991676108,39.79420666483564,-98.02615253180885,D,D,-69.21420788235173,C,E,D,70.44107753916609,A,-2.1755844596602567,C,0
Single,52,Female,89.37962726927046,-122.81417425758538,-82.60848909734013,83.80536316729142,17.369798140813657,-45.72742519245778,-44.87827483575662,E,B,31.823669652580765,E,E,E,-178.81098862481022,B,104.23136619235464,C,1
Married,63,M,102.12036938973151,58.093331009240636,-124.90088236069472,-355.47067756131577,67.24621995788004,13.096681245548838,-157.1314312307918,A,D,151.6056043341975,D,B,C,-189.6293685474077,B,41.6513591677289,A,0
Single,34,Female,-43.871218178624716,-9.901237410123354,-12.412964824505464,-229.23466842335313,-5.438460745082403,-96.07616102667335,-81.13557175125891,C,E,82.93692252245172,C,C,C,147.5174723400898,E,-83.15153374028439,D,0
Widowed,87,Female,-3.501147070521235,2.8733989268619746,202.73975828064593,-100.86912513548232,156.5030950736502,-77.67445013525042,-95.9418478743264,D,E,-28.477478408745792,E,E,E,-141.08898284472966,B,37.127115972999974,E,0
Single,87,Female,149.90776602767767,-77.04721402695034,123.28434672290621,0.2598908835537811,-88.6910034473231,19.881421538356495,-4.585999136992485,B,D,236.47946864648662,C,A,E,88.38421721723412,D,111.42984231440568,D,1
Married,54,Non-binary,138.1142980666312,-53.524265775050196,57.63185118929886,96.56304558083583,68.87627601353891,-151.4737420496405,-124.4944964002195,B,D,-10.626647662776305,E,D,C,87.55621605132328,E,113.56427725407796,D,1
Married,52,M,-128.61131706266576,-150.56080668330526,16.068258734738144,13.056146538146576,54.264036785863986,-118.22570109278163,222.0598277408992,D,B,177.15588691178806,B,E,A,73.00777480560771,B,-59.577711431983815,A,0
Single,25,Other,35.649188034055626,-55.080030576778526,-105.31712605191836,68.3254262391966,38.74800756483073,-91.11199295902608,13.727812032170986,C,D,-29.539885467139115,A,A,A,-22.652685381948757,E,-43.36071095977146,D,1
Single,58,Male,90.64089671675346,-0.5075107800532118,16.3516130975933,180.27327657164784,76.94638573099648,53.5274433184307,16.519878379209732,C,A,15.61827653969812,A,A,B,-19.919376510823543,D,32.759717163524144,C,0
Single,49,Non-binary,-48.61872272551391,55.58510847052253,26.729989965745922,193.42428507436128,68.24493325599524,-41.499395067725295,-20.92278073072512,D,C,-31.501388630107073,C,E,D,158.96099114425547,E,-151.8051539180762,A,1
Divorced,21,Female,-0.764072842752202,-166.56274288734602,-80.2834048755666,193.10899014330158,124.1169702587398,-153.5554050309557,129.95269885638905,E,D,-5.647760642820097,B,D,E,-173.0376774914753,B,22.025292002070202,D,0
Divorced,29,M,69.63515312391947,25.893633434634722,-48.65655876174856,183.79765163015253,-175.50361873563733,-63.88348949048769,46.93877062699357,B,D,-115.34923547913772,C,A,E,-6.564389985318099,E,20.819974454400715,C,1
Married,34,F,-74.20260744400083,-107.97565737834678,-243.07394731612112,58.73241013215259,-148.54155367676654,-46.104044097937795,37.094922491009974,A,B,-71.85426437658478,C,B,A,47.6227500106904,C,131.69376380959835,E,0
Married,97,Male,53.76114543341893,-129.13428123924936,-140.3876874368429,112.47369621179769,-108.71592768018536,14.412868350819055,156.47238607620747,D,B,105.6448947671446,C,D,B,-43.8075123815562,D,49.55994417281903,E,1
Married,31,Female,-95.99797875905948,-40.825766133778465,-112.26596367435135,-146.61241611232737,31.92006795450746,-130.75586947490444,43.279573410409725,D,D,-110.65542326490426,A,D,C,94.70906824661269,A,197.95646660751618,B,0
Married,87,Female,-228.74066244254186,13.431302585212507,129.96864203391016,-37.199137590935045,124.3237166554487,87.8425922881603,-104.29089616360976,D,E,-32.473633682097606,A,C,A,-93.07215059096372,E,-3.0820619702244536,E,1
Divorced,74,Male,-155.9417408235962,78.49925347846937,72.83359798432349,190.3466345672071,31.796621702013066,110.04862865494327,-43.28910285063529,A,B,63.78677456519202,D,E,A,-147.7479805662772,C,-88.99280367970206,D,1
Widowed,33,Other,76.29918286591436,17.150345929043482,149.38586372010712,92.305434960367,-15.574600564376723,-236.9042307518566,-153.77675678055812,B,E,-41.143109050058904,D,A,A,-2.2079114880215656,A,-11.731134150693414,E,0
Single,84,F,126.03910993302404,84.34080903918391,132.81313311181927,35.09980420902109,184.41277288606207,145.56069538581963,-35.62663289661072,B,E,-62.36991897392578,D,B,B,134.06505918221495,E,-38.46199837312431,A,0
Married,68,Male,6.336797104611897,41.83405984128813,-138.6607381720044,23.52507677629865,-89.56746983315936,-141.15319061750353,162.84346009090075,A,A,66.80033901277696,C,C,C,142.36146803223969,D,113.8069322749485,D,1
Married,82,Male,-274.78577299419356,24.530693780019963,49.839894521673564,-49.65556705075959,-20.134170713501106,123.03396558336495,-37.93224496174808,B,C,82.58910495261837,E,B,E,52.92968517690577,B,-38.24010839612374,A,1
Divorced,56,M,20.42786545185043,-92.99533108797114,-113.0043565362588,-90.28987386042573,-239.51483166298155,109.50138834466534,-11.049905175857802,D,C,365.7529807890488,C,E,B,-248.8205938804125,B,-129.55213317931504,E,1
Divorced,19,M,-95.48496584720289,-30.24093618957241,-77.59904577974952,38.90228037745104,77.34140728999003,96.3055215094942,91.06312338647369,D,E,-14.846109014004927,D,B,C,58.73778831575017,A,164.34880281932726,D,0
Divorced,93,Other,-89.75042623874445,-70.14009136116306,19.049118635700825,-128.43948734163973,-51.60227853923245,63.10626455466072,1.0575797634287474,E,B,-84.50066043731613,C,A,A,121.99023924247696,A,-21.335486992550695,C,0
Divorced,88,Female,46.291548902092835,44.76658652508974,144.9160221130217,-93.77402754868619,-86.80932985454794,-14.838810394868842,29.740312273099136,E,D,79.37172418109074,B,C,A,-4.196714957384384,B,-5.550643542811503,D,0
Single,83,Non-binary,51.594580942477805,7.83376252697244,-147.31374217870717,-18.283192350983896,69.37325818171074,57.47552655524386,-2.852882705967935,E,D,-10.837513210638813,C,D,D,97.41362619268415,A,56.29047452222782,A,0
Married,43,F,-134.41130294909922,8.497020866052992,40.20035163989593,14.778315308591225,-74.43553464981363,-160.61694903951403,73.59825759911361,E,B,-113.44901294797063,E,B,D,-100.92113186883853,D,-63.11035164147416,E,1
Widowed,67,M,106.45828590458916,45.051209183160616,-53.829986345907145,-125.9499401878021,52.5076405238625,-90.91013749669749,72.54822729417229,C,E,-90.8485542379188,D,A,D,116.70734770097732,A,117.6509236855958,A,1
Divorced,85,M,158.58663160343465,1.6833879242604093,215.5472828668622,-120.56817954043184,-41.752879500920685,115.64825892768364,-38.07247826871875,C,C,217.90143152754152,D,E,D,183.8882501883571,D,22.08106334367283,E,0
Single,58,Male,8.968098930513126,-11.818556017984543,-32.46534048950261,-57.070416576149356,-21.64151476695178,152.10436040738992,-273.25426725990013,A,E,-35.84144268732063,C,E,E,63.0537158185426,A,-18.05267219752616,E,1
Married,53,Non-binary,-71.2678210418914,-17.008591608884515,233.4624841598491,3.586759198762602,-105.62182353322862,-265.1506629938254,70.72076895321683,B,B,-114.01186990603654,E,C,E,168.7815999281327,C,-80.3554991923937,B,1
Single,86,Female,-19.750801313094655,125.34617798547328,154.48470891582497,23.548054505253337,150.52671589116372,-37.251481899844116,13.433510774080448,A,B,-38.53306871916162,E,E,C,-63.59815345250786,A,-81.68105058847702,A,0
Divorced,60,Other,-85.84566208886716,-41.95383273250593,-30.249333993197403,-79.78382473193746,-47.47495039633684,-24.09561321663956,86.67914986221939,C,E,20.86490745372014,C,E,D,-65.00583436764497,B,-12.079238031753142,E,1
Widowed,55,M,95.4722233433325,-91.28206675662958,0.7971840651563696,-68.19064218504336,-136.3115772290543,-24.01191076471905,205.99339871967524,C,C,57.56959499867423,C,C,E,-70.27172688670623,D,-106.82838384987991,C,0
Divorced,75,M,77.83416491496467,-35.309839688405184,-10.415273099535199,-199.94255169207258,-107.66015529703732,-190.29718257451498,105.67789734179749,A,C,14.679869804354539,C,B,A,36.411345041594316,B,93.60075947162142,C,0
Married,74,Female,-122.07888893806972,118.95158333448464,131.87814946791784,-152.0408639243661,-84.63647851688157,6.712896123572283,25.61484575994797,A,B,-98.36307105130192,D,B,E,24.051112814179533,B,-6.609583315560418,A,1
Married,62,F,-154.45556036248706,-23.414953460638213,69.99872062658437,9.137161446546374,-36.240474139395054,-157.71929330672495,-69.20526954715702,C,C,-59.83889638017929,E,C,D,11.608331382881353,E,-56.2826032993476,D,1
Married,64,Male,75.73109187079487,95.31772904619261,83.173707061527,121.16373432823411,61.04145303181004,-224.79269883077131,-0.5053591054697189,D,A,239.0030592859242,E,E,E,78.75079606957925,D,44.11108453798139,D,1
Widowed,23,Non-binary,41.27455842889836,109.39691976877349,79.35608363032168,208.3960992440538,-136.9495902510892,-81.48236130995944,99.07057804657317,A,D,107.25119423042338,C,D,A,17.68394732640116,C,-148.48657200682592,D,0
Divorced,53,Female,-54.691454013019694,-7.354580120539303,35.78300108933677,52.33154746519265,97.72668371618545,-164.0529238240234,-85.29393686655573,A,A,24.05022382216369,E,D,C,-79.18940476633132,D,89.5947171642238,A,1
Divorced,46,Non-binary,167.7069525319922,-16.770588315812248,-25.407722767815372,21.500593005169392,2.6148930296140063,-44.68345889431802,-101.139123493952,B,D,59.009413299559,A,A,D,26.99359950252742,B,185.84037870836448,C,1
Widowed,67,F,94.15178981174932,129.18669851872244,-70.17375495903858,49.57875054163702,-10.394146129113414,44.506017480619384,-47.7052067966404,C,A,15.961354662955522,E,A,C,104.93078570227654,A,-233.0270433646191,E,1
Married,72,Male,-30.795143472289944,165.29044215013494,125.2867083343641,-153.11612656514433,94.31553364949777,-31.40554042951212,-39.922715386348365,D,E,-16.472156209242147,D,B,B,-7.470168191599003,B,-69.88523729866002,D,0
Divorced,25,F,50.415232882364236,157.86200160704306,178.83589114484946,181.4895707120242,-45.29476822959688,67.19806340188234,-170.8929200087535,C,B,-19.29004000150455,C,B,E,32.510431220091085,D,-109.90641421342002,C,0
Widowed,34,Other,-86.87764474454734,-10.686224976914517,-11.652613913640035,-11.254921081290085,83.52061916858189,-185.32891577898326,126.68812993909786,B,B,145.86627929085648,A,C,A,17.470984567417688,C,-24.661306229463143,A,0
Widowed,49,Male,-213.05813074608463,29.480248023320087,-176.44973464970226,187.9282064672154,-59.17749973943584,67.39241992195333,9.771443374865374,A,D,-14.652628609993421,C,A,C,-21.48499047355879,C,4.369967317125289,D,0
Single,26,Male,120.97447293044385,-48.13215264084131,-88.66512627600439,-20.524862358726928,86.24135571555031,-120.93185163963717,-154.44501103982947,B,B,100.81016771877887,A,B,E,-127.20362990443923,D,-117.58016285837883,E,1
