SEX,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Male,Bisexual,B,-130.76600255493526,B,-42.27936159192359,-28.315122045081644,-179.13710752739019,-25.694035721339475,0
M,Other,E,-87.3559491840469,E,-134.0987134434344,131.16366678949532,-250.2536676888236,-95.56496089932419,1
Non-binary,Bisexual,B,-62.95300002542517,A,-176.39132657725878,47.30941299469253,19.443299385552802,81.13283000630128,1
Female,Bisexual,A,-47.49651574332908,B,-108.2549984742647,-50.70944298209375,-24.98708573188775,-168.56379516148007,0
Male,Heterosexual,E,-4.913111634572511,E,-49.604177696325955,3.951247483841972,2.7350441856196417,6.741544879550104,0
F,Heterosexual,E,-5.088374173892139,C,-212.71124236909412,-46.43735884605264,-82.5764503519997,-39.49769747309063,0
F,Other,A,80.59768296823917,D,-153.58247978828078,61.52786331101322,195.50602038832164,-53.498097656223095,0
Male,Bisexual,A,102.0535572262965,B,-188.68573058917246,-52.958940433065514,-160.08087906648356,181.9372126793309,0
Non-binary,Other,C,-118.97878713968689,A,10.421435128180951,-51.00403363898592,42.72255663062107,-32.838453892026415,0
Male,Heterosexual,E,-74.69061863366106,B,41.06247593169526,80.47943732385903,-68.24969681081163,37.324132929371515,0
Other,Heterosexual,B,-91.34154927260036,E,-271.4714477024402,73.24196969530092,-67.31761279250372,-146.77559907122793,1
Other,Homosexual,A,36.68105342239465,D,-123.80682412546781,-146.13937085385876,-42.671564443647064,-17.208486134136503,1
Other,Homosexual,E,68.38360918865312,E,116.99416104858041,-34.54680309346018,-36.481254702726226,-98.54756470218734,0
Non-binary,Homosexual,A,81.6264378721348,B,-60.086770577509874,-70.14172246061366,-7.519098766216594,-195.12545709642956,1
Non-binary,Heterosexual,A,116.37930683702382,C,71.71072726205375,-9.25330055178203,-175.42961682150877,49.881820061018296,1
Female,Other,C,108.8245388795359,C,205.01442091491828,-20.39689207637607,16.25649055076104,-143.1055934737177,0
Other,Heterosexual,C,-151.46979359791789,E,7.0466939344089665,63.58554802800588,57.932325884581616,15.541792632184032,1
Other,Heterosexual,A,205.5813612417897,B,133.30399174114905,117.54560118339283,83.81142242131122,-16.28780584379467,0
Male,Homosexual,A,-123.6844051445543,A,-98.26674893340399,-24.292286003256276,162.58883445633361,3.925971080865933,0
Non-binary,Homosexual,B,-36.71406427668289,A,-64.28144392222413,26.235488057563018,-35.483684651408005,13.97354479233202,1
Other,Heterosexual,E,25.7004374870703,C,80.95966681022918,62.32394166409841,-22.2750206566763,-85.48893042219497,0
Other,Homosexual,C,-64.26315541830012,B,-138.44649331631683,89.8068854147432,26.400542029826212,-117.86925720908937,0
M,Other,D,-7.031890740492927,E,-129.0609383963102,-39.935809255635874,33.423741052487976,-53.3778883919714,1
M,Other,B,-45.57523501094015,D,39.228008154805096,-24.95297873868999,140.10314987064297,-111.58604109090302,0
Female,Bisexual,D,44.69281012279821,E,46.96895270021588,30.166436813920345,-11.85681975907134,-83.20711928919448,1
Other,Bisexual,B,63.86489593367618,D,-119.94425890145202,-45.34756664695785,106.32843070296667,-26.71864909145268,1
Other,Heterosexual,A,109.52735855966623,E,62.62607239465563,-2.469771970475166,8.322564110923958,-35.24643344969707,0
Male,Bisexual,A,-17.81907579591709,B,107.48293070436641,-11.727638360330909,-44.150887140195586,-119.12197571760366,1
Other,Heterosexual,E,244.9755063890431,A,71.16686225735535,55.77516193554332,96.68643994636986,-182.12131499592087,1
Female,Homosexual,C,-166.80245757524403,A,-87.32427689394035,-94.15503613529847,-37.90140412905023,96.16355936909324,1
M,Other,D,-8.752820275542312,E,194.5282384753838,-310.81675268098377,102.06205869950944,149.64068584408196,0
Male,Other,A,-62.795580534317175,D,-97.09908460945485,22.27726810668594,-86.79145303001451,-69.73380584344186,1
F,Bisexual,E,25.154446753595355,B,-58.399821077001846,-15.997899619943947,143.38586299915258,-35.233462383550965,1
Male,Homosexual,E,-5.959692442410931,E,-94.92134410763879,-56.47846481452793,-191.22011939520354,208.88285106282484,0
Male,Heterosexual,D,60.703211467940775,D,81.83696386461591,184.6729439819211,-50.82073927040287,-130.30368233377988,1
Female,Other,E,133.85986405578095,A,22.417231693824256,80.86007416332201,-64.99428421048906,27.956878451975157,0
Other,Heterosexual,C,-85.36530724163985,C,57.7663864072947,74.93060963606767,97.66394373048524,-111.25176945772081,1
M,Other,A,-72.67990443556454,E,58.058266996632646,178.99892455483263,-143.81930591566078,-31.59523812754414,1
Female,Homosexual,C,-15.222127327025447,D,-110.79081301816764,6.5275665917298,51.2920500244748,302.2380644033793,0
Female,Bisexual,B,-73.7163924024868,B,41.76573717972264,-116.65120080757438,-26.481433701438874,-206.50378916789717,1
Female,Other,A,-200.9673159590158,A,33.11811772211584,5.769425209293393,238.73953677659517,-42.96165393698532,1
Male,Heterosexual,E,273.1106491139435,B,-23.594453883659988,69.45444106516841,-24.451218712099784,-136.48639512944146,1
F,Homosexual,D,220.00131421573107,B,84.46207422060962,-9.056234108023551,89.49850786357625,-11.561326546927312,0
Other,Homosexual,D,-88.55027305045911,A,-30.95588631638286,15.323630005187717,69.64481245580292,105.37248093277395,0
Non-binary,Heterosexual,B,-231.06975173193987,E,-131.5266413682192,12.786106702368134,114.92294991605209,-96.91625449888883,1
Other,Homosexual,B,-209.98675835891282,E,-104.65451887568693,139.55008123521023,46.19099735900855,20.465846007144613,1
Male,Other,C,44.80148577103872,B,131.12058053581563,-43.99787941595596,58.20832475502499,48.80007858549012,1
M,Homosexual,D,-54.65818153639488,B,-7.915624799105042,54.94608069920316,-24.79776215585203,-68.14426764962691,0
M,Other,D,116.6384660751486,A,-43.46739678439311,17.763061820971036,-9.185096058261525,225.08043323498956,1
Other,Homosexual,E,6.199473580910743,B,-142.583391607196,25.978386426126164,29.920288805181855,102.66841489885006,0
Non-binary,Homosexual,B,-29.792920453849845,D,-63.96394720473134,201.99437306619922,-251.91379229906738,-18.293498455162027,1
Female,Homosexual,C,-29.74595885544093,B,-82.76156865838247,-10.411588757621868,118.92935667061487,65.43085406879325,0
M,Homosexual,A,47.904142383583256,E,126.17205992143138,-61.68505264317261,-97.3961644336062,-2.935544786745212,1
Non-binary,Homosexual,B,-26.37716350577276,A,-39.70492359635648,-59.36952122402319,158.73535517208012,-71.83976826796915,0
Female,Bisexual,E,52.27352596999856,C,-30.417772006216897,-8.2710582390121,-80.93630508193807,88.16966644003949,1
Female,Bisexual,D,129.72934074925993,D,-74.92178759900648,18.558982741969864,-60.86035625059154,108.05463521833678,1
F,Homosexual,E,-7.406678133808281,D,-83.05037509409,37.398075775096515,-107.35794654165637,-95.4016518881915,0
M,Bisexual,D,-41.25813381594765,B,-9.590263228411803,78.92452709063873,61.37330609648339,126.39750260631352,1
Male,Other,E,-14.645709881104255,E,-114.85667775990393,-72.47779245295293,67.62018961274482,73.10699268646604,1
Female,Bisexual,A,116.33536686975505,C,152.48721875377908,-71.62559626227105,-86.15061535673729,65.49530189301669,1
Non-binary,Homosexual,E,13.809895050833884,E,-20.14230397391446,161.49075289974158,-65.64194903657369,-50.20620149610794,0
Non-binary,Other,C,-113.57351971524707,C,99.00283287400933,-88.19375203749709,5.822561675915987,36.597715731348394,0
M,Homosexual,C,-151.74925196181698,B,-236.73013258538452,131.84635018948626,-109.99070038018554,126.27118139784675,0
F,Heterosexual,A,-93.47521853363317,A,-192.53748359006778,-131.75432514230528,-409.9729059628935,158.33530460892064,1
M,Other,D,39.819196165369355,E,-47.325062341690646,-82.4011896630519,212.91492563302293,-69.8147605718893,0
Female,Heterosexual,B,54.12849549134664,E,-57.433368042861986,127.00492594599584,230.99132183317357,82.46483570797716,1
F,Bisexual,E,-38.97076823821094,A,149.26196574527626,47.225546747739045,-296.1735352178911,92.12912647235284,1
Other,Heterosexual,B,-49.882102389779895,A,-13.286819723786675,-108.38428072933046,46.87462875395736,-150.91679180642353,1
Male,Bisexual,B,47.06901312221549,B,-192.08814393364148,-117.62129919345429,50.96821615586096,66.09289877072932,1
Male,Homosexual,C,29.9921112318354,D,-171.05392418280266,31.074022559718273,-53.89493360242302,-20.038940880170312,1
Other,Homosexual,C,11.106551315622838,C,-96.59693973519849,14.338267459511073,100.07049094335345,89.78906053522495,0
Other,Homosexual,B,60.66269475067275,D,-57.40779851617781,236.5495843774121,-48.2704418026846,-60.4865807666186,1
F,Homosexual,A,91.12390270528725,A,135.14014172855397,102.40210461936567,-47.56520219918348,11.490294175489268,1
M,Heterosexual,B,-98.24999861118678,D,26.07344319685465,-95.8121420472117,34.87935122709186,68.81663382207344,0
F,Heterosexual,C,25.796968993365795,A,194.6738900408399,73.89169967902991,7.080894377414117,-174.8572059854736,1
Other,Bisexual,B,31.555357981355343,D,-119.19355207136971,-33.17406503896376,29.108903627239112,-63.080044114338754,0
Female,Homosexual,A,-32.359534002621096,C,-14.474652743586342,16.314133362157705,-85.55604305200615,-90.28387404963448,1
M,Bisexual,E,-144.19822023805207,D,-118.12082465027436,-71.42838225754889,-260.57436251798845,70.1937409028678,1
M,Heterosexual,D,178.23409390595654,A,96.27130223667234,-91.43113269818699,130.79238002082235,-155.24375296123034,0
Female,Heterosexual,A,-80.94996755504286,B,-116.46972393714698,-188.17181583859153,-48.26268607820787,118.9540242255126,1
Other,Bisexual,B,-189.32692696330176,D,25.465291119848693,-47.93913128734437,169.43864834445654,52.12537926709358,1
Other,Bisexual,C,0.630850584035556,C,-188.71710463291453,-3.5678570277450845,-131.53620689724403,26.338667160480245,1
Non-binary,Bisexual,B,-79.01195764190112,B,84.86786115515832,-34.888423473377586,13.232622817394402,99.7094971686058,0
F,Bisexual,B,236.76249349442196,B,105.10371890343855,-18.220438831285858,204.1619253636582,-61.55082346282703,0
Female,Homosexual,C,15.212112052130491,E,-215.55889486361826,-16.9865822607552,-38.62149096441147,174.90476461151388,0
Male,Bisexual,B,25.60405360653849,A,43.06855395894721,-67.31661388874316,-53.494371925401474,-125.37498348452449,1
Male,Bisexual,A,83.17947405343665,E,215.31157723139134,-6.233682743708384,64.87174456578053,-60.725150393818716,0
Other,Homosexual,A,277.20416915326007,E,41.668030978628,-34.52948669868999,108.74806998456201,75.06026175955832,0
Non-binary,Heterosexual,D,-75.00432932023853,A,23.130153322241394,5.362781146040767,29.256170070835896,-142.77557199193552,1
M,Heterosexual,E,-68.44177253847036,C,58.56941006525733,-103.79830704373406,107.46162804799788,37.78525037627623,0
Other,Bisexual,E,-125.4952769689873,D,-53.74455932000224,171.0284975413851,-144.91717216531214,240.17889855573037,0
M,Homosexual,D,78.51631892936115,C,295.73997741238605,-226.0618576927039,-72.75124438114082,-133.8244274089219,0
Non-binary,Other,D,88.68134303154275,C,-7.778044905261755,-80.32271273004116,147.29515468006295,228.32671560803027,1
Other,Bisexual,C,148.15881612035588,C,26.721025129348817,6.106373008829225,-18.60088342121876,31.626585175839168,1
Other,Heterosexual,D,-16.783323164149273,D,-15.429024910250478,102.35767050971766,-28.083132015499,-138.6208373893123,0
Other,Other,C,-69.35187068325533,A,-25.456939354469952,-120.99866048875604,-114.55379202123711,134.90551741197606,0
Other,Homosexual,C,85.77036819573635,D,-23.636778527840928,-120.95474565603406,152.73953496597136,88.48705822447343,0
M,Heterosexual,E,84.50616149854856,E,-44.16002703674678,-43.43537707943079,-12.70172544333496,64.204806763705,0
F,Homosexual,E,-101.67591898702482,B,40.30866176890789,-38.44346299072804,-161.42277130577827,13.259930420773383,1
Other,Other,C,103.28974696355996,E,36.30715562215051,190.4182028333081,-3.7519142158464343,-11.510495713870545,1
Other,Bisexual,B,-77.63724187036182,C,3.501749169436281,-52.72857900324358,-145.86206972502987,-22.656766836678127,1
Female,Heterosexual,D,-182.93361075402936,A,-51.8242860446503,99.65717987483154,-13.787097133044728,233.30848933669475,0
Male,Heterosexual,C,157.93588412620926,C,-152.68451227688357,-56.01733392209361,-79.89257645077996,2.193735129928107,1
Other,Heterosexual,C,-133.0880441683328,D,-241.70402579092394,-56.01351086532224,3.732385796368303,131.89287680835722,0
M,Other,D,126.66893052167978,B,-63.12294794079841,-113.8034606012553,-130.67620059702648,40.58942993343067,1
Male,Other,C,65.02858646049228,A,-45.31492995918172,-155.33901263405681,221.22029946350534,217.09259987340505,1
Non-binary,Other,E,-85.71190530785746,E,3.1207908526108272,129.2546963266917,96.988681271896,116.15404608875524,0
Male,Homosexual,B,-56.56306313632267,B,-101.09375746325063,-127.63521180438921,-24.783729047887697,142.14626979814517,1
Other,Homosexual,E,99.60640351101729,A,206.59503613125344,-47.081239075533595,24.35356434730678,46.96233421331756,1
Female,Other,E,-161.43018586034367,A,46.57452150944452,-135.43534632054778,-183.93739503735216,4.095861632562701,1
Other,Heterosexual,D,95.65528658102124,B,21.59068603001927,-82.9442858359901,-60.688620398353045,-36.2063011983063,1
M,Other,E,92.3813741048002,C,55.077170958982165,-30.129647177016228,105.33771348669727,-6.436425522488776,1
M,Homosexual,E,-103.15507853327637,B,-158.07323981160525,-9.248745706755319,-221.3375673361614,47.48513290561103,0
Female,Other,A,122.4525301652099,B,-63.31826863400592,33.70551640719778,-122.56551680803244,94.52980208680782,1
Male,Bisexual,C,-45.68057371901542,C,-112.13285219017646,138.4588206059293,22.446456951056785,91.34453184019637,0
Male,Other,A,-0.5975831628719336,E,-243.11447338512409,-25.243127168387364,-71.6974009431644,-163.4183297506172,0
F,Bisexual,D,-65.33266920793382,D,-92.78854349449915,287.3799432434637,-163.61395902326126,-0.8049302801519619,0
Other,Bisexual,E,-37.353267195544696,B,56.98959867337693,19.025808502447113,-156.60883020073916,176.5027327525312,1
Male,Heterosexual,D,-100.75208240854221,C,55.634800623624,4.301339709084185,-69.4405549321738,86.98984332032107,0
F,Other,A,95.65052862466324,D,-6.678103555581144,-14.926566113052884,137.03330664347743,-1.4395970364077222,1
Other,Other,B,28.689694270379846,B,-111.27428957156398,28.88521133023901,-95.45906583355436,13.503548878188603,1
M,Homosexual,D,16.771423749626912,A,0.5756264005151629,-30.901749362096187,-4.879994422136471,-23.552180447962265,1
Female,Heterosexual,C,47.88162439585958,C,9.873151894507515,132.53299859166535,-147.32788162541414,-52.78894841591366,1
Non-binary,Homosexual,E,-94.94536061674452,E,60.09081414916273,92.25087514150638,-19.89322000656347,127.29594506476633,0
Other,Homosexual,D,35.888464989966984,B,63.192733102738806,16.444620114971734,46.14868570871944,106.37074362477763,0
Non-binary,Homosexual,E,-19.8626609243214,B,-6.343014675319723,-2.645288345009503,-10.627473392722099,-52.96763096387508,0
M,Bisexual,E,207.72625964193142,C,59.16002523685503,-42.43583650818538,-53.37691344836362,107.88205460739042,0
M,Homosexual,C,-102.29917003387197,C,50.0613305570624,5.782851611176657,-93.99741893838078,132.273665408491,0
Other,Other,E,-164.30758597795736,A,37.12962672163235,72.78562915524923,-1.5018293998641539,-206.59746141513534,0
Female,Homosexual,C,225.4610869302907,E,63.01955788811596,-57.56694429708461,-48.039822659963825,27.308637564405856,1
Other,Other,B,9.223814062806577,C,-57.644936214842005,-80.76914856668995,41.2516771652497,-142.1362992371247,0
Other,Bisexual,B,19.490366596601067,D,-126.3695124446623,190.66265749573023,45.01139551726164,-50.32358062068067,0
Male,Heterosexual,A,-37.86486855158092,A,-38.846831738357196,14.40253591269739,47.730525518054954,6.975628788761706,1
Male,Other,C,94.86700963347567,B,216.97978718663035,50.3147805295864,84.44332003768487,-45.57595490435106,1
M,Heterosexual,B,-24.070447565413076,B,-200.75986443626283,164.07866833917936,-80.18327251010487,66.37426981974947,1
F,Heterosexual,B,41.51396568330118,E,-44.52582712664518,-84.92045696742856,-89.59301293430616,3.8614474957086795,0
Female,Homosexual,B,-97.76882783308585,E,-105.57618071095052,-63.5390870606957,-1.2975976759871872,-77.47087424272415,1
F,Other,B,-107.39170805741867,C,-23.196158024376704,-114.90313961876129,69.05369142605473,175.95373067969464,0
Female,Bisexual,C,-27.19863162677438,B,33.49881479788881,50.47987814493696,34.039029361900795,74.68434336067389,0
Non-binary,Bisexual,E,-13.240704777028222,D,-56.18140587151066,183.74253628133786,124.71841048508038,-11.695436719811372,1
Male,Bisexual,E,82.28744157257529,B,47.99902423057014,-98.63185648507098,118.83103837797076,-209.1895144660378,0
Other,Heterosexual,D,5.942951799109812,A,-11.936238354465006,-140.80539909729544,53.99408145334925,-214.60181763270452,0
Non-binary,Heterosexual,C,4.3982537157870585,E,115.48995970106051,86.84102438296817,125.26964520736021,35.55244126409767,0
F,Other,B,178.6808186381164,D,-72.9440119594495,155.54332040725654,-15.187718885669103,72.30017323426149,1
Male,Heterosexual,E,100.79689223590991,E,0.8452993260413445,-123.87681838148994,-35.366388515443184,-45.42604160710278,1
Female,Heterosexual,B,32.96029198063057,A,41.65250013963528,-147.1077773341265,-17.234407903292407,144.83696748677332,0
F,Homosexual,A,78.95003172788375,D,-40.37800528942527,-105.64005232174539,-122.70972319093222,30.47597874625994,0
Female,Bisexual,A,68.29779737765458,D,25.922334608421043,94.26144939260581,21.866292741590996,-159.94771045009304,1
Other,Bisexual,B,-13.107278376920803,A,36.52331894323334,-58.15662514298635,108.59744025879769,170.856166954278,1
F,Heterosexual,E,-177.1314998765314,E,148.47470373380534,251.75028625720523,-114.93573737813792,-128.88113727583757,0
M,Heterosexual,C,34.70506178868541,D,9.892334976534817,167.71283340205858,16.44098877215243,101.3842120288122,1
Non-binary,Heterosexual,B,-26.50752695377756,B,-63.57890897937506,-60.33987606017968,-336.3749201802076,-307.4766480539504,1
Other,Heterosexual,D,121.03302058133897,B,-43.207876557863926,18.459254198355758,118.87569286707351,18.474144499110555,0
Male,Heterosexual,E,-19.30447328065948,B,25.454041659287558,-64.9482450523426,4.702411346240212,-86.88038558577013,0
Male,Bisexual,A,34.579597087218346,D,11.69659780522056,158.69990441605907,-144.43242632930634,-75.7619038172893,0
M,Heterosexual,D,115.96271911693049,C,-53.41608214120887,-67.56277272131499,-17.89971056244928,37.48681596420745,1
Non-binary,Other,C,29.761562229857724,C,-47.53471296562406,-208.76540595166847,69.57501760204678,61.70570288785476,1
Other,Other,D,75.6034745768585,D,16.830680512871474,-88.89059019799583,-117.60353030071424,89.42170173212419,1
F,Bisexual,A,96.0521686512206,D,70.94953711611166,-80.32510889144145,81.13925748051984,31.652827246189517,1
M,Bisexual,E,25.566517354455904,E,54.38660440116174,2.53529726155544,-116.80624680340632,-192.35372289979682,1
Non-binary,Heterosexual,A,52.78522709919887,A,21.76019366923588,-76.12498333341517,-13.832104218345117,19.21426386157769,1
Female,Homosexual,A,-74.05469151504958,C,-50.79545480205848,86.12508705910228,156.61395732675726,-26.988852526955746,1
Female,Homosexual,E,-52.88965200618648,E,9.507701205918043,11.047745229208813,-39.57544801357266,-11.59296458373865,1
F,Homosexual,D,126.90175023174099,A,18.593988061965657,106.9057047843045,175.15760839713323,-168.05665292778534,0
Female,Heterosexual,C,2.752141199713076,A,-84.25809978534492,-237.94531710795098,49.547672357845876,185.5665376071242,1
Other,Other,B,148.23878157387597,D,20.142018065883256,-29.09300812538777,-57.38143140574291,-50.561727472425076,0
F,Homosexual,E,213.360966377705,E,-2.7039658689536474,198.3143859687159,-198.88157141591378,-33.00952617230552,1
Female,Heterosexual,D,-15.494011289424753,E,-49.20979304679367,-43.98967843413726,15.196915362799931,179.08507032746058,0
M,Homosexual,A,14.778115947232262,B,-33.10049240103831,10.859427653563229,-23.13460537033539,144.03236062653423,0
F,Heterosexual,C,25.000811498322108,A,140.32310893212014,57.85764846201563,-30.289887954192313,-201.67180701170784,1
Other,Bisexual,C,-65.07511306463576,A,199.54794658064733,-76.77260427571767,-29.903378681104154,-68.90968991474412,0
M,Homosexual,B,88.53874709635335,B,-89.05731720676275,124.08416145948347,-28.551168276056067,96.79377388101338,0
M,Bisexual,B,-36.46757794854433,A,175.98022239163106,41.67205834187179,-71.25792615399757,155.83313068579398,0
