marital_status,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,target
Single,36-50,106.23327959360319,C,-11.455274737057342,B,-0.7928579870680266,1
Widowed,65+,41.120408248709246,A,-21.7491093640788,D,-66.69009126579223,1
Divorced,26-35,144.94730153862147,E,131.21677318631836,C,-29.28901174445775,0
Widowed,26-35,-4.8285459550392025,A,34.73426294277415,C,23.50253444894801,0
Divorced,18-25,234.08962663139428,B,-142.19318572625846,E,-2.7933258441066124,0
Widowed,26-35,67.64429429337211,A,81.80260507879879,A,-43.92561200609445,0
Widowed,36-50,87.80897369184552,E,-34.99993201012395,D,8.981185938648501,0
Divorced,18-25,128.90745137899592,C,-0.3466944264547541,B,-108.89496879321617,1
Married,36-50,-137.8560689342248,B,-14.072529403753498,B,-86.86418754638309,1
Married,65+,-61.33902607149098,C,104.34498443414869,A,80.4085182365899,1
Divorced,36-50,31.559873750730628,B,-210.50823412797106,C,54.847444595120955,1
Married,36-50,162.67557880806652,A,-126.11378306027015,D,-95.72873269775945,0
Married,36-50,68.49130218007208,E,144.77364070430696,B,-48.43538805155273,0
Divorced,26-35,-25.65186859615457,B,-63.73681425902671,D,-42.276481326191345,1
Single,36-50,-125.36521207569704,C,1.854981102356392,D,-54.52524313561567,0
Married,18-25,1.7842362312186832,C,48.85940837237124,A,-120.70997800297513,1
Married,51-65,-19.728899868313174,B,-81.21594955469554,C,-128.20470326536594,1
Widowed,65+,-23.837148278331004,E,104.42534763662921,E,9.14512462374366,0
Widowed,51-65,-23.95626929339399,A,-169.63006300394807,E,-107.51621940064311,0
Widowed,51-65,-47.32947496471757,B,93.8637793990934,B,-0.27106416233476516,0
Single,26-35,-159.1140252598553,E,-76.26633568875971,B,-86.59887018430157,0
Divorced,18-25,-103.26940342035846,D,49.481913929765575,B,93.68227105371197,1
Married,18-25,-13.621926658884659,C,-21.324524177496627,C,75.28412005530348,0
Married,65+,132.5084014683242,A,-37.77828223891543,A,41.06396677048807,1
Married,26-35,24.975088521375774,B,-33.27657617871428,E,-120.60088218973866,0
Divorced,65+,41.56107082076,C,-83.25924212270374,E,-74.66425906581007,0
Divorced,51-65,14.57435683478591,E,67.30905094676253,E,7.971757703626518,0
Married,51-65,-45.92306751892246,E,-17.395874146392327,A,52.47096474117239,1
Widowed,18-25,54.030080588442395,C,66.787809848852,B,-91.08770169872558,1
Widowed,36-50,81.4014476652272,A,4.388190581816214,A,-2.7121678913512226,0
Divorced,18-25,-108.96030145509819,C,-49.463545098890016,C,-133.42729739737072,0
Widowed,65+,-65.25441646311755,B,97.22630220784293,A,6.073329870288848,0
Divorced,65+,120.78570757425307,D,309.8553243080286,C,-10.131588141340737,0
Widowed,36-50,-23.73433236056798,E,-176.92173647194392,A,238.5624767831497,1
Widowed,26-35,13.977331799448981,E,38.359235494151775,C,-44.30389090884175,0
Single,36-50,-129.91778421935197,C,50.55138545861618,B,80.74005561909019,1
Divorced,26-35,-60.498048579231266,E,37.05718412342497,A,-16.309980739355627,1
Divorced,26-35,-29.355696250440293,C,-28.06980528674744,B,58.80907058227647,1
Single,51-65,100.35027655727018,D,93.94928738967971,D,-114.06151449649782,0
Married,51-65,75.8382852806036,E,66.88382978059802,C,142.49751128496828,1
Single,36-50,-109.60109666536995,C,-49.99233350376722,B,-2.1748861973647657,0
Widowed,51-65,159.44257626885167,B,-29.28467324537599,A,-9.344380219905116,1
Married,18-25,-133.4575955855878,A,50.76462260470118,B,15.384558146631425,0
Widowed,36-50,-102.51336200233081,E,-84.41717146498627,D,61.46963980470736,1
Single,36-50,81.72032484042859,C,-101.78444646562114,B,172.38782569184062,0
Divorced,26-35,-191.89349085419315,C,52.46387351456114,D,73.10841444133128,0
Single,18-25,5.645079702805297,B,-76.25612675126496,E,-33.5001493348176,1
Divorced,26-35,-28.165630864562257,B,-161.39523251481208,B,-14.333959178807431,1
Married,18-25,19.788942557884535,B,193.18705909102113,D,-43.5919724986342,0
Widowed,18-25,-147.52075034313606,D,-46.48050647080261,A,-72.07527186107524,0
Single,18-25,29.384647763967898,C,-124.7330841820386,B,95.85100580606247,0
Married,36-50,68.05863146050689,E,-96.0447416018282,D,76.02668224567827,1
Widowed,65+,40.945569034142856,E,-78.87454017139144,B,-18.809868603604492,0
Single,18-25,-90.12809388936108,C,-34.82111737581344,D,88.93802502038889,0
Married,26-35,-94.54817210564138,A,-127.9139073358182,D,35.78620887933913,0
Divorced,18-25,65.4333680753469,C,-93.16590298167627,C,15.896595783877999,1
Divorced,26-35,17.34873452144484,D,12.555191390329718,C,48.390032883731735,1
Widowed,51-65,130.97679398471308,E,-13.990343482798043,A,-174.6291888761946,0
Single,36-50,-71.87426544747996,C,-23.202240154401295,B,60.957376387980375,1
Divorced,65+,-64.7678318867037,A,-29.03150969489232,C,37.45921788159324,1
Widowed,65+,-46.996493435903005,B,-40.43269352719089,E,-76.28163811674976,1
Divorced,26-35,95.6395513299129,B,-4.38240959542538,E,-278.480323599137,0
Married,26-35,-103.35522470198674,C,-188.38925740013235,D,48.350653434004705,1
Single,51-65,-89.86082778308592,B,-123.22970122389216,D,-116.58696053807031,0
Married,36-50,-120.26495108504011,E,92.99376395397783,E,222.6395690816149,0
Single,26-35,-51.23427773961663,E,1.0573913670973487,B,32.98266870655633,1
Married,36-50,-91.93322967953698,D,-74.09264083550843,C,57.4306319547855,1
Widowed,65+,161.53625955776275,D,13.89919681424753,C,4.361122818279801,0
Widowed,51-65,87.01653124101253,A,31.65690899082415,C,32.80275033231583,1
Divorced,65+,84.88619874160769,D,63.576456594107945,B,-54.52863508307759,0
Single,51-65,-249.35634607472008,C,52.842811965788286,E,80.42640513440466,0
Widowed,51-65,-57.21028450264235,C,-178.4738909261409,C,-28.525713117115764,0
Divorced,18-25,20.62899340201609,C,-55.133889004389715,D,75.78735149583953,0
Widowed,26-35,6.937693035240411,C,59.7089096803066,A,-178.13231591402737,0
Divorced,18-25,-194.4947198614944,C,-23.187203623701766,D,173.89783580596483,0
Divorced,51-65,130.41666900884707,B,-52.01183873392734,D,101.91906423107977,0
Divorced,65+,-129.06329176984568,C,145.70284567913444,E,-0.9251643327351063,1
Married,51-65,36.806547186636436,D,-10.005106946233768,C,91.4281786584063,1
Divorced,36-50,169.4739216033986,B,-59.556515352779584,A,-5.108964565039303,0
Divorced,65+,-96.841690579044,E,-72.81090277223844,E,-57.53383189247102,0
Single,18-25,-84.88782565592072,C,237.0615518935958,B,37.351935997378405,0
Divorced,65+,-155.22229209475532,D,35.66399187167843,E,84.74768846725642,0
Single,65+,-31.305587764522123,D,6.6022072358094235,A,111.01240084779991,1
Single,18-25,-70.50741378483777,A,-15.162962552430356,D,40.59051644587727,1
Divorced,65+,-125.02553243133177,A,-72.73479509685633,E,94.7613266623842,1
Single,51-65,54.58829640490863,C,16.893405872044006,D,18.47241282935926,0
Widowed,26-35,176.70560038162085,E,67.72467347325886,E,-88.15294679012999,1
Married,51-65,159.65791815201538,E,14.685340442190299,B,-49.70773298633995,1
Widowed,65+,-86.28505106575479,D,30.89560855824959,B,134.69176203029986,1
Married,51-65,185.5877832073458,E,188.95871994870174,A,-326.2557721780478,1
Widowed,26-35,-74.7962808893827,B,-66.75697322686392,E,-42.9024380363568,1
Married,36-50,15.339607928964547,A,-11.064826899015916,D,52.074540446277105,0
Divorced,18-25,-65.53893978666818,C,55.64979930429702,E,-80.05415369922216,1
Divorced,51-65,-116.4264037080229,B,-133.0480684450969,B,54.16282616393644,1
Single,36-50,248.38832115069582,C,-68.883932283199,B,85.50669624024054,1
Widowed,36-50,-27.658678991046344,E,-18.158103945299477,A,11.151794954403481,0
Single,36-50,67.77071620646255,C,31.82730715039704,E,-31.324303100128585,0
Married,65+,215.47399648312165,D,30.069399726383487,B,18.920680511291913,1
Married,51-65,184.67114867092366,A,137.1278107744595,A,91.56653110542605,1
Widowed,51-65,-62.78398133202951,D,68.72919488648861,D,-5.352039183245876,0
Single,18-25,118.81475052447993,A,-192.97673212855278,C,-23.856466250625267,1
Divorced,26-35,-27.75962023893182,A,-2.2780210060436277,C,22.48464012815465,0
Married,26-35,-76.0408219651979,C,73.56740173420306,D,-22.828377159668094,0
Widowed,26-35,21.084393724774067,D,-84.75974609546061,B,76.28526295930513,0
Widowed,18-25,-44.54121964640032,C,-167.20883080317458,D,33.30929431553083,0
Married,51-65,66.69486361413279,B,-136.7225674057415,E,230.89681634794084,1
Married,65+,28.75543170218313,B,91.10368790435821,B,119.8454138232039,0
Married,36-50,-86.79930867104686,D,135.37443882133815,D,163.30796181372952,0
Widowed,18-25,185.6203689918229,A,-49.83789332839797,D,-152.4228775188377,1
Divorced,51-65,102.21630686546241,B,120.41427047892633,C,-6.9199736642027565,0
Single,51-65,9.772417353868047,D,37.893923462065175,E,5.5478955757257715,1
Divorced,51-65,15.443718805840916,C,-80.59819392934521,C,108.72580213174462,0
Divorced,18-25,-226.9939980737814,E,-43.83992737939302,C,-163.335592912793,1
Married,65+,42.65333233749945,E,-23.66416477670768,A,81.93493971722468,1
Widowed,18-25,-179.31767965911612,A,134.49485535772226,E,-100.12200954645706,0
Single,18-25,58.52116107402934,E,-4.424448791411885,D,-118.2603874186837,0
Divorced,18-25,40.01123805762936,A,-55.48482439042868,D,67.30912184062512,0
Single,65+,211.947703489214,C,-59.74923382122712,A,-65.6741863185013,0
Divorced,51-65,-75.2385397014141,C,-76.59133767585124,D,165.74852789210172,1
Divorced,18-25,-56.111276939666055,A,-36.284472394068146,C,-31.800841196645386,0
Divorced,36-50,142.2626573733261,B,86.41311284904151,A,-130.8557667134599,1
Divorced,26-35,20.93877585415863,B,64.60114437618346,D,-57.98818509044635,1
Married,26-35,-72.7321823177513,D,-50.72384215661945,C,80.3948682341932,0
Widowed,36-50,39.656127289846474,D,-77.93167588328534,E,-124.82207675053414,0
Married,26-35,16.51530071932211,C,117.94342728985848,C,162.9573670794755,1
Divorced,65+,182.96185186529883,D,-38.824779123906374,A,-137.84334397651494,1
Divorced,36-50,102.25807719066904,C,169.92296894829667,E,-4.221923617857618,1
Widowed,65+,57.02271869111589,D,-47.95580661158756,D,-5.908357121454869,0
Divorced,65+,88.5308706489181,C,144.4222756196548,E,87.3050590770729,1
Married,36-50,-61.832993204416255,C,-161.20015385147423,E,-63.778825665840955,0
Divorced,51-65,-30.81981582061642,D,43.2268681665635,B,38.839436826415316,1
Single,51-65,-64.28775697801228,C,-23.16369608618912,A,-95.53026698084143,1
Widowed,51-65,-66.06886256580256,C,-64.33357138301913,B,-81.30188691023783,1
Married,51-65,-95.43215819126442,A,-93.61880743927496,C,21.818296917938177,1
Married,51-65,2.4363977647876203,D,45.149950569235074,E,-84.19532993453296,1
Married,51-65,-155.3415143174401,C,7.8253058707788385,C,18.424466683054426,1
Single,26-35,-233.25808591020177,B,-7.599819318840901,C,74.11062521574934,0
Divorced,36-50,49.24261174705691,B,27.488801847176468,D,21.7271204522303,0
Widowed,65+,-128.58042128644806,D,14.881305750335622,E,-51.63276782004773,0
Single,18-25,29.31581759654534,A,-54.38832190249945,C,86.13370848579834,1
Divorced,36-50,-9.227039163493982,A,27.605459020373186,C,-36.842847612731305,1
Divorced,18-25,73.33258050100864,C,180.3323786025971,C,-31.895426346553883,0
Married,26-35,-206.8757998645113,A,-7.506918449620034,A,88.20665711436239,0
Divorced,26-35,-108.13454558873656,A,-43.13448447907289,D,3.955478275692133,1
Divorced,36-50,141.70208790874645,C,-128.2143330887862,A,-3.8247634326251125,1
Divorced,18-25,148.03407220024357,D,11.983273820712064,E,43.80925868378531,0
Single,18-25,6.552541614944116,A,18.131712302678547,A,115.57883734808962,0
Widowed,26-35,22.166022441623117,A,85.60603400290753,A,13.049965978061906,0
Divorced,65+,-94.90931720111824,C,128.1630393610999,E,15.712915558066905,0
Married,26-35,-29.957120361853857,B,-30.575365056758454,B,-53.70663122474097,1
Widowed,51-65,-3.4762760778975763,E,121.46136471554074,B,110.93820315854575,1
Single,36-50,-109.75095971865414,E,62.02286506990414,A,81.84589857722605,0
Widowed,18-25,43.84911706819263,B,117.31734037866465,A,-110.83287010554072,0
Married,26-35,119.54251767691113,C,39.26455061609301,B,-143.13169637498518,0
Widowed,36-50,-81.03278655851287,D,128.8000931915445,C,19.260426695973425,1
Married,65+,-61.543368175583524,C,66.26714741646238,D,-309.8316643396169,1
Widowed,18-25,-41.891550340738455,D,67.42079669745229,E,12.068747018457426,0
Single,26-35,11.834434583553742,E,-79.7272652316468,D,-97.71801119170387,1
Married,51-65,60.02080565576517,C,-105.29418658469582,D,197.75512655599857,1
Single,18-25,-8.168852137684441,A,-103.10584320412464,C,-84.92147318930621,0
Married,51-65,-96.00014098250732,D,-117.40738447523613,C,19.149307755025845,1
Single,26-35,-63.25102869595138,A,91.58320115362272,E,41.56026585163736,0
Widowed,36-50,-122.40666640614224,C,3.5799535274261287,A,-41.460067203337594,0
Married,36-50,123.64115541648313,E,-76.07409366296231,C,174.67364739804282,0
Widowed,18-25,-32.76285254832146,C,-29.00440894278743,A,-135.9249277082036,0
Single,26-35,-83.90857546890645,D,-93.3044856450086,B,19.659259844786195,0
Married,65+,-44.9993229967966,A,90.68219404401017,B,6.06685794878118,1
Married,51-65,120.66679553485196,E,7.671201635409078,D,82.0060479718027,0
Widowed,36-50,77.75173651893844,E,-62.53660906871025,E,-24.076948984323728,0
Divorced,36-50,32.66814989086251,E,-66.52394897684383,A,96.49336701889905,1
Divorced,26-35,126.84508471232714,A,1.530750393530081,C,18.390559970115252,1
Widowed,51-65,-3.950890390898884,B,120.76659340964618,B,-11.6362239994146,1
Married,18-25,26.42489525363786,B,139.76930166026682,C,220.06425163595912,1
Widowed,26-35,-2.2815492583839707,C,-50.0682274780487,A,102.89756091582392,1
Widowed,18-25,-92.99025075256412,D,21.35393482007448,A,-29.459703057166305,0
Married,51-65,-86.97120667086647,D,-74.53545832000195,C,-167.93140002128735,1
Divorced,51-65,-49.69396076963695,D,88.00278261109582,B,-20.016087195951055,1
Divorced,51-65,-20.26706897199333,A,67.32608039833798,D,-178.60198775745047,1
Single,26-35,146.79523910359563,C,14.484332500218134,B,-88.93808811033341,1
Widowed,26-35,9.242891512723578,C,-98.43591540861001,C,-0.24127653939116928,1
Single,36-50,-62.74338323003802,A,147.83714223869885,B,-43.144241497826194,1
Widowed,65+,106.83541367697673,A,-47.22328099954783,C,-52.51229195016263,1
Married,65+,46.05408384149561,B,110.95810900522338,B,72.9621801956681,1
Married,36-50,-17.094430641959168,D,-41.53520515807352,A,48.90503384484915,0
Single,36-50,145.2158942525663,E,137.38829908052364,D,140.05369879088616,0
Single,36-50,45.46068960121818,A,-19.43181399347592,E,-69.80638622639358,0
Single,36-50,-142.1834607423484,B,-169.94867679225422,C,11.98522304969861,0
Married,36-50,-92.70016916628995,E,-55.279936561254374,A,13.786951481573997,1
Widowed,51-65,-105.15158736273489,A,-101.86071476675667,C,-65.49139301330015,0
Widowed,51-65,-131.0306461673594,E,-101.11972936555354,D,90.19107965211566,1
Widowed,18-25,14.799420171203096,B,-109.65987210447221,D,-5.535802593125508,0
Widowed,18-25,-67.24710410204695,B,172.3595525198802,C,-129.57179980080542,0
Married,18-25,-144.88372785634743,C,241.42276676992444,C,-82.32831054411184,0
Single,65+,118.4146568456416,D,-46.45278139520191,B,-98.42492482133962,1
Widowed,51-65,135.9242044536237,E,99.36115204863502,E,-86.75510184861449,1
Married,51-65,23.153747014794703,A,-26.614782964202572,A,108.78969699046755,0
Divorced,26-35,-22.767104072449243,B,111.52279618821555,A,-85.34737019228518,1
Divorced,51-65,-15.049603714206693,A,122.68590491621087,B,-25.299755607363455,1
Married,18-25,31.621297705203087,A,8.998845596372213,E,158.5821678324242,0
Divorced,65+,-31.20516023186089,D,135.1346861438547,D,-79.14253958864983,0
Divorced,65+,-173.57801161508772,E,-123.94321357304621,E,108.57998563572534,0
Divorced,65+,-104.26903776381631,A,-111.44183069274678,E,-199.16133110941072,0
Widowed,36-50,65.66327848849942,E,120.2452129397072,B,-43.51099157844927,1
Divorced,51-65,134.2165203146004,D,262.1756249114788,C,-89.79503224003196,0
Married,26-35,97.37939358021443,E,164.92569615757003,A,26.729971502426565,1
Divorced,26-35,-86.50743644138792,B,-8.114268173673976,C,-10.445225183547127,0
Single,65+,31.205402658144198,D,-172.15750575677745,E,-27.12212477429882,1
Widowed,65+,7.503688457567984,D,-33.92126769757344,D,-107.6720423502403,0
Widowed,65+,146.8070278128694,C,79.38844476570132,A,-159.40108957805293,0
Widowed,51-65,15.661204729019873,D,23.343786769003515,C,16.23498220570667,0
Divorced,36-50,44.894617132635005,B,131.5685292318141,D,-34.72043265390205,0
Married,18-25,39.43286563071154,B,-117.48020488483917,E,-67.76009596922344,1
Single,65+,-30.653182465268873,C,-176.86254990689275,A,38.43615383933219,1
Divorced,18-25,-25.173671728938974,D,24.254514302592717,A,-18.25420563691857,1
Widowed,36-50,-12.789689443784164,A,-71.38971028864991,E,-134.00269160013974,0
Single,18-25,-24.324775333412493,D,93.82878368215263,E,-138.05344614285704,0
Widowed,18-25,-5.357661959415415,D,-82.22647012477677,D,-43.452915405622896,1
Married,26-35,186.12988535414758,B,-71.880027243079,B,-97.34824762628739,0
Widowed,65+,-7.719444918965681,C,-24.086517003695153,D,48.93251114785492,0
Divorced,65+,193.1717049841791,D,-148.22700146397705,C,45.30153854896671,0
Single,36-50,-18.80794808261797,A,-177.0467379485055,D,25.839841440027968,1
Widowed,51-65,-77.07437598956751,A,-45.86512342061644,D,-5.992996048678607,0
Divorced,65+,189.51312114336145,E,199.77443537850488,D,47.15620489752646,0
Single,65+,226.16595411639352,B,19.102739168001214,B,101.8307967090996,0
Widowed,51-65,37.228954170512004,E,-137.62232700588893,B,18.17547213506554,0
Single,36-50,40.218957098370616,C,-98.80862494967575,A,143.88588357570572,1
Married,36-50,41.46970863747962,E,-155.0371822094928,C,78.23208865250079,1
Widowed,18-25,40.77468561928378,A,-137.64700678803862,A,76.66069312116223,0
Widowed,51-65,-56.85901909827904,C,-67.13626233110705,C,-19.343233547826383,1
Married,18-25,-143.51716758865655,D,73.32134784367412,D,143.95884103684762,0
Married,18-25,-0.4893378728486332,E,-85.23035333493186,B,-56.8472107784996,0
Divorced,36-50,-85.85378174967836,B,61.50479011346178,E,-149.24697661781266,1
Widowed,26-35,62.48020489408342,B,-69.70923718549449,B,8.406762979675108,1
Widowed,26-35,57.436086513108634,D,67.15845073049947,D,-25.40707769146737,0
Single,26-35,62.40737138240284,B,11.98872603874104,C,29.57421111875646,1
Divorced,18-25,-48.15985134661418,E,42.659934665023314,C,46.54483951506331,0
Married,26-35,-84.93124781763652,E,106.0371115096433,A,-45.357844267153034,1
Widowed,65+,80.95458385800694,A,120.46454608548547,C,-16.521184777642823,1
Married,36-50,-74.93638878304235,D,-26.671500452379192,B,71.57576710808308,0
Divorced,18-25,49.10621831237098,C,-2.166525594023967,D,71.63711718797477,0
Divorced,18-25,-23.525141390440428,E,125.39196343308635,B,38.39194600792116,0
Single,36-50,47.72253369641758,C,-89.75127591782736,A,-73.00214401338215,0
Widowed,18-25,-58.62245289694431,C,-219.88596386581114,E,162.18030756532292,0
Married,18-25,-52.97907316424817,B,87.95643404857886,A,-154.335083193408,1
Widowed,18-25,7.412233319101986,D,-37.33111472395246,B,-29.523433242576864,1
Divorced,65+,34.83912124438312,E,-65.20749576231141,C,141.67809140102855,0
Married,36-50,-23.74891244681251,C,158.27142471331442,E,66.25291115138522,1
Married,51-65,-11.045418226367781,B,-57.33569937122104,A,-18.82277454475469,1
Divorced,18-25,-76.92625712768802,D,91.77410597973183,E,72.00704055625083,1
Widowed,18-25,195.21345862819322,B,-12.588377447064675,D,60.65040112063994,1
Widowed,51-65,51.82057269134869,A,9.855012356852178,A,-206.86397103571946,1
Single,65+,-33.72943208455296,C,-104.10846822956171,B,11.283440423751033,1
Divorced,26-35,41.99006889774083,E,-55.13351711227658,C,-202.44225222008066,1
Divorced,26-35,-53.800310631471895,C,-182.84854752472253,A,-1.6121448076182936,1
Married,65+,92.48732620286344,C,23.99771637817775,D,-192.80670234921874,1
Divorced,36-50,59.62000323851532,A,-74.32094668268047,C,-46.827331514801145,0
Widowed,51-65,159.37901971617492,B,8.515050295105125,D,17.37134233592433,0
Married,18-25,-28.299375372229274,A,-120.1890846321842,B,-108.77377573181076,0
Divorced,26-35,104.45186776409385,D,110.55515181775122,C,43.72181336691729,1
Married,36-50,179.14092097077832,E,-16.166386332621855,E,114.70316813200081,0
Widowed,51-65,85.19368651863594,E,-4.661915445813052,D,-11.571482281133388,0
Widowed,36-50,-26.869587232014613,E,-25.95924675423617,E,-34.602688309414816,1
Single,26-35,-45.70258454223614,E,17.94712723992562,D,8.593910385022884,0
Divorced,51-65,99.35416255278852,D,46.863137881936936,C,40.644501624603066,0
Divorced,51-65,-13.371097446614977,C,86.21965764420342,E,-17.33422977810351,1
Single,65+,-121.80608243747419,E,89.60885550644258,B,-14.576165316492414,1
Single,51-65,-3.655690346507284,A,111.04784825038645,D,46.97286300966319,1
Divorced,18-25,-42.98425043141884,C,-85.31490441965073,A,179.88283074032202,1
Married,26-35,-10.236159197286074,A,-59.992627264231004,E,-88.16520880540826,1
Single,65+,-168.68770451981473,B,70.25962007778688,E,-283.732218430932,1
Single,65+,171.8081635547412,E,18.417330421657397,E,-80.52740646252549,0
Widowed,65+,-43.19161977829585,C,102.19119178571438,B,-65.24017932902504,1
Married,26-35,77.43972680387881,E,-57.991475438780625,E,112.89133310835328,0
Single,26-35,-93.84651991238924,A,59.667816759319514,A,-54.88689904604605,0
Widowed,36-50,33.917448389786784,B,-25.502701985500607,C,-90.69251651000616,1
Widowed,36-50,-62.001252721600274,B,131.96656151206233,D,-71.58301347023432,1
Divorced,65+,-124.16020133992622,C,314.7823390251924,D,2.013034076183606,1
Single,51-65,-21.576721244629166,C,96.14491847597108,C,-118.52421445062238,1
Married,36-50,102.44838793578275,B,-9.594115668919882,C,75.34790503590087,1
Married,36-50,222.39236531108637,B,-25.331021551746097,C,120.315636321942,1
Single,18-25,31.114333219283463,C,120.18854513096811,E,-93.055029187742,0
Widowed,18-25,91.72528735906008,B,-102.51650829709496,A,65.81060754628541,0
Widowed,36-50,134.18256850573133,C,-123.71481252554533,E,0.30291593507178793,1
Married,65+,-18.55716260065849,B,-30.791523479465745,A,203.4779056684291,1
Single,36-50,13.504525906659579,A,17.93989110124466,B,-76.33258724586463,1
Married,26-35,-82.94836429605286,D,-14.267656177788357,C,-69.89719344644328,0
Divorced,51-65,18.05849169709867,C,7.748526713868843,C,-6.727930453758359,1
Single,36-50,-3.9447672602348853,B,-63.43635596032121,B,54.704010292540204,0
Married,26-35,-143.6261876855555,B,85.48352269685864,C,-45.148307425438595,1
Married,65+,246.7906514683779,C,-58.541314461700324,E,50.50616546370864,1
Single,26-35,-7.911734673195157,D,54.8935737930174,E,219.660988793437,1
Widowed,51-65,119.06236868828042,B,153.2739878084169,E,-67.76217868230327,0
Single,18-25,20.089803494891722,C,-17.354609272257036,C,-19.539295178905906,0
Single,65+,146.4059093775262,B,-79.03800787875934,E,27.70252541149517,1
Divorced,36-50,6.612871420398155,E,106.79365434398795,B,-66.65719250314606,0
Single,65+,13.10855256103533,A,-101.4919609440166,A,-24.90602327288679,0
Single,65+,100.46183140140768,D,116.89279886368875,E,88.14603303883732,1
Single,65+,-179.3774122215988,C,129.42240037811132,D,-54.70816308865155,1
Single,51-65,101.35591865644054,B,121.79668602783869,D,151.9697519645868,1
Widowed,18-25,-35.77634752360546,D,-127.15508995543934,B,5.846488636979552,0
Widowed,51-65,15.116907229204497,D,-59.43410625483969,B,-193.6819078771889,1
Married,36-50,281.53768620536937,E,133.66523582661392,B,-72.24556746965366,1
Widowed,26-35,48.163724712190955,E,133.05544024465033,B,-22.35903243232751,1
Single,18-25,-172.7093216853669,B,-219.29455078932426,E,-23.27788371106485,1
Married,18-25,-145.29534187281627,B,157.08234968781855,A,-117.8810406978287,1
Married,18-25,-62.54886153908521,A,-49.87005600537532,C,100.97790926132795,0
Divorced,65+,101.71617206897494,D,149.20838989360198,E,124.56367299880297,0
Divorced,18-25,-60.46574326081996,E,83.22356561239378,B,32.24658761700043,0
