genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Male,89.09088954368701,-145.86810523544108,B,-165.45649845761363,A,-101.35412925270946,D,36.75845701871552,12.464966754604873,C,22.316567435226496,D,B,D,81.18349703091297,D,0
Other,-22.30849250744321,-103.54218999962316,C,-5.557418488889261,A,-23.54393299035705,C,48.902750306110256,154.89148215807228,E,-40.419428147578905,C,B,B,-48.360328056325784,B,1
Female,-12.064504947886395,42.10852119295495,E,99.67280440468596,A,-5.6195313055443386,C,-131.6374997739763,25.913026802970478,A,-90.6408151433931,B,A,A,189.72048418112692,C,1
Male,-99.54652851802055,78.31647307600743,E,230.22014350448353,E,114.82146723469957,C,-9.469649823935942,-100.44915307263366,E,8.165071460585105,E,E,C,35.42076778091644,D,0
Male,32.58762910804206,83.06502423480985,B,-109.17254469965026,E,-56.645766256254895,E,47.25451449204589,2.9207721908293167,A,148.9880143217437,C,A,C,54.835135451915804,B,0
M,101.30734067106346,133.38058510164757,A,115.42122482548479,E,31.515115553387744,D,117.22305984474349,57.55505961446759,B,154.1360153714545,C,D,E,-97.96019257650809,B,1
Other,-18.342454493681654,176.75340559332804,D,92.84167179343183,B,-2.3230410085094255,B,101.8624317008988,68.35941015333013,B,-130.31107801931947,A,B,C,27.859418994731893,B,0
Non-binary,-25.36332088683922,-81.65768347406221,D,-163.6602258261217,E,23.394888360755186,D,1.9340682474597686,241.56039281482572,C,203.36779674534006,B,E,C,159.79112218976684,E,1
M,-212.4007751702797,-8.724549386366311,D,-85.98314580521793,E,-29.28655726125262,D,-104.52625239041922,-76.3242005268205,E,-85.32837096670922,D,A,B,-140.8777023402803,E,0
Male,-156.10145985061774,110.4684704910883,A,-19.8469738516403,C,70.30084340397207,D,-209.43849550867833,25.085419557103037,E,89.05246289272448,C,A,A,-14.364873077953055,B,1
Non-binary,7.757700126931455,8.449577736235339,D,-14.160993773495841,A,85.10343387129214,B,30.90449214486909,31.753597565018726,B,-223.57977589040127,E,E,E,-134.93838002000325,A,1
F,-14.69043273288452,-73.46805251460874,C,-152.9215758221,D,-137.92404235876123,B,-28.32072617990578,39.959215045284694,C,23.064497465005896,B,D,A,84.55276620784419,E,0
Other,-22.557131126569338,16.275471374896394,D,29.080559402509117,B,13.717469242373745,E,-59.278605014247155,-35.54290125750639,C,-53.11609324597687,E,D,A,-17.546476304103745,D,0
M,168.10130081539614,-4.780545638638405,D,-7.936206363355966,B,-47.8290450064428,C,126.62556140493713,193.94890630279934,C,-6.423076045721538,B,E,A,83.40841000962811,A,1
Other,-101.39737703930662,-96.78000397164078,B,142.28061099645012,E,13.566435361964894,E,-46.70386073277014,73.04319165828676,A,-155.78940139705406,E,D,D,-149.5163392431026,A,0
Non-binary,-33.59320569513986,12.788250976761123,C,-13.055119484520603,A,93.93129107876688,C,-189.42750871705397,-115.7305980448984,C,-96.94676043332665,D,E,A,3.9636447568998525,C,1
Male,53.53912701096954,-174.17406996226163,D,8.427262797633682,B,-91.00624446241561,C,-78.56453589180667,57.52293436783889,E,-50.46927634811469,B,C,B,-48.72601923557646,E,1
Non-binary,61.810733446748245,8.304711416018167,B,32.74225545552624,B,44.30573136933868,E,25.922606865347113,-85.07338669465658,B,-27.709833855569144,A,C,E,17.448794426832283,B,1
M,-60.7998426643612,-35.41884248829977,D,-39.38707020645326,A,23.105579140342336,C,-3.323345536727295,37.02631982938102,A,172.10426028190403,D,E,A,-263.404462639089,B,0
M,80.902326582768,-21.57820067191114,B,-114.00793053079039,C,-6.267798441416223,A,-49.24062850149201,71.7169659960004,E,16.1349992018723,C,D,C,-36.36670303182641,E,0
Other,110.11498941755633,11.043290138708283,C,-42.93748537559425,B,-57.70517814433587,B,-41.193528610317365,24.510355266522208,E,-29.962907272301848,E,A,E,-66.99823453554295,E,0
Other,-177.10786792358883,-39.20910045926519,C,-15.53944718896752,D,-43.31398794898871,C,-68.71423065339512,-217.62726274718415,C,28.127657649398742,E,B,D,35.821628988386394,E,0
M,-109.64979742835091,28.01417136239868,A,-104.45091045760344,A,13.578822888113049,B,24.01120984137667,19.42816099908172,E,-99.52756516840051,B,E,A,79.63028533081187,A,0
Male,-18.01548254391484,-132.45857184388547,D,173.64690555968002,D,-30.58867063325779,A,167.6922932552366,79.43447068450399,E,65.44099230481388,A,B,A,77.36460041386405,A,0
Male,159.67172880714938,-120.09904598920838,B,44.00792236229445,C,-143.03443510724725,D,181.806517120232,91.89014823601744,C,-21.85363836094028,A,C,B,111.41236602761883,D,1
Other,-65.66050312024494,-158.11078113003785,D,30.724804062737515,A,-36.40125981234994,C,-60.1907518018014,6.246814817323386,B,40.101458184564066,A,B,C,37.6557110323273,E,0
M,54.50217167980655,85.61037725983176,C,21.67305011877567,B,78.2219703957168,B,-178.78772702415205,-32.48934888306666,A,99.11501114437453,B,E,A,11.159631542559536,C,1
M,109.03807136800046,100.20496263303981,A,54.00480423182861,B,-107.27168263658231,C,-23.007046229087663,16.954670777791573,E,-122.06541847222043,E,E,C,-82.30825570592411,D,0
Non-binary,119.44687217395875,96.76741656603075,C,183.75135573011045,E,33.45943762350036,A,-67.86122887809282,225.53806877349268,D,9.234410485052708,B,D,D,-31.519526835719176,E,0
Male,-51.94566471010481,47.01114731661124,A,-125.71116158137477,C,-50.608211606033926,C,21.640390887929033,-33.061844677391036,C,-71.10429536044835,D,C,A,-22.040650586504277,C,0
Other,-178.39601810889363,-28.796283813921786,B,-45.881445550460846,E,-0.16201104967549457,E,28.78938138423908,108.04637449475973,D,248.27581302210032,A,E,E,64.96480784195005,A,1
M,47.647374680189955,-17.94804897794818,C,-70.56806287357242,B,51.534048314802824,B,-65.72569663294752,-153.06113568930445,E,73.25278306334577,E,B,C,-45.233046645087484,D,0
F,150.86792108165193,185.39523511719588,A,133.10477989884964,C,-67.28161218555513,C,-143.4091332155456,224.50364807234556,D,41.49452471316215,A,B,B,-9.095915378772634,E,1
F,-10.391551803980784,-64.94631927872922,B,-106.31322434106548,D,109.61660797046342,C,-9.49475614653975,-58.28596596152812,E,164.55465426166103,E,D,D,-98.99105846771532,A,0
Non-binary,-129.76336902313568,-155.04243876109615,E,26.502227018755576,A,12.580132298657452,B,-12.861349193195624,38.56448594805547,D,85.75615360796007,D,A,A,131.66229260529659,B,0
Non-binary,-16.840529974675878,107.95014592536592,D,188.2646108976624,E,-98.93834271867861,E,-108.56459370193654,-11.469929588220165,D,169.91616053298907,D,A,C,-137.3491927683927,E,0
Male,-3.0550978039645815,128.7954727612783,C,-49.56773805534242,E,-78.43565943465542,D,-42.76880959014376,83.48419075663706,C,63.16993820912349,B,D,B,76.69489204407732,C,0
M,6.092408878312399,-33.63181589721251,A,-201.5875529093917,C,80.40019123319527,A,16.03368642206004,18.583387663854943,C,-33.474543301389666,D,A,E,-18.711904205287365,B,0
Non-binary,-174.53597420262966,-5.782822778965735,C,-24.610906672028587,B,-3.1895561659178577,B,-129.64583088050156,-20.567349763174622,B,-55.77216204249714,E,C,A,-273.197345778082,C,1
Female,73.4584305638466,68.03513117763934,E,88.40683689480451,A,57.54122928848513,A,49.616401771417365,-100.537790752308,C,59.32137445214345,D,A,A,-29.99742567672857,D,1
Female,168.49896737194047,174.79417622718432,B,-74.51105167335206,E,-219.5799815238205,D,-59.876129394719854,-25.58525754391835,B,-21.77294422048657,D,D,E,-12.770675266679504,D,0
Non-binary,62.877848804336075,-149.30124360485036,B,-20.809539949879383,D,40.706954232300404,E,-121.60587549364337,110.69801547508938,B,111.65931459863148,B,B,A,-135.75974433234944,C,1
Female,-23.61880713416862,61.926871070335906,E,119.66552241508349,E,111.04749128442208,B,-168.03887828692746,141.88313541804212,C,12.531076491137084,A,D,C,-158.1758149819467,A,1
M,44.00458011800181,35.8572040375203,B,70.64775788319882,E,50.37236088004404,A,-77.64605102544239,-37.04457107079622,E,-53.34124572452834,A,E,B,-103.09197819849697,E,1
Other,-31.569363492927486,6.17534552009987,C,-19.77136738778822,D,33.6486689693028,A,29.21592910404543,-9.48277766910226,A,66.71701280667966,C,E,A,-59.79689809563271,C,0
Male,-95.90915257918962,188.79011742008512,C,-6.967456617867901,B,-47.52070681504041,A,-24.595381201747863,0.11044537535410935,C,-72.95892621603933,B,A,E,-225.7902967888299,D,0
Other,-3.003494422387778,-144.81239650836037,A,-15.287046357401465,B,177.24345238718405,E,-51.758844263060965,20.520985808721473,C,9.623687084645901,A,E,C,-14.391458293283293,D,1
Other,52.98552483726362,124.59570892501893,A,129.94513503538784,C,-117.20234760226813,C,-92.78281779815076,-63.55334519569982,D,122.42463996617829,E,D,C,-174.97614966998395,D,0
Female,-71.32794141006633,-17.66619000140539,A,160.72986567465284,C,-92.90742699782801,A,8.61995977819922,101.36850953714236,C,117.21600497898751,A,C,C,-17.97387912202531,E,1
F,207.97399845565633,17.799206146523748,B,27.371881209054227,E,-87.51146378521504,B,-195.0164793223919,128.3927553824119,D,18.405009996434888,A,B,E,-19.454652366366638,E,0
Male,-108.82450799340408,62.9986873528298,B,-6.322493419434111,B,-48.36774452537604,D,37.90004128305339,-47.630756396550936,D,-93.92122652937623,E,E,C,177.00623212980648,A,1
Other,25.406183075601945,-61.09815876274583,C,10.85276298050356,E,-82.89862605123727,B,43.06422027542653,-149.54389668840395,D,-33.42956797528394,A,A,C,-189.7017025513017,A,0
F,134.96477688596457,38.0957855887742,E,-85.90481832226354,B,-100.04204312479767,B,122.39058623707717,-106.97195936192155,D,2.5164187288394877,D,B,A,-32.65008797934927,E,1
M,-107.74971590485221,-72.65680924515256,A,42.54173221359454,C,189.31472857595065,E,-68.30947529126988,71.36604735795807,B,-220.75138013042533,C,C,B,-31.696947283088043,B,1
Female,12.575933576421738,-21.850522341800012,C,20.80765982310123,A,-41.49439191990544,A,51.64241182725217,16.017603403594272,A,156.3667555163952,C,C,D,68.73190225231923,B,0
M,72.03144379809343,117.20367638881666,C,-77.71069662546587,D,86.84801825669695,C,5.9908912867626025,143.35109522805521,B,85.53345442352821,D,E,E,-66.93402744105718,B,1
M,-93.30183031900077,4.384816564394669,E,-170.36201782636178,B,47.212203675903794,E,-44.7944977971776,-40.70821366321935,C,-178.18254593887778,C,E,C,-107.13955213910683,C,0
F,239.90665611867126,25.881384673532825,D,-9.635456210617875,B,1.212374865878561,B,-97.55621443582649,145.9190509521501,A,38.350649510212484,C,C,E,12.327487218913989,D,0
F,88.19630568341043,-21.351795344264104,D,-148.44047613517276,E,101.98976292076071,B,-97.40552666938358,17.05697566543969,D,-40.36644685815903,E,A,B,136.9808420930422,A,1
Female,64.43972849787897,40.44477089346607,E,-57.69804203447465,C,129.3729829824083,A,43.04598949579995,-21.228820619844633,C,-59.450287522453706,E,E,B,-156.56890436755805,A,0
Female,-47.45302881085917,156.5742195886592,E,128.11508462699862,E,-181.75800990608954,A,-122.21430921398135,59.75522584850926,B,-45.92478019348515,C,B,B,253.63136065539496,B,1
F,-88.0554536555315,-115.06132959567914,C,42.59294720362135,E,-30.670104159960832,A,-72.69798296867033,-1.6741318085711068,E,76.97046127472703,B,C,A,186.77224274152354,D,1
Female,40.67568764982598,-67.82926323990176,B,-66.67813965145056,B,38.243831445772855,A,78.73313571495532,113.74042108835363,D,4.323941684946942,B,E,E,-13.239443217282314,D,1
Other,-240.61410162112483,196.46164335952648,C,44.699124439424985,B,-140.91401765920006,C,-1.7568188760192691,-121.05048614070215,A,93.19049344053452,D,B,E,-7.717242778379141,C,1
Non-binary,-199.21655802479253,121.34357107905689,C,18.709561913030353,D,70.00975810976054,A,18.3521322420271,-171.26771584684943,E,147.71494783075804,A,D,B,132.54041530476806,C,0
Male,106.48768530326012,36.95266745661397,E,21.84035566407818,B,169.7583437527291,A,-101.16347911379341,108.25312685907802,C,107.30831620336114,E,A,B,119.25049100266347,E,0
Other,104.15024430877278,-16.117586484173202,C,299.2253825164847,A,160.48984447688156,A,85.83842255631419,130.68711630488013,B,-206.3121695439295,B,B,C,-149.59611733185247,A,0
