religion,orientation,military,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Jewish,Bisexual,Veteran,51-65,D,A,A,C,204.7869278598605,E,B,B,23.283675915510553,76.36396070440325,A,-88.47541078087431,C,B,C,0
Muslim,Homosexual,Veteran,26-35,C,B,A,A,70.9344215452611,E,C,A,128.10544067759437,14.763006732358816,D,216.72405411274437,D,C,C,1
Other,Other,No,65+,A,C,E,E,25.420589772935624,E,C,D,-27.353785772767186,42.38830931528542,E,2.7621514743417808,D,B,E,1
Hindu,Other,Veteran,18-25,A,B,B,A,-88.0084457463465,C,B,C,79.10026596479602,33.39659917414731,E,-161.3642433923672,C,A,A,0
Other,Heterosexual,No,18-25,C,A,A,C,54.70579138118602,A,B,B,-89.10074168237121,90.31929804004871,C,14.24982501506209,A,C,A,0
None,Other,Non-Veteran,36-50,C,E,A,E,69.84754036182858,D,C,C,110.56006460213665,-165.80627402241004,B,-190.80617632899418,B,D,C,1
Muslim,Homosexual,No,51-65,E,D,B,D,-19.718003464975485,E,C,E,73.5669115457029,36.89285160264532,C,-108.05597487790169,D,B,B,1
Muslim,Heterosexual,Yes,18-25,D,A,E,C,-54.65619468873355,A,D,E,-12.567828401662307,34.619611999762675,C,-112.03614987527362,E,C,C,1
Other,Bisexual,Veteran,51-65,E,D,C,B,94.56369032407001,D,C,C,224.2843067280302,38.38659014298417,C,-3.1345209363996207,A,A,C,1
None,Bisexual,No,51-65,B,A,E,D,-3.990141216002943,B,D,C,-213.5987486276714,85.28502945158782,B,133.53166878214773,A,A,A,0
Christian,Homosexual,Veteran,26-35,A,E,E,E,62.8364072187789,D,D,C,102.19925199520483,-137.8251827619251,B,-247.54889028948867,C,C,B,0
None,Homosexual,Veteran,65+,A,B,A,A,143.38885563989368,E,A,A,84.02413660356169,-78.37406545659908,D,78.39128673888588,D,E,A,1
Christian,Heterosexual,Veteran,65+,D,C,B,D,-53.015372427794595,B,E,D,71.22876829054732,-5.916871725825665,E,-113.66766091920147,E,E,D,0
Buddhist,Heterosexual,No,36-50,D,A,A,B,-113.83213296164996,D,B,B,-41.023801618556234,-137.90552313122836,C,68.88382373873466,A,B,E,0
Other,Heterosexual,No,51-65,E,B,C,C,-71.9474292989527,D,E,C,-97.48004934281036,101.10043282252379,B,-166.03154911714145,B,D,A,0
Hindu,Other,Veteran,18-25,B,A,C,A,65.40943036478146,D,B,C,151.5636437724511,-7.041352245305537,D,-23.876042689394936,C,C,E,0
Hindu,Bisexual,No,36-50,E,D,D,B,-117.74299356857756,D,A,D,-20.514228402230934,-194.27880368319725,D,-254.2607258945929,B,C,E,1
Jewish,Homosexual,No,65+,E,C,E,A,106.58535949758598,E,D,E,-44.81561212927603,79.9244990095125,B,-122.89667285300337,D,E,C,1
Buddhist,Other,Veteran,65+,B,A,A,B,50.92613920049893,C,C,A,-11.271969143086134,46.813957326533554,C,39.69048942135291,A,B,B,1
Jewish,Other,No,65+,B,D,A,B,-10.599907542587664,B,A,A,-82.57721015759341,-84.43659216086081,B,10.353326850936545,A,A,D,0
None,Other,No,36-50,C,A,C,C,-2.659534258881698,D,A,C,-40.258731770640786,-70.30355760434847,D,-111.53053700567254,C,A,C,0
None,Other,No,51-65,B,E,D,E,67.44076224173564,B,B,B,-240.2301416290817,3.690504227550738,B,65.54713002580172,A,B,E,1
None,Homosexual,No,65+,A,A,A,D,-91.45310090558233,C,E,E,13.898652194186614,-35.76536327186812,B,-16.377805623665328,B,A,B,0
Muslim,Heterosexual,No,26-35,D,C,D,C,-19.045943991937232,B,B,C,162.56718851943046,-108.53678494991637,B,39.33318963968014,B,E,E,0
Muslim,Bisexual,Yes,26-35,D,A,D,A,-85.72207643181473,D,B,D,-109.24313997474854,126.59003877333875,A,54.4481785912219,D,D,C,0
Muslim,Other,No,18-25,D,B,A,C,165.12745772974696,B,B,E,-115.88011557657076,57.75108470629894,B,91.17499503379595,B,C,D,0
Hindu,Homosexual,Veteran,36-50,A,A,C,E,-117.96655961740304,A,C,C,1.7550878257318256,-64.39430911878537,D,-194.87990602752564,D,E,B,1
Christian,Other,Veteran,65+,D,B,E,D,34.36397041994575,A,E,B,-15.11265454211603,19.40636260093959,B,-129.82736531808376,C,D,A,0
None,Heterosexual,Veteran,51-65,C,D,A,A,85.63499491760209,A,E,C,111.43431451207877,-68.37587766537888,A,-42.43210539295032,D,D,B,1
Muslim,Bisexual,No,18-25,A,B,B,E,-11.38523482183912,D,D,A,-16.516967021951196,-90.79703510106818,C,-84.883996175054,C,B,D,1
Buddhist,Heterosexual,Non-Veteran,65+,D,B,B,D,67.03407299944573,C,E,C,6.461475825233844,95.9418119515592,D,-25.182305265378922,A,B,B,1
Hindu,Other,Yes,65+,C,D,D,E,32.179000987350406,E,B,D,-55.80456631418579,318.2013178893538,E,14.775650064721358,E,C,B,1
Christian,Bisexual,Non-Veteran,65+,A,D,C,A,-30.092638035936275,D,A,A,-35.559788904767245,-33.51795653396336,D,-9.718334726606663,C,D,C,1
Muslim,Homosexual,No,26-35,D,D,D,A,-134.3140702096712,B,A,D,49.48350138325656,-39.056108394518866,A,-44.17553456710932,C,A,C,1
Christian,Other,Non-Veteran,36-50,E,E,E,A,12.176780990699067,C,B,E,-84.57337165783034,61.17948582150827,E,21.661681310661397,E,B,C,0
Christian,Homosexual,Veteran,65+,E,C,E,C,-107.81598200047941,C,D,A,26.30755801552792,-58.02608590877023,A,-118.95202534816795,A,B,B,0
None,Homosexual,No,65+,A,A,B,A,77.57828234590664,A,D,C,90.84454987167064,235.51840068407222,D,-65.38966257378947,C,E,B,0
Other,Bisexual,No,18-25,E,C,C,B,-62.87547854602117,E,C,D,120.84123515481066,3.6949638772141657,C,-155.54666897254114,E,A,A,0
Other,Heterosexual,Veteran,65+,D,D,C,C,-127.13361909897816,E,E,E,-150.417415637436,43.18468778534689,E,175.10632861519304,D,E,D,0
Jewish,Bisexual,Veteran,65+,E,E,B,C,231.6487485062073,A,E,E,-97.07615530675105,-145.3220643619858,C,14.036119686839104,E,E,A,0
Christian,Bisexual,Non-Veteran,51-65,E,B,C,C,31.336295823032284,E,C,C,-42.54191349754621,-54.82025196182426,A,-34.69891982927084,A,D,B,1
Hindu,Homosexual,Veteran,26-35,C,E,A,E,157.5973674063609,C,E,C,-60.85701051337519,96.93047411792276,D,-96.45596845522213,A,B,A,1
Christian,Other,Yes,18-25,E,C,E,E,197.41782181588553,B,C,D,-37.715630434955486,48.133429131513495,E,-126.86926749853976,D,B,B,0
Buddhist,Heterosexual,Yes,65+,B,A,D,B,5.382754295798678,C,C,B,-56.885443692568614,-122.44120372589097,A,2.243073814822646,E,A,C,0
Muslim,Bisexual,Yes,51-65,C,E,D,B,25.0609555769169,E,A,C,-86.2060086522132,71.46108718888941,A,75.20823703610827,C,B,B,1
Christian,Heterosexual,Veteran,65+,A,A,C,E,-62.72535755719593,A,E,C,102.46148156489487,17.710057097138595,A,21.609789145698834,E,C,D,1
Jewish,Homosexual,No,26-35,A,B,B,B,7.2868228033825755,A,E,A,77.45450006508437,-96.44153656204992,D,85.85713488492203,A,C,C,0
Christian,Heterosexual,Yes,51-65,B,A,A,B,-77.80044204788399,B,D,D,-58.58965066993114,-6.58198718069881,D,-104.85431720900384,E,E,B,1
Hindu,Homosexual,No,65+,B,C,E,E,-88.51660679623296,D,E,C,106.87727912432238,-128.5921681713291,B,54.62094030652903,E,D,C,0
Muslim,Heterosexual,Veteran,51-65,B,C,B,D,-76.4339099576265,E,C,E,-34.12242546897581,67.21656906742484,D,82.40202816865295,B,A,E,1
Christian,Heterosexual,Yes,65+,E,C,B,D,-130.7162071922253,E,D,A,-228.80033267210393,178.87417731568746,D,-142.29732105207893,D,E,A,1
Other,Heterosexual,No,18-25,A,C,C,C,95.79175547819739,B,A,C,-4.469654476361871,91.69175855233564,E,257.7495546365983,E,B,C,0
Jewish,Homosexual,Yes,51-65,B,A,D,B,-121.64355528955441,E,D,E,-0.4665735322963327,-38.809718544741614,C,-72.6814875093501,E,A,D,0
Other,Other,No,18-25,A,A,C,C,15.771302071774972,C,D,A,-4.661536527081035,-72.37095440975729,D,-15.859578891630344,A,B,C,1
Jewish,Homosexual,Non-Veteran,51-65,B,A,A,E,-28.347305163107002,C,A,C,-258.09266046500966,-22.80213228961419,B,115.24736309537211,D,A,A,0
None,Bisexual,Yes,51-65,B,E,C,D,-14.284233723189066,B,D,E,28.753821596102032,-11.826034077630275,B,-27.6229347517916,C,E,B,1
None,Bisexual,Veteran,65+,C,D,D,C,205.64706856837222,A,A,C,10.474569649090203,2.4929680077832383,E,-74.26820994913399,C,A,A,1
None,Homosexual,Yes,26-35,B,A,A,C,2.591572901525036,C,C,E,-43.950882102849995,142.7730731671905,D,-195.78486088465914,B,A,E,0
Hindu,Other,No,26-35,E,E,B,C,-50.46267359310836,C,D,C,8.87226463079031,42.156783468626394,E,9.01346119176126,A,E,C,0
Hindu,Heterosexual,No,36-50,B,D,E,C,56.81316101737076,D,B,A,-65.50036689315385,-44.20031832706594,B,38.71116351725233,E,D,A,1
None,Heterosexual,Non-Veteran,36-50,C,C,B,D,94.7864385394681,A,A,B,170.8909008264964,-36.69942614432967,E,339.1698845516429,A,D,B,0
None,Other,No,65+,D,C,B,D,-79.95633259733353,C,B,C,-3.552439108379353,-9.333752441925865,C,67.6635701813348,E,A,E,0
Jewish,Homosexual,Veteran,36-50,A,E,C,D,-80.10509240365384,B,C,E,21.021536242610114,104.9299381067669,A,-68.39081877703673,E,D,A,0
Jewish,Homosexual,Non-Veteran,36-50,A,B,E,B,-81.85538117999725,C,C,C,73.85185532502561,-64.7164456482155,A,19.889357382369887,A,B,C,1
None,Bisexual,Veteran,26-35,A,C,A,C,157.53798689933575,C,D,C,-15.429161246338563,-92.4892844924116,B,50.2680277613179,E,C,E,0
Buddhist,Heterosexual,No,51-65,D,E,A,C,-83.8449217392414,E,B,D,58.6596574113784,94.4043522590495,C,-66.3536454398843,E,C,B,0
Christian,Other,Non-Veteran,26-35,C,B,D,D,-73.10796391205231,D,C,A,-29.94641809127458,-42.68350212593936,A,-26.388943035196412,E,D,E,1
Other,Homosexual,No,36-50,E,D,C,C,41.50133669749404,C,D,D,-183.89518974309,-108.18102385189438,B,51.15277817744403,C,E,E,1
Hindu,Heterosexual,Yes,18-25,C,D,E,A,-54.195064950211915,C,C,C,-85.43128720813988,177.85140474431546,C,-164.3044450549198,D,E,A,0
Hindu,Homosexual,Non-Veteran,18-25,C,B,D,C,35.333143951237425,D,D,E,-122.63918661928213,79.56414014264067,C,41.64375724032693,B,E,B,1
Buddhist,Other,Non-Veteran,65+,D,B,C,A,118.08302835217394,E,E,D,67.5415808841338,-134.5952451678831,B,67.74960654888162,A,A,D,1
Buddhist,Bisexual,Veteran,26-35,D,C,E,A,132.52071245704568,E,E,D,100.38566704499092,-3.751950809141235,C,-147.18478000013516,D,D,E,0
Muslim,Homosexual,Yes,18-25,C,B,E,C,-47.006725853786776,E,A,A,-70.51872768787275,59.34593396206061,A,-118.41958481573272,C,C,D,1
Christian,Bisexual,Veteran,26-35,A,A,B,E,192.4147917625182,B,B,B,-67.89132013656453,-98.57704748181357,E,22.78713135944389,B,B,C,1
Jewish,Heterosexual,No,36-50,E,B,D,D,64.15235099071883,D,E,C,-94.02337360636128,-87.81489801878635,D,-17.273813930796024,B,D,D,0
Muslim,Heterosexual,No,26-35,D,C,A,D,-61.54421643445921,A,E,A,256.39107985480086,11.221567028256521,B,-40.9464286819979,E,D,B,1
Other,Bisexual,Non-Veteran,36-50,A,E,A,A,18.50545511577007,A,D,A,-107.5279964417619,-40.44133796557154,E,89.96850066175051,E,A,E,1
Muslim,Bisexual,Yes,26-35,A,B,A,B,-43.74685447164163,E,B,C,-75.21390333220019,-198.43128026342146,B,-40.28908401191739,A,B,C,1
Hindu,Other,Non-Veteran,51-65,E,D,C,A,83.26599188063739,A,C,C,-99.90442460968367,32.65584006806516,E,39.93643398986696,A,E,A,0
Muslim,Homosexual,No,51-65,E,B,E,C,77.17808384858863,D,E,D,-53.03117020673691,154.47649726673603,D,-84.93063565669536,C,A,C,0
Hindu,Other,Yes,36-50,C,B,A,A,46.71727312710642,E,A,C,69.5783744778512,-16.683475610094646,C,-3.913263229307378,E,C,E,0
Muslim,Other,Veteran,26-35,D,A,D,E,142.69164449391997,D,E,D,-117.54813161481184,105.00233300457428,E,173.28627483472818,E,D,D,1
Muslim,Bisexual,Veteran,26-35,E,C,E,B,24.05210641141138,E,B,D,67.3780188975201,63.33356635328663,B,-130.59473480852282,D,D,D,1
Christian,Heterosexual,No,36-50,C,D,E,E,21.002841429865956,E,A,B,49.40256680295489,-1.2371590050119543,C,74.81586074899981,D,B,E,1
Other,Bisexual,Veteran,65+,C,A,A,E,-147.2175075923268,A,E,E,-54.748801753605925,76.52625406549879,D,37.18545172544377,C,A,D,1
Muslim,Bisexual,Non-Veteran,18-25,E,D,D,E,12.321010252115588,C,B,E,2.0825677834740244,81.82789625753239,A,-48.1890680390556,C,E,B,0
Other,Bisexual,Yes,26-35,D,A,D,D,20.51769876641804,E,A,B,-165.40600503912108,-88.81263464425437,D,-68.5197643488028,B,A,A,0
Buddhist,Other,Yes,65+,E,A,A,C,13.880249114448304,B,E,A,34.64866081238686,76.29228296258937,E,-42.768231300494605,A,D,C,1
Buddhist,Heterosexual,Veteran,26-35,D,E,E,E,13.174201302196186,D,E,A,-124.46572895124055,-73.68607157274609,A,-96.28485653145992,D,B,C,0
Other,Bisexual,No,65+,E,D,B,A,22.357720539779933,D,D,B,315.2654533214641,100.22482141840837,B,-59.49193752436176,A,B,B,1
None,Heterosexual,Non-Veteran,26-35,D,E,A,E,66.95103852933794,B,B,B,56.966835073912456,-68.52935788942193,D,10.638868580233279,B,B,B,1
Christian,Bisexual,Non-Veteran,51-65,A,A,B,D,125.8960675836205,C,A,B,-123.89918976204919,30.621104114444382,D,-95.92263402427909,A,A,A,1
Other,Other,Veteran,51-65,C,D,D,C,-96.32190654304466,C,B,D,-71.4640230749867,-20.83681396356215,E,59.59503029622347,D,D,E,0
Muslim,Heterosexual,Veteran,51-65,A,D,D,D,-10.696440849598229,B,B,E,91.99586260576949,-141.51951983501252,A,-203.43258330176965,D,C,D,0
Jewish,Other,Non-Veteran,26-35,E,C,A,E,5.477984731977544,B,A,A,-114.43219532427148,240.58159023781505,B,36.70960788577497,C,E,E,1
Other,Homosexual,Yes,51-65,A,D,C,C,-16.807819116788732,C,D,C,-4.845692339503039,18.981412125241203,E,-52.3089124231504,A,A,B,1
Jewish,Heterosexual,Veteran,36-50,C,D,D,E,124.72315417319568,B,D,B,15.389595795565409,63.95969589330653,B,20.175770839072843,B,A,B,0
None,Heterosexual,No,18-25,D,A,A,C,-34.7653990086725,D,B,D,12.361525548338772,-18.908626585169927,C,18.314823503085766,A,C,A,1
Muslim,Other,Yes,36-50,A,A,D,D,-14.683847347563498,E,B,C,-101.4729870294061,184.08470316830812,D,7.027795536566277,D,B,E,0
Hindu,Other,Non-Veteran,51-65,C,B,B,D,-237.566505069367,C,C,B,74.91535327848749,91.42270099598862,E,20.191565597812485,C,D,C,0
Buddhist,Heterosexual,Veteran,18-25,B,E,E,A,-58.75593875213201,E,A,C,62.908102023277635,-72.55560370619027,C,-7.235430782071196,E,C,C,1
Hindu,Bisexual,Veteran,36-50,D,B,A,B,-24.17759939705641,E,A,E,-248.93684319175068,4.568390210968783,C,28.27534723459044,B,E,A,0
Muslim,Heterosexual,Non-Veteran,18-25,E,A,B,E,91.70881173699709,C,A,A,-49.577672068721554,76.79515608039303,D,-33.84942873008583,D,D,E,0
Other,Other,Veteran,18-25,A,D,E,B,-16.66717396007368,A,A,B,-30.62904883126357,92.4280295034422,C,178.54110440734854,D,D,C,0
Muslim,Bisexual,Veteran,51-65,B,C,B,C,14.114408365567485,E,A,E,113.26703932260551,30.374850893443384,B,10.323726401579313,D,C,A,1
Jewish,Heterosexual,Veteran,65+,C,C,A,D,120.51899475901529,D,A,E,111.31018413794065,-140.89893679985113,D,48.505208407141396,A,A,B,0
Other,Homosexual,Yes,65+,C,E,C,B,-44.8622774309836,B,B,A,-147.75794085578187,-60.84033243969241,E,-91.35803783286795,C,A,C,1
Muslim,Bisexual,Veteran,18-25,D,B,E,D,105.05665411624423,D,A,E,99.01072885246067,-110.67229322372366,A,-138.76490424309853,D,D,C,1
Other,Bisexual,Non-Veteran,36-50,A,D,A,E,180.46956572526372,D,C,B,7.958951989472291,212.5122977622481,C,12.531737825379555,B,C,C,0
Buddhist,Other,Yes,51-65,B,A,A,C,-243.06185456969817,D,B,A,-64.68453785618111,23.077699551599615,B,-30.283047815548812,C,D,A,1
Christian,Homosexual,Yes,36-50,D,D,C,B,43.3947175928689,E,C,C,5.868927685968105,-35.41647741209321,D,115.88886763764101,B,D,C,0
Jewish,Bisexual,No,51-65,B,B,B,C,121.73445024518577,B,C,B,-31.889340456781778,-72.5320160125004,E,-5.457828313285874,B,D,B,0
Hindu,Homosexual,No,36-50,E,E,D,E,-119.2930267517891,C,A,C,-64.16146331620547,-98.60498421840414,D,81.01459505421774,C,A,D,0
Hindu,Homosexual,Veteran,65+,A,E,D,D,42.75584706543697,A,A,E,0.22247517770165168,-192.02142804661244,D,-58.52231087962806,B,E,B,0
None,Homosexual,Yes,36-50,E,A,E,B,-26.078020668682463,E,E,D,-74.14553456977164,31.57299753536596,B,72.79353151436521,B,C,B,1
Buddhist,Homosexual,Yes,18-25,B,A,D,E,-132.77700005644766,A,D,B,14.717615925805868,-121.43303641410795,D,-105.0365898587853,B,E,E,1
Christian,Bisexual,No,51-65,A,B,E,D,172.93705018063284,E,B,D,42.941924324582345,222.92772971105336,D,-146.68950084460022,A,B,A,1
Buddhist,Heterosexual,Non-Veteran,18-25,C,D,D,E,107.31686391064186,A,B,A,-60.02967799725132,149.79765315933767,A,-109.19888198815302,D,E,C,1
Muslim,Heterosexual,No,18-25,D,D,A,D,99.3618937434671,A,A,A,0.9576922147982592,52.248221412344535,C,-287.9583494701441,C,E,C,1
Buddhist,Bisexual,Yes,36-50,B,B,C,E,-162.19725433197976,B,D,D,-81.44073800695284,99.91817191800571,C,-116.44963666116914,E,D,D,0
Jewish,Bisexual,Veteran,26-35,C,B,C,E,-154.21262774549356,C,B,D,-2.024179059437208,-61.675289088331,C,-238.68066974450252,A,D,C,0
Hindu,Heterosexual,No,18-25,C,D,E,A,-46.19573522198845,A,B,D,-52.298607612981215,-60.32773019664014,E,38.387595076146745,E,C,E,0
Christian,Bisexual,Non-Veteran,65+,E,B,B,C,203.43430976778194,C,B,B,57.81856730837007,-21.22631905107082,E,-154.71107454580846,E,E,D,0
Buddhist,Homosexual,Non-Veteran,36-50,A,D,D,B,-25.31275523055239,A,A,E,205.7277713634731,-207.75913025887593,C,-21.286116342861423,D,E,A,1
Other,Homosexual,Non-Veteran,65+,B,C,C,E,10.209815634468402,D,B,D,28.352375336633113,-53.65957409650961,C,-79.44085753303042,A,D,E,1
Jewish,Heterosexual,Veteran,65+,E,B,A,E,108.93770591266814,D,B,A,67.48583792985686,-48.83823267899381,C,9.516073856017957,D,C,A,0
Jewish,Other,Veteran,65+,E,C,C,C,28.588230233112625,B,A,E,-106.76901842270001,-22.10978706948067,D,30.687286754076794,E,D,E,0
Jewish,Other,Veteran,51-65,B,D,A,E,-14.88983592381172,A,B,D,-188.12894821715932,76.18072363730066,B,-93.70210655744754,B,C,B,1
Christian,Homosexual,No,65+,E,D,A,D,-11.957792855904376,D,C,C,-100.96196182490209,-160.57641814101962,C,50.51896696918931,B,A,D,1
Muslim,Bisexual,Yes,26-35,B,D,A,B,20.750043088699712,D,A,B,64.89285547954972,52.93833299851298,D,116.07439033615117,D,C,D,0
Other,Other,Yes,65+,A,D,C,E,-38.01667764042024,A,B,A,29.34106822556779,-11.66945810225094,D,5.318961867464679,A,D,C,0
Buddhist,Homosexual,Yes,65+,D,A,C,E,-109.79935745216287,B,B,E,64.83540095603729,-118.27883753010175,B,-128.54684129921336,A,C,E,1
Hindu,Homosexual,No,36-50,B,B,E,E,28.1874352339063,A,C,D,-54.29945852488848,92.32320350235277,C,114.96067477576848,C,E,C,1
Hindu,Bisexual,Veteran,18-25,D,C,B,C,10.545843710108668,B,D,D,72.96893019458246,-72.3038632136903,D,70.64133643509385,E,B,B,0
Jewish,Bisexual,Non-Veteran,18-25,B,C,D,A,-1.9501361037707217,B,B,A,98.73942537199548,-109.4846410747377,D,25.310851867099394,E,D,E,0
Jewish,Heterosexual,Non-Veteran,18-25,A,B,B,B,81.91880622103245,C,E,A,-73.50237440065037,-39.19623530318319,E,-50.73496476203978,E,C,A,1
Hindu,Bisexual,Yes,18-25,D,D,E,E,217.60538357543706,A,D,B,55.142289817182565,47.174479052911316,D,-42.74843013754101,C,A,C,1
Jewish,Bisexual,No,51-65,B,E,A,A,64.83065362749024,B,A,E,46.6180484029815,170.1385145201134,C,47.027648698097074,D,B,A,0
Other,Other,No,51-65,D,B,B,C,56.64725882594186,B,B,B,72.73140377392252,-191.5096104822577,C,91.39950483408522,E,D,B,1
Buddhist,Bisexual,Non-Veteran,51-65,A,E,D,D,193.89996784157387,C,D,C,-56.826738780986844,10.053217699104957,A,55.15267166647762,A,A,A,0
Other,Heterosexual,No,18-25,A,C,D,D,243.6340237855934,D,E,C,90.65340115011283,-122.68827211172652,D,-31.27954484087685,C,D,E,1
Jewish,Heterosexual,Veteran,26-35,D,A,A,D,77.38483434652841,A,B,E,-40.87210305466342,41.29890345810357,E,0.25746700557617025,E,C,C,1
Buddhist,Bisexual,Non-Veteran,36-50,E,E,E,E,183.0831037397992,B,B,C,109.13061597123553,147.73400080677038,C,-13.103266163973235,C,B,A,1
Hindu,Heterosexual,Yes,51-65,B,E,D,B,-167.52258771252443,C,C,D,122.09643181467142,-68.68955811917354,C,170.4926066532008,E,A,E,1
Buddhist,Heterosexual,Yes,18-25,B,C,A,C,-80.38882879977673,E,E,E,-122.99289385604204,-28.713516847382536,D,35.07758493436957,B,E,A,1
None,Homosexual,Veteran,51-65,E,C,C,C,55.782042216101736,B,D,D,97.98199785803827,150.22018394991682,D,29.73405560567696,C,D,C,0
Muslim,Other,Veteran,65+,D,C,D,C,251.9758697299516,E,C,C,54.26223797071101,-41.25987820508231,D,-174.93246857588176,C,D,D,1
Christian,Bisexual,Yes,18-25,C,B,B,A,79.01678897208143,E,E,D,-133.19061860658238,-89.38752969328706,E,27.852869448957758,D,D,B,0
Jewish,Other,Yes,36-50,D,D,B,D,-39.134799065755224,D,D,C,82.60106859692671,68.4643925162633,E,-9.980020435604894,C,C,D,0
Hindu,Homosexual,Veteran,26-35,C,C,C,E,-17.173905923602977,D,B,E,-93.43561640922638,225.27494430259756,D,152.2771256467623,B,B,D,0
Muslim,Heterosexual,No,51-65,A,C,D,C,10.39444875162159,C,B,A,-160.36275903872922,-12.283502218744836,E,16.32372741399835,A,E,E,1
Muslim,Bisexual,No,18-25,D,E,E,C,-95.74633431834462,E,C,B,44.796039402279774,-34.318246963530406,A,266.37595989356595,D,A,C,0
Muslim,Bisexual,Veteran,36-50,E,D,C,D,18.27357369834022,D,B,B,67.44969309567381,-39.45681512427468,D,5.550783936291421,C,D,A,0
Other,Other,Yes,36-50,A,E,B,E,18.46400956572523,E,D,A,187.84415235084967,59.31122451381865,C,165.73045720220557,D,E,D,1
Buddhist,Homosexual,Non-Veteran,36-50,A,B,A,B,94.68193009042221,C,B,B,-22.49843368696549,110.89785829110852,E,-123.36130640300769,E,D,E,1
Buddhist,Homosexual,Yes,26-35,E,D,C,D,179.2775663481117,B,D,D,166.63940000397383,44.07514677601945,A,147.83131164825107,B,B,E,0
None,Heterosexual,Veteran,51-65,B,E,C,B,-161.07203137678118,B,C,C,186.12032916163363,-121.82770610027222,B,64.47041011063023,A,E,A,0
Hindu,Other,No,65+,E,A,A,A,72.41293633473896,B,D,E,-6.0244704284492006,107.61678973257833,C,64.38945768400208,C,E,E,1
Muslim,Other,No,51-65,E,C,B,A,-105.58228291564724,B,D,E,-145.73097127911996,27.031896032850334,D,-23.919933010650325,A,A,E,0
Buddhist,Other,Veteran,51-65,D,E,E,D,35.54003403868133,B,D,D,-35.79487563976342,3.9408889796273465,A,-8.231944957146506,C,A,E,1
Jewish,Other,Yes,65+,D,D,B,A,67.72038274078113,C,B,B,-139.8206791540555,53.896904489267094,B,-178.95949652512854,E,A,E,1
Buddhist,Other,No,65+,B,D,C,A,-129.28421363879187,D,D,A,16.97630366417466,-232.53159550406048,A,1.9536202481885498,E,B,C,1
Jewish,Bisexual,Yes,51-65,B,E,E,C,3.2831797817473682,C,A,E,74.22297403064852,11.53091798911452,D,61.851375626363236,C,A,C,0
Other,Homosexual,Veteran,65+,A,D,C,D,84.28679079254428,E,C,B,-7.002263329472235,-59.865872533470196,B,-31.678392315897224,B,C,E,0
Christian,Bisexual,No,51-65,D,C,B,E,113.63315642172347,D,C,C,33.49857362566892,101.30322820267085,D,116.77719836993671,B,B,D,0
Other,Heterosexual,Veteran,36-50,E,C,A,B,145.43010680190616,E,B,A,47.52044484661283,44.13988093863814,A,-4.892284671399179,B,C,C,0
None,Homosexual,Non-Veteran,18-25,C,A,B,C,-67.70325447970068,A,A,E,-29.791017212276046,-11.031982732594878,C,99.41288756017,E,A,D,0
Hindu,Bisexual,Yes,36-50,D,C,B,B,41.57389285476982,C,A,C,84.76953368855821,10.810144264092566,B,-87.99028549938674,D,E,E,0
None,Other,Veteran,65+,C,A,E,C,41.353004286965614,D,B,B,164.04459799193987,0.7354179570678675,B,70.69066878848463,B,D,D,0
