disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Mental,E,-65.81971572877204,121.95266318809215,C,A,D,E,1
Mental,E,50.83931212378597,-132.50614709082907,D,B,B,C,0
Mental,A,-61.23530553166935,15.079331317459483,E,C,B,D,0
Yes,C,-87.18849492570735,-14.320729962115081,D,A,B,E,1
Physical,C,16.168533763470975,64.43817361223385,A,D,C,E,1
None,A,89.58776778954048,62.617356212922424,C,C,D,C,1
Physical,E,92.27958789382274,-82.89286538346084,D,B,E,B,0
None,B,-8.439377585271679,-81.56768803931223,A,D,E,A,0
Mental,C,15.405397369425664,-73.5376760878866,E,A,A,A,1
Physical,D,-104.40880976928446,65.42803154774461,B,C,C,E,1
Yes,D,-72.57626482971618,-35.331114654523326,B,E,A,A,1
Both,D,9.449436581658029,-29.38776475815737,C,C,C,B,0
No,D,148.85281248998814,85.93919353782854,C,B,C,A,0
Mental,A,59.06951685767247,-133.37424769471394,E,B,C,B,1
Both,B,13.287235316068912,-90.0719774014987,E,A,D,E,0
No,E,111.93365253088983,33.05948064270905,C,A,E,D,0
Both,D,-122.71538435332978,-10.239518843017837,D,A,C,C,1
Yes,C,-58.79670570983071,63.00922238962436,D,B,E,D,0
Yes,C,-25.15077222543417,-25.28815364666828,A,D,C,B,0
None,E,96.17808012799615,105.02578661130669,C,E,E,D,1
Yes,A,121.43717218068926,-45.50385933802028,C,C,D,C,0
Physical,B,-34.67569526682295,-14.994808326770956,A,B,D,E,0
Mental,B,67.3929786084249,182.12615564665975,D,C,C,B,1
No,D,-2.640496284937585,-69.52861983290435,E,A,C,B,0
Both,C,13.013069205813215,-28.812700016472952,E,E,E,B,0
Mental,C,-83.45143910972156,-85.5227263524131,D,A,D,C,1
None,B,66.8963363196539,-95.55336058281708,A,B,E,A,0
None,A,64.53228216938004,174.7705305263283,B,B,E,D,0
Both,C,109.77617145076148,-61.42256597805703,C,B,E,D,1
No,B,23.706064168298262,-223.3179965392956,C,D,A,C,1
Mental,E,214.86408422596085,-95.05075363599254,C,D,A,C,1
Both,B,175.90887324248945,0.14208091795896421,A,D,E,D,0
Mental,C,-15.161998808201515,-158.7813498646066,E,A,C,E,0
Yes,A,-113.30868245783266,-42.60634938920222,E,B,B,E,1
Both,A,-94.94331784663022,26.836920978786544,B,D,C,B,1
None,B,18.839314332198647,58.0015754000042,E,A,A,B,0
Both,A,-24.4125386573186,13.563531491713038,B,E,B,A,0
Mental,D,-28.79689353112518,-81.1350920454734,C,E,B,E,0
Both,E,-43.13607863839254,-33.43748976798588,B,D,C,B,1
None,A,76.24479545236352,179.10906928928773,A,D,B,D,0
Yes,C,39.566626368266135,26.984802871135006,A,B,D,C,1
Mental,A,-4.024439034422108,205.45528874902854,E,B,B,D,1
Yes,C,100.78646035992574,31.241824594941814,C,D,D,C,0
Both,B,-48.21969361535039,-18.913662096026822,B,E,E,A,0
Yes,C,43.2750826076223,-136.96204271469634,E,E,B,D,0
Mental,C,9.332963961154285,-45.73467240421219,A,C,D,B,0
No,C,-12.469700440314472,115.8812226334139,D,C,A,C,1
Mental,B,92.0231098738284,21.089807139867077,A,E,C,B,1
Physical,A,-35.39172427422546,-33.138230572096674,A,C,B,B,1
Mental,B,-45.67015251179238,83.26191926204665,A,E,E,E,0
Both,B,80.66676454134745,62.19674527346446,A,D,D,B,1
Yes,D,38.27053082848715,14.61480324527551,A,A,B,D,0
Physical,B,4.103016145083402,69.94334212654093,C,B,A,B,0
Mental,B,9.449335077004644,34.314179804178515,A,D,A,C,1
Yes,E,157.65285603448316,-67.88502782630509,D,C,E,E,0
Yes,D,-36.8433453431956,10.287906994778204,A,E,D,B,1
None,C,76.55029614655142,-26.031713456739475,C,B,D,C,1
No,C,-69.07004170777938,71.4182800529372,A,E,C,D,0
Physical,D,69.722637798983,179.76280905614666,B,B,A,D,1
Both,B,153.33137019620614,-51.63297841956959,C,E,B,D,1
None,C,58.700696463893955,78.93458533359679,A,A,A,A,0
Yes,A,-164.90046893838402,-98.29753981250421,E,B,D,B,0
Yes,A,-82.41119111949646,-152.92848507169373,B,A,D,E,1
Yes,A,-11.176491358375538,-165.0562344336063,D,C,D,E,0
Physical,E,-6.928054880813994,-52.2942578543575,D,C,C,C,0
Yes,E,-74.20263472820308,8.115433096299157,A,D,E,D,0
No,E,-142.17364255414194,81.87427405811034,C,A,D,C,0
No,E,124.21584704675767,23.9933447967288,B,C,D,D,0
None,C,16.55102551592556,63.28836235634338,C,A,C,E,0
No,D,10.912994939312535,-21.688568616319163,D,E,C,D,1
Both,C,41.72510180248467,48.822180239392324,C,B,B,C,0
Physical,D,-36.208412565282124,200.98573196994823,A,C,E,C,1
Mental,A,-54.9034517341487,159.76862489039715,A,A,A,D,1
Mental,D,-21.47426550650355,-37.01699211978391,E,A,D,A,1
No,E,-36.4549714399934,-174.69338960899853,B,B,E,A,0
Yes,D,-25.32229034828793,-61.96799000143556,A,D,E,A,0
None,C,-145.86601810936193,-133.93963520259123,A,E,C,E,0
Physical,B,8.128873598554591,9.215252557689434,A,C,C,A,1
None,A,-42.43415767678605,-196.1705222429629,B,D,C,A,0
Mental,B,-44.18571750549622,-147.87611908924956,C,D,C,B,0
Mental,D,-44.955241510729124,91.03092929390293,B,C,B,B,1
Physical,C,30.10188880876765,-180.47278542978472,D,B,A,A,1
Both,C,34.408350691028915,74.94441734407079,C,D,C,C,0
Both,E,-100.82599845564413,-132.74505423335248,C,C,C,A,0
No,D,-149.3133644256787,56.2475339249635,C,D,A,D,0
Both,E,29.210959926975015,105.19995869786676,C,D,C,C,0
Mental,A,-12.442081899658952,74.26556189713736,C,B,B,D,0
Mental,B,-102.19771995312021,34.72741017990533,A,A,A,A,0
None,B,-2.8190696857948634,116.39537489756387,A,E,C,A,0
Yes,E,133.07903193273992,-112.893431766662,B,C,A,C,1
Yes,A,66.32123239676548,-82.82994853800488,D,B,A,C,1
Yes,B,-54.64555898550435,139.89273124948076,C,A,C,A,1
Yes,A,120.74447378229662,-175.275104077348,D,A,D,D,1
Mental,E,-181.0570911411459,96.65388087558853,B,B,C,B,0
Physical,B,-53.318932390785655,86.68552447654514,E,B,C,C,0
Both,E,-26.531250834757014,32.17162459034333,E,B,E,A,0
Physical,E,-214.49946404603173,-35.249768659431076,E,E,C,A,1
None,B,-147.0205565284759,81.28615149104805,D,C,C,B,0
Mental,D,-254.1313513223211,-48.52524191918751,B,D,B,A,1
None,B,51.922743510583125,76.22972242316831,C,E,C,D,0
Mental,D,-46.97572535972023,26.868236926111116,A,E,C,E,0
Yes,D,-10.924889606914626,-147.8625949378648,E,B,C,B,1
None,A,33.89846528031857,53.32423513376172,D,C,E,E,0
Yes,A,-64.45120287097969,10.095375753757136,E,E,C,B,0
None,C,15.424564088718492,67.20013165829734,D,C,D,C,0
None,A,133.5356675978368,199.41980104364262,C,A,C,E,0
None,E,-161.20679987797666,-142.67106744502195,D,D,C,B,0
No,C,-32.477780275141725,122.49509657027109,A,C,C,A,1
Both,D,-1.6608374281650093,-190.35364366322415,A,C,B,D,1
No,D,16.711792420696774,-93.3190931212609,C,D,E,C,0
None,A,6.807963244978087,-148.65993060147952,C,C,E,C,1
Yes,B,-3.3406850697525097,-13.727579646278262,A,C,E,E,1
Mental,A,-33.161658675727345,43.84626043479025,D,E,C,A,0
Mental,D,-6.112231706956038,-43.22533474543286,B,B,B,B,1
None,B,-94.90693421219177,201.7446170183054,D,B,E,B,1
No,C,-117.28220406456,181.8445044452112,D,D,D,E,0
Mental,D,-19.242198489200053,-43.084151904507245,B,B,D,A,1
Both,B,-242.74228616475781,-7.464829335561187,C,E,C,A,0
Yes,B,-123.26417730376255,-46.13461665768306,A,E,E,B,0
None,A,1.7402844991232707,-100.77772714078881,B,E,C,D,1
Mental,D,-134.32241385123268,-41.787812013935785,B,C,D,A,1
None,C,-78.26873092004706,25.259512479525714,B,D,D,D,1
None,E,-110.02411240517095,-116.85678291502172,D,B,B,B,0
No,B,-44.28209990282495,-144.24128972531233,C,B,E,D,1
Both,D,-82.66505741281243,151.59417310406675,C,D,D,C,1
Yes,D,137.1003896961326,45.03233240832872,E,D,D,A,1
Mental,A,-96.44516133628775,-21.87554267212282,C,B,A,E,1
Mental,D,-64.17299639872131,-55.40330226970188,E,A,E,D,1
Physical,B,217.47821336642227,-108.50658408512493,C,A,D,A,1
Both,A,142.98300961339575,-30.482612183513435,C,D,C,E,1
No,E,94.87105570005068,149.05507099722413,B,A,D,D,1
Physical,D,32.1984380403485,-13.063626549842983,E,A,C,D,0
Mental,C,170.89223478973602,32.1911081880448,C,B,A,B,1
No,C,40.023018647270234,71.60607538737767,E,C,C,A,0
No,C,22.371707041562168,-51.8648065226219,A,D,D,D,0
Yes,C,-2.9258232225824425,183.15472453040564,E,B,E,B,0
No,E,101.3195671036688,168.3407859331568,A,E,B,C,0
None,B,-269.51124557952113,51.672465883168385,C,B,A,A,0
Physical,E,63.78764917679213,-190.3815913914149,E,E,D,B,1
Yes,A,82.34314760707701,62.247212714441105,E,A,E,D,1
Mental,A,52.12841452741832,109.23972161376341,B,C,E,C,1
Physical,E,7.253925179528436,131.06234423806876,C,C,C,C,0
Yes,B,160.0463705332724,3.31570270715197,A,A,E,C,1
Both,D,107.49455856488137,-180.7498658407976,A,E,D,C,1
None,C,-119.84685697899063,-90.49942123946863,B,A,B,B,0
No,C,129.35981301611233,-15.572648851482892,C,B,B,C,1
No,D,-34.97548504278634,62.315058378093354,B,A,D,C,0
No,D,150.46507463263634,-96.6042776293996,E,A,E,B,1
None,E,79.0971656666343,84.49089339277971,A,C,C,A,0
Both,B,5.117594528870859,-125.1981427389394,D,D,E,E,0
No,C,6.639292997693698,25.201218567999252,B,C,C,E,1
Mental,B,81.4824738413797,-23.02355742837325,B,E,B,B,1
Physical,A,49.51588898673848,-63.63871303098506,B,B,E,B,1
Yes,B,13.812973082640942,30.605620997289822,D,B,E,D,0
None,E,89.55590784349889,-43.69977024333376,C,E,A,B,1
Yes,B,61.918281549885855,-67.03378653830373,C,C,D,D,1
Both,A,-109.35326827874343,2.2916453416354408,A,C,A,A,0
No,B,35.98528315173047,57.46102327105016,B,C,A,D,1
Both,E,177.17667171551977,-71.5758580939939,A,C,B,D,1
No,B,-20.207566781855178,-105.36189642285689,C,B,A,A,0
No,D,-41.74684825481872,71.40853411589215,E,C,E,B,0
Both,D,76.04413539879437,-181.85270284145398,C,D,D,B,0
Mental,A,-120.33167378502358,19.997123376127,B,C,B,D,0
Yes,E,15.760270089556428,-85.35828803521332,E,C,C,A,1
Mental,D,-41.03426871671558,25.108146009380572,A,D,D,A,0
Both,D,8.106648202863727,207.68940740047864,E,D,E,E,0
Physical,E,39.53204026943084,-100.15919828941378,A,C,B,C,1
No,E,136.73684215298036,161.98079279363702,C,E,B,B,0
Mental,E,-103.91380286197955,-26.5955612336495,E,B,E,E,0
No,D,-50.739670604567934,11.033724608413179,A,E,A,D,1
Physical,A,-117.91920940890586,14.033416614724171,A,A,A,C,0
None,C,107.36702095872866,155.29546453342252,D,D,B,C,0
Yes,C,-201.436309630448,149.61515679086799,A,D,D,B,1
Yes,E,61.25752763043854,-71.16041929947652,E,D,C,E,0
Physical,A,186.1567142364001,-1.6697685601035062,D,B,C,C,1
Both,A,-145.83017061142786,-74.73044237152216,E,D,D,B,0
Mental,C,-13.124672125579428,-12.142654104034067,B,A,D,B,1
Mental,E,-15.308125760526343,235.03984698558617,B,A,E,C,1
No,A,-41.234835704314534,-164.9493164721275,D,C,B,B,0
Physical,A,-59.4570877364518,63.87554338270086,B,A,A,C,0
None,A,-87.90210823873387,262.51494948098735,A,A,C,B,1
No,A,-6.3915883789622265,-214.00601362925084,B,D,C,C,0
None,E,56.240630144139026,-36.56868512945476,A,C,E,B,1
No,A,-149.77737387687847,195.69386273319645,A,C,D,B,0
Yes,B,55.85703746012649,-51.115083288833375,B,D,D,B,1
No,D,-73.6503613341178,-68.61312785421498,E,C,E,D,1
None,A,25.362915383304006,85.68409270584718,E,C,B,D,1
Physical,A,-81.43630681324382,30.690163883461803,A,B,C,E,1
No,D,-116.79163883225345,-66.27372327476195,E,C,E,B,0
Both,B,-145.79207734878688,30.61889858554106,B,A,B,E,0
Physical,D,-82.3662477474161,195.41997827791334,C,E,E,C,1
No,E,74.86065518577338,117.11921061411041,C,C,C,B,1
Mental,A,34.6150644842558,26.085143050614214,B,D,A,A,0
None,D,71.79995206784395,192.15863274636865,E,C,C,C,0
No,D,61.634320056784276,10.515312268771533,A,A,A,E,0
None,A,197.21351939244101,70.08045617229762,E,E,C,D,0
No,D,-52.42795848939679,43.78753804183906,C,D,D,B,1
Physical,C,-181.50325389140042,0.20376352585986393,A,B,B,B,0
Both,C,45.517016039831134,-124.95778151795535,C,C,B,E,0
Physical,B,-74.97036375723187,-66.10099857881279,E,A,C,D,0
Both,A,12.530460746851732,-3.2295128928952956,B,A,D,E,1
Mental,B,84.47360166439336,-77.51586879599907,A,B,D,C,1
Physical,C,-63.0077332181132,14.298711851033058,E,E,B,D,0
Yes,B,-57.36238672164495,-8.585134002577904,E,D,A,B,0
Physical,A,253.64069581497665,327.27097231245807,C,A,A,A,1
Yes,C,123.61100646470702,-13.557536518714105,C,B,B,A,1
None,A,6.933309043337115,-178.27641400855634,A,D,D,E,0
Yes,B,69.8262361471556,-75.28260553384855,C,D,E,B,0
Yes,E,103.73192853693047,-36.13642619731403,E,E,B,C,0
No,B,-26.241406424908625,-73.60514452426776,C,B,B,E,0
Both,D,-155.81401172764996,135.14030528745295,C,C,A,B,0
Physical,A,-3.983748450290258,-138.0943165503344,A,E,D,C,0
Physical,D,-7.317971833079502,-73.45425315515658,E,B,B,C,0
Yes,C,256.8751030726483,119.10605312459327,E,A,A,E,1
None,D,23.783403405593937,262.8125117908853,A,E,C,C,0
Mental,E,-82.0783497941185,81.23004659325915,B,D,D,C,0
Both,E,-9.187663330783478,-42.22284999315782,C,D,E,D,0
No,C,-15.032892723708743,28.378362218755182,C,E,B,A,0
Both,A,-92.19253257515622,3.1439253316942772,B,E,D,A,0
Yes,C,-138.57848672267977,-115.94737690181063,A,B,A,B,0
Physical,E,-2.7214672622525793,-28.8512228952296,A,D,C,A,0
Both,B,93.9059350045288,141.35754088806405,D,C,D,C,0
Physical,D,-74.80811221124276,23.19671673355718,C,E,E,E,0
Mental,B,183.35279759485414,-166.7768817770848,C,A,D,B,1
Mental,E,-77.97416473570105,-14.30056765072329,C,B,A,A,1
Physical,A,-232.20904471788216,-111.71012809992959,A,C,C,A,0
Yes,B,-140.79542788662312,-111.59086629632182,B,B,E,D,0
Both,B,-45.72332906626623,27.05377141372715,D,A,B,C,1
None,C,-57.91787550308979,-132.190432666611,B,D,D,D,1
Both,E,191.69778204605285,-42.127088506920714,B,C,E,A,1
Mental,E,-147.2145963288016,57.75256968472144,A,A,C,D,1
No,E,161.0920923844937,-48.30821771109966,D,B,A,C,1
Mental,E,48.745449279810856,50.37187761665518,D,C,B,E,1
Yes,B,-82.879626977829,-34.253367672847276,D,D,A,B,1
Mental,A,120.71666967661714,27.796054221569833,D,E,D,B,0
Both,B,-95.79003346430656,-178.54597830545706,E,B,D,D,0
Both,B,-20.893522787164816,-79.38414200751092,B,C,D,A,1
No,D,23.225877035334214,18.87573343439971,A,C,D,B,0
Both,D,109.57682277419039,-5.759925701938611,B,D,A,C,1
Physical,D,-16.494386759557422,-97.34071864408926,D,A,B,A,0
Both,E,-9.578886446534682,33.96314305212712,D,C,A,C,0
Both,E,-19.42416899589846,-75.23507467569995,B,C,B,E,0
Mental,E,-54.22606806268173,43.700785147646684,B,D,D,E,1
Both,A,-149.28719907534526,218.01995273738873,A,B,D,D,0
Mental,E,-9.799355430241057,87.66316489773712,B,A,C,C,1
Physical,A,167.1787588532428,3.3560148057043784,A,E,E,D,0
Both,A,166.39855939851776,46.640587822151154,B,B,C,C,1
None,D,152.7388129595393,-29.532091529367083,D,E,E,E,1
Mental,C,10.24746486550408,224.4084176113188,A,D,C,C,0
Yes,C,-49.174684259513334,-90.78910304765806,B,B,D,C,1
None,A,-214.92631807817006,98.08052401396083,B,C,A,C,1
Yes,B,17.097099904187715,149.66804782875343,E,B,B,C,1
Yes,A,-184.31017934772586,-51.813586716764426,B,C,A,D,1
Mental,D,-25.839338563161757,208.7278456036555,C,C,A,C,0
None,C,104.66708189415942,-23.958240074748964,C,C,D,B,0
None,A,-96.26498223518485,146.41849853796558,C,B,C,C,0
No,B,-116.87590333389657,59.9491399353232,E,B,E,C,1
Physical,C,37.40791469178633,-104.15875209617404,C,B,B,C,1
Both,A,120.84005198509959,91.68273886436451,A,A,A,E,1
None,B,-286.0790422192573,217.6038802086624,E,C,D,D,0
Physical,C,-137.196514983437,-47.72009255809409,D,E,C,D,0
Physical,A,-115.46127070357181,-51.16871002555894,B,C,E,C,1
None,B,-0.5059593706747494,115.00131906194187,D,E,B,B,1
Both,C,-121.58007703526236,128.41615824471074,E,B,B,C,1
Physical,D,8.279860941716784,-4.0135979396316035,D,C,B,C,1
Mental,B,-72.666451928595,-173.04228037436934,B,B,C,E,0
None,A,-14.560804222466334,50.35996465846221,B,E,A,C,1
Yes,C,-125.21419077961204,-111.3993079984842,E,B,D,E,1
No,A,-23.883878670489082,-48.49214717682882,A,A,C,A,0
Mental,E,20.2900335862974,-63.053984737923884,A,E,B,C,0
No,E,-67.63614455243219,-20.682476896653217,E,D,C,E,0
Mental,E,52.99606148073155,-46.62752453446671,C,E,E,D,0
None,C,11.043723395965783,62.21606548276074,A,D,C,D,0
Yes,C,46.558823469805574,34.385311626806384,B,D,A,E,0
Yes,E,27.370371089834457,277.3657842500581,C,D,E,B,0
Mental,C,-76.89529094726485,-75.50207159170327,D,E,B,E,0
Yes,B,-20.394636753725777,-84.05272403869024,E,D,C,E,1
Mental,B,105.88425811824858,-17.7912450672831,B,C,D,B,0
None,D,-85.9473389996037,52.58709063590563,D,B,D,D,1
No,A,-35.39111707709378,128.2279308350972,D,B,D,A,1
No,E,38.88032774368176,-14.511756927341905,D,D,C,A,1
Physical,B,-5.367767726454184,-25.33368630987955,E,D,E,C,0
Physical,B,-133.89283266709364,-49.06219824068034,D,D,C,C,1
Yes,E,73.77090075337077,-139.75714281781802,D,A,C,E,1
None,E,62.59174740176589,-119.6139800630149,A,D,D,C,1
Mental,E,-24.70374961890404,-92.58758995678171,C,D,D,D,0
Mental,C,-87.22448793707454,-152.79450191646185,D,B,D,C,0
Physical,C,121.92629860691781,163.48522182206122,C,D,D,B,0
Yes,C,104.6559178572511,136.811520362181,A,C,A,D,0
Both,C,-21.794563393236956,30.637785360937464,B,A,A,C,1
None,B,-125.49344173053312,-110.48327153676686,B,A,D,B,1
Both,A,-108.57599128551949,-52.755489552516266,A,C,D,C,1
No,A,-68.05123745745333,26.05128702388396,D,D,A,B,0
None,D,-33.52099321221605,-28.822436524307538,B,A,A,B,1
Yes,E,40.047981898003364,75.26538391829048,D,C,C,D,0
None,A,37.710923695005576,-22.981697813027147,A,E,B,A,0
None,D,-25.148351744023532,89.47757034473504,C,A,E,A,1
Physical,B,8.376114008848813,73.70890520624418,A,A,A,B,0
Both,B,-83.48793801263952,-59.940302793804065,A,D,D,C,1
Mental,D,-7.851374843003517,31.287134557803874,E,E,E,B,0
Yes,B,-61.54012385244545,-22.10274503662782,B,B,E,B,1
No,D,83.8530106424657,77.39957963640069,A,D,A,D,1
No,B,-27.162141252699385,-109.10515386918414,A,E,B,A,1
Yes,C,33.44619331897914,51.78749748335084,A,E,D,B,1
Mental,A,160.20067185425822,-18.310896631854547,E,B,D,A,1
Yes,A,-204.8607105550738,-132.5095034262713,E,E,B,A,0
None,A,114.10143379587738,-62.55091312262103,D,A,C,B,0
No,B,82.60296729907581,32.227536304479585,D,E,B,A,0
Physical,A,150.13183608325164,-75.3025447694889,B,B,E,A,1
None,E,99.83848486243298,258.4459504966482,E,A,B,C,1
Mental,C,116.10182286100768,171.641063866266,E,D,D,B,0
None,B,-25.39823144247759,-35.81046203470519,C,D,B,E,1
Mental,B,-62.23647192439841,-76.97021554966122,C,C,E,C,0
No,A,237.9049700013095,175.22882226008122,C,E,A,A,1
Mental,A,42.42406398816585,-31.361062093357223,A,C,D,B,1
Mental,E,108.12549590409293,-16.72165049544719,C,C,C,B,0
Both,C,-56.497705290708296,13.85743332051048,A,A,C,D,0
Mental,E,27.50869871356474,-25.999621927702883,E,C,C,B,0
No,E,159.83162732087203,-144.78436963201364,D,C,E,E,0
Yes,B,-33.933728235543654,-104.11600988681545,C,A,C,A,0
No,E,11.92987607265305,-66.82044950391146,A,D,A,B,1
Physical,B,-87.72234806820217,-50.90198100963629,B,C,E,D,0
None,B,14.648586450843334,80.24777102870077,B,D,D,B,0
Yes,C,-175.73000735641918,-51.598901202045035,B,A,E,C,0
Yes,D,-166.58058432125367,-43.31364533358248,C,D,B,D,0
None,A,-173.48778469308053,147.93129032726168,B,D,E,B,0
Mental,C,-32.13834277255777,89.01207586966126,D,A,B,B,1
Physical,D,-148.33628731650646,-90.80756728322338,B,C,E,B,0
Physical,D,-232.59752241551445,-56.325235661914604,C,E,A,D,1
No,D,-102.8002915324112,37.32120921657781,A,A,B,B,1
No,B,-108.83511386782988,67.45731213730352,E,E,E,B,0
Yes,A,-152.5488358376633,-36.30651009786471,D,B,A,D,0
None,C,74.58019021756617,-27.605698850931766,E,B,D,A,0
None,E,25.613964131920184,146.32223838529612,D,E,D,D,0
Physical,A,-109.24003866319329,106.50275714086641,D,D,D,B,1
Mental,A,-0.3763951177474081,15.238070351320196,A,D,C,B,1
Physical,D,37.7085249825867,-89.35804292734223,A,B,A,A,1
Both,A,3.79559959532192,-52.387879150766295,B,E,E,E,0
Physical,B,-224.73449561667587,36.55782101814765,D,B,A,C,0
None,A,-48.02544479054578,15.557141646415198,A,A,C,D,0
Yes,B,19.128679703682057,185.28423696234023,E,E,D,E,1
Physical,A,64.91989991936097,163.15209410800438,B,B,B,C,1
Mental,B,217.98751551863572,-1.2637358727116572,D,A,D,E,0
Both,D,-75.62266738538572,116.72803195573881,D,D,D,B,1
None,E,70.34524526745795,-37.849920327971915,D,E,C,A,1
None,E,143.21843698144798,38.52912610585516,E,B,C,B,0
No,B,31.82703170755556,-150.8295383304941,A,A,C,D,1
Physical,E,-1.336691788331795,29.727313137352944,E,E,C,B,0
Yes,E,-48.45816364893658,-143.9034401191267,E,E,E,C,1
