sexuality,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Heterosexual,Other,55.2058323494431,B,-13.015970914199675,B,E,D,B,B,E,55.39123972289314,199.80414261001062,-2.2197069993011906,E,1
Heterosexual,India,106.53214922619152,E,-19.749795734599005,D,A,B,D,B,D,62.12940730907096,17.970362153983764,-55.759227935135854,E,0
Heterosexual,China,58.40874168220538,D,-84.87356458592888,C,B,B,A,E,D,88.36831771241276,-37.17010945439361,-13.48471739130189,A,0
Other,Brazil,-159.70856277798703,C,-87.76864800041606,C,D,C,E,A,A,37.64830836385617,102.68066367038277,154.02083916559485,D,1
Homosexual,Germany,-50.93131140590241,D,128.84681674796127,B,C,D,E,E,B,-0.8941308403484193,47.30490607943783,-80.81194833705273,C,1
Other,India,-93.9043456111967,B,-322.5751462672227,C,A,B,D,A,E,-148.9803376673397,-35.02805095840872,-16.75129167834584,C,0
Bisexual,India,27.257327871051697,C,82.52951799596516,B,B,D,E,A,D,144.56933188771507,17.910106810486642,-122.80479743720369,B,0
Bisexual,China,-33.768141182968655,A,-90.57043680330445,B,D,D,C,B,B,-121.57124281662558,38.64333376796999,178.49994012345752,E,1
Homosexual,Mexico,1.707626177459582,E,27.30518510267479,E,E,E,A,D,E,127.68420818561354,79.86743543038759,74.72703849635896,C,1
Homosexual,Other,-11.862442682434459,B,-13.778970075739366,E,D,E,A,D,C,28.396615067873306,187.11760251675724,-138.9182690594588,B,0
Heterosexual,US,15.034383084789676,D,3.9538738679572667,C,A,A,B,D,C,75.16280030509253,209.29857394771454,-92.37704780673974,E,0
Homosexual,Brazil,-156.56142230900366,D,-51.772105409442105,B,B,C,D,B,D,4.209244082229128,31.510327290661294,20.504023017103027,D,0
Other,China,136.3494229350367,B,89.76351722514536,A,E,A,A,C,B,-79.32516570386669,-116.37421216731421,-54.92993603861006,D,1
Bisexual,Germany,14.548669982045464,E,-108.19811532748933,E,E,E,A,D,D,96.32608462749042,-38.56453630835047,-85.71160343401667,D,0
Homosexual,Germany,-96.47811825127037,B,-208.23419693267192,E,B,A,A,C,E,41.91179873518211,48.30959230855097,-3.7390925374889217,B,0
Bisexual,Mexico,177.03567298132054,A,-155.3605260963155,C,B,E,E,B,D,-54.31716350839109,-83.5447115438503,-50.75073052963294,C,0
Homosexual,UK,-7.465866286850374,E,214.28119681544322,D,B,D,D,E,A,45.97545987493208,-180.52343488150953,155.07501377568488,E,1
Bisexual,UK,-92.48950821559914,A,-152.36082866721225,D,A,E,C,C,A,-3.091171395482216,57.874411170342924,-77.79975398131441,C,1
Homosexual,UK,180.8471994490547,E,47.61886607853533,E,B,D,D,B,B,112.66643200362492,-41.25343506503118,-60.26516741546452,C,0
Heterosexual,China,123.90907278437824,B,32.60768355095025,B,C,E,D,A,A,55.60963485310113,-65.08438596126993,197.72159638122307,E,0
Homosexual,Germany,65.64085897218413,C,165.05166251529542,C,E,B,B,C,E,-80.6445023419834,-34.55688835546823,12.03767157837329,E,1
Homosexual,UK,166.680727097886,B,36.14666295465275,B,B,D,E,C,E,-76.5805704063763,-8.232296808637544,35.14070883201029,E,0
Other,US,7.989000079476048,C,-8.76527673683795,A,B,D,B,C,B,-48.57806332406815,77.70549811869975,47.87442208436847,B,1
Homosexual,India,-35.62199845070925,E,-94.38877585384535,A,E,C,E,A,D,-47.00236842329588,141.74738118980267,117.93708357371462,E,1
Heterosexual,US,97.67579632985142,E,59.12220417563935,C,B,B,B,D,A,-128.30187688444053,-57.044681992033176,101.52420979652202,B,1
Homosexual,US,130.5493275410962,B,-122.76626749795898,D,E,B,D,C,A,-76.63419503360092,-71.33606539415759,13.148623748436194,C,0
Homosexual,Other,-91.1491268429624,A,89.39632183648702,E,A,E,A,E,B,-13.862156739677319,-24.47677282285664,150.48924981624373,C,1
Heterosexual,Germany,37.922759673579954,E,-168.80528458413323,C,D,E,B,D,E,23.96599719385428,-3.4742739402179876,13.015117621707246,A,0
Bisexual,China,87.84671636609391,C,-119.58184695040788,B,A,A,D,D,A,-58.16167315711359,58.18543406431006,-85.81943556408844,E,0
Other,UK,11.92077995975466,D,-42.47593318418517,A,C,B,B,C,E,78.68318878507608,-163.761225844517,75.32387078917357,D,1
Other,Brazil,-83.25110182337895,C,141.94171475547222,C,B,E,E,C,C,-6.072767563998011,-108.17801864838317,-43.28888012997356,E,0
Bisexual,Germany,43.075773982747954,B,-194.57459293257938,E,B,B,C,D,B,-89.52393691512111,37.010127106333435,-18.730173065099827,A,1
Homosexual,US,89.30920699887193,B,160.7642281750532,B,B,C,D,A,D,45.75117347768017,-142.30507169114765,18.348423261790952,C,1
Bisexual,Other,69.4709904974994,E,120.62317494934283,C,C,A,E,B,B,-153.9346125738964,24.24473964751678,144.25461673809963,B,0
Bisexual,Other,28.10719716162275,D,-135.5569834242358,B,C,D,C,B,B,-171.44454087937677,-119.68353070707798,21.47667650908464,A,0
Heterosexual,Germany,6.663748723590122,A,64.71575997785554,C,D,E,E,C,B,1.090895114964301,12.858361099169302,-148.94377583269332,D,0
Other,China,-86.07745675627775,A,-75.29439955268712,D,A,D,C,B,D,-49.184942185206054,28.303041896174353,-58.86181647836389,B,1
Heterosexual,Mexico,49.01688265280418,E,207.94917731406773,B,D,D,E,E,E,32.62148291001174,20.205811973170363,-156.91421343869072,A,1
Heterosexual,China,2.4585961319485183,E,27.675373842057983,D,C,B,E,A,D,-48.60058712600205,42.91620200325466,182.97960212862125,B,0
Other,Germany,-143.60682212131684,E,50.73401858194841,B,C,D,B,C,D,29.893752238036946,89.04314991166987,-88.5986063758478,D,0
Heterosexual,Mexico,114.7603057671208,C,-37.95519158752804,E,D,B,E,C,C,7.009918637850538,149.31039864557945,46.37614801307977,A,1
Bisexual,Brazil,67.00949092393482,E,9.51458957080459,B,B,C,C,C,B,-45.58958847571625,-103.00388886700172,-9.7413540581882,C,1
Bisexual,Other,-140.87529025171227,A,61.504734518168966,D,B,D,C,C,E,-37.952571287863826,34.35243436619573,-202.59080961477355,A,1
Other,US,-110.99925635755253,B,-17.260528907265147,B,B,D,C,A,A,109.01389471944131,-124.65861743189153,19.270075171041857,A,0
Bisexual,Germany,29.978969585973992,C,33.34151640220443,C,D,E,C,B,C,47.370359137569146,117.69009888523492,7.270093044871951,A,0
Homosexual,US,-11.953729157400518,C,-24.215034375821975,B,E,B,A,D,D,21.46938619643076,130.3256182595463,-76.8332292055911,D,1
Heterosexual,US,-29.740093665910873,B,116.9455819574208,B,B,C,E,A,B,-178.0998426137576,177.46382035621994,-91.80222126091687,C,1
Other,UK,-12.89018240957181,E,114.31865177588023,C,D,C,B,B,E,-39.37220872604949,71.71310488847938,-32.31102147375883,E,0
Homosexual,UK,-55.9343398425375,A,-116.90774683493414,B,D,E,C,E,B,91.4972697883375,5.668897225749567,279.3471411448648,C,1
Other,Other,-138.39022079487478,D,-65.7398003981841,A,E,E,B,B,A,31.53239803631152,-90.25717725879582,47.79611846571095,A,0
Other,Germany,-61.230596968827044,B,-44.79098201477964,D,C,A,A,A,E,-71.72024956242518,103.98574310089374,-199.95554618950666,D,0
Other,Germany,93.88384146787732,E,-20.91056743694436,C,D,B,B,B,C,44.71902604047736,20.692275330618372,2.8497033531963756,B,0
Bisexual,Other,-51.20243259863009,B,63.87453963062679,A,E,B,A,B,C,0.06887500263440832,129.9249883657623,-111.24160909623295,D,1
Homosexual,China,44.92571023689436,E,-8.928029348786719,E,A,D,D,A,D,-114.435456274533,159.25115144029417,-26.723319876043554,A,0
Bisexual,India,-88.2428171625445,A,47.622033692543084,A,D,E,A,D,E,2.5112302633986405,-41.79784496045064,80.79641446189815,B,0
Bisexual,Other,-66.00224465938786,C,-199.9486308249719,A,D,B,B,E,A,55.30691845838168,32.35620841539778,-65.06153169523108,C,1
Homosexual,Mexico,174.20066876316105,D,-167.50164852210298,A,A,D,D,B,E,-64.45559541495544,-217.9833686943727,-87.8817670403291,D,0
Other,US,-99.65624667443687,E,-75.79892003935393,A,B,E,A,D,D,30.80958849188848,-157.6491792732453,18.515654771813253,B,1
Other,Other,23.096281026868084,D,-105.62271087485169,B,D,E,B,A,A,61.03072084101904,28.212618248519743,86.28768941243197,B,1
Heterosexual,India,54.09288130300063,B,-17.989875503868653,B,C,C,E,E,E,-100.76706362327104,23.58243240965728,5.7480618524655736,D,1
Bisexual,China,61.30530073111717,B,162.76264413815636,D,D,C,D,E,B,99.28937633130201,-115.44196065076349,-32.90246161596882,C,0
Other,Brazil,110.6687217910131,D,-108.94458004438555,A,B,C,D,A,D,-22.751053279033762,4.807760204032735,147.65941055892202,B,0
Other,Other,-90.1201994220003,B,27.018349951583588,C,D,C,A,C,B,-11.625286783557462,-71.18519152260454,-31.56798787850957,A,0
Homosexual,Germany,-123.67998263505609,A,115.17005558808367,C,E,B,D,B,B,32.25648572086144,106.52288412570026,150.50053441633017,C,1
Homosexual,Brazil,75.73896720341563,B,-84.0953143303272,E,C,D,A,C,D,1.2465547406629784,97.92667798271665,-63.77520551726531,E,0
Bisexual,US,245.48759600368143,B,-27.89347675596492,E,C,B,A,B,A,32.95408191449587,33.25777972678284,-78.67770120288597,B,1
Homosexual,Brazil,74.69367698974139,E,154.15904731466046,D,C,B,C,C,A,19.518231246571023,-32.12507786679403,79.09952543264832,A,0
Homosexual,Brazil,34.66411528768793,B,53.377202052827045,E,A,A,C,B,C,-169.5973519223876,49.09160125715602,154.77282845123966,E,0
Homosexual,India,-2.66132819055704,A,-84.52619543451686,A,B,D,D,E,D,-25.812087011072975,122.46243577907197,46.57623908243206,D,1
Homosexual,India,168.8738555642918,E,-101.40085428119987,A,C,E,A,C,C,-6.074622312849794,99.89022268628975,-67.42698390821687,B,1
Bisexual,Mexico,24.283214710207027,C,-214.61147316877955,C,C,A,A,D,E,82.61513408188529,-32.87958699026288,168.07463140943491,B,0
Bisexual,UK,23.726952291876476,A,-8.11510730728134,D,A,B,E,E,E,-35.3735804324795,-72.59116277109044,-86.4657913101259,C,0
Heterosexual,Mexico,-168.72568446450904,C,-144.51128171486974,E,E,D,D,B,D,-84.25500798734657,-161.33817303029767,-155.99383557465373,D,0
Heterosexual,Germany,-140.7146014492804,E,29.555800657695073,D,A,B,A,C,C,204.11185143648365,-107.631653628609,43.078536112440084,E,1
Bisexual,US,167.45769077121875,C,-61.991897542093255,E,D,C,B,B,E,-126.3957054318511,-19.88004825880203,-189.59723152028835,A,0
Bisexual,Mexico,124.4881256831968,B,-86.55467947794901,C,A,B,A,D,A,166.78402922134376,62.8568477764189,-94.51041349366504,B,1
Homosexual,Germany,79.90562440997032,B,-52.747479906719896,D,E,D,B,A,C,-48.671197616833204,-204.28524797273363,70.69967582690467,D,1
Heterosexual,Germany,82.94680827110068,E,0.9329414512722813,E,A,A,B,B,B,86.66030021064053,120.31534605536281,-23.164451167880337,A,1
Heterosexual,India,42.840497877272796,C,83.11392893968687,C,E,B,E,E,E,-8.467289830959126,-86.58100149771502,23.968228643529578,E,1
Heterosexual,Germany,29.16174756013527,B,-123.32992571382515,B,B,E,B,E,E,-155.96366722686878,-32.10554764158129,55.405925259962295,A,0
Heterosexual,Brazil,182.34950423261353,D,125.80946139350708,A,C,E,B,B,A,98.86634047792168,-16.33497673812213,-114.78976906021119,A,0
Homosexual,UK,65.0433114210467,C,33.07782492896633,A,B,B,B,A,C,-40.98374392808598,82.33591668879583,-42.83488952520146,C,1
Bisexual,Brazil,-22.234987365795433,E,-22.729670076677436,B,E,C,A,B,C,-80.3106581048913,98.63656163190231,-31.63520977773933,C,0
Other,Mexico,80.30931925583326,C,-29.04303262916835,C,A,C,E,A,E,-103.84058822752749,34.823495880715434,110.35200426343248,B,0
Heterosexual,China,114.95655965179499,E,-30.096630782862636,A,A,C,D,A,E,-76.86283542192717,-122.72660429598818,156.75491371063998,B,1
Homosexual,India,123.49145874196392,C,-70.57275691670661,A,C,C,C,C,E,-11.136025911869615,-7.03778268107156,-3.6182863535084464,A,1
Bisexual,Germany,-47.34420314553838,C,60.50779111247103,B,D,B,D,B,A,60.51300987910315,-221.37072266824313,-84.27264484718852,B,1
Heterosexual,China,120.83710340386253,E,-95.18853209421813,D,C,D,C,B,B,62.67277557781531,-35.616083615625,109.51406896331778,A,1
Other,India,33.35345322640998,E,-117.03442049488753,A,D,B,A,D,C,10.472101993237134,254.6673689732285,-89.34938471989136,E,0
Homosexual,Other,-51.416464325623856,C,36.38165191485177,A,B,B,B,B,E,56.63073865493543,-139.3227669937889,-118.1533272782449,C,1
Homosexual,US,-99.1851306231919,E,-172.67132472911396,A,A,A,A,E,C,-20.514651406198166,-166.86045414290788,122.95048075229629,A,1
Homosexual,Brazil,-69.9290756486037,C,-81.57634799466142,E,D,A,A,D,D,107.30593534320907,-21.95815032442991,85.97089598521343,E,0
Heterosexual,Brazil,-209.30417508128846,A,-66.99082978480881,A,A,D,A,A,D,62.53841996148057,-40.65891505846095,196.6098328813014,E,0
Other,India,-191.23949692218156,D,-72.01669337310904,B,D,D,A,A,A,-6.24086471526036,-77.61371938181222,105.1766669582246,A,0
Other,Brazil,49.22287575264821,A,81.56619229964134,E,C,C,E,A,B,32.77920351244794,-26.599348167833988,102.38909687716793,C,0
Heterosexual,Brazil,132.97048665568582,E,-36.19187555412956,A,A,A,B,E,C,-228.96431281636293,102.48358423164892,55.358755518444,E,1
Heterosexual,Germany,-37.369613234079495,A,0.047121794695947926,D,E,C,B,B,E,175.20774579683058,-4.474750240638166,20.300257771193937,C,1
Other,Germany,53.84183663621247,B,26.979302458033622,C,A,E,B,E,B,-128.1052699902102,-239.64918796249955,-152.86939255818467,B,0
Bisexual,Brazil,-154.29671489709466,B,13.379214367145615,E,D,B,E,A,C,-21.00068308812935,-54.73460242525454,-34.915550885768205,E,1
Homosexual,Other,171.1181304991833,D,142.24179083969184,A,B,A,D,E,D,-78.09557376225764,59.77833530635882,31.689557032783828,B,1
Homosexual,US,-3.4261347833523823,C,24.73124337622098,B,D,D,B,C,C,70.8144122360583,10.303053126727844,-47.27408669948373,D,1
Homosexual,Mexico,-26.758738045161266,D,-43.096211729663636,D,E,A,A,B,A,-132.68772944922662,-143.94911533104911,29.71990232006877,C,1
Homosexual,UK,-35.96644302964422,C,-187.50446121260768,C,B,B,B,B,D,-32.77689308169526,99.20842295818099,42.28659614151424,A,1
Homosexual,Brazil,5.832753360774995,B,-104.8626364224697,B,C,C,B,B,D,47.87774868569834,-71.82203214796405,-158.4073462491239,E,0
Other,UK,34.98051873934305,E,-29.523319181368578,A,D,E,B,C,E,-12.751837753739059,-69.82044721050185,-19.377974690835927,C,1
Heterosexual,Mexico,-84.94553199294079,B,-127.93371950115396,D,B,C,B,A,D,-74.22188517320994,-52.389697115449586,32.95408444488203,C,0
Other,Germany,100.06636829437142,D,-11.636880293088288,C,C,E,D,D,B,-58.42666805513106,22.883482029321474,-48.9802110209668,E,0
Bisexual,Brazil,14.755452271718939,A,61.06711741515055,D,C,B,A,D,B,-38.49930764707232,25.78196858384224,-47.150062046192005,E,1
Other,Brazil,0.16683817697319184,B,-56.64587686550979,A,B,B,D,D,E,-97.11264950261804,-267.0402248582017,-30.150089898912036,D,1
Other,UK,32.919051858759836,A,54.313710445223485,D,D,E,A,D,B,67.21539078576139,24.709810932635133,-75.78437160448138,A,0
Bisexual,Germany,-34.32158639342975,E,9.451069463690386,B,B,A,D,B,A,68.59139617617242,83.31921834819445,-112.57024898840777,E,0
Homosexual,India,35.99499570642807,A,-14.841561870727702,A,C,B,C,E,C,79.90378762799331,-78.45816630946815,210.50158294641156,C,0
Bisexual,US,52.809272009220734,D,-77.7777971542563,B,A,C,E,B,C,-144.433649890653,87.5847064433853,164.9452986211216,E,0
Homosexual,India,95.40748498742155,B,-36.366268548184735,B,B,E,B,D,D,-71.53269598399126,55.228439983900735,88.86019269291548,D,1
Homosexual,China,2.8353782142298765,E,56.95683198854715,D,E,C,D,B,A,-4.107186730184967,199.08465286432028,86.2147215791672,B,1
Other,Other,108.62435025791952,D,-131.05632894281175,E,E,E,E,E,A,126.4977402981948,61.246349774170916,-7.076869386986571,B,1
Other,Brazil,-120.68347758737048,B,58.528827361891665,E,B,D,B,A,D,131.62320804190284,52.236694930135705,38.68511467100137,A,0
Other,India,136.9242147922107,D,-72.01643167730323,C,C,D,C,A,A,100.78520506463893,-247.39615121658832,-15.127597454915753,E,1
Heterosexual,Brazil,-57.27020039832025,A,-237.60373633868963,D,C,E,D,B,E,42.09109210455158,-179.4639903997006,7.422866084667763,C,0
Bisexual,Mexico,112.91187666853335,B,-45.76776444011071,B,B,C,C,E,A,21.902730790716273,71.86956623626935,-37.31463760376143,D,1
Bisexual,India,-19.431273077168008,B,90.70907333640339,A,E,D,C,C,E,13.257065889217614,17.317189403007244,-134.26964560464106,E,0
Other,UK,114.77711770127709,A,52.72211539872842,E,A,D,C,E,D,147.88471945516406,217.93998993288164,54.90943249245378,E,0
Heterosexual,Brazil,-100.62438481988542,B,94.19572455647639,E,B,B,C,B,A,-85.72783892201397,31.195291515534258,-87.55609515412394,D,0
