married,feature_0,feature_1,feature_2,feature_3,feature_4,target
Divorced,D,C,C,C,12.65705246311231,1
Divorced,B,D,E,D,-10.560920873616926,1
Divorced,D,C,A,B,-137.73164059012691,0
Widowed,B,E,E,A,-45.50882557389424,1
Married,D,D,D,D,7.835096017178047,0
Widowed,E,D,B,E,-46.02549271233591,1
Widowed,C,D,B,A,31.451755088773396,1
Divorced,E,E,D,E,226.24731061062704,0
Widowed,D,D,E,E,47.37214245591119,1
Widowed,C,A,E,C,19.823863388244447,1
Married,D,A,D,E,102.82800753203618,0
Divorced,A,E,B,D,55.60394896214795,1
Widowed,B,C,C,B,-15.526653444046792,0
Married,A,B,C,C,-76.95869358249861,0
Married,E,B,D,E,-57.66780721531934,1
Widowed,D,C,E,B,-51.767000609023015,1
Single,E,B,B,A,2.226336172680897,1
Married,D,B,B,E,13.85091420176522,1
Widowed,C,A,E,E,14.51529330224705,0
Married,A,A,C,A,41.26776294267534,1
Married,C,E,C,E,186.88668821694876,0
Widowed,D,D,B,E,-135.99415647728603,1
Married,E,B,D,D,109.10140275813391,0
Single,E,A,C,B,194.36845820673375,1
Widowed,C,D,C,B,33.39928779434324,1
Single,A,B,E,C,-45.06215059413689,0
Widowed,B,C,D,C,58.87932664707327,1
Single,D,C,C,B,147.45182735392302,1
Divorced,A,B,E,D,-62.82269271698123,0
Widowed,B,A,B,C,59.72052897934551,1
Married,D,D,E,E,279.56057762613324,1
Widowed,A,A,E,D,7.57439342617192,1
Widowed,D,A,D,D,-8.23119818074105,1
Single,C,B,C,E,-151.8818040687891,1
Married,D,C,D,A,7.244276514407315,1
Widowed,E,A,A,A,136.14168292878753,1
Married,E,E,E,C,-65.89068035866431,1
Single,D,C,E,C,-31.421974403758284,1
Divorced,B,D,D,E,113.6632634064043,0
Single,D,E,A,A,95.54539532826311,1
Widowed,B,A,A,A,30.23735089342764,1
Married,A,B,E,D,-82.78218389905444,1
Divorced,A,A,B,B,-19.03779303854783,0
Married,E,E,A,A,-44.29805353148333,0
Single,D,D,B,C,35.14827431519247,1
Married,A,E,E,A,77.0621346538954,0
Single,B,C,B,E,-161.36451937492637,0
Married,E,C,E,C,174.45740040817324,0
Single,B,D,B,A,144.7819400891478,1
Married,C,E,E,E,52.76550237663575,0
Divorced,E,D,E,D,20.03878386540958,1
Single,C,A,B,D,9.686201446636922,0
Single,B,D,C,E,-137.40439523059638,0
Widowed,D,D,E,A,74.35046709870889,0
Divorced,E,D,B,B,152.99733954348414,0
Divorced,C,A,B,C,46.4879275486974,1
Widowed,B,E,D,C,18.399027537440972,0
Married,C,D,D,E,126.16459030198222,1
Married,B,A,B,E,190.52950084566123,0
Single,C,E,A,B,42.05723732601315,0
Widowed,D,C,B,A,43.47785268357027,1
Married,B,C,D,D,133.133244813736,1
Married,E,C,D,B,80.86052511049299,0
Widowed,B,B,A,A,236.84866158100758,1
Single,E,C,E,C,-69.03111580720449,1
Widowed,A,E,C,C,129.2555476351775,1
Single,C,E,B,C,54.0772890947253,1
Married,D,C,E,A,-11.408795145507748,0
Married,D,C,E,B,120.7963576882457,1
Single,C,C,C,C,128.32602205377938,0
Single,D,B,A,C,61.13843098804148,0
Married,B,C,C,E,-23.102195793832294,0
Married,E,C,B,C,-30.63549984534648,0
Widowed,D,E,D,E,-127.7855312896087,0
Divorced,E,A,A,A,50.14284461481364,1
Single,D,D,A,E,21.545688358506425,1
Married,A,D,A,C,-82.16149474068807,1
Single,E,B,E,D,-239.10717165526347,0
Widowed,A,B,B,A,-26.64228531800902,0
Married,C,C,E,D,78.12059001222849,0
Widowed,A,D,E,A,-112.98739407137157,1
Widowed,D,D,A,C,78.64589235437892,0
Divorced,E,E,C,A,77.91668083853918,1
Married,A,A,A,A,86.33984976066932,0
Widowed,C,A,A,A,19.43901293471224,1
Married,E,B,E,B,41.87760578268443,1
Single,B,E,B,D,187.60724780035775,0
Married,B,B,E,E,-129.45218672065485,0
Married,D,D,D,A,83.64559907084445,1
Single,D,D,C,A,49.66657407716216,1
Married,E,B,D,C,133.35886297947758,0
Divorced,A,D,E,B,-189.68522524863266,0
Divorced,C,D,A,D,-74.689045136427,1
Widowed,A,D,E,E,-138.84767170859877,0
Widowed,D,E,B,C,-39.593004641768545,1
Widowed,B,C,B,C,-237.39991993266818,1
Married,D,E,E,D,81.46393908641701,1
Married,C,C,B,A,-180.31902160751284,1
Divorced,A,C,C,B,50.95484441296701,0
Single,D,D,C,B,102.20178734072366,1
Single,B,E,E,A,-68.57611817087633,0
Single,E,E,E,A,162.28542087336754,1
Widowed,B,C,B,D,73.37125752684615,1
Widowed,E,B,A,B,-119.30066285104661,1
Divorced,E,D,E,D,94.29252245329035,1
Single,C,B,C,E,124.31069541450763,1
Divorced,C,C,B,A,13.24279045441972,0
Married,A,C,E,D,-52.796798072843806,1
Single,C,D,D,C,9.290547980528627,1
Single,B,B,B,C,-119.1740123947229,0
Widowed,D,E,B,C,122.57858060883149,0
Widowed,D,C,D,E,-51.6115198355753,1
Divorced,A,D,A,C,-140.40802541837928,1
Widowed,D,E,A,C,156.45999172285312,1
Single,E,D,C,C,-8.03409794311472,0
Married,B,D,E,A,-13.480248042837703,1
Divorced,E,D,D,A,-71.84296758218137,1
Single,D,B,E,C,135.1115105696697,0
Single,B,A,D,E,27.280177964472486,0
Divorced,C,C,E,C,62.67702641219015,1
Married,D,C,D,C,181.18615728745158,0
Widowed,D,D,B,C,-116.45411055870689,0
Single,E,D,D,A,-197.39950725747713,0
Single,C,C,B,B,-22.426850744050455,0
Married,C,A,E,E,51.25026829925247,1
Single,B,D,B,D,-99.26765246877235,1
Married,A,C,A,D,154.56464955563948,1
Widowed,E,C,C,B,22.63872092032118,0
Married,B,E,D,B,-12.071938741865589,0
Single,D,A,E,D,-3.003957903575404,1
Married,A,D,A,E,4.4983627379134985,0
Divorced,D,A,A,C,96.63849172319719,1
Single,C,B,C,A,23.57715179022075,0
Divorced,A,D,A,B,7.6663706336413355,1
Divorced,E,D,B,C,-152.7285729468624,1
Widowed,C,E,A,C,-231.6091457200319,0
Widowed,D,A,B,C,-23.98359808009381,0
Married,A,C,E,D,40.88920862217278,1
Divorced,E,C,E,C,-247.42017169984356,1
Single,D,D,C,D,25.09373670415318,1
Divorced,E,C,D,C,76.58117316390958,0
Single,A,B,A,A,20.078500664902876,0
Widowed,C,A,D,C,71.84861976696581,0
Widowed,A,B,B,D,135.10079772238421,0
Divorced,D,B,A,D,72.49951238231662,0
Married,E,D,B,C,84.7950609009533,1
Widowed,D,C,A,C,84.54789915135842,1
Widowed,E,A,D,C,103.73680603815127,0
Single,A,C,E,A,57.53383544167352,1
Married,D,B,B,E,172.0333089504474,0
Married,A,B,B,B,118.17124167681689,1
Divorced,A,E,C,E,-49.99927791037083,1
Divorced,B,E,E,B,-41.75602545051631,1
Divorced,C,D,C,E,103.94878557311917,0
Widowed,C,B,A,C,-156.82272545057634,1
Widowed,B,A,E,E,-27.617654337235354,1
Widowed,B,C,C,E,-226.39422211739708,1
Married,E,C,A,A,46.92827506541018,1
Single,E,D,B,B,-239.39450761062645,0
Widowed,A,B,B,B,50.9585876409544,0
Divorced,B,B,D,C,-109.99783239623841,1
Married,C,B,B,C,-34.19531786272708,0
Single,E,C,C,B,17.25109272745497,0
Widowed,E,C,A,A,116.44498010960001,1
Widowed,A,A,E,C,-138.08628374068866,0
Married,D,B,A,E,-62.16074570735174,1
Widowed,A,B,C,E,-103.94926398517872,0
Widowed,D,D,E,D,-200.35955437698584,0
Single,B,B,B,E,-186.09323495879525,0
Single,A,D,E,B,112.67275439414921,1
Married,D,C,A,B,32.77808087806502,1
Married,E,B,A,A,-40.56461487399506,1
Widowed,B,B,E,C,-196.32096675944894,0
Married,A,B,B,E,47.04264700149328,1
Married,A,B,C,B,179.42911694107912,0
Married,A,E,A,B,54.2868188517453,0
Married,E,E,B,D,84.04290470925329,0
Divorced,A,D,E,B,-35.44459750849921,1
Single,E,E,D,B,-66.07744202935719,0
Single,A,D,A,D,109.49567361455819,1
Single,E,E,B,D,15.920011250075719,1
Divorced,B,D,A,A,102.19322607210538,0
Single,E,C,C,E,-22.849729135914522,0
Divorced,C,A,A,D,100.95844960574757,0
Divorced,D,C,C,D,-46.649760929470276,1
Married,B,C,E,E,80.67400446793994,1
Divorced,A,E,E,E,-75.97896923535646,0
Widowed,C,B,A,B,-20.164087240428195,1
Married,B,D,A,B,117.11889283988768,1
Single,C,C,C,D,108.65745971396686,0
Single,C,A,A,E,-8.876033894212732,1
Single,B,B,A,C,-25.7139184906086,0
Married,D,D,E,A,-21.240052104940446,0
Single,C,E,D,A,-128.81944225682426,0
Divorced,C,A,C,B,132.62738664064523,0
Married,C,A,A,E,111.75528433040567,1
Widowed,A,A,C,A,96.88294923399027,0
Single,A,C,B,E,-11.763435706600486,0
Single,C,C,E,B,28.76945126361517,1
Married,D,A,E,B,81.66207467474904,1
Married,B,C,B,A,-41.96024996968828,0
Married,D,A,B,A,32.6151635684587,0
Single,C,E,D,A,100.48305203640982,0
Divorced,C,A,A,A,36.15019857026012,1
Widowed,E,A,B,A,32.27044960893431,0
Married,B,C,E,D,-44.65974128310632,1
Married,A,A,C,D,135.83283784000443,0
Widowed,C,A,E,D,-44.42223359935068,1
Married,E,A,E,D,74.79820109113696,1
Single,D,E,D,C,74.20976550916636,1
Married,D,E,E,B,34.32874428273154,1
Widowed,C,D,E,E,77.97638094703773,0
Single,D,C,A,B,-18.81464272412425,0
Single,D,D,E,A,-114.76777303667501,1
Married,C,B,E,C,-1.240378113763682,0
Widowed,B,A,B,C,133.06904929977225,1
Divorced,E,C,A,B,-44.289551308308866,1
Married,E,B,C,C,-28.676594087385492,1
Divorced,A,D,B,B,17.47470912214025,1
Married,D,B,B,B,-88.43747519559577,1
Divorced,B,B,B,E,-139.85910581043584,1
Divorced,D,D,E,B,0.6519986286430535,0
Widowed,E,A,D,D,-64.46722988220303,1
Married,B,B,C,A,67.94852013417888,0
Widowed,A,A,D,A,-54.81626698778571,0
Single,C,E,E,B,9.357262038138451,0
Divorced,E,D,D,E,-77.98912691666084,0
Widowed,E,D,E,E,-144.8570371886446,0
Widowed,E,B,C,C,-22.33869427543537,1
Single,D,B,E,B,99.25678911894963,1
Married,C,E,E,B,-74.15417541470667,1
Widowed,A,C,A,D,78.65367059775289,1
Single,D,C,B,E,89.52381490221767,0
Divorced,C,C,A,B,-72.21219828068492,1
Married,C,D,D,B,-79.28570082891441,0
Single,C,D,B,B,16.770016445384915,0
Divorced,B,A,B,B,-40.89228132607426,0
Widowed,B,B,B,D,-0.30006949703411956,1
Widowed,D,D,D,C,-33.7327313804801,0
Divorced,B,C,A,C,-85.2320602531405,1
Divorced,D,B,E,A,-21.25340408051644,1
Widowed,D,A,B,B,106.95981690368583,1
Married,A,D,C,B,139.7804204338521,0
Single,E,C,B,C,-163.77004865125897,0
Divorced,A,C,A,D,35.07578354816964,0
Married,C,B,B,C,-132.1971703702659,0
Divorced,B,E,A,E,141.46351315499882,0
Single,D,D,C,C,158.16467906962774,1
Divorced,C,D,C,B,129.478820263812,0
Divorced,C,B,D,E,75.07640161480555,1
Married,B,A,E,E,14.440891365997876,0
Single,C,A,B,C,52.033586979587994,1
Single,D,C,B,E,-215.15656845322448,0
Single,E,B,A,D,-175.78991062365253,1
Married,C,D,C,C,-62.65517705877171,1
Single,A,A,D,B,32.5250859117023,0
Widowed,A,B,D,C,-59.48085867927596,1
Divorced,A,D,C,C,-80.82666398248269,1
Divorced,A,D,D,D,57.06578131221687,0
Single,D,C,C,B,20.971346194601566,1
Widowed,A,C,E,B,-139.9645166862342,1
Divorced,A,A,E,C,-48.909631577342466,0
Single,A,E,A,A,-161.5078110671729,0
Divorced,D,B,A,B,97.4181522269132,1
Widowed,D,C,D,B,5.232759407541433,1
Divorced,C,E,B,A,106.9494418576199,0
Divorced,A,C,B,D,-225.57754083672208,1
Single,B,D,D,D,-27.953019183396954,0
Single,D,D,C,B,42.70170749447696,0
Divorced,C,B,C,A,42.390614149148426,1
Single,A,B,D,E,-12.843479301792094,0
Single,B,A,B,C,-0.7304500567172555,1
Married,E,E,A,E,12.604467056291266,0
Divorced,A,C,D,C,-38.3510545590667,1
Married,D,A,A,D,82.8368042667137,0
Widowed,C,B,B,D,118.99844695182166,1
Single,A,B,B,E,-40.795648959416,0
Divorced,B,E,D,A,-88.4456468185056,1
Widowed,E,A,B,B,-32.03432388053575,1
Married,A,A,B,C,-42.67675446089594,1
Single,B,E,D,B,-213.3862364001974,0
Married,C,D,B,D,87.89963967369935,0
Married,C,C,B,C,35.64158238584978,0
Widowed,D,B,B,E,180.1160036111763,1
Married,E,E,A,A,81.91478364112076,0
Single,E,D,D,D,-106.52167817583653,1
Married,A,B,C,B,131.54335520801,1
Single,A,D,E,D,-13.198617479441454,1
Married,C,D,C,E,54.27548806984781,0
Widowed,D,A,B,E,-138.62292677217678,0
Divorced,C,B,A,E,79.75754363214602,0
Single,A,B,A,E,49.23034765087469,0
Single,A,D,B,D,102.87623774151426,0
Divorced,D,E,B,C,-50.89916404712266,0
Widowed,C,A,B,A,-17.725365580551642,0
Married,A,A,A,E,164.65988365613467,0
Divorced,E,C,C,B,49.08476699014758,0
Single,A,A,A,E,147.08286278258075,1
Widowed,E,E,A,E,73.5175955647695,1
Single,C,D,B,A,-177.53160683740577,1
Widowed,E,D,E,E,-5.164407666371041,0
Single,A,E,B,B,100.83595232377296,1
Widowed,D,A,B,B,-84.92842437955684,1
Single,A,E,E,C,-68.23074891860185,0
Divorced,C,A,E,D,-18.35407761561955,0
Married,A,B,D,C,-70.42191107291798,1
Divorced,C,B,D,B,67.35311821833541,1
Widowed,E,B,B,A,-109.98151187374799,1
Married,D,C,A,E,-28.203728458911836,1
Widowed,D,B,C,D,67.17715646519771,1
Married,C,A,E,B,35.867459039050594,1
Single,E,D,E,E,-62.5058819891356,0
Widowed,D,A,D,B,44.986991023037945,0
Widowed,B,A,A,B,-20.4944814578133,0
Widowed,B,E,B,B,-48.686904534503775,0
Widowed,E,C,B,B,-14.386617195061962,0
Divorced,E,C,C,E,99.67215716032986,0
Married,E,C,A,A,193.40862823641993,0
Single,E,D,C,A,-72.9161670689775,0
Widowed,C,C,A,B,90.22372749463108,0
Divorced,A,B,D,C,-44.41904791379645,0
Widowed,A,E,D,A,15.487408868356207,1
Divorced,C,D,E,D,125.9819245516447,0
Widowed,A,D,E,E,32.63633066891592,0
Divorced,C,A,B,B,28.02003418349995,0
Single,E,C,B,A,-74.53471792401476,1
Divorced,C,B,E,A,-54.670145147205574,1
Widowed,B,B,D,C,81.56157001317072,1
Widowed,A,E,C,C,-121.10263099760985,1
Married,C,C,B,C,134.9991255038046,1
Divorced,A,C,D,A,-112.44748283220676,1
Widowed,C,E,C,A,77.72516714524274,0
Divorced,D,E,E,A,2.3926325219915756,0
Divorced,C,A,B,B,-136.0026222936516,0
Divorced,D,A,D,D,82.25824145773582,1
Divorced,B,C,E,B,140.89928864009536,1
Married,D,E,A,C,-34.58870171000403,1
Married,A,E,B,A,50.92240773921325,0
Married,B,E,D,E,-168.76559165152509,1
Widowed,B,B,A,E,-66.50054340596651,0
Divorced,A,B,C,B,-18.015946119625596,0
Widowed,A,C,B,C,-16.76690882535511,0
Married,A,A,D,E,111.52532172726335,0
Single,B,D,E,E,52.416550393695026,1
Married,C,A,B,B,63.93616426895827,1
Widowed,C,B,C,B,94.97438514969791,1
Married,A,C,D,A,1.8239908054199812,0
Married,A,D,E,E,-108.14623905647895,1
Married,C,A,E,C,-26.372996775883262,0
Widowed,D,A,E,B,-130.22398123511095,0
Married,D,D,B,A,-63.37578087625353,1
Divorced,E,A,C,A,-128.01323560355337,0
Married,C,B,A,C,-57.575928104289694,1
Single,C,D,C,A,86.5119480332272,0
Married,B,A,B,A,-150.3218986190215,0
Married,C,A,D,C,171.19582426846767,1
Married,B,E,C,E,39.01212022117831,0
Married,A,A,C,D,249.80438732708788,0
Widowed,C,A,E,D,-80.79938437745415,1
Married,C,A,A,B,198.51197935336407,0
Widowed,B,C,E,D,114.05997241084773,1
Divorced,E,A,C,E,129.26310664134516,1
Married,B,C,E,C,98.72280388216261,0
Married,A,A,D,E,70.98461567496543,1
Divorced,A,D,C,E,68.73460982067672,1
Single,A,E,D,C,71.98691977023948,1
Married,A,C,B,C,-133.9232743972919,0
Single,D,C,A,D,-53.283447371693946,1
Married,B,D,A,D,23.084298955899627,1
Married,D,B,C,B,15.610508169876045,1
Widowed,C,A,D,B,-47.44822618674263,1
Widowed,D,C,E,C,-47.43016966957729,1
Single,D,A,E,E,-31.717829628235535,0
Single,D,E,D,D,20.91281495303943,1
Married,A,E,E,B,50.300567090853235,1
Single,B,B,C,C,17.739730971622283,0
Widowed,D,E,B,D,72.26648636612956,0
Divorced,C,D,C,B,162.48121631027203,0
Married,D,E,E,B,-100.29716266211804,1
Widowed,A,C,B,D,-19.043818364950667,1
Divorced,A,C,B,C,-115.48459008533175,0
Divorced,C,B,E,D,-120.35799577068612,1
Married,B,C,C,E,10.955099464603059,0
Widowed,A,D,D,B,-127.14971634600005,1
Widowed,D,D,C,C,-92.0080986671222,1
Widowed,E,C,C,B,-30.03314419195019,0
Married,E,A,D,D,-64.81478544468466,0
Single,E,D,E,E,-87.79891613722025,1
Single,E,E,B,D,-142.93502179101105,0
Married,B,D,E,A,-196.7198253724885,1
Widowed,C,A,A,C,-78.0912924466485,0
Divorced,C,A,B,E,-153.17077799716,1
Divorced,D,E,B,C,144.53784363393433,1
Married,C,E,E,B,-136.12855326833514,0
Widowed,D,C,C,E,34.182496313438115,1
Widowed,B,B,B,E,-156.28261723924737,1
Single,C,A,D,B,142.33496092343984,0
Widowed,C,B,C,C,115.09597585588797,1
Single,A,E,E,C,-174.01052929364673,1
Widowed,C,C,E,A,56.94667935278495,1
Widowed,B,D,B,C,-151.81895264793235,0
Single,E,A,B,E,-19.945436676310145,1
Married,E,E,E,E,-47.638484255396754,1
Single,C,A,B,A,89.69183101911983,1
Divorced,C,E,D,B,-199.59259897053533,1
Widowed,A,C,A,A,10.852412923948064,1
Married,A,E,C,C,153.55546811962068,0
Single,C,E,D,E,-30.42569896246202,0
Married,D,A,D,D,-147.96788498050034,0
Married,C,C,B,C,-98.85103901434367,0
Divorced,C,A,A,E,-16.640743647444282,0
Married,C,C,B,B,-155.0476045125682,0
Divorced,D,A,C,D,82.3399156976858,1
Divorced,E,B,E,C,93.39932005102976,0
Widowed,E,E,A,C,-82.77242615830987,0
Widowed,A,B,C,E,-30.45925248498142,1
Single,E,E,E,D,4.231263096588302,0
Divorced,C,C,E,C,-54.38684529652122,0
Single,E,A,B,E,-89.1939827307668,1
Married,A,E,E,B,21.58754570688781,1
Widowed,B,A,C,B,4.291148667376731,1
Single,B,A,B,D,132.65915317989132,1
Divorced,E,A,A,B,-131.9386963642845,0
Widowed,C,E,C,A,101.34120178867536,1
Widowed,D,A,A,B,19.018231350603386,1
Divorced,A,C,D,D,-109.08966066993054,0
Widowed,B,A,E,D,-7.436082969289758,0
Single,E,C,E,B,125.5449794120032,0
Single,C,A,D,D,-34.03664515738793,1
Widowed,A,B,B,B,-9.642322604918057,1
Divorced,A,C,E,C,-86.48892673255475,0
Single,A,E,A,B,116.83929860596385,1
Single,C,C,A,C,-127.9799453619859,0
Widowed,A,C,C,C,42.77521651930923,1
Divorced,A,C,B,D,132.58948831589424,1
Divorced,A,A,B,B,-72.32836928793273,0
Married,D,E,E,B,92.80390087142692,1
Divorced,A,D,B,B,-293.3112325211394,1
Widowed,A,A,E,A,2.524059703608445,1
Single,C,E,C,A,100.36166025698599,1
Married,B,D,D,A,-42.55204755158831,1
Divorced,A,C,A,E,171.06095466173306,0
Married,B,D,D,D,-28.157359890249793,1
Divorced,E,C,C,E,2.371548905795336,0
