religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Jewish,E,A,C,E,B,C,D,-75.84878537878147,1
Buddhist,E,D,C,E,E,E,C,230.8009529136883,0
Buddhist,A,C,E,B,A,D,E,-56.69781529721008,1
Hindu,D,B,E,D,A,A,B,11.335022890030956,1
Other,C,A,A,C,B,D,A,33.49935567189743,1
Jewish,B,B,D,C,E,E,E,-94.14752998605131,1
Buddhist,E,A,B,A,E,D,A,-96.62374299386572,1
Jewish,B,E,C,A,A,D,A,39.61643329868802,0
Buddhist,A,E,B,C,D,D,B,-20.800104523914715,0
Christian,B,B,B,E,D,D,B,65.99005081261002,0
Muslim,A,A,D,A,C,E,C,3.9497993697482947,0
None,E,E,E,D,B,B,A,-150.15822058972336,1
Hindu,E,A,D,C,A,A,C,18.276426210770644,1
Buddhist,B,B,B,C,C,D,C,-105.84542981510732,0
Buddhist,A,C,B,C,B,B,B,14.267296657807027,1
Christian,B,E,A,D,A,D,D,-19.88904377409404,0
Jewish,B,B,C,E,D,C,B,-75.40861879776033,1
Christian,B,E,A,C,A,E,A,30.765038170954305,0
Other,A,E,B,A,C,E,C,178.95498061026902,1
Christian,B,D,C,C,A,D,C,-95.44452861072078,1
Hindu,D,C,A,E,D,E,B,14.240488253363779,0
Hindu,B,C,E,C,C,E,E,-61.033326894825194,0
Christian,C,A,C,C,A,D,B,-71.40706435091461,0
Muslim,E,B,A,C,A,C,A,-171.04167993678442,0
Muslim,C,D,A,E,D,B,C,46.95350190401811,0
None,A,D,A,D,E,E,B,-37.003093296557964,1
Muslim,D,E,B,C,A,A,A,33.715611643177404,1
Christian,D,B,C,A,C,B,C,-27.75343247683072,1
Christian,D,D,B,E,A,E,C,-155.2778297395371,0
Buddhist,E,D,E,C,A,C,D,7.816913073976699,1
Buddhist,C,A,E,A,E,A,C,126.99382546199249,0
Christian,A,A,A,D,C,A,C,53.435800202001204,0
Hindu,E,E,D,B,D,E,B,-11.712055023149068,1
Buddhist,A,C,D,E,D,D,D,-172.17938380737417,1
Other,E,D,D,E,C,D,B,-92.91818774661229,1
Hindu,C,B,B,A,A,C,D,-148.9645615192597,1
None,B,A,C,A,B,C,C,24.55779410409041,0
None,C,B,B,D,D,E,C,-117.30332846502971,0
None,B,D,D,C,B,D,A,22.77099034440661,0
Buddhist,C,E,C,D,D,D,B,-61.711288423587916,0
Other,D,C,E,A,D,D,B,57.714835508631765,0
Christian,A,B,B,A,E,E,E,-2.74084377507132,1
Buddhist,B,D,E,C,B,D,E,-64.6585109894503,1
Jewish,E,B,A,D,A,C,D,63.26176649788751,0
Hindu,E,D,D,B,A,B,C,12.470946589862303,1
Buddhist,C,C,B,A,E,A,E,-13.386811212980229,0
Buddhist,C,D,A,E,B,C,C,243.37512662199444,1
Christian,E,B,E,B,E,D,A,-41.791092315496655,0
Other,E,D,B,A,E,B,A,-129.85433986122416,1
Other,C,C,C,C,A,E,B,-8.319014994431761,1
Hindu,D,E,C,E,C,D,C,56.73088461506286,0
None,B,A,A,D,A,E,B,34.86973729403355,0
Muslim,B,C,B,D,C,D,C,-66.00403628523806,0
Hindu,B,B,D,B,E,D,A,-39.1649381868491,1
Christian,B,A,C,E,A,C,A,48.52872027085663,0
None,B,E,E,C,C,A,D,124.2139868404919,1
Christian,B,A,D,A,A,C,C,-223.93612896739646,0
Jewish,A,A,D,E,C,E,B,-31.861032487056296,1
Other,A,B,C,A,B,D,E,188.04041778596738,0
Buddhist,E,D,A,A,D,D,D,40.08478020011328,0
Muslim,E,A,A,A,A,B,E,87.87790564665411,1
None,C,E,C,C,D,B,C,56.781677072142045,0
Other,D,B,C,B,E,A,C,92.56825258498989,1
Christian,A,A,A,A,C,E,A,13.426437346837524,0
Hindu,D,C,E,B,C,C,D,71.85500195560108,0
Buddhist,C,E,C,B,A,D,A,131.76612475812908,1
Buddhist,C,C,E,D,B,E,E,86.60501026231647,0
Jewish,A,E,C,B,D,C,A,-160.86019662441223,0
Muslim,A,E,A,D,A,D,A,60.157007870612134,0
Other,D,A,C,C,E,B,D,117.73445146208046,1
Jewish,B,B,E,C,C,C,E,65.8358879347362,0
Muslim,C,E,D,A,E,E,C,24.365348848457685,1
Other,A,C,D,B,A,C,C,-43.3774558095941,0
Christian,B,B,E,E,B,A,B,14.827378981993004,0
None,D,C,D,E,A,A,E,10.145255536000631,1
Other,A,E,D,E,D,A,E,-48.90469303836511,0
Jewish,C,E,A,B,D,A,A,-205.42673362632078,0
Other,E,B,B,E,E,E,C,100.1087050126852,0
Jewish,C,A,E,B,C,E,A,150.2497816195766,1
Other,A,A,C,D,B,B,A,-37.56999386832625,1
Buddhist,E,A,C,E,B,E,E,102.11108035789323,0
Buddhist,A,C,C,C,D,A,C,127.45356260217646,1
Jewish,D,B,C,D,E,C,A,12.65245145704441,0
Other,A,C,C,E,D,D,B,-105.99775234364725,0
Jewish,E,B,A,B,C,A,E,23.284903523918516,1
Christian,C,D,E,E,E,A,D,-62.94685179221702,0
Other,C,B,A,B,D,A,B,-148.74015902553614,0
Jewish,D,C,E,B,A,E,D,21.00400487783844,0
Jewish,A,C,D,C,C,E,C,-21.833067683446554,1
Muslim,B,B,C,C,A,B,A,-102.9636449376886,1
Hindu,D,D,D,B,E,C,B,-108.89798798689765,1
Hindu,D,A,B,A,A,A,A,94.91734249514815,1
None,A,B,D,C,E,C,B,-137.10954597064662,1
Hindu,D,B,D,A,B,B,B,2.752048548168889,1
Christian,B,C,A,C,D,B,A,189.80125289604032,0
Other,A,C,D,D,D,B,D,83.97517243069002,0
Muslim,D,D,B,D,B,E,C,49.53908875274569,1
Buddhist,C,D,A,D,D,E,A,156.43941576885484,1
Muslim,D,A,D,E,C,C,B,-243.47389902019526,0
None,D,E,B,A,A,D,C,79.39610923231501,1
Hindu,C,D,E,B,A,A,E,339.39879001181623,0
Buddhist,B,D,B,A,E,A,D,-227.62341395225883,1
None,B,B,A,D,C,A,A,-101.20762366269804,1
Hindu,E,D,A,B,E,E,B,-4.9054586149347665,0
Muslim,A,D,C,D,D,A,A,-112.41803744730632,0
None,C,C,B,B,D,D,C,-183.26967224348854,1
Jewish,C,C,E,E,A,C,E,63.791723614302555,0
Other,B,E,E,A,B,D,D,57.40586526994501,1
None,C,D,A,A,C,B,D,-18.800866586362456,1
Muslim,D,B,A,B,E,E,A,-126.21158801274694,0
Christian,A,A,C,A,D,E,D,59.655242965442646,0
Buddhist,E,A,A,C,C,D,B,-72.52809205348737,0
Buddhist,D,B,C,B,B,B,B,-94.69020006877625,1
Hindu,B,A,B,D,E,C,E,-21.54675636486494,0
Other,B,D,D,D,B,C,B,19.467993910055146,1
Muslim,B,C,C,B,A,D,A,1.2836433946955603,0
Other,B,C,D,E,E,C,E,-300.5440354722234,1
Other,B,E,E,B,A,D,B,22.29076205492958,0
Jewish,C,D,A,D,C,E,A,-163.859827663063,1
Jewish,C,A,B,B,B,D,E,-0.279957310232415,0
None,A,B,C,E,E,B,B,-38.14945875491593,0
Jewish,E,A,D,D,B,C,E,94.52802849299044,1
Jewish,E,D,E,A,B,B,B,-135.6193806853217,1
Muslim,B,C,E,C,D,B,A,159.62154649462903,1
Buddhist,D,D,E,E,B,C,C,39.86190485087383,0
Hindu,C,D,C,B,C,D,E,-29.603829003185595,1
Christian,D,B,B,C,E,C,D,-44.38202574246806,0
Hindu,E,A,A,A,D,C,C,202.28180800854852,1
Christian,B,D,A,C,D,A,C,29.784390221056974,1
None,B,A,D,A,E,A,B,134.4093725273494,1
Muslim,B,A,E,B,B,C,D,-12.619711710200084,1
Jewish,E,C,C,A,C,B,A,-36.33881275960996,1
Jewish,B,A,D,D,B,B,D,-102.18291343797151,1
Christian,E,D,B,E,C,E,D,15.152183977535207,0
Christian,B,E,E,B,D,E,D,47.0425363075889,0
Christian,E,A,C,D,A,E,B,-37.313324289904095,0
Muslim,A,A,D,A,C,B,B,19.028321559692042,0
Buddhist,E,B,A,E,C,B,A,101.27392685649824,0
Christian,A,B,D,B,B,D,E,-26.72781432456076,0
Other,E,C,D,B,C,A,B,164.03296034599322,1
Other,C,D,B,B,B,B,A,-143.3463360807706,0
Jewish,D,C,B,A,A,D,D,-208.62597133957559,1
Jewish,C,E,D,E,D,A,E,18.611220822987402,1
Jewish,E,D,D,C,D,E,C,36.0639339879563,1
Muslim,A,C,E,C,D,B,C,34.97020765491904,1
Buddhist,B,B,C,E,E,A,A,-93.45462126928396,0
None,C,D,C,D,E,B,E,147.52805608763018,1
Jewish,D,A,B,D,B,A,B,-131.2434971372747,1
Muslim,B,C,A,E,C,E,E,3.1016097171058834,0
Buddhist,C,C,A,E,B,D,E,-99.46929167066357,1
Muslim,E,A,D,A,E,E,D,153.82148827678415,0
None,E,E,C,C,E,D,D,-70.25282424147487,1
Jewish,A,A,B,B,E,C,E,7.140794028477238,1
Muslim,A,D,C,E,E,B,D,35.487223434742404,1
Jewish,A,D,C,B,B,E,D,85.0801783972724,0
Other,D,E,D,A,A,E,E,120.07147121911632,1
Buddhist,A,D,E,E,D,B,B,-60.67911383128619,0
Christian,C,A,A,A,D,C,A,55.27707199853755,1
None,B,B,B,A,B,D,D,-53.47292857950002,0
Muslim,A,B,D,D,B,B,A,148.27156354427444,1
Jewish,A,C,B,B,D,B,C,-38.21482259231671,1
Jewish,B,C,D,B,E,D,C,-216.93975906837045,1
Muslim,A,E,B,C,B,B,E,118.6434625555757,1
Muslim,D,B,A,B,D,B,D,-84.32344890835355,0
Other,E,E,B,A,C,A,B,-0.6052944222732554,0
Jewish,D,E,E,C,D,B,C,159.32925763848093,0
Hindu,C,D,E,C,E,B,B,-211.78375016136138,1
Muslim,A,C,C,E,A,D,C,103.07280209404588,1
Buddhist,D,A,A,D,A,D,D,-79.6821524655163,0
Jewish,A,B,B,A,C,B,A,-68.46282379697342,0
Christian,C,A,A,B,C,B,B,-11.215532871076912,1
Jewish,C,E,A,A,C,C,C,100.95404212469342,0
Hindu,D,D,E,E,C,B,C,104.69682651632071,1
Christian,E,D,C,E,A,E,A,-125.53358817823491,1
Christian,D,C,B,D,E,E,D,9.982481180659082,1
Buddhist,A,B,E,C,D,C,C,-34.79283660121941,1
Christian,B,C,A,A,D,E,A,100.43938852938483,1
Buddhist,C,D,C,B,D,C,E,65.76479626938361,1
Christian,B,A,A,E,B,B,A,-76.22682134298789,0
Buddhist,D,C,D,A,D,C,B,55.11253692469788,1
Christian,D,A,D,C,C,B,A,68.82749377852433,1
Christian,D,D,B,B,E,C,B,-143.54636396848878,1
Buddhist,A,A,A,A,B,B,D,-53.226678706329054,0
Buddhist,B,C,A,A,E,C,E,13.754713245674866,1
Buddhist,B,E,A,C,B,E,C,12.24037267647821,1
Muslim,B,C,E,D,D,E,C,99.07356009053,1
None,D,C,B,C,B,A,E,-323.56300807357303,1
Muslim,B,D,B,D,A,E,E,50.84853320671052,1
Muslim,D,C,B,C,A,C,B,126.5318473292812,0
Hindu,E,B,D,E,C,B,E,-76.47094364133449,0
None,B,B,D,C,D,E,A,-115.96797161184477,0
Other,C,E,E,A,B,D,E,-77.7072560982189,1
None,D,B,B,A,A,E,E,82.50171427383009,1
Christian,E,C,A,B,D,D,D,97.86093801831744,1
Muslim,B,B,D,A,B,C,C,122.28708955163066,0
None,A,B,A,A,B,C,D,-14.743841588410135,1
Hindu,E,E,D,D,B,A,D,12.407453779111536,1
Jewish,C,B,D,A,C,D,C,-61.63674016151334,0
Muslim,E,E,B,E,A,C,C,8.659113736615364,1
Christian,D,C,B,D,D,C,E,166.25085167508087,1
None,B,A,B,B,A,C,C,65.74677534291085,1
Hindu,E,A,B,A,C,C,C,-239.84723979600597,1
Muslim,E,C,C,B,D,B,D,-34.306151211516344,0
Buddhist,E,E,E,A,B,C,B,-7.444100066051819,1
Buddhist,E,D,D,A,B,E,C,-49.57822645598782,1
Other,C,B,C,B,D,D,C,82.59719951993985,0
Muslim,E,E,D,B,E,E,A,-169.68007201135288,0
None,A,E,D,B,D,D,E,-185.3111325102637,0
Jewish,E,D,E,E,D,C,A,-1.4713805551063028,1
Other,C,B,C,C,A,B,C,-45.80712728365467,1
Buddhist,D,C,B,C,E,D,E,-66.29546976546014,1
Buddhist,D,B,C,A,A,A,C,58.85842004098838,1
Buddhist,C,D,C,A,C,B,A,95.4829841402124,0
Jewish,D,B,A,D,C,D,B,74.4633114974545,1
Jewish,A,B,E,B,C,C,B,-116.8551803206473,0
Other,E,A,C,A,B,E,A,144.37231770358304,0
Jewish,E,E,E,E,C,C,B,87.82324106149784,0
Other,D,D,D,C,A,E,A,42.68104820422797,1
Christian,E,A,C,C,B,D,A,172.77477056397845,0
Jewish,D,A,A,B,E,A,B,46.49217104153005,1
Hindu,B,E,D,B,B,B,C,52.978473271105365,1
None,C,A,D,E,C,D,C,-21.37391551238018,0
Jewish,D,C,A,D,D,A,B,-72.95355474778749,0
Christian,E,E,D,C,E,A,D,13.599499254229974,1
Christian,A,B,C,C,D,A,A,162.0740818048432,0
Christian,D,A,A,B,D,C,A,99.69544996329768,0
None,B,E,A,B,D,A,A,14.259490431252006,0
None,A,A,D,B,B,C,C,-27.804635500050534,1
Jewish,E,E,D,B,D,C,C,-44.17519315489386,1
Jewish,D,C,E,D,B,D,D,102.78702116403386,1
Muslim,B,B,C,E,A,A,E,15.449821852901586,0
Other,B,D,D,A,C,D,E,2.98809324820457,0
Hindu,A,A,E,D,E,E,D,6.856130075550293,1
Other,B,A,E,E,A,D,B,-27.268866626554416,1
Hindu,A,A,A,D,A,A,E,-73.95232343910564,0
Jewish,C,C,B,B,B,D,B,71.12812071464172,1
None,B,B,E,B,E,A,C,-68.54744557625753,1
Other,C,C,E,A,E,A,B,-38.423526363744756,1
Buddhist,D,A,B,C,A,D,D,84.6769895201203,0
Jewish,A,A,A,A,E,B,A,0.4333322042139943,0
Other,D,A,C,B,A,E,C,83.85991502087508,0
None,E,E,C,E,D,B,D,-20.797363761002742,0
Other,B,B,A,A,C,C,C,-92.17326703027669,0
Muslim,E,E,A,E,C,A,B,-7.8487599458567985,0
Hindu,E,A,A,D,C,A,E,32.250805504756826,1
Jewish,B,A,E,E,A,A,E,-12.245635670994993,1
None,A,B,C,A,C,C,B,-106.43287357951523,0
Buddhist,A,B,C,B,B,C,E,-22.01103252471651,1
Jewish,A,E,E,E,B,C,C,202.39811641197818,0
Muslim,B,B,D,C,E,B,A,-147.45988978273311,0
Buddhist,E,E,E,C,C,B,A,-16.710231281760073,0
Other,E,C,D,D,D,B,C,63.047207827268196,1
Muslim,A,D,C,C,A,C,D,120.08068467007394,0
Buddhist,E,E,E,A,A,D,D,-162.85612255316502,0
None,E,A,D,C,B,B,E,150.11485951615722,0
Buddhist,B,D,E,B,B,D,B,-24.681207261448264,1
Other,D,D,B,A,C,C,E,-81.7303562515499,1
None,A,A,C,D,A,E,D,-31.755054703483193,0
Buddhist,B,E,A,E,C,D,B,3.3587490571989114,0
Jewish,E,C,E,A,E,A,A,35.584705703841344,0
Other,A,B,E,E,B,A,B,75.95585400637059,0
Other,B,D,B,A,A,E,B,-273.18725617518004,1
Christian,C,D,C,B,A,D,D,70.8432146948844,0
Christian,D,D,A,B,B,C,E,30.41290480136109,0
None,C,E,A,A,D,D,B,-81.12542185852227,0
Hindu,A,A,A,B,E,C,E,78.46483495606168,0
Hindu,E,A,A,D,C,B,D,8.618266919097955,0
Jewish,A,B,E,B,C,C,B,-184.96349734489317,1
Buddhist,A,A,D,D,D,D,A,-229.01726860215686,0
Christian,E,A,A,C,A,D,A,80.35103459936234,0
Hindu,A,D,A,D,A,A,E,-216.93999255234448,1
Other,B,A,B,B,E,D,D,153.31201104515756,1
Other,E,C,E,A,C,B,B,39.092431014124465,0
None,B,C,A,B,E,A,B,-15.68630030045365,1
Buddhist,E,D,B,C,B,E,E,51.40346205926281,1
None,B,E,A,A,D,A,D,79.7187978750199,1
Other,E,E,D,A,A,B,A,-196.37865716334147,0
Hindu,C,D,D,C,E,E,D,-97.14365115281923,0
None,A,C,A,A,B,D,A,-50.65795784223886,1
Christian,C,D,D,B,C,D,E,27.13045911451799,0
Jewish,A,A,D,E,E,B,A,34.95765562170131,1
Christian,B,B,E,B,E,E,C,-6.55073360210857,1
Other,D,E,C,C,E,E,B,221.26990057008388,1
None,E,A,E,E,D,E,D,-38.20384805748374,1
Buddhist,A,B,D,B,E,C,D,142.99994758006764,0
Muslim,E,B,A,A,D,E,E,-52.97318516505861,1
Hindu,A,B,D,C,C,B,C,98.682752559978,1
Muslim,B,E,C,E,D,A,C,-103.79503321990448,1
None,C,E,C,A,A,D,C,-30.983719820525234,0
Other,A,E,B,A,D,A,A,48.77607124474933,1
Hindu,B,E,A,E,A,A,D,10.839383475951477,0
Christian,D,C,D,A,A,B,B,-53.9504999109576,0
Christian,E,A,C,A,E,C,E,-94.35811173731288,1
Other,C,D,C,E,C,E,C,-20.309719357329357,0
Hindu,C,C,A,D,B,E,D,-42.62833938764951,1
Jewish,B,E,D,B,A,C,E,-140.01149635471577,1
Jewish,A,D,C,C,D,D,E,106.64878841455634,1
Jewish,D,A,C,C,A,B,B,-8.35434723923689,0
Buddhist,E,E,C,C,D,D,D,73.15843415598417,0
None,A,E,C,C,E,B,D,218.2454231360564,0
Jewish,A,A,B,A,E,C,C,-31.147804860794498,0
Christian,B,C,C,B,D,A,E,-90.78612234707771,0
Jewish,C,C,C,A,D,E,A,41.00330181449598,0
Other,B,C,D,D,E,D,A,-207.0005421215713,0
Other,B,C,D,B,C,C,E,-207.2776777747193,0
Christian,D,A,D,B,B,D,A,-4.654707036219251,1
Buddhist,A,E,B,D,B,C,C,217.83673480663103,0
Hindu,B,C,E,A,B,C,B,-57.81967204981277,1
Other,B,D,E,E,C,B,E,-60.563698681610745,1
Other,A,C,C,E,A,E,D,100.87796036747312,1
Christian,E,D,B,B,E,A,A,-8.576733929825075,1
Muslim,D,B,C,B,C,B,D,-0.23322040343534742,1
Buddhist,B,A,D,D,C,D,A,-33.71756262014814,0
None,B,A,C,C,C,B,E,77.77077943838955,1
Christian,B,A,B,A,A,B,E,67.71330666128812,0
Buddhist,B,E,B,E,D,E,B,65.93922133263223,1
Jewish,D,A,A,C,B,C,D,121.16569614630444,1
Christian,B,B,D,E,E,A,A,-126.84151799441959,1
Buddhist,E,D,D,B,E,E,D,-99.66657194311568,0
Christian,E,C,C,D,A,A,A,69.42005719238986,0
Hindu,B,B,C,E,E,D,D,-71.60270004446073,0
Other,E,B,B,A,A,A,A,-48.54373112612112,1
Jewish,E,D,E,E,B,C,A,-104.3325611643628,1
Muslim,E,A,C,C,A,B,A,54.30990835735614,0
Christian,D,A,B,B,A,E,B,-105.06183611141013,0
Buddhist,D,B,E,B,B,D,A,-122.40837370325417,1
Muslim,B,B,A,C,E,A,E,85.504637917133,1
Hindu,E,A,A,C,E,C,B,112.30652375522361,0
Christian,C,B,D,E,D,B,C,140.81009814444252,1
Buddhist,B,D,D,A,C,C,C,-103.44340079749142,0
Muslim,B,E,B,A,D,A,C,-149.39646628392944,0
Buddhist,B,C,D,E,C,C,C,-24.236272811672432,1
Hindu,C,E,A,B,E,D,C,170.41303637624048,1
Buddhist,B,D,A,B,B,E,C,74.98585677876,0
Other,E,A,E,E,A,C,A,-86.95264214373493,0
Jewish,C,B,D,A,C,A,C,-38.805445176655276,0
None,D,B,D,C,E,B,C,7.771083582827182,1
None,E,E,B,A,C,C,D,-193.63203594531805,1
Christian,E,D,B,D,E,C,D,-242.7336314227602,0
Christian,B,B,A,A,B,B,A,-26.242857529795987,1
Jewish,D,E,D,E,B,E,E,-17.438886521911517,0
Hindu,A,E,C,D,A,B,B,-19.95953098664252,1
Buddhist,D,E,C,C,B,A,C,64.87289200727187,1
Other,E,A,E,D,D,C,C,65.96762318403296,1
None,B,A,A,D,B,A,C,-28.823168717466217,0
None,C,C,C,E,C,B,B,-44.30459181309649,1
None,A,D,C,B,D,C,A,146.04516837167773,1
None,C,A,E,D,E,A,E,67.56595517225298,0
Hindu,B,E,D,E,E,D,D,-9.559030027990206,0
Muslim,B,E,D,E,D,E,B,-5.589088349205369,1
Muslim,E,C,D,B,B,C,B,-172.6965082678548,0
Buddhist,B,B,C,B,D,C,C,146.8497210893944,1
Buddhist,A,C,B,A,B,B,D,116.3559501731151,0
Christian,D,E,B,B,A,E,D,145.30450168577778,1
Buddhist,A,C,A,A,D,D,B,96.82394685587127,0
Christian,A,D,E,B,C,A,C,-168.00346456764942,0
Other,C,C,D,E,B,B,B,-165.66131682102454,1
Muslim,A,E,C,A,C,B,B,150.58938562287454,0
Jewish,A,C,E,C,C,C,E,126.46650755394195,1
Other,A,E,E,E,A,A,E,-115.60188727281326,0
Jewish,B,E,C,C,D,B,A,1.0314215567650937,0
Christian,C,B,A,A,E,E,B,-46.51166566819585,0
Muslim,D,C,E,A,C,D,B,11.42913781240773,0
Muslim,D,A,D,C,E,B,C,-97.60860380761618,1
Jewish,A,E,D,D,A,A,A,-27.860899283186626,0
Buddhist,B,B,E,E,E,E,A,-122.73753667428767,1
Muslim,D,C,C,A,A,E,C,50.138912535412636,0
None,E,C,E,E,A,C,A,-103.45513822309871,1
Hindu,E,E,C,A,D,C,D,-53.52479926393953,1
Jewish,E,E,C,C,E,D,C,110.95609096589149,1
Hindu,E,C,D,D,C,A,E,2.1476066618881693,0
Jewish,E,E,D,A,A,E,D,39.80852504767899,0
Hindu,E,D,D,A,A,D,C,-99.1386983154112,1
Other,A,B,A,B,A,A,B,86.52453180762521,0
Buddhist,C,C,D,E,E,A,E,-39.00004650893676,0
Jewish,C,B,D,B,D,C,D,2.308664367977105,0
Christian,A,D,C,D,B,D,C,120.15331041713524,0
Muslim,D,A,E,E,B,D,B,56.31609252813882,0
None,A,E,A,C,A,E,C,31.423580923830812,1
Hindu,D,A,B,D,B,E,C,125.64236415065253,0
Muslim,D,B,C,A,E,D,A,101.63790954290941,1
Christian,D,A,A,C,E,B,A,97.35802184088969,1
Christian,D,C,A,C,E,E,D,83.98063521199136,1
Buddhist,E,C,C,E,B,B,E,116.27778322476243,0
Buddhist,E,B,E,D,A,C,E,-166.30220773055098,0
Jewish,C,B,E,C,D,E,E,200.9562539875061,0
Buddhist,B,B,E,A,A,A,B,-3.2530641910305906,1
Christian,B,E,A,D,A,A,B,-69.61226078063928,0
Other,A,E,D,C,B,B,C,-131.05222116481406,1
Buddhist,C,A,C,C,E,B,A,-110.14735652755165,0
Buddhist,D,C,A,D,A,C,D,-75.75379347883812,1
Muslim,C,A,D,D,C,D,B,10.310925919082235,0
Other,E,A,D,A,E,E,C,-106.39799000717316,0
Christian,E,C,E,D,D,D,C,140.53424260902509,1
