veteran,Age,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,target
Yes,27,Black,-6.962178329742266,46.490749866171896,-35.82398435725957,94.41562456222195,-279.86228168924464,0
Yes,39,Black,86.60042935749756,195.41767920588572,27.02296971192688,167.34580702400493,146.2594293762633,1
Yes,23,Other,-56.59101242357436,8.469308267895434,139.74232358104084,11.325748103811092,50.24778379071042,0
Yes,57,Other,75.70613050164036,-128.9984556264675,196.2391701549446,168.32109347055822,83.09974510161847,0
Yes,20,Hispanic,52.110792319771825,9.058464889557852,26.556453943601422,-80.89799583174809,-17.937172715845488,0
Yes,72,Black,-15.023891991427863,38.00724878716733,-204.05271671969433,-0.8013337665347616,30.29716205507401,0
Veteran,31,Hispanic,-77.83103558173815,108.10511828271312,-4.93700404742017,-21.530388459395443,40.52025840183658,0
Non-Veteran,27,African American,138.97413950299418,-56.34624653109618,91.1860849767566,-177.30770279252545,94.65956742864397,1
No,51,Other,-6.533457618094328,-24.822450439027612,35.66923793966492,-25.120493605014566,153.0842351517033,0
Non-Veteran,19,African American,-183.64767673672247,147.31350569608836,82.83387508144162,253.2420461729816,65.4518493038461,1
No,70,Hispanic,-111.87978731838525,-60.09525987850299,-154.4941686100731,101.40259537819311,-298.46068039841623,0
No,33,Asian,36.512025711477825,-43.89936426640135,-97.63760613894162,70.8513179920279,-106.7256445997492,0
No,43,Hispanic,-49.84416918376057,15.981805680536992,109.74237907774291,-5.1061136974285,97.44123757280028,0
Veteran,37,Black,64.42015048324771,-289.52392749850645,99.87021695999147,-88.61441422059929,80.88595171005643,1
Yes,20,African American,-69.5625157481596,-44.28780702276859,135.1885657371232,-93.35298132637509,166.18300717542544,0
Veteran,30,Hispanic,-134.50261350528436,-143.82351519974776,-24.2431918955657,39.20203193872042,-164.98978908701915,0
Veteran,69,Hispanic,146.6418333419396,-192.69252947090126,-69.35121732467144,31.380332341207932,-27.176901635355833,0
Yes,47,Other,-49.604785272628604,-95.9748384802451,137.55394786783793,14.710925667710395,-45.00688565671078,1
Yes,69,Black,90.5210713875213,41.60742598826101,-88.25642243378435,58.62597744893178,-31.929489591073118,0
No,23,Black,-1.842455549921136,90.86125498357697,-137.9857604583348,-254.22281325647575,12.24033848372912,0
Yes,46,Asian,99.98713385344709,-112.47730265839053,-140.09083390737644,3.5477350707981787,-70.32410912378093,1
Non-Veteran,40,African American,-29.994859052642102,-53.37702139887573,-61.00698116139671,-162.2444617472111,98.99404593264207,0
Non-Veteran,74,Black,-99.41613365467558,-7.576239184706131,64.55297901073399,0.8280210516548332,-2.451543368174468,0
Yes,25,White,-39.96695111132031,-38.96337489561578,-7.66535778634259,-117.55771435495015,29.039809699874304,1
Non-Veteran,65,White,90.50741290676766,55.26232890204839,-75.84951606517433,-62.488551243514024,93.58255377408742,1
Veteran,40,White,-73.04708884645532,-91.14838553480463,95.8157758048249,-3.357145738503297,-40.263778637787404,1
Veteran,28,White,110.18834071107607,-115.92860280519484,-33.991007105523465,-207.9121453202623,103.89476169877196,1
Veteran,55,Other,-48.17616503411666,-23.17207257635113,54.817637600940635,69.39938310374143,1.017363617532711,0
Yes,37,Black,-42.168338453172865,127.94817882450249,-36.995677247709374,-133.05999119414008,1.1663561891388978,1
Non-Veteran,52,Black,64.23190373971019,48.77748713049412,-57.350232408835055,-147.2241437114058,10.019608292392002,1
Yes,77,Other,15.280580940721434,24.080783978385302,127.25203285944693,296.42416170996364,13.361544877658513,0
No,78,Hispanic,-53.81068783805746,-36.015381988549,-83.94369456684436,-148.4112728788044,36.66998644323868,0
Non-Veteran,70,Black,75.27374703288352,-171.7492698807712,44.21588538502716,-61.33121620888966,56.19975347936196,0
Veteran,33,Asian,26.74138367710942,-71.4467416903662,-65.0632612605373,-74.98629833307672,44.6404444499681,0
Non-Veteran,59,Asian,-12.146320089336921,96.48795162898678,107.71078457677075,-36.08495055122256,152.71343080382277,0
Veteran,26,Black,97.27995816636506,-179.581583661718,-219.64832692115337,-15.863095642264621,-64.12656967422386,1
Veteran,18,Other,-148.81391998513865,148.71510439544107,43.370541291822285,-101.42277012245984,-8.428237324657774,1
Yes,74,Other,-42.35290227488805,-76.84730872389686,-177.84890976936708,27.767234487222243,-51.90927417560298,0
Yes,51,African American,-41.62480955945939,-31.56688501663496,83.94097789525819,-146.40224114058773,89.51233251518376,1
No,45,African American,-66.1435048020108,19.77530674886913,147.35507753341847,-35.40455641549245,-56.752371871476385,0
No,19,Other,53.18003554978823,104.76638569979247,-17.799455535589054,-48.026503295911894,-22.05822892571075,1
Yes,35,African American,-14.885314391342533,17.60763448582098,66.8689968710183,76.08694346313747,186.48560268500697,1
Veteran,25,White,135.3071027798031,-76.5945277752285,141.3325679735114,-115.02592010508093,100.3699402986296,1
Yes,22,Other,3.987639841528777,67.11269449788983,80.6710526014784,-44.1042623389395,-189.97627576525025,0
No,57,White,-15.612426992782577,83.60100352319533,31.885071130945214,91.16149992411411,-20.965578659601114,1
Yes,60,White,29.804859425275875,7.641497661431014,-46.186231733458285,252.01344031848035,-181.07212205268672,1
Yes,66,Asian,-67.22406953397153,-206.10256728839036,149.75227129185708,-9.247688000085459,-104.02502254417536,1
Yes,27,White,6.613535312876673,122.72218108081059,183.27774474662598,-49.133254868621265,95.6568196298473,0
Non-Veteran,25,Black,25.73068965491577,134.00893596767455,12.12620730643987,118.5495744467949,35.914856362098796,1
Veteran,66,African American,54.36332656198145,71.27756325008842,246.87089724228062,33.514458352676954,-36.67595632690053,1
Yes,38,White,39.439806799503465,-103.14718203212603,131.92804005466766,-89.04812978309118,-122.33745499021975,0
Veteran,61,Hispanic,64.23193962799266,-97.1738830994848,168.6804700492018,29.367468529554188,136.02216031926952,1
No,61,Asian,203.76966070037733,-10.621740506695911,17.224633574736174,-55.713210032002436,140.10434594652958,0
Non-Veteran,30,Black,119.53145759449497,-7.164899316758386,122.64619581399421,62.97020931128956,38.252709125389224,1
No,54,White,-12.750755406180003,100.48155380985921,-33.60583872595477,71.33131980987166,5.165222543621105,0
Veteran,35,Black,-20.88362227319451,104.49985981554335,136.88183293420767,57.70808392037784,-28.95554634142575,1
No,42,Asian,-142.13154566750092,-32.97552622644137,-45.44747845651417,2.7844769219670567,57.95865160612716,1
Yes,33,Hispanic,-161.6258002681197,58.94739736497034,-84.27316097022333,-184.6575151430235,19.525059515684067,1
Yes,79,Other,-125.95094039175395,-63.6177574314899,12.337602831565093,77.32664863845173,-112.74187260280402,0
Veteran,54,White,118.1186229038198,-120.95053638623708,-34.39499780217983,35.85477948548237,21.525246794069748,1
Yes,25,Other,-46.84367687984219,116.62958980476441,-54.61721857516982,-77.91703966382374,-53.775078576827454,1
Non-Veteran,41,White,-177.34211751381034,78.80293018273895,200.56324475712998,-3.159282284676789,-27.78061955233417,0
Non-Veteran,30,Other,30.091586214138854,-7.0064337317305245,124.15148858910696,92.1082216158348,-193.60084736516563,1
No,19,Hispanic,-57.506825504464246,-71.01454009391067,21.72158279930513,6.5834531859986996,24.254121143502736,0
Veteran,19,White,48.248821756446034,73.45254026843305,15.26707547530467,-38.94501184526032,40.09634044286793,1
Yes,71,African American,54.94295344237542,196.57459695159122,-131.14659232773533,-54.06665991540365,30.502194712510715,1
Yes,74,White,217.0504073204617,219.94082936967422,-147.28370388375725,-15.93596246235626,-6.815915125578018,0
Veteran,31,African American,-1.43863031210171,-38.75510700048934,135.77260581627198,-12.030542051577777,79.2864481803978,0
No,37,Asian,91.0294245204378,63.760128355395636,98.86048362380266,169.7881270258088,80.2189021163405,1
Veteran,70,African American,56.329768667692136,-231.71525896509416,-66.84329949372724,-80.66409380685052,-30.14584494188885,1
Non-Veteran,69,White,101.07989810258083,-107.11584323746739,84.78986543145453,27.015773378002073,-62.56428582325972,1
No,31,Asian,-79.85913574928378,78.30865703147198,207.91025284745643,16.3022538502086,-69.64982256886329,1
No,32,White,74.09979887414681,-0.8563608494869862,-81.34888875903074,176.7588617459595,-148.74101887973015,1
Yes,69,Other,71.29202559533367,305.50493909014506,-42.59276067889865,0.0824522024309987,92.6601465173629,0
Non-Veteran,26,Other,122.7761731719077,-90.82415864699577,34.55429547189519,-81.23583958387668,-22.39559351125075,0
Yes,67,Black,-137.41077658558092,-53.37542596699946,204.82702166214332,-17.880299545863906,47.21148264593121,1
Veteran,46,African American,-21.59782825484863,19.059363718452808,-25.001370075544504,-81.87348490046958,85.08726661197404,0
Veteran,61,Black,103.45313749672631,-86.07458590182753,-59.635744177680586,87.03990648856966,43.9389286534644,1
Non-Veteran,39,White,-157.6565002606187,-40.1548649122586,91.14817285933708,-67.15037126785403,4.890968191689609,0
Non-Veteran,26,White,35.83203343182935,69.77704467828671,-111.27393446375827,-69.21570945962263,215.51208257426185,1
Non-Veteran,18,Asian,-7.064480686151442,145.8595021975899,68.96870408546668,67.622620527786,145.42752327996743,1
Yes,36,Black,4.4160856518030425,-53.525062600863116,34.57785020853012,-86.80636765708383,-55.124783219305705,1
Non-Veteran,50,Asian,75.66740228936668,12.650710795597384,-10.239118550001812,148.73697000750786,-52.42584587199413,1
No,70,White,38.713430650654004,85.67709089723236,138.9456758578974,-3.4245341613190483,-150.65511038810354,1
No,69,Other,102.97894373582197,-68.32774304780197,-219.6762494020734,-103.61193549060029,-100.1955815764064,0
Non-Veteran,39,African American,-14.637749564980322,-155.91729321139658,-6.977308831316928,0.25960772059835685,20.216998646960572,0
Veteran,73,Asian,64.09776040533477,81.34031667729738,-85.39772975431318,89.03273927106726,-172.41717054659497,0
Non-Veteran,45,White,29.6921971202864,17.062118668407976,-198.46115535880364,-36.21381463815966,-147.4880389112259,0
No,28,Black,-93.52505838496839,46.723057660593426,-36.97366161395557,-45.784143359742245,14.3940316196283,1
No,74,White,104.38569190468449,55.647721525475745,175.21207963717563,-1.5861370019262553,-137.95624770918687,0
No,32,African American,-157.08567173042,101.0475040536819,-44.00986335288491,3.338686610295057,-57.131207941108016,0
Non-Veteran,27,Hispanic,131.5314324279834,169.9137823861824,104.74536898011704,-126.42655519325363,-73.3874955724638,1
No,35,African American,-74.23028679377182,103.96705599695875,186.70112694583304,72.18819882622213,-27.585643685371465,1
No,56,Asian,-81.3504587151754,-72.77522253161871,56.00263807229634,22.954276155575933,5.58656796805062,1
Non-Veteran,19,Asian,15.314725177114621,-22.155175369328774,77.32378321438325,-29.41541034874076,54.485880826322294,1
Yes,37,African American,26.75366144657982,155.07986499117465,38.71289449203984,-73.28911902987227,-18.68717166109146,0
Non-Veteran,67,Hispanic,58.95394384799446,-187.43427063585696,-35.867714648870916,5.38471972652724,-64.59121417275051,0
Non-Veteran,32,Asian,-115.70523236614119,28.06169450042537,-8.647121137890812,-0.5258525316666074,-230.26226556814441,1
Veteran,79,Hispanic,169.93768228306658,-52.36283801593837,-15.582573178163756,-136.3853554684786,-71.85870653761617,0
Yes,28,African American,63.009231951437386,49.430960216571265,49.64678331660927,-83.30522869988286,-120.19752093940201,0
No,63,Black,-29.232327246960114,-42.703238609495166,109.56873635118205,-86.58379106474308,79.39505961483646,0
Yes,73,Black,12.308069412674696,-38.64161693079868,-52.242307510410036,-267.7143564781589,60.638936171985655,1
Veteran,48,White,-72.92518861964209,19.982976116040017,-48.69541816656736,108.7939298323424,-97.7241979913564,0
Non-Veteran,56,White,110.61774776053348,18.85537901285654,-66.77576589616805,-125.20883831567522,19.307907850438983,1
No,22,Other,-122.35619246540989,-50.37426327186613,-65.58652786489216,-248.5676262288201,-166.06405504588832,0
No,46,Black,-105.47336450942414,-20.19047872529156,121.6027609682357,-13.10031976111594,-51.67291660671529,0
Yes,49,African American,-9.852785938746402,-4.4019339054759765,-163.2555316342981,226.62573385138427,3.9562794529184346,0
Yes,64,Black,31.41298359211736,-31.297894162540718,96.58210459560361,-13.017186606031892,0.8149690840637996,0
Yes,40,African American,-18.814595166011163,55.01943041437581,103.70019845414933,-55.03676512016183,-64.61154996619307,0
Veteran,33,Black,87.20400353793598,57.18584778710509,-87.14333533326749,35.80852676912973,25.3067592171973,0
Non-Veteran,27,Other,36.90416036380105,-32.364148682206476,132.35216379827273,-132.3206800159557,32.391861970982276,1
No,41,White,70.12907515181864,-3.6553597721850295,111.88352213978088,-36.63519574543736,-70.19196644800184,1
Veteran,20,African American,42.745819809157545,-14.045397445592167,-59.831061466408244,90.214994093664,12.204350142772578,1
Veteran,59,Other,116.81086906381783,126.18535544923787,-82.94305754679692,-301.01443354972406,-34.76848798603225,0
Non-Veteran,38,White,-63.58606295775607,37.15307824941025,-69.96806017847447,-45.35213275729991,16.50293933818091,1
Non-Veteran,55,White,87.32578024035153,-7.358415137695952,70.9165373746563,99.31062848837497,-44.426204794700844,1
No,23,White,-5.553023161923414,-80.75550787593684,-62.23978021304901,39.484943819852326,-30.92374628431007,0
Veteran,39,White,-35.50125291969092,-59.174274664720485,-57.20950697659774,-146.81876152252448,-132.69608462833207,1
Yes,70,White,-111.3695782252336,-90.52297296942386,74.93968427395262,111.0346868625223,-126.35785239827437,0
No,68,White,-124.12508753380729,-101.12375392169656,69.03635421203379,19.266607226639774,26.363757073488202,0
Veteran,45,Other,-33.37445002318186,11.166703916756855,-87.45050013067299,-113.01641932211982,5.376359044899965,1
No,31,Hispanic,0.8993801469117839,63.70175863436551,-217.47156429687303,-154.13824188255978,-55.997108769338745,0
Yes,57,Asian,45.690440586486744,-43.57309604330206,112.39574533669196,-93.15062480940807,77.46479764554107,0
Non-Veteran,31,Black,-49.80858267117759,110.10997640729026,67.87582257945563,-33.27377865186427,-0.9125447196966822,1
Non-Veteran,26,White,-79.68097266433917,212.55025586893268,-72.93098587274987,205.59192419462497,2.2534837020786203,0
Non-Veteran,78,Hispanic,-0.6324770862698331,-33.98594147036205,-85.97194885118988,-148.94547282225847,-5.562574317690962,0
Non-Veteran,66,African American,-51.33535381482683,-8.528481667869977,84.4328861092589,-76.91127270678531,-127.26664651494104,1
Veteran,67,Asian,-0.6590232697373648,-3.722676786214886,-84.80469937003585,-126.0469521144547,-142.7447710669988,0
No,59,White,-187.2008386090848,168.89782939379836,-38.58151693356499,35.0908764758604,-80.2622985553607,1
Non-Veteran,57,White,-16.453671724398113,-5.952493808090955,-127.72920097576332,10.176422556989621,214.82495568551573,0
Veteran,18,White,267.4142912289001,-42.668522359530115,-213.45999809508734,139.75103697370665,-164.56430684125885,1
Veteran,42,African American,-29.95341541546613,-27.026055872750565,-102.88896650892625,73.28514715036755,-212.11677007455606,0
Non-Veteran,49,Black,-64.10267810227286,-41.54650571176177,-64.64898874891742,54.86696087126711,-51.27643420483674,1
Yes,69,Hispanic,-21.995757999526397,-14.5754118452535,7.900836643911164,65.17910329353244,-10.013292491328892,0
Non-Veteran,27,African American,-72.5619822465575,91.43452849246468,-4.511810189092993,133.77589882480387,35.08537449195452,1
No,35,Hispanic,123.33580540512554,-5.554262744628164,-7.811659064578551,-181.99488582352703,34.587954494893594,1
Yes,28,Asian,91.2679855257974,101.923083664506,-131.12530951454352,85.32961670964666,-155.0370503446093,1
Veteran,70,Black,-18.36857753901775,-7.146632411749095,-61.85977093627427,-7.296401522850414,77.2646795729156,0
No,51,Asian,1.762172805636076,-171.19500676611995,24.886000303388098,-119.6284897846636,-25.08250403563354,1
Veteran,65,Asian,2.0417475359878288,81.56054083761315,-159.97315687078694,-102.14258522146199,-136.00285860089065,1
Veteran,67,Black,33.1829242748862,-23.178526327599155,98.4686278795613,161.56251375072276,39.870320188697434,0
No,39,African American,-138.91639009657487,-69.21243148701379,133.80864206120907,-136.11675133472835,-63.27532886422163,1
Non-Veteran,47,White,-91.58787900256193,127.38707008465731,-42.62469578104625,48.95393122906484,-63.8504273211523,1
Veteran,76,Other,-121.50506198921778,178.21959318518174,76.43237196161205,106.72302814225496,48.26638528996534,1
No,24,Black,115.59282916812674,-199.9600762228474,3.5738817178208024,168.6228411788623,-196.7862266753295,1
Non-Veteran,33,African American,109.46818426685611,65.17550489440805,-7.886459289403964,-49.486113877213846,-31.7086098681566,1
Non-Veteran,39,Hispanic,-52.4963983188496,-94.76269464331205,44.14094130771618,179.07837461002381,-112.1143355871042,0
Non-Veteran,23,Asian,80.71759591680123,16.600266042055274,-48.46948629843196,-25.332129608728742,25.79342558698009,0
Yes,75,African American,136.70677229793787,11.082919185661728,86.82250490448169,-83.97433828831791,-24.347423044096317,1
No,62,Hispanic,-45.0534467430739,30.127068658325832,122.09609469300547,32.619783938670196,-34.01658176197203,1
Veteran,53,Other,-64.59161354487193,95.95361273885413,-161.19453992857598,16.755608630756882,-232.97745251463,0
Veteran,27,Hispanic,107.55173398718283,-146.69313740136639,111.56277433249303,118.85567031854922,259.48349662025987,1
Yes,76,Other,81.57663265129567,-4.619574686445964,-3.9659100429322547,171.4085797068664,-23.895514329964417,1
Non-Veteran,76,Black,194.4485685616259,-131.658793820458,6.27155635175378,99.34857995593381,59.278157684269374,1
Veteran,55,African American,135.92324605010896,119.76605825205284,-67.1261392490893,-83.51677023266323,31.843937540949096,1
Veteran,35,Black,-77.79098023463405,-78.01167107686337,228.3255724128976,138.82735907194638,-10.918528041250156,1
Veteran,39,African American,-7.424592552378023,44.88855129381412,75.54419404529175,67.44807621965107,2.049895262689666,1
Non-Veteran,79,White,86.48769715492503,-52.54583852001938,-139.82156899089406,94.54835987418338,-11.817495666374214,1
Yes,70,White,135.9870826272994,46.377399911250976,84.96123911317322,196.58720021256636,149.1058267777299,1
Non-Veteran,25,Asian,81.64639138897424,-21.567525506940417,16.23079049642601,126.28635406062563,-87.98537044563534,0
Veteran,39,African American,55.429072662053635,29.858353609510342,0.5672873697980415,135.7767012443148,83.36318662257595,0
Yes,62,White,62.893889635099306,11.875979125709708,48.861352295372015,-69.1550824848618,104.09119286963475,0
No,71,Hispanic,74.52902220653247,-57.66157967232994,41.3034520086182,-78.98008469527565,-68.31280337910373,1
Yes,66,African American,-47.509231867286374,109.30934260559317,10.342206533315473,-61.85571045568912,57.10141077524287,1
Yes,73,Black,-60.99213691515668,-23.71071371404943,-78.00983530789169,12.277840754690871,-132.55789371447432,1
No,47,White,-156.2016589481237,-45.75667600321175,99.02551559012261,-8.257130432642285,122.16244504895106,1
Veteran,25,Asian,106.795457997972,-212.02767444712526,-23.800321070686692,-73.60851310896555,-7.754445576826201,1
Non-Veteran,29,African American,-37.9872157218949,48.338301746631956,-49.692269784996626,-213.40331282944751,-1.3846771999773815,0
Veteran,20,Other,61.1371811792406,154.37539655336866,-102.27396955476176,60.96898164004322,-57.30402474748445,0
No,66,Hispanic,46.83226711807939,11.507902630994673,54.01684720757321,-114.95949194109801,-54.212823784601014,0
Veteran,31,Hispanic,165.78735117856604,56.15210312266097,-136.4409748825618,95.31734483536181,106.9939561670902,1
Yes,50,African American,-149.18325967862643,-101.08138585660129,50.461330500547255,73.42586946446755,-22.955404964578143,0
Veteran,61,Asian,-27.309442671346062,-6.700356894672605,156.76567939137445,18.573996271252856,-32.83017361337167,0
Veteran,62,Black,-108.06230055218388,188.466557798719,-6.072613095535337,5.44118527106065,219.16582777365537,0
Non-Veteran,37,White,37.430758389940436,-71.64666810380395,32.78871862830822,21.16993623544271,44.91378753430858,1
Non-Veteran,45,White,31.780999699644607,-14.59236662957136,-40.747114249011645,-65.11730584325417,-66.5554982927368,0
No,19,White,-7.0012273065904,-133.96731983959745,-111.67968143106538,-192.8700154081532,31.823653706717455,0
Non-Veteran,23,White,58.095886743567085,-194.16421589592855,-33.15225122191787,168.46520014388776,-32.641908434562865,1
No,50,Asian,7.536933218476145,-99.8054943305815,-56.327468250506186,-95.85606864423184,91.17581312500751,1
No,18,Other,25.976386932786777,108.79413936383138,90.15540041669762,71.10271129152731,-37.426736994820104,1
Yes,60,Black,130.62005420724387,134.79951135349054,4.679588585252745,-4.547662387368203,109.79878631366846,0
Yes,71,Other,13.859137959714317,-31.522231929294982,-29.777467609350833,154.67824298356726,-67.63213298446733,1
No,52,White,-196.56108169543472,-24.43787609555115,47.141735488048504,138.03201278965514,-84.82553172320627,1
Veteran,39,Hispanic,-82.37398523978659,209.96333487079005,141.3812749915856,235.10680049979885,-25.981332493493685,1
Veteran,32,Hispanic,114.87522733075566,319.1895160671396,-226.22166973215042,-148.92050793605364,10.191592650886335,1
Veteran,19,White,83.16427637528554,-65.67778808354745,29.582518421373916,48.77890395974898,-85.15497300276635,0
Veteran,18,Other,109.73883061641942,14.144026596626471,-8.312060242094153,227.46124840718758,-29.734410155738782,1
Yes,32,Black,59.895826418955046,396.6110387975804,42.63533843679019,-54.37481213359469,146.8806778083714,1
No,71,Asian,33.934579135575724,-18.966192301328388,95.75608123365943,-169.0657135505403,-7.280293210419213,0
Non-Veteran,78,Other,-100.69958431936325,-90.71970543233715,255.0039694714659,-28.39996615072315,-126.26600841896163,1
Veteran,47,White,-70.05260619736127,-36.03153313118521,56.51399353489257,-120.2739162358389,-111.43230719115518,0
Non-Veteran,48,Black,-2.557710658600926,-97.76447386698783,2.1355826060665573,-89.15708320975745,-6.0751502887072135,0
Yes,61,White,-8.721500271650285,22.565499640773186,131.02245655577377,-161.86047070031898,-80.45510588702321,1
Yes,67,Asian,73.17426364769945,24.19688899658307,23.541362615413924,176.3078228450591,-58.67806085373145,1
Yes,39,Other,-100.96543946477794,50.329411670609566,-3.767425612057524,-277.30657601658754,-28.469613839429343,0
Non-Veteran,22,Hispanic,-44.588692917901,304.532875649991,70.20704747713808,248.47284551182938,159.75045427096936,0
No,69,White,-8.455152106639195,-170.01756175755426,4.12598908507321,-41.72177991476935,9.531691279614533,1
Non-Veteran,72,Black,-183.17920604560894,-131.83794354918282,67.46438851281309,-181.48769341203956,71.37341201832508,1
Veteran,73,Black,56.581920379250796,128.24142538165023,95.68810395878432,186.46377407972375,-69.7291339165585,0
No,66,Hispanic,45.19475186492951,207.37974057936128,185.93404789718758,3.922176607170321,-5.415766968400331,0
Non-Veteran,59,White,253.78923982292315,-76.10100915159204,113.43669350347561,82.73328157771088,91.55111088712596,1
Non-Veteran,71,Hispanic,27.517681204771733,-202.1194031217716,-51.457576005235936,-97.84429741874948,16.52681566345494,1
No,76,Black,130.44984674658863,-36.702209628200585,-29.63652028866867,-30.717357679423568,95.70406810609033,1
No,50,Black,99.16550602703943,-35.589337276403874,210.52682623390294,-73.96914228080966,-10.745112449381633,0
Yes,51,Black,-3.1415033432045005,-109.6565902219284,-52.78146324459249,-26.34276910302948,-31.534654357632764,1
