nation,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Germany,Jewish,-39.40588379954718,D,C,51.106467247800246,-136.18451236361594,87.17918590974368,A,D,-161.46045458154163,E,33.864007184753895,B,1
India,Buddhist,-110.03777135017252,A,B,5.5374017175428625,-16.923948537316303,-38.73413747216108,C,B,-148.57082430215087,B,26.239025569967566,C,1
Germany,Christian,-2.8542737774661364,D,A,104.00509080499506,-66.96381655085383,-265.8358245476975,C,D,25.584825185747583,A,163.7890291167472,B,1
China,Jewish,216.73676561773405,A,D,89.20725098306768,100.71076403301227,-66.61125068298242,B,A,53.75162981904662,B,150.29195599894356,B,0
Germany,Buddhist,-56.05534998483013,E,B,51.902582327337385,136.4641194410299,-74.19966911653411,C,A,-95.73019916403649,A,153.9264816036477,D,1
Mexico,Buddhist,-23.10770899129518,A,C,45.190223796294894,-25.13142638588765,189.7827324754238,B,B,29.16994078046169,C,36.73211877309059,E,1
Brazil,Jewish,138.16973215423997,A,A,-12.228827547521211,97.28190139930967,27.97003220411069,E,C,-45.37863382017397,E,96.8877407799717,A,0
Mexico,None,-214.10991524934616,A,E,-43.842984993289214,-89.06953432224418,-41.541148038571514,E,E,131.33996604586372,C,18.57265418717579,B,1
UK,Jewish,-37.479894495741924,A,D,-20.425407726163076,61.24723818741133,47.74614966339542,C,B,-84.31228792713901,C,36.57662922133041,E,1
Germany,None,-31.157527668430223,A,B,69.28453076751619,-34.94813652653008,144.47515680137198,C,E,-131.78638766569918,A,-38.13937329915616,D,0
Other,Hindu,11.167689181335327,A,C,-131.05608246638022,-59.05206915349363,131.83196152727106,E,D,109.0248856337755,E,23.97732589425787,D,1
India,Hindu,-66.88063420927915,D,A,34.98198991454293,-212.48928956740662,179.6718108135176,D,A,46.91833691459252,A,-131.14912972091457,C,0
Germany,Other,-76.18545316840381,B,A,-131.87094660006628,-45.23321811270636,-12.142215413421027,D,A,-168.24828334256193,E,-129.0387722905752,D,0
UK,Muslim,-144.73937836987108,B,A,34.65441201854964,118.51584691868429,99.36507732498609,B,B,60.56702967420446,A,142.2505020155976,B,1
India,Jewish,209.03739754823155,B,C,16.08013792238433,-12.178280746086537,65.44667061949099,B,E,-21.71280719283587,D,-193.63179862991336,A,0
Mexico,Other,41.17656112456012,A,C,95.13871199327002,-15.635850478200592,39.94057681873364,B,B,-112.11287715610665,E,-98.63146251827312,A,1
India,Buddhist,-34.49626348388862,C,B,-134.97482334629402,31.170483554101175,89.2615380750346,B,E,-17.60955214023828,A,-8.266335037393294,D,0
Other,Buddhist,108.44714656099113,E,A,-101.15098845344752,13.514356447938928,36.92968091814581,E,E,112.99948672112276,E,-91.184630082323,C,1
US,Other,-146.71559040687885,D,C,-19.814995806202166,-21.857606533882937,-102.74733327478307,A,C,-67.80832246603428,A,-75.30446763973313,A,0
Other,None,40.138527220195,D,E,-74.6415979369598,-5.049537506362432,-97.21335309137035,D,C,-17.92585383197806,A,-30.01827525542893,B,0
UK,Hindu,-146.25870333714175,D,D,110.0126769475398,54.70757921910394,13.922842649969102,E,C,105.01794749604497,B,44.662412593556574,D,1
Brazil,Muslim,170.66230252907764,D,A,-65.05730871500504,-65.7275258209749,-29.127576017665678,D,B,-42.33158990645375,C,-133.49985955384983,E,1
UK,Jewish,5.4455912210094155,A,E,163.99995659081546,-38.35408116429391,145.57758405517941,E,B,-39.964886396966634,D,137.6846761108269,E,1
UK,Other,-128.94875789458408,C,E,-44.51621567127325,-123.74057495357604,-30.129192988581522,E,E,-143.29593247309631,A,195.52378958113664,C,0
US,Jewish,67.95331095916131,D,D,-56.150952519104834,76.28210739964742,199.59098211952528,B,A,52.895262017477954,B,-221.93454884300073,A,0
UK,Buddhist,39.604571497455325,C,D,90.85837539475483,-109.4088912583252,40.14814161512766,C,C,-128.04622410355887,E,-126.60229673951302,C,0
Mexico,Jewish,35.16605411587211,D,A,24.687261366881184,24.30926713368145,-43.67715704321066,E,D,-58.21197239224962,A,82.68138296218555,A,0
US,None,-71.6283866635246,A,B,-50.23883614731975,-77.545684821852,-117.9981676318734,B,D,-13.556638114443006,C,-3.328048297126792,B,1
Brazil,Muslim,15.227995331215476,C,B,-22.436389443478575,30.675623465687067,20.23849172404989,D,E,-5.072789828176625,C,14.586117668514875,E,1
Brazil,Hindu,-22.841421916806016,A,E,165.05139550898394,-51.04021520653106,-141.1180336442597,E,A,-56.44333208161606,A,121.79349365272697,B,1
US,Muslim,-48.52865683241038,C,D,-24.58043671618041,-92.29037346738232,-80.70670652679026,C,C,-111.49394827066563,C,206.5707837083144,A,0
UK,None,42.98064146619102,A,C,41.16114785049088,166.0329781219718,-44.77308641760165,B,C,-2.186334170868144,B,111.34157766122253,C,1
Mexico,Hindu,205.25558151800158,B,B,86.78549360191764,7.528644286720877,79.25385226487357,E,D,219.29396707662954,E,-8.594059632276934,A,0
Mexico,Christian,90.39200147181117,E,C,-135.46568308454917,18.521179639443233,45.44724212957519,D,D,222.54383473244607,C,88.78085794804016,D,0
China,Jewish,-23.781027880431456,C,C,-105.33409772388667,-68.87762971578194,18.009513265762617,E,A,195.8317437231467,B,60.04706425785322,D,0
Other,Other,-132.50119284316847,B,E,70.55002897150963,-116.03887480467546,35.12907062382898,E,B,264.25358597399855,B,-103.9359742408276,A,1
Mexico,Other,-32.80207904529199,E,C,68.92313342630777,53.26985100225864,91.32110575481171,C,D,182.74101056993192,C,64.07712231115813,A,1
US,Other,-118.2570858352971,C,E,157.25551925259325,-108.47908899785057,8.004185597694544,A,D,84.03492468475278,E,3.855583807439099,C,0
UK,Jewish,45.11021887931395,B,D,-2.714973392457342,-59.758181414741074,-30.735082860166003,C,C,136.72067597862969,C,87.29472438528752,C,1
China,Jewish,112.83086235875248,A,B,-67.41738906751858,-63.19492822145574,170.0609950208799,E,C,196.70454115353786,E,89.5780772038751,B,1
Germany,Jewish,105.62442970554446,B,E,32.26883285217868,135.22257146596073,168.28957106436374,A,D,-173.312806519579,E,-100.75517440159452,D,0
China,Hindu,56.959941977995285,B,A,-28.86418629215039,65.59421740028006,70.02085198567234,B,E,-120.09601960216358,E,59.95160604810401,B,1
Germany,Other,-178.63300897845156,D,D,-82.85576543939722,40.38233046130016,14.245904001389393,B,C,154.43178708975177,C,33.31186938989317,B,1
Brazil,Buddhist,31.70752238648886,B,B,-56.9043078394621,-12.297451712901942,-63.19855498587204,B,C,32.31606528362148,C,-189.6163362256476,E,0
Mexico,None,6.4905352489252275,A,B,-129.34742214720524,-44.797898080047744,140.71093539557884,D,C,-95.92501914120126,C,-21.05275623170291,E,1
Brazil,Jewish,45.35964361632791,D,E,-22.497728490187345,-52.572076914547196,-124.1825297090039,A,E,159.28618729078107,D,33.923303588644174,A,1
Brazil,Other,-102.25142338381204,D,B,61.586474603791366,43.519104522695045,-9.514608302048208,E,B,144.1658121381137,D,4.986621399691999,E,0
Mexico,Other,60.95532744381021,A,A,13.97560164952706,0.9804601924820908,-79.14654364541836,C,E,-183.1600249222374,B,-131.61540700530244,B,1
Mexico,Buddhist,5.214937985969652,B,C,262.430958899714,-107.49687881245929,75.75759272912039,E,C,-0.6713196088159876,D,43.730035814262024,A,1
Brazil,Muslim,90.12072108759816,B,A,101.44191724401776,2.9675931530930577,91.82186516534082,B,D,-36.186948014288255,E,42.331908535460194,D,1
UK,Christian,55.0933756461893,B,C,-77.14833300565027,-27.60642468347842,63.55975753380908,B,D,-59.273923149563956,B,-118.00737304399188,E,1
UK,Hindu,-106.73664756268401,E,A,58.62161841645228,-7.746571665809161,-67.24660559550728,C,A,-9.974606555623156,A,158.89855166680033,C,1
UK,None,65.91622251546075,B,C,79.6435624359669,-8.58614085298615,-132.5792227508946,E,C,58.071733848759635,B,110.95272852275038,A,0
Other,Muslim,22.772740775996077,C,D,-41.66531383064344,-105.8443440780101,-19.059929355584572,D,C,-56.54906876779875,D,-39.98612462997003,B,0
US,Buddhist,-63.33421131845887,C,D,53.5498169832464,-86.5304885997899,12.069614625137785,D,C,15.091180281189779,C,-80.5677264583515,B,0
UK,Christian,170.48607534780822,C,D,12.13496267054735,47.085171118325995,-57.17834274170366,D,E,50.9396543453016,A,274.58429887694365,A,0
Other,Jewish,17.18720975138292,A,B,-37.456170143244464,-223.2493428464621,-177.68144028385439,E,D,94.2660195919831,A,-30.352242937879915,A,1
Mexico,Muslim,76.3117209800642,D,C,61.08011705651042,60.68131129811787,-29.212880559126873,B,E,-44.959728479974665,A,102.41365740191392,D,0
Other,Other,104.16925035128857,E,D,-117.98570998914538,73.67672204068847,-95.82155628708152,C,D,71.30613476950435,D,-67.80328495391386,A,1
China,Christian,-77.41651989236648,E,D,-123.72700445318547,-13.752944753854553,-61.0889506835112,C,D,74.778515856205,E,35.78908106222424,B,0
Other,Christian,-60.68035705995429,E,A,52.74637420889753,1.4734071970926879,-58.64798781762811,B,C,115.56736488016305,C,214.6528733710402,B,1
Germany,Buddhist,21.804355115024983,D,D,83.27406543391406,-60.995201981934066,-0.5903720951275697,C,D,76.00746287114427,C,-163.4029363148591,C,0
Mexico,Buddhist,24.52514510773166,E,D,193.9440095394069,28.99260231639221,-21.529970947281907,A,C,-59.75454369101718,A,-90.19978520306687,E,1
US,Hindu,42.749504139632,C,B,-0.24010671090004745,1.5549688413542682,-51.04881503910751,D,B,-95.15088790087766,E,25.133402480507677,B,1
India,Buddhist,-140.76722666085638,A,C,177.43018947133194,-64.01670966607239,34.763892881373046,D,D,-23.678849297413674,E,78.13552410888003,B,0
UK,None,-35.831503947764205,A,E,39.20331711685154,-87.47020638131666,63.283598340346494,E,E,78.1995550674511,D,194.71329577703168,A,0
US,Hindu,-58.01676191566965,D,C,14.25996002250178,-29.763453173874254,-21.015699737995043,A,E,-104.143442510441,A,-82.97912045872413,E,0
Germany,Other,-39.40537175267596,E,D,-108.25216394900971,-13.318352789131046,52.15136196536627,E,B,53.90452616921253,C,49.700505317237074,D,0
China,Jewish,77.48792743959842,A,E,-59.555730232258384,25.603869598711192,58.468639343796845,C,A,-75.11109806928496,B,-15.582217369669454,C,0
China,Buddhist,-55.03248760670362,D,E,-98.97738867893558,-67.6305831391905,-198.82222427740766,E,C,73.32675693686173,C,-236.30254419962847,B,0
US,None,-129.78222612820772,C,C,134.4854267520466,-26.05186811741075,94.57173400509026,C,D,33.5915515350699,C,63.27487575805806,E,1
India,Hindu,24.773706341167397,E,B,-109.99447507128278,-90.09651265400439,18.481922511389435,A,C,-87.87022929163314,B,-67.44543857925675,A,1
UK,Hindu,26.54193896440272,A,A,52.63230784079115,171.80522380689987,110.5743114881287,A,B,100.94801187616427,C,-42.76608064791693,D,0
Brazil,None,150.64803403137043,A,D,-85.90634444978856,-19.00574116341028,76.25799957498211,E,E,-56.02777038178311,A,94.03755238496232,B,1
Brazil,None,179.1734384311448,B,D,-39.97177103876014,-37.27212247666852,-6.470394206408263,A,C,22.887683022765177,E,-38.593701901866375,E,1
Other,Muslim,-132.49747198161148,C,D,-54.693046237136315,-145.018435964611,-62.64767097156063,B,E,-45.892174210415746,E,43.98391854334241,B,0
Brazil,Jewish,-18.700812139834504,A,E,40.339030399514236,-12.603614663847551,-131.56956492013597,D,B,-47.68124006968818,B,-13.135061250741007,B,0
China,Hindu,47.59479953064608,E,A,10.794060287266836,5.959314549087411,46.334563994062556,B,D,139.7882599207221,B,178.7821136325988,C,0
China,Jewish,96.73951432018788,B,C,-12.423103601887275,-22.258151745628403,65.91668935293588,D,B,122.33832942910603,A,21.916943742436036,A,1
India,Muslim,32.95809904360482,A,A,-198.8642095829453,-58.199925680126796,-131.2052453752245,E,C,42.259082166793064,E,-48.69867779095471,B,1
Germany,Other,30.29766397996844,C,B,-71.04309609233667,-1.4949716692290282,-34.254053863414896,D,C,-131.37565620839922,D,92.50786232272617,D,1
Mexico,Other,-25.258970605125086,D,D,-2.992320653881318,-50.337270514804985,76.69054275640144,C,A,150.9887593733388,E,89.52273298321417,D,1
Germany,Christian,5.19080599526404,A,D,5.26513569664823,-83.44610328140246,-24.59322594009515,D,D,202.14132927815422,B,-30.794613194234664,A,1
China,Other,-109.41359703411733,E,A,42.46124977788717,-62.82915192134061,-128.37060121645814,A,B,-21.915649181265966,E,-151.31815475765694,C,1
UK,None,-14.07988289837191,C,B,-49.58245818894424,-117.92044747411484,96.36102495804636,C,C,0.9638169605531308,B,-75.14019233337915,E,1
Germany,None,5.89100904500326,A,B,-15.98322006562238,-139.1805233574956,34.327704556562175,E,B,-78.41357972513995,A,149.59353441798947,C,1
China,Christian,216.1588543140976,A,D,67.11920691978132,-42.93120346930608,-26.44621892963972,E,A,42.03930821288219,A,-14.649668830248984,C,1
UK,Buddhist,-78.57284998183923,C,B,60.56040199397709,65.08246232842842,48.75416579032489,A,C,49.94336361264401,D,-76.65404361728119,B,1
China,Other,167.61454321299664,A,B,57.469491692671824,-48.7083572390456,-23.583263844466202,D,B,-118.27412869086677,C,-38.52971839346958,D,1
US,Hindu,240.1709290515421,A,E,-24.84069598625253,-110.03486813960536,-46.66438495111371,C,C,-95.24647850521379,E,40.83290544953975,C,0
China,Muslim,95.11059342148853,A,D,-33.07505072810783,34.97468059042374,-7.929890990604848,B,E,-84.63146224607134,A,232.34429346759754,A,1
India,Other,-45.78770131526467,D,B,135.6396097551499,46.54795044445094,200.40093912006657,D,D,54.652678001866875,D,170.27385637338048,C,0
Germany,None,75.99393212142984,B,B,15.04514510941885,-36.84356386789343,-25.597770922469348,C,A,-94.64886943982306,C,-138.93322389392137,B,1
US,Other,100.32793161839244,D,A,14.96909677920691,35.51872470912374,-15.618271373855597,D,A,-34.465823951265236,B,6.220625104691385,D,1
Brazil,Jewish,-6.601199406327694,E,E,-44.59386404141382,-34.3538464485268,-8.784722327134078,E,B,-122.24169562210996,B,-26.869080398094763,D,0
India,Jewish,-82.71363526416528,E,E,0.36662561889288325,-166.57306372874095,53.46894977976896,E,E,5.98191043219692,D,-14.94654974933178,D,1
Other,Jewish,-155.16114852301396,E,B,74.0510483412399,153.88227707940655,18.42285256631663,E,E,223.55003250363205,C,-54.50419835239363,A,1
Other,Other,-26.90654567252768,C,A,54.122235326993426,114.87280732261769,-13.521569883852354,D,A,60.72052773654894,E,-96.00822301793907,D,1
Brazil,Christian,-103.46967252853487,B,B,-130.069663903651,25.66894862016273,-52.1956001588576,B,D,-113.42499075139261,B,63.76710283143486,B,0
Mexico,Buddhist,-168.55827971568544,B,A,-7.953478205076222,-156.9393941127571,205.06476092071466,E,C,-262.73246856446156,C,-54.16958287582682,B,0
Other,Jewish,69.38988603085163,E,A,126.77065752894765,131.35965668310416,41.979704321967525,C,D,-105.19263136353763,D,89.51491360742708,C,1
Mexico,Jewish,73.11778419788322,E,C,-67.4225939284702,-44.614651495775874,-126.81265749414139,A,A,-124.12819451239518,B,38.573152956836395,D,1
US,Other,50.68172747919082,A,A,193.82118069282507,43.60280565053139,-20.10501813728404,D,D,-182.5740951190623,C,-38.84414852613446,E,1
Other,None,61.3060555238647,E,A,128.0069940211869,-55.88857224274749,94.73557153118799,E,A,-113.65453829193154,D,-115.99166668400574,D,0
Other,Buddhist,72.87030937763866,A,B,60.10515436414079,-23.210748748294517,-126.13739258290452,B,B,-60.37323511412386,C,63.02698038143839,A,0
Germany,Other,-88.1301442386725,E,B,117.5506721857503,-64.084022096946,55.9851519338767,E,E,187.6422211484484,B,169.71339996842386,B,0
Germany,Hindu,-12.121024074097923,C,D,-179.71088436200645,118.2000980636879,120.89365940140193,E,B,70.87172597559102,A,48.76461145368477,D,0
India,Jewish,84.3515578088071,D,C,-25.643994729995086,29.291686457915628,-65.44521976215174,B,E,21.14278228982596,B,-65.57847669422708,C,1
Mexico,Hindu,79.97172896681465,E,D,-120.63751678511885,88.11822063665176,29.00512371140754,D,B,-162.2902697747216,C,-101.72015741826286,A,0
India,None,35.31711329001644,E,B,39.2144347914567,10.302545361480353,-45.27818943130071,B,C,167.52372762692661,E,121.10962280539512,D,1
Other,Other,-35.51813067210365,E,B,44.697115426932406,137.97650201979945,74.95822607520314,D,A,6.531695881355945,E,102.40488374141759,D,1
Mexico,None,-110.90572423368339,A,B,15.47111942022424,-36.65505482929123,-96.42723303382009,B,A,-103.09993074707711,A,-27.060812001001743,E,1
UK,Christian,40.34789927363984,E,C,-216.9699603560571,-37.289797446977566,-78.9220058126278,C,C,118.29878108163851,D,-7.159888690190192,E,1
Other,Buddhist,-133.03260002415863,A,A,-24.46180468356781,154.27543424883513,124.13546186679541,A,D,5.67103856690297,C,33.92014240122305,E,0
Germany,None,-187.55450326684112,E,B,-85.43612174113122,-60.690320181733206,-108.21496184380364,D,B,35.88185390158425,C,57.26680192831422,C,0
Brazil,Buddhist,-34.61606191801725,D,B,32.05676806939241,-63.25757165369394,-13.27304092840824,E,D,-43.44687518368642,B,153.22893550833342,D,1
UK,Christian,107.30072911927392,C,B,-198.93039182280376,100.49152156668653,-119.68965128018733,A,A,-44.488868908812684,C,126.31482187032074,A,1
Germany,Jewish,-45.04379202738556,C,A,-69.3222279699704,-164.8994525873099,-207.81606169540638,B,A,-63.70252754015448,B,-24.983057202986057,A,1
China,Jewish,-132.46215842795766,D,A,100.92557833735003,-177.31852014926096,-134.35857994581326,B,C,43.85015217192658,A,-95.99252395338203,E,0
India,Other,77.1018034761638,C,E,12.368269350455266,-61.8224521682878,-34.26705804610911,B,D,-45.711386605627055,D,74.50482958379803,D,0
Germany,Buddhist,-139.5461449683117,A,C,-12.37768917784916,-18.48933245393419,-25.891757394235103,D,B,-40.270549419391784,B,-87.5855909715044,E,0
China,Buddhist,105.22353949765441,C,C,165.7612527774439,2.650348636116055,55.853700608027154,A,C,-31.80181678139989,C,-65.62320815726554,D,0
China,Jewish,-46.11726737957063,C,B,222.5293311172011,17.82109255508194,24.63492529466425,C,A,-112.17489505628156,B,17.81479697946053,B,1
China,Jewish,-113.3209917069492,D,D,-49.778488007396135,-25.974487094827374,10.081777045529646,B,B,172.80085373848163,E,-12.88596407073464,C,1
China,Buddhist,75.85839140099682,D,E,72.11107256961978,-14.345480431902274,93.96060311780913,E,D,-168.35232457194743,D,206.82325030108655,B,1
China,Other,-36.56489019662813,E,E,67.21865142341943,-108.18393930786662,19.635290459824002,B,A,-52.070664549181245,D,-64.32117172978117,B,0
US,Christian,87.85432229895981,E,C,37.48944654636922,-57.330403594514266,-17.07638925447918,E,E,-71.96600643131632,E,89.96423860378789,D,0
Mexico,Hindu,-4.074914816304291,A,C,-117.5920014016042,-4.819643518061172,-73.55893180336017,E,C,-91.88132879062087,A,76.26935072019857,E,1
Brazil,Christian,-60.94442956789607,D,B,83.80309049656606,92.18218905548636,-78.0893374354535,E,B,203.51694794254746,A,120.6889314405004,A,0
Brazil,Jewish,2.481253360812325,B,B,-213.86320830183948,-51.976111319749606,19.267525150943456,D,D,73.98579041091573,D,-208.50696117922786,B,0
Other,Muslim,35.91905164572683,C,B,0.23532847658077855,2.6400290760215164,-20.960959662880217,B,E,-72.00401140896865,D,-13.279331174369494,B,1
Brazil,Other,205.69014099221855,C,C,14.273165383841224,14.40541512241896,45.33664022278517,B,D,-111.84601120188114,E,38.36057812634323,E,1
US,Buddhist,155.82711231125643,D,A,45.638645396893274,-16.499202576075213,-82.1821472556413,A,E,-44.57203016999736,A,34.87595608618043,C,0
Brazil,None,63.35600183329253,B,C,85.77954761832883,26.54781281352522,73.43976850324252,E,B,-191.83938495616763,C,-119.65992958977773,B,1
Germany,Jewish,-40.92232140972024,A,C,43.245519648280975,24.036295889424434,-199.1554476134998,E,D,48.75930308405857,A,-63.88005842137995,D,1
China,Jewish,-143.38528333635327,C,C,47.62295138602033,-93.025555930381,130.03988621937583,D,D,55.725676005030834,B,82.95753122583736,E,1
US,Muslim,-78.55104721185697,B,C,1.7631793401581992,119.68538788561247,-331.198501847418,D,C,11.4157902402133,C,13.352942059428244,E,0
Other,Buddhist,-23.951511555950074,C,C,100.73656320790205,-181.4860677489419,-174.91959859288826,B,B,-65.8940869037875,D,53.867640814309034,A,0
US,None,-243.43956579268405,D,A,11.393158292202136,-67.81537976002193,-55.65599446192627,A,D,35.40685619791178,B,107.46267996150587,D,0
China,Buddhist,-95.97995510053555,C,A,-31.34012567976223,89.02948743429467,-78.98202778305723,D,A,34.12779261649891,E,-208.28134295811842,A,0
UK,Other,-152.37144369448822,D,B,-47.226598581827425,-4.757004574913852,155.53560421479443,A,C,-0.43665851417048623,B,-132.72834167006457,E,1
Brazil,None,39.55247474365134,B,A,185.0822550777713,22.16473321690198,53.63568029661133,D,A,-140.5818544065128,B,51.36141643672414,B,0
Germany,Jewish,39.49497880716524,D,E,-50.76038367086644,65.34210327747478,95.03717649647665,B,D,98.02611889634629,A,-40.318336133731826,E,1
India,None,104.8869733102313,B,A,46.16485555573469,131.6422918906485,135.9260807714986,B,D,56.97477999057394,B,27.37935016547457,B,1
Brazil,Muslim,84.41336281230672,C,D,-26.78732721225019,118.72830669591157,72.91099387224202,B,E,-20.07543327518226,D,-20.075778865078373,B,0
US,Hindu,80.49392980530307,A,E,14.323632764546648,-111.78890086120671,65.72040569795074,A,E,44.52484164887151,A,-38.72213578453163,A,1
Mexico,Hindu,-138.54312837266582,A,A,-258.12388335684017,122.6940897267981,45.74503135592217,C,D,36.84397205285763,A,11.144117834967364,A,1
Mexico,Other,-27.446080448438043,E,D,-124.1578452610488,-147.8892749056181,-14.89709414000048,C,A,-45.872914394891055,E,-229.98573434750367,A,0
China,Jewish,-71.59126839398293,B,D,-108.26972610559291,-1.1327978038945108,108.65471221037997,B,C,-95.84295608654332,A,0.13465335410182214,C,0
China,Christian,104.89363635096673,D,D,-37.86177030796291,0.6633160039311794,-165.2898401119342,B,B,-38.56761573598832,A,98.25957789810394,D,0
Brazil,Hindu,-79.85594757640963,C,E,-18.106799620659224,-80.15083793279946,143.74762018910954,E,B,163.62164545976736,E,-25.310897609076072,D,1
US,None,-56.15622587808146,E,D,-3.390080181508732,-78.83099435986345,84.99399367705992,A,A,-57.56405850510109,C,-69.43224317750014,B,0
China,Christian,76.35853577799394,B,D,160.10404089869738,20.609374574631655,-60.987686524264085,B,D,-91.39231765847778,E,-7.469267447205614,D,0
China,None,22.67984099130487,E,B,-98.67358539047984,105.17445503216538,-122.42096051000335,E,E,-13.303492137992375,C,-44.67776310455778,D,0
Germany,None,-15.169714649425073,A,C,22.75725082689022,-2.2437058440806164,-7.051566133058615,D,B,-64.42361202204597,E,-195.02631843238532,D,0
UK,Other,31.78563051362355,B,A,123.42905989755776,0.510504510477619,108.1461895366462,E,E,-58.44340447767971,E,156.34971078518453,C,0
Mexico,Christian,19.401637551690442,C,B,-33.250968514539224,-207.1207703436937,-160.20208888467175,E,E,28.052876861218984,C,23.693953522226447,E,1
Germany,Buddhist,92.82141435784717,C,A,-34.557533016898994,-52.72914253231617,-45.14622097614344,E,B,-55.612406195668285,A,-32.5946405233963,A,1
US,Christian,-16.393211486568298,C,A,-26.813069644594652,136.2197896413472,-46.37601833246131,C,C,101.20353267126309,A,72.74099663191369,D,0
US,Buddhist,144.66411696639457,A,C,125.99710061998348,-52.00954941250709,51.51575975109005,B,C,-82.97984087610088,E,-129.49840677409594,D,0
Mexico,Other,-19.84953340970992,E,B,82.69873625995268,33.476506337198906,-11.49092304774174,A,E,47.102208867643114,E,-105.70068473163212,E,0
Brazil,Buddhist,-236.89277347246468,D,D,-16.23459374703872,-144.8143122349031,17.414885360194305,E,D,36.37188434670846,D,-43.798461945074344,E,0
Mexico,None,2.9288982467476674,A,B,-49.07586214154293,146.3234461429265,93.26644009708944,D,A,-6.09635160350074,D,185.60044516737483,A,1
Germany,Muslim,236.06253199252944,B,E,-30.45572431354076,-58.532559860090814,63.99182494823544,C,D,39.5731728535612,A,-52.22675445073025,B,0
Mexico,None,5.498277758899797,E,A,73.20156073273355,-75.82833791165811,-155.24018903005285,C,E,-88.64533066468503,A,49.02016827990469,D,1
US,Muslim,-89.09454310953382,C,E,-63.857341484952265,-149.4307743599434,-12.029457815175862,B,C,119.89516040522498,A,-42.6093041406663,C,0
Mexico,Muslim,-70.36300254046117,E,C,-66.93533346275348,131.87381306375357,19.209574355374833,B,C,-168.03768892093743,A,-31.81956107658615,E,0
India,None,168.69632610151228,C,E,-98.46281895443254,72.67998191047558,100.56710804532032,C,A,96.14580646496098,A,-165.35021216380045,E,0
Brazil,Muslim,-78.63126674294347,E,E,-19.909767838993332,8.780513700197973,-63.94555623799626,C,B,-25.84113666041213,B,-50.40405191221722,B,0
India,Muslim,-132.89385739063616,A,A,97.87358442027988,-113.81559980292653,20.044554201061114,D,C,51.1342255927128,E,-44.91538555996125,B,1
China,Christian,144.577266542012,D,A,102.10456680361904,-22.002276232099703,-30.275426925044673,E,B,-131.97217635884812,C,39.998634495047966,C,1
Other,Muslim,-34.207090016912844,A,C,126.80647715346802,149.72788972532734,28.007600156894796,A,B,39.734550708485145,A,-146.38693752261116,C,0
UK,Christian,59.400482645584994,A,E,47.53545311900483,112.11047089125313,-56.67532671106535,C,D,-46.24893388254607,A,-1.7440089304498168,E,0
India,Jewish,123.45582191849678,A,D,-17.858941890055835,23.746198394303025,134.20321583561523,B,C,-230.8398807844975,A,-97.89632362106805,D,0
