religion,sexual_orientation,Race,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Bisexual,Asian,36-50,-92.24716280922283,-65.04708662842631,A,-207.85506553402251,B,B,A,B,E,-15.973804030807253,B,D,-254.93307240390735,A,262.56451671301585,E,E,0
Christian,Other,Asian,36-50,-56.97585095383305,-34.42046534016603,B,16.392692790238637,E,B,D,E,B,-29.798515609190652,A,E,124.26033569380053,C,-86.65415103148007,E,E,0
Christian,Heterosexual,African American,18-25,159.219248928821,-63.45732189682647,A,-23.031151537842753,E,A,E,C,E,188.52956860724416,A,B,106.07996162832293,B,140.26972959153517,C,C,0
None,Heterosexual,Asian,51-65,62.12017578403975,-73.35153841009848,A,54.30748037601232,B,D,B,D,A,22.713778401557448,E,E,89.46163928012498,B,-112.69889884968241,B,B,0
Christian,Other,Other,18-25,-118.97427967247383,-11.492918496870162,B,103.57339827987437,C,C,D,E,C,57.106678991682514,C,B,-49.78295692295894,D,30.719799435632357,E,A,0
Christian,Homosexual,Asian,65+,-108.2854554887508,-1.5460012571112038,C,60.75366766809963,B,A,C,D,E,62.028515952011944,A,D,-37.172653227676925,D,126.07583003132537,A,B,0
Other,Other,Black,26-35,144.15698617667738,104.53513803390253,D,-44.5947864237156,A,E,E,D,A,-109.61485290199977,A,E,102.53474488650878,A,229.15587647866883,D,D,0
Other,Other,Asian,36-50,23.94166273834055,64.34932132905159,B,47.70935677848762,D,E,C,D,D,127.13761492402647,C,A,65.68127726101159,D,161.33589179921074,C,C,0
Other,Other,Other,26-35,30.563353517506343,-55.736418779581285,B,48.34503736795189,A,D,D,B,C,-21.86194507874668,E,D,22.76361119769134,C,89.6735753132013,D,D,1
Muslim,Other,Asian,26-35,-54.82290363210745,77.06627015987709,C,-55.1577613452007,E,B,E,D,D,1.4270091151725932,B,D,-147.07714364729313,B,43.872617699921676,C,D,0
Jewish,Other,Black,51-65,-72.02920401495906,199.35968369282136,B,152.25872142709255,B,D,E,C,E,29.769743853508864,B,E,2.079673911146949,D,1.9628618433063418,C,E,0
None,Heterosexual,Asian,36-50,12.894134629924773,-43.692910061678674,A,-136.3725417541985,C,C,E,E,B,211.61662823994726,A,A,-83.16046213293126,E,45.97435083207856,D,A,0
Muslim,Other,White,36-50,-53.4330376649857,-87.75099804673319,A,-123.84417827428503,A,D,D,D,E,71.45699408361163,D,E,-135.02465591592866,D,145.23597585775278,C,C,1
Hindu,Heterosexual,Hispanic,36-50,-98.40301008908887,181.01330030802504,C,-130.52887217085583,A,E,D,E,B,-82.58604166385392,E,B,58.823767271986625,D,26.093627410979455,B,C,1
Buddhist,Homosexual,African American,26-35,14.443338521863405,-56.29087127373473,C,-149.43190739153243,D,D,A,A,C,-41.41601915715207,D,D,117.92524678817146,E,72.0998939516433,B,E,0
Buddhist,Homosexual,Hispanic,26-35,-79.16277218832242,161.4501010217449,A,-95.91668517741857,D,B,A,D,B,103.12179052670388,A,D,-48.37189388793527,C,-4.993938990624354,A,D,0
Other,Heterosexual,Hispanic,51-65,42.25487863678537,-205.10737568892816,C,31.112928061605217,C,A,D,E,B,13.789241622660311,B,A,52.7442775874269,C,116.16795039205653,C,E,0
Jewish,Heterosexual,Hispanic,18-25,50.11317567154894,-94.82394158095751,B,23.04949773847346,A,E,B,A,B,70.4026899055243,E,A,-20.97874702866994,B,171.3003832741598,A,A,0
Muslim,Homosexual,Asian,18-25,85.70725536851084,39.5196132420508,E,-114.61136948866803,E,A,E,D,D,-138.76772265559475,E,D,-68.47272481815448,D,-133.92213495554074,D,B,1
Jewish,Heterosexual,Asian,36-50,84.00448758004731,-53.72469321877039,D,29.782666844378795,E,D,B,C,D,-275.55997861212876,B,D,104.03767007941065,B,-62.92470507718869,D,D,1
Muslim,Homosexual,African American,65+,-160.45078078614318,-17.12629495771397,D,-67.95853233810178,C,E,B,D,A,27.432753693377403,E,D,-50.92985050247282,C,101.177811342262,A,D,1
Jewish,Bisexual,Asian,36-50,135.95194861209075,108.97693511511233,E,-78.43167229251108,A,E,D,E,B,-88.39935363919615,D,D,-55.612973865742,D,66.57109678056841,B,B,1
Buddhist,Bisexual,Hispanic,36-50,-200.09847582740701,-182.1437413705785,A,-111.6056180642182,A,A,D,A,C,-42.847538199444756,C,B,64.43075786001825,D,-83.29458208802556,E,D,0
Jewish,Homosexual,White,36-50,-179.33548345924882,-9.568661488344922,E,89.80955195919563,C,B,E,A,A,68.7783960710188,C,C,-13.877894444571403,E,-97.17867299416896,C,D,0
Christian,Other,Black,26-35,-46.89297000114142,-122.75488104726139,A,-52.04267185287438,B,E,A,C,E,195.30785119573454,C,E,-143.41648881613293,C,106.56248611386272,C,A,1
Christian,Bisexual,Asian,65+,-224.53171498515775,141.5698138037959,E,-106.67432630625888,E,A,D,B,C,38.57484887008839,A,D,-22.874167043496836,D,15.361080503649266,E,A,0
Hindu,Other,Hispanic,26-35,-112.99475331964825,25.162505604438667,E,-97.41140438770415,E,A,D,C,E,138.51682139020016,A,C,-47.639182202700425,E,-197.77796870367743,B,A,0
None,Homosexual,Black,36-50,-88.35002309296112,-70.42206550138162,C,79.85169336271262,A,B,C,A,D,-66.68785337510035,D,B,28.576877966976284,B,-91.13522291178336,C,A,0
Jewish,Other,Asian,65+,48.28791346716739,-85.15037333077377,A,-20.88804885517925,B,D,B,A,D,93.76480817654567,D,E,-85.25835248455489,B,-60.49869342011963,B,B,1
Other,Homosexual,Other,26-35,-104.00793883204733,-32.442274124298784,D,-32.83192521207391,A,B,D,D,B,40.145907836218726,C,C,-121.70019008568906,B,-155.55798748447893,E,E,1
Other,Bisexual,Other,65+,76.81765691347144,-109.61362827105089,E,-101.5214909386242,E,D,B,E,A,18.973275633478895,C,E,-196.71425231614992,C,12.797651178364628,C,D,1
Other,Bisexual,Other,65+,11.584341826825332,72.35398190312677,A,-94.5560523761297,E,E,A,E,D,-167.220267388371,C,A,-102.18855111866294,B,-56.86266308315322,E,E,1
None,Homosexual,White,18-25,-100.17623487888999,-26.25853963064672,D,79.65684051891121,D,C,D,E,A,8.618346716853663,E,C,85.96774899116123,C,2.153155556383116,C,A,1
Buddhist,Other,African American,51-65,195.0468362404589,-145.79455338353992,D,73.70380771429649,E,B,A,E,A,85.26205990292695,E,B,183.7217251996579,E,-2.076687704964835,B,A,1
Muslim,Bisexual,Black,65+,-11.894511162815643,-153.33269846686585,B,-134.47514555427964,C,E,C,E,A,24.673496773855245,A,B,21.18671218688043,C,37.86289639777542,A,B,0
Buddhist,Heterosexual,White,51-65,55.835918349540194,-247.4388681342445,A,-41.616667510815205,E,B,A,A,B,133.39138700048622,A,E,28.783343166763892,A,87.3343070601846,B,A,0
Hindu,Bisexual,White,18-25,-11.794869663055573,-67.69891629098508,D,82.9442193791318,D,C,D,D,B,189.5219347501707,A,E,-90.26593280932417,C,122.91519462450053,B,B,0
None,Other,Asian,65+,202.74014688647335,-57.168627886530444,A,45.231564081421105,A,D,A,E,B,-16.79491414663599,D,B,-66.57347671740268,C,164.9598857673138,D,D,1
Other,Homosexual,African American,51-65,202.06767657665145,-0.02576582775223288,A,92.41302895670218,C,D,A,C,D,-79.1952958090903,C,E,-55.32233627691217,A,14.294937891137561,B,A,1
Christian,Bisexual,Asian,36-50,227.055958507685,85.48141635445708,D,-108.193971441312,D,C,A,C,D,23.98386434794065,B,C,-102.01028295187908,D,-28.226068463773718,A,B,1
Muslim,Other,Asian,36-50,-2.71352339666367,-94.43409350473013,C,16.12300046162842,B,E,E,B,B,18.725208988351607,E,B,64.87604481645518,D,-6.0468578480984325,C,C,1
Other,Homosexual,Hispanic,65+,-34.31212146456233,-16.851292118392365,C,24.775896714751227,C,A,B,B,C,-34.27197399705925,C,A,-56.26638794212106,C,92.24810800370715,C,B,1
Other,Heterosexual,White,26-35,68.17914462598213,87.20974937824413,D,-48.86872883178791,E,E,C,A,D,134.88524442311515,C,A,-17.637256857763166,C,168.33316959100384,E,E,0
Christian,Heterosexual,Black,65+,17.4845573724018,67.83148108195756,E,123.44954047034442,C,C,A,B,B,46.52707155990841,A,D,23.54931292156919,B,-8.124154111019157,D,B,1
Buddhist,Other,Black,26-35,-42.33803119192492,1.7423572785864125,D,41.947700110061746,E,B,C,B,C,-71.51747803389155,D,A,-186.66888440718813,D,38.82632533282726,D,B,1
Buddhist,Homosexual,Other,18-25,-39.94913881668721,-80.3665735443248,B,-87.10157024732375,A,A,E,E,C,80.61335912844379,C,D,-37.47174572501212,A,19.389855719007627,A,B,1
Christian,Bisexual,Asian,51-65,3.4479391484236794,19.674892921272743,C,-36.28716940762813,D,A,A,A,A,211.72686081312145,A,D,-91.78793964792553,B,37.74217513646045,C,D,1
Christian,Bisexual,Hispanic,26-35,-48.00618570927995,100.23622328094781,D,-146.52105770839762,E,A,A,E,E,-48.263058119890836,B,D,-81.68170199394028,D,245.37668054595022,E,B,1
Buddhist,Other,White,18-25,-51.68242198701643,-0.3953937940366246,E,183.37155450316877,C,E,D,B,D,-138.69882018083894,D,E,-7.157550502307723,C,-20.26537586480668,B,A,1
Other,Homosexual,Asian,65+,178.66898547672162,-2.197064491466209,B,-50.52605084104806,C,B,A,E,E,-40.800923788788495,C,B,-86.12680877574027,E,-73.12387292387265,B,A,1
Buddhist,Bisexual,Other,26-35,19.49976039237625,119.49834618094019,E,183.89029734836845,A,C,E,C,B,-116.45921811765423,C,C,-47.968973598589024,C,70.79855494654988,E,D,1
Jewish,Bisexual,White,51-65,-125.87493282040359,82.35807872482187,B,206.26507082325034,C,A,B,D,E,2.1272861104857896,C,B,-47.529928923080675,B,-19.578418824821238,B,C,1
Christian,Bisexual,White,26-35,137.98876923580164,18.748923564547393,C,0.14612633045307719,D,E,E,C,C,99.23739380525285,A,D,6.559562810577257,D,-110.34873306287855,E,D,1
Muslim,Bisexual,Hispanic,51-65,-114.14212758160956,-5.0493571084946005,E,-2.940187892914655,E,A,B,A,D,65.03658773473691,A,C,-16.04031892596341,A,8.986159209942912,E,B,0
Christian,Homosexual,African American,51-65,86.54852996195781,47.696333760666896,A,-112.7422995098039,B,D,C,D,A,58.47520433720006,E,A,-131.8759623572489,D,-87.97317790432243,E,E,0
Muslim,Other,Hispanic,18-25,-81.49176262448135,17.365499942439644,D,-98.72947788620208,A,B,B,C,D,86.44460837741987,C,E,106.49941249998496,B,111.76454711903467,C,E,1
Christian,Homosexual,Other,36-50,-119.66908691155007,12.611987837142614,B,-132.18183429338464,E,C,C,D,B,43.7283702236694,A,B,-30.640537798997354,E,-14.458734672582601,D,C,1
Other,Other,Black,65+,122.05384857010554,38.250305542614974,B,-0.4755471101465074,A,C,E,D,E,-6.366868631246876,B,B,-65.34766367738277,A,60.46773206468208,B,B,1
Jewish,Heterosexual,Hispanic,51-65,11.665028580923474,-154.19593120678545,E,-77.79801411123199,E,E,A,D,C,-52.7033156195743,C,D,106.7670860126159,C,-242.01684791705182,A,A,0
Other,Other,Other,65+,66.43289854175171,144.19096686348416,A,-129.95695416082256,B,E,B,D,E,-44.43366885543914,D,C,-51.32186288151315,E,157.544911698064,C,B,0
Other,Homosexual,White,65+,-100.33562931655253,116.29821203864665,B,-65.16205669384142,D,A,C,E,D,12.312411376472248,B,E,-142.9020444774702,A,-71.81569502421648,E,A,0
Hindu,Bisexual,Hispanic,26-35,60.271654135704765,146.3096069659362,C,-34.038195782962376,E,C,B,D,E,59.84405980740184,B,E,148.68349091907433,A,-64.07359751091207,D,B,0
None,Bisexual,White,65+,-167.89147671886298,46.47457775109455,A,57.80641511190318,E,C,D,A,B,-27.409435174470296,C,A,-97.25508992689606,B,-117.40998262842952,A,E,1
Christian,Other,Asian,51-65,118.74123144264325,35.95384121433385,B,-5.9118531372332255,E,A,C,B,B,-27.241676442707657,C,B,-74.3553011857124,A,91.36833690855732,D,D,0
Christian,Heterosexual,Other,51-65,-111.72883499153654,6.191038856918726,C,127.65882584996122,D,D,C,D,C,-9.347902635818942,B,C,-6.251172317308451,A,-149.6189215653467,E,C,1
Buddhist,Heterosexual,Hispanic,18-25,48.63702946570167,53.70990201923084,B,54.489442077222215,E,A,E,D,D,33.374507368812644,A,A,-60.36236921238106,B,-88.4794571982984,E,B,0
Buddhist,Homosexual,Hispanic,18-25,126.18396765098498,-95.5012386463882,C,-71.98235580982798,B,D,C,E,E,-166.28536397826298,C,A,-50.9135598384503,B,23.228577913801274,B,D,1
Christian,Other,Black,26-35,147.2074972214321,-98.67432843867891,B,55.769733516089644,E,E,A,E,B,16.22426706344226,B,D,8.37629887101053,E,92.02801297423072,D,B,0
Hindu,Other,Black,36-50,17.19581155221162,75.95504352700112,E,-62.78099831249085,D,C,C,B,A,42.736683811537304,C,A,93.86679221827772,E,-13.704960304750417,A,D,1
Buddhist,Other,Hispanic,65+,-145.99880080205165,69.08767385104747,A,-6.396039714960805,B,E,B,C,B,33.032292339110064,A,A,-108.55328465543523,E,27.13902681476369,A,A,1
Muslim,Bisexual,Asian,26-35,9.063258858076525,33.47838279411282,E,15.174661623991916,E,E,E,E,A,176.5270237987948,C,E,-142.56801524796063,E,-8.478097675766065,B,B,1
Buddhist,Homosexual,African American,26-35,141.87763922438128,16.60728142944684,C,6.6522398472789375,C,D,E,E,E,47.55165755293961,A,E,-172.00930010282863,A,-31.327712154850364,C,C,0
Buddhist,Other,Asian,26-35,-118.78971607300994,-58.60550570053148,C,68.65670183066368,C,B,C,E,E,-50.93329219944142,C,B,50.599356618107485,D,66.87821184631176,A,E,0
Hindu,Homosexual,African American,36-50,63.97259697461515,144.55727057887017,B,196.4360174338118,C,A,B,A,D,-167.04218950206854,C,B,-29.967268966605083,E,-61.61677429291926,E,B,1
Other,Other,Other,65+,-112.11626568019837,137.63561292600042,D,122.57161262163099,B,B,B,D,D,27.401940980409645,B,A,-50.184396260794806,B,-137.11229311563596,B,B,0
None,Homosexual,Asian,18-25,36.280441732618755,-194.87367222966037,C,-12.240282210407951,A,B,D,A,C,-164.68256392088765,C,A,168.62792759906264,C,111.97276263570338,A,E,1
Hindu,Heterosexual,Asian,18-25,81.31467179863861,-54.396984177952476,D,34.11488705443884,E,B,C,D,A,-70.60861399754984,A,D,33.86554063406147,E,197.31214186781298,D,A,1
Jewish,Homosexual,African American,26-35,-126.783576784176,-77.06453996032334,A,38.382995576862754,C,A,D,D,E,80.426214289333,D,A,-31.58069403790994,D,-20.920665801507493,D,E,0
Christian,Other,Hispanic,51-65,-141.00772661279098,156.83221390687044,D,15.462532810702148,A,D,B,A,B,15.435798581724022,C,E,-43.47523966595585,E,190.7491362048567,C,B,1
Muslim,Heterosexual,Black,51-65,-31.72195950869027,63.48910948224955,A,56.135971740429525,C,C,C,C,A,-327.1622313657995,D,E,-43.39470632165576,B,156.42577477894605,C,A,0
Hindu,Heterosexual,Hispanic,26-35,-63.8235537414722,16.77203428454151,C,35.28964994250802,C,A,A,B,D,-101.39183279042278,D,D,109.7215925608748,B,-79.37931686132397,C,A,1
Muslim,Homosexual,African American,36-50,-61.31936685524637,-111.28791219856558,D,51.33464733078805,A,D,B,A,E,71.00957357547584,E,C,13.036489035077484,A,-17.81133233351331,D,D,1
Buddhist,Homosexual,Black,36-50,72.24774402032126,9.885522942698087,D,116.68794562989785,B,A,E,E,E,183.68144012875865,B,B,-53.0601517752179,A,6.482860228140512,D,A,1
Jewish,Bisexual,White,65+,-178.69733981956173,-172.4782038802301,E,131.2570916556497,B,D,D,C,E,91.30197787873998,E,C,0.7575799491893946,A,107.66886089655492,B,B,1
None,Heterosexual,Black,18-25,-57.363595205534914,-28.50751979042887,C,135.72408674017979,A,A,E,C,A,149.53037206620087,A,B,104.50737186840723,C,-81.78502000306395,D,B,1
Buddhist,Heterosexual,African American,51-65,174.80552280259252,48.00542143684201,C,-217.99785729813382,B,A,D,D,E,42.552894860884216,A,C,111.00348113332737,C,289.64731352375276,B,D,1
Buddhist,Bisexual,Hispanic,51-65,52.94162728173695,-8.984928920555374,B,217.98276099420403,D,D,D,B,E,123.71451914175617,E,D,139.47106836998105,E,-40.65454626596214,B,A,1
Other,Homosexual,White,51-65,18.299965744502984,-9.05010400015592,B,43.534799455706406,A,B,A,D,B,168.99452327539015,C,E,-117.65141899677471,B,38.66159005610407,C,B,1
Buddhist,Heterosexual,Asian,65+,61.17945498765127,39.426570933362896,D,-142.62022325796536,B,E,A,D,B,-1.3109437308372638,E,B,131.08361387182964,C,-50.22558392528996,A,A,1
Hindu,Heterosexual,Hispanic,26-35,20.867804679591206,-98.57055980329845,A,6.046653637614257,A,E,D,B,A,176.52397233116005,E,B,-176.6279571373764,E,-117.00194884764068,C,D,0
Christian,Bisexual,African American,18-25,-49.799018449809765,40.037435099968974,B,155.2884149900835,A,C,B,E,C,8.694784897697467,E,C,159.8538576881333,C,-166.3912747076473,D,E,0
Buddhist,Heterosexual,Black,51-65,64.52228640758811,36.442880704648154,B,106.53082283419131,B,C,E,D,C,47.13064290196568,A,E,-71.20997689708585,A,-96.01027360425104,A,C,0
Buddhist,Other,White,26-35,-26.21709473131004,-13.171796642032929,B,-4.350761994898003,E,B,D,D,E,-183.93537447497673,C,B,-113.04049524726665,A,-269.2213873752646,D,A,0
Christian,Other,Other,36-50,-18.072228502708523,130.71288620665047,B,-146.08890427020543,D,B,B,E,D,32.97282409321352,C,E,266.6163675353439,D,65.88557242836394,A,E,0
Muslim,Bisexual,African American,51-65,40.08477049051713,-102.39659772283932,D,-30.961536323733192,D,A,A,D,B,15.29504952358991,C,C,-63.21330222694436,C,-104.2810210182078,A,A,1
Jewish,Homosexual,Other,36-50,-97.95449437296926,109.11911615747039,B,42.076166690629115,B,B,A,D,D,108.54638014192568,E,A,235.3268935738978,D,-30.778387392100765,E,A,1
None,Bisexual,Asian,51-65,146.96643037261668,-128.2110674600537,C,-54.412314578030255,C,D,B,C,B,80.61041975108289,C,C,24.661063490755218,D,172.041722555633,C,D,1
None,Heterosexual,Hispanic,65+,62.175739683531106,-222.14871206457158,E,-109.09459542700033,E,B,D,A,E,329.3978446965362,A,E,-6.164500823082088,A,-89.20806756418946,D,A,0
Jewish,Bisexual,Asian,51-65,-66.98678136309371,-91.53751033949035,E,99.91340342775432,A,D,C,B,B,52.47806890538931,E,D,-64.9143626271267,D,95.17148904491924,D,B,1
Buddhist,Other,African American,51-65,165.5332066785013,-56.12439564372804,D,83.76377971221004,A,A,B,E,C,134.40563579218795,A,D,-0.6436181975860984,A,-143.1701500649959,B,C,0
Hindu,Bisexual,Hispanic,51-65,56.68538761642795,95.26812513621165,E,41.00667853787861,D,E,B,A,D,-99.48735864339038,C,C,6.888664573145416,D,52.03436447961947,E,A,0
Muslim,Heterosexual,Hispanic,26-35,56.31824106182003,-223.61010361981445,D,30.233115891380592,C,E,A,C,C,37.88679466018215,A,D,113.8718086798012,D,-13.596202328950218,B,B,1
Jewish,Homosexual,Black,51-65,96.32228248472778,64.1886736576733,C,-69.14382274425903,D,A,E,D,E,-127.44712754630969,C,C,4.145800140245264,E,64.26902918078999,D,E,0
Jewish,Bisexual,Asian,18-25,-261.9225011577001,-18.643934548098372,A,44.7478401124906,C,B,A,A,D,-95.035249606804,B,B,10.486123670252148,D,57.47100878901207,B,B,1
None,Other,Asian,36-50,154.56177781622,-85.55035943992631,E,88.28032917466271,A,D,B,E,B,-67.80398823996178,E,D,75.32017900110797,A,12.718444421635287,C,A,0
Jewish,Bisexual,White,51-65,103.67637360379473,35.24887726396867,B,71.98790117107686,B,E,A,C,A,-188.681599147509,D,D,-6.16964436777858,B,86.93833801085785,D,A,1
None,Homosexual,Asian,36-50,104.22653106376806,-13.218889656387292,A,43.492517371540224,A,B,E,D,D,165.58465731927114,B,A,-65.55353731359398,C,-103.25619785392473,A,A,0
None,Homosexual,Other,18-25,211.99002848296672,-139.2215684947366,B,165.86578612354046,D,C,C,A,B,-16.840359195576426,A,A,-3.5549437352592266,D,11.639961574811695,C,A,0
Jewish,Homosexual,Asian,18-25,7.339661995288529,-133.61963038220117,C,-96.28398704665365,D,C,B,D,C,-30.26875619643215,C,D,95.40824392429036,E,131.7889879670687,D,D,0
Christian,Other,Other,18-25,38.55352876040122,2.103217506895106,C,15.073832809729184,E,D,A,B,C,15.92098174415479,A,E,126.7612834478197,C,67.07227555536683,E,C,0
Other,Homosexual,Other,51-65,-17.930645219380853,132.21421113969097,B,-45.15663190430862,B,B,A,B,D,63.807892328153734,C,B,-69.94291089981694,D,135.65263893248346,C,C,0
Jewish,Bisexual,Asian,65+,-148.6646598381467,51.34393340535437,B,-43.77393847641317,C,A,E,C,E,190.33046071785768,A,A,53.99534033944738,B,-105.0617612096381,B,E,0
Hindu,Other,White,26-35,-148.86942172365687,61.9542588590859,B,-7.650866578059722,C,E,D,A,B,-85.27118832051194,E,D,85.17431648920409,A,58.84365311473546,B,E,0
None,Heterosexual,White,65+,-75.66461168734727,64.2672907823977,C,-98.4689339256285,E,B,D,B,D,40.66047242780335,B,D,-31.93450026801775,B,177.4898871708668,D,A,1
Jewish,Other,Asian,26-35,-77.06470636341804,-19.912818414823455,E,-21.825227676667886,D,C,A,B,C,187.20344776821747,D,E,-25.07218984776899,C,-12.897661195984911,E,C,0
Hindu,Heterosexual,Hispanic,51-65,-179.6065588193364,-48.323510415795816,C,67.7316111897257,E,A,C,C,A,58.612221884578155,D,E,-49.321941338575634,D,-166.14030379570414,B,D,1
Christian,Other,Black,36-50,84.15607229904086,-62.28724718692115,C,-27.58048513088856,E,A,B,E,B,-159.84095951810147,C,D,47.28772757283279,C,-78.73914608171532,B,D,1
Christian,Heterosexual,Asian,65+,-142.0284627482051,219.25830805580463,C,74.19844045756977,C,D,C,D,B,-176.2475189452943,E,C,-29.112165453928355,E,40.18828215554809,A,A,0
Hindu,Bisexual,Black,51-65,-21.157937724799318,91.60130036245081,D,-109.63381027339749,C,D,B,D,E,126.65273720713299,B,E,-97.52922616498456,A,112.11004073508934,D,C,1
Christian,Homosexual,Hispanic,26-35,52.44154696283331,-102.85863624183627,B,15.493463200050318,E,E,A,B,E,182.57034208048717,B,A,62.00596712250973,E,-53.3954643426684,D,D,0
Other,Homosexual,White,65+,-136.76587695583152,97.33937330922325,D,-54.22590365462556,C,E,C,A,A,38.17834406332594,B,D,46.08239298090728,D,-72.59464718988464,B,E,0
Other,Homosexual,Other,51-65,-184.54956846877957,-116.57385034896845,E,-7.539780854437694,E,B,E,D,C,-27.375218697446297,A,B,-108.25860833937453,D,-202.43820082430614,D,D,1
Buddhist,Other,White,26-35,88.08077975108219,-41.70634697512351,D,-135.48288505345553,C,D,E,B,B,-28.733941622519183,E,E,40.116038619140625,C,-225.72845138153806,A,D,0
Buddhist,Other,Other,36-50,-73.52169883278236,-114.81627097545142,A,-83.96110181748064,C,D,C,E,C,-107.32940512664729,C,A,114.76802108290963,E,-127.84569928335013,E,A,1
Jewish,Other,African American,36-50,-228.43515179178522,53.15591258131545,B,-127.57642195823821,E,A,C,B,C,1.4180396600668232,C,E,-104.90285892553814,C,-116.54126192446456,D,B,0
Hindu,Bisexual,Black,36-50,-173.2558487134422,10.497037440950406,E,37.06869311790687,C,D,E,A,E,-58.4548510930319,B,B,69.45156152006861,B,90.47033549235589,E,B,1
Buddhist,Heterosexual,Hispanic,51-65,125.21192483815507,-85.35828641748931,C,-50.806415376416815,C,E,C,B,C,38.2203165205716,C,A,-60.645863855029326,B,-150.71668343012186,E,C,1
Buddhist,Homosexual,White,18-25,177.26834086318405,-80.27150590132632,B,-70.2388826071163,E,D,A,A,E,-165.64513628410413,A,B,173.24386652463696,E,60.26149401716929,C,E,0
Other,Bisexual,Other,51-65,81.40908368124445,169.6107113568155,A,11.50000145071958,D,D,C,D,C,0.5772276739181231,D,C,22.74216733468137,A,-149.30025293674126,A,D,0
Jewish,Heterosexual,Asian,18-25,-33.73284261751717,141.29265514318837,B,-60.95681976734567,B,A,E,D,B,37.03885277105745,C,B,-61.67970444151013,D,11.431216486073305,A,C,1
Hindu,Other,Black,18-25,15.911327793208995,2.1144588702174563,C,-115.20146423325606,D,E,C,A,D,58.85474995574243,E,D,99.3761600479594,E,25.40023535003319,D,E,0
Muslim,Homosexual,African American,26-35,30.768717007117967,62.489375135371816,E,-264.3953538605886,D,B,A,A,E,206.77871858521323,C,D,-51.359638695902696,B,-95.81201726215494,B,C,0
Jewish,Bisexual,Hispanic,36-50,-89.50136563704146,19.26616911833516,D,155.33772028923184,E,E,C,D,B,75.56552273073129,C,D,-6.007148863841394,E,23.594084722598044,D,E,0
Hindu,Homosexual,Asian,65+,-100.49787823787995,155.47384805182236,C,11.78412509340604,E,A,B,B,C,27.263636043373513,E,C,-15.217182079040494,A,116.55046907156101,C,B,1
Hindu,Homosexual,White,65+,89.50875083709042,62.267398330895986,C,77.34232929270102,C,E,B,D,B,-73.54848277279547,E,B,-127.38467277016319,E,-110.22835068705564,D,D,0
