age_range,feature_0,feature_1,feature_2,feature_3,feature_4,target
18-25,9.888844622375528,11.709550170897295,D,A,E,0
18-25,-68.712692712583,87.92646248172129,B,B,A,1
18-25,-134.77124803272432,3.627741222014863,A,B,E,0
18-25,-107.4472150760367,-54.9231646886027,A,B,B,0
26-35,56.62382750223609,-100.55813368591306,C,A,B,0
26-35,35.33686172699898,54.97653882768956,C,D,D,1
51-65,-150.82112406568544,171.20787073937012,D,B,B,1
51-65,139.1499832573789,-62.578510986230576,B,C,C,1
18-25,-86.3049446452172,23.43791552959798,D,D,A,0
18-25,1.7882605342576372,-199.77031521985467,B,A,A,0
18-25,245.09033682673777,-237.8984092770924,A,D,B,1
18-25,-21.010876254872475,62.19901830964606,A,C,D,0
18-25,159.9488682905949,-51.788057068366236,C,C,A,1
36-50,-30.11711833626236,29.82146607039763,B,B,A,1
18-25,-145.24993110968586,-67.32609798790754,D,D,E,0
51-65,-98.48180339571674,-72.26175541875114,A,B,D,0
26-35,86.69756963036617,67.40922027927752,D,E,E,0
65+,-109.65615570691966,-44.19743366717848,C,C,E,1
26-35,83.74680585415085,-1.4943120973094348,A,E,B,0
18-25,6.470986206604068,-36.746041990001146,C,A,D,0
18-25,-73.04090787753131,1.97841367132084,D,D,C,0
51-65,105.60165742416214,91.08117909840661,E,C,E,1
65+,-173.0775166968213,-24.279717204221292,B,C,B,1
18-25,-109.28156252987391,85.02345136719072,D,E,B,0
36-50,-109.20329747770379,83.0136779439668,D,A,A,1
18-25,174.6590753459789,298.0781688942544,E,C,B,1
26-35,-81.79157878864685,45.43211995908645,E,C,C,0
18-25,191.2901384331895,116.33404324433472,E,E,A,0
36-50,39.19705676009913,-111.94784916561026,C,B,D,1
51-65,70.52010509245113,93.74395820850576,C,A,D,1
26-35,-126.06411286073981,-188.61429025406733,D,C,A,0
65+,-43.09933227656762,-6.597230116018628,A,E,B,1
26-35,18.093255830317837,-43.82611400855974,B,E,D,1
36-50,180.30089988620884,95.04770518405451,E,E,E,1
26-35,-45.392088554189556,48.521314558428344,B,A,C,0
18-25,2.1090923068003926,-58.16941580778949,C,B,C,1
36-50,72.01234600303724,83.04780251035199,E,C,B,1
26-35,28.606715628677154,56.337847731882704,C,C,C,0
26-35,140.84828535909148,150.8649212887058,A,D,A,0
51-65,-132.1521967606993,29.10971712802012,D,A,C,0
36-50,-58.095895077475824,-121.39209227768164,B,E,D,0
18-25,-83.29048130804084,216.45430241218384,B,E,C,0
65+,25.22058185078912,76.44333684479874,E,B,C,1
51-65,-67.56139312682389,-74.91835111029876,A,A,D,0
26-35,-36.13762316988745,102.34967542418605,C,B,E,0
26-35,-95.16361980194291,131.6709374135901,D,E,C,1
51-65,101.54083502998073,7.35755503624865,A,E,B,1
26-35,-68.80409574275116,117.00256171931198,D,E,C,1
65+,66.70652661949724,65.56555509627351,B,B,C,1
51-65,43.492472013179736,-40.980312181833284,D,D,E,1
51-65,-96.09779487799159,-18.69227717210262,B,B,C,1
51-65,95.48761760269657,-44.84233976676104,A,E,C,0
36-50,-65.3785643512095,-116.44373114931793,D,D,E,0
18-25,-216.92962451143805,10.825832700824039,B,D,A,1
51-65,117.35209388417675,-69.1416197501485,E,B,E,0
26-35,1.1459098196687134,-115.86250924582018,C,C,D,1
18-25,77.7126865781949,-36.56859268815247,D,E,D,1
65+,48.80015653285782,167.69846815634298,D,C,C,0
51-65,-180.65789829774553,-136.9051343471438,E,E,D,1
26-35,112.20698575463423,-29.277513291700117,D,D,A,0
65+,79.31096524881784,34.61819774123517,C,B,D,1
18-25,-20.365093832845584,-91.61079260020523,C,A,E,1
51-65,-6.317843221132587,-98.22523959381869,D,A,D,0
18-25,91.98073448364157,-0.6824560932905799,C,D,D,1
18-25,-25.865626860015116,-33.40019331170087,C,A,B,0
65+,98.57987625849847,17.314027453803753,B,E,E,0
26-35,-73.79839068912347,-21.54450365395441,D,E,D,0
18-25,35.37643843611259,45.19124474878387,A,C,A,1
65+,110.50041947216367,1.8151093605044597,D,E,A,1
36-50,-140.42371334685032,169.65291969145542,D,C,E,1
65+,135.4405778498017,-24.31529229686566,A,C,B,1
65+,-56.679627444730116,-100.06175678894496,E,E,D,0
26-35,35.96142427977017,125.75753198661998,E,E,C,0
51-65,14.209008035601196,-4.634956209258609,D,B,E,0
18-25,-278.63578275889466,-36.008607150672546,C,D,C,0
51-65,36.37335980901638,62.76149144230311,D,D,A,1
65+,112.33118981134575,-36.65659859176938,C,E,D,1
18-25,-40.49248080220659,118.79704401752255,D,C,B,1
36-50,-8.258163010260928,-59.95001282715209,B,E,A,1
26-35,29.771206518807585,-46.39780197466953,E,A,A,1
36-50,81.38506931149152,49.717322745284484,B,C,D,0
26-35,76.12202275106003,-13.577787155050192,A,E,D,1
26-35,-13.28112489048455,-52.45381403811804,B,E,B,1
36-50,-31.572162402591996,-31.836151912100842,E,A,B,0
36-50,122.71651491849336,-51.98220909700731,B,B,E,1
51-65,-234.15346754462516,-40.594126607979945,B,D,D,1
51-65,13.646229355033643,242.16669705545272,B,B,A,0
36-50,-28.595774988507692,66.88435306787594,C,B,B,0
18-25,37.20247154430979,10.506345272477626,D,C,B,1
65+,-3.609435783628323,-140.0673582237343,C,B,B,1
18-25,51.11885603741558,98.5877301548619,D,E,C,1
65+,-153.43365520801828,-11.16988272329552,C,B,A,1
51-65,-9.862061186378025,21.590917971958984,D,C,B,1
51-65,-10.408083104031656,-105.96936488560954,B,E,B,0
51-65,66.65980710119538,85.28900056231721,E,C,D,1
18-25,48.38219504539418,-105.20863686014015,B,E,C,0
65+,-144.54781907352432,-151.8394161933844,D,B,A,0
65+,-77.57241754438095,-51.03682375247639,B,D,E,1
18-25,33.881463638150215,-6.154667856267002,D,B,D,0
26-35,-143.53195427453528,-95.12030718129652,E,D,A,1
65+,-129.02101044296026,-49.60219296028611,B,A,D,0
36-50,33.217031488239954,43.247911549202314,D,E,B,1
51-65,23.143947262751137,17.54003511481301,E,E,A,1
26-35,-195.47657345729377,168.45595986322832,A,C,C,1
51-65,31.201277470664067,-10.506760569306035,A,A,E,1
51-65,-4.262394907754565,83.54570119070229,C,D,C,1
65+,8.95831701992881,-107.33559636496486,B,B,A,1
18-25,-126.0180561616664,-13.3949691347941,C,A,A,0
65+,34.50269339125835,45.550552595987064,B,B,C,0
26-35,-19.781830011298098,112.19553235776081,E,A,D,0
26-35,-1.8148281506537074,-36.62760351743698,C,B,A,1
36-50,-14.501486370737272,-22.911531061877838,C,E,C,0
18-25,-127.45967203923271,-19.148653726674677,A,E,E,1
51-65,-36.259888752033774,-250.9575868685574,B,B,C,0
51-65,-63.340226874222004,-112.02296654438257,A,D,C,1
65+,-77.680908891843,-149.41839041258916,E,C,A,0
65+,67.07861450809592,-70.96851121239077,B,E,E,0
36-50,-104.52226573623369,33.026300606322806,A,C,E,1
18-25,130.30011659114763,-97.30603050164888,D,E,E,0
36-50,137.2161959729966,158.5339852620462,C,B,E,1
65+,-211.66899436069042,-17.764349447877986,C,E,C,0
65+,-15.82568708379263,-54.835694317327885,C,C,D,0
36-50,27.186632177446302,-96.96881512892213,C,E,D,0
36-50,-108.55931516793764,23.82639636461335,C,B,C,0
65+,-36.391023792876496,-46.26830949811585,D,B,E,0
51-65,-123.65213263234412,-91.99987379734203,E,A,B,0
18-25,71.12127452761564,70.29227521136868,D,A,C,0
18-25,85.02975481028845,-9.784740384845241,B,E,E,0
65+,-7.5187973643469945,107.03259817791542,C,B,E,0
18-25,74.35921492881727,100.64106681795322,B,A,A,1
26-35,-96.9808081443461,10.828085991126919,A,D,D,1
36-50,-23.475536131328827,48.89647924479385,C,D,E,1
26-35,-75.49693867146479,60.425147906054846,D,D,A,0
65+,74.71672630981688,110.54435442551423,E,C,E,1
26-35,-1.926589962445733,6.063594955115393,D,B,A,1
26-35,123.28483385208287,-98.92541049675434,E,E,A,0
36-50,17.93908286979213,153.22759814630473,D,C,D,0
51-65,108.0223470872872,-89.61918531149216,A,A,D,1
18-25,-126.59977330330014,189.09830500838106,C,C,C,0
36-50,166.93802049074657,31.255884254329498,D,C,E,1
36-50,-9.975438846490373,-0.39504093795204875,B,B,E,0
26-35,-28.085161553781134,-221.06696173390813,B,B,C,0
18-25,3.5838245678646783,-68.28149674240703,D,C,A,0
51-65,5.8765587149905505,48.2387354621428,B,A,D,0
65+,-122.05851893073223,-233.10907550855586,A,D,C,1
18-25,-221.83444264608428,97.47631937126083,A,B,D,1
65+,82.22566507220137,90.5039947262272,A,D,A,0
65+,254.7113201154923,-65.20257355713251,A,D,E,1
18-25,-77.12266863397397,-36.92764474679668,A,A,C,1
36-50,209.66425472934338,35.46451438459924,A,C,C,1
26-35,-5.346496057252007,95.55821921458028,B,C,A,0
51-65,85.46605270474485,159.9358226203857,C,C,E,1
65+,-11.127933160524424,-109.44582133574568,E,E,C,1
18-25,29.801417776821847,51.00128780325589,D,B,E,0
18-25,-90.89263142582674,-21.68769625274866,B,A,C,1
65+,199.9565589231628,146.08751392399165,D,C,D,0
36-50,1.5969375551049731,-2.820623144342951,C,D,A,1
36-50,-34.68572572576025,190.80630014714143,D,B,D,0
36-50,83.49308008498623,134.39077334729382,B,E,D,0
36-50,24.75411608510131,1.903248344768838,A,D,D,0
36-50,190.73843600679717,32.70132968401914,A,E,A,0
36-50,-47.68671624659858,193.00844784172858,A,C,A,0
18-25,-71.66624532533724,-53.32624357192787,C,A,D,0
18-25,149.58706838194271,107.54321032735872,E,B,D,1
18-25,32.546247449080454,-52.80974097664559,D,A,D,0
26-35,69.24226448221312,105.23052313372405,D,C,D,0
18-25,61.76577172232853,-156.024222927501,B,A,A,1
65+,-139.88348417408605,-31.144693961504466,B,B,C,0
51-65,-55.83433605326188,-107.81982846883894,A,D,B,0
65+,62.138070548444446,-44.564968792776504,B,D,E,1
26-35,23.805121841408113,-218.24013438901528,C,E,D,1
26-35,-104.8415586089465,140.14240789164845,E,B,D,0
65+,-32.11157445948164,69.62435779864164,C,D,C,1
65+,-102.21669115140932,-101.76866794222508,E,A,B,0
65+,-53.17135153821274,-21.173838248231895,A,E,C,0
26-35,184.20550438877376,262.4563212738919,E,A,E,1
65+,0.48709283272068477,-6.697661312081858,E,E,C,0
51-65,116.5218390026966,-183.20214369165674,C,B,E,1
36-50,-23.88524281595595,94.48475567929495,A,D,D,0
26-35,112.61561986316298,-23.75431007490637,A,E,B,1
18-25,-92.24537500756165,180.59825140491986,C,A,E,1
36-50,1.648838999842162,-57.89299015604288,A,D,E,1
36-50,26.17591110991741,28.0468571458005,D,E,A,0
18-25,143.361919460426,15.31515986428179,C,C,B,1
51-65,-138.63881024397057,-141.26691852380492,A,A,A,0
18-25,-108.8457963983118,-64.37064952790618,B,A,A,0
18-25,166.5029302485712,70.69167182174996,E,E,D,0
65+,-79.70969199515736,36.389219528632395,E,A,A,0
36-50,195.0494417072104,-103.24911119788919,C,E,A,1
51-65,61.31546701235548,135.41891730064154,A,B,E,1
26-35,-59.80236465190117,24.65058103257418,B,A,E,1
18-25,-60.923168329621355,-80.18686577670364,B,C,E,1
51-65,181.12816323012652,20.391794706101386,B,D,B,1
18-25,14.649032109407386,43.348782927572614,E,E,A,1
65+,212.32702544724037,-12.418819506962663,B,A,B,0
65+,-29.096308636065725,-14.269981038964904,B,B,D,0
18-25,-114.24048570267055,34.55453555124405,A,A,A,0
51-65,-52.717557924064565,-121.16038129128337,D,B,E,1
26-35,-139.69740848037134,-97.92595900413154,D,B,C,0
26-35,-139.81613545549598,84.064652793638,D,D,A,1
36-50,-145.07381343633247,27.227613772244197,D,E,D,1
36-50,-50.16184098149259,0.6229625413571402,A,E,D,0
65+,110.16061145356521,12.329328275369145,C,B,B,0
36-50,213.64520873029247,8.977685297626284,C,A,C,1
36-50,-51.66460654217096,25.29413065941991,E,D,C,1
65+,124.27561619740963,-174.52029905917237,D,C,A,1
26-35,-141.04159575516843,43.81489323329186,E,A,B,1
51-65,31.989279338638127,-33.86945374147491,C,E,D,1
65+,4.293157418768943,39.84490392269768,B,C,D,1
18-25,-20.63662236231332,60.37894126318156,B,E,A,0
26-35,32.33848430162407,112.0053107991706,A,C,C,0
51-65,89.310902636995,12.193258373685554,B,E,E,1
51-65,22.87098729603258,-58.47373544162752,C,D,B,1
36-50,-122.22519784845198,-16.541169306563898,A,B,C,0
36-50,-107.96430936946155,56.57635239068999,C,E,D,0
65+,-76.54291748818602,-52.06390832916836,C,E,D,1
51-65,9.049132885030964,-67.88598775641506,C,D,D,0
36-50,-191.9185329115711,63.83591336265504,E,A,A,0
18-25,-117.25092688136785,-149.72393534527177,C,C,E,1
36-50,-8.859078829521783,-73.21147738901816,A,D,C,1
36-50,-162.7674738354338,-137.92598187083857,A,C,B,0
18-25,116.99360143559245,59.295844966670764,D,B,C,1
65+,-142.46276067335418,101.48544446276352,E,E,B,0
65+,-55.156276643017534,144.53434334653312,E,A,D,1
18-25,-129.57038766370587,42.391885156798104,E,E,B,1
36-50,155.49706428101712,3.548657909034228,C,D,E,1
18-25,2.708363593249276,-64.67684378621725,C,D,C,1
18-25,-117.29538639458414,186.9312418004113,A,C,A,1
18-25,-18.169337641477313,50.70911859277161,E,B,A,1
18-25,-49.07041816798265,49.03290734950085,E,B,E,0
51-65,-139.7020775341396,-127.62116205917981,D,B,D,0
18-25,-73.56475016304707,-8.587538833008784,D,D,B,1
51-65,-48.370186806048345,-130.50630029486487,D,C,C,1
51-65,124.76235504428223,-4.2627997369353885,B,D,B,1
26-35,-178.79412786751837,-102.40852341175332,C,A,D,1
36-50,-43.91176262885675,205.70916045450747,E,A,A,1
26-35,-77.6978193404061,-15.155663113241314,B,E,B,0
65+,91.2951205307218,18.049964997157332,A,E,A,0
65+,103.05363426985184,-82.77083772615605,A,D,D,0
36-50,-52.62957637897936,-79.62015562004106,B,D,E,0
36-50,-127.35044300938179,-82.66470331584034,D,E,A,0
26-35,177.98071180326838,-108.50646295424391,C,D,E,1
26-35,171.9727885349043,-158.3154168910233,A,B,A,0
18-25,131.6780280878941,-128.56359629362788,A,B,B,1
51-65,-71.66650265562558,135.05864367870618,B,D,A,1
26-35,-15.19158580384361,-186.45663205067117,E,B,D,1
51-65,150.6141465464162,12.820525886035567,E,C,E,0
65+,-135.51585343512974,169.2190772386001,A,A,A,1
51-65,0.28352107393198406,-53.001637967161756,A,A,C,1
36-50,-146.92799112481964,107.21548687478435,C,B,E,0
65+,88.13480147041517,209.4789694698638,B,C,D,0
36-50,-44.673556580763666,-76.66001190923234,C,D,A,0
36-50,2.259764121371684,119.37052852574499,C,E,E,0
36-50,-34.40042246962355,-13.455696090902928,B,E,D,0
26-35,32.28250205862412,37.110098908842744,C,C,B,1
51-65,-20.18805595894389,108.11500904695069,A,C,C,0
36-50,-73.99857050488136,51.7865048712092,C,E,D,1
26-35,-202.19993318278577,-37.845193284688,E,C,B,0
36-50,7.955348799844988,62.16290497627555,E,E,C,1
26-35,40.0019665730557,-74.58355567647837,E,E,E,0
26-35,-139.75256149878447,225.0054126837987,E,A,C,0
51-65,-102.7702073592447,-134.3246033588066,E,C,A,0
51-65,-61.22565752185069,24.046708867374132,E,D,C,0
51-65,94.63533828427079,55.10187483230917,E,D,D,1
65+,93.05593065890862,196.43985424989026,B,B,E,0
36-50,-203.34106200067038,-173.29783293699523,B,A,E,0
65+,-49.570442169135355,-12.456705682510858,E,C,B,1
18-25,-0.6482252406694222,21.39008686819336,B,E,B,0
36-50,-92.1813588462518,50.366574474159066,A,A,A,0
26-35,-75.46381766471798,60.48703068491146,C,C,D,0
18-25,-43.90396904409498,109.98255655474425,D,A,B,0
18-25,-14.63197155996582,183.33648367540937,D,D,B,0
65+,-162.08897625791042,11.929975551353959,E,B,A,0
26-35,-33.351934710967896,-172.77969745178342,C,A,D,0
18-25,61.37332288073865,58.37559952118511,B,A,E,0
18-25,-78.51864893614294,120.55564046288012,A,E,A,0
18-25,47.977191719792756,156.33384282331113,E,D,B,0
51-65,-72.33383763976545,127.69326056843424,D,A,B,1
51-65,-61.066353835758946,6.473236222724818,B,D,E,0
26-35,90.90866428471534,-89.66583303059943,D,A,D,0
51-65,-106.01030808029546,-174.13325796168664,C,A,A,0
36-50,-136.2476231923693,-24.030296156031994,B,A,C,0
26-35,-78.01833165187224,-23.73327515234421,C,B,B,1
36-50,99.01029459000985,84.90440580237862,D,C,A,0
65+,-26.452605877114422,-52.47038903299745,A,E,C,1
65+,45.227102109728776,-50.2936372698495,B,A,A,1
65+,125.36491708027073,-43.22716672938979,C,A,B,1
26-35,28.685039002618613,114.60289151118408,E,E,B,0
51-65,-166.32595772296958,209.55591373253876,D,C,D,0
65+,-55.538375489203894,-217.80010640196744,A,D,D,0
26-35,-228.52769377966578,-54.615624613570304,E,C,C,1
18-25,-17.78776301699039,-14.930679780016506,C,D,C,0
51-65,127.7317067992245,131.8515397336193,C,D,C,0
65+,53.382039796015626,144.4054780758392,D,B,E,1
18-25,-5.211138286363045,33.59147078541706,A,A,E,0
65+,-60.77491819002325,-249.74239217013374,E,E,B,1
65+,-19.18370654714037,38.62812632984574,A,D,E,1
26-35,100.20632887070417,198.87452433745494,C,D,D,1
26-35,-1.606536793549213,-62.32142244338842,D,E,E,1
36-50,-120.21723540763244,-32.372295231605165,A,E,D,0
51-65,50.55318330829718,-185.9704595116376,A,D,C,1
51-65,-166.13298672379875,44.82827038594191,D,A,D,0
18-25,-7.905309478347962,-41.50401676165136,A,E,B,1
65+,131.8209182597859,59.67813881103796,B,C,B,1
65+,-110.66298806479864,-123.82784353368656,B,A,E,1
26-35,-84.9346410810147,-36.58615838277357,E,A,D,1
51-65,-18.98350617670269,123.00668926507643,A,D,A,1
18-25,140.8239279715932,-155.38253644920013,A,A,C,1
65+,-135.85011750665802,-118.17364324256734,D,C,E,1
26-35,17.38605326536511,19.656032149249594,C,B,C,0
36-50,10.261187659436843,66.7286021356017,C,B,C,0
65+,212.63591027104033,78.54139100267801,D,E,D,0
18-25,155.18764564571632,-134.3350138776483,E,D,C,0
26-35,40.97080549087202,-105.16246966366634,E,B,D,0
65+,-112.26655370087005,55.14693532823082,B,B,C,0
36-50,-200.28090662326665,9.035554590978764,A,A,B,0
26-35,-70.10246803776926,-70.19343499626208,C,C,D,0
65+,112.78226255132273,131.11318993425846,E,E,D,1
18-25,77.67624569348769,-39.09436241743371,D,A,C,1
18-25,66.35014698370487,-52.16897039299357,C,A,A,1
36-50,-117.638538342154,38.611100796383965,C,B,B,1
65+,169.253657685319,130.1469475898963,A,A,A,1
18-25,-85.88448512012877,-67.92163847782243,C,A,E,0
26-35,135.44804400814897,-87.7094781608194,E,A,A,1
26-35,36.442284986535505,-39.2084517862759,C,C,C,0
65+,-33.725216391073864,72.1266146997315,D,C,A,1
36-50,23.502057485445217,-150.01563737155595,C,B,B,1
18-25,165.70619616499923,6.698454964429613,B,A,E,0
18-25,72.6424537901514,69.04750455088114,A,E,D,1
51-65,122.07864133057404,-45.6700598779845,C,B,D,1
26-35,-32.11839682837089,110.71632443962804,D,E,A,1
65+,-100.06377156811706,-92.99817185664435,D,D,A,0
18-25,-6.612648907657251,209.32783123079645,D,C,B,1
36-50,-69.94762357033117,165.79906832873453,D,A,C,1
51-65,-106.8577502141215,117.57019250481197,B,A,C,0
26-35,7.1551600189571865,28.656539672028636,D,B,D,0
36-50,45.2802099645323,84.55387199111797,B,A,E,1
65+,-65.28875938563894,138.66346276779407,C,C,A,1
65+,60.35147028411485,88.4083177572715,E,D,A,1
65+,74.22409040565311,-138.8688289883938,D,C,A,0
26-35,-40.964312146110906,39.378130776920386,C,D,B,0
26-35,3.7260101812716018,-85.31927307130405,A,E,D,0
36-50,115.26990410900343,152.37063302119435,E,A,B,0
18-25,96.5246374103357,-28.005676682802633,C,D,A,1
18-25,-116.30934531590515,-68.47324415887638,E,C,A,1
65+,43.11964985462768,-77.62871090220685,A,B,C,0
26-35,16.697406190154023,97.15407087992635,D,E,D,0
36-50,-48.382201205525654,71.29617416383594,D,A,D,0
18-25,-165.64584175720626,-175.863181752711,D,E,E,0
18-25,34.1849885804823,5.935840813182904,C,D,B,1
36-50,5.153210773291121,-29.937866921786245,A,C,A,0
65+,-7.997502181674992,46.58940713995956,E,A,C,0
18-25,-44.25450807850131,-31.79035716922795,C,A,B,1
65+,48.17492809239489,100.11089480532766,E,D,C,1
18-25,128.51834032258347,35.30727152875407,C,D,C,1
65+,-1.8755282634129733,164.17678722185568,C,A,C,1
65+,18.75362233555354,-188.6487644059541,C,E,C,0
36-50,-1.5183797697674801,21.803151429365883,D,C,D,0
51-65,-155.78570198829706,92.34476793390142,C,A,A,1
36-50,-70.54573343366312,-119.39600380097338,B,C,E,1
51-65,-16.089060502285342,-52.22520837009158,D,E,B,1
36-50,142.74802332275897,94.81907338277387,D,B,C,0
65+,111.8597403692886,83.96900192940178,D,A,B,1
36-50,19.780213839521814,-224.1700605176892,B,D,E,0
36-50,25.67733097961893,186.1487356994278,D,B,B,0
36-50,-26.23492685662958,62.39352075465601,C,B,B,0
36-50,-141.11937179409767,104.52603214693607,E,D,E,0
26-35,-102.14040612403119,-100.83239161485508,A,E,E,1
26-35,-64.99093807959652,5.163859101240482,C,A,D,1
51-65,56.82107349065482,121.56001664162687,A,E,C,0
51-65,-9.851200729206756,-86.76419472069992,B,C,C,0
36-50,-33.009184635506394,-143.9269315670211,C,C,B,1
51-65,-38.78957761509831,-16.23658709256623,D,C,D,1
36-50,-26.09794465424782,152.34299467673088,A,A,D,1
18-25,94.86743497629665,55.448368581631236,A,E,B,0
65+,102.54576546941327,-62.388154692009145,E,B,B,1
65+,-120.23481106959227,-149.31900545109445,C,D,A,1
26-35,34.53656369204955,-143.38884970800518,B,A,D,0
51-65,-210.2832507641927,-75.97111787325203,B,A,E,0
51-65,61.871402827353336,-99.2763492561084,C,A,C,1
51-65,169.29058564368322,-117.03984129647496,B,E,A,1
26-35,-50.22693841327504,17.52047895587511,B,B,A,1
51-65,7.604165414831845,113.63507361989551,B,A,D,1
51-65,-35.02157669693419,-115.95981727222302,C,C,A,0
65+,-65.47302666124354,233.44908033348634,C,E,E,0
51-65,-4.216290229054203,-48.448031824470995,C,E,B,1
36-50,-83.68539305414576,-120.85403929170467,C,E,B,0
65+,124.59013397654807,-130.92769776454395,A,D,C,0
36-50,-11.347574761690966,-188.36236115615307,A,C,B,1
26-35,46.370601995299,101.05244842108176,E,C,C,0
65+,-124.96991485157652,-37.89140924362456,E,E,A,1
18-25,138.43935080171806,325.8155096889406,A,B,A,0
51-65,-58.566243210417355,-88.37255229295444,B,E,C,1
26-35,284.6196115854471,97.05380348351915,E,A,D,1
65+,64.82609068683708,-108.39337003238747,B,C,E,0
18-25,-128.6445434707954,-33.45980862001473,D,A,C,0
26-35,-44.78145322200304,126.19133873143669,E,C,B,0
51-65,156.96646746240597,-26.125865616996336,A,D,D,0
51-65,73.57094548545969,-25.396112349778388,D,C,A,1
51-65,-120.82322856426448,-55.597650824417876,A,B,B,1
36-50,-34.33664877246901,30.32612353189213,C,D,A,1
65+,-191.52913251336253,194.9836475929366,B,D,B,0
36-50,129.06217966265547,-12.249736547000296,C,A,B,0
51-65,-62.59595375679917,47.92322057081142,E,C,A,1
65+,24.770342891358613,140.8250778567063,C,B,E,1
51-65,91.84938498894599,-66.42390174453283,C,A,E,0
26-35,27.706894267649407,43.12901770197058,C,C,A,1
65+,-106.84105672929284,-1.9187518271305948,B,C,E,0
36-50,97.48744539937461,11.580983172345155,B,D,D,0
26-35,23.231161621866846,-68.53011784464327,E,C,E,1
36-50,94.87548383680071,30.85156039674186,E,D,E,0
51-65,-45.7776386137004,-275.9077077497079,B,C,C,0
51-65,-66.65162001998026,-0.7936900817860542,A,B,E,1
18-25,-127.30626618202501,-95.5896816031134,C,C,A,0
65+,54.50226541724429,-14.533985167885602,A,A,E,1
51-65,88.13100054009317,-73.14108087660257,A,A,A,0
36-50,35.606155961061525,206.2886185941723,D,D,D,0
26-35,-12.683854033661953,-105.93643839101314,D,B,B,0
18-25,-90.97406587501966,130.9432123361786,A,A,D,0
51-65,72.28685330984602,59.65868944906917,B,E,A,0
26-35,-110.40979671073808,105.04773563728698,A,C,A,0
26-35,-133.56747744995468,86.42151919573742,E,E,E,0
65+,-48.70758217354085,-42.14302872019445,C,C,A,0
65+,17.994675355384263,147.62005959197379,B,B,B,0
51-65,5.366580280813942,104.0770659145486,D,B,B,0
65+,0.782941384145919,141.99210535327867,B,B,B,1
26-35,-11.860705072243965,75.68919919061557,A,D,A,1
36-50,-141.80608089135262,68.61885553836812,A,A,E,0
36-50,35.333619554519466,41.580875388228925,B,E,B,1
65+,110.2780230908067,127.92674352319044,A,E,C,1
26-35,-43.672724963341345,-151.5333484447293,C,B,C,1
26-35,66.343313408902,-43.762153477419844,C,B,A,1
65+,19.748065348329877,-27.7399609001196,E,B,E,1
51-65,10.001674915353696,-38.56780688818456,D,D,E,1
51-65,-29.515577234079828,-7.203669234950981,D,A,E,1
26-35,49.70531810926483,40.52258161545915,D,B,E,0
51-65,34.32800569258714,61.09272345049469,E,B,B,1
