sex,Religion,sexuality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
M,Jewish,Heterosexual,Yes,C,-48.52954761883751,B,-137.54801149285356,-2.285925203775927,112.48156854173087,-68.60737882975076,-98.80693205323473,30.93912101088117,D,E,B,-129.83457221326768,D,24.0257567035128,148.3677912362226,1
Other,Other,Homosexual,No,E,-83.81225762144173,B,-3.3283198394590494,63.00597787909646,-67.23549743852121,-39.03411541211419,15.179331413579645,6.528269040789173,D,B,A,-97.6505365355344,D,-47.3450353368516,-42.24385173542321,1
Male,Jewish,Bisexual,Yes,D,-90.27113523327715,D,159.94595823082045,52.72172700981813,-200.71166549984625,46.34347056349884,36.95862569207584,-311.644641644989,A,D,D,176.10622404620779,E,-199.50511852196632,72.74281440770207,1
Non-binary,Jewish,Homosexual,No,E,-54.80434146718076,E,128.97968611225684,142.4876750357338,-64.01013376304363,-35.19883439522742,-17.672810082562584,15.842981287273231,C,E,E,3.0775463810483066,B,117.5541113339371,90.911159519419,1
Female,Jewish,Heterosexual,Yes,E,-75.2402564001918,D,104.4018979775066,104.8357665116733,110.42093972143464,-39.84681099463853,-92.67415565764165,-174.41282610118017,D,E,D,-1.7489528549293025,C,-40.8426154449296,25.80422258920606,0
M,None,Heterosexual,Yes,C,63.13954759040307,C,-98.25516250318222,43.13571711019139,-62.026058127611584,102.12057617526382,-5.860786441691847,138.35364030262934,D,E,B,-66.17606872629584,A,65.86980958340727,-37.62986326980279,1
Non-binary,None,Bisexual,No,D,26.03122536468913,A,-16.067968691753194,131.90147623113347,34.594621026132586,-22.20839275680025,98.25864712987037,44.96207455295049,D,D,C,21.06044599495206,E,165.01536562311003,-14.383338634506677,0
Female,Muslim,Other,Veteran,D,34.4915246293426,A,-128.0515751353849,27.356627179460247,75.87059981914302,10.434418319952398,17.46861459690085,-67.42166583242945,D,A,D,154.78733161966844,E,-50.2109304448724,157.33228076784874,0
M,Muslim,Heterosexual,Yes,C,12.1458241618449,C,-105.21585222932002,35.641028588778035,-57.27954054473171,5.008437174399029,21.612298324761703,-157.45689028839186,B,C,E,-8.050440873139042,E,-12.80424740886147,-49.437019556116354,1
Other,Hindu,Homosexual,Non-Veteran,D,-51.411352885653514,D,13.994029640460932,198.85593490018155,-68.58167124316422,143.1717356512139,11.667617286382317,-4.570542195987342,A,B,C,4.519975582966934,A,96.45186550297213,137.05693788996916,0
Non-binary,None,Heterosexual,No,E,185.90782320861413,E,-93.62408377485225,89.59037356792969,0.06807733078518519,-23.702702613837147,128.264492919441,17.729506840807993,B,B,B,89.061559484152,B,104.17506974344408,-19.35062510456626,0
M,Jewish,Homosexual,Veteran,D,-70.52284082683853,E,5.517425682009291,138.4188165085988,-183.27946792504036,-159.052338410464,-70.14313460731096,-129.2070682271706,A,B,D,-251.52094271423488,D,-55.69787768805783,-62.31270441413772,1
Non-binary,Jewish,Homosexual,Non-Veteran,D,205.66008092100736,E,134.5725281752557,102.83589076648548,68.28357615060679,43.478667554358026,-51.18804000242552,202.36396363214263,D,B,E,-36.63157298712785,D,-97.34204063741677,-133.74735638477605,0
Non-binary,Other,Homosexual,Veteran,C,10.059669014323097,B,50.376127254318995,-20.349477711785717,80.12434593016613,-29.799171045031773,-191.45229196140767,58.772145234285425,B,D,B,-15.052311238753802,A,26.263407945114796,-107.17427683835965,0
Non-binary,Hindu,Other,Veteran,C,-0.450971268978879,A,-23.143267971434483,59.69901636583788,72.9281105221182,143.52137257025578,1.7924016150519961,-39.19943039475007,C,B,D,151.87270672455816,A,58.43391176272831,27.14870837503403,0
Other,Christian,Other,Yes,E,4.377063562957106,A,-17.41331212724299,116.04983573826475,-4.4618645005952455,144.5261738937644,-40.75956403712344,-96.4774648407341,C,E,B,21.848881989940256,E,107.84788536193686,-163.9017108626458,0
F,None,Heterosexual,Non-Veteran,A,72.4178658544218,E,-225.30019045185372,-64.06012080585734,-176.4872165031672,64.25564070357038,66.50546933758115,-86.88314236596662,C,A,C,-148.84380602875402,C,135.16127548795816,33.16722785546639,0
Non-binary,Jewish,Homosexual,Veteran,B,77.83493497862602,D,-190.55926188902143,145.72352343524298,44.48678622376544,58.048930294932624,-196.50807000515414,34.64851985482308,D,C,A,-44.844451320879344,E,-50.72425543897358,-183.5990227490059,1
Female,Jewish,Homosexual,Yes,D,-56.22011083068714,A,42.51431419919907,144.85080249821723,-35.05730086016062,25.257553738631888,-60.01286290409106,-201.11377447581208,A,C,E,192.4330705293242,E,139.28204123961638,55.21707713232611,0
Other,Hindu,Other,Yes,B,-89.13065393973879,C,9.538327931430699,-49.80926104926783,204.77525022110802,-61.431954294509595,9.839407265334401,13.229221029543794,D,B,C,-140.36707804641026,B,121.91132854232269,34.01601121695798,0
Female,Christian,Bisexual,No,B,8.98491770718566,D,-4.872303154294878,-53.768007977178286,105.85530097594824,79.39901251970207,-160.96299509853375,-98.14402639501485,E,B,A,178.167797558638,D,-126.13157178243783,-28.40669208047812,1
M,Christian,Bisexual,No,D,-60.59351619673148,B,2.930307488686381,95.79462701065596,128.45649068085112,113.68461800100383,87.33977172389315,-126.34977732969116,B,D,D,147.6057823702131,E,90.63908221875636,99.5839034437278,0
Other,Hindu,Bisexual,Non-Veteran,B,50.71913311495505,C,102.43808415264652,4.330423693060258,81.76316420814727,-44.72638893434932,146.27584619141692,-91.02232035113299,B,E,D,11.787711274712901,A,-24.845107500764097,95.00048383302688,0
Female,None,Bisexual,Non-Veteran,E,52.20358562507093,C,-46.15725973107024,-37.28841890318687,74.0258505991909,-223.62025955301527,56.43730762508682,222.23632781094778,C,A,E,111.56399473167902,C,93.20323038104131,-238.66906192006803,0
M,None,Other,No,D,79.77077989522449,B,-4.950481602403201,121.11783200576274,56.891726491272486,314.0655465768916,185.3307465947462,32.702070408470576,D,D,D,116.98450816674158,C,72.52675533712714,167.3271514777599,1
F,Muslim,Bisexual,Veteran,E,-197.7983929856827,B,-54.0257890631849,196.80041763681172,77.37090106878105,119.81866297626821,-119.23436145359116,-39.21365877626212,D,B,E,0.5664887626083546,B,7.44129185124081,-64.18109708505888,0
F,Other,Other,No,D,-0.6843716306021597,A,-21.02054123839013,41.5120747256079,-37.229064632817824,-81.71970715435913,-304.6479718596506,-79.94589672862432,B,E,C,38.78099524952838,C,100.6825943374722,-40.33938034199356,0
Female,Other,Heterosexual,Non-Veteran,A,80.73273003166152,A,30.143917831791356,236.34247082703692,-2.871791261856187,49.04116664680554,-114.25324664358374,-44.80840867776762,C,A,E,7.954719771589813,C,-54.433999337581696,68.4876775026968,1
Other,Jewish,Bisexual,No,D,-128.67591019993208,C,55.39469550109876,-6.044366863534036,120.22203164677995,-39.20771547480114,28.697482153400163,-84.71800953651159,E,A,D,-42.930722077469866,C,-114.37770347802905,-119.90498851464137,0
Female,Christian,Heterosexual,Veteran,E,-50.20144279045012,E,97.24456596896765,-87.4649838940508,-122.76326878820574,44.74666101718156,-54.303459368144146,385.05041768321956,A,D,D,131.55161484434234,B,35.11577847596061,-92.02532846233674,0
Non-binary,Christian,Other,Yes,E,123.48019734600781,D,0.6532819010380859,-81.35539610999687,94.12350156610765,-10.71358215913288,73.09741833569979,132.31724717456902,E,C,D,-49.55940349013024,A,21.881792343332297,82.54333241646519,0
F,Jewish,Homosexual,Veteran,D,154.73088971443656,C,37.08257584842479,12.5610879122573,-38.70089859044214,94.81963003286785,-25.658923140568763,34.17657135999749,E,B,E,-100.24771303868769,D,146.42787326967323,-90.59003389923298,1
Non-binary,Christian,Heterosexual,Yes,C,-3.9174223036035656,C,-215.3498848793387,108.39102167305383,16.570872707766824,170.09597144454517,20.727186912627417,-32.01439882166576,B,E,B,-30.81448501237324,E,11.539361056096935,-33.05438772963477,0
Male,Christian,Other,Yes,A,53.24758019915473,B,-91.95930233394728,9.473459446047396,97.29587366370457,-6.94464643702179,-87.66192517887431,-63.76079320803419,B,B,E,58.06140240158712,E,72.39824035155443,-77.18313878203844,0
Other,Christian,Bisexual,Yes,A,24.201728997554657,B,16.912212040355346,2.073337638831331,109.5653500247267,-47.728291814427045,-65.67098951984335,72.84661596237291,B,B,A,-36.329070796187565,D,-45.83533846274186,87.37443696776997,0
Male,Buddhist,Heterosexual,Veteran,B,-79.0738955179708,A,76.15478418814934,-48.613693977135256,2.7073381559991483,13.148747533618128,-40.554994556776485,189.01928509461578,B,E,D,-41.2315197066716,B,-158.41422455469097,6.4836525687354,0
Female,Other,Bisexual,No,E,212.0592720164948,E,20.368181732995872,-14.445249071641761,46.058805029127356,53.5675313351479,-41.728186719897636,27.436565912460225,C,D,D,-174.4499756474429,D,-9.919981874027323,121.5205995517718,1
Non-binary,Other,Heterosexual,Yes,C,82.32801530727303,E,-38.63425036306795,-175.13736371712832,84.58548894107146,91.55955829598311,63.67225846479649,8.913913992066872,E,B,C,-91.43868742821219,C,97.05171041438572,-39.99482631538274,0
Other,None,Heterosexual,Non-Veteran,A,-35.99903332736248,A,1.2589891437505842,70.6527182235976,57.73495312283246,-152.77718100816645,-54.16706619341552,-142.25543460193066,C,A,B,-37.92365941196656,A,-212.14569277397453,20.265684054089647,1
Non-binary,None,Other,Non-Veteran,A,-64.97911008004105,E,-30.88211319811923,52.15405829112395,-68.4884462337243,103.3857321326442,-62.35796848496646,-93.3216470331232,E,E,D,-11.963238412537079,A,-60.07890440803587,113.8858844756214,1
M,Jewish,Other,No,B,114.33493876611777,D,83.55854753286336,-47.896971065910485,25.854682370007527,84.04578870704012,142.14459864304501,-17.007646308844773,E,E,B,-154.83523824408644,E,-106.33001562687045,45.35285192280426,0
Non-binary,None,Heterosexual,Yes,A,-54.38248925512744,B,7.219072562707413,-59.86845678103441,-179.4890571828407,-116.60267860850959,-18.10522489550097,56.15538212235395,E,B,A,-84.80497887236024,D,202.81788680338803,-0.523264560993609,1
Female,Jewish,Bisexual,Non-Veteran,B,-77.00374154317753,D,0.9599707087612322,-164.25865308177674,107.0902377384584,135.24549036392978,53.58085188641968,-54.80850243981371,B,C,E,16.029014983598735,C,-174.9683327662428,-3.2550218924364605,1
M,Hindu,Homosexual,Non-Veteran,E,-63.157874156326976,E,-143.99481018267352,-123.36158200412373,28.118798486740175,25.289612857891008,-82.15545758468225,-6.843921103307748,E,C,A,-260.53117666322737,A,-75.09983734492982,-12.095330078278453,1
M,Jewish,Other,Veteran,A,-53.23258086614398,B,-8.200733411640178,72.39994779922858,55.84259197857763,52.317991562356134,229.59160739425815,-86.08568656893286,A,C,D,95.16248807473441,E,-12.048606521743972,-107.924944566276,0
Female,Christian,Heterosexual,Yes,D,110.11436403825299,B,-47.11980835900808,-50.95999312584959,118.85737380568789,-6.583130975299005,-51.80028279922361,100.75534030759086,E,E,C,-29.48910367500263,E,25.25935464504368,291.2276331646541,1
Male,Buddhist,Homosexual,Yes,A,88.92359644783816,B,-146.31005660570176,225.9658303750439,51.74394882504991,-81.34039418334291,68.71233471179795,-31.14346178682424,B,D,A,216.97693405903738,D,23.57113027667186,14.68732384004875,1
Female,Buddhist,Other,No,B,-68.23471551299117,D,17.337026709420613,-48.93733665873416,6.108745960474243,-34.66222846280314,-40.371432733816675,-335.93593274248053,E,A,D,-1.1530890242542673,B,-247.51214171284036,-96.05329485298627,1
Female,Christian,Homosexual,No,E,-93.63058205101143,C,-48.28346170720635,19.367208038695544,75.82175804584328,-91.45200293608654,42.73680838715218,-6.641822896329831,C,E,B,15.148078761524017,A,4.834017571850103,-27.895826196954687,0
Other,Jewish,Homosexual,Non-Veteran,B,-39.79735981904606,E,88.21099587581801,24.40231998513346,-18.28458891707643,-59.49614183018915,-21.978381222721275,33.95880691777663,D,D,C,-43.59795965015567,E,-180.2550018491035,-28.69049808114771,1
Other,Other,Heterosexual,Non-Veteran,D,-248.24740399727884,C,56.66113712925752,31.435494056158998,45.8660547956014,39.802467356943225,79.55094058161026,87.74011956595945,E,E,E,58.89633412129783,C,110.80885831738547,-91.63280705479858,1
Other,Buddhist,Homosexual,Yes,B,-32.10249082056733,C,-113.89616798551603,-127.33280340780921,-47.720652489759495,-4.870880542305132,25.143172400164133,114.33140015821874,A,E,B,-240.81183032732403,A,105.31661179941038,-107.30638988031278,1
F,Buddhist,Homosexual,No,D,-127.93733790251099,A,-43.77925382549008,98.30185195729733,-33.4202309254935,-71.66664289203258,-112.45913195277535,-15.513563932911802,B,C,C,47.342772734546415,C,-122.66950115645902,-43.032503590706604,1
F,Buddhist,Other,No,E,202.09000031960574,C,-98.67309830889556,-84.53449699043311,50.640442252462215,35.95400825583256,200.73826360947328,166.63416845082253,A,B,A,101.95525644623736,B,7.187968482128852,-121.0876010281469,0
Male,Muslim,Heterosexual,No,C,6.409358947159821,B,-115.56891021230271,-15.136398919021632,17.67029005340817,-20.58801889762566,-62.51958409351535,-1.892688793952944,C,A,B,197.16098965048053,D,-70.67736309019074,96.55191999539154,1
Other,Jewish,Other,Veteran,B,-87.76973763688352,C,-114.68231768390666,42.359942385740574,-133.00697660048638,-76.18946022697453,160.12844443915765,-49.0635971059168,D,E,A,-16.369953345165978,B,-32.60374614366721,-62.405470623296466,1
F,None,Homosexual,Non-Veteran,B,-55.49950975813498,B,16.533695818907265,73.75007082641153,-10.792314142710891,-10.498400564062413,-38.72178199053532,-26.210875781824537,C,D,B,80.87916205764945,E,-34.3355546536299,76.7721936556241,0
F,Jewish,Bisexual,Veteran,A,8.16036988702277,C,-16.187313687733194,17.385535865237987,130.4034999350501,-26.28430342743003,35.01425850714791,19.6101678684068,D,D,E,34.02222817641444,B,66.71217654646178,130.50634400938586,0
Other,None,Other,Yes,E,224.16145443260135,A,-63.987885921246125,6.662197547973553,58.06029621806989,-40.583757579383736,-119.21876465201089,-108.90578996079911,E,A,C,53.39388118152567,B,28.70219670141727,103.07173690166054,1
Female,None,Heterosexual,Veteran,C,0.20786860546972621,E,147.24581163768474,-165.32696917932662,-131.77023228849123,28.111212887468497,-76.60002478251138,-105.38638398742621,C,E,A,-5.835985185024611,C,138.1526321132048,-95.96984823268085,1
M,Christian,Heterosexual,Yes,D,2.9045549089151566,B,147.55588656216793,-205.67203710776533,36.04015061256899,54.11991739179305,36.7680386948392,44.879126189320885,D,E,C,6.905056876931251,B,-34.7037636079832,-52.13613508407641,1
F,Muslim,Heterosexual,Yes,C,-100.3655584993431,B,-130.99270815755185,-47.49169607016628,-321.79309289621204,-33.82583167158423,50.72296646571552,-100.83763240010283,B,D,C,-163.19960393550983,A,-112.84873643612787,-25.488629443950767,0
M,None,Homosexual,Yes,B,-96.54446125153811,E,-23.165187643663224,-29.917337718967023,152.36879393879698,57.32181044396837,70.93568858698056,98.65548453434982,B,D,A,-60.908966202224214,E,38.443831660458805,146.9718605760862,0
M,Hindu,Homosexual,Veteran,E,66.00656886753366,C,-63.0785878271793,-58.95869696602352,32.26722173511812,-11.665167230712981,17.218163050545012,204.28672589755243,B,B,A,-150.4752092452334,D,37.75768233299438,-32.666928022805315,1
Other,None,Homosexual,Non-Veteran,A,-56.126247068996435,A,-16.191849992953028,-98.42551602855667,-20.8357006464485,-98.12095973047086,103.59509552421271,66.16766053843288,D,A,E,131.59481281481746,A,-69.8140640085909,-311.10565319072,0
M,Muslim,Bisexual,Veteran,E,-121.52523189515823,A,47.03059964256406,34.69348438148865,-183.58471819056035,-36.957340594183876,130.8761098691141,-89.61491945567258,B,A,C,-18.326961252990827,D,-93.04445824942587,-28.878464840532754,0
Other,None,Other,No,D,9.280803080579336,D,-49.90051619617377,85.83450233308912,69.3060385592234,70.66903312601129,102.20953711550081,66.75126680766785,B,B,E,106.61284160644387,B,-109.15762117887127,-82.56791575507997,0
F,Jewish,Other,Yes,D,72.91243009838652,E,5.4635606130014835,9.379637585389261,-92.29743714443642,-29.105893338768485,89.00684715747485,-156.01045847614853,B,D,E,-50.96214573444752,C,-84.40724057495486,13.93262399016438,1
Female,Christian,Heterosexual,No,E,59.284124369616045,D,-71.19516730086758,-95.37805784955236,94.77544966156725,-32.63812869066515,-32.8214602509141,-114.2125775076372,E,E,C,-73.61797311925625,D,-108.6940041464642,51.18547682186052,1
Other,Muslim,Other,No,E,77.98633545000439,D,-155.62943362604008,22.547390516585843,-51.64649416188378,70.42094840139582,-167.44103055614508,-152.3324494539161,A,C,E,-79.13227663940862,C,71.0729450390886,41.09750759841887,0
Male,Jewish,Heterosexual,Yes,E,-63.054420738402925,E,168.44488997210772,-157.73471959935372,111.94759022345264,-66.78098702260723,37.26541417612563,83.11608426846048,B,A,D,61.284670299477874,A,18.00151366408183,-82.52022541422525,0
Non-binary,Muslim,Other,Veteran,B,42.69797628469049,D,42.59854136579725,-145.59047180935826,-30.2536980833744,-36.863215689286704,64.35051038822027,87.34276828735503,A,B,C,-16.413531320307484,D,98.61992362274265,20.328244501130946,0
Non-binary,None,Heterosexual,No,B,-15.529160057319459,E,54.74435926002646,107.53164171862039,147.7900713799092,-14.71920955573938,-53.50842322733087,5.346106849236427,B,C,B,-49.59515626857661,C,181.38991706180306,210.8563492698355,1
Male,Christian,Bisexual,No,C,174.40541459315716,B,-35.27530739642615,17.37173130907373,124.70216231494038,119.89827120911005,-18.567601347899657,-20.56878230898483,C,C,B,-133.48172904904857,B,-181.73223856574162,85.16383213576219,0
Other,Jewish,Other,Veteran,B,109.61494102082216,A,-91.7375038029937,76.82506212839294,217.1993907780236,-28.89350057364435,-58.230378112905576,205.76153914197434,E,B,D,-86.68565725846425,E,-59.01468153006232,-120.45990164280221,1
Female,None,Bisexual,Veteran,D,45.99116093991989,E,0.4945384024937546,54.98389536883326,-75.67034371033814,4.294818999462302,46.195945002446756,-59.47315314063414,E,D,B,145.93994836227796,D,74.35740755721022,-28.392524995232115,1
Male,Hindu,Bisexual,Non-Veteran,C,-26.624955539952587,C,-35.255739318701416,8.727026870471901,59.64622644627083,59.85768476752661,50.94926392717599,104.44965290503987,C,B,A,-146.7387059706617,C,-64.93578178497987,-13.474238920510254,1
Other,Other,Heterosexual,Yes,D,59.02570897050757,A,-106.5819378620624,0.29079817467117924,34.245515074253895,-34.559381541557975,-24.952233416421926,-40.666372559834265,E,D,A,-94.8997960307333,C,-111.05182907375718,73.95390776559493,0
Non-binary,Christian,Bisexual,Veteran,A,26.462062877235905,B,60.69185217263442,-90.78772958610637,-107.17376535699536,7.484086847567273,-207.10104353034055,15.69887623702447,A,D,B,-101.88702805629543,E,152.2654095445765,95.42426498567606,0
Female,Jewish,Bisexual,Non-Veteran,C,171.93341052663848,A,-116.44386260478403,-26.004634101203074,59.739495924523055,-52.41301540968697,-49.32761296266675,167.767661056092,B,B,B,-14.655270648727964,E,-250.92203957596365,46.16262431801913,0
Other,Hindu,Homosexual,No,D,65.51607671727916,B,-139.7280018707863,-74.71002575864651,-243.40097449082242,-47.73458643988657,24.764696255497874,20.633414117170467,D,C,D,43.768117455363694,D,-168.34178685148356,-25.8462369167198,1
Male,Hindu,Homosexual,No,E,23.422213612293156,A,-12.678215749469224,84.05783647458044,-86.98597811009158,55.75554335255066,0.04027504454718272,9.41533068366245,C,A,A,-75.77836459445744,E,-28.031267228020262,55.84517197359777,1
Other,Other,Homosexual,No,C,170.89860427667864,E,-84.79398543435592,-39.030830669527475,3.3839230560137428,77.41343530545319,135.90874457724564,110.85709239621553,C,A,D,-25.150099288222734,A,100.4800815037423,-1.0899167389046465,1
Non-binary,Hindu,Bisexual,No,D,-177.0279051522481,B,56.437134521476864,105.35315248151636,37.021492130602546,107.52881017205154,120.78482735533267,-65.60657807418863,B,E,E,-66.00334253556572,E,37.310438698113956,-135.23497435133368,0
Non-binary,Christian,Bisexual,Veteran,A,-45.02037374346811,D,56.00464673009029,-75.0611224945713,-65.20841274346053,31.652394457992038,-73.2437589343879,-94.3025303920979,A,C,A,88.96672938011437,B,51.79392636735105,190.43941154462024,1
Male,Christian,Heterosexual,Non-Veteran,E,-154.55223156990218,A,158.08648650939512,47.089618174868455,-16.2489441512265,172.65238282474164,-103.96756213838225,-91.3639521288587,A,A,B,50.64318556135071,C,20.077341428343274,-119.55356716538428,0
Female,Muslim,Bisexual,No,C,77.50077538093414,E,147.52897907338993,-16.260430306854374,-30.49254270330919,141.57085595737843,-247.51294527983472,-106.17976164235638,A,A,B,167.53237741577001,C,30.09661238762157,-9.951399564638784,0
Non-binary,Muslim,Homosexual,No,C,-83.16610426758261,C,-119.25088238945042,129.68028939797898,-123.92118777782026,-159.38947301380628,103.28049176867991,148.20306941400773,E,D,C,-171.0323508367461,B,-11.075845428209373,61.90581645644888,0
Non-binary,Buddhist,Heterosexual,Veteran,E,-122.45537597549468,B,-34.20363812533662,-78.95572871333306,-126.30639829048613,-55.04874930188254,-72.98254895702601,-43.14364435170442,D,C,E,55.63628247545302,A,37.25583244098306,-146.17527281674373,1
M,Muslim,Heterosexual,No,E,64.33722649015311,D,-31.97563956800892,-166.4060278651602,-131.8246056174722,-79.45474242931616,-19.671702465840273,-21.900487783472776,C,C,B,179.9717244665189,B,97.27434422929602,109.42154943259281,0
Non-binary,Christian,Bisexual,Veteran,A,-25.032328908532303,D,-83.0138884894691,3.546788206426535,-86.20373282021595,-45.443330024421634,-82.31959408555024,-67.52467048096135,D,D,C,111.30387235760053,A,50.03791057213309,-33.41699148883113,1
Female,Buddhist,Bisexual,No,E,22.217738268601796,C,-98.14109873598558,153.22973981107714,118.24132470962634,79.83753643520683,-22.825888611467043,125.8845835744208,E,A,D,-5.79126465987017,B,223.60871032138095,115.23052307788039,0
Female,Muslim,Homosexual,Non-Veteran,B,44.993043389234884,C,-295.31421175443955,12.816770854506796,113.92767036835663,-2.365373771280942,-64.6539733477723,-48.820128049250236,E,C,A,-73.63958404360443,D,136.696376212422,178.38654099187602,0
M,Jewish,Heterosexual,Non-Veteran,A,32.471462489586436,B,11.46701883575699,-65.41995334509349,-71.31734229546382,-52.422965856727586,52.789804460231124,182.39769991472264,B,A,D,-181.4960884603834,E,-31.715278327001695,-138.92389596669054,1
M,Jewish,Heterosexual,Veteran,B,55.87158360190146,A,56.14451685460908,126.4660036247283,143.10949478216597,97.29071902597138,45.0518175099685,246.64491990317617,D,E,E,-11.072660424588094,C,-162.1097021447889,5.2185585046372145,0
Female,None,Homosexual,Non-Veteran,D,-155.1691676275221,B,22.650071133179402,-83.09406141085259,-111.24461831024523,-56.96265287532941,-127.09334028801958,155.13804521648817,D,E,D,-76.78337973522625,C,22.10294566092883,-165.27375205261322,0
Non-binary,Other,Homosexual,Veteran,B,36.81546909781739,C,87.0078900082377,78.66511093723642,129.95816269410935,-101.98547952010175,-139.30492294162192,-75.27731754610522,E,D,B,-45.905098346412785,E,-58.80142420401231,-32.78121068559697,1
Female,Other,Homosexual,Yes,A,-2.258418713603168,A,-91.38466413872361,-30.65930848021612,229.59175679663497,31.694037771543577,-0.3736559553935563,-42.25270935863416,B,A,A,-161.5863981669749,C,-82.90373145571749,-188.25330714498435,0
Male,None,Homosexual,Yes,E,-149.30092517166125,D,74.16434194741596,-33.4715593888343,132.25613753720182,-170.84632116747733,24.599520936954544,-227.20381855028532,A,E,B,13.93804206053974,E,20.133473266030308,-6.100958504525649,0
Other,Christian,Heterosexual,Yes,A,2.324442921831359,B,-117.23707111871096,-99.88061104074578,-9.212351396829668,-170.70096925099423,-26.722379753920162,-237.49491546702387,E,D,E,84.97768468321898,A,-27.482320498923553,-132.75478974403083,0
M,Jewish,Other,Non-Veteran,A,-20.908140293518173,A,48.60082428165861,13.91286126900708,60.42807673830591,-153.85267149202213,-114.51731572853222,0.3751988210937352,C,B,A,-36.4785352284228,A,-83.90458416882564,-108.81986308562097,1
