RACE,faith,Veteran,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Black,Buddhist,Veteran,None,B,26.51062916253269,D,C,-255.47070622356975,-155.0320945013649,22.430450010457076,69.0244575806443,1
White,Christian,Non-Veteran,Mental,B,141.42256225989937,D,B,87.51144517576365,83.62328219467967,-229.60089239998132,141.1040256177064,0
Hispanic,Buddhist,No,Physical,E,90.07480340508872,B,B,-118.31359712055098,22.31584422445418,46.46056130955663,14.838368935474309,1
Other,Other,Yes,No,C,147.90098367662253,D,E,-85.71252224537767,-16.06908776504315,-14.643981225451752,23.86029734192797,0
African American,Jewish,No,None,D,-89.18266607305377,E,E,9.510081107075152,155.9964557824698,-32.025430132300656,-186.88096959936507,0
African American,Other,Non-Veteran,Mental,C,-93.95915221386477,E,B,-58.730615189430765,-113.58834918894864,-142.6699566523177,192.2792631631819,1
Other,Other,Non-Veteran,Yes,E,-59.98033258078473,D,E,-110.40128141609526,-90.04652056504396,-35.005019477350395,27.578641797747572,1
Black,Hindu,Veteran,Physical,C,-114.7696443406658,B,D,86.20934305461715,104.22002842204905,-199.4045394050887,186.06483951788064,0
African American,Christian,Veteran,Both,A,92.8903570316929,E,D,-191.15920202451412,162.74896676590834,-6.992880290209831,82.32363548035002,1
Other,Muslim,Non-Veteran,Yes,A,-186.68811401472473,B,D,45.41926306180926,-176.14402904449332,47.43199116607461,-72.90549678165607,0
Hispanic,Hindu,Veteran,Mental,D,168.53086120711293,B,A,-63.33457018535296,29.419775354232964,-233.15546533884933,-104.86680859468132,0
African American,Muslim,No,Physical,E,35.06318522613597,D,E,-24.141704084645127,19.688113678277084,-27.03198194793388,-102.56885684989842,0
Other,Jewish,Yes,Mental,B,-12.635064733047974,C,C,160.48122617394853,-168.99401629709675,83.08920029460619,-220.02782821936387,0
African American,Christian,No,Mental,A,35.278789615614805,D,A,126.90129335483596,160.47303429589007,71.08244166923228,98.83322824674967,0
Hispanic,Jewish,Non-Veteran,Both,C,113.9362354665838,E,B,98.5174919907679,87.19252208334562,13.133780802975986,4.771527361429038,1
African American,Muslim,Yes,Physical,C,-43.21203362143501,C,E,-118.87216515238543,-0.49206802841675334,105.95168256976606,-59.756797389732306,0
Other,Christian,Non-Veteran,Yes,A,-68.22461962528969,D,C,45.43580457852756,6.739466742924327,168.94545574555468,-130.13045622675364,0
African American,Muslim,No,No,B,-32.6260591930767,D,C,-120.55165017304131,-179.10633384543863,106.7577092346402,-62.55241273016806,0
African American,Buddhist,Non-Veteran,Yes,C,-153.4651372869001,A,A,-42.411385170391334,-107.64691170967657,102.49752754684091,-27.16921212628611,0
Asian,Buddhist,Non-Veteran,Yes,D,-170.72445931231354,C,C,83.97861346900558,-28.558737323759132,60.83952969590095,47.851267974348104,1
Asian,Jewish,No,Mental,B,160.62731867173974,B,B,69.01055533258773,-3.3217937588352258,306.92380726922727,-185.83001226379494,0
White,None,Yes,Yes,E,-127.64016639821416,D,A,65.75689818878085,-160.7185593849322,14.113262884895553,-133.3353161909078,0
Other,Muslim,Yes,Yes,C,-128.73986753391634,C,E,23.198985042417082,-124.21863624588651,31.875820641126072,-85.65856955788098,1
Black,Jewish,Non-Veteran,No,C,101.71347366050244,A,D,2.012233829029566,29.103138668213557,-49.08019192026421,16.12289424187592,1
Black,Christian,Non-Veteran,No,B,155.2026140642735,B,A,-105.72386305729837,-118.98829373495671,39.46999180110204,-79.58409865133699,1
Hispanic,Jewish,Yes,Yes,C,-121.13627814189714,E,D,112.85671699301163,101.71562000560507,85.68660801597714,-125.35924999971624,0
Black,Buddhist,No,Mental,C,56.67502104200102,B,B,28.786436292129576,109.3170958067411,50.152785945608954,-180.4419323177558,1
African American,Muslim,No,Yes,C,-107.53695431970705,D,E,194.7195920640018,-195.11538053333936,-210.3747857077642,-30.69914251996744,0
Hispanic,Other,Non-Veteran,Mental,C,236.45503929104845,B,E,-67.38439175734264,-74.27386180390461,-57.18716013449146,-18.404594878291608,0
Other,Muslim,Non-Veteran,None,D,61.52293185204461,E,A,7.535304372140303,-7.21996521704115,159.62491650627825,34.27649336194155,1
Hispanic,Other,Veteran,Both,C,-36.86163879479878,C,B,91.33254013730391,25.94569262771215,-11.779372643988092,-100.67495949094065,0
White,Buddhist,Veteran,Yes,C,-35.14024438150546,E,D,170.95797228036642,-58.66941816941335,-33.385755446487316,-87.91689924831286,0
White,Jewish,Non-Veteran,Physical,D,4.2362946592534,B,C,18.533723115239408,-72.4160131358245,-62.13752888570665,-53.46818420275794,1
Asian,Muslim,Non-Veteran,No,D,-31.70504474858759,A,D,-65.73317612714821,-113.4702980693965,27.920974744828104,31.773917131360125,1
Asian,None,Veteran,No,C,129.39615381860116,C,D,-111.94115960261244,6.2023560710338765,-107.95455260170006,60.29274427228479,1
Hispanic,Muslim,Veteran,Physical,E,-139.18506857768796,E,A,141.743802224109,-67.37812717537315,112.21520740200597,95.09837256022612,1
Asian,Jewish,Yes,Yes,B,-102.55575493145072,C,A,-170.4193474042449,-71.01177463620611,124.79821540319298,-113.23536051912075,0
White,Christian,No,Yes,E,9.111845640404583,E,E,29.112476267767207,11.034512508196388,109.95869200952934,181.9962344672643,1
Black,None,Non-Veteran,No,D,-141.69371015134337,C,A,4.458821199828429,73.79713964626325,-9.712247278201659,36.55432535695905,0
White,Other,Yes,No,A,-157.56051493779856,A,C,109.80025709146418,43.84789052030195,61.543226323631814,-15.683135265966177,1
Black,Hindu,No,None,D,30.365451270945975,D,B,-27.74635935736273,-85.48789103528316,-102.3689522775745,-24.791907779303834,1
African American,Other,Veteran,No,A,0.10962697369826509,C,D,76.70113633733487,67.37080954529557,-94.44857974846245,-69.51900920516081,1
Hispanic,Muslim,Veteran,No,D,-137.4964674683432,B,A,19.321481112795375,-49.05754953078558,32.10977592252699,88.78760083676926,1
Hispanic,Other,Non-Veteran,Physical,A,197.48298321067944,D,C,-6.162033902130353,-48.62522250362713,-66.7996655334126,-190.91318398235367,1
Black,Hindu,Yes,Mental,B,-84.7730979875809,D,D,-15.366274137905378,10.303155188088695,-26.967214076678776,8.5224308204235,0
Asian,Christian,No,Mental,B,38.023319705558215,A,C,-37.93929487914994,15.285057956575674,34.49953185740045,5.35308495455736,0
Hispanic,Jewish,Non-Veteran,Yes,C,141.37414789036907,B,E,-51.58318057799923,57.05559914639332,121.5086003685191,-112.17847559877119,1
Hispanic,Hindu,Non-Veteran,No,B,-121.79963737070815,D,A,-45.548627939883396,63.11865146013926,44.5951964928742,-25.796225164478027,1
Other,Christian,Veteran,Both,C,-216.483279127738,B,E,-30.510429693624392,-85.04251078160708,-84.92172924526537,90.4598497604122,0
Other,Other,No,Physical,D,52.3784185716728,E,C,35.98337086958986,267.17872451628716,42.215239748077046,-36.40811170186867,1
Black,Jewish,Veteran,No,D,6.536366845847836,E,D,-18.39318515303103,-5.081835727684469,-113.4744554357288,-108.31402723956971,0
Asian,Hindu,No,Mental,C,-17.205319963131068,A,C,58.63494052732735,-133.2153821273945,-159.01825688191468,62.31008270299427,1
White,Other,Yes,Mental,A,66.74040000802208,B,D,95.84671910117466,-34.04072768531783,155.25377609360416,60.176643243629215,0
African American,Hindu,Yes,Yes,B,41.96072116472321,C,B,141.7276810400933,15.885264341712752,-29.692175231114355,-182.02998907284936,0
Other,Christian,Non-Veteran,None,E,89.71468841559553,A,D,-71.5869854552651,-38.81986250273209,20.711107959829327,123.22347432615392,0
Other,Hindu,No,Physical,E,229.4797543628579,A,B,68.83424699036608,81.32521433478902,-20.999217850376002,52.83826937396412,1
Hispanic,Jewish,No,Both,C,-143.5053732259136,B,D,-39.91739804379949,-51.72334862694752,99.45620623275826,-48.47347976638791,0
Asian,Hindu,Yes,None,A,-102.01622784990758,C,A,9.558859183437797,4.901168230923444,245.08024401994263,-116.62829985691647,0
Other,Christian,Yes,None,B,-53.18892697702048,D,C,-35.212273070462274,-139.90471161116852,-77.64135680056422,47.06341286583241,0
Black,None,Non-Veteran,Mental,B,-26.39197529127638,B,A,-31.983849450331963,-17.137952124765242,-15.861553847252601,-210.05601892214906,1
White,None,Yes,None,C,100.5068746669993,C,E,190.5616813245988,-100.45412243621684,-48.026796676939085,-27.935577921444683,0
Asian,Muslim,Veteran,Both,C,102.34094007942099,C,C,10.409834002438215,-99.6842249928433,180.4998948698128,155.91457528815786,1
African American,Jewish,Non-Veteran,None,D,-55.59076231087741,A,B,122.83229353123156,161.88729837737944,-102.01738698516137,-1.4107290738909186,0
White,None,No,Mental,A,58.55321259268048,C,E,105.72203958594248,-37.061590204316495,141.18185592873382,-18.66562326213153,0
White,Other,Veteran,No,B,15.583746191439301,B,B,21.728876581272736,35.43358260122912,-46.3299310865164,37.36208282291037,1
Asian,Hindu,Yes,No,D,-36.64560313022725,C,D,-116.80763913336165,163.7129060242848,169.29092854501565,-112.45605333854358,1
Other,Muslim,Yes,Mental,E,-135.22116315250648,C,E,33.79374740678584,-42.90851244875904,82.55734282234512,129.74814842064893,1
Asian,Buddhist,Yes,Yes,A,-250.63391073695334,D,C,-289.1174877824798,-68.9826970227868,141.03084247408165,-40.99615685080857,1
Other,Other,Veteran,Yes,B,55.526603595057225,D,E,-19.464299418402465,-15.03554125165274,19.0773866323046,-33.80908356000861,1
White,Other,No,Both,C,-116.38083564742068,D,E,-106.62516289336905,133.82916707356458,-42.9781134780492,-61.813238529362145,1
African American,None,Veteran,None,E,-80.00806735372439,C,E,-25.873323691347146,33.58202360630608,215.5645797347324,94.32351228529654,1
Asian,Jewish,Yes,Yes,A,-26.728782294429177,B,E,-75.48267801107225,60.560238929172904,58.7246780820305,-159.43964679439347,0
Hispanic,Jewish,Non-Veteran,Both,C,-33.22380092087885,A,C,-12.53936798403728,-32.83380086622892,-49.947331517503734,-40.25951863672956,0
Black,None,Non-Veteran,No,D,-10.092464761853318,C,A,-7.397627513776997,69.27258368202551,-342.29270135474474,48.71865567546565,0
African American,Jewish,Veteran,Both,D,35.30698257916572,D,B,-187.26603013219284,-1.5046991761725765,-7.992437749779315,75.91734241802918,0
Asian,Christian,Veteran,None,E,-87.7637728517165,E,E,-70.37226311411476,-65.01584555207221,-53.07617545314501,116.14925983819977,0
Other,Jewish,Veteran,Both,A,-10.834095938018821,B,E,-37.33185411635455,-88.96455841279366,266.9742992398209,31.093111309545257,0
Black,Buddhist,No,Mental,A,81.59842976011257,C,E,-76.0473054660042,-37.50277550871074,-100.24356898087612,-160.1824505104817,1
White,None,Veteran,Both,C,36.448451651029,A,A,88.32707355295997,-25.661316295034055,-1.9853853034141191,23.312156143938854,0
Black,Other,Veteran,Physical,D,-51.077662695563816,D,E,56.94687107506312,86.57538681248182,-10.37264306294388,17.759871484437934,0
African American,Jewish,Veteran,None,A,59.57595549367577,A,B,-56.74988170228538,-63.509348725733204,-147.2349868144584,-96.24949404386281,0
African American,Hindu,Veteran,Physical,E,-104.97097816851677,A,D,-6.152198416596684,-95.79025500868855,29.490593294648093,50.9221469379934,0
Asian,Buddhist,Veteran,Yes,D,-133.5624459125614,D,C,-99.60226080695539,-62.79587124901224,-32.541550448927346,-33.918026781309436,0
Hispanic,Other,Veteran,Mental,C,21.258924993972837,C,C,8.334940681532364,54.00277668218677,-28.692046434889374,66.52803749014875,0
Other,Other,Veteran,Physical,C,-56.32851005963404,C,B,60.27786490763971,-156.7359572428759,-109.43261486044094,-81.59628822326572,1
Hispanic,Jewish,Non-Veteran,Yes,B,-25.60707890963949,D,D,-7.2336534070174165,-48.86348107467564,-12.903277275672428,66.95902985121064,0
Black,Buddhist,Non-Veteran,Physical,E,21.4855280371983,E,A,-110.83740239569362,21.830998109537877,-156.68936727249357,153.77865183729816,1
Black,Buddhist,Non-Veteran,Both,D,139.55851631987278,E,E,-60.591686364190146,-40.22087007696694,-212.76206663357016,-216.66861166928206,1
African American,Other,Non-Veteran,None,B,48.43578583513429,D,D,-35.316376473200464,-62.35440073648203,-42.48548060141276,-50.05994592786628,0
Hispanic,None,Veteran,Mental,A,29.350585633391024,A,B,-250.6082818369849,-81.95053927781848,-5.293878014509777,8.562256642811306,1
Hispanic,Other,Veteran,Mental,B,160.27026412690884,C,A,65.17882179556145,-24.3294188095138,-98.5636906703732,291.2762131583919,0
Hispanic,Christian,Non-Veteran,Yes,C,-65.27596442113425,D,A,-231.05639463245774,18.238521055358213,-3.774009391719827,5.460335506694484,0
Other,None,Yes,No,B,142.5924766222383,C,E,-180.93218658669502,-30.423129917898244,211.26421271282862,41.96650534848445,1
Asian,None,Veteran,Mental,C,30.300481757989118,A,B,169.70862272808284,-9.583058850017725,-25.707878546375575,-36.740337686389054,0
White,Jewish,Non-Veteran,Both,D,224.53926685810583,D,D,153.64251384336933,19.149540491118305,66.24588629706383,3.9956919461752656,0
White,None,Non-Veteran,No,B,1.956220543513391,C,C,-98.71281715972755,-130.79870057392628,146.9650192771721,-46.05061992228526,1
White,Hindu,Yes,No,C,-3.0953192861360246,C,D,-34.05722172430618,-79.6752491307853,42.726393754891966,22.699525569701738,0
African American,Jewish,No,Physical,D,-198.23305484421545,A,A,48.97724761621714,67.11706177311486,-27.556357142332967,199.62984424810085,1
White,Buddhist,Yes,Both,B,68.23921488444765,E,A,-10.919258073481304,30.644758701356377,-160.47642789740985,31.000884708296798,0
White,Other,No,None,C,2.225024114768916,A,B,1.2752419976199805,-33.10074763889652,-88.39905034599374,144.17948869311013,0
Black,Other,Yes,Physical,A,-90.46788505926938,D,C,-51.185243228793674,-170.55854395637584,-11.09565437439975,-42.464673520357415,1
Other,Jewish,Veteran,Both,C,33.26008805265819,D,E,52.55176697623111,-13.985516602946053,116.81749097219071,25.210616405966608,0
Other,Jewish,Yes,Mental,B,-112.66170294726521,A,B,-47.77192881511573,141.19824689825379,95.80433217402145,20.13986397635385,1
Other,Other,Non-Veteran,Mental,B,38.34923428264489,E,B,-42.89963475561841,59.69269827758408,-154.9265854422314,-10.874465141666285,1
African American,Buddhist,Non-Veteran,Mental,A,9.807272847466539,A,E,46.87508078287764,-104.11472130661971,55.8667410430804,12.55204883420219,0
White,Other,Veteran,Both,D,-19.920294183181973,D,E,11.623748980954483,125.83071142039064,71.40771802463584,-13.351410690569931,0
White,Christian,No,Physical,E,-68.57483823798371,E,E,-38.09357697413123,9.351222563033446,53.859302589026534,72.67300315073622,1
Hispanic,Hindu,Non-Veteran,Both,E,32.1224525227323,A,A,-10.610205426577192,31.092657333367708,185.28206530539373,-148.49202562676308,1
White,Muslim,Veteran,Both,D,-87.36454979936065,D,E,-2.108277245525189,214.12995233483863,141.9019123374486,-25.868583844615834,0
Other,Jewish,Veteran,Mental,E,-26.47202132915757,D,D,160.2476885691206,149.05437930174907,57.770017061301694,-35.85071267116001,0
Other,Jewish,Yes,None,D,-8.426224074022311,A,B,38.51124719897076,153.29380400258466,81.49218300554283,-215.78495481172277,1
African American,Jewish,No,Physical,C,117.16055131437227,B,A,-109.55575214985198,142.95720869521455,-61.954158576774844,-54.32482688605802,0
Asian,Buddhist,Non-Veteran,Physical,B,35.30433127996246,B,A,3.8065546660168614,-2.659463943602284,104.65805868933644,-49.465450142047125,0
Asian,Christian,Non-Veteran,Physical,C,100.55839231998256,C,E,47.86856325326577,95.67988866728723,-25.88719278694269,-31.37068647282895,0
White,Jewish,No,Mental,B,-45.675500648042345,C,D,13.047229957062445,108.05533721082996,12.213687992575617,106.76316422396863,1
White,None,Non-Veteran,None,A,-35.059122788627704,C,C,-205.4087758265393,-128.99924183901467,43.097868581257416,-136.1150945192537,1
African American,Buddhist,Yes,Both,E,-29.498204531121736,C,D,-0.6902923956686364,31.81488057552825,61.096102317770885,-176.16010932875497,0
Black,Hindu,Veteran,Mental,D,28.763846680375355,C,B,-112.21140198757796,22.03874040465667,-15.882877312296609,-5.823223177966455,1
Black,Buddhist,Non-Veteran,None,A,-18.33539206537327,D,C,131.3506681060397,30.259443633746137,159.31087071346272,-131.67205042577513,0
White,Hindu,Yes,Physical,C,-93.85719305660704,D,A,-111.4912111580271,70.1431969952462,18.58441890215092,-67.37649648150222,1
Asian,Jewish,No,Mental,E,29.845463907827046,B,C,-59.48276639721817,18.528839095361533,-58.18238728193784,0.9383619693878914,0
Black,Muslim,Yes,No,D,-192.19848998242958,C,E,-55.99381360746999,-184.62792232744158,94.05676272140691,-69.7096465189651,0
Black,Hindu,Yes,Yes,B,-39.54815641612641,D,E,-26.367656010547613,-58.952714763398674,188.46026653588396,-88.90774776648014,1
Other,Hindu,Veteran,Physical,A,-17.4457688327018,E,B,93.10380055052191,-185.49782677250494,93.7655667898792,4.274937350517382,1
Asian,Buddhist,No,Both,D,-145.23121880270466,A,D,76.4183593285679,31.89781388215857,-152.48675475122093,0.7541462934789649,0
African American,Other,No,Both,A,23.76940078601568,B,B,103.97388848298952,151.58181789594977,-18.387337979163163,18.443227369604735,1
African American,Christian,Yes,Yes,A,11.406665920178213,D,D,83.2689904406872,-83.20675264202082,-98.75604539471277,-23.123094835358486,0
African American,Muslim,Veteran,Both,A,-138.67357862312502,B,A,10.260601831386092,-95.52988767978324,-88.43990188907827,71.9382741029635,1
Hispanic,None,Yes,No,C,94.947379599572,C,B,93.45763447735769,-96.06179537673421,40.8988448058471,-301.708080738097,1
Other,Hindu,Yes,Physical,E,-17.5568037480012,C,D,92.51672688704213,72.11855509578719,121.42046158490317,-101.37515342789685,0
White,None,No,No,D,9.631819034094335,D,B,117.03919271870642,99.19975104893078,-4.0493799353625555,30.369773421778106,1
Asian,Christian,Non-Veteran,Yes,C,43.412178164686985,B,A,-64.1741138938646,-81.4322361385855,244.87083659968704,205.98359284041786,0
Other,Buddhist,Non-Veteran,Yes,D,146.42745914507717,D,D,68.81270381489936,-51.11250582822207,196.23070039977077,-141.54510848422083,1
Black,Muslim,Non-Veteran,Mental,D,99.88472212075527,A,E,-122.33003842120762,-151.55230685624653,7.75863158419331,156.775447102667,0
Asian,Other,Veteran,None,D,-13.611933789669934,D,D,-75.56227221791431,119.09604753851096,100.85632190708623,121.18936111494418,0
Black,Jewish,Non-Veteran,Both,B,58.25627094950582,C,C,47.27551115781722,-63.61003283276617,78.7875342366986,2.1689355903856415,1
White,Christian,Yes,Mental,C,-30.59691432286175,B,B,84.82890116312434,168.4765081680878,-100.99078054023917,-24.87352064861836,1
Other,Buddhist,Non-Veteran,Physical,A,-117.51838069037335,E,E,9.514343916426522,167.7524701316394,-12.327011800010887,61.04986723900721,1
Asian,None,Veteran,Mental,A,-139.15168122530838,B,C,126.54784122770606,-180.25705361295462,17.14989064326139,-177.4649140452675,0
Other,Other,No,No,D,-135.16756474594447,B,C,71.65004528952109,122.67614988211257,15.931403417551643,66.82714839111114,0
Black,Buddhist,Non-Veteran,Both,A,32.310536145627985,E,D,52.4980478456476,-70.6312946374194,-44.224082820584705,47.57525198110286,1
Hispanic,Buddhist,No,Yes,D,109.84564205069182,B,E,-26.523939967916416,-37.37059302011272,-2.4396194492905696,63.99239116171233,1
African American,Other,Non-Veteran,Mental,D,-41.03869785612464,C,D,-104.81282878328275,147.931038428406,24.487728501206814,-65.8790783260464,0
Black,Muslim,Non-Veteran,Both,A,73.28404157476663,C,C,-156.63942054730123,136.4884237332069,111.85457540544128,27.506913031374964,0
Hispanic,Buddhist,Yes,Physical,C,68.54965889223543,E,C,50.12196902874795,41.83892994721518,88.9945980412758,-20.247217654246676,1
White,Hindu,Yes,No,E,181.67881693154789,D,A,-173.30253855767347,-6.9471617212554335,112.61399467254698,12.27078767384824,1
Asian,Other,No,No,D,55.333819438425635,E,C,37.142812500906494,-107.29715634277296,-79.42333946361,95.02413248284894,0
Black,Hindu,Veteran,Both,A,89.61898886663839,D,E,-18.260094336544817,35.57842536209023,22.20043077178559,-134.87073381908888,1
Asian,Buddhist,No,Yes,A,-97.66298810639267,D,A,-73.55803486034165,33.64801173300902,-36.6412984879637,10.735387094450871,0
Asian,None,Veteran,Yes,A,-27.347811472145224,A,A,96.15441955980543,66.5030137590606,42.538862343616316,72.28676632227427,1
African American,None,Veteran,Both,E,104.29478301094825,C,E,-154.7636303211178,259.75063325949185,127.94659735278249,77.37885067385999,1
Black,Other,Yes,None,B,39.281801101000745,A,D,-48.50315961400174,26.873511083197176,-73.94176365826874,63.52145018294498,1
Other,Christian,No,No,D,-23.405012685428066,D,A,-126.14674977281229,84.14873131073341,102.6158315972354,58.659811551696805,1
Asian,Christian,Veteran,Physical,B,51.90364540628289,C,E,-142.5855399899205,157.81866855931995,-24.851178168569255,5.115976247858582,0
African American,Other,Non-Veteran,Physical,B,-161.5705363926989,A,E,130.78832251299505,-115.69559940340154,-4.939149076614141,-122.66573227193885,0
Other,Other,Non-Veteran,Physical,C,-139.39855522367247,E,D,55.106973165763506,-69.23123971641373,27.11554283945677,73.97939277316264,1
African American,Other,No,Both,C,-161.11586050342942,B,C,88.91812629314147,10.678461614896253,-45.268995825928386,-45.57500168401979,0
Hispanic,Other,Yes,No,C,41.183718539336354,A,E,138.98543753932447,-84.25962862316744,-25.365528434972205,156.84087625674633,0
White,Hindu,No,No,B,174.38581841449033,A,D,121.67608804150927,-165.35848723945946,-39.179232968764666,24.038227525657664,1
African American,Hindu,No,No,A,62.707770479000594,C,C,-42.8880727001055,-7.401409232713016,18.99298486109693,-100.2079795333908,1
Other,Jewish,Non-Veteran,Physical,B,-76.97799003433788,B,C,-22.250362887864604,-2.973817973526921,87.65466926426906,55.70990410278994,1
Black,Christian,Yes,Yes,E,-191.22043637705943,A,E,-49.97249234617497,40.42329198014454,-12.426681913603407,-88.60179628298053,1
White,None,Non-Veteran,Mental,D,-113.8473997720101,E,D,50.80949908975656,-43.72169372627043,-12.862387116958493,-85.12388339145977,1
Black,Buddhist,Yes,Mental,B,-89.08012537475022,A,C,-166.99203911848542,-15.130073891371202,201.1001827913816,8.258494375395882,0
African American,Hindu,Yes,Physical,A,-16.054736230747967,C,E,33.979366737979106,228.64404462163873,22.79620451935304,-19.48856770120062,1
White,Muslim,No,No,D,-59.531458669587444,D,A,164.391908295243,-61.55801639610097,-7.6541009660011134,-28.91802155043535,0
African American,Other,No,Both,D,-76.55102421765626,C,B,-157.26792818604645,-184.5014816538569,-29.928467463701903,-5.064512351587347,0
Other,Muslim,Veteran,None,D,-127.40125454340661,C,C,-98.69108446778226,122.24838265643628,58.277135381444126,-157.51815622770528,0
