AgeGroup,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
51-65,Male,C,-28.835610394475967,E,E,C,-22.75364724596966,129.23197716318455,B,149.99601309987415,-63.844706755754544,C,C,E,0
65+,F,D,77.62773118064685,E,A,B,146.35301348897517,-99.48218983936846,E,-79.33490602196751,105.5726285977325,D,C,A,1
36-50,Female,B,101.07773307266652,A,E,A,294.22739655722955,77.12271083090523,E,104.20980465163461,-13.633796063245951,C,C,C,0
36-50,F,E,-0.4446717055961332,C,B,D,81.08046676137715,-83.18711813488576,B,-110.98877072789726,-8.777375168060596,C,C,B,0
65+,F,D,-106.02463452908441,A,E,E,29.291817833681854,20.846278633487135,C,-39.26497400050132,11.732712825111175,B,D,C,1
51-65,F,A,-110.43313888597356,E,D,E,-35.099868232405164,-6.145776230896641,A,-42.251696749206246,-34.93546252817612,B,E,E,0
26-35,Non-binary,E,-97.4129543360645,E,A,D,153.78734418239185,146.32172433904054,D,-80.31303218672218,-115.58477979723098,A,E,A,0
26-35,Other,C,104.52248060513783,B,E,B,69.1608250057168,-10.727174979299997,E,191.8116761213835,-43.19225404905872,A,E,C,0
51-65,M,C,-25.10806482206151,C,D,E,202.85147150935225,30.927906530669812,C,-31.26112891653773,44.96043564758825,D,A,D,1
65+,Non-binary,D,-60.09060388892126,E,B,A,80.19282386640151,-90.25653382582807,E,-5.052444920360024,162.74987249651224,C,B,D,0
26-35,F,E,108.54776709901543,D,B,B,6.535396824755912,-71.11948314086328,E,-136.44079379186326,104.13316256076,E,E,C,0
36-50,Non-binary,A,-73.32168838768143,D,B,C,-148.11872650517648,-79.00468259359819,E,38.4785538504399,-1.4831597281092903,C,D,B,1
18-25,Male,C,4.711954257680597,D,A,E,59.79958447566417,18.590632219615706,B,-36.438580467677106,70.03663735260388,E,B,C,0
51-65,Other,C,-96.51379843939503,A,B,D,45.153727221096716,91.19105894004184,D,48.292968118566456,75.24197423277211,C,D,B,0
65+,Male,D,-44.93923820450323,A,E,D,41.680553206771116,14.845280612860146,C,103.43691781016224,-30.835367772985006,A,B,A,1
51-65,Non-binary,A,-160.51190105835516,D,C,B,-6.395107994123063,5.4792320438303665,B,273.11675480280377,193.41929971392062,E,B,B,0
51-65,F,C,94.75491429089182,A,C,D,17.098182401567698,-100.71705485632782,C,-104.63875256306177,26.013044878522795,E,E,A,1
18-25,M,E,20.292872609393363,B,C,E,35.84647675233785,124.78413824402803,E,-47.45677381910536,41.231666410588815,A,D,C,0
51-65,Male,C,49.976395280393035,C,A,B,-34.35641653487282,-41.73729490309378,A,-101.70123996302245,-74.76499371036053,E,C,D,1
51-65,Female,B,-39.29149726545742,C,D,A,-161.49574341762653,1.61647442647201,D,28.676579670640283,-38.60070886554533,A,C,E,1
65+,Female,B,-76.38207043189793,D,E,A,34.38199544059758,21.666833177670114,E,-67.48075942150217,43.54326535304775,D,A,B,1
36-50,Male,E,118.88431923215408,A,C,D,-87.38240679764779,-227.88073263102046,E,130.8397316254538,199.3546162064638,B,A,E,0
65+,F,A,-109.86195359908089,D,B,E,42.28877556979291,38.32798629101411,E,-2.3666992116180294,-158.60995758054,E,D,A,1
18-25,Male,E,-86.13243457293221,D,D,D,188.6510776111238,120.6751177995278,C,-13.316614573769787,99.60139082394497,A,E,C,0
26-35,Female,C,-65.69080541581877,E,A,B,-84.89016666753587,-135.30604298646662,C,-109.31862619205042,-102.67447604965194,B,A,B,0
26-35,M,E,-208.56559091511383,D,B,E,188.64998414122468,56.12312076484736,A,-48.26562535184209,-87.23410955521076,C,D,E,0
51-65,Male,A,49.34464775276252,B,E,C,217.60704900182142,-98.40247418710946,B,-60.13322172739526,69.64846643564081,D,C,D,1
18-25,F,E,331.1786362211973,A,C,A,68.84260958410418,75.22742343430508,C,185.34050224032393,80.53503435323593,D,E,A,1
36-50,Other,C,-66.72078987247197,E,A,B,-24.782223958886735,76.76180205848694,D,24.929869243839182,61.51426988393614,D,E,D,1
65+,Other,A,13.527009082998049,B,E,D,-123.62289104701354,-39.16025885671288,B,131.63761873196557,22.69320508414843,B,C,E,0
36-50,Non-binary,B,18.72604457696229,C,A,E,-30.691890424383715,66.9012688152822,D,33.063872650563376,32.44255157067349,D,A,D,0
65+,Female,C,-37.913771017802915,D,D,E,-60.423466901053416,-46.30344866787295,B,112.70105073437371,9.921235782628326,E,A,D,0
18-25,Non-binary,C,60.95414558956237,C,A,B,-152.08560049518064,37.98151355313203,E,-6.812337250425912,269.1081197823592,D,A,E,1
26-35,Female,B,108.72584861812335,B,B,C,109.7559028483067,-25.224537765702838,B,19.098245073932567,-39.970576711739355,C,E,E,1
26-35,M,C,-46.357777559802834,A,B,A,-193.7726355737143,180.61460822440148,B,-40.09845589661406,34.49576050668915,A,A,D,1
18-25,Male,B,-225.1895958627388,B,A,D,-57.67788966773546,-84.23714873763701,B,-94.59815673942992,33.587211563510415,A,C,A,1
26-35,Non-binary,A,-4.4462252688443815,B,E,E,85.33356078647233,60.83349252075871,E,139.85397637928781,98.3507602499813,B,D,E,0
36-50,Non-binary,A,-35.31365721397764,C,C,D,7.108309657766046,208.6569926121432,C,-64.14457066874007,23.52684904534162,B,A,A,0
51-65,Female,E,73.81344357786294,A,C,E,124.3990168319701,218.91301613086088,D,-19.66822558830901,30.599779810350718,E,C,C,1
51-65,Female,C,-22.309909445713707,D,A,C,-150.33776695790243,-186.01497430502963,E,13.832529927835749,-144.8357041269269,D,C,C,0
65+,Male,B,-167.31048556568848,E,B,D,2.6993268701444895,-27.76474765862242,E,24.51009764835271,0.9951978718010009,D,E,A,1
65+,M,B,-95.09234130551948,A,E,D,15.526496793670402,96.14640276347671,B,-26.42706129673992,127.1341493290318,C,D,A,1
36-50,Female,E,50.680140779649854,A,C,E,27.214454264685312,84.51239121106518,D,145.27572401252598,64.0467422234592,A,D,D,0
36-50,Male,A,192.04555375463124,D,C,C,-188.2884885093401,-27.245633012946907,B,132.02262116713038,-129.1980795250656,C,A,A,0
65+,M,C,101.104980529236,E,B,E,223.30848392053633,-221.47035476836248,D,-7.186114687703947,-53.82488154920237,D,B,E,0
51-65,M,E,-17.245822933572367,B,D,C,89.11881761669058,-76.0386368897169,D,132.2090558857318,-54.46959769515766,B,C,D,1
65+,Non-binary,C,-28.85067554019184,B,E,E,-80.12611743304456,-43.452304863448354,C,124.37979383210356,99.28086337090751,A,A,E,0
51-65,Male,C,51.484908508768854,D,B,C,-39.5094368546701,-213.00996797196547,B,-102.8044602158378,-77.33627746626043,B,A,C,0
36-50,F,D,172.93124809093607,A,C,B,-24.31955920148991,-33.584056738963284,D,8.848106804113542,96.70131372966353,B,A,A,0
65+,F,A,-51.108325794028886,C,C,B,-3.6643784263866475,150.42451114977132,A,-54.014245022084026,11.18129357391643,B,E,E,1
51-65,Non-binary,D,-90.35372437279725,B,A,D,151.27998846511662,-46.07558709396379,A,-85.18813020316412,-7.494331599011722,E,D,D,1
18-25,Other,E,30.59836286915812,B,B,E,2.6525538382488056,116.38064332597457,B,-28.781437150003423,119.58925615063416,B,D,B,1
36-50,Female,E,-90.393755719263,A,C,D,-94.33363859743484,-53.808607904013904,B,159.82424959596563,-14.985055975090894,D,B,E,0
51-65,M,A,4.017314867932454,D,D,C,14.749165126474686,115.52476951907926,C,26.70674936642903,141.42263082525815,C,E,B,1
51-65,F,D,2.575778482532502,D,B,D,-16.838561696348773,28.717096780651108,A,184.0277212863106,135.14428480089518,B,C,D,0
51-65,Other,A,36.26645013902671,D,E,D,106.92545554156862,134.19015215508503,D,-13.86252506555814,8.572780545912549,A,C,B,1
18-25,Female,E,-90.24604857841267,A,C,D,53.76367170440939,60.57986856838921,C,36.76688616017331,-94.13183018908717,D,D,B,0
26-35,F,A,293.8263704119427,A,C,B,120.14182105928593,-91.90837940625323,A,-33.49903159229897,4.716040603270122,E,B,C,1
26-35,Male,B,5.194011240446277,E,C,B,85.46665338120431,-124.1261933878653,C,-65.99492268005316,-156.1141146266834,C,D,A,1
26-35,Other,A,83.03205968832069,A,B,D,-202.16589905349628,78.95701828920457,A,-75.15411241630908,-37.60375490512452,D,C,C,1
51-65,Male,C,-20.112693259882235,D,E,C,31.75054192057286,115.2346757350655,A,85.13495379953304,-30.195658895146394,E,D,E,0
65+,M,C,-81.60430472923002,D,D,A,-140.17417697541038,67.31564178137135,D,-46.64233234061455,-163.70662539092865,E,D,C,1
65+,Male,E,117.35757816838198,C,B,C,127.80347548321271,90.31142462775551,D,-24.830067566348568,3.191049990043435,C,D,B,1
65+,M,E,87.90179663483875,A,D,E,-108.9229165155664,-14.344141785741568,E,9.870905836672748,4.7152093025986375,D,E,E,0
51-65,Other,A,-127.75683659977908,B,A,A,-3.080335887701088,-135.14655318785074,B,-85.21749806526415,-56.91523562246956,B,B,E,1
26-35,F,B,34.241166943238554,C,C,A,-195.25406185675376,8.16812683077889,A,-162.99125205969932,75.82592834575455,C,E,E,0
65+,M,A,-18.82372637055712,C,B,C,-64.49258701755257,91.63195902402447,A,-6.781624758710326,-30.4792163782485,C,C,C,1
65+,Female,B,102.62320698486138,A,D,C,-148.39508156355305,96.12400637650795,E,-119.51575105674328,141.4346267166629,C,D,E,1
18-25,Other,D,5.426721461609526,C,E,B,77.56714331402411,-95.61977364897419,C,136.78537337227678,-2.6966798706385124,C,C,B,1
36-50,Female,E,26.385231113042273,E,A,B,-283.8364543929912,-4.086228886311616,E,26.571661232773238,105.49275058758516,E,A,D,1
26-35,M,A,-118.57106725384409,B,E,D,-31.58685197209809,64.53734334072905,B,-132.94471992829742,-45.25472754785021,E,E,A,1
36-50,F,A,65.55883417435004,B,E,A,-180.48078024970766,6.131553148362423,C,-94.86050885978233,29.112736971019736,D,C,E,0
36-50,Other,E,-78.99095536518341,E,E,E,111.12499969533198,-43.58347630282019,E,200.4057516365699,-136.32664674766184,E,C,B,1
36-50,Non-binary,A,12.2011492448332,B,E,B,-128.49406940868187,36.14750882785856,B,96.46633722056383,86.34769936366676,D,A,B,0
26-35,Male,A,271.1021123787889,D,D,B,-140.32184259384434,-18.48588379957066,A,-57.833928909657914,-9.628339132250051,C,E,E,0
26-35,Non-binary,A,86.82082022694728,B,E,B,123.72427285128862,13.769110749009005,C,30.16067468549136,27.2754391225803,D,B,C,0
65+,Other,B,63.39673466924325,B,D,C,-98.60656846584985,105.90003689705787,E,48.069371985297074,-143.20787022993855,A,C,B,1
26-35,M,B,-112.3293003120051,B,C,B,-171.3624550788022,111.03298768214256,C,63.914584697143404,60.405153097064925,E,B,D,1
51-65,Male,A,38.789030631911274,B,E,A,-121.82256087370054,61.10210170220724,D,9.085756265391765,127.54600064167627,B,A,B,0
36-50,M,E,-29.239889897952814,D,D,D,117.76613826874511,-194.9515084033666,D,-123.59756707676858,-123.68867469663441,C,C,A,1
51-65,Non-binary,E,110.93441759909585,A,E,B,152.4447636021562,-105.09935199339955,B,162.46797809626023,73.84085076294245,D,D,D,0
65+,Non-binary,D,-27.83337112179135,C,D,D,53.37820091066238,94.42667442007904,B,46.479085490175855,-31.852923983046523,B,D,A,1
36-50,Male,D,-79.40428947427269,C,A,C,110.08471742350821,182.20911381434593,A,-108.16671457681073,-113.59016391824588,D,C,D,1
26-35,Non-binary,B,-40.27287696404856,D,B,B,5.4721414475986325,-91.4815076691178,E,-94.47118979467149,-16.187528719495926,D,E,B,1
26-35,Female,B,-85.4247763876465,E,B,B,115.57328664361661,4.346323980463494,B,-1.613053658843374,77.35723850224099,C,A,B,1
26-35,M,B,51.95690334272685,E,E,D,-158.12252504142842,12.877304024576446,D,-39.87396932108299,-24.893020937046515,C,C,C,0
26-35,Female,E,-185.432616939851,E,A,E,85.08391267584146,-102.38014574768461,B,167.40971557403435,-3.1650354211219125,A,C,C,0
65+,M,D,-138.9973738142427,A,B,E,87.20352039586176,85.73703802747656,A,-12.946888305767882,-154.31226113412697,B,C,D,1
18-25,F,A,90.04136704837902,E,B,B,-15.243273326079418,58.126201027003845,C,-123.0378909522413,62.52917055948478,A,E,B,1
51-65,Male,B,-131.04591491331513,C,A,C,-67.82941508495021,-56.54226742495686,B,-95.13540164396514,-130.99610798163482,C,E,A,1
51-65,Male,D,-23.52413469691906,C,E,E,-22.45283312928432,-25.36277246884002,B,39.708246979941485,-272.3314056226377,A,D,B,1
65+,M,B,-14.839375394587584,B,A,E,-106.41216047004897,55.300986228103675,A,45.52768283603942,87.55706914864385,E,A,E,1
51-65,Non-binary,C,133.63937499709303,A,D,C,-107.14096931707422,-120.96410413469702,C,13.146201816430963,-119.04477326926619,A,C,A,0
26-35,Other,E,104.75359740312524,D,B,C,-53.3303695136479,-68.07941231628533,C,-5.483433984122657,48.08655239836976,E,B,E,0
51-65,F,C,29.052080573614614,E,A,A,-213.51756483749122,-72.99720492315346,D,-40.92097968307951,21.83203330661794,C,B,D,1
18-25,Non-binary,E,62.35179777980947,B,B,E,-222.76551893092642,41.82885383225516,B,-162.87700309444259,31.208058902919895,A,E,C,1
26-35,M,C,217.2704858385149,C,B,C,-5.251139784581057,104.70825963770108,C,-100.06119187582247,-34.87463611141901,A,E,C,1
18-25,Non-binary,B,-69.68236656711272,E,B,E,57.92167855984419,128.25346345478715,B,44.72690671699827,-38.794892211083976,C,B,C,1
36-50,Male,A,26.420738742145055,D,C,A,-39.78244349811171,-124.75571261176057,D,-40.010764063300726,48.64493589291669,B,C,E,0
26-35,Female,B,-95.32246552738813,D,B,C,-73.31452152631537,71.72500993150292,D,9.409858466686078,-55.37718730365947,D,A,A,0
26-35,M,E,-57.847315738517125,B,E,D,17.581031448559056,81.11993072519206,E,-63.27281135806159,147.13222014976768,B,A,B,1
51-65,Other,C,25.190162261923792,C,C,B,-79.25152927509178,-93.86164092204729,E,-83.73043282584644,100.69775711727729,A,B,A,1
18-25,Male,C,224.1755555256613,B,E,C,23.29076051758409,40.9415826596312,C,190.77277861107694,75.22955913384415,C,C,B,0
51-65,Female,E,-7.8771390515635975,D,E,B,6.164781318519131,85.31543525625396,A,2.5135879665506176,-49.980982602690425,A,C,C,0
51-65,Female,D,-10.055141431817514,E,B,E,-7.586980349065006,-72.53861272268063,C,68.00044101102942,58.58599457812106,E,D,A,0
51-65,M,C,2.203241055759057,A,E,A,-54.24101964778663,-190.78029440866487,E,-19.77615275595602,27.95418444370507,D,A,C,0
26-35,M,B,-25.065836867886848,B,E,C,28.525924809836678,184.03383117525536,E,163.80223427906992,65.66934714679678,A,E,A,1
26-35,M,A,-29.368341610158772,E,A,B,-71.08613007710403,25.51560038815208,E,-78.41908510923744,-239.78988693570668,A,A,D,1
26-35,M,C,127.96755112271532,E,D,A,23.76315081020913,-36.812519065978655,E,-183.2428814421148,-34.38086009185279,D,A,D,0
65+,M,B,20.91899999261006,B,B,A,-235.80232601958522,-208.09030249871702,A,-127.47835098985418,117.56698063067341,B,D,C,0
51-65,Male,D,11.768929090117426,D,A,A,-116.10154191804935,-74.05828238105941,D,-89.05046825412981,-173.25817611157112,D,B,B,1
51-65,M,B,-161.4813423595422,D,E,B,31.63919480107794,-84.11517951106488,A,2.986051017211942,216.44440048899952,E,C,D,0
65+,Other,E,67.26929784164818,C,B,B,-34.593558385470914,43.26881712737696,B,-81.19271939242873,-95.01865182703614,B,D,E,0
36-50,Other,C,102.1478804013303,B,A,D,-106.7272128300895,-103.1431092306853,B,148.19829239940128,-176.99448105599836,A,D,C,0
26-35,Male,A,-76.26176387836645,A,B,D,-26.435403907098927,-32.38704461229163,D,26.83567961238032,54.239748610850825,C,A,B,0
51-65,Male,A,-155.7059857390852,D,D,A,143.03784406481,-43.77483109979785,B,37.33650103561468,-62.9735575050093,C,B,D,0
65+,Other,B,-206.8201103709848,E,A,D,-100.37133497271944,143.99331587317766,A,-104.00693502204264,-24.22102480045246,C,D,E,1
36-50,Female,E,-94.11491778020218,B,E,E,-99.61877018178367,-43.43981422337457,C,-146.32653304837146,-51.32121447723905,C,A,E,0
26-35,Male,C,4.565904014166902,B,B,C,57.23015667817945,-120.67283216782936,C,107.23857131656564,30.080192621918616,B,D,C,0
18-25,M,B,191.06555449200272,C,D,C,-52.087707848307666,-117.64444697391039,E,-112.37538531186235,77.29612558106757,A,D,E,1
26-35,Male,E,-9.423935226478939,D,B,B,-108.61336261946228,5.716435993993866,E,50.9544734905124,53.85558955528933,B,D,A,1
26-35,F,C,-98.8939432979805,C,B,D,-88.45702700082298,31.756637822950605,A,-58.514007859133635,-60.36790501748626,D,C,A,1
65+,Other,B,-84.38483141698241,C,A,B,-112.04125114366437,-90.93187644400179,B,146.0766839389074,-1.4634626068748582,B,E,B,0
36-50,Non-binary,C,179.33238705215953,D,D,A,92.01925043502348,51.531589608888964,E,101.00512136347525,-225.08620819105167,D,C,D,0
18-25,Male,E,65.19784795719546,A,E,B,-17.702329139070308,-23.121650884791197,E,-4.3489569299157695,-127.4265190915894,D,C,B,0
36-50,F,D,-163.47427632545373,E,B,C,-182.51643636999196,58.67909302933169,E,-84.19205148768776,19.059679354550855,A,E,E,1
18-25,F,E,-99.50064030257958,C,B,B,172.67320064687902,-216.44274964565759,A,-167.678457169132,-160.68330385197922,D,C,A,0
65+,Non-binary,E,-199.02215047804765,C,D,C,98.6585560442894,124.76064028479013,D,50.40946576305863,-63.29914405674618,B,C,C,1
18-25,Other,E,-143.31344360709903,D,B,C,-84.54863596045709,103.01108414496711,C,207.23555814897506,-122.96909711618417,A,C,D,1
65+,F,A,-87.73295008620458,E,C,C,-21.091535802301113,73.99480122411991,B,-62.727732521870294,30.776011613726183,A,E,B,0
65+,F,C,-56.21364970744055,E,C,D,15.272182456442282,-28.90274557429927,A,177.7713073466344,3.5815230506217057,B,B,A,0
36-50,M,B,-32.57351282569355,B,E,C,-240.94222257346397,71.46151070032377,D,44.0346350968097,-62.656579689202474,E,A,D,0
51-65,Female,C,162.50773137076874,D,B,B,-95.16903093214479,-79.33663302676364,D,-69.42158867964535,-14.290531750107945,A,A,D,0
36-50,M,D,131.50393929757433,E,A,E,7.517413238869837,79.46486094641403,B,-23.618320891137234,99.26864725249725,E,D,D,0
36-50,Female,C,-24.335797832140955,B,D,B,165.6141460620164,-32.693774588784926,A,-48.720517126186856,125.60404795962465,B,E,D,1
36-50,Other,B,-52.41795851061293,C,D,D,0.9024933348232674,-110.05765558266005,C,-98.60755001750253,97.65474655734091,C,C,D,0
65+,Female,A,-108.51263799323576,C,C,B,-20.274512418245987,31.289185875603614,A,-3.0918657555266313,140.79142595699778,D,E,E,0
18-25,Male,C,161.00373098174953,E,A,C,149.07315584350422,-9.07653218933335,E,-131.214454002009,21.636618175256288,C,C,C,0
36-50,F,B,112.50515472080403,E,C,B,56.363850984452355,2.07457787594969,E,-111.82471461856673,35.60196261667328,C,D,A,1
51-65,Non-binary,A,-175.67564272023225,B,B,C,11.277225477094778,-156.71371551060588,A,-110.82425101490374,194.98989147470465,B,D,A,0
51-65,Female,B,77.14985538776097,C,A,D,-77.00231422734146,-101.87493315778534,E,61.239694457305504,-94.69224997955747,A,C,D,1
36-50,Male,D,38.49220699110863,A,B,E,33.45717229370459,118.35851012952799,A,67.56318953022348,-32.746949269612976,E,B,E,1
36-50,M,D,-32.46112607493637,E,B,D,-62.097101117262795,129.1091104109692,E,-130.12183972819452,223.85147538236825,E,C,E,1
65+,F,A,-101.60946977816938,D,C,C,55.116987818671014,-237.38701630653765,E,-21.973112146044528,127.36300340286371,A,C,A,1
51-65,Other,E,-51.5045926541902,D,C,B,142.90608576026028,-36.27801302176042,E,166.487026764442,-143.38593609215252,C,B,E,1
51-65,Other,C,-81.09193596597962,E,C,A,14.471032213900997,-65.38539941548494,C,-33.870408313313845,107.21212611747623,C,E,E,1
18-25,Non-binary,E,118.62933896173425,B,B,C,61.920975344377936,-135.08662576867005,E,75.70897009741155,119.58900441196114,C,B,E,1
51-65,M,D,105.014672379055,D,D,C,39.045949094465435,89.92357600617419,C,156.0985038547643,39.36300942004445,A,B,B,0
36-50,Male,E,5.6458817932337135,A,D,D,-132.56909981739233,-38.051423433379476,A,-63.61543778891213,221.85438355934517,A,E,A,1
26-35,Other,A,155.987228041394,A,E,A,-201.31066681292094,-23.862996687249087,A,126.39595886153376,-36.75795130235314,C,D,A,0
26-35,F,D,139.88136278998613,D,E,D,-123.91497229806225,235.99377596378477,B,-98.16123493909012,14.861831984666281,E,E,B,0
51-65,F,C,96.86162306114299,E,D,C,34.78825810051781,-14.889117012712067,C,72.83804143694343,180.46125042264634,B,A,E,0
51-65,Female,D,125.64769046704119,C,A,C,83.63372760600465,-9.731721010390599,C,-19.267629096816517,-6.657035724921176,A,C,C,0
65+,Female,C,-124.77779467971308,A,C,B,236.94223942739248,19.846482081179783,B,-51.99445240245646,-48.69823651325321,A,A,B,0
65+,Female,A,-0.8674374237924963,D,B,C,-36.51336633317656,-128.27815014499637,D,36.46395385731147,-31.111372976031078,A,E,A,1
26-35,M,A,100.92576999085465,E,A,E,88.72563938032478,117.9018305791035,C,-105.23432124765604,-83.49586047154517,D,D,B,1
18-25,Non-binary,A,80.48326313046171,B,C,E,-132.43930608945035,-54.54289354291235,C,25.23590440832339,55.674968349078235,D,C,E,1
51-65,Other,C,-44.134205045569544,D,A,D,-36.30834255798185,-104.70480095668026,A,38.139935197567915,-17.49772555573651,D,C,A,0
18-25,M,C,-60.687927600279515,C,C,E,-17.29456286427639,-88.10967629378354,B,-145.65003033391628,-92.82150617921877,E,E,A,0
36-50,Other,C,-93.24070739612222,A,E,B,-126.13359422646606,-128.44818955795094,B,-97.46262642208363,11.016068539138383,B,E,A,0
65+,Non-binary,C,-28.99441223930318,A,E,B,-17.250174784775773,23.463845835163465,C,72.03778214733276,16.69642262446319,C,E,E,0
26-35,Female,E,164.66328688444486,C,B,C,-176.57208235291776,-70.6455043376033,D,-50.5625692571847,116.29359101746903,D,D,D,0
51-65,F,D,-49.79734658212144,D,B,E,215.2968073505078,64.91189853364591,A,71.25749635097279,-48.77726017890637,C,E,A,1
26-35,Non-binary,C,-33.3089623507442,B,A,D,93.38687379886943,55.92452324313126,E,-42.641365258343825,-100.40231572414386,A,B,E,1
26-35,Female,B,-31.07582843828481,E,D,C,-90.09367765140469,-27.820961683476508,B,-32.887174902045054,-42.904614908107966,C,E,C,0
26-35,Male,D,-46.56909741857143,A,B,A,-47.23991789434995,-1.4614156820139574,B,-76.57277195712776,91.70200574006957,D,D,E,0
65+,M,D,-75.95782273427848,E,E,B,93.9724703441058,-162.14423864378122,E,30.705626111989048,208.6284151365939,C,B,A,1
26-35,Male,A,-118.78353283608033,A,C,B,74.53315781802662,-38.28217815581548,D,-84.28546132344331,25.702530529774265,C,E,E,1
26-35,M,E,-164.33111679129243,A,B,A,174.8361074687171,211.55701344910963,C,64.63941165956525,97.74933284982772,C,E,C,1
51-65,Female,A,93.5623990572312,D,D,C,-112.14510735375711,130.1167705494676,B,65.9836583233777,73.89185829178918,E,D,E,1
65+,Female,C,-35.02059800957091,B,B,A,-62.696347497385176,81.40007541178275,D,-72.54290781374915,-39.645609333008466,E,B,E,1
51-65,F,E,31.994294596405876,E,B,E,105.70652673708669,95.2511827919639,C,-82.33597954735855,-97.15905349786908,A,E,A,0
26-35,Male,B,-23.210261878240317,C,C,A,-5.525483805906184,-152.43306161433588,B,-64.28974289907471,3.492183709573893,C,A,E,1
26-35,Other,E,-138.96170446399026,E,B,D,21.169036130090316,12.17050501991272,B,-180.55885398195002,-13.904724154253161,E,D,B,0
65+,Non-binary,B,13.013288685333022,A,B,A,8.969378278290776,-14.032253306013875,D,72.41918795980182,27.748868608849286,D,B,C,0
51-65,Non-binary,D,89.1317985347209,A,D,D,-105.03574448817162,-48.80563926760875,C,-62.92269413957713,-116.66938811311336,D,A,E,1
26-35,F,D,25.59984335893765,E,B,E,-91.79347228627235,232.30478670556738,C,-85.34165981177487,-39.080288278541666,C,E,B,0
26-35,M,E,31.305024151502035,C,E,C,48.85995346720135,32.55575818591755,A,184.27890896722866,-72.24484850329674,B,E,A,1
51-65,F,B,-42.89476825879678,D,E,C,63.76383143401982,-133.82309692268427,E,-50.15501652919772,79.86995196451592,D,C,B,0
51-65,F,A,-129.95105214843136,E,C,E,-86.23670406611524,-9.965421400518233,B,12.191736948565621,-112.53564635580129,D,B,D,0
18-25,Male,E,-133.86098288103912,A,B,B,-54.682047776313844,83.6012921660337,A,-51.59193336879834,123.34095643245438,A,B,A,0
