SEX,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Male,India,6.305358035878242,12.658858394489922,D,B,219.89202358446698,A,4.916091267335599,88.02158240408521,E,-57.20875637620089,0
F,Germany,1.5843374237405883,-15.044364533529741,C,E,-141.13462074080743,D,65.0515149757491,-213.62670280107716,C,-187.88866592816672,0
F,India,101.91620931516734,-39.99260703007735,E,C,48.72684162750834,C,-169.3203644348714,-99.55225171004062,A,96.08230621767613,0
Female,Germany,-38.65239700546254,-91.56834097818421,E,B,1.4669868676552356,B,-23.504117226406038,37.78928880232867,C,50.05197860691196,1
F,UK,-12.404862948253466,116.01020001030986,C,C,57.14604475192074,B,-111.1055803701078,20.696504788615016,A,37.13936577972997,1
Male,Brazil,7.3805506541863295,-223.39435192422906,B,E,-68.25439957673049,E,107.55488715268449,-141.34986438871067,D,50.96220828818421,1
Non-binary,China,-180.87108945758007,41.723059064807906,B,C,-11.035796411088608,B,-117.94507306574118,48.64518473582326,A,-33.61254630103247,0
Female,Germany,1.9121959243197848,219.96876949441372,A,E,-15.329797205218265,A,-67.9082733147688,93.064844966025,C,70.0802474707531,1
M,Brazil,139.13372011270548,-10.539533293288898,D,A,16.10837681355653,E,25.886478422943178,-81.75991141125964,C,60.520846517220136,0
Female,Other,-51.164144646306056,13.800651126272829,B,A,189.73630418874944,D,130.4096615841143,-267.6569008418627,A,-33.18059620445596,1
Non-binary,UK,-56.78951736669568,181.5351154853515,A,E,169.9236157647869,E,-125.3008100742096,-67.03024783662259,D,-16.62673877054049,1
Non-binary,US,-69.29405285650942,-24.604322558992205,B,D,406.14047583556487,D,141.02173086605103,22.0318495186375,C,-70.73215043874245,0
F,Brazil,-4.471067529207512,-150.4798664808789,E,A,25.84193390377447,B,-52.8186432034664,-3.8947168148695623,E,121.04006121439606,0
Other,Brazil,68.27013892224159,53.92191770041451,C,E,43.783706777428854,A,72.86173867728054,196.32709287776385,C,129.02433705699403,0
Female,Mexico,55.21098093189762,1.9219144826290602,A,B,-33.61498711899937,D,26.295156160142735,-52.65354918263301,C,-81.07834763745745,1
Non-binary,Brazil,106.41915730974748,-15.1802836798519,B,C,0.947065463890359,D,127.30186430870711,27.85648179373889,B,-26.47945027615277,1
M,India,81.0094192857207,56.516228763680054,E,D,-91.82994122860573,B,-14.361600110613079,83.44553354681265,D,5.3353545391822275,0
F,US,-15.298878133947461,86.12565726890168,A,B,84.20575958000892,A,-76.5984866177304,72.8671241605701,C,-122.91197385395236,1
Other,Mexico,-94.32100814097359,8.584751550711605,D,B,-97.65825559142,B,130.4631795606609,59.083905173703435,B,-59.9720927600955,1
Other,UK,-7.339092798194382,-127.52062690541521,E,A,80.24698987393339,B,168.4511632124533,-77.07090121185686,B,76.53349257355428,0
F,Germany,97.39707330752711,83.60747597337334,B,D,67.9010740344517,E,-128.58397780848165,101.04661048461733,B,188.96409110177564,1
Male,Other,-24.13348332526752,-284.0380152628248,A,D,13.010796486042162,C,-30.832919390109303,-8.383626554021193,A,-55.65452481067405,1
M,Germany,113.99348992027882,54.67456735645365,C,C,50.634848237634515,C,-42.587552800751034,210.45598959184025,E,-37.131458648575475,0
Non-binary,US,-26.766403578710968,-195.52844968453934,E,E,-59.02303932091478,B,88.58720541187358,-33.57750756919981,B,60.86343242774592,0
Female,US,-141.06554542273486,29.332446489191742,C,C,90.95584656844021,A,199.42461759345494,49.68829440421969,A,-49.35409910097337,1
Non-binary,India,74.46453661278491,101.25113054637092,C,C,169.50621477941914,C,-15.267830126185908,5.184733865984158,A,36.594106747768365,0
Female,UK,-146.23984204589811,-7.591935748858286,B,D,9.579782857695786,A,-71.47752236321439,58.715533226521345,E,8.035931764463552,1
F,Other,-115.41731373081643,-49.982177162442696,D,B,-86.49171604282265,B,52.89340553537664,38.92979861843453,E,-42.78374663121095,0
M,UK,54.37283505624667,175.68034688256355,B,D,-37.918777943083114,D,-5.941772256159517,232.7424770072481,B,-215.65939116395367,1
Male,Mexico,-35.178846681165666,-68.63527163281107,E,B,-5.31370764495895,A,211.1851703704819,31.84372908987395,D,157.00593598850355,0
M,Brazil,-81.39692057296564,147.8192017153237,C,A,-42.440162645174404,D,57.218096466414345,-263.21412979810117,E,-146.8648352317245,0
F,China,-126.72054450442747,129.62033526175279,A,A,204.3107408746252,B,33.507102922501886,-100.95863674522812,B,-151.214096755807,1
M,China,163.44286315636697,-48.56313502685705,A,B,-83.3407287126448,D,92.36340513339017,28.015301874244013,E,0.6211234772934483,0
Non-binary,India,78.80981623402927,98.05126747205745,B,C,208.48446743450734,C,35.55860296261423,38.87230563458981,B,85.33076532859243,0
Non-binary,India,-228.39555638663592,261.9466145459828,C,D,106.44456103290902,E,245.33246401220023,2.775094817138106,C,-9.895394472241225,1
Female,China,-31.30555259813757,89.57328713007794,A,B,-226.06588777622304,B,-159.81485207249517,71.0606795320171,C,-26.813968591600734,1
M,Germany,-113.5304425568384,93.56404558152629,D,C,144.13414285631833,D,17.091742291214384,144.41648289853455,D,46.83423970206098,1
F,US,24.28038350150016,13.537448433521929,C,D,56.61015506521745,A,-229.31653264098946,-42.33332867344088,B,82.12428372184382,0
Non-binary,Germany,-65.48239992879688,16.611878257600164,E,C,90.61090580827495,C,190.56831856574345,-260.3366116036567,D,-261.3806498880077,1
M,UK,-55.99974914266319,262.26431513869255,D,E,17.25880250548324,D,-120.42046713786713,9.01372877913324,E,101.32423309559296,1
Non-binary,US,-13.666438755955781,29.54501916430907,C,E,36.63331763328791,A,-15.053531268693435,109.93605354921017,B,-6.64844795580809,0
Male,Brazil,-118.07859385599136,-34.51166601275376,B,D,-34.29248299113557,A,192.66623537661403,-18.548557607564753,D,-47.71511303859477,0
Female,China,61.83646544991503,154.876615727277,A,A,50.4438363015987,E,45.66417228223097,49.37460079218542,B,-66.37216886230071,0
Male,Mexico,8.202673980578103,27.058988618615803,B,B,-49.06168863028453,B,174.73051692428527,-92.70145479551306,A,73.20133406596567,1
M,UK,82.99839740342499,-141.8037351887077,D,D,-99.7929065163372,B,-50.38074392740617,-86.28578608646947,B,-83.51829223710024,0
Male,Brazil,-45.65522188696834,-0.4185865674024512,D,A,68.45725881510283,D,113.60645237140332,-116.17172839400949,D,155.7276501902287,0
Non-binary,Germany,83.05929045766204,-48.41529378641252,C,C,-8.334620020451919,A,-271.8674583607794,186.8905289132633,E,-5.880310173627615,1
Female,UK,193.95516474304978,-93.70817461453018,C,C,-84.8627715974795,C,85.25316704979564,-153.43888301832453,A,-209.46018510828614,0
F,UK,6.411952896250947,123.14582676116189,D,A,305.6619543056479,A,160.1841485338795,50.01905784014272,E,199.6383835079135,0
F,Germany,208.4876845304874,-142.4771658591742,B,D,-21.655241627717622,B,55.52395359798681,-105.75051967567217,A,81.90757667008828,0
M,China,99.40508105012705,40.83564665635687,E,C,97.39958947666322,C,-26.308194832502014,-103.45749706184316,D,-182.84837691410334,0
Male,UK,110.36247825810588,136.60052128221545,B,D,126.96495077530341,D,-76.70341425705955,99.18737044783292,B,-216.96719949917167,0
Female,Brazil,67.8980797734318,-152.4028562628836,B,C,-88.27243258024612,B,10.50417745454808,-11.839249118327128,A,-9.965043770954573,1
F,Mexico,-146.70740824804048,-47.16593989228154,B,A,42.27300071009433,C,60.74292057497463,89.63918019752309,B,-87.55918119501865,0
Non-binary,UK,-251.46310036985312,-41.31453065228602,A,D,57.23084199144671,E,-109.48826517171581,-115.36669330434715,E,-81.8696549801203,1
Non-binary,UK,-24.9825903618114,100.55638713426751,A,B,105.34952465007892,B,13.995194587401866,128.31288487484366,D,-62.555707813938064,0
M,Germany,-89.08719123004617,-321.906269872449,A,C,44.27733365040293,B,-23.940347843361288,-33.6643130036502,B,79.60950679812552,1
F,Other,-62.51981493376418,-117.08731282487743,D,B,-13.322303179114128,B,-45.927353203097674,65.90334638183671,A,-89.45018322497596,0
F,China,33.847488281491344,-65.0986429014418,D,A,24.399050825999982,C,-126.93351978163776,-34.82505983255733,D,8.319056542248703,1
Male,Germany,66.51552867166394,96.29170988677434,C,C,-124.48120290731823,A,-4.024404391014252,-160.2337033125519,C,-29.52985355880498,1
Other,Germany,95.53608784455064,99.4822683580102,E,A,-32.75507872813215,B,169.894663144918,88.76947505321216,E,-173.04675017874743,0
M,China,-237.01387374635559,294.7904208355133,B,E,177.628727779376,D,-45.88675342618414,118.54811320987604,D,-68.13182574961878,1
F,China,152.04404537032943,-32.771312824430034,E,C,-36.27302463213737,B,-155.56720069934886,40.15006887751364,C,-9.052263320706334,1
Male,Germany,-2.9711702074644384,71.00937329840649,B,C,-119.29065104461588,D,151.23065058546834,110.8531612725191,C,-141.62790464283086,0
Male,India,-20.874761632906676,290.18030130695996,A,B,58.217802424216266,A,79.16689895209772,123.29475038507529,A,178.45656493713435,0
Male,UK,22.54377694042239,59.892187290243726,E,D,-11.100090884218668,C,-61.900663320126355,35.2809419472325,D,-3.449255005082605,1
F,UK,-66.76252903868303,1.6578580462434045,C,A,-83.73375122058874,C,56.85512933445936,64.1208576271261,D,-46.073079277948516,0
Non-binary,Mexico,250.33106009307548,-19.94739267075877,C,C,-28.414907002775614,C,1.0961177058658451,-21.598426729843208,C,-166.72424311294876,1
Other,UK,-159.53139435467105,-100.11398611523904,E,E,57.75756689417917,E,4.020628086620606,-88.46171044517408,A,210.9522659013531,0
Other,Brazil,-36.15180766809212,30.3275780452076,A,A,193.09237676487655,A,131.49242692887276,150.5376233110171,B,66.23263360088518,1
Female,India,26.59729031088079,-20.062102821273854,C,B,-31.198444122698376,C,124.22719653573327,72.95234722572786,D,127.77850346204048,1
Other,China,111.89055067638138,53.07576343304312,A,E,-38.19689388833323,D,-57.46015563068462,11.769910239302842,A,17.808916042275037,0
F,UK,56.1601257958166,8.954148133259656,E,E,49.75513140872676,A,130.2727647900225,-104.2917163195794,D,40.88138639329492,0
Male,Other,-3.2679022094113055,147.8688640905811,C,D,-12.459070862133997,B,-54.154934272054554,191.16653682103455,A,56.13908500337109,1
Female,UK,-15.266186511649217,-3.733502566901572,E,A,254.53921468585028,D,-15.632482181771376,76.49207252410143,C,15.887546793480523,1
M,China,123.61472840952263,128.73980081330484,C,C,54.506520013537454,E,-125.30443159142347,-29.38482382538503,A,49.551915195977536,0
Other,Germany,-209.64164085358655,204.57751689032148,D,E,74.20320107466412,C,-154.0325200326309,-36.24986008891945,A,-34.152972821109586,0
Female,Other,83.92315308742859,-144.40047492551332,A,D,-29.11239937059893,A,50.64564583576461,-171.00247280958834,C,125.26999000551197,0
Female,Mexico,-15.090119003781034,-20.41121627807872,D,D,-58.68338985829584,E,31.620598119476963,-100.36363350636076,C,42.277804273803625,0
F,UK,134.23466139164418,-133.62884520208232,C,D,145.21599155418215,D,-179.1527976474631,28.931997413890052,D,-0.35833236540799235,0
Female,US,57.24628613268642,64.42640576081516,C,B,-46.07495029615165,C,50.328032023137716,-105.39311077496542,B,231.98567862743036,1
F,Other,-10.923235885820871,247.48077908017754,D,C,-74.99823939695975,B,-84.93667778595241,42.231382336716905,C,-64.45350257851435,0
F,Germany,76.84239797914191,107.19351325235719,B,B,-2.54438656348203,E,-35.61353887580137,-11.65125749394439,A,-30.21920841777583,0
Female,US,221.8377871685894,21.564733159390546,B,D,-44.45655875588842,D,2.795489779669046,84.85611823151311,C,-36.194214985606045,0
Female,Other,184.68341686173088,-59.182472634490765,C,E,-165.14279824404846,B,30.23059644364513,-75.02176692110254,A,-131.94659936547458,0
Female,US,-29.72867398443019,-94.42910474463356,D,B,12.041842127747305,A,36.132663590745544,-7.569152795308451,A,-3.8116886654078694,0
Other,China,38.974193225817686,-223.2477677005635,B,E,-13.245113312110485,E,77.8567842192429,9.911302645609602,C,72.73657491152619,1
Female,China,-94.20067283652259,39.56136861140595,E,B,64.97713778971517,E,181.01353969591207,15.270229184458723,B,-103.22773276417436,0
F,Mexico,132.0465024693296,128.47922140995675,A,E,-243.2674022483536,E,142.33910212627828,152.34234543378275,D,66.11381753236432,0
Male,Germany,-162.12805487692074,61.390590294333194,B,A,-97.33768472160948,C,-28.647646331046694,-3.470089808434839,B,113.66008495331081,0
F,US,177.58307707794486,-3.0363411105988924,E,A,-83.95585126578507,D,-165.48958192844242,83.95731949786396,B,-130.36579691879416,0
F,Mexico,-44.33844217458786,27.71525218202056,B,E,88.94344268186275,B,-105.91314626400685,116.96018622316062,D,26.78178492187583,1
Female,US,-5.120184567646115,-31.041762625775544,A,B,-130.69451515710531,B,-19.760933057982275,10.494357236614642,D,249.77538877272193,0
Other,India,-6.226489885832779,-71.23550846208437,D,A,70.51649819529575,C,117.03847162401257,69.8438943325407,E,168.40891924855842,1
Other,China,64.48579218979305,99.58132841789813,A,D,36.016938045936946,E,41.155018619491976,-92.6252591545513,A,149.40962395214916,0
Male,China,47.17054165108675,-159.25865764693822,A,C,137.60131254693013,E,55.08503430084425,-19.54991885070129,C,-36.25676962127725,0
Non-binary,Brazil,105.34769465455074,-162.12055984587727,C,C,-238.85220016889383,A,142.62847898152614,80.23273477552345,B,64.8385935266462,1
Other,China,-66.86543426899559,54.82456696176102,D,B,-42.97635032991881,D,-221.64321137544843,16.79059026223365,D,-66.61198442660918,0
Non-binary,UK,-112.935670081161,27.790749907681768,A,D,106.081255096369,E,-95.7607163760571,-48.219696606155445,A,46.54551293849904,0
Other,India,-3.700835445374388,-39.89923042825408,D,C,46.51068227190212,A,-73.19087613730652,164.8110890426086,B,57.50835644706612,1
Female,Other,-129.798069962809,-30.666784895689116,C,B,109.88475112958842,A,167.100774759606,57.188898759164545,D,-2.808008156645372,1
Male,Mexico,74.5638825921182,-81.86401701785854,B,C,-173.8229696123587,B,66.31669789072645,7.985211606440583,B,82.73853219449953,1
Non-binary,India,-88.20209259798706,127.58993163830223,A,C,9.488344042475694,B,44.36152577501909,-14.914287273832933,B,-12.275398951187343,1
Non-binary,US,-3.8866148638282563,-122.62142770006199,A,A,27.819805037685345,A,-60.56814780191091,-91.94545891189637,D,38.638794222909794,1
Female,Mexico,78.11724594612703,4.4057184747806195,B,D,-14.78557644483807,D,-113.65050142044788,110.60491996681453,B,108.61193446507484,1
Female,Other,-291.90465692949925,-138.93043712900428,D,E,-48.157272877811586,A,-33.03266836846025,-56.3668650425424,C,-133.65028023455108,0
M,Mexico,-35.34697101631631,17.547866189556707,D,E,-37.06364804096077,E,4.274841099770462,-173.99777247670565,C,25.913925797940962,1
F,Other,-105.6743959376169,80.09086794296685,D,C,90.5016355050545,A,48.455852727314316,20.0000149805353,D,28.350137672497368,1
M,Brazil,11.308695717754123,-23.23392185535735,E,D,38.4809618343121,B,-201.71165391089949,115.66106023745428,A,-35.50524100216418,0
M,Mexico,-17.813220472941342,-151.5350952408482,E,B,108.32321746658886,E,3.1255149080193627,108.49620664341452,C,32.58002368572732,1
M,US,-113.46591229325303,-9.604396036264376,C,D,19.108804690858097,B,37.084099687122354,161.14003822670927,B,176.26625569489624,1
Male,Brazil,-130.01144059542688,95.99347206244786,B,E,167.6444956156909,E,77.92556617703876,9.705069934340482,D,-31.635854048272044,0
F,Other,114.68379848591132,107.81620292755798,C,B,-4.941207826486763,B,-33.57310688176718,118.8675324661276,A,21.612222234574983,0
F,UK,-6.4575082858617625,-82.40117642845736,D,A,55.01352777992508,E,11.15839061367199,-15.558679925977408,A,-73.6141123718828,1
Non-binary,China,9.33519053171945,58.01894624420001,A,D,71.94864654927883,C,22.653665970928984,-30.07636258899963,C,128.30111828120314,0
Female,Mexico,57.858172351342894,-40.04782860236185,D,E,-117.18834051626973,D,-51.24889848081104,24.92438830103204,B,14.814806440837675,0
Other,Other,-47.12628768320547,-74.80121455222444,C,A,92.67118541036903,C,12.960033728053135,-33.49847959740134,B,11.620289785177768,1
Other,Brazil,35.92463717699551,-37.283242009934256,E,B,87.31060005746335,A,101.81659054032701,-71.72450934706556,B,-31.138606520342865,0
Male,US,123.28681500008089,213.79059260145672,C,C,109.44598326621744,B,-169.5701653920613,45.1430966143552,E,25.36307607761477,1
Other,China,246.84369614408882,91.16537483908141,D,D,-20.331519235913163,D,-47.182601971979096,-62.67560333990143,D,-81.75575395530288,1
F,UK,-6.218935788913264,93.1256081099347,D,E,47.401425439335156,E,127.5143655954122,22.491280347270692,E,50.1110018753357,0
Female,Germany,50.625116857904274,0.4869909822679984,E,E,-0.05902714806750712,E,134.54865276068665,135.9915616129623,D,111.34406989577685,1
Female,Brazil,-10.173865354650442,-9.306823654806033,C,B,104.41762332905876,B,41.66046090188156,-22.81953505337986,C,40.93860749850745,0
M,Other,145.57132724091107,162.90891668363733,D,E,56.52548350092733,A,291.4544568311912,131.1531182377311,D,11.10336775953493,0
Female,Germany,-74.60944140884396,-49.08227053058074,A,D,-66.39088420836026,D,50.77726474431711,-58.37162854996717,C,128.25648286982621,1
F,India,-83.19747852360283,-247.0739442273532,C,E,-158.4248744411713,C,-3.481239334174279,-97.48465977009297,C,-49.854372655526255,1
Female,US,35.150932363597235,-89.41767539880624,C,B,55.81782433515441,D,97.83947622814267,-89.15896112308278,D,14.91061600898046,0
Other,US,-76.1091065665966,-45.851023777139154,B,D,58.3534239458973,E,101.61046475017021,-167.51266776784274,A,207.05435307645988,0
Female,Brazil,85.96539000479943,31.99001643107743,D,C,125.12195237838061,D,104.05450956158575,-56.76153505496087,D,106.51785870743913,0
Female,US,-187.11050197078796,40.11211083117742,B,D,-38.379275827477,C,66.81887798852789,-41.66349414508341,C,-118.03402602292098,1
Other,Germany,1.670275280895794,-130.58653086184688,B,B,-13.543135046804352,B,33.349451067144095,60.91032013882628,B,-55.96217291627341,0
Female,Other,-119.67605440177593,-30.36608634825108,C,E,-11.412742337130377,C,39.2469758123598,-43.2449216025697,B,40.99074110753994,1
Other,Mexico,-184.14563638758793,-101.06959112354805,D,D,111.87011846662188,B,-243.80393531623275,-63.565813735143095,A,-144.1380754593672,0
M,Brazil,-173.95842023630993,-76.60661582749319,B,C,106.2872780028806,C,46.439711738398884,-17.895670632669866,C,-176.95651395188207,0
Male,India,107.22254054126176,9.949244280366152,C,C,114.36221664429938,E,-194.55546897248607,-198.4836560479888,B,32.44322631468945,0
M,India,-10.867668733046495,-103.382647297972,D,A,-24.934063872482742,C,38.415538008469845,140.4596758787634,A,-7.18249445748162,1
F,Germany,90.75399802017517,-34.64442866903167,C,B,2.804719656376566,C,38.5040470795623,54.323924677555524,C,54.101804448472635,0
F,China,-69.25590933543059,-32.52380554265753,B,C,-5.751464836958853,C,-24.40910524825608,45.45653175178359,D,388.42953165115335,1
Other,India,67.2345978406373,28.608174144603648,E,D,20.474099320851362,C,-134.31700352611554,-112.5578617836855,B,55.40668139343611,0
F,Mexico,35.086976754516314,-14.736381235400605,B,B,-89.6150372333198,B,72.56462232928074,-76.8151377834822,D,58.42825800034726,0
Male,UK,67.783534788992,-16.388715462425044,D,D,-47.62206796474871,B,69.28860401458343,18.648495426824006,D,46.166524148046854,1
Non-binary,Germany,-13.23951513243867,-40.70174404145738,D,B,-34.47780959966296,B,27.642714230256548,-55.86943172127184,B,88.5860502646668,0
Other,Brazil,87.00577203098928,227.8807282357418,E,C,1.1017437388659255,B,78.86012990870603,-43.396092732132935,E,-22.3719249456346,1
M,US,-145.8435423207982,-75.9079745352285,B,A,-192.1990924057192,A,15.884009947107252,-90.10238674553771,E,-139.76733847215525,1
Other,Germany,-92.10337644584138,119.1418184029855,D,A,-77.14991376427578,C,-78.61193532983219,-49.1950765001891,E,47.27308206382163,0
Other,Other,10.765370282742051,92.89283813293451,C,C,110.430243513093,E,-205.66576601159042,-29.357831237298726,D,-122.71894774848586,0
M,US,167.3774843036097,151.19261232859904,E,B,121.20175645264113,E,53.10665442163405,-74.18796695077505,D,-283.15633795143054,0
Male,UK,-101.51546408667349,-12.909377307780145,A,A,-99.1531084780987,E,-133.2798628069251,-21.07463635852349,A,-102.89349417988491,0
Male,US,-7.681181119836262,9.300837273496468,E,A,14.680044351448082,D,18.374541559301157,39.521756234244904,C,-144.20183374452628,0
M,Germany,119.52937161699082,-194.3353076900646,B,A,132.71777362163579,B,-63.44880220089356,-219.26153726248097,B,-43.60706972592925,0
Other,India,-173.8585990542158,98.31252526398825,B,D,123.59940493190858,E,79.95960145702303,-81.01702958280138,E,-71.62998303058264,1
Non-binary,Mexico,-194.4665934428044,142.7135181661393,E,E,-60.0458382911946,C,-15.770720704281366,-120.63144481122643,A,46.94402973274504,0
F,Other,-128.62214467855264,14.896283355445519,A,A,49.824339176202635,B,111.1817322505706,-95.55261228235061,C,-164.40340059641264,1
Non-binary,China,-181.04076141332231,-116.80208929997103,E,E,187.00294436895294,B,-133.36163754215644,198.63702727133955,B,108.3160046986436,0
Female,Germany,16.656965254604327,41.90280411988992,C,B,125.36042520996469,A,-47.3285276325678,-84.89485792653355,E,39.71659483636075,1
Female,US,-49.42009725658932,59.56683095674487,E,B,75.81727804092895,D,41.400234119170584,7.5696060598183985,D,-70.9353342212213,0
Male,UK,-68.65019585922212,84.53983096541712,E,D,-77.8662881719636,D,160.23309401934154,113.99043161285773,E,-121.93785687681842,1
Other,Other,-55.54156354568216,-143.98764885906388,B,C,33.06868012954006,B,-64.9935550157915,-4.598605254233737,C,-33.381946927506,1
F,UK,-6.049750294549852,5.700211607355496,D,D,-75.33067201906672,B,-155.33055402137003,144.03321172322015,A,-93.25545622175866,1
Male,Germany,-5.420977216713966,188.1062977682959,B,B,-30.1888067193261,B,-98.35900199742915,-96.08793023397178,B,177.43529042286252,1
F,Germany,-38.025735033670024,-198.02113162126193,C,B,-26.67998308669886,E,91.39429668493096,-187.2011464233876,E,-208.03522641312787,0
Other,UK,115.42066268837455,144.79518479248438,E,B,36.268406332956474,C,32.082272680575905,-147.785517386701,D,-23.495161087592894,0
Female,China,258.93795780900695,-18.708913347057802,D,B,-157.1611710898068,D,54.89899274622798,47.78898001461174,C,40.050143239148724,1
F,Brazil,-235.41468177145828,-85.04179201713859,A,C,-152.14387293260683,D,59.054882574718434,-67.86821813348027,B,40.76924239095522,0
Other,US,42.874940543830675,52.80318989609405,A,A,92.39557422620082,D,-65.77756463572806,-4.417249272297855,D,11.903443699025242,1
Male,China,31.286764530688473,-12.048928092968225,E,B,-83.01065476989659,A,267.29357568022596,9.429625441282118,D,-20.951660622722088,1
M,Brazil,-59.74668134311789,-37.15219924379099,D,D,-113.3787155001363,E,150.0721223250913,28.432583905191787,B,-72.43176656166104,1
Other,Mexico,13.377918218480369,81.37455710141731,C,C,-45.69155324875766,C,-25.664610943452164,-19.812394424881138,C,-76.55581674688725,0
Non-binary,US,156.21651489130883,21.704622578718574,B,D,-15.745488501384223,A,151.183045527631,-5.745923337556788,C,-149.45379431833706,0
Female,Other,-48.5715637663268,0.8042692955124171,A,C,-27.233866189930538,D,18.937362983618385,-101.10239620971741,D,-121.80791808244895,1
Other,China,-102.32997199379213,36.15029455006031,A,E,11.98100545662896,A,-53.81967744060645,-81.56939175869888,D,-104.67520242680204,0
F,Germany,-264.884624069931,-105.20734050832894,E,D,-133.5922528668631,E,170.59922876570306,46.66935812826973,B,-30.544145891007574,0
F,Brazil,-90.6277592266919,206.6106224325136,E,E,115.01161732363468,A,-69.32794776148424,69.50780795061881,D,-59.758489345347044,1
Non-binary,China,-85.14240034125825,15.598951582793195,D,D,70.40019623383763,B,131.46325427484436,235.43646096666424,E,94.50331153345857,1
Male,Mexico,22.6945434841277,22.368007248826462,B,E,47.40725646780511,E,97.37830550544247,33.755796328353924,C,-23.66942403531686,1
Non-binary,Other,10.6970882568646,-10.808913858518707,D,D,48.65740865067725,B,65.65242874834784,-4.502590755264459,C,12.269114401744492,0
Non-binary,Other,137.5153418729627,53.748368274950245,B,C,1.8165564140642836,A,102.80167008526546,-10.984333861463757,C,-3.003638216403819,0
M,Germany,180.49307013107588,73.27657433213733,A,D,-30.414349883464354,C,104.05961548579037,102.61049982444017,C,-93.1006027529802,1
M,China,38.00905343875895,-74.34098088780519,B,E,93.59121513676676,D,154.52378784654596,-188.06112582553848,B,-3.0950602469300255,0
Other,Brazil,-29.85366943534531,-70.63005907171366,D,D,-39.028744526614105,D,-55.979946170909265,-188.2332873908674,D,-52.800309392824666,1
Non-binary,Brazil,-2.5636962755936197,66.11270849340146,E,C,-135.28612532935142,A,196.68600720604798,198.58911797200466,E,40.256859924989804,0
M,US,24.909962397136407,-102.76380726589566,E,D,-54.8487607232327,A,-63.35208319884932,-149.1846257272003,A,-112.45417228519695,0
F,Germany,-127.62341276161118,-44.55928061032013,C,D,46.652033444504234,A,102.77695226255157,-178.05582272600248,D,-61.44415063721303,0
Female,Other,40.04236611056683,49.06493020816022,D,D,148.90678158191716,D,169.53906118212996,-36.501392729516475,D,39.25656508856109,1
Non-binary,Germany,78.61317450886922,-90.75722884468915,E,C,-10.008258335686794,D,32.94310079408614,202.96920430303152,C,-52.63490614601106,0
Female,China,24.84282422425159,167.33677777182987,B,B,38.097667052885214,B,25.46100713075985,-9.370077503929155,A,-50.22734061791942,1
M,China,189.95635242058057,67.76506500161243,E,A,-313.2982880617948,C,-171.6927989904255,-108.12884393971831,A,69.06349403793989,1
Other,Mexico,-74.17604248769649,-194.32489444592005,A,D,-82.94316294323248,B,208.4868690661706,3.748449516059792,C,83.34123605609902,1
Non-binary,Mexico,-158.40205744134045,67.20996915558833,C,A,-27.588742097335857,E,-105.4442850138447,-31.647749168858084,C,52.56423316545884,0
F,India,16.392236160225558,-197.0580913707137,C,A,-80.57077825326736,C,52.67266943912986,-17.16127480504688,A,-226.1125086585038,1
