marital_status,faith,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Divorced,None,Other,86.08911777585627,C,D,-13.401656753606542,3.76950358598145,34.247714052048515,B,A,E,A,-62.198332701683576,B,B,-134.2703293311351,-150.30627886579617,88.51166058508805,D,74.98689401735083,0
Divorced,Other,UK,63.76180921105451,A,E,78.50818820514692,104.51542696313648,80.07656671997091,C,E,D,A,-21.653484132839665,D,B,-48.09556248978351,110.02506075372843,25.183526263152427,C,32.23493514075971,1
Married,Other,US,-33.63384367163367,D,A,66.43506615609401,-21.526571643620304,-63.17334834002272,D,C,A,C,38.98663963748817,B,E,33.436626735069126,-118.30578599414731,89.45315017233308,D,23.51041476866236,1
Widowed,None,UK,-70.49364666996412,C,A,-25.714635315598894,49.62082693715007,8.92801297329251,E,C,A,B,-46.803581663926735,A,C,156.35737211272325,-77.03069938869358,-4.115513310755533,E,-168.6863459420708,0
Single,Christian,UK,9.730678519185847,E,B,119.40340929528166,106.84420441158366,-147.9239685335203,E,E,D,E,146.09993290220314,D,D,324.3221927566182,-80.08973266519403,-85.62022393972367,A,113.71165053383989,1
Divorced,Christian,UK,-74.82789760454529,D,D,50.990055947960855,-51.83811846824293,-117.76177140193214,C,B,D,B,-23.19245039864832,C,E,96.7432796422854,121.41759051260097,9.389160350466035,B,-85.36117437491272,1
Widowed,Hindu,Brazil,-77.32308174393158,A,C,-16.08541682747514,-12.544828650970336,42.03666307458613,D,B,E,E,1.5239717883952153,C,D,-231.66927795657722,-42.22794221806114,106.86668368498462,C,-146.6892522064533,0
Divorced,Christian,UK,-15.222754879074074,D,A,29.276138823221228,-67.37499932126957,-128.7792682851897,D,E,B,C,-15.437989139176867,B,B,-100.28533249591243,-14.714154128794254,57.69874609635535,A,219.35229149027725,1
Divorced,Other,India,-34.008810091262184,C,B,50.14578727882143,68.3374525639891,-31.14332434935055,A,E,E,E,24.231027671830876,A,C,-60.251286182294294,0.11188247839247115,164.86304605786003,B,4.114349896252391,1
Divorced,None,Other,-120.20562974610951,D,C,-53.881581561730584,79.59320097532544,141.4555293172194,E,C,B,E,78.04221534050234,C,A,51.16852976894706,-4.3145895166337125,-50.61063845684127,A,-324.9649668567554,1
Married,Christian,US,16.795724086314134,C,B,-74.90981083957244,-85.88570745237341,-130.26660739578142,E,A,E,D,45.75836830262121,D,D,100.31981534236887,48.89811252490364,37.44954892155612,A,110.87201651101716,0
Married,Muslim,India,111.62810096117086,B,A,-119.77723148153592,146.24209947055743,55.3257112685427,D,E,D,C,-75.83863013175582,A,C,-21.997773142285045,-144.65061301968174,-36.912985063198335,C,-180.44614690071543,1
Widowed,None,Other,27.98940251324845,A,A,-24.126549952899442,95.45390556857942,-199.49297010885368,C,D,D,C,50.16288192510066,B,A,-5.670614850527408,12.771341247409188,55.76715383799946,E,-76.46875071359906,0
Single,Buddhist,Germany,-5.552762820604126,E,E,-68.54291052829802,185.82528756963677,-10.711267972342311,B,A,D,B,-94.21525143468126,C,E,-74.66160947511979,0.4157275281019805,106.00711981457059,A,79.96659050987871,1
Married,Jewish,India,-130.98773173801075,E,A,-135.4138163776112,56.8497395521517,18.846786652957984,C,C,D,C,43.83366296289784,C,D,-22.547167671318533,-122.06456151934302,35.688675324728116,A,78.4638134860879,0
Married,Jewish,Other,-169.42215662228168,B,B,-71.68947791285302,-70.99592921297284,-63.196688772371935,E,A,A,A,98.39608821176881,C,A,10.317093354958924,11.927286979608025,234.44682982570805,B,120.22273258946214,0
Single,Other,China,23.594840827479594,B,E,42.75863299658264,111.46186673945122,37.50264107655472,C,E,A,D,-42.843924123552334,C,B,-3.2456793007300573,45.422497982550155,-45.30167970161729,A,-241.03156318995508,1
Married,Other,Other,-120.3209844385853,D,E,-18.36980462144411,13.480797283411256,-19.308473099633684,A,C,D,A,128.47199438945722,C,A,46.47809502156875,84.99247415396137,-263.67807034362926,E,99.39509806969065,1
Divorced,Christian,Mexico,-130.77922397894065,D,A,-103.48047027548563,165.46005281623925,81.1083933515581,A,D,A,E,-4.732709944917887,D,D,112.47492614412971,19.150773202326736,-37.21121716222691,D,-46.46091936704995,1
Divorced,None,Brazil,2.220790183311669,B,C,-141.51563592742875,-30.584875722015475,70.9292057360081,C,C,C,E,-122.15179636091524,A,C,117.08948554023317,-69.47455863484868,41.746094068361266,A,43.533789122049534,0
Widowed,Muslim,Mexico,27.020537499526636,C,A,96.90479925966957,125.09784176704935,114.38538676156756,B,E,B,A,108.27401874703384,A,A,108.35494029201618,14.842786561961299,-8.895482375368836,E,-32.83652329662543,0
Widowed,Jewish,UK,-13.355083987448085,B,B,16.518066009501506,-46.0371370908085,-100.38813526768664,E,B,A,C,-18.82236946672299,C,B,-80.60876985085265,137.15697511254177,3.57518731096291,B,-46.2823738581992,1
Married,None,Other,-134.62056932568228,A,A,-104.33985147050682,64.8915105627753,82.61179753398477,E,B,A,B,175.2892137473039,B,B,-202.0324004067391,69.37871145088464,104.67102229332536,B,-15.581318738255442,0
Single,Jewish,Mexico,-151.2375194823371,D,D,28.057041063385817,57.403391866106176,-78.12029536796311,D,C,D,E,139.83480186714786,A,E,12.944339845743306,106.34567295129929,-51.04954413729364,D,-85.25537461028048,0
Widowed,Hindu,India,-15.767574568737944,E,E,-52.88729849091134,177.53773450620173,8.189391555504454,E,B,E,A,9.425931388329225,B,C,-5.063337997040933,-6.207780055658495,95.05554809760525,D,-128.2254827592328,1
Divorced,Hindu,UK,37.76160062470799,D,D,178.37188692563313,-175.1553412345626,2.6050821124884784,B,D,B,A,-90.53924364558213,A,E,51.28351323288095,43.45247092240124,50.86675360443865,E,-53.45087706260442,1
Married,Muslim,Brazil,-201.67533162234355,E,E,-16.820141210147714,-186.88971212177128,-69.55443849679396,C,C,E,E,200.16696731722504,D,B,0.17599328198601494,84.13175212265965,-125.62844050486821,D,50.46503437558375,0
Single,Hindu,Mexico,-15.569885543251253,A,D,62.54244117525415,62.3489545918695,-92.50467607523755,A,D,B,B,51.328392896658585,E,B,-97.79180971401287,27.1280125057532,-48.11501672312518,E,164.9901216253698,0
Married,Other,China,155.89009310467873,B,D,186.56491187575364,-37.1114671770511,174.8170452367791,B,C,A,C,163.71272328074122,C,B,-72.85235210959388,-67.66739393991826,-131.73760023084068,D,-37.29452104317176,0
Married,Muslim,Other,50.23808676709551,D,E,71.15510728386332,73.68368773789157,-4.405729141134807,B,C,C,C,-20.81645637975626,B,E,-76.3295146236508,107.96817739041518,45.88001798903939,D,81.29694731651593,0
Widowed,Jewish,Mexico,8.637163451821191,A,C,-57.5339035369387,-124.2721662114344,-114.43961785904808,C,C,B,A,84.32753395252858,B,E,-94.50800948570844,-147.47971653693668,-98.55929112910488,E,-29.588761469188807,1
Single,Other,India,31.379066125185023,E,A,21.29429349110942,21.406160629880695,11.866839318409959,C,A,A,E,129.1194029798556,A,C,60.86873858166688,-26.47986044348875,63.09877395584991,B,363.5490762304334,1
Married,Buddhist,Brazil,38.32488309672349,B,A,22.063708475304843,102.97586455740819,69.35595289936711,E,A,E,D,-34.02481837628992,E,A,-133.26716054483617,-142.86908133971986,-18.63025140537769,E,34.480948081998214,1
Widowed,Jewish,Germany,68.57678350531849,C,E,95.89313953499058,-147.42115707178266,-37.42151673366591,B,C,B,D,-9.230729581526093,C,E,-7.324472039521446,-114.7443809039206,-130.59121507718078,A,-48.44377323614628,1
Divorced,Other,US,87.2425007552372,B,B,-7.353001995656648,-13.353542277897606,-40.03712424016152,C,E,D,C,-1.1726313303041143,A,E,-121.30232612042518,161.75203846613095,5.96776298278952,D,-59.54965771212869,1
Single,Hindu,US,206.52151692559087,C,D,-49.0888146132455,182.61998485951054,153.49651926886418,A,B,C,E,45.89967621501502,B,D,160.6995179649871,133.4963910272923,-51.204936435169536,D,-26.144464631409292,1
Divorced,Hindu,Brazil,-72.06063763314128,E,A,106.15538479111346,-71.55818108508704,34.73549533893755,D,D,D,E,151.63251501362703,E,A,-89.91285390631842,5.022976555806906,-80.75148399719073,E,-46.68237429047305,0
Widowed,Jewish,Mexico,-112.099599617768,C,E,-63.66744902788227,-102.10300211358737,-83.59758252158625,B,B,E,C,79.94976679391561,C,A,-58.22480038505322,198.64380247383556,135.06331479161176,B,191.754358099659,0
Single,Muslim,UK,44.46927669678615,B,C,-4.10698231681376,53.87829245915184,-38.83304974161986,B,A,B,B,15.751122302340404,D,C,-15.894257356760216,23.932983051183808,-40.44346228665038,C,-256.7384579161808,1
Married,Jewish,Mexico,-25.515776349137475,B,A,37.38163441818428,20.581303073171174,-111.72305298479786,C,B,E,A,115.57508880952902,E,A,-24.883385893782222,31.208613086016683,-110.26368942877971,B,28.256692948122353,0
Divorced,Christian,Brazil,-76.60167743760164,C,D,-128.7146875399639,-192.60076881095435,194.69102437482525,C,A,C,B,188.04844050607377,B,B,29.51635892655031,-47.12820697173795,188.22410235431332,C,-48.59174438341987,1
Single,Hindu,India,-45.69371763367481,E,D,34.50924021720374,47.965979808601396,-137.0250569984529,A,E,B,B,-42.45605130330557,A,B,221.8800346777777,62.56951204387008,97.90951652139186,B,179.0265968561255,1
Widowed,Other,Mexico,155.880417617357,B,D,-46.90707988860093,-3.173156553575559,-102.24946558724331,C,A,D,A,203.14238865576053,D,C,-18.52755474762833,-108.27575301877049,33.17356560865717,C,50.87914315926177,1
Widowed,Hindu,UK,36.45997551313476,D,A,-47.07163694847522,320.57338865910725,-235.51790294060328,A,A,A,A,12.844925689216593,A,A,-95.73973252889539,105.0430760801827,1.409493097243789,A,-133.95390211759363,0
Married,Christian,US,85.71720436357445,C,B,163.49755758866365,-31.569425642691606,-48.042723612125215,B,A,B,D,27.16567118004748,D,B,7.082002226638831,131.24525493691812,175.78824196169515,D,-114.38113227274806,0
Married,Other,US,-7.837626917891891,B,C,-93.0339457202619,-112.5215684553529,-155.444951320798,E,C,B,E,51.470815024809156,B,E,11.0031046158204,-1.9730938192826057,44.01967423313652,D,32.28017145484971,0
Widowed,Other,India,-53.87946059150593,C,C,33.050224641930505,-84.29566484762022,96.63906333085723,A,E,B,C,-44.03236727897982,D,E,30.59278178373117,-129.39022391773514,130.17112536845778,B,-111.07213586164421,1
Single,Christian,India,23.787892037495048,D,D,99.05867202636868,-62.49204919503407,258.1618767031837,A,A,A,C,260.2734113730883,E,C,-77.80336342180014,93.6293568419633,105.26966513192053,D,30.470704917946446,1
Married,Jewish,China,-73.85210864634139,C,A,-131.78962967539505,-78.69652698462127,61.16359405675696,D,A,D,C,-221.00234053315307,B,B,47.47869257127163,-51.22657293145024,-99.22984203795482,C,0.3070412217187379,0
Divorced,None,Other,189.68055342297419,B,A,127.25477366106372,-86.00033551486817,-61.34661297013092,D,D,B,E,-240.243430794084,C,C,61.114049863975595,21.199034259570695,-69.40770062388141,B,51.96319288092106,1
Single,Buddhist,India,-81.79917086922835,B,E,-115.83329485330994,-146.88233701754137,106.1049203329952,D,D,D,C,87.89253815918875,A,E,-11.233476671907043,19.78585220968963,48.077162641861335,A,-39.74808499241209,1
Widowed,None,Germany,-8.523755813961834,C,D,33.481585580018084,-45.340631746084995,38.95094915159518,A,B,E,E,-10.52682389507237,E,D,27.889905622461477,49.634824360086355,-72.80994119091181,C,90.15993838907154,0
Married,Buddhist,UK,89.51226704688628,B,B,-69.14876145674755,-139.80335096110917,0.9726173136052831,B,B,B,B,62.094685045882294,B,A,139.5635579098625,79.58283214044178,49.459048862093105,C,-127.54446481507944,1
Married,Muslim,UK,-59.58326084598484,A,A,-94.85336977117636,-129.37698981232188,36.416806617592,A,E,A,A,-40.74846188530802,E,A,184.32773509612906,190.13912737572792,-58.96171248116963,D,-53.53079726695667,0
Divorced,Hindu,China,-75.84040709176482,A,D,164.27151881807433,77.19604936162263,3.3136945357411665,B,C,A,A,25.412042404026437,E,E,-130.55922594940583,111.54030685579639,-74.40420766838062,C,11.117474580282899,0
Divorced,None,UK,33.82628797453392,A,D,-38.23259405647818,-63.843048880782845,11.88433138818392,A,A,A,E,-84.10654116709871,A,A,-45.48048294480932,159.7687643443061,-144.66947318359578,D,-209.34437520268722,0
Married,Other,Brazil,-193.78325052419697,A,B,-67.67055486130498,-12.941856099296153,-30.13829011199179,C,B,E,B,133.49890239747216,A,B,-180.90362188198884,17.365594673797073,-48.80074764099944,E,-100.59540351647527,0
Divorced,Other,US,-23.130386534841218,A,C,126.76667034499462,-16.6214480655227,-27.937309164778252,E,C,D,D,-52.17199507577108,D,C,70.20419583943008,-71.48390781603591,-32.52392597495172,D,4.338341480291049,1
Married,None,Mexico,-124.99671849206493,C,D,22.741409515224305,-90.35217802200506,39.64780554595177,B,B,D,B,-81.67048354131074,A,D,-36.08357740957696,168.3015143677492,1.632124557846352,C,-26.345383576645805,0
Single,Christian,Brazil,-11.572690875624165,C,C,171.28339929587167,-133.0402779146225,-282.9993284175289,E,D,E,A,-34.20151394566929,B,C,30.084662832563996,5.939980531741764,-95.91801161773671,E,208.94195569393764,1
Widowed,Muslim,US,-2.286279414241333,B,D,83.0421018229484,-124.9280099102705,299.70890949014637,B,B,C,A,84.4852587847292,C,A,-10.669168067771503,205.01895441206835,-138.87448296145297,E,-109.27649253274171,1
Divorced,Other,US,-5.684887117786812,D,A,149.01269935296241,-0.8557358959648123,6.889467126814476,B,D,E,B,-141.04948251270784,A,B,-27.159368922411844,-73.96372384823594,-24.05576496085173,E,-77.31100954823835,1
Divorced,Hindu,US,-189.11993489490132,B,E,-159.75261969606967,6.60605900869381,-7.117375801598399,B,E,B,B,-8.480229947111656,E,B,40.68761241022409,-57.229962184156925,67.25091341547186,B,-8.194677332185076,0
Widowed,Christian,UK,86.72648641077332,C,C,-190.96349164029584,155.86091076825258,-175.45988625913066,A,E,E,B,-42.70424821909874,E,B,-14.604977417884617,-24.384139110018218,1.8904369093445708,C,-169.8450685588535,0
Single,Hindu,Brazil,-188.01522840074546,E,A,10.871932353778732,158.0574515444459,-32.95520029693298,B,A,A,A,-44.39350967449646,E,D,77.40242524183326,30.000339364323136,44.26256136322978,C,223.79573494205266,1
Divorced,Buddhist,India,273.92955022074653,C,C,-43.84807553152748,-95.21832525516558,-20.02602953865605,C,D,D,A,129.43122846165522,A,D,21.448511019034928,-3.3063467611461395,86.22132755001975,E,-63.87427438251212,1
Divorced,Buddhist,Germany,-12.933772776787036,E,B,-61.41351594569482,-110.38842736841583,55.92737532669815,A,A,E,E,-149.05294456578582,C,E,80.76720848905038,-9.033433154664912,-11.080648732552003,E,-0.09542780779589294,1
Single,None,India,-123.84041137649635,B,A,-3.2834319792168976,-133.73848008579137,-18.195759699155754,E,C,D,B,174.64177196898848,C,A,-77.45104367727346,123.39008137603838,51.67740117533687,C,58.5375507073195,1
Married,Hindu,India,55.215658139875025,A,E,65.08044085920915,-59.25156407424815,57.10422305144366,B,C,C,D,-97.09141930767777,C,E,-78.66088088298272,-152.76111820974654,-76.02776471151024,B,38.851934629348115,1
Widowed,Buddhist,US,58.78193083290447,B,E,-74.30438535854836,-13.745081090524236,32.07811411646716,D,D,D,E,-190.3675105631746,E,E,-110.5478106404354,-35.294020056886346,218.9778399445205,D,-45.769961953418054,0
Divorced,Other,China,130.6290750878757,D,B,116.12916491957841,120.66375983528567,90.6212067871972,D,A,D,E,-72.83902464276831,E,E,-166.28627272823005,52.13302968083935,131.83356489954969,D,-35.297716900413704,1
Divorced,None,Brazil,-74.68131076098409,C,C,-148.1948069969755,-51.61405722004419,41.476337002591244,A,E,E,E,83.29805984280341,A,B,144.3559079894382,-1.9859481138567547,46.61981354643578,C,-137.00716481015348,1
Single,Jewish,Mexico,-196.56570720992596,C,E,55.59397838830908,124.14331861586267,-64.32393727479081,B,E,D,C,-77.41668176832603,E,C,149.12899586315967,82.9430640799739,155.59733858512465,D,-269.2623342063039,1
Widowed,Hindu,US,41.38724897315553,A,A,27.61101790210403,78.90306285450806,-65.39278967607392,D,A,B,E,-96.20533463791844,B,E,-17.978712417309097,-24.350562582403505,-107.72051850378455,D,-12.471039683734718,0
