anos,Race,age_range,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,target
57,Asian,26-35,Mexico,85.20415351908869,E,D,B,A,0
36,Hispanic,36-50,Germany,5.20324295859688,E,C,E,E,1
68,African American,26-35,US,-96.03107279949569,E,D,C,C,1
72,African American,36-50,Brazil,66.07115143595877,A,C,C,E,0
62,Asian,51-65,Other,115.169687154811,C,D,B,B,0
19,African American,18-25,US,50.5555812637433,A,A,C,C,1
66,Black,18-25,Other,173.9271474633024,D,A,B,C,1
60,Asian,65+,India,11.477120964406687,C,D,A,D,1
40,Asian,65+,China,-86.28038459901528,E,C,E,C,0
27,Other,26-35,UK,-114.19338755619317,C,A,B,B,1
21,Asian,51-65,UK,38.118061493483744,D,B,E,B,0
54,African American,36-50,Brazil,-36.210915596598056,B,B,C,C,0
78,Hispanic,65+,Brazil,138.28299698034223,C,C,C,A,0
24,Black,26-35,US,179.53607485677168,B,B,E,E,0
66,Other,65+,India,-107.52885365102551,B,A,D,A,1
18,African American,26-35,US,-20.054905613483744,D,A,A,C,1
46,Other,65+,China,42.61546320847806,B,D,A,D,0
22,White,65+,Brazil,-181.26573894131354,B,C,B,A,0
35,Hispanic,65+,Germany,85.38872939840755,E,A,E,E,0
71,Other,51-65,Other,-106.83873256672749,C,D,B,A,0
77,Black,51-65,UK,16.159413699501556,C,B,A,A,0
38,African American,36-50,Mexico,-145.61412345829424,C,B,E,D,0
44,White,26-35,Germany,-37.51447644702383,D,C,E,D,1
43,White,26-35,Other,-207.0455180631124,C,A,A,E,0
74,African American,65+,India,-130.99214884901303,B,B,E,E,0
27,African American,18-25,India,-55.623985505173025,D,E,C,D,1
38,Asian,65+,UK,-48.65947765117986,C,A,D,D,0
29,Hispanic,26-35,UK,-35.15713660099025,A,B,D,B,0
18,Hispanic,65+,China,-8.952495271443803,D,B,D,C,1
38,Black,18-25,China,-18.556953319767207,C,D,D,A,1
48,Asian,65+,Other,-43.27905799454483,A,A,E,D,0
37,African American,18-25,Other,-41.091156252721476,B,D,D,E,1
75,Hispanic,51-65,Other,-118.8867384922359,A,E,D,D,0
60,Asian,26-35,China,-137.38259133970018,D,A,B,D,0
24,African American,36-50,India,7.657884711567074,E,E,C,C,1
65,Other,51-65,Germany,-175.75311609427575,C,E,D,B,1
59,African American,18-25,Other,88.9075372551624,A,B,E,A,0
48,Black,51-65,Germany,198.38183357731614,A,D,D,B,1
29,White,51-65,Other,-103.16811265230771,D,A,A,D,1
67,Asian,26-35,Other,-9.792962452008041,D,B,E,B,1
48,African American,26-35,Germany,73.54339344395034,D,E,B,D,1
30,Black,18-25,UK,-15.833108608466176,B,A,B,C,0
32,Asian,65+,Brazil,-88.68562801228201,D,A,D,A,0
62,African American,18-25,US,-89.29157013421111,E,C,D,E,0
31,Asian,18-25,India,12.687498613824538,B,C,A,A,0
50,Hispanic,26-35,China,-38.70411554411077,E,E,A,C,1
22,Asian,26-35,Mexico,-1.9246985787178255,D,D,E,B,0
66,Asian,65+,China,-53.15664015052344,B,A,A,C,0
32,African American,65+,China,-169.36654313934847,A,C,E,E,0
43,Black,26-35,UK,-262.8703893249157,D,A,D,C,0
62,White,26-35,Germany,-213.52517324533804,D,C,B,D,1
26,White,18-25,Germany,59.19972502842019,E,D,B,E,0
67,Hispanic,65+,Brazil,83.51298793674962,B,D,E,C,0
23,Hispanic,36-50,China,-149.53906024579047,D,C,E,C,0
43,African American,26-35,UK,-73.04129267306291,D,E,D,A,1
51,African American,26-35,China,-0.33707913970825354,B,E,D,A,1
29,African American,18-25,Germany,171.58832850279023,A,D,C,A,1
19,Hispanic,26-35,Brazil,-58.40304011996673,A,C,A,B,0
39,African American,65+,US,91.72973201851707,E,A,E,E,0
66,Other,36-50,Other,-129.32275007022207,D,C,E,B,0
69,Black,51-65,India,-84.68353238331554,C,C,E,A,0
55,African American,36-50,Mexico,55.73892041326904,D,E,C,E,0
77,White,18-25,UK,20.702474884206488,B,A,B,E,1
56,Asian,65+,India,-67.59131490667023,C,B,E,D,0
27,African American,18-25,Germany,255.083108190072,B,E,C,D,1
38,Asian,65+,India,157.13847835107669,B,A,A,A,0
70,Asian,65+,Other,0.11825572763683762,E,E,C,E,1
78,African American,65+,Brazil,15.97056148616348,E,C,D,B,0
69,White,26-35,Brazil,17.457093386819743,A,B,C,B,0
40,Black,36-50,UK,-126.09193946157899,E,D,B,D,0
43,Other,51-65,China,-14.881419159319531,D,A,A,A,0
59,Black,36-50,US,190.60682601161997,E,C,A,C,0
26,Other,18-25,India,8.009355692005087,D,B,E,D,1
36,Asian,26-35,Mexico,76.97680373646568,D,D,A,D,0
39,Other,18-25,China,25.325198835699638,D,A,E,C,1
20,Asian,26-35,UK,177.63054665897283,E,E,A,E,0
45,Black,18-25,Other,196.3342253651397,A,C,A,E,1
61,Asian,51-65,UK,-2.2332035983083682,B,B,A,C,1
43,Hispanic,18-25,Other,-41.9260944398041,C,B,C,C,0
25,Black,65+,Other,20.684888702658615,A,C,A,E,1
27,Asian,26-35,China,7.346373547930093,B,A,D,A,1
33,Other,51-65,UK,-8.78691838417443,E,C,D,D,1
48,White,51-65,India,125.54308777841084,D,A,E,C,1
30,White,51-65,India,85.09484939837795,C,D,E,A,0
65,African American,65+,India,53.92679969788563,B,E,C,C,1
79,African American,65+,Germany,-77.22755853607269,E,A,B,B,0
37,White,65+,Germany,55.77449930974421,D,A,E,C,1
71,Hispanic,36-50,China,229.31614021498618,B,A,A,E,1
49,Hispanic,36-50,UK,33.853537482893294,E,D,E,E,0
33,White,51-65,UK,117.84537934870205,D,A,D,A,0
20,Hispanic,18-25,Germany,-43.65079161392592,E,E,C,E,1
48,Black,36-50,India,67.75805493822851,E,A,B,D,1
38,Asian,18-25,Mexico,-108.81031602739468,A,E,B,A,0
24,White,51-65,India,-108.69515416801603,E,C,B,E,1
79,Asian,65+,Mexico,-22.495323266171035,E,D,A,D,1
71,Other,51-65,China,10.060683160222286,B,C,E,C,0
18,African American,26-35,Other,-170.86329036949306,B,E,C,D,0
73,White,26-35,Brazil,-141.15687550319055,B,C,D,E,1
39,African American,51-65,Mexico,30.021056850153947,A,C,D,A,1
54,African American,26-35,Germany,-66.78642707862852,C,C,A,E,0
78,Black,51-65,India,38.51464172626676,A,B,E,A,1
64,Hispanic,36-50,Germany,138.8486473870501,B,B,A,C,0
20,Black,51-65,Other,-244.52756215313894,B,C,E,B,0
63,White,18-25,India,-20.32017048027576,C,C,C,A,0
77,African American,65+,US,-92.72401806284587,B,C,C,C,0
61,Hispanic,18-25,India,243.6089796204857,D,A,B,A,1
56,White,18-25,India,-39.200252684316894,C,A,A,A,1
54,African American,18-25,Other,-72.91904174120522,D,B,D,A,1
19,White,51-65,Other,-135.18735371148415,C,C,C,A,1
60,Black,65+,US,-109.9503656880977,B,D,B,A,0
66,Asian,18-25,UK,57.22894622531361,D,B,C,B,0
35,Other,26-35,India,-3.1536984957235976,D,C,D,C,0
33,Asian,18-25,China,45.734578571716675,E,C,E,A,0
46,African American,51-65,UK,-61.006625656509726,C,C,C,A,0
24,Asian,36-50,US,72.77245137690444,C,C,B,B,0
54,Hispanic,65+,China,15.354510412451248,C,D,C,C,1
45,Other,18-25,Other,38.97847471780577,C,E,A,D,1
60,White,26-35,India,85.4749941595912,A,B,E,B,0
39,Hispanic,18-25,India,-0.29107636126860165,E,D,C,A,0
62,Black,51-65,India,75.39970258286338,E,C,B,D,0
70,African American,26-35,UK,-29.378039336331867,B,D,C,E,0
59,Asian,65+,China,-32.57440817690782,A,D,A,C,1
29,Other,18-25,China,41.18523608807367,C,B,E,D,1
74,Other,26-35,Other,-191.22250515892404,B,C,B,D,1
74,White,51-65,US,129.83718995563882,E,B,A,B,0
47,Hispanic,36-50,US,150.83765715505638,C,E,B,E,1
55,Black,36-50,China,-3.1402742341622916,A,B,D,E,1
79,Black,51-65,India,-43.567712319431614,C,C,E,A,0
48,Black,36-50,India,-5.707427392003394,B,D,C,A,0
19,Other,51-65,Mexico,-49.17765711011308,E,A,E,D,1
36,Other,18-25,US,215.0342878433158,E,D,E,E,0
55,Asian,36-50,Germany,-104.47224554184484,C,D,E,D,0
65,Hispanic,26-35,UK,-141.69762222153705,B,A,A,C,1
29,Other,36-50,China,77.0206779072451,B,D,E,A,1
79,Hispanic,26-35,Brazil,-128.32347444395222,E,C,C,E,1
74,White,26-35,Germany,23.142333259021527,C,E,E,E,1
25,African American,51-65,Mexico,-51.72580582779629,C,E,E,D,1
56,Hispanic,18-25,Mexico,91.5315265129113,E,D,B,E,1
35,Other,65+,Germany,-142.76564875794662,C,A,C,B,0
60,White,36-50,UK,-185.09591709558177,E,B,A,E,0
73,Hispanic,26-35,US,-290.6701751955512,B,E,A,D,1
46,Other,36-50,China,-34.33278803097522,E,C,A,A,0
28,Other,36-50,Germany,12.882272010801966,C,B,C,D,1
78,Asian,26-35,Mexico,-9.088581869469913,C,C,C,C,1
76,Hispanic,51-65,China,-0.7370861819503415,C,E,A,B,0
21,White,36-50,China,72.17253291526218,B,E,D,A,1
59,Asian,65+,Other,-94.69944816315116,D,D,A,A,0
43,Other,36-50,India,-65.15838364429447,C,E,A,A,1
74,Asian,18-25,Mexico,-16.856296038893813,D,C,A,E,0
45,Hispanic,51-65,China,-96.63430300408966,A,D,B,A,1
42,Black,36-50,Germany,-26.38661531775226,C,C,C,A,0
20,Black,36-50,China,156.9913986645614,B,B,E,B,0
53,Asian,51-65,Other,123.27268851767998,B,E,A,A,0
68,White,18-25,Brazil,33.05568114616889,B,C,E,A,0
37,African American,36-50,US,182.53769749558654,C,E,E,E,0
65,White,51-65,Mexico,-20.77363600674822,D,B,C,D,0
44,Hispanic,65+,Brazil,71.48624536469737,A,D,C,C,0
55,Hispanic,26-35,Other,12.674047045787134,C,D,E,D,1
60,Black,26-35,India,56.21485650121909,D,A,E,A,1
57,Hispanic,36-50,Other,46.95332231305793,C,B,D,B,0
64,Other,26-35,China,21.496359286477745,D,E,B,A,1
69,Asian,51-65,US,-83.31709874202043,A,E,B,C,0
59,Other,36-50,Other,-22.000567470622713,C,A,C,D,1
76,Hispanic,36-50,Brazil,17.7581411752662,E,E,E,B,1
48,Hispanic,51-65,Mexico,-1.2579209756288499,C,A,C,C,0
35,Asian,51-65,Brazil,-243.09256835756906,D,C,A,E,1
54,Other,51-65,China,0.3155411428321885,D,C,B,D,1
73,Asian,26-35,China,3.449775186376648,D,A,A,E,0
44,African American,26-35,China,-97.25131153222752,B,B,D,B,0
34,Asian,26-35,UK,90.69210295780886,B,B,A,A,1
43,Asian,36-50,US,121.9604520911727,C,A,A,A,0
45,White,36-50,Germany,-62.21850951536293,C,C,B,B,1
44,Other,26-35,India,-225.64840902241153,D,D,A,E,1
73,African American,65+,China,8.620588675127586,C,E,D,A,1
40,Hispanic,51-65,Other,-74.45118974303877,D,E,D,B,0
34,Other,65+,Mexico,-119.33420388896656,C,B,A,E,1
20,White,65+,US,-72.0653754883375,B,D,C,D,1
76,Asian,36-50,Mexico,60.00545213821812,E,E,E,D,0
58,Asian,51-65,US,156.86154209387234,B,E,A,E,0
38,African American,26-35,Germany,145.4352910745552,A,B,D,A,0
21,Hispanic,65+,US,103.57756468237578,E,D,D,A,1
37,White,36-50,Brazil,56.06836268911247,A,C,B,B,0
18,Asian,26-35,UK,101.91728779057851,E,A,D,D,1
37,African American,26-35,India,107.8891140667529,D,B,D,B,1
27,Black,26-35,Brazil,-5.182821173974802,C,C,E,E,0
21,White,26-35,US,20.333887227879877,A,B,D,E,0
49,White,18-25,Brazil,-99.88779873484425,D,D,C,C,1
32,African American,65+,Germany,151.63576598746968,C,C,C,B,1
48,African American,18-25,Mexico,103.38625973937599,C,B,B,D,0
71,White,26-35,Mexico,119.37579533940574,B,D,C,C,1
37,Hispanic,65+,UK,-33.84547058960462,D,E,D,D,1
77,Black,18-25,Germany,114.67912530481526,D,E,A,E,0
37,Hispanic,36-50,UK,-26.661133435196017,E,A,B,E,1
34,Black,18-25,China,2.317935598014252,B,D,C,E,1
32,Asian,26-35,India,67.5763526929739,D,C,E,B,0
18,Hispanic,51-65,China,148.2815793155522,D,A,C,D,1
28,Black,18-25,Other,119.47770453257118,C,E,E,B,0
20,White,51-65,China,57.15839558562714,D,E,E,D,0
31,Hispanic,18-25,Brazil,23.92789945822465,A,B,E,E,0
35,African American,18-25,Brazil,-32.813508908601456,D,C,D,D,1
74,White,18-25,Other,-79.81177466215676,B,D,E,D,0
73,Other,51-65,Brazil,157.65971077328925,D,D,E,B,1
37,Other,36-50,Germany,146.17872964265052,B,B,A,A,1
21,Asian,65+,China,-156.3592212337288,B,A,B,A,0
47,White,51-65,Other,68.0647493466281,E,A,C,E,0
39,Other,26-35,Mexico,49.25086666553013,C,A,E,A,1
18,Asian,51-65,India,123.66917881319091,E,B,C,C,0
46,Other,51-65,India,-70.33872557874005,A,C,A,D,1
47,Asian,18-25,UK,186.90512582432322,E,B,B,A,1
29,Other,51-65,Germany,70.5042043400703,D,A,B,A,0
69,White,18-25,UK,69.81437526805692,B,A,B,A,1
43,African American,18-25,US,-8.352656973748015,A,E,D,E,1
21,Black,51-65,Germany,-9.324654311417358,E,C,C,A,0
66,Asian,26-35,Brazil,42.424030593199426,E,E,C,B,0
38,Black,51-65,Mexico,-83.46182284356833,E,E,A,E,1
48,Black,26-35,Other,-11.437866282301464,E,A,D,D,0
38,African American,18-25,Mexico,-65.68790558273496,A,C,C,D,1
26,Black,51-65,Germany,84.8948349256523,E,B,D,E,1
54,Asian,26-35,Mexico,-95.83220854065762,B,B,D,D,0
51,Black,65+,Brazil,-107.92799184535991,C,B,E,B,1
29,Other,26-35,China,-12.628149802816878,B,E,C,A,1
53,White,51-65,India,82.30185544632138,B,B,D,D,1
68,Black,51-65,Brazil,-48.244436195094515,D,E,B,A,1
28,Other,51-65,Germany,113.91188863494621,C,B,B,B,0
71,Hispanic,26-35,China,28.96150554241279,E,B,E,A,1
76,Other,26-35,US,-13.100769222489033,A,C,B,D,1
67,Black,36-50,Germany,-69.70739491199838,E,D,B,E,1
40,White,18-25,Mexico,-0.867117430385038,E,D,D,D,1
73,Black,36-50,US,-119.94139132922841,B,B,B,B,1
34,Black,26-35,Brazil,-103.5986321928653,D,A,C,B,1
77,Other,26-35,China,-23.558594891500807,E,E,B,B,0
62,Black,36-50,Other,18.54436489987001,D,D,E,A,0
57,White,65+,Other,141.8276451197979,E,C,B,C,0
50,Hispanic,51-65,China,-126.39626985147736,D,A,A,C,1
69,Other,51-65,Mexico,-10.50734553629839,E,C,A,C,0
54,Hispanic,51-65,Germany,54.22735190494375,A,C,D,B,0
37,Asian,18-25,India,-80.5937934417379,C,B,C,E,0
46,Asian,51-65,US,-37.699132835646466,E,D,A,C,0
35,Hispanic,18-25,UK,-46.60246953710761,A,C,C,C,1
34,Other,36-50,Brazil,-28.72603451375804,A,A,A,E,0
74,African American,36-50,UK,-11.351455293997196,C,B,B,B,1
18,Black,51-65,US,48.24375178646623,E,C,D,B,0
18,Hispanic,36-50,India,50.64042184152713,E,B,E,C,1
68,White,65+,China,-94.36009266260184,E,B,C,C,1
23,Black,36-50,Mexico,84.73952926913515,E,C,A,A,1
37,Black,26-35,China,-4.998564241086474,A,D,D,B,0
22,Asian,36-50,Brazil,-54.3632880233601,A,B,A,D,0
45,Other,26-35,Other,-61.631777790540255,B,D,A,A,1
66,Other,51-65,US,-112.41293633452668,D,A,A,D,0
48,Hispanic,26-35,Other,194.31705059054485,B,B,D,D,1
75,Hispanic,65+,China,7.273118462819483,D,B,B,D,0
48,White,65+,Germany,-34.206146851691756,C,E,C,C,0
23,African American,36-50,India,-14.653068391276655,B,C,E,C,1
31,Black,65+,China,-44.867986702856335,C,A,D,E,1
41,Black,36-50,China,-17.907083761230417,C,A,E,E,1
45,White,65+,Mexico,-51.23321271484972,E,D,C,B,0
35,White,26-35,China,152.40859305942854,B,B,E,C,0
19,Hispanic,26-35,Other,52.3800439749346,E,B,B,A,1
26,White,18-25,Brazil,196.753921358173,B,D,D,A,0
28,African American,65+,Germany,66.5041348080256,C,A,B,D,0
76,White,26-35,UK,0.869938502175957,E,C,E,C,0
65,Black,26-35,Other,18.357917887648476,A,E,D,C,1
73,Hispanic,51-65,India,65.69230141259226,D,C,E,D,0
75,African American,65+,Brazil,40.516147119355345,A,D,A,C,1
72,Hispanic,18-25,Other,14.879978104097066,E,E,C,E,1
50,Asian,36-50,Germany,-80.28265706029016,E,D,A,D,0
55,Asian,36-50,Germany,79.62468464389165,C,E,C,A,1
59,White,51-65,Germany,-55.89620989740486,C,C,E,C,0
79,Asian,18-25,US,40.77022970644796,E,E,E,A,1
27,Other,51-65,India,-121.1568036823849,A,D,C,A,0
58,African American,36-50,India,234.7210360094194,C,B,B,D,1
69,Other,26-35,UK,-50.34181667050163,D,C,A,D,0
49,African American,65+,UK,-100.78877101294212,B,D,B,D,1
66,Black,36-50,Other,13.177881800421916,B,A,D,E,1
50,White,65+,US,-9.547411247132752,B,A,B,C,1
26,Other,18-25,India,102.76972502090021,D,C,D,A,1
20,Other,36-50,Mexico,-168.17430044078804,E,E,C,D,0
71,African American,36-50,Germany,-64.6585726258069,B,D,E,A,1
45,White,18-25,Brazil,99.1731245804594,D,A,C,D,1
21,White,36-50,Other,1.199813618606489,A,B,A,E,0
77,White,26-35,Brazil,85.86639170220442,B,D,C,D,1
52,Hispanic,26-35,Mexico,-26.52925361169475,C,A,B,A,0
21,Asian,36-50,India,-48.90263119095022,E,E,A,A,1
32,Other,18-25,Other,-86.18724135980419,C,B,E,D,1
18,Other,36-50,Germany,54.96181120553479,E,B,C,B,1
73,Other,65+,Brazil,62.06026507671803,C,A,D,D,0
55,White,18-25,US,-52.614053775262605,C,C,A,B,1
73,Black,26-35,Brazil,62.31549264331423,E,A,B,A,0
32,Asian,26-35,UK,4.132794260619644,A,C,E,E,1
65,Hispanic,65+,Other,8.106280816531111,C,C,D,D,1
26,Black,36-50,Germany,17.656703513390255,C,D,B,C,0
71,White,18-25,Other,90.46015390861612,C,C,A,C,1
67,Black,18-25,Mexico,114.34979412504786,E,E,B,E,0
74,Asian,51-65,US,66.74089368801526,E,C,C,C,0
76,White,65+,China,-42.32039265980039,A,A,B,C,0
68,Other,65+,UK,-54.958964773462284,B,D,D,A,0
50,White,18-25,China,146.9172154736251,B,D,A,D,0
57,Asian,65+,Germany,217.26271746874858,D,D,D,D,0
56,White,26-35,Mexico,5.874453589390339,C,D,D,D,1
73,White,51-65,US,35.05461215959463,E,B,B,A,0
45,Asian,36-50,UK,-236.98878450043927,C,C,A,B,0
67,Hispanic,65+,US,-16.12629493995665,C,B,B,B,1
18,Hispanic,36-50,India,20.320967325565046,E,C,B,A,0
24,Hispanic,65+,Brazil,-86.81452134682695,C,A,D,E,1
44,White,36-50,UK,-38.580945593598514,C,D,E,E,0
24,Black,65+,China,-185.98223723766517,E,B,C,D,0
44,Hispanic,18-25,Germany,21.283500764398198,E,C,C,A,1
53,Black,36-50,China,190.16699467523125,C,D,C,E,1
57,African American,65+,Germany,-49.54554425024682,B,D,E,D,0
24,African American,26-35,Germany,225.17977371819535,B,C,D,C,1
26,Hispanic,36-50,US,33.7879168434707,B,E,A,E,1
41,Hispanic,65+,Brazil,-11.439464578634581,B,E,E,A,0
48,African American,18-25,UK,-120.10426745402565,D,A,D,A,0
74,Other,36-50,Mexico,222.39160200777036,C,A,E,E,0
41,Asian,18-25,Brazil,-51.1290306847239,B,E,C,C,0
43,White,51-65,US,187.51111572364044,C,A,B,C,0
31,Black,36-50,China,106.56081714211562,D,C,C,E,0
24,Other,18-25,India,-43.94704475207601,B,C,E,D,1
34,Hispanic,18-25,Brazil,161.10256230282013,B,B,B,B,0
68,Asian,36-50,India,-30.155882507492475,B,A,D,D,1
28,Asian,51-65,Brazil,123.36090584078889,D,D,A,C,1
32,White,18-25,Other,-101.90697648430988,C,E,C,A,1
27,African American,18-25,Germany,166.39666451280485,E,C,E,C,0
54,White,36-50,Germany,-105.97775437694791,D,C,E,D,1
40,Other,36-50,Other,46.82257391226249,E,B,B,B,0
39,African American,36-50,Germany,127.48100523790515,E,C,D,A,1
31,Hispanic,65+,Other,-198.36694396516648,C,B,E,A,1
27,White,18-25,US,19.971318347994085,B,C,E,E,1
38,African American,26-35,China,-0.641481792792593,B,D,B,D,0
37,Hispanic,65+,Brazil,204.9351358222929,C,B,E,D,0
51,White,26-35,China,-141.57615663058172,A,E,E,A,1
56,Hispanic,51-65,UK,-51.26123788489271,E,D,B,C,0
38,White,51-65,US,73.23618428932603,B,B,B,A,0
61,Hispanic,18-25,UK,52.835023873751695,B,E,A,C,1
72,African American,36-50,Germany,-75.7723176901811,A,A,C,C,1
70,Asian,51-65,Other,118.80822931924962,B,A,A,D,0
43,Other,18-25,Other,114.48595926834332,E,C,E,B,0
73,White,51-65,Mexico,151.22461918649208,B,C,A,B,1
45,Hispanic,65+,Germany,1.507165856855307,A,C,E,D,0
72,Hispanic,18-25,Germany,23.563164690531778,E,C,E,B,0
66,African American,51-65,US,-87.76065393971277,D,C,D,A,0
54,Other,18-25,China,-131.85507280078582,C,D,B,A,1
62,African American,36-50,Brazil,-34.67247079584892,E,D,B,A,1
46,Black,18-25,Germany,38.44519534021266,B,B,E,D,0
78,African American,51-65,Germany,-163.1794342926998,A,B,E,B,1
45,Other,36-50,India,66.82450671881884,A,D,A,E,0
36,White,26-35,Brazil,-47.26196184172657,A,E,C,E,1
55,African American,51-65,UK,-194.26276157846277,C,A,B,D,1
21,White,65+,UK,32.70964680725717,A,E,A,B,0
59,Other,51-65,Brazil,-18.999681446911698,A,D,C,A,1
42,Hispanic,26-35,China,-84.43503171272282,E,E,C,D,1
30,Asian,26-35,US,-94.98399199988667,C,C,D,E,0
28,Other,18-25,Brazil,-9.965336549536806,A,C,B,E,1
19,Hispanic,26-35,Mexico,-201.1327173257478,A,C,D,E,1
