disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
None,D,-54.6990054591638,43.10530178510418,A,-93.9343793350346,D,D,1
Yes,D,-15.141601837166672,9.593109895530711,D,32.046941128957165,E,E,1
Physical,E,-21.321791258258408,-87.35613786676866,D,-18.705372009296,D,B,1
Yes,E,199.30302373531282,-88.02924929600559,E,-115.38518922513961,C,B,0
Yes,D,-41.269291399569966,-96.26295116056494,A,-0.2411734414908482,B,E,0
Yes,E,-26.13927263853382,122.2112072958218,B,-87.7938643693514,E,E,0
Physical,D,36.570783230288306,37.39844288999062,A,218.86410310442201,E,D,1
No,D,-23.230219710855668,-241.2601747874866,D,-18.786502332815065,A,B,1
Physical,B,6.348942776114629,4.507015479421501,A,15.395715217159736,B,E,1
Both,B,-108.41280318299023,66.137736603091,D,-174.2190692769683,A,A,0
Both,C,-55.37341962543329,159.4013024196389,E,-127.2289380072835,B,D,1
Yes,D,-108.41926838547815,7.001073888566422,E,149.25239988995077,A,A,1
No,C,84.63700381971901,-238.28495419550134,B,-102.29536599838612,E,B,0
Mental,B,120.60852893442045,128.3956627033797,D,-86.69169540329213,C,A,0
No,B,-62.71130885891033,50.16756981633477,C,239.4923055281681,A,C,0
None,C,137.29368527492866,79.22126541190232,A,-56.23950093699905,B,A,0
Physical,E,91.03519955903924,23.550721519573365,E,15.909943142435557,A,B,0
Mental,A,78.8404341935204,7.358156569323605,E,6.616082331652892,D,A,0
Both,E,45.523817865270125,-75.01755020397923,B,-183.31206010532534,D,B,0
Mental,D,86.41287437134882,-162.88507935693198,E,-117.60776012925791,B,C,1
Both,D,19.423518737933552,45.28367157743599,A,-120.99072083353812,A,A,0
Yes,E,-101.51365943891213,39.997447299451785,E,78.13086738234335,E,B,0
Mental,B,56.26234105958666,24.48845132377163,B,-58.19778657722494,B,E,0
Physical,E,-22.78737199277769,-30.74177913768069,D,72.94945633792327,A,C,1
None,C,-88.34649001410028,-68.4473847676273,A,54.60368205645458,A,A,0
Yes,B,23.146674037512373,-172.20304184237426,B,-8.270666895146285,A,E,0
None,C,20.121131402343927,194.31787840245374,B,50.89874056891202,B,E,1
Both,C,44.682041743872375,-65.32428683575417,E,-66.53924318423849,C,E,1
Physical,D,43.76491376123509,13.930025420848427,E,139.44290782955704,A,E,1
None,B,-32.40775988728589,-7.952373347268292,B,-102.36166078681812,A,D,0
Yes,A,-34.92168786708266,140.84882684622195,D,-212.1958307628239,B,D,0
Physical,C,-122.91115652883092,-100.70107909804553,C,-17.860818673320903,B,C,0
None,C,173.41755777155464,180.36617481910827,B,-92.623608220663,C,A,0
Mental,D,175.33101455091247,125.46092637149407,D,-152.0618220974003,A,A,0
None,E,95.825251060268,81.14145353243995,E,-35.383711236785906,C,B,1
None,C,195.95154874928076,17.17849305100231,C,48.84548029072157,A,C,0
Physical,D,-112.25590307772173,41.09449727772217,A,-92.96835037795215,A,A,1
No,E,-41.42997887440081,14.698606190409377,A,160.4334559754571,D,B,1
Both,C,45.06635577249054,-130.83068152756138,D,70.16576492074236,C,E,1
Physical,E,72.4056094700295,-35.935128093820104,E,73.37734521031294,A,A,0
None,C,-74.54622583932101,-18.29076454257664,B,-4.972719286805064,A,E,0
No,C,28.92502857231778,-87.31904896327514,B,85.54354767440941,D,C,1
No,E,-47.14634851789558,83.36964315645878,A,-94.7479464329448,E,C,0
Yes,A,55.58210013090249,245.48434528445551,E,-265.7556217579483,D,A,1
None,A,-19.51762013869653,-43.36849104733565,E,133.1208334066774,D,D,0
Mental,A,-131.31556430803283,-157.87943408714756,E,-28.011187553090345,A,B,1
Physical,A,69.9928137127969,-46.72853321032174,C,-3.9056636898318153,E,E,1
No,E,-211.1385661063835,-203.95171083496012,B,-31.962133215211047,D,B,1
Both,E,-35.97716523961145,-146.3584223496759,D,-181.0983051313552,B,B,0
Mental,B,76.24006615214356,-84.04414541742713,C,91.92414438640323,D,E,0
Both,A,74.45399253306778,-52.43149207009661,C,105.40833189663725,E,B,0
Both,C,94.1915115711709,12.667223070834751,A,-27.055176418166432,D,D,1
No,A,51.19835102237551,0.4470822485385266,C,-48.15422617157057,D,A,0
Yes,E,-46.58208605810214,37.98849364082738,A,-54.422559063348494,C,E,1
Physical,C,241.3380434715275,210.12368864748274,B,-68.71773661087846,A,B,0
No,B,-161.6422755526604,-175.8992174671187,D,121.12720175068088,E,E,0
Physical,C,155.63345806186732,62.65816278894303,A,83.06223947680806,D,D,1
Physical,A,53.697286420439305,88.36444216785223,B,-92.75873750006568,B,B,0
Mental,C,97.8534601515453,-175.94539458633244,E,25.806108138953494,D,C,1
Mental,C,22.86807952618737,-154.32179306600338,D,131.17898861266724,B,E,1
Physical,E,-73.78745987921064,-188.72187716839198,C,71.76225055309366,D,E,1
Both,B,56.3128434668535,-129.0409674081815,B,-63.819394732817216,C,B,1
None,B,208.97983560313813,82.53827507784827,B,159.9141718569732,B,D,0
Mental,B,-117.64153077153419,-29.367774836161882,E,120.92581357627314,C,C,0
Physical,D,102.18180052273873,78.399473148285,C,-31.614881841246913,B,E,1
No,E,-32.067164697998216,-25.588947114962156,A,135.80340869201834,A,B,0
Mental,B,-42.87521719999277,-26.806105977998868,E,-21.76861506634707,B,B,1
Mental,A,47.430347257465975,-71.31108113403656,A,71.92443890917549,A,C,0
No,D,13.969273186302376,-82.8046021134357,A,69.65046723682042,D,A,0
No,A,162.166393184757,297.8616468423229,D,-46.81431523886511,C,B,1
Both,C,-67.52416271800277,-90.86713459439618,A,-58.58067002037758,E,C,1
Yes,C,-26.50518771736682,87.4648830570206,C,88.34685643258265,D,A,1
No,E,79.90895281412895,-169.63718827529252,E,86.81562913906812,E,D,1
None,B,311.27215637134685,47.67006323038384,C,35.82728341820417,D,A,1
Yes,A,108.96219902904542,13.871754667265042,A,-132.1465817258114,D,D,1
Yes,D,-48.66452247994208,88.33564811600868,E,11.205077548372868,D,E,0
Both,D,79.78029988115016,149.50965667309796,B,14.4786076996927,A,B,1
Both,D,-1.7983338968451774,-51.5580293608728,C,-163.48462018277934,C,B,1
Mental,D,-69.91127970721521,-61.878453355690354,D,-135.2166171454956,E,C,0
Yes,B,-97.76906281614467,144.66660590374815,C,-29.149268819402796,D,A,1
Mental,D,143.66577419124758,71.84415701942736,E,69.96510663585931,E,D,1
No,B,107.1587980631288,19.352573165933592,B,50.080777234785586,C,C,1
Both,E,-79.06320818337068,0.12419967761968644,E,40.22753636229651,E,A,1
No,C,149.46819207246455,-115.51211548674469,E,137.26641514785686,D,B,0
Yes,E,-43.106012061782245,37.1586148073278,C,43.98706253757022,C,B,1
No,B,113.9752390292268,98.03328944980011,A,-175.57554852452944,C,B,1
No,C,98.68397597778173,-89.69779501218137,D,-29.824108339462025,D,B,0
Mental,C,-121.62540924519885,101.64885290345845,E,73.07640087319702,A,B,0
Physical,D,105.43642075121969,-47.25002189262978,E,75.60556925366811,B,C,0
None,B,-87.32043819398066,109.10581321983916,E,-165.7554811553391,A,B,1
Mental,D,-33.012350291869296,3.433254365174128,D,-73.71885091725197,A,B,0
None,D,120.07809438391608,-86.29441819983103,B,78.44719384810732,D,C,1
Yes,A,-30.180681144394338,-119.59597837366047,C,137.63060833561832,A,B,1
No,C,92.76451924946694,-150.10126904814572,E,31.949578547102693,C,E,0
Mental,B,219.8448640222404,120.56104392456275,E,-171.549127889418,B,A,1
No,C,-49.034447809259945,41.793628376898404,C,-70.75516439160367,B,E,1
Both,E,3.5975805353064056,197.6715523336248,C,-11.517111053269282,B,B,1
None,A,12.900083110074975,-161.15861088684633,E,130.42265740755633,C,A,0
Physical,B,-106.52793292329162,-38.08973975624379,B,31.401781412530067,D,C,1
No,D,-27.06135359667966,-149.58809737317077,D,-72.96500563390718,C,B,0
None,D,124.40654486777008,-92.64100408175743,A,-31.09883419890448,B,D,0
Yes,C,-171.80996389160222,-9.029618871760306,C,4.324069767975517,B,E,0
None,E,-154.77969583693383,3.521734191010112,A,-167.8600474841213,C,C,1
Both,B,-9.481992857471903,1.7237634111728783,E,73.01243453496159,C,B,0
Mental,E,43.82782897850246,71.9492401994075,D,159.46113291611735,A,E,1
Mental,B,90.59436038533906,-48.22565325760677,B,-79.37016145016374,B,B,0
None,E,-149.4716653326327,-129.18189470358806,A,-40.58142229017534,C,E,1
No,E,155.85029629242115,26.03246021249202,A,-46.64233404772036,B,B,1
None,B,25.284787778821876,-80.52571312310128,A,162.80664313006065,E,A,0
No,B,-38.098425852654515,-49.98584369147693,D,11.87924472050333,D,B,0
Physical,C,110.63742917848253,108.00682487539626,E,-162.5740867198111,B,E,1
None,E,-6.072504104571054,64.3672503164568,A,8.536506217448801,D,C,1
Physical,D,-105.76585182811691,125.85343151625727,D,92.18289657572578,D,D,1
None,E,-67.74055154036178,-21.623430508437426,B,-356.1123535629039,A,E,1
No,D,-138.12731282017353,34.91323952173272,E,75.58568580412731,A,A,0
Both,E,-25.136926372631613,-195.26637757670548,A,-51.1633821183968,E,E,0
Both,C,13.772241784601032,37.96109058127058,C,-50.78420740233839,A,C,1
No,A,60.29905838487606,-60.625534014770885,D,-127.90360544192096,C,B,1
No,E,138.35159206780673,134.9385763722065,E,144.83127327883736,E,A,0
Both,C,-82.04789785814341,17.371009995810198,C,113.93401724690781,A,C,1
None,D,85.51547883376348,12.060040126595279,A,154.38234704699065,C,A,1
No,A,-76.07675286968977,-52.00055069154822,B,263.12710590827305,B,D,0
Both,D,-68.52400077772846,-39.93069288557463,D,202.73913289235438,C,B,0
Mental,E,-85.69876744448645,42.89231340053753,A,-20.120034292133155,B,C,1
No,D,145.7084992296257,-9.038955428072633,A,-105.7548297262362,E,B,1
Both,C,83.85978265551248,-125.05844491570508,D,118.39953114406568,E,A,1
No,A,-49.9158635184058,108.05393491550575,E,-32.33934868075211,B,A,0
Both,E,93.10701637967183,145.008722187091,D,-52.11420515965255,A,E,0
Both,B,-73.15636005235767,-61.60547172632357,C,-43.47589997917435,B,D,1
None,E,180.96970211144207,-5.0704853402378705,B,-19.863732069847792,B,B,1
Physical,D,-83.2160718549347,-22.991123129378447,C,87.99431473935458,D,E,1
Yes,B,1.688459594713168,-30.725185281663425,A,-28.61073209006588,A,E,1
Both,E,-24.546300104979004,-10.879192045522357,A,-1.7789396958927763,E,D,0
Physical,D,-60.04441068890674,-22.357535942401224,B,65.55584182365564,D,D,1
None,C,-35.71752877388184,-70.29691614577041,C,62.88183477717261,A,A,0
None,E,-22.71418244347724,15.645100451352482,E,-57.89846586011302,C,A,1
Yes,D,174.88379807139614,220.91881840693785,E,-70.96672915821718,D,E,0
Mental,E,-76.52983533798576,-61.83471953134657,A,-97.90783778692213,E,C,1
No,B,-14.82443879748287,137.3311457209462,E,76.31754996334305,C,B,1
None,D,33.381543451623365,-120.58012079109442,D,-8.126159335514254,B,A,0
Mental,D,81.37059746042948,-92.9568387648593,D,158.27167169531612,D,C,0
None,A,63.3860713391841,30.594327658845994,C,-77.93180450481721,C,D,0
Mental,C,16.09381904876732,49.342320804298886,A,-186.05809386365019,D,E,1
No,E,32.43020909061515,67.35085720689624,A,34.84618746857765,C,A,1
Both,C,30.476235150872434,84.3401549777425,D,-174.82887084122905,E,D,0
None,A,27.78705529338697,-61.73725279001769,B,179.63496536350794,E,B,1
None,E,-4.984958269262493,74.76519152481954,E,-119.80146021787996,D,B,1
Physical,A,-100.59239670225469,-25.233799259688645,E,-6.935984794343519,E,A,1
Physical,C,26.63405531515905,57.82374005522455,C,-37.45064318013461,E,B,1
Mental,D,-76.04618551125549,-120.73858382673764,E,119.95535517791647,B,C,0
No,E,42.083682593154776,118.13263105049697,B,-92.04309765827027,A,C,1
Both,C,-225.01831583070233,129.69279645655422,A,-129.0497136005526,B,D,1
None,E,26.060614818681,42.45137981675633,D,31.802358188264535,E,D,1
No,A,22.276391238097673,-64.20667218276003,B,-109.94547441581459,A,D,0
Yes,E,-99.29747938482376,108.32201707365708,B,51.99970608747775,B,C,1
None,C,39.2016724236952,-73.47244899470122,B,-9.481798692372092,B,A,0
None,C,196.77240043957545,-86.97357359884384,D,-98.03078132340498,A,A,1
Yes,C,37.6726389275239,-201.172801777735,E,-32.32458268569515,A,D,1
None,C,-18.974545724858917,28.34951171196383,E,79.00542764780157,D,C,0
Both,B,-109.34332400893818,121.2864793684742,D,-51.750613237061785,D,A,1
Mental,D,3.128738238223666,10.62233636188059,D,-71.86138050069864,C,B,1
No,D,-64.26994224628058,-35.42552968597939,A,36.06311887451716,D,C,1
Both,B,104.14307146989042,-10.386735945267912,A,-3.657542858199983,A,C,1
Both,E,13.341508110260866,8.153940163438318,E,181.71592633631698,B,E,0
Both,A,-17.918518460131562,17.20739703002618,B,7.862160006635127,D,D,1
Yes,E,39.127257894792855,-14.63186196675503,B,24.26418502613633,B,A,0
No,A,-38.05352407180995,-55.877279675279304,C,-44.53262884477839,B,B,0
Both,C,127.24007807723537,-38.6426382408704,E,69.93372557132061,E,C,1
Mental,D,109.10108067183751,157.07772641124447,B,-59.414784459427004,D,B,1
Yes,B,83.12533436100524,54.05289253465626,D,161.78916523539527,D,C,1
Physical,B,7.865443954938027,-76.57167173216988,D,28.424753390443442,D,B,1
Mental,A,-3.381976061886302,29.580420043560185,D,-24.39652330911303,E,B,1
Mental,A,-95.5247813611619,24.801589356154114,C,32.46848411041846,E,A,1
No,B,-126.35460805808978,-141.95288395295245,E,37.225034158459756,C,A,1
None,B,-13.327303855620837,-117.26597775384991,E,-254.64486978352684,E,E,0
Both,C,-41.76610311609775,161.78935175963002,A,-13.683376766786756,D,E,0
Mental,E,-122.39022621686577,98.81668032255357,B,-27.175171571500666,D,C,1
Mental,E,-69.52400938943633,-75.70442745997138,B,-210.03698152474638,D,C,1
Yes,C,-125.12272023921933,33.76323215389719,B,68.03378168261823,B,E,1
Physical,A,64.60147789177742,95.93201126019224,B,7.4362364017282925,D,B,1
Both,B,33.116563339704236,96.75252165044708,D,19.944904100372614,B,C,1
Yes,D,-177.16039905049672,219.6282790135302,E,1.837575740914673,C,C,0
None,C,59.27116096746303,-117.36806644953386,D,15.86761347346595,B,E,0
Both,A,147.46862717073373,-61.25315289127118,A,-52.656530824404356,E,E,1
Physical,D,135.79933525719923,143.22530166723763,E,-46.682447554035214,D,B,1
Mental,D,0.22585916368041778,-90.06279496958355,B,-198.76171135503586,E,E,1
None,D,-31.193368023766144,253.20524701524008,C,-49.0756449669756,A,B,1
No,E,-131.54082693021593,59.97763846155368,B,20.830390681881443,B,C,0
None,B,-129.41437775395698,105.38404924709988,D,51.25841959759983,A,A,0
Mental,B,58.24732218889272,-83.01481098031057,B,187.24440479705618,E,B,1
Mental,B,-132.13481308422473,-78.05019747855604,E,84.93787029345805,D,D,0
None,B,39.6089678541847,-91.09999720181439,C,-61.96371456320274,E,E,0
Yes,B,-70.50141051788815,65.94559012335385,C,-111.86946350281303,C,E,0
Yes,A,-22.571911214636398,-24.835972949963857,C,155.28262968865235,D,A,0
Mental,B,-12.82129924394035,27.34540494999291,D,142.05410269383847,B,D,0
None,A,56.886562179746946,15.012935042121436,C,-3.7341250141298965,E,E,0
Mental,C,-11.552981712509355,69.13597648842429,A,138.5613472575453,E,D,1
Yes,D,33.717991069412804,38.34497858953993,E,3.7250217870711277,A,A,0
None,B,-87.07976059634034,68.70630876286619,A,-267.329815043481,B,D,0
None,A,-195.49123275519352,-149.43509739323244,B,135.18482397252646,C,B,1
Yes,D,159.90634539322244,114.5761607144824,A,-119.35592667209802,A,A,1
Both,C,-181.33643556002608,76.70411310977056,D,-176.27000423314797,E,A,1
Physical,B,-192.3621073132124,-66.63744865521618,C,-74.34777985584883,E,A,1
Physical,A,-130.33097313688017,100.1335182576845,A,112.02561697456714,C,D,1
None,E,35.32241269293838,-52.57266659376042,A,-133.97993321685811,B,E,1
No,B,98.76046432628175,96.96373017502373,E,61.49355556640088,A,D,0
Mental,D,151.56443849677999,-90.98332703969943,A,-134.5769518251233,D,C,1
Physical,D,61.82727035755741,30.378399247522665,B,-55.08802469342766,C,E,0
No,E,79.23924271580374,-54.509508429932275,A,8.594266698002436,D,A,0
None,E,155.47417525752414,-111.53801303295961,C,71.64539417454885,A,E,1
Mental,C,-89.92076275147227,-35.37696732139916,B,121.17783452138404,E,A,1
Both,B,-18.73141417500602,13.033009488905439,B,-47.47235992370438,D,E,1
Both,E,89.58095742942017,61.50450294751101,E,152.6164808662189,E,A,1
Yes,B,102.31301505086572,44.16846867356909,D,-1.9512597106275125,C,B,1
None,E,-3.3646815177812672,-101.74140801057676,A,35.69634238352976,C,C,1
Physical,B,-14.386449831044418,-0.8955664558782175,A,-108.54747258122867,A,B,1
None,D,92.24151178115986,102.35226994968988,B,192.45202942605755,B,A,0
None,B,57.055634462519464,243.08751165664876,C,-106.5606921491437,A,B,1
None,D,58.90313181655984,75.90786925645203,E,197.49900820347946,A,D,1
Physical,B,-146.94250545436995,-184.49765573395243,E,-168.0602454190194,E,B,1
No,C,-81.70699406816395,151.53630115864956,B,169.7540586173117,B,B,1
Both,D,81.70481100568874,141.07853092823018,E,-0.5481298337305849,A,D,1
Mental,E,-42.88188727728201,-25.669816377518362,C,74.53983511292215,E,B,0
Mental,B,-11.780550054942974,-14.295194414466733,C,-77.29284053958527,A,B,1
No,B,62.1521083600298,12.393832929819867,B,-93.16330877143876,C,B,1
No,B,-44.975459573372916,-58.757137579748274,E,-48.341711373917974,E,A,0
Physical,B,152.2784095626648,15.271893618445104,C,-123.39340749203373,B,B,1
None,A,-138.90650478128111,98.5505706235925,A,3.577437166618714,A,A,1
No,D,55.16393890372338,155.8493231399586,A,13.673425269544712,E,A,0
Physical,E,71.63692038140815,-151.22924071992813,D,50.63385917185867,D,E,1
Both,E,71.37207843013326,41.97086375157638,A,-24.634199794063605,D,C,0
None,B,41.044911129056906,-143.8221884523675,C,-74.70628252298303,C,D,1
Physical,B,-129.70789221926785,51.65165103247274,B,-95.81946005539976,C,C,0
None,C,6.845560520844517,115.54519942038168,E,41.41471136770888,A,E,0
None,E,7.2037855408576945,74.2973116483539,C,10.377233081805379,E,E,0
Mental,E,-10.604262872695218,48.12062908522668,B,-110.12437792365898,E,E,0
No,A,-73.41647774278374,43.79642699868524,E,-5.845308307835922,D,C,0
Yes,E,-79.6958485768404,17.1650381922286,B,153.46515959239687,E,A,1
Both,D,166.76626671468614,90.11388307025186,B,-7.43988103653742,C,A,1
No,B,87.6878364395667,-52.211093571546165,C,-178.78132475035596,D,E,1
No,B,-18.90605174267192,61.30002642238374,D,50.60481475843959,E,C,0
Yes,A,-37.74825372403994,116.92900392240888,C,46.38498036295175,E,E,0
Physical,A,-123.28573039742392,-104.9390623065114,D,16.85098457194628,B,E,1
No,D,-131.6077460789348,-17.23625886621503,C,95.14619365115128,E,C,0
Both,E,-58.04736426475377,81.17303330875188,E,74.2364266732173,D,B,0
Physical,E,-301.6612982860008,10.61462699142743,D,-97.3223281465065,C,B,1
Mental,D,55.28951542843533,-91.08325944452776,D,24.703880131501943,C,A,0
