age_range,Nationality,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
18-25,UK,34,B,E,E,D,41.017030819342466,-30.86277086306099,0
18-25,US,77,B,E,D,B,-40.645181747131794,69.91710190971841,0
18-25,UK,70,D,E,B,E,20.04632128570613,-135.11217689863219,1
51-65,Other,39,D,E,E,A,92.85299497681694,65.35018327589178,1
18-25,Other,55,E,A,D,C,-20.050167919676987,61.76943181727943,0
51-65,Germany,30,D,D,B,E,-128.90105680893208,-32.89796724929208,1
51-65,China,56,A,B,A,B,45.71245929768663,-70.43943827026533,0
51-65,Other,49,C,D,C,A,-121.69566733880954,-183.76182403835583,0
36-50,Germany,75,D,C,C,A,44.26106369393635,172.64347536517877,0
51-65,Other,27,E,B,C,D,25.192427998825384,-87.29791132624717,1
26-35,China,61,B,B,E,C,22.541937306207288,42.61268862608312,1
18-25,US,68,C,C,C,C,145.23343202651307,110.01661289824487,0
26-35,Mexico,26,B,A,D,C,10.150416768947139,-144.98276655328033,0
26-35,Germany,33,A,C,A,B,51.40470328430668,-114.88873735957104,1
65+,Germany,42,C,D,E,E,63.26607164956346,85.773314667431,0
18-25,Mexico,59,E,D,E,C,-66.28781405845994,20.164009629913522,1
26-35,Brazil,52,C,A,B,C,-25.545961194815675,-103.65118414943551,0
65+,Germany,37,C,E,A,A,131.92839938000333,92.87417535749287,0
65+,Other,25,B,E,D,B,-1.277644029772149,123.05768236979362,0
26-35,Other,55,B,B,A,A,160.4512960030766,78.08724500918409,1
51-65,Brazil,53,D,D,E,C,3.194288691389842,-111.00826008347002,1
65+,UK,62,C,B,A,E,69.14793138595755,97.03963502880883,0
65+,Other,62,A,A,A,D,-120.85097507453546,-108.85700086636724,1
18-25,Germany,72,D,D,E,A,-16.697235066939136,-35.3569194755159,0
36-50,Brazil,58,D,A,D,A,-52.72952022446946,2.907477763128123,1
65+,Other,18,A,E,E,E,-50.40267782745832,-39.655583231716605,0
18-25,China,43,E,C,B,A,-140.21110216871278,-19.5863818103165,1
26-35,Germany,28,B,D,E,C,82.25846968287331,-80.20263762088359,0
26-35,Other,41,B,D,E,B,-46.69875574855091,24.790940917886044,1
65+,India,48,D,D,D,C,-18.056359241506257,-26.904601826715226,0
51-65,India,70,E,C,D,E,-30.68163097334324,2.5321703717739967,0
65+,Brazil,29,B,D,A,E,-157.49859763122458,-18.014431292972287,1
65+,Germany,79,D,B,C,C,11.703134182128132,80.79583908203296,1
26-35,UK,31,B,B,C,B,-73.89599656487506,-126.43100244937442,1
51-65,US,24,A,B,A,C,11.83882114840804,-2.1092118647357614,1
26-35,Brazil,66,B,C,A,E,-51.074644429231356,-69.32671437206193,0
36-50,Brazil,45,A,A,C,E,10.364006627689877,-114.40780755160209,0
51-65,Germany,24,B,D,E,B,141.75786751910698,149.95011879144056,0
26-35,Mexico,42,E,E,A,A,-82.70781544684581,70.57628365492702,1
51-65,Other,27,D,A,C,C,24.882056085321416,-36.6233291970327,0
18-25,US,50,E,C,B,A,47.534638897527095,-77.36711881430935,1
26-35,India,77,D,A,A,A,123.14492587868733,124.01118059552563,1
18-25,Other,35,D,D,E,C,123.80828445247423,117.59073517496074,0
18-25,Brazil,29,A,E,B,D,63.53531149527196,-15.381727718851469,1
36-50,Other,42,B,E,C,E,-41.39945273615629,48.35920953136039,1
26-35,US,64,A,C,B,C,-14.750921699740477,-205.4811181429828,0
51-65,US,40,D,D,D,D,-22.390558799673897,-93.03732088596801,1
65+,Mexico,60,D,C,C,A,14.08651999520971,-43.088413455309315,0
18-25,India,44,B,E,A,A,16.09946841707059,-213.85988604531002,1
65+,Germany,70,A,B,E,C,-25.72356459820228,29.960933616104317,0
18-25,US,21,A,C,B,D,51.57637706881223,181.55942782521456,1
51-65,China,38,B,C,E,E,99.60011391113859,36.82044479752371,1
26-35,UK,63,C,A,B,B,-72.70812211663528,47.429616351867395,0
65+,India,21,C,C,C,C,-172.86501566220025,88.2751055095922,0
18-25,US,40,A,B,B,C,-21.882167327865783,-6.401089183320485,0
18-25,Other,73,B,C,C,E,-33.295294021163826,2.8542960966137865,1
36-50,India,65,C,A,A,A,24.396459286927563,100.29278646482732,1
18-25,Mexico,35,A,A,C,A,9.070208343964287,-9.639383438059586,1
65+,Germany,47,A,C,B,B,-142.0692437676565,-80.56585850560161,0
51-65,UK,79,A,B,B,D,77.97555219687558,-25.45072090186916,0
18-25,Other,73,B,C,A,B,-28.976316013489633,-61.127004827901445,0
65+,India,71,A,B,C,A,-74.460000934961,112.65162125859831,0
51-65,China,36,C,B,B,B,7.57838195861668,-28.585484638407372,1
18-25,UK,48,D,B,B,E,-58.47554391193466,66.49571641861472,1
65+,Germany,24,E,E,B,B,-72.75380662728487,-30.75347244279933,0
36-50,India,52,D,A,A,D,-104.12897570344823,-57.6696415516581,0
18-25,US,18,C,B,A,A,-160.08490411979292,-4.599619248773481,1
51-65,India,22,B,D,A,D,143.31491947302766,-88.95596547432807,1
65+,China,19,D,E,E,A,26.531383125456422,115.7074880727514,0
51-65,Brazil,54,D,D,D,B,76.8924026755395,207.12315773320006,1
65+,Other,39,E,E,E,C,56.044927275561015,-85.55525470517517,0
65+,India,70,D,B,D,C,190.30556186351444,-46.97105315487036,0
36-50,UK,25,C,E,C,E,-8.670415022198434,32.608075024350654,0
18-25,China,56,C,B,C,C,39.666875061292394,96.2705597661314,1
65+,Mexico,67,C,C,E,E,-56.559771486504886,-97.01893613269658,1
51-65,US,70,D,A,A,C,8.075483084847544,111.9046922439104,1
51-65,Germany,60,A,B,E,A,223.31142543854003,137.65938632891311,1
18-25,Brazil,58,B,D,B,B,134.1616992268804,-100.88225468021975,0
26-35,Germany,22,C,E,B,E,38.76103118281854,-3.961139454428365,0
65+,India,58,A,D,C,C,329.8073033332878,-199.04763607335707,0
26-35,India,64,E,C,B,B,163.14243705149337,-26.26025590240034,1
65+,China,59,D,E,D,A,-134.7116924107834,-92.51739640920653,1
26-35,US,67,D,C,D,D,-168.1442183420624,-133.5538312023082,0
18-25,Germany,75,A,D,A,A,170.6452700057172,48.767514339326965,0
26-35,UK,53,D,D,B,B,19.241719448347162,83.1459715509329,0
51-65,India,38,E,E,C,B,125.07357363708371,98.38331352828781,0
51-65,Brazil,29,B,D,D,A,16.73643150816342,65.15224815965873,1
65+,India,34,B,C,A,A,-93.77400417009665,10.410892224902652,1
36-50,Brazil,18,A,A,A,C,-8.291064317665821,-93.5864251514271,0
51-65,India,53,B,B,E,C,-74.93126167723395,-38.457191467856546,0
26-35,US,44,C,E,E,D,192.2495434085757,204.30838195561046,0
51-65,India,56,E,B,C,D,-83.55705945057181,-53.63292804069548,1
26-35,India,30,B,B,A,A,67.53452613567582,66.5499775188165,1
65+,Brazil,54,E,B,A,D,-60.5066560983739,-175.48205510655995,0
65+,China,74,C,B,D,D,-154.07738616157718,-125.09330430700064,0
51-65,Other,45,D,B,E,E,-109.35292953384545,-128.53162510028227,0
26-35,Mexico,49,A,E,C,B,60.4302491745232,-19.229537596499092,1
65+,US,48,A,A,C,A,6.690263321896254,-90.86011178581899,1
36-50,Mexico,41,B,E,D,A,99.83489033088155,2.4472926762749823,1
36-50,UK,60,A,D,E,E,-48.50222212726053,-178.45144165891617,1
18-25,Germany,32,A,D,D,C,50.57473375386261,-71.79252007492569,1
18-25,Germany,23,D,D,A,B,-97.25436604655613,-67.94867742579068,1
36-50,India,69,C,E,B,D,127.07031572315124,-79.55139851954944,0
36-50,Germany,72,D,C,C,D,-215.7798110958666,86.62781275404838,1
18-25,US,64,E,C,A,E,122.09376351634897,206.7387726485103,1
18-25,Mexico,57,B,C,E,C,66.02363262302153,54.30187437340827,0
65+,Other,65,D,E,A,A,-12.023346200478846,-86.61453116431626,1
65+,Mexico,60,D,D,B,D,-14.47305038981653,45.131133235790436,0
65+,China,39,C,C,E,A,-87.96102230889821,177.79522108647404,0
18-25,Other,46,A,E,E,D,-67.78254674419173,123.90841090285478,0
65+,US,45,C,E,D,A,106.56360944133998,183.66593261660694,0
51-65,India,26,B,C,D,A,155.99691672159045,-48.36347859767492,1
51-65,China,52,B,B,C,A,-72.49205241876237,13.368727347978169,1
65+,UK,32,C,C,B,A,198.7201033302511,211.94435797940244,0
36-50,Mexico,29,C,C,E,A,-139.1262156255295,185.3824336141788,0
65+,Brazil,59,D,C,C,B,54.49625185782341,134.69102151405102,1
65+,Germany,65,A,E,C,C,-256.97832017825635,-91.00172825366236,0
18-25,Brazil,20,B,D,E,C,-42.49415782552766,-62.17663283881672,1
51-65,UK,43,D,C,B,C,-149.99007388636775,-88.81335135176015,0
51-65,Other,77,A,D,C,D,-11.535556443193123,76.68228723858121,1
18-25,China,56,D,C,C,D,-67.25557602093069,1.0585123350561232,1
51-65,Germany,21,A,B,B,A,25.74206456833211,-153.1383862420153,0
26-35,India,25,C,C,C,D,-189.74627477739205,98.89628457316802,0
51-65,UK,64,B,A,B,C,-88.80379729635646,169.94016382696358,0
36-50,US,60,C,A,E,D,89.10961216891505,0.2624276317127009,1
65+,Germany,27,B,D,B,B,82.41283209305634,136.48362991002693,1
65+,US,20,A,B,A,B,-127.0651245718589,69.89254677600952,1
26-35,Germany,79,B,C,D,A,-14.716324057819186,7.479035107920754,0
26-35,Germany,22,D,D,E,C,-108.3294728963018,-14.780192732393257,0
26-35,UK,34,B,C,B,A,32.75676217320008,-38.61169607787176,1
36-50,Brazil,23,E,D,A,D,-28.945419828309543,164.23218945534947,1
36-50,China,31,E,B,A,E,-10.503414903776992,3.087210493363121,1
26-35,Mexico,50,E,B,E,B,-36.862640392285215,-65.14672373653627,0
36-50,Brazil,77,A,A,B,C,-43.68054663576887,-321.42318435043086,0
65+,India,63,A,E,A,B,-224.32018856681532,15.695093829997987,1
65+,Germany,65,C,B,B,D,-32.031866764217185,-39.69359171657874,0
36-50,Brazil,76,A,E,C,E,-40.94833582994499,12.441548736908297,1
36-50,Germany,24,B,D,C,A,65.06148256684973,-16.382025568670173,1
36-50,UK,73,E,B,E,C,-4.666008460667316,241.3606316877307,1
51-65,India,60,B,E,E,D,-33.583552259361014,51.18061824637239,1
51-65,Mexico,36,D,A,B,D,59.07787115630884,-38.56776213742085,0
51-65,Other,34,C,E,A,E,52.97471531974253,83.16416271793426,0
65+,China,61,A,C,E,D,28.920117434149628,44.48002150112085,0
65+,Germany,56,A,D,A,C,118.65706533513902,-16.350293621586466,0
26-35,China,74,A,E,A,D,53.07957695851386,-154.29567074827014,1
65+,Mexico,70,B,B,E,C,-115.92315628326043,164.90636181173198,0
51-65,Germany,41,D,B,B,B,58.090650950989165,-61.98016293652221,1
65+,Mexico,64,C,A,A,C,53.99826942519616,35.76714674671469,1
65+,Germany,64,A,A,B,E,46.68449091156791,-140.66057202468832,0
51-65,Brazil,47,A,B,B,E,-28.88309718062123,91.87217515661021,0
51-65,Other,56,E,B,A,C,103.44213230249564,-28.998141878201928,1
36-50,Other,45,E,E,B,E,73.52394024466157,-96.82061879576705,0
18-25,Brazil,57,D,B,E,D,-234.68613403316186,-198.42889488202482,0
36-50,Brazil,25,D,C,D,B,176.50186771490095,-29.693532521374582,1
65+,Germany,19,E,B,C,E,-44.13077780671582,-144.63714924202944,0
36-50,US,63,A,B,B,D,28.438422946902953,-59.31970023462995,1
26-35,India,77,D,A,B,A,19.973395366106516,-54.6602260186846,0
26-35,India,54,E,D,E,E,77.63295523692464,9.823536520812782,0
36-50,China,45,E,B,A,A,61.227840921643676,-117.98811548583883,0
36-50,India,38,A,B,A,C,-65.79673729614987,-118.02990141330909,1
51-65,Brazil,58,D,A,B,C,24.648099914696537,152.30702338256145,1
51-65,Mexico,78,D,D,C,D,-41.20559578739761,-106.24470274480716,1
36-50,UK,38,B,A,B,D,-4.525470578590195,-94.89548025699628,1
18-25,US,25,D,C,B,B,69.31141695637068,-8.91308332918796,1
51-65,UK,26,E,B,C,E,70.91959494236345,20.885096543666904,0
65+,China,74,D,D,A,A,-157.3556244514803,-46.856570412752255,0
18-25,India,43,A,D,D,B,175.3379578054538,-69.07691570194832,1
26-35,China,66,B,C,C,B,195.3613867010332,-30.00622190694876,1
51-65,US,49,D,A,E,B,-29.308076354498482,-116.22809889514154,0
65+,Mexico,23,A,A,D,A,-11.708122551127943,-108.87231768895695,1
26-35,Brazil,47,B,D,A,C,145.91863913828178,-50.785554631285024,0
26-35,Other,35,D,B,A,E,-86.708363834565,214.970871575469,1
51-65,Other,49,B,C,C,A,72.44402008948026,-155.90204714926662,0
18-25,Mexico,24,E,C,B,A,20.840366795147485,-10.821554713510901,0
26-35,Germany,36,E,B,E,E,-21.49977200445761,-21.25543241071783,0
65+,Brazil,18,B,A,E,C,72.56231791536017,-205.2198940677841,1
26-35,Mexico,39,E,A,C,E,128.00053043878054,150.45778229492697,1
65+,India,76,C,E,B,B,-144.2120105719568,101.74871897987323,1
65+,Other,28,A,C,C,D,22.667204045978746,116.62475136371472,0
65+,Germany,76,C,A,C,E,72.87310311319834,5.617231443371332,0
18-25,India,49,E,B,A,A,130.0225660951173,81.20381802763849,0
65+,UK,52,D,D,A,B,105.87214872435695,123.63783863542919,0
36-50,China,23,D,A,E,B,-182.04214486491372,93.31222059647357,0
18-25,Brazil,74,E,C,B,A,-69.5271125115111,88.04925615462649,1
51-65,Other,59,E,D,A,E,-17.121348764154042,84.06791279620755,1
26-35,China,43,E,E,D,D,-89.1808496896225,58.552562814406514,1
36-50,Other,20,C,E,A,D,-42.62447596032232,-147.73481159462523,0
18-25,Brazil,73,C,B,D,D,27.328864111957117,19.86950572866042,1
18-25,US,46,D,C,E,D,-187.369211276823,-27.089928595677755,1
26-35,US,60,A,A,D,B,-113.4628504738914,12.355422376344634,0
65+,US,76,D,B,D,C,-252.203887702814,123.49530151931828,1
18-25,Germany,29,C,D,D,D,-87.38907744003833,97.28455839507339,1
51-65,Germany,31,A,E,C,D,12.792471277408076,-224.9333569633888,0
26-35,Other,57,B,E,B,A,20.42445590917423,-17.52345785583498,0
18-25,China,36,D,B,A,E,122.24409264383695,44.880331413391836,1
18-25,Other,70,A,C,A,B,-118.20420829189953,28.236356065328668,0
65+,China,43,E,D,C,E,10.87465196024054,-81.74361507807778,0
18-25,Mexico,39,C,E,C,E,2.5208516707581325,-60.81952065957083,1
65+,UK,20,C,E,A,D,229.83379574247547,61.5047767036505,1
36-50,US,33,C,D,D,A,15.117301318372132,-28.865482558203848,0
51-65,China,76,A,C,E,C,-86.44576398094671,113.74836745084589,1
65+,Brazil,68,A,B,A,C,-28.737136721719125,-41.57733295230217,0
18-25,UK,73,C,C,D,B,-33.70992025594211,156.26187122746524,0
51-65,China,20,E,B,B,B,-8.489101677942903,71.64337152417532,1
51-65,India,73,E,D,B,B,47.920059271155345,123.72693514284782,1
18-25,Germany,21,D,E,C,B,-73.94352519295279,89.53159554611337,0
36-50,Germany,59,A,E,A,B,-29.314447141776494,-8.449479389662518,0
26-35,Brazil,22,A,D,E,A,165.35567478436337,-35.57910723680624,0
26-35,US,39,D,E,C,B,27.78101634138656,-10.072682474538686,1
18-25,Germany,53,E,A,C,C,-269.07927625511763,62.68813983902566,0
36-50,Brazil,24,B,C,A,B,-18.08522438538388,35.19563471180983,0
65+,India,30,E,C,E,C,-115.28861265884692,71.65398849269907,1
36-50,Mexico,31,A,E,C,D,103.0247237995946,-95.10887853613559,0
65+,Other,54,A,C,B,C,20.30855230727061,-77.25040437005234,1
18-25,China,51,C,B,E,C,2.0117666769669036,-31.186085090710847,0
65+,Mexico,29,C,B,E,C,112.14553896647263,27.599818338099986,1
51-65,Mexico,40,E,A,A,E,56.81261453667952,-82.57724742727567,0
36-50,US,52,A,E,B,D,-98.07236817082192,-186.48513099819752,0
26-35,Brazil,51,E,C,B,E,65.64605830544401,-112.78671004455525,0
26-35,UK,73,E,E,C,D,-19.92553622353771,122.31711889378336,1
36-50,India,35,B,E,E,B,-39.162196748202554,100.05969331827167,1
65+,Germany,26,A,D,E,C,-153.00629938578888,21.095182461640444,0
65+,Germany,38,B,D,E,C,16.080010195599826,-7.55727033364582,1
51-65,US,51,C,B,E,D,-73.65171995262246,-43.35569520727102,1
51-65,Mexico,52,B,D,D,D,58.85986888063738,-49.65967438961083,1
18-25,UK,19,E,E,A,A,26.17911984553558,116.2019393212634,1
26-35,Other,77,E,B,A,E,13.460744552930626,175.4489273316254,1
26-35,UK,35,E,D,C,B,136.05279451689367,-53.536027099305564,0
65+,China,36,E,A,C,B,-25.384387595759655,-22.806756518654257,0
26-35,India,26,C,C,D,C,-87.58375920955791,55.760847698151906,1
51-65,US,26,D,A,B,A,-56.52131612545045,-48.35010736780751,1
26-35,India,40,A,E,C,E,-39.19763807556541,-92.55994455818161,1
51-65,Other,68,D,E,B,E,13.135088773884545,-99.1591337488161,0
65+,Germany,71,D,B,C,C,-104.1363657285179,-214.45729328704468,0
18-25,Germany,78,C,A,E,A,329.3898375059149,-163.0714111743559,0
51-65,China,46,C,C,C,B,28.088093730965035,50.038873052813685,0
18-25,Mexico,21,C,D,B,D,-37.82843477452184,10.482565425123308,0
65+,US,46,A,D,A,A,-54.573317370571736,-159.12972329321283,0
26-35,India,73,B,B,E,D,40.13441641498014,91.05529235364737,1
51-65,India,48,C,D,C,E,130.10250935750258,111.41214633824855,1
18-25,Other,79,A,E,A,D,92.38409879125663,-181.2892565418923,1
65+,India,30,A,C,C,A,42.11777495663516,-34.93837557639534,1
65+,Mexico,57,D,A,A,E,116.52358755538523,26.182059104194476,1
18-25,Germany,58,D,C,C,D,84.17483755120034,-96.13654720766743,1
36-50,India,58,D,B,D,C,163.59504380018194,-142.64239280577448,0
51-65,US,33,B,B,B,A,56.797107162033974,-2.489979947477624,1
26-35,Mexico,69,A,C,E,B,68.83597667108575,105.79846250028586,1
36-50,Other,22,A,B,E,E,-39.94652157359252,-39.19552878084509,0
51-65,US,71,A,C,E,D,-96.51528743321552,158.19719192541461,0
65+,UK,68,D,B,A,D,-1.055014808708871,-85.45270638445342,0
26-35,China,41,A,D,C,E,-54.48232270715644,26.645647338543395,1
18-25,Other,57,D,D,D,D,109.10231611092887,41.18415693081703,1
18-25,Brazil,75,E,E,B,A,-13.551814833528953,-61.007489827997055,0
36-50,India,26,D,E,D,E,-0.4935658767859486,17.386010904980623,1
18-25,Other,51,C,C,A,B,99.69561338103142,-120.9939124794865,1
18-25,UK,79,A,C,E,C,-54.15244956415418,-17.382811486947745,1
18-25,Brazil,67,B,A,D,D,101.5517772392061,-152.31734978336107,0
36-50,Germany,36,A,D,A,A,45.99818484665807,27.243239296807126,1
51-65,China,33,D,D,A,E,-38.97930676840097,-52.9492379268058,1
18-25,Brazil,62,B,E,B,B,-36.5827770279165,-102.39176672602046,0
51-65,Mexico,38,E,D,E,A,17.79892658215325,-216.69095072992536,0
18-25,Other,35,B,C,A,E,23.799140036198377,3.1736211589059646,1
26-35,Brazil,53,A,B,E,C,8.472379431696146,-72.98317298355445,0
26-35,India,36,D,D,B,B,-152.26140269077743,9.042967827052124,1
65+,US,54,D,D,D,B,147.7321999720656,28.309040539671436,0
18-25,China,64,B,E,D,D,-109.02751597823999,128.4193690497049,0
18-25,UK,34,E,C,A,A,198.62802523769642,-6.357929071095707,0
51-65,China,29,A,D,C,A,-62.640340730883736,-216.80471355592243,1
18-25,US,22,A,B,B,A,-27.501676415762468,59.53302564242458,1
26-35,China,45,C,E,B,A,-131.89607295096505,-64.10066014177846,1
51-65,US,54,B,E,D,D,41.567756900206795,-127.89718685968244,1
65+,Brazil,27,B,E,C,B,63.01285202232457,-143.8387587340229,1
18-25,UK,46,D,E,E,E,215.12204965428748,-43.86255101570889,0
65+,Mexico,50,C,D,B,C,-78.21532609616695,-159.08986504478108,0
65+,India,37,D,D,C,B,-14.16414359064436,68.90212012676467,1
18-25,Brazil,53,E,A,B,C,95.76038341456331,167.24581293478317,1
36-50,Brazil,77,E,B,E,A,27.56706020155973,-27.43895141853634,1
26-35,Mexico,21,D,C,A,E,247.25093696219994,-72.1324898976152,0
65+,UK,53,A,A,C,C,-28.22089396907025,280.723265031801,1
36-50,China,27,C,E,C,C,-68.13102306305736,-56.10912076732926,1
26-35,India,27,B,C,A,B,90.1744082701757,107.39890843290551,0
18-25,Mexico,58,C,C,D,E,167.21588888741928,66.1528802816212,0
26-35,Germany,53,D,E,E,D,34.660425293836035,34.316129741843,1
18-25,India,61,B,E,D,A,-1.669778643119198,-113.40022101073006,0
36-50,US,30,D,D,A,E,130.60568841849636,-82.35263379056018,1
26-35,Germany,28,C,C,C,E,246.73711262814794,39.43240607674704,0
26-35,UK,30,E,B,B,D,1.1835515764871267,149.89693420329914,1
18-25,UK,78,B,D,C,C,-199.50280797457302,-61.11013902743938,1
36-50,US,69,D,C,E,D,136.48404224170724,23.23019758565888,1
18-25,Germany,46,B,E,C,B,-44.23043749122339,-165.18322266265585,1
36-50,UK,29,C,C,B,E,-316.22341083052396,101.43779232729526,1
36-50,Germany,20,E,C,E,C,-36.35436423330112,-152.5320636154383,0
36-50,India,53,C,C,D,D,-59.59019371463974,-107.25564525396602,1
51-65,Germany,51,A,B,E,B,49.49699748632786,-1.1354796466862815,0
18-25,UK,67,A,B,C,C,-26.566991986460962,-130.7624127534507,0
65+,Germany,38,B,A,E,D,175.7376513052881,48.13368328490922,1
51-65,China,35,E,B,B,A,-32.441341296509,-30.91441999322045,0
65+,India,72,D,A,C,C,-175.1512861278382,-10.265211619087538,1
18-25,Mexico,30,B,E,C,E,26.20381642758555,-250.357882292712,0
26-35,Other,40,E,A,B,D,51.54366204466471,49.16370859951895,1
51-65,Brazil,18,D,E,D,A,94.65523668227918,-2.174624424718409,1
18-25,Mexico,23,C,C,A,D,35.32911144560644,56.140862651963744,0
36-50,Mexico,54,C,B,E,C,-16.849451231785906,20.11231919854041,0
51-65,US,50,B,C,C,D,185.11715001170438,137.20024038120326,1
