orientation,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Bisexual,Asian,A,-132.73774977714825,B,131.90682848292167,B,-134.72531746553705,E,0
Homosexual,African American,E,-31.132559940863775,D,-113.45702858397611,D,-46.48254347407143,D,1
Homosexual,Black,D,-143.3099800205432,C,75.08412953594447,A,26.94059238809472,E,1
Homosexual,White,E,-128.44799499754868,E,-76.41284643191597,B,18.3765875843665,B,0
Other,Black,A,63.66604694968989,D,28.73574325532632,C,-25.89022173446247,C,0
Heterosexual,Hispanic,B,-47.94926992938745,E,-23.293327445541536,A,-44.79900779417817,D,1
Heterosexual,Other,B,103.39390209904316,A,12.343190726397388,A,-91.6742990701987,B,1
Homosexual,White,B,-112.72280861253583,E,174.99664293120318,D,-157.67597339494074,E,0
Homosexual,Other,A,65.11577201940398,D,10.246547203147568,A,98.06419638151202,D,1
Homosexual,White,C,278.3047842853466,C,-63.76406742374686,D,164.12991958050586,A,1
Homosexual,African American,E,-24.92673441639294,E,141.58397020222012,D,188.56887462922728,D,1
Bisexual,Asian,A,56.90907161906753,B,-38.85997986686916,B,-56.76584040869581,B,1
Homosexual,White,C,-3.948349679792837,C,52.79083639293193,C,195.99495833555318,A,1
Other,Asian,B,20.431663728506923,B,-35.933365290881646,B,131.53583961249385,B,0
Heterosexual,Other,B,-173.752786982546,B,-68.99380225467566,B,71.86583073246167,C,1
Bisexual,White,D,-118.92116104148387,B,-106.95945124510445,D,108.91640617377864,B,1
Other,Other,D,216.50586255257042,D,10.814172745022155,A,6.309019691471452,C,1
Other,Black,C,164.85744490619362,D,-52.797910129883164,A,-250.67013653750573,D,0
Bisexual,African American,D,-12.46512091085548,E,-40.25471981812546,C,61.46554177504255,B,1
Other,Black,E,101.74886394379699,E,140.31530369293705,E,-74.5758392822383,A,1
Bisexual,African American,D,31.419808650773074,D,189.35790882083182,D,-109.51641953361751,D,0
Bisexual,Other,A,-5.425568600115874,A,-135.46804641711464,D,-45.23199268648304,A,0
Homosexual,Black,E,130.50005533146805,C,125.71861089096119,C,-16.143622628845574,B,1
Homosexual,Black,D,88.97187512232124,C,77.97838338038693,B,-27.960536939831133,B,1
Other,Black,D,-126.43285749130175,B,-8.893060481548739,D,85.67999729896366,D,0
Bisexual,Other,C,28.141164173506215,D,-108.61011334111303,A,29.285084297946213,C,1
Heterosexual,Other,A,38.18884294502596,A,-11.2643654491262,C,-111.52754937334883,E,1
Other,Asian,C,105.78759390634276,B,-22.562059301381105,A,-34.14099886472414,B,0
Heterosexual,White,A,37.998330625183044,E,-49.92138108593173,C,-110.21046815307847,C,0
Bisexual,Black,A,-28.850612281136414,C,-90.21100619605485,A,5.581719245381782,B,0
Other,African American,A,10.647397884058147,B,0.6197836066137138,C,-5.542916104845958,C,1
Heterosexual,Hispanic,B,159.3076502054852,A,89.33257883627628,B,-72.77495262712225,B,0
Heterosexual,Black,D,155.36242958442043,C,237.78577629956473,E,-17.817421550648984,C,0
Heterosexual,African American,A,-71.20343846198003,B,145.9019719806076,B,156.56031726695718,C,1
Homosexual,Hispanic,E,-81.45710969923195,C,-48.86471734390292,B,-88.48483661347262,B,0
Other,African American,E,3.7615432233637085,A,85.21487916761816,A,43.390152095759085,E,0
Heterosexual,Black,B,22.878336667058168,A,72.32385769023381,A,5.398487783667585,D,0
Other,Black,B,133.75034691322287,E,163.41780830594627,D,-102.72885168925666,B,0
Bisexual,Other,E,-68.32361519809373,D,-69.86507653877129,E,117.70062609509253,D,1
Homosexual,Hispanic,B,-6.212105354096767,C,37.555792360782,B,-9.42224224848227,C,0
Homosexual,Black,B,-145.67357925040022,A,103.57088757707098,C,75.80639264033802,C,0
Homosexual,African American,B,-18.598665517017004,A,11.961458899679176,B,57.83498936141396,A,0
Other,Other,E,-6.394786584723492,B,-23.179827233045334,D,19.511057104347717,B,0
Other,White,A,143.06685121660198,A,64.87218644808904,D,20.434050245546885,E,1
Heterosexual,Asian,C,236.64596330432502,E,-10.16242212093104,C,1.4372072456348253,A,0
Other,White,B,-215.33388878865932,C,-132.39859451310346,D,-144.3679386755044,E,1
Heterosexual,Hispanic,A,-60.5648202676344,D,147.41709337965472,E,48.44766877501324,A,0
Heterosexual,Black,B,61.22949416954416,C,-127.14991084021558,E,-23.39334701249568,E,1
Homosexual,Hispanic,C,103.66639933718807,D,93.94410902967422,B,128.02939987927743,A,0
Heterosexual,African American,D,-52.39539655284472,A,-139.42026603703044,D,46.834891967221026,C,1
Homosexual,African American,E,-95.06857757710566,D,106.34232858863757,E,78.81307403132641,E,0
Homosexual,Hispanic,C,-15.072566572723659,B,1.339583765681711,D,82.20782096508093,C,1
Heterosexual,Black,C,-104.02061197834314,A,24.697045276245778,C,-70.78764954883384,B,1
Heterosexual,White,A,67.07037936431897,C,-34.79700985814307,D,51.84061757301372,E,0
Heterosexual,Asian,B,-129.63314050537392,E,10.42764453777359,A,126.1399863327889,D,1
Heterosexual,Hispanic,A,-71.89858007257672,D,-41.786841889991145,D,-163.388850056774,E,1
Other,Other,C,-234.99086137484574,D,96.02598151832807,B,-21.995950587082394,B,0
Other,Other,C,-68.86711603435187,D,178.74741896940176,E,34.01702817515338,D,0
Homosexual,Other,A,61.899558349840724,B,70.45369843958886,D,-86.30275498964728,A,0
Bisexual,Other,A,-155.61941590240778,A,162.7119266860729,D,7.1653590032722505,C,0
Bisexual,White,C,-50.395023314226265,B,206.67376584002093,A,-120.06207139333434,A,0
Heterosexual,Other,B,-138.98090313145508,D,121.5537155311615,D,126.35915190337812,C,0
Other,African American,D,207.30245791452114,B,-46.282352747927,E,49.156311328571554,B,0
Homosexual,Other,D,-24.90275862444844,A,-23.54242839933751,A,24.440647612847027,B,1
Homosexual,Black,D,-146.23060718316574,D,59.151488482125735,A,5.379563902927796,C,0
Bisexual,Other,E,-125.90225480656501,A,36.0989830456226,B,94.96094744931366,B,1
Bisexual,African American,D,-9.329304755087293,A,5.334778087402073,C,-22.53965272261606,D,1
Other,Black,E,-43.201695775004126,E,13.770565992931823,C,-97.68906097800996,E,0
Other,Hispanic,E,177.88601070906574,B,51.73705927675929,C,37.5014851020488,B,0
Bisexual,Hispanic,B,16.666601490963796,B,-46.41365304320944,E,34.03442679476088,B,1
Homosexual,Asian,B,-181.18032367002925,D,12.795459206390783,C,-90.29228421773617,C,0
Homosexual,Hispanic,B,-7.5886798162116795,E,-45.62719307906,E,-60.97053107398911,B,0
Heterosexual,Asian,E,-17.092053220801326,C,16.267011709799707,A,137.77250097181226,A,0
Bisexual,White,C,-7.160797287154019,B,6.0951090436342374,A,-19.666711035965072,C,0
Heterosexual,White,D,-61.28649834665676,D,196.88531061016207,E,-23.09013363710594,D,0
Other,White,D,44.59700833880934,E,70.65541467983711,D,10.275444996433599,E,1
Homosexual,Hispanic,A,-10.227791703245414,A,-54.14407769086594,A,144.32251946291456,D,0
Heterosexual,African American,B,33.963801942506734,B,53.36851602310709,C,23.470683364967186,C,1
Homosexual,African American,A,-68.34709968075981,A,18.504006410957153,D,-145.28649127755693,B,0
Heterosexual,Other,D,36.81416057724021,A,-11.573745834907323,D,-24.063729063352827,E,1
Homosexual,Hispanic,C,71.4428091099158,E,76.30750330664519,C,38.141841092985764,A,0
Heterosexual,Other,A,-109.54767862632002,B,-56.752862457768195,C,151.5859814373979,C,0
Bisexual,White,A,-42.761500054557914,E,155.81413995326145,B,-108.6866734252371,A,1
Bisexual,Black,C,-101.62291969028968,D,129.8055406971848,A,-56.371986047499746,B,0
Heterosexual,Black,E,36.39195272994595,C,-87.96919404481352,C,-25.981493282465053,B,0
Bisexual,White,D,52.70038643876781,C,-2.809632060882004,E,49.01007393394628,E,0
Other,Hispanic,A,92.1915185258572,A,-23.488015300294766,D,20.87695365330696,A,1
Other,Hispanic,B,12.636283885779221,D,111.31118266819378,B,-63.69812474682256,A,1
Bisexual,Other,E,-77.44089755965035,B,184.41064173751997,C,232.80115052152564,E,1
Other,African American,C,-3.815469664969056,E,12.367002129600774,C,34.21129608674001,C,1
Heterosexual,White,A,-55.62548601920037,D,72.07562686544154,C,-51.31892712461368,D,1
Bisexual,Black,A,-32.118855415108015,C,9.03887105003935,A,116.66381520662593,E,1
Homosexual,Hispanic,E,-86.70358932158594,D,-123.51976523653043,C,185.01186160658736,B,0
Homosexual,African American,A,34.55818698928027,B,118.43672280450375,D,-88.98923547676375,A,0
Heterosexual,Hispanic,B,174.82589582560757,C,-45.79008818915725,A,-3.655022271562226,A,1
Other,White,E,-17.065109651880906,C,-2.5604555363996586,B,-105.87225636570317,E,0
Heterosexual,African American,A,49.278777570568906,C,60.67757454770335,B,132.97746751695277,C,1
Heterosexual,White,B,-201.637222346704,C,-32.32794092235472,B,-93.43741939564315,D,1
Other,Black,B,-8.523323828846765,C,-21.405892310537304,A,-48.107487591036616,E,1
Heterosexual,Other,A,-99.91460179379082,C,92.06603452458073,D,102.30777336018274,A,1
Homosexual,Asian,D,-73.73964490193099,B,46.893461947056956,A,-52.90104889985729,A,1
Heterosexual,African American,C,-217.9352310367948,A,-169.82309828471077,A,-114.56585309842842,C,0
Homosexual,Asian,D,35.94075033329355,A,47.15138719618954,D,87.9506613713099,B,1
Bisexual,Black,D,103.0998101769357,B,181.79301000780197,A,119.47278215367703,E,0
Other,Hispanic,E,-14.03560475522487,D,56.018434074445665,B,-92.1290510264243,A,1
Bisexual,Other,C,-51.74918557448714,A,100.35951678671273,C,-225.9284466255605,A,0
Other,Other,C,28.383027349082358,D,48.85707971631214,D,-181.3258009858268,D,0
Other,African American,D,120.31790954667979,C,61.642353597552756,B,40.978679783815615,C,1
Other,Asian,A,-5.751903923625985,D,94.50474229651947,A,151.37531833313128,A,1
Heterosexual,Asian,A,80.72480528140983,D,106.8434182954461,C,102.4306906061533,A,0
Heterosexual,Asian,E,198.26882197335365,D,-71.45185369575621,E,30.891108339889957,D,1
Homosexual,Black,D,-39.89920520493599,E,-5.480919540472069,A,-32.97668311430518,A,0
Heterosexual,African American,E,52.2927891178362,C,202.04510532139358,E,-9.004619108065837,E,1
Heterosexual,Other,E,138.1034568901057,C,-10.26280627466205,A,0.6975765952142778,B,0
Heterosexual,Other,D,33.68192757257029,D,-19.297837676100325,A,54.40834317198438,B,1
Other,Black,B,246.22411050494884,A,-160.48912230538122,C,-46.16913686067179,D,0
Other,White,D,-38.06002826327625,A,11.691475925107635,A,-6.644495158974529,A,0
Other,White,E,-2.685401777068207,D,-22.44745318923516,D,-88.48608917831662,E,0
Homosexual,Other,B,-17.18187027673506,E,78.67150361332709,A,-68.60025291166765,C,1
Bisexual,White,D,5.647843334801206,E,144.52497188280333,A,53.44406392151245,C,0
Heterosexual,White,A,27.318239400189263,C,35.61866671809458,E,33.21781133392833,B,1
Heterosexual,White,A,-45.321791513029126,B,140.72525294208717,D,38.40476566446206,B,1
Heterosexual,Black,D,-83.74529992150576,B,-87.212365264811,A,121.10124180085664,B,1
Heterosexual,African American,E,75.03397810640861,D,-86.20361570000307,A,158.90961044805923,E,1
Bisexual,Other,B,80.02579119575137,D,33.765890343082745,A,-74.92773904102495,A,0
Other,Asian,D,31.066086444877932,B,45.20260850992039,B,64.0111778219399,E,1
Homosexual,Hispanic,B,-48.6472867127206,B,95.39975728478808,B,-22.88132065266763,A,1
Bisexual,White,E,11.252961519568851,E,150.7117684115299,A,47.729595694664496,A,0
Homosexual,Other,B,43.12114119728683,B,-19.742260250140966,C,109.15766797637846,A,1
Heterosexual,Asian,E,244.6865382034125,E,-88.86383215915109,A,36.39573662728223,E,0
Other,Black,E,43.66068910156143,D,35.28446367313487,E,-48.01075230129388,A,0
Heterosexual,Other,B,35.815223749512825,E,58.81211620973437,A,2.6028873565989166,E,1
Bisexual,Other,A,-105.81263680994188,E,-152.27035902789186,C,-101.60753318289753,C,0
Bisexual,Black,D,-118.38942399387513,C,54.083819905448,C,238.53046468177678,A,0
Other,Asian,D,-166.1267973469709,A,-72.72463812169741,B,-96.52510924253347,C,0
Other,Hispanic,D,70.18028364917805,D,56.21690214844233,E,38.4266335128156,E,1
Other,Hispanic,C,57.140146062072475,D,-69.70645060702644,A,-6.1135925418753585,D,1
Other,Asian,B,-148.02523257353602,C,-66.70458625501996,C,64.48295415223734,D,1
Other,Other,B,41.69108201771455,A,62.71713698894121,B,-58.7413541013097,A,1
Bisexual,Hispanic,C,-72.85424577054978,B,35.794659659998054,C,-14.863045320304641,D,1
Heterosexual,Asian,E,209.72439575023972,D,115.98415122316963,E,49.780763041374826,A,1
Homosexual,Asian,C,37.94634514244052,B,-35.846560487904775,E,-51.027391591312146,B,1
Heterosexual,White,C,55.68807410809845,A,-99.17752847863109,E,-119.23901960736549,D,0
Bisexual,White,B,66.91533999275117,E,56.22028654573072,B,51.42436345073877,B,0
Other,African American,E,-122.05346035604666,A,-95.57909104989317,A,4.967273844309133,B,0
Other,White,A,-93.16390659430697,D,60.59439167853367,D,-58.09074410070727,A,0
Homosexual,Black,E,50.955811084429534,E,3.621939691383389,C,-137.39757250861558,B,0
Bisexual,Other,C,124.98821123141785,B,-159.2987958471404,E,55.8700070837784,D,0
Bisexual,Black,D,57.200452049204664,D,-29.022283289406715,B,222.95158290647078,A,1
Bisexual,Hispanic,C,-32.62765287090121,E,27.35049778746097,C,35.11869125319029,A,0
Other,White,B,18.463219040664622,A,-56.834236936558014,A,58.50231763847975,A,0
Other,Black,B,188.1793050186573,B,25.892291434553805,E,143.69318914286663,A,0
Homosexual,White,D,50.81740400865149,E,64.16866840314923,E,32.023601249844006,E,0
Other,Asian,A,66.56188127455668,A,39.852625075504406,E,-6.368876795292226,D,1
Bisexual,Asian,B,-93.50608902929196,C,-8.718921772879831,D,48.45872711478934,B,0
Heterosexual,White,A,124.24890775402442,B,192.92385946734498,C,-75.82565298449639,B,1
Bisexual,Other,E,181.97741072808842,A,-40.00484909303681,C,-194.4697980773757,D,1
Bisexual,Hispanic,A,111.80022419222,A,201.1853462035791,B,-78.06213387294997,E,1
Heterosexual,Other,D,-49.86189326973708,D,-134.05195193607642,E,40.93912217889128,B,0
Bisexual,African American,C,-84.69754344496951,C,131.66037862322239,A,88.64513993734539,C,0
Homosexual,Black,C,272.9778797433654,B,-155.59966242693386,C,-54.49806694257775,D,1
Heterosexual,Hispanic,C,-63.43823712249249,A,110.74513190567382,A,-150.11946699850282,B,1
Other,White,A,74.01564022555839,C,-183.63322822954896,E,-93.94754526234018,E,1
Bisexual,Black,A,3.0621679983387775,E,57.09297182242777,A,-49.939100151704984,E,1
Bisexual,White,E,8.272276768690713,A,82.23631902907194,D,10.067308263135978,C,1
Bisexual,African American,D,54.36121158730817,D,104.85650101040149,E,252.08550843294734,E,1
Homosexual,White,D,166.51087960986817,E,-28.53984520217287,A,123.12937735832227,C,1
Heterosexual,African American,B,-53.099863923036494,D,-144.2705241792182,C,-60.23051074802987,B,1
Bisexual,Black,E,30.09957182408826,B,-134.73097183978123,C,-140.55651437069068,A,1
Heterosexual,White,A,-25.585515583536644,A,-16.27208041432896,E,97.2734545131668,E,1
Homosexual,Black,C,94.69727429607634,B,65.86801671181667,E,-14.404257441608184,D,1
Homosexual,Asian,B,-10.468142473316307,B,23.579286236895648,C,50.0888662698724,D,0
Bisexual,Black,C,-7.27960005311462,C,73.90158348815903,D,-107.6262157499115,A,0
Heterosexual,Hispanic,D,-116.07223633259332,C,-81.32749086408153,B,27.532761426156515,E,0
Homosexual,Asian,B,43.46169780355624,C,-111.89177010864404,E,79.10665724143833,E,0
Other,Asian,C,-5.646585547132043,E,-11.37628148824604,B,13.497275753592728,A,1
Heterosexual,Hispanic,E,67.16708237440686,D,-172.3568829123747,E,-139.96026010025238,B,0
Other,Other,D,92.36861631921907,B,-45.99353762912596,E,-73.00136847805608,B,0
Homosexual,Other,D,-36.896888889509796,B,-38.40686215133463,E,-114.88676008323111,C,0
Heterosexual,Black,E,-29.637553659485476,D,77.13967275473782,A,-105.5258407688447,C,1
Heterosexual,White,A,29.50988224764888,A,-136.04913437162625,C,105.12971046279496,D,1
Homosexual,White,A,-67.98898730932395,A,24.98259985856018,A,-193.02182204390613,E,0
Bisexual,Other,B,78.05824919638614,E,-37.560894938362296,E,-27.016960168865246,D,1
Other,Asian,E,-182.54849090425145,C,174.9635993030811,C,82.61750783935022,E,1
Homosexual,Asian,E,221.67443781480296,A,5.456698946526285,D,-165.06353754987018,A,1
Heterosexual,White,A,-195.837572740696,B,-57.83037618050155,B,80.37865700294333,A,0
Other,White,C,-1.8478799311163054,E,21.234586651366055,E,86.77477176960073,A,0
Other,White,D,93.18609738740813,C,-122.70547827312126,C,57.969799706818804,D,1
Heterosexual,White,A,21.022719230563318,B,-205.69320607969536,C,-59.650893427037055,B,1
Bisexual,Other,E,35.921044834855174,E,11.471117047808912,E,-38.36883431887407,B,1
Other,Other,B,-241.07247484051558,C,-2.5628435429780394,A,-46.23172851431841,E,1
Bisexual,Other,A,-162.8882793730637,A,111.80059682063215,B,122.56729207603682,C,1
Bisexual,Asian,E,-106.60122671722515,A,-4.64977532753998,B,90.09288737082983,D,0
Homosexual,African American,E,117.3973433211544,C,47.40409084272751,A,139.23147029864776,B,0
Homosexual,Hispanic,C,-6.2446523500939515,C,186.32771553053448,A,-38.24924221484755,E,1
Homosexual,Other,A,-45.43849586488257,E,-2.7204360651374095,A,-242.4309106312061,D,1
Heterosexual,White,C,-48.47965341071779,D,35.59745826793687,A,71.10192179998191,A,1
Bisexual,Asian,B,20.784369826956812,E,41.720896640038056,E,-203.1173418326195,B,1
Heterosexual,Black,D,-82.7307781245152,B,-51.13014477041023,C,-89.6220067959158,D,0
Bisexual,Hispanic,B,16.70809853412415,C,17.94844683604978,E,-75.44146233332022,B,1
Homosexual,White,E,241.70360526235103,A,-56.09027982076048,A,-89.90364565994821,C,0
Other,Black,C,32.95239989174069,E,-39.03098212028711,B,134.53815983606512,A,0
Bisexual,Black,D,-34.30353493404802,C,-71.56164602326979,D,145.49255071394808,C,1
Other,White,D,62.42085420864889,A,-71.20755327889209,B,162.50007671524835,C,1
Other,Hispanic,B,-90.58405884332285,E,-2.565187708685127,C,-97.77242965484906,B,1
Heterosexual,Asian,D,6.895170565997033,A,-71.15281628463443,A,-191.3132364548879,A,1
Heterosexual,Hispanic,B,-2.5490625590527953,C,-36.734235468342234,A,-78.23492395579505,B,0
Other,Black,B,-136.27183479890007,B,118.2904512995226,C,112.75450616024563,B,1
Homosexual,Other,E,-23.185520343548387,B,-178.52263140785155,D,112.05743988277865,B,0
Other,Hispanic,B,-21.231952629959938,E,-21.994935424353052,A,-17.197491891989817,C,1
Homosexual,White,E,-130.8678878520635,C,125.42838145156333,C,44.83245631698015,B,1
Heterosexual,Hispanic,E,9.85505802076055,B,28.66538294186799,B,-113.31131656877088,C,0
Bisexual,Hispanic,E,-0.13958165028201416,C,78.84655512799021,A,22.090229346805405,C,0
Homosexual,White,C,2.003923402651072,D,9.839354453376197,C,36.89533030599074,C,0
Bisexual,Black,A,111.9858693695514,C,-97.04630523039218,A,88.58311702831412,D,1
Heterosexual,African American,A,24.878679321443002,A,87.22696029770121,D,-44.568435092395625,A,0
Other,Hispanic,E,-120.38874337935749,E,14.030373117147835,A,-49.968371471669556,B,0
Bisexual,White,C,-48.394387285552554,E,-113.28864257070919,A,-54.31948054621084,E,1
Bisexual,Hispanic,B,-158.04290738415995,E,216.55536569275236,A,-5.546076712890797,C,1
Homosexual,Asian,B,-91.19940599257875,B,-44.315861032394835,A,44.3648224954233,C,1
Other,Black,D,123.85509246615996,A,126.10870555179991,D,124.50841604448742,D,1
Other,African American,C,-4.751817113058379,D,-32.52861495391171,C,-80.0836764383703,E,0
Heterosexual,Other,D,55.742441637498786,A,119.52226913995143,D,11.985901182496898,D,0
Heterosexual,Black,A,209.94398781124914,B,-42.82240059696679,E,-51.26399607821569,B,0
Bisexual,Other,C,25.38682139623377,A,74.63097877071738,D,-123.40638734718483,D,1
Heterosexual,Black,D,-23.16575522147367,D,77.54841057303689,A,-30.96713547680336,D,1
Homosexual,African American,A,60.815605252405255,A,88.49881564394248,C,169.6983040844502,A,1
Other,White,D,179.88191389590284,D,-136.87107948530982,B,-44.58406058187055,E,0
Bisexual,Hispanic,E,120.08113256470212,D,-75.12592152668441,E,79.14148109484618,A,0
Other,Other,C,-149.67110760144067,C,74.14163941328648,E,-75.27268804139277,E,1
Homosexual,Black,C,-57.539057411605896,B,-6.212469796097045,D,17.775208707781584,E,0
Other,African American,E,-6.921965179550411,C,-164.94318940236423,E,-44.97957769874523,E,0
Other,Asian,A,65.0251771716983,D,67.84562524156557,B,-52.525813742134396,D,0
Other,African American,C,5.950390103829146,B,-11.854334561133747,E,61.08578922600738,D,1
Heterosexual,Other,B,-51.60201032611328,D,82.63067555395419,D,63.373432148233576,B,1
Bisexual,Black,C,-78.84294122647846,C,20.14302549484911,A,-33.63047694738735,E,1
Other,Asian,D,66.8126249304343,E,9.687740533279058,D,8.66271967977396,B,1
Other,White,E,52.110278663653965,B,-16.377820598358444,E,112.04587167851297,D,0
Bisexual,Other,B,-42.72413667707423,D,-57.48614749880021,A,70.00659367550828,B,0
Bisexual,White,D,-115.68263474556038,A,-13.826908110553337,C,-39.276434904537716,B,1
Homosexual,Black,B,-61.35312503009062,B,95.67610708326035,D,124.32335287826643,B,1
Bisexual,Black,C,-32.24764864704679,B,-21.022879954384784,C,-6.509824186590074,D,1
Other,Other,B,107.38969567649963,D,-26.017872419365677,E,-112.52173876634785,D,0
Other,White,C,-83.94196631738066,A,-97.81340088387729,A,-56.235294976989216,E,0
Other,Hispanic,C,-89.0718324310154,B,-11.994270665897742,A,-17.659309802149668,D,1
Other,Black,A,-5.312098533401661,E,-86.5782878740873,E,7.872499569363042,B,0
Bisexual,Asian,A,121.4431579779979,B,35.316163090812445,C,51.087322819067516,C,1
Other,Other,E,56.86839923745928,C,-64.47632044541317,B,24.710954835895873,B,1
Bisexual,Black,A,-74.64518962003392,E,21.929545980518252,D,-46.66884659499427,E,0
Heterosexual,Asian,A,32.72017220411227,D,5.761298997661949,E,-37.353216254983195,A,0
Heterosexual,Asian,E,-237.7971570835121,D,-10.59372018976659,D,35.89454859802686,E,0
Homosexual,Black,A,6.640085096495284,E,-71.42771799448546,E,75.81695444121208,C,1
Bisexual,African American,E,-155.62583171009496,B,-45.921719088436866,C,65.84802366303808,A,0
Bisexual,White,E,-90.48559951320367,B,62.842992248522435,C,17.94315166550175,B,1
Heterosexual,Other,D,78.2990220719608,A,-79.189867692808,D,58.31489120083921,C,0
Heterosexual,White,D,-120.36905630725867,E,94.26737826409104,A,81.76662824568103,E,0
Heterosexual,White,E,-59.84058089733735,E,-72.96590394688293,A,-86.56921367128028,C,0
Other,African American,C,92.30129164724903,D,-3.767908484422364,B,-5.017817804942649,D,1
Bisexual,Black,B,-52.597007148223106,D,83.94978800884971,C,-223.43828355046494,A,1
Heterosexual,Black,D,54.56387324462737,B,-156.96697674402515,C,22.993427871145524,D,1
Bisexual,Other,E,-100.7156812911266,B,53.651229381022915,B,-22.11882272824706,E,0
Homosexual,Hispanic,D,41.62872098496157,E,-78.2847163573088,B,-168.95669136496406,B,1
Heterosexual,White,C,-84.19030310387406,E,-17.952612448917808,E,116.21360984340214,C,1
Other,Other,C,52.87610837881689,D,88.65724649951433,C,10.348968412080001,D,0
Homosexual,Asian,A,15.128643864297256,B,-19.052272196237897,E,131.89307825194817,B,1
Other,Black,C,-6.594030226504436,C,-100.15247759850871,B,243.93879609648147,E,1
Heterosexual,White,E,8.648529432627301,A,-24.848564463452295,A,-66.26830652552181,D,0
Heterosexual,White,C,-27.881451659934832,B,164.74075538778777,C,-68.51458969477446,B,0
Heterosexual,White,E,-96.56255955809546,E,-64.10074570197114,D,-68.1596286472966,C,0
