veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
No,182.3943480541022,C,-53.01368411658102,A,-99.22971091580615,E,B,C,D,C,B,0
Non-Veteran,26.245301097289936,E,-126.14605840337157,C,-64.70250502799595,A,D,B,A,D,A,1
No,-41.590165740428176,D,68.08109303952938,E,15.712868177781312,E,D,E,E,B,B,0
Veteran,3.137955264412995,A,48.92660080779872,E,109.5134439669308,D,E,B,D,A,C,0
Veteran,-12.557036563571163,B,118.96504914898418,B,-61.02593418928694,A,C,E,B,E,C,0
No,-121.91452258409107,A,40.770190717728596,D,79.57428937644643,C,D,C,E,C,A,1
Non-Veteran,141.44685559711323,E,101.29231526948482,C,80.3078381461324,A,D,D,B,B,C,1
Veteran,11.412110877381359,C,-87.7272490635692,B,-93.56749632592349,C,B,C,E,E,B,1
Yes,-98.1870957940092,E,64.0877729043913,D,113.39931409845781,C,A,B,B,A,E,0
No,-71.8396075207221,C,23.284160886041644,A,-78.40208999728895,E,A,B,C,A,A,0
Non-Veteran,146.17789221681977,A,-25.21597315804886,D,-94.86171145599411,D,D,E,D,B,B,1
Non-Veteran,97.16690064811168,B,37.47911914023496,A,-58.96861855078891,C,B,B,B,C,B,1
Veteran,57.61384263771103,B,46.82057507506837,E,78.69471351312069,A,D,E,A,C,E,0
Yes,131.0843071784851,A,56.68834524655152,A,131.08572962209843,C,B,B,E,B,D,1
Veteran,108.24211617910271,B,94.94794399579146,C,148.85092780986736,D,A,C,C,B,E,1
Non-Veteran,40.19191432510638,D,-70.47213143966079,C,-13.307691910751515,A,E,D,C,D,D,0
Veteran,193.38060968555405,A,144.0151140591201,C,112.53000118835163,D,B,B,E,B,B,1
Non-Veteran,-81.50295287096952,C,30.747895743422422,C,41.80320942079432,A,C,E,A,C,D,0
Non-Veteran,94.78821980650935,B,-105.31414984050089,B,11.238061605810866,A,D,B,A,E,A,1
Yes,92.91220567316309,B,-72.22100939398801,B,-62.03372272886237,C,B,E,E,D,D,0
No,-74.94194194564763,A,-79.69641979532564,D,105.8646734844639,B,B,B,E,C,B,1
No,-122.25709485799594,E,120.07758524966697,B,208.605935795722,A,D,A,C,C,E,0
Veteran,24.951544207201916,E,-134.52804933534338,B,-98.04384268268105,B,A,C,B,E,D,1
Non-Veteran,-10.628717227238148,B,-64.26504898198438,D,-51.51417137418437,C,E,D,D,D,A,1
Yes,15.722751510445152,C,-125.56509596808797,E,-35.00625837209415,A,D,A,D,A,E,0
Non-Veteran,-78.68309360138039,C,33.40331470824655,C,42.31628819740089,C,B,A,D,A,C,1
Veteran,87.9665948785719,C,-51.599896850099235,A,-66.85940487401454,A,B,B,A,D,A,1
Veteran,-7.001308587704376,B,-16.681323860203225,A,84.41223347930699,B,A,B,E,A,E,0
Veteran,-81.20883110900363,C,-45.313607900009956,C,46.89117583223189,E,A,E,B,E,B,0
Veteran,106.46026663219462,B,24.634840167418172,E,-41.312353602665866,A,B,B,A,D,C,1
No,117.61906679123608,B,-57.98905290943078,A,100.60398524556375,E,B,C,B,B,D,0
No,63.46257731193453,D,55.38333844748679,C,-49.45238904802007,B,A,E,D,A,C,0
Yes,-175.33810592192978,D,57.06799500899498,C,-173.19040801780517,D,A,B,D,C,D,0
Veteran,181.8049951870745,C,-35.4002701931045,A,-49.15560618542013,B,C,E,C,C,E,0
No,0.4860094608392535,B,-140.6683041268615,A,-132.1633986256694,E,C,D,B,C,B,0
Veteran,72.6888995350135,A,137.62574123653337,A,-63.38560017823497,C,D,D,D,B,C,0
No,-243.58479800878325,D,168.72119789952896,D,0.784641625348018,B,D,D,E,D,C,0
Yes,-7.268621636921871,E,47.2632893092235,E,63.54547689747586,D,D,A,A,E,A,0
Yes,-98.78616965226068,C,-77.51803498738383,B,-64.43330155504292,C,C,A,D,B,C,1
Non-Veteran,144.52692977329247,C,-37.618370487524885,D,-3.4191895650661617,E,D,B,D,E,D,1
Veteran,140.68990004815805,B,-24.921658724918785,A,53.50098320090915,A,A,B,E,B,D,1
Veteran,-62.89139780926815,D,12.666958480251559,E,-230.1480511705858,D,B,C,E,D,E,0
Veteran,76.67333655156526,D,-96.02619670292727,A,-152.40704402142617,B,C,E,E,D,B,0
Veteran,103.90312754548903,D,-23.266583232635128,A,48.37033821451939,A,A,B,A,A,B,1
Non-Veteran,-68.84897835386823,E,-94.72234594069297,B,152.67139729813434,A,A,E,A,D,A,1
No,72.16157639855092,B,-74.39255448558761,A,-3.7598233978958366,B,E,C,B,D,B,0
Yes,83.99515129719462,E,-69.589763139527,B,148.56951709168726,E,A,B,A,B,E,0
Yes,73.53274957801834,E,-110.31601491741536,E,19.93445849014518,B,E,B,C,B,E,0
No,-90.25195126750273,C,-42.55602406147064,A,143.05638797720508,D,E,C,A,D,B,1
No,-127.81656015177225,C,62.915246103996814,C,-5.139131585104121,D,B,E,A,C,B,0
Yes,131.55720640614012,C,-60.93449341513961,C,-42.98861389078559,E,A,E,B,B,D,1
Non-Veteran,46.91830071939943,A,6.4413437858437534,D,-27.18949751537621,C,B,D,A,E,B,0
No,-61.37851753818335,B,93.09256304920879,A,218.26068160921136,A,B,E,D,B,E,1
No,54.974542909959766,D,-60.03527211443559,E,9.025113673525144,C,C,B,A,C,B,0
No,25.298636850625357,C,94.62816335260563,E,5.87783461116712,B,C,E,E,D,B,1
Veteran,-80.76474336617679,B,89.8900260362534,B,-123.64923313233366,B,D,C,E,B,A,1
Non-Veteran,72.49808479067032,A,-64.2081570926075,B,-110.71996744299551,C,D,C,A,B,A,1
Yes,-73.40090868820124,B,117.4526520847723,E,-15.851753042245347,D,E,D,A,A,C,0
Veteran,-141.02885801669527,D,-77.37208269961481,D,-146.17499787343007,A,C,A,A,C,C,1
Non-Veteran,-52.65251174117924,B,80.98517017054785,E,64.11918761804122,D,A,C,B,D,C,0
Veteran,-109.68567306934685,B,-46.61560469909761,C,33.80146478510153,A,D,C,D,E,C,0
No,111.31231124229095,E,-33.35734438640615,C,20.334971910454044,B,E,B,B,E,D,1
Veteran,34.75108809663263,D,-119.20959409437081,A,63.00647416256169,D,C,E,E,C,B,0
Non-Veteran,111.90303179651491,A,-89.81506284214282,C,4.204564836696754,C,E,E,C,B,E,0
Veteran,-42.36831911835296,E,-7.976046796557451,E,147.4851791871081,C,B,C,E,D,B,1
No,-164.02160827069346,E,-34.10152516048968,B,0.2166002349186194,B,B,B,B,A,E,0
Yes,13.768323688301487,D,-59.22522018162502,E,65.1487124167599,B,A,E,C,D,D,0
Non-Veteran,-22.73273655090694,D,-11.779401199917388,A,41.56243806420427,E,C,C,E,E,D,0
Non-Veteran,-160.3677764400194,D,26.33828866339417,A,30.060373862574934,D,C,C,A,B,E,0
Veteran,115.79432863015708,C,-27.409683958867166,A,-94.04277953454621,A,B,A,B,C,B,1
Veteran,-56.30707533157406,E,35.00882192851962,D,57.60271274745376,E,E,B,A,B,C,1
Non-Veteran,-80.76874567155711,C,21.144682142893405,E,-95.2057684792174,C,E,C,A,C,A,1
Veteran,-26.54759506369996,E,-41.95954709547312,B,171.327323654393,D,A,C,D,C,D,1
Non-Veteran,75.69782936725716,D,172.86205863426412,D,35.162594217276336,B,D,E,A,C,D,1
Yes,-6.813716307598441,C,164.3405999304418,E,-224.34655329084902,A,D,D,A,C,D,0
No,-29.61365581787931,D,-78.93727748777482,D,-232.96829564537998,D,E,A,E,D,E,0
Veteran,-57.051664554366155,E,101.79991685370959,C,-34.57554231431275,C,E,A,A,B,C,1
Yes,9.043646754844776,A,158.43669801573748,D,40.22425527657589,C,B,B,D,E,E,0
Yes,204.17164753559135,A,-7.955859096698113,C,2.1116152706968867,B,A,D,E,A,D,1
Veteran,-121.8248322006433,D,55.01868483529694,B,-87.68638054343543,E,D,B,D,D,D,0
Veteran,107.20593025357468,C,133.11144226482833,C,117.50277101738227,D,D,B,A,B,B,0
Yes,146.59834944652403,B,-144.0683647977766,A,-149.0362485067185,D,B,A,A,E,E,0
Non-Veteran,56.3953706925796,E,-99.46715681377282,D,-140.49041678069705,A,E,A,D,A,B,1
Veteran,36.37723235132347,D,-132.5870820411167,A,116.28951404653829,D,A,B,B,A,A,1
Yes,-81.93284096305227,A,50.34468114682158,A,-8.561885487738019,A,A,A,B,A,A,0
Non-Veteran,-50.27222164529166,C,26.455653019436653,C,-35.30153181810305,A,E,A,B,C,E,0
Non-Veteran,-32.69816919918254,B,21.895662061754148,D,39.01078779459641,E,A,C,C,B,B,1
Veteran,157.64982527433946,A,-6.348765565662308,D,-40.53612423649475,E,C,E,C,B,D,0
Veteran,40.67004062707674,B,-61.268884441902024,D,-92.9199071396781,E,E,A,D,D,D,0
Yes,-175.67491541012154,E,-40.54960093668055,A,12.671070275039298,A,B,E,E,D,C,0
Yes,77.16652876580521,B,-250.93363581443947,A,-160.21776464441834,A,D,C,B,E,E,0
Non-Veteran,159.3517821484871,C,-57.522037018582594,E,70.15767919046502,A,B,E,D,C,E,1
Non-Veteran,-34.250413933242676,E,134.72022964485768,E,-11.938521605765999,C,D,E,D,B,B,1
Veteran,-66.9028117840377,B,2.193860831593383,D,69.57799455501508,C,C,D,D,D,B,1
Yes,117.54247021505546,E,93.4492516508489,A,-27.710928127482383,C,D,E,D,A,A,0
Non-Veteran,42.9681633709758,B,67.41555571746488,B,-155.50714048854692,E,E,B,B,A,E,0
Veteran,-134.2966921729656,E,-86.07277994767996,C,49.83935706978183,C,D,B,B,C,C,0
Yes,33.3597682948695,C,-114.12751363211721,B,31.96380813871397,C,E,B,A,D,E,1
Non-Veteran,27.31385326880306,D,-137.1253137848662,A,-11.099575601669507,A,E,C,E,A,D,0
Veteran,80.17791231738236,B,5.428809981956173,E,117.75797812230712,C,B,B,E,E,E,0
Veteran,-75.74280602705564,C,-13.982906896597012,D,-45.5794105701179,C,D,E,D,A,A,1
Yes,3.79223840939942,B,-7.571980580682052,E,2.5186881968671484,B,C,A,A,C,E,1
Yes,-94.504206010423,A,251.51029846037773,A,-38.34082740594993,C,D,E,E,D,A,0
Non-Veteran,-117.3140190556317,A,-3.8872648219276678,E,36.10872164711784,E,B,C,E,D,C,1
Veteran,53.103378923685554,A,-97.55588041894829,E,-11.619185183300656,B,C,A,B,D,D,1
Non-Veteran,12.79990803871582,E,-114.15564008768703,C,-172.76845727195936,B,B,C,B,D,A,1
Yes,57.725087798063534,A,23.989364826674198,C,136.33977882438245,B,B,A,E,C,C,0
Veteran,-61.127414712175174,A,156.3907393169368,B,172.7524534687867,E,A,B,B,D,C,0
Non-Veteran,-92.06419914506219,A,-68.84052779527352,D,192.43822166745363,D,C,B,C,B,B,0
Yes,41.46220179232296,A,-57.39480997631027,C,-191.302444561086,A,B,B,A,B,D,1
No,38.42651929852538,D,-13.094552234263606,D,48.6111291173896,C,A,B,D,D,A,1
Yes,70.52858956730432,E,-15.507834266209427,D,-29.710754031394348,C,E,B,D,C,B,1
No,-24.331018896082934,E,-63.05621945776401,B,-17.25735541013069,A,E,A,B,C,C,1
Non-Veteran,108.50222196818169,E,67.95470568338399,C,106.35073475307976,A,A,C,C,A,B,0
Veteran,-129.20918965949562,A,107.00229575560184,C,-74.94189422961077,B,D,A,B,C,D,0
Veteran,-93.47078364718955,B,-39.87954062772121,B,105.98170232008157,B,E,A,C,A,E,1
No,216.28321734923887,C,-63.89590057959249,D,-64.80952779307762,B,D,E,B,E,D,1
Yes,64.45191150160612,B,-242.95349673520374,D,50.63920927302168,B,B,B,A,D,A,1
Veteran,-162.45111319245999,C,115.18990604715103,B,-165.03510564771054,E,D,A,C,E,C,0
Veteran,140.78334501463274,B,-49.000184573186466,D,10.53790445894787,D,A,E,A,E,C,1
Veteran,-47.56236145119328,A,-6.268102224166254,A,43.04618069806138,B,B,E,B,E,A,0
No,-8.692660197063686,E,-99.59693065411169,A,91.20787980520805,E,A,D,A,C,C,1
Non-Veteran,-39.73602599056411,A,-18.34873444195915,B,-188.72617686540886,E,E,C,B,C,A,1
No,-38.39624458455651,E,41.85340877589198,A,-160.07921173986105,B,A,A,A,D,C,0
Non-Veteran,-30.14690957140716,C,-36.55449339547164,E,128.01710652651641,A,B,E,C,D,B,1
Yes,126.89299484176529,A,-25.03869892163369,B,-55.41359285804022,D,D,E,D,B,C,1
Veteran,-69.69766827956195,A,89.54432315881556,B,-198.01867820258988,E,B,E,A,C,E,0
Yes,-194.28775737747642,A,178.36814933027588,B,53.456239450153355,A,B,C,D,E,C,1
No,20.447645031143654,C,34.656031961146894,B,-37.57464258937902,E,A,B,A,A,B,1
Veteran,-19.985521774843946,C,-146.2392690803613,A,9.830768983219983,B,B,B,C,C,B,1
Yes,42.81008652454304,E,119.60202416079657,E,-45.397148810666806,D,A,A,C,E,E,1
Yes,93.99973625674191,B,-192.89917508836663,E,-33.96800249299287,A,E,B,C,D,B,1
Veteran,212.3425767750275,D,-107.37408776673783,B,4.356676672166115,B,D,D,E,E,B,0
Non-Veteran,-36.16986750729452,B,-68.2459177750958,A,-100.10861451425241,A,B,B,D,B,B,0
Veteran,-56.34221586707382,C,-112.24611791040535,B,121.52966054263013,B,C,A,E,C,B,1
Veteran,183.2362174180749,D,50.03078353186089,B,-194.34369829395226,B,C,A,A,A,B,1
Veteran,-123.62670733649286,B,285.6585590977422,D,31.03017004248869,C,A,D,A,A,D,1
Veteran,83.54540358081337,A,-0.6894226960818652,C,-45.68633823610639,E,E,D,A,D,B,0
Veteran,214.2102558645644,C,-241.4387521981872,D,13.399195270831976,C,B,B,A,C,C,0
No,117.6205479826904,A,146.4574655221447,E,99.72723637408583,E,E,C,A,D,D,0
Yes,8.593483364137924,E,80.9977944346451,D,59.734897120345074,D,A,D,C,D,A,0
Non-Veteran,-14.139526687448722,D,-90.9772653712271,D,-57.691326599810886,A,B,C,D,C,B,0
Non-Veteran,-59.00762240566908,B,-126.2761874764981,D,162.53701850291807,E,E,D,C,A,D,1
Veteran,-93.17931556167898,E,-5.4685411817753975,E,222.23937823343783,E,E,B,B,D,C,0
Veteran,-62.37021642763827,D,38.17988498056563,C,64.03718393253867,C,D,C,E,D,A,0
Veteran,50.81410646812453,D,88.73978476997003,D,-157.74919094504915,A,E,D,A,C,E,1
Non-Veteran,56.185183667972304,D,100.45331743887289,D,44.0011772297322,E,C,B,A,D,A,0
No,58.197477946891716,A,-72.79606416568924,D,-84.16924229567225,E,E,D,A,D,A,0
Yes,-2.191987668198105,D,87.06803296745096,C,109.49110058151837,C,C,E,E,C,C,1
Yes,13.86457879898666,A,73.57426289864325,A,22.60594156381156,B,E,A,B,C,D,1
No,45.488244766067446,D,-42.64516497037424,C,74.58537547286764,C,C,D,D,C,E,1
Veteran,-53.27588002382705,C,33.85504557496819,D,18.689529458911654,A,D,E,D,D,D,1
Yes,124.08559493514434,A,115.61167459818695,A,-238.67209919062816,C,B,C,C,B,C,0
Non-Veteran,-86.2240175891761,B,-178.37289319433182,A,85.84795024475125,B,B,A,A,B,D,0
Yes,91.56098123972055,B,-140.7365694248339,E,-49.249833157314214,A,E,C,D,A,B,0
Non-Veteran,-127.77441872025497,E,77.90252668488073,E,-134.39633590628753,B,A,A,E,B,B,1
No,31.714445506540624,E,-127.80129448938837,E,104.34963658464156,B,A,A,A,E,E,0
Veteran,50.08088296616437,B,-116.7849734589957,A,153.37092733691392,D,D,C,E,D,A,0
Yes,-210.50970781972086,D,-199.26638172313142,B,82.53479246000452,B,E,C,D,B,A,0
Yes,27.752238231598742,A,41.7150563375817,C,52.02645116689026,D,A,C,C,A,C,0
Veteran,138.65346993943913,B,85.37356170232094,E,-23.73931784471988,A,D,D,B,C,D,1
Yes,-4.302954365545485,E,-104.89772060274562,A,67.2391465454679,D,C,B,B,E,D,1
Veteran,-124.48217014385474,D,120.41449793923636,C,-111.81583262080737,B,E,E,E,E,D,0
No,50.135607995996025,A,44.349477402055676,D,-164.07843475087495,D,C,A,A,C,E,1
Non-Veteran,176.85093896843088,C,-169.3836984573452,D,36.32131583825919,C,C,B,E,D,E,0
Veteran,43.244055412028125,A,-84.30531009662643,B,-60.77618876212798,C,D,E,E,A,A,0
No,-62.98141112405119,A,8.103880356444867,D,-3.389924397671879,E,C,B,A,D,E,0
Veteran,111.85656132739052,E,-1.3943603760384342,A,-53.747043360999314,A,C,A,E,C,A,1
Non-Veteran,-5.598062616911838,D,4.16061805777485,C,-220.2314042881193,C,B,D,E,B,B,1
Yes,152.49284716596694,C,-170.85566831517613,D,116.01881039728374,A,B,A,C,D,B,1
Veteran,-43.81113418980805,C,32.37099096833182,A,-158.28663089680694,D,A,E,D,D,C,0
Non-Veteran,-61.10762515175263,D,-44.79734883024907,C,-136.76170717287587,C,E,E,B,B,E,1
Non-Veteran,-45.68946561680374,B,55.2236701353553,B,54.95492603294196,C,E,E,B,E,E,1
Non-Veteran,35.969874646825446,A,-39.10373454873422,B,-129.68283562948977,A,E,B,C,B,B,0
Non-Veteran,-134.37695410500217,C,60.330615123902135,A,181.9241588999487,B,D,E,C,D,C,1
Yes,-16.515046849444843,C,15.996012102019622,B,-44.88865475777318,A,D,A,C,C,A,0
Yes,-127.62737239544602,A,36.66892311555292,A,15.32114773768033,D,E,A,C,B,A,1
Yes,82.81380278881184,E,-43.11098757611227,E,-64.73162134407376,D,E,A,E,A,E,1
Veteran,-19.305728721712985,C,-74.61395040705752,C,-62.55568024395984,A,C,A,A,E,D,0
No,109.52738523888021,E,104.64133829172016,D,97.03482668410568,E,D,C,B,B,C,0
Yes,-80.62964169217288,B,63.85070035108061,D,3.8892805487583013,A,E,E,C,A,B,1
Non-Veteran,-72.40203781026192,A,139.05597814691262,D,172.33695093543253,B,D,A,D,C,E,1
No,-41.148784194390245,C,-126.02599183823777,D,-6.840925403567856,A,D,D,D,D,E,1
Yes,44.46038843345085,C,-75.27755711977132,D,-25.25590482134423,A,A,D,B,A,B,0
Veteran,80.4129468053924,E,-52.660414991033896,E,-148.8286911205962,B,C,A,D,D,A,1
No,79.91008183769796,E,43.80617109290832,A,16.03261452699545,A,A,C,B,B,D,1
No,-173.1670751376282,C,-103.13334742657388,D,108.54633345456728,E,B,D,C,D,E,1
Yes,-237.14821220994887,A,-80.82086723759379,B,96.66423594483611,A,C,C,A,D,A,1
Yes,-160.1244978458525,D,-61.75026459594098,B,87.68207452174259,C,D,D,E,A,D,1
Yes,48.98539492030608,C,90.14346505828593,B,43.44519014172973,B,B,C,D,A,B,0
No,-222.76130674067394,D,-118.06856635338978,C,-88.67781656265873,E,A,A,D,E,A,1
Non-Veteran,63.47282381853954,A,-34.29443314063352,D,-82.32685513615002,E,A,A,A,A,A,0
Veteran,-93.02831220872221,E,162.82803906358245,B,-10.831228733895697,C,E,D,E,B,A,1
Yes,-62.613101338350575,D,24.538177604936987,A,3.7369229031150955,C,E,E,A,C,C,1
Veteran,23.540962009264106,B,21.52008272388711,E,-102.29388827200876,D,D,E,B,B,B,1
Veteran,95.54214357400326,C,29.47359567716199,C,-67.44822546237889,B,B,B,D,A,A,1
