Disability,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Physical,Heterosexual,D,A,1.7933086088073356,B,D,30.838173455051592,D,25.630342768572056,E,-32.48220854266927,139.55359594075378,C,D,75.8919699583128,D,B,0
Physical,Homosexual,C,D,-136.4456243300672,B,C,120.5620228697307,D,30.643898116084927,E,-78.64958222138296,43.036846276465134,D,D,-125.35568425772342,B,C,0
Both,Heterosexual,C,C,57.721355098980986,D,C,-42.04533622126087,C,211.2248104752854,A,-60.27601267166581,-208.0866464053469,D,E,-135.03560417139497,B,E,1
Both,Other,B,D,-254.24326659599507,B,A,117.89869266490305,D,-36.192541791566676,E,-34.308302505443336,-53.82270461131121,D,B,53.2073563642514,B,E,1
Physical,Other,E,B,110.7163824922165,C,E,42.38677988751283,E,-254.4018011606615,E,-60.428272568567586,-9.047354041637918,E,B,-28.003109729671344,C,D,0
Both,Bisexual,E,E,143.90625667981718,C,B,-42.43847381788712,B,145.84291651124326,A,59.14946176465964,-81.81754242570779,E,D,273.45821078709866,E,D,0
No,Bisexual,E,C,37.86033552706316,C,B,-17.550149404574007,C,-59.112065440914755,D,2.051869962452531,-179.79084789472415,A,E,-81.99365122297641,B,D,1
Mental,Heterosexual,A,A,37.62777394101345,D,C,15.700242349807406,C,109.28086442950465,A,85.00896040468852,-189.84205766421644,C,E,93.8303977941795,C,C,0
None,Homosexual,D,B,108.6421822784421,C,C,-102.96677240330152,B,8.25017995786993,D,14.037440245386385,130.97521410380432,A,A,-133.35037627760994,B,C,1
Yes,Bisexual,E,C,-184.4067294604571,B,E,85.91025798595868,C,-75.88330929627926,C,-21.24913890438616,-69.5007794524086,C,D,23.470510476259008,D,A,1
Physical,Other,D,B,57.99754613345471,A,E,-7.115899225361794,C,-23.476567517164217,B,4.188613579277998,-5.781192752543683,C,B,221.53513001329577,E,D,0
Both,Homosexual,D,A,44.89159932004211,C,A,205.55469287381126,C,128.66556476478996,C,-137.85394768489928,34.46275107911581,D,C,-181.93332455600077,D,A,1
Mental,Other,E,B,-158.82277070530148,A,C,-49.866126742040315,E,-170.79817181884718,C,-44.43222569920614,-167.89121749974453,D,D,209.2118128549868,C,D,0
No,Heterosexual,A,E,9.83545194681716,A,D,37.081651812963884,E,16.594389715639576,D,-55.48965381357503,106.78378886382977,B,C,65.60757296587198,B,D,1
Mental,Other,E,C,-98.38423185974308,B,A,-80.11516834430721,D,18.838513701254197,C,-248.89921359241453,59.78709768407787,C,D,80.41014817259907,D,E,1
Physical,Homosexual,B,E,167.49780443260332,B,C,-22.650587339972244,B,-18.087440062605406,D,-137.70162824436954,-50.9517921824311,E,D,45.424527052252834,B,A,1
Physical,Bisexual,E,D,-22.582179657096944,D,E,-145.63518898794732,A,-97.51367776226658,B,30.61716259258787,39.61943599507847,C,B,124.97854146496097,D,E,0
Mental,Homosexual,E,B,70.51084578801503,B,D,-134.33602104422343,C,-300.970297114075,A,54.33116758108108,43.04508542632575,C,A,124.90833296207154,E,B,1
Both,Bisexual,C,B,70.57920892523445,B,B,-25.660296184706244,A,-5.762576178433335,C,-106.07782170961755,9.500358381251669,E,C,111.58392763925957,B,C,1
None,Other,D,D,-97.76713528536402,B,D,-127.34867099083316,A,-137.157876302009,E,30.569893872713422,10.706457498262614,B,E,-71.65018851512788,D,C,1
Both,Bisexual,A,B,17.238047494968882,E,C,-35.749293878376456,B,-23.209010448899768,E,-16.454393014377786,32.173329247146256,B,D,-104.82303229817995,D,D,0
Physical,Homosexual,B,A,-26.893052549867708,D,C,140.9945688436006,A,96.0029830595293,E,-56.02184059705399,-46.894748871665854,E,E,144.77586770971814,A,B,0
Physical,Homosexual,E,A,-106.90928892200431,E,B,136.16021792016144,B,14.432703790245904,A,-24.148343635661032,-201.07719865526735,B,D,71.24978768595733,E,A,1
Yes,Heterosexual,D,A,4.345005302698973,D,C,-41.59547326324552,B,45.38534136944113,D,53.01585414026124,-118.02942430459684,B,A,-21.864736992934265,A,B,1
No,Other,C,D,-72.32361084419404,A,B,54.8846423903527,E,-121.74621261281524,D,27.067599362224616,10.027605470472789,B,D,-163.75554641535652,C,C,0
None,Homosexual,C,C,-37.71402059128915,D,D,-43.01148040057057,A,90.80447074013846,E,-15.209330612611923,-44.45736007235809,E,D,-84.88645700262984,E,A,0
No,Other,A,C,172.13914413154342,A,C,3.417564443264091,D,118.97329467744666,A,-31.555421280993468,-38.17550603073342,D,E,-90.60512124569591,D,E,1
None,Other,A,B,31.310888901525864,A,B,29.90345394074793,E,-1.4880672190670887,E,16.654198569760446,-34.97843378815908,D,A,-136.27083392620452,C,A,1
Both,Bisexual,E,D,108.75607692572713,A,C,187.32185852572536,E,-186.0976012738118,B,65.82799199718346,22.53382638747368,E,A,-28.842355747283122,E,E,1
Physical,Heterosexual,B,C,90.27824644154651,E,A,-273.80886065471566,A,-114.16014479370158,C,58.24266508000263,-84.74772744340126,C,B,52.751509094305824,B,B,1
Physical,Bisexual,B,E,-63.69065049928885,E,B,-24.224008122050318,E,70.03182492374853,D,168.33128042138645,103.83519794253493,D,C,162.8586059006298,D,E,0
No,Homosexual,C,C,-123.49598748944406,B,B,99.22592559932112,A,34.79610934812529,D,-19.873772143223384,113.39097583391917,B,E,155.80429717152583,D,C,0
No,Other,E,E,-83.54025315187819,A,A,74.46450931186861,B,79.55559546344408,E,187.16353866175538,161.37839764917268,B,D,46.514780581023224,D,E,0
Yes,Homosexual,B,B,-131.9881721255823,B,B,185.36100055559072,A,-51.586576510370044,E,-43.58433860919036,-74.7351960072934,D,B,57.486203906800114,E,E,1
Physical,Other,A,E,46.034468257047166,E,B,-15.276325308622319,C,-6.350911311948518,C,67.44920639319739,-88.66224731977476,D,E,71.6298311888826,C,C,1
None,Homosexual,A,B,-51.32342683613057,B,A,239.52613069520777,B,-72.50020927459441,A,70.4874328990764,93.44524942427871,B,E,18.328778484827843,A,C,1
Both,Other,E,C,-165.33075581278038,E,E,-15.10992910680816,E,62.32701872736692,A,-1.4459121643782957,148.4951600053065,C,C,-87.86510199209471,A,C,0
Physical,Other,D,C,-41.678986014480586,C,E,-13.877006323325947,C,-39.49142520478064,C,-80.19429248172416,-104.41789393402354,A,D,54.036757858026974,B,D,0
Physical,Homosexual,D,E,31.55587177020419,E,B,-45.311819458653844,B,37.63614032536318,C,41.446928919566666,-60.445697408471254,B,B,-74.19573429886171,E,B,1
None,Heterosexual,A,E,-54.02891723949852,C,B,9.316575509717826,C,76.52697899851229,D,61.20041539807315,-75.40010837133784,B,C,104.87358799458939,E,B,0
Mental,Heterosexual,C,C,-74.26153587027729,C,B,9.614696665751922,E,-1.4944256177593407,C,-347.3191200003968,43.98107659410277,A,A,1.604284645606603,E,C,1
No,Other,D,B,12.371174227563857,C,E,-51.16702512502182,E,17.24986933744039,B,-179.47714800841476,9.644517750385182,C,D,-48.790511176011265,C,A,0
None,Other,E,B,34.87990223223284,D,D,-175.2764062392014,C,63.36833683769417,B,-28.98465798672085,72.47189728868499,E,B,21.761978744516146,A,B,0
None,Bisexual,B,B,130.890791441291,A,D,-83.28399175043882,B,3.8670861297932784,C,42.766194031418586,21.281351433860664,C,E,-48.552631894044964,E,E,0
Yes,Other,A,D,51.98784281318888,D,D,34.559933380127354,A,137.26796738284622,B,137.64776153236778,80.29389652106275,B,E,-19.96699052164459,E,E,1
No,Bisexual,D,B,2.4582061564011894,B,C,81.73224699389604,B,80.80730036547025,D,-189.38341176715682,8.885980817888425,C,C,50.07180317796086,E,D,0
Yes,Homosexual,E,B,134.07266530902342,A,A,-40.596418420209076,C,16.357571895748126,D,-30.942955929175458,10.947826608429015,A,E,-190.50350409627305,E,D,0
Mental,Other,E,C,235.05292278171788,C,D,29.27246516465094,E,65.83306058791666,B,-18.04887249908016,-83.77110656478534,E,C,-0.523641504947767,A,C,0
Mental,Other,E,C,70.58877197387747,C,B,88.79468344740789,A,-6.771167964328106,A,-34.624658641949544,-81.6040724999446,E,C,-53.28332042821123,C,B,1
None,Bisexual,D,E,-26.018022580177586,B,D,288.4423907839858,E,-144.9791843809755,B,-44.851363388734725,-7.210208612784062,B,D,-79.79804780195664,C,E,1
Yes,Homosexual,A,A,-49.85762096781375,A,A,157.25395848497342,C,148.99179694659875,B,59.08044899835606,-4.420483310164149,B,B,116.31663061246856,D,E,1
Physical,Bisexual,D,C,-53.81345368805055,A,A,148.1315308805344,B,-77.48873028813536,E,13.438110676897939,-305.4653773372264,E,D,-121.9615366237899,B,D,0
Yes,Heterosexual,C,D,64.13123528503526,B,A,95.93457974215718,B,-164.03245093124838,C,47.285574862388664,-37.59945074096699,A,A,20.789067782034397,E,E,0
No,Other,D,B,2.673365732842725,A,D,100.60306567601323,C,4.962317404927191,E,174.05016646923897,-128.66725981887885,B,E,-71.83866445913571,B,E,1
No,Bisexual,E,C,178.3979778115245,D,B,-111.45109998500217,E,163.7694072685139,A,-57.67912459552602,172.63484031253483,A,A,29.86296745420023,B,D,0
No,Other,D,D,-84.9446928447727,B,B,-33.1061944981825,D,-33.8900295967326,B,28.10950697057337,-1.9422983796321993,D,A,-89.15154344817111,D,C,1
None,Homosexual,D,B,-17.612765114809243,D,B,132.9851426526849,D,-7.980221134153818,A,-206.90930755481367,-58.16734586213703,D,A,259.5992612002692,C,A,1
No,Homosexual,C,E,-13.083086070845601,A,C,-27.00968552044903,C,-95.05480618794796,B,28.11007364664292,172.1740350483384,A,D,-249.5800901712838,E,E,0
Yes,Bisexual,C,E,97.95388291839997,A,B,3.6766599863016425,E,122.97024344784444,B,47.96533228365486,-75.60816042541556,D,C,-5.615447619143729,A,C,0
Both,Other,A,B,-297.9001850026833,E,D,126.48720296436169,A,306.1768924777106,B,160.31567842770363,-28.909503481952566,E,B,-82.42444760866707,D,A,0
Yes,Homosexual,C,A,-55.89813334048892,C,A,-65.46264750862227,A,93.78576919500333,E,-62.56915548746736,-87.52062970394074,A,B,16.594681326838668,C,E,1
Physical,Homosexual,D,A,14.760557603826996,B,E,-57.231435323429515,E,19.64535245419217,D,-2.6198927174973985,8.128014645446893,A,D,38.54219023802507,A,D,0
Mental,Other,A,D,-16.025801479538092,A,D,-14.584680191925619,C,-68.68228894266724,E,-65.21944640012434,19.121123864516324,B,E,11.80980041248861,C,C,0
Yes,Homosexual,C,E,-76.42162166146791,E,A,-88.76667448182577,D,-37.49846006704815,A,-46.93947074437707,127.59353285517754,B,C,90.09534223175807,D,B,1
Mental,Other,B,B,80.47024667812786,E,E,-90.75697627142277,D,30.079076833770525,E,-21.54490654422917,-11.64060637350121,C,C,-50.05470508860088,A,B,0
Mental,Other,B,B,18.747812535960932,A,C,-123.67688087160519,B,-38.8467389000676,A,156.43235296814078,30.433644138215616,D,D,105.60658205911028,C,E,0
Yes,Heterosexual,B,A,18.559784543922646,D,E,52.40859997693368,E,-169.10971712933465,A,-163.00950515649834,-37.346047283341946,B,C,-91.10066155313086,B,E,0
No,Homosexual,D,A,-42.728636277061796,C,D,-199.34645426593465,A,-24.94040454153643,B,-71.54304258131278,72.89161058235648,D,E,79.99167769604871,C,E,1
None,Heterosexual,A,D,-79.56572359883148,E,C,58.94086303186141,D,5.5505646536790785,D,59.274886254014056,27.235330830367978,C,D,44.13579235741961,B,E,0
No,Bisexual,C,C,-149.05918133200322,D,E,-88.80263208196705,B,49.38419158336645,C,174.69907918691786,-6.8684515788854785,E,B,-56.67381729049398,C,C,1
Both,Bisexual,D,D,-80.70863652527272,B,D,-78.65695026480218,E,150.79084477042562,C,232.3552988795847,42.19709337001178,A,B,105.93056224837869,D,B,0
Physical,Other,A,B,29.036014216265066,A,B,-124.99506068877062,B,-42.61349403400547,D,-21.597921237792516,9.190333896373552,C,D,34.31522741149731,E,B,1
No,Bisexual,D,A,-86.88678035573443,B,C,108.61807877123788,E,-152.5584884801914,C,-176.9026577464347,64.72467609722486,C,D,-80.84784616494117,E,D,0
Yes,Bisexual,A,E,170.66317565758996,D,A,-77.90178995261685,C,130.79194033335222,D,114.94694892081088,-14.36977764567546,A,A,-9.263807663449027,C,E,0
Physical,Bisexual,C,A,-68.48208689867424,C,B,-178.02613703084222,C,43.36488040033442,C,44.513445680622766,78.13171642526865,B,B,-126.3623704456466,D,E,1
Yes,Heterosexual,D,A,15.58995384385009,D,A,-50.9305915761057,B,-27.56967143748752,A,208.83731080935863,121.59491199628071,D,C,-46.62631951610937,A,A,1
Physical,Other,D,B,86.00662077022977,D,A,-45.87571530039995,C,222.15653409230768,A,3.907711928259679,6.78370494951499,E,D,83.6175757701584,E,C,0
Both,Other,A,C,41.89349032339202,D,A,-26.930499085638004,B,-175.8848651647044,A,-61.211572578203125,-57.42811105201291,B,B,-76.26186658443075,C,A,0
Mental,Heterosexual,A,C,-72.9626412132676,B,E,40.00612504082011,E,-53.385257094170655,A,101.75715626600335,-43.11007017225862,B,D,82.0886495392475,A,A,0
Mental,Bisexual,B,C,-49.54011047089176,B,C,-36.96341030778276,D,-182.79172492850628,B,-12.383347643402551,87.15442476256379,D,D,63.96077172231599,C,E,1
Yes,Heterosexual,B,E,-114.71157254642202,E,E,-22.388327719727403,A,52.288342526852546,E,-43.00131280000069,-112.86971794599232,B,A,-101.07081054881273,B,E,0
Mental,Bisexual,C,D,16.71219919008168,C,D,-12.46545056929753,E,-228.04069122800777,A,-98.22879611108841,-217.8883911489729,E,B,65.50430344506111,E,A,0
Yes,Homosexual,B,A,-190.4567359287614,D,C,-72.68903488163755,D,50.927045510153455,E,5.294033306599922,7.265115708414408,E,E,-155.75833053005113,D,B,1
Mental,Heterosexual,D,E,33.31989489838927,D,E,34.13274422590722,E,-9.450207780905675,D,3.0973467060189668,-84.00677172193566,A,D,-7.755194087663024,B,B,1
No,Other,B,E,207.59072459030943,C,A,-13.115501607132929,D,-135.09088179726558,E,-91.2624469028564,106.21504827123502,C,B,-37.194060485203444,E,E,1
Mental,Homosexual,B,A,-73.28654910614546,A,D,65.45762789581592,E,34.71001973177213,C,86.19720059519287,-181.74176006491646,D,E,126.30539751122627,D,D,1
Mental,Bisexual,C,A,-137.92493044043965,E,E,-36.016530257052956,B,-12.50138574148795,C,56.49176452570014,-140.33318722129502,A,D,-50.625066053069446,A,B,0
Mental,Bisexual,D,E,-76.06286129307188,C,C,-49.67372781715731,A,-16.596135213078316,D,0.03659492190642926,255.09816687417754,A,E,-80.20742714945688,D,D,0
No,Other,A,A,143.6630970641041,A,E,-224.64927281505328,D,184.72178360188371,C,27.42485859238512,109.72958880257526,D,A,-140.8410157961049,C,C,1
None,Other,D,C,17.362255612239853,C,E,-11.037681464221158,D,67.48561121625355,A,-83.82692947537966,-28.638605253581535,D,B,144.39589091842947,D,C,1
Mental,Heterosexual,D,E,-180.28441294978452,E,A,-65.64707406355583,A,11.576207326910746,A,-105.343847104984,9.5947883740044,C,B,215.79949813126453,E,A,1
Mental,Other,E,C,70.04244624596123,C,D,110.76947347499836,A,9.833674373720402,C,14.947736864304714,63.68135958024287,E,D,9.871637692090518,D,E,1
No,Homosexual,B,D,43.0786666088118,D,C,-14.328540275154063,B,-117.59514611524521,A,-147.26206358584588,25.776501130852125,C,E,-30.93332885779163,B,C,1
Yes,Bisexual,A,C,-70.3191413422773,C,E,-63.101689794614124,E,-70.49988301358908,C,-64.19694164708297,-18.148090555662918,B,C,91.67520108744053,D,B,0
Mental,Heterosexual,D,E,-279.63428275381904,E,E,-13.038058523914216,D,-14.543960347563525,B,194.10005308441504,-53.67112335309251,A,D,139.3096043470996,B,B,1
Yes,Homosexual,B,A,6.8281009984414665,A,C,230.07976372213196,C,-66.45737015615218,E,-40.4048754614593,131.10664205140966,A,C,-54.42220452376405,C,D,0
Physical,Homosexual,E,B,81.85989638469978,E,A,-216.62527583652533,B,66.41406798424421,C,146.46130747548855,-87.69480726583903,E,C,92.6079539409135,B,A,1
No,Heterosexual,A,A,57.82106575797194,B,E,27.626201339807455,C,77.80486154372522,D,143.23987236358238,74.59035943328945,A,D,-85.67400052466513,D,D,0
Yes,Heterosexual,A,E,-141.33750968859405,B,A,57.82000797644844,D,38.03429621100275,C,3.8429328494560466,-118.23189167996074,C,A,-57.06482861083282,D,C,0
Yes,Heterosexual,C,E,41.549161655585706,D,E,32.380289764023026,E,-123.55408127261576,E,5.9809151725120975,17.861692377545157,D,B,-51.53760665620509,B,B,0
Yes,Heterosexual,B,A,19.905500250194095,D,B,73.10966890077361,B,43.48295018607644,C,-177.85450488048303,-52.51794999554489,C,A,78.88228841558926,B,C,0
Both,Heterosexual,C,D,-70.76208943904257,E,D,104.08276087363333,E,-150.35393602500702,C,-136.85822488678662,-25.20312353919901,E,A,-3.759597715221047,C,B,0
Mental,Heterosexual,C,E,21.198707180334154,C,E,-139.86531150733143,A,108.73192035388107,D,101.70576644323842,-96.57086823994192,E,A,26.82446914567938,D,B,1
Physical,Heterosexual,E,C,37.68232414513823,C,C,-37.87225205138911,E,-84.73612469762865,A,2.8888739633433977,-134.85317228696093,C,C,-144.295589040752,E,A,1
Both,Homosexual,D,C,-41.09562241994198,A,D,-24.951520171213996,B,131.60991921123872,A,205.032321844235,53.851040846008594,C,A,-11.919168024084396,C,E,1
Yes,Homosexual,B,C,143.1708766716914,B,B,11.076417763548974,D,25.12376367675356,E,70.0256159241454,-61.188947108919656,E,A,27.378716777593514,C,C,1
Yes,Homosexual,E,B,-8.764168377035022,A,D,-167.55533954901466,B,-42.00823093764093,C,-0.3995168844770579,41.59818237406606,A,D,-6.0497324900921186,B,D,1
Yes,Homosexual,A,D,205.3345610806689,E,D,161.57025214521917,D,-67.72132026804891,A,203.45324452274662,-204.24022274525208,E,D,-7.497372974876354,B,D,0
Physical,Bisexual,B,E,-97.96045151091087,A,A,-4.8335074666773155,D,177.91597351949468,C,74.79943620326125,-41.70310547113313,D,B,80.50823740571485,E,A,1
Mental,Heterosexual,D,E,-137.5591371861132,C,E,-57.46229997844301,C,52.977605150379844,D,-25.21987129258894,120.58748035816578,A,B,102.58177225041025,E,C,0
Both,Bisexual,D,C,-159.60733397387477,C,D,-71.7107054743692,A,-37.09285849304187,B,-63.16783511720848,-3.332345012578296,E,C,-45.919822746083106,C,E,1
Physical,Bisexual,C,E,186.34575742526016,E,D,39.01924815336982,B,-71.8545382780636,B,-13.27176004675098,-110.71015480280731,C,D,87.58768437584814,A,A,1
Mental,Heterosexual,E,C,-73.58001889101251,D,B,-2.632394450530772,A,-91.31678671286419,E,-26.175202836466966,-70.36387883586015,D,A,164.7247466046065,A,A,0
Mental,Bisexual,C,D,-95.71677525413577,B,D,79.89904904064608,D,-77.84489855013928,B,3.8489667796980007,117.2030112748303,B,B,138.75524862785247,E,B,1
Mental,Other,D,B,-81.6045980863125,C,B,63.379586562418346,A,35.05166166602491,B,36.28531695932107,11.604257689653394,C,E,60.36560869774464,D,E,0
Mental,Bisexual,B,B,-111.59619099910421,B,B,-86.23630475103003,D,-200.88221873419627,E,119.22222383523686,-88.32194622147131,B,B,-59.15134525230565,C,D,1
Both,Bisexual,C,B,-27.715673187640196,B,D,-29.90864144998968,D,-77.93027602408206,E,89.72169751386521,129.15673753081225,E,D,116.13490323922544,E,E,0
No,Bisexual,C,E,-20.16743612322906,E,C,20.380168869329758,B,219.30088790875564,E,155.30098937945397,190.62409753837122,E,A,157.00425152959127,C,C,1
Physical,Heterosexual,B,E,-90.91113676875126,C,E,-96.68775899157282,C,11.353683687757433,A,189.69356028856154,-99.8471661568591,B,E,-16.583421510588963,A,D,0
No,Other,B,B,-23.985090597416097,C,C,-133.00439047921216,D,8.16914495198385,D,168.10243789748432,129.22401911954987,C,D,88.06889208654273,E,D,1
None,Homosexual,A,B,-99.97703750824701,D,E,-22.508367887841857,B,25.71161222095531,E,-12.064101086669304,-386.25433765560416,B,C,6.9851851902920075,B,D,1
Yes,Homosexual,E,E,203.99985768338414,B,A,-122.96134445462769,A,111.8600203632285,D,124.91725227699008,-5.728855345059965,C,C,42.43930610608784,E,B,0
Mental,Homosexual,E,A,66.48874793542409,A,B,110.76467576282359,A,71.09430473829852,E,-88.14347972956736,-123.8897169963862,C,D,-24.65786340670982,C,B,1
No,Bisexual,E,E,-38.14278775023229,D,C,-1.688453134827384,E,122.74032195921885,C,-19.97140242962091,-167.45842438031534,D,B,-69.73338906652981,D,A,0
Mental,Heterosexual,A,B,219.33003084593756,A,B,130.48140958696126,C,143.1253930509371,B,-113.48051475282921,-56.64339920077946,D,E,-52.03611428887175,D,D,1
No,Homosexual,C,B,9.85437535231784,B,E,-108.01507666183548,C,-29.27671398730386,D,-269.2911066722497,118.43803386733167,A,E,48.21006620774779,C,E,0
None,Heterosexual,E,D,-96.20579733246495,E,C,135.1761244309178,B,3.5100150980639593,C,28.98949454789459,136.5925561678909,B,D,105.50695415790096,C,E,0
No,Heterosexual,B,A,70.2704289652716,E,D,19.798688540532915,B,-47.86450590411332,E,-45.69160983832291,-108.27517234730884,B,B,-67.87556224475966,C,D,1
Mental,Other,E,A,-163.98056879874332,D,B,253.85529190572623,C,73.35528880186729,D,152.4462067676651,38.4069541088763,B,C,40.6038035361291,D,D,1
Physical,Other,D,E,-150.18591207417455,B,B,164.55969086091383,D,66.0272844966571,C,-9.875247659881445,144.66136562524918,A,E,-66.75015652242122,D,C,0
Yes,Homosexual,B,A,139.7588580385594,E,D,-7.467628398030962,E,-115.40289427278829,A,64.723453489365,49.46568209189412,C,D,-110.21634052023283,A,A,1
Mental,Bisexual,E,D,152.54375876988541,A,C,-55.366086044150855,C,151.8081776421496,E,-4.465840923543672,-123.95761020386624,A,E,119.27549118912206,A,C,0
Yes,Bisexual,D,D,-48.565978701057155,A,D,65.67004199405973,E,26.108408821927476,D,179.80474557999148,-54.56345533539071,B,A,-17.004735922245075,C,C,0
Mental,Heterosexual,D,C,141.75758089520704,B,D,152.8454098955229,D,-29.42986628926662,A,-179.2971330876778,67.0246186878117,D,B,-46.69711396639569,C,D,1
No,Other,D,A,49.819135313107715,A,E,30.114846994483845,C,-38.40505661840518,E,83.6157064639552,-11.327222633661705,B,B,-47.13218261882771,A,E,0
Both,Bisexual,E,A,-20.78616151172728,A,C,43.560736898254085,A,45.24122612692089,A,-110.99423595634137,-9.560306274911577,D,A,104.15643025874289,C,A,0
Physical,Bisexual,D,E,-58.16573486652036,D,A,117.72690350916118,E,45.10670736646992,A,-57.74293342477835,-139.0898952729514,E,D,-7.3507402378421975,A,C,1
Yes,Other,B,C,87.7988862190675,A,C,-52.3174173017103,D,102.60745803242138,E,-56.378904776659134,61.782309873685925,C,D,76.51238459823144,A,D,1
No,Homosexual,D,E,-106.26645691339387,E,D,-112.6921598056472,A,8.885767328011774,E,-35.52487177846475,20.292471855640535,D,D,-18.595273428290046,C,E,1
Mental,Bisexual,A,B,53.90199848090773,A,C,-161.1254768456779,B,86.87665021717783,E,-119.60227501103236,-6.409634649282505,D,D,153.049879128716,E,D,0
Mental,Other,D,C,-52.78571245257038,E,C,-29.1507783566615,A,66.11606011313319,B,38.040743790724825,-17.413052569971363,E,D,-69.059182954517,A,A,0
Physical,Heterosexual,B,B,204.23212076240299,C,D,-80.1473358443977,E,70.95232847761915,E,-124.73243685756768,-12.430013139132207,C,D,-38.5623079408455,B,E,1
Yes,Other,D,E,-113.75096721926796,E,D,138.45824460621395,B,-49.76128024184951,A,20.90749468001158,-106.54614535318008,D,D,-105.22271202975959,A,B,1
Physical,Homosexual,B,B,-19.340256080436166,A,D,-227.1109587695189,B,121.9063992854891,D,93.09735988469185,-79.12734473150118,A,A,64.40148731163005,B,A,0
Yes,Heterosexual,C,C,-288.7710468530575,C,E,0.8463207689156331,A,-69.74555532275195,D,-134.87244629519978,76.09346958288096,D,B,69.94805321747103,C,C,0
